[00:00:08.504 --> 00:00:12.973]  Leading a frontal assault on the lies of the New World Order.
[00:53:20.439 --> 00:53:31.285]  Once again, as I say, it's not that Mitt Romney is a trustworthy conservative candidate, but he is somebody the establishment has to work hard to make sure he doesn't get into office.
[00:53:31.937 --> 00:53:35.899]  So it's either, in my opinion, going to be Palin or Newt Gingrich.
[00:53:35.899 --> 00:53:37.899]  Newt Gingrich is also on the other side.
[00:53:37.899 --> 00:53:38.940]  He's the betrayer.
[00:53:38.940 --> 00:53:39.960]  He came from the left.
[00:53:39.960 --> 00:53:41.281]  He never was a conservative.
[00:53:41.281 --> 00:53:42.101]  He's a globalist.
[00:53:42.101 --> 00:53:46.863]  He's written books calling for world government and cashless societies.
[00:53:46.863 --> 00:53:49.364]  And, I mean, this guy wants carbon taxes.
[00:53:50.219 --> 00:53:50.719]  That's right.
[00:53:50.719 --> 00:53:55.161]  But remember, they tried to shove Rudolph Giuliani down the conservatives' throat in 2008.
[00:53:55.161 --> 00:53:56.622]  It didn't fly.
[00:53:56.622 --> 00:54:01.784]  That's why they had to resurrect McCain with six endorsements right in the middle of the campaign to get him.
[00:54:01.784 --> 00:54:05.026]  It was a disaster, but they at least got Romney out.
[00:54:05.026 --> 00:54:11.429]  That's what they wanted to do with McCain, so that Romney couldn't fill the vacuum by the demise of Rudolph Giuliani.
[00:54:11.429 --> 00:54:12.269]  But in this case,
[00:54:13.112 --> 00:54:18.574]  They have a true globalist, a new Gingrich, which they're trying to float to the American people.
[00:54:18.574 --> 00:54:27.296]  But that's why I say, if they end up allowing payment to get the Republican nomination, in my opinion, it means they're going to give Barack Obama another four years.
[00:54:27.296 --> 00:54:28.176]  No, I agree with you.
[00:54:28.176 --> 00:54:30.937]  I mean, she is definitely... was built up...
[00:54:31.377 --> 00:54:39.940]  Then destroyed, now been built back up again, and they are deploying her to try to take over the Tea Party, discredit it, and throw the election.
[00:54:39.940 --> 00:54:45.402]  And so if they go with Palin, we know they're getting ready to throw the election to Barry Sitaro.
[00:54:46.070 --> 00:54:49.911]  I agree completely, and if they go with Newt Gingrich, then Barack Obama's out.
[00:54:49.911 --> 00:54:54.072]  We're going to get a Republican warmonger in there who's going to take us to another level.
[00:54:54.072 --> 00:55:05.054]  Now, in my long-term analysis, I feel that the issue is not so much directly Iran, and that war is coming, but that's not going to lead to World War III, in my opinion.
[00:55:05.054 --> 00:55:14.996]  I think that's going to lead to a larger regional war that's going to allow Israel to clean up and create, at the same time, an increased hatred in the world for both the United States and Israel.
[00:55:15.939 --> 00:55:18.081]  We'll be looked upon as the bullies of the world.
[00:55:18.081 --> 00:55:25.768]  This plays then into the long-term globalist agenda of handing Russia and China their final excuse to finally take out the bully of the world.
[00:55:25.768 --> 00:55:31.194]  Now, I think North Korea is being preserved with kids' good kid gloves.
[00:55:31.194 --> 00:55:36.358]  You know how they never put any real... To be used as a future detonator.
[00:55:36.358 --> 00:55:38.921]  This is the future trigger event of World War III.
[00:55:38.921 --> 00:55:41.063]  That's what I think North Korea is being preserved for.
[00:55:41.927 --> 00:55:51.110]  And Iran is only something that will continue to exacerbate the hatred of the Muslim world and the Slavic world against the United States, and make us look like the bully of the world.
[00:55:51.110 --> 00:55:53.951]  And it will clean up and control oil assets.
[00:55:53.951 --> 00:55:55.731]  There's a lot of complexity there.
[00:55:55.731 --> 00:56:00.672]  But let me get back to the ultimate view of how we view the CIA in all of this.
[00:56:00.672 --> 00:56:03.413]  Now, Wayne Matson has some very, very good analysis.
[00:56:03.413 --> 00:56:09.375]  He does come from a bit of a leftist agenda, and so he and other leftists tend to always view
[00:56:10.467 --> 00:56:18.169]  The evil of capitalism and the CIA as the evil monster which has basically done a coup on the United States and taken over the government.
[00:56:18.169 --> 00:56:19.729]  I disagree with that.
[00:56:19.729 --> 00:56:24.810]  I think that there's a larger conspiracy which is built at these globalist leaders.
[00:56:24.810 --> 00:56:25.431]  Well of course!
[00:56:25.431 --> 00:56:30.692]  I mean the CIA is just one deployment cog in the globalist system.
[00:56:30.692 --> 00:56:31.432]  That's correct.
[00:56:31.432 --> 00:56:33.853]  The CIA is the implementer of those things.
[00:56:33.853 --> 00:56:34.933]  It is not the controller.
[00:56:35.553 --> 00:56:36.934]  And that's what we have to understand.
[00:56:36.934 --> 00:56:38.395]  This is not a CIA coup.
[00:56:38.395 --> 00:56:52.366]  These people are taking over... Well, we know the Council on Foreign Relations takes Club of Rome Bilderberg documents and admits that they then write the bills in whole, whether it's homeland security, immigration reform, bank or bailout, and word for word it's then passed into law.
[00:56:52.366 --> 00:56:54.067]  They're openly there writing the policy.
[00:56:54.067 --> 00:56:57.950]  Hillary goes to the CFR and says, thank you for giving me my orders.
[00:56:59.045 --> 00:57:03.407]  Well, it's like James Jones told the Munich Security Conference in February.
[00:57:03.407 --> 00:57:11.312]  We at the National Security Council take our daily marching orders from Henry Kissinger and Brent Scowcroft and Sandy Berger.
[00:57:11.312 --> 00:57:14.033]  We have a, what did he say, a hierarchy.
[00:57:14.033 --> 00:57:14.973]  Now, this is illegal.
[00:57:14.973 --> 00:57:17.615]  This is a proof of conspiracy, Alex, as you know.
[00:57:17.975 --> 00:57:21.898]  And that was published by them in CFR.org and Foreign Affairs.
[00:57:21.898 --> 00:57:26.923]  I mean, Hillary wasn't joking last year when she came and said, I'm here, thank you for telling me what to do.
[00:57:26.923 --> 00:57:33.989]  And then you got Jones, the head of the Security Council, saying, we have a hierarchy, I get my daily briefings from Mr. Kissinger, he runs everything.
[00:57:50.422 --> 00:57:54.887]  Alex Jones here with urgent information concerning TrendsResearch.com.
[00:57:54.887 --> 00:58:05.819]  The Trends Journal distills the voluminous ongoing research of the Trends Research Institute into a concise, readily accessible form by tracking 300 separately defined domestic and international trends.
[00:58:06.420 --> 00:58:10.945]  The Trends Journal establishes the connections that others fail to see or misinterpret.
[00:58:10.945 --> 00:58:18.812]  Gerald Salente's Trends Journal allows you to anticipate change, recognize the implications, and take protective strategies.
[00:58:18.812 --> 00:58:26.020]  Individual readers from every walk of life can put the Trends Journal Trends Forecast and Trends Analysis to practical use.
[00:58:26.580 --> 00:58:29.361]  Extra information to keep you well informed throughout the year.
[00:58:29.361 --> 00:58:36.905]  When any current event of major social, economic, or political significance occurs, Trends Journal notifies its subscribers of their implications.
[00:58:36.905 --> 00:58:41.167]  When you subscribe to the Trends Journal, you'll also receive trends alerts.
[00:58:41.167 --> 00:58:43.328]  Visit TrendsResearch.com today.
[00:58:43.328 --> 00:58:45.649]  That's TrendsResearch.com.
[00:58:45.649 --> 00:58:47.490]  Subscribe to the Trends Journal.
[00:58:47.490 --> 00:58:49.231]  This information is too important to wait.
[00:58:54.406 --> 00:58:55.667]  Tyranny is here.
[00:58:55.667 --> 00:58:59.291]  The grim future foretold in 1984 has become reality.
[00:58:59.291 --> 00:59:01.993]  It really says that the state is God.
[00:59:01.993 --> 00:59:07.698]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:59:07.698 --> 00:59:13.944]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:59:14.364 --> 00:59:20.305]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:59:20.305 --> 00:59:24.506]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:59:24.506 --> 00:59:28.807]  Prepare to enter the secretive world of emergency dictatorship.
[00:59:28.807 --> 00:59:34.748]  Body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[00:59:34.748 --> 00:59:38.308]  It's only the beginning of the New World Order's hellish plan.
[00:59:38.308 --> 00:59:40.269]  The police state isn't coming.
[00:59:40.269 --> 00:59:40.709]  It's here.
[00:59:41.389 --> 00:59:51.393]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:59:51.393 --> 00:59:52.934]  Coast to Coast.
[00:59:52.934 --> 00:59:54.975]  Direct from Austin.
[00:59:54.975 --> 00:59:58.176]  You're listening to the Alex Jones Broadcasting Network.
[01:00:03.237 --> 01:00:13.182]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[01:00:13.182 --> 01:00:14.343]  Again, thank you for joining us.
[01:00:14.343 --> 01:00:22.907]  We're now kicking off the second hour of this special Encore presentation, the 29th day of August.
[01:00:24.492 --> 01:00:45.220]  2010 a encore best of compilation more of Joel Skousen coming up and then another special guest retired FBI agent says Oswald didn't kill Kennedy from Akron Ohio retired FBI agent from Summit County is making claims regarding the assassination of John F Kennedy
[01:00:45.660 --> 01:00:48.022]  that go beyond conspiracy theories.
[01:00:48.022 --> 01:01:03.112]  Don Adams speaks clearly and concisely when describing the events of November 22nd, 1963, the day that President Kennedy was killed, and he doesn't waver from his position that Lee Harvey Oswald did not kill President John F. Kennedy in Dallas.
[01:01:03.732 --> 01:01:11.695]  And everything he's breaking and we've already basically researched ourselves and confirmed and it just adds to the fact this is a complete and total takeover.
[01:01:11.695 --> 01:01:20.357]  It was an amazing interview we did earlier last week and it's coming up here after we finish our interview with Joel Skousen from World Affairs Brief.
[01:01:20.357 --> 01:01:24.899]  In other news, the globalists are getting more and more arrogant by the minute.
[01:01:26.087 --> 01:01:30.896]  They came out in the last week and said in the Associated Press, Time Magazine, you name it.
[01:01:30.896 --> 01:01:32.419]  Well, here's the Time headline.
[01:01:32.419 --> 01:01:36.527]  The government's new right to track your every move with GPS.
[01:01:37.720 --> 01:01:47.022]  And it's something that literally parallels what the Stasi did in East Germany, the previous record-holding police state for surveillance.
[01:01:47.022 --> 01:01:50.463]  Now England and the United States are starting to dwarf it.
[01:01:50.463 --> 01:01:56.905]  They're saying, look, they can come on your property, put GPS on your property, your car, and track everywhere you go.
[01:01:56.905 --> 01:01:57.945]  And how are they doing this?
[01:01:57.945 --> 01:02:00.706]  Well, through practice, through fraudulent precedent,
[01:02:01.246 --> 01:02:06.608]  Since the 96 Telecommunications Act, all cell phones worldwide, by law, not just the U.S.
[01:02:06.608 --> 01:02:14.032]  got these laws passed, are tracked by satellite triangulation via the cell towers down to just a few feet.
[01:02:14.032 --> 01:02:18.234]  And they're saying, you have no rights to privacy and they can surveil you however they want.
[01:02:18.234 --> 01:02:24.917]  So they've gone from denying that they were building this control grid, now that it's in place, they're just throwing it in your face and saying, that's the way it is.
[01:02:25.797 --> 01:02:28.098]  And how far our nation has fallen.
[01:02:28.098 --> 01:02:36.981]  Now the military industrial complex, as the state governments collapse, is coming in all over the nation and setting up military academies that are public schools.
[01:02:36.981 --> 01:02:41.303]  And at other regular public schools, they're saying everyone must join the ROTC.
[01:02:42.683 --> 01:02:50.170]  And the military recruiters are being caught threatening the youth to sign up for military enlistment after high school or they'll be arrested.
[01:02:50.170 --> 01:02:52.992]  That's come out in Houston and Denver and many other cities.
[01:02:52.992 --> 01:02:55.394]  The parents will record the phone conversations.
[01:02:55.394 --> 01:02:56.215]  Listen to me.
[01:02:56.215 --> 01:02:58.056]  You're going to prison.
[01:02:58.056 --> 01:03:00.599]  But you told me I didn't have to join.
[01:03:00.599 --> 01:03:01.820]  It's the law.
[01:03:01.820 --> 01:03:02.400]  Sign it.
[01:03:02.400 --> 01:03:05.263]  I mean, this is just all part of the criminality.
[01:03:05.263 --> 01:03:09.286]  This is a form of covert stealth draft that's going on.
[01:03:09.286 --> 01:03:09.967]  But if you think
[01:03:12.233 --> 01:03:20.765]  High schoolers being forced, and it's all color of law, with threats to join junior ROTC and then regular Army or regular Air Force or Marines or Navy.
[01:03:20.765 --> 01:03:26.653]  Now the Anchorage Daily News is reporting, soldiers deployed to Anchorage schools to lend a hand.
[01:03:27.794 --> 01:03:31.797]  About 180 troops will spend time in classrooms.
[01:03:31.797 --> 01:03:35.079]  A new partnership between the Anchorage School District and the U.S.
[01:03:35.079 --> 01:03:39.122]  Army Alaska will add a military presence to local schools.
[01:03:39.122 --> 01:03:50.249]  But rather than keeping the peace, these warriors will be serving as math and reading tutors, helping out in the computer lab, or maybe firing a few dodgeballs.
[01:03:50.249 --> 01:03:51.550]  You see what's happening?
[01:03:51.550 --> 01:03:55.893]  Oh, the Marines are in Tennessee and California running checkpoints to stop drunks.
[01:03:55.893 --> 01:03:56.614]  They're here to help!
[01:03:57.819 --> 01:04:02.505]  Oh, the governor says the Army and Marines and Homeland Security can't run warrantless checkpoints in Tennessee?
[01:04:02.505 --> 01:04:03.726]  Oh, they'll just go ahead and do it.
[01:04:03.726 --> 01:04:10.334]  We cover that interviewing state rep and also quotes from the governor in my film, Police State 4, The Rise of FEMA.
[01:04:10.334 --> 01:04:11.475]  This is so lawless.
[01:04:12.284 --> 01:04:22.435]  This is so brazen, the way that they are doing this, and it says that they're getting them used to a military presence in the school.
[01:04:22.435 --> 01:04:29.083]  But remember, in the late 1990s, Hobbs Middle School, Pensacola, Florida, it was in the local newspaper.
[01:04:29.083 --> 01:04:30.925]  We have this archived at InfoWars.com.
[01:04:32.691 --> 01:04:37.012]  Where the Marines came and took over and didn't tell them it was a drill and said, we're taking you to camps.
[01:04:37.012 --> 01:04:39.672]  Bill Clinton wants you to know what martial law is like.
[01:04:39.672 --> 01:04:45.133]  This is just the country being fully occupied by a stealth military takeover, a giant PSYOP.
[01:04:45.133 --> 01:04:50.314]  And it's meant to condition the troops, the police, the local citizens, the students, everybody.
[01:04:50.314 --> 01:04:53.195]  And it's totally illegal and the opposite of a free society.
[01:04:53.195 --> 01:04:59.236]  And it ties in the top secret USA and the close to a million private secret spies they now admit they have everywhere.
[01:05:00.836 --> 01:05:05.018]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[01:05:05.018 --> 01:05:11.421]  Not detergents, but good old-fashioned pure soap made by the Calvin Soap Company, a family-owned and operated American company.
[01:05:11.421 --> 01:05:18.804]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, hair, laundry, and dishes.
[01:05:18.804 --> 01:05:23.686]  There is nothing like these factory-direct, big-money-saving, triple-concentrated soaps anywhere.
[01:05:23.686 --> 01:05:25.147]  Get a free, detailed catalog.
[01:05:25.307 --> 01:05:32.331]  By calling 800-340-7091 or see them online at 5starsoap.com or infowars.com.
[01:05:32.331 --> 01:05:36.074]  Let's talk to the owner of 5 Star Soap, Marty Schachter, and see what he has to say.
[01:05:36.610 --> 01:05:43.374]  As founder and owner for over 63 years, people keep asking me, how's business?
[01:05:43.374 --> 01:05:47.256]  I'm happy to say our business is going down the drain.
[01:05:47.256 --> 01:05:53.639]  Call us at 1-800-340-7091 or visit our website 5starsoap.com for buying our 1-2 month soap sampler.
[01:05:53.639 --> 01:05:54.840]  Thank you.
[01:06:10.078 --> 01:06:15.509]  WorldAffairsBrief.com is the website of our guest, Joel Skousen.
[01:06:15.509 --> 01:06:19.397]  He's been fighting the globalists for decades and his family for more than 50 plus years.
[01:06:20.694 --> 01:06:31.201]  The website where you can check out our information is InfoWars.com and of course PrisonPlanet.tv where we simulcast the radio show in full living color with videos.
[01:06:31.201 --> 01:06:34.084]  We can add another level of documentation here.
[01:06:34.084 --> 01:06:39.928]  Let's finish up, Joel, with where you see the Globalists going and what their master endgame is.
[01:06:39.928 --> 01:06:45.051]  If they are able to successfully pull this off, what our world is going to look like.
[01:06:45.051 --> 01:06:45.692]  Joel Skelson.
[01:06:46.889 --> 01:06:55.954]  Well, let me go back first of all to what I consider a very neat piece of disinformation that got into my uncle's book, The Naked Capitalist.
[01:06:55.954 --> 01:07:09.842]  He was the first one to publish the famous Rowan Gaither quote, where he was talking to Norman Dodd about admitting that the purpose of the Ford Foundation and other foundations was to seamlessly, you know, join the United States and the Soviet Union.
[01:07:09.842 --> 01:07:14.805]  In fact, a true conspirator like Rowan Gaither never would have told the truth.
[01:07:15.453 --> 01:07:19.416]  To a legitimate conservative like Norman Dodd trying to investigate what's going on.
[01:07:19.416 --> 01:07:21.738]  What he said had to be a lie.
[01:07:21.738 --> 01:07:23.399]  But it made it believable.
[01:07:23.399 --> 01:07:33.506]  He had to give some excuse because it was very obvious to the conservatives, that my uncle noted this, and the naked communists, that the capitalists, the people in government, were continuing to fund communism.
[01:07:33.506 --> 01:07:34.887]  They brought Mao to power.
[01:07:34.887 --> 01:07:41.792]  They paid the way for the Sandinistas in Nicaragua and ousted Batista to get Fidel Castro.
[01:07:41.792 --> 01:07:43.273]  So either they were communists,
[01:07:44.329 --> 01:07:47.010]  Or, in fact, they were using the communists for something.
[01:07:47.010 --> 01:07:54.351]  And the Rowan Gator quote kind of tends to give a feeling like, well, there was a benevolent reason for all of this assisting communism.
[01:07:54.351 --> 01:07:57.191]  That's so that we can blend these two societies in.
[01:07:57.191 --> 01:08:02.032]  Well, 7277, State Department document, basically says that.
[01:08:02.032 --> 01:08:04.233]  Well, here's what I think is really happening.
[01:08:04.233 --> 01:08:10.514]  First of all, I think that Russia and China are legitimate predator competitors for world government control.
[01:08:11.235 --> 01:08:16.917]  These are not being controlled directly by the Anglo-American establishment.
[01:08:16.917 --> 01:08:17.317]  I agree.
[01:08:17.317 --> 01:08:19.797]  It's like the British creating Hitler.
[01:08:19.797 --> 01:08:20.297]  That's right.
[01:08:20.297 --> 01:08:22.738]  He was not their puppet.
[01:08:22.738 --> 01:08:25.939]  They were, in fact, facilitating him because of the dialectic.
[01:08:25.939 --> 01:08:30.280]  Because they wanted to have war, war would give them the excuse to create world government.
[01:08:30.280 --> 01:08:32.801]  Well, that's like funding the radical Muslims for 50 years.
[01:08:32.801 --> 01:08:33.641]  Exactly.
[01:08:33.641 --> 01:08:34.061]  Exactly.
[01:08:34.061 --> 01:08:37.502]  It's like funding the environmentalists when they want to shut down domestic oil production.
[01:08:38.002 --> 01:08:39.563]  And that's exactly what they're doing.
[01:08:39.563 --> 01:08:40.904]  So they play this dialectic.
[01:08:40.904 --> 01:08:48.968]  We have to be very careful of absorbing disinformation like that, which gives plausible reasons for things which are not truly the real reason behind it.
[01:08:48.968 --> 01:08:50.368]  So here's what I think is going to happen.
[01:08:50.368 --> 01:08:55.051]  You have three separate predators.
[01:08:55.051 --> 01:08:59.413]  China, Russia, and the Anglo-American establishment, what I call the globalists.
[01:09:00.073 --> 01:09:02.894]  Now, they're intending to destroy one another.
[01:09:02.894 --> 01:09:09.136]  Right now, China and Russia are in a semi-quasi-alliance because they want to take down the West.
[01:09:09.136 --> 01:09:26.022]  And the globalists in the West, in fact, have been facilitating the rise of communism, not only to break down other governments so they can ride in as the rescuer and save countries from the evils of communism with their, you know, their semi-socialist position, slightly better, but
[01:09:27.845 --> 01:09:29.546]  Still controlling.
[01:09:29.546 --> 01:09:40.134]  But more than that, they are facilitating and hiding and covering up for, especially Russian military dominance, Russian rearmament.
[01:09:40.134 --> 01:09:45.558]  They're exposing a little bit, but always downplaying it in their annual report about the Chinese military threat.
[01:09:45.558 --> 01:09:46.379]  But you know what, Alex?
[01:09:46.379 --> 01:09:52.363]  There is no Pentagon report on the Russian military threat any year at all.
[01:09:52.363 --> 01:09:54.265]  And Russia is far in advance.
[01:09:54.785 --> 01:09:55.426]  We're good to go.
[01:10:11.525 --> 01:10:21.531]  Nothing's worth telling of that in the 1997 story, front page, New York Times, about the bunker city under Yamato Mountain and the CIA says, we're not worried, it's defensive.
[01:10:21.531 --> 01:10:22.912]  Well, how did they know it was defensive?
[01:10:22.912 --> 01:10:24.133]  They've never been in it.
[01:10:24.133 --> 01:10:25.914]  They were covering for it.
[01:10:25.914 --> 01:10:28.055]  They've never been in it to this day.
[01:10:28.055 --> 01:10:31.597]  And yet they still say that Russia is in compliance with all treaties.
[01:10:31.597 --> 01:10:32.838]  Absolute lies.
[01:10:32.838 --> 01:10:33.639]  So why are they?
[01:10:33.639 --> 01:10:34.479]  Are they communists?
[01:10:34.479 --> 01:10:35.460]  No, they're not communists.
[01:10:36.149 --> 01:10:37.270]  Was Alger Hiss a communist?
[01:10:37.270 --> 01:10:47.237]  Yes, he joined the party, but I believe Alger Hiss was a globalist who had gone into the Communist Party to help facilitate their integration within the state, but to also manipulate.
[01:10:47.237 --> 01:10:55.242]  Well, that's like the Rockefellers and Armand Hammer giving them the industrial funding after World War II and right into Vietnam.
[01:10:55.242 --> 01:11:03.788]  I mean, they have to create the crises so they have an excuse to tax and build up their infrastructure, which isn't just pointed outward, it's also pointed inward.
[01:11:04.148 --> 01:11:12.130]  Separately, you raised this before we get into the big picture again and their domestic control system and how we combat that taking back the states and local governments.
[01:11:12.130 --> 01:11:14.290]  You talked about disinformation campaigns.
[01:11:14.290 --> 01:11:18.251]  You talked about how they try to put out, you know, unbelievable garbage.
[01:11:18.251 --> 01:11:22.312]  And even if you try to be accurate, sometimes, you know, you fall for it.
[01:11:22.312 --> 01:11:23.593]  None of us are perfect.
[01:11:23.593 --> 01:11:29.494]  But clearly, and Cass Sunstein admits this, and we have other documents where the government admits they're doing it, but the White House regulations are.
[01:11:30.134 --> 01:11:38.404]  Says they're on the web posing as patriots, posing as conservatives, posing as conspiracy theorists to be outlandish.
[01:11:38.404 --> 01:11:41.227]  And he said the government and mainstream media have no credibility.
[01:11:41.227 --> 01:11:43.650]  We've read these quotes even in the Associated Press.
[01:11:43.650 --> 01:11:48.896]  He said they also create infighting, classic COINTELPRO that was used in this country.
[01:11:48.896 --> 01:11:49.817]  And I see them just...
[01:11:50.598 --> 01:11:55.940]  Pulling out all the stops on it right now, really trying to get us to fight with each other.
[01:11:55.940 --> 01:12:05.245]  And anybody you see on the web, in my experience, who spends even 30% of their time or more in fighting or calling for violence, it comes out like Hal Turner.
[01:12:05.245 --> 01:12:05.845]  They're feds!
[01:12:07.330 --> 01:12:07.851]  Absolutely.
[01:12:07.851 --> 01:12:14.896]  Hal Turner, of course, is a classic example of somebody who really tried to instigate infighting and tension within the web.
[01:12:14.896 --> 01:12:19.400]  I think it's very important for us to be very, very careful, especially about the doomsday scenarios.
[01:12:21.651 --> 01:12:23.932]  Uh, pessimistic about things.
[01:12:23.932 --> 01:12:25.372]  At least I'm hedging my bets.
[01:12:25.372 --> 01:12:34.294]  I feel like even though there's still a chance that we can overturn this, we can only do so if we expose enough of the actual conspiracy facts and theories that are there.
[01:12:34.294 --> 01:12:43.096]  And since conspiracy is anathema to the mainstream media and to almost everyone has been cautioned to think, oh, you can't accept conspiracy.
[01:12:43.096 --> 01:12:43.636]  I mean, they are
[01:12:44.276 --> 01:12:49.238]  Predisposing the people to reject the very evidence that can blow this thing wide open.
[01:12:49.238 --> 01:12:58.322]  But with all that, whether or not we can do it or whether or not we can't win, the point is we always ought to be prepared for a takedown.
[01:12:58.322 --> 01:13:12.848]  You know, it would be unwise to be going forward with blind optimism and not understand the warning I'm giving about this third world war, nuclear war that's being... I mean, there's got to be some reason why the government is protecting the Russia
[01:13:13.328 --> 01:13:18.114]  Well, let's talk about what you were getting into with the underground bases.
[01:13:18.114 --> 01:13:23.600]  I mean, I've had national TV shows here interviewing me saying, Mr. Jones, you say there's underground bases.
[01:13:23.600 --> 01:13:29.127]  Well, in Switzerland, they're public with two years supply of food and weapons for their entire population.
[01:13:29.127 --> 01:13:33.332]  Our government has spent more from the evidence I've seen, correct me because you're an expert on this specific area,
[01:13:33.772 --> 01:13:34.133]  I don't know.
[01:13:45.202 --> 01:13:48.743]  Now, there's also another element to the underground bases that's occurring.
[01:13:48.743 --> 01:13:54.726]  There are a lot of secret projects that are going on in development in Area 51 and other underground secret bases.
[01:13:54.726 --> 01:13:57.787]  There are bunker systems, there's underground factory bases.
[01:13:57.787 --> 01:14:00.148]  They're basically doing what the Russians are also doing.
[01:14:00.148 --> 01:14:03.029]  They're covering for the Russians, and they're covering for their efforts.
[01:14:03.029 --> 01:14:09.012]  The reason is, they do not intend to use these new high-tech weapons to defend America.
[01:14:09.012 --> 01:14:14.854]  They intend, as PDD-60 outlined during the Clinton administration, to have America
[01:14:15.797 --> 01:14:17.940]  Absorb a nuclear first strike.
[01:14:17.940 --> 01:14:21.005]  Then they can come out of their bunkers and say, oh, the Russians deceived us.
[01:14:21.005 --> 01:14:24.470]  We didn't know that they were preparing just like they claim they didn't know about 9-11.
[01:14:25.777 --> 01:14:43.273]  They do know, and they in fact are inducing, trying to bend over backwards to appear and to disarm, to induce the Russians to strike, because this strike is essential for bringing America to its knees militarily, at least the appearance that it's on its knees militarily, at least in terms of the public military.
[01:14:43.273 --> 01:14:46.676]  That's why I wouldn't have my boys in the military when the strike occurs.
[01:14:46.676 --> 01:14:47.497]  They're going to get nuked.
[01:14:48.169 --> 01:14:50.151]  And then our government's going to allow it to happen.
[01:14:50.151 --> 01:15:05.783]  They're going to come out of their bunkers and say, we're innocent, we didn't know, the Russians deceived us, but now we have no choice but to give military power to rebuild, give military power to a world army to prosecute this great new patriotic war.
[01:15:05.783 --> 01:15:10.147]  And then we'll start to see these secret high-tech weapons come out of the underground bases.
[01:15:11.048 --> 01:15:18.337]  I agree totally.
[01:15:18.337 --> 01:15:27.708]  They need these catastrophes because if you read their deeper writings that are all published, it goes back to the French Revolution and the Jacobins and the Illuminati.
[01:15:27.708 --> 01:15:28.950]  They wanted a 10 day a week
[01:15:30.231 --> 01:15:32.152]  Week they wanted to end the family.
[01:15:32.152 --> 01:15:46.321]  I mean this everything we see in communism and eugenics and socialism and collectivism really drew on older ideas but came into a type of coalescence during the French Revolution.
[01:16:02.455 --> 01:16:06.418]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[01:16:06.418 --> 01:16:15.285]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[01:16:15.285 --> 01:16:19.908]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[01:16:19.908 --> 01:16:30.737]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[01:16:31.357 --> 01:16:40.860]  With continued legislation threatening the sale of nanosilver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[01:16:40.860 --> 01:16:46.302]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[01:16:46.302 --> 01:16:53.785]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[01:16:53.785 --> 01:16:56.186]  That's www.silverlungs.com.
[01:17:00.299 --> 01:17:04.862]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[01:17:04.862 --> 01:17:05.763]  Number 1.
[01:17:05.763 --> 01:17:09.186]  New climate legislation could easily double or triple your electric bill.
[01:17:09.186 --> 01:17:10.046]  Number 2.
[01:17:10.046 --> 01:17:14.950]  Our new energy czar wants to control how much power your electric company allows you to have.
[01:17:14.950 --> 01:17:15.690]  It's true.
[01:17:15.690 --> 01:17:20.554]  Total government control of electricity in the name of smart grid technology is coming.
[01:17:20.554 --> 01:17:21.395]  Number 3.
[01:17:21.395 --> 01:17:24.977]  In some areas of the country, the power grid is dangerously overloaded.
[01:17:24.977 --> 01:17:28.660]  And now, new socialist legislation is only compounding the problem.
[01:17:28.880 --> 01:17:29.661]  Number 4.
[01:17:29.661 --> 01:17:32.423]  Dangerous weather is always a threat to local grids.
[01:17:32.423 --> 01:17:36.106]  Every year, thousands of families lose their power from weather-related outages.
[01:17:36.106 --> 01:17:36.907]  Number 5.
[01:17:36.907 --> 01:17:41.051]  A solar power generator provides powerful backup, insurance, and peace of mind.
[01:17:41.051 --> 01:17:45.815]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:17:46.095 --> 01:17:50.258]  You can get more information at www.mysolarbackup.com.
[01:17:50.258 --> 01:17:52.059]  That's mysolarbackup.com.
[01:17:52.059 --> 01:17:54.320]  Remember, the government doesn't own the sun.
[01:17:54.320 --> 01:17:56.922]  So go to mysolarbackup.com or call 1-877-327-0365.
[01:17:56.922 --> 01:17:59.364]  Listen up friends, this is Alex Jones with key information.
[01:18:03.226 --> 01:18:07.029]  The mainstream media is now admitting that we're going into a depression.
