[00:00.000 --> 00:05.000]  1884 is 1776.
[2:04:43.080 --> 2:04:48.120]  1998. You can get all those presents there and we have slippers. Now we have over a hundred
[2:04:48.120 --> 2:04:49.120]  and some product.
[2:04:49.120 --> 2:04:53.240]  Mike, we're out of time. Amazing. Please join us again soon. I'm going to come up and see
[2:04:53.240 --> 2:04:56.760]  your factory very soon. Thank you so much, sir. And God bless you. Thanks for having me
[2:04:56.760 --> 2:04:57.760]  on. God bless.
[2:04:57.760 --> 2:05:04.000]  I am taping Alex Jones here on the morning of Friday, October 22nd, 2021 with a very
[2:05:04.000 --> 2:05:10.280]  important update for supporters of info wars. Several of our best selling products are back
[2:05:10.280 --> 2:05:18.680]  in stock limited supplies and are 40 to 50% off like DNA force plus. That is 40% off right
[2:05:18.680 --> 2:05:23.080]  now. And that sale is going to have to end on Monday. It helps your telomeres. It helps
[2:05:23.080 --> 2:05:28.400]  your very cells engines, the mitochondria, it's got the PQQ, the CoQ 10. It really is
[2:05:28.400 --> 2:05:33.960]  incredible. It's 40% off. Some of the best selling products are 50% off as well. And
[2:05:33.960 --> 2:05:39.920]  we got a very limited supply, very limited run in because I told the manufacturer, whatever
[2:05:39.920 --> 2:05:43.120]  ingredients you can get whenever you have enough to make some, even if it's a smaller
[2:05:43.120 --> 2:05:47.200]  run, do it. If you got a very small run into the product that's been sold out and that
[2:05:47.200 --> 2:05:52.880]  is Rainforce Ultra, it's 25% off at infowarstore.com. That's going to end up selling out by Monday
[2:05:52.880 --> 2:06:22.000]  as well at current sales rates. So get great products to support the M4 at infowarstore.com.
[2:06:23.200 --> 2:06:28.880]  Thank you so much for joining us here. And I've got a clip I want to play of this lady
[2:06:28.880 --> 2:06:34.880]  before we get her on. And I was saying I would, I would love to have somebody like this lady
[2:06:34.880 --> 2:06:41.480]  be the president. Leah Mathis is our guest right now. We just had Mike Lindell on. We
[2:06:41.480 --> 2:06:46.160]  got Roger Stone and others coming up as well. But Leah Mathis is a well known on social
[2:06:46.160 --> 2:06:51.800]  media for being an outspoken of the truth. In fact, after posting a viral video, we played
[2:06:51.800 --> 2:06:56.680]  earlier this month, her TikTok was taken down and that was her fourth account. She's been
[2:06:56.680 --> 2:07:03.440]  banned on Facebook 27 times, as well as being banned on Twitter and Instagram. For the time
[2:07:03.440 --> 2:07:11.360]  being, you can also follow her latest for now on TikTok at lily again with three ends
[2:07:11.360 --> 2:07:18.360]  TikTok lily again with three ends. But she's here with us live right now on info wars.
[2:07:18.360 --> 2:07:23.360]  But here's the latest video on the COVID situation that got her banned again.
[2:07:23.360 --> 2:07:32.960]  A gentleman argue with me today saying that the unvaxxed are dying at a rapid rate compared
[2:07:32.960 --> 2:07:39.240]  to the vaccine. Okay, he wanted me to show him proof and not to tell him to look up his
[2:07:39.240 --> 2:07:46.400]  own research. So I provided him with CDC stats and the FDA where they recall the PCR test
[2:07:46.400 --> 2:07:57.240]  because they were 200% wrong on their positive cases. That was over completely ignored. I
[2:07:57.240 --> 2:08:01.640]  sent him article after article about how West Virginia governor said that 97% of people in
[2:08:01.640 --> 2:08:12.200]  the hospitals are double vaxxed. That doesn't count. So imagine still two years later thinking
[2:08:12.200 --> 2:08:19.120]  that this is about a virus. Imagine still thinking that this is not a power grab by
[2:08:19.120 --> 2:08:28.400]  the government. Imagine still, okay, thinking that mass save lives. Imagine still thinking
[2:08:28.400 --> 2:08:34.600]  that if you're unvaccinated, you're going to die. Even though there's a 99 points and
[2:08:34.600 --> 2:08:42.960]  I have had COVID. Do you know what I did? I took Advil. And that's fine. I've had worse
[2:08:42.960 --> 2:08:48.720]  quotes. Why do these people think that getting COVID is is not a death sentence? Also, why
[2:08:48.720 --> 2:08:57.080]  are people only dying in the hospitals? Why? Why? Why? Why are more people asking? Why?
[2:08:57.080 --> 2:09:03.840]  Is discernment dead? Is common sense dead? Do these people literally just watch their
[2:09:03.840 --> 2:09:13.320]  TV screens ago? Okay. Yeah, it doesn't make sense. But I'm going to live it. I want off.
[2:09:13.320 --> 2:09:21.760]  I want off this fucking ride. And I want this movie to end because I have lost respect for
[2:09:21.760 --> 2:09:26.760]  half of society.
[2:09:26.760 --> 2:09:32.880]  Well, my friends, we've only got her to the bottom of the hour. You're back for a full
[2:09:32.880 --> 2:09:37.720]  hour soon. And she joins us. Leah Mathis, thank you so much for coming on. Wow, I know
[2:09:37.720 --> 2:09:41.920]  you're a talk show host in your own right. Also do sports talk. But this is just crazy
[2:09:41.920 --> 2:09:45.600]  and it's such a common sense you're putting out. And I mean, I guess you got censored
[2:09:45.600 --> 2:09:47.400]  for that thought crime we just saw.
[2:09:47.400 --> 2:09:52.800]  Oh, I get censored all the time, Alex. I'm used to it by now, you know, it's just it's
[2:09:52.800 --> 2:09:56.080]  part of the game, I guess. If you're a truth teller, you have to get used to being censored
[2:09:56.080 --> 2:10:00.040]  because they don't want anything but the mainstream media narrative out there.
[2:10:00.040 --> 2:10:03.720]  Well, they're trying to suppress you and you're an amazingly articulate lady. So let
[2:10:03.720 --> 2:10:07.200]  them have it. But what about all the latest developments wanting to inject five year olds
[2:10:07.200 --> 2:10:12.040]  and up the hospitals full of people with A. D. E. from the vaccines, admitting record
[2:10:12.040 --> 2:10:16.200]  levels of microcarditis and heart attacks. I mean, we're living like in like end of day
[2:10:16.200 --> 2:10:18.920]  stuff. If this keeps getting worse.
[2:10:18.920 --> 2:10:22.800]  It's absolutely dystopian. I mean, it's Orwellian even it's if you've watched or if you read
[2:10:22.800 --> 2:10:28.800]  1984, which I'm sure you have, we're living in those times right now. As far as everything
[2:10:28.800 --> 2:10:33.000]  being censored, they're rewriting the definition for vaccination. Now they're rewriting the
[2:10:33.000 --> 2:10:38.480]  definition again to fit their narrative yet again. The CDC has more power than than the
[2:10:38.480 --> 2:10:41.440]  federal government. It seems and the federal government just follows along with anything
[2:10:41.440 --> 2:10:47.280]  that they choose to do and and whatever fit their agenda at the time.
[2:10:47.280 --> 2:10:50.760]  How do we fight back against this?
[2:10:50.760 --> 2:10:55.040]  You know, I think that that's everybody's question right now and we feel helpless and
[2:10:55.040 --> 2:11:00.680]  that's the biggest downfall in this current time in America as we all feel helpless. We
[2:11:00.680 --> 2:11:05.720]  don't know how to fight back, but the one thing that I can do is keep being vocal keeps
[2:11:05.720 --> 2:11:10.920]  spreading awareness keeps spreading information. Regardless of how many times they ban me or
[2:11:10.920 --> 2:11:14.040]  or silence me, I'm going to keep coming back. They're not going to they're not going to
[2:11:14.040 --> 2:11:16.800]  be able to succeed.
[2:11:16.800 --> 2:11:22.040]  Now tell folks about where they can find you because so much of this fight is getting outside
[2:11:22.040 --> 2:11:27.200]  of social media networks and promoting radio stations, TV stations, people's private websites,
[2:11:27.200 --> 2:11:30.280]  folks setting up their own infrastructures like Band-Aught Video because you're you're
[2:11:30.280 --> 2:11:33.800]  a super smart lady. Once I learned about you, I watched a bunch of your videos. I'm like,
[2:11:33.800 --> 2:11:37.360]  just leave us better videos than I do. And there's so many really amazing people like
[2:11:37.360 --> 2:11:41.680]  you out there that are being suppressed. So folks don't hear about them.
[2:11:41.680 --> 2:11:46.760]  Yeah, I mean, that's a part of the game. If you, you know, well, better than anybody else,
[2:11:46.760 --> 2:11:51.360]  Alex, how they, they, they only want their narrative out there and they only want their
[2:11:51.360 --> 2:11:55.160]  soldiers out there, the people that are going to pair it, the mainstream media, the virtue
[2:11:55.160 --> 2:11:59.280]  signaling and everything else. They only want those people to have a platform because I
[2:11:59.280 --> 2:12:03.480]  have been harassed and bullied by, by those people and they don't get censored. But all
[2:12:03.480 --> 2:12:08.080]  I have to do is post an article about Agenda 21 or just most recently, I just posted something
[2:12:08.080 --> 2:12:13.520]  about the new patent that was approved for digital surveillance with a credit score and
[2:12:13.520 --> 2:12:18.320]  it was banned for miss or for what was it, a community guideline. How it was an actual
[2:12:18.320 --> 2:12:23.400]  article and it was an actual patent number, but that, that violates community guidelines.
[2:12:23.400 --> 2:12:28.480]  So as far as finding me, my only outlet right now is Tik Tok because everything else has
[2:12:28.480 --> 2:12:32.400]  been banned. I am, I'm a bad girl, I guess.
[2:12:32.400 --> 2:12:38.540]  Well, what I like is, is that you're not backing down and you're persevering over and
[2:12:38.540 --> 2:12:43.000]  over again. So many well-spoken, articulate people get slapped down and they just go away.
[2:12:43.000 --> 2:12:47.520]  No, the answer is keep coming back with perseverance because people are looking for the truth desperately
[2:12:47.520 --> 2:12:48.520]  right now.
[2:12:48.520 --> 2:12:53.960]  Absolutely. I totally agree with you. And if we roll over and do what they want, then
[2:12:53.960 --> 2:12:57.920]  we're submitting to, to the establishment and the system and what they want us to do.
[2:12:57.920 --> 2:13:01.880]  That's what they're trying to do with these illegal mandates and this criminal gaslighting
[2:13:01.880 --> 2:13:05.440]  and this berating and virtue signaling. They want to beat us down to the point where we
[2:13:05.440 --> 2:13:10.360]  feel defeated and we roll over and we give up and we just submit. And that is not what
[2:13:10.360 --> 2:13:14.480]  Americans stamp for and that's not, not who we are.
[2:13:14.480 --> 2:13:17.280]  In fact, that's something I was planning to do today, but I always get behind and don't
[2:13:17.280 --> 2:13:22.680]  get to most of what I say I'm on a cover. I saw this footage on Instagram of four lions
[2:13:22.680 --> 2:13:26.840]  bringing down a giant giraffe and it takes them, you know, about six minutes to do it,
[2:13:26.840 --> 2:13:31.120]  holding each leg, putting weight on until it finally collapses and they, they kill it.
[2:13:31.120 --> 2:13:34.760]  But, but that's what they're doing to America. There's all these lions attached to us trying
[2:13:34.760 --> 2:13:38.160]  to pull us down, trying to destroy us, trying to make us collapse, trying to make us give
[2:13:38.160 --> 2:13:40.920]  up, but we've got to be aware of it and not give up.
[2:13:40.920 --> 2:13:45.760]  Well, I like to think that we're the lions and they're more of the hyenas. But yes, I
[2:13:45.760 --> 2:13:49.040]  like that analogy for sure.
[2:13:49.040 --> 2:13:54.520]  Where do you see things going with Biden? Like, like, what else has A and then B? What
[2:13:54.520 --> 2:14:00.680]  else have they particularly censored? What hot buttons make them really afraid of you?
[2:14:00.680 --> 2:14:06.400]  The border. Let's talk about the border. Let's talk about how the Obama administration deemed
[2:14:06.400 --> 2:14:13.800]  a immigration crisis at 1000 immigrants crossing the border per day. And now during this administration,
[2:14:13.800 --> 2:14:20.120]  there's over 6000 per day and it's no big deal. And then when Saki is asked about when
[2:14:20.120 --> 2:14:23.680]  is Biden going to go visit the border and she said, well, he's been to the border and
[2:14:23.680 --> 2:14:28.200]  then she's, you know, rebuked with that statement saying, well, no, no, he hasn't, not even as
[2:14:28.200 --> 2:14:32.360]  vice president was he at the border. She goes, well, he drove by it and they, they claimed
[2:14:32.360 --> 2:14:37.080]  to be the most transparent administration in history. Well, that's not transparent.
[2:14:37.080 --> 2:14:42.000]  My seven year old lies better than soccer. This, this border issue, this is willingly,
[2:14:42.000 --> 2:14:48.200]  this is on purpose and, and it's criminal. It's treason. So I don't know how we're going
[2:14:48.200 --> 2:14:53.400]  to going forward. We need people in Texas to step up. We need more government officials
[2:14:53.400 --> 2:14:59.760]  to sue this administration. We need more people to step up and take accountability for what's
[2:14:59.760 --> 2:15:05.560]  going on, but we can't with the media working for this administration and censoring everything
[2:15:05.560 --> 2:15:10.240]  they do that is wrong. It's really hard. It's really hard. We have to have people like me.
[2:15:10.240 --> 2:15:13.680]  We have to have digital warriors. We have to have people, have people on ground zero
[2:15:13.680 --> 2:15:16.800]  with their video cameras and their phones out there to get the information because it's
[2:15:16.800 --> 2:15:23.160]  not going to get out there any other way. Well, it's a premeditated, preordained program
[2:15:23.160 --> 2:15:27.120]  of agenda 21 that you just mentioned to do this. It's called replacement migration. These
[2:15:27.120 --> 2:15:31.040]  people will never get jobs. They're here to be permanent clients of the system just like
[2:15:31.040 --> 2:15:36.360]  Europe. And again, the Democrats know the world's awake to them. So they're just trying to break
[2:15:36.360 --> 2:15:40.720]  the economy and destroy it as fast as they can. I want to get your take on Biden, the
[2:15:40.720 --> 2:15:45.200]  midterms coming up and how they're going to segue out of Biden in the next three years.
[2:15:45.200 --> 2:15:49.560]  I don't see him staying there another year. Maybe I'm wrong. Lea Mathis will give us her
[2:15:49.560 --> 2:15:54.320]  take and find her on TikTok at Lee Lee again with three ends at the end. And there it is
[2:15:54.320 --> 2:16:02.080]  on screen. Hey, everybody. I want to explain something that is absolutely feed understanding
[2:16:02.080 --> 2:16:06.560]  our world. It's very, very simple, but the most people don't know the privately owned
[2:16:06.560 --> 2:16:13.040]  central banks of the world are artificially creating thousands of trillions of dollars
[2:16:13.040 --> 2:16:20.760]  and other major currencies and using them to buy up infrastructure, intellectual property,
[2:16:20.760 --> 2:16:26.440]  energy. They're using it to buy people to buy influence. And in the past, they created
[2:16:26.440 --> 2:16:30.440]  thousands of trillions so that they could leverage that manipulate markets, but they
[2:16:30.440 --> 2:16:35.440]  never allowed that money to get into the general circulation or it would cause massive inflation.
[2:16:35.440 --> 2:16:40.560]  Now they've gone ahead and weaponized it and are flooding every sector of the world economy,
[2:16:40.560 --> 2:16:46.520]  buying up everything not to have the companies operate, but to actually shut them down and
[2:16:46.520 --> 2:16:51.080]  force the collapse of civilization, making the companies they do find the only things
[2:16:51.080 --> 2:16:55.280]  left handed. This is the great reset. This is what's happening now. Warn everyone is
[2:16:55.280 --> 2:17:01.480]  the only way to stop it. All right, ladies and gentlemen, keep us on air. We'll continue
[2:17:01.480 --> 2:17:06.320]  to bring you the band guests. We'll continue to bring the information that no one else
[2:17:06.320 --> 2:17:10.960]  will touch. Keep us on air. Go to infowarstore.com. The new supplements that we have the latest
[2:17:10.960 --> 2:17:15.960]  in the info wars life supplement line, the vitamin D three with calcium gummies, the
[2:17:15.960 --> 2:17:21.280]  vitamin C with zinc and the whole food multivitamins. Or if you buy the combo pack with all three
[2:17:21.280 --> 2:17:26.960]  at infowarstore.com. And you know, I'm telling you the vitamin D gummies, this is a great
[2:17:26.960 --> 2:17:29.920]  thing for your kids. They're going to love it. They're going to love the taste of the
[2:17:29.920 --> 2:17:34.360]  gummies. It's healthy. So that's just a great thing for kids. I mean, we could just do marketing
[2:17:34.360 --> 2:17:38.360]  campaigns. I think, I think for kids that'd be great. The calcium good for them, the vitamin
[2:17:38.360 --> 2:17:44.880]  D. So that's at infowarstore.com. And again, it's your support there that keeps us on
[2:17:44.880 --> 2:17:49.920]  the air. So the supplements, the shirts, the air filters, the water filters, the emergency
[2:17:49.920 --> 2:17:54.560]  food supplies, the emergency supplies and infowarstore.com. Your support there keeps
[2:17:54.560 --> 2:17:58.800]  us on the air. We cannot thank you enough. By now, you've heard me talk about the bio
[2:17:58.800 --> 2:18:03.600]  pros and how they're creating amazing products. They've done it again and have just released
[2:18:03.600 --> 2:18:09.080]  an entire suite of bio remediation products, bringing industrial level technology to the
[2:18:09.080 --> 2:18:13.400]  everyday consumer. They're literally changing the industry with a revolutionary patent and
[2:18:13.400 --> 2:18:19.160]  delivery system. The bio pros are excited to release bio drain pro, a product specifically
[2:18:19.160 --> 2:18:24.240]  designed to establish healthy drains, pipes and overall plumbing systems. Bio drain pro
[2:18:24.240 --> 2:18:30.360]  digests grease, fats, oils, sludge, paper and organic matter with ease. It contains
[2:18:30.360 --> 2:18:36.920]  no chemicals, no GMOs and is safe for black gray holding tanks, sewer hoses and plumbing.
[2:18:36.920 --> 2:18:43.360]  It is also human and animal safe. Get up to 20 treatments with the scoop for easy applications.
[2:18:43.360 --> 2:18:50.080]  Stay good, buy to drain problems, gas buildup and odor. Guaranteed. Just pour and add water.
[2:18:50.080 --> 2:18:56.240]  It's that simple. Visit the bio pros.com and see for yourself.
[2:18:56.240 --> 2:19:01.160]  We've all heard about the pastor and his famous statement from inside a concentration camp
[2:19:01.160 --> 2:19:05.480]  in World War II that when they came for one group, he wasn't part of that group so he
[2:19:05.480 --> 2:19:08.800]  didn't stand up. And then when they came for another group, he wasn't part of that group
[2:19:08.800 --> 2:19:13.800]  so he didn't stand up. And finally, when they came for him, there was nobody else to stand
[2:19:13.800 --> 2:19:17.440]  up. Well, the global social credit score that China is putting in that's banning people
[2:19:17.440 --> 2:19:21.160]  to three hours of video games a week and if you criticize the government, you can never
[2:19:21.160 --> 2:19:25.680]  buy or sell again. Well, that's being brought here and all over the world under the guise
[2:19:25.680 --> 2:19:31.120]  of COVID vaccine passports. They even admit it. Now, there's going to be a carbon tax
[2:19:31.120 --> 2:19:34.640]  attached to it. They're going to track where you go and what you do and decide where you
[2:19:34.640 --> 2:19:38.920]  can go and what you can do. That's what the lockdowns are about. You'll accept that. You'll
[2:19:38.920 --> 2:19:43.680]  accept anything. So again, the left is having fun right now with all the censorship and
[2:19:43.680 --> 2:19:47.040]  tyranny pretending like they're part of the power structure, but they're all going to
[2:19:47.040 --> 2:19:50.600]  be targeted by this nightmare as well. We need to get back to basic human rights and
[2:19:50.600 --> 2:20:00.640]  promote them or all of us will be enslaved by this horrible technocracy run by the globalists.
[2:20:00.640 --> 2:20:07.640]  We're listening to the Alex Jones show.
[2:20:07.640 --> 2:20:21.800]  Well, we've got fellow thought criminal, Leah Mathis on with us and I was asking her
[2:20:21.800 --> 2:20:26.080]  how we stopped the tyranny and during the break, she was laying it out the real knowledge
[2:20:26.080 --> 2:20:32.240]  about who's in charge. And the main captain of this is Barack Obama. So you were laying
[2:20:32.240 --> 2:20:37.760]  out some of the inside intel for folks that aren't as informed as you are. Explain why
[2:20:37.760 --> 2:20:41.520]  things are so bad and how this is premeditated.
[2:20:41.520 --> 2:20:47.000]  Well, if you know about the Smith Month Act, it was actually originated in 1948 and it
[2:20:47.000 --> 2:20:53.200]  was to make sure that the media told the truth and they couldn't use propaganda to influence
[2:20:53.200 --> 2:21:00.160]  the people internationally and nationally within our own house. In 2012, Barack Obama
[2:21:00.160 --> 2:21:07.600]  actually revised that bill and took away the fact that you can't lie. He actually made
[2:21:07.600 --> 2:21:12.920]  it legal for the media to use propaganda to influence the American people. And he calls
[2:21:12.920 --> 2:21:17.840]  it the Modernization Act. So apparently being modernized means that you can manipulate the
[2:21:17.840 --> 2:21:21.440]  people with mis-truths and misinformation.
[2:21:21.440 --> 2:21:30.120]  And that needs to sink in. I mean, speak more to that and why that's so important.
[2:21:30.120 --> 2:21:34.680]  Okay, so parents now are being labeled as domestic terrorists and take on the school
[2:21:34.680 --> 2:21:39.960]  boards. Patriots are being labeled domestic terrorists because they go against the mainstream
[2:21:39.960 --> 2:21:45.280]  media narrative. This is all propaganda. This is to influence the masses to make the good
[2:21:45.280 --> 2:21:52.080]  guy seem like the bad guy. And this was the catalyst to make that happen. This is manipulation.
[2:21:52.080 --> 2:22:00.840]  This is brainwashing at its best. For those who have intellectually malleable minds, you
[2:22:00.840 --> 2:22:04.400]  watch your TV screen and they tell you the sky is green. You're going to repeat the
[2:22:04.400 --> 2:22:09.920]  sky is green because if you repeat a lie enough, it becomes the truth. And that's exactly
[2:22:09.920 --> 2:22:16.240]  what they're doing to majority of the population that still believes that the media is honest.
[2:22:16.240 --> 2:22:22.600]  Well, that's right. Techniques developed by the Pentagon of deception developed to fight
[2:22:22.600 --> 2:22:27.800]  al-Qaeda, which was never used against al-Qaeda is now being used against the American people.
[2:22:27.800 --> 2:22:32.240]  And they're externalizing the method that gun owners, veterans, people that challenge
[2:22:32.240 --> 2:22:37.240]  elections, people that challenge lockdowns or forced vaccine mandates or terrorists.
[2:22:37.240 --> 2:22:41.800]  What made that the official U.S. government policy in June? And now we're seeing the externalization
[2:22:41.800 --> 2:22:48.640]  of that hierarchy. Absolutely. They're villainizing the people that actually are descendants of
[2:22:48.640 --> 2:22:53.280]  those that fought for this country. And they're the reasons why we don't speak with a British
[2:22:53.280 --> 2:22:57.680]  accent right now. We are the descendants of those people. And let's think about that
[2:22:57.680 --> 2:23:02.480]  for just a moment. Literally, the federal government's hijacked. It's dissolved the
[2:23:02.480 --> 2:23:07.120]  borders. It's devaluing the dollar. It is selling us out to communist China. It is coming
[2:23:07.120 --> 2:23:11.880]  after us with poison shots. It is suppressing known treatments for COVID-19. The hospitals
[2:23:11.880 --> 2:23:17.400]  are full of people with ADE from the shots. And now they're coming and saying Americans
[2:23:17.400 --> 2:23:22.480]  can't have gas pipelines or oil under the UN, but Saudi Arabia needs to up its output.
[2:23:22.480 --> 2:23:27.200]  I mean, simply put, we're not just saying they're a foreign outside power. The Democratic
[2:23:27.200 --> 2:23:31.040]  Party works for the globalists that are ending the country as we know it. And what does an
[2:23:31.040 --> 2:23:35.840]  occupied force do? It declares the domestic real citizens terrorist. So it's just like
[2:23:35.840 --> 2:23:40.820]  the VC French in World War II. They already quietly sold out to Hitler. That's why the
[2:23:40.820 --> 2:23:45.360]  French military folded like a, you know, house of cards. And then they were given control
[2:23:45.360 --> 2:23:49.360]  of the country by Hitler. And so that's what globalists are. They are collaborators that
[2:23:49.360 --> 2:23:52.400]  have sold out the country to multinational corporations.
[2:23:52.400 --> 2:23:56.520]  Absolutely. And they're going to continue to do so until something happens where the
[2:23:56.520 --> 2:24:00.680]  people unite and we stand together. And they're seeing that slowly right now. It won't be
[2:24:00.680 --> 2:24:05.240]  televised. The revolution never will be. But you are seeing Black Lives Matter, you know,
[2:24:05.240 --> 2:24:10.840]  from an arm with patriots in New York City the other day, protesting these mandates.
[2:24:10.840 --> 2:24:14.640]  And it's only going to get bigger. And in Atlanta. And in Atlanta and all. Exactly.
[2:24:14.640 --> 2:24:19.120]  That's really scaring the system. Yes. Oh, that's their biggest fear. Their biggest
[2:24:19.120 --> 2:24:23.920]  fear is unification of Americans because they have worked so hard and they've spent so money,
[2:24:23.920 --> 2:24:27.360]  so much money trying to divide us. And they still continue to do so.
[2:24:27.360 --> 2:24:31.360]  Why do you think even the good Republicans like Rand Paul and others won't get into the
[2:24:31.360 --> 2:24:34.960]  great reset, the new role order? When Klaus Schwab's like, this is all great government.
[2:24:34.960 --> 2:24:39.080]  We have seized America. I mean, he's on his website saying we control them now. It is
[2:24:39.080 --> 2:24:43.440]  we are going to shut that energy off and teach them that we are in command. And it's like
[2:24:43.440 --> 2:24:48.520]  some crazy German dude that looks like a James Bond villain. And then our own leaders are
[2:24:48.520 --> 2:24:52.520]  pointing out to Americans. This is a foreign attack.
[2:24:52.520 --> 2:24:56.800]  In my own personal opinion, as much as I've researched the deep state and the shadow government
[2:24:56.800 --> 2:25:00.560]  that we know is really running things because Biden can't even form a coherent sentence.
[2:25:00.560 --> 2:25:04.920]  We know that he is not the one in charge making these decisions. I think that there's a lot
[2:25:04.920 --> 2:25:10.000]  of darkness that that even we don't know about. And I think that if if it was exposed, I think
[2:25:10.000 --> 2:25:14.320]  that half of society would not know how to absorb that information.
[2:25:14.320 --> 2:25:17.920]  I think that the people in power, there's a lot of rhinos. And that's actually why I
[2:25:17.920 --> 2:25:21.800]  left the Republican Party and consider myself constitutionalist. But I think they're scared.
[2:25:21.800 --> 2:25:25.680]  I think there's a lot of things that go on behind closed doors, a lot of threats, a lot
[2:25:25.680 --> 2:25:31.040]  of blackmail, a lot of things like that, which, you know, inhibit honest men from from being
[2:25:31.040 --> 2:25:32.040]  on it.
[2:25:32.040 --> 2:25:36.480]  Well, that's right. They already shot at Brian Paul and broke his ribs and punctured his
[2:25:36.480 --> 2:25:41.680]  lung. They already hit Scalise. They've already attacked him when he goes outside. And so,
[2:25:41.680 --> 2:25:47.120]  yeah, they're hunted. And the Southern Power Law Center and ADL run the major Nazi groups
[2:25:47.120 --> 2:25:50.760]  in the country. And then they'll, I mean, they'll just come shoot your ass. So yeah,
[2:25:50.760 --> 2:25:51.760]  it's serious.
[2:25:51.760 --> 2:25:55.800]  No, it's very serious. There's things, you know, as a part of George Parnell instead
[2:25:55.800 --> 2:25:59.240]  of best, it's a big club and you ain't in it. And there are things that they do behind
[2:25:59.240 --> 2:26:02.640]  closed doors. And even out in the open, if you pay attention, little hand symbols, they'll
[2:26:02.640 --> 2:26:06.840]  make to each other. And then their facial expressions change and they turn around quickly
[2:26:06.840 --> 2:26:10.760]  and then, you know, they, they are all flustered afterwards. You have to pay attention to the
[2:26:10.760 --> 2:26:14.840]  little things, the details. And they always tell on themselves, you know, they always,
[2:26:14.840 --> 2:26:18.320]  they reveal the truth without trying to reveal the truth. You just have to read between the
[2:26:18.320 --> 2:26:19.320]  lines.
[2:26:19.320 --> 2:26:23.040]  Well, you're absolutely right. Well, I want to get you up again and hell you ought to
[2:26:23.040 --> 2:26:27.160]  come co-host for us sometime or do the fourth hour because you're being nice and pausing
[2:26:27.160 --> 2:26:32.280]  for me to talk. But we got two and a half minutes to break. Hit us with another rant
[2:26:32.280 --> 2:26:35.080]  that they're trying to censor.
[2:26:35.080 --> 2:26:39.320]  Another rant that they're trying to censor. Well, let's see. Well, let's talk about how
[2:26:39.320 --> 2:26:44.600]  the, the FDA panel was caught live on television when they were trying to approve the vaccine
[2:26:44.600 --> 2:26:49.280]  for five to 11 year olds. And it was unanimous that they approved it. But then when they
[2:26:49.280 --> 2:26:55.320]  had that little video tape, one of the advisors was saying, how will we know if, you know,
[2:26:55.320 --> 2:26:59.540]  the vaccine's safe unless we distributed to the people. These people are trying to give
[2:26:59.540 --> 2:27:05.280]  our children mRNA when all the animals in the trials died. So what did they do? They
[2:27:05.280 --> 2:27:10.120]  just stopped those trials. And now let's just give it to the American children. Okay, the
[2:27:10.120 --> 2:27:17.640]  CEO of Pfizer has not been vaccinated. Pfizer employees are exempt from being vaccinated.
[2:27:17.640 --> 2:27:20.800]  Immigrants at the border are exempt from being vaccinated. And if you talk about that on any
[2:27:20.800 --> 2:27:26.600]  platform whatsoever, shut down for misinformation when it's all factual information.
[2:27:26.600 --> 2:27:32.120]  And let that sink in what you just said. The board members that just voted to inject five
[2:27:32.120 --> 2:27:36.640]  year olds and up with an experimental shot said we won't know if it works till we give
[2:27:36.640 --> 2:27:40.680]  it to them. But they know in all the previous studies, it kills the majority of the animals
[2:27:40.680 --> 2:27:46.040]  in some studies, all of them. I mean, wow, this is premeditated murder out in the open.
[2:27:46.040 --> 2:27:51.360]  Absolutely. It's a war crime. We are at war, right?
[2:27:51.360 --> 2:27:56.040]  Gut level, Leah, though, it seems like you're optimistic that we're going to win.
[2:27:56.040 --> 2:28:00.600]  I, you know, it's better to have faith and I am a faithful woman. I believe that good
[2:28:00.600 --> 2:28:07.240]  resides over evil and good will always win in triumph over evil. There's no way with
[2:28:07.240 --> 2:28:11.360]  with all the people and there's a lot more of us. I mean, we are we outnumber, we are
[2:28:11.360 --> 2:28:15.920]  the majority. These people that you see on TV over and over again, they are not the majority
[2:28:15.920 --> 2:28:19.920]  no matter how hard they try to convince you that they are. They're not. We are the majority
[2:28:19.920 --> 2:28:24.680]  and we will win. We win every time. I mean, we're Americans. We're undefeated.
[2:28:24.680 --> 2:28:30.560]  Wow. Well, I'm sold and I really appreciate you. Please join us again. Anytime you've
[2:28:30.560 --> 2:28:35.080]  got breaking news, that's Leah Mathis. You can find her on Tik Tok at Lee Lee again with
[2:28:35.080 --> 2:28:39.320]  three ends at the end. There it is. Wow. Thank you so much.
[2:28:39.320 --> 2:28:41.720]  Thank you. All right, we got the guy who was just on
[2:28:41.720 --> 2:28:49.920]  Tucker Carlson again, Dr. Darren Betty. He's going to be on talking about what really happened
[2:28:49.920 --> 2:28:57.200]  on January 6. Stay with us. We'll be right back. If you're concerned about the power,
[2:28:57.200 --> 2:29:04.040]  you're listening to this message in the weekend of Friday, October 22, 2021. This is your
[2:29:04.040 --> 2:29:09.400]  last chance to get some of our best selling amazing products at info or store.com before
[2:29:09.400 --> 2:29:16.200]  they sell out like DNA force. Plus, that is the ultimate formula out there for strengthening
[2:29:16.200 --> 2:29:21.040]  your telomeres and the very engines of your cells. I mean, it's got a big dose of the
[2:29:21.040 --> 2:29:25.080]  highest quality PQQ and CoQ10 and a bunch of other key ingredients that God gave us
