[00:00.000 --> 00:22.000]  If you are receiving this transmission, you are the resistance.
[01:00:37.000 --> 01:00:40.000]  No, no, no, Dan Rather. Tom Brockels attacked me, too.
[01:00:40.000 --> 01:00:42.000]  Dan Rather attacking me, Glenn Beck.
[01:00:42.000 --> 01:00:49.000]  They've got David Hogg, who, if you even just say his name, you're banned off YouTube because he's a young child, a young baby.
[01:00:49.000 --> 01:00:55.000]  You know, he's a survivor of the shooting attack, who is admittedly an actor, but not acting as a crisis actor in a fake shooting.
[01:00:55.000 --> 01:01:00.000]  He's got talking points, just like the fake CNN halls.
[01:01:00.000 --> 01:01:02.000]  And if you say that, well, you've got to be banned.
[01:01:02.000 --> 01:01:10.000]  And Stelter's the same thing he says three times with Dan Rather and with Glenn Beck.
[01:01:10.000 --> 01:01:16.000]  And now with Hogg, Google, YouTube, Twitter got to do something about your harassment.
[01:01:16.000 --> 01:01:20.000]  They don't show the harassment.
[01:01:20.000 --> 01:01:24.000]  They just say, it's fake that you're an actor. No, he's an admitted actor.
[01:01:24.000 --> 01:01:26.000]  Just because you're an actor doesn't mean there wasn't a school shooting.
[01:01:26.000 --> 01:01:32.000]  So they play these mandal games, preying on their audience who they have total psychopathic disdain for.
[01:01:32.000 --> 01:01:33.000]  Stelter and people.
[01:01:33.000 --> 01:01:36.000]  I mean, it's like Gruber admitting, thank God you're so dumb.
[01:01:36.000 --> 01:01:40.000]  All of them, just preying you're not conscious, preying you're not paying attention.
[01:01:40.000 --> 01:01:42.000]  So here's that clip.
[01:01:42.000 --> 01:01:47.000]  Now, that's the sheriff at his prayer meetings.
[01:01:47.000 --> 01:01:53.000]  I want to play the clip of not Hogg defending the officer did not enter the shooting scene.
[01:01:53.000 --> 01:01:57.000]  Who wants to go down the barrel of an arrow 15? No, no, not that.
[01:01:57.000 --> 01:02:01.000]  He's just whatever they want. No one's even defending that, but he's defending him.
[01:02:01.000 --> 01:02:09.000]  No, no, it's the clip. David Hogg, thanks conspiracy theorist. Here it is.
[01:02:09.000 --> 01:02:15.000]  David, I have a lot I wanted to ask you, but I have to start with these terrible YouTube, Twitter, good, you know, good theories.
[01:02:15.000 --> 01:02:17.000]  If you search your name on Twitter right now.
[01:02:17.000 --> 01:02:19.000]  Let's stop right now. Back it up again.
[01:02:19.000 --> 01:02:24.000]  I want to start with these terrible things. He doesn't show it to you like they never do with me.
[01:02:24.000 --> 01:02:27.000]  They go, Jones says no one died. Jones says, blah, blah, blah.
[01:02:27.000 --> 01:02:30.000]  They're defrauding you when they do this.
[01:02:30.000 --> 01:02:33.000]  There's these terrible things. We can't let you see it.
[01:02:33.000 --> 01:02:39.000]  But then he takes the high robes. He knows they're playing good cop backup. Oh, I let them attack me. I'm an angel and over here.
[01:02:39.000 --> 01:02:43.000]  And he's sitting there next to Dan Rather who got fired from creating fake memos.
[01:02:43.000 --> 01:02:46.000]  Fake news chief. Let's go back here.
[01:02:46.000 --> 01:02:48.000]  Well, YouTube, Twitter, good, you know, good theories.
[01:02:48.000 --> 01:02:54.000]  If you search your name on Twitter right now, these lies about you being an actor are still at the top.
[01:02:54.000 --> 01:03:01.000]  Stop it again. You're being force fed 99% of the time, not the other 3000 students, but you even more than the other three.
[01:03:01.000 --> 01:03:05.000]  You four everywhere and people dare to question you and your political statements.
[01:03:05.000 --> 01:03:08.000]  How dare them their bullies. Here, let's keep going.
[01:03:08.000 --> 01:03:15.000]  It's great. It's great advertising, honestly. These people are doing an amazing thing in the sense that they're, they're showing how disgusting they are.
[01:03:15.000 --> 01:03:18.000]  The fact that they're calling out me as a witness of this.
[01:03:18.000 --> 01:03:25.000]  They want people to then counter him and then everyone will be banned because he's the new Christ. You do not talk about him.
[01:03:25.000 --> 01:03:32.000]  He was never an actor. He's not an activist. He's not anti-gun. No, no, he doesn't want your guns.
[01:03:32.000 --> 01:03:39.000]  He's perfect. He's a perfect person. He's an adult. He's a senior. He wants our guns, but that's okay.
[01:03:39.000 --> 01:03:44.000]  Ryan Stelter is on the phones with CNN and YouTube to ban you.
[01:03:44.000 --> 01:03:48.000]  If you don't, if you don't agree with him and turn your guns in, let's go back to it.
[01:03:48.000 --> 01:03:55.000]  It's a horrifying incident saying that I'm an actor, a crisis actor. It shows how sad I feel for those people, honestly.
[01:03:55.000 --> 01:03:59.000]  Because they've lost faith in America and we certainly haven't, but that's okay.
[01:03:59.000 --> 01:04:05.000]  Let's pause again. The leftist, I'm not saying Mr. Hogg, but the globalist hate America, flyover country.
[01:04:05.000 --> 01:04:09.000]  They want globalism. They want open borders. Again, though, we've lost faith in America.
[01:04:09.000 --> 01:04:15.000]  But there's no clips of what we said, is there? There's just you up there, all three of you.
[01:04:15.000 --> 01:04:22.000]  Dan Rather, Brian Stelter and you in a man's world, misrepresenting what we've said. Let's continue.
[01:04:22.000 --> 01:04:25.000]  Gonna outlive them. Absolutely.
[01:04:25.000 --> 01:04:30.000]  Did you think Google and Facebook and Twitter should do more, though, to try to tamp down this pollution?
[01:04:30.000 --> 01:04:36.000]  I mean, honestly, these people that have been attacking me on the media, not the media, these people that have been attacking me on the social media,
[01:04:36.000 --> 01:04:43.000]  they've been great advertisers. Ever since they started attacking me, my Twitter following is now over a quarter million people.
[01:04:43.000 --> 01:04:47.000]  People have continued to cover us in the media. They've done a great job then. For that, I honestly thank them.
[01:04:47.000 --> 01:04:51.000]  So, again, we just say, why is it only four students being force fed everywhere?
[01:04:51.000 --> 01:05:20.000]  And that turns into, we say nobody died, we're bullies, ban us, and then CNN is pushing.
[01:05:20.000 --> 01:05:29.000]  Our pure turmeric extract plus peppering from black pepper makes for optimal absorption to help boost and support your flexibility, mobility, joint function,
[01:05:29.000 --> 01:05:36.000]  immune system, and so much more. Regular turmeric root from the store only contains one to five percent of active ingredients,
[01:05:36.000 --> 01:05:41.000]  but our turmeric root extract contains over 95 percent of the active ingredients.
[01:05:41.000 --> 01:05:50.000]  Bodies combines turmeric with organic herbs such as spearmint, sage, lemon balm, and thyme to work synergistically for full body support.
[01:05:50.000 --> 01:06:19.000]  Try bodies today at infowarslife.com or call us at 1-88-253-3139.
[01:06:19.000 --> 01:06:27.000]  You know, I really should be more of a drama queen because there are hundreds and hundreds of publications online,
[01:06:27.000 --> 01:06:38.000]  newspapers all over the country, KTLA, Fox News, CNN, Alex Jones have been banned off the Internet for bullying children who are shooting survivors.
[01:06:38.000 --> 01:06:41.000]  You ever wondered how they'd ban free speech, how they'd kill the Internet?
[01:06:41.000 --> 01:06:51.000]  The CEO of News Corp said two weeks ago in the Wall Street Journal, we're going to call everything bullying, the heads of the telecoms, the heads of the major tech company, Silicon Valley.
[01:06:51.000 --> 01:07:00.000]  We all met last week, now three weeks ago, he said we all met, we've decided to call it all bullying, we're going to start by banning Alex Jones.
[01:07:00.000 --> 01:07:08.000]  Then there's the school shooting, students say there's multiple shooters, they say there's a Sheriff's Department stand down, some of the deputies didn't go in.
[01:07:08.000 --> 01:07:13.000]  We didn't say that was the case, we were having the kids on and showing local newscasts.
[01:07:13.000 --> 01:07:19.000]  They banned those newscasts, banned our channels, CNN says we're lobbying to have them shut down, they're filing the complaints.
[01:07:19.000 --> 01:07:28.000]  They say we said that no kids died, they were crisis actors, in the videos they banned, we have the videos, reuploadedinfowars.com got 7 million views just yesterday.
[01:07:28.000 --> 01:07:38.000]  You can put up the article that Drudge Report linked to, top story over Saturday and Sunday on the internet, thanks to Drudge.
[01:07:38.000 --> 01:07:41.000]  People saying multiple shooters, Sheriff's Department stand down.
[01:07:41.000 --> 01:07:48.000]  The big news was he was under state care on psychotropic drugs, Roger Jones, we'll be talking about that with Doug Hagman here in just a moment.
[01:07:48.000 --> 01:08:04.000]  But this is an epic time to be alive, ladies and gentlemen, and then you've got Dan Rather, who lost his job for creating fake documents, and you've got David Hogg, who is an admitted anti-gun activist,
[01:08:04.000 --> 01:08:10.000]  and on the acting club, doesn't mean he's fake or there wasn't a shooting, we're not saying he's a crisis actor.
[01:08:10.000 --> 01:08:24.000]  With Brian Stelter, who with Glenn Beck on the same show said we need to ban info wars, we need to block it, and Beck basically agrees, and then it just gets worse from there.
[01:08:24.000 --> 01:08:33.000]  Dan Rather, Zach, one of the producers pointed out, and remember this, he went to work for the Young Turks, who were mainly funded by Qatar, a Gulf dictatorship.
[01:08:33.000 --> 01:08:46.000]  And the Young Turks is the same name of the group that exterminated over a million and a half Armenian Christians, and by the way, the show denies it and says the Turks did a good job to other Islamic growth.
[01:08:46.000 --> 01:08:57.000]  Now, we're going to talk about all of this today, and our guests are about to co-host and take over in just a few minutes, but this is an epic time to be alive.
[01:08:57.000 --> 01:09:03.000]  I want to play a clip of Mr. Israel the Sheriff, who may just be a politician, trying to be nice to everybody.
[01:09:03.000 --> 01:09:14.000]  But when he says he's doing a fantastic job, and when he says he's basically invincible, and when he says he's not going to resign, even when the former head of the NYPD says he should,
[01:09:14.000 --> 01:09:20.000]  there was a major stand down here, and I understand law enforcement previously couldn't get the guy because the state wouldn't get him and had him on drugs.
[01:09:20.000 --> 01:09:30.000]  But I'm just saying, you don't blame gun owners when there was armed police there whose job it was, 34-year veteran to do this, and you got hogs saying, oh, I don't blame him, I don't want to be down in a barrel of a gun.
[01:09:30.000 --> 01:09:39.000]  You want to be down in a barrel of a gun when you're in the school resource officer that runs the shooting drills, and then more police show up and there's a stand down.
[01:09:39.000 --> 01:09:48.000]  While they're waiting to see what goes on, the point is, is that the feds and others knew it was coming and did nothing, and we broke all that, and the media calls that a conspiracy theory.
[01:09:48.000 --> 01:09:56.000]  But here's from a few years ago, here's Sheriff Israel of Coward County, Broward County, it's being called Coward County now.
[01:09:56.000 --> 01:10:00.000]  I know Roger has a better view on that, we're not a cult, you'll get to hear from him.
[01:10:00.000 --> 01:10:06.000]  But here is the Sheriff of Coward County in his little Islamist event, here it is.
[01:10:06.000 --> 01:10:20.000]  Alhamdulillah, brothers and sisters, Allah has blessed us with another Ramadan. Allah has locked the shaitan, and Alhamdulillah, the Sheriff continues to lock the bad people.
[01:10:20.000 --> 01:10:28.000]  Boycott Israel event, a Muslim retreat to jail, young people. Let's just continue, this is the Sheriff's apartment here.
[01:10:28.000 --> 01:10:35.000]  Alhamdulillah. Brothers and sisters, I wanted to stand here before you today, is Lisa here?
[01:10:35.000 --> 01:10:42.000]  It's important that we hear from our community, inshallah, I won't take much time and I'll introduce the Sheriff.
[01:10:42.000 --> 01:10:47.000]  But I want to testify before you, brothers and sisters, because it's important for you to hear from us.
[01:10:47.000 --> 01:10:50.000]  Alhamdulillah.
[01:10:50.000 --> 01:10:54.000]  And again, that's one of the deputies in the Sheriff's Reportedly there.
[01:10:54.000 --> 01:10:57.000]  There's a Sheriff right there and he goes and speaks as well, so let's just stop right there.
[01:10:57.000 --> 01:11:03.000]  All I know is, a bunch of the witnesses said that we're men running around in camera with big beard shooting people.
[01:11:03.000 --> 01:11:08.000]  Now, I'm not saying that happened. Vegas, that is what happened, and what we told you later came out.
[01:11:08.000 --> 01:11:14.000]  All I'm telling you is, this needs to be investigated, and we're asking questions and showing what students say,
[01:11:14.000 --> 01:11:20.000]  and we're being banned, and the media, the controlled media is misrepresenting what we said.
[01:11:20.000 --> 01:11:25.000]  So, I don't know what's going on. I believe people got shot.
[01:11:25.000 --> 01:11:30.000]  I trust Roger on his politics. You know, a lot of times he says the Sheriff's is not a bad guy.
[01:11:30.000 --> 01:11:35.000]  All I know is, there's been a stand down, and when I put videos up, YouTube's banning it,
[01:11:35.000 --> 01:11:40.000]  and then Glenn Beck and Dan Rather and Hogg and all of them are on TV talking about me,
[01:11:40.000 --> 01:11:43.000]  and in the old days, they'd have you on to respond to what they're saying,
[01:11:43.000 --> 01:11:48.000]  but they don't even show what we said or what we did.
[01:11:48.000 --> 01:11:53.000]  So, we'll get the expert breakdown of this, but remember, the Wall Street Journal said this is the rollout to censor everybody.
[01:11:53.000 --> 01:11:57.000]  This is the intimidation. This is the attack. That's why your support is more critical than ever.
[01:11:57.000 --> 01:12:01.000]  But I want to just briefly, before we play this clip and go to break and come back,
[01:12:01.000 --> 01:12:06.000]  and these guys will co-host the last three segments, I want to remind you that we're listeners supported.
[01:12:06.000 --> 01:12:10.000]  When you spread the articles, you spread the videos, when you hand-do that, it's the only way.
[01:12:10.000 --> 01:12:14.000]  When you support our local AM and FM stations and TV stations, it's how we get out there,
[01:12:14.000 --> 01:12:18.000]  but this is the show they don't want you to hear. This is the broadcast they don't want you to hear.
[01:12:18.000 --> 01:12:21.000]  This is the transmission they don't want you to hear.
[01:12:21.000 --> 01:12:27.000]  So, we have these sales about to end because I haven't had new ones yet. Icarin is 50% off, about to end.
[01:12:27.000 --> 01:12:31.000]  Liver and kidney cleanser. Cell force, 53% off. Incredible deal.
[01:12:31.000 --> 01:12:37.000]  Real Red Bull, 50% off. PalmaBot, 50% off. The high-quality fluoride-free toothpaste with iodionic oil, silver, 50% off.
[01:12:37.000 --> 01:12:40.000]  It's all there, infowarstore.com, infowarslife.com.
[01:12:40.000 --> 01:12:45.000]  But let's go out to break why these losers are so upset, why they're panicking, why they're going crazy.
[01:12:45.000 --> 01:12:53.000]  Let's remember election night when they said 99% chance Hillary was going to win, the young Turks, all of them, CNN, MSNBC,
[01:12:53.000 --> 01:12:59.000]  they lied to you, they tried to steal all these states, and they failed because you were awake, and we're going to continue this victory.
[01:12:59.000 --> 01:13:06.000]  But just remember, infowarstore.com, infowarslife.com, spy the products, they're great products, water filtration, air filtration,
[01:13:06.000 --> 01:13:09.000]  whatever the best is, we go out and we get it, we bring it to you.
[01:13:09.000 --> 01:13:12.000]  But a lot of these specials are about to end, infowarstore.com.
[01:13:12.000 --> 01:13:16.000]  We're going to go to break. I see Rodgers Skype sending out, or I would have already gone to him.
[01:13:16.000 --> 01:13:20.000]  So we may have to have the main host be Doug Hagman.
[01:13:20.000 --> 01:13:46.000]  But we're going to come back after the break, but right now let's go out to break with why they're so butthurt, why they're so upset, why they're throwing a temper tantrum.
[01:13:46.000 --> 01:13:52.000]  There's not going to be a President Donald Trump. Trump will never be elected President of the United States.
[01:13:52.000 --> 01:13:57.000]  There's not going to be President. A man who will never be President of the United States.
[01:13:57.000 --> 01:14:01.000]  Donald Trump is not going to be President of the United States. Take it to the bank.
[01:14:01.000 --> 01:14:03.000]  He will never be President.
[01:14:03.000 --> 01:14:07.000]  Donald Trump is not going to become President of the United States.
[01:14:07.000 --> 01:14:14.000]  She's at plus 19. Do you think the tapes made a difference? Of course, they made all the difference.
[01:14:14.000 --> 01:14:16.000]  This race is over.
[01:14:16.000 --> 01:14:21.000]  Hillary Clinton has raised more than double Donald Trump vastly outspending him.
[01:14:21.000 --> 01:14:24.000]  The presidency at about 89% for Hillary Clinton.
[01:14:24.000 --> 01:14:27.000]  Your analytical model has never been wrong.
[01:14:27.000 --> 01:14:30.000]  Now projects Hillary Clinton to win presidential election.
[01:14:30.000 --> 01:14:34.000]  100% chance. You still think she has 100% chance of winning the election?
[01:14:34.000 --> 01:14:35.000]  I do.
[01:14:35.000 --> 01:14:37.000]  And what would Donald Trump have to do to turn things around?
[01:14:37.000 --> 01:14:40.000]  Prayer and hope for a festivist miracle.
[01:14:40.000 --> 01:14:45.000]  This is CNN's coverage of Election Night in America. The fight for the presidency.
[01:14:45.000 --> 01:14:46.000]  Because we don't care.
[01:14:46.000 --> 01:14:48.000]  Okay, how's Kentucky? Who cares?
[01:14:48.000 --> 01:14:51.000]  Kentucky. I don't care about Indiana. Don't care.
[01:14:51.000 --> 01:15:00.000]  Indiana with West Virginia, Oklahoma, Tennessee, Mississippi, South Carolina, Alabama, Kansas, Nebraska,
[01:15:00.000 --> 01:15:05.000]  and Wyoming with its vote North Dakota and South Dakota, Texas.
[01:15:05.000 --> 01:15:08.000]  Up and down the middle of the country. All red.
[01:15:08.000 --> 01:15:12.000]  Arkansas, Louisiana, the state of Montana, Missouri.
[01:15:12.000 --> 01:15:15.000]  It was at 80% an hour ago for Clinton.
[01:15:15.000 --> 01:15:16.000]  What is it now?
[01:15:16.000 --> 01:15:17.000]  68%.
[01:15:17.000 --> 01:15:19.000]  Okay, I'm f***ing nervous.
[01:15:19.000 --> 01:15:20.000]  Ohio.
[01:15:20.000 --> 01:15:22.000]  Oh, oh, oh, hold on. Ohio, gone.
[01:15:22.000 --> 01:15:23.000]  Ohio.
[01:15:23.000 --> 01:15:27.000]  Okay, yeah, I don't see a f***ing last slide here. I don't see it at all.
[01:15:27.000 --> 01:15:28.000]  North Carolina.
[01:15:28.000 --> 01:15:32.000]  F***ing f***ing, if we need Florida, are you f***ing me?
[01:15:32.000 --> 01:15:33.000]  Florida.
[01:15:33.000 --> 01:15:35.000]  It is f***ing panic time.
[01:15:35.000 --> 01:15:36.000]  Georgia.
[01:15:36.000 --> 01:15:38.000]  Donald Trump now the favorite to win the presidency.
[01:15:38.000 --> 01:15:39.000]  Iowa.
[01:15:39.000 --> 01:15:44.000]  New York Times now has it at 95% chance.
[01:15:44.000 --> 01:15:45.000]  Utah.
[01:15:45.000 --> 01:15:49.000]  We still win, but in order to do so, she has to win Wisconsin.
[01:15:49.000 --> 01:15:50.000]  Wisconsin.
[01:15:50.000 --> 01:15:52.000]  F***ing, F***ing, F***ing, Arizona.
[01:15:52.000 --> 01:15:53.000]  Alaska.
[01:15:53.000 --> 01:15:54.000]  Pennsylvania.
[01:15:54.000 --> 01:15:55.000]  Michigan.
[01:15:55.000 --> 01:15:56.000]  What a night.
[01:15:56.000 --> 01:15:58.000]  We'll be back, stay with us, Roger Stone and Doug Hagman.
[01:15:58.000 --> 01:16:01.000]  Matt and Ohio, you're on the air. Another Matt, go ahead.
[01:16:01.000 --> 01:16:06.000]  Yeah, hey, listen, I just wanted to say real quick, I'm a longtime listener of N4s, and
[01:16:06.000 --> 01:16:11.000]  I just wanted to say that the t-shirts that you guys are offering are absolutely fantastic,
[01:16:11.000 --> 01:16:15.000]  and that really is a great way to deal with this battle in the N4.
[01:16:15.000 --> 01:16:20.000]  It might seem like a simple thing, but then particularly these slogan t-shirts that you
[01:16:20.000 --> 01:16:23.000]  guys got up right now are absolutely amazing.
[01:16:23.000 --> 01:16:28.000]  Well, thank you. My favorite new one is the don't tread on me, but said it says won't
[01:16:28.000 --> 01:16:33.000]  tread on me, and it's a big Deglo snake, Gadsden snake, and then it's got the American flag,
[01:16:33.000 --> 01:16:35.000]  infowars.com on the right arm.
[01:16:35.000 --> 01:16:40.000]  I mean, that's a great way just to meet like-minded people and spread the word and also exercise
[01:16:40.000 --> 01:16:41.000]  free speech.
[01:16:41.000 --> 01:16:47.000]  And the newest one is trigger warning t-shirt, trigger warning t-shirt, which is the symbol
[01:16:47.000 --> 01:16:51.000]  of a trigger with a yield sign and then infowars.com on the back.
[01:16:51.000 --> 01:16:57.000]  That is the new shirt of the month available exclusively at infowars.com.
[01:16:57.000 --> 01:17:03.000]  Maximize your potential and take your body back with super male vitality.
[01:17:03.000 --> 01:17:08.000]  We're breaking the conditioning and fighting back against the globalist's war on male vitality.
[01:17:08.000 --> 01:17:13.000]  Our ultimate non-GMO formula is sourced from powerful organic herbs that have been gathered
[01:17:13.000 --> 01:17:18.000]  from around the world and then concentrated for maximum potency.
[01:17:18.000 --> 01:17:23.000]  Super male vitality was developed to activate your body's natural processes instead of using
[01:17:23.000 --> 01:17:25.000]  synthetic chemicals.
[01:17:25.000 --> 01:17:29.000]  InfoWarsLife wants to bring you the highest quality products.
[01:17:29.000 --> 01:17:35.000]  Our unique combination of ingredients is designed to assist the body in regulating proper balance
[01:17:35.000 --> 01:17:38.000]  and creating superior vitality in males.
[01:17:38.000 --> 01:17:42.000]  Support your body and mind and take yourself to the next level.
[01:17:42.000 --> 01:17:46.000]  Boost your vitality and energize your life.
[01:17:46.000 --> 01:17:48.000]  Take control of your body.
[01:17:48.000 --> 01:17:53.000]  Grab a bottle of super male vitality today at infowarslife.com.
[01:17:53.000 --> 01:17:56.000]  That's infowarslife.com.
[01:18:23.000 --> 01:18:27.000]  This is my favorite blend, 100% organic coffee at infowarslife.com.
[01:18:27.000 --> 01:18:32.000]  This coffee gives you a long, smooth pick me up for hours without the headaches and heartburn
[01:18:32.000 --> 01:18:34.000]  that so many other coffees give me personally.
[01:18:34.000 --> 01:18:39.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly
[01:18:39.000 --> 01:18:41.000]  to the Chiapas Mexican farmers.
[01:18:41.000 --> 01:18:45.000]  Dropped by the site today, order a bag or two and I don't think you're going to be disappointed.
[01:18:45.000 --> 01:18:49.000]  Available in original or with our immune support infusion blend.
[01:18:49.000 --> 01:18:54.000]  You will be supporting a free press all the while enjoying a truly great tasting cup
[01:18:54.000 --> 01:18:58.000]  of my favorite coffee available at infowarslife.com.
[01:18:58.000 --> 01:19:02.000]  Let's talk to Victor in Florida. Victor, you're calling, go ahead.
[01:19:02.000 --> 01:19:04.000]  Yes, hi Alex.
[01:19:04.000 --> 01:19:08.000]  First, I just want to mention if people just go and try the products,
[01:19:08.000 --> 01:19:10.000]  they will be ordering all the time.
[01:19:10.000 --> 01:19:15.000]  I've ordered several of the products over and over because it's amazing.
[01:19:15.000 --> 01:19:19.000]  In particular, silver bullet, as soon as I start to feel like I get a little stick,
[01:19:19.000 --> 01:19:24.000]  you know, maybe like a little raspiness in my throat, I drop some silver bullet and it like,
[01:19:24.000 --> 01:19:27.000]  I'll still feel a little stick but it won't last as long.
[01:19:27.000 --> 01:19:31.000]  And I just ordered the body, the alpha power and the pollen block.
[01:19:31.000 --> 01:19:33.000]  Well, let me just say something, Victor.
[01:19:33.000 --> 01:19:37.000]  It's people like you that then fund the whole operation because a very small percentage of people buy products
[01:19:37.000 --> 01:19:41.000]  and a very small percentage of them buy a lot of the products, so thank you.
[01:19:41.000 --> 01:19:47.000]  You mentioned the silver bullet, colloidal silver. It's got thousands of reviews, a 98% review.
[01:19:47.000 --> 01:19:51.000]  It is our highest reviewed product because it is from the top lab in the country,
[01:19:51.000 --> 01:19:54.000]  discounted high quality colloidal silver. It's not a silver bullet,
[01:19:54.000 --> 01:19:57.000]  but it's the closest thing you're going to find to a silver bullet.
[01:19:57.000 --> 01:20:07.000]  You're listening to the Alex Jones show.
[01:20:11.000 --> 01:20:19.000]  Waging War on Corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[01:20:19.000 --> 01:20:29.000]  Welcome back to the Sunday edition of Info Wars. Doug Hagman sitting in for Alex Jones.
[01:20:29.000 --> 01:20:35.000]  Thank you so much, Alex, and thank you Info Warriors for your support of the Info Wars products.
[01:20:35.000 --> 01:20:38.000]  A number of issues. I'll tell you something.
[01:20:38.000 --> 01:20:45.000]  The last, just watching that video of the sheriff from Florida, I don't know.
[01:20:45.000 --> 01:20:49.000]  I'll tell you something. I have not seen that video before, and most assuredly,
[01:20:49.000 --> 01:20:53.000]  I've not seen that video in the manner in which it was presented here on this platform.
[01:20:53.000 --> 01:20:58.000]  So it was very interesting to me. The Florida, of course, referencing the sheriff of Broward County, Florida,
[01:20:58.000 --> 01:21:01.000]  and the Florida shooting that had taken place.
[01:21:01.000 --> 01:21:08.000]  And of course, the, whatever you want to call it, just the cover up in the assault.
[01:21:08.000 --> 01:21:10.000]  You know, it's interesting. I find this very interesting.
[01:21:10.000 --> 01:21:14.000]  The last Friday when I was on with Alex, we had talked about censorship.
[01:21:14.000 --> 01:21:22.000]  And Alex talked about censorship as well. And by the way, Roger Stone, if he does come on, it'll be soon.
[01:21:22.000 --> 01:21:26.000]  He's having some issues with Skype, so no worries there.
[01:21:26.000 --> 01:21:31.000]  But again, until he does come back, I'll be taking over for him.
[01:21:31.000 --> 01:21:37.000]  But the issue of censorship, you know, I had said something last Friday when I was on with Milo and Alex,
[01:21:37.000 --> 01:21:40.000]  and I think it bears repeating.
[01:21:40.000 --> 01:21:50.000]  And this is a quote from a friend of mine, Coach Dave Dobbemeyer, who happened to be actually featured on kind of a spoof piece on Howard Stern.
[01:21:50.000 --> 01:21:57.000]  But he had said to me one time, the truth becomes hate speech to those who hate the truth.
[01:21:57.000 --> 01:22:00.000]  And I thought that was a very profound statement.
[01:22:00.000 --> 01:22:10.000]  And if you think about that, the only way that the progressive lobotomized liberals, in this case, the people who want to take over,
[01:22:10.000 --> 01:22:18.000]  to create and maintain this meme, they cannot argue the facts.
[01:22:18.000 --> 01:22:24.000]  The facts are brought up. The facts are questioned.
[01:22:24.000 --> 01:22:27.000]  They cannot answer those questions. What do they do?
[01:22:27.000 --> 01:22:32.000]  They pull the plug or attempt to pull the plug. That's how they operate.
[01:22:32.000 --> 01:22:41.000]  It's like a sociopath arsonist. If I can't have it, you can't have it. We're going to burn it all down.
[01:22:41.000 --> 01:22:45.000]  That's the approach, at least in my view, of what's taking place.
[01:22:45.000 --> 01:22:51.000]  And I just want to make sure everyone understands, you know, Alex fights every single day.
[01:22:51.000 --> 01:23:00.000]  We fight the fight every single day of censorship, where we have people going to our sponsors, going to our guests and potential guests,
[01:23:00.000 --> 01:23:06.000]  and selling the platform because they cannot fight facts.
[01:23:06.000 --> 01:23:10.000]  So they've got to pull the plug. Just a couple of things on that.
[01:23:10.000 --> 01:23:13.000]  But I do have got some news in addition to that.
[01:23:13.000 --> 01:23:21.000]  And I think that this is really important and critical, in my view, at least exclusive to Info Wars at this point.
[01:23:21.000 --> 01:23:31.000]  This is brand new. I have not heard anyone else talking about this either in the corporate media or in the alternative media.
[01:23:31.000 --> 01:23:34.000]  So this has to do with what was released yesterday.
[01:23:34.000 --> 01:23:42.000]  And it's all about the democratic response with respect to the Nunez memo.
[01:23:42.000 --> 01:23:52.000]  And of course, the House Permanent Law Committee on Intelligence issued a memo that was approved earlier this month in February of 2018.
[01:23:52.000 --> 01:24:01.000]  And that was on the Republican side, shall we say, the partisan side, the Republican partisan side of the House Permanent Law Committee on Intelligence.
[01:24:01.000 --> 01:24:06.000]  And that was a three and a half page memo that was released, authorized by President Donald Trump.
[01:24:06.000 --> 01:24:12.000]  Well, in response to that, yesterday, a 10 page memo had come out.
[01:24:12.000 --> 01:24:16.000]  Roughly, I think it was 10 pages, 12 pages.
[01:24:16.000 --> 01:24:19.000]  I'm trying to not leave it to anyone.
[01:24:19.000 --> 01:24:25.000]  Okay, I just heard something about your, is Howard Stohr or Roger Stohm there?
[01:24:25.000 --> 01:24:32.000]  I am indeed. I'm delighted. There we go. So we are starting problems have been addressed.
[01:24:32.000 --> 01:24:36.000]  Roger, a yield to you.
[01:24:36.000 --> 01:24:41.000]  Great. Thank you, Doug. Thank you very much. Skype is can be a difficult one.
[01:24:41.000 --> 01:24:44.000]  It wants to look at this is extraordinary.
[01:24:44.000 --> 01:25:00.000]  The Washington Post in an incredible piece by Jennifer Rubin says that the House Minority Memo, the so-called Democratic Memo claims that the Russians send documents to Trump associates.
[01:25:00.000 --> 01:25:08.000]  They speculate, Roger Stohm, for review. This is completely and categorically false.
[01:25:08.000 --> 01:25:12.000]  I testified under oath for four hours. I addressed all these questions.
[01:25:12.000 --> 01:25:19.000]  There is no evidence that I ever received anything from any Russians because I didn't.
[01:25:19.000 --> 01:25:25.000]  This is, and this is a complete conjecture. Jennifer Rubin and the Washington Post in this case are fake news.
[01:25:25.000 --> 01:25:31.000]  This is meant to forward, I think, a collapsed agenda of Russian collusion.
[01:25:31.000 --> 01:25:36.000]  This, I think, as we now understand is manufactured by the Democrats,
[01:25:36.000 --> 01:25:51.000]  turbocharged with our tax dollars by the FBI and DOJ under Obama in an attempt to essentially hijack a presidential election and then try to undo the presidency of Donald Trump.
[01:25:51.000 --> 01:25:57.000]  The text messages of the FBI and the show us that.
[01:25:57.000 --> 01:26:05.000]  There's numerous documents produced by judicial watch that prove this, for which I commend them.
[01:26:05.000 --> 01:26:12.000]  So I think that they are trying to inflate a balloon that has already collapsed.
