[00:00:00.896 --> 00:00:03.176]  Victimizers, beware!
[01:55:14.532 --> 01:55:16.532]  So everything else is shut down but Democrats.
[01:55:16.532 --> 01:55:17.992]  They're saying, we rule the streets.
[01:55:17.992 --> 01:55:20.033]  Don't leave your house, but we rule the streets.
[01:55:20.033 --> 01:55:21.893]  And when we march, it fights COVID.
[01:55:21.893 --> 01:55:23.154]  Literally 2 plus 2 equals 500.
[01:55:23.914 --> 01:55:30.778]  Part of me almost wants them, in a kind of diabolical war way, to just shut everything down nationwide.
[01:55:30.778 --> 01:55:34.821]  Just so conservatives can free up time to fight back.
[01:55:34.821 --> 01:55:39.443]  Just so we could have a 10,000 rally strong in 50 cities, just like they have for George Floyd.
[01:55:39.443 --> 01:55:41.345]  Who, by the way, I mean, we barely even covered this.
[01:55:41.345 --> 01:55:42.425]  I mentioned it yesterday.
[01:55:42.425 --> 01:55:44.106]  The transcripts came out from George Floyd.
[01:55:46.508 --> 01:55:54.555]  He was foaming at the mouth, smashing his head against the cop vehicle on the inside, ranting and raving in the backseat.
[01:55:54.555 --> 01:55:57.137]  Like you said, then started coming down from his drug trip.
[01:55:57.137 --> 01:55:58.598]  Excited delirium.
[01:55:58.598 --> 01:56:01.440]  Asked them to take him out of the vehicle and put them on the ground.
[01:56:01.440 --> 01:56:04.123]  Again, I'm not glad George Floyd died.
[01:56:04.123 --> 01:56:04.503]  You know what?
[01:56:04.503 --> 01:56:06.164]  Maybe that cop does deserve some punishment.
[01:56:06.164 --> 01:56:07.205]  You can review it and decide.
[01:56:07.205 --> 01:56:08.166]  I don't live in Minneapolis.
[01:56:08.186 --> 01:56:13.390]  But it's another Democrat city, they knew each other, and all of this is the excuse for what they've done.
[01:56:13.390 --> 01:56:17.933]  It has nothing to do with black people, it's about bringing the country down, sinking the ship.
[01:56:17.933 --> 01:56:20.795]  And they haven't stopped rioting since.
[01:56:20.795 --> 01:56:21.555]  They haven't stopped.
[01:56:21.555 --> 01:56:31.342]  And they're, oh, they get carte blanche, but oh, if you want to go out and even drive your car over a gay pride thing that's been painted on the road, well, we're going to investigate you for a hate crime.
[01:56:31.342 --> 01:56:34.344]  We're going to go watch the cameras, and we're going to contact you, and you're going to get in trouble.
[01:56:35.014 --> 01:56:36.094]  So this is the new world?
[01:56:36.094 --> 01:56:37.375]  This is the- This is a cult!
[01:56:37.375 --> 01:56:43.918]  Imagine if Scientologists painted their flag on the ground, and you drove over it, they'd come after you, they'd arrest them all!
[01:56:43.918 --> 01:56:44.618]  So what do we do?
[01:56:44.618 --> 01:56:45.238]  I mean, that's what I'm saying.
[01:56:45.238 --> 01:56:52.101]  It's like, so I kind of want them to shut everything down, and then finally maybe Trump supporters and conservatives, 10,000 strong per city, will get out in the streets.
[01:56:52.101 --> 01:57:00.145]  It's like, if we all went out to Austin, and 10,000 of us painted over the Austin Black Matters, or whatever it is, what are they going to do?
[01:57:00.145 --> 01:57:01.085]  Arrest all of us?
[01:57:01.085 --> 01:57:04.327]  But you know, if one or two people did it- Guarantee you they'd say it was a hate crime.
[01:57:05.017 --> 01:57:07.882]  If one or two people did it, but if 10,000 people did it, what are they going to do?
[01:57:09.508 --> 01:57:11.869]  All I know is, is that this is pure crap.
[01:57:11.869 --> 01:57:19.072]  Because they claim Black Lives Matter when the group doing it literally is founded to kill black people and their mission statement is no nuclear family.
[01:57:19.072 --> 01:57:19.993]  That'll kill everybody!
[01:57:19.993 --> 01:57:25.955]  And you know Alex, I actually brought up that point to one of the BLM protesters the other night and he had no idea.
[01:57:25.955 --> 01:57:27.476]  I was like, he was like, well who said that?
[01:57:27.476 --> 01:57:33.699]  And I said the founders of Black Lives Matter, they, they're literally talking about dismantling the nuclear family.
[01:57:33.699 --> 01:57:34.919]  They're pro-abortion.
[01:57:34.919 --> 01:57:37.120]  And their main mission is black trans men.
[01:57:37.120 --> 01:57:39.041]  That's black men getting their balls cut off.
[01:57:39.141 --> 01:57:42.022]  People who stand up for Black Lives Matter have no idea.
[01:57:42.022 --> 01:57:43.102]  They have no idea.
[01:57:43.102 --> 01:57:44.542]  I represent black people.
[01:57:44.542 --> 01:57:46.422]  I'm here to chop your balls off.
[01:57:46.422 --> 01:57:50.883]  And that's why when I was talking to them and I said, hey, here's what we should do.
[01:57:50.883 --> 01:57:58.924]  End the war on drugs, release all non-violent criminals tomorrow, and probably lower the drinking age, raise speed limits.
[01:57:58.924 --> 01:58:02.245]  You need to cut interactions between citizens and police down.
[01:58:02.245 --> 01:58:04.225]  And they were kind of like, huh, that's a good solution.
[01:58:04.225 --> 01:58:07.246]  And have police target more white collar crime in the establishment.
[01:58:07.626 --> 01:58:09.948]  But no one ever suggests that.
[01:58:09.948 --> 01:58:10.848]  No!
[01:58:10.848 --> 01:58:13.510]  Let's sterilize black boys!
[01:58:13.510 --> 01:58:15.051]  Because we really like blacks.
[01:58:15.051 --> 01:58:15.852]  Well, you know what?
[01:58:15.852 --> 01:58:25.578]  What that guy said over there was actually really accurate, and I agree, but he's white, and... I love black people so much, I want to abort them, and if they made it out of mama, cut their balls off!
[01:58:25.578 --> 01:58:29.521]  The Southern Poverty Law Center told me not to listen to that guy.
[01:58:29.521 --> 01:58:30.882]  Chop their balls!
[01:58:30.882 --> 01:58:32.123]  Chop their balls!
[01:58:32.123 --> 01:58:33.363]  Chop their balls!
[01:58:33.363 --> 01:58:33.744]  BLM!
[01:58:33.744 --> 01:58:34.024]  BLM!
[01:58:34.024 --> 01:58:34.664]  BLM!
[01:58:34.664 --> 01:58:35.024]  BLM!
[01:58:35.024 --> 01:58:35.185]  BLM!
[01:58:40.279 --> 01:58:44.142]  The July 4th Mega Sale ends on July 12th.
[01:58:44.142 --> 01:58:45.623]  Storewide free shipping.
[01:58:45.623 --> 01:58:46.984]  Double Patriot Points.
[01:58:46.984 --> 01:58:48.065]  Double Patriot Points.
[01:58:48.065 --> 01:58:57.072]  50 to 60% off all these best-selling items, including a bunch that have been sold out for months and are back in limited supply, like Winner, some of vitamin D3 and vitamin K free immune system.
[01:58:57.072 --> 01:58:58.553]  Sold out, back in stock.
[01:58:58.553 --> 01:58:59.654]  Ultra 12, I call it B12.
[01:58:59.654 --> 01:59:01.676]  50% off, sold out for months.
[01:59:01.676 --> 01:59:05.859]  Bodies, the bestseller, ultimate turmeric formula, concentrated turmeric, back in stock.
[01:59:06.880 --> 01:59:07.801]  We're good to go.
[01:59:49.423 --> 01:59:54.186]  I mean, Black Lives Matter is run by Planned Parenthood, Original Funding, George Soros.
[01:59:54.186 --> 01:59:55.848]  Their main mission is to get rid of black people.
[01:59:55.848 --> 01:59:57.769]  I mean, go read it.
[01:59:57.769 --> 01:59:58.449]  It's ridiculous.
[01:59:58.449 --> 02:00:01.051]  And then, like, we want to make black men trans.
[02:00:01.051 --> 02:00:03.213]  That's our main mission, to get rid of the nuclear family.
[02:00:03.213 --> 02:00:09.017]  I mean, if I wanted to get rid of people, I'd say, chop your balls off and don't have a nuclear family.
[02:00:09.017 --> 02:00:10.638]  I mean, that means sterilize you, kill you.
[02:00:11.977 --> 02:00:15.142]  So it's the other arm of that, and the left's like, yeah.
[02:00:15.142 --> 02:00:17.947]  You know, we're like, black, winking at me, and I'm like, I don't want to kill black people.
[02:00:17.947 --> 02:00:19.269]  Oh, come on, come on.
[02:00:19.269 --> 02:00:22.153]  But I mean, I gotta tell you, black folks, they're your total enemy.
[02:00:22.153 --> 02:00:23.595]  I mean, you just need to wake up, Savannah.
[02:00:24.508 --> 02:00:34.333]  I completely agree, Alex, and we've seen that in the exact, I mean, everything that's been going on for the past couple of months and how they've weaponized the black community, used their own emotions against them.
[02:00:34.333 --> 02:00:36.294]  Now we're seeing all this rioting in the street.
[02:00:36.294 --> 02:00:41.416]  We're seeing more death in the black community as a response to all of this.
[02:00:41.416 --> 02:00:43.257]  And it's very sad to see.
[02:00:43.257 --> 02:00:53.182]  So I wish people would really wake up to what's actually going on and how they're being used as pawns in society today to further push political agendas and further push these just bad ideas.
[02:00:53.302 --> 02:00:55.386]  Because it's mainly white people eating it till now.
[02:00:55.386 --> 02:01:00.156]  Now we have footage coming out of New York of the church with black dudes going and threatening to beat everybody up.
[02:01:00.156 --> 02:01:02.941]  I mean, folks, you don't want to be lured into doing that.
[02:01:03.519 --> 02:01:13.164]  Exactly, and you know, I think at the beginning of all this I just saw somebody say that Black Lives Matter is great at marketing because their organization looks like, you know, it's just about Black Lives Matter.
[02:01:13.164 --> 02:01:22.568]  But then again, if you really look into the organization as a whole, you research what they actually stand for, it's opposite of what the real black community actually stands for.
[02:01:22.568 --> 02:01:27.650]  Because I've gone and I've talked to so many people that have been a part of this community and they're like, what about the nuclear family?
[02:01:27.650 --> 02:01:32.613]  Like, we all know that children that are raised in a one-parent household have higher rates of going on drugs.
[02:01:33.353 --> 02:01:39.276]  You want black guys to go to a multiracial church and threaten to kick people's asses and yell at people's little kids?
[02:01:39.276 --> 02:01:41.597]  I mean, I'm surprised these guys did not get their asses beat bad.
[02:01:41.597 --> 02:01:42.057]  You know what?
[02:01:42.057 --> 02:01:45.159]  The answer to that is, Alex, it's very simple, and this happens all the time.
[02:01:45.159 --> 02:01:48.861]  It's the same reason why the Latino girls always attack Savannah.
[02:01:48.861 --> 02:01:53.543]  It's the same reason why some gay crossdresser threatened to kill and rape Ashley St.
[02:01:53.543 --> 02:01:54.644]  Clair.
[02:01:54.644 --> 02:01:55.344]  It's the same reason.
[02:01:55.344 --> 02:01:56.705]  These people are jealous.
[02:01:57.145 --> 02:02:05.771]  They're jealous that that black family walked in there with a strong father figure, a strong mother figure, a son that dresses well and knows how to play a musical instrument and has a future.
[02:02:05.771 --> 02:02:06.251]  They're jealous.
[02:02:06.251 --> 02:02:06.571]  Well, that's it.
[02:02:06.571 --> 02:02:09.913]  If you look at them, whether they're black or white, they all look like rat-like mental patients.
[02:02:09.913 --> 02:02:13.836]  Like, if I was going to cast for a movie about mental patients, that would be them.
[02:02:14.176 --> 02:02:24.961]  Alex, and not to be mean, but the people on the streets, they are the people who are obese, who don't take showers, who just, their overall quality of life does not look good, and you can see it reflected in the way they take care of themselves.
[02:02:24.961 --> 02:02:26.502]  And they're the type of people that just keep buying lottery tickets.
[02:02:26.502 --> 02:02:30.243]  They think, finally, the media's on my side, if I go do this, I'll be a hero.
[02:02:30.243 --> 02:02:31.324]  No, you're an idiot!
[02:02:31.684 --> 02:02:32.045]  Exactly.
[02:02:32.045 --> 02:02:33.086]  They think they're making a change.
[02:02:33.086 --> 02:02:36.912]  They think they're leading this revolution, when in reality, they're doing nothing.
[02:02:36.912 --> 02:02:43.161]  They can't even stand up for themselves, which is why they have to come mob one person in a group of ten, because they can't stand individually.
[02:02:43.161 --> 02:02:44.563]  They don't even know what they stand for.
[02:02:44.563 --> 02:02:45.304]  That's right.
[02:02:45.304 --> 02:02:45.904]  Alright, now here we go.
[02:02:47.381 --> 02:02:48.282]  This is DeBlasio.
[02:02:48.282 --> 02:02:49.543]  It's up on Infowars.com.
[02:02:49.543 --> 02:02:53.846]  It says BLM protests can continue while canceling all other large events.
[02:02:53.846 --> 02:02:58.530]  So literally, party members of the Democratic Party, they run it, they get the money.
[02:02:58.530 --> 02:03:06.237]  Our party is allowed to be on the streets, but Christian groups, conservative groups, libertarian groups, no one else, Jewish groups,
[02:03:07.097 --> 02:03:08.858]  I will arrest you!
[02:03:08.858 --> 02:03:10.820]  Because BLM is important, you're not.
[02:03:10.820 --> 02:03:12.341]  He's saying you are not essential.
[02:03:12.341 --> 02:03:15.063]  And he says, oh, we got a few religious leaders that agree with me.
[02:03:15.063 --> 02:03:17.765]  So if one religious leader agrees, all of you have no rights.
[02:03:17.765 --> 02:03:19.386]  Here it is.
[02:03:19.386 --> 02:03:22.909]  Outdoor concerts, and it means things like parades.
[02:03:22.909 --> 02:03:29.133]  You know, things here in this city can mean not just thousands, tens of thousands, hundreds of thousands of people.
[02:03:29.133 --> 02:03:30.895]  It's just not time for that now.
[02:03:30.895 --> 02:03:31.835]  What about protests?
[02:03:31.835 --> 02:03:34.958]  If people want to march down Fifth Avenue, are they going to be allowed to do so?
[02:03:35.669 --> 02:03:38.450]  Look, Wolf, this is always an area of real sensitivity.
[02:03:38.450 --> 02:03:43.191]  If you're just talking about health, we would always say, hey folks, you know, stay home if you can.
[02:03:43.191 --> 02:03:48.332]  But we understand at this moment in history, people are talking about the need for historic changes.
[02:03:48.332 --> 02:03:56.974]  I mean, today, in New York City, you know, recognizing the power and the meaning of the message Black Lives Matter, which we did in front of Trump Tower today.
[02:03:57.734 --> 02:03:59.375]  This is a historic moment of change.
[02:03:59.375 --> 02:04:09.779]  We have to respect that, but also say to people, the kinds of gatherings we're used to, the parades, the fairs, we just can't have that while we're focusing on health right now.
[02:04:09.779 --> 02:04:13.180]  And by the way, so they'll decide in the future, too, who can rally, who can demonstrate.
[02:04:13.180 --> 02:04:19.143]  So, if you want to have a Catholic parade, or you want to have a Protestant parade, or you want to have a parade for the military, that's not allowed.
[02:04:19.143 --> 02:04:20.223]  Because that doesn't matter.
[02:04:20.223 --> 02:04:21.384]  That speech doesn't matter.
[02:04:21.384 --> 02:04:27.026]  This speech of the Democrats and Soros and Marxism and no nuclear family, it's so important.
[02:04:27.026 --> 02:04:27.466]  It does survive.
[02:04:28.306 --> 02:04:33.549]  Exactly, and you know they always try to say too, well we can't impede on their First Amendment right to protest.
[02:04:33.549 --> 02:04:36.491]  Well what about our right to religion, our freedom to religion?
[02:04:36.491 --> 02:04:38.612]  How is that any different?
[02:04:38.612 --> 02:04:41.614]  So it's ridiculous that they're picking and choosing what can and cannot be done.
[02:04:41.614 --> 02:04:43.955]  It has a name, it's called total discrimination.
[02:04:43.955 --> 02:04:45.196]  Exactly, exactly.
[02:04:45.970 --> 02:04:57.125]  I just can't imagine the type of blackmail that de Blasio has on him with his top staffer that had all the child porn, terabytes of child pornography, child rape, snuff films.
[02:04:57.125 --> 02:04:58.207]  We know about Wiener's lab.
[02:04:58.207 --> 02:05:00.069]  By the way, I've talked about that staffer on here before.
[02:05:00.069 --> 02:05:01.071]  He said that guy looks like a pedophile.
[02:05:01.691 --> 02:05:03.792]  You know, all the stuff that was on Wiener's laptop.
[02:05:03.792 --> 02:05:04.892]  He was running out of New York.
[02:05:04.892 --> 02:05:06.612]  So, does Wiener look like a pedophile?
[02:05:06.612 --> 02:05:12.074]  All the stuff that was in the safe at the Epstein Manor in New York.
[02:05:12.074 --> 02:05:14.094]  Of course, you've got the Nixivim sex cult.
[02:05:14.094 --> 02:05:16.115]  You've got Cuomo, the mass murderer.
[02:05:16.115 --> 02:05:18.315]  I mean, they're doing all this in public.
[02:05:18.315 --> 02:05:19.816]  They're doing all this right in front of your face.
[02:05:19.816 --> 02:05:23.757]  You've got Cuomo with his, you know, both his nipples pierced on TV and his brother hit and run.
[02:05:23.757 --> 02:05:24.937]  These are sick criminals.
[02:05:25.137 --> 02:05:27.539]  And just think about the real dirt.
[02:05:27.539 --> 02:05:35.304]  Think about the real crimes these people are engaging in behind closed doors, that they're so bold that they're going to come out here and be so clearly human.
[02:05:35.304 --> 02:05:37.446]  I mean, just look at Weiner.
[02:05:37.446 --> 02:05:40.448]  That's the guy they have on the laptop with Hillary chopping up kids and stuff.
[02:05:42.415 --> 02:05:46.417]  And so, you know, part of the... Weiner agrees, though.
[02:05:46.417 --> 02:05:49.458]  He says, you know, you criticize him, you deserve to be arrested.
[02:05:49.458 --> 02:05:50.139]  He's God.
[02:05:50.139 --> 02:05:50.799]  And you know what?
[02:05:50.799 --> 02:05:58.722]  I think, too, that maybe this is the ultimate... By the way, you know he's the special protege of Chuckie Schumer.
[02:05:58.722 --> 02:06:01.604]  No, Weiner was actually found by him, put in, and run by him.
[02:06:01.604 --> 02:06:06.466]  Schumer was blackmailed years ago because he married a transsexual, but that's a separate story.
[02:06:07.498 --> 02:06:15.325]  I really think that the New York cops and the New York FBI that are good people but are actually going through the process of this, it's time to just release it.
[02:06:15.325 --> 02:06:17.247]  It's time to release the- That's right.
[02:06:17.247 --> 02:06:18.768]  No more wait around.
[02:06:18.768 --> 02:06:19.809]  The gloves are off.
[02:06:19.809 --> 02:06:21.090]  They broke all the rules.
[02:06:21.090 --> 02:06:21.831]  Just burn them!
[02:06:21.831 --> 02:06:22.231]  Burn!
[02:06:22.231 --> 02:06:22.612]  Burn!
[02:06:22.612 --> 02:06:22.932]  Burn!
[02:06:22.932 --> 02:06:23.993]  We've made a step.
[02:06:23.993 --> 02:06:25.174]  We're totally attacking.
[02:06:25.174 --> 02:06:25.615]  Burn!
[02:06:25.615 --> 02:06:26.115]  Attack!
[02:06:26.115 --> 02:06:26.555]  Catch it!
[02:06:26.555 --> 02:06:27.036]  Yeah!
[02:06:27.256 --> 02:06:30.939]  Whether America can handle it or not, there's only one way to find out.
[02:06:30.939 --> 02:06:32.681]  Yeah, let's just get it going here.
[02:06:32.681 --> 02:06:33.202]  It's time.
[02:06:33.202 --> 02:06:36.124]  It's time for people to know what... I mean, Trump knows about it.
[02:06:36.124 --> 02:06:40.728]  Trump jokes about how Hillary Clinton kidnaps all these children from Haiti and puts them into sex camps.
[02:06:40.728 --> 02:06:41.789]  They all know it!
[02:06:41.789 --> 02:06:42.971]  The AP came out.
[02:06:42.971 --> 02:06:45.613]  The woman that got caught doing it runs Amber Alert.
[02:06:45.613 --> 02:06:47.475]  Laura Silsby.
[02:06:47.475 --> 02:06:47.875]  Literally.
[02:06:47.875 --> 02:06:48.636]  She changed her name.
[02:06:48.636 --> 02:06:50.317]  Look at this.
[02:06:50.317 --> 02:06:52.900]  Fox employees ask company to stop building police vehicles.
[02:06:54.434 --> 02:06:56.236]  See, to build stuff, you gotta get the permission.
[02:06:56.236 --> 02:07:01.520]  New Yorkers signed a petition to topple slave owner Washington statue, but not Muhammad, who said slavery was good.
[02:07:01.520 --> 02:07:01.920]  Video.
[02:07:01.920 --> 02:07:07.866]  Vice President of Zimbabwe says country stars because white people didn't teach them economics.
[02:07:07.866 --> 02:07:08.366]  Continuing.
[02:07:08.366 --> 02:07:10.888]  Don Lemon bashes Jesus, says he was not good.
[02:07:10.888 --> 02:07:13.210]  Not perfect.
[02:07:13.210 --> 02:07:13.691]  Chicago.
[02:07:13.691 --> 02:07:16.173]  Black Lives Matter mural painted over with All Lives Matter.
[02:07:17.861 --> 02:07:21.063]  Bill de Blasio, Al Sharpton, paint Black Lives Matter on the street in front of Trump Tower.
[02:07:21.063 --> 02:07:23.985]  So he leads demonstrations, but you can't have yours.
[02:07:23.985 --> 02:07:26.927]  He literally says, mine is valuable, yours is not.
[02:07:26.927 --> 02:07:28.489]  And they have a name for that, tyrant.
[02:07:28.489 --> 02:07:29.569]  They're not social distancing either.
[02:07:29.569 --> 02:07:30.390]  He looks like a pedophile.
[02:07:30.390 --> 02:07:31.271]  No social distancing.
[02:07:31.271 --> 02:07:34.052]  But you know what, here's the- Are they a Democrat?
[02:07:34.052 --> 02:07:36.975]  Give her like, might be a redneck if you do this.
[02:07:36.975 --> 02:07:38.496]  Might be a pedophile if you're a Democrat.
[02:07:39.136 --> 02:07:39.757]  Sorry, go ahead.
[02:07:39.757 --> 02:07:42.940]  I just hope that people in New York realize how bad it is.
[02:07:42.940 --> 02:07:44.162]  And I know they do.
[02:07:44.162 --> 02:07:45.443]  I don't live in New York.
[02:07:45.443 --> 02:07:47.245]  I used to like going to visit New York.
[02:07:47.245 --> 02:07:49.187]  I don't know if New York City, if I will anymore.
[02:07:49.187 --> 02:07:51.911]  No, it was bad until Giuliani got in.
[02:07:51.911 --> 02:07:52.671]  He did clean it up.
[02:07:54.093 --> 02:07:57.595]  I mean, New York is falling apart at the seams.
[02:07:57.595 --> 02:07:58.815]  Trash everywhere.
[02:07:58.815 --> 02:08:00.896]  Giant, rotting carcass.
[02:08:00.896 --> 02:08:02.057]  Just murders.
[02:08:02.057 --> 02:08:07.079]  I mean, literally people, I'm not even kidding, people just walk around downtown and they walk by dead bodies bleeding out in the street from gunshots.
[02:08:07.079 --> 02:08:09.280]  Mental patients are just running around.
[02:08:09.280 --> 02:08:11.040]  And, but what is de Blasio doing?
[02:08:11.040 --> 02:08:13.402]  Oh, he's painting a Black Lives Matter mural.
[02:08:13.402 --> 02:08:14.802]  Oh, that's going to save a life.
[02:08:14.802 --> 02:08:16.203]  That's going to save New York.
[02:08:16.203 --> 02:08:16.383]  Yeah.
[02:08:17.609 --> 02:08:21.734]  It's just the, oh yeah, saying Black Lives Matter cares about black people.
[02:08:21.734 --> 02:08:22.615]  Look at Sharpton.
[02:08:22.615 --> 02:08:26.259]  That's like saying that Mother Teresa was a whore or something.
[02:08:26.259 --> 02:08:26.940]  I mean, it's just ridiculous.
[02:08:26.940 --> 02:08:27.681]  By the way, let's say this.
[02:08:28.752 --> 02:08:30.093]  Everybody's just freaked out right now.
[02:08:30.093 --> 02:08:32.254]  This is actually, a lot of this is a blessing.
[02:08:32.254 --> 02:08:38.957]  When it floods in New York, or Boston, or old cities like that, or Chicago, you don't see a lot of rats until it floods.
[02:08:38.957 --> 02:08:40.298]  And there's a big storm coming.
[02:08:40.298 --> 02:08:43.559]  And when it floods, there's like rats everywhere.
[02:08:43.559 --> 02:08:46.321]  And that's what's happened is the Liberty Movement waking up the world.
[02:08:46.321 --> 02:08:52.424]  Populism is like a flood, and you're just seeing the rats that were already right there behind the walls coming out.
[02:08:53.044 --> 02:08:54.424]  Savannah Hernandez, closing comments.
[02:08:54.424 --> 02:08:56.305]  You guys have got the war room coming up today, don't you?
[02:08:56.305 --> 02:08:56.905]  3pm central.
[02:08:56.905 --> 02:08:57.825]  Yeah, I got a special thing.
[02:08:57.825 --> 02:09:02.287]  Harrison will be hosting in studio, but I'll be, let's just say I'll be on site somewhere.
[02:09:02.287 --> 02:09:04.787]  And we never got to your city council, uh, situation.
[02:09:04.787 --> 02:09:05.488]  Ah, yes.
[02:09:05.488 --> 02:09:07.988]  And if you guys want to roll it, it's a two minute video.
[02:09:07.988 --> 02:09:10.989]  But basically, uh, and we provided all the documentation.
[02:09:10.989 --> 02:09:12.410]  The mask mandate is false.
[02:09:12.410 --> 02:09:13.470]  The shutdown is false.
[02:09:13.470 --> 02:09:14.670]  The cases are false.
[02:09:14.670 --> 02:09:15.991]  And I told the whole city council this.
[02:09:15.991 --> 02:09:16.511]  They don't care.
[02:09:16.511 --> 02:09:17.451]  They just want to oppress us.
[02:09:17.811 --> 02:09:20.374]  Okay, we're going to play that when we come back.
[02:09:20.374 --> 02:09:24.238]  They'll be gone, but we'll have Dan Lyman with huge breaking news in the studio with us.
[02:09:24.238 --> 02:09:25.920]  And is Dan coming back on your show?
[02:09:25.920 --> 02:09:26.961]  Yeah, I believe he'll be on.
[02:09:26.961 --> 02:09:28.242]  Like I said, I'm not in studio today.
[02:09:28.242 --> 02:09:28.723]  Harrison is.
[02:09:28.723 --> 02:09:29.704]  I'm going to be on site.
[02:09:29.704 --> 02:09:30.765]  I got a little surprise today.
[02:09:30.765 --> 02:09:31.346]  I think you'll like it.
[02:09:31.346 --> 02:09:32.207]  Alright, stay with us.
[02:09:32.207 --> 02:09:32.827]  Thanks, Savannah.
[02:09:32.827 --> 02:09:33.368]  We'll be right back.
[02:09:33.368 --> 02:09:33.929]  Thank you.
[02:09:36.707 --> 02:09:39.309]  A lot of you have been listening for more than 20 years.
[02:09:39.309 --> 02:09:52.117]  And if you go back to those shows, we laid out the AI takeover plan, the tracking of cell phones, how programmed master computers would manipulate control society, how they'd be able to not just predict,
[02:09:52.897 --> 02:09:53.557]  I think so.
[02:10:12.643 --> 02:10:16.647]  But when we cover that, the media would attack us and say we were making it up.
[02:10:16.647 --> 02:10:21.891]  It was a conspiracy theory, even though it was in the actual corporate-level blueprint documents.
[02:10:21.891 --> 02:10:29.758]  Well, the next level of the blueprint documents explained to us that they are setting up this control system to make humans obsolete and phase us out.
[02:10:29.758 --> 02:10:33.602]  And it's something about a thousand times crazier than what Hitler planned.
[02:10:33.602 --> 02:10:35.644]  So we might want to dismantle the system now.
[02:10:45.563 --> 02:10:48.656]  Where the hell did this water come from?
[02:10:48.656 --> 02:10:51.266]  Where did it come from?
[02:10:56.198 --> 02:11:00.521]  We can't survive without pure, clean drinking water.
[02:11:00.521 --> 02:11:06.446]  So make sure that it's always available to you with the Alexa Pure Water Filtration System.
[02:11:06.446 --> 02:11:13.711]  This gravity-fed system filters through all the toxins and gets straight to clean, healthy, great-tasting water.
[02:11:15.952 --> 02:11:19.034]  Mmm, yummy in my tummy.
[02:11:19.034 --> 02:11:29.799]  Bring the purest, most refreshing water to your home by ordering the Alexa Pure Water Filtration System today from Infowarstore.com.
[02:11:29.799 --> 02:11:32.761]  Infowarstore.com.
[02:11:32.761 --> 02:11:39.304]  Other systems, just don't compare.
[02:11:39.304 --> 02:11:41.926]  You're listening to The Alex Jones Show.
[02:11:49.660 --> 02:11:54.662]  Rallying patriots worldwide in defense of human liberty.
[02:11:54.662 --> 02:11:57.184]  It's Alex Jones.
[02:11:57.184 --> 02:12:01.586]  What about Owen Schroeder?
[02:12:01.586 --> 02:12:07.169]  When I call your name, don't forget to unmute.
[02:12:07.169 --> 02:12:07.689]  Owen Schroeder?
[02:12:07.689 --> 02:12:09.870]  Go ahead, you have two minutes.
[02:12:11.488 --> 02:12:13.989]  I hope y'all are having fun playing tyrants up here.
[02:12:13.989 --> 02:12:20.310]  The disregard that this city council has for its citizens is obvious and concerning.
[02:12:20.310 --> 02:12:26.131]  And this one of the authoritarian Mr. Astat and his totalitarian rhetoric is quite frankly offensive.
[02:12:26.131 --> 02:12:29.792]  But this mask mandate, which is not legal.
[02:12:29.792 --> 02:12:31.992]  First we're told by the Surgeon General not to wear masks.
[02:12:31.992 --> 02:12:33.472]  We're told by Fauci not to wear masks.
[02:12:33.472 --> 02:12:35.493]  We're told by the CDC not to wear masks.
[02:12:35.493 --> 02:12:36.993]  They even have this on their website.
[02:12:36.993 --> 02:12:38.053]  What happened to that?
[02:12:38.053 --> 02:12:40.174]  The mask does not even stop COVID.
[02:12:40.174 --> 02:12:40.874]  That's science.
[02:12:41.770 --> 02:12:43.692]  So why are you telling us to wear it?
[02:12:43.692 --> 02:12:48.256]  The boxes that the masks come in say it does not stop COVID.
[02:12:48.256 --> 02:12:49.537]  Why are you telling us to wear it?
[02:12:49.537 --> 02:12:52.700]  In fact, the mask has negative health effects.
[02:12:52.700 --> 02:12:55.603]  Bacteria grows on the mask.
[02:12:55.603 --> 02:13:00.568]  You breathe in toxic levels of carbon dioxide when you wear the mask.
[02:13:00.568 --> 02:13:04.372]  For the sake of time, I'll spare you the details, but you can find this.
[02:13:04.372 --> 02:13:04.872]  It's out there.
[02:13:04.872 --> 02:13:05.553]  It's very well known.
[02:13:06.133 --> 02:13:10.375]  Now, first, when we had to shut down months ago and stay home, what were we told?
[02:13:10.375 --> 02:13:12.636]  Oh, this is a deadly virus, we need to stay home.
[02:13:12.636 --> 02:13:18.839]  Well, we now know that it's less deadly by the numbers than the seasonal flu.
[02:13:18.839 --> 02:13:23.201]  And how is Ascot earlier saying that we just ignore the math?
[02:13:23.761 --> 02:13:25.962]  Well, the math doesn't matter.
[02:13:25.962 --> 02:13:27.403]  What is this, 1984?
[02:13:27.403 --> 02:13:28.583]  No, the math does matter.
[02:13:28.583 --> 02:13:30.044]  This is not that deadly.
[02:13:30.044 --> 02:13:31.284]  The numbers are wrong.
[02:13:31.284 --> 02:13:33.285]  This is as bad as the seasonal flu.
[02:13:33.285 --> 02:13:37.507]  So, everything we're talking about should be null and void right now.
[02:13:37.507 --> 02:13:42.269]  Should we be shutting down and treating life this way for the seasonal flu every year?
[02:13:42.269 --> 02:13:44.950]  Should we have been living wrong the whole time?
[02:13:44.950 --> 02:13:45.831]  Is this the new normal?
