[00:00.000 --> 00:05.480]  8 to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com.
[57:58.620 --> 58:02.220]  Hi, this is Ted Anderson, did you miss your favorite shows on GCN today?
[58:02.220 --> 58:05.580]  Thanks to the continued support of our listeners, subscribers and sponsors, we are proud to
[58:05.580 --> 58:10.380]  bring the GCN audience a new and exciting way to listen called On Demand.
[58:10.380 --> 58:14.820]  Available on GCNLive.com, On Demand plays each show continuously until the next time
[58:14.820 --> 58:16.140]  the show goes live.
[58:16.140 --> 58:20.620]  It's simple to use, just go to GCNLive.com, click on the On Demand button and find your
[58:20.620 --> 58:21.620]  favorite shows.
[58:21.620 --> 58:24.820]  Don't get discouraged, get On Demand, free.
[58:24.820 --> 58:29.820]  Thanks again to the listeners at GCNLive.com.
[58:29.820 --> 58:30.820]  Looking for profit?
[58:30.820 --> 58:31.820]  Looking for safety and security?
[58:31.820 --> 58:35.820]  The $10 Olympic commemorative gold coin offers both.
[58:35.820 --> 58:42.820]  This low-mintage collector coin with a total-series-mintage under $600,000 has sold at 4 times its current
[58:42.820 --> 58:43.820]  price.
[58:43.820 --> 58:47.420]  Falling dollar values and inflation make this likely to happen again.
[58:47.420 --> 58:58.420]  Here are your positions today, call Midas Resources at 1-800-686-2237, that's 1-800-686-2237.
[58:58.420 --> 59:02.260]  Hello, I'm Steve Schenk.
[59:02.260 --> 59:05.340]  We're entering a holiday season never before seen in America.
[59:05.340 --> 59:10.180]  We're thankful for the warning given by members of Mr. Obama's campaign team of the coming
[59:10.180 --> 59:14.780]  international incident which will force unpopular decisions.
[59:14.780 --> 59:18.740]  Without this warning, many of us who still have money available would have unknowingly
[59:18.740 --> 59:23.900]  wasted on a Christmas gifts that will be useless when the only food available is in a government
[59:23.900 --> 59:24.900]  bread line.
[59:24.900 --> 59:30.060]  When the president is faced with the expected national security incident, the in-place patriot
[59:30.060 --> 59:33.680]  legislation will control transport and distribution of food.
[59:33.680 --> 59:37.940]  Those of us who are able to take care of ourselves must put in supplies of food.
[59:37.940 --> 59:42.580]  This will free up the relief organizations to give food to those unable or not smart
[59:42.580 --> 59:43.980]  enough to prepare.
[59:43.980 --> 59:47.420]  The greatest gift this Christmas is life itself.
[59:47.420 --> 59:58.940]  Food for these unknown times, call 800-409-5633 on the web, eFoodsDirect.com, 800-409-5633.
[59:58.940 --> 1:00:03.460]  And a new name is added to the U.S. Senate candidate list.
[1:00:03.460 --> 1:00:15.660]  You are listening to GCN In Texas, check your watch, it's 5 o'clock.
[1:00:15.660 --> 1:00:36.700]  The president has traveled to Iraq.
[1:00:36.700 --> 1:01:00.940]  We are
[1:01:06.700 --> 1:01:08.700]  Stay ready on news.
[1:01:36.700 --> 1:01:54.700]  Call right now for your 30-day risk-free trial of poise.
[1:01:54.700 --> 1:01:57.700]  Call 1-800-733-0904.
[1:01:57.700 --> 1:02:00.700]  That's 1-800-733-0904.
[1:02:00.700 --> 1:02:02.700]  Veterinarian developed and recommended.
[1:02:02.700 --> 1:02:05.700]  Call 1-800-733-0904.
[1:02:05.700 --> 1:02:09.700]  That's 1-800-733-0904.
[1:02:09.700 --> 1:02:12.700]  The upper Midwest and plain states are getting a wintry wallop,
[1:02:12.700 --> 1:02:15.700]  as a powerful arctic front sweeps through.
[1:02:15.700 --> 1:02:20.700]  Forecasters say western Colorado can expect one to three feet of snow.
[1:02:20.700 --> 1:02:24.700]  At least eight inches of snow is already piling up around Interstate 70.
[1:02:24.700 --> 1:02:27.700]  Gusty winds are also expected in Kansas.
[1:02:27.700 --> 1:02:31.700]  Sam Walker is a meteorologist with the National Weather Service.
[1:02:31.700 --> 1:02:36.700]  With those temperatures, we end up with wind chills down around 50 below, sometimes colder.
[1:02:36.700 --> 1:02:41.700]  So going outside without being dressed properly can be very hazardous.
[1:02:41.700 --> 1:02:45.700]  And if you happen to get stuck in the snow and you try to walk away from your vehicle,
[1:02:45.700 --> 1:02:47.700]  that can be catastrophic at times.
[1:02:47.700 --> 1:02:50.700]  Authorities in New Hampshire are trying to get the word out
[1:02:50.700 --> 1:02:54.700]  that some residents may not have power again until Thursday or Friday.
[1:02:54.700 --> 1:02:59.700]  The Seco main resident is staying at a red cross shelter because all of the ice.
[1:02:59.700 --> 1:03:01.700]  Couldn't open my door.
[1:03:01.700 --> 1:03:30.700]  It's easy to find and is in all major drug stores.
[1:03:30.700 --> 1:03:34.700]  So if you get cold sores, remember to get relieved now
[1:03:34.700 --> 1:03:39.700]  and keep it ready to use the moment a cold sore attacks.
[1:03:39.700 --> 1:03:44.700]  British Prime Minister Gordon Brown has been meeting with leaders of Pakistan and India today.
[1:03:44.700 --> 1:03:47.700]  He's been pledging more support in the war on terrorism
[1:03:47.700 --> 1:03:50.700]  and funding in the wake of deadly attacks in India.
[1:03:50.700 --> 1:03:55.700]  Also today, India's Prime Minister is calling for normalized relations with Pakistan
[1:03:55.700 --> 1:03:58.700]  amid rising tensions between the neighbors.
[1:03:58.700 --> 1:04:03.700]  He reiterated that he wants normalized relations with Pakistan
[1:04:03.700 --> 1:04:07.700]  and that he wants a friendship with Pakistan in cooperation.
[1:04:07.700 --> 1:04:10.700]  I think he called for mutual wisdom in cooperation.
[1:04:10.700 --> 1:04:13.700]  The wave of youth violence in Greece is continuing.
[1:04:13.700 --> 1:04:18.700]  Scores of young people attacked a police station, stores and banks yesterday.
[1:04:18.700 --> 1:04:21.700]  The latest violence comes as candlelit vigils were held,
[1:04:21.700 --> 1:04:27.700]  marking a week since the police killing of a 15-year-old boy that triggered riots.
[1:04:27.700 --> 1:04:29.700]  Here's Demetrius Nellis.
[1:04:29.700 --> 1:04:33.700]  If you talk to the youths themselves, they say they're frustrated about certain things
[1:04:33.700 --> 1:04:36.700]  like the educational system, the job prospects.
[1:04:36.700 --> 1:04:39.700]  But there is this small group bent on mayhem anyway.
[1:04:39.700 --> 1:04:44.700]  A bomb explosion at a bank in Woodburn, Oregon Friday killed both a police officer
[1:04:44.700 --> 1:04:47.700]  and a state bomb disposal technician.
[1:04:47.700 --> 1:04:53.700]  Police say they have no suspects and then whoever did it is dangerous and needs to be found soon.
[1:04:53.700 --> 1:04:58.700]  Demetrius Thomas, who works at a restaurant across the street, says he heard the big blast.
[1:04:58.700 --> 1:05:01.700]  All of a sudden I just heard a loud explosion.
[1:05:01.700 --> 1:05:04.700]  It sounded like all the windows rattling in the entire building.
[1:05:04.700 --> 1:05:05.700]  I'm Jody Jordan.
[1:05:05.700 --> 1:05:24.700]  Have you thought about investing in storable foods or in survival kits for your home, car, office or child's school?
[1:05:24.700 --> 1:05:36.700]  This is the only website that offers the very best in high quality preparedness gear at the lowest prices around.
[1:05:36.700 --> 1:05:40.700]  From 72-hour survivor kits to survival tools to toys for the kids to help pass hard times,
[1:05:40.700 --> 1:05:44.700]  survivalgearsource.com has something for everyone on your Christmas list.
[1:05:44.700 --> 1:05:49.700]  As we enter this new year full of uncertainty, be ready and be prepared.
[1:05:49.700 --> 1:05:54.700]  Visit survivalgearsource.com, that's survivalgearsource.com.
[1:05:54.700 --> 1:06:01.700]  Use the coupon code GCN and receive a Patriot bar with your order or call 877-231-1925.
[1:06:01.700 --> 1:06:08.700]  That's 877-231-1925 or online at survivalgearsource.com.
[1:06:08.700 --> 1:06:15.700]  Prepare yourself for a talk radio experience like no other.
[1:06:15.700 --> 1:06:20.700]  He stands for truth.
[1:06:20.700 --> 1:06:23.700]  He stands for justice.
[1:06:23.700 --> 1:06:26.700]  He stands for what's right.
[1:06:26.700 --> 1:06:29.700]  This is the Alex Jones show.
[1:06:29.700 --> 1:06:37.700]  Call Alex now toll free at 877-590-5525.
[1:06:37.700 --> 1:06:41.700]  Now live from Austin, Texas.
[1:06:41.700 --> 1:06:49.700]  Here's Alex Jones.
[1:06:49.700 --> 1:06:59.700]  The reason we're interviewing author and filmmaker, Jeffery M. Smith, is because he's probably one of the most prominent, outspoken,
[1:06:59.700 --> 1:07:01.700]  but also conservative.
[1:07:01.700 --> 1:07:08.700]  And by conservative, it's far worse than even when he's saying he only goes off of what is absolutely documented.
[1:07:08.700 --> 1:07:11.700]  Researchers on genetically modified organisms in our food.
[1:07:11.700 --> 1:07:18.700]  Now again, this is not splicing two cherry trees or cross pollinating to get a hybridization.
[1:07:18.700 --> 1:07:20.700]  That's natural.
[1:07:20.700 --> 1:07:28.700]  This is artificial mutation using insect genes, plant genes, mammal genes, all mixing them together.
[1:07:28.700 --> 1:07:31.700]  For some reason, the cockroach is one of their favorites.
[1:07:31.700 --> 1:07:36.700]  It's in a lot of potatoes, tomatoes that you're eating on the store shelves.
[1:07:36.700 --> 1:07:39.700]  Major food crops have been converted to this.
[1:07:39.700 --> 1:07:42.700]  Also, these GMO crops take over the naturally occurring.
[1:07:42.700 --> 1:07:44.700]  Let's say it's GMO corn.
[1:07:44.700 --> 1:07:50.700]  It takes over and infects the natural of the hundreds of varieties and most varieties, by the way, have been infected.
[1:07:50.700 --> 1:07:56.700]  And then cross pollinates those through the hybridization process, using that natural process.
[1:07:56.700 --> 1:08:00.700]  And we've only covered a tiny area of this to be specific.
[1:08:00.700 --> 1:08:03.700]  They take this fungus bacteria.
[1:08:03.700 --> 1:08:04.700]  They take it.
[1:08:04.700 --> 1:08:05.700]  They alter it.
[1:08:05.700 --> 1:08:10.700]  It's not necessarily occurring, but they make the plant grow the fungus in its own genetic makeup,
[1:08:10.700 --> 1:08:13.700]  so bugs won't eat it if they do, they die.
[1:08:13.700 --> 1:08:15.700]  And then they say, oh, but that's safe for humans to eat.
[1:08:15.700 --> 1:08:21.700]  And then now in German studies, that's been linked with the corn to the honeybees dying,
[1:08:21.700 --> 1:08:24.700]  because the honeybees, unlike other insects, will still eat it.
[1:08:24.700 --> 1:08:26.700]  And you know, the honeybees aren't doing too hot.
[1:08:26.700 --> 1:08:32.700]  There's all these other areas to discuss that's outside of just what we're eating,
[1:08:32.700 --> 1:08:35.700]  like Hong Kong for at least seven, eight years.
[1:08:35.700 --> 1:08:37.700]  You can pull this up in MSNBC.
[1:08:37.700 --> 1:08:39.700]  You can buy glowing rhesus monkeys.
[1:08:39.700 --> 1:08:43.700]  They glow in the dark because they have jellyfish genetics in their skin.
[1:08:43.700 --> 1:08:45.700]  And they can make them glow.
[1:08:45.700 --> 1:08:50.700]  They can make them glow bright blue in the dark, but it also changes other DNA in the monkey.
[1:08:50.700 --> 1:08:53.700]  And it's very, very dangerous, and it's jumping into other species.
[1:08:53.700 --> 1:08:56.700]  There's just a huge area to discuss here.
[1:08:56.700 --> 1:09:02.700]  These human-animal hybrids where they're putting human genetics into other animals
[1:09:02.700 --> 1:09:05.700]  so they can get body parts or heart valves out of them.
[1:09:05.700 --> 1:09:10.700]  I mean, this is science fiction, but we are 2008, and it is going on.
[1:09:10.700 --> 1:09:14.700]  And the FDA, the EPA do nothing basically to stop it.
[1:09:14.700 --> 1:09:17.700]  In fact, it's a revolving door, and that's what Jeffrey Smith covers.
[1:09:17.700 --> 1:09:20.700]  But the good news is, we'll talk about this later, the tipping point.
[1:09:20.700 --> 1:09:24.700]  How we counter this, and the fact is that we can counter it,
[1:09:24.700 --> 1:09:26.700]  and we have had victories against it.
[1:09:26.700 --> 1:09:29.700]  But we need to have even more victories now because they're about to go from four,
[1:09:29.700 --> 1:09:35.700]  five, or six staple foods, you know, being altered to basically everything being altered
[1:09:35.700 --> 1:09:37.700]  and a complete takeover.
[1:09:37.700 --> 1:09:41.700]  So as bad as things are now, they're getting ready, the big 3GMO companies,
[1:09:41.700 --> 1:09:43.700]  to shoot the moon, as they say.
[1:09:43.700 --> 1:09:49.700]  Okay, so Jeffrey continuing with the discussion of they tried to cover up the death of these sheep
[1:09:49.700 --> 1:09:54.700]  showing it was pesticides, but then they weren't using those pesticides at these farms.
[1:09:54.700 --> 1:09:58.700]  Exactly, and I called in to try and, you know, get to the bottom of it,
[1:09:58.700 --> 1:10:02.700]  and I spoke to that veterinarian who originally was in favor of the idea
[1:10:02.700 --> 1:10:05.700]  that it was the genetically engineered cotton that caused the death,
[1:10:05.700 --> 1:10:07.700]  and then she reversed her opinion, and I said,
[1:10:07.700 --> 1:10:09.700]  can you talk, and I talked, and you said, I can't talk to you.
[1:10:09.700 --> 1:10:12.700]  You have to speak to the director, so she had been gagged.
[1:10:12.700 --> 1:10:15.700]  So I called the director, and I said, how come I can't speak to the veterinarian?
[1:10:15.700 --> 1:10:17.700]  He said, no, no, no, you can speak to her, call her back.
[1:10:17.700 --> 1:10:19.700]  So I called her back, and I asked her a question,
[1:10:19.700 --> 1:10:24.700]  and I hear the director's voice shouting the answer, and him,
[1:10:24.700 --> 1:10:30.700]  and then the veterinarian, a woman repeating every word for word, whatever he told her to say.
[1:10:30.700 --> 1:10:33.700]  So this is the way that they un-gagged the veterinarian.
[1:10:33.700 --> 1:10:37.700]  Now, there's a big thing going on in India.
[1:10:37.700 --> 1:10:42.700]  The Supreme Court stepped in and found that the Genetic Engineering Approval Committee
[1:10:42.700 --> 1:10:47.700]  was allowing things to be approved without going through the law,
[1:10:47.700 --> 1:10:53.700]  and they declared them illegal to start to put all these new products in the market.
[1:10:53.700 --> 1:10:56.700]  They assigned a scientist to investigate this committee.
[1:10:56.700 --> 1:11:00.700]  The scientists found evidence of fraudulent conclusions.
[1:11:00.700 --> 1:11:05.700]  The GEAC, the committee, said, oh, no, no, the cheap debts were due to something else,
[1:11:05.700 --> 1:11:07.700]  and that's what the study shows.
[1:11:07.700 --> 1:11:13.700]  Well, this independent investigator, a top scientist in India, looked at supposedly their proof
[1:11:13.700 --> 1:11:15.700]  and said, actually, it was never studied.
[1:11:15.700 --> 1:11:18.700]  There wasn't an investigation, it was a cover-up,
[1:11:18.700 --> 1:11:23.700]  and so now this committee is trying to defame this investigator,
[1:11:23.700 --> 1:11:27.700]  claiming that he is false and he is wrong and trying to get him kicked out.
[1:11:27.700 --> 1:11:32.700]  But that happened in 96 in England when the government's own top researcher, who was pro-GMO,
[1:11:32.700 --> 1:11:35.700]  found out that it was hurting the rats,
[1:11:35.700 --> 1:11:37.700]  and then all these years later, it's been proven he was right.
[1:11:37.700 --> 1:11:40.700]  Let's talk about, because the average folks in the West are so decadent,
[1:11:40.700 --> 1:11:45.700]  they don't care about Indians, let's talk about specifically what we know about sterilization,
[1:11:45.700 --> 1:11:50.700]  what we know about sperm counts, what we know about the GMO food,
[1:11:50.700 --> 1:11:57.700]  these cross-species hybrids that we're eating here in the United States and Europe.
[1:11:57.700 --> 1:12:00.700]  What is it doing? What do we know that it's been doing?
[1:12:00.700 --> 1:12:02.700]  All right, we've got two levels of knowledge.
[1:12:02.700 --> 1:12:07.700]  We've got laboratory research and we have reports from farmers.
[1:12:07.700 --> 1:12:09.700]  Let's start with the farmers and get through that quickly.
[1:12:09.700 --> 1:12:15.700]  I've spoken to a number of farmers in Iowa who say that when their pigs or cows
[1:12:15.700 --> 1:12:19.700]  ate certain varieties of genetically modified corn, they couldn't get pregnant.
[1:12:19.700 --> 1:12:23.700]  And when they switched to the non-GM corn, they got pregnant.
[1:12:23.700 --> 1:12:26.700]  And when they switched back to that GM corn, they couldn't get pregnant.
[1:12:26.700 --> 1:12:28.700]  In India, I know we're visiting India again,
[1:12:28.700 --> 1:12:34.700]  there was also a problem with sterility and premature deliveries
[1:12:34.700 --> 1:12:38.700]  and problems among the offspring and deaths among the offspring.
[1:12:38.700 --> 1:12:40.700]  Now let's look at laboratories.
[1:12:40.700 --> 1:12:44.700]  If you look at rats, these were studied in Russia.
[1:12:44.700 --> 1:12:49.700]  They fed rats, mother-female rats, genetically engineered soy,
[1:12:49.700 --> 1:12:53.700]  the same soy that's grown on 91% of the soy acreage in the United States.
[1:12:53.700 --> 1:12:56.700]  And then they got them pregnant and they continued to feed them soy
[1:12:56.700 --> 1:13:00.700]  and about 56% of their offspring died within three weeks.
[1:13:00.700 --> 1:13:02.700]  No, that's what we're eating.
[1:13:02.700 --> 1:13:07.700]  Compared to only about 10% whose mothers ate non-genetically engineered.
[1:13:07.700 --> 1:13:11.700]  So we have an 80% increase in death and that's what we're eating.
[1:13:11.700 --> 1:13:15.700]  And of course they study rats because they're most similar in their metabolic system to humans.
[1:13:15.700 --> 1:13:20.700]  And the offspring from the GM group, they were smaller on average
[1:13:20.700 --> 1:13:24.700]  and when they tried to mate the offspring together, they were sterile.
[1:13:24.700 --> 1:13:26.700]  They couldn't conceive.
[1:13:26.700 --> 1:13:32.700]  Now the other thing, they gave genetically engineered soy beans to male rats
[1:13:32.700 --> 1:13:35.700]  and they changed the color of their testicles
[1:13:35.700 --> 1:13:39.700]  and it changed the structure of the cells within the testicles.
[1:13:39.700 --> 1:13:44.700]  Now this woman, Irina Makova, had done this study three times,
[1:13:44.700 --> 1:13:48.700]  small study, very few rats, and ran out of money.
[1:13:48.700 --> 1:13:55.700]  And also what happened was the rat chow that was being used to feed all of the housed rats at the facility
[1:13:55.700 --> 1:13:58.700]  switched to become GM soy based.
[1:13:58.700 --> 1:14:03.700]  So she couldn't do any more studies at that point because now all of the rats at the facility are eating GM soy.
[1:14:03.700 --> 1:14:05.700]  But when she complained, tell them what they told her.
[1:14:05.700 --> 1:14:07.700]  Don't worry, we've got to get rid of the people.
[1:14:07.700 --> 1:14:08.700]  Exactly, exactly.
[1:14:08.700 --> 1:14:10.700]  Well, get there, give me a beat first.
[1:14:10.700 --> 1:14:13.700]  So what happened was she couldn't do any more studies,
[1:14:13.700 --> 1:14:18.700]  but within two months the infant mortality rate among all of the rats in the facility that others were studying
[1:14:18.700 --> 1:14:21.700]  had gone up to 56.3%.
[1:14:21.700 --> 1:14:26.700]  Now, the other thing is this, she was told she couldn't do any more studies.
[1:14:26.700 --> 1:14:30.700]  We were sitting together at the European Parliament after giving a presentation there and she said
[1:14:30.700 --> 1:14:34.700]  documents were burnt on her desk, samples were stolen.
[1:14:34.700 --> 1:14:39.700]  She was told by her director that his director was being pressured so she couldn't do any more GM research.
[1:14:39.700 --> 1:14:44.700]  She was finally told, oh, you can only do research on genetic engineering if you sign this contract,
[1:14:44.700 --> 1:14:46.700]  which says you can't talk about your results for three years.
[1:14:46.700 --> 1:14:48.700]  We can replace any of your colleagues.
[1:14:48.700 --> 1:14:50.700]  It was completely draconian.
[1:14:50.700 --> 1:14:52.700]  In other words, basically trying to shut her up.
[1:14:52.700 --> 1:14:53.700]  She couldn't sign it.
[1:14:53.700 --> 1:14:57.700]  So a colleague of hers came up to her to comfort her and said,
[1:14:57.700 --> 1:15:02.700]  well, maybe this genetically engineered soy will solve the overpopulation problem.
[1:15:02.700 --> 1:15:04.700]  This was his comfort.
[1:15:04.700 --> 1:15:07.700]  Now, we have some additional, I know you love this,
[1:15:07.700 --> 1:15:10.700]  but we have some additional evidence from other studies.
[1:15:10.700 --> 1:15:18.700]  We have an Italian research group that fed mice genetically engineered soy, the same soy,
[1:15:18.700 --> 1:15:21.700]  looked at the testicles of the male right, male mice,
[1:15:21.700 --> 1:15:27.700]  and found that there was changes or damage in their young sperm cells and the testicles in general.
[1:15:27.700 --> 1:15:33.700]  Then they looked at the offspring when the parents were fed genetically engineered soy
[1:15:33.700 --> 1:15:37.700]  and found changes in the way that the DNA worked inside the embryos.
[1:15:37.700 --> 1:15:42.700]  Now, a study that came out in November from the Austrian government,
[1:15:42.700 --> 1:15:45.700]  they fed genetically engineered corn.
[1:15:45.700 --> 1:15:49.700]  This was corn that was both producing its own pesticide
[1:15:49.700 --> 1:15:53.700]  and also like the soy being engineered not to die when you spray herbicide on it.
[1:15:53.700 --> 1:15:56.700]  So it was called herbicide tolerant or roundup ready,
[1:15:56.700 --> 1:15:58.700]  meaning you could spray roundup on it and it wouldn't die.
[1:15:58.700 --> 1:16:06.700]  So they fed the corn to mice and the mother mice gave birth for four different litters.
[1:16:06.700 --> 1:16:29.700]  Stay there, let's hear what happened.
[1:16:37.700 --> 1:16:40.700]  Increasing capacity and maintaining cell integrity.
[1:16:40.700 --> 1:16:45.700]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[1:16:45.700 --> 1:16:50.700]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[1:16:50.700 --> 1:16:53.700]  Save your money, save the environment.
[1:16:53.700 --> 1:16:56.700]  Visit us online at r-charge.com.
[1:16:56.700 --> 1:17:02.700]  That's r-charge.com or call us at 989-637-4179.
[1:17:02.700 --> 1:17:07.700]  That's 989-637-4179. Be a part of the revolution today.
[1:17:07.700 --> 1:17:11.700]  When making important financial decisions, you should always know the facts.
[1:17:11.700 --> 1:17:15.700]  That's why Midas Resources is willing to pay you to read the facts.
[1:17:15.700 --> 1:17:20.700]  Midas Resources, a team of handpicked financial specialists with decades of financial experience
[1:17:20.700 --> 1:17:24.700]  who are ready to provide you with state-of-the-art up-to-date financial services.
[1:17:24.700 --> 1:17:28.700]  Midas Resources offers a host of services and stands behind their products.
[1:17:28.700 --> 1:17:33.700]  In fact, if you call and order their free Midas Report, Midas Resources will pay you.
[1:17:33.700 --> 1:17:39.700]  This detailed report will provide you with financial history on the safest and most profitable areas to invest in.
[1:17:39.700 --> 1:17:44.700]  If you read the report, Midas Resources will send you a free Walking Liberty Silver Half Dollar.
[1:17:44.700 --> 1:17:52.700]  So what are you waiting for? Get the facts and call Midas Resources toll free at 888-292-2709.
[1:17:52.700 --> 1:17:55.700]  That's 888-292-2709.
[1:17:55.700 --> 1:18:01.700]  And remember, if you read the Midas Report, you'll receive a free Walking Liberty Silver Half Dollar.
[1:18:11.700 --> 1:18:14.700]  How would you like to save up to 90% on your phone bill?
[1:18:14.700 --> 1:18:17.700]  It can be done thanks to Empire One Telecom.
[1:18:17.700 --> 1:18:24.700]  EOT offers voiceover IP technology that will allow you to make phone calls from your home or business without the high cost.
[1:18:24.700 --> 1:18:30.700]  Take advantage of EOT's most popular plan, which includes unlimited long distance throughout the U.S. and Canada,
[1:18:30.700 --> 1:18:36.700]  and 360 minutes of international calling for only $19.95 a month.
[1:18:36.700 --> 1:18:44.700]  Plus, all calling plans include over 40 special features, including call waiting, caller ID, and three-way calling, free.
[1:18:44.700 --> 1:18:48.700]  Take your phone number on the road with you thanks to EOT's travel-friendly box.
[1:18:48.700 --> 1:18:53.700]  Simply plug your adapter into any internet connection and start making phone calls.
[1:18:53.700 --> 1:18:54.700]  That's that easy.
[1:18:54.700 --> 1:18:59.700]  So if you have a high-speed internet connection and are ready to dramatically lower your monthly phone bill,
[1:18:59.700 --> 1:19:02.700]  choose your plan now at eottech.com.
[1:19:02.700 --> 1:19:04.700]  That's eottech.com.
[1:19:04.700 --> 1:19:24.700]  So you finally decided you're going to stock up and store food. But why settle for bland, tasteless food? Why settle for less? There is an alternative.
[1:19:24.700 --> 1:19:36.700]  Use real cheddar cheese in a can, indulge in real canned meats and real canned butter. Storeable meals from internetgrocer.net will bring such variety and flavor you won't be able to tell you're actually eating storeable food.
[1:19:36.700 --> 1:19:42.700]  You can purchase by the can or by the case. Choose a variety pack or an entire year's worth of food.
[1:19:42.700 --> 1:19:55.700]  Grocer.net has non-hybrid seeds that will produce delicious food for you and your family. Ensure your food supply for years. Find out just how delicious storeable food can be. Call 903-356-6443.
[1:19:55.700 --> 1:20:08.700]  That's 903-356-6443. Open from 9 a.m. to 6 p.m. Central Standard Time. Or shop online at internet-grocer.net. Again, that's internet-grocer.net.
[1:20:08.700 --> 1:20:17.700]  Are you tired of searching for great talk radio? Well, search no more. We are the GCN Radio Network.
[1:20:17.700 --> 1:20:46.700]  By the way, ladies and gentlemen, if you're a new listener, I've probably interviewed, I don't know, over a hundred top scientists, you know, top of their class, work for these companies. They would feed it to the guinea pigs, the mice, and they'd sterilize or they'd have tumors or mutations, which aren't supposed to even happen after utero, but they would mutate after.
[1:20:46.700 --> 1:21:01.700]  We're all eating this stuff. It's very hard to find real organic food because the staple crops have all been infected. And we're talking to the amazing author. You can get his books and videos, by the way. I want you to get them at infowars.com.
[1:21:01.700 --> 1:21:22.700]  Or also go to seedsofdeception.com. That's his site. And find out about all the other organizations they have, the documents, the research. We're only skimming the surface here. As crazy as all this sounds, it just so happens the one plastic of hundreds they chose to have be the standard plastic used in the west is the one that leaches chemicals that sterilize.
[1:21:22.700 --> 1:21:35.700]  It just so happens, you know, that again, they're letting the melamine attack the children. All of this, and I have the UN documents, the United Nations Biological Diversity Assessment 96 and others, it's in my film, Road to Terrority, where they stayed on record.
[1:21:35.700 --> 1:21:51.700]  We need to sterilize more than 80% of the world population to reduce the world population. We need to look at binary weapon systems to do this. Now, a binary weapon system is something where they combine two different things to actually create the weapon.
[1:21:51.700 --> 1:22:02.700]  To actually create the toxin. And that's a separate issue. I don't know if Mr. Smith wants to get into that. I'm not familiar with his research in that area, but this is about eugenics.
[1:22:02.700 --> 1:22:09.700]  But I want to start taking calls coming up in the next segment. And then we have had callers holding from the first about other issues, but I'm sorry.
[1:22:09.700 --> 1:22:31.700]  We're specifically talking about GMO or poisons or things in the food and water. And that number, of course, to join us is 877-590-5525. But Mr. Smith continuing, you've gotten up to the latest, but just two weeks ago, a European study by one of the top research outfits out of Europe in Austria.
[1:22:31.700 --> 1:22:32.700]  Please continue.
[1:22:32.700 --> 1:22:42.700]  Yes, this was an actual Austrian government commissioned study, a rare thing from the government commissions of study. And it was also rare because it was long term.
[1:22:42.700 --> 1:22:53.700]  They did four generations in one case where they fed the mice and then they took the offspring and they fed the mice and they took their offspring. So they had great grandchildren.
[1:22:53.700 --> 1:23:14.700]  They also did a thing where they took multiple litters, where they had one set of parents and they gave four different litters. And the four different litters, and also in the multiple generation, in the third and fourth generation or litters, the number of offspring among the GM fed mice and the weight of the offspring was less,
[1:23:14.700 --> 1:23:29.700]  showing levels of infertility and also offspring problems with their health. And it was very similar, in fact, to, of course, the Russian study where there was smaller offspring.
[1:23:29.700 --> 1:23:39.700]  But in this case, there was less offspring also, showing clear trend and in one case, statistical significance towards infertility and problems with the offspring.
[1:23:39.700 --> 1:23:47.700]  So we see it now in farmer reports. We see it in studies done on soybeans and studies done on corn.
[1:23:47.700 --> 1:23:50.700]  What about the potato study done by the British in the 90s?
[1:23:50.700 --> 1:24:08.700]  This was a brilliant study. A good friend of mine, Dr. Arpad Pustai, one of the world's leading researchers in his field, was commissioned by the UK government to create the ideal testing protocol which was going to be made law in the EU to assess the safety of GMOs.
[1:24:08.700 --> 1:24:19.700]  And he led 30 researchers in three different institutes to create the testing protocol. And he genetically engineered potatoes to produce an insecticide and fed it to rats.
[1:24:19.700 --> 1:24:28.700]  And the rats got quite sick. They got potentially precancerous cell growth in the digestive tract, smaller brains, livers and testicles. There we have the testicles again.
[1:24:28.700 --> 1:24:44.700]  Partial atrophy of the liver, damaged immune system. Now he also fed controls, natural potatoes, and they didn't get sick. And he fed another set of controls, natural potatoes, spiked with the insecticide that the GM potato was designed to produce, and they didn't get sick.
[1:24:44.700 --> 1:24:47.700]  So it wasn't the insecticide that was being produced.
[1:24:47.700 --> 1:24:53.700]  It's the fact, and I've interviewed him, that it's wound into the DNA itself so the body gets tricked and is absorbing.
[1:24:53.700 --> 1:25:06.700]  The only thing is, we don't know exactly what it is, but we can say generically the process of genetic engineering and all the things that can happen somehow cause these damage to the rats in just 10 days.
[1:25:06.700 --> 1:25:16.700]  And by the way, only 10 days. And by the way, they were only looking at that one area in rats. He said on the show that with the gene gun, it was also randomly doing other things to the potatoes.
[1:25:16.700 --> 1:25:25.700]  And that's what happens. And you know, there's one thing we haven't even discussed, and that's the fact that the genes could transfer inside our own DNA, our own gut bacteria, and that might have happened also.
[1:25:25.700 --> 1:25:31.700]  And we see all these diseases, Crohn's like, just exploding off the charts suddenly. Everywhere where these foods are eaten.
