[00:00:00.049 --> 00:00:01.757]  A Russian member of parliament says U.S.
[00:47:59.087 --> 00:47:59.869]  Yes.
[00:47:59.869 --> 00:48:04.135]  Okay, I call it Child Pornography Services because that's about what they are.
[00:48:04.135 --> 00:48:08.162]  I help two families, one in Arizona and also one in California, get their kids back.
[00:48:08.607 --> 00:48:12.969]  By investigating Child Protective Services, and you wouldn't believe what I found out.
[00:48:12.969 --> 00:48:13.750]  Sir, I know.
[00:48:13.750 --> 00:48:18.092]  We've exposed it, and we're going to try to help the lady that called earlier get her kids back there in New York.
[00:48:18.092 --> 00:48:18.812]  Thanks for the call.
[00:48:18.812 --> 00:48:20.133]  Jim in Wisconsin.
[00:48:20.133 --> 00:48:20.793]  Go ahead, Jim.
[00:48:20.793 --> 00:48:21.353]  You're on the air.
[00:48:21.353 --> 00:48:22.594]  Uh, yeah.
[00:48:22.594 --> 00:48:24.475]  The same thing I'm talking about.
[00:48:24.475 --> 00:48:32.759]  Uh, above the lady, where the children were taken, above your signature, all official forms from now on, write down Ed Arms Links.
[00:48:32.759 --> 00:48:34.240]  That is American common law.
[00:48:34.913 --> 00:48:39.396]  And you get the information by calling these two numbers.
[00:48:39.396 --> 00:48:42.338]  Well, sir, I can't just in the last 30 seconds of the show give numbers out.
[00:48:42.338 --> 00:48:43.259]  Send it to me.
[00:48:43.259 --> 00:48:43.979]  Thanks for the call.
[00:48:43.979 --> 00:48:45.360]  We're going to try to help that lady.
[00:48:45.360 --> 00:48:46.781]  We get these calls every day.
[00:48:46.781 --> 00:48:49.123]  And it's been all over the news how horrible it is.
[00:48:49.123 --> 00:48:52.085]  And they have federal bounties to grab people's kids.
[00:48:52.085 --> 00:48:55.207]  And they always twist their arm into signing the kids over.
[00:48:55.207 --> 00:48:57.669]  And parents shouldn't do that.
[00:48:57.669 --> 00:48:58.870]  Michael, you want to take a stab at that?
[00:48:59.654 --> 00:49:15.509]  Yeah, I got involved with the same situation out in California about 10 years ago when there were some hideous abuses involving the San Diego Child Protective Services which wound up in a class action lawsuit and the entire department was shut down for violating the constitutional rights of parents.
[00:49:16.064 --> 00:49:18.146]  So, yeah, it is an ongoing problem.
[00:49:18.146 --> 00:49:24.590]  And, you know, when you have an organization where they get more money the more children they have, yeah, they're going to go out and find ways to acquire more children.
[00:49:24.590 --> 00:49:30.315]  The good news is their turnover, I've seen news articles about it, it's gone from a third every year to over half.
[00:49:30.315 --> 00:49:34.078]  Most of these people aren't that evil, so they can't do it, they quit.
[00:49:34.078 --> 00:49:35.799]  Yeah, they get burned out real quick.
[00:49:35.799 --> 00:49:40.863]  Yeah, I mean, when something's got half a turnover, even though it's 50 grand a year, I mean, you know it's bad.
[00:49:40.863 --> 00:49:43.064]  Dan, quickly in Texas, you're our tail gunner.
[00:49:43.064 --> 00:49:43.745]  30 seconds, hit us.
[00:49:44.708 --> 00:49:52.554]  Okay, Alex, I just wanted you to know as a militia, we stand ready to serve you, the Americans, in our patriotic ways here.
[00:49:52.554 --> 00:50:02.941]  As far as the Muslim protest goes, they've been beheading Christians over there and making fun of Jesus for years, yet we've never gone to the streets, burned and looted, rioted there.
[00:50:02.941 --> 00:50:07.124]  I just want to say to all Americans, keep the will, keep the faith, and Alex,
[00:50:07.890 --> 00:50:08.691]  Stay with it, buddy.
