[00:00.000 --> 00:01.000]  Kinsley
[01:50:23.760 --> 01:50:26.760]  But it's not happening quick enough. The dollar's continuing its slide.
[01:50:26.760 --> 01:50:29.760]  No, it isn't happening quick enough. It's not succeeding.
[01:50:29.760 --> 01:50:34.760]  Unfortunately, that is going to make the people who are dependent upon this success that much more desperate,
[01:50:34.760 --> 01:50:37.760]  and desperate people do desperately stupid things.
[01:50:37.760 --> 01:50:42.760]  Michael Vero, I totally agree. We're going to come back and go to Jenna, J.C. and others.
[01:50:42.760 --> 01:50:50.760]  I will also get an update from Kevin as we start the next hour in about 10 minutes from the FEMA camp up in Taylor,
[01:50:50.760 --> 01:50:57.760]  Texas just north of Austin. Kevin Smith, my radio producer and Aaron Dyke's webmaster and cameraman.
[01:50:57.760 --> 01:51:01.760]  We all wear many hats here up there. Counterpunch reported to be a protest there today.
[01:51:01.760 --> 01:51:05.760]  There's been two others that have been in the paper. Counterpunch was wrong. No one was there.
[01:51:05.760 --> 01:51:13.760]  We are there. We're asking you to go up there just as basically as observers to observe what's happening
[01:51:13.760 --> 01:51:18.760]  and to witness what's happening up there at the railway, leading to the admitted FEMA camp.
[01:51:18.760 --> 01:51:23.760]  It is a processing relocation center by its actual name.
[01:51:23.760 --> 01:51:27.760]  infowars.com, presentpointed.com, are my websites.
[01:51:27.760 --> 01:51:29.760]  Whatreallyhappened.com is our guest site.
[01:51:36.760 --> 01:51:39.760]  It's here after a year in production and traveling the distant lands.
[01:51:39.760 --> 01:51:41.760]  My new film Terror Storm is complete.
[01:51:41.760 --> 01:51:46.760]  Shocking declassified government documents prove that western governments are orchestrating terror attacks
[01:51:46.760 --> 01:51:50.760]  against their own populations as a pretext to enslave them.
[01:51:50.760 --> 01:51:54.760]  Terror Storm proves that not only was 9-11 an inside job,
[01:51:54.760 --> 01:51:57.760]  but the attacks of 7-7 in London were carried out by British intelligence.
[01:51:57.760 --> 01:52:01.760]  Terror Storm chronicles the lies that took us to war in Iran,
[01:52:01.760 --> 01:52:06.760]  a White House program to disseminate fake news, NSA spy, secret police torture,
[01:52:06.760 --> 01:52:09.760]  the latest 9-11 information, and much, much more.
[01:52:09.760 --> 01:52:13.760]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:52:13.760 --> 01:52:16.760]  It's an anthology of government crimes.
[01:52:16.760 --> 01:52:20.760]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:52:20.760 --> 01:52:24.760]  Get your copy today on infowars.com or prisonplanet.com,
[01:52:24.760 --> 01:52:29.760]  or by calling toll-free 1-888-2533-139,
[01:52:29.760 --> 01:52:33.760]  or watch it right now online at prisonplanet.tv.
[01:52:33.760 --> 01:52:37.760]  Hello folks, Alex Jones here introducing Prudent Places USA,
[01:52:37.760 --> 01:52:42.760]  an interactive CD book that is your premier resource for hard to find information.
[01:52:42.760 --> 01:52:46.760]  We'll find out about everything from job migration to evacuation information,
[01:52:46.760 --> 01:52:52.760]  such as major bridges in disrepair, and FEMA evacuation time studies for coastal cities.
[01:52:52.760 --> 01:52:57.760]  Zero in on man-made disaster zones, environmental areas of concern,
[01:52:57.760 --> 01:53:01.760]  and natural disaster zones find out everything from where to get water in an emergency
[01:53:01.760 --> 01:53:04.760]  to geographic income levels, housing prices,
[01:53:04.760 --> 01:53:09.760]  complete with over 3 gigabytes of detailed information on the 3,000-plus counties in the U.S.
[01:53:09.760 --> 01:53:13.760]  full-color photographs, 550 high-resolution full-color maps,
[01:53:13.760 --> 01:53:16.760]  and detailed information and analysis that you need.
[01:53:16.760 --> 01:53:20.760]  Order Prudent Places USA now for only $29, plus shipping,
[01:53:20.760 --> 01:53:24.760]  by calling new millennium at 888-803-4438,
[01:53:24.760 --> 01:53:26.760]  and tell them Alex Jones sent you.
[01:53:26.760 --> 01:53:31.760]  That's 888-803-4438, or order online at burkeawater.com.
[01:53:33.760 --> 01:53:36.760]  For years, you've been hearing about Herbal Healer Academy,
[01:53:36.760 --> 01:53:41.760]  and how it's remained the leader in effective alternative and natural medicine and education.
[01:53:41.760 --> 01:53:45.760]  But how can they continue to hold that title for years on end?
[01:53:45.760 --> 01:53:48.760]  The answer is high quality and huge selection.
[01:53:48.760 --> 01:53:53.760]  Just visit HerbalHealer.com and shop online, or request a free catalog.
[01:53:53.760 --> 01:53:56.760]  You're bound to find the alternative you're looking for.
[01:53:56.760 --> 01:54:02.760]  Did you know that Herbal Healer carries the latest, safest, and effective weight loss products?
[01:54:02.760 --> 01:54:07.760]  You can also count on Herbal Healer for the largest selection of safe and natural supplements,
[01:54:07.760 --> 01:54:08.760]  just for children.
[01:54:08.760 --> 01:54:10.760]  And don't forget your pets.
[01:54:10.760 --> 01:54:14.760]  Herbal Healer even has natural mineral supplements for older animals,
[01:54:14.760 --> 01:54:16.760]  including horses, cows, and birds.
[01:54:16.760 --> 01:54:18.760]  Take a peek at their online calendar,
[01:54:18.760 --> 01:54:20.760]  and you're sure to find everything you need,
[01:54:20.760 --> 01:54:23.760]  and maybe something you didn't realize you needed.
[01:54:23.760 --> 01:54:25.760]  Visit HerbalHealer.com,
[01:54:25.760 --> 01:54:28.760]  and don't forget to sign up for the free Herbal Healer newsletter.
[01:54:28.760 --> 01:54:32.760]  Visit HerbalHealer.com, working with the power of nature.
[01:54:36.760 --> 01:54:38.760]  Attention, attention, attention.
[01:54:38.760 --> 01:54:40.760]  The American forces are here to help.
[01:54:40.760 --> 01:54:42.760]  Remain calm.
[01:54:42.760 --> 01:54:46.760]  We will not tolerate civil disobedience.
[01:54:46.760 --> 01:54:49.760]  Attention, attention, attention.
[01:54:49.760 --> 01:54:51.760]  The American forces are here to help.
[01:54:51.760 --> 01:54:53.760]  Plan, remain calm.
[01:54:53.760 --> 01:54:56.760]  We will not tolerate civil disobedience.
[01:54:56.760 --> 01:54:59.760]  I've made two documentary films about the police state,
[01:54:59.760 --> 01:55:02.760]  and been to dozens of these military training operations,
[01:55:02.760 --> 01:55:05.760]  where they hire hundreds of role-players to beg and scream,
[01:55:05.760 --> 01:55:07.760]  where Americans, please don't put us in camps.
[01:55:07.760 --> 01:55:09.760]  Don't take our guns.
[01:55:18.760 --> 01:55:20.760]  Welcome back.
[01:55:20.760 --> 01:55:26.760]  I have, that's from police state 2000, we just grabbed that off the web.
[01:55:26.760 --> 01:55:33.760]  Do you want to do a search on YouTube for FEMA hearings,
[01:55:33.760 --> 01:55:38.760]  or something like, it'll pop my head, a keyword to search for it.
[01:55:38.760 --> 01:55:40.760]  Folks, you need to get my police state trilogy.
[01:55:40.760 --> 01:55:41.760]  It has it all.
[01:55:41.760 --> 01:55:43.760]  Kevin Smith is up there, I just talked to him during the break.
[01:55:43.760 --> 01:55:44.760]  They're going back to the front.
[01:55:44.760 --> 01:55:46.760]  Looks like some folks may have showed up and support.
[01:55:46.760 --> 01:55:48.760]  Other people need to go out there to the FEMA camp,
[01:55:48.760 --> 01:55:51.760]  get past your fear, go out there just as observers.
[01:55:51.760 --> 01:55:52.760]  They're in Taylor.
[01:55:52.760 --> 01:55:55.760]  If you just get to downtown Taylor, you can ask where's the camp,
[01:55:55.760 --> 01:55:57.760]  and they'll direct you to it.
[01:55:57.760 --> 01:55:59.760]  They're going to be there until the end of the next hour.
[01:55:59.760 --> 01:56:00.760]  We'll give you a report.
[01:56:00.760 --> 01:56:03.760]  Mike Rivera, I'll ask you to stay five minutes with me until the next hour.
[01:56:03.760 --> 01:56:05.760]  So we have time to take calls.
[01:56:05.760 --> 01:56:10.760]  Let's go ahead and talk to Jenna in Ontario, Canada.
[01:56:10.760 --> 01:56:11.760]  You're on the air.
[01:56:11.760 --> 01:56:12.760]  Go ahead.
[01:56:12.760 --> 01:56:13.760]  Hi, Alex.
[01:56:13.760 --> 01:56:17.760]  I called in a couple of weeks ago, and we were talking about the police state in Canada.
[01:56:17.760 --> 01:56:19.760]  And how brutal it was.
[01:56:19.760 --> 01:56:22.760]  I think the very next day it could have been.
[01:56:22.760 --> 01:56:24.760]  I heard that they're starting to deal.
[01:56:24.760 --> 01:56:26.760]  I'm not sure if they started or if they're trying,
[01:56:26.760 --> 01:56:30.760]  but they're trying to do these random search warrants.
[01:56:30.760 --> 01:56:33.760]  You go on a list, I believe.
[01:56:33.760 --> 01:56:37.760]  Say I had a friend who bought some pot off somebody,
[01:56:37.760 --> 01:56:38.760]  and he was on that list.
[01:56:38.760 --> 01:56:40.760]  Both of us are on that list now,
[01:56:40.760 --> 01:56:44.760]  and they can basically come to my door with a warrant and search my home.
[01:56:44.760 --> 01:56:45.760]  Yeah, that's right.
[01:56:45.760 --> 01:56:47.760]  They're trying that in the U.S., too.
[01:56:47.760 --> 01:56:50.760]  It's a list of suspicion because you, it shows,
[01:56:50.760 --> 01:56:53.760]  have a social network with someone else who got in trouble.
[01:56:53.760 --> 01:56:56.760]  Now they're going to come after you, Mike Rivera.
[01:56:56.760 --> 01:56:59.760]  Well, unfortunately, it's guilt by association,
[01:56:59.760 --> 01:57:04.760]  and part of it is to simply convince people to stay isolated
[01:57:04.760 --> 01:57:07.760]  because isolated people are easier to lie to
[01:57:07.760 --> 01:57:09.760]  because they're not talking to anybody.
[01:57:09.760 --> 01:57:13.760]  Yeah, that's why they're announcing the NSA spy on everything.
[01:57:13.760 --> 01:57:15.760]  It's an attempt at chilling.
[01:57:15.760 --> 01:57:16.760]  Exactly right.
[01:57:16.760 --> 01:57:18.760]  And the idea has got nothing to do with POTS on what it is,
[01:57:18.760 --> 01:57:23.760]  is they want people to not talk to people like, frankly, Alex and myself
[01:57:23.760 --> 01:57:26.760]  because we're saying things the government does not want to get out.
[01:57:26.760 --> 01:57:28.760]  They can't stop it on the Internet.
[01:57:28.760 --> 01:57:31.760]  They're trying to at least stop it among the population.
[01:57:31.760 --> 01:57:33.760]  But all they're doing is validating us.
[01:57:33.760 --> 01:57:36.760]  All they're doing is Americans aren't as cowardly,
[01:57:36.760 --> 01:57:39.760]  Canadians aren't as cowardly as they thought.
[01:57:39.760 --> 01:57:41.760]  Yeah, it is an act of desperation,
[01:57:41.760 --> 01:57:45.760]  and it goes back to that saying that we have the fastest way to end a dictatorship
[01:57:45.760 --> 01:57:47.760]  is to make it act like one where everybody can see it,
[01:57:47.760 --> 01:57:50.760]  and that's exactly what they're doing now.
[01:57:50.760 --> 01:57:52.760]  Anything else, Jenna?
[01:57:52.760 --> 01:57:53.760]  No, that's it.
[01:57:53.760 --> 01:57:56.760]  I just thought that was really brutal and worth telling you about.
[01:57:56.760 --> 01:57:57.760]  I did see that.
[01:57:57.760 --> 01:58:00.760]  They also have the Texas State Police in Canada
[01:58:00.760 --> 01:58:04.760]  in two provinces teaching your mounted police
[01:58:04.760 --> 01:58:06.760]  how to run a checkpoint without warrants.
[01:58:06.760 --> 01:58:08.760]  I mean, how embarrassing.
[01:58:08.760 --> 01:58:11.760]  Yeah, that was in the Associated Press in Washington Post.
[01:58:11.760 --> 01:58:13.760]  Did you see that, Mike, when they were doing that?
[01:58:13.760 --> 01:58:15.760]  Yes, I did, and it is amazing.
[01:58:15.760 --> 01:58:19.760]  It's a big business to teach how to get around the civil liberties problem.
[01:58:19.760 --> 01:58:22.760]  You know, it's so good to talk to a factoid newshound like myself
[01:58:22.760 --> 01:58:25.760]  because you've always seen everything I've seen and more.
[01:58:25.760 --> 01:58:27.760]  It's good to go, hey, did you see that?
[01:58:27.760 --> 01:58:29.760]  Yeah, I saw that because that's all we do.
[01:58:29.760 --> 01:58:33.760]  Mike, I know you run a successful business yourself in special effects,
[01:58:33.760 --> 01:58:35.760]  but what is it like for you?
[01:58:35.760 --> 01:58:40.760]  You know, I mean, is it as addicting to you as it is me to always want to know more?
[01:58:40.760 --> 01:58:44.760]  Unfortunately, yes, and it is a contagious addiction,
[01:58:44.760 --> 01:58:47.760]  but on the other hand, I think spreading this particular addiction
[01:58:47.760 --> 01:58:49.760]  is the key to getting our republic back.
[01:58:49.760 --> 01:58:51.760]  I agree.
[01:58:51.760 --> 01:58:56.760]  Third hour, straight ahead, KC, Nathan, Harvey, Eric,
[01:58:56.760 --> 01:58:59.760]  the only calls we take, then I'm going to play some clips
[01:58:59.760 --> 01:59:03.760]  from a Twilight Zone episode, another clip from CNN about cover-up
[01:59:03.760 --> 01:59:06.760]  concerning Oklahoma City by the government, it's finally breaking,
[01:59:06.760 --> 01:59:09.760]  and another little clip concerning of the Loving Tim Trails.
[01:59:09.760 --> 01:59:12.760]  We'll be right back in 70 seconds.
[01:59:13.760 --> 01:59:17.760]  Order a copy of this show for your friends and family at GCNLive.com
[01:59:17.760 --> 01:59:20.760]  or call 877-300-7645.
[01:59:23.760 --> 01:59:28.760]  Hello, folks, this is Alex Jones introducing you to the incredible Burkey Solar Charger,
[01:59:28.760 --> 01:59:31.760]  your source for free solar electricity.
[01:59:31.760 --> 01:59:34.760]  Its portable system is the size of a book when folded
[01:59:34.760 --> 01:59:38.760]  and small enough to fit into a briefcase, handbag, or glove compartment.
[01:59:38.760 --> 01:59:43.760]  The Burkey Solar Charger has been designed to power the Burkey Lite's LED lamps
[01:59:43.760 --> 01:59:47.760]  as well as other applications such as mobile phones, radios, digital cameras,
[01:59:47.760 --> 01:59:50.760]  and PDAs when electricity is unavailable.
[01:59:50.760 --> 01:59:55.760]  Its multi-voltage capabilities, multiple adapters, and rechargeable batteries power.
[01:59:55.760 --> 01:59:58.760]  It's the Burkey Solar Charger in the sun.
[01:59:58.760 --> 02:00:00.760]  Plug in your application and you have power.
[02:00:00.760 --> 02:00:05.760]  Disconnect your application, the system automatically begins charging its own rechargeable batteries.
[02:00:05.760 --> 02:00:10.760]  Get the incredible Burkey Solar Charger for only $75 by calling New Millennium
[02:00:10.760 --> 02:00:15.760]  at 888-803-4438 and tell them Alex Jones sent you.
[02:00:15.760 --> 02:00:20.760]  That's toll-free, triple-eight, 803-4438.
[02:00:20.760 --> 02:00:29.760]  Waging war on corruption, Alex Jones on the GCN Radio Network.
[02:00:35.760 --> 02:00:39.760]  Big Brother, mainstream media, government cover-ups.
[02:00:39.760 --> 02:00:41.760]  You want answers?
[02:00:41.760 --> 02:00:43.760]  Well, so does he.
[02:00:43.760 --> 02:00:47.760]  He's Alex Jones on the GCN Radio Network.
[02:00:47.760 --> 02:00:52.760]  And now, live from Austin, Texas, Alex Jones.
[02:00:56.760 --> 02:01:00.760]  Now into hour number three of this January 2, 2006 edition.
[02:01:00.760 --> 02:01:02.760]  I'm Alex Jones, your host.
[02:01:02.760 --> 02:01:07.760]  Thank you so much for joining us.
[02:01:07.760 --> 02:01:12.760]  Aaron Dites, one of my cameramen, and Kevin Smith are there at the FEMA camp.
[02:01:12.760 --> 02:01:17.760]  He admitted relocation center that they've opened with men, women, and children in it.
[02:01:17.760 --> 02:01:21.760]  In Taylor, Texas, we'll have a report from him at the bottom of the hour
[02:01:21.760 --> 02:01:25.760]  and on some of the folks that have showed up there to observe what's going on.
[02:01:25.760 --> 02:01:27.760]  There's been several protests in the last week.
[02:01:27.760 --> 02:01:30.760]  We suggest you go to downtown Taylor and go to the front of the FEMA center
[02:01:30.760 --> 02:01:33.760]  just to witness it for yourself today and the next hour.
[02:01:33.760 --> 02:01:35.760]  Mike Rivera is on with us for a few more minutes.
[02:01:35.760 --> 02:01:37.760]  I want to run through some more phone calls.
[02:01:37.760 --> 02:01:41.760]  Casey in Minnesota, you're on the air. Go ahead.
[02:01:41.760 --> 02:01:43.760]  Hey, Alex, how's it going? Good, sir.
[02:01:43.760 --> 02:01:45.760]  Good. You're going to love this.
[02:01:45.760 --> 02:01:50.760]  George Bush, Sr. today at Ford's funeral.
[02:01:50.760 --> 02:01:55.760]  He said something to the effect that contrary to what conspiracy theorist thinks,
[02:01:55.760 --> 02:02:01.760]  the Warren Commission still stands because it had Ford's good name signed to it.
[02:02:01.760 --> 02:02:04.760]  This was on television. I'd love to have that on tape.
[02:02:04.760 --> 02:02:10.760]  This was at his funeral. I'm sure lots of people are taping it, but it was crazy.
[02:02:10.760 --> 02:02:12.760]  They're going to re-air it on C-span. I'll be sure and tape it.
[02:02:12.760 --> 02:02:14.760]  Thank you for that info.
[02:02:14.760 --> 02:02:19.760]  Of course, 92% of Americans, if you index when I averaged 12 polls together,
[02:02:19.760 --> 02:02:22.760]  92% believe that the government was involved.
[02:02:22.760 --> 02:02:24.760]  Do you want to comment on that, Mike Rivera?
[02:02:24.760 --> 02:02:27.760]  Well, this is a very strange statement for Bush to be making
[02:02:27.760 --> 02:02:33.760]  because Gerald Ford was forced to admit that he had altered the Warren reports location
[02:02:33.760 --> 02:02:39.760]  of Kennedy's back wound to move it up closer to the neck to line up with the magic bullet theory.
[02:02:39.760 --> 02:02:44.760]  Here we have Gerald Ford himself was part of the cover-up
[02:02:44.760 --> 02:02:48.760]  because he turned the shoulder wound into a neck wound so that the magic bullet would all line up.
[02:02:48.760 --> 02:02:53.760]  This shows their arrogance that they'd shoot their mouth off when 90% of us know they're liars
[02:02:53.760 --> 02:02:56.760]  and they just still think what they say holds water.
[02:02:56.760 --> 02:03:01.760]  Like I said, they're still playing the game by the rules that worked back in the 50s, 60s and 70s.
[02:03:01.760 --> 02:03:07.760]  They haven't really caught on how quickly their lives are going to get exposed out here.
[02:03:07.760 --> 02:03:10.760]  You know, alternative radio and in the Internet.
[02:03:10.760 --> 02:03:12.760]  It's unbelievable.
[02:03:12.760 --> 02:03:18.760]  They've also tried to flood the web with this info, but people develop a palette to recognize Bologna very fast.
[02:03:18.760 --> 02:03:22.760]  Yeah, they're actually training us to be more discerning and skeptical
[02:03:22.760 --> 02:03:29.760]  and it's making us all better citizens, better researchers, and just really much more discerning.
[02:03:29.760 --> 02:03:31.760]  And in the long run, it's going to work against them.
[02:03:31.760 --> 02:03:35.760]  It's fun seeing the COINTELPRO people pull their hair out on the web and attack us, isn't it, Mike?
[02:03:35.760 --> 02:03:37.760]  Yes, it is.
[02:03:37.760 --> 02:03:39.760]  Let's just know we're really hitting them hard.
[02:03:39.760 --> 02:03:40.760]  Absolutely.
[02:03:40.760 --> 02:03:42.760]  Anything else, Casey?
[02:03:42.760 --> 02:03:47.760]  Well, I thought it was kind of interesting because there was two sides to it.
[02:03:47.760 --> 02:03:56.760]  It was kind of like, A, you have the fact that he's kind of revealing his insecurities to the world about, you know, the JFK assassination.
[02:03:56.760 --> 02:04:02.760]  And then B, it's kind of like a backhanded insult because now that he's dead,
[02:04:02.760 --> 02:04:06.760]  I feel like one of the only people alive left to be able to testify about it.
[02:04:06.760 --> 02:04:07.760]  Yes.
[02:04:07.760 --> 02:04:08.760]  Right.
[02:04:08.760 --> 02:04:10.760]  So it's like, that kind of threw me.
[02:04:10.760 --> 02:04:15.760]  Well, also all the evidence shows that Bush Sr. was in the CIA at the time, involved in Bay of Bigs,
[02:04:15.760 --> 02:04:22.760]  involved in operations, you know, the different rifle groups, and was in Dallas when that happened, Mike?
[02:04:22.760 --> 02:04:23.760]  Yeah, absolutely.
[02:04:23.760 --> 02:04:25.760]  That's where I was going to point out.
[02:04:25.760 --> 02:04:30.760]  His Bush himself was neck deep, but he was working with Felix Rodriguez in the Cuban operation.
[02:04:30.760 --> 02:04:34.760]  He loaned some of his company's ships to support the Bay of Pigs operation.
[02:04:34.760 --> 02:04:41.760]  So Bush himself could probably testify if some means could be found to coerce the truth out of him.
[02:04:41.760 --> 02:04:44.760]  I think he's getting doddering and slipping up.
[02:04:44.760 --> 02:04:46.760]  Could very well be.
[02:04:46.760 --> 02:04:47.760]  All right.
[02:04:47.760 --> 02:04:48.760]  Thank you for that information.
[02:04:48.760 --> 02:04:50.760]  I really appreciate it, Casey, so much happening.
[02:04:50.760 --> 02:04:57.760]  Mike Rivera, your new show starts this Saturday, 11 a.m. central time here on the GCN Radio Network.
[02:04:57.760 --> 02:05:01.760]  I hope some of our affiliates out there will give it a listen and pick it up.
[02:05:01.760 --> 02:05:03.760]  And I appreciate you coming on with us.
[02:05:03.760 --> 02:05:05.760]  Well, thank you, and we'll talk to you next month.
[02:05:05.760 --> 02:05:06.760]  All right.
[02:05:06.760 --> 02:05:10.760]  And the websites, whatreallyhappened.com, thanks for being with us.
[02:05:10.760 --> 02:05:11.760]  Thank you.
[02:05:11.760 --> 02:05:12.760]  All right.
[02:05:12.760 --> 02:05:13.760]  There goes Mike Rivera.
[02:05:13.760 --> 02:05:15.760]  You can join him this Saturday.
[02:05:15.760 --> 02:05:16.760]  Come back.
[02:05:16.760 --> 02:05:22.760]  I'll talk to Harry and Eric, maybe one or two others, and I want to play a few news clips and then this quiet zone piece.
[02:05:22.760 --> 02:05:30.760]  Here's the volume for what we face today, infowars.com, prisonplanet.com, or the websites, check out prisonplanet.tv.
[02:05:30.760 --> 02:05:37.760]  It's here after a year in production and traveling the distant lands.
[02:05:37.760 --> 02:05:40.760]  My new film Terror Storm is complete.
[02:05:40.760 --> 02:05:48.760]  Shocking, declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[02:05:48.760 --> 02:05:55.760]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[02:05:55.760 --> 02:06:07.760]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[02:06:07.760 --> 02:06:11.760]  Terror Storm is the definitive guide to the history of government-sponsored terrorists.
[02:06:11.760 --> 02:06:13.760]  It's an anthology of government crimes.
[02:06:13.760 --> 02:06:17.760]  Terror Storm is a film that everyone who wants to be truly informed must see.
[02:06:17.760 --> 02:06:30.760]  Get your copy today on infowars.com or prisonplanet.com, or by calling toll 3-1-888-2533139, or watch it right now online at prisonplanet.tv.
[02:06:30.760 --> 02:06:36.760]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[02:06:36.760 --> 02:06:44.760]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[02:06:44.760 --> 02:06:51.760]  Medical course, potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident.
[02:06:51.760 --> 02:06:53.760]  Radioactive poisoning.
[02:06:53.760 --> 02:06:59.760]  Potassium iodate can protect against radioactive poisoning by filling the thyroid with good iodine.
[02:06:59.760 --> 02:07:04.760]  This shields the thyroid and prevents it from absorbing the harmful radioactive iodine.
[02:07:04.760 --> 02:07:13.760]  Potassium iodate is better than the iodide form because it is not as likely to cause upset stomachs in children, the elderly, the sick, and pets.
[02:07:13.760 --> 02:07:18.760]  Order the official potassium iodate for only $24 and save $5.
[02:07:18.760 --> 02:07:23.760]  By calling new millennium at 808-803-4438.
[02:07:23.760 --> 02:07:29.760]  Call now and get free shipping. That's 808-803-4438.
[02:07:29.760 --> 02:07:33.760]  Are you concerned about the high cost of prescription drugs?
[02:07:33.760 --> 02:07:39.760]  Since January of 2006, RxDrugCard.com members have saved an average of $33 per prescription film.
[02:07:39.760 --> 02:07:41.760]  That's over 46% savings.
[02:07:41.760 --> 02:07:45.760]  The average savings for generic drugs was over 71%.
[02:07:45.760 --> 02:07:54.760]  RxDrugCard.com is the only major discount prescription drug plant that offers a price lookup page, so you can get an idea of your discounted price before you enroll.
[02:07:54.760 --> 02:07:58.760]  RxDrugCard.com is for anyone who pays for their own prescriptions.
[02:07:58.760 --> 02:08:07.760]  There are no age restrictions, all prescriptions are covered, and 95% of all pharmacies in the U.S. participate, including Walmart, Walgreen, CVS Pharmacy, and many more.
[02:08:07.760 --> 02:08:12.760]  With RxDrugCard.com, you will save immediately with no messy forms or paperwork.
[02:08:12.760 --> 02:08:18.760]  Membership fees start at only $4.50 per month and include a 30-day unconditional money-back guarantee.
[02:08:18.760 --> 02:08:25.760]  Visit us at www.RxDrugCard.com or call us at 888-216-2461.
[02:08:25.760 --> 02:08:29.760]  That's 888-216-2461. Do it today!
[02:08:29.760 --> 02:08:38.760]  The Genesis Communications Radio Network proudly presents the Alex Jones Show because there's a war on for your mind.
[02:08:38.760 --> 02:08:42.760]  We're running out of time. I've got three big audio clips on the play.
[02:08:42.760 --> 02:08:45.760]  An update there at the FEMA camp, Kevin Smith.
[02:08:45.760 --> 02:08:51.760]  They're dealing with, well, they're telling them to turn their cameras off.
[02:08:51.760 --> 02:08:52.760]  They want to review the tapes.
[02:08:52.760 --> 02:09:01.760]  They're saying, no, this is a FEMA camp and they're holding reportedly legal aliens, but they admit it can hold U.S. citizens too under FEMA directives.
[02:09:01.760 --> 02:09:04.760]  It looks into a whole martial law umbrella, very serious.
[02:09:04.760 --> 02:09:12.760]  Let's take two final calls quickly before I get into the rest of the information for the sour on this live January 2nd edition.
[02:09:12.760 --> 02:09:15.760]  Harvey in Florida, then Eric in Kansas. Harvey, go ahead.
[02:09:15.760 --> 02:09:17.760]  Yes, hello, Alex. How are you today?
[02:09:17.760 --> 02:09:18.760]  Good, sir.
[02:09:18.760 --> 02:09:28.760]  It's great to talk to you again. You talked about it several times and I'll confirm that I know of a woman whose husband is a local sheriff here in Central Florida, a little two-bit town.
[02:09:28.760 --> 02:09:34.760]  He's been sent off to FBI headquarters for several months of training and interrogation.
[02:09:34.760 --> 02:09:41.760]  They're federalizing all of them, building a fusion command center with CIA and FBI over it. It's a nightmare.
[02:09:41.760 --> 02:09:42.760]  It's absolutely true.
[02:09:42.760 --> 02:09:43.760]  But they won't control the border.
[02:09:43.760 --> 02:09:51.760]  They were giving them special teaching and new interrogation techniques and his wife is scared to death. She confided in me.
[02:09:51.760 --> 02:09:53.760]  Oh, really? What else was she telling you?
[02:09:53.760 --> 02:09:59.760]  Well, she was very nervous because he was practicing his new interrogation techniques on her.
[02:09:59.760 --> 02:10:01.760]  And what were those?
[02:10:01.760 --> 02:10:06.760]  Checking her computer, see who she's been talking to, what she's been looking at and things like that.
[02:10:06.760 --> 02:10:09.760]  Well, anybody could be al-Qaeda.
[02:10:09.760 --> 02:10:14.760]  I remember the last time I was in the airport, there were guys sitting there reading these black-and-white books about how to spot a terrorist.
[02:10:14.760 --> 02:10:17.760]  I mean, it's just a dirt. The terrorists run the government.
[02:10:17.760 --> 02:10:22.760]  This is a local two-bit town. The smallest town you ever saw and they sent him off.
[02:10:22.760 --> 02:10:29.760]  They picked him because he's one of the head hunters in the Sheriff's Office to be trained in their new interrogation techniques.
[02:10:29.760 --> 02:10:33.760]  And that federal money that's our tax dollars is to federalize them all.
[02:10:33.760 --> 02:10:35.760]  And then they know how to sell us these FEMA camps.
[02:10:35.760 --> 02:10:39.760]  Oh, we're putting illegal aliens in them and we're going to put U.S. citizens.
[02:10:39.760 --> 02:10:41.760]  Oh, well, it must be okay because we're putting illegal aliens in them.
[02:10:41.760 --> 02:10:44.760]  Whole families, folks. Whole families, no due process.
[02:10:44.760 --> 02:10:47.760]  Well, it's a 6-6 situation now.
[02:10:47.760 --> 02:10:50.760]  But I just want to get to two quick things. I'll make it as fair as I can.
[02:10:50.760 --> 02:10:59.760]  The National Guard being trained in Iraq and then now about this teaching the Iraqi people how to kill each other better, how we train them, how to kill.
[02:10:59.760 --> 02:11:03.760]  It seems like they know how to kill pretty good. They don't really need us here to train them, doesn't it?
[02:11:03.760 --> 02:11:07.760]  It's all designed to balkanize and break down the country. What was the other point?
[02:11:07.760 --> 02:11:13.760]  And the other point is I had sent you a green booklet, a small booklet about the truth from Afghanistan.
[02:11:13.760 --> 02:11:19.760]  And it's a historical piece written during the Soviet time, written in the Soviet Union.
[02:11:19.760 --> 02:11:22.760]  And I know you saw it and you got it about two months ago.
[02:11:22.760 --> 02:11:29.760]  So I wish you would take the time because it outlines Daddy Bush's filthy hands in training the Afghans.
[02:11:29.760 --> 02:11:33.760]  Well, I mean, they've admitted to all that. Listen, I appreciate your call and thank you for the booklet.
[02:11:33.760 --> 02:11:36.760]  Okay, I'm not going to air the whole seven-minute piece, but this is a few nights ago.
