[00:00:03.342 --> 00:00:08.186]  Big Brother, Mainstream Media, Government Cover Ups.
[02:09:10.930 --> 02:09:15.513]  And so we'll, uh, get into the latest on the NSA, uh, which doesn't appear to be cutting back.
[02:09:15.513 --> 02:09:18.934]  It looks like it's going to expand under, uh, Mr. Obama.
[02:09:18.934 --> 02:09:20.175]  Mr. Gates is staying on.
[02:09:20.715 --> 02:09:31.899]  With him, but let's continue with the case of Ivins, Carnaby, the case of, of course, Deborah Jean Palfrey, because you even flew to Houston to work on the Carnaby case.
[02:09:31.899 --> 02:09:41.463]  Let's look back at some of the past reports you've done on people being set up, people being killed, people being murdered, and why was Carnaby executed by the police?
[02:09:42.236 --> 02:09:47.540]  Well, it's quite clear that Carnaby had access to, or had in his possession, information.
[02:09:47.540 --> 02:09:56.245]  Now, we know that the police, their primary, one of their primary goals, after they shot and killed Carnaby, was to obtain his laptop computer.
[02:09:56.245 --> 02:10:10.315]  Now, it's quite apparent there was something on that laptop that was of great interest to the Houston Police, and possibly to a foreign intelligence service, which Carnaby really had his sights on.
[02:10:10.315 --> 02:10:12.016]  He was very concerned about the security
[02:10:12.516 --> 02:10:12.897]  I don't know.
[02:10:32.132 --> 02:11:01.652]  Laptop computers, so there was obviously something Whether it was the photos or some information that somebody wanted to get their hands on and obviously they did there was also a broken chain of custody custody I should say The Houston Police Department had that laptop for a certain amount of time then they gave it to the Secret Service And then the Secret Service apparently gave it back to the Houston Police Department So here we had a broken chain of custody on something critically important
[02:11:04.516 --> 02:11:12.186]  Getting back into Debra Jean Palfrey, I mean, clearly murdered, telling myself, you, a lot of other people that if I am killed, it's not suicide.
[02:11:13.098 --> 02:11:19.763]  Her condo manager saying that she told them, I'm going to be back in a few days, the rest of my stuff.
[02:11:19.763 --> 02:11:21.004]  I think people are following me.
[02:11:21.004 --> 02:11:23.547]  If anything happens to me, I've been murdered.
[02:11:23.547 --> 02:11:29.011]  I mean, and then she goes to her mother's shed with her ill mother and kills herself by her mother.
[02:11:29.011 --> 02:11:31.713]  I mean, that's not her MO, not her style.
[02:11:31.713 --> 02:11:37.798]  And they have some weird crime reporter pop up and say, Oh, she told me she was going to kill herself with no record of that.
[02:11:37.798 --> 02:11:42.502]  And then we looked at the handwriting and I mean, just on its face, nothing matched.
[02:11:43.308 --> 02:11:51.715]  Well, we had another suspicious death just a few weeks ago here in Washington, the Washington area.
[02:11:51.715 --> 02:11:56.759]  A girl named Juan Tissa Hill, who was a second-class yeoman in the U.S.
[02:11:56.759 --> 02:12:06.968]  Navy, was the yeoman for the Chief of Naval Operations, was found brutally murdered, and the police are calling it murder, a very violent murder, in her apartment in Alexandria, Virginia.
[02:12:06.968 --> 02:12:07.649]  Now, why is that?
[02:12:08.349 --> 02:12:31.464]  Important, because in April, right before she committed suicide, quote-unquote, Gene Palfrey submitted a letter, a filing, to the court here in Washington, D.C., which named several people as clients, and among those was an individual named Ron Roughead.
[02:12:31.464 --> 02:12:34.907]  Ron Roughead's brother is Admiral Gary Roughead.
[02:12:35.661 --> 02:12:40.487]  Who was the chief of naval operations who Juan Pizza Hill was working for?
[02:12:40.487 --> 02:12:40.948]  No!
[02:12:40.948 --> 02:12:43.091]  Juan Pizza Hill would have had access.
[02:12:43.669 --> 02:13:01.294]  To all of Admiral Roughead, the Chief of Naval Operations, personal correspondents, including, we also had recently, the Navy dropped all charges and allowed Rebecca Dickinson, who was one of Palfrey's employees, she had a job at the U.S.
[02:13:01.294 --> 02:13:09.296]  Naval Academy, she was named in April as one of the clients of Gene Palfrey, but she was allowed to retire
[02:13:10.757 --> 02:13:19.865]  Now for those that don't live around Maryland, I see these reports all the time.
[02:13:19.865 --> 02:13:25.390]  The head of the state police caught running the hookers into the government offices.
[02:13:25.390 --> 02:13:29.874]  Murders of hookers, murders of investigators, murders of police.
[02:13:30.915 --> 02:13:38.178]  I mean, I guess the hookers supplying the elite is really a big business, and it looks like what the police are the delivery boys?
[02:13:38.178 --> 02:13:41.959]  I mean, give folks some of the rundown of what's happening there.
[02:13:41.959 --> 02:13:49.962]  Well, we just had Mitchell Wade, who was the head of a defense contractor, NPM, he did a deal with the government.
[02:13:49.962 --> 02:13:59.265]  He just got 30 months, and he's going to be allowed to keep most of the money he made as a result of bribing former congressman, and now jail congressman, Randy Duke Cunningham.
[02:14:00.425 --> 02:14:18.837]  Mitchell Wade was involved in all this business activity with the poker parties at the Watergate that involved former CIA Director Porter Goss Cunningham, where Sherlington Limousine would traffic around these prostitutes, these escorts.
[02:14:18.837 --> 02:14:27.203]  And it's quite clear that these escorts included escorts working for Pamela Martin & Associates, Gene Palfrey's company.
[02:14:27.643 --> 02:14:31.847]  And so, we have a lot of things coming together here.
[02:14:31.847 --> 02:14:34.709]  Rebecca Dickinson being allowed to retire.
[02:14:34.709 --> 02:14:38.112]  Wade being, you know, basically getting that 30-month jail sentence.
[02:14:38.112 --> 02:14:42.896]  We're probably in a club bed and able to keep most of his little gotten gain.
[02:14:42.896 --> 02:14:44.157]  It looks like the fix is in.
[02:14:44.937 --> 02:14:56.040]  Admiral Ruffhead's yeoman being violently killed, what did she have access to as far as any deal made between the CNO's office and allowing Dickinson to retire?
[02:14:56.040 --> 02:15:04.882]  And as you mentioned, Ed Norris, who was the superintendent of the Maryland State Police, was indicted by the U.S.
[02:15:04.882 --> 02:15:05.743]  Attorney in Maryland.
[02:15:05.743 --> 02:15:07.423]  Incidentally, he was one of the first U.S.
[02:15:07.423 --> 02:15:09.964]  attorneys fired after George W. Bush's re-election.
[02:15:11.531 --> 02:15:20.296]  But anyway, we have a connection right into the office of then-Republican Governor of Maryland, Bob Ehrlich.
[02:15:20.296 --> 02:15:21.376]  And this is what the U.S.
[02:15:21.376 --> 02:15:23.798]  Attorney was focused on.
[02:15:23.798 --> 02:15:27.640]  Now, why is it that Stellar Wind, I mean, NSA is in Maryland.
[02:15:27.640 --> 02:15:31.342]  It's a stone's throw away from the Governor's mansion in Annapolis.
[02:15:31.342 --> 02:15:35.724]  And from Baltimore, why is it that Stellar Wind wasn't used to indict
[02:15:36.745 --> 02:15:47.641]  Bob Ehrlich, the Republican governor, but it seems to have been used to go after New York Governor Eliot Spitzer for something very similar, as we know, and also Illinois Governor Rod Blagojevich.
[02:15:47.641 --> 02:15:51.767]  Yeah, let's stop right there, Wayne Madsen, and talk about
[02:15:52.708 --> 02:15:56.250]  The way the NSA snooping system is being used.
[02:15:56.250 --> 02:15:59.291]  Now, I'm no defender of the Illinois governor.
[02:15:59.291 --> 02:16:03.294]  He has the National Guard out doing gun sweeps door-to-door.
[02:16:03.294 --> 02:16:04.234]  You can't make this up.
[02:16:04.234 --> 02:16:07.276]  We can play this press conference.
[02:16:07.276 --> 02:16:12.238]  Obviously a corrupt guy, but that's par for the course in Illinois and Chicago.
[02:16:12.238 --> 02:16:12.839]  Famous for that.
[02:16:12.839 --> 02:16:13.939]  I'm not defending it.
[02:16:13.939 --> 02:16:15.180]  I'm a non-partisan here.
[02:16:15.860 --> 02:16:20.843]  And folks, you know, I'm more of a Ron Paul type, you know, conservative or libertarian.
[02:16:20.843 --> 02:16:28.066]  But absolutely, you have him coming out saying the state's going to break off business with Bank of America, and then one day later this happens.
[02:16:28.066 --> 02:16:37.111]  We have Spitzer going after the big brokerage firms engaging in scams before this huge scandal even breaks.
[02:16:37.111 --> 02:16:41.072]  They go after him, and the FBI, you know, is
[02:16:42.293 --> 02:16:55.181]  Basically surveilling all of these governors and knows the minute they do something wrong and then hammers them when you get other governors that can basically get away with bloody murder, Republican or Democrat, as long as they play ball.
[02:16:55.181 --> 02:17:05.147]  So, who exactly is the NSA and the FBI that's being fed the info without warrants and then once they find something they go and get a warrant?
[02:17:05.147 --> 02:17:10.411]  I mean, how is this being used and politically, who and why are they going after folks?
[02:17:11.075 --> 02:17:13.695]  Well, I can give you a personal example of it.
[02:17:13.695 --> 02:17:33.739]  I wrote that New Mexico Governor Bill Richardson, who was trying to negotiate with North Korea to avoid a potential war with them over their nuclear program, Governor Bill Richardson was calling quite frequently and receiving calls from then-Secretary of State Colin Powell.
[02:17:33.739 --> 02:17:38.780]  Now, I found out that Richardson was being targeted by this illegal NSA
[02:17:39.880 --> 02:17:41.322]  Uh, wiretapping program.
[02:17:41.322 --> 02:17:48.369]  Now, Richardson read that article, and his chief of staff called me and said, he knew it, he knew it, you're the first one to report on it.
[02:17:48.369 --> 02:17:53.293]  And I said, well, I mean, it's not just Richardson, I'm afraid, but this is the name that was given to me.
[02:17:53.293 --> 02:18:01.021]  And then I actually met Governor Richardson during the campaign, and he said, you know, he just put his finger in my chest and said, you know, you were right about that.
[02:18:01.021 --> 02:18:05.005]  And, uh, so, so again, here's a Democratic governor, Bill Richardson, obviously,
[02:18:06.126 --> 02:18:16.337]  The neocons did not want him to be involved in this backchannel negotiation with North Korea, but it was sanctioned by Secretary of State Powell at the time.
[02:18:16.337 --> 02:18:22.183]  But now we know that John Bolton, who was working for Powell at the State Department, who was opposed to any peace
[02:18:22.703 --> 02:18:33.371]  Deal with North Korea was the guy who was basically involved in not only eavesdropping or involved in ordering NSA to eavesdrop on Richardson, but also eavesdropping on his boss, Colin Powell.
[02:18:33.371 --> 02:18:36.914]  This is political misuse of NSA systems.
[02:18:36.914 --> 02:18:49.643]  No court order, a violation of the Fourth Amendment of the Constitution, it's a violation of the wiretap provisions, and the mere fact that Obama is, I understand, entertaining keeping
[02:18:50.303 --> 02:18:54.406]  Uh, General Hayden as the Director of CIO of the CIA.
[02:18:54.406 --> 02:18:58.950]  Remember that General Hayden was the Director of NSA when this illegal wiretapping was going on.
[02:18:58.950 --> 02:19:17.884]  The mere fact that Obama's thinking about keeping Hayden as CIA Director, a guy who could be criminally charged, tells me that, uh, you know, as far as that's concerned, there's not much change in the Obama administration if he keeps a guy who was involved in a criminal activity as CIA Director.
[02:19:18.704 --> 02:19:23.810]  He says that Obama is aiding and abetting in a criminal act and he's subject to impeachment himself.
[02:19:24.716 --> 02:19:31.739]  That's right, the corrupt party just continues to roll on, and it's a system of fear where everybody's spying on everybody.
[02:19:31.739 --> 02:19:52.848]  Talk about a Nixon enemies list, and we know Bill Clinton had one, we know Bush had one, both Bushes, but this is an enemies list on steroids, and this is how the private brokerage firms and banks in control of the government are able to terrorize the rest of the government, the media, and everybody else into going along with them, because the system itself knows they're being surveilled.
[02:19:55.609 --> 02:19:57.410]  The headlines are clear.
[02:19:57.410 --> 02:20:00.332]  The worldwide economic collapse is here.
[02:20:00.332 --> 02:20:03.554]  The military is being positioned for martial law.
[02:20:03.554 --> 02:20:05.295]  The mark of the beast is at hand.
[02:20:05.295 --> 02:20:08.597]  Governments are calling for a new world cashless economic system.
[02:20:08.597 --> 02:20:11.359]  Having a long-term food solution is your only hope.
[02:20:11.359 --> 02:20:12.179]  To stay free.
[02:20:13.280 --> 02:20:16.923]  Now, Survival of Seeds introduces their Escape the Beast Kit.
[02:20:16.923 --> 02:20:23.167]  24 varieties of all-natural, non-genetically modified heirloom seeds for true patriots and homesteaders wanting food insurance.
[02:20:23.167 --> 02:20:27.790]  That's over 5 pounds of rare historic seeds for a penny per seed.
[02:20:27.790 --> 02:20:30.912]  15,000 seeds that will feed a family healthy food for 7 years.
[02:20:30.912 --> 02:20:41.599]  Big John Lipscomb, host of Don't Tread on Me, is including an instructional DVD that will teach you how to earn big money selling the produce from his incredible heirloom seeds back to him, restaurants, and small delis.
[02:20:41.599 --> 02:20:42.820]  Don't buy from copycats.
[02:20:43.080 --> 02:20:45.104]  Your fancy packaging is not free.
[02:20:45.104 --> 02:20:47.088]  Order today before it's too late.
[02:20:47.088 --> 02:20:48.951]  SurvivalistSeeds.com.
[02:20:48.951 --> 02:20:51.296]  That's SurvivalistSeeds.com.
[02:20:51.296 --> 02:20:53.199]  A long-term food solution.
[02:20:55.026 --> 02:21:01.792]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[02:21:01.792 --> 02:21:04.435]  The enemy struck America on September 11th.
[02:21:04.435 --> 02:21:05.976]  But who is the enemy?
[02:21:05.976 --> 02:21:06.777]  Bin Laden.
[02:21:06.777 --> 02:21:07.658]  This is his ammo.
[02:21:07.658 --> 02:21:09.159]  We have to look to the Middle East.
[02:21:09.159 --> 02:21:11.121]  We have to look to Osama Bin Laden.
[02:21:11.121 --> 02:21:17.888]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[02:21:18.268 --> 02:21:18.768]  Some U.S.
[02:21:18.768 --> 02:21:25.110]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[02:21:25.110 --> 02:21:28.612]  I'm aware that some Israeli citizens have been detained.
[02:21:28.612 --> 02:21:39.095]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings in war games, the shadow government, and much, much more.
[02:21:39.095 --> 02:21:40.315]  Fabled Enemies.
[02:21:40.315 --> 02:21:46.878]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[02:21:48.098 --> 02:21:51.402]  Either you are with us, or you are with the terrorists.
[02:21:55.558 --> 02:21:57.780]  Hi, John Huebner from Midas Resources.
[02:21:57.780 --> 02:22:00.723]  Are you tired of watching your hard-earned assets dwindle away?
[02:22:00.723 --> 02:22:09.331]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[02:22:09.331 --> 02:22:12.994]  Is this market a setup for a crash greater than 1987?
[02:22:12.994 --> 02:22:17.538]  Too many of today's policies resemble those that led to the collapse of 1929.
[02:22:17.538 --> 02:22:19.120]  How much are you willing to lose?
[02:22:19.520 --> 02:22:20.560]  Take action now!
[02:22:20.560 --> 02:22:25.382]  Call me at 1-800-686-2237 extension 129.
[02:22:25.382 --> 02:22:29.364]  I believe that we are facing a financial catastrophe of biblical proportion.
[02:22:29.364 --> 02:22:32.685]  Over recent decades, numerous economic systems have failed.
[02:22:32.685 --> 02:22:39.428]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[02:22:39.428 --> 02:22:41.689]  Secure your assets today by calling 1-800-686-2237 extension 129.
[02:22:45.390 --> 02:22:47.714]  Do this while paper can still buy gold.
[02:22:47.714 --> 02:22:49.436]  Call me, John Huebner, at 1-800-686-2237, extension 129.
[02:22:54.679 --> 02:22:59.604]  Phase 1 of the Insiders' plan for a One World Government has been initiated with the recent bailout.
[02:22:59.604 --> 02:23:07.032]  International bankers and power brokers have engineered the current crisis to create a new currency and a new World Bank to act as savior.
[02:23:07.032 --> 02:23:08.674]  But we've only seen the beginning.
[02:23:08.674 --> 02:23:12.818]  Their next engineered crisis will be on a scale never before seen in modern times.
[02:23:12.818 --> 02:23:16.342]  Shortages and empty shelves will spread fear and panic across the land.
[02:23:16.622 --> 02:23:21.103]  The insiders have discovered that they must control two things to seize total power.
[02:23:21.103 --> 02:23:25.444]  Phase one is a one world currency, which we are currently being prepared to accept.
[02:23:25.444 --> 02:23:29.545]  Phase two of their insidious plan is complete control of our food supplies.
[02:23:29.545 --> 02:23:34.226]  Go to www.foodshortageusa.com for the details.
[02:23:34.226 --> 02:23:40.008]  That's www.foodshortageusa.com to learn how to prepare for the unthinkable.
[02:23:40.008 --> 02:23:41.228]  Don't wait for empty shelves.
[02:23:41.548 --> 02:23:44.590]  Learn how to make your own survival foods for pennies on the dollar.
[02:23:44.590 --> 02:23:45.851]  Go to FoodShortageUSA.com or call 877-327-0365.
[02:23:45.851 --> 02:23:46.091]  That's 877-327-0365.
[02:23:46.091 --> 02:23:47.292]  There are no shackles
[02:24:12.051 --> 02:24:24.864]  If you have a question about clandestine surveillance, the police state, government corruption at the highest levels, where they're spying on each other and blackmailing each other, Wayne Madsen is the guy to talk to.
[02:24:24.864 --> 02:24:26.425]  Formerly with the National Security Agency.
[02:24:26.425 --> 02:24:26.485]  1-800-259-8255.
[02:24:30.550 --> 02:24:30.590]  9231.
[02:24:30.590 --> 02:24:33.192]  We will be opening the phones coming up in the next segment.
[02:24:33.192 --> 02:24:36.515]  Didn't get to your calls in the first hour, but new callers are welcome to call in at 1-800-259-9231.
[02:24:36.515 --> 02:24:53.552]  Next hour I'm going to cover a bunch of news that we haven't even gotten into yet on a host of issues like the federal government and a whole bunch of other medical doctors saying we should just put the whole public on psychotropics and quote other brain boosting drugs like Ritalin.
[02:24:53.992 --> 02:24:59.755]  I mean, the pharmaceutical companies are just openly becoming drug dealers to the entire population, so we'll talk about that as well.
[02:24:59.755 --> 02:25:22.187]  Wayne, it came out, as you know, that the NSA has whole floors at every major telecommunications company, or whole sectors, and now their own whistleblowers are saying, oh yeah, we sit around listening to people having phone sex, and making recordings of it and laughing at it, and this is all just being thrown in our face, and then nobody goes to jail, nobody gets in trouble.
[02:25:22.187 --> 02:25:23.088]  I mean, where is this going?
[02:25:23.874 --> 02:25:29.636]  Well, I'll tell you, I mean, it looks like this program has been around before 9-11.
[02:25:29.636 --> 02:25:47.923]  We had the former chairman of Quest, the phone company, Richard Naccio, state that in February 2001, right after Bush came to office, the NSA wanted him to participate in warrantless wiretapping, and he said, that's illegal.
[02:25:47.923 --> 02:25:49.044]  And of course, he refused.
[02:25:49.044 --> 02:25:49.624]  He was the only
[02:25:50.249 --> 02:25:52.510]  Um, the head of a phone company, too, refused.
[02:25:52.510 --> 02:25:55.650]  Of course, AT&T and the others on Verizon all complied.
[02:25:55.650 --> 02:26:01.872]  Uh, but Naccio then found himself the subject of a criminal investigation for insider trading.
[02:26:01.872 --> 02:26:09.553]  But the Telecommunications Act of, the Telecommunications Act, as you know, of 96, ordered the phone companies to put the snooping hubs in.
[02:26:09.553 --> 02:26:11.454]  They just told them, don't worry, we're not going to use it.
[02:26:12.299 --> 02:26:17.401]  Right, and that was the, uh, communica- uh, communica- uh, uh, CALEA Act.
[02:26:17.401 --> 02:26:20.962]  It was, uh, Communications Assistance to Law Enforcement Act.
[02:26:20.962 --> 02:26:29.646]  And, and of course, we were all told in the privacy community at the time that, uh, no, this would only, uh, this would be a court order would be required.
[02:26:29.646 --> 02:26:32.507]  Well, we know that that was nothing more than a, a bunch of, um,
[02:26:33.027 --> 02:26:45.082]  You know, Hoekum, but you know, we know that the Bush administration wanted these powers to listen to their own sex, as you said, and all this other type of thing, you know.
[02:26:45.082 --> 02:26:50.969]  And I say, as I say with the fishing expeditions, this is always the problem, fishing expeditions.
[02:26:51.349 --> 02:26:55.270]  You know, if you listen to somebody long enough, you've probably got to get them on something.
[02:26:55.270 --> 02:27:09.575]  I asked one veteran Democrat, former Senator, I said, now where do you draw the line between hardball politics, Chicago, Illinois style, and corruption like we see in the Blagojevich case?
[02:27:09.575 --> 02:27:10.515]  And he said, there is no line.
[02:27:14.076 --> 02:27:21.026]  A good prosecutor, we all know a prosecutor can, you know, a good prosecutor can indict a ham sandwich as they say.
[02:27:21.026 --> 02:27:29.217]  These fishing expeditions can result in indictments for anyone just because they're opposed to the administration at the time.
[02:27:30.026 --> 02:27:30.786]  Enemies list.
[02:27:30.786 --> 02:27:33.187]  I mean, this goes far beyond that.
[02:27:33.187 --> 02:27:35.888]  From your research, who is really in control of the NSA?
[02:27:35.888 --> 02:27:45.872]  I guess it's all the same people that were put in by Bush and Obama is going along with all of it because I guess they've got all the Chicago dirt on him and he will play ball.
[02:27:46.787 --> 02:28:07.966]  Well, if they've got anything on him, obviously that could be used to blackmail him, and I think that's the, you know, the fear is, you know, why would he want to keep General Hayden around, who was the longest-serving NSA Director, seven years at the NSA, then Deputy Director of National Intelligence under Mr. Death Squad, John Negroponte, and now he's over at the CIA.
[02:28:07.966 --> 02:28:10.669]  I mean, this guy has a charmed existence.
[02:28:10.669 --> 02:28:11.910]  He apparently even hated
[02:28:12.390 --> 02:28:14.492]  He even had it out with Robert Gates.
[02:28:14.492 --> 02:28:22.537]  Gates apparently didn't like the fact that he was wearing an Air Force uniform and forced him to retire from the Air Force over there.
[02:28:22.537 --> 02:28:23.638]  I know it's ridiculous.
[02:28:23.638 --> 02:28:31.022]  That soft little monkey loves to get up at the NSA and the CIA in a General's outfit.
[02:28:31.022 --> 02:28:32.423]  Talk about police state.
[02:28:32.423 --> 02:28:34.825]  They're just throwing it in our face.
[02:28:34.825 --> 02:28:38.828]  Now I'll be watching FEMA on C-SPAN and half the guys
[02:28:40.071 --> 02:28:43.894]  in attendance of the Deputy Director are in their former military uniforms.
[02:28:43.894 --> 02:28:48.017]  I mean, they're really, really showing us we're under a military dictatorship.
[02:28:48.017 --> 02:28:49.558]  Oh, it's amazing.
[02:28:49.558 --> 02:28:52.520]  I remember when Jimmy Carter became President.
[02:28:52.520 --> 02:28:57.323]  One of the things he did is he limited uniforms in Washington to one day a week in public.
[02:28:57.323 --> 02:29:03.308]  He said the rest of the time, he didn't want people to come to the nation's capital and see a lot of people in uniform.
[02:29:03.308 --> 02:29:05.569]  He thought that gave the wrong impression.
[02:29:05.569 --> 02:29:09.072]  And then Carter was, you know, I mean, he was ex-Navy himself, a submarine.
[02:29:10.593 --> 02:29:24.881]  Well, it's because in third world countries everybody's in a uniform and it's the same thing here now where FEMA's a bunch of guys in uniform and the military's working with the police.
[02:29:24.881 --> 02:29:25.801]  I want to get your breakdown.
[02:29:27.522 --> 02:29:29.663]  We're on the march, the empire's on the run.
[02:29:29.663 --> 02:29:31.184]  Alex Jones and the GCN Radio Network.
[02:29:55.191 --> 02:29:58.812]  Drought, crop failure, economic collapse, famine.
[02:29:58.812 --> 02:30:00.873]  Is this in America's future?
[02:30:00.873 --> 02:30:04.154]  Sadly, this is part of America's not-so-distant past.
[02:30:04.154 --> 02:30:11.697]  During the Great Depression, half of the American people grew much of their own food, but over 18 million people suffered from starvation.
[02:30:12.037 --> 02:30:16.282]  Today it's been estimated that only 1% of Americans grow their own food.
[02:30:16.282 --> 02:30:19.886]  Plan for your family's future and don't leave anything to chance.
[02:30:19.886 --> 02:30:26.834]  Go to GetSeeds.net and give the gift of life this Christmas and help ensure that if history repeats itself, you
[02:30:26.994 --> 02:30:27.054]  Man!
[02:30:55.530 --> 02:30:58.033]  Can I have everybody's attention please?
[02:30:58.033 --> 02:31:00.515]  I've come with a message of information.
[02:31:00.515 --> 02:31:01.896]  9-11 was an inside job.
[02:31:01.896 --> 02:31:03.438]  Do you like being a puppet, sir?
[02:31:03.438 --> 02:31:05.159]  Do you like being a puppet for the New World Order?
[02:31:05.159 --> 02:31:08.042]  How do the American people know that 9-11 was a stage?
[02:31:08.042 --> 02:31:12.426]  Was it engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[02:31:12.426 --> 02:31:13.988]  Do you listen to Henshaw?
[02:31:16.110 --> 02:31:21.275]  Seven years after the attacks of September 11th, a global awakening has taken place.
[02:31:27.475 --> 02:31:29.997]  An inside job?
[02:31:29.997 --> 02:31:34.100]  How dare you?
[02:31:34.100 --> 02:31:37.663]  If you know that there's treason going on, you can be held accountable for treason yourself.
[02:31:37.663 --> 02:31:40.405]  All hell is breaking loose on 6th Avenue.
[02:31:40.405 --> 02:31:46.891]  And if the government has not told the truth in 5 years, we will be here on the 10th anniversary of... Truth Rising.
[02:31:46.891 --> 02:31:49.713]  Download the film at PrisonPlanet.tv right now.
[02:31:49.713 --> 02:31:51.975]  Or get the DVD at Infowars.com.
[02:31:51.975 --> 02:31:54.477]  It's now time to take the revolution to the next level.
[02:31:55.077 --> 02:31:57.580]  Right now the world is a scary place.
[02:31:57.580 --> 02:32:03.026]  It's only a matter of time until we are struck again, but this time with biological and chemical attacks.
[02:32:03.026 --> 02:32:07.612]  The thought is scary, but it's important to hope for the best and prepare for the worst.
[02:32:07.612 --> 02:32:10.315]  The First Line Defense Kit allows you to do just that.
[02:32:10.475 --> 02:32:20.486]  The first line of defense kit includes Nutri-Immune and Nutri-Defense, providing top biological host defenses against pathogen entry, and provides immune NK killer cell boosting.
[02:32:20.486 --> 02:32:29.276]  Also included, the Nano-Mask Nano-Particular antiviral masks with replacement filters, providing supreme viral protection from airborne pathogens.
[02:32:29.276 --> 02:32:30.898]  And, the first line of defense wipes,
[02:32:30.998 --> 02:32:31.258]  Thank you.
[02:33:12.384 --> 02:33:26.805]  Wayne Madsen, WayneMadsenReport.com, instead of myself just throwing out questions here before we go to calls, any other key news stories or issues that you want to cover after you answer the question about
[02:33:27.691 --> 02:33:41.217]  The full militarization of police, merging them with the military, Marines all over the country, we've confirmed, running checkpoints at DWI, the Army to be on the streets of America, all of this unfolding.
[02:33:41.217 --> 02:33:50.841]  So let's get into that and then the subject of two-thirds of the illegal intelligence gathering here in the U.S.
[02:33:50.841 --> 02:33:54.683]  They're now reporting being done by private contractors with no oversight.
[02:33:55.780 --> 02:34:02.027]  Well, I kind of saw this coming several years back, right after 9-11.
[02:34:02.027 --> 02:34:06.072]  I know it's something very rare here in Washington.
[02:34:06.072 --> 02:34:11.899]  The presence of military people in uniform, but not just any uniform, combat uniforms.
[02:34:11.899 --> 02:34:16.424]  These were, you know, Army and these BDUs, you know, for jungle.
[02:34:16.964 --> 02:34:26.597]  Uh, with the jungle design, the desert design, the, you know, the different, the urban design, uh, uh, the Air Force, uh, officers wearing their flight suits.
[02:34:26.597 --> 02:34:31.524]  I mean, I can guarantee you they didn't have their, their, uh, jet fighters parked on the, uh, Pentagon.
[02:34:31.946 --> 02:34:34.668]  Parking lot.
[02:34:34.668 --> 02:34:39.532]  There was this massive show, of course, that you'd see on the metro, on the subway here.
[02:34:39.532 --> 02:34:41.953]  You saw them on buses walking around town.
[02:34:41.953 --> 02:34:48.738]  And I found out that that was a sign off to let people know we're in a state of war.
[02:34:48.738 --> 02:34:50.560]  Well, these were the neocons putting that out.
[02:34:50.560 --> 02:34:52.101]  People like Wolfowitz and Rumsfeld.
[02:34:52.741 --> 02:34:53.281]  We're good to go.
[02:35:14.088 --> 02:35:17.129]  And it's all part, now they admit, as you said, it's to acclimate.
[02:35:17.129 --> 02:35:27.011]  I remember a story three years ago in the BBC, if memory serves, but I know it was in the British Press, that they were ordered by Blair to start wearing their uniforms and to be visible.
[02:35:27.011 --> 02:35:33.233]  So, this is clearly, now they admit, the Army troops and National Guard at the Kentucky Derby,
[02:35:34.153 --> 02:35:46.437]  Bowling championships, and at boxing championships, and at the Super Bowl, and then high school games, and college games, and Alabama Defense Forces, and other state guards searching three-year-old children's purses.
[02:35:46.437 --> 02:35:51.198]  We have photos and video of that, all training us to live under military rule, and now they
[02:35:51.758 --> 02:35:53.379]  Admit what we predicted.
[02:35:53.379 --> 02:35:58.143]  Oh, we're going to live under a military system now, and we were going to put 20,000 to start with.
[02:35:58.143 --> 02:35:59.924]  It was 5,000 a few months ago.
[02:35:59.924 --> 02:36:03.006]  Now it's 20,000 troops on the streets of America.
[02:36:03.006 --> 02:36:07.109]  What are you hearing on the inside track there in D.C.?
[02:36:07.109 --> 02:36:09.591]  What are you hearing with your ear to the ground of what this is really for?
[02:36:10.442 --> 02:36:21.930]  Well, I mean, we know that FEMA's been chomping at the bit to, you know, see some event take place where they could roll out all their fancy hardware and personnel.
[02:36:21.930 --> 02:36:23.531]  I think it's serious.
[02:36:23.531 --> 02:36:29.795]  What I've heard from people in Congress, we've heard that term, martial law, used quite a bit.
[02:36:29.795 --> 02:36:34.879]  What's going on in Greece right now is much more than what the media, the corporate media is saying.
[02:36:35.459 --> 02:36:41.604]  It's over people not being able to get their money out of the banks.
[02:36:41.604 --> 02:36:43.325]  It's over the economy being dead.
[02:36:43.325 --> 02:36:48.128]  Right, this is a full-scale insurrection in a European Union country.
[02:36:48.128 --> 02:36:56.394]  Remember, Greece is the cradle of democracy, and that insurrection is sweeping the country and made the government step down.
[02:36:56.394 --> 02:36:59.837]  And we saw this already happen in Ireland.
