[00:00.000 --> 00:02.000]  the media.
[2:05:48.720 --> 2:05:52.840]  More than 700 chemicals have been found in our drinking water, and did you know that
[2:05:52.840 --> 2:05:56.840]  you have greater exposure to these chemicals while taking hot showers than when drinking
[2:05:56.840 --> 2:06:01.040]  the water? That's because many chemicals are inhaled when they evaporate, and others are
[2:06:01.040 --> 2:06:02.640]  absorbed into the skin.
[2:06:02.640 --> 2:06:07.320]  The KDF Dual Media Shower Filter works with both hot and cold water, and is designed to
[2:06:07.320 --> 2:06:12.800]  reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold,
[2:06:12.800 --> 2:06:14.160]  algae and fungus.
[2:06:14.160 --> 2:06:19.040]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or one year whichever
[2:06:19.040 --> 2:06:20.040]  comes first.
[2:06:20.040 --> 2:06:24.240]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine,
[2:06:24.240 --> 2:06:29.160]  iron, heavy metals and bacteria. What about you? Order your KDF Shower Filter normally
[2:06:29.160 --> 2:06:33.800]  $49 for a special price of only $39.99 with free shipping.
[2:06:33.800 --> 2:06:43.320]  Call the Berkey Guy and order now by calling 1-877-886-3653. That's 1-877-886-3653, or simply
[2:06:43.320 --> 2:06:48.120]  click on the banner at GCN Live.com to order online now.
[2:06:48.120 --> 2:06:52.760]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[2:06:52.760 --> 2:06:57.640]  Chlorine fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[2:06:57.640 --> 2:07:02.920]  Hi folks, Alex Jones here. Why not go back to basics and be safe with Calvin Pure Soaps?
[2:07:02.920 --> 2:07:07.240]  They're all natural, and you'll save some 85% the money you're spending for your cleaning
[2:07:07.240 --> 2:07:08.240]  products now.
[2:07:08.240 --> 2:07:14.200]  Marty Schachter founded Calvin's Subcompany in 1947 and provided products for health institutions.
[2:07:14.200 --> 2:07:16.920]  Now, Calvin's Soaps are available to you and me.
[2:07:16.920 --> 2:07:20.920]  Triple concentrated for all your cleaning needs, from bathing and laundry to dishes,
[2:07:20.920 --> 2:07:25.800]  hair and more. No harsh chemicals, no animal testing. I use them and love them, knowing
[2:07:25.800 --> 2:07:29.000]  they're all naturally safe, and I save big time.
[2:07:29.000 --> 2:07:38.480]  Call Calvin Pure Soap at 1-800-340-7091. That's 1-800-340-7091, or log on to 5starsoap.com
[2:07:38.480 --> 2:07:40.200]  now for a free catalog.
[2:07:40.200 --> 2:07:49.640]  Again, that number, 1-800-340-7091-5starsoap.com for all your cleaning needs.
[2:07:49.640 --> 2:07:56.200]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[2:07:56.200 --> 2:08:04.600]  It's Alex Jones and the GCN Radio Network.
[2:08:04.600 --> 2:08:11.880]  Alright folks, we are back. Alex Jones, Chantilly, Virginia, the Bilderberg meeting. He's going
[2:08:11.880 --> 2:08:16.160]  to be popping in hopefully in the third hour. We're also going to be taking your calls.
[2:08:16.160 --> 2:08:22.560]  In the third hour, right now, we have Jonathan Elenoff of We Are Change, Colorado. Jonathan,
[2:08:22.560 --> 2:08:27.880]  you've been in this for quite some time, the anti-globalist movement, the anti-New World
[2:08:27.880 --> 2:08:34.360]  Order movement. When did you decide that Colorado needs a chapter of We Are Change, and I'm
[2:08:34.360 --> 2:08:39.280]  going to be the guy, I'm going to be the go-to guy. I'm going to put this thing together.
[2:08:39.280 --> 2:08:47.000]  Well, actually, I originally had just kind of been dabbing around in the local 9-11 visibility
[2:08:47.000 --> 2:08:52.520]  group here under Michael Wolsey and the Colorado 9-11 visibility group, which is a great group,
[2:08:52.520 --> 2:09:01.080]  a bunch of great people there, nice people. It was through that that I had met Jason Charles,
[2:09:01.080 --> 2:09:07.880]  Truthline, and we got a chance to meet up with Rob and Josh and Nick and Adam and Shannon
[2:09:07.880 --> 2:09:12.720]  and all the other founders of We Are Change, Colorado. Basically, they had this vision
[2:09:12.720 --> 2:09:21.360]  of bringing We Are Change to Colorado. It just kind of manifested. With the help and
[2:09:21.360 --> 2:09:26.920]  the great work of these people out here in Colorado, the names I just mentioned, we
[2:09:26.920 --> 2:09:33.560]  made it happen. I'm just so honored to know these guys and to be on the battle lines with
[2:09:33.560 --> 2:09:42.800]  them. I didn't really ever see myself as becoming a hardcore activist when I was younger. I
[2:09:42.800 --> 2:09:51.160]  did know that I would inevitably fight for what I believed in because growing up, I was
[2:09:51.160 --> 2:09:57.000]  in this stuff in the 90s. I used to read conspiracy books and stuff like that. I used to read
[2:09:57.000 --> 2:10:02.560]  people like David Ike, who was not popular by any means in this movement, and he was
[2:10:02.560 --> 2:10:06.240]  actually one of the people who turned me on to this stuff. I came across Alex Jones, and
[2:10:06.240 --> 2:10:13.400]  then I just basically immediately was just completely behind the movement and total support.
[2:10:13.400 --> 2:10:19.640]  Of course, I worked all the time. I always knew that my place in this battlefield, which
[2:10:19.640 --> 2:10:21.840]  was to fight on the side of Truth.
[2:10:21.840 --> 2:10:27.440]  I feel like all of us have a place on this battlefield who crave freedom, who crave the
[2:10:27.440 --> 2:10:32.440]  bill of rights and constitution, who want a government, foreign by the people again.
[2:10:32.440 --> 2:10:38.080]  Those are the people that need to wake up, and people need to realize you do have power.
[2:10:38.080 --> 2:10:43.880]  We are all very powerful beings. Jonathan has been able to confront some of the big wigs
[2:10:43.880 --> 2:10:48.200]  on this, most notably Gary Hart. That's probably my favorite one from We Are Changed Colorado,
[2:10:48.200 --> 2:10:51.200]  but that's not it. I mean, you've gone much further than that, haven't you, Jonathan?
[2:10:51.200 --> 2:10:56.040]  Oh, yeah. We've gotten Bill Clinton. We got national press coverage for our competition
[2:10:56.040 --> 2:11:01.320]  with Bill Clinton. We just recently confronted McCain. Unfortunately, we're not going to
[2:11:01.320 --> 2:11:06.720]  be able to have a video on that. I did talk to the person who had camera footage. We
[2:11:06.720 --> 2:11:11.000]  have some of the speech. I don't think we have anything of anything else. But we did
[2:11:11.000 --> 2:11:15.600]  also, we just confronted the Denver Water Board again on water floor adation, and actually
[2:11:15.600 --> 2:11:22.800]  we were attacked by some private attorney who showed up and declared us a crazy conspiracy
[2:11:22.800 --> 2:11:27.320]  theorist. It was actually entertaining. That video will be up shortly, which actually,
[2:11:27.320 --> 2:11:31.680]  it kind of brings me to a whole other point. My YouTube channel had been disabled a while
[2:11:31.680 --> 2:11:38.640]  back, about a month back, and I've been permanently banned from YouTube for some convenient reason.
[2:11:38.640 --> 2:11:43.800]  So we've had to resort to relying to friends and other people to post our videos. So if
[2:11:43.800 --> 2:11:47.560]  people are wondering why they haven't been able to see our videos in a while, that's
[2:11:47.560 --> 2:11:48.560]  the reason why.
[2:11:48.560 --> 2:11:52.400]  Well, you gotta understand, these people are going to combat us in every way possible,
[2:11:52.400 --> 2:11:58.680]  and I truly believe the reshaping of Google video, for instance, was in large part to
[2:11:58.680 --> 2:12:02.920]  the popularity of movies like Loose Change and Zeitgeist and other Patriot films like
[2:12:02.920 --> 2:12:07.800]  America Freedom to Fascism, where they used to have a top 100 on the front page. It was
[2:12:07.800 --> 2:12:13.480]  very easily navigatable. People could look at the views that were on there, and then
[2:12:13.480 --> 2:12:17.120]  we got a little too popular, and they started resetting our views, and they started taking
[2:12:17.120 --> 2:12:22.920]  us off the top 100, and then they started taking out Embed as an option. And now they
[2:12:22.920 --> 2:12:28.520]  show you the top 10 or 15 videos in a specialized location. They don't show you how many views
[2:12:28.520 --> 2:12:33.560]  there are. They won't allow you to embed new videos. It seems like they're controlling
[2:12:33.560 --> 2:12:40.000]  this paradigm on the internet a little bit more strongly because it was able to infiltrate
[2:12:40.000 --> 2:12:44.840]  the mainstream, because it was able to reach millions and millions of people and spread
[2:12:44.840 --> 2:12:52.040]  this message like wildfire. And you know, it's not a shock when they pull down your YouTube
[2:12:52.040 --> 2:12:56.160]  or they pull down. I believe another YouTube account was just pulled down the other day
[2:12:56.160 --> 2:13:02.320]  because someone posted the fourth hour of the Alex Jones show where he showed the handlebars
[2:13:02.320 --> 2:13:06.920]  video, and they didn't just tell him to take that down. They just deleted his entire account
[2:13:06.920 --> 2:13:12.280]  without any notification whatsoever, and they said it was due to that video. But really,
[2:13:12.280 --> 2:13:16.360]  that's fair use. I mean, Alex had them on the show. You know, he has a small little
[2:13:16.360 --> 2:13:21.840]  TV program. That's like taking fuses off the air because they didn't interview with these
[2:13:21.840 --> 2:13:24.720]  guys and showed a portion of the video. It's absolutely ludicrous.
[2:13:24.720 --> 2:13:32.120]  Yeah, that is ludicrous. It's ridiculous. That's exactly what I had experienced. It's
[2:13:32.120 --> 2:13:37.840]  been fun confronting, I mean, we've confronted people like Giuliani, Romney, Ashcroft, and
[2:13:37.840 --> 2:13:43.160]  all these videos are basically off of YouTube right now. We do still have them. We are going
[2:13:43.160 --> 2:13:50.760]  to get them backed up, and I'm showing some of them in my film. But you know, this whole
[2:13:50.760 --> 2:13:55.760]  battle, which is basically an internet war of information, because I mean, let's face
[2:13:55.760 --> 2:14:00.080]  it, 90% of the people in this movement have found out about this, either from a DVD that
[2:14:00.080 --> 2:14:05.200]  somebody handed them or a website that somebody sent them to or that they ended up on. So
[2:14:05.200 --> 2:14:09.280]  this and those DVDs, by the way, come from ordering them on the internet. You're not
[2:14:09.280 --> 2:14:15.040]  getting them in Barnes & Noble. You're not buying them. You're not renting them at Blockbuster.
[2:14:15.040 --> 2:14:21.960]  This movement is solely dependent on communication between the internet and cell phone. It's
[2:14:21.960 --> 2:14:27.680]  grown to such a substantial size now that really the only thing they can do is try to
[2:14:27.680 --> 2:14:31.880]  attack us through the internet, which is funny that that's where we're seeing the battle.
[2:14:31.880 --> 2:14:37.160]  So I'm not surprised one bit when I see this stuff manifest before our eyes on the internet
[2:14:37.160 --> 2:14:42.160]  because, for example, I see disinformation all the time on the internet. It's one of
[2:14:42.160 --> 2:14:51.560]  the great tragedies of this movement, which is that the people who know the information
[2:14:51.560 --> 2:14:59.840]  get basically censored and moved aside. And then at the forefront, I see videos with tons
[2:14:59.840 --> 2:15:05.080]  of hits on YouTube that are complete disinformation. I've seen it all the time. I'm not going to
[2:15:05.080 --> 2:15:11.840]  name names, but I'm sure you're familiar with this. Sure, it's the laser beam, no plain
[2:15:11.840 --> 2:15:18.120]  whack job crowd that wants to put out a thousand videos and claim that we're somehow censoring
[2:15:18.120 --> 2:15:26.080]  their ludicracy and imagination because there's no evidence to support any of this stuff.
[2:15:26.080 --> 2:15:32.760]  Overlaying videos on top of videos that are shot at different angles on different cameras
[2:15:32.760 --> 2:15:37.160]  with different lenses, guess what? You're going to yield different results. They're
[2:15:37.160 --> 2:15:44.440]  not going to just line up. This isn't Fantasyland where everything just overlays. It's so obvious
[2:15:44.440 --> 2:15:50.760]  to me that this stuff is disinfo and it makes me sick because, for instance, Howard Stern,
[2:15:50.760 --> 2:15:55.840]  he has Paula Gloria on his show for an hour long and she sounds completely and totally
[2:15:55.840 --> 2:16:04.240]  insane. When she brings up somebody who was waving in the impact hole, instead of explaining
[2:16:04.240 --> 2:16:08.960]  why that would be impossible for the official version, she goes, just think about it. Well,
[2:16:08.960 --> 2:16:14.240]  no, what you need to say if you have any sort of legitimacy whatsoever is, well, the official
[2:16:14.240 --> 2:16:20.880]  version is that the impact site, it's supposed to be between 15 and 1800 degrees to weaken
[2:16:20.880 --> 2:16:25.880]  this steel, yet we have people in the impact holes waving and we also have the, not the
[2:16:25.880 --> 2:16:30.000]  transcripts, not only the transcripts, but the audio of the firefighters who are in the
[2:16:30.000 --> 2:16:34.680]  impact hole saying they can knock down the fire with two hand lines. Okay, now think
[2:16:34.680 --> 2:16:40.000]  to yourself, if it was 1500 degrees, could a person stand there? No. If it was 1200
[2:16:40.000 --> 2:16:45.200]  degrees, could a person stand there? No. If it was 600 degrees, could a person stand there?
[2:16:45.200 --> 2:16:49.880]  The answer is no. That's like getting into a broiler. I mean, give me a break. And that's
[2:16:49.880 --> 2:16:54.960]  the point that needs to be made. And instead, they have coop jobs on there talking about
[2:16:54.960 --> 2:17:01.760]  no planes and plane hugging pedophiles, just nonsense, you know, and it makes me sick.
[2:17:01.760 --> 2:17:07.480]  But at the same time, you've got to realize, what's that? And those videos don't get pulled.
[2:17:07.480 --> 2:17:11.400]  Oh, no, those videos are going to be, not only do they not get pulled, they get promoted
[2:17:11.400 --> 2:17:17.760]  by the mainstream. The mainstream can't wait to say something like no planes hit the towers.
[2:17:17.760 --> 2:17:23.720]  You know, I'll never forget when Morgan Reynolds went on Fox News and said, well, they're cartoons
[2:17:23.720 --> 2:17:28.520]  and I'm thinking to myself, all right, you're disinfo. This former Bush official, I had done
[2:17:28.520 --> 2:17:32.960]  an interview with him. He had really given some signs in that interview. I actually had
[2:17:32.960 --> 2:17:36.680]  done that interview with Alex and some of the crew over at Info Wars and he went off
[2:17:36.680 --> 2:17:42.360]  this tangent on OJ where he was doing slashing and stabbing and he had just grown this big
[2:17:42.360 --> 2:17:48.480]  weird mustache. And I'm like, what is this guy doing? And then he jumps into the loony
[2:17:48.480 --> 2:17:53.680]  bin crowd about cartoon planes. Listen, those people don't even know how special effects
[2:17:53.680 --> 2:17:58.680]  work. They don't know what a chroma key is. They, you know, from all the nonsense about
[2:17:58.680 --> 2:18:03.880]  West Cam and this and that projecting and, you know, Rick Siegel with his garbage on
[2:18:03.880 --> 2:18:08.600]  his, on his update of 9-Eleven Eyewitness. Look, I don't need these guys as friends.
[2:18:08.600 --> 2:18:11.560]  You know, I don't need these guys representing this movement. They're tearing this movement
[2:18:11.560 --> 2:18:16.920]  apart and they're the first ones to attack people. I shouldn't even be giving them this
[2:18:16.920 --> 2:18:21.440]  much of a forum, but people need to be aware that they're, that those videos aren't going
[2:18:21.440 --> 2:18:26.160]  to be pulled. Those videos are going to be promoted. Those videos are out there to try
[2:18:26.160 --> 2:18:30.000]  to discredit the entire movement and make us look all nuts. So when, you know, Jesse
[2:18:30.000 --> 2:18:34.920]  Ventura gets on Howard Stern and starts talking about, you know, the demolitions of one, two
[2:18:34.920 --> 2:18:39.320]  and seven and how he was in the, you know, underwater Navy demolitions team and he knows
[2:18:39.320 --> 2:18:44.160]  what a demolition looks like. They try to poo poo him, you know, or when Rosie O'Donnell
[2:18:44.160 --> 2:18:47.920]  was on there yesterday in an unprecedented event. Did you hear that yet?
[2:18:47.920 --> 2:18:48.920]  No.
[2:18:48.920 --> 2:18:53.640]  Yeah. She called in and she's been dogged on that show for 15, 20 years. I mean, like
[2:18:53.640 --> 2:18:56.960]  seriously dogged out on that show. As soon as she had that Rosie O'Donnell show, they've
[2:18:56.960 --> 2:19:01.840]  been all over her and she actually called in for the first time and this just shows
[2:19:01.840 --> 2:19:07.320]  what the awareness is. You know, Stern gets a ton of emails about 9-Eleven Truth. So he's
[2:19:07.320 --> 2:19:10.880]  well aware that Rosie O'Donnell has questioned the official version and we played the clip
[2:19:10.880 --> 2:19:16.440]  yesterday and she brought up, you know, one, two, seven. She said that, you know, you should
[2:19:16.440 --> 2:19:20.520]  have Willie Rodriguez on there, explained his story. Stern promised to have Rodriguez
[2:19:20.520 --> 2:19:25.120]  on. So we will see. Let's take some calls in the next segment, Jonathan, before I let
[2:19:25.120 --> 2:19:29.640]  you go. And, uh, and then we're going to take calls in the final hour. This is the Alex
[2:19:29.640 --> 2:19:53.400]  Jones show. I am Jason Burmist info wars.com. It is a big idea, a new world order in the
[2:19:53.400 --> 2:20:00.400]  near future. Earth is dominated by a powerful government. It's known as the builder bird.
[2:20:00.400 --> 2:20:06.960]  What their objective being world domination for thousands of years, their dark order grew.
[2:20:06.960 --> 2:20:11.960]  Now as they hail the birth of the new world order, their great dream of exterminating
[2:20:11.960 --> 2:20:20.440]  80% of humanity is at hand. Oh, the first time in history, the elites plan for world
[2:20:20.440 --> 2:20:25.400]  government is blown wide open. You will learn the secret that drives the entire new world
[2:20:25.400 --> 2:20:32.720]  order agenda. They're not after money. They have all the money they need. They're after
[2:20:32.720 --> 2:20:40.320]  power. Order in game on DVD at prison planet dot com or info wars dot com or watch it online
[2:20:40.320 --> 2:20:46.680]  right now at prison planet dot TV in game blueprint for global and sleep. You have been
[2:20:46.680 --> 2:20:54.760]  warned 10 enters from it is June 4th, 2008. Gold 883 50 ounce gold coins can be purchased
[2:20:54.760 --> 2:21:06.160]  for 909 33447 95 for half to 2398 for quarter. That's 909 33447 95 and 223 98. We've been
[2:21:06.160 --> 2:21:10.520]  hearing the USA has been spending money faster than tax collections. Now the government has
[2:21:10.520 --> 2:21:14.340]  published the document that sounds the alarm. That's right. The United States government
[2:21:14.340 --> 2:21:19.120]  accountability office, the GAO has published the long term fiscal outlook document. Clearly
[2:21:19.120 --> 2:21:23.440]  stating that the federal debt burden is spiraling out of control. This will directly affect
[2:21:23.440 --> 2:21:29.440]  programs like social security to FDIC's ability to ensure bank deposits. Taxation and inflationary
[2:21:29.440 --> 2:21:34.260]  printing of the US dollar are inevitable pressures facing the economy. Get this document free
[2:21:34.260 --> 2:21:43.160]  by calling 800 686 2237. The US GAO has spelled it out in black and white. Call 800 686 2237.
[2:21:43.160 --> 2:21:53.880]  The ideology powering the Democrats and Republicans is not liberalism or conservatism, but globalism.
[2:21:53.880 --> 2:21:56.840]  Globalists are concerned with what's good for the American empire instead of what's
[2:21:56.840 --> 2:22:01.600]  fair for the American people. The only antidote to the poison of globalism is nationalism,
[2:22:01.600 --> 2:22:05.720]  which is why you should be reading the Nationalist Times each month. We promote a common sense
[2:22:05.720 --> 2:22:09.680]  intelligent and passionate alternative to the reigning party line. Published monthly
[2:22:09.680 --> 2:22:14.240]  since 1985, the Nationalist Times features outstanding writers and columnists who don't
[2:22:14.240 --> 2:22:19.040]  believe in taboos or sacred cows. Find out why the Nationalist Times has many thousands
[2:22:19.040 --> 2:22:23.400]  of loyal readers across America. Subscribe now to the Nationalist Times, America's best
[2:22:23.400 --> 2:22:28.320]  patriotic newspaper for just $19 for one year. That's less than half the regular subscription
[2:22:28.320 --> 2:22:34.720]  price. Subscribe today by sending $19 to the Nationalist Times, 10161 Park Run Drive, Suite
[2:22:34.720 --> 2:22:41.960]  150, Las Vegas, Nevada, 89145. That's the Nationalist Times, 10161 Park Run Drive, Suite 150,
[2:22:41.960 --> 2:22:48.400]  Las Vegas, Nevada, 89145. Or subscribe online at anu.org.
[2:22:48.400 --> 2:22:55.080]  David J. Smith for NewsWatch Magazine. Patrick Henry said, give me liberty or give me death.
[2:22:55.080 --> 2:22:59.600]  Did you know that he also forced the adoption of the Bill of Rights as a part of the Constitution
[2:22:59.600 --> 2:23:07.960]  of 1787 to guarantee your unalienable or unchangeable rights of freedom of speech, freedom of religion
[2:23:07.960 --> 2:23:13.720]  and freedom to own a gun to protect our nation from tyranny? There is now an assault upon
[2:23:13.720 --> 2:23:19.720]  the unalienable, unchangeable rights to deprive you of them. We'd like to help you understand
[2:23:19.720 --> 2:23:24.520]  why these things are happening by offering you an absolutely free one-year subscription
[2:23:24.520 --> 2:23:40.080]  to NewsWatch Magazine. Just call 1-800-516-8736. That's 1-800-516-8736. The call is free.
[2:23:40.080 --> 2:23:44.720]  Our operators are standing by to take your order for a year subscription to NewsWatch
[2:23:44.720 --> 2:24:08.800]  Magazine.
[2:24:08.800 --> 2:24:16.280]  All right. We are back, ladies and gentlemen. It is the Alex Jones show. I am Jason Bermas,
[2:24:16.280 --> 2:24:17.280]  subbing in for the week as Alex is down in Bilderberg in Chantilly, Virginia. We're going
[2:24:17.280 --> 2:24:20.720]  to take a couple of calls. We have Jonathan Ellenoff with us. I want to remind people
[2:24:20.720 --> 2:24:25.280]  of the InfoWars Money Bomb was a great success. We raised over $200,000. We're keeping it
[2:24:25.280 --> 2:24:30.320]  open until the end of the week. And on Friday, we're going to unveil the actual number, the
[2:24:30.320 --> 2:24:36.040]  final number of what we made so we can put this together, put this new television network
[2:24:36.040 --> 2:24:41.080]  together, this new show together, move into bigger offices and expand the operation. That
[2:24:41.080 --> 2:24:45.320]  being said, let's go to our first caller, Scott. You're live in Colorado. Scott, you're
[2:24:45.320 --> 2:24:46.320]  with us.
[2:24:46.320 --> 2:24:48.320]  Hey, Jason. How are you doing?
[2:24:48.320 --> 2:24:49.320]  Good.
[2:24:49.320 --> 2:25:00.000]  Hey, this might be a little premature on my end here. I just added something to YouTube
[2:25:00.000 --> 2:25:05.480]  in reference to a church here in Colorado Springs. They had a sign out front that was
[2:25:05.480 --> 2:25:11.960]  basically, it looked to me like one of the ministers was going to be preaching on Romans
[2:25:11.960 --> 2:25:12.960]  13.
[2:25:12.960 --> 2:25:17.480]  Give up your guns. Obey the government. It's God. Go to the camps.
[2:25:17.480 --> 2:25:23.640]  Exactly. Anyway, it might not be up yet on YouTube. I've put it up, but I can't get it
[2:25:23.640 --> 2:25:33.160]  to pull up via the search words, but it's listed under Freedom Church, Colorado Springs.
[2:25:33.160 --> 2:25:37.880]  So it'll come up eventually today. I don't know what they're doing. If I go into my own
[2:25:37.880 --> 2:25:41.560]  account, I can see it, but it won't pull it up under this.
[2:25:41.560 --> 2:25:47.000]  We'll definitely let us know. Shoot an email over to Aaron at infowars.com. Maybe we can
[2:25:47.000 --> 2:25:50.800]  do a story on it if not this week. Next week, I thank you for the call, Scott. Let's go
[2:25:50.800 --> 2:25:54.720]  to DJ in Florida. DJ, are you with us?
[2:25:54.720 --> 2:26:02.240]  Yeah. Hey, right here. Hey, look it. On your latest film, you had the corner of the American
[2:26:02.240 --> 2:26:07.120]  Express building with 300 ton piece of steel in it. Sure thing. I think it was what, 20
[2:26:07.120 --> 2:26:08.120]  stories up?
[2:26:08.120 --> 2:26:09.120]  Yep.
[2:26:09.120 --> 2:26:14.160]  Okay. Has anybody got any films of taking that out of that? That was, you know, I showed
[2:26:14.160 --> 2:26:20.400]  that just a special sequence to a lot of people that had more impact than the planes hitting
[2:26:20.400 --> 2:26:22.400]  the towers.
[2:26:22.400 --> 2:26:29.120]  It's pretty wild stuff that it was actually been able to thrown that far in a supposed
[2:26:29.120 --> 2:26:33.760]  pancake collapse and embed itself into the side of this building. I'm not sure how they
[2:26:33.760 --> 2:26:37.600]  got that out. Jonathan, do you know how they got that out?
[2:26:37.600 --> 2:26:42.720]  You know, I've got a video from Steven Rosenbaum that shows the cranes pulling that out. I
[2:26:42.720 --> 2:26:47.640]  believe they actually had to build a crane. Just for construction site, they had to build
[2:26:47.640 --> 2:26:50.600]  up the crane and then they had to actually maneuver it out of there.
[2:26:50.600 --> 2:26:53.000]  Well, what a selling point that is.
[2:26:53.000 --> 2:26:58.000]  Yeah, absolutely. I mean, I think so too, but it's just one of the hundreds of points
[2:26:58.000 --> 2:27:01.480]  that we make in loose change final cut. And if you guys haven't seen it, you know, it's
[2:27:01.480 --> 2:27:05.480]  for free on Google video. DJ, I thank you for the call.
[2:27:05.480 --> 2:27:09.720]  You know, yeah, again, you know, you have this huge beam embedded 400 feet away from
[2:27:09.720 --> 2:27:14.080]  the World Trade Center into a building around the 20th floor and they have to build a special
[2:27:14.080 --> 2:27:16.560]  apparatus to take it out.
[2:27:16.560 --> 2:27:19.520]  Let's go to Betty in North Carolina. Betty, are you with us?
[2:27:19.520 --> 2:27:24.360]  Yes, I am. Hi, Jason. This is my first time calling in.
[2:27:24.360 --> 2:27:25.360]  Excellent.
[2:27:25.360 --> 2:27:32.800]  I've listed to Alex Jones' show now for over a year. And I was on vacation last April
[2:27:32.800 --> 2:27:39.320]  and a guy from Tennessee would tell me about it. So that's how I know. And I wanted to
[2:27:39.320 --> 2:27:46.760]  let you know that last year, September, I took my cat into the vets to get checked up.
[2:27:46.760 --> 2:27:50.040]  And there they asked me if I wanted to get her microchipped.
[2:27:50.040 --> 2:27:53.320]  It was a new thing, huh? You haven't heard about that.
[2:27:53.320 --> 2:27:54.320]  Yeah.
[2:27:54.320 --> 2:28:00.920]  Right. And I told him no way. Now, my question is, say if someone has to go into the hospital
[2:28:00.920 --> 2:28:07.320]  for like surgery operation, can they microchip somebody without their consent?
[2:28:07.320 --> 2:28:11.240]  I don't know if they can do it without their consent yet. The only ones that I can say
[2:28:11.240 --> 2:28:15.000]  that they can do it without their consent are military personnel. Basically, you don't
[2:28:15.000 --> 2:28:19.240]  have a choice. You either leave the military and be court-martialed and go to military
[2:28:19.240 --> 2:28:23.520]  prison or you have to take it. That's why earlier I was reading that article, how they
[2:28:23.520 --> 2:28:28.160]  had banned workers, or I'm sorry, employers from forcing people in Missouri to take the
[2:28:28.160 --> 2:28:32.120]  chip because this is a new popular thing. I suggest that you get on the internet, you
[2:28:32.120 --> 2:28:37.400]  go to YouTube, you type in Verichip. Actually, if you go to my blog, loosechange911.com,
[2:28:37.400 --> 2:28:42.760]  one of my really early blogs from, I believe, March or early April, I have about five or
[2:28:42.760 --> 2:28:47.680]  six videos of how far the chip has come, how it's being proposed by the Mexican government
[2:28:47.680 --> 2:28:53.000]  to chip, all illegal aliens. In other words, people who are from Guatemala and below to
[2:28:53.000 --> 2:28:57.120]  come into the country instead of a passport, they want to chip these people. Betty, I thank
[2:28:57.120 --> 2:29:00.560]  you for the call. Yeah, this is a brave new world, Jonathan, where they literally want
[2:29:00.560 --> 2:29:03.400]  to chip not just your pet but human beings.
[2:29:03.400 --> 2:29:09.320]  Oh, yeah. And I was going to say that they're chipping people without their consent in other
[2:29:09.320 --> 2:29:14.320]  countries. There's reports of that already coming out. If it's happening in the state,
[2:29:14.320 --> 2:29:20.320]  it would be happening against laws and stuff. But remember, people can be bought to do whatever
[2:29:20.320 --> 2:29:24.000]  they want. So I wouldn't put it past anybody. That's right, Jonathan. Thank you so much.
[2:29:24.000 --> 2:29:29.760]  We are Change Colorado. Just a great group. This is the Alex Jones show. I'm Jason Burmese.
[2:29:29.760 --> 2:29:35.400]  We're going to be back after this with Daniel Estalon, author of The True Story of the Builderberg
[2:29:35.400 --> 2:29:38.840]  Group.
[2:29:38.840 --> 2:29:45.440]  We're on the march. The empire's on the run. Alex Jones and the GCN Radio Network.
[2:29:45.440 --> 2:29:53.360]  Attention, GCN listeners, would you like to watch uncensored, unregulated, even banned
[2:29:53.360 --> 2:29:58.000]  TV on your computer? Well, now you can watch satellite TV on your PC with an extremely
[2:29:58.000 --> 2:30:02.480]  simple hookup that allows computer owners to pick up more channels than any sane person
[2:30:02.480 --> 2:30:08.080]  can even watch without paying monthly cable or satellite fees. Here's the story. New video
[2:30:08.080 --> 2:30:12.440]  feed technology lets anyone with a high speed internet connection gain instant access to
[2:30:12.440 --> 2:30:16.960]  an endless list of underground channels from all over the globe. And here's the best part.
[2:30:16.960 --> 2:30:22.040]  It's 100% legal. And it works at home, the office, or even in other countries to grab
[2:30:22.040 --> 2:30:26.640]  television channels and video feeds at your command. GCN listeners can use it to watch
[2:30:26.640 --> 2:30:31.880]  hundreds of conspiracy videos absolutely free. Best of all, you could be watching free TV
[2:30:31.880 --> 2:30:39.120]  on your PC in five minutes or less. It's that simple. Just go to www.orderfreetv.com. That's
[2:30:39.120 --> 2:30:46.120]  www.orderfreetv.com. To watch unregulated TV on your PC, go to www.orderfreetv.com.
[2:31:09.520 --> 2:31:13.460]  you can connect to our amazing online store. Whether you're looking for survival and wellness
[2:31:13.460 --> 2:31:17.560]  products like Berkey water filters, or you would like a book on the history of the Federal
[2:31:17.560 --> 2:31:23.800]  Reserve, we've got the most well researched and documented titles all available at prisonplanet.com.
[2:31:23.800 --> 2:31:30.320]  Or if you'd like, you can give the info or store a call at 888-253-3139. Or you can view
[2:31:30.320 --> 2:31:35.760]  more than a thousand titles in super high quality right now at prisonplanet.tv. Knowledge
[2:31:35.760 --> 2:31:40.080]  is power, and the information you need to effectively wake up your fellow man and fight
[2:31:40.080 --> 2:31:46.280]  the New World Order is available right now at truthnews.us and prisonplanet.tv. Join
