[00:00:03.107 --> 00:00:04.067]  Altercation in St.
[01:39:31.086 --> 01:39:34.148]  Who died and made him our doctor?
[01:39:34.148 --> 01:39:37.511]  Alright, we'll go to that special report right out of the break when we come back.
[01:39:38.385 --> 01:39:47.332]  Then I'm going to hit the economic news that is so incredibly important as well, and so much more with a special guest at the bottom of the hour next hour.
[01:39:47.332 --> 01:39:51.256]  I'm Alex Jones, InfoWars.com, tomorrow's news today.
[01:39:51.256 --> 01:39:57.421]  Serving with InfoWars is a great honor, but I still need my morning coffee.
[01:39:57.421 --> 01:40:05.868]  And luckily, our break room at the InfoWars headquarters is stocked full of high-quality InfoWars store Patriot Blend coffee.
[01:40:06.793 --> 01:40:18.444]  Grown in the high mountains of southern Mexico, the Chiapas farmers grow 100% organic, non-GMO coffee at the ideal altitude for the perfect cup.
[01:40:18.444 --> 01:40:23.568]  A robust coffee with great flavor and mild acidity.
[01:40:23.568 --> 01:40:27.612]  There has never been a more important time to support InfoWars.
[01:40:27.612 --> 01:40:32.597]  So if you love coffee, and if you want to fight for freedom, then you can help.
[01:40:34.492 --> 01:40:37.415]  Order now at the InfoWars store.
[01:40:37.415 --> 01:40:50.506]  Sign up for AutoShip and get your own high-quality supply of Patriot Blend coffee delivered right to your door at InfoWarsStore.com.
[01:40:50.506 --> 01:40:57.071]  When listeners call into the show and thank me for all I've done, I always stop them and I say, thank you for what you've done.
[01:40:57.071 --> 01:40:59.013]  Thank you for keeping InfoWars on the air.
[01:40:59.013 --> 01:41:01.535]  Thank you for praying for us, and thank you for spreading the word.
[01:41:02.765 --> 01:41:13.190]  If all of you will simply go to Infowarsstore.com and get a privacy pocket for your iPhone or Droid, it will teach you and others that these things are surveilling you.
[01:41:13.190 --> 01:41:18.593]  It will remind you every day, like it does me and my family, and it will protect where you go and what you do.
[01:41:19.153 --> 01:41:25.097]  Not because you've done something wrong, but because the big telecoms, big tech, and the globalists are predatory and are evil.
[01:41:25.097 --> 01:41:31.602]  And in this surveillance state, we need to more and more start doing everything we can to mitigate the criminal activity they're involved in.
[01:41:31.602 --> 01:41:34.084]  These are the highest quality, highest ratings.
[01:41:34.084 --> 01:41:36.626]  They're available at InfoWareStore.com in four different colors.
[01:41:37.206 --> 01:41:38.146]  And they are only $19.95.
[01:41:38.146 --> 01:41:43.108]  The exact same pocket is sold for $24.95 or even $29.95 everywhere.
[01:41:43.108 --> 01:41:46.309]  They're available right now for $19.95 and they fund the Infowar.
[01:41:46.309 --> 01:41:51.611]  Please take action today, protect your privacy, and fund the Infowar.
[01:41:51.611 --> 01:41:58.554]  The scientific dictatorship that I've been warning you about for 27 years has now gone from beta testing to operational.
[01:41:59.142 --> 01:42:04.665]  The globalists are out in the open with their planetary depopulation takeover, their robot takeover.
[01:42:04.665 --> 01:42:12.510]  But the good news is we've been working, and you've been working, and others have been working across the planet for decades to get ready for this, to be able to fight it off.
[01:42:12.510 --> 01:42:13.990]  Humanity is strong.
[01:42:13.990 --> 01:42:14.951]  We're incredible.
[01:42:14.951 --> 01:42:18.733]  And if we're aware of the attack that's happening, we have a real chance of defeating it.
[01:42:18.733 --> 01:42:21.195]  If we ask God for guidance, we will defeat it.
[01:42:21.195 --> 01:42:27.138]  So prayer is essential, research is essential, getting prepared is essential, and warning others is absolutely essential.
[01:42:27.518 --> 01:42:37.181]  At the same time, supporting InfoWars by buying high quality products to keep us on air is essential because they're great products for you and your family, and they're also funding our operation.
[01:42:37.181 --> 01:42:39.502]  InfoWarsStore.com.
[01:42:39.502 --> 01:42:42.163]  InfoWarsStore.com is incredible.
[01:42:42.163 --> 01:42:47.485]  A lot of our products that have been sold out because of supply chain breakdowns are back in, like bodies, bazzo beats, and others.
[01:42:47.485 --> 01:42:52.167]  So get them today at InfoWarsStore.com, and I thank you for being part of the resistance.
[01:42:52.167 --> 01:42:53.627]  It is a big idea.
[01:42:53.627 --> 01:42:55.668]  A new world order.
[01:42:58.596 --> 01:43:03.520]  In the near future, Earth is dominated by a powerful world government.
[01:43:03.520 --> 01:43:06.342]  It's known as the Bilderberg Group.
[01:43:06.342 --> 01:43:09.184]  Could their objective be world domination?
[01:43:09.184 --> 01:43:11.606]  For thousands of years, their dark order grew.
[01:43:12.504 --> 01:43:20.690]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:43:20.690 --> 01:43:23.352]  The globalists feared this film made 14 years ago.
[01:43:23.352 --> 01:43:25.553]  It is the blueprint for their plan to take over the world.
[01:43:25.553 --> 01:43:27.014]  It is the blueprint for the Great Reset.
[01:43:27.014 --> 01:43:28.075]  It is, in-game.
[01:43:28.075 --> 01:43:29.316]  Blueprint for Global Enslavement.
[01:43:29.316 --> 01:43:35.340]  Available right now at InfoWarsTore.com with a zero country code, meaning you can make copies of it anywhere in the world.
[01:43:35.340 --> 01:43:39.103]  I strongly suggest you get the film, in-game, at InfoWarsTore.com.
[01:43:39.543 --> 01:43:41.766]  I strongly suggest you make copies and share it.
[01:43:41.766 --> 01:43:47.132]  And if you take that action, I demand you tell others you've given a copy to that they make copies and share it as well.
[01:43:47.132 --> 01:43:56.743]  That will trigger distribution by proxy, meaning we the people cannot be stopped.
[01:43:56.743 --> 01:43:59.386]  You're listening to the Alex Jones Show.
[01:44:05.094 --> 01:44:11.057]  From the front lines of the information war, it's Alex Jones.
[01:44:11.057 --> 01:44:18.402]  And folks, I know I'm harping on the so-called vaccines because the deaths are mounting, the illnesses are mounting, the white papers, the reports are coming out.
[01:44:18.402 --> 01:44:26.486]  What the top side has predicted last year is coming true with the brain damage and the heart attacks and the blood clots and the vaccines are being banned all over the world.
[01:44:26.486 --> 01:44:29.868]  But in our media, they go, you dumb Americans, it's totally safe.
[01:44:29.868 --> 01:44:32.670]  Everybody must take it because they really do think we're stupid.
[01:44:34.150 --> 01:44:39.955]  You've got to let people know these vaccines are being banned all over the world and they're being dumped on us here in the United States.
[01:44:39.955 --> 01:44:41.416]  It's really important.
[01:44:41.416 --> 01:44:47.240]  And again, everywhere, all these Democrat cities are rolling it out.
[01:44:47.240 --> 01:44:48.602]  Hawaii is rolling it out.
[01:44:48.602 --> 01:44:50.163]  New York's rolling it out.
[01:44:50.163 --> 01:44:50.983]  London's rolling it out.
[01:44:50.983 --> 01:44:54.927]  And they said, oh, we're not going to do vax passes because they didn't want to get opposition formed.
[01:44:54.927 --> 01:44:58.089]  They were always planning it.
[01:44:58.089 --> 01:44:59.070]  That's a military tactic.
[01:44:59.070 --> 01:45:01.732]  When you're attacking somebody to tell them I'm not attacking you, I'm not attacking you.
[01:45:03.507 --> 01:45:04.608]  And so here's the report.
[01:45:04.608 --> 01:45:05.829]  It's at Bandop Video.
[01:45:05.829 --> 01:45:06.850]  Just went live.
[01:45:06.850 --> 01:45:08.811]  Vax pass.
[01:45:08.811 --> 01:45:09.672]  Access to freedom.
[01:45:09.672 --> 01:45:10.893]  And I love McBrain.
[01:45:10.893 --> 01:45:12.534]  He's a great editor, great researcher.
[01:45:12.534 --> 01:45:13.454]  He did a great report.
[01:45:13.454 --> 01:45:15.656]  But I know it's a sarcastic headline.
[01:45:15.656 --> 01:45:20.380]  Maybe put access to freedom.
[01:45:20.380 --> 01:45:22.041]  Or access to slavery.
[01:45:23.675 --> 01:45:30.940]  The global technological elite have launched a massive propaganda campaign to guilt Americans into getting the COVID vaccine in order to return to basic normalcy.
[01:45:30.940 --> 01:45:34.483]  They hold us hostage, but you never get back to normalcy.
[01:45:34.483 --> 01:45:43.909]  And you look at these creepy medical workers, and now they admit we're holding you hostage.
[01:45:43.909 --> 01:45:45.130]  And that's the talking point.
[01:45:45.130 --> 01:45:48.292]  I mean, this is what bad guys do.
[01:45:48.292 --> 01:45:51.434]  What was that show that was on MTV back when MTV was still popular?
[01:45:51.434 --> 01:45:52.215]  Was it a comedy show?
[01:45:54.082 --> 01:45:56.623]  And there's a scene with, like, SS officers on the Eastern Front.
[01:45:56.623 --> 01:45:59.505]  And they go, you know, we wear black uniforms.
[01:45:59.505 --> 01:46:01.246]  We've got skulls on.
[01:46:01.246 --> 01:46:02.387]  And we kill innocent people.
[01:46:02.387 --> 01:46:05.448]  Maybe we're the baddies.
[01:46:05.448 --> 01:46:09.871]  Maybe we're the baddies.
[01:46:09.871 --> 01:46:11.451]  Maybe it was on another channel.
[01:46:11.451 --> 01:46:12.572]  Was it Mr. Show?
[01:46:12.572 --> 01:46:14.173]  I don't remember.
[01:46:14.173 --> 01:46:15.173]  It's like 15, 20 years old.
[01:46:15.173 --> 01:46:16.634]  Yeah, there it is.
[01:46:16.634 --> 01:46:19.156]  It was BBC.
[01:46:19.156 --> 01:46:21.617]  In fact, after we play this report, we'll actually play that.
[01:46:22.313 --> 01:46:27.795]  And they'll remind me what the name of the show is, but... I mean, come on, guys, this is textbook!
[01:46:27.795 --> 01:46:29.675]  This is ridiculous!
[01:46:29.675 --> 01:46:42.299]  And the guy running it famously says he wants to depopulate the Earth and releases GMO... mosquitoes and wants to black the sun out with a program I told you about 25 years ago, now declassified!
[01:46:42.299 --> 01:46:47.721]  They add barium salt, aluminum dioxide to jet fuel and it aerosolizes nuclei in the sky!
[01:46:49.002 --> 01:46:50.643]  Hey Alex, it's science!
[01:46:50.643 --> 01:46:53.224]  That's water vapor!
[01:46:53.224 --> 01:46:56.425]  Yes, I know that water crystals form them as well, but they dissipate.
[01:46:56.425 --> 01:46:59.806]  These are forming nuclei to form large clouds to block up the sun.
[01:46:59.806 --> 01:47:00.566]  It's official!
[01:47:00.566 --> 01:47:02.007]  They now admit we were right again!
[01:47:03.379 --> 01:47:09.485]  There's giant, out-of-control, secret projects going on, bigger than Manhattan Project.
[01:47:09.485 --> 01:47:16.351]  And now there's a sterilization depopulation program to make us allergic to our own bodies and have our bodies attack us!
[01:47:16.351 --> 01:47:22.416]  They're giving us an autoimmune response to our own protein!
[01:47:22.416 --> 01:47:24.498]  God Almighty help us!
[01:47:24.498 --> 01:47:26.901]  Please, Lord!
[01:47:26.901 --> 01:47:28.182]  The hospitals were empty!
[01:47:29.716 --> 01:47:32.458]  The death tolls were one-tenth of one percent of what they said!
[01:47:32.458 --> 01:47:33.779]  It was all a lie!
[01:47:33.779 --> 01:47:35.441]  Admit you were conned!
[01:47:35.441 --> 01:47:36.922]  Stop submitting to the fraud!
[01:47:38.504 --> 01:47:39.284]  Here's the report.
[01:47:39.284 --> 01:47:40.785]  Vax Pass.
[01:47:40.785 --> 01:47:41.805]  Access to slavery.
[01:47:41.805 --> 01:47:42.466]  Here it is.
[01:47:42.466 --> 01:47:47.828]  The City of Chicago wants you to get your vaccine passport.
[01:47:47.828 --> 01:47:50.729]  But they don't want you to call it a vaccine passport.
[01:47:50.729 --> 01:47:59.052]  No, they would rather you simply call it a City Pass that gives residents discounts and free admissions to museums.
[01:47:59.052 --> 01:48:01.953]  A really exciting development here to have these vaccine passports.
[01:48:02.233 --> 01:48:11.155]  And if there is a concert you'd like to attend, you won't be turned away at the gate as long as you have your city pass.
[01:48:11.155 --> 01:48:12.516]  You want to be part of the fun?
[01:48:12.516 --> 01:48:14.096]  Get vaccinated.
[01:48:14.096 --> 01:48:14.796]  You heard her.
[01:48:14.796 --> 01:48:21.898]  Chicago's top doc, Allison Arwitty, revealed some new details today about plans to encourage people to get vaccinated ahead of summer.
[01:48:21.898 --> 01:48:25.259]  We're interested in thinking about ways to incentivize people to get the vaccine.
[01:48:25.459 --> 01:48:38.069]  Chicago's top doc, Allison Arwitty, says the city is evaluating what's called a Vax Passport that will debut next month, allowing those who got the shots to enjoy concerts and other events.
[01:48:38.069 --> 01:48:45.275]  In Chicago, the Public Health Commissioner just introduced a Vax Pass which residents can use to gain access to summer concerts.
[01:48:45.275 --> 01:48:49.359]  If you've been vaccinated, there could be concert tickets with your name on it.
[01:48:49.359 --> 01:48:53.182]  Chicago health officials not the only ones saying prove you've been vaccinated.
[01:48:53.602 --> 01:48:58.524]  A green checkmark on your profile ID means you're good to go.
[01:48:58.524 --> 01:49:03.966]  And this is being promoted as the end of the coronavirus lockdowns.
[01:49:03.966 --> 01:49:08.228]  You can go back to restaurants and your bars and movie theaters.
[01:49:08.228 --> 01:49:12.210]  They're all going to open back up again to full capacity.
[01:49:12.210 --> 01:49:21.594]  And all they got to do is make sure that everyone inside or everyone that enters has proof that they got the vaccine and that it can be verified
[01:49:22.294 --> 01:49:24.915]  At the door with the app.
[01:49:24.915 --> 01:49:26.976]  This is the NHS app.
[01:49:26.976 --> 01:49:35.861]  Soon, this could be used to prove that someone has been vaccinated or recently tested for COVID, allowing them to travel internationally.
[01:49:35.861 --> 01:49:42.724]  As Chicago opens the COVID vaccine to more people today, the federal government is working behind the scenes on a vaccine passport.
[01:49:43.244 --> 01:49:47.807]  It works by showing a barcode on your phone or a printout to prove you've been vaccinated.
[01:49:47.807 --> 01:49:53.231]  DePaul University professor Greg Klugman says there should be a universal one used worldwide.
[01:49:53.231 --> 01:50:00.416]  If the WHO came out with the definitive app that would be recognized all over the world, that would make life easiest for all of us.
[01:50:00.416 --> 01:50:00.837]  Come on!
[01:50:01.537 --> 01:50:03.098]  There are no vaccine passports.
[01:50:03.098 --> 01:50:03.738]  That's insane.
[01:50:03.738 --> 01:50:05.599]  That's Alex Jones stuff.
[01:50:05.599 --> 01:50:06.840]  Hey, you need to get your shots.
[01:50:06.840 --> 01:50:09.021]  You're not going to be allowed to have a job or travel.
[01:50:09.021 --> 01:50:16.924]  And yes, we're going to have an international vaccine passport that's standardized by the UN, that China already proposed a year ago.
[01:50:16.924 --> 01:50:18.545]  And so it doesn't matter what your government does.
[01:50:19.365 --> 01:50:24.406]  These companies and corporations and others aren't going to let you do it unless you accept the standardized global system.
[01:50:24.406 --> 01:50:31.988]  Vaccine passports, proof that you've gotten the dose, turning from a public health must to a potential fast track to doing just about anything.
[01:50:31.988 --> 01:50:36.409]  Access to sports and entertainment venues, restaurants, travel, just to name a few.
[01:50:36.409 --> 01:50:42.910]  What is a very promising approach to successfully promoting vaccine, reopening society,
[01:50:44.131 --> 01:50:46.393]  Increasing freedom for many Americans.
[01:50:46.393 --> 01:50:51.877]  The moment of freedom for you is when you get vaccinated, when you reach the two-week mark.
[01:50:51.877 --> 01:50:55.520]  These are people who otherwise might not be vaccinated, so let's give them that incentive.
[01:50:55.520 --> 01:51:01.225]  People should require friends to be vaccinated to attend the barbecues and the birthday parties they host.
[01:51:01.225 --> 01:51:07.891]  If we want to convince the unvaccinated to do their part, is the best approach to show them those who have had their shots
[01:51:08.701 --> 01:51:15.863]  Are still wearing masks or would displays of our foregone freedoms in a pre-COVID world be more effective messaging?
[01:51:15.863 --> 01:51:17.363]  That's the carrot.
[01:51:17.363 --> 01:51:21.824]  The city of Chicago also unveiling plans for what they call Vax Relax.
[01:51:21.824 --> 01:51:28.526]  That means that residents that have been vaccinated could receive incentives like free haircuts and even manicures.
[01:51:32.162 --> 01:51:36.344]  So they lock you up, teach you to be prisoners, and then once you come out, the whole world's a prison planet.
[01:51:36.344 --> 01:51:39.826]  I've got a website called PrisonPlanet.com.
[01:51:39.826 --> 01:51:40.586]  That's their plan.
[01:51:40.586 --> 01:51:44.008]  Vax Pass, access to freedom is slavery.
[01:51:44.008 --> 01:51:45.148]  Let's add that to the headline.
[01:51:45.148 --> 01:51:48.950]  Access to freedom is creation of prison planet.
[01:51:52.811 --> 01:51:54.372]  Now, the show is called Peep Show.
[01:51:54.372 --> 01:51:57.514]  It was produced for the BBC, but it did air some on MTV.
[01:51:57.514 --> 01:52:05.580]  And so this is probably 20 years old, but here's a parallel on the Nazis not knowing they were the bad guys until very, very late in the war.
[01:52:05.580 --> 01:52:10.163]  And the Democrats and the Globals think they're the good guys until they find out it's really all a giant lie.
[01:52:10.163 --> 01:52:14.285]  And it only gets more authoritarian the more they submit.
[01:52:14.285 --> 01:52:17.087]  But most of them, again, have Stockholm Syndrome, learned helplessness.
[01:52:17.087 --> 01:52:18.989]  They cannot admit they're in trouble.
[01:52:18.989 --> 01:52:21.170]  That is the hallmark of a sheep or a slave.
[01:52:21.170 --> 01:52:21.470]  Here it is.
[01:52:24.002 --> 01:52:24.462]  They're coming.
[01:52:24.462 --> 01:52:31.364]  Now we'll see how these Russians deal with a crack SS division.
[01:52:31.364 --> 01:52:33.764]  Uh, Hans?
[01:52:33.764 --> 01:52:36.065]  Have courage, my friend.
[01:52:36.065 --> 01:52:39.786]  Yeah, uh... Hans, I've just noticed something.
[01:52:39.786 --> 01:52:43.347]  These communists are all cowards.
[01:52:43.347 --> 01:52:47.788]  Have you looked at our caps recently?
[01:52:47.788 --> 01:52:48.988]  Our caps?
[01:52:48.988 --> 01:52:51.248]  The badges on our caps.
[01:52:51.248 --> 01:52:52.409]  Have you looked at them?
[01:52:52.409 --> 01:52:53.329]  What?
[01:52:53.329 --> 01:52:53.409]  No.
[01:52:54.409 --> 01:52:56.550]  A bit.
[01:52:56.550 --> 01:53:00.071]  They've got skulls on them.
[01:53:00.071 --> 01:53:06.493]  Have you noticed that our caps have actually got little pictures of skulls on them?
[01:53:06.493 --> 01:53:10.975]  I don't, uh... Hands.
[01:53:10.975 --> 01:53:15.576]  Are we the baddies?
[01:53:15.576 --> 01:53:18.717]  We should be able to hold them at this point here, at least for a few hours.
[01:53:18.717 --> 01:53:21.378]  I mean, why skulls, though?
[01:53:22.731 --> 01:53:24.372]  Why skulls?
[01:53:24.372 --> 01:53:28.015]  Well, maybe they're the skulls of our enemies.
[01:53:28.015 --> 01:53:28.456]  Maybe.
[01:53:28.456 --> 01:53:30.517]  But is that how it comes across?
[01:53:30.517 --> 01:53:36.982]  I mean, he doesn't say next to the skull, you know, yeah, we killed him, but trust us, this guy was horrid.
[01:53:36.982 --> 01:53:40.685]  Well, no, but... This is a silly little piece.
[01:53:40.685 --> 01:53:42.847]  Bill Gates says he wants to depopulate you.
[01:53:42.847 --> 01:53:46.130]  He's typing in billionaires meet in secret to stop overpopulation.
[01:53:46.130 --> 01:53:47.170]  They want world government.
[01:53:47.170 --> 01:53:49.713]  They want to track you with all these new world government systems from the UN.
[01:53:51.451 --> 01:53:52.492]  They're totally ruthless.
[01:53:52.492 --> 01:53:56.234]  They're tied to Jeffrey Epstein, but we're just going to submit to them.
[01:53:56.234 --> 01:53:56.935]  I'm going to go to break.
[01:53:56.935 --> 01:54:02.659]  I want to remind all the listeners again, we have one more day of Ultimate Turmeric Formula at 50% off because I've been so busy.
[01:54:02.659 --> 01:54:05.661]  I didn't cut ads this morning to launch the new specials, so they'll launch tomorrow.
[01:54:05.661 --> 01:54:07.882]  But a bunch of big specials in today.
[01:54:07.882 --> 01:54:08.503]  The big one is
[01:54:09.250 --> 01:54:17.156]  Ultimate turmeric formula for your immune system, for your joints, for your anti-inflammatory support, for flexibility support.
[01:54:17.156 --> 01:54:19.458]  It's amazing, people love it.
[01:54:19.458 --> 01:54:21.439]  4.9 stars, 97% reviews.
[01:54:21.439 --> 01:54:24.741]  Infowarstore.com, 50% off.
[01:54:24.741 --> 01:54:26.903]  Also, VasoBeats, great for your heart and liver.
[01:54:26.903 --> 01:54:27.864]  It's 50% off.
[01:54:27.864 --> 01:54:29.145]  And a bunch of other specials.
[01:54:29.145 --> 01:54:33.668]  And Endgame, only one week left to get it on a super discount and be part of Operation Endgame.
[01:54:34.467 --> 01:54:36.193]  It's all at infowarestore.com.
[01:54:36.193 --> 01:54:38.924]  Funding the pro-human revolution against the globalists.
[01:54:38.924 --> 01:54:39.406]  Stay with us.
[01:54:42.817 --> 01:54:52.401]  It was our number two best-selling product until the ongoing COVID lockdowns destroyed the supply chain, and it's been six months since we had Motti's, our ultimate turmeric formula.
[01:54:52.401 --> 01:54:55.242]  And what's been holding it up the last few months is the bottle cap.
[01:54:55.242 --> 01:54:56.403]  That's why this one's white.
[01:54:56.403 --> 01:54:58.443]  I said, I don't care if the cap doesn't match.
[01:54:58.443 --> 01:54:59.624]  Get it packaged.
[01:54:59.624 --> 01:55:00.324]  Get it to us.
[01:55:00.324 --> 01:55:03.065]  Get it shipped out because it's amazing for information.
[01:55:03.065 --> 01:55:04.966]  It's amazing for your immune system.
[01:55:04.966 --> 01:55:06.307]  It's amazing on so many fronts.
[01:55:06.307 --> 01:55:08.968]  Normal turmeric is at three to five percent, and it's great.
[01:55:08.968 --> 01:55:09.388]  People love it.
[01:55:09.728 --> 01:55:17.030]  This is concentrated, 95% curcuminoid, and it's 50% off at InfoWarsTore.com right now.
[01:55:17.030 --> 01:55:21.412]  So Bodies is back in stock, 50% off at InfoWarsTore.com.
[01:55:21.412 --> 01:55:26.373]  We also have other great products back in stock like Fazzo Beats, Cross to Guard, and so much more.
[01:55:26.373 --> 01:55:32.535]  And these are great products for old people, for young people, for black people, for white people, for women, for men, for children, for everybody.
[01:55:32.535 --> 01:55:34.976]  These are products that enrich your life.
[01:55:35.196 --> 01:55:40.353]  Also, Body's Ultimate Tumor Formula, back in stock for a limited time at InfoWarsTore.com.
[01:55:40.353 --> 01:55:41.437]  Get yours while you still can.
[01:55:44.111 --> 01:55:48.454]  All of the experts agree that getting proper sleep is the cornerstone of good health.
[01:55:48.454 --> 01:55:59.062]  It has been proven that a poor sleep schedule is linked with numerous health problems, including weight gain, memory issues, mood changes, poor concentration, and even a weakened immune system.
[01:55:59.062 --> 01:56:05.267]  Introducing RocketRest, the new product from our Dr. Jones Naturals line at InfowarsStore.com.
[01:56:05.267 --> 01:56:13.353]  The new RocketRest formula is loaded with the best natural ingredients to help not only improve your quality of sleep, but help you wake up feeling refreshed.
[01:56:13.793 --> 01:56:23.880]  Many competitors sleep formulas focus only on getting you to sleep, but Rocket Rest was specifically formulated to help you feel rested and ready to take on the next day.
[01:56:23.880 --> 01:56:31.705]  It uses a unique quick-release capsule system to ensure fast delivery of deep sleep support ingredients like melatonin and magnesium.
[01:56:31.705 --> 01:56:36.408]  Rocket Rest helps you fall asleep fast, stay asleep, and wake up feeling rested.
[01:56:36.408 --> 01:56:42.092]  So get the new Rocket Rest formula from Dr. Jones Naturals right now at InfoWareStore.com.
[01:56:46.875 --> 01:56:52.401]  You're listening to the Alex Jones Show.
[01:56:52.401 --> 01:56:59.909]  Tom Papert knocked it out of the park co-hosting or filling in for Owen Schroeder's show in the War Room, breaking down Bill Gates as part of it.
[01:57:01.690 --> 01:57:02.932]  Back to the War Room.
[01:57:02.932 --> 01:57:06.977]  We are now in the third hour of the broadcast.
[01:57:06.977 --> 01:57:10.481]  The crew is getting way too into the Emperor Papyrus thing.
[01:57:10.481 --> 01:57:15.087]  I've been christened by Alex Jones and now I guess I am a Sith Lord.
[01:57:15.087 --> 01:57:17.451]  The irony is I'm not even big into Star Wars.
[01:57:18.992 --> 01:57:22.874]  Alex Jones will be here in just a few minutes, potentially any second now.
[01:57:22.874 --> 01:57:42.824]  I've just been informed in the break that apparently Bill and Melinda Gates, this was widely expected by body language experts who say they look at all the videos of them on top of each other and they say that it seems incredibly forced, incredibly fake, and so one must wonder exactly how long has this marriage been political,
[01:57:43.144 --> 01:57:46.287]  Again, they have the Bill and Melinda Gates Foundation together.
[01:57:46.287 --> 01:57:49.650]  You do have to wonder, have they liked each other in the past 20 years?
[01:57:49.650 --> 01:57:50.891]  Did they ever like each other?
[01:57:50.891 --> 01:58:02.260]  Is it an Amazon situation where she's married to the money and that just happens to mean that she has to shill for vaccines and circumcising Africans to prevent them from having kids?
[01:58:02.680 --> 01:58:13.821]  Is it just, uh, I want the money so therefore I have to be married to this evil little psychotic gremlin demon monster who goes around lecturing the American people about how to live their lives?
[01:58:13.821 --> 01:58:14.983]  You do have to wonder.
[01:58:16.087 --> 01:58:21.149]  The most remarkable thing about Bill Gates is that, of course, he was reviled.
[01:58:21.149 --> 01:58:25.910]  He was one of the most hated public figures in the United States in the 1990s.
[01:58:25.910 --> 01:58:27.931]  He was perceived as a scammer.
[01:58:27.931 --> 01:58:35.053]  You know, the big joke was he gives you a computer and then he programs a virus so you have to buy his antivirus software.
[01:58:35.053 --> 01:58:43.716]  And of course, some people have made the same allusion to what's happening with the COVID-19 scandemic, which more and more people are saying came from a Chinese lab and
[01:58:44.457 --> 01:58:47.461]  The only thing I can say is, couldn't they come up with something a little more scary?
[01:58:47.461 --> 01:58:57.317]  But then, in the early 2000s, Bill Gates, all of a sudden, every globalist media outlet in the country started rehabbing his reputation.
[01:58:58.423 --> 01:59:00.685]  And he gave a bunch of money to charity.
[01:59:00.685 --> 01:59:06.169]  Then he started the Bill and Melinda Gates Foundation and gave even more money to his own foundation.
[01:59:06.169 --> 01:59:22.022]  And suddenly this guy, who is one of the most hated tech entrepreneurs, tech wizards in Silicon Valley and in the country, all of a sudden he became a wonderful human being who we should all worship and idolize and we should give him deference.
[01:59:22.022 --> 01:59:24.364]  And he knows what's best for us, you see.
[01:59:24.364 --> 01:59:25.045]  Bill Gates,
[01:59:25.465 --> 01:59:25.725]  I don't
[01:59:44.538 --> 02:00:00.028]  In the early 2000s, only so now, with the COVID-19 scandemic, he could take his rightful place as the chief propagandist for the vaccine and for the lockdowns and everything else.
[02:00:00.028 --> 02:00:03.129]  And so again, if you're just tuning in, we've got the article up at National File.
[02:00:03.129 --> 02:00:04.951]  I'm sure it's up at InfoWars as well.
[02:00:04.951 --> 02:00:06.131]  Everybody has it.
[02:00:06.131 --> 02:00:07.052]  Bill and Melinda Gates.
[02:00:07.692 --> 02:00:18.076]  The billionaire couple who have used their fortune to push a globalist agenda have announced they are set to divorce after 27 years of marriage.
[02:00:18.076 --> 02:00:23.958]  They met at Microsoft 27 years ago, started the Bill and Melinda Gates Foundation in the year 2000.
[02:00:26.258 --> 02:00:30.779]  And have been pushing vaccines, pushing all kinds of insanity.
[02:00:30.779 --> 02:00:40.021]  There's Bill Gates rocking like a sociopath as he claims, and of course look who else he looks like, and he claims that he doesn't know what the English language means.
[02:00:40.021 --> 02:00:46.623]  I mean, this guy, they brought him up and he had to testify before Congress for antitrust violations.
[02:00:46.623 --> 02:00:47.683]  That was 20 years ago.
[02:00:48.343 --> 02:00:50.145]  And now the media adores him.
[02:00:50.145 --> 02:00:52.747]  He is their favorite human being.
[02:00:52.747 --> 02:00:57.832]  There he is dancing, I believe, to some classic rock song, trying to look normal.
[02:00:58.863 --> 02:01:02.765]  Desperately trying not to look like the little psychotic gremlin demon monkey he is.
[02:01:02.765 --> 02:01:03.766]  So don't go away.
[02:01:03.766 --> 02:01:15.753]  We will have Alex Jones very, very soon to give his reactions to the stunning announcement that he and his political wife are ending it, ending their marriage after 27 years of pushing vaccines together.
[02:01:15.753 --> 02:01:16.473]  What will they do?
[02:01:16.473 --> 02:01:19.715]  What will the media do without America's favorite couple?
[02:01:19.715 --> 02:01:20.496]  You know, I think that
[02:01:21.016 --> 02:01:27.519]  More airtime was devoted to Melinda Gates in 2020 than Melania Trump, the first lady of the United States.
[02:01:27.519 --> 02:01:29.600]  There's Alex Jones in studio.
[02:01:29.600 --> 02:01:32.281]  We'll be right back with his reaction on the other side.
[02:01:32.281 --> 02:01:34.563]  Don't go away, you are watching The War Room.
[02:01:34.563 --> 02:01:38.665]  I'm Tom Pappert, about to be joined by the one and only Alex Jones.
[02:01:38.665 --> 02:01:45.508]  Okay, so I thought that was a good little five-minute rant he did at the start of the third hour yesterday, filling in for Owen Schroeder, who is back today.
[02:01:45.508 --> 02:01:49.149]  But I tell you, Pappert gives myself and Owen a run for the money.
[02:01:49.149 --> 02:01:50.030]  He is a smart cookie.
[02:01:51.724 --> 02:01:54.248]  Alex Jones here with some really good news.
[02:01:54.248 --> 02:01:57.714]  Four of our best-selling products are back in stock.
[02:01:57.714 --> 02:02:02.602]  Four of these bad boys that will enrich your life, and of course, funding in four.
[02:02:02.602 --> 02:02:04.285]  Adi's Ultimate Turmeric Formula.
