[00:00:00.369 --> 00:00:02.011]  Thanks for watching!
[00:49:54.352 --> 00:50:01.334]  I remember when I was growing up in Dallas, when it was the murder capital of the United States above Chicago, where there'd be up to 20 murders
[00:50:03.345 --> 00:50:05.185]  In one day, sometimes.
[00:50:05.185 --> 00:50:06.606]  In South Dallas.
[00:50:06.606 --> 00:50:08.286]  Drug-related.
[00:50:08.286 --> 00:50:15.928]  No one thought, hey, let's turn our guns in, because ten miles away, drug dealers are killing each other in a turf war.
[00:50:15.928 --> 00:50:20.569]  It's like Mexico has hundreds of thousands dead the last decade in their drug war.
[00:50:20.569 --> 00:50:21.629]  Many of them innocent people.
[00:50:21.629 --> 00:50:24.790]  Do we go, oh, let's turn our guns in, because there's criminals in Mexico!
[00:50:24.790 --> 00:50:26.010]  We'll be safe!
[00:50:26.010 --> 00:50:28.651]  It's asinine!
[00:50:28.651 --> 00:50:31.812]  You create an atmosphere for incredible
[00:50:32.970 --> 00:50:34.210]  Crime.
[00:50:34.210 --> 00:50:36.471]  When you take the guns.
[00:50:36.471 --> 00:50:40.592]  Unless you're domesticated Europe, where they had almost no crime.
[00:50:40.592 --> 00:50:42.433]  England was one of the safest places in the world.
[00:50:42.433 --> 00:50:47.194]  The British police, the bobbies, didn't carry weapons.
[00:50:47.194 --> 00:50:49.555]  They carry machine guns now.
[00:50:49.555 --> 00:50:54.016]  Because they brought in people from countries where everybody's killing each other.
[00:50:54.016 --> 00:50:55.336]  The Middle East.
[00:50:55.336 --> 00:50:57.337]  Dangerous areas of Asia.
[00:50:57.337 --> 00:50:58.617]  Dangerous areas of Eastern Europe.
[00:51:00.706 --> 00:51:05.689]  And now they have a higher crime rate in England than we have here on average.
[00:51:05.689 --> 00:51:09.291]  Oh, people aren't getting shot to death mainly, they're getting stabbed to death.
[00:51:09.291 --> 00:51:11.312]  Every few hours, in London alone.
[00:51:11.312 --> 00:51:15.774]  Acid attacks, all... But again, the establishment knows they're not always going to have bodyguards.
[00:51:15.774 --> 00:51:18.496]  They're going to live behind armored walls.
[00:51:18.496 --> 00:51:21.597]  They want the general public disarmed for total control.
[00:51:21.597 --> 00:51:24.819]  And I know as an audience you understand that.
[00:51:24.819 --> 00:51:26.620]  I know as an audience you get all of that.
[00:51:27.608 --> 00:51:29.729]  But that's where the Democrats say they're going.
[00:51:29.729 --> 00:51:37.794]  I mean, the New York Times this year, they've all come out and said, time to repeal the Second Amendment.
[00:51:37.794 --> 00:51:41.916]  That's how 1776 started when the British came to take the guns.
[00:51:41.916 --> 00:51:45.258]  At Lexington, at Concord, at Bunker Hill.
[00:51:45.258 --> 00:51:49.621]  And again, I know this audience knows that.
[00:51:49.621 --> 00:51:53.523]  But coming up next segment, I've got articles right here where they're already
[00:51:55.342 --> 00:52:10.756]  Compensating firearms under red flag laws in multiple states from people that say things like, if Antifa starts killing us and coming to our houses to kill us, like I've said, we'll have to fight back.
[00:52:10.756 --> 00:52:11.957]  Well, I said that last year.
[00:52:11.957 --> 00:52:13.298]  I was banned from Twitter.
[00:52:13.298 --> 00:52:14.299]  They were going to people's houses.
[00:52:14.299 --> 00:52:16.060]  So they're going to kill people.
[00:52:16.060 --> 00:52:17.402]  They already shot Scalise.
[00:52:17.402 --> 00:52:19.764]  They already broke the ribs of Rand Paul.
[00:52:19.764 --> 00:52:21.906]  Antifa said we're going to go to Tucker Carlson's house.
[00:52:22.546 --> 00:52:23.687]  So we're gonna kill you?
[00:52:23.687 --> 00:52:27.290]  And I said, hey, if you're on Antifa's list, you better have a gun to protect yourself.
[00:52:27.290 --> 00:52:30.592]  And the news said, Jones threatens to kill reporters.
[00:52:30.592 --> 00:52:31.793]  Where was the video?
[00:52:31.793 --> 00:52:33.915]  Where was the audio?
[00:52:33.915 --> 00:52:38.038]  But the media said that, under red flag laws, I would be disarmed.
[00:52:38.038 --> 00:52:41.280]  You read what these people have in their guns taken said?
[00:52:41.280 --> 00:52:44.402]  They said what I said.
[00:52:44.402 --> 00:52:50.587]  They didn't go as far as Thomas Jefferson that said the tree of liberty needs to be watered from time to time with the blood of patriots and tyrants.
[00:52:50.587 --> 00:52:51.768]  Boy, he'd have been red flagged long.
[00:52:52.762 --> 00:52:54.804]  No, Red Flag, we already have it on the books.
[00:52:54.804 --> 00:52:56.305]  We already have the process.
[00:52:56.305 --> 00:53:03.993]  People like Cruz said, 44 police reports, I'm gonna come kill everybody at the school.
[00:53:03.993 --> 00:53:13.742]  Well, buddy boy, you get put in a mental institution or a prison for that, and the next time you get out and you say it, we give you a lobotomy.
[00:53:13.742 --> 00:53:14.303]  How's that sound?
[00:53:17.082 --> 00:53:18.823]  See how that works?
[00:53:18.823 --> 00:53:21.886]  See, Antifa's the ones out saying, kill people, shoot people.
[00:53:21.886 --> 00:53:24.728]  They're the ones with the John Brown Gun Club saying, let's go kill cops.
[00:53:24.728 --> 00:53:27.630]  There was another firebombing of another ICE facility today.
[00:53:27.630 --> 00:53:31.813]  You didn't hear about that because the media won't cover it.
[00:53:31.813 --> 00:53:37.137]  There was a black young man that went and shot a whole bunch of people.
[00:53:37.137 --> 00:53:41.661]  What, he wounded 10 people at a football game.
[00:53:42.662 --> 00:53:44.744]  You didn't even see that on the news, did you?
[00:53:44.744 --> 00:53:46.927]  Because it doesn't fit into the white supremacist narrative.
[00:53:46.927 --> 00:53:56.038]  What we've got is the beginning of a zombie apocalypse in this country with the breakdown of morals and people hearing, hey, it's an option.
[00:53:56.038 --> 00:54:01.284]  Let me just go out and shoot a bunch of people at a football game, mainly fellow black people.
[00:54:03.234 --> 00:54:20.508]  Because the truth is, whether it's the white guy killing his sister and his nephew, or his niece, and chewing on the greenskeeper, or it's the black lady biting the guy in Atlanta, or it's the crazy white guy in Texas shooting people, or the crazy black guy at the football game, it's not what color they are, and it's not the gun.
[00:54:20.508 --> 00:54:22.049]  It's evil.
[00:54:22.049 --> 00:54:24.230]  It's craziness.
[00:54:24.230 --> 00:54:31.156]  And it's that the media has hyped all this up as if it's an option, something you could do.
[00:54:31.156 --> 00:54:32.297]  Something you should do.
[00:54:33.473 --> 00:54:34.433]  Let's play Beto O'Rourke.
[00:54:34.433 --> 00:54:36.434]  Here he is.
[00:54:36.434 --> 00:54:40.856]  We're averaging about 300 mass shootings a year.
[00:54:40.856 --> 00:54:42.437]  No other country comes close.
[00:54:42.437 --> 00:54:43.517]  So, yes, this is f***ed up.
[00:54:43.517 --> 00:54:44.218]  It's not true.
[00:54:44.218 --> 00:54:54.322]  And if we don't call it out for what it is, if we're not able to speak clearly, if we're not able to speak decisively, then we will continue to have this kind of bloodshed in America.
[00:54:54.322 --> 00:54:55.563]  And I cannot accept that.
[00:54:55.563 --> 00:55:01.125]  And so we're going to speak as defiantly and as strongly as we can, but we're also going to take action.
[00:55:01.365 --> 00:55:12.093]  Universal background checks, red flag laws, an end to the sales of weapons of war, and buying those AK-47s and AR-15s back so that they cannot be used against our fellow Americans.
[00:55:12.093 --> 00:55:13.794]  And oh, just take the AK-47s.
[00:55:13.794 --> 00:55:14.895]  AK-47s full auto.
[00:55:14.895 --> 00:55:16.396]  You can't even get that without a special deal.
[00:55:16.396 --> 00:55:17.397]  That's not even true.
[00:55:17.397 --> 00:55:19.258]  Full autos are never even used in crimes.
[00:55:19.258 --> 00:55:20.219]  He knows all that.
[00:55:20.219 --> 00:55:21.600]  But he's manipulating people.
[00:55:21.600 --> 00:55:25.563]  By the way, there are lots of countries that have millions killed routinely.
[00:55:25.563 --> 00:55:27.965]  It's just, oh, the government has the guns, they're doing the killing.
[00:55:27.965 --> 00:55:30.307]  Yeah, we're one of the only countries that has guns, jackass!
[00:55:31.027 --> 00:55:34.229]  Like Switzerland has the lowest crime rate in the world.
[00:55:34.229 --> 00:55:37.412]  That's why you can't go take control of it, you big, fat, dirty parasite.
[00:55:37.412 --> 00:55:38.773]  Beto the loser.
[00:55:38.773 --> 00:55:39.493]  O'Rourke.
[00:55:39.493 --> 00:55:40.614]  We'll be back with Critical Intel.
[00:55:40.614 --> 00:55:41.675]  Stay with us.
[00:55:47.817 --> 00:55:49.018]  We've had this in for two weeks.
[00:55:49.018 --> 00:55:52.381]  I've been so busy, I haven't talked about it because I've been covering news.
[00:55:52.381 --> 00:55:53.622]  But it's very exciting.
[00:55:53.622 --> 00:55:55.943]  It's Super Silver Skin Cream.
[00:55:55.943 --> 00:55:57.465]  It's got all of these benefits.
[00:55:57.465 --> 00:55:58.545]  Too many to mention.
[00:55:58.545 --> 00:55:59.827]  But it's revolutionary.
[00:55:59.827 --> 00:56:00.767]  It's brand new.
[00:56:00.767 --> 00:56:01.608]  People are going to love it.
[00:56:01.608 --> 00:56:03.750]  Introducing the new Super Silver Skin Cream.
[00:56:03.750 --> 00:56:04.690]  Exclusively at 4Shore.com.
[00:56:04.690 --> 00:56:05.491]  25% off introductory price.
[00:56:06.852 --> 00:56:09.314]  Super Silver Skin Cream is the best of both worlds.
[00:56:09.314 --> 00:56:11.556]  It helps reduce wrinkles and keep your skin healthy.
[00:56:11.556 --> 00:56:15.419]  Super Silver Skin Cream is infused with patented Silver Sol Technology.
[00:56:15.419 --> 00:56:20.464]  It's used by top hospitals and health clinics to kill off everything from MRSA to Candida fungus.
[00:56:20.464 --> 00:56:31.573]  It's also loaded with the best natural ingredients for your skin, like coconut oil, vitamin E. Unlike most skin creams, Super Silver Skin Cream is free of BPA, parabens, harsh preservatives, and sulfates.
[00:56:31.573 --> 00:56:33.575]  It's got the highly sought-after hyaluronic
[00:56:33.735 --> 00:56:35.436]  This is Greg Reese for InfoWars.com in Hong Kong.
[00:56:35.436 --> 00:56:37.056]  Our recent trip to Hong Kong was a new achievement.
[00:57:03.527 --> 00:57:04.649]  We're good to go.
[00:57:19.131 --> 00:57:22.714]  Millie Weaver and Kaitlin Bennett in the American heartland.
[00:57:22.714 --> 00:57:29.880]  And from Austin, Texas, a team of reporters and crew ready to be dispatched wherever the story is going down.
[00:57:29.880 --> 00:57:33.603]  We are not done winning, and with your support, we will keep winning.
[00:57:33.603 --> 00:57:35.044]  We have to keep winning!
[00:57:35.044 --> 00:57:36.305]  We have to win more!
[00:57:36.505 --> 00:57:38.848]  Go to infowarrestore.com.
[00:57:38.848 --> 00:57:47.701]  You have gone to infowarrestore.com and gotten books and films, supplements and t-shirts, and water filtration, air filtration, and things you need!
[00:57:47.701 --> 00:57:53.128]  Super Mel Vitality is already in the top three of our best sellers for the six years we've had it.
[00:57:53.849 --> 00:58:01.996]  It is a award-winning formula produced in Utah by one of the top herbal companies in the nation that we've been private labeling.
[00:58:01.996 --> 00:58:03.277]  It is cold-pressed.
[00:58:03.277 --> 00:58:09.703]  It takes at least three times the herbs that are wild-crafted and organic to be able to produce this.
[00:58:09.703 --> 00:58:10.884]  It's not boiled.
[00:58:10.884 --> 00:58:11.684]  It's not heated.
[00:58:11.684 --> 00:58:12.845]  It's never been dried.
[00:58:12.845 --> 00:58:15.368]  It's taken from fresh herbs.
[00:58:15.368 --> 00:58:18.070]  That's why it's so strong.
[00:58:18.070 --> 00:58:21.473]  That's why it's so effective for libido, stamina, and energy.
[00:58:21.813 --> 00:58:35.806]  And I'm so excited about Super Mel Vitality and Carnivore 30 that I'm offering you, with every order of Super Mel Vitality, a 25% off a free bottle of Carnivore Digestive Enzyme.
[00:58:35.806 --> 00:58:42.051]  We're going to sell out of this very quickly, but it's an offer so that you experience how amazing both these products are.
[00:58:42.051 --> 00:58:46.435]  Secure yours at mfulworesstore.com today or mfulworeslife.com.
[00:58:47.376 --> 00:58:48.396]  Josh in Washington.
[00:58:48.396 --> 00:58:48.937]  You're on the air.
[00:58:48.937 --> 00:58:49.477]  Go ahead.
[00:58:49.477 --> 00:58:50.797]  Alex, God bless you.
[00:58:50.797 --> 00:58:53.238]  I have an idea for a new InfoWars t-shirt.
[00:58:53.238 --> 00:58:59.181]  Instead of, this is your brain, this is your brain on drugs, this is your brain, this is your brain on 5G.
[00:58:59.181 --> 00:58:59.861]  Ooh, yeah.
[00:58:59.861 --> 00:59:01.222]  Showing your brain getting fried.
[00:59:01.222 --> 00:59:03.082]  Then I have some comments on your supplements, man.
[00:59:03.082 --> 00:59:04.123]  Totally changed my life.
[00:59:04.123 --> 00:59:07.164]  I use TurboForce, BODY, AlphaPower, BrainForce.
[00:59:07.364 --> 00:59:07.745]  We're good.
[00:59:22.661 --> 00:59:25.002]  All of these things are known to be incredible.
[00:59:25.002 --> 00:59:31.763]  Whether it's turmeric, or whether it's the fish oil, or the krill oil, or whether it's the DNA force with the CoQ10 and BioPQQ and all the rest of it.
[00:59:31.763 --> 00:59:34.323]  All of these are things that are like rocket fuel on the body.
[00:59:34.323 --> 00:59:37.444]  You take these bases together, then you have your foundation.
[00:59:37.444 --> 00:59:39.224]  Now you can build the big strong temple.
[00:59:39.224 --> 00:59:43.205]  With these products I take, when I religiously remember to take them, it makes my life so much better.
[00:59:43.205 --> 00:59:45.966]  And then it funds the information war, which is so critical.
[00:59:45.966 --> 00:59:46.726]  Thank you so much.
[00:59:46.726 --> 00:59:47.246]  God bless you.
[00:59:50.074 --> 00:59:52.795]  You're listening to The Alex Jones Show.
[00:59:52.795 --> 01:00:10.781]  A little Lana Del Rey for you, folks.
[01:00:10.781 --> 01:00:17.803]  There's a lot of really selfish people out there.
[01:00:21.844 --> 01:00:28.308]  You know, suicide's always been a problem with humanity.
[01:00:28.308 --> 01:00:38.875]  But, it's also been known that a lot of evil people, when they go, they want to take people with them.
[01:00:38.875 --> 01:00:48.682]  And the fact that we are seeing an uptick in stabbings, and stranglings, and people literally trying to chew the flesh off folks' face,
[01:00:51.249 --> 01:00:56.271]  Shows that we've lost our soul to a certain extent.
[01:00:56.271 --> 01:00:58.112]  Shows that we're sliding towards the abyss.
[01:00:58.112 --> 01:01:00.553]  We've lost our moral compass.
[01:01:00.553 --> 01:01:15.099]  And then you look at these chemicals, the serotonin reuptake inhibitors, the so-called antidepressants, they say on the bottles and with the inserts that this tends to massively increase megalomania.
[01:01:15.099 --> 01:01:18.580]  It tends to massively increase psychotic behavior.
[01:01:18.580 --> 01:01:20.321]  It tends to massively increase
[01:01:21.297 --> 01:01:23.379]  Going out and committing murder.
[01:01:23.379 --> 01:01:30.124]  It actually says, may cause mass murder.
[01:01:30.124 --> 01:01:41.752]  But when you see the ads for antidepressants that something like 30% of the population's on, 30% of women are on them, something like 15% of men.
[01:01:41.752 --> 01:01:44.774]  Yeah.
[01:01:44.774 --> 01:01:48.057]  They don't tell you all that.
[01:01:48.057 --> 01:01:49.638]  I know a very well-known musician
[01:01:54.394 --> 01:01:59.497]  Who I met through Mike Judge, who's an incredible musician in his own right.
[01:01:59.497 --> 01:02:01.498]  Not name dropping, just to give you an idea.
[01:02:01.498 --> 01:02:10.544]  And he has that disease that Michael Jackson had where your skin turns totally white.
[01:02:10.544 --> 01:02:15.967]  From the antidepressant he takes.
[01:02:15.967 --> 01:02:19.449]  He's got all these other health problems.
[01:02:19.449 --> 01:02:22.351]  He hadn't had any of it until he took the pills and they admit
[01:02:23.359 --> 01:02:33.264]  Within two years of him taking those pills, he looks like a vampire and he's got all these other health problems and he can't go off of it or he wants to kill himself.
[01:02:33.264 --> 01:02:43.310]  And he didn't go on it because he wanted to kill himself before, he just went on it because they just recommended it to him.
[01:02:43.310 --> 01:02:52.195]  And then you got enough fentanyl being captured at the border last week to kill 14 million people.
[01:02:54.261 --> 01:03:08.353]  There's a story behind that, and I'll get to that in a moment, but just remember, they are prescribing ten times the opioids that they were putting out just five years ago.
[01:03:08.353 --> 01:03:10.355]  That's a DEA number.
[01:03:10.355 --> 01:03:16.160]  Ten times the number of scripts these doctors are writing.
[01:03:17.697 --> 01:03:21.960]  And look, I get some people are in real pain and need the moderate opioids.
[01:03:21.960 --> 01:03:26.463]  I know some of you out there, you'll get them taken away from you.
[01:03:26.463 --> 01:03:30.886]  But then other people are killing themselves with it.
[01:03:30.886 --> 01:03:32.547]  But think about that.
[01:03:32.547 --> 01:03:38.671]  Fentanyl is a hundred times stronger than opium.
[01:03:38.671 --> 01:03:41.573]  They debate that ten times stronger than heroin, some say even stronger than that.
[01:03:47.369 --> 01:03:57.657]  Developing powers, the European powers divided China into seven parts, 12 parts, 14 parts at one point.
[01:03:57.657 --> 01:04:00.539]  You had the American zone, the French zone, the British zone.
[01:04:00.539 --> 01:04:03.061]  It was obviously the coastline, the most valuable.
[01:04:03.061 --> 01:04:09.306]  And they took over from the Imperial Chinese, because the Chinese said opium's illegal here.
[01:04:09.306 --> 01:04:11.168]  We'll kill you if you have it.
[01:04:11.168 --> 01:04:16.532]  But that created a black market, so that the British would bring it in and first corrupt the coastlines,
[01:04:17.844 --> 01:04:22.687]  That the police corrupt would ship it inland, and then you had all the Chinese laid out, smoking their opium.
[01:04:22.687 --> 01:04:30.352]  When they would come over here to America, they would just work all day on the railroad, and lay out and take their head of opium in the opium dens.
[01:04:30.352 --> 01:04:39.739]  And there's estimated over a million and a half buried Chinese men that just came here for opium.
[01:04:40.680 --> 01:04:43.141]  And work themselves to death like slaves.
[01:04:43.141 --> 01:04:47.862]  One true thing about that show Deadwood, it's based on a real town that HBO had, you know, years ago.
[01:04:47.862 --> 01:04:48.283]  I watched it.
[01:04:48.283 --> 01:04:49.083]  It was actually accurate.
[01:04:49.083 --> 01:04:52.364]  That's a real town that really... Well, most of that's historical.
[01:04:52.364 --> 01:04:53.604]  Some of it's not.
[01:04:53.604 --> 01:04:56.085]  Where they had the Chinese women having to service like 50 men a day.
[01:04:56.085 --> 01:05:03.468]  And when one of them got pregnant or got sick, they'd just feed them to pigs.
[01:05:03.468 --> 01:05:05.449]  That's the kind of human rights you got in China.
[01:05:05.449 --> 01:05:09.410]  And once it came over here, that's the type of human rights you have.
[01:05:10.919 --> 01:05:15.061]  And so that's what we're competing with, ladies and gentlemen.
[01:05:15.061 --> 01:05:17.062]  So the communists came along and just took all that over.
[01:05:17.062 --> 01:05:20.844]  So the Chinese now will execute you.
[01:05:20.844 --> 01:05:22.585]  Death penalty for any drugs.
[01:05:22.585 --> 01:05:24.006]  Marijuana, death penalty.
[01:05:24.006 --> 01:05:24.967]  Opium, death penalty.
[01:05:24.967 --> 01:05:28.409]  Same thing in Singapore.
[01:05:28.409 --> 01:05:35.953]  But they're shipping in illegal fentanyl and killing hundreds of thousands of Americans.
[01:05:36.957 --> 01:05:42.960]  The latest numbers are 2017, 53,000 people die from opiates.
[01:05:42.960 --> 01:05:45.682]  They think less than half ever get properly reported.
[01:05:45.682 --> 01:05:48.203]  So back then it was 100,000, let's say.
[01:05:48.203 --> 01:05:49.844]  Now they're saying it's 10 times the amount.
[01:05:49.844 --> 01:05:51.545]  They don't know the numbers of death.
[01:05:51.545 --> 01:05:54.307]  It's just epidemic.
[01:05:54.307 --> 01:05:55.187]  How many movie stars?
[01:05:55.187 --> 01:05:57.369]  How many baseball players?
[01:05:57.369 --> 01:05:59.310]  Every week you hear about somebody dying is famous.
[01:06:00.643 --> 01:06:01.884]  Does anybody care about that?
[01:06:01.884 --> 01:06:03.145]  Yeah, President Trump does.
[01:06:03.145 --> 01:06:05.506]  And I'm not just here giving President Trump a brownie point.
[01:06:05.506 --> 01:06:13.571]  He's actually going after something that's killing people.
[01:06:13.571 --> 01:06:16.252]  He's actually doing something real, not just lip service.
[01:06:16.252 --> 01:06:25.738]  Because, okay, a hundred and whatever plus people die a year in true mass shootings.
[01:06:25.738 --> 01:06:28.520]  Or somebody goes out to try to
[01:06:30.697 --> 01:06:32.478]  Kill a bunch of people for no reason.
[01:06:32.478 --> 01:06:38.119]  When Beto says there's over 300 mass shootings a year, most of those are gang-related, where you get three or four gang members shot.
[01:06:38.119 --> 01:06:45.322]  And that's still terrible, too, but that doesn't stand any comparison to all the other things we can do something about.
[01:06:45.322 --> 01:06:48.163]  Enough fentanyl to kill 14 million people?
[01:06:48.163 --> 01:06:49.283]  We'll play that report in a moment.
[01:06:49.283 --> 01:06:54.025]  But first, here's Beto O'Rourke, slowed down for radio and TV viewers a month ago.
[01:06:54.025 --> 01:06:58.286]  Couldn't contain his sickening, demonic laughing when he talked about
[01:07:00.131 --> 01:07:05.235]  The psychotic antifa that went into that Walmart at that mall in El Paso.
[01:07:05.235 --> 01:07:06.476]  Here it is.
[01:07:06.476 --> 01:07:13.501]  I'm incredibly saddened and it is very hard to think about this.
[01:07:13.501 --> 01:07:17.003]  I'm incredibly saddened and it is very hard to think about this.
[01:07:23.794 --> 01:07:29.735]  But I'll tell you, El Paso is the strongest place in the world.
[01:07:29.735 --> 01:07:40.517]  There's a lot of injury, a lot of suffering in El Paso right now.
[01:07:40.517 --> 01:07:42.337]  I'm incredibly saddened.
[01:07:42.337 --> 01:07:44.098]  It's very hard to think about this.
[01:07:44.098 --> 01:07:46.678]  And then he starts laughing.
[01:07:46.678 --> 01:07:49.619]  I thought we'd slow that clip down, but tomorrow I'll slow it down.
[01:07:49.619 --> 01:07:51.159]  I'm going to be here live now.
[01:07:51.159 --> 01:07:51.899]  I'm coming in tomorrow.
[01:07:53.069 --> 01:07:55.091]  And I'm going to do, you know, four hours here at least.
[01:07:55.091 --> 01:07:57.293]  I may even do war room too, just because everybody deserves some time off.
[01:07:57.293 --> 01:08:00.917]  In fact, we'll just have a skeleton crew who wants to come and volunteer, because I'm going to be here.
[01:08:00.917 --> 01:08:02.098]  Because we've got to fight, folks.
[01:08:02.098 --> 01:08:03.780]  We just can't give up here.
[01:08:03.780 --> 01:08:07.423]  We're going to go out to break with this CBS News report.
[01:08:07.423 --> 01:08:14.771]  Enough fentanyl seized coming into the United States, what they call a land port.
[01:08:16.067 --> 01:08:19.370]  It's Mexico, but they don't want to land port into the U.S.
[01:08:19.370 --> 01:08:20.230]  It's coming to the U.S.
[01:08:20.230 --> 01:08:22.572]  bound to kill 14 million people.
[01:08:22.572 --> 01:08:23.954]  Enough to kill 14 million people.
[01:08:23.954 --> 01:08:24.234]  Here it is.
[01:08:25.427 --> 01:08:29.230]  Investigators have busted a massive drug ring spanning three states.
[01:08:29.230 --> 01:08:31.172]  All this over just the last three days.
[01:08:31.172 --> 01:08:39.058]  Law enforcement officers in Virginia seized enough fentanyl to kill 14 million people as part of what they're calling Operation Cookout.
[01:08:39.058 --> 01:08:43.542]  There are 35 suspects that have been arrested, four others still on the run.
[01:08:43.542 --> 01:08:45.083]  Chip Reid is in Washington for us.
[01:08:45.083 --> 01:08:47.985]  Chip, what else did investigators seize in this bust?
[01:08:47.985 --> 01:08:48.366]  Good morning.
[01:08:48.886 --> 01:08:57.040]  Well, authorities say they seized about 66 pounds of fentanyl in addition to other illegal drugs and money amounting to hundreds of thousands of dollars.
[01:08:57.040 --> 01:09:01.186]  But the fentanyl, which is a synthetic opioid, had them especially concerned.
[01:09:02.421 --> 01:09:06.326]  This opioid crisis is not an issue that's happening someplace else or to someone else.
[01:09:06.326 --> 01:09:07.988]  It's happening right here in Norfolk.
[01:09:07.988 --> 01:09:13.534]  Announcing the largest drug takedown in Virginia in 15 years, G. Zachary Terwilliger, U.S.
[01:09:13.534 --> 01:09:18.620]  Attorney for the Eastern District of Virginia, said most fentanyl comes from Chinese labs.
[01:09:19.241 --> 01:09:29.224]  In total, authorities seized over 30 kilograms of fentanyl, 30 kilograms of heroin, 5 kilograms of cocaine, and over $700,000 in cash.
[01:09:29.224 --> 01:09:33.686]  They also seized roughly 24 firearms, including an AK-47.
[01:09:33.686 --> 01:09:37.087]  We're not talking about $500 and $600 deals.
[01:09:37.087 --> 01:09:39.728]  We're talking hundreds of thousands of dollars.
[01:09:39.728 --> 01:09:44.730]  You know, $20,000 in the trunk of somebody's car, in a gym bag, you know, behind... Alright, go ahead and paint this down.
[01:09:45.959 --> 01:09:47.800]  Now, I want to come back from break.
[01:09:47.800 --> 01:09:52.964]  It's been a year since InfoWars and our other channels were completely banned off of YouTube.
[01:09:52.964 --> 01:10:00.890]  We had over 5 billion views when we got banned, and we're credited with getting Donald Trump elected because we were able to punch through and reach the grassroots.
[01:10:00.890 --> 01:10:08.875]  Now as we enter the 2020 election cycle, it's more important than ever that there be a place where the censors are unable to block the signal.
[01:10:08.875 --> 01:10:09.916]  And it's now here.
[01:10:09.916 --> 01:10:11.097]  Banned.video.
[01:10:11.657 --> 01:10:26.223]  Banned.video is the answer for libertarians, conservatives, nationalists, pro-gun, pro-life, pro-human individuals to have their own platform where videos banned by YouTube, Facebook, and Twitter are still available.
[01:10:26.223 --> 01:10:30.085]  Watch your favorite content from media personalities banned by big tech.
[01:10:30.085 --> 01:10:31.225]  Works on every device.
[01:10:31.225 --> 01:10:34.447]  Take your shows on the go with banned.video.
[01:10:34.447 --> 01:10:40.209]  Watch live shows, on-demand content, and join in on the conversation from anywhere with banned.video.
[01:10:40.629 --> 01:10:44.611]  Share videos with your friends via Facebook, Twitter, SMS, email, and more.
[01:10:44.611 --> 01:10:47.133]  Band.Video.
[01:10:47.133 --> 01:10:56.718]  There are only a few days left for you to get DNA Force Plus at 50% off and get a free bottle of Carnivore 90 for free.
[01:10:56.718 --> 01:11:06.504]  That's 90 powerful enzyme capsules designed to help you digest and absorb protein and fat and to clean out your guts in a healthy way.
[01:11:06.784 --> 01:11:11.046]  DNA Force Plus is our flagship product and needs no introduction.
[01:11:11.046 --> 01:11:17.850]  But Carnivore is so amazing that I want to offer you a free bottle of it so you can experience how great it is.
[01:11:17.850 --> 01:11:22.712]  We will be out of Carnivore in just the next week or so at current sales levels.
[01:11:22.712 --> 01:11:25.653]  I'm doing this because it's such an important product for people.
[01:11:25.653 --> 01:11:30.136]  I want those of you on the fence to experience it like so many others have.
[01:11:30.136 --> 01:11:30.536]  So again,
[01:11:31.096 --> 01:11:36.723]  We are running this special as long as our stock of Carnivore 90 is still here.
[01:11:36.723 --> 01:11:44.593]  Get your DNA Force Plus 50% off right now at InfoWarsStore.com or InfoWarsLife.com and get a free bottle of Carnivore 90.
[01:11:47.094 --> 01:11:49.216]  Josh in Washington, you're on the air, go ahead.
[01:11:49.216 --> 01:11:50.377]  Alex, God bless you.
[01:11:50.377 --> 01:11:52.959]  I have an idea for a new InfoWars t-shirt.
[01:11:52.959 --> 01:11:58.924]  Instead of, this is your brain, this is your brain on drugs, this is your brain, this is your brain on 5G.
[01:11:58.924 --> 01:11:59.585]  Ooh, yeah.
[01:11:59.585 --> 01:12:00.946]  Showing your brain getting fried.
[01:12:00.946 --> 01:12:02.807]  Gonna have some comments on your supplements, man.
[01:12:02.807 --> 01:12:03.848]  Totally changed my life.
[01:12:03.848 --> 01:12:06.891]  I use TurboForce, BODY, AlphaPower, BrainForce.
[01:12:07.091 --> 01:12:08.012]  We're good to go.
[01:12:22.368 --> 01:12:24.730]  All of these things are known to be incredible.
[01:12:24.730 --> 01:12:31.514]  Whether it's turmeric, or whether it's the fish oil, or the krill oil, or whether it's the DNA force with the CoQ10 and BioPQQ and all the rest of it.
[01:12:31.514 --> 01:12:34.036]  All of these are things that are like rocket fuel in the body.
[01:12:34.036 --> 01:12:37.198]  You take these bases together, then you have your foundation.
[01:12:37.198 --> 01:12:38.959]  Now you can build the big strong temple.
[01:12:38.959 --> 01:12:42.922]  With these products I take, when I religiously remember to take them, it makes my life so much better.
[01:12:42.922 --> 01:12:45.704]  And then it funds the information war, which is so critical.
[01:12:45.704 --> 01:12:46.445]  Thank you so much.
[01:12:46.445 --> 01:12:46.985]  God bless you.
[01:12:47.205 --> 01:12:51.068]  In InfoWars life, we always try to bring you game-changing products.
[01:12:51.068 --> 01:12:55.552]  Now, we've already been promoting and selling Super Silver Wound Gel for over a year.
[01:12:55.552 --> 01:12:56.593]  It's a bestseller.
[01:12:56.593 --> 01:12:58.515]  It is the best you can get.
[01:12:58.515 --> 01:13:01.397]  A 100% review rate on Power Reviews.
