[00:00:07.870 --> 00:00:09.311]  We did it!
[01:52:32.815 --> 01:52:37.158]  I then noticed Synergy One made me wake up rested and with much more energy.
[01:52:37.158 --> 01:52:40.200]  No more hungover, groggy feeling upon arising.
[01:52:40.200 --> 01:52:48.326]  I had almost considered going to another country for stem cell therapy as a last resort, but now I truly feel rejuvenated on Synergy One and ADR Medix.
[01:52:48.795 --> 01:52:51.056]  Success happens with synergistic nutrition.
[01:52:51.056 --> 01:52:53.978]  Call 888-988-3325 or visit OneWorldWay.com.
[01:52:53.978 --> 01:52:55.718]  That's OneWorld, W-H-E-Y dot com.
[01:52:59.858 --> 01:53:04.680]  Will the government protect your family from Iran and North Korea's newest weapon, EMP?
[01:53:04.680 --> 01:53:06.540]  We buy guns to protect ourselves.
[01:53:06.540 --> 01:53:08.821]  Home, health, and car insurance for accidents.
[01:53:08.821 --> 01:53:10.522]  Maybe you also have food storage.
[01:53:10.522 --> 01:53:14.563]  But how would you keep your refrigerator running in a long-term EMP blackout?
[01:53:14.563 --> 01:53:22.866]  Using tested military designs, the Solark EMP-hardened solar generator protects and powers your critical appliances for years.
[01:53:23.086 --> 01:53:26.591]  Without burying items underground or wrapping them in aluminum foil.
[01:53:26.591 --> 01:53:31.978]  Unlike other preps, SOLARC is used every day to help offset your electric bill automatically.
[01:53:31.978 --> 01:53:36.905]  Visit PortableSolarLLC.com to learn how easily expandable the system is.
[01:53:36.905 --> 01:53:40.090]  SOLARC is the most affordable and powerful solution on the market.
[01:53:40.290 --> 01:53:45.194]  The whole system even fits in the back of a pickup or SUV and can install in less than an hour.
[01:53:45.194 --> 01:53:50.978]  See for yourself why Solark beats other off-grid systems at PortableSolarLLC.com.
[01:53:50.978 --> 01:53:52.379]  Don't wait for the government.
[01:53:52.379 --> 01:54:01.345]  Go to PortableSolarLLC.com to learn why Solark is energy insurance for your family.
[01:54:01.345 --> 01:54:04.107]  Crashing through the lies and disinformation.
[01:54:04.107 --> 01:54:07.930]  It's Alex Jones, only on the GCN Radio Network.
[01:54:17.956 --> 01:54:24.518]  It's almost three o'clock in the morning Central Time.
[01:54:24.518 --> 01:54:29.178]  And we now have President-elect Donald Trump.
[01:54:29.178 --> 01:54:33.959]  Donald Trump is no angel.
[01:54:33.959 --> 01:54:43.141]  And neither am I. But Donald Trump's will is that you be prosperous and that you be successful.
[01:54:43.746 --> 01:54:47.007]  No dream is too big, no challenge is too great.
[01:54:47.007 --> 01:54:51.609]  Nothing we want for our future is beyond our reach.
[01:54:51.609 --> 01:54:57.151]  America will no longer settle for anything less than the best.
[01:54:57.151 --> 01:55:02.793]  And that's why Goldman Sachs and JP Morgan and all the big mega banks have set themselves up against him.
[01:55:02.793 --> 01:55:06.755]  Because they believe they own you.
[01:55:06.755 --> 01:55:09.296]  I knew a year and a half ago when I endorsed Donald Trump he was going to win.
[01:55:13.416 --> 01:55:17.697]  And I've talked to him about why I knew that.
[01:55:17.697 --> 01:55:33.841]  But people I know, and people I trust, that are patriots, that have defended this republic, confirmed to me, and I've seen it in Donald Trump's actions, that he wanted to restore this republic.
[01:55:33.841 --> 01:55:38.762]  But I want to be very clear to you, very clear.
[01:55:38.762 --> 01:55:41.703]  This isn't about credit, it's so that you know the danger.
[01:55:44.329 --> 01:55:47.851]  You've seen the stupid ads with the bunny rabbit that says Energizer inside.
[01:55:47.851 --> 01:55:57.017]  If you want to know what powers Donald Trump, individually, it's a love of liberty and a love of standing up to corruption.
[01:55:57.017 --> 01:55:57.617]  He's not perfect.
[01:55:57.617 --> 01:55:58.838]  Nobody is.
[01:55:58.838 --> 01:56:03.881]  But what powers the movement is Infowars.
[01:56:03.881 --> 01:56:08.484]  They want to establish a private corporate global government.
[01:56:08.484 --> 01:56:09.345]  Nigel Farage.
[01:56:11.738 --> 01:56:17.703]  The leader of UKIP would come on my show 15 years ago when he barely had a few members of parliament.
[01:56:17.703 --> 01:56:20.025]  Now he's 100 times bigger and more.
[01:56:20.025 --> 01:56:22.927]  And he would say, it's your listeners listening to you in the U.S.
[01:56:22.927 --> 01:56:24.088]  when I go knock on doors.
[01:56:24.088 --> 01:56:25.789]  That's why we're getting the UK Independence Party.
[01:56:25.789 --> 01:56:26.850]  It's Infowars.
[01:56:26.850 --> 01:56:28.011]  Thank you.
[01:56:28.011 --> 01:56:29.312]  He said that on the show.
[01:56:29.312 --> 01:56:30.313]  It's not about us bragging.
[01:56:30.313 --> 01:56:39.360]  It's that the spirit of the Infowar across the world from Australia to the UK and Russia, from Nigeria to Mexico, is spreading.
[01:56:42.014 --> 01:56:45.739]  And it's the Renaissance idea of freedom.
[01:56:45.739 --> 01:56:48.762]  And that's why they're trying to shut us down.
[01:56:48.762 --> 01:56:52.186]  Because we're not perfect, but we're not out to get people.
[01:56:52.186 --> 01:56:53.928]  We believe in lower taxes.
[01:56:53.928 --> 01:56:56.911]  We know empowering the people is the answer.
[01:56:56.911 --> 01:56:59.374]  We don't want to break up families.
[01:56:59.374 --> 01:57:00.596]  We're not out to get people.
[01:57:02.279 --> 01:57:05.440]  They are going to try to collapse the world economy.
[01:57:05.440 --> 01:57:07.401]  They've already been propping it up for a while.
[01:57:07.401 --> 01:57:09.722]  They're going to blame it on Donald Trump.
[01:57:09.722 --> 01:57:11.163]  A global depression.
[01:57:11.163 --> 01:57:13.244]  They knew they couldn't stop the movement.
[01:57:13.244 --> 01:57:17.345]  So now that he's in, they're going to implode the economy and blame him.
[01:57:17.345 --> 01:57:19.786]  Well, they're the ones who created the derivatives.
[01:57:19.786 --> 01:57:22.347]  Well, they're the ones who created the end of Glass-Steagall.
[01:57:22.347 --> 01:57:26.029]  When Hillary Clinton and Larry Summers did it all, they're going to blame Donald Trump.
[01:57:29.164 --> 01:57:30.044]  How do I know that?
[01:57:30.044 --> 01:57:30.945]  They threatened the UK.
[01:57:30.945 --> 01:57:34.086]  They said, you try to leave this unelected thing, we'll implode your economy.
[01:57:34.086 --> 01:57:35.027]  We'll take your jobs away.
[01:57:35.027 --> 01:57:37.047]  Just like they did in Iceland or Greece.
[01:57:37.047 --> 01:57:39.008]  Some countries fold, some fight back.
[01:57:39.008 --> 01:57:40.289]  We know their plan.
[01:57:40.289 --> 01:57:43.630]  If you're just conscious and want to know the truth, it's all there.
[01:57:43.630 --> 01:57:46.291]  It's not my opinion.
[01:57:46.291 --> 01:57:47.492]  I want self-determination.
[01:57:47.492 --> 01:57:51.193]  I won't be held hostage.
[01:57:51.193 --> 01:57:54.535]  So, this isn't like buying a lottery ticket.
[01:57:56.069 --> 01:58:02.813]  Where you elect Donald Trump and beat the establishment and then expect the whole gravy train to continue on.
[01:58:02.813 --> 01:58:05.555]  Who wants this fake gravy train?
[01:58:05.555 --> 01:58:08.637]  We need to get back to what makes us human, what makes us real.
[01:58:08.637 --> 01:58:13.340]  And if we're getting ahead at the expense of some third world people, we shouldn't do it.
[01:58:13.340 --> 01:58:17.662]  If we're getting ahead at the expense of our kids, we shouldn't do it.
[01:58:17.662 --> 01:58:23.406]  I saw the enemy truly against Donald Trump, spiritually hating him, so I backed him.
[01:58:25.489 --> 01:58:28.310]  Donald Trump is more a figurehead of liberty than ever before.
[01:58:28.310 --> 01:58:35.353]  And he has the Holy Ghost protecting him.
[01:58:35.353 --> 01:58:40.816]  No weapon for him to test it.
[01:58:40.816 --> 01:58:44.117]  Thank you for listening to GCN.
[01:58:44.117 --> 01:58:46.038]  Visit GCNlive.com today.
[01:58:50.183 --> 01:58:54.345]  Introducing Vitamin Mineral Fusion from Infowarslife.com.
[01:58:54.345 --> 01:59:01.830]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[01:59:01.830 --> 01:59:12.756]  The all-new Vitamin Mineral Fusion drink mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[01:59:13.277 --> 01:59:21.087]  In the history of InfoWars life, we've brought out a lot of amazing products like Survival Shield X2, Super Metal Vitality, and so many others.
[01:59:21.087 --> 01:59:30.440]  But I am most proud of the product we're now launching today, with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[01:59:30.740 --> 01:59:32.420]  You're listening to the Alex Jones Show!
[02:00:22.222 --> 02:00:24.927]  Waging war on corruption.
[02:00:24.927 --> 02:00:30.036]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[02:00:36.147 --> 02:00:36.988]  We are live.
[02:00:36.988 --> 02:00:40.190]  It is the third hour of the Alex Jones Show with me, your host.
[02:00:40.190 --> 02:00:42.551]  For the next hour, Paul Joseph Watson.
[02:00:42.551 --> 02:00:53.658]  And as Alex has been discussing, the whiny, butthurt, crybaby special snowflakes have been all over the streets again protesting against a free democratic election.
[02:00:53.658 --> 02:00:57.000]  Can you imagine anything more reprehensible?
[02:00:57.000 --> 02:00:59.162]  These people should move to North Korea.
[02:00:59.162 --> 02:01:01.723]  They won't have any problems with elections there.
[02:01:01.723 --> 02:01:04.225]  Their preferred candidate will always win.
[02:01:05.416 --> 02:01:09.800]  Now it's got to the point where they're burning American flags, they're attacking people on the street.
[02:01:09.800 --> 02:01:11.181]  You see the footage here.
[02:01:11.181 --> 02:01:15.304]  I put up this video last night, it's already got four or five hundred thousand views.
[02:01:15.304 --> 02:01:17.566]  They're really losing the narrative.
[02:01:17.566 --> 02:01:20.909]  I mean, Trump riot has been trending on Twitter all day.
[02:01:20.909 --> 02:01:31.277]  They've been vehemently debunked in their efforts to try and frame this as a legitimate protest when it is nothing less than an anti-democratic disgrace.
[02:01:31.277 --> 02:01:34.680]  These people should move to North Korea right now if this is what they're interested in.
[02:01:35.964 --> 02:01:49.373]  But isn't it funny how we were smeared all year as violent, hateful bigots, yet when it comes down to it, it's Hillary voters who turn out to be violent, hateful bigots.
[02:01:49.373 --> 02:01:54.676]  You know, it was funny how they said Trump supporters would not accept the result of this election.
[02:01:54.676 --> 02:01:56.958]  You heard that for weeks, even months.
[02:01:57.458 --> 02:02:00.203]  They said they would riot if they lost the election.
[02:02:00.203 --> 02:02:03.209]  What's the first thing that Hillary voters do?
[02:02:03.209 --> 02:02:06.595]  They don't accept the election, and they go out and riot!
[02:02:07.554 --> 02:02:23.087]  I mean, can you remember when, after Obama won the elections in 2008 and 2012, you remember when conservatives were out on the street rioting, burning American flags, attacking people, smashing up shops, destroying cop cars?
[02:02:23.087 --> 02:02:26.210]  You remember when conservatives did that after Obama won in 2008 and 2012?
[02:02:26.210 --> 02:02:27.411]  No, me neither, because it didn't happen.
[02:02:31.482 --> 02:02:35.444]  Because Conservatives accept election results.
[02:02:35.444 --> 02:02:43.729]  They don't have toys out of the pram, temper tantrums on the streets, thinking that that's going to change anything.
[02:02:43.729 --> 02:02:44.749]  It comes down to this.
[02:02:44.749 --> 02:02:47.250]  America is a meritocracy.
[02:02:47.250 --> 02:02:49.612]  America rewards hard work.
[02:02:49.612 --> 02:02:52.493]  That's what made America great in the first place.
[02:02:52.493 --> 02:02:59.137]  America doesn't reward whining, burning flags and wallowing in your imaginary oppression.
[02:03:00.111 --> 02:03:08.033]  Okay, that's why you lost, because you're lazy, self-entitled, bed-wetting crybabies.
[02:03:08.033 --> 02:03:21.016]  But they're still out on the streets, and they will be out on the streets tonight, probably throughout the entire weekend, actually believing that the Electoral College is going to look at them burning an effigy of Donald Trump's head.
[02:03:21.596 --> 02:03:25.059]  And think, oh well, we better just overturn the entire election result then.
[02:03:25.059 --> 02:03:29.342]  Because some whiny crybabies waving Mexican flags had a hissy fit.
[02:03:29.342 --> 02:03:31.764]  No, that's not how it works.
[02:03:31.764 --> 02:03:40.210]  Again, it's this entire mentality which has driven the rise of social justice warriors, this mental illness, that everybody gets a trophy.
[02:03:40.210 --> 02:03:43.173]  No, everybody doesn't get a frigging trophy.
[02:03:43.173 --> 02:03:45.534]  You have winners and losers in life.
[02:03:45.534 --> 02:03:48.497]  The winners are the people who really want it and who work for it.
[02:03:50.472 --> 02:03:52.873]  And those were the winners on November 8th.
[02:03:52.873 --> 02:03:53.954]  You were the losers.
[02:03:53.954 --> 02:03:56.396]  Get used to it, accept it, move on.
[02:03:56.396 --> 02:03:58.557]  But they're not going to move on.
[02:03:58.557 --> 02:04:00.038]  What is the next stage of this?
[02:04:00.038 --> 02:04:02.779]  That's what we're going to talk about during the next hour.
[02:04:02.779 --> 02:04:13.426]  We're also going to talk about the anti-Donald Trump hate crime wave now sweeping America that the rigged, debunked corporate media is covering up.
[02:04:14.187 --> 02:04:16.869]  Refusing to admit it's taking place.
[02:04:16.869 --> 02:04:22.653]  Of course, we saw after Brexit this big, frothing hysteria that there were hate crimes happening everywhere.
[02:04:22.653 --> 02:04:24.554]  Massive explosion, of course.
[02:04:24.554 --> 02:04:26.615]  Turned out to be complete BS.
[02:04:26.615 --> 02:04:28.737]  The reporting of hate crimes had increased.
[02:04:28.737 --> 02:04:31.238]  Actual hate crimes had not increased.
[02:04:31.238 --> 02:04:39.184]  Now, all the hate crimes that are taking place in the aftermath of this presidential election are extreme violent left-wingers, the alt-left,
[02:04:40.004 --> 02:04:47.751]  Attacking Donald Trump supporters, not only out on the streets, but also now in schools.
[02:04:47.751 --> 02:04:49.593]  We're going to get to that after the break.
[02:04:49.593 --> 02:04:54.918]  This is the third hour of the Alex Jones Show Live, breaking news at infowars.com.
[02:04:54.918 --> 02:04:55.499]  Don't go away.
[02:05:00.939 --> 02:05:06.060]  Three days after the election of Donald Trump and the reality of a Trump presidency is starting to hit home.
[02:05:06.060 --> 02:05:11.462]  For some people, this is such a devastating notion that they need to call an ambulance or even want to die.
[02:05:11.462 --> 02:05:15.363]  Well, we Trump voters care about our fellow Americans and we're pained by this.
[02:05:15.363 --> 02:05:17.263]  So let's help the Trump protesters.
[02:05:17.263 --> 02:05:19.884]  Let's try to help them recover from their devastation.
[02:05:19.884 --> 02:05:25.105]  If you see a Trump protester or a group of them, give them a diaper, hand them a binky, cover them in a blankie.
[02:05:25.105 --> 02:05:27.206]  After all, this is what you do for crying babies.
[02:05:27.526 --> 02:05:31.288]  Many of these people look like they need a hug, so give them a box of Huggies!
[02:05:31.288 --> 02:05:38.891]  We Trump voters can't stand to see our fellow Americans so depleted, so we will make sure to get as many of them a warm bottle of milk as possible.
[02:05:38.891 --> 02:05:45.394]  To make America great again, we must make sure that these babies are taken care of with plenty of diapers, binkies, and rattles.
[02:05:45.394 --> 02:05:46.974]  Don't worry Trump protesters!
[02:05:46.974 --> 02:05:50.576]  Remember, we're stronger together, even if you do have to wear a diaper.
[02:05:50.576 --> 02:05:53.857]  This is Owen Schroer from InfoWars.com.
[02:05:53.857 --> 02:05:55.318]  This message is paid for by the Russians.
[02:05:59.861 --> 02:06:03.142]  Do you ever wonder what happened to America?
[02:06:03.142 --> 02:06:07.223]  Because of what we did on this day, change has come to America.
[02:06:07.223 --> 02:06:09.884]  Something's wrong, and we all know it.
[02:06:09.884 --> 02:06:12.725]  I'm Charlie Daniels, and I'm here to tell you about it.
[02:06:12.725 --> 02:06:17.907]  The nation has been hijacked by international forces, bent on global governance.
[02:06:18.447 --> 02:06:24.675]  When I was a boy, it was okay to be proud of the flag, heritage, mom and apple pie.
[02:06:24.675 --> 02:06:26.157]  God was in school.
[02:06:26.157 --> 02:06:28.139]  Morality had a future.
[02:06:28.139 --> 02:06:30.943]  And the beef was for supper.
[02:06:30.943 --> 02:06:33.526]  Revelation, dawn of global government.
[02:06:33.886 --> 02:06:35.066]  We're the solution!
[02:06:35.066 --> 02:06:36.046]  Americans!
[02:06:36.046 --> 02:06:37.547]  Ain't nothing more to it than that!
[02:06:37.547 --> 02:06:42.768]  Starring Alex Jones, Charlie Daniels, and Special Ops General Jerry Boykin.
[02:06:42.768 --> 02:06:44.588]  The ethical screening's on demand.
[02:06:44.588 --> 02:06:46.188]  DVD's now available.
[02:06:46.188 --> 02:06:50.109]  Wanna shed some tears over the red, white, and blue?
[02:06:50.109 --> 02:06:52.930]  Revelation, the movie, dot info.
[02:06:52.930 --> 02:06:55.710]  Americans need to see this film.
[02:06:55.710 --> 02:06:58.371]  Revelation, the movie, dot info.
[02:06:58.371 --> 02:06:59.231]  Let's fix it.
[02:06:59.871 --> 02:07:03.072]  A clean, toxic-free body is the foundation of true health.
[02:07:03.072 --> 02:07:05.413]  Deep Cleanze by Infowarslife.com.
[02:07:05.413 --> 02:07:12.416]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[02:07:12.416 --> 02:07:17.738]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[02:07:17.738 --> 02:07:26.702]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[02:07:27.162 --> 02:07:36.046]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[02:07:36.046 --> 02:07:43.129]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spite G-Rex herbal processing technique.
[02:07:43.129 --> 02:07:48.512]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you the best.
[02:07:48.792 --> 02:07:50.453]  It's Alex Jones, only on the GCN Radio Network.
[02:08:18.351 --> 02:08:23.593]  We are back on the third hour of this Friday edition of the Alex Jones Show.
[02:08:23.593 --> 02:08:29.775]  And there's an anti-Trump hate crime wave sweeping America, which the rigged media won't talk about.
[02:08:29.775 --> 02:08:45.720]  They'll have their cameraman on video, pretending to be an anti-Trump agitator, saying that Hillary Clinton needs to sue the United States and overturn the election result, and claim that that's an organic, authentic protester, when it's their own cameraman, because CNN is rigged.
[02:08:45.720 --> 02:08:47.101]  We're going to go to that video later.
[02:08:48.348 --> 02:08:49.769]  But they're not reporting on this.
[02:08:49.769 --> 02:08:51.330]  Headline up on m4wars.com.
[02:08:51.330 --> 02:08:54.711]  Video high school girl viciously attacked for supporting Donald Trump.
[02:08:54.711 --> 02:08:57.113]  Of course, this is also up on drudgereport.com.
[02:08:58.049 --> 02:08:59.769]  And this is just one example.
[02:08:59.769 --> 02:09:11.211]  Of course, we also had up on Infowars yesterday, a school in Stafford, an 11-year-old boy, this is in Texas, was violently attacked after telling classmates he voted for Donald Trump.
[02:09:11.211 --> 02:09:12.492]  You can see this video here.
[02:09:12.492 --> 02:09:14.232]  This is the girl being attacked.
[02:09:14.232 --> 02:09:15.972]  This is in California.
[02:09:15.972 --> 02:09:25.034]  Basically, this violent, intolerant liberal accused her of hating Mexicans because she posted something that was pro-Trump on Instagram.
[02:09:25.794 --> 02:09:30.081]  And within two minutes, instantly launched into a brutal assault.
[02:09:30.081 --> 02:09:33.707]  Because she's a tolerant, peaceful liberal.
[02:09:33.707 --> 02:09:36.091]  If this was an isolated incident, it would be one thing.
[02:09:36.091 --> 02:09:36.572]  But it isn't.
[02:09:37.659 --> 02:09:48.762]  Again, Stafford, Texas, 11-year-old boy violently attacked after telling classmates he voted for Donald Trump in the school's mock election, leaving him having to use crutches.
[02:09:48.762 --> 02:10:01.745]  Another incident out of Florida, 17-year-old student punched by a classmate, punched by a tolerant liberal, excuse me, in the face because he was holding a Donald Trump sign during gym class.
[02:10:02.597 --> 02:10:08.325]  We played the video yesterday of the guy in Chicago, dragged out of his car, beaten!
[02:10:09.534 --> 02:10:14.137]  By a mob of people as they decry the fact that he voted for Donald Trump.
[02:10:14.137 --> 02:10:16.659]  You voted for Trump, this is what you're going to get.
[02:10:16.659 --> 02:10:25.104]  Beat him round the head, rob his possessions, his arm gets stuck in the window of the vehicle, it drives off, dragging him down the street.
[02:10:25.104 --> 02:10:27.486]  Can you imagine if the roles were reversed?
[02:10:27.486 --> 02:10:31.329]  It looked like an actual lynching by the end of this sea.
[02:10:31.329 --> 02:10:33.430]  And you can see the video, we're playing it right now.
[02:10:33.430 --> 02:10:34.871]  Can you imagine if the roles were reversed?
[02:10:34.871 --> 02:10:38.794]  Can you imagine if a group of aggressive, intolerant Trump supporters
[02:10:39.761 --> 02:10:51.748]  Had basically dragged an African-American guy, a Hillary voter, out of his car and sort of beaten him round the head, robbing him, and then literally dragging him in the streets, hanging off the back of a car.
[02:10:51.748 --> 02:10:53.949]  That would be a nationwide news story.
[02:10:53.949 --> 02:10:55.390]  It would be all over the place.
[02:10:55.390 --> 02:10:57.171]  It would be all over CNN.
[02:10:57.171 --> 02:10:58.332]  Has CNN reported on this?
[02:10:58.332 --> 02:10:59.472]  No.
[02:10:59.472 --> 02:11:00.173]  ABC News?
[02:11:00.173 --> 02:11:00.473]  No.
[02:11:00.473 --> 02:11:00.953]  NBC?
[02:11:00.953 --> 02:11:01.333]  No.
[02:11:01.333 --> 02:11:02.934]  Nobody's reported on it.
[02:11:02.934 --> 02:11:04.015]  And it's part of a pattern.
[02:11:05.686 --> 02:11:12.593]  New Orleans, a famous monument daubed in graffiti that reads, Die White, Die!
[02:11:12.593 --> 02:11:16.817]  Again, another tolerant liberal, obviously responsible for that message.
[02:11:16.817 --> 02:11:19.240]  We've had the death threats flooding Twitter.
[02:11:19.240 --> 02:11:22.803]  You can go on Twitter at any point, type in a saturnate trump.
[02:11:22.803 --> 02:11:29.029]  Hundreds of thousands of death threats, some of them direct death threats from tolerant liberals
[02:11:29.850 --> 02:11:36.975]  Who for the past three, four weeks have been saying, oh, those aggressive, intolerant Trump supporters, they're not going to accept the election result.
[02:11:36.975 --> 02:11:37.675]  They're going to riot.
[02:11:37.675 --> 02:11:39.477]  They're going to stage violence.
[02:11:39.477 --> 02:11:45.981]  When it's Hillary voters now staging violence in the aftermath of them not accepting the election result.
[02:11:45.981 --> 02:11:51.985]  New York Post reports, assassination threats against Trump flood Twitter after election shocker.
[02:11:51.985 --> 02:11:53.366]  You can see more in that article.
[02:11:54.155 --> 02:12:01.681]  And they're basically out there saying, oh no, don't assassinate Trump because then Mike Pence will become president and he's even worse.
[02:12:01.681 --> 02:12:04.083]  We have to assassinate him too.
[02:12:04.083 --> 02:12:06.325]  They're actually on Twitter saying this.
[02:12:06.325 --> 02:12:07.526]  It's no surprise to us.
[02:12:07.526 --> 02:12:11.890]  I mean, I've been cataloging death threats against Trump for over a year now.
[02:12:11.890 --> 02:12:15.252]  I mean, that's why he started wearing a bulletproof vest in the first place.
[02:12:15.252 --> 02:12:21.698]  Because of all these peaceful, tolerant liberals that don't threaten to kill you if you disagree with them politically.
[02:12:22.563 --> 02:12:41.838]  So you've got a national hate crime wave sweeping America, and isn't it ironic that Hillary Clinton, during the debate, in fact it was during that infamous alt-right speech where she directly called out Alex Jones, Hillary said that Donald Trump was the cause of bullying in schools.
[02:12:42.964 --> 02:12:46.486]  Well look at what's happening now in the aftermath of this election.
[02:12:46.486 --> 02:12:53.511]  It's kids being bullied, being violently bullied in schools because they supported Donald Trump.
[02:12:53.511 --> 02:12:58.434]  Again, everything they project on us, they're responsible for it.
[02:12:58.434 --> 02:13:01.936]  Hateful, intolerant violence.
[02:13:01.936 --> 02:13:04.578]  This is the new regressive left.
[02:13:04.578 --> 02:13:07.840]  There are very few actual real liberals calling them out.
[02:13:07.840 --> 02:13:11.282]  There are a few, and we give them honourable mentions when they do it.
[02:13:12.540 --> 02:13:15.042]  But by no means are there enough.
[02:13:15.042 --> 02:13:17.623]  So again, you've got riots across America.
[02:13:17.623 --> 02:13:19.645]  Portland, San Diego, Los Angeles.
[02:13:19.645 --> 02:13:21.966]  There'll be more tonight, don't worry about that.
[02:13:21.966 --> 02:13:25.709]  George Soros and MoveOn.org have got this planned to a fine tee!
[02:13:27.130 --> 02:13:29.392]  Again, the media is pretending it's an organic protest.
[02:13:29.392 --> 02:13:31.073]  It's not an organic protest.
[02:13:31.073 --> 02:13:37.659]  They literally have news networks trying to hire people to play the role of anti-Trump agitators so they can interview them.
[02:13:37.659 --> 02:13:45.626]  They've got CNN interviewing their own cameraman and claiming it's an organic anti-Trump protester.
[02:13:45.626 --> 02:13:50.410]  You've got moveon.org on their own website saying this is what we're going to do following these orders.
[02:13:50.410 --> 02:13:52.592]  Bussing them in to Austin.
[02:13:52.592 --> 02:13:54.353]  We had that article up on infowars.com.
[02:13:55.353 --> 02:14:08.562]  And again, this Trump-riot trend is yet another example of how the alt-left, the social justice warriors, the regressive left, is infinitely more dangerous, violent, and intolerant than the alt-right.
[02:14:08.562 --> 02:14:18.950]  We had an entire election campaign of the media demonizing the alt-right as this violent, bigoted force that's going to stage violence and start attacking people.
[02:14:18.950 --> 02:14:20.391]  Well look who's attacking people.
[02:14:20.951 --> 02:14:23.132]  It's actually the alt-left.
[02:14:23.132 --> 02:14:24.412]  It's your people.
[02:14:24.412 --> 02:14:34.995]  It's the monsters that you created with all this hysterical media coverage for the past year, saying that Donald Trump is literally Hitler, that he's going to destroy the world.
[02:14:34.995 --> 02:14:38.356]  Penny, penny, the sky is falling.
[02:14:38.356 --> 02:14:39.376]  You created that!
[02:14:41.400 --> 02:14:47.304]  And that's why they're now having to frame it as some kind of organic, natural protest that is legitimate.
[02:14:47.304 --> 02:14:48.585]  It's not legitimate.
[02:14:48.585 --> 02:14:52.348]  You had the Daily Beast come out and say, oh, look at Trump.
[02:14:52.348 --> 02:14:59.534]  He's already showing himself to be anti-free press, anti-freedom of assembly, because he decried these protests.
[02:15:00.299 --> 02:15:06.763]  They're not protests when they're burning down shops, smashing windows, attacking people on the street.
[02:15:06.763 --> 02:15:08.144]  That's a riot!
[02:15:08.144 --> 02:15:10.045]  That's criminal behaviour!
[02:15:10.045 --> 02:15:12.666]  It's not a protest!
[02:15:12.666 --> 02:15:18.650]  But again, because the leftist media is wedded to these people, I mean, they incited them in the first place.
[02:15:18.650 --> 02:15:26.674]  The media is responsible for inciting these riots because of their hysterical rhetoric about Donald Trump being a fascist.
[02:15:26.674 --> 02:15:27.735]  They all believe it!
[02:15:28.476 --> 02:15:31.438]  They've all got moral, righteous indignation.
[02:15:31.438 --> 02:15:38.022]  They're all out on the streets thinking that they're actually some kind of anti-fascist revolutionary force.
[02:15:38.022 --> 02:15:43.485]  Like they're fighting against the occupation in France by the Nazis.
[02:15:43.485 --> 02:15:45.646]  And the media has done that to this people.
[02:15:45.646 --> 02:15:55.332]  In fact, let's go to that video now of the black bloc anarchist who probably is a 25 year old virgin who lives in his mom's basement and has never had a job.
[02:15:56.582 --> 02:16:01.106]  Smashing an electrical box with what looks like a baseball bat.
[02:16:01.106 --> 02:16:03.268]  Let's go to that video now, I'll talk over it.
[02:16:03.268 --> 02:16:06.731]  Again, this was last night.
[02:16:06.731 --> 02:16:08.012]  Look at him.
[02:16:08.012 --> 02:16:12.516]  Attacking an electrical box with dozens of people surrounding him.
[02:16:12.516 --> 02:16:16.299]  And then one of them sees some sense and tries to stop him.
[02:16:16.299 --> 02:16:17.520]  This woman.
[02:16:17.520 --> 02:16:19.222]  But then he starts attacking the woman.
[02:16:21.121 --> 02:16:24.344]  This is the tolerant, peaceful, loving left.
[02:16:24.344 --> 02:16:26.786]  This is from the Trump riot.
[02:16:26.786 --> 02:16:28.788]  But again, you won't see that on CNN.
[02:16:28.788 --> 02:16:37.697]  They'll call it, they'll say it was largely peaceful, as shops are being smashed in, attacking bus stations, burning American flags.
[02:16:38.257 --> 02:16:39.518]  Attacking people in the street.
[02:16:39.518 --> 02:16:43.362]  The media will say, oh there are a few disturbances but largely peaceful.
[02:16:43.362 --> 02:16:44.303]  Largely peaceful.
[02:16:44.303 --> 02:16:45.624]  Legitimate protest.
[02:16:45.624 --> 02:16:47.486]  No, not legitimate.
[02:16:47.486 --> 02:16:52.811]  They're literally protesting against the idea of free democratic elections.
[02:16:52.811 --> 02:16:54.233]  Okay?
[02:16:54.233 --> 02:16:56.335]  F off to North Korea.
[02:16:56.335 --> 02:16:58.577]  You'll really like it there.
