[00:00.000 --> 00:01.600]  We've got it, Dada.
[1:32:56.000 --> 1:33:00.000]  You can bet your life on eFoodsDirect.
[1:33:00.000 --> 1:33:12.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[1:33:12.000 --> 1:33:20.000]  iki
[1:33:20.000 --> 1:33:29.000]  Okay listen, Janice, Frank, Tim, Matt, Otter,
[1:33:29.000 --> 1:33:37.000]  In fact it will be Janice than Otter, and then Tim and others that have been holding the longest.
[1:33:37.000 --> 1:33:41.400]  next hour of our guest wants to stay with us a little bit then and take calls. He's certainly
[1:33:41.400 --> 1:33:45.720]  welcome. You know, I do a lot of radio interviews, but less than I used to because I do the nightly
[1:33:45.720 --> 1:33:50.600]  news now and I'm doing coast-to-coast AM tonight. Love doing that, but I'll be up all night. So I'll
[1:33:50.600 --> 1:33:56.200]  do as many as I used to, but I've enjoyed going on Dan Kofall's show a couple times
[1:33:57.240 --> 1:34:04.200]  up in the Dallas, Fort Worth area, 1190 AM. He's during prime time up there covering the
[1:34:04.200 --> 1:34:11.880]  economy every day when the stock market closes 4 to 6 PM. The wallstreetshuffle.com is his
[1:34:13.080 --> 1:34:17.320]  website and I was thinking about getting him on as just a guest to give his perspective on
[1:34:17.320 --> 1:34:23.560]  Ron Paul and stuff a few weeks ago and then I happen to look at his bio and he's on the committee
[1:34:25.480 --> 1:34:29.800]  of foreign relations for Dallas, Fort Worth area, which is like a spin-off subgroup of the
[1:34:29.800 --> 1:34:34.760]  council on foreign relations and I know he's developed a bunch of different data and intelligence
[1:34:34.760 --> 1:34:39.320]  systems that are actually used by the government. So I thought get this guy on because he's a
[1:34:39.320 --> 1:34:43.960]  Ron Paul supporter, at least from what I've heard on the show. He's critical of what the
[1:34:43.960 --> 1:34:50.120]  Federal Reserve's doing and he seems extremely informed and then I was reading his bio and see,
[1:34:50.120 --> 1:34:56.040]  I'm not stupid. I know that the CFR now is up to about 4,000 members and then in key cities like
[1:34:56.040 --> 1:35:01.640]  Dallas, Chicago, Illinois, New York, they will have these committees on the council of foreign
[1:35:01.640 --> 1:35:12.040]  relations that are kind of like the in baseball. They have the teams that are under them, you know,
[1:35:12.040 --> 1:35:17.240]  the farming teams that basically try to keep an eye on movers and shakers in the regional area
[1:35:17.800 --> 1:35:22.040]  and so I would guess that's what's happening here. Yes, and we'll say Angelina Jolie, she must be
[1:35:22.040 --> 1:35:27.960]  evil, she must be bad. That remains to be seen joining the council on foreign relations. Is she
[1:35:27.960 --> 1:35:32.600]  doing it to try to learn about the global elite? Is she doing it so she can try to get leverage
[1:35:32.600 --> 1:35:39.160]  and help people? I don't know. I don't know. I happen to know Brad Pitt has shown a major interest
[1:35:39.160 --> 1:35:44.920]  in fighting the New World Order privately, spoken out against it privately with some people I know
[1:35:44.920 --> 1:35:53.000]  and doesn't like it, he says. But who knows? You know, the point is that not everyone in the CFR
[1:35:53.000 --> 1:35:56.600]  is evil and corrupt. Now, if you're in the trilateral commission, you're a world government
[1:35:56.600 --> 1:36:01.800]  globalist. The CFR leadership is made up of Bilderberg, Skull and Bones, trilateral commission
[1:36:01.800 --> 1:36:07.320]  people. The CFR is the U.S. version of the Royal Institute of International Affairs
[1:36:08.040 --> 1:36:12.520]  or what the British Empire called roundtable groups where they would pull out of a country
[1:36:12.520 --> 1:36:17.480]  that they'd publicly dominated, but still have their financial interests there working through
[1:36:17.480 --> 1:36:24.120]  kind of the good old boys club. And anybody who's been in business knows it's good to get into clubs
[1:36:24.120 --> 1:36:28.440]  for your business that are powerful because of the opportunities. That's what most of, quote,
[1:36:28.440 --> 1:36:34.200]  business is these days, now more than ever. So I'm not getting off into a big distraction with Dan.
[1:36:34.200 --> 1:36:39.960]  It's just that I thought that was interesting. I thought I'd get his perspective on being part of
[1:36:39.960 --> 1:36:45.320]  the Committee on Foreign Relations, which is a regional subgroup of the Council on Foreign
[1:36:45.320 --> 1:36:50.600]  Relations, before we get into all the amazing things he's done, because he's certainly a smart
[1:36:50.600 --> 1:36:54.680]  guy and I want to get his perspective on what's happening in Europe, what's happening with the
[1:36:54.680 --> 1:36:59.000]  Federal Reserve, where he sees this country going, you know, talking to really millions of people
[1:36:59.000 --> 1:37:04.280]  every day. It's one of the top stations there in Dallas, 1190 a.m. It's known as CNN radio up there.
[1:37:04.840 --> 1:37:08.360]  Good to have you with us, Dan. Like I say, it's great to be on the show, brother. I certainly
[1:37:08.360 --> 1:37:12.600]  enjoyed seeing you in Dallas. That was a terrific organization, terrific group you put together.
[1:37:13.240 --> 1:37:18.120]  Well, it was great seeing you. What's your view of protesting the Federal Reserve instead of just
[1:37:18.120 --> 1:37:22.360]  protesting, quote, the free market system? And what did you think of the Federal Reserve
[1:37:22.360 --> 1:37:27.400]  coming out and endorsing Occupy Wall Street? Well, let me tell you something, but the one thing you
[1:37:27.400 --> 1:37:31.560]  did that was so much fun was when you panned over to a picture at the Federal Reserve said,
[1:37:31.560 --> 1:37:35.800]  this is private property. I thought that was one of the funniest, coolest things you could have
[1:37:35.800 --> 1:37:40.440]  possibly done. I'm no fan of the Federal Reserve, and I think protesting the Federal Reserve is
[1:37:40.440 --> 1:37:44.760]  legitimate. I think these folks that are in the street now protest Wall Street and Occupy this
[1:37:44.760 --> 1:37:49.720]  and Occupy that. They don't, they're idiots. They have absolutely no idea from where they come.
[1:37:49.720 --> 1:37:54.200]  Their position is interesting, but if they're not being led by anybody, they're being pushed
[1:37:54.200 --> 1:37:59.640]  from people from behind. And, you know, I think there's plenty of reason to take positions you
[1:37:59.640 --> 1:38:03.560]  do and I do, which is to object to a lot of the things the Federal Reserve does. The Treasury
[1:38:03.560 --> 1:38:08.120]  could do everything the Federal Reserve does if they wanted to. That could happen in a minute.
[1:38:08.120 --> 1:38:14.600]  So the answer question, the protesters, I think the protesters are, they're idiots. They have no
[1:38:14.600 --> 1:38:19.800]  idea what they're protesting about. If they ever did get a clue, they might actually be able to
[1:38:19.800 --> 1:38:23.640]  make a little bit of progress against the Federal Reserve. Well, why do you think we've seen so
[1:38:23.640 --> 1:38:31.320]  many high-powered globalist, top CFR people, Bernanke, Obama, Hillary, Pelosi, the list is
[1:38:31.320 --> 1:38:36.440]  legion come out and endorse Occupy Wall Street because clearly the group that's getting the
[1:38:36.440 --> 1:38:41.560]  attention out of Occupy are folks saying redistribute wealth, give me something free.
[1:38:42.680 --> 1:38:48.600]  They're not addressing the banker bailouts, crony capitalism. They're saying capitalism
[1:38:48.600 --> 1:38:54.120]  period is bad and a lot of them are being very supportive of Mao Zedong and things like that.
[1:38:54.120 --> 1:38:58.840]  And I've also noticed we got criticized because I talked to folks in Dallas that listened to you
[1:38:58.840 --> 1:39:03.160]  and they said the same thing happened there for saying the Democrats were behind this.
[1:39:03.160 --> 1:39:09.640]  Now they admit Acorn. Now they admit George Soros from day one was there trying to control Occupy
[1:39:09.640 --> 1:39:16.520]  Wall Street. Yeah, you bet. And it's the reformulated Acorn that is following these folks and helping
[1:39:16.520 --> 1:39:20.680]  promote them. Same thing. And you know, let's get right to the bottom of the barrel. You've got
[1:39:20.680 --> 1:39:26.360]  Socialists. You've got Communists. You've got the labor unions. And you've got the revised Acorn.
[1:39:26.360 --> 1:39:29.640]  And the funny thing is, Alex, if this was a real movement, there would be people out in front
[1:39:29.640 --> 1:39:32.680]  leading. There was nobody leading. There was no message. There was no coherent. There wasn't
[1:39:32.680 --> 1:39:36.440]  one person saying, come follow me, boys. I've got the right answer. It was people from behind
[1:39:36.440 --> 1:39:41.720]  pushing these doves into the street. And that's the sure sign of, I mean, Tea Party. There were
[1:39:41.720 --> 1:39:45.000]  people that walked right in front of the Tea Party said, follow me. I want to reduce government.
[1:39:45.000 --> 1:39:48.600]  I want to reduce taxes. It was clear what they were doing. These people are being pushed.
[1:39:48.600 --> 1:39:52.040]  And you asked me a minute ago what I think the reason is, I think the folks that are endorsing
[1:39:52.040 --> 1:39:56.600]  these Occupy Wall Street folks, they want insurrection. They want Americans fighting Americans. They
[1:39:56.600 --> 1:40:00.920]  want unrest in the street. They want Americans to stand up and say, please, big government,
[1:40:00.920 --> 1:40:07.800]  control this. Give me more control. Come in and take more control of the country and exercise
[1:40:07.800 --> 1:40:12.280]  your power. There's just too much unrest, too much Americans fighting Americans. It's the only thing
[1:40:12.280 --> 1:40:21.480]  that's going to let Americans say it's okay to come in and provide more military control,
[1:40:21.480 --> 1:40:26.120]  more police control, more of a police state is if Americans ask for it. If you force it on them,
[1:40:26.120 --> 1:40:31.400]  they're going to fight it. If they ask for it, they'll take it. And if we've got a bunch of people
[1:40:31.400 --> 1:40:37.240]  whose welfare checks still come in the mail, but or their card still works, it just won't buy
[1:40:37.240 --> 1:40:42.040]  what it would before because of currency devaluation and inflation, if they start rioting
[1:40:43.240 --> 1:40:48.920]  all over the country and basically have the president endorsing it, that is pure class
[1:40:48.920 --> 1:40:55.560]  warfare. And that is a form of false flag staged event. Absolutely. No doubt about that. I've
[1:40:55.560 --> 1:40:59.640]  been listening to your show for a long time. We've been on the air almost five years and we've had
[1:40:59.640 --> 1:41:03.960]  to couch our remarks. We've never said to expect rioting in the streets. We said that the U.S.
[1:41:03.960 --> 1:41:10.040]  is wargaming, urban conflict. We've said that once people don't get their welfare checks or their
[1:41:10.040 --> 1:41:14.120]  food stamps or their transfer payments or whatever, people will go out into the street to protest.
[1:41:14.120 --> 1:41:17.880]  What we've really been trying to say without using the words is that you are going to see
[1:41:17.880 --> 1:41:22.840]  insurrection in the street and you're seeing it now. And I think the left demands that and
[1:41:22.840 --> 1:41:27.800]  has to have that to add to their legitimacy. If things are not tumultuous and America's not
[1:41:27.800 --> 1:41:33.160]  fighting America, then how do you declare martial law? Exactly. Instead of identifying
[1:41:33.160 --> 1:41:37.880]  the big mega banks that have gotten tens of trillions of dollars, MSNBC that got part of
[1:41:37.880 --> 1:41:42.200]  the bailout money, my tax money, your tax money, we have higher taxes in this country,
[1:41:42.200 --> 1:41:47.240]  if you had them all together than we've ever had. And it's killing the country and these poor fools
[1:41:47.240 --> 1:41:51.320]  don't know why they can't get a job when they got out of college. A, it's a bubble. It costs too
[1:41:51.320 --> 1:41:59.320]  much. B, they didn't take the right course load. And then, of course, C, globalism and having
[1:41:59.320 --> 1:42:05.640]  regulations here that shut down our industry and tax incentives to move offshore. That's why
[1:42:05.640 --> 1:42:09.880]  they're not getting a job. What's your take on that? You couldn't be more right. I have the
[1:42:09.880 --> 1:42:15.160]  pleasure of sitting on an advisory board at the University of North Texas and these guys get it
[1:42:15.160 --> 1:42:19.960]  up here. They get the fact that education has, the reason you're having such increases in education
[1:42:19.960 --> 1:42:23.320]  costs is because you've got the federal government involved. You've got subsidies. You've got,
[1:42:23.320 --> 1:42:27.880]  it's the next huge bubble to hit because the reason that you had the problem in real estate,
[1:42:27.880 --> 1:42:32.040]  because the government was forcing people, forcing banks to make loans they didn't want to make to
[1:42:32.040 --> 1:42:35.880]  people that didn't deserve them. Now you've got students that say, oh, I can borrow $100,000.
[1:42:35.880 --> 1:42:40.360]  I can borrow $50,000. I can borrow $200,000. They owe the money back. They can't get rid of it in
[1:42:40.360 --> 1:42:45.080]  bankruptcy. And so you're seeing the next bubble that's forming right now and that's what's driving
[1:42:45.080 --> 1:42:50.840]  the cost of education and make matters worse. Universities, not good universities, but universities
[1:42:50.840 --> 1:42:57.720]  have had to create titles and curriculum and something in order to justify bringing these kids
[1:42:57.720 --> 1:43:02.040]  on board and running all these kids through a program that offers them no future. So I think
[1:43:02.040 --> 1:43:05.720]  you're right on the money. And I think that education is the next bubble that's about to,
[1:43:05.720 --> 1:43:10.040]  that will burst, especially now that you've got Obama saying, we don't really have to pay it all
[1:43:10.040 --> 1:43:14.120]  back. You know, just pay us for 20 years and at the end of 20 years, if you haven't paid us back,
[1:43:14.120 --> 1:43:17.560]  oh, that's okay. We'll write it off. We can't write that stuff off. It's owed
[1:43:17.560 --> 1:43:20.840]  to the people, the citizens of America or to the banks that made the loan.
[1:43:20.840 --> 1:43:26.840]  And by the way, every time we talk about this, people mischaracterize what we're saying,
[1:43:26.840 --> 1:43:31.720]  oh, you're against education. No, if it's the right degree for the right specialty area and you
[1:43:31.720 --> 1:43:36.040]  really want to go get that degree and you have what it takes to be an engineer or to be a rocket
[1:43:36.040 --> 1:43:43.080]  scientist or to be a doctor or to be a dentist or to be a physicist or whatever the case is,
[1:43:43.080 --> 1:43:47.080]  then you're going to do well, you need that degree. But just all these millions of people that have
[1:43:47.080 --> 1:43:52.200]  got degrees in English or French or whatever. And I'm not saying that's a bad thing. It's just
[1:43:52.200 --> 1:43:58.200]  you're going to pay $150,000 for an English degree so you can go get $35,000 a year as an English
[1:43:58.200 --> 1:44:03.320]  teacher. Well, you know, Alex, it's that and it's even worse. Some of these, what used to be considered
[1:44:03.320 --> 1:44:08.600]  trade schools, people are paying huge education dollars to be qualified for a job that they
[1:44:08.600 --> 1:44:13.160]  could have been qualified for anyway, just by joining the company. You're paying $30,000,
[1:44:13.160 --> 1:44:18.120]  $40,000 to learn a trade and you're not relating that value to what you're going to earn back.
[1:44:18.120 --> 1:44:22.440]  And you're not relating to that you could have gotten the job anyway and learned on the job. So
[1:44:22.440 --> 1:44:28.520]  lots of these trade school-ish universities, these private education companies are really,
[1:44:28.520 --> 1:44:33.080]  really going to start to suffer here pretty soon. And by the way, nobody tells these college kids
[1:44:33.080 --> 1:44:37.000]  what their, what job is really going to get them a job when they get out of college. I mean,
[1:44:37.000 --> 1:44:41.640]  people all know that, you know, there was a lack of nurses. So, you know, that's been an area that
[1:44:41.640 --> 1:44:45.880]  needed to be filled, but soon that'll be a bubble. But no one tells them all these guys that have
[1:44:45.880 --> 1:44:51.480]  electrical engineering degrees, they've been replaced with folks in India, China, you name it.
[1:44:51.480 --> 1:44:57.080]  But people that went to just normal computer programming school, if they had skills, if
[1:44:57.080 --> 1:45:03.320]  they're hardworking, they're the people now making $100, $200,000 a year on a trade school degree,
[1:45:03.320 --> 1:45:08.040]  because all the corporations care and all the government cares and businesses care is that
[1:45:08.040 --> 1:45:13.080]  you get the job done. Yep, that's exactly right. Exactly right. And you're seeing a trillion dollars
[1:45:13.080 --> 1:45:17.480]  worth of student loan debt floating around out there. That may not be the six or seven or eight
[1:45:17.480 --> 1:45:21.880]  trillion dollars worth of mortgages that were that were out in the marketplace, insured by the
[1:45:21.880 --> 1:45:28.840]  federal government, but that's still a big number. Now, now I want to get into Ron Paul with you.
[1:45:28.840 --> 1:45:35.800]  I mean, obviously, I'm happy to see Herman Cain criticize for issues like wanting to bring in
[1:45:35.800 --> 1:45:42.440]  a whole new taxing system on top of the income tax. But this Gloria Allred thing, all these attacks
[1:45:42.440 --> 1:45:47.560]  on him, it does stink of a Democratic Party operation. I mean, look at Bill Clinton,
[1:45:47.560 --> 1:45:53.560]  who paid women off, who alleged that he raped them. And the feminists all thought that was great.
[1:45:53.560 --> 1:45:57.720]  But now this Herman Cain thing more and more does look like some type of high tech lynching.
[1:45:57.720 --> 1:46:04.200]  And I want Ron Paul to climb over him, but not so much if it's over his political,
[1:46:04.200 --> 1:46:08.680]  you know, dead body. What's your view on that? Yeah, I'm not necessarily a Herman Cain either
[1:46:08.680 --> 1:46:15.240]  a supporter or a detractor, but I do think this is a manufactured situation. And nobody,
[1:46:15.240 --> 1:46:19.720]  no better proof of this than Gloria Allred showing up with this third or fourth or however many
[1:46:19.720 --> 1:46:24.280]  unnamed women so far. And, you know, I have to say, Alex, and I hope this may not be
[1:46:24.280 --> 1:46:29.480]  most politically correct thing to say, but this is 20 years ago. And the very idea that somebody
[1:46:29.480 --> 1:46:35.240]  could be offended by a hand gesture, or by a simple word or something like that, I, you know,
[1:46:35.240 --> 1:46:39.800]  guys have been putting up with this for a long darn time. Somebody needs to just say,
[1:46:39.800 --> 1:46:44.120]  we need to quit being a nation full of wimps. If somebody offends you, tell them they offends you
[1:46:44.120 --> 1:46:47.880]  and turn around and walk away. If somebody affects your career, that's an entirely different
[1:46:47.880 --> 1:46:54.120]  situation. Nobody here is accusing Herman Cain of affecting anybody's career or lording over
[1:46:54.120 --> 1:46:59.320]  them or doing anything sexually inappropriate. It's gestures and innuendos. And it was 20 years
[1:46:59.320 --> 1:47:02.680]  ago, but they need to get over this. Well, they should have gone public earlier. You know, my
[1:47:02.680 --> 1:47:08.840]  issue is, if somebody says have sex with me or I'm not going to give you this, this promotion,
[1:47:08.840 --> 1:47:14.280]  that's trying to force them basically into prostitution. And that, you know, that is criminal,
[1:47:14.280 --> 1:47:24.200]  that's extortion. But this whole thing of women dressing like, you know, very, you know, sexual
[1:47:24.200 --> 1:47:30.520]  creatures, and then somebody makes a comment or they distort the comment and they leap on it,
[1:47:30.520 --> 1:47:36.360]  like, oh, they've got some little special goodie to use leverage over you now. I want to tell women
[1:47:36.360 --> 1:47:41.640]  something. All this is done in a lot of businesses and operations is cause people to not hire attractive
[1:47:41.640 --> 1:47:47.960]  women. And that's right. And also, hire part-time people so you're not exposed to that. And I know
[1:47:47.960 --> 1:47:51.800]  this is an incredibly politically insensitive conversation we're having, but, you know, you
[1:47:51.800 --> 1:47:56.520]  want to say enough is enough. If there are real damages, then sue. Sue and be compensated, that's
[1:47:56.520 --> 1:48:01.080]  what our legal system is for, because your sensibilities were slightly offended, because
[1:48:01.080 --> 1:48:04.920]  you're going to all of a sudden translate that into being a hostile workplace because
[1:48:04.920 --> 1:48:11.000]  some one person makes an inappropriate comment. Go have a discussion with human resources,
[1:48:11.000 --> 1:48:15.160]  have the issue, maybe you should go away, get an apology and move on. Somebody does it again,
[1:48:15.160 --> 1:48:19.480]  then litigate if you want to, but we need to quit being those, looking for the next
[1:48:19.480 --> 1:48:24.040]  attorney to handle our million-dollar case because somebody... Well, look, billboards in America.
[1:48:24.040 --> 1:48:30.520]  All I see now is government billboards bossing us around, like 1984, and lawyer billboards.
[1:48:30.520 --> 1:48:34.920]  And I'm not saying they're in a need for lawyers sometime, but come on. America now is known for
[1:48:34.920 --> 1:48:41.000]  lawyer billboards everywhere for this or that, and that's another reason our society's collapsing.
[1:48:41.000 --> 1:48:47.000]  No doubt about it. We are honest to goodness. We used to resolve our issues face-to-face
[1:48:47.000 --> 1:48:52.680]  and move on with it. Now we look at every potential event in our life as can I sue? Oh,
[1:48:52.680 --> 1:48:58.360]  I got hit from behind in my car. Can I sue for my neck or my back? Oh, somebody said a bad word
[1:48:58.360 --> 1:49:04.600]  in the office. Can I sue for a hostile work environment? Good heavens. It's beyond ridiculous.
[1:49:04.600 --> 1:49:10.440]  And I gotta tell you, we always used to joke about it being 1984, Alex. If it doesn't feel like 1984,
[1:49:10.440 --> 1:49:16.840]  each and every day, I'll be a monkey's uncle. Every day, it gets worse and worse and worse.
[1:49:16.840 --> 1:49:26.840]  Every day. You know how to make a bumper sticker? Does it feel like 1984 yet? Or is 1984 over yet?
[1:49:26.840 --> 1:49:31.480]  Wait, let me... I'll give you a really good example. I'm a little bit off of our topic for a minute,
[1:49:31.480 --> 1:49:36.200]  but I think you'll enjoy this. My business partner is a huge soccer fan. He was traveling
[1:49:36.200 --> 1:49:42.040]  from the Northwest into Canada for a professional soccer event. He took the train and, you know,
[1:49:42.040 --> 1:49:46.600]  as you're leaving the country, you get searched and normal stuff here in Canada. You get searched.
[1:49:46.600 --> 1:49:50.040]  Here's where... I don't know if you've heard this or not, Alex. This is right up your alley.
[1:49:50.040 --> 1:49:54.280]  When my partner was coming back into the country, they were on the train. The train was about 30
[1:49:54.280 --> 1:50:00.840]  miles outside of the United States border and they had three and what my partner thought would have
[1:50:00.840 --> 1:50:07.400]  been border patrol guards, ice agents, whatever. They were dressed in black, pants tucked into their
[1:50:07.400 --> 1:50:12.440]  boots. They completely said, stay in your seats. You have to turn off every device that you've got.
[1:50:12.440 --> 1:50:16.520]  You've got a faceboard, have your passport up, hold your passport up. You cannot leave your
[1:50:16.520 --> 1:50:20.520]  seat. You cannot travel from car to car. You cannot use the rest. They locked the restrooms,
[1:50:20.520 --> 1:50:25.000]  locked the doors going from car to car and they would go... The three of them would walk up and
[1:50:25.000 --> 1:50:29.880]  down the aisle and say, if BNF need be, we'll bring in dogs. We'll bring in this. They were armed and
[1:50:29.880 --> 1:50:34.440]  they weren't... You couldn't take any pictures. You couldn't record the event. Now, my partner is one
[1:50:34.440 --> 1:50:41.160]  of the most mild men in the entire world and he was so fed that he grew up as an army brat in
[1:50:41.160 --> 1:50:45.160]  Germany and when this happened, he said it's so reminding him of having to travel through
[1:50:45.160 --> 1:50:49.560]  East Germany. This is what our country's beginning to... is coming to. Oh, they now have Viper teams,
[1:50:49.560 --> 1:50:55.240]  TSA all over the country doing this and they actually board your car, board your bus in Tennessee.
[1:50:55.240 --> 1:51:00.040]  You name it and literally the groping starts right there. It's like, get your daughter out. We're gonna
[1:51:00.040 --> 1:51:05.560]  have fun right now. Do you know which 37 crucial food items are going to fly off the shelves when
[1:51:05.560 --> 1:51:10.520]  the next disaster hits? If you don't, you and your family may be without food and waiting in
[1:51:10.520 --> 1:51:15.640]  long food lines after a big disaster strikes. You would be surprised how many people don't have
[1:51:15.640 --> 1:51:22.200]  these food items right now. 123survivalplan.com has set up a for Patriots only video with
[1:51:22.200 --> 1:51:27.800]  inside information on the 37 food items that will sell out first when the next disaster strikes.
[1:51:27.800 --> 1:51:34.040]  The video on 123survivalplan.com has crucial information you and your family need to prepare
[1:51:34.040 --> 1:51:40.120]  for any disaster natural or manmade and you won't have to be afraid of going hungry or being sent
[1:51:40.120 --> 1:51:45.960]  to a FEMA refugee camp. See the video that over 1 million other smart patriots have already seen
[1:51:45.960 --> 1:51:53.160]  in the last four months, prepared now. Go to 123survivalplan.com and learn which 37 food items
[1:51:53.160 --> 1:52:01.000]  you should hoard. Easy to remember 123survivalplan.com. Again, that's 123survivalplan.com.
[1:52:02.040 --> 1:52:07.800]  Hi, this is Alex Jones. This holiday season, more than half of our nation, is in need of help due
[1:52:07.800 --> 1:52:13.160]  to the shattered economy. So now is the time to express the holiday spirit more than ever.
[1:52:13.160 --> 1:52:18.200]  Consider helping those you love with the most important gift, a supply of delicious, easy to
[1:52:18.200 --> 1:52:24.680]  fix and very storable foods from eFoodsDirect.com. Their holiday gift and family pack started $99
[1:52:25.320 --> 1:52:31.080]  or a 16-day supply. All their five-week supply of quick and easy to fix meals includes a personal
[1:52:31.080 --> 1:52:36.680]  backpack in case of a grab-and-go emergency. Order their Combo gift pack and you'll save hundreds
[1:52:36.680 --> 1:52:44.120]  plus get free shipping on your entire order. Call eFoods today at 800-409-5633 or visit them
[1:52:44.120 --> 1:52:51.320]  online at eFoodsDirect.com forward slash Alex to find the special. That's 800-409-5633
[1:52:51.320 --> 1:52:56.520]  or eFoodsDirect.com forward slash Alex. You can bet your life on eFoodsDirect.
[1:52:56.520 --> 1:53:06.680]  Smokers, are you still smoking traditional cigarettes? Are you still smelling up your clothes
[1:53:06.680 --> 1:53:12.920]  and car interior, staining your teeth and getting ashes everywhere? Why? When you could be smoking
[1:53:12.920 --> 1:53:19.560]  or vaping with e-cigarettes by LeSig, with LeSig e-cigarettes revolutionary micro-electronic
[1:53:19.560 --> 1:53:23.960]  technology, rechargeable battery and unique replacement cartridges, you'll get all the
[1:53:23.960 --> 1:53:29.960]  satisfaction of smoking but no smoking hazards. Choose from a wide variety of our new American
[1:53:29.960 --> 1:53:40.200]  made Vapriate e-liquid flavors at LeSig.com, spelled L-E-C-I-G.com or call 870-518-4307.
[1:53:40.200 --> 1:53:47.560]  That's 870-518-4307 LeSig e-cigarettes for today's modern smoker. Warning,
[1:53:47.560 --> 1:53:52.200]  e-cigs may contain nicotine, an addictive substance known to the state of California
[1:53:52.200 --> 1:53:57.480]  to cause birth defects or cancer. Please be aware of the risks associated with e-cigs prior to use.
[1:53:57.480 --> 1:53:59.960]  You must be 18 years or older to purchase.
[1:54:13.080 --> 1:54:18.440]  Okay, I want to go back to our guest and he's talking about his business partner in their
[1:54:18.440 --> 1:54:23.080]  company who is a Council on Farm Relations member. So this is the establishment guys that the system
[1:54:23.080 --> 1:54:28.840]  sees as important enough to be part of this organization and he's coming back into the U.S.
[1:54:29.640 --> 1:54:33.880]  Again, just like East Germany, they come on, they say look forward, get your passports out,
[1:54:33.880 --> 1:54:38.120]  anybody gives us trouble, we'll take off and lose you for a couple hours, we'll basically note
[1:54:38.120 --> 1:54:43.080]  something on your passport and the only thing they didn't do like East Germany was I guess close the
[1:54:43.080 --> 1:54:51.720]  lampshades, but if you type into Google Viper Teams at bus stations or Viper Highway Checkpoint,
[1:54:51.720 --> 1:54:57.560]  this is what it is now and it's all about training you. And earlier, Jaren found articles where
[1:54:57.560 --> 1:55:03.400]  they're now going in people's houses without warrants, police departments. So this is the
[1:55:03.400 --> 1:55:10.040]  process of fully destroying the Bill of Rights and Constitution and you can fast forward to about
[1:55:10.040 --> 1:55:14.760]  a minute five into that video, you'll see TSA agents commanding the whole thing, which is also
[1:55:14.760 --> 1:55:18.360]  a federal takeover of local police. We're going to go into the next hour with our guest,
[1:55:18.360 --> 1:55:21.720]  but we'll also open the phones up for all you that are patiently holding. I want to get to you,
[1:55:21.720 --> 1:55:25.880]  so thank you for joining us. Going back to Dan Kofal, Dan, finish your story, start from the
[1:55:26.520 --> 1:55:31.560]  beginning. He's going up to watch his favorite sports team. He's coming back, he left the
[1:55:31.560 --> 1:55:36.200]  countries, come back in and now they come on and they talk to you like you're a prisoner.
[1:55:36.200 --> 1:55:40.920]  Please continue. Yeah, they, in fact, my partner is one of the most mild-mannered people you'd
[1:55:40.920 --> 1:55:46.440]  ever want to know. He is the sportsman coming back from Canada and they boarded the train or
[1:55:46.440 --> 1:55:49.960]  either that or they were on the train. I believe they boarded the train about three miles to the
[1:55:49.960 --> 1:55:54.520]  north of the US border. They got on board, locked all the train car doors, so you must stay in your
[1:55:54.520 --> 1:55:58.600]  seat. They locked all the bathroom doors. You can't travel from car to car. You can't get
[1:55:58.600 --> 1:56:02.440]  up out of your seat. All electronic equipment must be turned off. No pictures, no recordings. You
[1:56:02.440 --> 1:56:07.560]  can't prove that these events, that these events happen. Have your passport out, sit down, face
[1:56:07.560 --> 1:56:14.200]  straightforward, hold your passport up to us as we come by. And as I said, my partner was an army
[1:56:14.200 --> 1:56:22.520]  brat. He grew up in Europe, right in the folder in Germany and he had to travel across, for example,
[1:56:22.520 --> 1:56:26.760]  East Germany. He said it reminded him so much of that. The only thing that was different was that
[1:56:26.760 --> 1:56:31.320]  you didn't, they didn't make you pull your window shades down. He said there's a guy sitting in
[1:56:31.320 --> 1:56:35.480]  front and then three guys board the train. Dark blue outfits, pants tucked into their boots, very
[1:56:35.480 --> 1:56:40.600]  intimidating. I mean, it's obviously you and your audience know that you do that for a reason.
[1:56:40.600 --> 1:56:44.120]  You're sending a message to people. Three guys get on board. They say if we need to, we'll bring
[1:56:44.120 --> 1:56:50.440]  on the canines with us. We want to verify who you are. Nobody leave their seat. And they proceeded,
[1:56:50.440 --> 1:56:54.040]  check everybody's ID. The guy sitting right in front of my partner had his passport upside down
[1:56:54.040 --> 1:56:58.360]  by mistake. And they made an example out of him. They said, sir, fix this. We can remove you from
[1:56:58.360 --> 1:57:01.800]  the train. You know, we can, we'll speak to anybody that wants to cause us a problem. We'll take
[1:57:01.800 --> 1:57:06.360]  them off the train to Tainan for questioning. This is just routine. And my partner was absolutely
[1:57:06.360 --> 1:57:11.800]  aghast at that because all this is really doing is, is desensitizing Americans to being, to being
[1:57:11.800 --> 1:57:16.520]  treated like this. And it has nothing to do with security per se. It has to do with intimidation.
[1:57:16.520 --> 1:57:24.040]  No, no, that's a viper guy. And again, they tell them intimidate people on purpose, be rude on
[1:57:24.040 --> 1:57:30.600]  purpose, break their will. Meanwhile, the government's on record in the Sinaloa drug cartel,
