[00:00.000 --> 00:29.000]  Ladies and gentlemen, we are live on this Friday, November 27th, 2020.
[2:03:25.000 --> 2:03:33.000]  Robert Heberle is an Obama, Obama guy. That's a trap.
[2:03:33.000 --> 2:03:47.000]  Twitter, Facebook, YouTube censoring any and all information they can about this election theft. That's a trap. That's us versus the entire corrupt corporate system.
[2:03:47.000 --> 2:03:52.000]  Is this case going to the Supreme Court another trap?
[2:03:52.000 --> 2:04:00.000]  It's not that hard to measure nine Supreme Court justices, half of them in your pocket.
[2:04:00.000 --> 2:04:06.000]  It's not that hard to measure how that's the next trap.
[2:04:06.000 --> 2:04:13.000]  And of course, the president now says, we're like a third world country.
[2:04:13.000 --> 2:04:27.000]  And the election results that the mainstream media we're reporting on are rigged, rigged.
[2:04:27.000 --> 2:04:35.000]  Will the electoral college certify a rigged election? If so, it's game over, folks.
[2:04:35.000 --> 2:04:40.000]  It's game over. You don't even get to vote for your president anymore.
[2:04:40.000 --> 2:04:49.000]  You think there's going to be anything stopping them from force inoculating you?
[2:04:49.000 --> 2:04:57.000]  They're coming for everything, folks. That's the age we're in. And the ultimate question for me.
[2:04:57.000 --> 2:05:06.000]  What's really in the cosmos? Do we defeat this now before we really get into the spider's web?
[2:05:06.000 --> 2:05:11.000]  Right now we may have a leg tangled in it. We could pry it out. Maybe we're just buzzing around it.
[2:05:11.000 --> 2:05:19.000]  But if they certify the fake election results for Biden, then they're coming with the forced vaccines and you're in the spider's web.
[2:05:19.000 --> 2:05:26.000]  Spider's coming up for you, fangs out, and it's going to suck out your essence.
[2:05:26.000 --> 2:05:37.000]  And then claim you, watermark you as property of Bill Gates and Microsoft or whoever else is in charge.
[2:05:37.000 --> 2:05:42.000]  Jeff Bezos from Amazon. But you see how it works. Bring in the fake pandemic.
[2:05:42.000 --> 2:05:50.000]  Shut down any small business that's not operating inside the global corporate structure because that's what's happened.
[2:05:50.000 --> 2:05:55.000]  And that's why it has to continue. So any small business, and that's why it's mostly bars, restaurants.
[2:05:55.000 --> 2:06:13.000]  These are private ownerships, a taco stand, a mom and pop shop for repairing shoes or plumbing or, you know, all small business that's independently owned and operated outside of the global corporate structure
[2:06:13.000 --> 2:06:18.000]  must be out of business because that gives you the opportunity of freedom of choice.
[2:06:18.000 --> 2:06:30.000]  Once all that's eliminated with the fake pandemic, everything that's owned by, you know, the 1%, whatever you want to call it, like six companies own 99% of media, not here,
[2:06:30.000 --> 2:06:35.000]  they'll immediately be all on board for the vaccine being forced.
[2:06:35.000 --> 2:06:41.000]  You look at the big corporate gyms, you look at the big corporate restaurants, you look at the big corporate airlines, all of it.
[2:06:41.000 --> 2:06:46.000]  They're all ready to start force vaccinating because they're all owned by the same people.
[2:06:46.000 --> 2:06:55.000]  So the independently owned restaurants that won't do that, the independently owned gyms that won't do that, the independently owned anything in the free market that won't force vaccinate you,
[2:06:55.000 --> 2:07:02.000]  must be out of business or must be so relegated to nothing that they have no impact and you have no choice.
[2:07:02.000 --> 2:07:11.000]  So they'll say, well, and you'll see people like Tim Cuck, or Tim Pool, who will say, well, no, you know,
[2:07:11.000 --> 2:07:18.000]  it's not going to be a forced vaccination, but you'll just have to get one to shop or fly or travel.
[2:07:18.000 --> 2:07:24.000]  Oh, it's not a forced vaccination, just the corporate world government that owns you will make you take one to live.
[2:07:24.000 --> 2:07:29.000]  It's not a forced vaccination, it's not the government doing it, it's just a corporate government.
[2:07:29.000 --> 2:07:31.000]  See, that's a free choice.
[2:07:31.000 --> 2:07:36.000]  That's free market, even though it's the corporate government that wiped out the small guy.
[2:07:36.000 --> 2:07:42.000]  It's amazing, all these all these leftist liberals are centrists who just love playing along to get along.
[2:07:42.000 --> 2:07:44.000]  Oh, I'm going to fight the big guy.
[2:07:44.000 --> 2:07:45.000]  I'm here to fight the establishment.
[2:07:45.000 --> 2:07:46.000]  I'm a freedom fighter.
[2:07:46.000 --> 2:07:47.000]  Yeah, man.
[2:07:47.000 --> 2:07:56.000]  And then as soon as the corporate government rolls out its plan, as soon as daddy threatens to chop their balls off on YouTube,
[2:07:56.000 --> 2:07:58.000]  they cock harder than anything you've ever seen.
[2:07:58.000 --> 2:08:00.000]  Oh, it's not the government.
[2:08:00.000 --> 2:08:03.000]  I'm against the big corporate fascist government.
[2:08:03.000 --> 2:08:05.000]  I'm against corporate, I'm against corporations.
[2:08:05.000 --> 2:08:06.000]  I'm a centrist.
[2:08:06.000 --> 2:08:07.000]  I'm a leftist.
[2:08:07.000 --> 2:08:09.000]  I'm against corporate world.
[2:08:09.000 --> 2:08:11.000]  I'm for human freedom.
[2:08:11.000 --> 2:08:13.000]  Hey, they're going to force inoculate you.
[2:08:13.000 --> 2:08:15.000]  Yeah, but it's not the government.
[2:08:15.000 --> 2:08:18.000]  It's the corporate world, so it's not violating your rights.
[2:08:18.000 --> 2:08:20.000]  The corporate world can do that.
[2:08:20.000 --> 2:08:23.000]  Can I stay on YouTube now, daddy?
[2:08:23.000 --> 2:08:25.000]  It's the corporate government.
[2:08:25.000 --> 2:08:28.000]  So they say the same thing about social media.
[2:08:28.000 --> 2:08:30.000]  Well, social media, I'm for free speech.
[2:08:30.000 --> 2:08:32.000]  I'm a liberal.
[2:08:32.000 --> 2:08:34.000]  I'm a centrist.
[2:08:34.000 --> 2:08:35.000]  I'm a truth teller.
[2:08:35.000 --> 2:08:36.000]  I'm for free speech.
[2:08:36.000 --> 2:08:40.000]  Free speech is free speech, and it should not be debated.
[2:08:40.000 --> 2:08:42.000]  Twitter, Facebook, YouTube censoring everybody.
[2:08:42.000 --> 2:08:44.000]  Well, that's their free speech.
[2:08:44.000 --> 2:08:45.000]  They can censor you.
[2:08:45.000 --> 2:08:47.000]  You don't get free speech on those platforms.
[2:08:47.000 --> 2:08:49.000]  I'm a good centrist liberal.
[2:08:49.000 --> 2:08:51.000]  I'm a good centrist liberal, and I'm for free speech.
[2:08:51.000 --> 2:08:55.000]  But if they want to censor you, then you don't get free speech.
[2:08:55.000 --> 2:08:56.000]  I'm for choice.
[2:08:56.000 --> 2:08:57.000]  I'm a libertarian.
[2:08:57.000 --> 2:08:59.000]  They're not going to force vaccinate you.
[2:08:59.000 --> 2:09:00.000]  They can't do that.
[2:09:00.000 --> 2:09:01.000]  That's illegal.
[2:09:01.000 --> 2:09:05.000]  The corporate world says it's going to force vaccinate you for you to shop or travel.
[2:09:05.000 --> 2:09:06.000]  But that's OK.
[2:09:06.000 --> 2:09:07.000]  The corporate world can do that.
[2:09:07.000 --> 2:09:08.000]  That's OK.
[2:09:08.000 --> 2:09:09.000]  That's freedom.
[2:09:09.000 --> 2:09:10.000]  That's their freedom of choice.
[2:09:10.000 --> 2:09:11.000]  You see that?
[2:09:11.000 --> 2:09:12.000]  You see how that works?
[2:09:12.000 --> 2:09:13.000]  Yeah.
[2:09:13.000 --> 2:09:18.000]  We don't play those games here, OK?
[2:09:18.000 --> 2:09:21.000]  We don't cuck to the corporate world government here, OK?
[2:09:21.000 --> 2:09:24.000]  In fact, we give it one of these right there.
[2:09:24.000 --> 2:09:27.000]  Double and down, the double-barreled middle finger.
[2:09:27.000 --> 2:09:32.000]  Jones coming up in the next segment with the latest breaking news.
[2:09:32.000 --> 2:09:34.000]  Do not go anywhere to the Alex Jones show.
[2:09:34.000 --> 2:10:03.000]  Brought to you by InfoWorldStore.com.
[2:10:04.000 --> 2:10:06.000]  We're talking about all the dark matter.
[2:10:06.000 --> 2:10:11.000]  We're talking about all the things you don't understand, but we know it's there.
[2:10:11.000 --> 2:10:16.000]  And just like you can have a bunch of robots working off a wireless system, that's what's
[2:10:16.000 --> 2:10:20.000]  going on with this satanic transmission that's working through people.
[2:10:20.000 --> 2:10:26.000]  And that's how this entity behind it all is able to direct it because it is a consciousness
[2:10:26.000 --> 2:10:28.000]  manipulated in the brain.
[2:10:28.000 --> 2:10:35.000]  Ladies and gentlemen, I hope we can stop the great reset.
[2:10:35.000 --> 2:10:40.000]  That means a globalist-imposed worldwide depression to break us and bring us under their control.
[2:10:40.000 --> 2:10:41.000]  That's the state-admitted plan.
[2:10:41.000 --> 2:10:46.000]  Justin Trudeau's on record, Klaus Schwab, all the different Democrat mayors, they admit
[2:10:46.000 --> 2:10:50.000]  it's clowered in heaven, implode the economy to make us go under their control.
[2:10:50.000 --> 2:10:55.000]  But if we expose that they're the ones doing it, they go to prison and stay in prison.
[2:10:55.000 --> 2:10:58.000]  Instead of getting total power and total control.
[2:10:58.000 --> 2:11:01.000]  And there are major uprisings happening across the world.
[2:11:01.000 --> 2:11:04.000]  You're in the U.S., thousands of sheriffs are saying hell no to the lockdowns.
[2:11:04.000 --> 2:11:06.000]  People are finally starting to fight back.
[2:11:06.000 --> 2:11:08.000]  But regardless, you need to get prepared.
[2:11:08.000 --> 2:11:11.000]  We have high-quality, swarble food, last 25 years.
[2:11:11.000 --> 2:11:15.000]  Highest quality, lowest prices, great containers, ready to ship.
[2:11:15.000 --> 2:11:19.000]  But when people figure this out in a few months, I think there'll be long lines again to get
[2:11:19.000 --> 2:11:22.000]  swarble food after the lockdown has been going for a few months.
[2:11:22.000 --> 2:11:25.000]  So get your orders in today at PrepareWithAlex.com.
[2:11:25.000 --> 2:11:28.000]  You get an additional 10% off and they're ready to ship.
[2:11:28.000 --> 2:11:31.000]  The sale ends next Wednesday, or I guess that's December 2nd.
[2:11:31.000 --> 2:11:58.000]  So get your orders in now at PrepareWithAlex.com.
[2:11:58.000 --> 2:12:02.000]  Resistance to tyrants is obedience to God.
[2:12:02.000 --> 2:12:07.000]  It's Alex Jones.
[2:12:07.000 --> 2:12:09.000]  President Trump finally gets it.
[2:12:09.000 --> 2:12:14.000]  He's finally come out and said Big Tech is working with foreign countries to election
[2:12:14.000 --> 2:12:16.000]  metal and to steal this election.
[2:12:16.000 --> 2:12:22.000]  Once Trump allowed his supporters to be cut off so they couldn't amplify the truth,
[2:12:22.000 --> 2:12:26.000]  so they couldn't report on stories, then mainstream corporate media could then finally
[2:12:26.000 --> 2:12:31.000]  silence Trump during the period of time we're in right now, the orchestrated,
[2:12:31.000 --> 2:12:33.000]  engineered election fraud.
[2:12:33.000 --> 2:12:37.000]  President Trump came out on Thanksgiving Day, answered questions from the press,
[2:12:37.000 --> 2:12:41.000]  and almost nowhere did they actually carry it.
[2:12:41.000 --> 2:12:43.000]  Strangely enough CNN carried an edited clip.
[2:12:43.000 --> 2:12:46.000]  We found the full video and the full transcript.
[2:12:46.000 --> 2:12:48.000]  They're posted to infowars.com.
[2:12:48.000 --> 2:12:50.000]  But this is truly criminal.
[2:12:50.000 --> 2:12:51.000]  What's going on?
[2:12:51.000 --> 2:12:52.000]  They ask, will you concede?
[2:12:52.000 --> 2:12:57.000]  He says, well, I shouldn't concede because the electoral college should see the fraud
[2:12:57.000 --> 2:13:01.000]  that's coming out and block it on every channel, ABC, CBS, NBC.
[2:13:01.000 --> 2:13:02.000]  They would not show what Trump said.
[2:13:02.000 --> 2:13:05.000]  They would just say, quote, Trump says he may concede,
[2:13:05.000 --> 2:13:08.000]  but then they wouldn't show what he actually said.
[2:13:08.000 --> 2:13:10.000]  So this is a next level of deception.
[2:13:10.000 --> 2:13:14.000]  And they go on to repeat the lie that not one shred of evidence has been shown.
[2:13:14.000 --> 2:13:19.000]  No, thousands of dead people in Detroit, thousands of dead people in Philadelphia,
[2:13:19.000 --> 2:13:24.000]  thousands of dead people voting in Atlanta, all the videos of the election officials
[2:13:24.000 --> 2:13:29.000]  sitting there filling out dozens of ballots and looking over their shoulders on camera.
[2:13:29.000 --> 2:13:33.000]  The fact that Venezuela came out with a smart medic in the Dominion systems
[2:13:33.000 --> 2:13:37.000]  and the fact that the algorithm has found massive vote flipping.
[2:13:37.000 --> 2:13:40.000]  And all the eyewitnesses of how poll watchers were thrown out
[2:13:40.000 --> 2:13:44.000]  and how the Democrats were 15, 20 to 1, all of that is a fact.
[2:13:44.000 --> 2:13:48.000]  It's a fact that Trump was winning by double or triple the numbers he was four years ago.
[2:13:48.000 --> 2:13:52.000]  In those key battleground states, he won Florida bigger than he did.
[2:13:52.000 --> 2:13:56.000]  And many other states, Texas, he got 11 million more votes than he got last time.
[2:13:56.000 --> 2:14:00.000]  Does anyone believe that Joe Biden really got more than Barack Obama did?
[2:14:00.000 --> 2:14:01.000]  Millions and millions of votes.
[2:14:01.000 --> 2:14:02.000]  This is ridiculous.
[2:14:02.000 --> 2:14:03.000]  We see it.
[2:14:03.000 --> 2:14:04.000]  We know what it is.
[2:14:04.000 --> 2:14:06.000]  The globalists ran the election fraud four years ago,
[2:14:06.000 --> 2:14:09.000]  but failed because Trump's landslide was so big.
[2:14:09.000 --> 2:14:12.000]  This time, they stuffed the ballots for months and months and months
[2:14:12.000 --> 2:14:14.000]  with fraudulent ballots, the mail-in ballots,
[2:14:14.000 --> 2:14:18.000]  and then election night, it still wasn't enough, so they had to stuff them again
[2:14:18.000 --> 2:14:19.000]  and manipulate the computers.
[2:14:19.000 --> 2:14:21.000]  Here he is, part of what President Trump had to say.
[2:14:21.000 --> 2:14:22.000]  This is CNN's edit of it.
[2:14:22.000 --> 2:14:25.000]  The full video again is posted to infowars.com.
[2:14:25.000 --> 2:14:28.000]  Everyone should watch his whole press conference here.
[2:14:28.000 --> 2:14:33.000]  Here what he actually said as he battled these true enemies of the Republic,
[2:14:33.000 --> 2:14:34.000]  these true enemies of America.
[2:14:34.000 --> 2:14:37.000]  But this is our republic in such peril.
[2:14:37.000 --> 2:14:42.000]  And again, the president is completely cut off where no one is allowed to even share
[2:14:42.000 --> 2:14:44.000]  what he has to say online.
[2:14:44.000 --> 2:14:47.000]  The mainstream media can suppress what he's actually saying.
[2:14:47.000 --> 2:14:48.000]  This is a dark day.
[2:14:48.000 --> 2:14:50.000]  If they succeed, it's only going to get worse.
[2:14:50.000 --> 2:14:52.000]  This is just a national security crisis.
[2:14:52.000 --> 2:14:54.000]  This is the end of our country as we know it.
[2:14:54.000 --> 2:14:55.000]  Here's President Trump.
[2:14:55.000 --> 2:14:56.000]  Yeah, please, go ahead.
[2:14:56.000 --> 2:15:02.000]  President, if the electoral college votes for Joe Biden on December 14,
[2:15:02.000 --> 2:15:04.000]  will you concede the election?
[2:15:04.000 --> 2:15:10.000]  It's going to be a very hard thing to concede because we know there was massive fraud.
[2:15:10.000 --> 2:15:15.000]  So as to whether or not I can get this apparatus moving this quickly,
[2:15:15.000 --> 2:15:17.000]  because time isn't on our side.
[2:15:17.000 --> 2:15:18.000]  Everything else is on our side.
[2:15:18.000 --> 2:15:20.000]  Facts are on our side.
[2:15:20.000 --> 2:15:22.000]  This was a massive fraud.
[2:15:22.000 --> 2:15:24.000]  This should never take place in this country.
[2:15:24.000 --> 2:15:26.000]  We're like a third world country.
[2:15:26.000 --> 2:15:31.000]  Just to be clear, if the electoral college votes for Joe Biden, will you concede the election?
[2:15:31.000 --> 2:15:32.000]  Well, they do.
[2:15:32.000 --> 2:15:36.000]  They made a mistake because this election was a fraud.
[2:15:36.000 --> 2:15:39.000]  Just so you understand, this election was a fraud.
[2:15:39.000 --> 2:15:48.000]  I mean, they have Biden beating Obama on Obama's vote in areas that mattered in terms of the election, in swing states.
[2:15:48.000 --> 2:15:51.000]  And yet he's losing to Obama all over the place.
[2:15:51.000 --> 2:15:56.000]  But he's beating Obama in swing states, which are the states that mattered for purposes of the election.
[2:15:56.000 --> 2:15:59.000]  So, no, I can't say that at all.
[2:15:59.000 --> 2:16:01.000]  I think it's a possibility.
[2:16:01.000 --> 2:16:04.000]  They're trying to look between you people.
[2:16:04.000 --> 2:16:06.000]  Don't talk to me that way.
[2:16:06.000 --> 2:16:07.000]  You're just a lightweight.
[2:16:07.000 --> 2:16:08.000]  Don't talk to me that way.
[2:16:08.000 --> 2:16:09.000]  Don't talk to me that way.
[2:16:09.000 --> 2:16:10.000]  Don't talk to me.
[2:16:10.000 --> 2:16:11.000]  I'm the president of the United States.
[2:16:11.000 --> 2:16:13.000]  Don't ever talk to the president that way.
[2:16:13.000 --> 2:16:15.000]  All right, I'm going to go with another question.
[2:16:15.000 --> 2:16:16.000]  Go ahead.
[2:16:16.000 --> 2:16:22.000]  So, if the electoral college does elect President-elect Joe Biden, are you not going to leave this building?
[2:16:22.000 --> 2:16:24.000]  Just so you, certainly I will.
[2:16:24.000 --> 2:16:25.000]  Certainly I will.
[2:16:25.000 --> 2:16:26.000]  And you know that.
[2:16:26.000 --> 2:16:31.000]  But I think that there will be a lot of things happening between now and the 20th of January.
[2:16:31.000 --> 2:16:32.000]  A lot of things.
[2:16:32.000 --> 2:16:35.000]  Massive fraud has been found.
[2:16:35.000 --> 2:16:37.000]  We're like a third world country.
[2:16:37.000 --> 2:16:42.000]  You know that it's tradition for previous presidents to go to the next president's inauguration.
[2:16:42.000 --> 2:16:43.000]  So, we'll leave it to you.
[2:16:43.000 --> 2:16:45.000]  I don't want to say that yet.
[2:16:45.000 --> 2:16:46.000]  I mean, I know the answer.
[2:16:46.000 --> 2:16:47.000]  I'll be honest.
[2:16:47.000 --> 2:16:48.000]  I know the answer.
[2:16:48.000 --> 2:16:49.000]  But I just don't want to say it yet.
[2:16:49.000 --> 2:16:54.000]  Look, a thing like this possibly has never happened before.
[2:16:54.000 --> 2:16:56.000]  But maybe people just didn't catch it.
[2:16:56.000 --> 2:16:57.000]  But we've caught it.
[2:16:57.000 --> 2:17:01.000]  We've caught hundreds of thousands of votes.
[2:17:01.000 --> 2:17:08.000]  Listen, excuse me, excuse me, when they don't allow a poll watcher, which is a sacred person in our country,
[2:17:08.000 --> 2:17:16.000]  people don't know what a poll watcher is, a poll watcher, it's considered sacred in our country.
[2:17:16.000 --> 2:17:20.000]  When they throw them out of rooms, sure it is.
[2:17:20.000 --> 2:17:26.000]  And when they put them in pens, excuse me, no, they didn't, my attorneys did not admit anything.
[2:17:26.000 --> 2:17:30.000]  And to be clear, this is not just a stolen election.
[2:17:30.000 --> 2:17:36.000]  It's a multinational authoritarian conglomerate working with the corporate media and Big Tech,
[2:17:36.000 --> 2:17:40.000]  backed up by communist China, taking over our country.
[2:17:40.000 --> 2:17:42.000]  And they know what they've done as criminal.
[2:17:42.000 --> 2:17:44.000]  They know what they've done as bold.
[2:17:44.000 --> 2:17:45.000]  They're going for broke.
[2:17:45.000 --> 2:17:50.000]  And once they get Biden in, they are going to drop the hammer on this country.
[2:17:50.000 --> 2:17:54.000]  Let's fight so there's a global awakening and awakening in our country,
[2:17:54.000 --> 2:17:57.000]  so that Biden as a communist agent of China cannot be seated.
[2:17:57.000 --> 2:18:00.000]  Even if he won the election, which he didn't, he's illegitimate.
[2:18:00.000 --> 2:18:06.000]  And let's get the truth out and stop it before he gets in, because once he gets in, it's going to be hell on earth.
[2:18:06.000 --> 2:18:10.000]  You got to tell everybody you know, too, once they get in, they're cutting the oil off, they're cutting the power off.
[2:18:10.000 --> 2:18:13.000]  They're going to bring us into total depression, saying it's for COVID.
[2:18:13.000 --> 2:18:15.000]  This is the end of the Republic.
[2:18:15.000 --> 2:18:16.000]  This is the takeover.
[2:18:16.000 --> 2:18:18.000]  There's not words to describe it.
[2:18:18.000 --> 2:18:26.000]  I think you all understand that, but we have to rise the occasion and behave like we're being taken over.
[2:18:26.000 --> 2:18:28.000]  And you have to ask how does someone behave when that's happening?
[2:18:28.000 --> 2:18:34.000]  They speak up, they stand up, they say no, civil disobedience, and you get totally aggressive within the law.
[2:18:34.000 --> 2:18:36.000]  This is a far and illegal takeover.
[2:18:36.000 --> 2:18:39.000]  You point out people doing it aren't criminals, and that they should be arrested.
[2:18:39.000 --> 2:18:42.000]  And it doesn't matter what the FBI or others do laying around.
[2:18:42.000 --> 2:18:48.000]  At the end of the day, if Biden gets in and they put the depression in place, they will end up getting destroyed.
[2:18:48.000 --> 2:18:50.000]  They have bitten off more than they can chew.
[2:18:50.000 --> 2:18:52.000]  These people are so damn ruthless.
[2:18:52.000 --> 2:18:54.000]  And again, Trump won the election by landslide.
[2:18:54.000 --> 2:18:56.000]  This is a major repudiation of them.
[2:18:56.000 --> 2:18:59.000]  They had to do this because they're cornered rats, not because they're strong.
[2:18:59.000 --> 2:19:02.000]  So laying down is how they win, standing up is how humanity wins.
[2:19:02.000 --> 2:19:03.000]  We must take action.
[2:19:03.000 --> 2:19:05.000]  Back to Owen Schroder and a lot of transmission.
[2:19:05.000 --> 2:19:07.000]  And you know, it goes along.
[2:19:07.000 --> 2:19:12.000]  Thank you, Alex, with what I was saying earlier.
[2:19:12.000 --> 2:19:19.000]  Do we have to go into this spider's web completely and actually get sucked up by the spider before we can win this?
[2:19:19.000 --> 2:19:22.000]  Or can we stop it now before we get to that point?
[2:19:22.000 --> 2:19:30.000]  Because I'm telling you, if Biden gets in, I agree with Alex's analysis 100% here.
[2:19:30.000 --> 2:19:35.000]  If Biden gets in, I would probably guess within a month.
[2:19:35.000 --> 2:19:38.000]  But the conservative will be speaking within a year.
[2:19:38.000 --> 2:19:42.000]  He'll make a statement about the great reset.
[2:19:42.000 --> 2:19:48.000]  And it'll be the build back better UN slogan that everyone's adopting now.
[2:19:48.000 --> 2:19:50.000]  It's all part of a plan.
[2:19:50.000 --> 2:19:53.000]  You understand this, you're observant, you see this.
[2:19:53.000 --> 2:19:55.000]  60%, I'm being generous.
[2:19:55.000 --> 2:19:58.000]  Let's say 60% of the world population doesn't have a clue.
[2:19:58.000 --> 2:20:05.000]  And even 60% of the actual world population that has access to information still doesn't have a clue.
[2:20:05.000 --> 2:20:08.000]  So they can roll this giant fraud out and most people won't even have a clue.
[2:20:08.000 --> 2:20:09.000]  You'll understand it.
[2:20:09.000 --> 2:20:13.000]  But Biden will come out making a statement saying build back better.
[2:20:13.000 --> 2:20:14.000]  We have to have a great reset.
[2:20:14.000 --> 2:20:15.000]  We're cutting off the oil.
[2:20:15.000 --> 2:20:16.000]  We're cutting off the electricity.
[2:20:16.000 --> 2:20:19.000]  You're going to have to suffer for a couple of years while we build this system.
[2:20:19.000 --> 2:20:24.000]  They'll bring in the forced vaccine that'll kill you and make you a product,
[2:20:24.000 --> 2:20:28.000]  a patented product of Bill Gates, and then it's game over.
[2:20:28.000 --> 2:20:29.000]  Now again, we have the strength.
[2:20:29.000 --> 2:20:30.000]  We have the people.
[2:20:30.000 --> 2:20:31.000]  We can defeat this anytime we want to.
[2:20:31.000 --> 2:20:34.000]  It's just a matter of recognizing it, seeing it.
[2:20:34.000 --> 2:20:35.000]  So do we see it yet?
[2:20:35.000 --> 2:20:41.000]  Throughout history, there have been two basic forms of civilizations and different mixes of the two.
[2:20:41.000 --> 2:20:42.000]  One is born of Renaissance.
[2:20:42.000 --> 2:20:44.000]  The other is born of conquest.
[2:20:44.000 --> 2:20:49.000]  One bases its power on having strong, enlightened, focused people with an ethos and a culture
[2:20:49.000 --> 2:20:53.000]  and ingenuity, art and skill and strength.
[2:20:53.000 --> 2:20:59.000]  The other is based on the massive number of slaves it controls with a tiny elite above it.
[2:20:59.000 --> 2:21:04.000]  America is transferring out of a system based on the ethos of liberty and freedom
[2:21:04.000 --> 2:21:07.000]  into one of total mass high-tech slavery.
[2:21:07.000 --> 2:21:11.000]  That's why the globalists tell us America was founded up slavery when it wasn't.
[2:21:11.000 --> 2:21:16.000]  They point out one of our evils so they can invert the fact that they are truly the slave masters.
[2:21:16.000 --> 2:21:21.000]  A global permanent lockdown is here that is already causing millions and millions to starve to death.
[2:21:21.000 --> 2:21:23.000]  When they're done, billions will starve to death.
[2:21:23.000 --> 2:21:28.000]  Even the former head of the Ministry of Defense in England and a top general have come out and said
[2:21:28.000 --> 2:21:31.000]  the COVID lockdown is going to trigger a giant new world war.
[2:21:31.000 --> 2:21:32.000]  That's the facts.
[2:21:32.000 --> 2:21:35.000]  This is the Bill Gates New World Order weapon.
[2:21:35.000 --> 2:21:40.000]  The trick that social engineers use is very, very simple.
[2:21:40.000 --> 2:21:46.000]  It teaches that the architecture of civilization, that the trajectory of a species,
[2:21:46.000 --> 2:21:51.000]  is designed by these ever-knowing, loving, liberal technocrats.
[2:21:51.000 --> 2:21:54.000]  And that if we just sit back and enjoy the ride, everything will be great.
[2:21:54.000 --> 2:21:58.000]  But then they tell us that humans are obsolete, not essential,
[2:21:58.000 --> 2:22:00.000]  and we're bad for the earth and we need to be phased out.
[2:22:00.000 --> 2:22:05.000]  So they're very open about what they're doing and they count on us
[2:22:05.000 --> 2:22:11.000]  just being very passive living in the matrix-like system that they're building.
[2:22:11.000 --> 2:22:16.000]  But what defines humans more than anything from the rest of the, quote, animal kingdom
[2:22:16.000 --> 2:22:18.000]  is that we control our environment.
[2:22:18.000 --> 2:22:20.000]  We build our own environments.
[2:22:20.000 --> 2:22:22.000]  We create our own systems.
[2:22:22.000 --> 2:22:28.000]  We really geo-engineer and terraform the planet and its systems towards our aims.
[2:22:28.000 --> 2:22:30.000]  But instead, we're acting like animals,
[2:22:30.000 --> 2:22:33.000]  and the globalists play the part of humans and us as cattle.
[2:22:33.000 --> 2:22:34.000]  And that's the trick.
[2:22:34.000 --> 2:22:36.000]  The great reset.
[2:22:36.000 --> 2:22:38.000]  Where have I heard of that before?
[2:22:38.000 --> 2:22:44.000]  Oh, the great leap forward, Mao Zedong ordering all the small towns and small farms
[2:22:44.000 --> 2:22:48.000]  to basically shut down and have the rural people and the small business people
[2:22:48.000 --> 2:22:52.000]  move into the big cities and go under communist commune control.
[2:22:52.000 --> 2:22:53.000]  And that's all this is.
[2:22:53.000 --> 2:22:57.000]  The big megabanks want to break us into the same ones that put Mao Zedong into power.
[2:22:57.000 --> 2:22:59.000]  And they're creating the process of getting rid of our old economy
[2:22:59.000 --> 2:23:02.000]  and bringing in the new economy where everything's free
[2:23:02.000 --> 2:23:06.000]  because when you're a prisoner, well, everything's free, but you're also a slave.
[2:23:06.000 --> 2:23:11.000]  Scotland is going to have universal guaranteed incomes now of subsistence level.
[2:23:11.000 --> 2:23:13.000]  But of course, you've got to take those vaccines.
[2:23:13.000 --> 2:23:14.000]  You can't have any kids.
[2:23:14.000 --> 2:23:20.000]  And, oh, don't worry, though, all of the tampons and stuff like that's free too as well.
[2:23:20.000 --> 2:23:21.000]  I'm not kidding.
[2:23:21.000 --> 2:23:23.000]  So they'll give me some free paper.
[2:23:23.000 --> 2:23:25.000]  They'll give me enough money to basically live in a tiny apartment,
[2:23:25.000 --> 2:23:26.000]  but they own you.
[2:23:26.000 --> 2:23:27.000]  They control you.
[2:23:27.000 --> 2:23:28.000]  That's the great reset.
[2:23:28.000 --> 2:23:34.000]  That's why it's got to be resisted to total takeover and we're fighting it at infowars.com.
[2:23:59.000 --> 2:24:04.000]  You're already getting a taste, ladies and gentlemen,
[2:24:04.000 --> 2:24:08.000]  of the Communist corporate world government.
[2:24:08.000 --> 2:24:12.000]  It's funny how the liberal left that's, you know,
[2:24:12.000 --> 2:24:15.000]  against big government, against big corporations, against the billionaires,
[2:24:15.000 --> 2:24:17.000]  and then they're literally completely sold out,
[2:24:17.000 --> 2:24:20.000]  bought and paid for by those exact people they claim to be fighting.
[2:24:20.000 --> 2:24:23.000]  It's pretty ironic, but you're getting a taste of it
[2:24:23.000 --> 2:24:29.000]  and it looks like the first thing that they're going to claim you need to get a vaccine for is going to be airline travel.
[2:24:29.000 --> 2:24:31.000]  And that'll be mandated.
[2:24:31.000 --> 2:24:34.000]  But, you know, oh, it's for your protection.
[2:24:34.000 --> 2:24:36.000]  It's for your safety.
[2:24:36.000 --> 2:24:38.000]  It's for COVID.
[2:24:38.000 --> 2:24:42.000]  Of course, COVID and 99.9% survivability.
[2:24:42.000 --> 2:24:44.000]  And now anything and everything is considered COVID.
[2:24:44.000 --> 2:24:47.000]  I just had a great aunt of mine die this week.
[2:24:47.000 --> 2:24:52.000]  86 years old, smoked cigarettes for 60 years, drank plenty of booze.
