[00:00:09.031 --> 00:00:14.959]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones!
[02:14:54.789 --> 02:14:57.170]  What happens then?
[02:14:57.170 --> 02:14:58.731]  It's not an if.
[02:14:58.731 --> 02:14:59.851]  This is a when.
[02:14:59.851 --> 02:15:00.412]  You know why?
[02:15:00.412 --> 02:15:04.014]  Because we're not doing anything about it.
[02:15:04.014 --> 02:15:06.415]  We're not institutionalizing these mentally deranged people.
[02:15:07.520 --> 02:15:09.662]  The Department of Justice is nowhere to be found.
[02:15:09.662 --> 02:15:10.723]  Where's Jeff Sessions?
[02:15:10.723 --> 02:15:11.424]  I don't know.
[02:15:11.424 --> 02:15:12.225]  Bueller?
[02:15:12.225 --> 02:15:13.266]  Sessions?
[02:15:13.266 --> 02:15:15.888]  Bueller?
[02:15:15.888 --> 02:15:21.634]  So, it's not a matter of if, it's a matter of when.
[02:15:22.737 --> 02:15:25.778]  When is a radical leftist going to start killing people?
[02:15:25.778 --> 02:15:27.079]  They've already tried!
[02:15:27.079 --> 02:15:29.160]  Thank God they haven't been able to do it!
[02:15:29.160 --> 02:15:32.202]  But it's not a matter of if, it's a matter of when.
[02:15:32.202 --> 02:15:38.985]  When does a radical leftist pop off and actually get away with murder and a mass terror event?
[02:15:39.605 --> 02:15:40.746]  That's what's coming, folks.
[02:15:40.746 --> 02:15:42.367]  This is not a matter of if.
[02:15:42.367 --> 02:15:43.428]  This is a matter of when.
[02:15:43.428 --> 02:15:51.875]  And the Democrats have already said they're behind it, they want it, and they will back it up and that it's justified.
[02:15:51.875 --> 02:15:54.697]  So the Democrats are a domestic terror organization.
[02:15:55.237 --> 02:16:01.921]  I'm David Hall, founder of Diamond Gusset, where we're proud of our 100% grown and sewn American-made jeans.
[02:16:01.921 --> 02:16:09.786]  Whether you're out for dinner, working on the farm, or on the road, Diamond Gusset Jeans offers a full spectrum of styles and sizes for any occasion.
[02:16:09.786 --> 02:16:12.427]  To find yours, visit gusset.com.
[02:16:12.427 --> 02:16:15.529]  That's G-U-S-S-E-T dot com.
[02:16:15.529 --> 02:16:21.393]  Our loyal customers enable us to continue sponsoring Liberty Media outlets like the one you're listening to.
[02:16:21.393 --> 02:16:24.555]  In Liberty, David Hall, Diamond Gusset Jeans Company.
[02:16:25.402 --> 02:16:27.343]  Heart disease is on the rise.
[02:16:27.343 --> 02:16:32.666]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[02:16:32.666 --> 02:16:34.246]  But the symptoms are there.
[02:16:34.246 --> 02:16:42.610]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[02:16:42.610 --> 02:16:48.293]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[02:16:48.473 --> 02:16:50.294]  My blood pressure has normalized.
[02:16:50.294 --> 02:16:52.576]  My diabetes has totally improved.
[02:16:52.576 --> 02:16:56.960]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[02:16:56.960 --> 02:16:59.162]  I recommend Heart and Body Extract to everyone.
[02:16:59.162 --> 02:17:06.968]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[02:17:07.048 --> 02:17:09.510]  Order your two-month supply today by calling 866-295-5305.
[02:17:09.510 --> 02:17:09.950]  That's 866-295-5305.
[02:17:09.950 --> 02:17:11.451]  Or order online at HBextract.com.
[02:17:11.451 --> 02:17:12.392]  Heart and Body Extract, 866-295-5305.
[02:17:12.392 --> 02:17:13.172]  Or HBextract.com.
[02:17:24.600 --> 02:17:27.202]  Hunters, anglers, campers, and survivalists.
[02:17:27.202 --> 02:17:28.263]  Get back to nature.
[02:17:28.263 --> 02:17:35.429]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[02:17:35.429 --> 02:17:38.791]  Slingbow products are compact and models start from just $17.98.
[02:17:38.791 --> 02:17:42.294]  They're perfect for your bug out bag or storing in your vehicle.
[02:17:42.294 --> 02:17:46.377]  Give yourself and your loved ones the excitement and tradition of slingbow.
[02:17:46.377 --> 02:17:50.861]  A new frontier in archery and truly modern twist on this primitive survival tool.
[02:17:50.861 --> 02:17:53.503]  Feel the thrill only at slingbow.com.
[02:17:56.343 --> 02:17:58.704]  We all know the importance of fish oils.
[02:17:58.704 --> 02:18:05.286]  While we are sure to provide them for ourselves, it's just as important to make sure your kids get their EPA and DHA too.
[02:18:05.286 --> 02:18:12.689]  Honor Roll is a powerful DHA fish oil formula for your child, built from the ground up to support your child's development.
[02:18:13.089 --> 02:18:22.758]  This formula uses wild anchovy fish oil, ultra-purified krill oil, and wild salmon fish oil with vitamins to boost your child's mind and body.
[02:18:22.758 --> 02:18:30.124]  With this fish oil formula, you can support your child's optimal heart, joint, cognitive, and brain health while providing DHA.
[02:18:30.885 --> 02:18:34.748]  Which has been shown to be essential for your child's brain growth spurts.
[02:18:34.748 --> 02:18:44.576]  Built on powerful ingredients with 580 milligrams of high DHA omega-3s, this formula is highly refined to eliminate nearly all heavy metals.
[02:18:44.576 --> 02:18:48.919]  If you're looking for a formula to help your child grow, look no further.
[02:18:48.919 --> 02:18:53.083]  Try Honor Roll from InfoWars Life at InfoWarsStore.com.
[02:18:56.016 --> 02:19:04.405]  It's really hard to have the energy at the end of the day to still get to the gym, or to go for a run, or go to the park, or heck, even take your dog for a walk.
[02:19:04.405 --> 02:19:05.867]  Believe me, I know.
[02:19:05.867 --> 02:19:10.572]  I spend hours in front of a screen, and then hours in front of bright lights every day.
[02:19:10.572 --> 02:19:15.577]  But thanks to super male vitality at InfoWareStore.com, I still have that energy.
[02:19:15.797 --> 02:19:35.943]  There's no way I could have the energy at the end of a long day to fight back against the chemicals in the food and water, to fight back against the modern day lifestyle with the screen time and the extended hours, to still have the stamina and endurance, energy and drive to get to the gym, get to the park, and get exercise that you need for your health.
[02:19:36.443 --> 02:19:40.444]  So go to Infowarsstore.com and get Supermail Vitality before it's gone.
[02:19:40.444 --> 02:19:44.125]  This is actually our last run of Supermail Vitality.
[02:19:44.125 --> 02:19:49.106]  So I want you to experience Supermail Vitality before it's too late.
[02:19:49.106 --> 02:19:51.847]  Unleash the Supermail in you.
[02:19:51.847 --> 02:19:59.268]  Supermail Vitality from Infowarsstore.com.
[02:19:59.268 --> 02:20:01.869]  You're listening to the Alex Jones Show.
[02:20:07.579 --> 02:20:10.227]  Yeah, we're good.
[02:20:12.029 --> 02:20:16.352]  You are listening to an InfoWars.com Frontline Report.
[02:20:16.352 --> 02:20:21.014]  If you are receiving this transmission, you are the resistance.
[02:20:21.014 --> 02:20:23.956]  And now, your host, Owen Troyer.
[02:20:23.956 --> 02:20:33.082]  Alright, tons of powerful viral clips are coming out of Kanye West's meeting with President Trump in the Oval Office.
[02:20:33.082 --> 02:20:36.904]  Kid Rock was also meeting with President Trump today, as well as others.
[02:20:36.904 --> 02:20:37.944]  Jim Brown was there.
[02:20:39.325 --> 02:20:45.288]  I can't remember all the list of people that were there, but tons of people meeting with President Trump today, trying to get things done.
[02:20:45.288 --> 02:20:48.550]  The story is on Infowars.com.
[02:20:48.550 --> 02:20:52.032]  Kanye talks guns, race, humanity, and the universe with Trump.
[02:20:52.032 --> 02:20:54.754]  Very powerful stuff.
[02:20:54.754 --> 02:20:58.115]  And just imagine how he's going to be attacked by the left for this.
[02:20:58.115 --> 02:21:01.097]  Oh, I love it.
[02:21:01.097 --> 02:21:02.438]  Let the hate fill you.
[02:21:03.908 --> 02:21:05.169]  That's the left right now.
[02:21:05.169 --> 02:21:09.671]  It's like they have this voice in their head of Emperor Palpatine.
[02:21:09.671 --> 02:21:12.912]  Let the hate fill your soul.
[02:21:12.912 --> 02:21:14.073]  Hate everything.
[02:21:14.073 --> 02:21:16.174]  Hate America.
[02:21:16.174 --> 02:21:17.694]  Hate Trump.
[02:21:17.694 --> 02:21:18.835]  Hate Kanye.
[02:21:18.835 --> 02:21:23.037]  And they just love it.
[02:21:23.037 --> 02:21:24.398]  They just love it.
[02:21:24.398 --> 02:21:27.419]  Because really, sadly, they hate themselves.
[02:21:30.080 --> 02:21:32.222]  But I'll try not to go into another psychology lecture here.
[02:21:32.222 --> 02:21:41.229]  I do want to say, uh, the clips though, uh, I think that Harrison Smith is probably going to get to some of those clips on The War Room today.
[02:21:41.229 --> 02:21:45.472]  He's hosting The War Room for me today, which is InfoWars live programming from 3 to 6 p.m.
[02:21:45.472 --> 02:21:46.012]  Central.
[02:21:46.012 --> 02:21:47.754]  I usually host, Harrison hosting for me today.
[02:21:48.334 --> 02:21:52.319]  And then I'll be back in studio tonight at 8 p.m.
[02:21:52.319 --> 02:21:53.960]  Central to 10 p.m.
[02:21:53.960 --> 02:22:01.469]  Central where we are doing our extended live coverage leading up to the midterm elections.
[02:22:01.469 --> 02:22:05.753]  And while this is extended live coverage leading up to the elections,
[02:22:06.843 --> 02:22:16.970]  It's also us testing the waters to see if we're ready to launch new live programming, which really is going to be about how much funding we get from the super sale we have right now at InfoWarsTore.com.
[02:22:16.970 --> 02:22:19.252]  And then, are you going to share the streams?
[02:22:19.252 --> 02:22:20.653]  Are you going to tell your friends and family?
[02:22:20.653 --> 02:22:21.413]  Are you going to tune in?
[02:22:21.413 --> 02:22:22.174]  Are you going to share them?
[02:22:22.174 --> 02:22:24.735]  Are you going to put them out on social media?
[02:22:24.735 --> 02:22:31.320]  So this is kind of us testing the waters to see if we're ready to go to the next level of live broadcasting.
[02:22:31.320 --> 02:22:32.361]  And it's honestly, as
[02:22:33.450 --> 02:22:43.214]  Everything around here, it's all determined by your support at InfoWarsStore.com and InfoWars.com and you spreading those links.
[02:22:43.214 --> 02:22:50.036]  So, having said that, let's get to a news blitz.
[02:22:50.036 --> 02:22:57.479]  Let's just go right into this violence again because, I mean, it's redundant, but it needs to sink in because of how real this issue is.
[02:22:59.244 --> 02:23:01.826]  This is the story we covered last segment.
[02:23:01.826 --> 02:23:09.492]  Man planned to blow self up with 200 pound bomb in DC on election day.
[02:23:09.492 --> 02:23:13.055]  Paul Joseph Watson has the story at Infowars.com.
[02:23:13.055 --> 02:23:15.738]  Domestic terrorist was angry about the country's direction.
[02:23:15.738 --> 02:23:17.559]  Yeah, they hate America.
[02:23:17.559 --> 02:23:23.084]  They don't like America being successful again and because they choose not to be a part of it, they're left out.
[02:23:24.147 --> 02:23:29.351]  And left feeling left out and then acting enraged and hate-filled about it.
[02:23:29.351 --> 02:23:30.372]  That's the saddest thing.
[02:23:30.372 --> 02:23:34.234]  These people are leaving themselves out from making America great again.
[02:23:34.234 --> 02:23:35.615]  They could be part of it.
[02:23:35.615 --> 02:23:36.796]  They choose not to be.
[02:23:36.796 --> 02:23:38.197]  You left yourself out.
[02:23:38.197 --> 02:23:49.025]  It's like that bitter child that throws some temper tantrum and then decides not to go to the group on the field trip or to the group to the ball game or the amusement park because they had some little tiff that they got upset about.
[02:23:49.025 --> 02:23:52.388]  And then they're just mad and they hold it against everyone else even though it was their own fault.
[02:23:53.646 --> 02:23:54.667]  How about Eric Holder?
[02:23:54.667 --> 02:23:58.351]  Boy, this guy's a class act, isn't he?
[02:23:58.351 --> 02:24:03.656]  Says when they go low, we kick them.
[02:24:03.656 --> 02:24:06.699]  And says that this is what the new Democrat Party is all about.
[02:24:06.699 --> 02:24:07.240]  No, he's right.
[02:24:07.240 --> 02:24:08.261]  He is right.
[02:24:08.261 --> 02:24:11.104]  The Democrat Party is all about domestic terror now.
[02:24:11.104 --> 02:24:12.445]  And Eric Holder's just letting you know.
[02:24:13.362 --> 02:24:18.727]  Steve Watson has the story at Infowars.com and Trump responded saying it's a disgrace.
[02:24:18.727 --> 02:24:24.573]  Even, I mean, even Michelle Obama, I mean my gosh, you gotta give people credit where credit is due.
[02:24:24.573 --> 02:24:28.998]  Even Michelle Obama is rejecting Holder's message saying it's not good for the youth.
[02:24:30.859 --> 02:24:32.880]  So, that's interesting.
[02:24:32.880 --> 02:24:38.983]  Maybe Michelle Obama, though, isn't in the criminal enterprise like Eric Holder is.
[02:24:38.983 --> 02:24:46.926]  Maybe she was able to keep her hands clean of all the dirtiness going on in the Obama administration, so she doesn't have to be an outright liar.
[02:24:46.926 --> 02:24:48.887]  But Eric Holder says when they go low, just kick them!
[02:24:50.290 --> 02:24:51.810]  And that's what the Democrat Party is all about?
[02:24:51.810 --> 02:24:52.330]  That's right!
[02:24:52.330 --> 02:24:54.351]  Eric Holder is 110% right.
[02:24:54.351 --> 02:24:57.172]  The Democrat Party is all about domestic terror.
[02:24:57.172 --> 02:24:57.272]  110%.
[02:24:57.272 --> 02:25:03.093]  I'm telling you, the Democrat Party, I mean, this is a serious question.
[02:25:03.093 --> 02:25:08.514]  What is a more, what is a bigger threat to America, our homeland, right now?
[02:25:08.514 --> 02:25:11.535]  Radical Islamic terror or Democrat domestic terror?
[02:25:14.346 --> 02:25:16.106]  That is a fair question.
[02:25:16.106 --> 02:25:17.787]  That is a real question.
[02:25:17.787 --> 02:25:22.268]  And I think it's probably Democrat domestic terror.
[02:25:22.268 --> 02:25:38.411]  Now, obviously there's a lot of secret intel about the radical Islamic terror cells that exist in this country that are just waiting to be activated, like the one that got caught in New Mexico that nobody reported on, where they killed a kid and they were training kids to shoot up schools.
[02:25:38.411 --> 02:25:39.271]  Yeah.
[02:25:39.271 --> 02:25:39.991]  So, I mean,
[02:25:42.622 --> 02:25:48.107]  But these people are foaming at the mouth and their leaders are telling them to go out and commit acts of violence.
[02:25:48.107 --> 02:25:51.471]  So, I mean, seriously, this is a serious question.
[02:25:51.471 --> 02:25:53.693]  What is a greater threat to our homeland?
[02:25:53.693 --> 02:25:56.555]  Radical Islamic terror or Democrat domestic terror?
[02:25:56.555 --> 02:25:59.098]  I think right now it's probably Democrat domestic terror.
[02:26:03.217 --> 02:26:07.619]  Leave it to the left-wing media in this country to say that they're not an angry mob.
[02:26:07.619 --> 02:26:15.403]  Now, we played that clip over and over, so I'm not going to play it again, but that's what they're doing.
[02:26:15.403 --> 02:26:18.885]  Meanwhile, U.S.
[02:26:18.885 --> 02:26:22.187]  charges Chinese spy with stealing military secrets.
[02:26:22.187 --> 02:26:25.108]  So, Dianne Feinstein is finally getting charged?
[02:26:25.108 --> 02:26:26.409]  Oh, no, I'm sorry.
[02:26:26.409 --> 02:26:29.330]  Hillary Clinton is finally getting charged?
[02:26:29.330 --> 02:26:29.751]  Oh, no.
[02:26:29.751 --> 02:26:30.251]  Okay, alright.
[02:26:30.251 --> 02:26:31.231]  I was just joking.
[02:26:31.231 --> 02:26:32.132]  It was a Chinese spy.
[02:26:33.829 --> 02:26:42.638]  Uh, but again... Now notice, when the spies and the operatives, the American operatives in China got caught, what did China do?
[02:26:42.638 --> 02:26:45.141]  Well, they, they, you know, tortured them and killed them.
[02:26:45.141 --> 02:26:47.323]  That's thanks to Hillary Clinton, maybe Dianne Feinstein.
[02:26:47.323 --> 02:26:47.824]  I mean, who knows?
[02:26:47.824 --> 02:26:50.386]  We don't get an investigation into Hillary Clinton's Chinese server.
[02:26:50.386 --> 02:26:54.971]  We don't get an investigation into Dianne Feinstein's Chinese spy.
[02:26:54.971 --> 02:26:55.832]  But when China...
[02:26:57.958 --> 02:27:01.581]  Stolen Apple IDs in China lead to mobile payment pilfering.
[02:27:01.581 --> 02:27:02.462]  Well, let's see.
[02:27:02.462 --> 02:27:09.789]  China, the Chinese Communist government has all of your data now.
[02:27:09.789 --> 02:27:11.251]  They have all of your data via Apple.
[02:27:22.608 --> 02:27:30.334]  So, anyone acting in China that wants to get a hold of your data and steal it, they don't even have to be able to operate domestically, folks.
[02:27:30.334 --> 02:27:31.215]  So just understand that.
[02:27:31.215 --> 02:27:37.920]  Your data is now available for pilfering in China.
[02:27:37.920 --> 02:27:39.301]  In China.
[02:27:39.301 --> 02:27:49.289]  And since China owns all your data now, they can also sell it, and will sell it, to any third party they choose, because you know why?
[02:27:49.289 --> 02:27:50.691]  When you clicked
[02:27:51.664 --> 02:27:59.325]  Accept the terms and conditions for all the crap you ever downloaded on your iPhone or all the crap you ever downloaded on your Apple.
[02:27:59.325 --> 02:28:01.026]  Now that became Apple's data.
[02:28:01.026 --> 02:28:01.946]  They own you.
[02:28:01.946 --> 02:28:04.926]  And they can now sell your data, and they have.
[02:28:04.926 --> 02:28:19.309]  And then they've moved their operations to China so that they don't get taxed and they don't have regulations stopping them from having slave-like labor forces making their products.
[02:28:22.386 --> 02:28:26.787]  And so that's what goes on.
[02:28:26.787 --> 02:28:35.210]  And it's incredible that we have people crying and moaning and complaining and protesting, Oh, human rights violations in America!
[02:28:35.210 --> 02:28:37.811]  They're putting the kids in cages!
[02:28:37.811 --> 02:28:40.692]  Why don't you go to China for a day?
[02:28:40.692 --> 02:28:47.014]  Why don't you go to China for a day where, by the way, probably everything you're wearing was made, all the products in your home were made,
[02:28:48.397 --> 02:28:52.706]  And where Hillary Clinton and Dianne Feinstein sent classified information.
[02:28:52.706 --> 02:28:53.507]  Yep.
[02:28:53.507 --> 02:28:53.667]  Yes.
[02:28:55.444 --> 02:28:57.305]  Healthcare reform is confusing.
[02:28:57.305 --> 02:29:05.907]  But whether it's finding an affordable insurance plan, keeping your doctor, or being able to afford needed prescriptions, navigating the healthcare system has become a challenge.
[02:29:05.907 --> 02:29:09.608]  Control your own healthcare costs and choices with Liberty HealthShare.
[02:29:09.608 --> 02:29:11.549]  Liberty HealthShare is not insurance.
[02:29:11.549 --> 02:29:17.611]  It is an association of self-pay patients who unite with like-minded people to share the cost of each other's medical needs.
[02:29:17.611 --> 02:29:19.091]  Neighbor helping neighbor.
[02:29:19.091 --> 02:29:21.672]  Learn more now by going to libertyoncall.org.
[02:29:21.672 --> 02:29:23.553]  That's libertyoncall.org.
[02:29:24.895 --> 02:29:27.776]  Ever wonder how Bitcoin and Ethereum were created?
[02:29:27.776 --> 02:29:32.657]  Vercell Media has helped hundreds of companies and individuals make their own cryptocurrency.
[02:29:32.657 --> 02:29:38.258]  Decentralized blockchain solutions are making the world more transparent and giving power back to the people.
[02:29:38.258 --> 02:29:42.479]  Vercell Media has helped companies raise tens of millions in the past year alone.
[02:29:42.479 --> 02:29:46.500]  Structuring and marketing ICOs to the thirsty crypto public worldwide.
[02:29:46.500 --> 02:29:48.961]  Don't miss the cryptocurrency revolution.
[02:29:48.961 --> 02:29:50.981]  Visit vercellmedia.com.
[02:29:50.981 --> 02:29:53.662]  V-E-R-C-E-L media.com.
[02:30:01.249 --> 02:30:03.611]  The Real Red Pill Plus, ladies and gentlemen.
[02:30:03.611 --> 02:30:07.054]  Our team is constantly on the lookout for newer and better ways to improve our products.
[02:30:07.054 --> 02:30:13.400]  That's why we're bringing you a brand new version of one of the newest fan-favorite products, The Real Red Pill Plus.
[02:30:13.400 --> 02:30:18.925]  The Real Red Pill Plus is an all-new version of the powerhouse preglanone product.
[02:30:18.925 --> 02:30:26.612]  It features the same great formula that supports your heart, brain, healthy aging process, with an all-new natural caffeine boost included.
[02:30:27.052 --> 02:30:33.496]  A powerful pregnenone base, the Real Red Pill, has quickly become one of our fellow InfoWarriors' favorite products.
[02:30:33.496 --> 02:30:43.863]  Now, with an extra proprietary energy blend inside, including Green Tea Extract, Aromante Leaf Extract, and more, you can get that extra pick-me-up, all supporting your mind and body in a healthy way.
[02:30:43.863 --> 02:30:48.585]  It's got all the great stuff that Real Red Pill has, but it's also got the boost in it.
[02:30:48.585 --> 02:30:51.867]  Get the Real Red Pill Plus at InfoWarStore.com.
[02:30:55.745 --> 02:31:15.740]  I want to plow into all of this, but I'm going to spend a few minutes here first, just encouraging listeners to understand that when you buy t-shirts, or water filtration systems, or books, or videos, or other material from InfoWarsTore.com, you are funding the revolution.
[02:31:15.740 --> 02:31:17.841]  I mean, I cannot say it any clearer.
[02:31:17.841 --> 02:31:21.504]  And so it is essential that you purchase the products at InfoWarsTore.com.
[02:31:21.684 --> 02:31:29.086]  I don't want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[02:31:29.086 --> 02:31:31.466]  You cannot beat that for children and adults.
[02:31:31.466 --> 02:31:34.107]  We've got the best mouthwash designed by Dr. Jones.
[02:31:34.107 --> 02:31:36.908]  That's my dad, with colloidal silver and iodine as well.
[02:31:36.908 --> 02:31:38.528]  Infowarslife.com or AAA2533139.
[02:31:38.528 --> 02:31:39.968]  And your purchase of the products
[02:31:43.169 --> 02:31:48.593]  Stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[02:31:48.593 --> 02:31:55.817]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[02:31:55.817 --> 02:32:02.101]  We're bringing back one of the biggest fan-favorite formulas we've ever offered with even better ingredients.
[02:32:02.101 --> 02:32:03.142]  Ultimate Bone Broth.
[02:32:04.895 --> 02:32:11.479]  Info Wars Life is proud to bring you a powerhouse bone broth formula to help push you to your limits.
[02:32:11.479 --> 02:32:20.563]  This incredible formula will help you get the most out of your workout with the power of ultra-high quality bone broth, one of the most popular health trends on the planet.
[02:32:20.563 --> 02:32:32.370]  Built with more than 7 different superfoods and crucial compounds, Ultimate Bone Broth will help support your healthy muscles, digestion, tendons and ligaments, while also supporting your body's fight against free radicals.
[02:32:32.970 --> 02:32:44.917]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric root, chaga mushroom, goji berry powder, bee pollen, and alfalfa herb powder to support your body.
[02:32:44.917 --> 02:32:48.659]  It's time to experience what Ultimate Bone Broth can do for you.
[02:32:48.659 --> 02:32:53.922]  Get a bottle of the all-new version of a fan-favorite product today at infowarstore.com.
[02:32:59.171 --> 02:33:13.824]  You're listening to the Alex Jones Show.
[02:33:13.824 --> 02:33:15.065]  You found it.
[02:33:15.065 --> 02:33:16.526]  The tip of the spear.
[02:33:16.526 --> 02:33:22.831]  It is the Alex Jones Show with Owen Troyer.
[02:33:22.831 --> 02:33:24.733]  We're rolling B-roll right now.
[02:33:25.814 --> 02:33:28.156]  I think that, you know what, I'm not sure where that was actually.
[02:33:28.156 --> 02:33:36.904]  I was going to say, I'm not even going to say it because actually I'm not sure, but basically some radical leftist starts charging at a police officer.
[02:33:36.904 --> 02:33:42.608]  You can tell he's enraged and he hops out of his, a police officer just walking across the street.
[02:33:42.608 --> 02:33:46.432]  I guess he's just on foot patrol or something and he's getting a bite to eat or something.
[02:33:46.852 --> 02:33:53.496]  And this crazy guy hops up out of his chair on some patio and starts storming towards a police officer.
[02:33:53.496 --> 02:33:55.717]  And he doesn't take it for one second.
[02:33:55.717 --> 02:33:58.839]  He just drops him like a rock.
[02:33:58.839 --> 02:34:00.119]  Oh, it's so beautiful.
[02:34:00.119 --> 02:34:00.559]  Just look.
[02:34:00.559 --> 02:34:01.920]  Here comes the crazed leftist.
[02:34:01.920 --> 02:34:02.801]  Hey, you police officer.
[02:34:02.801 --> 02:34:03.181]  You're bad.
[02:34:03.181 --> 02:34:03.601]  You're racist.
[02:34:03.601 --> 02:34:04.221]  Boom!
[02:34:04.221 --> 02:34:05.222]  Sit down, son.
[02:34:05.222 --> 02:34:09.845]  You're under arrest.
[02:34:09.845 --> 02:34:10.045]  Look.
[02:34:11.115 --> 02:34:12.855]  I'm totally against police brutality.
[02:34:12.855 --> 02:34:14.576]  I'm totally against a police state.
[02:34:14.576 --> 02:34:17.096]  In fact, I'm against the drug war entirely.
[02:34:17.096 --> 02:34:21.577]  But police have a target on their chest.
[02:34:21.577 --> 02:34:30.418]  And if somebody's going to charge at anybody like that, you absolutely should be able to body slam them to the ground, whether it's a police officer or not.
[02:34:30.418 --> 02:34:36.460]  But the reason why I highlight this police officer is because they don't want the police to be able to do this.
[02:34:36.460 --> 02:34:38.560]  They don't want the police to be able to defend themselves.
[02:34:40.805 --> 02:34:47.450]  So, if more of this happened, though, I think you'd have less people trying to attack the police.
[02:34:47.450 --> 02:34:56.518]  Like, when I go to these leftist events and you have these scumbags screaming at police, spitting on them, insulting them, the police just sit there and take it.
[02:34:56.518 --> 02:35:09.548]  You know, maybe if one of them decided to take that riot shield and just give them a little... knock them back ten years, like that body slam did, you think that guy's ever going to think about charging a police officer again?
[02:35:09.548 --> 02:35:10.089]  Or anybody?
[02:35:11.502 --> 02:35:13.684]  I doubt it.
[02:35:13.684 --> 02:35:15.745]  I doubt it.
[02:35:15.745 --> 02:35:27.474]  So I just want to say, let the police do their job, and if citizens in this country are going to get deranged and out of control, they need to be brought down.
[02:35:27.474 --> 02:35:32.678]  For this country's good and for their own good.
[02:35:32.678 --> 02:35:33.839]  Now let's get into some more news here.
[02:35:36.616 --> 02:35:45.822]  Pelosi's San Francisco named poop capital of America on pace for record number of complaints.
[02:35:45.822 --> 02:35:48.264]  Oh my gosh.
[02:35:48.264 --> 02:35:50.385]  This is a real quote.
[02:35:50.385 --> 02:35:57.009]  The number of unique poop complaints every year from 2011 to 2018 almost tripled from 5,600 complaints in 2011 to almost 21,000 complaints in 2017.
[02:35:57.009 --> 02:35:57.129]  My God.
[02:36:06.511 --> 02:36:07.632]  That's real.
[02:36:07.632 --> 02:36:09.493]  Poop complaints.
[02:36:09.493 --> 02:36:12.236]  Oh my.
[02:36:12.236 --> 02:36:21.823]  Now let's go to a clip of Diamond and Silk who are about to be in a new movie where they do a funny sketch mimicking the poop complaint guys.
[02:36:21.823 --> 02:36:22.784]  Go ahead and roll clip 14.
[02:36:22.784 --> 02:36:28.929]  Well why are you pressure washing the sidewalk?
[02:36:28.929 --> 02:36:30.931]  Because they're dirty.
[02:36:30.931 --> 02:36:33.853]  What's on the sidewalks that we need to be concerned about?
[02:36:34.964 --> 02:36:38.206]  I mean, it's just feces and- Feces?
[02:36:38.206 --> 02:36:38.646]  Yeah.
[02:36:38.646 --> 02:36:39.707]  What type of feces?
[02:36:39.707 --> 02:36:41.548]  Is it animal feces?
[02:36:41.548 --> 02:36:44.289]  Both.
[02:36:44.289 --> 02:36:44.990]  Both?
[02:36:44.990 --> 02:36:45.770]  Both.
[02:36:45.770 --> 02:36:47.711]  Human feces and animal.
[02:36:47.711 --> 02:36:49.152]  Did you say human feces?
[02:36:49.152 --> 02:36:52.974]  Yeah.
[02:36:52.974 --> 02:36:53.914]  Like boo-boos?
[02:36:53.914 --> 02:36:56.296]  Yes.
[02:36:56.296 --> 02:37:00.138]  Yes.
[02:37:00.138 --> 02:37:04.060]  Folks, you can ask anybody that lives in San Francisco, or you can go to San Francisco,
[02:37:05.981 --> 02:37:08.062]  You know, you step outside.
[02:37:08.062 --> 02:37:12.143]  Let's say, uh, let's say you want to smoke a cigarette after you eat your dinner.
[02:37:12.143 --> 02:37:14.684]  You step outside, doesn't smoke a cigarette.
[02:37:14.684 --> 02:37:28.268]  Right across the street, some bum drops their drawers, takes a dump, and then walks up the street, and then you're basically left to clean it up.
[02:37:28.268 --> 02:37:31.129]  Look at that poop bag.
[02:37:31.129 --> 02:37:33.870]  The entire city of San Francisco is basically a toilet.
[02:37:36.104 --> 02:37:36.985]  Thanks, Democrats.
[02:37:36.985 --> 02:37:43.489]  And now, just south of there, flea-borne typhus outbreak spreads to Long Beach.
[02:37:43.489 --> 02:37:44.970]  Whoa!
[02:37:44.970 --> 02:37:47.991]  Well, they had it in L.A., and now it's spread to Long Beach.
[02:37:47.991 --> 02:37:52.374]  Look, this is like a serious health concern.
[02:37:52.374 --> 02:38:01.340]  I mean, I can laugh about how out-of-control Democrat-run cities are, with the poop on the ground and the needles and everything and the homelessness and the poverty and everything.
[02:38:02.503 --> 02:38:02.963]  This is serious.
[02:38:02.963 --> 02:38:13.546]  I mean, folks, if they don't get this under control in California, they will have a biological hazard in just a few short years.
[02:38:13.546 --> 02:38:16.466]  That is not a joke.
[02:38:16.466 --> 02:38:18.127]  Fleaborn typhus outbreak.
