[00:00.000 --> 00:29.960]  There is all kinds of important developments that have happened in the last 24 hours.
[02:07:43.960 --> 02:07:57.960]  So we have air filters at infowarstore.com, the Alexa Pure Breeze, which is right now $50 off the Alexa Pure Breeze groundbreaking ion cluster air filter technology.
[02:07:57.960 --> 02:08:04.960]  And we've got a limited quantity of these left right now. We're basically selling these at cost because there was a big overhaul.
[02:08:04.960 --> 02:08:15.960]  And so we've got a limited quantity available right now, but we're still selling them at $50 off. Go ahead and read the hundreds of five-star reviews for yourself.
[02:08:15.960 --> 02:08:28.960]  I've got two in my home. You will notice the difference, ladies and gentlemen, with the Alexa Pure Breeze in your house. Don't live in a polluted major city in your home.
[02:08:28.960 --> 02:08:33.960]  Have clean air when you go to your home for your children, for your friends, for your family.
[02:08:33.960 --> 02:08:46.960]  So that's just one example of how you can support info wars and benefit yourself. But there's other household items that are on their toothbrush, toothpaste, you know, shampoo, body lotion.
[02:08:46.960 --> 02:09:02.960]  It's all at infowarstore.com. There's big specials 50% off the ultimate bone broth, 50% off brain force plus when you buy it with turbo force and the brand new info wars life protein bar is 40% off when you buy two boxes
[02:09:02.960 --> 02:09:15.960]  or more. And, you know, I'm somebody that has protein bars, just always a box of them in my cabinets, in my pantries. It's a nice snack on the go, nice healthy snack on the go, nice something.
[02:09:15.960 --> 02:09:23.960]  If you're running late for the gym or for something, you just want to eat something. So it's the brand new info wars life protein bars.
[02:09:23.960 --> 02:09:36.960]  Go ahead and get two boxes now for 40% off at infowarstore.com and just go check out the website, all kinds of great supplements, hats, t shirts, emergency food supplies, everything.
[02:09:36.960 --> 02:09:46.960]  It's all at infowarstore.com. And then that's how you pay it forward and support us so that we can stay on air because again, remember the social media baseball card.
[02:09:46.960 --> 02:09:57.960]  Alex Jones gets nothing. Alex Jones is not allowed to market on social media. He's not allowed to exist. He's not allowed to have any followers. He gets nothing.
[02:09:57.960 --> 02:10:07.960]  All we have is info wars.com slash show and your support at infowarstore.com. So we thank you and we salute you for making it all possible.
[02:10:07.960 --> 02:10:16.960]  Stuart, why don't you take away the final five minutes of this segment with Dr. Edwin Vieira with Edwin Vieira.com.
[02:10:16.960 --> 02:10:30.960]  So just kind of like just to put it in summary, there were two tracks available to President Trump. One was one flows directly from the Constitution and from his obligation and duty to defend the nation as commander in chief and also to see the laws are executed,
[02:10:30.960 --> 02:10:43.960]  faithfully executed, and you specified those being there from the founding. And the second track is these new, you know, because of people like Truman in the Steele case, Steele Cesar case,
[02:10:43.960 --> 02:10:54.960]  Congress stepped in and said, we're going to put the president in a more narrow box and it comes to things other than war, basically, other than invasions or clear examples that flow from his constitutional authority.
[02:10:54.960 --> 02:11:04.960]  We're going to go ahead and do these things, the kind of nefarious or nebulous claims of emergency, but we're going to put them under our control. Is that pretty much how it went?
[02:11:04.960 --> 02:11:14.960]  Yeah, that's pretty much so, exactly. So we have these two tracks and you said before the break, what could a state do? Well, now that's a third track.
[02:11:14.960 --> 02:11:25.960]  State of Texas, New Mexico, Arizona, I guess New Mexico and Arizona wouldn't be likely candidates for this. The states have reserved powers under the Constitution.
[02:11:25.960 --> 02:11:39.960]  And the one that would apply here, at least on the face of it is Article 1, Section 10, Clause 3. No state shall engage in war unless invaded or there is an imminent danger thereof.
[02:11:39.960 --> 02:11:45.960]  So the Constitution recognizes that if a state is invaded, it can actually engage in war.
[02:11:45.960 --> 02:11:58.960]  It could do the kind of thing that we talked about earlier that Wilson did in sending perhaps state troops across the border into Mexico in the way Wilson sent Pershing's people across the border after Poncho Villa.
[02:11:58.960 --> 02:12:11.960]  So it would depend, of course, upon what kind of militia structure or state defense force, national guard, the governor of Texas would have, and I'm not conversional about that, I haven't looked specifically.
[02:12:11.960 --> 02:12:19.960]  He has both the state and the national guard and he also has what's called the Texas guard, which is the version of the state defense force.
[02:12:19.960 --> 02:12:29.960]  Right, and no doubt there are some provisions in the Texas Code that specify circumstances under which he can call those people forth and use them.
[02:12:29.960 --> 02:12:36.960]  Most of the states have something like that. Certainly Virginia does. And I would think that this would be one of the situations that would be covered.
[02:12:36.960 --> 02:12:44.960]  So I don't think that we would have a question that the president could use the regular armed forces and probably parts of the national guard as well.
[02:12:44.960 --> 02:13:00.960]  We have to look into the national guard statutes, but certainly the ready reserve component of the national of the regular armed forces and the governor of Texas could use the national guard, state guard, whatever militia structures he has, we could call people up as well.
[02:13:00.960 --> 02:13:17.960]  Now, if those two areas are the areas of interest, then we're talking ultimately the foundation in the Constitution itself. It really does not depend upon very much coming out of Congress and it certainly does not depend upon approval by the judiciary.
[02:13:17.960 --> 02:13:30.960]  So I would think if President Trump and the governor of Texas were really serious about doing this, they would sit down and coordinate and say, how much can we do with the armed forces, regular armed forces, how much can we do maybe in the middle with the national guard people,
[02:13:30.960 --> 02:13:40.960]  and how much can you governor of Texas do with your own state guard militia type structures, whatever authority you have under the Texas Constitution and laws.
[02:13:40.960 --> 02:13:54.960]  And we'll put this all together in a package that perhaps would look similar other than the actual invasion of Mexico to what President Wilson did and the governor, I think the governor of Mexico was involved in that too.
[02:13:54.960 --> 02:13:55.960]  It was in New Mexico.
[02:13:55.960 --> 02:13:57.960]  It was Columbus in Mexico.
[02:13:57.960 --> 02:14:09.960]  So the militia were actually used on the American side of the border to maintain order and provide protection against the recurrence of that incursion by the Mexican bandits.
[02:14:09.960 --> 02:14:11.960]  So I think that could be done again today.
[02:14:11.960 --> 02:14:16.960]  And unfortunately, Trump's advisors are simply not suggesting to him that that's what he needs to do.
[02:14:16.960 --> 02:14:28.960]  Would you advise Governor Abbott of Texas to declare an emergency here or would be the same can of worms by doing that? What should he say to support the president?
[02:14:28.960 --> 02:14:39.960]  As we have in the problem that we've been discussing earlier, we have to look at the specific statutes that give the governor the authority to act in these various areas and to call up these various forces.
[02:14:39.960 --> 02:14:55.960]  And then we have to avoid the pitfall that President Trump has fallen into as a result of exclusively invoking the National Emergencies Act under a situation in which one House of Congress is definitely hostile to him.
[02:14:55.960 --> 02:14:57.960]  Right.
[02:14:57.960 --> 02:14:59.960]  That's true as was suggested earlier.
[02:14:59.960 --> 02:15:07.960]  Well, the margin is thin in the Senate, but you've got to wonder again why President Trump's advisors are just missing the boat on this.
[02:15:07.960 --> 02:15:15.960]  You hope they're not intentionally giving him bad advice, but you just have to wonder because this seems like something that shouldn't be so hard, gentlemen.
[02:15:15.960 --> 02:15:21.960]  Especially when you've got all the evidence, you've got the public support, it really shouldn't be going down these roads.
[02:15:21.960 --> 02:15:30.960]  Dr. Edwin Vieira, I mean, just final enclosing, what does Trump need to do tomorrow if he wants to stop this invasion at the border?
[02:15:30.960 --> 02:15:35.960]  He has to sit down and rethink this proclamation that he's put out.
[02:15:35.960 --> 02:15:49.960]  And I mean rethink it very, very carefully, amend it, rescind it and put in another one, another executive order, because otherwise what is on paper now is going to lead him into great difficulties in the courts.
[02:15:49.960 --> 02:15:54.960]  And it'll take at least eight months for this thing to hit the ground. All right, we'll be right back with the Alex Jones show.
[02:16:19.960 --> 02:16:24.960]  Or visit theofficialflag.com, theofficialflag.com.
[02:16:50.960 --> 02:16:54.960]  Feel the thrill only at slingbow.com.
[02:16:54.960 --> 02:16:59.960]  Know someone with a drinking or drug problem? Learn how to get sober after we share these stories.
[02:16:59.960 --> 02:17:04.960]  I was 35 with two beautiful children when my life and addiction started to spiral out of control.
[02:17:04.960 --> 02:17:11.960]  After my divorce, I went into a depression cycle and started drinking more often and using prescription drugs.
[02:17:11.960 --> 02:17:19.960]  After my second DWI and arrest, my ex-husband threatened to take our children away from me.
[02:17:19.960 --> 02:17:45.960]  I thought I could quit on my own, but I couldn't. It hit me when I was arrested.
[02:17:45.960 --> 02:18:03.960]  For those looking for the ultimate source of energy for their day, every day, the Brain Synergy Combo is here.
[02:18:03.960 --> 02:18:13.960]  Combining the powerful Turbo Force and Brain Force Plus Neutropic formulas, this combo has what you need to hit your maximum potential every day.
[02:18:13.960 --> 02:18:18.960]  Take the tasty Tropical Berry-flavored Turbo Force Instant Brain Pits with you on the go,
[02:18:18.960 --> 02:18:24.960]  or at work to help provide you with focus, clarity and energy and to reach your full potential.
[02:18:24.960 --> 02:18:30.960]  Hit the next generation of advanced neural activation with the Brain Force Plus Neutropic,
[02:18:30.960 --> 02:18:36.960]  a fan-favorite formula fueled by powerful, time-tested ingredients for a true 360 win.
[02:18:36.960 --> 02:18:43.960]  With this combo, you can have energy wherever you need, at home, on the go, in the car and more.
[02:18:43.960 --> 02:18:51.960]  Get pure energy on tap and take advantage of old and new InfoWars powerhouse formulas with the Brain Synergy Combo.
[02:18:51.960 --> 02:18:55.960]  Head to InfoWarsStore.com today.
[02:18:55.960 --> 02:19:01.960]  We're bringing back one of the biggest fan-favorite formulas we've ever offered with even better ingredients.
[02:19:01.960 --> 02:19:09.960]  Ultimate Bone Broth InfoWars Life is proud to bring you a powerhouse bone broth formula to help push you to your limits.
[02:19:09.960 --> 02:19:16.960]  This incredible formula will help you get the most out of your workout with the power of ultra-high-quality bone broth,
[02:19:16.960 --> 02:19:22.960]  one of the most popular health trends on the planet. Built with more than seven different superfoods and crucial compounds,
[02:19:22.960 --> 02:19:27.960]  Ultimate Bone Broth will help support your healthy muscles, digestion, tendons and ligaments,
[02:19:27.960 --> 02:19:31.960]  while also supporting your body's fight against free radicals.
[02:19:31.960 --> 02:19:36.960]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric,
[02:19:36.960 --> 02:19:42.960]  chaga mushroom, goji berry powder, bee pollen and alfalfa herb powder to support your body.
[02:19:42.960 --> 02:19:46.960]  It's time to experience what Ultimate Bone Broth can do for you.
[02:19:46.960 --> 02:19:57.960]  Get Ultimate Bone Broth now at 50% off.
[02:19:57.960 --> 02:20:06.960]  You're listening to the Alex Jones Show.
[02:20:06.960 --> 02:20:20.960]  All right, we're discussing the situation at the border, what the President needs to do with Stuart Roach from Oathkeepers.org,
[02:20:20.960 --> 02:20:27.960]  Dr. Edwin Vieira from EdwinVieira.com and NewsWithViews.com. It is very frustrating, Stuart.
[02:20:27.960 --> 02:20:31.960]  And we were just discussing where we want to go here, and here's what I'm saying.
[02:20:31.960 --> 02:20:37.960]  We can sit here and have these discussions all day long, and it doesn't matter how informed and how correct
[02:20:37.960 --> 02:20:41.960]  and how the advice from Dr. Edwin Vieira needs to be applied here.
[02:20:41.960 --> 02:20:44.960]  If the people don't put pressure on President Trump.
[02:20:44.960 --> 02:20:49.960]  Now, I know you have a major announcement that you're going to make at Oathkeepers.org later this afternoon.
[02:20:49.960 --> 02:20:51.960]  You can tease that a bit.
[02:20:51.960 --> 02:20:57.960]  But basically what it is, because we're talking about the courts, the President already knew that he was going to have to deal with the Ninth Circuit Court.
[02:20:57.960 --> 02:21:01.960]  I mean, he literally said, I'm going to deal with the Ninth Circuit Court, then I'm going to deal with the Appeals Court,
[02:21:01.960 --> 02:21:03.960]  and then I'm going to take it to the Supreme Court.
[02:21:03.960 --> 02:21:05.960]  So he already has all of this planned out for the next eight months.
[02:21:05.960 --> 02:21:07.960]  He already thinks that that's how it's going to go.
[02:21:07.960 --> 02:21:15.960]  Now, we have a different vision of how we need to handle this, and we have an audience that has a different vision of how we're going to handle this.
[02:21:15.960 --> 02:21:20.960]  But to me, it's like the President needs the public pressure.
[02:21:20.960 --> 02:21:23.960]  I mean, people need to pick up their phone call and call the White House switchboard.
[02:21:23.960 --> 02:21:25.960]  They need to pick up their phone and call their representatives.
[02:21:25.960 --> 02:21:27.960]  They need to call the House.
[02:21:27.960 --> 02:21:29.960]  They need to call the Senate.
[02:21:29.960 --> 02:21:36.960]  They need to let the President know that waiting for eight years to get this done as it goes through the court process is not acceptable.
[02:21:36.960 --> 02:21:40.960]  You have to do something about this now, but there needs to be some public pressure.
[02:21:40.960 --> 02:21:46.960]  So, I mean, just tease what you had coming up at Oathkeepers this afternoon and what other people need to do to apply pressure here.
[02:21:46.960 --> 02:21:52.960]  Well, we're going to announce a border operation, or as you call it, a rally in support of building the wall.
[02:21:52.960 --> 02:21:56.960]  So, the President, before, talked about having a human wall until the wall is built.
[02:21:56.960 --> 02:22:02.960]  So, we're going to put people down south of Eagle Pass as a start out there supporting the President and doing what's right.
[02:22:02.960 --> 02:22:17.960]  But going back to the point is that people out there, and that's the point of our rally, is to get the President to listen to us about what he should be doing as Commander-in-Chief under Title X, as Dr. Vieira has pointed out.
[02:22:17.960 --> 02:22:26.960]  But even this whole idea of Trump, you know, Trump articulating going from a district court judge in Ninth Circuit to the appellate court judge to the Supreme Court is showing he's getting bad advice also.
[02:22:26.960 --> 02:22:28.960]  He does not have to wait for that.
[02:22:28.960 --> 02:22:31.960]  Dr. Vieira, could you kind of just point out what he can do?
[02:22:31.960 --> 02:22:37.960]  And I just want to say, because you said it correctly in the break, Dr. Vieira, if he doesn't do this the right way, he's going to lose a lot of his base.
[02:22:37.960 --> 02:22:41.960]  And people are going to think he's feckless when it comes to this main campaign issue.
[02:22:41.960 --> 02:22:51.960]  Well, they'll more than think it. They'll know it. His policies, if they're not effective, well, you know, the buck stops here, as Truman says, who's responsible for that?
[02:22:51.960 --> 02:22:53.960]  It would be the President himself.
[02:22:53.960 --> 02:23:05.960]  Talking about the court system, the Supreme Court has jurisdiction to intervene in any case in a lower court that might come to the Supreme Court through the appellate process.
[02:23:05.960 --> 02:23:13.960]  So if someone goes into a U.S. district court, seeks an injunction against the President, let's assume the judge is going to grant this.
[02:23:13.960 --> 02:23:17.960]  He's a rogue judge. He's not going to pay attention to the statutes. He's going to grant the injunction.
[02:23:17.960 --> 02:23:28.960]  President Trump could immediately petition the Supreme Court of the United States, rid of certiorary, to intervene because of the extraordinarily important nature of the case.
[02:23:28.960 --> 02:23:35.960]  We don't have to go through months and months and perhaps the years of the appellate ladder and finally get it to the Supreme Court.
[02:23:35.960 --> 02:23:42.960]  There's no reason the Supreme Court couldn't decide to take it if it chooses to do so. Of course, that's the problem, if it chooses to do so.
[02:23:42.960 --> 02:23:53.960]  So that's where you get into the direct conflict between the executive branch and the congressional branch, Congress and the executive on the one hand, under the National Emergencies Act,
[02:23:53.960 --> 02:24:02.960]  and some single district court judge who was claiming to exercise authority to prevent the effective use of the National Emergencies Act,
[02:24:02.960 --> 02:24:13.960]  not only by the President Trump, but by Congress, which has retained the exclusive authority to rule on whether these national emergencies declared by the President are legitimate or not,
[02:24:13.960 --> 02:24:17.960]  whether they should be continued, whether they should be terminated, and so forth and so on.
[02:24:17.960 --> 02:24:27.960]  You cannot read that statute and come to any other conclusion than that exclusive jurisdiction over those questions is in the Congress of the United States, it is not in the judiciary.
[02:24:27.960 --> 02:24:37.960]  So at that point, I think if the Supreme Court didn't come in right away and tell that law court judge, no, you're wrong, dissolve that injunction or get rid of whatever rich you've provided,
[02:24:37.960 --> 02:24:53.960]  then President Trump simply has to take President Jackson's position, Andrew Jackson, and say, I am not going to allow a single district judge to interfere with the execution of this National Emergencies Act and the proclamation they're under.
[02:24:53.960 --> 02:25:08.960]  Well, what if the President did this? Because that's within Congress' authority. What if the President did this? Because you can use the US code for a multiple, you know, like for example, I can go read the US code right now that says any politician,
[02:25:08.960 --> 02:25:19.960]  anybody in government that allows, knowingly allows undocumented citizens, illegal aliens into this country illegally, and then depending on the crime they commit afterwards, it's a felony.
[02:25:19.960 --> 02:25:31.960]  I mean, you can lock all these people up. You can lock all these judges up. You can lock all these Democrat governors and mayors and congressmen up. I mean, you could literally use the US code that says I've read it a dozen of times.
[02:25:31.960 --> 02:25:44.960]  It literally says if you knowingly accompany or you knowingly allow illegal immigrants into this country, that's a felony. If they then commit a felony, the felony crime on you just went up 20 years.
[02:25:44.960 --> 02:25:58.960]  If they kill someone, you're now liable for life in prison. Why doesn't President Trump use that aspect of the US code? I doubt a Ninth Circuit judge is going to want to stand in the way of this if they think they're going to go to jail.
[02:25:58.960 --> 02:26:14.960]  Well, I think the problem there is a practical political one. You have these sanctuary cities, sanctuary state, I guess, California's example, where the elected officials are essentially thumbing their noses at the Constitution of the United States, Article 6, the supremacy clause of the Constitution saying,
[02:26:14.960 --> 02:26:32.960]  we are not going to abide by these laws with respect to illegal immigrants, what they call undocumented immigrants. And those people who give aid and assistance to illegal immigrants are liable criminally under certain of the immigration laws.
[02:26:32.960 --> 02:26:48.960]  Now, the difficulty is, of course, you have to go to a US attorney and he has to go to a grand jury and the grand jury has to give you an indictment. And then the indictment has to go in front of some district court judge, perhaps a rogue judge who will not dismiss the indictment.
[02:26:48.960 --> 02:27:01.960]  The case has to go to trial. Will you tell me how many years that's going to take in any particular instance? It would probably be a good idea for President Trump to have already done this with respect to some of the more notorious instances of the sanctuary city,
[02:27:01.960 --> 02:27:19.960]  the sanctuary state business, but he has a difficulty of practice. And of course, he has not had control, practical control, of the FBI and the Department of Justice since he came into office. And that's part of the whole enforcement process right there.
[02:27:19.960 --> 02:27:21.960]  The deep state's been controlling all those mechanisms.
[02:27:21.960 --> 02:27:23.960]  The deep state is in control there.
[02:27:23.960 --> 02:27:32.960]  So it sounds like the biggest obstacle is the fact that there just are all these obstacles. I mean, it doesn't matter where, even in his own cabinet, I mean, he can't even get good advice.
[02:27:32.960 --> 02:27:43.960]  It's unbelievable. So in closing, Stuart Rhodes, Dr. Vera Stewart, tell people where they can find the announcement you're going to make later.
[02:27:43.960 --> 02:28:00.960]  Yes, on oathkeepers.org. This afternoon, we'll be announcing our call to action for Americans that go stand on the border and beat that human wall as a show of support to the president, but also to encourage him to step all the way back into his constitutional role as commander in chief and do this right.
[02:28:00.960 --> 02:28:05.960]  And Dr. Edwin Vera, what will people find at newswithviews.com?
[02:28:05.960 --> 02:28:18.960]  Well, they'll find a whole series of articles that I've written, especially since the election of President Trump, that deal with all of these questions. The deep state, the use of the armed forces and the militia to accomplish some of his activities,
[02:28:18.960 --> 02:28:33.960]  especially with, say, gun control or the ability of teachers to be armed in the schools. I mean, I go into most of these problems, of course, from a constitutional perspective, because ultimately, if you don't have that foundation, you probably don't have much of anything.
[02:28:33.960 --> 02:28:43.960]  And that's why the Democrats are trying to destroy it right now. Of course, that's not when it plays to their advantage, and they can try to use it to their advantage. That's always convenient for them.
[02:28:43.960 --> 02:29:04.960]  All right, Dr. Edwin Vera, great stuff today. EdwinVera.com, newswithviews.com, Stuart Rhodes, always great to have you in the studio, oathkeepers.org, big announcement coming there this afternoon.
[02:29:13.960 --> 02:29:26.960]  I was 17 when I became addicted to heroin and meth. I thought I could quit on my own, but I couldn't. It hit me when I was arrested.
[02:29:43.960 --> 02:29:54.960]  Call right now before it's too late. 800-213-9264.
[02:29:54.960 --> 02:30:23.960]  By leaps and by bounds, the number one best-selling supplement family in the world is energy drinks and energy supplements. But they are riddled with dyes and toxins and synthetic caffeine and other chemicals that sure get you a quick boost but burn out in just a few hours and have terrible side effects.
[02:30:23.960 --> 02:30:37.960]  We have developed, hands down, from our research, the most powerful, healthy energy drink, pre-workout, and beyond system in the world. If there's nothing else like it, you must experience it. It is a total game changer.
[02:30:37.960 --> 02:30:55.960]  It comes in easy-to-use packets to mix in with fruit juice or water, whatever you'd like. Warning, though, it's very, very strong. It lasts 10 hours, so take a half packet the first time you take it because TurboForce is named TurboForce because it will take you into overdrive.
[02:30:55.960 --> 02:31:16.960]  At M4s, we're always looking for the very best, best-selling, highest-rated products that we can then private label and sell. Well, there is a national company who has FDA approval to sell their wound gel that is the strongest out there and we private label it and we sell it for $10 less online than they sell it at CVS and Walgreens.
[02:31:16.960 --> 02:31:25.960]  We also have another product also produced by the same company, Immune Gargle. We've been selling a lot of the wound gel and a lot of the Immune Gargle.
[02:31:25.960 --> 02:31:34.960]  We're going to go from full price to 40% off on all of these best-selling products right now at M4slife.com and M4store.com.
[02:31:34.960 --> 02:31:47.960]  This is a limited time immune boost special. It's super blue, silver immune gargle, and super silver wound dressing for 40% off at M4store.com. Again, this is a limited time immune boost special.
[02:31:47.960 --> 02:32:05.960]  It's super blue, silver immune gargle, and super silver wound dressing for 40% off at M4store.com.
[02:32:17.960 --> 02:32:27.960]  We're going to sell it for $3 a piece when you get in the box. But with the discount we're running right now as an introductory offer, it's $2.40 a bar. No one can top that and it funds liberty in the fight against the globalists.
[02:32:27.960 --> 02:32:40.960]  With 15 grams of protein and so much more, they're amazing. Secure your box of high-quality M4slife protein bars today and you will be impressed and you will reorder them and you will help fund the operation to break the globalist back.
[02:32:40.960 --> 02:32:55.960]  It's up to you. It's easy. Buy high-quality protein bars from us instead of the globalists. It will fund the revolution to take it to the next level. Please secure these incredibly tasty high-end protein bars at M4slife.com today. M4slife.com.
[02:33:10.960 --> 02:33:17.960]  Texas Commence Every and the Heart of the Resistance. And now, your host, Owen Troyer.
[02:33:41.960 --> 02:33:43.960]  Oh, it wasn't you. Lucky you. Or unlucky you.
[02:33:43.960 --> 02:33:49.960]  Yeah, so I threw my hat on my head and said I'd never wore a MAGA hat before. I bought it as a souvenir, but I'm going to go ahead and wear it.
[02:33:49.960 --> 02:33:51.960]  It was President's Day yesterday.
[02:33:51.960 --> 02:33:59.960]  Right. So, you know, buy a MAGA hat. Whether you like Trump or not, if you believe in free speech and don't want to be committing a hat crime or you do want to be committing a hat crime.
[02:33:59.960 --> 02:34:00.960]  A hat crime?
[02:34:00.960 --> 02:34:01.960]  Yeah.
[02:34:01.960 --> 02:34:02.960]  Are you committing a hat crime?
[02:34:02.960 --> 02:34:05.960]  I am right now. A hat crime.
[02:34:05.960 --> 02:34:09.960]  Well, hat crimes these days don't go unpunished, I mean.
[02:34:09.960 --> 02:34:10.960]  That's okay. Bring it.
[02:34:10.960 --> 02:34:19.960]  You can see the hat crime. No, but you know, it's funny, because that's honestly my biggest motivation, I think, at least, I mean, I obviously support President Trump.
[02:34:19.960 --> 02:34:27.960]  Most of the time, I don't agree with everything he does. I'm not a purist, but you know, I understand that if you agree with everything the President does, you're probably just in a cult.
[02:34:27.960 --> 02:34:34.960]  But it's almost just like the biggest flex of free speech right now is to wear a Trump hat.
[02:34:34.960 --> 02:34:41.960]  Like, I'm not going to be bullied by you. I'm not going to be intimidated by you. I'm going to support the President. I'm going to wear this hat, even if it does anger you and you want me to take it off.
[02:34:41.960 --> 02:34:42.960]  Screw you.
[02:34:42.960 --> 02:34:44.960]  Yeah. Like I said, bring it. Come take it.
[02:34:44.960 --> 02:34:45.960]  Come and take it.
[02:34:45.960 --> 02:34:46.960]  Come and take it. Yeah.
[02:34:46.960 --> 02:34:47.960]  Come and take it.
[02:34:47.960 --> 02:34:53.960]  It used to be about, you know, the gun from my cold head, and now it's my MAGA hat. Come and take my MAGA. And they do, man. They do.
[02:34:53.960 --> 02:34:58.960]  And so, yeah, you got 14-year-old boys getting harassed. I didn't even hear. What was the story that you heard?
[02:34:58.960 --> 02:35:02.960]  Some woman on Twitter was harassing an elderly Cuban man.
[02:35:02.960 --> 02:35:03.960]  There's video of this?
[02:35:03.960 --> 02:35:11.960]  Yes, it is on Twitter. And he's in a thrift store, and she's calling him nasty and horrible. And all she's doing is just solidifying his resolve to wear that hat.
[02:35:11.960 --> 02:35:12.960]  That's all it's going to do.
[02:35:12.960 --> 02:35:20.960]  Yeah. This Cuban, who probably defected from the communist state of Cuba, which Donald Trump, in his speech yesterday, was hammering again.
[02:35:20.960 --> 02:35:29.960]  So here's this man who freed, you know, who freed himself from Cuba, who supports the free market in America now, supports what Trump is doing.
[02:35:29.960 --> 02:35:39.960]  And this low life is going to cut. See, that's what they don't even understand. These people are escaping hellholes created by socialism and communism.
[02:35:39.960 --> 02:35:49.960]  And I think she, I mean, I don't know, but my guess is that she was especially offended because he was Cuban, because he was a minority who was supporting Trump.
[02:35:49.960 --> 02:35:53.960]  They seem to hate minorities who support Trump, even more than white people that support Trump.
[02:35:53.960 --> 02:36:04.960]  You see, that's part of their psychological makeup, that they want, this whole virtue signal campaign that they have for minorities, it's really nothing more than they want control over the minorities.
[02:36:04.960 --> 02:36:12.960]  So when they see, you know, a black person wearing a Trump hat, the reason why that angers them so much is because they want control over that black person.
[02:36:12.960 --> 02:36:18.960]  They want to be able to tell that black person how to think. I mean, that's really the psychology of these people. That's what it comes down to.
[02:36:18.960 --> 02:36:26.960]  That's why they get so ticked off when Kanye wears the hats. That's why they get so ticked off by people like Brandon Tatum and other black Americans that support Trump.
[02:36:26.960 --> 02:36:33.960]  They want control. It's all about control. They'll lie to get control, just like what you saw with Jesse Smollett.
[02:36:33.960 --> 02:36:39.960]  And that's what they want in America. They want America to be racist and hateful, because that's who they are.
[02:36:39.960 --> 02:36:45.960]  And then when they realize, wow, America really isn't this hateful place we wish it was, they have to fake it to make it.
[02:36:45.960 --> 02:36:52.960]  And any minority who wears a Trump hat is a race trader, basically. That's how they see them, is you're a race trader.
[02:36:52.960 --> 02:37:00.960]  You're not actually for your people. You know, you're an Oreo or a coconut or whatever you want to call you. You're actually a white person. You're a race trader.
[02:37:00.960 --> 02:37:09.960]  Oh my gosh, that reminds me. I met this Venezuelan out when I was in Berkeley. Of course, the video is banned on YouTube now.
[02:37:09.960 --> 02:37:15.960]  She was this nice Venezuelan lady out there supporting the president, and you had these hateful Trump protesters calling her.
[02:37:15.960 --> 02:37:18.960]  And she was like, yeah, I came out here. She was like, they called me coconut. They called me race.
[02:37:18.960 --> 02:37:26.960]  She's like 60 years old and a Trump hat, and she's tougher than all of these men out there trying to intimidate an old lady.
[02:37:26.960 --> 02:37:35.960]  Give me a break. It took more courage for her to come out there wearing that Trump hat than any of these fake men that come out here trying to bully her.
[02:37:35.960 --> 02:37:42.960]  There was a Latino for Trump rally here in Texas the other day, and I really think they should be a Venezuelan for Trump.
[02:37:42.960 --> 02:37:49.960]  Well, I think that's coming, especially after the speech that he delivered yesterday, and I mean, I don't know. I don't support regime change in Venezuela.
[02:37:49.960 --> 02:37:59.960]  I mean, I support regime change per se, but not US-led regime change, I would say, but it does look like that's the direction it's all going in.
[02:37:59.960 --> 02:38:04.960]  He should airdrop weapons into the people of Venezuela.
[02:38:04.960 --> 02:38:11.960]  You know, it's, look, extreme situations call for extreme action sometimes.
[02:38:11.960 --> 02:38:20.960]  Yeah, we sent the liberator pistol. We airdropped that into France so that people in France could resist the Nazis when we invaded Normandy invasion.
[02:38:20.960 --> 02:38:26.960]  I mean, it's bad in Venezuela. It really is, and I don't know what the solution is.
[02:38:26.960 --> 02:38:30.960]  Well, they were disarmed. They were disarmed about 15 years ago.
[02:38:30.960 --> 02:38:32.960]  Yeah, they can't do anything.
[02:38:32.960 --> 02:38:37.960]  Right, so why not rearm the people of Venezuela so they can take the trash out themselves?
[02:38:37.960 --> 02:38:42.960]  Maybe we just do that in Nicaragua and Cuba, too. You know, just see what happens then.
[02:38:42.960 --> 02:38:48.960]  You know, let's really solve socialism. You know what I'm saying? Like, let's really solve socialism.
[02:38:48.960 --> 02:38:50.960]  Power to the people.
[02:38:50.960 --> 02:38:53.960]  Yeah, so there's that going on right now.
[02:38:53.960 --> 02:39:01.960]  Now, there's some other news that we need to touch on today that this is a story that's really pretty much going uncovered.
[02:39:01.960 --> 02:39:06.960]  Rod Rosenstein plans to leave the Justice Department next month.
[02:39:06.960 --> 02:39:11.960]  Deputy Attorney General Rod Rosenstein plans to leave the Justice Department in mid-March.
[02:39:11.960 --> 02:39:19.960]  An official familiar with the matter said last night an announcement on his predecessor is expected soon.
[02:39:19.960 --> 02:39:33.960]  Rod Rosenstein, obviously number two at the Justice Department, total swamp rat. I mean, just like swamp rat extraordinaire Rosenstein with that criminal, like, veneer smile that he's got.
[02:39:33.960 --> 02:39:43.960]  What do you make of this? I mean, there really has been a lot of swamp draining at the FBI, and it kind of just goes overlooked because the swamp activity continues.
[02:39:43.960 --> 02:39:48.960]  But what do you make of Rosenstein setting to step down from his post?
