[00:00.000 --> 00:02.000]  Assume, impeach him.
[02:05:04.640 --> 02:05:10.960]  land management is ignoring the real estate title given by the state of texas 74 years ago to a farmer
[02:05:10.960 --> 02:05:15.680]  now the same bureaucracy that has ignored property rights for ranchers like cliven bundian nevada
[02:05:15.680 --> 02:05:20.880]  ignored property rights for minors in oregon and elsewhere is coming after the property of a texas
[02:05:20.880 --> 02:05:26.720]  farmer the blm has decided they will move the boundary take half his land and his house congress has
[02:05:26.720 --> 02:05:31.440]  allowed bureaucracies to grow unchecked because congress doesn't like to pass laws they have
[02:05:31.440 --> 02:05:36.560]  abdicated their constitutional duty to bureaucracies who not only write the law but often act as their
[02:05:36.560 --> 02:05:41.520]  own police force and run their own court no one in either party in washington wants to change it
[02:05:42.240 --> 02:05:47.200]  these bureaucracies will destroy every last remnant of your god given constitutionally protected
[02:05:47.200 --> 02:05:53.760]  rights including your property rights unless they are stopped by you by the people at the state
[02:05:53.760 --> 02:06:01.680]  and the local level for more information go to info wars dot com i'm david night when cells become
[02:06:01.680 --> 02:06:07.680]  toxic they die early and aging sets in no one has put together a formula that focuses directly on
[02:06:07.680 --> 02:06:13.360]  brain health nerve growth factors and optimizing your cellular energy at the same time just one
[02:06:13.360 --> 02:06:19.200]  of the key compounds biopq cube is backed by major clinical studies you want the best that's out there
[02:06:19.200 --> 02:06:24.400]  at the lowest price anywhere we now have the synergistic solution secure your dna force today
[02:06:24.400 --> 02:06:32.800]  at info wars life dot com or call toll free 8882533139 brain force is here ladies and gentlemen i've
[02:06:32.800 --> 02:06:36.800]  been on this the last few months you probably notice i've been more focused less brain fog more
[02:06:36.800 --> 02:06:41.280]  energy and it's because of brain force there's always hidden additives in your food even organic
[02:06:41.280 --> 02:06:45.120]  food has hidden additives staring at the computer all day working doing good you're still damaging
[02:06:45.120 --> 02:06:48.960]  your brain ultimately we've all been dumbed down to some degree it doesn't have stimulants it doesn't
[02:06:48.960 --> 02:06:53.840]  have garbage in it it has natural things that do it clean you will find brain force and other
[02:06:53.840 --> 02:07:05.360]  game changing products at info wars life dot com or call 8882533139 and it's that type of behavior
[02:07:05.360 --> 02:07:11.200]  that spurred me to do the research to develop a true nutraceutical formula that was designed to
[02:07:11.200 --> 02:07:16.720]  smooth out and help children focus all of our children are hit with modern mind control television
[02:07:16.720 --> 02:07:22.560]  music fast food gmo's sugars you name it young humans have not yet developed their nervous system
[02:07:22.560 --> 02:07:28.000]  and are being hammered daily by globalist concoctions it's no wonder they can't focus and
[02:07:28.000 --> 02:07:33.280]  calm down and then are put on dangerous psychotropic drugs working with my team we set out to find the
[02:07:33.280 --> 02:07:38.000]  best formula with the highest quality ingredients that children would actually like and take we worked
[02:07:38.000 --> 02:07:42.080]  with the leading manufacturer in nutritional supplements that are safe for children to bring
[02:07:42.080 --> 02:07:47.120]  you the most affordable and powerful calming formula out there introducing child ease with
[02:07:47.120 --> 02:07:52.720]  herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great
[02:07:52.720 --> 02:07:58.960]  obtain your child ease today at info wars life dot com that's child ease exclusively at info wars
[02:07:58.960 --> 02:08:10.400]  life dot com
[02:08:10.400 --> 02:08:26.160]  if you are receiving this transmission you are the resistance it's alex joe
[02:08:29.520 --> 02:08:35.840]  hillary clinton a disgraced former secretary of state first lady been gauzy fast and furious
[02:08:35.840 --> 02:08:42.080]  persecution of christians you name it is speaking joe begs is there inside the lion's den with her
[02:08:42.080 --> 02:08:49.040]  minions with the other self-propelled stomachs wearing his hillary four-present 2016 shirt
[02:08:49.760 --> 02:08:56.560]  joe begs let's hear a little bit from hillary herself we'll try we're kind of far back yay
[02:08:57.920 --> 02:09:04.160]  she says that uh she's going to do everything she can for veterans i don't think so you opened
[02:09:04.160 --> 02:09:12.960]  your homes you believed in me you worked hard for me i'm running for president to work hard for you
[02:09:15.280 --> 02:09:20.400]  she said that americans have opened their homes for her and uh she is going to be running for
[02:09:20.400 --> 02:09:24.720]  president oh yeah we're picking it up good we can hear him okay i'll get killing a little long too
[02:09:26.480 --> 02:09:29.440]  there was a presidential race going on back then
[02:09:29.440 --> 02:09:36.480]  and i was sent by the democratic national committee to register texas voters
[02:09:39.040 --> 02:09:43.360]  so i came down here for the summer with my boyfriend
[02:09:45.120 --> 02:09:48.880]  hillary for prison she's saying castros her boyfriend to hear that
[02:09:49.440 --> 02:09:53.520]  brilliant guy with a bushy head of hair and out beard
[02:09:53.520 --> 02:09:59.600]  oh better not be talking about me woman looked kind of like a bite thing if you want to know
[02:10:00.560 --> 02:10:07.520]  he had so much passion for democratic politics and i just got caught up and understanding what
[02:10:07.520 --> 02:10:14.320]  we needed to do to try to encourage and mobilize people to vote listen to that monotone trained
[02:10:14.320 --> 02:10:18.000]  voice so annoying that's what decides the direction of our country
[02:10:18.000 --> 02:10:25.440]  what he taught me back then and what he's continued to teach me is one of the many
[02:10:25.440 --> 02:10:27.840]  reasons i married him a few years later
[02:10:30.880 --> 02:10:34.880]  hill clinton i gotta tell you hill and i fell in love with south texas
[02:10:37.760 --> 02:10:43.520]  we ate a lot of green enchiladas and don't vote for monica's boyfriend's wife now what they do is
[02:10:43.520 --> 02:10:51.280]  they give them an anthropology briefing shiner hit shiner ball green enchiladas uh south texas
[02:10:51.280 --> 02:10:56.560]  she's she's she's this is cia anthropology to every area she goes to she says the politics
[02:10:56.560 --> 02:11:12.320]  long friend has so many unforgettable experiences now look i was a blonde girl for sepata but i hardly
[02:11:12.320 --> 02:11:17.440]  knew a word but i drove around south texas and the valley she just said she drove
[02:11:18.240 --> 02:11:22.400]  yeah and the valley leaders and people went welcomed me into their house
[02:11:22.400 --> 02:11:27.440]  it's all in any politics green enchiladas the valley let your throat if she could
[02:11:29.200 --> 02:11:35.760]  and i listened as people shared their stories their worries their dreams their worries their
[02:11:35.760 --> 02:11:41.200]  dreams i'm gonna give you your dreams i'm gonna give you your dreams i know your area green enchiladas
[02:11:41.200 --> 02:11:46.000]  i'm your friend i'm your friend obama care it's free two plus two equals five
[02:11:46.000 --> 02:11:52.720]  mothers and grandmothers were mothers grandmothers each group grandmothers mothers vikings
[02:11:52.720 --> 02:11:58.720]  hispanics all of you black people women who you're all getting mentioned who it's just
[02:11:58.720 --> 02:12:03.440]  i mean i'd get there give them a real speech i wouldn't go i know your shiner box your green
[02:12:03.440 --> 02:12:11.600]  enchiladas she speaks in kentucky she goes it's good to be here today i don't know gang don't
[02:12:11.600 --> 02:12:16.720]  break they don't you think i'm joking and then when she goes to like la to speak with spanish
[02:12:16.720 --> 02:12:23.680]  she goes hey no good to see you today i mean this is the condescension of how dumb she thinks people
[02:12:23.680 --> 02:12:29.520]  are let's go back and listen to her and her monotone voice and even better and help to send me to
[02:12:29.520 --> 02:12:36.560]  college to send me to college we i've come to our planet to assimilate you please submit this will
[02:12:36.560 --> 02:12:43.520]  not be too painful should always be a place where if you work hard and you do your part you can get
[02:12:43.520 --> 02:12:48.720]  ahead and stay it's hard to hear me over the screams for hell ahead yeah joe tell us what it's
[02:12:48.720 --> 02:12:54.400]  like to be with this nest of low IQ people that's the american dream oh it's disgusting it's like
[02:12:54.400 --> 02:13:00.320]  a train full of itty is derailed and it all tipped over right here inside of this uh station that
[02:13:00.320 --> 02:13:08.720]  plays like a giant toilet actually yeah sure why do you like hillary clinton well many reasons why
[02:13:08.720 --> 02:13:14.000]  i like hillary most of us well she knows what she's talking about i like carson who let's say says a
[02:13:14.000 --> 02:13:18.800]  muslim can't be president but under the constitution anybody can be president unless you're here from
[02:13:18.800 --> 02:13:23.360]  the united states so ask him if you like sharia law that's pretty cool do you like sharia law
[02:13:23.360 --> 02:13:29.680]  well no i don't but if you got uh what's his name uh trump to be our president you will
[02:13:29.680 --> 02:13:35.440]  have sharia law you will also have a lot of sharia law because you have all these abortion
[02:13:35.440 --> 02:13:41.040]  people saying hey look you know what abortion is bad but we live in a country where pro-choice
[02:13:41.680 --> 02:13:46.720]  is the way to go because i believe in pro-life actually i'm a christian but that's my view
[02:13:46.720 --> 02:13:53.280]  that's my belief okay if i lived in a sharia law kind of state then my belief whatever
[02:13:53.280 --> 02:13:57.120]  well tell him hillary wants to bring millions of radical islamists here that's not right
[02:13:58.000 --> 02:14:02.400]  i don't know about big dodgy radical uh islamism here oh really i didn't hear about that how is
[02:14:02.400 --> 02:14:08.000]  that possible the migrants what do you think how's hillary gonna do anything for better answer
[02:14:08.000 --> 02:14:12.400]  answer that question how is she bringing in radicals are you telling me well she's not getting
[02:14:12.400 --> 02:14:20.080]  the migrants so she has the most chillax immigration policy she wants to allow everybody in let me
[02:14:20.080 --> 02:14:23.680]  tell you something let me tell you something almost every country out there has immigration
[02:14:23.680 --> 02:14:26.880]  law i'm going to answer a question it goes back you actually came over here to me i didn't come
[02:14:26.880 --> 02:14:29.520]  to you but i'll go there you're going to play my arrogant you're going to play my game
[02:14:31.200 --> 02:14:39.680]  oh yeah we want to hear stall and talk um my my uh my grandparents came from Mexico and uh
[02:14:40.240 --> 02:14:44.800]  haven't was during moscow's revolution oh god talk to that feminist look at that p-brain
[02:14:44.800 --> 02:14:52.400]  talk to the p-brain come on talk to the p-brain uh he came here okay let's hear what you have to
[02:14:52.400 --> 02:14:56.960]  say there you go i just want you guys to scoot out of the way and be respectful of the people that
[02:14:56.960 --> 02:15:01.200]  are here no i'm standing here we're still interviewing p-brain roger that u.s america
[02:15:01.200 --> 02:15:06.480]  ask her if she's for free speech i can interview whoever i want hillary for prison well then how
[02:15:06.480 --> 02:15:10.560]  about you turn that way then and watch what she's saying and said you're sitting here well then don't
[02:15:10.560 --> 02:15:15.520]  tell me that you can't hear what she's saying or see that's pretty ignorant right roger that
[02:15:17.520 --> 02:15:21.520]  so as you can see there's a lot of mindless zombies out here oh i know that's a p-brain right
[02:15:21.520 --> 02:15:28.880]  there i'm here because hillary for women i think you have one more thing to say uh you talk about
[02:15:28.880 --> 02:15:34.160]  hillary going to prison this is what's really interesting back in under uh iran contra scandal
[02:15:34.160 --> 02:15:40.080]  when oragan was lying to the people about selling cocaine we're not been gawzy to him what do you call
[02:15:40.080 --> 02:15:43.920]  a minority we know about whoa whoa we're not worried about that we know like i don't care about
[02:15:43.920 --> 02:15:47.680]  that that's old we already know that trust me if you know this is trust me we know about that
[02:15:47.680 --> 02:15:55.280]  why okay but guess what i'm gawzy i don't care about them been gawzy because when bush been
[02:15:55.280 --> 02:16:00.880]  gawzy little little bush one of his things that he does to cut a cost was to cut a lot and they call
[02:16:00.880 --> 02:16:05.200]  him a member of the bush family a lot of our um overseas she calls him her brother one of the
[02:16:05.200 --> 02:16:10.480]  areas that was felt was been gawzy so probably hadn't been gawzy we're his bush too buddy enough guards
[02:16:10.480 --> 02:16:15.280]  there to defend that area and stuff that's the reason why there was a lot of deaths in Benghazi
[02:16:15.280 --> 02:16:19.200]  so let's see if we get that straight so we're not finding the rebels since you have this going on
[02:16:19.200 --> 02:16:24.320]  we're not finding the rebels so anyone else you want to ask me yeah i do alex do you have any
[02:16:24.320 --> 02:16:30.080]  other questions for him well i mean hillary funded the radical islamist in the state department
[02:16:30.080 --> 02:16:36.800]  in syria what do you think about russia standing up against that so hillary funded the syrian
[02:16:36.800 --> 02:16:44.160]  modern rebels how do you feel about russia stepping in and bombing isis russia actually make a lot of
[02:16:44.160 --> 02:16:50.480]  money off of the president of syria i'm talking trillions of dollars trillions bombing he's really
[02:16:50.480 --> 02:16:55.360]  bombing all the people over there they're actually going against that president not really the syrian
[02:16:55.360 --> 02:16:59.440]  i mean the syrian what's it called isis or any of them and stuff that's really the truth of it all
[02:16:59.440 --> 02:17:07.280]  also in iraq uh what do you call it um president putin also sold a lot of stuff to the iraqis such
[02:17:07.280 --> 02:17:15.200]  as um night vision goggles and other stuff like that so if you're four these guys so you know
[02:17:15.200 --> 02:17:20.480]  bombing over there in syria you're for a guy that was bombing those kind of veterans over there
[02:17:20.480 --> 02:17:26.160]  that were helping now the west star there in iraq then you should know and that's pretty messed up
[02:17:26.160 --> 02:17:29.920]  they all right so you the russians didn't give anything to the iraq opposition i don't support
[02:17:29.920 --> 02:17:35.440]  our country supply from the us and iraq i mean and the russia everything so we don't we don't
[02:17:35.440 --> 02:17:39.120]  want to play we've never supplied weapons i i'll tell you who we're supplying to we're supplying to
[02:17:39.120 --> 02:17:43.520]  the witty cult of people over there we're the moderate rebels that's just another name al nazar is
[02:17:43.520 --> 02:17:48.400]  al qaeda it's a political name it's just like when you say when a when a president says you
[02:17:48.400 --> 02:17:52.480]  support our troops they don't mean to you support our troops what they mean is do you support our
[02:17:52.480 --> 02:17:57.840]  policies it's it's a mind trick it's propaganda to trick you the viewer who just watches and believes
[02:17:57.840 --> 02:18:02.080]  everything on tv to go along with it so that way it guilt trips you to say yeah i'm for the troops
[02:18:02.080 --> 02:18:06.640]  i'm not against them obviously but what you said yes to is actually the policies of going over and
[02:18:06.640 --> 02:18:10.880]  bombing bombing countries going into countries we don't belong in playing team of american
[02:18:10.880 --> 02:18:15.760]  world police what do you think hillary clinton's gonna do she used to be an anti-war war hippie
[02:18:15.760 --> 02:18:19.280]  and now she's one of the biggest war mongrel she attacks syria okay well you brought some really
[02:18:19.280 --> 02:18:24.400]  great points i really appreciate that stuff let's go down what you guess for me number one
[02:18:24.400 --> 02:18:29.760]  um before i talk about warmongering let's look at one of our last we call it uh vice president's
[02:18:29.760 --> 02:18:33.920]  chain who's one of the biggest war monitors oh we don't like i don't like him either i hate him so
[02:18:33.920 --> 02:18:37.680]  that's that's warmongers you know you should really look for those kind of people the most
[02:18:37.680 --> 02:18:41.440]  interesting lesson oh i don't have to worry about them now i'm worrying about the next president
[02:18:41.440 --> 02:18:45.760]  who's gonna run my country into the ground the last guy's been screwed up every promise he said
[02:18:45.760 --> 02:18:49.120]  we're gonna close down go on time we're gonna pull everybody out of afghanistan guess what
[02:18:49.120 --> 02:18:52.480]  we're leaving five thousand five hundred more troops that's what obama's doing he hasn't done
[02:18:52.480 --> 02:18:56.880]  one thing he said i don't want another pro obama because guess what hillary clinton's gonna be
[02:18:56.880 --> 02:19:01.200]  another obama and she's another clinton we don't need that well when you have a republican we
[02:19:01.200 --> 02:19:07.360]  call it party uh uh president saying that his whole big thing idea is he just thinks we're
[02:19:07.360 --> 02:19:13.600]  republicans he just identifies with him and not well i'm just saying you know and we're against
[02:19:13.600 --> 02:19:17.920]  the establishment candidates helping the middle class and stuff like that for those eight years
[02:19:17.920 --> 02:19:22.560]  unfortunately obama's has such a hard time this guy's we've heard all the democratic talking
[02:19:22.560 --> 02:19:26.480]  points joe that's good you probably want to move on to somebody else joe we're going here with
[02:19:26.480 --> 02:19:35.760]  sun hillary clinton okay well i gotta go uh joe we're going to break uh you're doing a great job
[02:19:36.320 --> 02:19:42.560]  this is pretty informative stuff take a break a few minutes and then just just get the holding
[02:19:42.560 --> 02:19:44.880]  pattern there because i have a feeling they're about to try to throw you out there's a secret
[02:19:44.880 --> 02:19:49.280]  service let's get some pans of the secret service and then we're going to come back with one more
[02:19:49.280 --> 02:19:53.840]  segment then i'm going to get into the really big news uh here straight ahead uh joe begs in the
[02:19:53.840 --> 02:20:03.520]  middle of the hillary uh moron train we'll be back we use mobile devices right against our bodies
[02:20:03.520 --> 02:20:07.920]  every day but growing scientific evidence has emerged showing serious health risks associated
[02:20:07.920 --> 02:20:12.960]  with exposure to emf radiation emitted from these devices the solution is defender shield the most
[02:20:12.960 --> 02:20:17.440]  effective mobile radiation shielding ever developed defender shield blocks virtually 100 percent of
[02:20:17.440 --> 02:20:23.520]  emf radiation from cell phones tablets and laptops and starts at just 6499 buy now at defender shield
[02:20:23.520 --> 02:20:29.120]  dot com for 10 off use promo code gcm defender shield dot com the worldwide leader in mobile
[02:20:29.120 --> 02:20:35.360]  radiation shielding this is dan billard you owe the iris money you can't pay our tax debts crippling
[02:20:35.360 --> 02:20:40.320]  you i've defended people from the iris for over 30 years i've helped thousands and i can help you
[02:20:40.320 --> 02:20:44.720]  too i wrote the book on iris settlement and i'm telling you there's no such thing as a hopeless
[02:20:44.720 --> 02:20:51.280]  case call 800 34 no tax to finally get free of iris debt with the iris's new programs there's never
[02:20:51.280 --> 02:20:58.400]  been a better time to solve your problem call 800 34 no tax that's 800 34 no tax or my website
[02:20:58.400 --> 02:21:06.000]  danpilla.com my name is bill bonner and i'm the president of the largest private news and research
[02:21:06.000 --> 02:21:12.080]  network in the world and i paid for this airtime because i have an important message to the american
[02:21:12.080 --> 02:21:19.200]  people there's a change coming that the government isn't telling you about this change has deep
[02:21:19.200 --> 02:21:25.200]  implications for life in america from where you shop to the doctors you visit and the family you
[02:21:25.200 --> 02:21:32.960]  want to protect look i've made predictions like this before thing is i was right then too a few
[02:21:32.960 --> 02:21:40.960]  years ago i warned that housing prices would collapse they did before that i warned that dot
[02:21:40.960 --> 02:21:48.320]  com companies would crash they did those who listened had a chance to save themselves but
[02:21:48.320 --> 02:21:53.280]  this has nothing to do with the stock market this will affect us all you can watch the video for
[02:21:53.280 --> 02:22:01.120]  free right now by going to dollar danger dot com again that's dollar danger dot com young people
[02:22:01.120 --> 02:22:05.280]  are supposed to be full of energy and recover quickly from exercise their aid should give them
[02:22:05.280 --> 02:22:10.160]  a great advantage to feeling good all the time however young people of today are dealing with
[02:22:10.160 --> 02:22:15.280]  the same nutrient deficient food as everyone else in america so it does not matter whether you are
[02:22:15.280 --> 02:22:21.440]  15 or 85 if your biochemistry is off you cannot feel your best listen to the real world results of
[02:22:21.440 --> 02:22:26.960]  james my name is james ashley i'm 25 years old at the end of a tiring work shift i used to not
[02:22:26.960 --> 02:22:32.000]  do much around the house since i started taking the new technology enhance one-world-way after work
[02:22:32.000 --> 02:22:37.120]  i have so much energy when i get home that i'm able to take long walks and do chores and even honey
[02:22:37.120 --> 02:22:41.680]  to do list from the wife it's plenty enough energy to get things done around the house and time to
[02:22:41.680 --> 02:22:46.960]  settle down before bedtime this way protein gives me outstanding amount of long-lasting feel good
[02:22:46.960 --> 02:22:56.400]  energy i'm astonished of how great this product makes me feel call 888-988-3325 or visit oneworldway.com
[02:22:56.400 --> 02:23:05.200]  that's one world whey.com new manna the true pioneer of healthy storable foods and preparedness
[02:23:05.200 --> 02:23:11.840]  products has gone and done it again new manna is now the first food storage company in the country
[02:23:11.840 --> 02:23:18.000]  to offer organic powdered milk free of hormones our goal is to change the way you look at
[02:23:18.000 --> 02:23:26.480]  storable food new manna is GMO free contains no high fructose corn syrup aspartame or artificial
[02:23:26.480 --> 02:23:33.120]  ingredients new manna is great tasting and easy to fix meals are perfect for emergencies or a
[02:23:33.120 --> 02:23:39.120]  quick dinner for your family this weekend we also offer the revolutionary defender pack which
[02:23:39.120 --> 02:23:46.560]  combines organic superfoods with the GMO free meals our customers rave about go to new manna.com
[02:23:46.560 --> 02:23:59.040]  or call 888-590-775 today to learn more that's 888-590-775 new manna food storage you'll love to eat
[02:24:01.360 --> 02:24:05.040]  no matter how hard you try you can't stop us now
[02:24:09.200 --> 02:24:14.400]  we got shots of san joseph police officer secret service you name it joe is over the fence
[02:24:14.400 --> 02:24:22.960]  inside the hillary moron factory and i'm sorry these people really are helpless just like some
[02:24:22.960 --> 02:24:29.200]  mainline jeb bush supporters are and we're sitting there trying to explain to the guy we're against
[02:24:29.200 --> 02:24:34.480]  hillary because she's involved in all these wars she's a huge basically neocon he just keeps going
[02:24:34.480 --> 02:24:40.080]  back to ronald reagan who's dead we get both parties have major problems but the democrats
[02:24:40.080 --> 02:24:45.360]  that's of the venereal diseases are like the aids you know and whereas republicans are more
[02:24:45.360 --> 02:24:50.000]  like gonorrhea at this point and i hate to use gross analogies like that but they're going for
[02:24:50.000 --> 02:24:55.360]  broke here uh and uh joe biggs they have left you alone with your hillary for prison shirt that's
[02:24:55.360 --> 02:24:59.200]  good you're not stirring up any trouble you're just there doing interviews so i'm glad that
[02:24:59.200 --> 02:25:04.800]  that the san Antonio folks are not acting uh like you know to police state any other observations
[02:25:04.800 --> 02:25:12.640]  joe biggs well actually most of them the actual local police are looking at me smiling are agreeing
[02:25:12.640 --> 02:25:16.000]  with my shirt every now and then you'll seem to kind of look over a knot and uh you'll see
[02:25:16.000 --> 02:25:20.160]  like a smirk happen or whatever but they're trying to be professional in that show any kind of
[02:25:20.160 --> 02:25:25.360]  political side or favoring whatsoever but obviously people out here screaming hillary for prison
[02:25:25.360 --> 02:25:30.320]  you know go to jail for war crimes now you have people over here screaming that hillary needs to
[02:25:30.320 --> 02:25:36.000]  go to the white house like i said a train full of idiots wreck flipped over and it all poured out
[02:25:36.000 --> 02:25:41.440]  here into this area and it's just a whole nother world what did you think of that guys canned
[02:25:41.440 --> 02:25:46.880]  responses he wasn't listening to anything he just likes hillary even though he doesn't like her
[02:25:46.880 --> 02:25:52.800]  policies he just supports her mindlessly that's how most of the people are here i mean that's how
[02:25:52.800 --> 02:25:56.880]  most of the people who are going to vote for hillary clinton are they're mindless they have no idea
[02:25:56.880 --> 02:26:01.680]  they don't really look at the facts they don't actually go in they're this is a whole country
[02:26:01.680 --> 02:26:06.080]  that's just obsessed with being progressive and trendy and cool you know we just had the last guy
[02:26:06.080 --> 02:26:11.040]  who was black the first so now automatically have to have the first female president and it's not
[02:26:11.040 --> 02:26:16.160]  we're misogynist we're we're sexist and racist you know and it's that whole same thing that they
[02:26:16.160 --> 02:26:21.280]  keep serving to us every day you know biggs who are you really liking i mean obviously i like what
[02:26:21.280 --> 02:26:26.480]  trump says i like the fact he's aggressive i don't know about trust his history but now they're moving
[02:26:26.480 --> 02:26:31.120]  to basically go after ram poll and ron poll in guiding their former chief of staff for nothing
[02:26:31.680 --> 02:26:36.480]  literally nothing i mean this is getting this is getting creepy well it shows you they're scared
[02:26:36.480 --> 02:26:40.720]  of you know the polls obviously i mean these are people who go out and speak the truth you know
[02:26:40.720 --> 02:26:44.560]  there are some things that ran paul does that i quite you know i don't really agree with but
[02:26:44.560 --> 02:26:49.440]  there's more things that he does do that i do go with you know what donald trump like he said before
[02:26:49.440 --> 02:26:54.160]  he says a lot of great things but at the same time he doesn't offer a lot of solutions it's still
[02:26:54.160 --> 02:26:58.000]  early in the race i'm still hoping for him to come out and kind of give me some solutions to these
[02:26:58.000 --> 02:27:02.480]  problems if we bring it to the table you know building a wall simply will not fix this immigration
[02:27:02.480 --> 02:27:06.160]  problem we've been to the border before we've shown how wide open it is and even if there is a
[02:27:06.160 --> 02:27:11.520]  fence there in places in arizona or mecca or uh texas to have fences people say that get over it
[02:27:11.520 --> 02:27:15.280]  they go under it they figure out a way they pay somebody they get stuck in the back of a trunk
[02:27:15.280 --> 02:27:19.280]  we need to do something more than just building a wall and that's just going to be a big waste of
[02:27:19.280 --> 02:27:23.440]  money but you know like i said it's early he's got time to come out with some other things
[02:27:23.440 --> 02:27:27.440]  you know i think uh web on the democrat side really doesn't fit over there i think he should
[02:27:27.440 --> 02:27:32.880]  have been in the gop race he doesn't really seem to have the uh the equalities of the other candidates
[02:27:32.880 --> 02:27:38.000]  that were running for the uh you know democratic contenders so who knows like i said it's still
[02:27:38.000 --> 02:27:42.240]  early we'll see what happens but at this point in time what i do know 100% is that this woman
[02:27:42.240 --> 02:27:49.680]  does not belong in there she does not belong in the white house she does not belong as our president
[02:27:49.680 --> 02:27:55.680]  it's disgusting to see this many people show up in support of this woman knowing that she's going
[02:27:55.680 --> 02:28:01.120]  into this with so many lies on the table you know if you're going to run for an important
[02:28:01.120 --> 02:28:06.160]  position such as the president of the united states and you've already got this many scandals
[02:28:06.160 --> 02:28:10.880]  going on before it even happens and yet people are still voting for you that just shows how doomed
[02:28:10.880 --> 02:28:18.240]  we are well i agree and i just can't believe that she's gotten away with so much i mean i can't
[02:28:18.240 --> 02:28:23.760]  really think of anybody more corrupt than hillary clinton and you know she's under a rock like like
[02:28:23.760 --> 02:28:29.760]  like bush or something it'd be one thing but she just hangs around forever they've been on air i mean
[02:28:29.760 --> 02:28:36.320]  they've been in politics since i was a little kid and i've been on air 20 years having to cover
[02:28:36.320 --> 02:28:42.480]  hillary clinton and i am so sick of her i mean it's like it's a bad movie that i'm sick of looking at
[02:28:42.480 --> 02:28:49.280]  it's like groundhog day joe exactly i remember when uh bill first started running i was very young
[02:28:49.280 --> 02:28:54.240]  i remember that happening and my teacher asked me why don't you like bill clinton and i just said
[02:28:54.240 --> 02:28:59.600]  some you know childish answer at the time but you know it turned out to be right you know these guys
[02:28:59.600 --> 02:29:04.480]  have a bad history and they're going to continue and the biggest thing is whatever you run into
[02:29:04.480 --> 02:29:10.000]  feminist and they say they're pro women they're pro empowerment and all this and that but they never
[02:29:10.000 --> 02:29:14.240]  really look at the fact that the clinton's take money from these different countries that simply
[02:29:14.240 --> 02:29:18.480]  treat women like garbage so how can you say that you're for women and then you allow that to happen
[02:29:18.480 --> 02:29:22.720]  or say that you want to empower women to do the right thing but then you sit there and cover up
[02:29:22.720 --> 02:29:27.280]  for your your husband who's uh you know having affairs and you know you're having this bad
[02:29:27.280 --> 02:29:31.440]  absolutely joe that doesn't show empowerment keep reporting great job we'll have more your
[02:29:31.440 --> 02:29:35.760]  footage on the nightly news tonight seven o'clock central i'm gonna come back and break down political
[02:29:35.760 --> 02:29:40.800]  persecution america and the feds creating new units run by the democrats and the southern
[02:29:40.800 --> 02:29:46.400]  poverty law center to persecute the patriots and it's certainly accelerating key information straight
[02:29:46.400 --> 02:29:56.880]  ahead we're on the march the empires on the run alex jones and the gcn radio network
[02:29:56.880 --> 02:30:07.040]  the obama administration is spending 75 million dollars a year arming special agents with the
[02:30:07.040 --> 02:30:13.840]  environmental protection agency with drones night vision goggles camouflage guns and assault ships
[02:30:13.840 --> 02:30:20.720]  the epa is equipping its own army to take out u.s polluters watchdog group open the books examine
[02:30:20.720 --> 02:30:26.960]  thousands of checks totaling more than 93 billion dollars from 2000 to 2014 and they found that 75
[02:30:26.960 --> 02:30:32.320]  million is authorized each year for criminal enforcement of america's clean air and water
[02:30:32.320 --> 02:30:38.000]  laws some of these weapons are for full-scale military operations two years ago the epa was
[02:30:38.000 --> 02:30:43.360]  involved in an armed raid at a small town in alaska where miners were accused of polluting
[02:30:43.360 --> 02:30:48.640]  local waters it's incredibly ironic considering that it was the environmental protection agency
[02:30:48.640 --> 02:30:53.920]  who was recently guilty of dumping millions of pounds of toxic wastewater into the animus river
[02:30:53.920 --> 02:31:00.880]  in colorado causing untold damage to the environment for years to come read more now at info wars.com
[02:31:00.880 --> 02:31:05.760]  your liver can be full of fatty deposits built up toxins and even dangerous objects known as
[02:31:05.760 --> 02:31:11.680]  liver stones we worked with the top developers in the field of detox to take tried and true herbs
[02:31:11.680 --> 02:31:16.480]  and other compounds known to safely cleanse the liver and fused it with the latest research
[02:31:16.480 --> 02:31:21.360]  and technological development on concentrating these ingredients to give you the maximum effect
[02:31:21.360 --> 02:31:26.560]  liver shield is the only liver support product in the market that uses a patented spygerex blend
[02:31:26.560 --> 02:31:31.440]  of powerful organic herbs that support detoxification and when you visit infowarslife.com
[02:31:31.440 --> 02:31:36.800]  see the instructional video on how to do a six-day liver detox this isn't a game and let me tell you
[02:31:36.800 --> 02:31:42.640]  the results are dramatic liver shield is totally organic and made of the safest high quality herbs
[02:31:42.640 --> 02:31:47.600]  but that said you need to consult your physician before you do the full detox liver shield can
[02:31:47.600 --> 02:31:53.120]  also be used daily by itself for overall upkeep and liver secure your liver shield today exclusively
[02:31:53.120 --> 02:32:00.720]  at infowarslife.com for the lowest price available that's infowarslife.com or call 888-253-3139
[02:32:00.720 --> 02:32:07.920]  introducing secret 12 the new info wars life vitamin b12 formulation secret 12 is a binary of
[02:32:07.920 --> 02:32:14.240]  nutrimentical grade bioavailable coenzyme forms of b12 methylcobalamin the same kind used in b12
