[00:00:01.667 --> 00:00:03.728]  It's Wednesday the 19th.
[02:18:34.116 --> 02:18:36.918]  What's going on domestically and will be in Ferguson.
[02:18:36.918 --> 02:18:38.239]  Part and parcel to it.
[02:18:38.239 --> 02:18:40.140]  The taking down of the US dollar.
[02:18:40.140 --> 02:18:42.581]  None of this is happening by accident.
[02:18:42.581 --> 02:18:45.023]  What about the attack on the parliament in Ottawa?
[02:18:45.023 --> 02:18:46.924]  That guy looked like a total cut out as well.
[02:18:46.924 --> 02:18:49.106]  Again, we're not saying terrorism isn't real.
[02:18:49.106 --> 02:18:51.507]  The globalists are letting these people attack.
[02:18:51.507 --> 02:18:53.969]  And we shouldn't give our freedoms up if somebody goes and does that.
[02:18:54.608 --> 02:18:55.489]  No, not at all.
[02:18:55.489 --> 02:18:56.089]  Not at all.
[02:18:56.089 --> 02:18:56.990]  No, absolutely.
[02:18:56.990 --> 02:19:14.020]  And, you know, I think at the basis, I'm a Christian, and everything has been explained in the Bible, the attributes of the people, the falling away, as one of the last callers pointed out, you know, it is our responsibility as citizens... As humans.
[02:19:14.020 --> 02:19:14.220]  Right.
[02:19:14.220 --> 02:19:14.781]  And as humans.
[02:19:14.781 --> 02:19:16.762]  Well, you said it, the bottom of the rat hole is Satan.
[02:19:17.663 --> 02:19:18.564]  Absolutely.
[02:19:18.564 --> 02:19:18.944]  Yep.
[02:19:18.944 --> 02:19:19.965]  It's good versus evil.
[02:19:19.965 --> 02:19:34.234]  And it is a, uh, you know, we see the, they're bringing out the animal nature or human nature of man, rather than uplifting them to the spirit, leading them and pointing them to the spiritual nature, which is what we are all able to be.
[02:19:34.234 --> 02:19:38.777]  But they're pulling us down to the basic animal instinct through our own human nature.
[02:19:39.798 --> 02:19:56.529]  Well said, that is exactly what is at the bottom of the rabbit hole, is a spirit, a system, whether you believe in spirits or not, a manifestation through human interaction, through archetypes if you will, that wants to kill, steal and destroy and dumb people down so it can control them.
[02:19:56.529 --> 02:20:00.551]  It's the ultimate form of selfishness and it's truly disgusting.
[02:20:00.551 --> 02:20:03.773]  Chris in South Carolina, you're on the air, welcome.
[02:20:03.773 --> 02:20:05.835]  Yes sir, I appreciate you for taking my call.
[02:20:08.070 --> 02:20:14.774]  I've been thinking about Ferguson and I've also been thinking about how this all plays into a bigger thing.
[02:20:14.774 --> 02:20:18.416]  I believe Ferguson in itself is nothing more.
[02:20:18.416 --> 02:20:26.660]  You've often said that these guys are scientists that do scientific experiments.
[02:20:26.660 --> 02:20:34.164]  They're using this to understand how a martial law will work on a larger scale.
[02:20:34.967 --> 02:20:47.074]  And the condition is that the Marshall Law comes and goes and returns and maintains order so we will accept the rollout of the International Stabilization Force that is in the Rand Corporation document.
[02:20:47.074 --> 02:20:47.755]  This is all planned.
[02:20:48.712 --> 02:21:02.376]  And then that goes along with the amnesty thing, because see, the amnesty thing and the healthcare thing go together because they're all linked back to the UN.
[02:21:02.376 --> 02:21:14.240]  And if the only way to get us to accept it is to bring in a martial law, and because we're already in it, but to get us to accept it... That's right.
[02:21:16.854 --> 02:21:21.678]  Well, it's the Henry Kissinger quote to the CFR.
[02:21:21.678 --> 02:21:26.282]  It was a trial commission meeting, but they put it in the CFR foreign affairs publication back in 91.
[02:21:26.282 --> 02:21:31.886]  He said, look, Americans would never accept UN troops in Los Angeles unless there was the right crisis.
[02:21:31.886 --> 02:21:34.288]  But once there is the right crisis, they would accept it.
[02:21:34.288 --> 02:21:42.214]  I mean, you can search a stability police force for the United States that they first put out back in the 90s and then James Jones, the head of
[02:21:43.416 --> 02:21:47.179]  The Security Council a few years ago put it out again with an update.
[02:21:47.179 --> 02:21:49.640]  I mean, it's checkpoints on every corner.
[02:21:49.640 --> 02:21:50.701]  It's secret police.
[02:21:50.701 --> 02:21:52.442]  It's people being disappeared.
[02:21:52.442 --> 02:21:56.545]  I mean, it's East Germany on PCP and steroids.
[02:21:56.545 --> 02:21:58.926]  And they're just rolling this baby out.
[02:21:58.926 --> 02:22:00.948]  And the average cop's as good as pumpkin pie!
[02:22:01.428 --> 02:22:01.849]  On average.
[02:22:01.849 --> 02:22:02.729]  I mean, I'll be honest.
[02:22:02.729 --> 02:22:04.091]  There are a lot of bad cops out there.
[02:22:04.091 --> 02:22:04.791]  Those are bad people.
[02:22:04.791 --> 02:22:06.112]  But it doesn't matter.
[02:22:06.112 --> 02:22:10.416]  Because they're putting in the system where the nice cop doesn't know.
[02:22:10.416 --> 02:22:11.718]  They just say, pick you up.
[02:22:11.718 --> 02:22:15.061]  They bring you to the place where you get put in a black van and taken away.
[02:22:15.061 --> 02:22:16.322]  And then it's kind of like, we don't know.
[02:22:16.322 --> 02:22:17.763]  They're going away in a black van.
[02:22:17.763 --> 02:22:19.525]  Folks, we're here.
[02:22:19.525 --> 02:22:21.447]  That's what this Ebola cover-up is about.
[02:22:21.447 --> 02:22:25.670]  They are just simulating and testing and probing and going, hey.
[02:22:26.698 --> 02:22:27.718]  InfraGard!
[02:22:27.718 --> 02:22:30.639]  Preachers are here to tell you to go to the camp when you're told.
[02:22:30.639 --> 02:22:33.299]  I've told people about that four years before it was in the news.
[02:22:33.299 --> 02:22:34.780]  Then it was in local news.
[02:22:34.780 --> 02:22:37.060]  I mean, they're really probing.
[02:22:37.060 --> 02:22:37.880]  Great points, Chris.
[02:22:37.880 --> 02:22:39.201]  Anything else?
[02:22:39.201 --> 02:22:40.381]  Yes.
[02:22:40.381 --> 02:22:42.701]  One more thing.
[02:22:42.701 --> 02:22:48.303]  You know how they have referred to the Ebola virus as the zombie virus?
[02:22:48.303 --> 02:22:49.763]  If you just type in ZMAT,
[02:22:50.723 --> 02:22:55.366]  What comes up is zombie military attack team.
[02:22:55.366 --> 02:22:57.727]  Why would they name that that?
[02:22:57.727 --> 02:23:02.370]  And then I started thinking about some other stuff when you said how it changes the DNA.
[02:23:02.370 --> 02:23:07.733]  And so I did a cross-reference because I had seen something with something called Funvax and Vmat2.
[02:23:07.733 --> 02:23:10.515]  And there is a cross-connection.
[02:23:10.515 --> 02:23:11.675]  I went and got documents.
[02:23:11.675 --> 02:23:14.617]  I was going to send them to you and all of a sudden my computer went down.
[02:23:14.617 --> 02:23:14.957]  Crazy.
[02:23:14.957 --> 02:23:15.678]  Well, let me just say this.
[02:23:17.369 --> 02:23:18.850]  We first reported this about five years ago.
[02:23:18.850 --> 02:23:21.672]  People didn't believe us, but a year later it started coming out.
[02:23:21.672 --> 02:23:28.318]  Marines and Army were training to mow down looters and mow down masses of starving people in America.
[02:23:28.318 --> 02:23:36.384]  The troops freaked out about it, so they said, oh, they're zombies now, and so that's how they cover the troops training to mow down American citizens.
[02:23:36.384 --> 02:23:37.705]  See, it's all psyops.
[02:23:37.705 --> 02:23:40.627]  It's all psychological warfare.
[02:23:40.627 --> 02:23:41.608]  Thank you.
[02:23:41.608 --> 02:23:46.412]  Guys, you want to comment on the zombie kill training going on all over the world right now from Japan to the U.S.? ?
[02:23:47.671 --> 02:23:49.172]  Well, absolutely.
[02:23:49.172 --> 02:23:57.156]  You know, and the word zombie, people think in their mind, you know, some kind of half-dead, half-alive human, you know, mindless person.
[02:23:57.156 --> 02:24:01.118]  Well, it is not referring to that, some type of mutated person.
[02:24:01.118 --> 02:24:06.661]  They're dehumanizing you like Hitler would say Jews were rats or Jews were vampires.
[02:24:06.661 --> 02:24:08.442]  They're dehumanizing everybody.
[02:24:08.442 --> 02:24:08.722]  Go ahead.
[02:24:09.189 --> 02:24:23.821]  Yeah, and because of this materialist mentality in society we have, people have been hollowed out inside because they have been too consumed with the tangible things of the world that they can, you know, get their hands on and want.
[02:24:23.821 --> 02:24:33.168]  And when they refer to zombies, they're talking about when everything breaks down, the mindless, the millions of mindless Americans who do not know where to look.
[02:24:33.368 --> 02:24:52.295]  And they're telling you you're a zombie, they're dehumanizing you, they're preparing you, but they know within about 7 days most people will steal, within 10 days most people will kill for food, within 15, 98% of people in Pentagon studies, you can look up the study, will cannibalize.
[02:24:52.295 --> 02:24:52.555]  98%.
[02:24:52.555 --> 02:24:57.557]  And I gotta be honest, if my kids are starving and somebody's already dead, I'm gonna probably start cooking.
[02:24:57.557 --> 02:24:58.938]  If I think I can get through it.
[02:25:00.047 --> 02:25:04.229]  Uh, if you think you're going to get through the emergency, you will end up eating people.
[02:25:04.229 --> 02:25:07.891]  And this is the, all I know is they're doing the training and it's insane.
[02:25:07.891 --> 02:25:09.972]  We just showed the news article on screen.
[02:25:09.972 --> 02:25:15.776]  I mean, you cannot, I say this stuff and used to folks didn't know how to search engine something quick, so they thought I was nuts.
[02:25:15.776 --> 02:25:16.616]  Now they can look it up.
[02:25:16.616 --> 02:25:18.177]  I mean, it is just crazy.
[02:25:18.177 --> 02:25:20.678]  Let's go to Sledgehammer in Utah.
[02:25:20.678 --> 02:25:21.799]  Sledgehammer, you're on the air.
[02:25:23.626 --> 02:25:24.387]  Yes Alex, hello.
[02:25:24.387 --> 02:25:25.487]  Welcome, brother.
[02:25:25.487 --> 02:25:31.312]  I was wondering what everybody's opinion is of ISIS and what they're waiting for.
[02:25:31.312 --> 02:25:32.613]  They didn't strike on 9-11.
[02:25:32.613 --> 02:25:38.597]  Are they going to try to blemish our holidays with terrorist attacks?
[02:25:38.597 --> 02:25:43.560]  And are they going to try to hijack the Ferguson protests and expound on that?
[02:25:47.182 --> 02:25:51.066]  Well, there are Muslim radical sleeper cells all over the country.
[02:25:51.066 --> 02:26:06.481]  They've been brought in on purpose by criminals in our government, because when they attack, they'll be rock stars in their country, their families will get paid off by the Saudi Arabian demon government, and then we will have our rights taken by the very system, and the cops will think they're taking our rights to protect us.
[02:26:07.122 --> 02:26:09.444]  When ISIS is openly run by the New World Order.
[02:26:09.444 --> 02:26:14.049]  The difference is we're decompartmentalizing the police and others, and they're waking up.
[02:26:14.049 --> 02:26:16.751]  I mean, they're waking up big time.
[02:26:16.751 --> 02:26:17.592]  I appreciate your call.
[02:26:17.592 --> 02:26:20.014]  We're going to move quick, sledgehammer.
[02:26:20.014 --> 02:26:22.217]  Doug, what's your take on what I just said?
[02:26:23.246 --> 02:26:33.580]  A hundred percent, Alex, but ISIS is a creation of Western intelligence, of American CIA, British intelligence services, as well as France, Qatari, Saudi Arabia.
[02:26:33.580 --> 02:26:35.663]  And the objective here with ISIS...
[02:26:39.566 --> 02:26:54.333]  When you've got the Council on American-Islamic Relations infusing themselves into the protests in Ferguson, that is a microcosm of ISIS at what they're doing on a world level.
[02:26:54.333 --> 02:26:57.275]  So they're being managed, ISIS is being managed.
[02:26:57.275 --> 02:27:04.218]  Our military essentially gave the keys to the Toyota Tundras parked over there in the Middle East to ISIS.
[02:27:04.218 --> 02:27:04.838]  We created
[02:27:07.090 --> 02:27:08.571]  All right, gentlemen.
[02:27:08.571 --> 02:27:10.072]  Let's take a couple more calls.
[02:27:10.072 --> 02:27:12.234]  Joseph in Colorado, thanks for calling.
[02:27:12.234 --> 02:27:12.814]  You're on the air.
[02:27:12.814 --> 02:27:14.596]  I'm glad you brought up the UN Treaty.
[02:27:31.809 --> 02:27:33.650]  Yes, Alex, thanks for having me on.
[02:27:33.650 --> 02:27:43.013]  I was listening to you and another gentleman, I forget his name, I think it was last week, and you were talking about something about December 24th, about America signing the U.N.
[02:27:43.013 --> 02:27:43.793]  Treaty or something.
[02:27:43.793 --> 02:27:45.173]  Yeah, Obama, well, I mean, the U.N.
[02:27:45.173 --> 02:27:49.315]  says it goes into effect, then Obama says he will implement, regardless of Congress.
[02:27:49.315 --> 02:27:52.456]  The Senate has threatened him, basically, with impeachment if he tries it.
[02:27:52.456 --> 02:27:53.796]  The problem is they never live up to that.
[02:27:53.796 --> 02:27:56.457]  So, yes, they're officially going to try to implement it next year.
[02:27:57.853 --> 02:28:00.474]  Yeah, do you think it's actually going to go through?
[02:28:00.474 --> 02:28:01.134]  They don't care.
[02:28:01.134 --> 02:28:03.415]  It doesn't have to pass Congress, according to Obama.
[02:28:03.415 --> 02:28:04.256]  That's the whole point.
[02:28:04.256 --> 02:28:06.316]  He says he'll take your guns, because he feels like it.
[02:28:06.316 --> 02:28:07.557]  He'll put our troops under U.N.
[02:28:07.557 --> 02:28:08.717]  control, because he feels like it.
[02:28:08.717 --> 02:28:10.918]  He'll fund ISIS, because he feels like it.
[02:28:10.918 --> 02:28:12.979]  He will open the borders, because he feels like it.
[02:28:12.979 --> 02:28:13.679]  There's the headline.
[02:28:13.679 --> 02:28:14.440]  Merry Christmas.
[02:28:14.440 --> 02:28:14.600]  U.N.
[02:28:14.600 --> 02:28:17.861]  declares arms trade treaty to go into effect December 24th.
[02:28:17.861 --> 02:28:21.883]  And that's out of a New American magazine from Joe Wolverton.
[02:28:21.883 --> 02:28:24.104]  We should get Joe Wolverton on this week.
[02:28:24.104 --> 02:28:24.404]  Go ahead.
[02:28:25.839 --> 02:28:32.144]  Yeah, what I think is going to happen though, for 2015, I think they're using the Ebola.
[02:28:32.144 --> 02:28:37.968]  Basically, I think they're really going to try to put people in the FEMA camps and everything starting 2015.
[02:28:37.968 --> 02:28:43.633]  I think they're going to declare martial law because of the Ebola, and I think we're just going to lose all our rights really soon.
[02:28:44.272 --> 02:28:47.955]  Well, they're certainly already taking them all, but there is a big awakening to respond to it.
[02:28:47.955 --> 02:28:50.818]  So for every action, there's an equal and opposite reaction.
[02:28:50.818 --> 02:28:59.045]  I'll have to get to Motorhead, Danny, Kelly, and Carl and others after we talk to our reporters, Jakari Jackson and Joe Biggs in Ferguson.
[02:28:59.045 --> 02:29:01.267]  We're going to get the latest intel on what they've discovered.
[02:29:01.267 --> 02:29:03.529]  They're out there freezing their butts off.
[02:29:03.529 --> 02:29:08.973]  And then we'll finish up with your calls and some other news that's been breaking at InfoWars.com and PrisonPlanet.com.
[02:29:08.973 --> 02:29:10.555]  But tomorrow in Vegas,
[02:29:11.497 --> 02:29:14.742]  Obama to make a statement on immigration Thursday night.
[02:29:14.742 --> 02:29:17.927]  They say to announce his executive orders.
[02:29:17.927 --> 02:29:19.449]  We'll see what happens.
[02:29:19.449 --> 02:29:24.657]  He said no troops to fight ISIS and then he's sending them probably to actually put their shoes on for him.
[02:29:24.657 --> 02:29:26.961]  Hagman and Hagman, thank you so much for the time, gentlemen.
[02:29:27.574 --> 02:29:29.014]  Thank you, sir.
[02:29:29.014 --> 02:29:31.075]  Alright, we need to get you back more often, every month or so.
[02:29:31.075 --> 02:29:32.675]  We'll get you guys on the nightly news too.
[02:29:32.675 --> 02:29:33.676]  Hackman at Hackman.com.
[02:29:33.676 --> 02:29:34.896]  Really great guys.
[02:29:34.896 --> 02:29:35.556]  Great research.
[02:29:35.556 --> 02:29:36.417]  Thank you, gentlemen.
[02:29:36.417 --> 02:29:39.938]  Alright, InfoWars.com and PrisonPlanet.tv are our sites.
[02:29:39.938 --> 02:29:46.740]  We'll be right back with our reporters on the ground in Ferguson awaiting the verdict in the freezing witch cold.
[02:29:46.740 --> 02:29:48.360]  Stay with us.
[02:29:48.360 --> 02:29:49.760]  We're on the march.
[02:29:49.760 --> 02:29:52.281]  The empire's on the run.
[02:29:52.281 --> 02:29:54.962]  Alex Jones and the GCN Radio Network.
[02:29:59.185 --> 02:30:01.808]  InfoWarsLife.com.
[02:30:01.808 --> 02:30:03.289]  Check it out today.
[02:30:03.289 --> 02:30:11.697]  I have set out to bring you the most hardcore, cutting-edge supplements and nutraceuticals bar none, and that's what you'll find at InfoWarsLife.com.
[02:30:11.697 --> 02:30:17.642]  We have rejected literally hundreds of products from the InfoWarsLife line because they are not
[02:30:17.862 --> 02:30:18.223]  Of course.
[02:30:35.126 --> 02:30:38.928]  Lung Cleanse, Fluoride Shield, Oxy Powder.
[02:30:38.928 --> 02:30:49.733]  I believe that all of these products will blow you away like they've done the thousands of other customers that have visited Infowarslife.com and believed in us and tried the products.
[02:30:49.733 --> 02:30:57.357]  Folks, check out Infowarslife.com today and the entire line of groundbreaking, cutting-edge, hardcore products.
[02:30:59.557 --> 02:31:06.223]  When you're out on the road, the last place you want to be is on the road.
[02:31:06.223 --> 02:31:11.367]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[02:31:11.367 --> 02:31:20.094]  There's a place down in Tennessee, where they make blue diamond gusset jeans.
[02:31:20.094 --> 02:31:22.576]  They sew pride in every stitch.
[02:31:22.576 --> 02:31:26.119]  Guarantee you'll love the way they fit.
[02:31:30.857 --> 02:31:40.382]  We turn jeans inside out.
[02:31:40.382 --> 02:31:42.163]  Diamond Gusset Jeans.
[02:31:42.163 --> 02:31:45.044]  Made in the USA with unparalleled quality.
[02:31:45.044 --> 02:31:49.106]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[02:31:49.106 --> 02:31:51.688]  So you can ride all day with confidence.
[02:31:51.688 --> 02:31:54.389]  Order yours at gusset.com.
[02:31:54.389 --> 02:31:55.970]  Diamond Gusset Jeans.
[02:31:55.970 --> 02:31:56.750]  Got it.
[02:31:56.750 --> 02:31:57.551]  Others don't.
[02:31:58.772 --> 02:32:05.114]  When I first got online and I seen the prices of the X2 and the DNA Force, I was a little hesitant, but I pulled the trigger on it.
[02:32:05.114 --> 02:32:06.174]  It has changed my life.
[02:32:06.174 --> 02:32:09.875]  I've been taking it for about 24 days now, counting the weights, staying in shape.
[02:32:09.875 --> 02:32:12.396]  Infowarslife.com.
[02:32:12.396 --> 02:32:13.836]  You've heard the callers to the show.
[02:32:13.836 --> 02:32:17.878]  Several months back, I started taking your nascent iodine and your super meal.
[02:32:17.878 --> 02:32:19.858]  Prior to this, I was barely walking.
[02:32:19.858 --> 02:32:22.499]  Now, I'm able to function as a human again.
[02:32:22.619 --> 02:32:40.107]  Whether it's Survival Shield Nascent Iodine or DNA Force, Super Male Vitality, Super Female Vitality, Lung Cleanse, Fluoride Shields, Oxy Powder, I believe that all of these products will blow you away like they've done the thousands of other customers that have visited Infowarslife.com.
[02:32:40.527 --> 02:32:42.290]  There's two.
[02:32:42.290 --> 02:32:46.134]  Just amazing what it's able to do to actually detox the body.
[02:32:46.134 --> 02:32:46.895]  It's great stuff.
[02:32:46.895 --> 02:32:51.000]  If I'm going to promote something, it's got to be something I personally use and that I believe in.
[02:32:51.000 --> 02:32:57.749]  Check out Infowarslife.com today and the entire line of groundbreaking, cutting-edge, hardcore products.
[02:33:05.829 --> 02:33:10.870]  Rallying patriots worldwide in defense of human liberty.
[02:33:10.870 --> 02:33:12.731]  It's Alex Jones.
[02:33:12.731 --> 02:33:16.571]  Teach him he can trust me like a brother.
[02:33:31.966 --> 02:33:34.267]  One day we're going to saddle up.
[02:33:34.267 --> 02:33:37.407]  One day we'll saddle up and ride.
[02:33:37.407 --> 02:33:42.289]  And we're going to ride.
[02:33:42.289 --> 02:33:44.609]  And we're going to ride.
[02:33:44.609 --> 02:33:46.009]  We're going to ride.
[02:33:46.009 --> 02:33:47.170]  We're going to ride.
[02:33:47.170 --> 02:33:50.090]  It's Waylon Jennings.
[02:33:50.090 --> 02:33:52.691]  I can't believe I'm friends with his boy.
[02:33:52.691 --> 02:33:54.071]  He's an amazing artist as well.
[02:33:54.071 --> 02:33:59.073]  That's actually Johnny Cash.
[02:33:59.073 --> 02:34:00.593]  In the background singing as well.
[02:34:02.079 --> 02:34:04.081]  This is Waylon Jennings right here.
[02:34:04.081 --> 02:34:04.882]  Crank it up.
[02:34:04.882 --> 02:34:07.864]  I'm gonna find me a reckless woman.
[02:34:07.864 --> 02:34:11.548]  Razor blades and dice in her eyes.
[02:34:11.548 --> 02:34:15.531]  I'm gonna find me a reckless woman.
[02:34:15.531 --> 02:34:17.533]  Razor blades.
[02:34:17.533 --> 02:34:19.735]  Razor blades and dice.
[02:34:19.735 --> 02:34:21.417]  That's the only kind's a reckless one.
[02:34:22.743 --> 02:34:28.445]  Just a touch of sadness in her fingers.
[02:34:28.445 --> 02:34:34.246]  Thunder and lightning.
[02:34:34.246 --> 02:34:39.047]  Silver Stallion by the Highwaymen.
[02:34:39.047 --> 02:34:40.808]  I actually know Willie Nelson.
[02:34:40.808 --> 02:34:43.789]  I had a chance to have dinner with him and Dave Mustaine last year.
[02:34:43.789 --> 02:34:45.069]  That was surreal.
[02:34:47.528 --> 02:34:50.450]  Not name-dropping, I'm just saying how weird it is to be alive on this planet.
[02:34:50.450 --> 02:34:52.571]  All the weird stuff I've already seen.
[02:34:52.571 --> 02:34:53.872]  40 years on this planet.
[02:34:53.872 --> 02:34:55.133]  He's 41 here in about a month.
[02:34:55.133 --> 02:34:57.314]  A month and a half.
[02:34:57.314 --> 02:34:58.715]  Pretty amazing.
[02:34:58.715 --> 02:35:02.197]  Okay, freezing their butts off in Ferguson, Missouri.
[02:35:02.197 --> 02:35:13.145]  Our Jakari Jackson and Joe Biggs, and Joe Biggs is in front of the camera right now to give us his intel on where they're amassing the police, what the preparations are, what
[02:35:13.925 --> 02:35:19.369]  There's sources he's already ferreted in the courthouse are saying Joe and Jakari are great at getting intel.
[02:35:19.369 --> 02:35:21.730]  They've been filing reports for the Nightly News as well.
[02:35:21.730 --> 02:35:25.393]  And you better believe they're staying up there until this verdict comes in.
[02:35:25.393 --> 02:35:29.316]  I know Jakari's going to come back and take care of his dog in a couple days, so we'll see if we can relieve him.
[02:35:29.316 --> 02:35:32.138]  But I know he wants to be there when the verdict comes out.
[02:35:32.138 --> 02:35:35.500]  But our great reporter's up there in Ferguson.
[02:35:35.500 --> 02:35:38.262]  And so go ahead first, Joe Biggs.
[02:35:38.262 --> 02:35:42.325]  What have you learned since we talked 24 hours ago here on the syndicated transmission?
[02:35:43.280 --> 02:35:44.881]  Joe Biggs, Infowars.com.
[02:35:44.881 --> 02:35:49.045]  Right now I'm standing outside of the Justice Center in Clayton.
[02:35:49.045 --> 02:35:55.870]  Now, so far what I've heard is today the grand jury is supposed to convene and tomorrow as well.
[02:35:55.870 --> 02:36:02.676]  We know that the police buildup has definitely, you know, been larger over the past few days.
[02:36:02.676 --> 02:36:05.158]  The larger mainstream media news areas like
[02:36:05.934 --> 02:36:09.096]  CNN, CBS, Dateline, all that.
[02:36:09.096 --> 02:36:12.559]  They are here now set up waiting on the grand jury decision.
[02:36:12.559 --> 02:36:15.040]  So it seems like everyone's starting to get hyped up.
[02:36:15.040 --> 02:36:16.801]  The buildup is getting here.
[02:36:16.801 --> 02:36:21.665]  We were in Ferguson earlier on the streets of West Florissant talking to some people as well.
[02:36:21.665 --> 02:36:25.087]  Everyone's starting to brace themselves for the verdict thus far.
[02:36:27.446 --> 02:36:31.051]  Also, you guys were first reporting on a local report.
[02:36:31.051 --> 02:36:35.877]  It was later confirmed about them getting a guy fired because he showed DHS vehicles massing.
[02:36:35.877 --> 02:36:41.664]  I know you went and investigated some other areas where sources told you they were building up.
[02:36:41.664 --> 02:36:42.325]  What did you find?
[02:36:43.615 --> 02:36:48.779]  Well Roger, yesterday they had a set up, a police compound area set up.
[02:36:48.779 --> 02:36:51.982]  We went down there and by the time we got there they had already broken it down.
[02:36:51.982 --> 02:36:55.185]  You could see tire tracks where all the vehicles had left.
[02:36:55.185 --> 02:37:00.349]  So it looks like they're setting up a lot of mobile command centers and they're setting up and moving around throughout the town.
[02:37:00.349 --> 02:37:05.794]  And it almost seems like they're trying to get a feel for the reaction of the crowds in the neighborhoods, what they're doing.
[02:37:05.794 --> 02:37:10.138]  But what we were able to do was get some intel that there was a police
[02:37:10.738 --> 02:37:11.699]  We're good to go.
[02:37:30.001 --> 02:37:30.762]  Up higher.
[02:37:30.762 --> 02:37:31.883]  Jakar is a taller guy.
[02:37:31.883 --> 02:37:33.544]  He's able to reach up with the camera.
[02:37:33.544 --> 02:37:36.846]  And you can see in where they had tables set up and everything like that.
[02:37:36.846 --> 02:37:39.468]  It was once used for a command center back in August.
[02:37:39.468 --> 02:37:44.492]  And it looks like they're setting up that vacant building once again for another command center.
[02:37:44.492 --> 02:37:47.454]  Everyone's ready to brace for the worst just in case it comes to that point.
[02:37:48.482 --> 02:37:55.990]  Well, the way the media's been hyping it, what do you expect to happen in the next two days when this verdict, I think, is going to come down?
[02:37:55.990 --> 02:38:06.042]  I mean, they might announce at the same time Obama's announcing the end of our borders, the end of the country officially, because this isn't a one-time amnesty, this is a total opening of the borders.
[02:38:07.008 --> 02:38:09.650]  Yeah, that's supposed to be tomorrow if I'm not mistaken.
[02:38:09.650 --> 02:38:10.731]  Try tomorrow night.
[02:38:10.731 --> 02:38:11.271]  Yeah.
[02:38:11.271 --> 02:38:14.033]  So, I mean, it's a very good chance that they could use that as a cover as well.
[02:38:14.033 --> 02:38:15.454]  Wait on that to be released.
[02:38:15.454 --> 02:38:16.975]  Get a lot of people's attention.
[02:38:16.975 --> 02:38:17.896]  Pulled on that.
[02:38:17.896 --> 02:38:20.538]  And then have the Ferguson issue pop off as well.
[02:38:20.538 --> 02:38:23.020]  Where the, you know, what we saw back in August.
[02:38:23.380 --> 02:38:39.615]  Police pointing sniper rifles at people, you know, massive chaos, flashbangs, tear gas, chasing people, stripping people of their liberties, martial law, you know, hopefully it doesn't get to that point again, but, you know, we've talked to a lot of the locals in the area, and a very, very small percentage of people
[02:38:40.015 --> 02:38:41.236]  Think nothing will happen.
[02:39:10.255 --> 02:39:11.757]  Uh, provocateurs and things of that sort.
[02:39:11.757 --> 02:39:12.197]  That's right.
[02:39:12.197 --> 02:39:13.498]  That's the county seat.
[02:39:13.498 --> 02:39:20.345]  So they're not expecting it so much to be in Ferguson as they're expecting it to be in the county seat town.
[02:39:21.011 --> 02:39:24.673]  Yes, and they're saying that's because people are more well-organized.
[02:39:24.673 --> 02:39:33.678]  They're saying that because of, you know, in August, they weren't as prepared, and the people just lashed out in anger, and there was nobody in control of the protests whatsoever.
[02:39:33.678 --> 02:39:48.746]  But based off of the feel that I've got from the people I've talked to, these groups, these protesters, they're a lot more organized, they have leaders, they've been planning for months on end, and this is where they're planning on coming to, and doing their demonstrations at, and... Sure.
[02:39:49.987 --> 02:39:55.052]  Also, you know, you found a lot of those Facebook and Twitters where they're calling for going at the cops' houses.
[02:39:55.052 --> 02:39:56.333]  That's national news today.
[02:39:56.333 --> 02:39:58.295]  And attacking people.
[02:39:58.295 --> 02:40:04.481]  You ought to go do a report showing all these sites calling for violence for weeks that aren't getting in trouble.
[02:40:04.481 --> 02:40:09.365]  That, for me, Joe, that's real evidence that they want this to get out of hand because
[02:40:10.578 --> 02:40:13.121]  You have a right to free speech all day long, and I'll fight for your right.
[02:40:13.121 --> 02:40:14.163]  I'm a big First Amendment advocate.
[02:40:14.163 --> 02:40:15.224]  Everybody knows that.
[02:40:15.224 --> 02:40:24.517]  But when you start randomly saying, target some police officer's family, or you say you're going to burn down the county seat of the Justice Center, as they now call it,
[02:40:25.998 --> 02:40:27.660]  When you say that, you're organizing.
[02:40:27.660 --> 02:40:44.472]  I think these people aren't getting in trouble because I bet money they're federal informants or federal assets like we've seen 9 out of 10, it's actually like 99 out of 100, the New York Times, he was forced to report, where the FBI and others under this Justice Department go out and
[02:40:46.107 --> 02:40:52.589]  Actually create, whole cloth, the groups and then lead them with them all off cocktails, you name it.
[02:40:52.589 --> 02:40:56.550]  And just like you found them all off cocktails trying to tell the cops they didn't want to know.
[02:40:56.550 --> 02:41:00.491]  Same ones they were showing in the press conference the day before.
[02:41:00.491 --> 02:41:02.832]  This thing stinks to high heaven.
[02:41:02.832 --> 02:41:06.813]  I wonder if the rank and file cop knows that there's some provocateuring going on.
[02:41:06.813 --> 02:41:09.834]  I know some of the cops have told you off video that they do think that's happening.
[02:41:10.836 --> 02:41:11.756]  Yes, indeed.
[02:41:11.756 --> 02:41:28.841]  You know, another concern that I've heard amongst the citizens, but a lot of the chatter I'm hearing from anarchist groups, activists coming in from California, they're hearing that the biggest threat for the area is that people are going to try and shut down the power grid here.
