[00:00.000 --> 00:06.000]  In this present crisis, government is not the solution to our problem.
[01:00:30.000 --> 01:00:34.000]  Now, if you want to run me over and slay me, I don't care what color you are, I'm coming after you.
[01:00:34.000 --> 01:00:40.000]  But we got a bunch of old white men, a bunch of old globalists wanting to get rid of the family, demonizing the free market economy.
[01:00:40.000 --> 01:00:50.000]  Everything they're doing is to sabotage, to get full control. Owen Schreuer is going to be hosting the rest of the transmission while I'm out here on a work occasion on the West Coast.
[01:00:50.000 --> 01:00:59.000]  We've got so much coming up today, but let's continue with the powerful press conference where Trump just sabotaged the globalists yesterday.
[01:00:59.000 --> 01:01:02.000]  Tell us broadly what you're feeling. Do you still have confidence in these?
[01:01:02.000 --> 01:01:06.000]  Well, let's see. I like Mr. Bennett. He's a friend of mine.
[01:01:06.000 --> 01:01:14.000]  But Mr. Bennett came on very late. You know that. I went through 17 senators, governors, and I won all the primaries.
[01:01:14.000 --> 01:01:23.000]  Mr. Bennett came on very much later than that. And I like him. He's a good man. He is not a racist. I can tell you that.
[01:01:23.000 --> 01:01:27.000]  He's a good person. He actually gets a very unfair person that regard.
[01:01:27.000 --> 01:01:34.000]  But we'll see what happens with Mr. Bennett, but he's a good person, and I think the press treats him frankly very unfairly.
[01:01:34.000 --> 01:01:42.000]  You have confidence that Senator McCain has called on you to defend your national security advisor, HR McMaster, against the U.S. tax.
[01:01:42.000 --> 01:01:43.000]  I did it the last time.
[01:01:43.000 --> 01:01:47.000]  And he called on it again, linking the senator McCain to the alt-right.
[01:01:47.000 --> 01:01:50.000]  Senator McCain, you mean the one who voted against Obamacare?
[01:01:50.000 --> 01:01:51.000]  And he said that...
[01:01:51.000 --> 01:01:57.000]  You mean Senator McCain who voted against us getting good health care?
[01:01:57.000 --> 01:02:05.000]  Senator McCain said that the alt-right is behind these attacks, and he linked that same group to those perpetrated...
[01:02:05.000 --> 01:02:12.000]  Let's back it up. McCain, the guy that funded the Arab Spring in Al Qaeda and ISIS, McCain of the Keating Five, the Hanoi Hilton.
[01:02:12.000 --> 01:02:18.000]  McCain just involved in helping get Obamacare passed, who is a Democrat and is the leader of the Democratic Party.
[01:02:18.000 --> 01:02:23.000]  They admit he is the highest polling member of the Democratic Party who's a male.
[01:02:23.000 --> 01:02:27.000]  The counterpart, Pocahontas, is the highest polar.
[01:02:27.000 --> 01:02:30.000]  So, I mean, he's the leader of the Democratic Party.
[01:02:30.000 --> 01:02:33.000]  That's how the Republicans have sabotaged this country.
[01:02:33.000 --> 01:02:38.000]  And we're taking back the states, we're taking back the state houses, we're taking back the systems.
[01:02:38.000 --> 01:02:39.000]  And they know it.
[01:02:39.000 --> 01:02:44.000]  That's why they're panicking and lying and trying everything they can because it's not working.
[01:02:44.000 --> 01:02:51.000]  And they bring up Bannon, like his first statement was written by Bannon, and it was racist when it wasn't racist and it wasn't written by Bannon.
[01:02:51.000 --> 01:02:56.000]  Then they bring up John McCain, one of the biggest liars in the world. Here it is.
[01:02:56.000 --> 01:03:01.000]  These attacks, and he linked that same group to those who perpetrated the attack in Charlottesville.
[01:03:01.000 --> 01:03:03.000]  Well, I don't know, I can't tell you.
[01:03:03.000 --> 01:03:06.000]  I'm sure Senator McCain must know what he's talking about.
[01:03:06.000 --> 01:03:11.000]  But when you say the alt-right, define alt-right to me. You define it. Go ahead.
[01:03:11.000 --> 01:03:14.000]  Define it for me. Come on, let's go. Define it for me.
[01:03:14.000 --> 01:03:16.000]  Senator McCain defined them as the same group.
[01:03:16.000 --> 01:03:18.000]  Okay, what about you?
[01:03:18.000 --> 01:03:24.000]  I'm going to come back and do some more on this. This is too important, but do you understand how smart Trump is?
[01:03:24.000 --> 01:03:26.000]  We're going to play more of the clip in a minute.
[01:03:26.000 --> 01:03:28.000]  He says define alt-right for me.
[01:03:28.000 --> 01:03:33.000]  Because Hillary creates the term nine and a half months ago, says it's everybody that opposes her.
[01:03:33.000 --> 01:03:38.000]  And then now that it's a new term they own, they can then attach whoever they want to it.
[01:03:38.000 --> 01:03:41.000]  Oh, look, Alex Jones and Donald Trump are alt-right. That's KKK.
[01:03:41.000 --> 01:03:44.000]  They say alt-right. Then they say, oh, that's KKK.
[01:03:44.000 --> 01:03:48.000]  And then they say, oh, Stephen Bannon runs it. He's KKK. Just all made up.
[01:03:48.000 --> 01:03:50.000]  So he says, okay, you define alt-right for me.
[01:03:50.000 --> 01:03:53.000]  Knowing they can't. Knowing it's a trick.
[01:03:53.000 --> 01:03:56.000]  Man, he's good. Let's play another minute of this.
[01:03:56.000 --> 01:03:58.000]  Come on, let's go. Define it for me.
[01:03:58.000 --> 01:04:00.000]  Senator McCain defined them as the same group.
[01:04:00.000 --> 01:04:03.000]  Okay, what about the alt-left that came charging him?
[01:04:03.000 --> 01:04:08.000]  Excuse me. What about the alt-left that came charging at the, as you say, the alt-right?
[01:04:08.000 --> 01:04:11.000]  Do they have any semblance of guilt?
[01:04:11.000 --> 01:04:16.000]  Let me ask you this. What about the fact that came charging,
[01:04:16.000 --> 01:04:19.000]  that they came charging with clubs in their hands, swinging clubs?
[01:04:19.000 --> 01:04:22.000]  Do they have any problem? I think they do.
[01:04:22.000 --> 01:04:24.000]  You know, as far as I'm concerned.
[01:04:24.000 --> 01:04:26.000]  All right, pause. We're going to break.
[01:04:26.000 --> 01:04:28.000]  I'm going to come back and play the rest of this. Go to Pachennik.
[01:04:28.000 --> 01:04:30.000]  He'll be with us about 45 after.
[01:04:30.000 --> 01:04:33.000]  We're going to play that compilation of where he's disavowed all this over and over again.
[01:04:33.000 --> 01:04:37.000]  We're putting new compilation on together with the latest things where they're saying he won't disavow.
[01:04:37.000 --> 01:04:42.000]  M4wars.com is the Patriot site. We now have newswars.com.
[01:04:42.000 --> 01:04:44.000]  It loads quicker on phones and things like that.
[01:04:44.000 --> 01:04:48.000]  Check out newswars.com. Newswars.com has a lot of exclusive information.
[01:04:48.000 --> 01:04:50.000]  Please tweet it out on Twitter.
[01:04:50.000 --> 01:05:18.000]  We need to credit Facebook for newswars as well.
[01:05:18.000 --> 01:05:20.000]  It's available at M4wars.com.
[01:05:20.000 --> 01:05:23.000]  We also have free shipping. Order $50 or more and 10% off.
[01:05:23.000 --> 01:05:25.000]  You can sign up for auto-ship additionally on top of that.
[01:05:25.000 --> 01:05:28.000]  Please, we only have a limited supply of this.
[01:05:28.000 --> 01:05:30.000]  I want to get your reviews on here. What do you have to say?
[01:05:30.000 --> 01:05:32.000]  For me, it's been a croak.
[01:05:32.000 --> 01:05:36.000]  Mycozx, antifungal, antifungus, antiease.
[01:05:36.000 --> 01:05:38.000]  Get it today. Limited around. We'll be monthly.
[01:05:38.000 --> 01:05:39.000]  We'll get more.
[01:05:39.000 --> 01:05:41.000]  M4wars.com, M4wars.com.
[01:05:41.000 --> 01:05:43.000]  Our AAA-2533139.
[01:05:43.000 --> 01:05:47.000]  I cannot sell something unless it helps somebody.
[01:05:47.000 --> 01:05:49.000]  And you can't support an organization that didn't fight harder.
[01:05:49.000 --> 01:05:51.000]  Look at the response we're getting.
[01:05:51.000 --> 01:05:53.000]  Whoever changed the world together.
[01:05:53.000 --> 01:05:56.000]  You are the M4war. God bless you all.
[01:05:56.000 --> 01:05:58.000]  After being sold out for months,
[01:05:58.000 --> 01:06:02.000]  our best-selling super blue fluoride toothpaste is now back in stock at M4wars.com.
[01:06:02.000 --> 01:06:05.000]  The first shipment of super blue sold out in one week.
[01:06:05.000 --> 01:06:07.000]  I thought it would be a six-month supply for listeners.
[01:06:07.000 --> 01:06:09.000]  And since then, people are beating down our doors,
[01:06:09.000 --> 01:06:12.000]  wanting to be able to resupply their super blue.
[01:06:12.000 --> 01:06:14.000]  Research across the board is clear.
[01:06:14.000 --> 01:06:15.000]  In fact, it's certified.
[01:06:15.000 --> 01:06:17.000]  When bacteria infect your gums,
[01:06:17.000 --> 01:06:18.000]  it can enter your bloodstream,
[01:06:18.000 --> 01:06:20.000]  and even contribute to blood clots and heart attacks.
[01:06:20.000 --> 01:06:23.000]  That's why the last surgeon general's report on oral health warns
[01:06:23.000 --> 01:06:27.000]  that your oral health can have a serious impact on your entire body.
[01:06:27.000 --> 01:06:30.000]  Super blue fluoride-free toothpaste is a groundbreaking new formula.
[01:06:30.000 --> 01:06:32.000]  It's loaded with good halogen iodide,
[01:06:32.000 --> 01:06:34.000]  so the bad halogen fluoride.
[01:06:34.000 --> 01:06:36.000]  Super blue contains natural oils and ingredients
[01:06:36.000 --> 01:06:39.000]  used since biblical times to help wipe out bad bacteria
[01:06:39.000 --> 01:06:41.000]  and eliminate bad breath.
[01:06:41.000 --> 01:06:44.000]  Just some of the ingredients in super blue chosen by our dental experts include
[01:06:44.000 --> 01:06:48.000]  xylitol, peppermint oil, iodide, nano silver, and more.
[01:06:48.000 --> 01:06:51.000]  Learn more about InfoWarsLife Super Blue toothpaste
[01:06:51.000 --> 01:06:53.000]  at infowarslife.com
[01:06:53.000 --> 01:06:56.000]  and support the InfoWars while you support healthy gums and teeth.
[01:06:56.000 --> 01:06:58.000]  It's not just our water we need to filter.
[01:06:58.000 --> 01:07:00.000]  It's not just our food that needs to be cleaned.
[01:07:00.000 --> 01:07:03.000]  It's the air we're breathing, especially for our children.
[01:07:03.000 --> 01:07:06.000]  The artificial particulates, the chemicals,
[01:07:06.000 --> 01:07:09.000]  is absolutely weighing down our immune systems.
[01:07:09.000 --> 01:07:11.000]  The same team based right here in America
[01:07:11.000 --> 01:07:15.000]  that brought you the Alexa Pure Ground Breaking Water Filtration Systems
[01:07:15.000 --> 01:07:18.000]  have now developed Alexa Pure Breeze.
[01:07:18.000 --> 01:07:20.000]  Whether it's your home or office, you owe it to yourself,
[01:07:20.000 --> 01:07:23.000]  your coworkers, your family, your children,
[01:07:23.000 --> 01:07:25.000]  to the best job you can to purify your air.
[01:07:25.000 --> 01:07:28.000]  The elite are masters at poisoning our environment
[01:07:28.000 --> 01:07:31.000]  while themselves doing things that mitigate
[01:07:31.000 --> 01:07:34.000]  or avoid most toxic effects to themselves.
[01:07:34.000 --> 01:07:36.000]  The general public doesn't.
[01:07:36.000 --> 01:07:39.000]  The Alexa Pure Breeze will be a steal at $300-400.
[01:07:39.000 --> 01:07:43.000]  One of these systems can keep 800 square feet incredibly clean.
[01:07:43.000 --> 01:07:46.000]  This is a system I'm personally putting in throughout my house
[01:07:46.000 --> 01:07:50.000]  replacing older, more expensive filters that didn't do as good a job.
[01:07:50.000 --> 01:07:53.000]  Find out why this system is so revolutionary today
[01:07:53.000 --> 01:07:55.000]  at infowarstore.com
[01:08:04.000 --> 01:08:07.000]  From the front lines of the Information War,
[01:08:07.000 --> 01:08:10.000]  it's Alex Jones.
[01:08:12.000 --> 01:08:14.000]  All right, the former head of psychological operations
[01:08:14.000 --> 01:08:17.000]  of the State Department, the Army, and other groups
[01:08:17.000 --> 01:08:20.000]  is going to give us his expert take on the clear PSYOP.
[01:08:20.000 --> 01:08:23.000]  I mean, it's in the WikiLeaks to create racial division in America
[01:08:23.000 --> 01:08:26.000]  and stop the plan that I don't even know who developed it.
[01:08:26.000 --> 01:08:28.000]  I remember Pechenik like 10 years ago saying
[01:08:28.000 --> 01:08:31.000]  they're going to devolve power back to the Midwest, back to the South.
[01:08:31.000 --> 01:08:33.000]  We're going to unify everybody around free market
[01:08:33.000 --> 01:08:35.000]  and we're going to break the back of the controlled left
[01:08:35.000 --> 01:08:37.000]  and the Republican establishment
[01:08:37.000 --> 01:08:39.000]  and then the EU's going to implode
[01:08:39.000 --> 01:08:41.000]  and then we're going to have the second American Renaissance.
[01:08:41.000 --> 01:08:44.000]  Well, I already kind of had that idea, but Dr. Steve Pechenik,
[01:08:44.000 --> 01:08:47.000]  obviously talking to his sources inside the government said
[01:08:47.000 --> 01:08:49.000]  they were going to support that move.
[01:08:49.000 --> 01:08:51.000]  And that's why you see the left, the globalist,
[01:08:51.000 --> 01:08:53.000]  the Republican establishment freaking out
[01:08:53.000 --> 01:08:57.000]  with $400 billion in new jobs, $4 trillion in the stock market,
[01:08:57.000 --> 01:08:59.000]  over a thousand new companies
[01:08:59.000 --> 01:09:01.000]  and just saying to the president,
[01:09:01.000 --> 01:09:03.000]  you're a racist, you're a racist, you're a racist.
[01:09:03.000 --> 01:09:05.000]  When he's given three press conferences
[01:09:05.000 --> 01:09:07.000]  saying he decries racism.
[01:09:07.000 --> 01:09:09.000]  So, more of this throughout the hour.
[01:09:09.000 --> 01:09:11.000]  I'm going to get out of here and let Pechenik host
[01:09:11.000 --> 01:09:14.000]  and take some of your calls at 800-25-99-231
[01:09:14.000 --> 01:09:16.000]  on the events, on what you're witnessing,
[01:09:16.000 --> 01:09:18.000]  on Korea back and down.
[01:09:18.000 --> 01:09:21.000]  You got to tell you, Scousen's got some great sources, doesn't he?
[01:09:21.000 --> 01:09:23.000]  Boy, I'm telling you about going back forever
[01:09:23.000 --> 01:09:26.000]  saying that if they launched those missiles at Guam,
[01:09:26.000 --> 01:09:28.000]  Trump was going to hit them.
[01:09:28.000 --> 01:09:30.000]  That's the word I got. Notice North Korea back down.
[01:09:30.000 --> 01:09:33.000]  That's what Pechenik said was probably going to happen as well.
[01:09:33.000 --> 01:09:35.000]  So, we'll talk about that as well.
[01:09:35.000 --> 01:09:40.000]  800-25-99-231, 800-25-99-231.
[01:09:40.000 --> 01:09:42.000]  But first, a great point he made.
[01:09:42.000 --> 01:09:45.000]  Okay, Thomas Jefferson called for ending slavery
[01:09:45.000 --> 01:09:48.000]  in the first declaration, but they struck it.
[01:09:48.000 --> 01:09:50.000]  He was born with slaves.
[01:09:50.000 --> 01:09:52.000]  He ended up basically marrying one of them.
[01:09:52.000 --> 01:09:54.000]  There were slaves where they traded horrible slaves.
[01:09:54.000 --> 01:09:56.000]  They traded good.
[01:09:56.000 --> 01:09:58.000]  No one's defending the institution of slavery.
[01:09:58.000 --> 01:10:01.000]  It was out of Arabia and Sudan today.
[01:10:01.000 --> 01:10:03.000]  The point was England was the first to get rid of it
[01:10:03.000 --> 01:10:06.000]  and then would attack ships for 100 years, making it go away.
[01:10:06.000 --> 01:10:09.000]  Part of our Revolutionary War and the 1812 war came,
[01:10:09.000 --> 01:10:12.000]  England was saying, you can't have slavery.
[01:10:12.000 --> 01:10:14.000]  2% of America was involved in slavery.
[01:10:14.000 --> 01:10:16.000]  It's not some guilt we all have
[01:10:16.000 --> 01:10:18.000]  and other countries still have it going on.
[01:10:18.000 --> 01:10:20.000]  It's used to control us.
[01:10:20.000 --> 01:10:23.000]  So, they say, oh, get rid of Robert E. Lee.
[01:10:23.000 --> 01:10:27.000]  His Arlington Cemetery is where his farm was.
[01:10:27.000 --> 01:10:29.000]  He was on the Northern Army.
[01:10:29.000 --> 01:10:31.000]  He was the head of West Point.
[01:10:31.000 --> 01:10:33.000]  He didn't want to be in the war.
[01:10:33.000 --> 01:10:35.000]  But the North engaged in atrocities, so he joined it.
[01:10:35.000 --> 01:10:37.000]  I'm not on the North or the South.
[01:10:37.000 --> 01:10:39.000]  It was a tragic event engineered by British intelligence
[01:10:39.000 --> 01:10:41.000]  to break the country up if you study it.
[01:10:41.000 --> 01:10:44.000]  But why does Trump, who's a great, wonderful Yankee
[01:10:44.000 --> 01:10:47.000]  of the classic sense, love Andrew Jackson?
[01:10:47.000 --> 01:10:49.000]  He stopped the First Civil War.
[01:10:49.000 --> 01:10:51.000]  Trump is trying to bring America together
[01:10:51.000 --> 01:10:53.000]  and stop the globalist plan for civil war.
[01:10:53.000 --> 01:10:55.000]  We'll see if Pachennik concurs with that.
[01:10:55.000 --> 01:10:57.000]  Because there was a planned civil war.
[01:10:57.000 --> 01:10:59.000]  Trump's fighting that globalist plan.
[01:10:59.000 --> 01:11:00.000]  We know that.
[01:11:00.000 --> 01:11:03.000]  We're going to play this clip and come out with Owen Schreuer
[01:11:03.000 --> 01:11:06.000]  hosting with Dr. Steve Pachennik of StevePachennik.com.
[01:11:06.000 --> 01:11:08.000]  Co-author with Tom Clancy, so much more.
[01:11:08.000 --> 01:11:11.000]  Founder of Delta Force with General Boykin and Shoemaker.
[01:11:11.000 --> 01:11:14.000]  Let's go ahead, though, and go to that clip
[01:11:14.000 --> 01:11:16.000]  and then back to our guest host.
[01:11:16.000 --> 01:11:20.000]  You call the alt-left is the same as neo-nazis?
[01:11:20.000 --> 01:11:23.000]  Those people, all of those people, excuse me.
[01:11:23.000 --> 01:11:26.000]  I've condemned neo-nazis.
[01:11:26.000 --> 01:11:29.000]  I've condemned many different groups.
[01:11:29.000 --> 01:11:32.000]  But not all of those people were neo-nazis, believe me.
[01:11:32.000 --> 01:11:35.000]  Not all of those people were white supremacists
[01:11:35.000 --> 01:11:36.000]  by any stretch.
[01:11:36.000 --> 01:11:41.000]  Those people were also there because they wanted to protest
[01:11:41.000 --> 01:11:44.000]  the taking down of a statue, Robert E. Lee.
[01:11:44.000 --> 01:11:46.000]  So, excuse me.
[01:11:46.000 --> 01:11:48.000]  And you take a look at some of the groups and you see,
[01:11:48.000 --> 01:11:50.000]  and you know it if you were honest reporters,
[01:11:50.000 --> 01:11:52.000]  which in many cases you're not.
[01:11:52.000 --> 01:11:55.000]  But many of those people were there to protest
[01:11:55.000 --> 01:11:58.000]  the taking down of the statue of Robert E. Lee.
[01:11:58.000 --> 01:12:00.000]  So, this week it's Robert E. Lee.
[01:12:00.000 --> 01:12:03.000]  I noticed that Stonewall Jackson's coming down.
[01:12:03.000 --> 01:12:06.000]  I wonder, is it George Washington next week
[01:12:06.000 --> 01:12:08.000]  and is it Thomas Jefferson the week after?
[01:12:08.000 --> 01:12:10.000]  You know, you really do have to ask yourself,
[01:12:10.000 --> 01:12:11.000]  where does it stop?
[01:12:11.000 --> 01:12:14.000]  But they were there to protest.
[01:12:14.000 --> 01:12:15.000]  Excuse me.
[01:12:15.000 --> 01:12:17.000]  You take a look the night before.
[01:12:17.000 --> 01:12:20.000]  They were there to protest the taking down
[01:12:20.000 --> 01:12:22.000]  of the statue of Robert E. Lee.
[01:12:22.000 --> 01:12:23.000]  Infrastructure question, go ahead.
[01:12:23.000 --> 01:12:26.000]  Should the statue of Robert E. Lee stay up?
[01:12:26.000 --> 01:12:31.000]  I would say that's up to a local town, community,
[01:12:31.000 --> 01:12:34.000]  or the federal government depending on where it is located.
[01:12:34.000 --> 01:12:36.000]  Are you against the confederacy?
[01:12:36.000 --> 01:12:39.000]  You're calling the alt-left and white supremacists
[01:12:39.000 --> 01:12:41.000]  on the same moral plane.
[01:12:41.000 --> 01:12:43.000]  I'm not putting anybody on a moral plane.
[01:12:43.000 --> 01:12:46.000]  What I'm saying is this, you had a group on one side
[01:12:46.000 --> 01:12:48.000]  and you had a group on the other and they came at each other
[01:12:48.000 --> 01:12:51.000]  with clubs and it was vicious and it was horrible
[01:12:51.000 --> 01:12:53.000]  and it was a horrible thing to watch.
[01:12:53.000 --> 01:12:55.000]  But there is another side.
[01:12:55.000 --> 01:12:58.000]  There was a group on this side, you can call them the left
[01:12:58.000 --> 01:13:00.000]  and you've just called them the left,
[01:13:00.000 --> 01:13:03.000]  that came violently attacking the other group.
[01:13:03.000 --> 01:13:06.000]  So you can say what you want, but that's the way it is.
[01:13:06.000 --> 01:13:09.000]  On both sides, sir, you said there was hatred,
[01:13:09.000 --> 01:13:11.000]  there was violence on both sides.
[01:13:11.000 --> 01:13:13.000]  I do think there's blame, yes.
[01:13:13.000 --> 01:13:15.000]  I think there's blame on both sides.
[01:13:15.000 --> 01:13:17.000]  You look at both sides.
[01:13:17.000 --> 01:13:19.000]  I think there's blame on both sides.
[01:13:19.000 --> 01:13:21.000]  And I have no doubt about it,
[01:13:21.000 --> 01:13:23.000]  and you don't have any doubt about it either.
[01:13:23.000 --> 01:13:29.000]  And if you reported it accurately, you would say.
[01:13:29.000 --> 01:13:32.000]  You killed the person, Heather Huyard.
[01:13:32.000 --> 01:13:34.000]  They showed up in Charlottesville.
[01:13:34.000 --> 01:13:35.000]  Excuse me.
[01:13:35.000 --> 01:13:39.000]  And you had some very bad people in that group.
[01:13:39.000 --> 01:13:45.000]  But you also had people that were very fine people on both sides.
[01:13:45.000 --> 01:13:48.000]  You had people in that group, excuse me, excuse me.
[01:13:48.000 --> 01:13:50.000]  I saw the same pictures as you did.
[01:13:50.000 --> 01:13:54.000]  You had people in that group that were there to protest,
[01:13:54.000 --> 01:13:58.000]  taking down to them a very, very important statue
[01:13:58.000 --> 01:14:03.000]  and the renaming of a park from Robert E. Lee to another name.
[01:14:03.000 --> 01:14:06.000]  George Washington was a slave owner.
[01:14:06.000 --> 01:14:08.000]  Was George Washington a slave owner?
[01:14:08.000 --> 01:14:11.000]  So will George Washington now lose his status?
[01:14:11.000 --> 01:14:14.000]  Are we going to take down, excuse me,
[01:14:14.000 --> 01:14:18.000]  are we going to take down statues to George Washington?
[01:14:18.000 --> 01:14:20.000]  How about Thomas Jefferson?
[01:14:20.000 --> 01:14:22.000]  What do you think of Thomas Jefferson?
[01:14:22.000 --> 01:14:23.000]  You like him?
[01:14:23.000 --> 01:14:25.000]  Are we going to take down the statue?
[01:14:25.000 --> 01:14:27.000]  Because he was a major slave owner.
[01:14:27.000 --> 01:14:29.000]  Now we're going to take down his statue.
[01:14:29.000 --> 01:14:30.000]  So you know what?
[01:14:30.000 --> 01:14:31.000]  It's fine.
[01:14:31.000 --> 01:14:32.000]  You're changing history.
[01:14:32.000 --> 01:14:33.000]  You're changing culture.
[01:14:33.000 --> 01:14:37.000]  And you had people, and I'm not talking about the neo-Nazis
[01:14:37.000 --> 01:14:38.000]  and the white nationalists,
[01:14:38.000 --> 01:14:40.000]  because they should be condemned totally.
[01:14:40.000 --> 01:14:44.000]  But you had many people in that group other than neo-Nazis
[01:14:44.000 --> 01:14:46.000]  and white nationalists, okay?
[01:14:46.000 --> 01:14:50.000]  And the press has treated them absolutely unfairly.
[01:14:50.000 --> 01:14:54.000]  Now, in the other group also, you had some fine people,
[01:14:54.000 --> 01:14:56.000]  but you also had troublemakers,
[01:14:56.000 --> 01:14:59.000]  and you see them come with the black outfits
[01:14:59.000 --> 01:15:02.000]  and with the helmets and with the baseball bats.
[01:15:02.000 --> 01:15:04.000]  You had a lot of bad,
[01:15:04.000 --> 01:15:06.000]  you had a lot of bad people in the other group too.
[01:15:06.000 --> 01:15:08.000]  I just understood what you were saying.
[01:15:08.000 --> 01:15:10.000]  You were saying the press has treated white nationalists unfairly?
[01:15:10.000 --> 01:15:11.000]  No.
[01:15:11.000 --> 01:15:12.000]  I just understood what you were saying.
[01:15:12.000 --> 01:15:13.000]  There were people in that rally,
[01:15:13.000 --> 01:15:15.000]  and I looked the night before.
[01:15:15.000 --> 01:15:21.000]  If you look, there were people protesting very quietly,
[01:15:21.000 --> 01:15:25.000]  taking down of the statue of Robert E. Lee.
[01:15:25.000 --> 01:15:27.000]  I'm sure in that group there were some bad ones.
[01:15:27.000 --> 01:15:32.000]  The following day it looked like they had some rough, bad people.
[01:15:32.000 --> 01:15:36.000]  Neo-Nazis, white nationalists, whatever you want to call them.
[01:15:36.000 --> 01:15:38.000]  But you had a lot of people in that group
[01:15:38.000 --> 01:15:40.000]  that were there to innocently protest,
[01:15:40.000 --> 01:15:42.000]  and very legally protest,
[01:15:42.000 --> 01:15:44.000]  because, you know, I don't know if you know,
[01:15:44.000 --> 01:15:45.000]  they had a permit.
[01:15:45.000 --> 01:15:47.000]  The other group didn't have a permit.
[01:15:47.000 --> 01:15:52.000]  So, I only tell you this, there are two sides to a story.
[01:15:52.000 --> 01:15:57.000]  I thought what took place was a horrible moment for our country.
[01:15:57.000 --> 01:15:58.000]  A horrible moment.
[01:15:58.000 --> 01:16:00.000]  But there are two sides to the country.
[01:16:00.000 --> 01:16:02.000]  Does anybody have a final?
[01:16:02.000 --> 01:16:05.000]  It's amazing because the media
[01:16:05.000 --> 01:16:10.000]  never gave Antifa proper credit for the violence in Charlottesville,
[01:16:10.000 --> 01:16:12.000]  the stopping of free speech in Charlottesville.
[01:16:12.000 --> 01:16:14.000]  They never gave Antifa proper credit
[01:16:14.000 --> 01:16:16.000]  when they disrupted Trump rallies,
[01:16:16.000 --> 01:16:19.000]  when they were staging terror attacks to disrupt J-20.
[01:16:19.000 --> 01:16:22.000]  The media never gave the Democrats proper credit
[01:16:22.000 --> 01:16:25.000]  when they had Bob Cramer, Scott Fogle, and Aaron Black
[01:16:25.000 --> 01:16:27.000]  on the streets instigating violence.
[01:16:27.000 --> 01:16:29.000]  They never gave them any credit then.
[01:16:29.000 --> 01:16:33.000]  But now all of a sudden you'll see the media gives Antifa credit
[01:16:33.000 --> 01:16:35.000]  as fighting racism.
[01:16:35.000 --> 01:16:38.000]  And there's a battle that they have staged for us.
[01:16:38.000 --> 01:16:41.000]  Excuse me, Steve Prochenick joins us today.
[01:16:41.000 --> 01:16:44.000]  And you've got the chessboard behind you today.
[01:16:44.000 --> 01:16:48.000]  I think that that is a very symbolic of where we stand
[01:16:48.000 --> 01:16:50.000]  in the fight for America right now,
[01:16:50.000 --> 01:16:55.000]  how they're trying to move racism around to put us in checkmate.
[01:16:55.000 --> 01:16:57.000]  Let me put it this way.
[01:16:57.000 --> 01:16:59.000]  I'm not surprised this occurred.
[01:16:59.000 --> 01:17:02.000]  This is something we talked about a year ago.
[01:17:02.000 --> 01:17:07.000]  So I said there would be groups that would be pitted against us.
[01:17:07.000 --> 01:17:10.000]  Now, who's us and who's they?
[01:17:10.000 --> 01:17:12.000]  Number one, Richard Spencer.
[01:17:12.000 --> 01:17:14.000]  He grew up in Boston.
[01:17:14.000 --> 01:17:16.000]  His father is an ophthalmologist,
[01:17:16.000 --> 01:17:19.000]  went to all these private schools and colleges,
[01:17:19.000 --> 01:17:21.000]  never worked a day in his life.
[01:17:21.000 --> 01:17:24.000]  And he becomes, quote, the head of the Nazi party
[01:17:24.000 --> 01:17:27.000]  or whatever you want to call it, the alternative right.
[01:17:27.000 --> 01:17:31.000]  This is a man who contrived the history that he belongs to Montana.
[01:17:31.000 --> 01:17:33.000]  I've lived in Montana.
[01:17:33.000 --> 01:17:35.000]  We don't particularly like him in Montana.
[01:17:35.000 --> 01:17:38.000]  His mother spoiled him. His father spoiled him.
[01:17:38.000 --> 01:17:40.000]  And then he creates, quote, a group.
[01:17:40.000 --> 01:17:42.000]  He's never worked a day in his life.
[01:17:42.000 --> 01:17:45.000]  He has no idea of what a daily worker's about.
[01:17:45.000 --> 01:17:48.000]  And he tried to come here, University of Florida in Gainesville.
[01:17:48.000 --> 01:17:51.000]  I stopped him and a bunch of other people stopped him.
[01:17:51.000 --> 01:17:55.000]  So we have these intellectuals on the left, so to speak,
[01:17:55.000 --> 01:17:56.000]  and on the right.
[01:17:56.000 --> 01:18:00.000]  On the left, I have a singer or a signer, a Jewish kid.
[01:18:00.000 --> 01:18:02.000]  University of Virginia.
[01:18:02.000 --> 01:18:04.000]  Both of them went to the University of Virginia.
[01:18:04.000 --> 01:18:08.000]  Both intellectuals, none of them have ever been in anything
[01:18:08.000 --> 01:18:11.000]  other than what they want, which is self-aggrandizement,
[01:18:11.000 --> 01:18:15.000]  that increased narcissism, and make themselves prominent.
[01:18:15.000 --> 01:18:18.000]  Spencer didn't do anything in his life.
[01:18:18.000 --> 01:18:19.000]  That's worthy of anything.
[01:18:19.000 --> 01:18:21.000]  He's a spoiled little brat.
[01:18:21.000 --> 01:18:24.000]  And signers a spoiled little brat who wants to go to politics
[01:18:24.000 --> 01:18:28.000]  and prose on Connecticut Avenue and teach nonfiction.
[01:18:28.000 --> 01:18:32.000]  So you have these two spoiled little brats coming together
[01:18:32.000 --> 01:18:36.000]  with the most ridiculous outfits I've ever seen,
[01:18:36.000 --> 01:18:42.000]  where you have fully trained and fully equipped soldiers
