[00:00:00.229 --> 00:00:02.930]  Shot one kill, a Marine Corps Sniper.
[00:43:47.410 --> 00:43:50.633]  They've got Pleasant Scented Water-Based Insect Repellent.
[00:43:50.633 --> 00:43:52.114]  Very important.
[00:43:52.114 --> 00:43:54.156]  Natural Pet and Livestock Products.
[00:43:54.156 --> 00:43:56.058]  Free Catalogs and Newsletters.
[00:43:56.058 --> 00:44:00.122]  Naturopathic Correspondence Programs that are excellent.
[00:44:00.122 --> 00:44:01.984]  Home Study Courses.
[00:44:01.984 --> 00:44:03.685]  MSM Sulfur Capsules.
[00:44:03.685 --> 00:44:04.726]  Olive Leaf Capsules.
[00:44:04.726 --> 00:44:07.409]  Vitamin C. Natural Detox Formulas.
[00:44:07.409 --> 00:44:09.251]  All these books and great information.
[00:44:10.040 --> 00:44:11.761]  You need to give them a call.
[00:44:11.761 --> 00:44:13.883]  You need to go to HerbalHealer.com.
[00:44:13.883 --> 00:44:15.664]  HerbalHealer.com.
[00:44:15.664 --> 00:44:18.125]  Or call 870-269-4177.
[00:44:18.125 --> 00:44:23.389]  And tell them Alex Jones sent you to get the free newsletter or catalog.
[00:44:23.389 --> 00:44:25.830]  It's over a hundred page catalog and a huge monthly newsletter.
[00:44:25.830 --> 00:44:33.435]  870-269-4177 or HerbalHealer.com.
[00:44:33.435 --> 00:44:38.739]  Colonel Roberts, when you found out about the New World Order, writing your first Kennedy assassination book,
[00:44:40.232 --> 00:44:41.676]  How did you acclimate to it?
[00:44:41.676 --> 00:44:45.929]  I mean, how did you... It's hard to face on the surface how evil they are.
[00:44:45.929 --> 00:44:47.494]  I mean, one case I keep using...
[00:44:48.576 --> 00:44:55.361]  Six months ago it comes out, all over the foreign press, even our press, DynCorp, quietly convicted in the civil court.
[00:44:55.361 --> 00:45:05.848]  A DynCorp employee and a brave UN employee quit and said they're loading 200,000 women and children on C-130s, on jets, flying them out around the world, the slave brothels.
[00:45:05.848 --> 00:45:07.389]  We're not going to be involved in this.
[00:45:07.389 --> 00:45:13.013]  And the two employees got fired, they sued, they both won, but DynCorp had UN diplomatic immunity.
[00:45:13.013 --> 00:45:16.336]  You know, Stalin said you kill one person, it's a tragedy.
[00:45:16.336 --> 00:45:16.896]  10,000 is a statistic.
[00:45:18.735 --> 00:45:21.197]  I mean, here's 200,000 kidnapped women and children.
[00:45:21.197 --> 00:45:24.459]  Imagine the movies, the miniseries that can be made of that.
[00:45:24.459 --> 00:45:26.420]  But they're giving the contracts in Afghanistan.
[00:45:26.420 --> 00:45:29.563]  They're giving the contracts in Iraq.
[00:45:29.563 --> 00:45:30.443]  They're doing this.
[00:45:30.443 --> 00:45:32.244]  This happens.
[00:45:32.244 --> 00:45:35.026]  And as you said, it's a blip on the radar screen.
[00:45:35.026 --> 00:45:38.068]  That's one of about 10,000 evils we've seen confirmed.
[00:45:38.068 --> 00:45:46.134]  These articles for the British, MI6, MI5, Army Intel, carry out almost all the terror as an excuse for police state in Northern Ireland.
[00:45:46.514 --> 00:45:49.916]  I mean, how do you get people to face the horror of this?
[00:45:49.916 --> 00:45:52.657]  Well, you know, that's a good question, because I've been trying to do that for years.
[00:45:52.657 --> 00:45:58.759]  You know, I mean, people have read my book, The Medusophile, and they zero in on the chapter on the Finder's Case.
[00:45:58.759 --> 00:46:06.703]  The Finder's Case is where all these kids get picked up, and then they disappear into the white slaves' pedophile sex market worldwide.
[00:46:07.123 --> 00:46:09.444]  And they use that to put in the FEMA EAS system and call it Amber Alert.
[00:46:26.733 --> 00:46:29.715]  Yeah, and you know, you've got to have a problem before you can have a solution.
[00:46:29.715 --> 00:46:42.621]  And so now when you go and you say, well, yeah, they're picking up all these people, but just think, they're having a better life, we're finding them jobs, we're getting them away from these poverty stricken areas, we're getting them out into other countries where they can be taken care of and sponsored and so on.
[00:46:42.621 --> 00:46:46.263]  When you read between the lines and start investigating that, just how are they being sponsored?
[00:46:46.263 --> 00:46:50.566]  Well, we're always catching you and diplomats with a basement full of kids or women.
[00:46:50.566 --> 00:46:50.966]  I mean, it's
[00:46:51.923 --> 00:46:53.484]  It's unbelievable.
[00:46:53.484 --> 00:46:54.865]  It's unbelievable.
[00:46:54.865 --> 00:46:55.926]  And that's exactly it.
[00:46:55.926 --> 00:46:59.788]  The more bizarre and unbelievable they can make it, the less people will believe it.
[00:46:59.788 --> 00:47:01.089]  They'll say, oh, that's science fiction.
[00:47:01.089 --> 00:47:03.531]  Well, tell folks about the Finders case in D.C.
[00:47:03.531 --> 00:47:13.738]  Well, that's the one where they found two guys in suits with a van full of kids down in Florida.
[00:47:13.738 --> 00:47:14.719]  They're on their way to Mexico.
[00:47:14.719 --> 00:47:16.620]  They stop in a city park to let these kids get out.
[00:47:17.140 --> 00:47:17.701]  Yeah, I think so.
[00:47:38.279 --> 00:47:42.102]  And so they started investigating, working with the Treasury Department.
[00:47:42.102 --> 00:47:47.347]  Treasury Department customs guys started looking at this, and they ended up finding this warehouse in Washington.
[00:47:47.347 --> 00:47:50.509]  When they went in there, they found a satanic temple.
[00:47:50.509 --> 00:47:52.891]  They found a movie studio.
[00:47:52.891 --> 00:47:53.792]  They found cameras.
[00:47:53.792 --> 00:47:55.273]  They found banks with computers.
[00:47:55.273 --> 00:47:56.254]  They found records.
[00:47:56.254 --> 00:48:00.537]  They found all kinds of weird stuff in jars in one bookcase.
[00:48:00.537 --> 00:48:06.261]  They found records that went to different countries, including Saudi Arabia, Europe, Germany, North Korea, South Korea, etc., etc.
[00:48:07.222 --> 00:48:19.999]  They found out that they had an international child pedophilia ring, and they found tapes that showed different politicians in Washington compromising positions that were obviously used for blackmail.
[00:48:19.999 --> 00:48:24.225]  You know, it's real easy for a senator to say, we're not going to give you so much money for your budget.
[00:48:24.825 --> 00:48:29.567]  And then you walk into a tape on his desk and say, you better look at this tape and then you better rethink about our budget.
[00:48:29.567 --> 00:48:31.128]  And all of a sudden you get your money.
[00:48:31.128 --> 00:48:34.730]  It's real easy to control people if you can control their personal reputation.
[00:48:34.730 --> 00:48:36.190]  And that's what these guys were doing there.
[00:48:36.190 --> 00:48:40.853]  But they were also making tons and tons of money with these kids being sent all over the place.
[00:48:40.853 --> 00:48:43.054]  And it linked up with the Franklin incident.
[00:48:43.054 --> 00:48:44.494]  It linked up in Omaha.
[00:48:44.494 --> 00:48:46.655]  It linked up with the Mark Preschool.
[00:48:46.655 --> 00:48:48.096]  It linked up with Bohemian Grove.
[00:48:48.496 --> 00:48:49.416]  And all the rest of that.
[00:48:49.416 --> 00:48:55.319]  Well, you take that, you compound it on an international level, and how many bohemian groves are really out there?
[00:48:55.319 --> 00:48:56.559]  We don't know.
[00:48:56.559 --> 00:48:58.340]  But we knew that this network had been discovered.
[00:48:58.340 --> 00:49:05.322]  At the very end, when the Treasury Department people came back in, and they wanted to look at the evidence that the Washington, D.C.
[00:49:05.322 --> 00:49:14.866]  Metro Police had sacked up and displaced in all these trash bags, they were told that it was sealed up, they weren't allowed to look at it, and that it was a CIA internal matter.
[00:49:15.723 --> 00:49:19.105]  In other words, it directly was controlled by the CIA and they would deal with it.
[00:49:19.105 --> 00:49:20.546]  And this is the problem with evil.
[00:49:20.546 --> 00:49:22.427]  You know, it starts with our men.
[00:49:22.427 --> 00:49:28.751]  Men, we know bringing heroin into America is bad, but it's just for the minorities.
[00:49:28.751 --> 00:49:30.452]  We've got to have this money.
[00:49:30.452 --> 00:49:32.794]  Congress won't give us the money to fight the communists.
[00:49:33.614 --> 00:49:35.456]  Lieutenant, are you ready to ship these drugs in?
[00:49:35.456 --> 00:49:36.037]  Yes, sir.
[00:49:36.037 --> 00:49:37.699]  For America, I'll do it.
[00:49:37.699 --> 00:49:43.985]  And then over time, they find more and more evil people, until it grows to it's just a business, heroin and cocaine.
[00:49:43.985 --> 00:49:46.808]  Well, if we don't do it, someone else will control it, and we have to.
[00:49:46.808 --> 00:49:49.210]  And then it's, oh, we'll do it with these kids.
[00:49:49.210 --> 00:49:53.835]  And it just grows and grows and grows and grows and grows and grows and grows.
[00:49:54.987 --> 00:49:56.449]  And it's just incredible.
[00:49:56.449 --> 00:49:56.889]  I just...
[00:50:13.886 --> 00:50:21.073]  Well, after you've helped transport some drugs for a while, they come back and you say, well, wait a minute, you know, how many pushers, how long does it take to arrest these pushers?
[00:50:21.073 --> 00:50:31.502]  And they say, well, this has escalated into a different, we've had mission creep here, and what we're doing now is we're taking the money that we're making off this to finance other missions abroad that are top secret, you don't have a need to know.
[00:50:31.502 --> 00:50:35.025]  And then you finally come back and you say, look, I don't want to play this game anymore because I don't think it's right.
[00:50:35.025 --> 00:50:40.070]  And they say, well, I'm sorry, you're going to play the game because you're a part of it now, and if you don't, we're going to arrest you for drug trafficking.
[00:50:40.630 --> 00:50:45.296]  Most guys just go, hey, since we got all this money from this, you might as well take $10,000 out of it.
[00:50:45.296 --> 00:50:48.120]  You know, your wife is back in the U.S.
[00:50:48.120 --> 00:50:48.841]  She needs the money.
[00:50:48.841 --> 00:50:49.682]  Why don't you go ahead?
[00:50:49.682 --> 00:50:51.023]  You got your choice.
[00:50:51.023 --> 00:50:52.565]  You can take the money or you can go to prison.
[00:50:52.565 --> 00:50:54.548]  We'll arrest you and blame the whole thing on you.
[00:50:54.548 --> 00:50:55.309]  So now where you at?
[00:50:55.989 --> 00:51:10.522]  And this has happened to lots of people before and I have received letters from former CIA assets who said I'm in prison because I was running drugs for the CIA and when I was going to blow the whistle they decided to blame the whole thing on me and arrest me and convict me and here I sit in Arizona.
[00:51:10.522 --> 00:51:12.304]  Well they've caught him a hundred times.
[00:51:12.304 --> 00:51:15.847]  Cops at an airport will catch him if they flash CIA badges.
[00:51:15.847 --> 00:51:19.650]  They go ahead and take him in and they get a call from the FBI saying release him.
[00:51:22.272 --> 00:51:45.037]  If you grab a copy of the Medusa file, and just look up some of these cases, look up the finders, and look up the different drug running stuff, look up the Iran-Contra stuff I've got in there, and the same names over and over, the same organizations over and over, and it's all documented, it's all there, it's all the resources to look it up, and I tell people... Well, Senator DeCamp was hired to disprove the stuff with the savings and loan and the pedophile stuff.
[00:51:45.037 --> 00:51:47.498]  He found out it was true, investigators, of course, were killed.
[00:51:48.358 --> 00:51:52.521]  And then a Virginia TV station attacked him and said it wasn't true.
[00:51:52.521 --> 00:51:54.643]  He sued him for over a mil and won.
[00:51:54.643 --> 00:51:56.344]  And they've got the files.
[00:51:56.344 --> 00:51:57.425]  They've got all of it.
[00:51:57.425 --> 00:51:58.726]  They've proved it.
[00:51:58.726 --> 00:52:02.729]  And see, for an average person, this is so evil, we can't even understand it.
[00:52:02.729 --> 00:52:05.211]  We're from a different world, folks.
[00:52:05.211 --> 00:52:09.114]  And now the people that are into this run the world.
[00:52:09.114 --> 00:52:12.977]  And look, it came out with the kids in the CPS.
[00:52:13.732 --> 00:52:14.553]  We're good to go.
[00:52:31.047 --> 00:52:35.212]  Well, you know, the ways to control people are play on their patriotism, number one.
[00:52:35.212 --> 00:52:37.656]  Number two, control their minds and their thoughts.
[00:52:37.656 --> 00:52:47.809]  Number three, put them on some kind of dependency drug or something that they're dependent on you on, or coercion, or extortion, or just buy them.
[00:52:48.769 --> 00:52:54.332]  And people who have evil in them will go that direction with very little resistance.
[00:52:54.332 --> 00:52:57.134]  They'll take the money, they'll take the drugs, they'll do it for fun.
[00:52:57.134 --> 00:53:00.355]  You know, they're perverts or whatever.
[00:53:00.355 --> 00:53:03.377]  So you can buy those people real quick, but they're not reliable.
[00:53:03.377 --> 00:53:04.538]  You want reliable people.
[00:53:04.538 --> 00:53:07.539]  You want people you can count on when you're going to be doing these things.
[00:53:07.539 --> 00:53:09.480]  These guys are just throw downs.
[00:53:09.480 --> 00:53:14.723]  So the other ones, you have to coerce, you have to blackmail, you have to do something else to get these people into your fold.
[00:53:14.723 --> 00:53:16.244]  And one of the easiest ones,
[00:53:16.944 --> 00:53:18.265]  Uh, is the Patriot.
[00:53:18.265 --> 00:53:20.886]  Because you can take the Patriot and say, this is for your country.
[00:53:20.886 --> 00:53:32.752]  We can't tell you everything, but it's for your country, and this is what you've got to do, because this is the best thing to do, and you've got to do it because you're a good patriotic person, we've checked you out, we trust you, and you build this guy's ego up, see?
[00:53:32.752 --> 00:53:42.257]  And then after you've got his ego built up, he says, okay, I don't need to know everything, but I get to go beat James Bond, and you're going to give me some money, and some operating expenses, and I get to carry a gun or whatever, and all of a sudden this guy's on board.
[00:53:42.717 --> 00:53:44.199]  He thinks he's doing the right thing.
[00:53:44.199 --> 00:53:53.168]  He doesn't know he's working for evil until he's been there a little while, he's seen some of these things, he starts to ask some questions and he doesn't get the right answers.
[00:53:53.168 --> 00:53:54.790]  At that point he has a choice.
[00:53:54.790 --> 00:53:59.735]  Either join them or try to get away and that doesn't always work.
[00:53:59.735 --> 00:54:03.179]  They'll either kill him, debunk him, discredit him or destroy him.
[00:54:05.379 --> 00:54:09.301]  Yeah, I've found they're a lot more commonly go after anyone who's ever been signed up with them.
[00:54:09.301 --> 00:54:14.004]  They seem to leave people alone who've never had any dealings with them or never taken anything from them.
[00:54:14.004 --> 00:54:16.045]  It's like a weird rule or code.
[00:54:16.045 --> 00:54:17.166]  What is that?
[00:54:17.166 --> 00:54:20.508]  Well, it's, you know, once that they've got a file,
[00:54:21.489 --> 00:54:22.870]  Then they consider you an asset.
[00:54:22.870 --> 00:54:24.131]  Once in, never out.
[00:54:24.131 --> 00:54:28.074]  But they have gone after people who are totally clueless.
[00:54:28.074 --> 00:54:33.659]  If they need somebody in a given area, they'll put their feelers out and they'll say, this is what we're looking for in this area.
[00:54:33.659 --> 00:54:38.223]  And if you just happen to pop up on their radar screen, they're going to go out and try to recruit you.
[00:54:38.223 --> 00:54:40.105]  They tried to recruit me twice over the years.
[00:54:40.105 --> 00:54:40.545]  Well, no.
[00:54:40.545 --> 00:54:46.771]  I mean, I'm just talking about the globalists have some weird, that I've seen predominantly, I know they sometimes never remember that,
[00:54:47.151 --> 00:54:52.816]  If you've ever worked for them in any way, then they have no problem going after you to take you out.
[00:54:52.816 --> 00:54:58.080]  But if you've never been involved with them, I've seen that folks that haven't been at any level, they tend to leave you alone more.
[00:55:03.344 --> 00:55:05.326]  If they just see a periscope, they're going to death charge you.
[00:55:05.326 --> 00:55:10.230]  But if you're a battleship out there making a lot of noise and everybody's noticing you, they're not going to do anything to you.
[00:55:10.230 --> 00:55:13.012]  What they're going to do is they're going to try to either debunk you or discredit you.
[00:55:13.012 --> 00:55:13.532]  Which they've done.
[00:55:13.532 --> 00:55:15.915]  I've been attacked by the New York Times, everything else you can imagine.
[00:55:15.915 --> 00:55:23.421]  Yeah, but as far as physical damage, all that would do, it would be counterproductive because all it would do is prove your point.
[00:55:23.421 --> 00:55:25.343]  And they don't want to help you prove your point.
[00:55:25.343 --> 00:55:28.165]  Well, I was told that the one time I got death-threaded by the government,
[00:55:29.375 --> 00:55:33.358]  Was when Judge Walter Smith, in Waco case, wouldn't allow a jury.
[00:55:33.358 --> 00:55:37.882]  And I don't know who did it, but you know, it obviously was from that quarter.
[00:55:37.882 --> 00:55:45.989]  And I went, and we protested, we pointed this out, I was building that branch to Vidia Memorial Church, and they got very mad.
[00:55:45.989 --> 00:55:49.312]  And, you know, I got little messages that couldn't come from anywhere but the government.
[00:55:49.312 --> 00:55:51.534]  You know, the whole voice changer bit, the whole thing.
[00:55:52.208 --> 00:55:58.175]  You know, the stuff from horror movies, stuff from spy movies, I just said, fine, I love my country, you know, so be it.
[00:55:58.175 --> 00:55:59.577]  I told them.
[00:55:59.577 --> 00:56:03.842]  Whatever, you know, I don't know, and I've been left alone.
[00:56:03.842 --> 00:56:07.487]  But the point is, why do you think they'd be so upset about what we did at Waco?
[00:56:07.487 --> 00:56:11.692]  I mean, we just built a memorial church and exposed the fact that the judge wasn't going to have a jury.
[00:56:13.273 --> 00:56:20.122]  Well, at that time, that was a sensitive issue that, you know, a seed could grow into a big plant.
[00:56:20.122 --> 00:56:21.704]  Yeah, that was in the whole investigation.
[00:56:21.704 --> 00:56:23.166]  It was big in the news, I guess.
[00:56:23.166 --> 00:56:23.646]  That's right.
[00:56:23.646 --> 00:56:27.572]  You were planting a seed and they didn't want that to flower into a big tree that everybody was going to notice.
[00:56:28.552 --> 00:56:33.516]  You know, when I did the book, JFK, The Dead Witnesses, I had 115 dead witnesses there.
[00:56:33.516 --> 00:56:38.560]  A lot of them died mysteriously just before they were supposed to testify.
[00:56:38.560 --> 00:56:50.589]  Well, the witnesses that are still alive today, or have been up until recently, were people who came forward and said everything they had to say right up front, and it was too late to put the cork in the bottle.
[00:56:50.589 --> 00:56:51.710]  So they were still alive.
[00:56:51.710 --> 00:56:57.034]  That's like Jennifer Flowers, when she's on Chris Matthews, and he says, Clinton's having people killed, and Chris Matthews, what?
[00:56:57.961 --> 00:56:58.822]  He goes, yeah, over 100.
[00:56:58.822 --> 00:57:00.365]  He goes, well, why are you still alive?
[00:57:00.365 --> 00:57:01.667]  She goes, because I'm on this show.
[00:57:01.667 --> 00:57:02.568]  I'm on other shows.
[00:57:02.568 --> 00:57:09.018]  Yeah, because you stand up and you say, this is what, well, you know, well, if all of a sudden if they killed her, it would prove her point.
[00:57:09.565 --> 00:57:10.686]  Let's take some calls.
[00:57:10.686 --> 00:57:12.027]  Doug in West Virginia.
[00:57:12.027 --> 00:57:12.807]  Doug, you're on the air.
[00:57:12.807 --> 00:57:13.588]  Go ahead.
[00:57:13.588 --> 00:57:31.699]  Yes, I've been a private pilot for 10 years, and I'm not an instrument rated pilot, but I know that when you do open up a flight plan, you initiate a dialogue with ATC, and if you stop talking to them, especially if you go off course, and especially if you turned off the transponder,
[00:57:32.423 --> 00:57:37.108]  You would be... Within 15 minutes in every case before 9-1-1, F-16s have surrounded you.
[00:57:37.108 --> 00:57:38.189]  Yeah.
[00:57:38.189 --> 00:57:44.635]  And in the case of Payne Stewart and the Golfer, 15 minutes they were around him, 18 minutes they were ready to shoot him down, they didn't.
[00:57:44.635 --> 00:57:44.835]  Exactly.
[00:57:44.835 --> 00:57:47.658]  The most controlling airspace in the world, nothing was done.
[00:57:47.658 --> 00:57:49.620]  Colonel Roberts, you want to comment to that?
[00:57:49.620 --> 00:57:56.006]  Well, you know, once you initiate a flight plan and activate it and take off, then
[00:57:57.109 --> 00:57:59.190]  You're going to be assigned a transponder code.
[00:57:59.190 --> 00:58:13.474]  Well, you can initiate a flight plan and fly VFR at 1200, but once you enter the air traffic system with a transponder code, yeah, you're going to be locked in on it until you land someplace or request release into VFR uncontrolled.
[00:58:13.474 --> 00:58:21.156]  But as far as what's happened since 9-11, it's hard for me to comment on what they do today because I haven't been pilot-in-command of an aircraft since then.
[00:58:21.156 --> 00:58:24.276]  I always try to ride in the back seat now with the flight attendant.
[00:58:24.276 --> 00:58:25.737]  You know what I mean?
[00:58:26.790 --> 00:58:28.611]  Anything else, Doug?
[00:58:28.611 --> 00:58:29.371]  Oh, yes.
[00:58:29.371 --> 00:58:31.932]  Well, Alex, I've been listening to you about three months.
[00:58:31.932 --> 00:58:37.934]  I didn't know about you before, but when this happened, you know, I just didn't... I couldn't believe the story.
[00:58:37.934 --> 00:58:46.497]  I mean, it was just so hysterical, you know, the kerosene, this magical elixir sent by Allah to melt the steel of the infidels, and this craziness in the news media.
[00:58:46.497 --> 00:58:49.619]  The building seven implodes faster than a building would fall.
[00:58:49.619 --> 00:58:52.580]  Only detonations floor by floor could make it fall in 3.1 seconds.
[00:58:54.051 --> 00:59:09.958]  And I put it, I was in college, I made a webpage that I just worked on just a little bit from December 01 to voting day, where of course, voting day 02, of course now your vote's not going to count because the Republican's going to win by, what is it, like 18,181 votes.
[00:59:09.958 --> 00:59:11.459]  That's happened over and over and over.
[00:59:11.459 --> 00:59:18.762]  And anyway, I think that the thing to do is to be vocal, you know,
[00:59:19.691 --> 00:59:36.757]  In their face, because when I did this, I emailed it to every senator, every congressman, every state governor, every major media, and I said, basically I did my own thoughts, and I linked to just hundreds of other websites, people that will scientifically explain different things.
[00:59:37.381 --> 00:59:40.502]  But, uh, no response, because I said, you know, I'd like to be wrong.
[00:59:40.502 --> 00:59:41.683]  Show me how I'm wrong.
[00:59:41.683 --> 00:59:47.045]  I even went to the FBI tip line a couple times and just showed them my webpage and said, look, you know, this is what I think.
[00:59:47.045 --> 00:59:48.745]  I think that Bush is a puppet.
[00:59:48.745 --> 00:59:54.147]  And what he did that day, you know, he knew before he left his hotel that that first building had been bombed.
[00:59:54.147 --> 00:59:56.008]  Why did he go to that school?
[00:59:56.008 --> 01:00:01.430]  Because since Truman's time, the biggest fear of the Secret Service is that a plane would fly into the building where the president was.
[01:00:01.430 --> 01:00:01.930]  They hardened
[01:00:03.971 --> 01:00:05.111]  Absolutely, got to let you go.
[01:00:05.111 --> 01:00:05.871]  Thanks for the call.
[01:00:05.871 --> 01:00:06.692]  Final segment with Col.
[01:00:06.692 --> 01:00:06.952]  Roberts.
[01:00:06.952 --> 01:00:10.233]  We'll talk to Dave and Michael and a few others.
[01:00:10.233 --> 01:00:11.894]  And we'll also tell you how to get Col.
[01:00:11.894 --> 01:00:12.834]  Roberts' books.
[01:00:12.834 --> 01:00:13.454]  They're excellent.
[01:00:13.454 --> 01:00:14.435]  My films.
[01:00:14.435 --> 01:00:17.796]  And we're going to be in Kansas City this Saturday.
[01:00:17.796 --> 01:00:18.096]  Col.
[01:00:18.096 --> 01:00:25.359]  Roberts and myself, John Stattmore, will be there as well and a few other speakers from 10 in the morning until 7 at night.
[01:00:25.359 --> 01:00:25.619]  Col.
[01:00:25.619 --> 01:00:28.100]  Roberts will be doing an incredible PowerPoint presentation.
[01:00:28.100 --> 01:00:29.060]  I'll be doing one as well.
[01:00:30.279 --> 01:00:30.819]  Stay with us.
[01:00:30.819 --> 01:00:32.240]  We'll be right back with the final segment.
[01:00:32.240 --> 01:00:37.783]  We've got a lot of key information out today about the pure evil we face.
[01:00:37.783 --> 01:00:39.984]  Thanks for listening to the N-Doc.
[01:00:39.984 --> 01:00:44.726]  Alex Jones on the GCN Radio Network.
[01:00:44.726 --> 01:00:48.168]  Waging war on corruption, crashing for lies and disinformation.
[01:00:48.168 --> 01:00:50.869]  Real quick, Dave in California, then Mike in New York.
[01:00:50.869 --> 01:00:52.610]  Dave, you're on the air with Colonel Roberts.
[01:00:52.610 --> 01:00:53.290]  Welcome.
[01:00:53.290 --> 01:00:54.231]  Good afternoon, gentlemen.
[01:00:55.677 --> 01:00:56.897]  I've got two things for you.
[01:00:56.897 --> 01:01:00.378]  One, I'm sitting here looking at a copy of the Washington Times.
[01:01:00.378 --> 01:01:10.940]  This is from 1988 when they broke a story about a nest of homosexuals that had been purchasing young boys and having them tour the White House and such.
[01:01:10.940 --> 01:01:14.780]  Do you folks remember that particular issue?
[01:01:14.780 --> 01:01:24.242]  I do remember the Barney Frank type stuff and underage stuff and I do remember some of that.
[01:01:24.907 --> 01:01:32.229]  I've got a 90s article out of the Washington Times where David Gergen admits wild things going on at the Grove, but Colonel Roberts?
[01:01:32.229 --> 01:01:39.491]  Yeah, I remember that case specifically, and it surfaced for like one or two days and then disappeared and we never heard of it again.
[01:01:39.491 --> 01:01:43.532]  Okay, well, if you're interested, if you go to Indymedia.org, you can find it.
[01:01:43.532 --> 01:01:53.915]  Some of the principals involved were Mr. Dutcher, D-U-T-C-H-E-R, Vice President Quayle's representative of some kind, and there's a couple other folks, Craig Spence.
[01:01:55.252 --> 01:01:58.615]  There's a lot of Indy media sites, which one?
[01:01:58.615 --> 01:02:04.980]  I believe it's their main site, and you search for this, the Reagan White House sex scandal.
[01:02:04.980 --> 01:02:13.086]  Well, remember Chandra Levy, this was even on Fox and CNN, it ended when it broke, that she was involved in some type of weird satanic sex cult.
[01:02:13.086 --> 01:02:13.907]  Did you hear that, Colonel?
[01:02:14.750 --> 01:02:18.553]  Yeah, and that didn't surprise me either because of all these other findings we have.
[01:02:18.553 --> 01:02:24.017]  And there is a huge satanic underground movement that's linked to the homosexual community in Washington, D.C.
[01:02:24.017 --> 01:02:25.378]  And we're not the only ones saying this!
[01:02:25.378 --> 01:02:28.320]  I mean, this stuff pops up on TV!
[01:02:28.320 --> 01:02:31.763]  Oh yeah, and it's linked to, believe it or not, a place in Haiti.
[01:02:32.661 --> 01:02:34.603]  Uh, which, you know, we went to Haiti, didn't we?
[01:02:34.603 --> 01:02:35.825]  I wonder why.
[01:02:35.825 --> 01:02:41.771]  And, uh, so we've got this thing that linked down there and there was an investigation going on down there, I think, Port-au-Prince or wherever it is.
[01:02:41.771 --> 01:02:47.898]  And, uh, the records disappeared after we arrived, uh, during the Clinton- And their president had been doing something weird.
[01:02:47.898 --> 01:02:49.500]  Uh, let's, uh, thanks for the call, Dave.
[01:02:49.500 --> 01:02:50.161]  Yeah, Papa Doc.
[01:02:51.699 --> 01:02:52.420]  Pardon me, sir?
[01:02:52.420 --> 01:02:53.640]  Papa Doc Duvalier.
[01:02:53.640 --> 01:02:54.161]  Yeah.
[01:02:54.161 --> 01:02:55.161]  And Baby Doc.
[01:02:55.161 --> 01:02:59.084]  Somebody do me a favor, email that story to tipsandinfowars.com.
[01:02:59.084 --> 01:03:01.766]  I've seen it years ago, but I'd like to have it again.
[01:03:01.766 --> 01:03:04.788]  Mike in New York, last caller, go ahead.
[01:03:04.788 --> 01:03:06.028]  Yes, hello, Alex?
[01:03:06.028 --> 01:03:06.389]  Yes, sir.
[01:03:06.389 --> 01:03:08.070]  How are you doing, Colonel Roberts?
[01:03:08.070 --> 01:03:08.630]  Fine.
[01:03:08.630 --> 01:03:09.290]  Good.
[01:03:09.290 --> 01:03:11.011]  I have two questions, actually.
[01:03:11.011 --> 01:03:14.694]  You were aware of the Topalov incident today at the Chicago airport?
[01:03:16.063 --> 01:03:19.206]  Well, government federalization, martial law drills, yes.
[01:03:19.206 --> 01:03:19.846]  Right, right.
[01:03:19.846 --> 01:03:20.427]  I'm just wondering.
[01:03:20.427 --> 01:03:22.048]  There's also one going in Seattle, I think.
[01:03:22.048 --> 01:03:23.790]  Yeah, martial law drills, all over the country.
[01:03:23.790 --> 01:03:26.913]  Right, I just wanted to get your point of view on that.
[01:03:26.913 --> 01:03:28.814]  Well, it's a martial law drill.
[01:03:28.814 --> 01:03:29.995]  We talked about that last hour.
[01:03:29.995 --> 01:03:30.576]  Colonel Roberts?
[01:03:30.876 --> 01:03:33.057]  Yeah, and what it is, it does several things.
[01:03:33.057 --> 01:03:34.957]  We're going to have more of these pop up.
[01:03:34.957 --> 01:03:37.778]  They're going to go on to a wider scale, coordinated with each other.
[01:03:37.778 --> 01:03:41.960]  They're also flexing the communications networks on these things.
[01:03:41.960 --> 01:03:49.562]  And we're getting the American people used to seeing these things, so that if we have an incident, they're going to say, OK, we've already got this in place.
[01:03:49.562 --> 01:03:50.543]  Everything's going to be OK.
[01:03:50.543 --> 01:03:53.264]  Just stay home, and we'll handle it, and we'll keep you advised.
[01:03:53.264 --> 01:03:54.564]  It'll be a little bit more convenient.
[01:03:54.564 --> 01:03:56.305]  And Nine Pound Perfume's Running Man World.
[01:03:56.305 --> 01:03:57.625]  Thanks for the call, Mike.
[01:03:57.625 --> 01:03:58.125]  Really do.
[01:03:58.125 --> 01:03:59.606]  Colonel Roberts, how do folks get your books?
[01:04:00.066 --> 01:04:05.730]  Well, they can get on www.RifleWarrior.com and order them right there.
[01:04:05.730 --> 01:04:11.113]  They can order them through their local bookstore, and they may or may not get them because they seem to disappear off the computer all the time.
[01:04:11.113 --> 01:04:13.634]  You had best-selling books until you talked about the New World Order.
[01:04:13.634 --> 01:04:14.115]  That's right.
[01:04:14.115 --> 01:04:21.859]  All the other books, you can get those at any bookstore, but if you go to Medusafile or Killzone or Dead Witnesses or Doorway to Hell, you'll find it hard to get them.
