[00:00:03.397 --> 00:00:05.258]  It's Sunday, April 25th.
[00:50:08.601 --> 00:50:10.102]  They're 100% safe and effective.
[00:50:10.102 --> 00:50:11.802]  There's no issues.
[00:50:11.802 --> 00:50:12.983]  Don't listen to conspiracy theorists.
[00:50:13.573 --> 00:50:30.585]  When all the top scientists, I mean thousands of them, and epidemiologists, and virologists, and the head of the EU Advisory Board, Wolfgang Wudard, and the former head scientist at Pfizer, all come out and say, this is depopulation.
[00:50:30.585 --> 00:50:31.946]  This is to cause infertility.
[00:50:31.946 --> 00:50:33.747]  This is going to attack women's uteruses.
[00:50:33.747 --> 00:50:36.849]  Back in December they said that, and now the data is clear, they're right.
[00:50:36.849 --> 00:50:40.932]  It's doing exactly that, because they can look at something and see what it's really designed to do.
[00:50:41.781 --> 00:50:49.667]  So when you hear this thing doesn't work for COVID or work for a cold and that's why people get reinfected, that's only part of the fraud.
[00:50:49.667 --> 00:50:57.773]  It does work on attacking proteins in your brain, in the placenta, in the uterus, in the ovaries, in the testicles and other areas.
[00:50:57.773 --> 00:51:01.356]  And this is a bold bioweapon attack.
[00:51:01.356 --> 00:51:03.157]  And yes, it's shedding.
[00:51:03.157 --> 00:51:10.983]  And yes, even NPR had to admit that one concern about the mRNA vaccines and others, the virus vector vaccines of JJ and AstraZeneca,
[00:51:12.677 --> 00:51:21.141]  Is that it goes into the cells using another virus to deliver the system and will create viral shedding of real super strength.
[00:51:21.141 --> 00:51:23.282]  But we have something God gave us called the immune system.
[00:51:23.282 --> 00:51:29.025]  So you notice, when I was talking about vitamin D and vitamin C and zinc over a year ago, the media is like, that's kooky.
[00:51:29.025 --> 00:51:30.706]  The UN says that's not needed.
[00:51:30.706 --> 00:51:34.768]  It's like saying water is not needed or oxygen.
[00:51:34.768 --> 00:51:38.810]  You now notice, you turn on TV, all you see is vitamin D3 ads, zinc ads.
[00:51:40.732 --> 00:51:42.833]  And vitamin C ads, multivitamin ads.
[00:51:42.833 --> 00:51:43.714]  That's great!
[00:51:43.714 --> 00:51:47.216]  Humanity is waking up!
[00:51:47.216 --> 00:51:55.421]  Humanity is waking up to the fact that we can battle these monsters with the simple things that are essential that God gave us.
[00:51:55.421 --> 00:52:00.024]  And that their giant hoax of evil is in deep trouble.
[00:52:00.024 --> 00:52:02.005]  Now, they're going to keep leveraging their vaccine passports.
[00:52:02.005 --> 00:52:04.787]  They've got a big useful idiot population here in the West will go along with it.
[00:52:04.787 --> 00:52:05.887]  They're going to keep trying to make us wear masks.
[00:52:05.887 --> 00:52:10.090]  They're going to keep pecking at us and trying to dominate us, bringing in their bark of the beast, cashless society.
[00:52:11.010 --> 00:52:18.635]  But the good news at the end of the day is the wheels have come off this thing at every level.
[00:52:18.635 --> 00:52:19.636]  And it's very, very sad.
[00:52:19.636 --> 00:52:24.039]  How many people had to die like Hank Aaron and marvelous Marvin Hagler?
[00:52:24.039 --> 00:52:27.422]  And how many people had to get deathly sick like Ben Stein?
[00:52:27.422 --> 00:52:29.703]  You need to see the article on Infowars.com.
[00:52:29.703 --> 00:52:36.348]  The top actor in India, the national health spokesperson.
[00:52:36.348 --> 00:52:39.450]  I mean, I mean, the guy is like, they're Arnold Schwarzenegger.
[00:52:39.450 --> 00:52:40.531]  They're Brad Pitt.
[00:52:41.448 --> 00:52:45.111]  He took the shot and one day later died of a heart attack.
[00:52:45.111 --> 00:52:49.373]  Because it's even in the inserts that these shots can cause an autoimmune result.
[00:52:49.373 --> 00:52:50.314]  They can cause inflammation.
[00:52:50.314 --> 00:52:51.755]  They can do so many other things.
[00:52:51.755 --> 00:52:53.956]  You've got arteries that are already partially blocked.
[00:52:53.956 --> 00:52:56.678]  It swells the arteries up and you die.
[00:52:56.678 --> 00:52:58.219]  And that's what happened.
[00:52:58.219 --> 00:53:03.023]  And so, it's the trail of death around this that they're not going to be able to cover up.
[00:53:03.023 --> 00:53:06.365]  And that was the vaccine that the government of India thought was safe.
[00:53:06.365 --> 00:53:09.467]  But again, if you try to create something for the common cold,
[00:53:10.316 --> 00:53:15.398]  You have so many of these viruses already in your body that are naturally occurring.
[00:53:15.398 --> 00:53:24.001]  And this is designed to go after strands of viruses of RNA, not even full strands, that it's going to cause an autoimmune response and have you attack your own body.
[00:53:24.001 --> 00:53:24.461]  You understand?
[00:53:24.461 --> 00:53:25.701]  That's what the top scientists are saying.
[00:53:25.701 --> 00:53:33.504]  A massive autoimmune response in your own body where your body attacks itself or you have an allergic response and your body swells up.
[00:53:33.504 --> 00:53:33.784]  And so,
[00:53:34.995 --> 00:53:42.962]  It's very, very sad this is happening, but the good news is, despite Big Tech censorship, despite all the things they've been doing, the truth is getting out.
[00:53:42.962 --> 00:53:49.188]  Now, Big Tech is responsible for this, not just for censorship, but for being some of the main owners of Big Pharma.
[00:53:49.188 --> 00:53:58.457]  So they got together with this, they couldn't get mRNA technologies authorized last decade, no government would legalize them, because they're so dangerous.
[00:53:58.457 --> 00:53:59.578]  And so what do these monsters do?
[00:54:01.050 --> 00:54:14.654]  They got together with Big Tech, they got together with the UN, they got together with Bill Gates, and all the major health groups in the world that his foundation publicly finances, except for the 32 countries he's been thrown out of, like India, which still had over 130 countries on its payroll.
[00:54:14.654 --> 00:54:24.137]  They decided to get together with one script, to say safe and effective, to say it was tested, to say it was great, and to say you'd have to take it to buy and sell, or have a job, or get on an airplane, or leave your house.
[00:54:24.989 --> 00:54:39.863]  And with huge bullying, and huge lying, and huge corruption, huge fear-mongering, and exaggerating COVID-19 deaths to 101, and counting all the other deaths as COVID-19, and sending sick people to nursing homes to hopefully get the death numbers up, and committing every crime you can imagine, and then some.
[00:54:41.463 --> 00:54:44.525]  Now their whole hoax is falling apart and the whole world is turning against them.
[00:54:44.525 --> 00:54:49.467]  And they're all over the news saying, it's crazy, people are refusing en masse, they're evil, they won't take the shots.
[00:54:49.467 --> 00:54:55.631]  That's right, because the majority of people know you're a group of murdering, corrupt, globalist corporations who don't just want money and power.
[00:54:55.631 --> 00:55:01.914]  You want to be able to test on us like guinea pigs, and you want to be able to depopulate us and play God because you think we're stupid.
[00:55:01.914 --> 00:55:04.436]  And this whole thing was a giant IQ test in your own words.
[00:55:04.436 --> 00:55:05.176]  Well, guess what?
[00:55:05.176 --> 00:55:06.537]  We're passing the IQ test.
[00:55:07.091 --> 00:55:20.378]  And we're recognizing that you're a bunch of exterminist monsters that are going to have to be dealt with, and that you are committing crimes against humanity and violating the Nuremberg Code and the Geneva Convention, and that you will be held accountable.
[00:55:20.378 --> 00:55:22.078]  So help me God.
[00:55:22.078 --> 00:55:24.260]  So back to Owen Schroer and the live broadcast.
[00:55:24.260 --> 00:55:26.761]  I'll be back in studio tomorrow at 11 a.m.
[00:55:26.761 --> 00:55:27.081]  Central.
[00:55:27.794 --> 00:55:29.535]  Thank you for keeping us on the air.
[00:55:29.535 --> 00:55:35.576]  Without your support of InfoWars, there's no way humanity would have woken up to this as fast as we did.
[00:55:35.576 --> 00:55:37.457]  All of you have been instrumental in this fight.
[00:55:37.457 --> 00:55:40.638]  I know it's been negative, it's been painful, it's been scary, it's been frustrating.
[00:55:40.638 --> 00:55:42.359]  It's put a lot of years on me, I can tell you that.
[00:55:44.654 --> 00:55:49.200]  Months ago, God touched my heart and said, relax Jones, just do the right thing.
[00:55:49.200 --> 00:55:50.462]  I'll carry us the rest of the way.
[00:55:50.462 --> 00:55:54.367]  And I've had a lot more peace since then, and I'm getting a lot more peace now.
[00:55:54.367 --> 00:55:57.471]  But as long as we speak out and take action, God will do the rest.
[00:55:57.471 --> 00:55:59.514]  It's hard to watch these monsters do this.
[00:55:59.514 --> 00:56:02.658]  It's hard to watch them carry all this out.
[00:56:03.932 --> 00:56:06.855]  But together, again, if we do the right thing, we will defeat them.
[00:56:06.855 --> 00:56:15.923]  But now when you start talking about holding them accountable for all the deaths and all the illnesses, Europe's saying that they're going to waive the law now that lawsuits go forward against vaccine makers.
[00:56:15.923 --> 00:56:22.869]  How about criminal charges like happened to Merck when they normally put HIV and hepatitis in the blood in the Factor A scandal?
[00:56:22.869 --> 00:56:24.610]  We need criminal charges.
[00:56:24.610 --> 00:56:28.013]  We need demonstrations outside Bill Gates's house and Microsoft.
[00:56:28.013 --> 00:56:29.595]  We need those outside Google.
[00:56:30.194 --> 00:56:34.555]  For covering up with all the medical scientists and the doctors that warned us.
[00:56:34.555 --> 00:56:36.615]  These are complicit mad scientists.
[00:56:36.615 --> 00:56:40.276]  You're not just liberals now censoring people, you know, the evil conservatives.
[00:56:40.276 --> 00:56:42.817]  You're now helping Big Pharma poison the planet.
[00:56:42.817 --> 00:56:44.197]  You're monsters.
[00:56:44.197 --> 00:56:45.417]  This isn't left versus right.
[00:56:45.417 --> 00:56:47.278]  This is human versus tyranny.
[00:56:47.278 --> 00:56:48.598]  And people are coming together.
[00:56:48.598 --> 00:56:53.319]  You know, they're using that in the news saying, Trump supporters are the most vaccine hesitant.
[00:56:54.241 --> 00:57:00.204]  That's why we need to educate them to trick liberals to go, oh, if Trump supporters are against it, I'm for it.
[00:57:00.204 --> 00:57:07.987]  When statistically, it's highly educated liberals with degrees that are refusing the vaccines.
[00:57:07.987 --> 00:57:09.728]  And then of course conservatives after that.
[00:57:09.728 --> 00:57:13.450]  I mean, look at the main anti-vax movement are a bunch of scientists and liberals.
[00:57:13.450 --> 00:57:15.311]  So again, this isn't working.
[00:57:15.311 --> 00:57:17.392]  People are coming together.
[00:57:17.392 --> 00:57:18.632]  It's very, very exciting.
[00:57:18.632 --> 00:57:20.013]  And we just got to keep getting the word out.
[00:57:20.013 --> 00:57:21.714]  So folks don't just go to sleep when they
[00:57:22.432 --> 00:57:25.273]  Back off these lockdowns and stuff, because we're going to bring them right back.
[00:57:25.273 --> 00:57:30.655]  You've got to fully route out and fully expose the entire false paradigm, the entire false lie.
[00:57:30.655 --> 00:57:31.615]  All right.
[00:57:31.615 --> 00:57:38.238]  Owen Schroer and Hour Number Two are coming up on the Sunday Alex Jones Show and then Sunday Live that Owen hosts.
[00:57:38.238 --> 00:57:39.658]  It's coming up in two hours.
[00:57:39.658 --> 00:57:41.119]  After that, we're going to go to break.
[00:57:41.119 --> 00:57:41.739]  We'll be right back.
[00:57:41.739 --> 00:57:43.640]  Please, everybody, you know, tune in now.
[00:57:43.640 --> 00:57:46.080]  History is happening, but without you, the enemy will win.
[00:57:46.080 --> 00:57:47.661]  With you, we will have victory.
[00:57:48.183 --> 00:57:49.103]  God bless, and good luck.
[00:57:49.103 --> 00:57:50.043]  Stay with us.
[00:57:50.043 --> 00:57:51.584]  Gerald in South Carolina.
[00:57:51.584 --> 00:57:52.344]  Go ahead, you're on the air.
[00:57:52.344 --> 00:57:53.084]  Trying to move quicker.
[00:57:53.084 --> 00:57:53.924]  Hey, Alex.
[00:57:53.924 --> 00:57:54.364]  Welcome.
[00:57:54.364 --> 00:57:59.525]  Would like to say, first off, thanks for being the voice of reason in amongst all this stupidity.
[00:57:59.525 --> 00:58:02.906]  Wanted to warn people, I've been trying to get a hold of you for a year, okay?
[00:58:02.906 --> 00:58:09.367]  I'm a double amputee, and I have bacteria infection on my lung that'll never go away.
[00:58:09.367 --> 00:58:11.028]  Living Defense saved my life.
[00:58:11.028 --> 00:58:15.169]  They had me on antibiotics for two years that almost killed me.
[00:58:15.169 --> 00:58:16.629]  Living Defense brought me back.
[00:58:16.889 --> 00:58:22.432]  I wanted to just quote from the Bible Jesus is saying as to where we are right now.
[00:58:22.432 --> 00:58:24.834]  This is Matthew 24 verse 9.
[00:58:24.834 --> 00:58:34.139]  Then they shall deliver you up to be afflicted and shall kill you and ye shall be hated of all nations for my name's sake.
[00:58:34.139 --> 00:58:39.562]  And then shall many be offended and shall betray one another and shall hate one another.
[00:58:39.562 --> 00:58:41.083]  That's right where we're at, brother.
[00:58:41.303 --> 00:58:51.006]  And that's because God's name is on the founding of this country, no matter what they say, and that's why the enemy hates it, because God created this country.
[00:58:51.006 --> 00:58:57.208]  Every product you hear me on air advertising, we have it stocked in our warehouse in Austin, Texas.
[00:58:57.208 --> 00:58:58.348]  Every product.
[00:58:58.348 --> 00:59:02.389]  So if you order it, we've got it shipped out in a couple days, sometimes the same day.
[00:59:02.389 --> 00:59:08.711]  Leisurers get confused when they hear me talk about the fact that the supply chain's breaking down, and it's future orders.
[00:59:09.580 --> 00:59:14.281]  It's product we're trying to reorder to get back in that we're having trouble with.
[00:59:14.281 --> 00:59:18.743]  I mean, I'm talking about double, triple, quadruple delivery times.
[00:59:18.743 --> 00:59:22.444]  And it's across not just the supplement, vitamin, mineral industry.
[00:59:22.444 --> 00:59:23.464]  It's across every industry.
[00:59:23.464 --> 00:59:27.005]  So the globalists have successfully devastated the economy.
[00:59:28.180 --> 00:59:36.481]  That's why I'm saying you need to visit InfoWareStore.com today and get high quality supplements while you still can and storable food at InfoWareStore.com.
[00:59:36.481 --> 00:59:38.902]  Because we have it in stock, it's ready to ship.
[00:59:38.902 --> 00:59:44.983]  But with the supply chain breakdowns, prices are going up, availability is going down, and it's just crazy.
[00:59:44.983 --> 00:59:48.204]  So please, get products while you still can and support the InfoWare.
[00:59:48.204 --> 00:59:53.464]  InfoWareStore.com.
[00:59:53.464 --> 00:59:56.125]  You're listening to the Alex Jones Show.
[01:00:13.183 --> 01:00:19.108]  We hope you're having a good weekend out there.
[01:00:19.108 --> 01:00:22.590]  Everybody tuned in to the Alex Jones Show on this Sunday.
[01:00:22.590 --> 01:00:24.992]  We thank you for tuning in.
[01:00:24.992 --> 01:00:27.154]  We thank you for supporting us at InfoWarsTore.com.
[01:00:27.154 --> 01:00:29.015]  Owen Troyer here for another hour.
[01:00:29.015 --> 01:00:33.138]  And then I hand the baton to Harrison Smith, who will be hosting Sunday Night Live.
[01:00:33.138 --> 01:00:33.659]  Laura Loomer,
[01:00:34.449 --> 01:00:35.371]  Has stuck around.
[01:00:35.371 --> 01:00:39.718]  I wanted her to come back and again talk about the event coming up this week.
[01:00:39.718 --> 01:00:40.880]  Just so people tuned in.
[01:00:40.880 --> 01:00:42.462]  A lot of Patriots in Florida.
[01:00:42.462 --> 01:00:43.945]  Very active as well.
[01:00:43.945 --> 01:00:48.773]  So Laura, once again, tell people about the event coming up on Tuesday and any details you think they might need to know.
[01:00:50.086 --> 01:00:50.846]  Yeah, thanks, though.
[01:00:50.846 --> 01:00:57.948]  And so the event is going to be Tuesday from 4.30 to 6.30 in Palm Beach at a place called Trump Corner, where we have a lot of Trump events.
[01:00:57.948 --> 01:01:02.509]  And so the information is on my Gap, the flyer is on my Parler, it's also on my Telegram.
[01:01:02.509 --> 01:01:05.009]  I just posted it a couple hours ago.
[01:01:05.009 --> 01:01:10.230]  And Michelle Malkin is going to be there, Nick Fuentes, Lauren Witzke, Vincent James.
[01:01:10.230 --> 01:01:19.552]  And we're going to have a really big rally to let people know that if the legislator here in Florida doesn't get it together and include these amendments in this bill, this big tech bill,
[01:01:20.192 --> 01:01:31.395]  HB 7013 or Senate Bill 7072, the Senate companion bill, then we're not going to have an effective tech bill here in Florida.
[01:01:31.395 --> 01:01:35.897]  And candidates like myself and Donald Trump and others will be deplatformed.
[01:01:35.897 --> 01:01:37.637]  And it's not just about me, right?
[01:01:37.637 --> 01:01:40.918]  This is about every candidate running for office in the state of Florida.
[01:01:41.318 --> 01:01:49.421]  And I'll tell you right now, big tech social media censorship is without a doubt the most important issue in the country right now, if not the entire world.
[01:01:49.421 --> 01:01:57.303]  And if we don't start finding solutions to rein in big tech and get rid of big tech tyranny, no Republicans will ever be elected ever again.
[01:01:57.303 --> 01:01:58.643]  They're just never going to allow it.
[01:01:58.643 --> 01:02:00.884]  We saw what big tech did this last election cycle.
[01:02:00.884 --> 01:02:04.805]  They colluded just as people like you and I and Alex have been saying they would for years.
[01:02:04.805 --> 01:02:07.106]  They colluded with each other to seal the election.
[01:02:09.580 --> 01:02:23.985]  Laura, what do you make, speaking of stealing elections, what do you make of the audit happening in Arizona right now, where the Democrats are sending dozens, 73 attorneys down there, to try to muddy the waters with that, but the audit continues.
[01:02:23.985 --> 01:02:25.306]  What are your thoughts on that?
[01:02:25.306 --> 01:02:27.687]  What are you seeing down there?
[01:02:27.687 --> 01:02:28.987]  Well, I think it's really interesting.
[01:02:28.987 --> 01:02:35.469]  If you didn't steal an election and there's no voter fraud, why do you have to send attorneys if people just want to recount ballots?
[01:02:35.469 --> 01:02:36.890]  What's the problem, right?
[01:02:38.197 --> 01:02:43.160]  You think the Democrats are acting suspiciously?
[01:02:43.160 --> 01:02:51.945]  Well, look, real winners, when you're a winner, when you really win an election or you win any type of tournament or anything, right?
[01:02:51.945 --> 01:02:56.407]  Whenever you're a winner, you don't have to silence your opposition if you won fair and square.
[01:02:56.407 --> 01:03:05.132]  If you're a real winner, you don't have to intimidate others and threaten others with litigation if you really are a real winner and you didn't cheat and you didn't steal.
[01:03:06.385 --> 01:03:08.246]  That's interesting.
[01:03:08.246 --> 01:03:25.052]  The Democrats have to censor all their opposition, and then they have to cheat to win elections, and then they pretend they're the popular party with all their Hollywood minions and their mainstream media towing the party line, giving the narrative to them as well.
[01:03:25.052 --> 01:03:27.553]  It's very incredible stuff to witness this.
[01:03:28.326 --> 01:03:44.341]  I was at Mar-a-Lago last night and I was there for the House Freedom Fund fundraiser with members of the Freedom Caucus and President Trump was talking about voter fraud and he was talking about how Republicans, you know, really need to start fighting back and that he said that this is the most important issue as well.
[01:03:44.341 --> 01:03:50.747]  And President Trump at Mar-a-Lago during his speech last night also talked about big tech censorship and how important it is that we get a hold on that.
[01:03:51.247 --> 01:04:05.718]  And I actually had an opportunity to speak with President Trump about the big tech social media censorship and what I've been doing to combat this last week when I was at Mar-a-Lago as well and I'm looking forward to having a meeting with him at Mar-a-Lago in the near future to discuss this because
[01:04:06.478 --> 01:04:11.882]  Look, the Democrats are colluding openly with Big Tech to silence people.
[01:04:11.882 --> 01:04:17.526]  And I do believe that voter fraud and the voter integrity issue and Big Tech censorship are all one and the same issue.
[01:04:17.526 --> 01:04:22.809]  Because when you look at the people who are financing the voter fraud, it's people like Mark Zuckerberg, right?
[01:04:22.809 --> 01:04:28.173]  The $400 million in election operations for ballot boxes.
[01:04:28.173 --> 01:04:35.798]  So if we don't deal with the Big Tech social media tyrants, then we're not going to get a hold on voter fraud or voter irregularities.
[01:04:37.298 --> 01:04:43.420]  That's Laura Loomer, follower on Gab, on Parler, on Telegram, and see her in Florida on Tuesday.
[01:04:43.420 --> 01:04:44.881]  Laura, thank you.
[01:04:44.881 --> 01:04:51.503]  Thanks, and hopefully InfoWars can come out as well, because we'd love to have InfoWars there live-streaming the event.
[01:04:51.503 --> 01:04:53.384]  You just had to do it to us, didn't ya?
[01:04:53.384 --> 01:04:56.625]  You just had to put the pressure on me, live on air, the pressure cooker.
[01:04:56.625 --> 01:04:58.986]  I get it.
[01:04:58.986 --> 01:05:02.727]  This entire New World Order system is about making you dependent.
[01:05:03.479 --> 01:05:04.540]  Making you obsolete.
[01:05:04.540 --> 01:05:07.683]  Making you a domesticated animal they control.
[01:05:07.683 --> 01:05:08.904]  They want to censor you.
[01:05:08.904 --> 01:05:09.745]  They want to dumb you down.
[01:05:09.745 --> 01:05:10.846]  They want to poison you.
[01:05:10.846 --> 01:05:14.009]  And they want to control your ability to take care of yourself.
[01:05:15.146 --> 01:05:19.628]  Ladies and gentlemen, now is the time to fund the info war more than ever.
[01:05:19.628 --> 01:05:24.810]  And you can do it while at the same time protecting yourself and your family and your neighbors.
[01:05:24.810 --> 01:05:35.114]  We have the biggest, best, storable foods company in the world that has high quality food in huge warehouses across the U.S., five of them, ready to ship to you within 24 hours.
[01:05:36.480 --> 01:05:42.183]  And, when you go to InfoWareStore.com to get the MyPatriotSupply food, you get an additional 10% off.
[01:05:42.183 --> 01:05:45.545]  That is the lowest price you're going to find anywhere on quality food.
[01:05:45.545 --> 01:05:46.705]  They're ready to ship to you right now.
[01:05:46.705 --> 01:05:48.366]  The packaging is amazing.
[01:05:48.366 --> 01:05:53.269]  Get prepared while you still can at InfoWareStore.com or PrepareWithAlex.com.
[01:05:53.269 --> 01:05:53.989]  Do not wait.
[01:05:53.989 --> 01:05:54.830]  Take action.
[01:05:54.830 --> 01:05:56.510]  PrepareWithAlex.com.
[01:05:56.510 --> 01:05:57.251]  Get your food now!
[01:06:07.882 --> 01:06:14.990]  Live from the InfoWars.com studios, you're listening to the Alex Jones Show.
[01:06:14.990 --> 01:06:20.055]  And now, your host, Owen Troyer.
[01:06:20.055 --> 01:06:26.802]  Ladies and gentlemen, InfoWars being on air is a victory over the New World Order.
[01:06:28.423 --> 01:06:40.987]  Us being live with you right now, or you tuning in to a rebroadcast, or the podcast, or the archives at Bandot Video, is a victory in the face of global government.
[01:06:40.987 --> 01:06:44.068]  Every day we're on air is a victory, so keep us on air, ladies and gentlemen.
[01:06:44.068 --> 01:06:45.948]  Shop at InfoWarsStore.com.
[01:06:45.948 --> 01:06:48.489]  We're very excited.
[01:06:48.489 --> 01:06:54.331]  We've got Vezo Beat Complete back in stock, and I'm not sure, somebody left two bottles on the desk here.
[01:06:55.194 --> 01:06:59.317]  I think one of them, I think I'm going to have a five-finger discount for one of these deals right here.
[01:06:59.317 --> 01:07:05.682]  I'm going to be like the Clintons in the White House and slink off from work today with a bottle of Vezo Beet Complete.
[01:07:05.682 --> 01:07:06.523]  I'm a big fan.
[01:07:06.523 --> 01:07:13.849]  I've one at my normal desk, my weekday desk on the other side here of Vezo Beet Complete that I like to mix in with my water.
[01:07:13.849 --> 01:07:15.490]  I have one at home.
[01:07:15.490 --> 01:07:18.152]  It's all about blood flow, ladies and gentlemen.
[01:07:18.152 --> 01:07:20.814]  Nitrates and blood flow.
[01:07:20.814 --> 01:07:23.296]  Beets are known as one of the top
[01:07:24.955 --> 01:07:28.318]  Things you can eat, consume with nitrates.
[01:07:28.318 --> 01:07:35.343]  We've turned it into a liquid tincture, purified it, put it in this little bottle and sell it at InfoWarsStore.com.
[01:07:35.343 --> 01:07:38.306]  It's all about blood flow, ladies and gentlemen.
[01:07:38.306 --> 01:07:41.048]  Blood flow, blood flow, blood flow.
[01:07:41.048 --> 01:07:45.191]  VasoBeet Complete at InfoWarsStore.com.
[01:07:45.191 --> 01:07:46.753]  Back in stock and 50% off.
[01:07:46.753 --> 01:07:46.833]  50% off.
[01:07:51.207 --> 01:08:02.580]  So, back in stock, 50% off, get the Super Concentrated Beet Extract at InfowarsStore.com, 50% off, Vaso Beet Complete.
[01:08:02.580 --> 01:08:04.922]  I want to show a couple things here.
[01:08:04.922 --> 01:08:10.408]  First of all, we all know about what happened with the girl there in Columbus.
[01:08:10.408 --> 01:08:12.971]  And you know, everything is so polarized, but
[01:08:14.264 --> 01:08:17.926]  You see all these people coming out and her mother saying, oh, she was such a sweet girl.
[01:08:17.926 --> 01:08:22.268]  And Makiya Bryant, the one that got shot when she was trying to stab a girl to death.
[01:08:22.268 --> 01:08:24.349]  And people are going and looking at her TikTok videos.
[01:08:24.349 --> 01:08:25.649]  Oh, she was the sweetest thing.
[01:08:25.649 --> 01:08:26.209]  You know what?
[01:08:26.209 --> 01:08:29.251]  Maybe 99.9% of her life, she was.
[01:08:29.251 --> 01:08:30.171]  Maybe she really was.
[01:08:30.171 --> 01:08:31.352]  Maybe she really was a sweetheart.
[01:08:31.352 --> 01:08:34.693]  But you know, in that moment, she was trying to stab a girl to death.
[01:08:34.693 --> 01:08:40.096]  And sometimes when you make a mistake like that, it ruins or even ends your life.
[01:08:40.096 --> 01:08:40.976]  And so it's sad.
[01:08:40.976 --> 01:08:43.017]  Nobody wants her to get shot and killed that day.
[01:08:44.065 --> 01:08:47.146]  But nobody wants to be stabbed to death either.
[01:08:47.146 --> 01:08:48.307]  And so that was the situation.
[01:08:48.307 --> 01:08:51.928]  But so, now, this is the new thing.
[01:08:51.928 --> 01:08:54.029]  They still do the hands up, don't shoot with Mike Brown.
[01:08:54.029 --> 01:08:56.190]  They do the I can't breathe with George Floyd.
[01:08:56.190 --> 01:08:59.552]  Now they're going to say, you're going to shoot me like Makia Bryant.
[01:08:59.552 --> 01:09:11.017]  Here's an exchange between an officer and some civilians, where they try to poke at the officer, instigate the officer, saying you're going to kill me like Makia Bryant, and listen to the officer's response.
[01:09:12.841 --> 01:09:15.044]  Oh, y'all gonna kill me like Makiya Bryant?
[01:09:15.044 --> 01:09:15.324]  Fuck.
[01:09:15.324 --> 01:09:16.865]  Are you gonna stab somebody like her?
[01:09:16.865 --> 01:09:19.228]  No, but she called y'all for help.
[01:09:19.228 --> 01:09:20.189]  Fuck is you talking about?
[01:09:20.189 --> 01:09:23.092]  Get your goofy ass... So, so there you go.
[01:09:23.092 --> 01:09:24.833]  We'll have to, uh, we'll have to drop that there.
[01:09:24.833 --> 01:09:27.736]  Should, uh, we apologize for the curse words getting out.
[01:09:27.736 --> 01:09:30.759]  Uh, but yeah, so, oh, you're gonna stab, you're gonna shoot me like Makiya Bryant?
[01:09:30.759 --> 01:09:32.361]  I'm glad the officer stood up for himself.
[01:09:32.361 --> 01:09:33.562]  I'm glad the officer responded.
[01:09:33.562 --> 01:09:36.065]  And you know, it must be tough for officers these days.
[01:09:36.980 --> 01:09:44.165]  To have to put up with all the BS and the hatred and having a target on their back and they can't even stand up for themselves.
[01:09:44.165 --> 01:09:48.949]  And so, good for that officer for at least kind of standing up for himself a little bit there.
[01:09:48.949 --> 01:09:57.515]  But it's sad what they're going to have to deal with because of the mainstream media and the Democrat Party's demonizing them and putting a target on their back.
[01:09:57.515 --> 01:10:01.798]  And again, you notice how the individual talking to the officer doesn't even know the story.
[01:10:01.798 --> 01:10:04.140]  Makia Bryant did not call the police.
[01:10:06.079 --> 01:10:14.243]  She had the police called on her or whatever group she was with that was starting a fight in the neighborhood.
[01:10:14.243 --> 01:10:29.349]  No, it was the girl standing there holding her dog with her family and her neighbors that called the cops because Makia Bryant and her friends were out of control and she said she was going to go on a stabbing spree and she had a knife on her.
[01:10:29.349 --> 01:10:31.390]  And she's so out of control in this video
[01:10:32.495 --> 01:10:35.418]  You know, and again, nobody wants to be honest about what they see in this video.
[01:10:35.418 --> 01:10:43.747]  Makia Bryant, the other guy she was with, tried to curb stomp a woman into the pavement.
[01:10:43.747 --> 01:10:47.891]  Literally, she tried to curb stomp a woman's head into the pavement.
[01:10:47.891 --> 01:10:49.733]  Nobody seems to have a problem with that.
[01:10:49.733 --> 01:10:53.978]  Makia was also running around wildly swinging a knife.
[01:10:55.698 --> 01:11:05.700]  And so she gets into a scruffle with one person, you see there, she's in a scruffle with one person, the lady in the pink doesn't even do anything, and then she just gets up and she starts wildly swinging at her.
[01:11:05.700 --> 01:11:18.423]  So again, nobody wants to see anybody get shot by police, but when you go around swinging a knife at people, somebody's hopefully going to stop you.
[01:11:18.423 --> 01:11:24.464]  Now, here is Officer Tatum, Brandon Tatum, a beautiful segment, he goes off on the BBC network,
[01:11:25.700 --> 01:11:27.862]  It's good to have voices like Brandon Tatum out there.
[01:11:27.862 --> 01:11:29.503]  Here it is.
[01:11:29.503 --> 01:11:30.744]  Mr. Larry there.
[01:11:30.744 --> 01:11:37.550]  Right, we can speak now to Brandon Tatum, a former police officer and founder and CEO of the Officer Tatum.
[01:11:37.550 --> 01:11:40.112]  Thank you very much for coming on the program.
[01:11:40.112 --> 01:11:40.832]  My pleasure.
[01:11:40.832 --> 01:11:46.697]  So we're going to talk about lots of the wider issues just in a moment, but first of all, just wanted to get your reaction to the conviction.
[01:11:48.423 --> 01:11:55.850]  Well, first of all, I think most of what I heard on the broadcast all the way here is confusing to me.
[01:11:55.850 --> 01:11:57.711]  I think we're living in the twilight zone.
[01:11:57.711 --> 01:12:01.374]  This conviction, in my personal opinion, did nothing for our country.
[01:12:01.374 --> 01:12:03.616]  I mean, people are living a lie.
