[00:00:06.084 --> 00:00:08.286]  Societies don't change.
[01:36:23.877 --> 01:36:25.417]  Citizens are carrying weapons.
[01:36:25.417 --> 01:36:29.058]  Are the Marines near Fort Irwin and 29 Palms doing this?
[01:36:29.058 --> 01:36:30.859]  Yes.
[01:36:30.859 --> 01:36:33.019]  They're arresting citizens.
[01:36:33.019 --> 01:36:34.280]  Yeah, let me show you.
[01:36:34.280 --> 01:36:37.301]  In fact, guys, can I have a document cam shot, please?
[01:36:37.301 --> 01:36:41.042]  Yeah, let me just show you a State Highway Patrol press release.
[01:36:41.042 --> 01:36:44.883]  Even if you're listening on the radio, you can watch this at PrisonPlanet.TV.
[01:36:44.883 --> 01:36:45.723]  Chip News.
[01:36:46.752 --> 01:36:54.821]  And when you read the CHIP news, it says they're running DWI checkpoints and they're armed and they search the vehicles.
[01:36:54.821 --> 01:36:59.447]  And yes, they are, in these reports, harassing gun owners.
[01:36:59.447 --> 01:37:04.373]  And if they decide that you've got a gun that they think might be illegal, they go ahead and just take you on into jail.
[01:37:04.913 --> 01:37:08.376]  So yes, they are training also for gun confiscation.
[01:37:08.376 --> 01:37:14.860]  I mean, I had a colonel on last year in Arcadia, Iowa, where they were doing gun confiscation drills in the town.
[01:37:14.860 --> 01:37:21.405]  But the point is, just having Marines at checkpoints for DWIs against citizens, that is illegal.
[01:37:21.405 --> 01:37:24.427]  And then here is the news articles from Fox News.
[01:37:25.408 --> 01:37:37.988]  And out of NBC LA, cops show Marines how to take on Taliban, but then when you read deeper into this, and we had reports of this confirmed two years ago, they're engaged in law enforcement action with the police.
[01:37:37.988 --> 01:37:39.671]  So they're openly merging them now, sir.
[01:37:40.612 --> 01:37:45.255]  Yeah, well, those citizens that are carrying them legally, Alex, I don't see how they can take it upon themselves.
[01:37:45.255 --> 01:37:58.424]  I mean, I hear you talk about the cops in southern Texas, and, you know, I can understand that down there with those kind of cops, but the Northeast and, you know, in the West Coast, I haven't ever heard of such tyranny and parasitic, you know, trampling on our rights.
[01:38:10.952 --> 01:38:12.994]  I wasn't loaded?
[01:38:12.994 --> 01:38:14.135]  No.
[01:38:14.135 --> 01:38:15.016]  Yeah.
[01:38:15.016 --> 01:38:18.700]  Yeah, I'm believing all this, Alex, coming out of you and a couple other of my colleagues.
[01:38:18.700 --> 01:38:21.282]  I mean, no, I mean, look, look, look, look, sir, sir.
[01:38:21.282 --> 01:38:32.593]  I remember Law Enforcement Technology Magazine, five or six years ago, said, Officer, if you see someone with a Get Us Out of the UN sticker on their car,
[01:38:33.925 --> 01:38:34.506]  I'm a veteran, Alex.
[01:39:00.882 --> 01:39:04.925]  To have troops of the Kentucky Derby arresting people.
[01:39:04.925 --> 01:39:07.487]  They're just acclimating everyone.
[01:39:07.487 --> 01:39:08.328]  I appreciate your call.
[01:39:08.328 --> 01:39:14.873]  I mean, it's illegal that they blocked food and water for five days, wouldn't let the National Guard bring the food into the Superdome.
[01:39:14.873 --> 01:39:21.659]  People sat up for five days begging for it through the barbed wire, but then they sent them into the dry areas, into wealthy homes and took their guns.
[01:39:21.659 --> 01:39:22.660]  I mean, that really happened.
[01:39:23.513 --> 01:39:25.554]  This is what the military is training to do.
[01:39:25.554 --> 01:39:26.955]  This is what's happening.
[01:39:26.955 --> 01:39:28.155]  Let's go ahead and take another call.
[01:39:28.155 --> 01:39:29.576]  I appreciate your call.
[01:39:29.576 --> 01:39:31.036]  Angie in Texas, you're on the air.
[01:39:31.036 --> 01:39:35.198]  Hi, I live here in Brownsville.
[01:39:35.198 --> 01:39:35.618]  Yes.
[01:39:35.618 --> 01:39:41.021]  And I wanted to let you know a couple of things that went on during Hurricane Alec.
[01:39:41.021 --> 01:39:50.325]  The first thing was that there was a newscast report saying how, you know, how they're going to process people into the shelters.
[01:39:51.314 --> 01:39:58.980]  And I said, Oh my gosh, because I thought back to your commercial about the bracelets and it popped up again right now.
[01:39:58.980 --> 01:40:08.808]  They were showing how they process people, how they give them the bracelets and how they have to give them certain information.
[01:40:08.808 --> 01:40:10.890]  Then they give them these yellow bracelets.
[01:40:13.551 --> 01:40:15.013]  Yes ma'am.
[01:40:15.013 --> 01:40:19.758]  And again, each time it gets more extreme because they know it's hard to beat incrementalism.
[01:40:19.758 --> 01:40:26.486]  And they then put people in these camps and you're not allowed to go out at night.
[01:40:26.486 --> 01:40:30.511]  And sometimes they'll break up families and bus different people to different areas.
[01:40:30.511 --> 01:40:31.732]  The CPS is there.
[01:40:32.533 --> 01:40:36.658]  You know, looking for bruises on your children to try to take them.
[01:40:36.658 --> 01:40:37.719]  This is what goes on.
[01:40:37.719 --> 01:40:40.362]  It's just incrementally they're ratcheting it up.
[01:40:40.362 --> 01:40:41.944]  Take the public schools.
[01:40:41.944 --> 01:40:49.873]  Warrantless checkpoints, ID cards, thumb printing to get school lunches, to get library books, being trained to tattle on their parents.
[01:40:49.873 --> 01:40:52.937]  We're all being immersed in classical authoritarianism.
[01:40:54.315 --> 01:40:55.476]  Yes, exactly.
[01:40:55.476 --> 01:41:01.302]  And down here, I mean, last night me and my husband were driving home and it was just amazing.
[01:41:01.302 --> 01:41:08.890]  I have never seen that many state troopers and cops all over the expressway, all over the road.
[01:41:08.890 --> 01:41:10.812]  It was just like, wow, what's going on?
[01:41:10.812 --> 01:41:12.654]  Is there anything special going on here?
[01:41:12.654 --> 01:41:20.536]  They've tripled the number of police in the last 15 years, and they've basically federalized them, and we're in a lot of trouble.
[01:41:20.536 --> 01:41:34.640]  And I see reports every few days where they'll lay off half or more of sheriffs, deputies, or police, and then they're in the news saying, and the officers we've got are for revenue generation, we're not going to respond to most crime, you better buy a gun, which is actually an honest statement.
[01:41:35.360 --> 01:41:43.611]  Uh, but, uh, I mean, this country is going into a full collapse by design, and the Feds are going to try to use the collapse for a total takeover.
[01:41:43.611 --> 01:41:44.653]  I appreciate your call.
[01:41:44.653 --> 01:41:49.019]  Uh, let's talk to Anonymous, who is U.S.
[01:41:49.019 --> 01:41:50.100]  military.
[01:41:50.100 --> 01:41:52.103]  Now, again, I'm only taking calls until we got a break.
[01:41:53.556 --> 01:42:02.684]  And until Peter Schiff comes on in about 25 minutes, specifically, specifically, for military or police, they're not going to march in and say, we're getting ready for martial law.
[01:42:02.684 --> 01:42:05.587]  It's like, this is a security situation in the Gulf.
[01:42:05.587 --> 01:42:08.510]  We are preparing for mass evacuations.
[01:42:08.510 --> 01:42:15.936]  If the main oil comes ashore, most of it's offshore, 99 percent, they estimate, of the 150 plus, and that number's two weeks old.
[01:42:15.936 --> 01:42:16.997]  God knows what it is.
[01:42:16.997 --> 01:42:18.078]  It's hundreds of millions of gallons.
[01:42:19.573 --> 01:42:24.516]  It's off-gassing, benzene, other toxic chemicals, methane gas.
[01:42:24.516 --> 01:42:27.898]  If this comes ashore, we may have a crisis, so we're gearing up for that.
[01:42:27.898 --> 01:42:32.340]  So, prepare to have a lockdown situation.
[01:42:32.340 --> 01:42:33.721]  What is your intel on this?
[01:42:33.721 --> 01:42:35.722]  Let's talk to Anonymous US Military.
[01:42:35.722 --> 01:42:37.202]  Give us your take.
[01:42:37.202 --> 01:42:37.743]  Hello?
[01:42:37.743 --> 01:42:39.083]  Yes, sir.
[01:42:39.083 --> 01:42:47.908]  Okay, I just want to first say I'm at a little risk talking to you here, but first I just want to ask you something about
[01:42:49.174 --> 01:42:52.176]  Have you heard of the society called the Oath Keepers?
[01:42:52.176 --> 01:42:53.617]  Yes, of course we've heard about Oath Keepers.
[01:42:53.617 --> 01:42:54.677]  Yes, sir.
[01:42:54.677 --> 01:43:03.022]  And do you believe that's a good organization and like constitutional soldiers willing to separate from tyrannical commanders?
[01:43:03.022 --> 01:43:03.483]  Yes, sir.
[01:43:03.483 --> 01:43:06.244]  We were the first major radio show to interview Oath Keepers.
[01:43:06.244 --> 01:43:08.065]  I've made a mini-documentary about it.
[01:43:08.065 --> 01:43:09.666]  Stuart Rhodes.
[01:43:09.666 --> 01:43:14.529]  Their code of conduct is just simply the Constitution, the Bill of Rights, what you've sworn an oath to.
[01:43:14.529 --> 01:43:15.650]  So I think it's a good organization.
[01:43:17.136 --> 01:43:23.337]  Okay, well, I'm currently trying to get into a membership with them.
[01:43:23.337 --> 01:43:25.617]  Well, listen, most people aren't members.
[01:43:25.617 --> 01:43:28.558]  It's just a code for people to go look at.
[01:43:28.558 --> 01:43:31.539]  And so, again, that's a separate issue.
[01:43:31.539 --> 01:43:33.499]  But you're in the military.
[01:43:33.499 --> 01:43:37.620]  Do you have any information about martial law in the Gulf?
[01:43:37.620 --> 01:43:45.821]  Not in the Gulf necessarily, but as I'm speaking, I know someone who is training right now, a friend of mine who's also in the military.
[01:43:47.026 --> 01:43:58.453]  And I have this website that you can go to, and they're openly training with police, and they have pictures and videos of firemen and police and National Guardsmen training together.
[01:43:58.453 --> 01:43:59.253]  Can you write it down?
[01:43:59.253 --> 01:44:00.074]  Are you ready?
[01:44:00.074 --> 01:44:00.474]  Yes, sir.
[01:44:00.474 --> 01:44:02.836]  I mean, I've been to literally dozens of these events.
[01:44:02.836 --> 01:44:06.358]  I'm fully aware of that, but go ahead and give it to us.
[01:44:06.358 --> 01:44:11.061]  Okay, it's M-U-T-C dot I-N dot N-G.
[01:44:11.061 --> 01:44:12.842]  Say that a little bit slower.
[01:44:12.842 --> 01:44:14.463]  Okay, M-U-T-C
[01:44:21.538 --> 01:44:26.120]  Well, the best thing for you to do, sir, is give me the headline on the first article.
[01:44:26.120 --> 01:44:27.241]  That's the best way to search.
[01:44:27.241 --> 01:44:28.521]  It's not long URLs.
[01:44:30.996 --> 01:44:31.216]  U.S.
[01:44:31.216 --> 01:44:36.077]  Army North announces field training exercise Vibrant Response 10.2.
[01:44:36.077 --> 01:44:37.557]  Oh, absolutely, I'm aware of that.
[01:44:37.557 --> 01:44:43.078]  Yes, that's brigade homeland that they want to get up to 400,000 troop strength by 2011.
[01:44:43.078 --> 01:44:49.659]  It's reportedly over 100,000 domestic operatives right now, and that's just the public intel.
[01:44:49.659 --> 01:44:50.439]  We are the enemy.
[01:44:50.439 --> 01:44:53.560]  The American people are the enemy, so we're never given the full picture.
[01:44:53.560 --> 01:44:54.960]  Neither are the troops.
[01:44:54.960 --> 01:44:56.800]  But they say it's over 100,000 right now.
[01:44:56.800 --> 01:44:57.741]  Yes, sir, I'm aware.
[01:44:57.741 --> 01:44:59.421]  And there's photos on those sites.
[01:45:00.381 --> 01:45:05.523]  Of citizens with their hands behind their heads with troops aiming M16s at them?
[01:45:05.523 --> 01:45:06.804]  Yes, yes.
[01:45:06.804 --> 01:45:10.325]  Yes, sir, I am aware of that.
[01:45:10.325 --> 01:45:14.087]  So what does your associate who's training in this tell you it's for?
[01:45:14.087 --> 01:45:16.127]  Well, he's in a command position.
[01:45:16.127 --> 01:45:17.908]  I'm not going to reveal his name or rank.
[01:45:17.908 --> 01:45:18.568]  Yeah, don't do that.
[01:45:18.568 --> 01:45:20.349]  Just give us the info.
[01:45:20.349 --> 01:45:27.252]  Well, they're training in a sense to just be able to destabilize
[01:45:28.297 --> 01:45:36.867]  Gun owners and people who... people who are declared unlawful and are really not in a sense.
[01:45:36.867 --> 01:45:41.752]  Yeah, and by disabled or neutralized that means lining up against a wall and shoot you.
[01:45:42.481 --> 01:45:43.182]  Yeah.
[01:45:43.182 --> 01:45:45.323]  By the way, I have this on video.
[01:45:45.323 --> 01:45:49.186]  They wouldn't let me into a certain Marine Corps training drill in Urban Warrior.
[01:45:49.186 --> 01:45:51.047]  They kept keeping me away.
[01:45:51.047 --> 01:45:57.392]  But we were able to slip someone in as a, quote, tourist, because they were allowing citizens to have tours.
[01:45:57.392 --> 01:46:02.155]  And the Marines were practicing putting citizens on their knees and shooting them in the back of the head.
[01:46:02.155 --> 01:46:04.117]  And that's in Police Day 2000.
[01:46:04.117 --> 01:46:06.638]  They said, hey, now you're going to get to see an execution.
[01:46:06.638 --> 01:46:08.220]  And the Marine says, don't tape this.
[01:46:09.215 --> 01:46:15.224]  And they practice taking the people out of their apartment, setting them down on their knees, and shooting them right in the back of the head.
[01:46:15.224 --> 01:46:18.509]  And so your friend says that he's part of this training.
[01:46:20.125 --> 01:46:22.987]  As we speak right now, he's in Indiana training.
[01:46:22.987 --> 01:46:24.648]  Oh, Indiana's the main epicenter.
[01:46:24.648 --> 01:46:27.649]  I tell you, we get so many intel hits on that that are confirmed.
[01:46:27.649 --> 01:46:28.970]  It is bad news.
[01:46:28.970 --> 01:46:31.291]  Because they think Illinois is going to flee.
[01:46:31.291 --> 01:46:36.434]  I really, and the CFR said this too, and they like to brag about what they're planning.
[01:46:36.434 --> 01:46:39.236]  They said Chicago's the next big main nuke target.
[01:46:39.236 --> 01:46:42.858]  Because I don't know if the bankers want to nuke themselves even with a small nuke in New York.
[01:46:42.858 --> 01:46:45.959]  But Chicago, let me tell you, that's in the cards.
[01:46:45.959 --> 01:46:46.500]  Anything else?
[01:46:47.985 --> 01:46:58.193]  I just want to say that to anyone listening that the military people who you see running these checkpoints in California, they're just following orders.
[01:46:58.193 --> 01:47:03.217]  They're not necessarily think what they're doing is necessarily right.
[01:47:03.217 --> 01:47:16.867]  And if it's training, they don't understand that a lot of young privates don't understand the big picture of things that are going on and how this could change the way their neighbors and everybody around them.
[01:47:17.318 --> 01:47:21.679]  Well, the point is, is that America's been overthrown by foreign banks.
[01:47:21.679 --> 01:47:25.760]  It wasn't the Russians, it wasn't the Chi-Coms, though the globalists used China to de-industrialize us.
[01:47:25.760 --> 01:47:28.100]  They're part of the globalist team.
[01:47:28.100 --> 01:47:35.362]  We've been overthrown, and now they're about to come take everything and shut our industry completely off to break us, to make us slaves.
[01:47:35.362 --> 01:47:37.142]  I mean, that's their own statements.
[01:47:37.142 --> 01:47:38.863]  The end of the industrialized society.
[01:47:38.863 --> 01:47:39.983]  We're going into bondage.
[01:47:40.583 --> 01:47:46.668]  Just like Israel, every time they became evil, you know, God sent them into bondage, foreign captivity.
[01:47:46.668 --> 01:47:48.830]  And this is what happens to every country.
[01:47:48.830 --> 01:47:51.252]  Rome became decadent and fell.
[01:47:51.252 --> 01:47:51.853]  Heaven help us.
[01:47:51.853 --> 01:47:52.774]  I appreciate your call.
[01:47:52.774 --> 01:47:54.455]  I remember talking to the Marine Corps commander.
[01:47:54.455 --> 01:47:58.259]  In fact, his name's in this Chips press release.
[01:47:58.259 --> 01:48:01.462]  But it says the
[01:48:06.581 --> 01:48:17.527]  Based in office of the California Highway Patrol, Chip, in conjunction with the San Bernardino County Sheriff's Department and the USMC Military Police, will conduct a joint sobriety driver's checkpoint on Friday, December 12, 2008.
[01:48:17.527 --> 01:48:20.709]  This is just one of them, and it was just dozens of these.
[01:48:20.709 --> 01:48:23.231]  And I called and talked to the commander, the guy that was over this.
[01:48:24.051 --> 01:48:25.412]  And he knew exactly who I was.
[01:48:25.412 --> 01:48:26.513]  He was real arrogant.
[01:48:26.513 --> 01:48:28.394]  And he's like, we're stopping drunks.
[01:48:28.394 --> 01:48:29.455]  What's your problem with that?
[01:48:29.455 --> 01:48:34.719]  And I was like, well, why don't you just I should have recorded it, but I said, well, why don't you just come on and tell us how this is good?
[01:48:34.719 --> 01:48:36.360]  I don't have time for this.
[01:48:36.360 --> 01:48:38.142]  I'm not coming on your show.
[01:48:38.142 --> 01:48:39.222]  And I know who you are.
[01:48:39.222 --> 01:48:41.224]  You know, you need to be pro military.
[01:48:41.224 --> 01:48:42.025]  We're working hard.
[01:48:45.265 --> 01:48:48.167]  And you know the Redcoats in 1775 acted the same way.
[01:48:48.167 --> 01:48:52.311]  You know, when the British citizens were saying, we're colonists, but we have the same rights.
[01:48:52.311 --> 01:48:56.053]  You're taking our freedoms, you're pushing us around, you're confiscating our guns.
[01:48:56.053 --> 01:48:57.154]  Shut up, you traitor!
[01:48:57.154 --> 01:48:58.655]  I'm just doing my job!
[01:48:58.655 --> 01:49:03.559]  Alright, do we have any other military people that want to comment on this?
[01:49:03.559 --> 01:49:03.659]  800-259-9231.
[01:49:03.659 --> 01:49:03.860]  What, John?
[01:49:08.564 --> 01:49:09.905]  I'm leaving the phones wide open.
[01:49:09.905 --> 01:49:10.105]  1-800-259-9231.
[01:49:10.105 --> 01:49:13.987]  Are we men or are we mice?
[01:49:13.987 --> 01:49:18.670]  I mean, are we so afraid as military people?
[01:49:18.670 --> 01:49:23.092]  See, that's why they kind of admit the NSA's listening to everything now that we're being tracked.
[01:49:23.092 --> 01:49:24.113]  And they let the troops know.
[01:49:24.113 --> 01:49:26.154]  Everything you do, talking to your family, is being recorded.
[01:49:27.014 --> 01:49:32.818]  And then that gets NSA people used to just listening to people without warrants.
[01:49:32.818 --> 01:49:37.141]  You know, the same way they bathe the military in tyranny and the police in tyranny, they bathe us.
[01:49:37.141 --> 01:49:38.341]  They wash our minds.
[01:49:38.341 --> 01:49:39.742]  That's what brainwashing is.
[01:49:39.742 --> 01:49:44.465]  They wash out what was there, your old morals, and they give you new ones.
[01:49:44.465 --> 01:49:46.907]  But they can't stop us all.
[01:49:46.907 --> 01:49:51.410]  I mean, okay, can I have military that was involved in the gun confiscations in New Orleans five years ago?
[01:49:51.410 --> 01:49:54.171]  Can you call and say that was wrong?
[01:49:54.171 --> 01:49:55.112]  No, they're afraid to do that.
[01:49:55.112 --> 01:49:55.973]  I've talked to them on the street.
[01:49:56.880 --> 01:50:14.766]  All the time, I'll go see a movie once a month, or be at the grocery store, and somebody will come over in uniform, or come over, you know, who's got military tattoos, high and tight haircut, and they'll say, one time I had a colonel in a barbecue place, it happens all the time, go listen, we all know you're telling the truth, and we understand what's happening, and we're really concerned, but we can't talk, everything's being surveilled.
[01:50:14.766 --> 01:50:18.147]  I mean, they know that this isn't Kansas anymore.
[01:50:18.147 --> 01:50:23.369]  Go rent the movie that's based on a true story, The Lives of Others, about the Stasi spying on East Germans.
[01:50:24.329 --> 01:50:26.310]  We're under many times that.
[01:50:26.310 --> 01:50:27.931]  This isn't freedom.
[01:50:27.931 --> 01:50:32.613]  And it has nothing to do with stopping Al-Qaeda bugaboos.
[01:50:32.613 --> 01:50:35.355]  Okay?
[01:50:35.355 --> 01:50:36.835]  Oh, man.
[01:50:36.835 --> 01:50:39.077]  I just wish this wasn't happening.
[01:50:39.077 --> 01:50:47.021]  And it is all over the news the last week that they are transferring state, federal, corporate pension funds to, quote, failed banks.
[01:50:47.021 --> 01:50:48.962]  They have already taken your pension funds.
[01:50:49.924 --> 01:50:51.968]  Okay, and you're just not getting the word yet.
[01:50:51.968 --> 01:50:57.939]  They are going to take all or part of everyone's pension funds, and they're going to devalue the dollar, and they're going to increase inflation.
[01:50:57.939 --> 01:50:59.061]  They want to bankrupt you.
[01:50:59.061 --> 01:51:00.964]  This is a military scientific takeover.
[01:51:02.560 --> 01:51:05.562]  You've seen our Sinofresh banner on the GCN website.
[01:51:05.562 --> 01:51:07.623]  Yet your sinusitis is still a problem.
[01:51:07.623 --> 01:51:10.384]  Are you waiting for your sinusitis to go away by itself?
[01:51:10.384 --> 01:51:12.605]  Are you waiting for a Sinofresh discount?
[01:51:12.605 --> 01:51:14.026]  Okay, here it comes.
[01:51:14.026 --> 01:51:15.907]  But first, the facts.
[01:51:15.907 --> 01:51:17.848]  67 other products merely treat symptoms.
[01:51:17.848 --> 01:51:19.829]  And not the cause of sinus problems.
[01:51:19.829 --> 01:51:23.531]  And 37 million Americans suffer from sinus distress just like you.
[01:51:23.531 --> 01:51:31.276]  But now many are finding relief with the only patent-protected homeopathic nasal product that antiseptically eliminates the known causes of sinusitis.
[01:51:31.276 --> 01:51:31.876]  Sinofresh.
[01:51:32.136 --> 01:51:35.218]  Now, here's your limited time discount offer to use Sinofresh.
[01:51:35.218 --> 01:51:41.021]  Call 888-906-3636 right now for $2 off per bottle when you mention GCN.
[01:51:41.021 --> 01:51:41.642]  That's it!
[01:51:41.642 --> 01:51:46.925]  Just call 888-906-3636 and mention GCN for a $2 discount.
[01:51:46.925 --> 01:51:49.947]  But hurry, this offer is only for the first 1,000 customers.
[01:51:49.947 --> 01:51:50.227]  Call 888-906-3636.
[01:51:50.227 --> 01:51:50.347]  888-906-3636.
[01:51:50.347 --> 01:51:51.528]  Call right now for $2 off per bottle.
[01:51:51.528 --> 01:51:51.888]  Mention GCN.
[01:51:51.888 --> 01:51:52.829]  Buy Sinofresh.com.
[01:51:52.829 --> 01:51:53.189]  It works!
[01:52:02.233 --> 01:52:03.535]  Hi, this is Alex Jones.
[01:52:03.535 --> 01:52:09.142]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[01:52:09.142 --> 01:52:14.169]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[01:52:14.169 --> 01:52:19.195]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible that could even happen again.
[01:52:19.716 --> 01:52:24.940]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[01:52:24.940 --> 01:52:27.261]  They call it a Survival Seed Bank.
[01:52:27.261 --> 01:52:32.064]  And it can produce an endless supply of nutrient-dense food for you and your family.
[01:52:32.064 --> 01:52:33.185]  And here's the best part.
[01:52:33.185 --> 01:52:36.247]  These seeds have not been genetically modified in any way.
[01:52:36.247 --> 01:52:39.870]  And you actually get enough seeds to plant a full acre crisis garden.
[01:52:39.870 --> 01:52:43.072]  So visit them today at SurvivalSeedBank.com.
[01:52:43.072 --> 01:52:45.293]  That's SurvivalSeedBank.com.
[01:52:45.293 --> 01:52:46.214]  Or give them a call at 877-327-0365.
[01:52:49.856 --> 01:52:51.277]  That's 877-327-0365.
[01:52:51.277 --> 01:52:58.923]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[01:52:58.923 --> 01:53:02.727]  This is Alex Jones for survivalseedbank.com.
[01:53:02.727 --> 01:53:13.115]  Protect your freedoms and be independent by learning how to maintain, repair, and customize your own firearms through these exclusive video training courses on DVD from the American Gunsmithing Institute.
[01:53:13.115 --> 01:53:16.658]  Call and get a free 2-hour sampler DVD video and catalog.
[01:53:16.658 --> 01:53:18.319]  See just how quickly and easily you
[01:53:18.319 --> 01:53:28.166]  You can learn firearm disassembly and reassembly, accurizing, customizing, super tuning, refinishing, trigger repair, and much, much more for rifles, pistols, and shotguns.
[01:53:28.166 --> 01:53:31.128]  Courses available for both the hobbyist and the professional.
[01:53:31.128 --> 01:53:34.891]  You can even get certified as a gunsmith to make money part-time, full-time.
[01:53:35.091 --> 01:53:35.471]  We're good to go.
[01:54:11.923 --> 01:54:15.824]  Don't forget, ladies and gentlemen, this radio broadcast is funded by your support.
[01:54:15.824 --> 01:54:17.385]  How do you support us?
[01:54:17.385 --> 01:54:27.269]  Well, with the great videos, books, t-shirts, ball caps, bumper stickers, memory sticks, we have infoware.com,
[01:54:29.369 --> 01:54:30.150]  Infowars.com
[01:54:48.422 --> 01:54:54.806]  And of course we also have the new film, The Secret of Oz, that exposes the banking system and has solutions.
[01:54:54.806 --> 01:54:58.508]  Because we can't just oppose this foreign offshore banking cartel.
[01:54:58.508 --> 01:55:02.350]  We've got to have solutions to counter that.
[01:55:02.350 --> 01:55:04.812]  And that is all covered in The Secret of Oz.
[01:55:05.512 --> 01:55:08.354]  Don't forget Police State 4, The Rise of FEMA.
[01:55:08.354 --> 01:55:12.716]  Anybody that needs to understand what's happening with the police state takeover needs to see this film.
[01:55:12.716 --> 01:55:22.642]  You'll have a master's degree in the New World Order takeover system, the FEMA camps, the executive orders, how they're going to use the sports stadiums, the clergy response teams, everything.
[01:55:22.642 --> 01:55:32.008]  The foreign troops, the snatch and grab squads, it's all covered in Police State 4, The Rise of FEMA, available at InfoWars.com or by calling toll free 888-253-3139.
[01:55:36.377 --> 01:55:36.757]  I'll go ahead
[01:55:54.724 --> 01:56:22.690]  92.31 we are simulcasting this syndicated radio broadcast at PrisonPlanet.TV and when you are a PrisonPlanet.TV member for 15 cents a day that also funds our operation but more importantly you can download any of the thousands and thousands of video cast archives any of my 25 films or other films have been authorized to post like Camp FEMA and Don't Tread on Me the Rise of the Republic they're there all of my films you can download burn to disk like
[01:56:23.650 --> 01:56:31.553]  Marshall Law, 9-1-1, the rise of FEMA, Terror Storm, the Obama Deception, Fall of the Republic, PrisonPlanet.TV.
[01:56:31.553 --> 01:56:33.513]  Takes about 30 seconds to sign up.
[01:56:33.513 --> 01:56:39.795]  Just create your name and passcode, and you can share that with up to six of your friends.
[01:56:39.795 --> 01:56:40.836]  Well, really more than that.
[01:56:40.836 --> 01:56:47.438]  You can log in under the same username and passcode, simultaneously, six different ways.
[01:56:49.178 --> 01:57:00.131]  And so you can also share your passcode with a few friends and family, but tell them not to share it too much or then it'll lock you out sometimes when more people are actually online watching the films.
[01:57:00.131 --> 01:57:03.555]  But it's an armory of resistance and information.
[01:57:03.555 --> 01:57:05.798]  Again, PrisonPlanet.tv.
[01:57:05.798 --> 01:57:06.979]  And we couldn't have done any of this
[01:57:07.600 --> 01:57:10.625]  Without all of you supporting us over the years.
[01:57:10.625 --> 01:57:12.628]  But the people are now ready to be awakened.
[01:57:12.628 --> 01:57:14.370]  Now is the time to get the word out.
[01:57:14.370 --> 01:57:19.117]  We're gonna come back in the next little five-minute segment, cover a bunch of news I haven't really gotten to yet.
[01:57:20.131 --> 01:57:24.955]  Then we got Peter Schiff joining us in the hour after that today.
[01:57:24.955 --> 01:57:29.298]  But the total free number to join us is 800-259-9231.
[01:57:29.298 --> 01:57:34.483]  I wanted to tell you about some of the sponsors that made today's show possible.
[01:57:34.483 --> 01:57:37.525]  One of them is Ecolablue, the atmospheric water generators.
[01:57:37.525 --> 01:57:41.588]  They've got the smaller units that do seven and a half gallons a day and then grabs
[01:57:42.409 --> 01:57:45.191]  Humidity right out of the air and then runs it through seven to twelve filters.
[01:57:45.191 --> 01:57:46.873]  They have larger units.
[01:57:46.873 --> 01:57:51.597]  It's very affordable and it's the cleanest, best drinking water you can find out there, period.
[01:57:51.597 --> 01:57:54.619]  Because it hadn't come out of the water table or out of a river or lake.
[01:57:54.619 --> 01:57:55.700]  It hadn't been fluoridated.
[01:57:55.700 --> 01:57:56.821]  It's just right out of the atmosphere.
[01:57:57.762 --> 01:58:01.745]  acolablue.com or 800-691-6043, 800-691-6043, acolablue.com.
[01:58:01.745 --> 01:58:09.850]  And last but not least, I want to tell you about Front Sight Firearms Training.
[01:58:09.850 --> 01:58:11.671]  It's not enough to simply own firearms.
[01:58:11.671 --> 01:58:15.673]  You need to be trained to levels that exceed law enforcement or even military training.
[01:58:15.673 --> 01:58:16.974]  It's award-winning.
[01:58:16.974 --> 01:58:19.756]  There's no drill instructor or tough guy attitude.
[01:58:19.756 --> 01:58:24.378]  It's Front Sight, like the front of your gun barrel, frontsight.com.
[01:58:24.378 --> 01:58:25.819]  And if you act fast on their
[01:58:27.080 --> 01:58:28.101]  Thank you for listening to GCN.
[01:58:28.101 --> 01:58:30.663]  Be sure to visit GCNlive.com today.
[01:58:51.943 --> 01:58:56.028]  Let me tell you a little bit about one of our great sponsors, HomeGain.com.
[01:58:56.028 --> 01:59:02.015]  This is the place to get you started buying or selling a home, finding a realtor, and getting any real estate questions answered.
[01:59:02.015 --> 01:59:06.199]  Go to HomeGain.com and see what I'm talking about.
[01:59:06.199 --> 01:59:12.527]  All you need to do is type in your home address and you will get an instant free estimate of your home's value online.
[01:59:12.907 --> 01:59:16.228]  This is a great way to be able to monitor the value of your home.
[01:59:16.228 --> 01:59:18.329]  And again, it's absolutely free.
[01:59:18.329 --> 01:59:20.370]  There are tons of tools to help you.
[01:59:20.370 --> 01:59:24.151]  For instance, if you want to remodel your home, go to HomeGain.com.
[01:59:24.151 --> 01:59:30.954]  Use their Home Sale Maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
