[00:00.000 --> 00:22.120]  information wars tomorrow's news today and at the moment in most parts of the
[01:57:28.780 --> 01:57:38.780]  So this is your last chance to get these. We got another promotion coming up later for a limited time will be available again one more time. But this is it. The great reset in the war for the world infowarstore.com.
[01:57:38.780 --> 01:57:49.780]  Thanks for keeping me in the fight. That's all I asked for. All right, callers you've been patient. I'm going right to you and T minus two minutes stay with us.
[01:57:49.780 --> 01:58:01.780]  December 2022 is here and we are proud and very excited to announce that free shipping is back at infowarstore.com. That's right free shipping on all orders of $50 or more.
[01:58:01.780 --> 01:58:10.780]  But we've signed a new deal with a big national shipping company and they're able to cut our regular shipping cost by up to 50%.
[01:58:10.780 --> 01:58:19.780]  So that means even on orders that are below $50 you're going to be paying way lower than you were previously. This is a game changer. We're so excited about it.
[01:58:19.780 --> 01:58:26.780]  Our listeners have really asked for free shipping again. We couldn't afford it before but by moving to a bigger national distributor we're able to do it.
[01:58:26.780 --> 01:58:31.780]  So now your orders will be shipped even faster. The same great customer service and more.
[01:58:31.780 --> 01:58:40.780]  So get huge discounts and free shipping on so many great items at infowarstore.com right now. I want to thank you all for your support.
[01:58:40.780 --> 01:58:48.780]  But now there's no excuse to boost your immune system, lead a healthier life and keep invoices on the air infowarstore.com.
[01:58:48.780 --> 01:59:00.780]  Until about 150 years ago cultures all over the world believe that people got sick and died in many cases in the winter because of something called vapors.
[01:59:00.780 --> 01:59:09.780]  They associated these poisonous vapors with cold weather. Of course it wasn't the cold weather or catching a chill that killed people.
[01:59:09.780 --> 01:59:19.780]  What was killing people was a lack of vitamin D3. You see the sun via your skin helps your body produce vitamin D3.
[01:59:19.780 --> 01:59:27.780]  But if you're not getting enough sun you will not produce vitamin D3 and then it's very easy for viruses and other things to start replicating and taking your body over.
[01:59:27.780 --> 01:59:32.780]  So now it's more important than ever because the winter is here to take high quality vitamin D3
[01:59:32.780 --> 01:59:42.780]  and we have the best with our vitamin D3 gummies with calcium for better upload in your body for 50% off at infowarstore.com with promo code 1776.
[01:59:42.780 --> 01:59:58.780]  Don't wait, support the infowar and your immune system with vitamin D3 gummies at infowarstore.com.
[01:59:58.780 --> 02:00:06.780]  I want to thank the callers for holding during that hour but that was particularly important and informative.
[02:00:06.780 --> 02:00:12.780]  We're going to bring down the whole new world order operation. Matt in New York, welcome here on the air.
[02:00:12.780 --> 02:00:19.780]  Yeah, what's up Alex. In my opinion none of these people are qualified after this whole COVID debacle.
[02:00:19.780 --> 02:00:29.780]  And voting for this corrupt system, it makes me feel like a retarded carnival playing a rigged game that no matter how hard I try you just can't win.
[02:00:29.780 --> 02:00:33.780]  Sure, so what do we do? What do we do then?
[02:00:33.780 --> 02:00:40.780]  In my opinion, we have to stop feeding the beast, right? We don't stop paying our taxes, we pay our taxes to our own community.
[02:00:40.780 --> 02:00:44.780]  You know what I mean? To an open, transparent fund. What's so hard about that?
[02:00:44.780 --> 02:00:52.780]  We cut out the military industrial complex, we prevent World War III from happening and we rain peace on earth simply by cutting off these freaking tyrants.
[02:00:52.780 --> 02:01:01.780]  They have unlimited funds, they just steal our money. Why can't we have a system open and transparent in all our communities where our taxes go directly into that?
[02:01:01.780 --> 02:01:07.780]  Could you imagine if we took all that money that they blow on these wars and that go inside all these guys' pockets and we used it at home?
[02:01:07.780 --> 02:01:15.780]  Could you imagine the utopia that we were living that would spread throughout this whole freaking realm? It would be unbelievable. It's real simple.
[02:01:15.780 --> 02:01:21.780]  If we keep feeding this beast, it's going to eat us. You know what I mean? If we stop feeding the beast, we'll starve it and then we could kill it.
[02:01:21.780 --> 02:01:27.780]  Well, I agree. We shouldn't support the big globalist corporations. We support local. They don't even need our, quote, tax money.
[02:01:27.780 --> 02:01:36.780]  We do that to keep us down and control little people. They print all the money they want, but yeah, we need to absolutely exit us out of their system.
[02:01:36.780 --> 02:01:44.780]  Without a doubt. Without a doubt. This whole thing, in my opinion, I don't know how anybody could say that this whole COVID thing was anything but a hope.
[02:01:44.780 --> 02:01:51.780]  There's been multiple people that have filed, what is it called, whatever, they filed...
[02:01:51.780 --> 02:01:58.780]  Sir, here's the deal. I know. Telling local governments to give them the isolated virus. Local governments don't have it. They're clearly creating bio weapons at labs, but you're right.
[02:01:58.780 --> 02:02:04.780]  It's the shots that really make you sick. I appreciate your call. Mike in New York, you're on the air. Go ahead, Mike.
[02:02:04.780 --> 02:02:06.780]  Hey, Alex. How are you doing today, brother?
[02:02:06.780 --> 02:02:08.780]  I'm all right. Talking to you, brother. Still on air. Still above ground.
[02:02:08.780 --> 02:02:12.780]  That's right. I love you, brother. Thanks for everything you do.
[02:02:12.780 --> 02:02:25.780]  I just want to start by saying I heard you talking about the t-shirt. What do you call them? Fundraiser shirts that you wear. I think it brainstorming about bringing up.
[02:02:25.780 --> 02:02:31.780]  I think it's time over the past few weeks and even years. I mean, it's just been building in my mind.
[02:02:31.780 --> 02:02:45.780]  We really need an Owen Schreuer was right or something around the log. Owen has been absolutely killing it. He calls it out. He makes this prediction.
[02:02:45.780 --> 02:02:48.780]  Absolutely. We'll put on an Owen Schreuer was right shirt.
[02:02:48.780 --> 02:02:52.780]  Oh, you're the man, Alex. It's maybe a war room logo on the back.
[02:02:52.780 --> 02:02:57.780]  Sure. We need to do it. I need to get the money to actually print the shirts, but you're absolutely right.
[02:02:57.780 --> 02:03:04.780]  I got every shirt, Alex. With the last blowout sale, I bought everything in my size. I mean, where are you going to get a $5 t-shirt?
[02:03:04.780 --> 02:03:08.780]  Well, you're the one keeping us on air. But again, $5, we lose money.
[02:03:08.780 --> 02:03:14.780]  Most t-shirts cost us our high quality fabric. Some of them are like $15 apiece. Most are like $6 apiece to make.
[02:03:14.780 --> 02:03:24.780]  But yeah, we need money to even buy a future product. We're always caught in this conundrum. It wasn't for that Bitcoin donation. We'd be off air right now.
[02:03:24.780 --> 02:03:33.780]  So we're so close, though. And I agree that as soon as we get extra funds, we're going to put out some new shirts because we've given a lot of requests for those.
[02:03:33.780 --> 02:03:39.780]  Yeah. And just to pay homage to Owen, I think he's earned it. He's really put in the work.
[02:03:39.780 --> 02:03:42.780]  I know you said that. Hey, you want to talk about Rand Paul?
[02:03:42.780 --> 02:03:49.780]  Yeah. Well, the people before covered it, I just want to say I think he's the real deal and I think he's got real skin in the game.
[02:03:49.780 --> 02:03:56.780]  And I think it'd be a great person to get behind. No baggage. None of the, you know, none of the garbage. It's just, you know...
[02:03:56.780 --> 02:04:02.780]  And the left tried to kill him twice with a shooting attack at the baseball game and the other thug attack and a bunch of other attacks.
[02:04:02.780 --> 02:04:05.780]  They don't like him. They want him dead.
[02:04:05.780 --> 02:04:12.780]  Exactly. And that's what I mean. Real skin in the game. You know, we need people who understand where it's like to be under attack because quite frankly, we're under attack.
[02:04:12.780 --> 02:04:24.780]  We are. Great points. God bless you. We're going to break for one minute and we're going to go to Baldy and we're going to go to Reagan and we're going to go to Catherine and we're going to go to Robert.
[02:04:24.780 --> 02:04:30.780]  We're going to go to Daniel. We're going to go to Marvin. We're going to go to Carlos. We're going to go to Aaron. We're going to go to John and the order your calls are received.
[02:04:30.780 --> 02:04:36.780]  Bam, bam, bam, bam, bam. Love the calls. Love the angles that you take us in.
[02:04:36.780 --> 02:04:44.780]  But I'll tell you this, there won't be any M4Ware shirts the next few months if folks don't go to M4WareStore.com. Look, I'm lying. I'm dying. I'm in personal bankruptcy.
[02:04:44.780 --> 02:04:47.780]  I'm out of money. Personal. This place is out of money.
[02:04:47.780 --> 02:04:50.780]  We're going to stay on air, but we need everybody to go to M4WareStore.com right now.
[02:04:50.780 --> 02:04:53.780]  We're right at the edge of the red and black. Right on the edge.
[02:04:53.780 --> 02:05:08.780]  Christmas 2022 is almost here and we have great products at M4WareStore.com that empower your body, your libido, your immune system that just enrich your life.
[02:05:08.780 --> 02:05:26.780]  So whether it's vitamin mineral fusion or DNA Force Plus or body's open tumor formula, they're all still in stock, discounted up to 60% with promo code 1776. And now finally, we have brought back free shipping at M4WareStore.com on orders of $50 or more and big discounts on the regular shipping as well.
[02:05:26.780 --> 02:05:34.780]  Plus the book, The Great Reset in the War for the World, signed or unsigned. It's also available with free shipping at M4WareStore.com.
[02:05:34.780 --> 02:05:46.780]  So again, that's free shipping on all orders, $50 or more at M4WareStore.com and up to 60% off at checkout with promo code 1776.
[02:05:46.780 --> 02:05:54.780]  And we've got the signed and unsigned copies of The Great Reset War for the World book as well, which make perfect stocking stuffers.
[02:05:54.780 --> 02:06:07.780]  Don't wait, take action at M4WareStore.com today.
[02:06:25.780 --> 02:06:33.780]  We're now into hour number three, taking your phone calls in the order they're received. Baldy in Florida. Thanks for joining us.
[02:06:33.780 --> 02:06:50.780]  Great, great. So speaking of Owen's story and the war room, the last time you and I talked, you said you wanted to replay my call from January 3rd, 2020, the very first day that President Trump was briefed on the Wuhan virus.
[02:06:50.780 --> 02:07:01.780]  I was the first caller into the war room predicted a false flag pandemic, which would lead to forced vaccines that the vaccines would make everything worse, and that Alex Jones would join the Baldy's.
[02:07:01.780 --> 02:07:10.780]  But and I have a definite answer to the, to the, to your poll of who we should, who the Liberty movement should support moving forward.
[02:07:10.780 --> 02:07:20.780]  And I feel there's only one answer in a little further context, when we, when we were talking, it was during the 15 days to slow the spread.
[02:07:20.780 --> 02:07:26.780]  I got through a couple of times and was begging and pleading for you and your audience to realize that this was the April Fool's virus.
[02:07:26.780 --> 02:07:43.780]  And, but unfortunately, the biggest fool of them all, President Trump did not wait until April Fool's Day to extend the lockdowns. Instead, extended them way further. And between that, pushing warp speed.
[02:07:43.780 --> 02:07:52.780]  And trust me, no one has lost more family, friends or fortune on this guy. I lost over $50,000 when the election was stolen from him.
[02:07:52.780 --> 02:08:03.780]  I was the firm supporter of him. But, but when, when they de-platformed you and others, he didn't come out in support of free speech. So then he got, he got it in the back.
[02:08:03.780 --> 02:08:15.780]  So, so, you know, in politics, everything is fair. He lost in his relative to politics fair and square. Tulsi Gabbard, pretty face. I like what she says.
[02:08:15.780 --> 02:08:22.780]  Her, her association with Bernie Sanders and the young leaders. And besides the fact, her resume is not long enough.
[02:08:22.780 --> 02:08:26.780]  Sure. So I'm asking, we'll put the poll on screen. We have an infowars.com poll going.
[02:08:26.780 --> 02:08:27.780]  That's right.
[02:08:27.780 --> 02:08:29.780]  Who would you support? Let me just tell listeners who just tuned in.
[02:08:29.780 --> 02:08:35.780]  There's a lot of folks from the radio. They're not watching this on TV, not watching this, you know, be other eyeballs are listening to us.
[02:08:35.780 --> 02:08:48.780]  Who would you vote for in 2024? GOP primary. Rand Paul gets 26%. Ron DeSantis gets 23%. Donald Trump gets 44%. And Tulsi Gabbard gets 7%.
[02:08:48.780 --> 02:08:54.780]  We just started the polls. Got 2,713 votes on infowars.com. We'll close the poll out tomorrow.
[02:08:54.780 --> 02:09:01.780]  We'll have hundreds of thousands of votes. So, so, so what do you think the political combination for victory is? Go ahead.
[02:09:01.780 --> 02:09:12.780]  So, so, so, so far, Baldy has crossed off Tulsi Gabbard, President Trump, and, and Rand Paul, I love him, but, but the polls just overall are a little too soft.
[02:09:12.780 --> 02:09:17.780]  We got President Trump because Ron Paul got pushed out of the Republican Party.
[02:09:17.780 --> 02:09:20.780]  Okay. So who would you support out of those four? I got to get other callers.
[02:09:20.780 --> 02:09:25.780]  Baldy used to call him from New York. Now he calls him from Florida. Okay. I put my money where my mouth.
[02:09:25.780 --> 02:09:26.780]  So you like DeSantis?
[02:09:26.780 --> 02:09:28.780]  He's the only choice, bro.
[02:09:28.780 --> 02:09:33.780]  I got it. Thank you. I love your calls, but we can't do four minutes with you. I got to get to the next caller. Thank you.
[02:09:33.780 --> 02:09:37.780]  Let's go to Reagan in Idaho. Go ahead.
[02:09:37.780 --> 02:09:39.780]  Jones, God bless you, brother.
[02:09:39.780 --> 02:09:41.780]  God bless you.
[02:09:41.780 --> 02:09:45.780]  Okay. Give me General Flynn and Rand Paul.
[02:09:45.780 --> 02:09:48.780]  Oh, that'd be a good ticket. I love General Flynn.
[02:09:48.780 --> 02:09:52.780]  He's got the brawn and Paul's got the brains. Perfect combo.
[02:09:52.780 --> 02:09:55.780]  So, so who would be the president? Who would be the vice president?
[02:09:55.780 --> 02:09:58.780]  Either combo, either one.
[02:09:58.780 --> 02:10:04.780]  Well, because Paul's already been in government, I bet Flynn would defer as long as he was actually in charge of a lot of foreign policy.
[02:10:04.780 --> 02:10:11.780]  I bet he would be the VP because so, so, so a Paul Flynn ticket. I like that.
[02:10:11.780 --> 02:10:16.780]  Absolutely. 100%. And I want to say one more thing. There was a question that you posed a while ago when you said,
[02:10:16.780 --> 02:10:23.780]  why is it that all the moms are instinctively worried about their children and taking them out of the cities and wanting to flee?
[02:10:23.780 --> 02:10:33.780]  I have to tell you exactly what I did. And it's because the Holy Spirit put it on me and I could not silence it until I left Vegas and moved to Idaho.
[02:10:33.780 --> 02:10:36.780]  And it's just God's country.
[02:10:36.780 --> 02:10:39.780]  Absolutely. Anything else you'd like to add, Reagan?
[02:10:39.780 --> 02:10:43.780]  No, just God bless all of you and one incredible segment. God bless Dr. Huff.
[02:10:43.780 --> 02:10:46.780]  Thank you so much.
[02:10:46.780 --> 02:10:49.780]  I want to play a clip here and then go back to your calls.
[02:10:49.780 --> 02:10:55.780]  Dr. Huff was incredible and we're going to do another special commercial free show Saturday with him.
[02:10:55.780 --> 02:10:59.780]  For this broadcast is so special and I'm so blessed to be here.
[02:10:59.780 --> 02:11:03.780]  I'm not a booster of Tulsi Gabbards. I've seen her come a long way. I've seen her leave the Democratic Party.
[02:11:03.780 --> 02:11:08.780]  I've seen her come out against the wars, the shots, the surveillance, the censorship, all of it.
[02:11:08.780 --> 02:11:14.780]  And I did discover that a lot of the people they put on the young global leaders thing 20, 30 years ago was made up.
[02:11:14.780 --> 02:11:18.780]  Fake it till you make it is what Klaus Schwab did.
[02:11:18.780 --> 02:11:25.780]  So as you responded to this yesterday, here's a clip where she got asked about it and she's saying,
[02:11:25.780 --> 02:11:28.780]  they just put me on there.
[02:11:28.780 --> 02:11:36.780]  Well, you know Trudeau, you know Macron, you know the people they control because they actually take orders from and say,
[02:11:36.780 --> 02:11:40.780]  build back better, great reset, they support the lockdown. She didn't support that.
[02:11:40.780 --> 02:11:46.780]  And I'm not here to boost her. I'm just saying just because Klaus Schwab pushed you on some list of global leaders
[02:11:46.780 --> 02:11:49.780]  does not mean you're part of the organization. Here it is.
[02:11:49.780 --> 02:11:56.780]  Luckily, what happened was early, I don't know, maybe in the first or second year that I served in Congress,
[02:11:56.780 --> 02:12:04.780]  I found out that my picture name had been placed on the World Economic Forum's website under this category.
[02:12:04.780 --> 02:12:11.780]  They have listed as young global leaders. And I looked at it and I was like, okay, well they have different people of different political parties
[02:12:11.780 --> 02:12:17.780]  and from around the world that are on this website. I was never asked to join and I was never informed by them
[02:12:17.780 --> 02:12:24.780]  that they had put my name and picture on their website and I honestly didn't know that much about it.
[02:12:24.780 --> 02:12:33.780]  But people have said, oh, well, what did you learn by graduating from Klaus Schwab's young global leaders,
[02:12:33.780 --> 02:12:45.780]  Academy or all this stuff. And it's unfortunate that there's a lot of, I don't know, false assumptions being made, I guess.
[02:12:45.780 --> 02:12:49.780]  It's an organization. I've never gone to any of their shenanigans. That's a good word.
[02:12:49.780 --> 02:12:52.780]  I've never gone to any of their events. I didn't graduate from any.
[02:12:52.780 --> 02:12:57.780]  I've literally not had anything to do with the World Economic Forum.
[02:12:57.780 --> 02:13:03.780]  Oh, yeah, there you go. I believe when I saw that a year ago, I went and searched everywhere and did not find her anywhere.
[02:13:03.780 --> 02:13:09.780]  But some of the people that were on it, like iPatch, we did.
[02:13:09.780 --> 02:13:15.780]  And Lord Rothschild and Zuckerberg and Alexander Soros, oh, they're all part of it.
[02:13:15.780 --> 02:13:19.780]  I looked at her name everywhere, no connection, no speech, nowhere.
[02:13:19.780 --> 02:13:24.780]  Okay, William in California, you're on the year. Thank you so much. Go ahead.
[02:13:24.780 --> 02:13:26.780]  Hi, Alex. Can you hear me, sir?
[02:13:26.780 --> 02:13:27.780]  Go ahead.
[02:13:27.780 --> 02:13:32.780]  Hi, Alex. Man, Babe Ruth and Hank Aaron, they just have nothing on you, man.
[02:13:32.780 --> 02:13:37.780]  You knocked it out of the park today is no exception. Hats off to Dr. Haas.
[02:13:37.780 --> 02:13:43.780]  I just, you know, I have to be sitting on the edge of my seat all the time when I turn you on, man.
[02:13:43.780 --> 02:13:48.780]  Well, the real world's edge of the seat. We're in it together. So what's your take on the situations?
[02:13:48.780 --> 02:13:58.780]  Well, real quick, I know I keep this into a time frame here. First of all, I'm still a B-12 advocate.
[02:13:58.780 --> 02:14:06.780]  Without it, I wouldn't make it. But, you know, the Braveheart moment here, getting more intense,
[02:14:06.780 --> 02:14:12.780]  we've got to do something here. And, you know, we're getting fogged over with who we're going to vote for.
[02:14:12.780 --> 02:14:17.780]  I think we need to have world tribunals with the war crimes they've committed so far.
[02:14:17.780 --> 02:14:21.780]  You know, we need to address first things first. These people need to be held accountable.
[02:14:21.780 --> 02:14:26.780]  I agree. And that begins with flooding city councils, health department meetings, PTA meetings, school boards,
[02:14:26.780 --> 02:14:31.780]  and bringing these subjects up. You're trying to forcibly inject us. You're getting your new lockdowns ready.
[02:14:31.780 --> 02:14:37.780]  We want you to go to prison. We need to totally scare, legally and lawfully, the minions of a Jinnah 2030,
[02:14:37.780 --> 02:14:41.780]  our local governments, that we are not on board with this crap.
[02:14:41.780 --> 02:14:48.780]  Exactly. I can't, you know, I'm hoping the Texas Rangers, they're not going to, you know, where they, you know,
[02:14:48.780 --> 02:14:55.780]  they should be standing up, hey, you know, one ranger, one riot, you know, send me in there, swear me in.
[02:14:55.780 --> 02:15:02.780]  You know, I've had enough of this. I've had enough, man. You know, with what they're doing, you know,
[02:15:02.780 --> 02:15:08.780]  we need to have two or three presidents. We need to have something going on here where we have tribunals.
[02:15:08.780 --> 02:15:11.780]  And people are...
[02:15:11.780 --> 02:15:14.780]  Well, I tell you, Rand Paul's the closest to that.
[02:15:14.780 --> 02:15:19.780]  In Nuremberg, too, we're going to arrest Fauci, Governor DeSantis coming out saying we're going after the big farm
[02:15:19.780 --> 02:15:24.780]  of the Acidna vaccine. You've got these whistleblowers. We're on the march, brother. We're fighting back.
[02:15:24.780 --> 02:15:28.780]  This isn't a one-sided deal. I mean, we're giving as good as we're getting.
[02:15:28.780 --> 02:15:33.780]  We're kicking and screaming and biting like crocodiles and kicking like mules, brother.
[02:15:33.780 --> 02:15:39.780]  Thank you, sir. Thank you for everything you do. You know, you make my day, man. You really do.
[02:15:39.780 --> 02:15:44.780]  You make mine. I love you, brother. Nothing shows me to the bone more than the footage we'll show when we come back, though,
[02:15:44.780 --> 02:15:52.780]  of the one white-clad biomedical tyrant high priest leading thousands into a slave camp in China.
[02:15:52.780 --> 02:15:55.780]  We do not want to be that.
[02:15:55.780 --> 02:16:04.780]  It's hard to believe sometimes that we are still live on air, broadcasting free worldwide.
[02:16:04.780 --> 02:16:09.780]  And it seems quite real that things can change in an instant.
[02:16:09.780 --> 02:16:16.780]  Things are getting very weird, and it's definitely more difficult than ever to even know what's going on.
[02:16:16.780 --> 02:16:20.780]  But we'll keep doing our best so long as you keep us on the air.
[02:16:20.780 --> 02:16:28.780]  And you can do that now at infowarstore.com. Help us clear out our stock of bodies, tumor,
[02:16:28.780 --> 02:16:31.780]  vitamin C with zinc and alpha-power.
[02:16:31.780 --> 02:16:38.780]  Turn those shady Federal Reserve notes into the highest quality supplements available while they still last.
[02:16:38.780 --> 02:16:41.780]  Now with free shipping.
[02:16:41.780 --> 02:16:51.780]  We thank you for your support, and we wish you a very peaceful, happy, and merry Christmas.
[02:16:57.780 --> 02:17:05.780]  In Arizona, I think we watched the election be stolen, slowly stolen, day by day, counting these mail-in ballots.
[02:17:05.780 --> 02:17:13.780]  And it's absolutely absurd for anyone to take our election seriously when we just, it's election month, Alex.
[02:17:13.780 --> 02:17:16.780]  It's not election day, and that's the problem.
[02:17:16.780 --> 02:17:19.780]  And everything changed after COVID-19.
[02:17:19.780 --> 02:17:28.780]  They illegally changed state elections, mailing ballots to anyone and everyone, and sometimes mailing multiple ballots to people.
[02:17:28.780 --> 02:17:30.780]  Well, this isn't any way to run an election.
[02:17:30.780 --> 02:17:35.780]  We're in a serious country when we have elections that can be stolen like this.
[02:17:35.780 --> 02:17:41.780]  And I believe that, just like I believe the election was stolen in 2020, and I have no problem saying that,
[02:17:41.780 --> 02:17:47.780]  and it is so absurd for the media and the Democrats to attack us that question our election integrity
[02:17:47.780 --> 02:17:53.780]  and question the fact that elections shouldn't be run the way they are.
[02:17:53.780 --> 02:17:56.780]  We're not election deniers, we're election realists.
[02:17:56.780 --> 02:18:00.780]  Once a tragedy reaches a level of national significance,
[02:18:00.780 --> 02:18:08.780]  American citizens should be allowed to basically question that event in any way that they deem fit.
[02:18:08.780 --> 02:18:13.780]  The First Amendment is unique in the world. That's what they want to take away, your ability to speak freely.
[02:18:13.780 --> 02:18:17.780]  So they're going to go for Mike Lindell next, or they're going to go for Steve Bannon, or they're going to go for Tucker Carlson.
[02:18:17.780 --> 02:18:22.780]  I studied the globalist 30 years ago, but only 28 years, and I knew they were planning all of this.
[02:18:22.780 --> 02:18:26.780]  And I warned the public as a modern Paul Revere, but I couldn't have done it without your support.
[02:18:26.780 --> 02:18:30.780]  And now, because we've been so successful warning the population of the planet, not just America,
[02:18:30.780 --> 02:18:34.780]  we're public enemy number one when it comes to the globalist agenda.
[02:18:34.780 --> 02:18:39.780]  That's why it's more important than ever to realize how successful Infowars has been because of your past support.
[02:18:39.780 --> 02:18:43.780]  So I salute you and I thank you, and I ask you now to critical juncture of the battle
[02:18:43.780 --> 02:18:49.780]  for your double your efforts of visiting infowarstore.com and getting amazing products that keep us on air.
[02:18:49.780 --> 02:18:56.780]  1776, the promo code, the destination is infowarstore.com, and I thank you all for your support.
[02:18:56.780 --> 02:19:03.780]  I'm Dr. Peter McCullough, and it's an absolute pleasure to introduce to you the Wellness Company,
[02:19:03.780 --> 02:19:14.780]  an alternative healthcare system for this COVID and post-COVID world where trust has been lost in doctors and healthcare systems.
[02:19:14.780 --> 02:19:23.780]  This new online virtual platform is nationwide providing uncensored content, virtual appointments,
[02:19:23.780 --> 02:19:32.780]  laboratory testing, diagnostics, prescriptions, treatment packages specifically for COVID, post-COVID,
[02:19:32.780 --> 02:19:39.780]  vaccine injury syndromes, and all the usual things that are seen in primary care.
[02:19:39.780 --> 02:19:47.780]  And then we have an entire array of holistic products, an online store, media, and health advice.
[02:19:47.780 --> 02:20:12.780]  Come see the Wellness Company and go to onlinehealthnow.com as a conduit to the Wellness Company.
[02:20:12.780 --> 02:20:17.780]  We're going to ride back to your phone calls, but Gavin McGinnis is going to be joining us later in the week.
[02:20:17.780 --> 02:20:21.780]  Gay went and gave him a little visit. They haven't, I guess, released a full interview yet.
[02:20:21.780 --> 02:20:27.780]  And I wonder if Gay walked back anything he said on air.
[02:20:27.780 --> 02:20:30.780]  Well, let's go ahead and play the clip.
[02:20:30.780 --> 02:20:31.780]  Can we start?
[02:20:31.780 --> 02:20:36.780]  I think we shall.
[02:20:36.780 --> 02:20:45.780]  Yay! Nick, we're here. So this is Saturday afternoon, two days after the InfoWars interview,
[02:20:45.780 --> 02:20:50.780]  and I was just telling you before we started filming that we were watching it at home,
[02:20:50.780 --> 02:20:55.780]  and Ryan and I were just looking at each other, about every 20 minutes we looked at each other and just go,
[02:20:55.780 --> 02:21:06.780]  Like, this is a big deal. This was an offence. And I think there's a spectrum of reactions, of course,
[02:21:06.780 --> 02:21:14.780]  and the biggest reaction, the most positive one is it's the craziest, most punk rock thing since the Sex Bistols got kicked off the Bill Grundy show.
[02:21:14.780 --> 02:21:20.780]  But on the other end of the spectrum, people are saying, this is bad for a presidential campaign, say the least.
[02:21:20.780 --> 02:21:22.780]  Where do you stand on that spectrum?
[02:21:22.780 --> 02:21:24.780]  I think it's awesome for a presidential campaign.
[02:21:24.780 --> 02:21:25.780]  Yeah?
[02:21:25.780 --> 02:21:34.780]  To have someone that's honest, that understands the state of the world, and that's ready to listen to what the American people need.
[02:21:34.780 --> 02:21:36.780]  But Hitler's got a pretty bad reputation.
[02:21:36.780 --> 02:21:42.780]  Well, who made that reputation? That was made by Jewish people.
[02:21:42.780 --> 02:21:46.780]  Well, the murdering Jews was a pretty big part of his bad reputation.
[02:21:46.780 --> 02:21:51.780]  Yeah, but some of it's incorrect. Also, the Holocaust is not the only Holocaust.
[02:21:51.780 --> 02:21:58.780]  So for them to take that and claim, we have abortion right now, that's eugenics, that's genocide.
[02:21:58.780 --> 02:22:02.780]  That's a Holocaust that we're dealing with right now.
[02:22:02.780 --> 02:22:15.780]  So because Jewish people control the majority of the media, along with banks, along with real estate, along with...
[02:22:15.780 --> 02:22:19.780]  Well, this should be interesting.
[02:22:19.780 --> 02:22:24.780]  Catherine, in Canada, thank you for holding her on the air.
[02:22:24.780 --> 02:22:26.780]  Hi, Alex, how are you doing?
[02:22:26.780 --> 02:22:30.780]  I'm in the fight, you keep me in the fight, thanks for keeping me there, that's where I'm at.
[02:22:30.780 --> 02:22:37.780]  Okay, I got some things to say about why I think Ye thinks and says things he does.
[02:22:37.780 --> 02:22:45.780]  He doesn't understand, quite frankly, he's too rich and famous to understand the different factions that of the New World Order slash like Satanic Cabal.
[02:22:45.780 --> 02:22:52.780]  Everywhere he looks, he's going to see certain groups, quite frankly, he's not going to see the smaller echelons.
[02:22:52.780 --> 02:22:56.780]  Well, exactly, he's been inside one Cabal, so he thinks that's everything.
[02:22:56.780 --> 02:23:06.780]  That's exactly what I think. He doesn't understand, like there's the Boulais, there's the Asians, there's Triads, these are all different...
[02:23:06.780 --> 02:23:09.780]  There's the British Empire, there's the Nazi remnant, yeah.
[02:23:09.780 --> 02:23:15.780]  You crystallized it when you were talking about the Tulsi Gabbard clip, how they just put your name on a list,
[02:23:15.780 --> 02:23:21.780]  and she didn't even know she was on it, and all of a sudden, all these people think she was New World Order.
[02:23:21.780 --> 02:23:25.780]  And by the way, I didn't just believe her, I went and did a deep dive and had my crew do it,
[02:23:25.780 --> 02:23:29.780]  because they would have listed her at their events on their site, she's not on there, it wasn't true.
[02:23:29.780 --> 02:23:36.780]  Well, that's the thing, I think Ye only looks at the surface of things and then doesn't look a little deeper,
[02:23:36.780 --> 02:23:41.780]  and I think he's just too rich and famous to understand that, and I think that's what's going on with him.
[02:23:41.780 --> 02:23:46.780]  If he just keeps hearing the same kind of things and what personally is going on with him,
[02:23:46.780 --> 02:23:51.780]  he thinks that's the whole world, right? It's a bubble that people can get in if you're
[02:23:51.780 --> 02:23:55.780]  yay or myself or yourself, and I think that's what's going on with him.
[02:23:55.780 --> 02:23:58.780]  Well, I want to be clear, I believe in his First Amendment, believe he has the right to say what he says.
[02:23:58.780 --> 02:24:01.780]  Does it mean I have to agree with it? He's been sent a piece of text?
[02:24:01.780 --> 02:24:08.780]  Yeah, exactly. I don't think anyone agrees with it. I think someone just needs to pop his bubble.
[02:24:08.780 --> 02:24:13.780]  Unfortunately, everyone needs to hit a rock bottom, and that has to happen to him for him to realize.
[02:24:13.780 --> 02:24:14.780]  That's what I think.
[02:24:14.780 --> 02:24:18.780]  Thank you, Katherine, a powerful call. John in Nebraska, you're on the air.
[02:24:18.780 --> 02:24:23.780]  Yeah, Alex, pros and cons on yay.
[02:24:23.780 --> 02:24:38.780]  The January 26, 1995 New York Times, Poland lowers Auschwitz death toll from 4 million to 1.5 million.
[02:24:38.780 --> 02:24:43.780]  That right there would mean you have to lower the 6 to 3.5.
[02:24:43.780 --> 02:24:56.780]  And another point on the same date, January 26, 1891 New York Times, Russia's population of 5 to 6 million Jews,
[02:24:56.780 --> 02:25:02.780]  about 6 million persecuted, miserable wretches.
