[00:01.000 --> 00:05.000]  You're listening to the Alex Jones show.
[02:09:41.000 --> 02:09:45.000]  Now, three days after this video clip came out of him addressing his church
[02:09:45.000 --> 02:09:48.000]  coming back from Washington this Sunday.
[02:09:48.000 --> 02:09:54.000]  Brennan, the former head of the CIA came out at the Aspen Institute yesterday.
[02:09:54.000 --> 02:09:58.000]  Paul Watson wrote about it today, it's on infowars.com.
[02:09:58.000 --> 02:10:02.000]  We played the clip three times already and said,
[02:10:02.000 --> 02:10:04.000]  oh, we're not going to have impeachment.
[02:10:04.000 --> 02:10:09.000]  We're getting bipartisan in the government, the bureaucracy to prepare a coup.
[02:10:09.000 --> 02:10:14.000]  Confirming everything that a senior member of the Republican Party in Congress told
[02:10:14.000 --> 02:10:19.000]  Pastor Rodney Howard Brown of Revival.com.
[02:10:19.000 --> 02:10:23.000]  But now we have them saying it publicly.
[02:10:23.000 --> 02:10:25.000]  So they're doing that.
[02:10:25.000 --> 02:10:27.000]  You say, well, don't they want it to be secret?
[02:10:27.000 --> 02:10:28.000]  No, no, no.
[02:10:28.000 --> 02:10:29.000]  They've lost the election.
[02:10:29.000 --> 02:10:30.000]  The Russian things made up.
[02:10:30.000 --> 02:10:33.000]  They've got any legal spying for the few Russian contacts that were there
[02:10:33.000 --> 02:10:36.000]  because the Russians throw themselves at everybody just like the Chinese.
[02:10:36.000 --> 02:10:38.000]  Of course, they've got their people out there.
[02:10:38.000 --> 02:10:41.000]  The Trumps met with them to see if there was dirt on Hillary.
[02:10:41.000 --> 02:10:42.000]  That's what you're supposed to do.
[02:10:42.000 --> 02:10:45.000]  Trump said, if you got the WikiLeaks with her emails, release them.
[02:10:45.000 --> 02:10:47.000]  She's the one committing the crimes.
[02:10:47.000 --> 02:10:49.000]  She's the one with the uranium deals.
[02:10:49.000 --> 02:10:52.000]  She's the one with the foundation, 100 plus million from Russian banks.
[02:10:52.000 --> 02:10:54.000]  They're all around and still they're failing.
[02:10:54.000 --> 02:10:59.000]  And they know Trump's getting more support, not less.
[02:10:59.000 --> 02:11:00.000]  So they're panicking.
[02:11:00.000 --> 02:11:05.000]  So here is the pastor this Sunday laying this out.
[02:11:05.000 --> 02:11:11.000]  And now days later, the former CIA director, the same one that told the president to shut his mouth,
[02:11:11.000 --> 02:11:14.000]  goes public trying to sell the idea.
[02:11:14.000 --> 02:11:16.000]  Here is the pastor.
[02:11:16.000 --> 02:11:22.000]  As high as what Monday was, Tuesday was a low because I got to go into the Congress and spend three hours
[02:11:22.000 --> 02:11:29.000]  from 9.30 in the evening to 12.30 a.m. with one of the senior ranking members of Congress.
[02:11:29.000 --> 02:11:34.000]  And he told me, and of course, this is what I said on CBN, but they cut it out.
[02:11:34.000 --> 02:11:36.000]  But I'm going to go public with this because we have to.
[02:11:36.000 --> 02:11:41.000]  He said, there is a plot on Capitol Hill to take the president out.
[02:11:41.000 --> 02:11:43.000]  I said, you mean by impeachment or by indictment?
[02:11:43.000 --> 02:11:46.000]  He said, no, to take him out. He will be removed suddenly from office.
[02:11:46.000 --> 02:11:48.000]  Well, you can read between the lines.
[02:11:48.000 --> 02:11:51.000]  I said, look, I said, that's not going to happen.
[02:11:51.000 --> 02:11:54.000]  He said, he said, well, really, there's nothing we can do to stop it.
[02:11:54.000 --> 02:12:00.000]  I said, we are going to stop it because we're going to mobilize the body of Christ to pray.
[02:12:00.000 --> 02:12:03.000]  So listen, they started a war.
[02:12:03.000 --> 02:12:08.000]  You know, they are so upset about what's happening because when since when last has the body of Christ
[02:12:08.000 --> 02:12:12.000]  had access into the White House, it wasn't that way under Reagan.
[02:12:12.000 --> 02:12:14.000]  They might come and go a little bit.
[02:12:14.000 --> 02:12:16.000]  It wasn't that way under Clinton.
[02:12:16.000 --> 02:12:18.000]  It wasn't that way under both Bushes.
[02:12:18.000 --> 02:12:20.000]  And it definitely wasn't that way under Obama.
[02:12:20.000 --> 02:12:23.000]  But we have a president that's opened the door for the body of Christ.
[02:12:23.000 --> 02:12:27.000]  And that is, that is huge, whichever way you want to look at.
[02:12:27.000 --> 02:12:30.000]  And let me tell you, you know, everybody's moaning Republican Democrat.
[02:12:30.000 --> 02:12:32.000]  He actually is neither.
[02:12:32.000 --> 02:12:36.000]  He's basically a populace that the American people voted for.
[02:12:36.000 --> 02:12:39.000]  They put a businessman in the White House because things are so fouled up.
[02:12:39.000 --> 02:12:43.000]  And if you want to really see fouled up, go to Congress and go sit and talk to.
[02:12:43.000 --> 02:12:46.000]  He's been there since 96.
[02:12:46.000 --> 02:12:49.000]  So he knows everything, everything about what's going on.
[02:12:49.000 --> 02:12:52.000]  And I can tell you, I can tell you the games that have been played.
[02:12:52.000 --> 02:12:56.000]  How they're actually trying to set the president up in every way.
[02:12:56.000 --> 02:13:00.000]  So, but when he told me what he said, that they're going to play, they are planning.
[02:13:00.000 --> 02:13:06.000]  The talk on the Hill is the plan that suddenly he'll be removed.
[02:13:06.000 --> 02:13:09.000]  So we, what we're going to do, we're going to launch it today.
[02:13:09.000 --> 02:13:12.000]  It's a 24 hour prayer initiative to pray around the clock.
[02:13:12.000 --> 02:13:16.000]  And we do it across the nation, around the world for the protection of the president.
[02:13:16.000 --> 02:13:19.000]  Absolutely, joining us.
[02:13:19.000 --> 02:13:24.000]  And a lot of people know this, as you know, big national Christian networks got this info.
[02:13:24.000 --> 02:13:25.000]  They're scared to run it.
[02:13:25.000 --> 02:13:30.000]  Now they have the former CIA director admitting that they're actually planning to do this.
[02:13:30.000 --> 02:13:31.000]  This is so illegal.
[02:13:31.000 --> 02:13:32.000]  This is so criminal.
[02:13:32.000 --> 02:13:35.000]  And Trump, when I've talked to him, he said, without even bringing it up.
[02:13:35.000 --> 02:13:40.000]  You know, the First Amendment, Alex, Congress shall make no law respecting establishment religion.
[02:13:40.000 --> 02:13:42.000]  The government's not supposed to be involved.
[02:13:42.000 --> 02:13:45.000]  We're going to get the First Amendment back to the churches.
[02:13:45.000 --> 02:13:47.000]  He said, that's the first thing I'm going to do.
[02:13:47.000 --> 02:13:48.000]  He brings it up.
[02:13:48.000 --> 02:13:52.000]  He is really upset about the fact that only Democrat churches have free speech.
[02:13:52.000 --> 02:13:54.000]  And that's another reason they're mad.
[02:13:54.000 --> 02:14:04.000]  So this, this is about a man that's not a fake Pharisee, but somebody who really does love God and who's been through a process the last five years of getting closer to God.
[02:14:04.000 --> 02:14:11.000]  Almost like Saul of Tarsus on the road to Damascus, but I'm going to stop preaching because our preachers here with us right now.
[02:14:11.000 --> 02:14:12.000]  So it was the bottom of the hour.
[02:14:12.000 --> 02:14:16.000]  He might be able to stay a little bit longer, but I wanted to intro that with his words.
[02:14:16.000 --> 02:14:19.000]  Pastor Rodney Howard Brown revival.com.
[02:14:19.000 --> 02:14:22.000]  Thank you so much for joining us during this critical time.
[02:14:22.000 --> 02:14:27.000]  Hey, Alex, I can't believe you're speaking to me from beautiful Hawaii.
[02:14:27.000 --> 02:14:30.000]  And I tell you, you know, God's real when you see this place.
[02:14:30.000 --> 02:14:36.000]  It's so good to be here with you today.
[02:14:36.000 --> 02:14:40.000]  We actually have conducted meetings in Washington, DC.
[02:14:40.000 --> 02:14:48.000]  I started in 2014, went to Constitution Hall, which is right in the shadow of the White House for 15 nights, because I didn't know what to do.
[02:14:48.000 --> 02:14:52.000]  You know, we could sit and moan about the things in the government, but we have to do something.
[02:14:52.000 --> 02:14:57.000]  So for 15 nights, I went there preached, we had 31,000 people give their lives to the Lord.
[02:14:57.000 --> 02:15:05.000]  And I also stood every night, must have looked like a total idiot and just issued a restraining order basically in prayer.
[02:15:05.000 --> 02:15:11.000]  Telling the devil, you can't have America speaking to the powers that be to cease and assist in their maneuvers.
[02:15:11.000 --> 02:15:13.000]  And we went back in 2015.
[02:15:13.000 --> 02:15:14.000]  We went back in 16.
[02:15:14.000 --> 02:15:18.000]  And of course, now God has given us a last minute reprieve.
[02:15:18.000 --> 02:15:26.000]  We're not through the woods because all the never Trump is all the neocons, all the people that didn't want the president.
[02:15:26.000 --> 02:15:28.000]  The president are still working against him.
[02:15:28.000 --> 02:15:34.000]  And so Monday, two weeks ago when we went in, we actually weren't going to meet with the president.
[02:15:34.000 --> 02:15:44.000]  We were just there in strategy meeting with 25, my wife and myself, 25 other leaders with the president and different members of the administration were coming in.
[02:15:44.000 --> 02:15:46.000]  We were talking to them, asking questions off to lunch.
[02:15:46.000 --> 02:15:49.000]  Jared Krishna came in, we asked him questions.
[02:15:49.000 --> 02:15:51.000]  You could ask whatever you want to.
[02:15:51.000 --> 02:15:54.000]  I mean, I don't think this has ever been allowed before in any White House.
[02:15:54.000 --> 02:16:00.000]  I know. And then he left about an hour later in walk the vice president.
[02:16:00.000 --> 02:16:04.000]  And so when I saw him, I stood up, people didn't know why I was standing, but there was the vice president.
[02:16:04.000 --> 02:16:06.000]  He said I was in the Oval Office.
[02:16:06.000 --> 02:16:09.000]  Jared came in and told me that you guys were here.
[02:16:09.000 --> 02:16:11.000]  And I said, the president, I'm going to go see them.
[02:16:11.000 --> 02:16:14.000]  And the president said, no, bring him down to the Oval Office.
[02:16:14.000 --> 02:16:15.000]  So we went down unannounced.
[02:16:15.000 --> 02:16:21.000]  It was it was like very surreal for me coming as a missionary from Africa 30 years ago.
[02:16:21.000 --> 02:16:23.000]  Now you stand yourself standing in the Oval Office.
[02:16:23.000 --> 02:16:28.000]  And I felt to go and stand behind him because I'm not on his side or in front of him.
[02:16:28.000 --> 02:16:30.000]  I'm behind him. I'm supporting our president.
[02:16:30.000 --> 02:16:32.000]  And I did from day one.
[02:16:32.000 --> 02:16:37.000]  And so that picture you see of the hands that's my hand, my wife's hand.
[02:16:37.000 --> 02:16:42.000]  And of course, while I waited till the White House gave us permission to release it.
[02:16:42.000 --> 02:16:43.000]  And then we did.
[02:16:43.000 --> 02:16:47.000]  Of course, it went viral, picked up by the mail online in London, South Africa, Australia.
[02:16:47.000 --> 02:16:49.000]  We were getting calls from all over.
[02:16:49.000 --> 02:16:54.000]  And so, of course, the media are all freaking out about the picture because how terrible.
[02:16:54.000 --> 02:16:58.000]  I mean, things CNN said isn't just terrible that they were touching the president.
[02:16:58.000 --> 02:17:00.000]  But the president has no problem with that.
[02:17:00.000 --> 02:17:06.000]  People have no clue that, you know, he's undone already 60% of the Obama agenda.
[02:17:06.000 --> 02:17:09.000]  You judge a tree by its fruits.
[02:17:09.000 --> 02:17:12.000]  And exactly when I've talked to Trump, he brings it up.
[02:17:12.000 --> 02:17:14.000]  He says, you feel the spirit in that inauguration.
[02:17:14.000 --> 02:17:20.000]  You know, do you feel the spirit at the event there in Cleveland?
[02:17:20.000 --> 02:17:24.000]  He really does feel the energy of God and of Christians.
[02:17:24.000 --> 02:17:29.000]  And the more Christians embrace him, the more his faith is getting strengthened.
[02:17:29.000 --> 02:17:31.000]  That's what's scaring him right now.
[02:17:31.000 --> 02:17:33.000]  Totally. So they're really afraid.
[02:17:33.000 --> 02:17:35.000]  And it was a most amazing time.
[02:17:35.000 --> 02:17:38.000]  You know, they said he was, you know, uptight.
[02:17:38.000 --> 02:17:40.000]  He was relaxed, joking.
[02:17:40.000 --> 02:17:41.000]  It was very funny.
[02:17:41.000 --> 02:17:44.000]  You know, he's, I'm very proud of the president.
[02:17:44.000 --> 02:17:48.000]  Now, so as high as what Monday was, Tuesday was like a low.
[02:17:48.000 --> 02:17:51.000]  I go into the Congress and I can't divulge the name.
[02:17:51.000 --> 02:17:54.000]  It was a senior congressman, but here's what he said.
[02:17:54.000 --> 02:17:56.000]  You know, first of all, we went for three hours.
[02:17:56.000 --> 02:18:00.000]  He talked about the healthcare plan that was going to be passed.
[02:18:00.000 --> 02:18:02.000]  He said, it's not really the president.
[02:18:02.000 --> 02:18:06.000]  This is Paul Ryan's plan and it's going to make Paul Ryan 800 billion.
[02:18:06.000 --> 02:18:09.000]  And then he would be able to do whatever he wants to do with it.
[02:18:09.000 --> 02:18:14.000]  He basically set up the president for a week in position in 2018 and 2020.
[02:18:14.000 --> 02:18:16.000]  So we talked about many things.
[02:18:16.000 --> 02:18:20.000]  And then he said the talk on the hill is that the president will be removed
[02:18:20.000 --> 02:18:22.000]  subtly in the next two months.
[02:18:22.000 --> 02:18:23.000]  I said, what are you talking about?
[02:18:23.000 --> 02:18:24.000]  Impeachment, indictment.
[02:18:24.000 --> 02:18:27.000]  He said, no, he'll be removed suddenly.
[02:18:27.000 --> 02:18:31.000]  And I'm not even maybe talk about somebody bombing a bullet,
[02:18:31.000 --> 02:18:33.000]  but he would be immobilized.
[02:18:33.000 --> 02:18:34.000]  He would be immobilized.
[02:18:34.000 --> 02:18:38.000]  And at that juncture, then Pence would be present and Paul Ryan
[02:18:38.000 --> 02:18:39.000]  would be vice president.
[02:18:39.000 --> 02:18:40.000]  May God help us.
[02:18:40.000 --> 02:18:42.000]  So here's the thing.
[02:18:42.000 --> 02:18:45.000]  I just, when I was interviewed by CBN, I put it on there.
[02:18:45.000 --> 02:18:47.000]  They never, they cut it out.
[02:18:47.000 --> 02:18:50.000]  So I thought I have to go public with it.
[02:18:50.000 --> 02:18:54.000]  And now I'm going to meet with the secret service and explain what he said.
[02:18:54.000 --> 02:18:56.000]  But he said this was the talk on the hill.
[02:18:56.000 --> 02:18:59.000]  This is a congressman that totally loves the president.
[02:18:59.000 --> 02:19:02.000]  He cannot even get to the president because the people around the president
[02:19:02.000 --> 02:19:04.000]  are blocking him from even getting to the president.
[02:19:04.000 --> 02:19:06.000]  He wants to help the president.
[02:19:06.000 --> 02:19:07.000]  He wants to help the president's agenda.
[02:19:07.000 --> 02:19:11.000]  But there are people in the Republican party and the neocons
[02:19:11.000 --> 02:19:13.000]  that are doing everything they can.
[02:19:13.000 --> 02:19:15.000]  So the president said, please, can we do this?
[02:19:15.000 --> 02:19:16.000]  Yes, Mr. President.
[02:19:16.000 --> 02:19:18.000]  They go and they do the exact opposite.
[02:19:18.000 --> 02:19:19.000]  So that's the problem.
[02:19:19.000 --> 02:19:21.000]  You know, we have to pray for him.
[02:19:21.000 --> 02:19:24.000]  That's why I launched this 24-hour prayer initiative to pray
[02:19:24.000 --> 02:19:28.000]  for the protection of the president because, you know, we don't know.
[02:19:28.000 --> 02:19:30.000]  This is not how America operates.
[02:19:30.000 --> 02:19:34.000]  You know, we've had a situation whereby John Kennedy was taken out.
[02:19:34.000 --> 02:19:38.000]  And that was because he was going to totally transform the financial system.
[02:19:38.000 --> 02:19:39.000]  And they didn't want that.
[02:19:39.000 --> 02:19:41.000]  Reagan, of course, came out of the blue.
[02:19:41.000 --> 02:19:45.000]  But they put Bush Sr., who was the CIA operative, to watch him.
[02:19:45.000 --> 02:19:47.000]  And he had a bullet fired across his path.
[02:19:47.000 --> 02:19:52.000]  But other than that, all the others, Bush and Clinton, which they are personal friends,
[02:19:52.000 --> 02:19:54.000]  these people have been family friends for years.
[02:19:54.000 --> 02:19:57.000]  And even Obama played into the same narrative.
[02:19:57.000 --> 02:19:59.000]  You could see the dogs of war.
[02:19:59.000 --> 02:20:02.000]  We in Afghanistan, we run in the opium of the world.
[02:20:02.000 --> 02:20:05.000]  We in Syria because it's about an oil pipeline.
[02:20:05.000 --> 02:20:10.000]  Because you know how Al-Qaeda is funded out of here by all these foundations
[02:20:10.000 --> 02:20:11.000]  and these things that have been doing it.
[02:20:11.000 --> 02:20:12.000]  And Trump just killed that.
[02:20:12.000 --> 02:20:15.000]  President Trump killed that two weeks ago.
[02:20:15.000 --> 02:20:19.000]  He killed NATO and the globalist funding of ISIS and Al-Qaeda.
[02:20:19.000 --> 02:20:22.000]  That's why he threatened NATO until they decided to stop funding.
[02:20:22.000 --> 02:20:28.000]  We're ending a Machiavellian evil policy of world enmity and world collapse
[02:20:28.000 --> 02:20:32.000]  and world crisis and chaos that they get their power from.
[02:20:32.000 --> 02:20:36.000]  And trying to bring back a good, straight up, soft power initiative
[02:20:36.000 --> 02:20:39.000]  that empowers everybody except tyrants.
[02:20:39.000 --> 02:20:42.000]  And that's why the forces of evil, as you say, it's spiritual,
[02:20:42.000 --> 02:20:45.000]  are totally arrayed against Trump.
[02:20:45.000 --> 02:20:50.000]  It is just incredible to see this, as you say, a 11th hour reprieve.
[02:20:50.000 --> 02:20:54.000]  And I think if we miss this reprieve, the allegory of what's happening currently
[02:20:54.000 --> 02:20:58.000]  ties into what Nineveh and Jonah getting their reprieve.
[02:20:58.000 --> 02:21:03.000]  I think that if we don't take this reprieve and really use it,
[02:21:03.000 --> 02:21:05.000]  I think we're going to go into serious judgment.
[02:21:05.000 --> 02:21:07.000]  I mean, you're a lot more of a theologian than I.
[02:21:07.000 --> 02:21:10.000]  You've traveled the world like probably nobody else has.
[02:21:10.000 --> 02:21:13.000]  One of the biggest missionaries out there.
[02:21:13.000 --> 02:21:17.000]  I mean, what is your gut level spiritual discernment on this?
[02:21:17.000 --> 02:21:19.000]  So Alex, we have been praying.
[02:21:19.000 --> 02:21:21.000]  We've had over the years, all night prayer.
[02:21:21.000 --> 02:21:25.000]  That means people come here and they pray right through the night just for America.
[02:21:25.000 --> 02:21:27.000]  You see, I came from South Africa.
[02:21:27.000 --> 02:21:28.000]  I became a citizen.
[02:21:28.000 --> 02:21:32.000]  I had to raise my hand to pay to defend the Constitution against enemies far under domestic.
[02:21:32.000 --> 02:21:36.000]  So as a, even though I'm a minister, I have to speak out.
[02:21:36.000 --> 02:21:41.000]  If we, if I don't speak out, I have to renounce my citizenship and leave.
[02:21:41.000 --> 02:21:45.000]  You cannot be American and not do something about what we're facing.
[02:21:45.000 --> 02:21:47.000]  So here's where we are.
[02:21:47.000 --> 02:21:51.000]  God has heard our cry and as much as some people get all angry,
[02:21:51.000 --> 02:21:54.000]  that Trump is not the way that they think that he should be.
[02:21:54.000 --> 02:21:59.000]  Let me tell you, anybody they would put in there would get eaten alive.
[02:21:59.000 --> 02:22:05.000]  God raised up Donald Trump as a wrecking ball to this globalist agenda to destroy America.
[02:22:05.000 --> 02:22:09.000]  And so we have a window and we have to move quickly on this.
[02:22:09.000 --> 02:22:11.000]  We, we cannot sit idly by.
[02:22:11.000 --> 02:22:13.000]  Everybody must be mobilized.
[02:22:13.000 --> 02:22:17.000]  Everybody must speak out and we have to wake up the population.
[02:22:17.000 --> 02:22:19.000]  Many churches are sleeping past as afraid.
[02:22:19.000 --> 02:22:21.000]  They're afraid of losing their time.
[02:22:21.000 --> 02:22:23.000]  They're afraid of losing the 501 C3.
[02:22:23.000 --> 02:22:25.000]  Alex, I've said this publicly.
[02:22:25.000 --> 02:22:29.000]  If they want mine, I will take my 501 C3, take a job, gasoline,
[02:22:29.000 --> 02:22:30.000]  and send it to them.
[02:22:30.000 --> 02:22:32.000]  They can use it as a suppository.
[02:22:32.000 --> 02:22:34.000]  We are not going to be quiet.
[02:22:34.000 --> 02:22:35.000]  We're not going to be quiet.
[02:22:35.000 --> 02:22:36.000]  We can.
[02:22:36.000 --> 02:22:39.000]  The pastor, I can tell that we both have the same spirit.
[02:22:39.000 --> 02:22:40.000]  So does President Trump.
[02:22:40.000 --> 02:22:41.000]  And as you said it, he's stubborn.
[02:22:41.000 --> 02:22:42.000]  He hates bullies.
[02:22:42.000 --> 02:22:44.000]  He's always hated big banks.
[02:22:44.000 --> 02:22:47.000]  I know you're an expert on that and globalist that tried to push him around.
[02:22:47.000 --> 02:22:48.000]  He is the blue collar billionaire.
[02:22:48.000 --> 02:22:52.000]  So it is that stubbornness that God's using against him.
[02:22:52.000 --> 02:22:56.000]  You say like John the Baptist was being pretty stubborn and aggressive and all the rest of it.
[02:22:56.000 --> 02:22:59.000]  But if you look at it, it's absolutely true throughout the Bible and throughout history,
[02:22:59.000 --> 02:23:01.000]  God works in mysterious ways.
[02:23:01.000 --> 02:23:07.000]  And a lot of times raises up somebody who isn't the perfect goody to shoe to go up against evil.
[02:23:07.000 --> 02:23:08.000]  Can you speak to that?
[02:23:08.000 --> 02:23:11.000]  I know God's spirit has different aspects.
[02:23:11.000 --> 02:23:16.000]  What would you call this spirit of resistance against tyranny that we see that is driving
[02:23:16.000 --> 02:23:20.000]  us in our bones to resist and speak out right now?
[02:23:20.000 --> 02:23:22.000]  Well, look at Samson.
[02:23:22.000 --> 02:23:23.000]  What do you know?
[02:23:23.000 --> 02:23:24.000]  What a unique ministry.
[02:23:24.000 --> 02:23:29.000]  He took a always joking said he took a jawbone of his mother and killed a thousand the enemy,
[02:23:29.000 --> 02:23:31.000]  but he took a jawbone of a donkey.
[02:23:31.000 --> 02:23:34.000]  Samson was God's deliverer for his people.
[02:23:34.000 --> 02:23:39.000]  I often prayed I said, Lord, can't we have a modern day Samson and just send him straight to Washington
[02:23:39.000 --> 02:23:41.000]  and just clean house, you know.
[02:23:41.000 --> 02:23:47.000]  But here we are with President Trump and he understands he knows what's going on.
[02:23:47.000 --> 02:23:48.000]  He's not stupid.
[02:23:48.000 --> 02:23:52.000]  The media make him out to be like he doesn't know, but he's very, very sharp.
[02:23:52.000 --> 02:23:53.000]  He knows what's going on.
[02:23:53.000 --> 02:23:59.000]  And he also realizes that we have to have divine intervention in America without divine intervention.
[02:23:59.000 --> 02:24:04.000]  Alex, we have no hope because these things have been around for a long, long time.
[02:24:04.000 --> 02:24:09.000]  This is not something that was initiated under the Obama regime or the Bush or the Clinton.
[02:24:09.000 --> 02:24:14.000]  This is something that goes right back to 1913 at the foundation, the Federal Reserve.
[02:24:14.000 --> 02:24:19.000]  And then before that, the Tower of Babel and the Tower of Babel in Egypt always they're
[02:24:19.000 --> 02:24:21.000]  trying to set up a one world government.
[02:24:21.000 --> 02:24:22.000]  Totally.
[02:24:22.000 --> 02:24:24.000]  So we are the resistance.
[02:24:24.000 --> 02:24:26.000]  We are the ones that are to stand up.
[02:24:26.000 --> 02:24:30.000]  And I got ministers saying to me, you trying to change Bible prophecy.
[02:24:30.000 --> 02:24:33.000]  Don't you know in the end times the ending Christ will take over.
[02:24:33.000 --> 02:24:34.000]  Of about dead body.
[02:24:34.000 --> 02:24:36.000]  I'm not going to go quietly into history.
[02:24:36.000 --> 02:24:40.000]  I said, how do we live with us up in eternity when we know?
[02:24:40.000 --> 02:24:41.000]  So we get to heaven.
[02:24:41.000 --> 02:24:42.000]  We in heaven.
[02:24:42.000 --> 02:24:43.000]  You and me in heaven.
[02:24:43.000 --> 02:24:46.000]  And there's Stephen who was stoned for his faith.
[02:24:46.000 --> 02:24:50.000]  And then we have to tap Stephen on the shoulder and say, Stephen, you love Jesus more than
[02:24:50.000 --> 02:24:51.000]  we did.
[02:24:51.000 --> 02:24:52.000]  I couldn't live with myself.
[02:24:52.000 --> 02:24:56.000]  I tap him on the shoulder and say, Hey, Stephen, we loved him equally, but you could never
[02:24:56.000 --> 02:24:58.000]  have loved him more than what we did.
[02:24:58.000 --> 02:24:59.000]  The founder.
[02:24:59.000 --> 02:25:04.000]  Of course, and it's these fights, it's these fights that bring out who we really are.
[02:25:04.000 --> 02:25:06.000]  This is the fire that tests us.
[02:25:06.000 --> 02:25:07.000]  This is the experience.
[02:25:07.000 --> 02:25:08.000]  This is the boot camp.
[02:25:08.000 --> 02:25:12.000]  This is the test and this modern cosmology and churches have just hide the church.
[02:25:12.000 --> 02:25:14.000]  Thank God they want microchips.
[02:25:14.000 --> 02:25:18.000]  Thank God the child molesters are taking over because wickedness is increasing as in the
[02:25:18.000 --> 02:25:19.000]  days of Noah.
[02:25:19.000 --> 02:25:20.000]  That means Jesus is about to come back.
[02:25:20.000 --> 02:25:24.000]  Well, it means as one world government and all this comes in that we're meant to wake
[02:25:24.000 --> 02:25:29.000]  as many people up so that they make the right spiritual choice, not just accept it all and
[02:25:29.000 --> 02:25:32.000]  let your kids plug into the matrix.
[02:25:32.000 --> 02:25:33.000]  Yeah.
[02:25:33.000 --> 02:25:35.000]  And Jesus said, occupy till I come.
[02:25:35.000 --> 02:25:40.000]  The fact of the matter is that this fixed 56 sign is the declaration independence lost
[02:25:40.000 --> 02:25:41.000]  everything.
[02:25:41.000 --> 02:25:47.000]  So in with respect to them as an American, we have to, I don't care who you are.
[02:25:47.000 --> 02:25:50.000]  They've got nothing to do with you or someone said, well, that doesn't involve me.
[02:25:50.000 --> 02:25:56.000]  It involves every single American and it's quite crazy that I come from Africa, but I'm
[02:25:56.000 --> 02:26:00.000]  more, I'm more red, white and blue than a lot of the red, white and blue.
[02:26:00.000 --> 02:26:02.000]  We have to stand up and we have to be counted.
[02:26:02.000 --> 02:26:03.000]  We have a window.
[02:26:03.000 --> 02:26:08.000]  Well, that's because you came out of seeing wars and tyranny and manipulation and communism.
[02:26:08.000 --> 02:26:12.000]  I mean, it's certainly with Eastern Europeans coming in who live under communism, they appreciate
[02:26:12.000 --> 02:26:14.000]  freedom or folks coming from Africa or wherever.
[02:26:14.000 --> 02:26:18.000]  But let's expand on that in the time we have talking to the Congress and talking to others.
[02:26:18.000 --> 02:26:25.000]  We now have, although you've seen this, the former head of the CIA saying, we need to
[02:26:25.000 --> 02:26:28.000]  have basically a military coup against Trump.
[02:26:28.000 --> 02:26:30.000]  He said that three days after your sermon.
[02:26:30.000 --> 02:26:36.000]  So they're now in major publications like Atlantic Monthly actually calling for what
[02:26:36.000 --> 02:26:38.000]  you said.
[02:26:38.000 --> 02:26:39.000]  It's ridiculous.
[02:26:39.000 --> 02:26:44.000]  I mean, if people can't see that there's a problem, then I have no, they must be that
[02:26:44.000 --> 02:26:47.000]  far asleep that they don't realize that that's how far gone we go.
[02:26:47.000 --> 02:26:48.000]  We are.
[02:26:48.000 --> 02:26:53.000]  But the very fact that President Trump is in the White House today is a miracle.
[02:26:53.000 --> 02:26:55.000]  Knowing what I know, it's a total miracle.
[02:26:55.000 --> 02:26:58.000]  He should never have ever made it.
[02:26:58.000 --> 02:27:03.000]  They wanted one of the other minions in there so they could continue with their agenda.
[02:27:03.000 --> 02:27:08.000]  But God has heard the cry of the church, put him in, and now we must back him, pray for
[02:27:08.000 --> 02:27:12.000]  him, stand behind him, and we've got to get up and get mobilized, mobilize everybody.
[02:27:12.000 --> 02:27:16.000]  We've got to reach into our inner cities, Alex, because that's the problem where the
[02:27:16.000 --> 02:27:18.000]  big melting pot is.
[02:27:18.000 --> 02:27:23.000]  As you know, they've been kept as slaves in the inner city on government aid and support.
[02:27:23.000 --> 02:27:24.000]  And we're doing that.
[02:27:24.000 --> 02:27:25.000]  We're busing people in.
[02:27:25.000 --> 02:27:30.000]  We're doing everything we can to go in and then train people, teach them, show them what
[02:27:30.000 --> 02:27:35.000]  is happening, because they've even been taught a false history concerning America.
[02:27:35.000 --> 02:27:39.000]  And so that's why they try to stir up racism, get everybody fighting one another, because
[02:27:39.000 --> 02:27:41.000]  that's the game.
[02:27:41.000 --> 02:27:44.000]  You get people fighting each other, and then you steal everything that they have.
[02:27:44.000 --> 02:27:49.000]  And so that's why I spoke up, because when I heard that there was a plan to basically
[02:27:49.000 --> 02:27:52.000]  immobilize the president, he'd be immobilized.
[02:27:52.000 --> 02:27:55.000]  He can't function in office anymore.
[02:27:55.000 --> 02:27:58.000]  And the congressman said, that's the talk on the hill.
[02:27:58.000 --> 02:28:01.000]  He didn't say who said, he said that what he said.
[02:28:01.000 --> 02:28:06.000]  I want to be specifically, when they say immobilized, they're talking about a COG, military
[02:28:06.000 --> 02:28:08.000]  overthrow, Wolf Blitzer says, you mean impeachment?
[02:28:08.000 --> 02:28:12.000]  He goes, no, we're talking about bipartisanly bureaucracy doing it.
[02:28:12.000 --> 02:28:14.000]  That is totally illegal.
[02:28:14.000 --> 02:28:16.000]  Trump will resist it.
[02:28:16.000 --> 02:28:18.000]  And believe me, that's just the public cover.
[02:28:18.000 --> 02:28:21.000]  They're getting the public ready for him to be killed.
[02:28:21.000 --> 02:28:22.000]  I want to ask you a question.
