[00:00:03.752 --> 00:00:04.893]  He just signed it!
[01:47:37.008 --> 01:47:41.131]  They don't want to actually stop anything environmental that's bad.
[01:47:41.131 --> 01:47:44.774]  They want the broadest tax to control all human activity.
[01:47:44.974 --> 01:47:46.415]  They want to run your health care.
[01:47:46.415 --> 01:47:47.736]  They want to run your states.
[01:47:47.736 --> 01:47:49.398]  They want to control your vitamins.
[01:47:49.398 --> 01:47:52.481]  They want to have your kids in the schools being brought up by them.
[01:47:52.481 --> 01:47:54.402]  This is a total takeover.
[01:47:54.402 --> 01:47:56.044]  I appreciate your call, Scott.
[01:47:56.044 --> 01:47:57.325]  Good points.
[01:47:57.325 --> 01:47:59.427]  Of course he couldn't give you an example.
[01:47:59.427 --> 01:48:02.350]  But now they have their precedent.
[01:48:02.350 --> 01:48:07.414]  Now they're going to try more of this.
[01:48:07.414 --> 01:48:09.396]  We have a lawless government, ladies and gentlemen.
[01:48:10.626 --> 01:48:17.791]  I mean, we have real conservatives like Rand Paul, 10 points ahead in Kentucky, to be a U.S.
[01:48:17.791 --> 01:48:19.312]  Senator.
[01:48:19.312 --> 01:48:20.453]  He'll audit the Fed.
[01:48:20.453 --> 01:48:21.734]  He'll get rid of this health care.
[01:48:21.734 --> 01:48:23.676]  He'll vote against it.
[01:48:23.676 --> 01:48:37.506]  It'll set a precedent for others to run, so the Republican Party is coming out against him to beat him, even though he's 10 points ahead of the Republican and more than 10 points ahead of the Democrat.
[01:48:37.506 --> 01:48:39.848]  And now, the guy they've got as a Republican,
[01:48:41.741 --> 01:48:51.307]  Running against him, and I'm gonna cover this coming up, the guy they've got running against him is the head of the election commission in the state.
[01:48:51.307 --> 01:49:05.497]  And the commission has said, yes, you can be the head of the Kentucky elections and run yourself and run the election and have your employees that are set to get jobs for you in the U.S.
[01:49:05.497 --> 01:49:08.719]  Senate, you can run the election when you're running against Rand Paul.
[01:49:12.332 --> 01:49:16.997]  See, that's my biggest criticism of the Republicans, is they were for the Patriot Act.
[01:49:16.997 --> 01:49:20.702]  They were for illegal, preemptive wars of aggression.
[01:49:20.702 --> 01:49:22.684]  They were for tripling the size of government.
[01:49:22.684 --> 01:49:30.213]  They're for all this corporate welfare to the Pentagon and to the defense contractors, trillions a year.
[01:49:30.213 --> 01:49:31.975]  They're all for warrantless wiretapping.
[01:49:33.086 --> 01:49:35.528]  The Democrats were against it when they were out of power.
[01:49:35.528 --> 01:49:39.510]  Now that they're in power, they're all for it, because they all work for the same people.
[01:49:39.510 --> 01:49:52.899]  And the Republicans that are against this health care bill now, the leadership, the Lindsey Graham types, when they're in power, in the next few years, they're going to be for it.
[01:49:52.899 --> 01:49:54.720]  You watch.
[01:49:54.720 --> 01:49:56.761]  Oh, they'll change a few things, but it'll be the same.
[01:49:56.761 --> 01:49:57.682]  It's like Newt Gingrich.
[01:49:58.704 --> 01:50:03.928]  And John McCain say global warming's real, they want the taxes.
[01:50:03.928 --> 01:50:12.073]  All the Republican leadership are a bunch of scum, and that's why they're going out against Rand Paul, Ron Paul's son in Kentucky.
[01:50:12.073 --> 01:50:22.100]  And they've written big editorials that we've read here on air, where they're like, oh my god, if Rand wins, it's over for us neocons, who were a bunch of Trotskyites.
[01:50:22.100 --> 01:50:28.104]  Trotsky's people came over to the US, on record, and set up the major Republican Party.
[01:50:29.415 --> 01:50:48.096]  CIA-controlled head of the National Review, William F. Buckley, as a young man, was hired by the CIA to come out and criticize conservative Republicans, very Goldwater types, to then take over the Republican Party with the Trotskyites, Trotsky's top lieutenant.
[01:50:51.067 --> 01:50:52.709]  This is so incredible.
[01:50:52.709 --> 01:50:54.350]  William Crystal's dad.
[01:50:54.350 --> 01:50:56.592]  And it's the same scum today.
[01:50:56.592 --> 01:50:59.195]  So if you don't remove them, none of this gets changed.
[01:50:59.195 --> 01:50:59.756]  You understand?
[01:51:01.380 --> 01:51:02.701]  Hi, this is Alex Jones.
[01:51:02.701 --> 01:51:08.283]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[01:51:08.283 --> 01:51:13.305]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[01:51:13.305 --> 01:51:18.887]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[01:51:18.887 --> 01:51:23.569]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[01:51:24.093 --> 01:51:31.214]  They call it a Survival Seed Bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[01:51:31.214 --> 01:51:32.334]  And here's the best part.
[01:51:32.334 --> 01:51:39.016]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[01:51:39.016 --> 01:51:42.196]  So visit them today at SurvivalSeedBank.com.
[01:51:42.196 --> 01:51:45.377]  That's SurvivalSeedBank.com, or give them a call at 877-327-0365.
[01:51:45.377 --> 01:51:45.577]  That's 877-327-0365.
[01:51:53.231 --> 01:51:58.063]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[01:51:58.063 --> 01:52:00.449]  This is Alex Jones for survivalseedbank.com.
[01:52:01.664 --> 01:52:02.585]  You worry.
[01:52:02.585 --> 01:52:04.607]  You see the signs and worry about the future.
[01:52:04.607 --> 01:52:07.150]  You worry about economic turmoil and food shortages.
[01:52:07.150 --> 01:52:09.233]  How to be prepared while preserving your sanity?
[01:52:09.233 --> 01:52:10.854]  Your answer may be at hand.
[01:52:10.854 --> 01:52:14.458]  Author Linda Runyon lived off the land, isolated from civilization.
[01:52:14.458 --> 01:52:19.704]  She knows that as long as the sun shines, there will be plenty of free food all over God's green earth.
[01:52:19.704 --> 01:52:23.008]  Perhaps the only sane insurance is knowledge of wild edible plants.
[01:52:23.479 --> 01:52:25.180]  The cost of learning is minimal.
[01:52:25.180 --> 01:52:28.020]  Wild food grows everywhere, and you will see it everywhere.
[01:52:28.020 --> 01:52:31.341]  It's every bit organic and more nutritious than our modern diets.
[01:52:31.341 --> 01:52:39.784]  Well-respected in her field, Linda's approach to teaching this subject includes books, flashcards, and video with an emphasis on health, safety, practicality, and joy.
[01:52:39.784 --> 01:52:44.465]  Learn how to identify it, where and when to find it, how to prepare, use, and store it.
[01:52:44.465 --> 01:52:48.487]  Go to Linda's website, ofthefield.com, and take advantage of special offers.
[01:52:48.487 --> 01:52:51.948]  Or if you're not online, call her 24-hour, toll-free order line at 888-51-1.
[01:53:04.541 --> 01:53:06.260]  Healthy Hearts Club presents...
[01:53:06.966 --> 01:53:17.753]  Heart and Body Extract supports clean, clear arteries, healthy blood pressure levels, healthy circulation and blood flow, regular heart rate and beat.
[01:53:17.753 --> 01:53:20.334]  What if you could avoid heart attacks?
[01:53:20.334 --> 01:53:23.696]  What if you could avoid emergency room visits?
[01:53:23.696 --> 01:53:26.198]  What if you could avoid surgery?
[01:53:26.198 --> 01:53:26.818]  How?
[01:53:26.818 --> 01:53:27.819]  With this.
[01:53:27.819 --> 01:53:30.320]  Heart and Body Extract.
[01:53:30.320 --> 01:53:32.782]  100% organic, no negative side effects.
[01:53:32.782 --> 01:53:34.763]  Guaranteed to work or your money back.
[01:53:35.163 --> 01:53:35.784]  Call now, 866-295-5305.
[01:53:35.784 --> 01:53:36.124]  866-295-5305.
[01:53:36.124 --> 01:53:38.165]  Or order online at heartandbody.com.
[01:53:38.165 --> 01:53:41.307]  Take the high road to a long and healthy life.
[01:53:41.307 --> 01:53:41.547]  866-295-5305.
[01:53:41.547 --> 01:53:42.588]  Or heartandbody.com.
[01:54:04.188 --> 01:54:11.114]  I am grieving for my nation right now, and I hope you're grieving.
[01:54:11.114 --> 01:54:14.556]  I'm going to talk about solutions coming up in the next hour.
[01:54:14.556 --> 01:54:20.061]  Joe Biden got caught cussing right before he introduced Obama.
[01:54:20.061 --> 01:54:24.004]  He spoke first, minutes before they signed the treacherous, treasonous bill.
[01:54:27.006 --> 01:54:32.770]  And as Obama came up to the stage, he said, this is a big effing deal and shook his hand.
[01:54:32.770 --> 01:54:33.771]  We've got the video.
[01:54:33.771 --> 01:54:35.673]  We're not going to play it on the radio, play cuss words.
[01:54:35.673 --> 01:54:42.418]  We're going to beep out the effing part, but we're going to play this on air coming up the next hour.
[01:54:42.418 --> 01:54:43.839]  And it's the celebration.
[01:54:43.839 --> 01:54:44.759]  Yes, we can.
[01:54:44.759 --> 01:54:45.960]  Yes, we did.
[01:54:45.960 --> 01:54:47.101]  We're going to run your life.
[01:54:47.101 --> 01:54:49.643]  We're going to tell you how much insurance you're going to have.
[01:54:49.643 --> 01:54:53.005]  We're going to make you give money to private industry that wrote this.
[01:54:53.005 --> 01:54:54.967]  We're going to decide what type of healthcare you get.
[01:54:56.417 --> 01:55:02.400]  And now, coming up, they are going to try to ram through the greenhouse gas tax bill.
[01:55:02.400 --> 01:55:04.801]  They know they can't do it through executive order.
[01:55:04.801 --> 01:55:06.022]  They're trying.
[01:55:06.022 --> 01:55:10.644]  Now they're going to try to pass this, because hell, it's already so unpopular, why not?
[01:55:10.644 --> 01:55:13.406]  And the House has already passed it.
[01:55:13.406 --> 01:55:16.207]  I mean, we're in a lot of trouble, ladies and gentlemen.
[01:55:16.207 --> 01:55:20.749]  And remember, the Republican Party leadership is for this.
[01:55:20.749 --> 01:55:23.371]  Remember, they're just as big an enemy as the Democrats.
[01:55:24.229 --> 01:55:27.870]  But if we get into a partisan debate, they can divide us across those lines.
[01:55:27.870 --> 01:55:33.411]  You've got to reach out to the idiot Democrats and idiot Republicans out there that still think their party represents them.
[01:55:33.411 --> 01:55:38.152]  The good news is Harry Reid has an 8% approval rating in Gallup Poll.
[01:55:38.152 --> 01:55:39.713]  The Congress has a 10%.
[01:55:39.713 --> 01:55:44.354]  Pelosi has an 11%.
[01:55:44.354 --> 01:55:50.355]  These are lawless, dirtbag, scum.
[01:55:50.355 --> 01:55:52.076]  I'm so angry, I can barely do this show today.
[01:55:52.076 --> 01:55:53.316]  I mean, I am just...
[01:55:54.392 --> 01:55:55.553]  I have children, folks.
[01:55:55.553 --> 01:55:56.814]  I know what tyranny is.
[01:55:56.814 --> 01:56:00.197]  I know how almost every other country in the world has fallen to tyranny.
[01:56:00.197 --> 01:56:04.200]  I know this is a giant scam, and it's only the beginning.
[01:56:04.200 --> 01:56:05.341]  Our country's shutting down.
[01:56:05.341 --> 01:56:07.202]  We've got 22% unemployment.
[01:56:07.202 --> 01:56:10.104]  The banks are raping us and every other major nation.
[01:56:10.104 --> 01:56:14.048]  We're going to end up like Argentina, or Nigeria, or Greece.
[01:56:14.048 --> 01:56:16.569]  We've got to be like Iceland and say no to these people!
[01:56:17.370 --> 01:56:29.135]  It's the banks running the country, and they've got a new way to tax us, and a whole bunch of new taxes they just passed, but that's not even as bad as the IRS running your medical records and deciding what treatments you can get.
[01:56:29.135 --> 01:56:30.796]  That is in the bill!
[01:56:30.796 --> 01:56:42.562]  They tax you if you get treatments they say you don't need!
[01:56:42.562 --> 01:56:45.223]  It's so horrible, and all the states are passing new taxes?
[01:56:47.634 --> 01:56:49.115]  America has got to get serious.
[01:56:49.115 --> 01:56:51.776]  America has got to wake up.
[01:56:51.776 --> 01:56:56.599]  The VA is the only government-run healthcare in this country and it's the worst on the planet.
[01:56:56.599 --> 01:57:00.020]  You're going to get the equivalent of VA healthcare and that's what the insurance companies want.
[01:57:00.020 --> 01:57:04.503]  They get to have the government set what the care is now and give you crap!
[01:57:04.503 --> 01:57:11.286]  And protect them from all the liability lawsuits from people who don't get the right care under their insurance.
[01:57:11.286 --> 01:57:11.946]  I'm sorry.
[01:57:11.946 --> 01:57:13.987]  I'm sorry.
[01:57:13.987 --> 01:57:17.089]  You ever get so angry that you're not even mad, you just have a headache?
[01:57:18.410 --> 01:57:22.992]  And the way they're celebrating and laughing and biting that little gangster criminal thug.
[01:57:22.992 --> 01:57:26.293]  I'm going to talk about solutions coming up next hour.
[01:57:26.293 --> 01:57:29.334]  We got to be bold and say we want prison time.
[01:57:29.334 --> 01:57:32.415]  We want indictments, not we want lawsuits.
[01:57:32.415 --> 01:57:33.515]  We want everything!
[01:57:33.515 --> 01:57:34.976]  Attack them on every front!
[01:57:34.976 --> 01:57:36.096]  Get up off your butts!
[01:57:38.024 --> 01:57:45.588]  And make the Republican talk show host quit lying and saying every day that insurance companies don't make that much money and aren't corrupt.
[01:57:45.588 --> 01:57:47.208]  They wrote the stinking thing!
[01:57:47.208 --> 01:57:48.429]  They're not free market!
[01:57:48.429 --> 01:57:53.872]  They make money off making you buy this stuff!
[01:57:53.872 --> 01:57:55.192]  Alright, I'm starting to get a migraine headache.
[01:57:55.192 --> 01:58:01.135]  I only have a couple of years and I'm actually starting to get the frosty stuff in my eyes.
[01:58:01.135 --> 01:58:02.516]  I've got to somehow calm down.
[01:58:08.086 --> 01:58:08.967]  I'm not angry.
[01:58:08.967 --> 01:58:09.547]  I'm focused.
[01:58:09.547 --> 01:58:12.870]  I'm not going to blow up.
[01:58:12.870 --> 01:58:14.691]  I'm going to breathe.
[01:58:14.691 --> 01:58:15.932]  Folks, I'm going into slavery.
[01:58:15.932 --> 01:58:16.853]  You're going into slavery.
[01:58:16.853 --> 01:58:18.334]  My children are going into slavery.
[01:58:18.334 --> 01:58:19.675]  I don't want to leave the United States.
[01:58:19.675 --> 01:58:21.036]  It's world government.
[01:58:21.036 --> 01:58:23.057]  There's nowhere to leave.
[01:58:23.057 --> 01:58:24.198]  There's nowhere to run to.
[01:58:24.198 --> 01:58:28.181]  We've got to stand and fight.
[01:58:28.181 --> 01:58:30.963]  But I do feel like I could kick the butt of about 20 people.
[01:58:30.963 --> 01:58:36.147]  I mean, right now, you could line up 15 good old boys and I could whoop every one of their butts.
[01:58:36.147 --> 01:58:36.728]  I'm so angry.
[01:58:42.662 --> 01:58:46.065]  Thank you for listening to GCN.
[01:58:46.065 --> 01:58:50.990]  Visit GCNlive.com today.
[01:58:50.990 --> 01:58:52.291]  Hi, this is Alex Jones.
[01:58:52.291 --> 01:58:57.876]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[01:58:57.876 --> 01:59:02.901]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[01:59:02.901 --> 01:59:07.926]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[01:59:08.446 --> 01:59:13.688]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[01:59:13.688 --> 01:59:20.790]  They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[01:59:20.790 --> 01:59:21.911]  And here's the best part.
[01:59:21.911 --> 01:59:28.273]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[01:59:28.593 --> 01:59:31.774]  So visit them today at survivalseedbank.com.
[01:59:31.774 --> 01:59:33.995]  That's survivalseedbank.com.
[01:59:33.995 --> 01:59:34.795]  Or give them a call at 877-327-0365.
[01:59:34.795 --> 01:59:35.095]  That's 877-327-0365.
[01:59:35.095 --> 01:59:38.576]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[01:59:38.576 --> 01:59:40.316]  This is Alex Jones for survivalseedbank.com.
[01:59:53.951 --> 01:59:56.352]  Waging war on corruption.
[01:59:56.352 --> 02:00:05.715]  Alex Jones on the GCN Radio Network.
[02:00:05.715 --> 02:00:07.016]  Big Brother.
[02:00:07.016 --> 02:00:08.796]  Mainstream media.
[02:00:08.796 --> 02:00:10.537]  Government cover-ups.
[02:00:10.537 --> 02:00:12.117]  You want answers?
[02:00:12.117 --> 02:00:13.038]  Well, so does he.
[02:00:13.038 --> 02:00:17.859]  He's Alex Jones on the GCN Radio Network.
[02:00:17.859 --> 02:00:21.921]  And now, live from Austin, Texas, Alex Jones.
[02:00:23.897 --> 02:00:25.459]  We are being domesticated.
[02:00:25.459 --> 02:00:28.761]  We are going into bondage and slavery.
[02:00:28.761 --> 02:00:32.965]  30% of the public or so are useful idiots who think they're about to get something free.
[02:00:32.965 --> 02:00:38.429]  Now they'll wonder why they can't get jobs and go on welfare.
[02:00:38.429 --> 02:00:46.016]  To see the criminals celebrating and laughing when they know full well what they've done makes me become extremely angry.
[02:00:46.016 --> 02:00:47.157]  And that's normal.
[02:00:47.157 --> 02:00:48.098]  That's natural.
[02:00:49.161 --> 02:00:56.363]  When UT loses a football game, something like 15% of Austin the next day doesn't even go into work, they get depressed.
[02:00:56.363 --> 02:01:02.505]  You should get depressed about becoming a dependent of a bunch of criminal scum!
[02:01:02.505 --> 02:01:07.106]  We have lawless criminal scum running our government!
[02:01:07.106 --> 02:01:11.927]  And a lot of moron Republicans are thinking, oh good, our people will get elected now!
[02:01:11.927 --> 02:01:16.208]  When have you seen Republicans repeal anything these Democrats do?
[02:01:16.208 --> 02:01:18.369]  You better let the scumbag Republicans know!
[02:01:19.940 --> 02:01:24.641]  That they got a pledge... I'm gonna talk about solutions coming up.
[02:01:24.641 --> 02:01:32.904]  But it's a normal response to have the government take over your health care and tell you what type of health care you can have and who you gotta buy it from.
[02:01:32.904 --> 02:01:34.785]  This is worse than Europe's socialism.
[02:01:34.785 --> 02:01:36.265]  This is rapism.
[02:01:36.265 --> 02:01:37.545]  This is scamism.
[02:01:37.545 --> 02:01:38.666]  This is piracy.
[02:01:38.666 --> 02:01:39.726]  This is fraud.
[02:01:39.726 --> 02:01:42.987]  This is robbery!
[02:01:42.987 --> 02:01:45.468]  And the way it was passed, everything else, it's just...
[02:01:46.707 --> 02:01:55.612]  Now I've had a chance to really read over the latest version, the final version, that Barry Sotaro, his real name is Barry Sotaro!
[02:01:55.612 --> 02:01:59.093]  The issue isn't even the birth certificate, it's that he has a fake name!
[02:01:59.093 --> 02:02:00.294]  Barack Obama!
[02:02:00.294 --> 02:02:04.456]  His dad wasn't born here, the evidence shows he isn't even American!
[02:02:04.456 --> 02:02:13.281]  He's a piece of trash, but he is just a smiley-faced Harvard, America-hating piece of trash!
[02:02:13.281 --> 02:02:15.102]  He's just a puppet of these banks!
[02:02:16.087 --> 02:02:18.208]  Who've looted the world!
[02:02:18.208 --> 02:02:24.413]  I swear eternal vigilance and warfare in the Infowar against all this scum.
[02:02:24.413 --> 02:02:28.235]  And all you idiots that work for the government and buy into all this control freak garbage.
[02:02:28.235 --> 02:02:29.576]  You make me sick!
[02:02:29.576 --> 02:02:32.758]  JJ in Ohio, you're on the air.
[02:02:32.758 --> 02:02:34.520]  Yeah Alex, that's exactly my point.
[02:02:34.520 --> 02:02:38.122]  That the Republican is going to sell us down the river.
[02:02:38.122 --> 02:02:40.824]  A lot of people are putting their faith in that particular party.
[02:02:42.063 --> 02:02:44.664]  And, uh, you know, it's time people wake up.
[02:02:44.664 --> 02:02:48.526]  I mean, just look at McCain-Palin fraud, for example.
[02:02:48.526 --> 02:02:56.229]  John McCain saying today that he's going to do everything possible to stop this bill from going through and from progressing.
[02:02:56.229 --> 02:02:58.610]  He's only doing that trying to keep his Senate seat.
[02:02:58.610 --> 02:03:00.930]  He's a lying piece of filth.
[02:03:00.930 --> 02:03:01.531]  Exactly.
[02:03:01.531 --> 02:03:03.992]  He's up against great odds out there against J.D.
[02:03:03.992 --> 02:03:05.392]  Hayworth in Arizona.
[02:03:05.392 --> 02:03:06.052]  Yeah, J.D.
[02:03:06.052 --> 02:03:09.674]  Hayworth isn't perfect, but he's a million times better than John McCain.
[02:03:11.052 --> 02:03:15.714]  And these guys will say anything they have to say to stay in power.
[02:03:15.714 --> 02:03:22.158]  But John McCain, you look at him, he's been trying to take our supplements away even outside of this bill.
[02:03:22.158 --> 02:03:35.304]  And, you know, he's got that new bill they're trying to get through where if you say anything against public policy or against the government, you know, they're considered subversive and should be detained.
[02:03:35.304 --> 02:03:35.845]  That's right.
[02:03:36.977 --> 02:03:37.437]  That's right.
[02:03:37.437 --> 02:03:39.658]  In fact, I forgot that bill number.
[02:03:39.658 --> 02:03:43.639]  Cole Watson, what's the Subversive Detainment Act?
[02:03:43.639 --> 02:03:51.722]  Pull up the Prison Planet article where it says, for any reason the President wishes, American citizens can be secretly arrested and interrogated by the Pentagon.
[02:03:52.262 --> 02:03:53.583]  I mean, that's what I mean, folks.
[02:03:53.583 --> 02:03:56.604]  They're openly saying the president can shut down the web.
[02:03:56.604 --> 02:03:59.785]  They're openly... I mean, this is real tyranny.
[02:03:59.785 --> 02:04:01.186]  This is hot tyranny.
[02:04:01.186 --> 02:04:03.207]  This isn't cold, creeping tyranny.
[02:04:03.207 --> 02:04:14.872]  This is a criminal takeover by a bunch of smiley-faced bastards that have bankrupted the country and now they want to steal everything else that's left and feed it into their mouth because the UN and the globalists hate America.
[02:04:14.872 --> 02:04:16.693]  The CIA hates America.
[02:04:16.693 --> 02:04:19.054]  They're a bunch of criminal terrorist scum.
[02:04:20.333 --> 02:04:21.394]  Exactly, Alex.
[02:04:21.394 --> 02:04:35.995]  And even Lindsey Graham has just said recently that the Republican Party platform needs to include the global warming program or they won't be considered politically correct.
[02:04:37.329 --> 02:04:41.873]  Of course, they all work for the same establishment.
[02:04:41.873 --> 02:04:45.156]  The oil companies are behind the global warming tax.
[02:04:45.156 --> 02:04:47.098]  The insurance companies are behind this.
[02:04:47.098 --> 02:04:50.501]  It's all ways to get more of your money, because they're all owned by the banks.
[02:04:50.501 --> 02:04:53.323]  The insurance companies, the oil, it's the banks.
[02:04:53.323 --> 02:04:54.284]  It's the banks.
[02:04:54.284 --> 02:04:57.086]  They want it all, they're grabbing it all, they're scum.
[02:04:57.086 --> 02:04:59.328]  More calls and solutions straight ahead.
[02:05:01.547 --> 02:05:04.569]  Hello, this is Alex Jones with some important questions.
[02:05:04.569 --> 02:05:09.894]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[02:05:09.894 --> 02:05:11.955]  My answer would be all I can get.
[02:05:11.955 --> 02:05:16.959]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[02:05:16.959 --> 02:05:17.860]  How much do you want?
[02:05:18.120 --> 02:05:19.241]  When do you want it?
[02:05:19.241 --> 02:05:21.122]  Now or after the battle starts?
[02:05:21.122 --> 02:05:22.203]  When will you need it?
[02:05:22.203 --> 02:05:24.404]  Can you buy it without proper identification?
[02:05:24.404 --> 02:05:25.745]  Will there be any food?
[02:05:25.745 --> 02:05:27.266]  Will it make your children sick?
[02:05:27.266 --> 02:05:32.550]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[02:05:32.550 --> 02:05:36.132]  You wipe out all these problems if you have a good food supply.
[02:05:36.132 --> 02:05:39.595]  Food is your ammunition to fight for your freedom and your life.
[02:05:39.935 --> 02:05:41.176]  How much will you need?
[02:05:41.176 --> 02:05:42.076]  We don't know.
[02:05:42.076 --> 02:05:43.177]  How much do you want?
[02:05:43.177 --> 02:05:44.097]  All you can get.
[02:05:44.097 --> 02:05:45.198]  I'm Alex Jones.
[02:05:45.198 --> 02:05:48.259]  I want all of you good guys to live to fight another day.
[02:05:48.259 --> 02:05:50.020]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[02:05:50.020 --> 02:05:50.940]  Again, that number 1-800-409-5633.
[02:06:00.723 --> 02:06:05.950]  One major world crisis away from having a totalitarian type of system.
[02:06:05.950 --> 02:06:08.774]  The main event is the wholesale destruction of the world economy.
[02:06:08.774 --> 02:06:13.140]  The push for every nation on the globe to identify and number all of its citizens.
[02:06:15.503 --> 02:06:18.564]  Order Shadow Government from Infowars.com.
[02:06:18.564 --> 02:06:23.584]  We also have some specials where you can get some of our other films half price when you order Shadow Government.
[02:06:23.584 --> 02:06:26.685]  A new level in production quality and in information.
[02:06:26.685 --> 02:06:34.726]  It exposes how a cashless society, surveillance beast grid of total control is being put into place.
[02:06:34.726 --> 02:06:36.587]  This film needs to be seen.
[02:06:36.587 --> 02:06:37.747]  Everybody needs to get it.
[02:06:37.747 --> 02:06:38.907]  So order yours today.
[02:06:38.907 --> 02:06:42.848]  Show it to your friends, your family, your church, your neighbors, your boss, your employees.
[02:06:44.321 --> 02:06:45.923]  Shadow Government, ladies and gentlemen.
[02:06:45.923 --> 02:06:48.545]  Get your copy at InfoWars.com today.
[02:06:48.545 --> 02:06:49.946]  Shadow Government.
[02:06:49.946 --> 02:06:52.168]  It gives Big Brother a black eye.
[02:06:52.168 --> 02:06:55.432]  Available at InfoWars.com or by calling toll-free 888-253-3139.
[02:07:00.660 --> 02:07:01.961]  Hi, this is Alex Jones.
[02:07:01.961 --> 02:07:07.547]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[02:07:07.547 --> 02:07:12.572]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[02:07:12.572 --> 02:07:17.618]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[02:07:18.138 --> 02:07:23.359]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[02:07:23.359 --> 02:07:30.461]  They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[02:07:30.461 --> 02:07:31.581]  And here's the best part.
[02:07:31.581 --> 02:07:37.943]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[02:07:38.283 --> 02:07:41.464]  So visit them today at survivalseedbank.com.
[02:07:41.464 --> 02:07:43.685]  That's survivalseedbank.com.
[02:07:43.685 --> 02:07:44.625]  Or give them a call at 877-327-0365.
[02:07:44.625 --> 02:07:45.026]  That's 877-327-0365.
[02:07:45.026 --> 02:07:48.267]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[02:07:48.267 --> 02:07:50.027]  This is Alex Jones for survivalseedbank.com.
[02:08:02.944 --> 02:08:09.587]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[02:08:09.587 --> 02:08:15.630]  It's Alex Jones and the GCN Radio Network.
[02:08:15.630 --> 02:08:29.996]  Alright, I'm going to take some more of your phone calls responding to the looting, the robbery, the unconstitutional criminal takeover that is government care, banker care, insurance company robbery care.
[02:08:31.311 --> 02:08:36.052]  But the biggest issue is framing this debate correctly.
[02:08:36.052 --> 02:08:53.498]  The neocons have all been lying on talk radio and TV for the last year, saying the insurance companies are good, the big ones, different animal from the small ones, and that they're against this bill.
[02:08:53.498 --> 02:08:56.739]  And the fake liberal media perpetuates this hoax
[02:08:58.601 --> 02:09:02.802]  In the paradigm, saying that insurance companies are against it.
[02:09:02.802 --> 02:09:05.183]  The insurance companies wrote it.
[02:09:05.183 --> 02:09:07.064]  Their stock is going up.
[02:09:07.064 --> 02:09:12.105]  It makes 30 plus million people buy their overpriced crud.
[02:09:12.105 --> 02:09:18.927]  It has the feds setting with comparative care, what type of procedure you can get, what type of tests you can get.
[02:09:18.927 --> 02:09:20.808]  It restricts alternative care.
[02:09:20.808 --> 02:09:24.749]  This was written by big pharma and the healthcare industry.
[02:09:27.503 --> 02:09:28.944]  They have screwed up our care.
[02:09:28.944 --> 02:09:35.330]  They've used government tax money to pay for poor people to get Medicare and Medicaid.
[02:09:35.330 --> 02:09:38.233]  If you'd have kept your tax money, you'd have got a lot better care investing it.
[02:09:39.514 --> 02:09:48.081]  They're getting a big domesticated group of people, filled with illegal aliens I should add, to use as a political weapon against the population.
[02:09:48.081 --> 02:09:49.922]  Here are some of my ideas on solutions.
[02:09:49.922 --> 02:09:52.664]  I'm going to get into these in more detail after some calls.
[02:09:52.664 --> 02:09:59.389]  A lot of people are just going to dump their insurance as a protest before all this gets phased in in the next year and a half.
[02:09:59.389 --> 02:10:03.352]  Because the taxes, the forced insurance comes in the next year and a half.
[02:10:03.352 --> 02:10:06.995]  Then, the supposed benefits start kicking in through 2018.
[02:10:09.295 --> 02:10:14.736]  That way they can probably just never even give the public some of the chicken feed and they'll probably repeal it by then.
