[00:00.000 --> 00:09.000]  media. Government cover-ups. You want answers? Well, so does he. He's Alex Jones on the GCN
[2:00:42.960 --> 2:00:44.960]  or arrest you for demonstrating peacefully,
[2:00:44.960 --> 2:00:46.960]  you're one inch from death camps.
[2:00:46.960 --> 2:00:47.960]  It goes over the edge.
[2:00:47.960 --> 2:00:49.960]  We're already over the edge.
[2:00:49.960 --> 2:00:51.960]  And I'm trying to claw my back up a hill
[2:00:51.960 --> 2:00:53.960]  and I'm so upset, cops.
[2:00:53.960 --> 2:00:55.960]  Your whole future is being destroyed, too.
[2:00:55.960 --> 2:00:57.960]  Your masters are going to,
[2:00:57.960 --> 2:00:59.960]  this is all about destroying our economy, our future.
[2:00:59.960 --> 2:01:01.960]  It's land of the free, home of the brave.
[2:01:01.960 --> 2:01:03.960]  It's the United States.
[2:01:03.960 --> 2:01:06.960]  It's supposedly a free society.
[2:01:06.960 --> 2:01:07.960]  And I'm really bitter.
[2:01:07.960 --> 2:01:08.960]  I'm upset.
[2:01:08.960 --> 2:01:09.960]  I'm angry.
[2:01:09.960 --> 2:01:11.960]  Because I know this country's going to hell in a handbasket
[2:01:11.960 --> 2:01:13.960]  and I'm upset and I'm mad at you.
[2:01:13.960 --> 2:01:14.960]  You're not authorities.
[2:01:14.960 --> 2:01:15.960]  You're not officials.
[2:01:15.960 --> 2:01:16.960]  You're peace officers.
[2:01:16.960 --> 2:01:17.960]  You're public servants.
[2:01:17.960 --> 2:01:20.960]  And I think about these young men surrounded by evil
[2:01:20.960 --> 2:01:22.960]  for their courage to go in and ask Oliver North
[2:01:22.960 --> 2:01:24.960]  that narcotics trafficking piece of trash
[2:01:24.960 --> 2:01:27.960]  who trained death squads that killed men, women, and children.
[2:01:27.960 --> 2:01:29.960]  You know, those death squads killed tens of thousands
[2:01:29.960 --> 2:01:30.960]  and they've dug up all these graves
[2:01:30.960 --> 2:01:33.960]  that have got little two-year-old toddlers in them.
[2:01:33.960 --> 2:01:35.960]  And I got to watch you waddle around
[2:01:35.960 --> 2:01:37.960]  and talk about how you're conservatives
[2:01:37.960 --> 2:01:40.960]  and how you're good.
[2:01:40.960 --> 2:01:42.960]  I know who the government is.
[2:01:42.960 --> 2:01:44.960]  They're death squad hardcore killers.
[2:01:44.960 --> 2:01:46.960]  They ship the drugs in, they rule.
[2:01:46.960 --> 2:01:48.960]  And now they want the bank accounts.
[2:01:48.960 --> 2:01:49.960]  They want the businesses.
[2:01:49.960 --> 2:01:50.960]  They want the roads.
[2:01:50.960 --> 2:01:51.960]  They want to tax you.
[2:01:51.960 --> 2:01:52.960]  They're going for broke.
[2:01:52.960 --> 2:01:54.960]  They're not going to give us quarter you dumb cops.
[2:01:54.960 --> 2:01:56.960]  You work for killers.
[2:01:56.960 --> 2:01:59.960]  And I'm tired of you going along with it
[2:01:59.960 --> 2:02:03.960]  and enjoying butcher in my country with so much enjoyment.
[2:02:03.960 --> 2:02:05.960]  I've had enough of it.
[2:02:05.960 --> 2:02:08.960]  You're tearing my heart out here.
[2:02:08.960 --> 2:02:10.960]  You go with the CPS pedophiles
[2:02:10.960 --> 2:02:12.960]  that sees people's kids for no reason.
[2:02:12.960 --> 2:02:15.960]  So five times more likely to rape them like you do.
[2:02:15.960 --> 2:02:18.960]  You scum.
[2:02:18.960 --> 2:02:20.960]  You're all on power trips.
[2:02:20.960 --> 2:02:22.960]  How it's all about you and how you're the boss.
[2:02:22.960 --> 2:02:23.960]  I got news for you.
[2:02:23.960 --> 2:02:24.960]  I'm tired of it.
[2:02:24.960 --> 2:02:26.960]  We're going to Aaron Zelman on after the break,
[2:02:26.960 --> 2:02:28.960]  but I may even hold you guys over with him.
[2:02:28.960 --> 2:02:29.960]  Look, I'm going to try to shut up.
[2:02:29.960 --> 2:02:31.960]  Just give out the main police number in Louisville.
[2:02:31.960 --> 2:02:33.960]  Say anything else you want.
[2:02:33.960 --> 2:02:34.960]  I'm too angry.
[2:02:34.960 --> 2:02:36.960]  I do want to let the people know
[2:02:36.960 --> 2:02:38.960]  that I have a full interview with me
[2:02:38.960 --> 2:02:42.960]  and Phil Russell of the Louisville Metro Police Department.
[2:02:42.960 --> 2:02:44.960]  He is their public advisor.
[2:02:44.960 --> 2:02:47.960]  That's posted on WeAreChangeOhio.com in full.
[2:02:47.960 --> 2:02:50.960]  And you can also check out the rest of the story
[2:02:50.960 --> 2:02:51.960]  from the beginning.
[2:02:51.960 --> 2:02:52.960]  It's all posted on there.
[2:02:52.960 --> 2:02:53.960]  How long is it?
[2:02:53.960 --> 2:02:55.960]  It's a little over 12 minutes.
[2:02:55.960 --> 2:02:57.960]  Can we play that at the end of the show today?
[2:02:57.960 --> 2:02:59.960]  You're asking my permission?
[2:02:59.960 --> 2:03:00.960]  Yes, sir.
[2:03:00.960 --> 2:03:02.960]  Yes, I would appreciate it a lot.
[2:03:02.960 --> 2:03:03.960]  All right.
[2:03:03.960 --> 2:03:05.960]  Give out the Ohio change again.
[2:03:05.960 --> 2:03:09.960]  WeAreChangeOhio.com.
[2:03:09.960 --> 2:03:11.960]  How are these guys looking at you?
[2:03:11.960 --> 2:03:13.960]  You said they were saying things, too.
[2:03:13.960 --> 2:03:15.960]  I mean, people have to see the celebration of evils,
[2:03:15.960 --> 2:03:16.960]  what I call it.
[2:03:16.960 --> 2:03:18.960]  What was the celebration of evil like?
[2:03:18.960 --> 2:03:20.960]  Well, luckily, I get my footage.
[2:03:20.960 --> 2:03:22.960]  We'll all get to see that.
[2:03:22.960 --> 2:03:24.960]  But it was very degrading.
[2:03:24.960 --> 2:03:26.960]  They made me feel less than human.
[2:03:26.960 --> 2:03:30.960]  And next time I go through anything like this,
[2:03:30.960 --> 2:03:31.960]  I'm going to lay down on the ground,
[2:03:31.960 --> 2:03:32.960]  put my hands behind my back,
[2:03:32.960 --> 2:03:33.960]  and tell them to take me to jail.
[2:03:33.960 --> 2:03:36.960]  I'm not going through the harassment again.
[2:03:36.960 --> 2:03:38.960]  It will never again.
[2:03:38.960 --> 2:03:41.960]  One thing is that it was mainly uniformed officers
[2:03:41.960 --> 2:03:43.960]  who were taking the chips out of our cameras.
[2:03:43.960 --> 2:03:46.960]  And it was, I believe, Officer Reem,
[2:03:46.960 --> 2:03:49.960]  who got in my face and said,
[2:03:49.960 --> 2:03:51.960]  we're taking your cameras, the evidence.
[2:03:51.960 --> 2:03:53.960]  And then he stood there and he stared at me,
[2:03:53.960 --> 2:03:54.960]  kept looking at me.
[2:03:54.960 --> 2:03:59.960]  And he was like, you got a problem with that?
[2:03:59.960 --> 2:04:00.960]  What did you say to him?
[2:04:00.960 --> 2:04:01.960]  According to Phil Russell,
[2:04:01.960 --> 2:04:03.960]  Officer Reem is not an officer
[2:04:03.960 --> 2:04:06.960]  with the Louisville Metro Police Department.
[2:04:06.960 --> 2:04:08.960]  He was just in their uniform.
[2:04:08.960 --> 2:04:11.960]  Yeah, right.
[2:04:11.960 --> 2:04:13.960]  What did you say to him?
[2:04:13.960 --> 2:04:15.960]  What did you say to him when he said that to you?
[2:04:15.960 --> 2:04:18.960]  I mean, I was just completely baffled.
[2:04:18.960 --> 2:04:21.960]  I mean, I was asking him how with
[2:04:21.960 --> 2:04:24.960]  Louisville Metro Police Department on his sleeve
[2:04:24.960 --> 2:04:28.960]  is he not a member of their police organization.
[2:04:28.960 --> 2:04:30.960]  He replied to me that they were off duty
[2:04:30.960 --> 2:04:32.960]  and that they have separate organizations
[2:04:32.960 --> 2:04:34.960]  for the whole Metro County
[2:04:34.960 --> 2:04:36.960]  and all this blotty-blot
[2:04:36.960 --> 2:04:38.960]  and that the Louisville Metro Police Department
[2:04:38.960 --> 2:04:40.960]  isn't accountable for his actions.
[2:04:40.960 --> 2:04:42.960]  Because that means he was part of a group of officers
[2:04:42.960 --> 2:04:45.960]  that sell their merc services out.
[2:04:45.960 --> 2:04:47.960]  Stay there. Stay there, both of you.
[2:04:47.960 --> 2:04:50.960]  Are you concerned about the high cost of prescription drugs
[2:04:50.960 --> 2:04:52.960]  since January of 2006?
[2:04:52.960 --> 2:04:55.960]  Rxdrugcard.com members have saved an average
[2:04:55.960 --> 2:04:57.960]  of $33 per prescription filled.
[2:04:57.960 --> 2:04:59.960]  That's over 46% savings.
[2:04:59.960 --> 2:05:03.960]  The average savings for generic drugs was over 71%.
[2:05:03.960 --> 2:05:05.960]  Rxdrugcard.com is the only major
[2:05:05.960 --> 2:05:07.960]  discount prescription drug plan
[2:05:07.960 --> 2:05:09.960]  that offers a price lookup page,
[2:05:09.960 --> 2:05:11.960]  so you can get an idea of your discounted price
[2:05:11.960 --> 2:05:12.960]  before you enroll.
[2:05:12.960 --> 2:05:14.960]  Rxdrugcard.com is for anyone
[2:05:14.960 --> 2:05:16.960]  who pays for their own prescriptions.
[2:05:16.960 --> 2:05:17.960]  There are no age restrictions.
[2:05:17.960 --> 2:05:18.960]  All prescriptions are covered
[2:05:18.960 --> 2:05:21.960]  and 95% of all pharmacies in the U.S. participate,
[2:05:21.960 --> 2:05:25.960]  including Walmart, Walgreens, CVS Pharmacy, and many more.
[2:05:25.960 --> 2:05:28.960]  With Rxdrugcard.com, you will save immediately
[2:05:28.960 --> 2:05:30.960]  with no messy forms or paperwork.
[2:05:30.960 --> 2:05:33.960]  Membership fees start at only $4.50 per month
[2:05:33.960 --> 2:05:36.960]  and include a 30-day unconditional money-back guarantee.
[2:05:36.960 --> 2:05:39.960]  Visit us at www.rxdrugcard.com
[2:05:39.960 --> 2:05:43.960]  or call us at 888-216-2461.
[2:05:43.960 --> 2:05:46.960]  That's 888-216-2461.
[2:05:46.960 --> 2:05:47.960]  Do it today!
[2:05:47.960 --> 2:05:49.960]  Now, from the makers of Loose Change,
[2:05:49.960 --> 2:05:51.960]  the most downloaded film in Internet history
[2:05:51.960 --> 2:05:55.960]  comes the long-awaited release of Loose Change Final Cut,
[2:05:55.960 --> 2:05:57.960]  an entirely new two-hour film
[2:05:57.960 --> 2:06:00.960]  that completely destroys the official fable forever.
[2:06:00.960 --> 2:06:02.960]  Loose Change Final Cut hopes to be a catalyst
[2:06:02.960 --> 2:06:04.960]  for a new independent investigation
[2:06:04.960 --> 2:06:07.960]  in which family members receive answers to their questions
[2:06:07.960 --> 2:06:10.960]  and the true perpetrators of the horrendous crime
[2:06:10.960 --> 2:06:11.960]  are brought to justice.
[2:06:11.960 --> 2:06:15.960]  Loose Change Final Cut is the ultimate 9-11 expose.
[2:06:15.960 --> 2:06:18.960]  From hijackers being trained at U.S. military bases
[2:06:18.960 --> 2:06:19.960]  to bombs in the buildings,
[2:06:19.960 --> 2:06:23.960]  Loose Change Final Cut is the one 9-11 film everyone must see.
[2:06:23.960 --> 2:06:26.960]  Secure your copy of Loose Change Final Cut today
[2:06:26.960 --> 2:06:28.960]  at infowars.com or prisonplanet.com.
[2:06:28.960 --> 2:06:30.960]  While you're visiting the online video store,
[2:06:30.960 --> 2:06:32.960]  be sure to check out the huge discounts
[2:06:32.960 --> 2:06:35.960]  on films like Endgame, Blueprint for Global Enslavement,
[2:06:35.960 --> 2:06:38.960]  America, Freedom to Fascism, and hundreds of other titles.
[2:06:38.960 --> 2:06:41.960]  We're in a no-holds-bar information war.
[2:06:41.960 --> 2:06:42.960]  Truth is our weapon,
[2:06:42.960 --> 2:06:45.960]  and prisonplanet.com has the tools you need
[2:06:45.960 --> 2:06:48.960]  to take the fight back to Big Brother.
[2:06:48.960 --> 2:06:50.960]  Do you want to know right now
[2:06:50.960 --> 2:06:52.960]  how you can drive around using water as fuel
[2:06:52.960 --> 2:06:54.960]  and laugh at rising gas costs?
[2:06:54.960 --> 2:06:56.960]  Then keep listening for a very special offer.
[2:06:56.960 --> 2:06:58.960]  GasFreedom.info has all the information
[2:06:58.960 --> 2:07:00.960]  you need to learn about a simple technology
[2:07:00.960 --> 2:07:01.960]  you can have right now.
[2:07:01.960 --> 2:07:03.960]  GasFreedom is a do-it-yourself,
[2:07:03.960 --> 2:07:05.960]  affordable, practical, free energy device.
[2:07:05.960 --> 2:07:07.960]  It uses a little electricity from your car's battery
[2:07:07.960 --> 2:07:10.960]  to separate water into a gas called HHO.
[2:07:10.960 --> 2:07:12.960]  HHO, also called Brown's Gas,
[2:07:12.960 --> 2:07:14.960]  burns beautifully and provides tons of energy.
[2:07:14.960 --> 2:07:16.960]  While the end product is just water,
[2:07:16.960 --> 2:07:19.960]  visit GasFreedom.info now to learn more.
[2:07:19.960 --> 2:07:20.960]  In just 10 minutes,
[2:07:20.960 --> 2:07:22.960]  you will discover exactly how this is possible.
[2:07:22.960 --> 2:07:24.960]  This is the secret the oil and auto industry
[2:07:24.960 --> 2:07:25.960]  doesn't want you to know.
[2:07:25.960 --> 2:07:27.960]  Go to GasFreedom.info to learn how very easy it is
[2:07:27.960 --> 2:07:30.960]  to extract energy from water to run your car.
[2:07:30.960 --> 2:07:32.960]  Go to GasFreedom.info for this special offer.
[2:07:32.960 --> 2:07:35.960]  Turn any car into a hybrid for $300.
[2:07:35.960 --> 2:07:36.960]  That's GasFreedom.info,
[2:07:36.960 --> 2:07:39.960]  or call 239-628-3708.
[2:07:39.960 --> 2:07:42.960]  That's 239-628-3708.
[2:07:42.960 --> 2:07:45.960]  239-628-3708.
[2:07:48.960 --> 2:07:50.960]  From his Central Texas Command Center
[2:07:50.960 --> 2:07:52.960]  deep behind enemy lines,
[2:07:52.960 --> 2:07:55.960]  the information war continues.
[2:07:55.960 --> 2:07:58.960]  It's Alex Jones and the GCN Radio Network.
[2:07:58.960 --> 2:08:00.960]  We got Chuck Baldwin,
[2:08:00.960 --> 2:08:01.960]  an amazing individual,
[2:08:01.960 --> 2:08:04.960]  presidential candidate
[2:08:04.960 --> 2:08:09.960]  for the Constitution Party
[2:08:09.960 --> 2:08:11.960]  for 30 minutes of the next hour.
[2:08:11.960 --> 2:08:13.960]  Got Aaron Zellman for the rest of this hour.
[2:08:13.960 --> 2:08:17.960]  Aaron was just listening and shot during the break.
[2:08:17.960 --> 2:08:19.960]  You understand that the BATF,
[2:08:19.960 --> 2:08:21.960]  you can have a legal AR-15
[2:08:21.960 --> 2:08:24.960]  if it misfires as they do occasionally
[2:08:24.960 --> 2:08:27.960]  and shoots two rounds instead of one.
[2:08:27.960 --> 2:08:29.960]  The gun rangers are trained to call the police on you.
[2:08:29.960 --> 2:08:30.960]  You'll be held,
[2:08:30.960 --> 2:08:32.960]  and the BATF will say,
[2:08:32.960 --> 2:08:35.960]  yeah, we know it's a misfire going to prison for 10 years.
[2:08:35.960 --> 2:08:36.960]  We'll talk about that today.
[2:08:36.960 --> 2:08:38.960]  We'll talk about Pennsylvania cops confiscating guns
[2:08:38.960 --> 2:08:40.960]  of legal gun owners and saying,
[2:08:40.960 --> 2:08:42.960]  we don't care, there's not a law.
[2:08:42.960 --> 2:08:44.960]  All the things that are happening,
[2:08:44.960 --> 2:08:45.960]  the tripling of the BATF,
[2:08:45.960 --> 2:08:47.960]  the new reign of terror that's taking place.
[2:08:47.960 --> 2:08:49.960]  But both of you,
[2:08:49.960 --> 2:08:52.960]  both Cody Deets and Sam Lugalo,
[2:08:52.960 --> 2:08:54.960]  we are Change Ohio that we're in Louisville,
[2:08:54.960 --> 2:08:56.960]  and all this happened to you.
[2:08:56.960 --> 2:08:58.960]  Both of you,
[2:08:58.960 --> 2:09:00.960]  just how did this end?
[2:09:00.960 --> 2:09:01.960]  What would you like to see happen here?
[2:09:01.960 --> 2:09:04.960]  Give out the Louisville main number.
[2:09:04.960 --> 2:09:05.960]  For me personally,
[2:09:05.960 --> 2:09:07.960]  I would appreciate it if the local Louisville people
[2:09:07.960 --> 2:09:09.960]  would get involved as much as possible.
[2:09:09.960 --> 2:09:11.960]  I'm all the way here in Ohio,
[2:09:11.960 --> 2:09:13.960]  and I can't do all the footwork
[2:09:13.960 --> 2:09:15.960]  of actually going to these places.
[2:09:15.960 --> 2:09:18.960]  And if we could also get their local media involved,
[2:09:18.960 --> 2:09:20.960]  that would put some pressure to find out
[2:09:20.960 --> 2:09:22.960]  where all this stuff is.
[2:09:22.960 --> 2:09:24.960]  The main thing is,
[2:09:24.960 --> 2:09:25.960]  I'd like to get the footage back,
[2:09:25.960 --> 2:09:27.960]  what they stole from us.
[2:09:27.960 --> 2:09:29.960]  And you keep asking this for the phone number.
[2:09:29.960 --> 2:09:31.960]  Personally, I don't have a computer in front of the phone here.
[2:09:31.960 --> 2:09:34.960]  But if you do go to WeAreChangeOhio.com,
[2:09:34.960 --> 2:09:37.960]  the phone number is at the bottom of the article there.
[2:09:37.960 --> 2:09:40.960]  Oh, I actually have it here in front of me.
[2:09:40.960 --> 2:09:46.960]  The number to the police department is...
[2:09:46.960 --> 2:09:48.960]  One second.
[2:09:48.960 --> 2:09:54.960]  It's 502-574-7111.
[2:09:54.960 --> 2:09:58.960]  And I would advise restraint just a little bit.
[2:09:58.960 --> 2:10:00.960]  Not to sympathize with them,
[2:10:00.960 --> 2:10:02.960]  but they haven't gotten a lot of calls lately.
[2:10:02.960 --> 2:10:04.960]  No, I mean, don't give them excuses to get mad at you.
[2:10:04.960 --> 2:10:06.960]  Don't act like they act.
[2:10:06.960 --> 2:10:09.960]  Call up and go, how dare your people threaten to frame folks,
[2:10:09.960 --> 2:10:11.960]  how dare them kidnap them,
[2:10:11.960 --> 2:10:15.960]  and then steal their video camera tapes,
[2:10:15.960 --> 2:10:18.960]  chips, and, of course, batteries.
[2:10:18.960 --> 2:10:20.960]  That's got to be...
[2:10:20.960 --> 2:10:22.960]  How many cameras?
[2:10:22.960 --> 2:10:27.960]  We had five cameras between the four of us.
[2:10:27.960 --> 2:10:33.960]  Okay, so that's five batteries, four memory chips, a CD.
[2:10:33.960 --> 2:10:36.960]  I mean, that is like $500 right there or more.
[2:10:36.960 --> 2:10:38.960]  Yes, sir, they were pretty nice.
[2:10:38.960 --> 2:10:40.960]  Pretty nice memory.
[2:10:40.960 --> 2:10:45.960]  Well, I mean, two gig, three gig members sticks like $100.
[2:10:45.960 --> 2:10:47.960]  How big were they?
[2:10:47.960 --> 2:10:49.960]  Yeah, they were all...
[2:10:49.960 --> 2:10:51.960]  I think four gig was the lowest.
[2:10:51.960 --> 2:10:53.960]  Oh, well, that's like $150.
[2:10:53.960 --> 2:10:55.960]  Yeah, yeah.
[2:10:55.960 --> 2:10:59.960]  And we're having a hard time getting gas money for cars and stuff,
[2:10:59.960 --> 2:11:01.960]  so it's like, what do we do now?
[2:11:01.960 --> 2:11:04.960]  I was going to use my camera today, and I can't even use it without a memory.
[2:11:04.960 --> 2:11:05.960]  Well, that's your headline.
[2:11:05.960 --> 2:11:07.960]  Louisville Police and Convention Center,
[2:11:07.960 --> 2:11:10.960]  steal $600, $700 worth of equipment.
[2:11:10.960 --> 2:11:12.960]  Well, I mean, according to Phil Russell,
[2:11:12.960 --> 2:11:16.960]  there were no Metro Police Department there until the end,
[2:11:16.960 --> 2:11:20.960]  and I'm, you know, as much as they witnessed, I'm not sure, but it's just...
[2:11:20.960 --> 2:11:24.960]  I mean, how do you go about when someone completely denies anything?
[2:11:24.960 --> 2:11:26.960]  How do you, I mean...
[2:11:26.960 --> 2:11:28.960]  Well, that's what will happen when they come pick you up at your house
[2:11:28.960 --> 2:11:30.960]  and take you to a lime grave.
[2:11:30.960 --> 2:11:32.960]  They just say, we don't know where Alex went.
[2:11:32.960 --> 2:11:34.960]  We don't know where Cody and Sam went.
[2:11:34.960 --> 2:11:36.960]  You know, we don't know what...
[2:11:36.960 --> 2:11:38.960]  People said guys in black uniforms grabbed them.
[2:11:38.960 --> 2:11:41.960]  You know, they'll gun the whole family down right there.
[2:11:41.960 --> 2:11:42.960]  I mean, that's how this works.
[2:11:42.960 --> 2:11:43.960]  That's what Oliver North ran.
[2:11:43.960 --> 2:11:45.960]  That's why this is so dangerous.
[2:11:45.960 --> 2:11:46.960]  I want to bring Aaron Zellman up.
[2:11:46.960 --> 2:11:48.960]  Aaron, what do you think of this?
[2:11:48.960 --> 2:11:51.960]  Well, as I said, Alex, at first I've heard of this,
[2:11:51.960 --> 2:11:57.960]  and it's really shocking that the NRA would be associating with Oliver North
[2:11:57.960 --> 2:12:01.960]  and then mistreating folks who come to their convention
[2:12:01.960 --> 2:12:06.960]  who were seeking the truth by asking a few simple questions.
[2:12:06.960 --> 2:12:13.960]  However, with that said, the NRA has been in bed with the ATF for years,
[2:12:13.960 --> 2:12:18.960]  and so anything that has to do with destroying freedom
[2:12:18.960 --> 2:12:23.960]  or misleading the membership, perpetuating the fraud known as the NRA,
[2:12:23.960 --> 2:12:25.960]  does not shock me.
[2:12:25.960 --> 2:12:28.960]  Well, they had press passes too,
[2:12:28.960 --> 2:12:32.960]  and then the police just came up and tackled Sam.
[2:12:32.960 --> 2:12:39.960]  Well, you know, if people think that the police are on the side of the people,
[2:12:39.960 --> 2:12:42.960]  they're engaged in the grand fantasy.
[2:12:42.960 --> 2:12:46.960]  I would encourage people to read a little booklet called Ordinary Men
[2:12:46.960 --> 2:12:53.960]  about how the Nazis used the local police to carry out the murdering of citizens.
[2:12:53.960 --> 2:12:58.960]  And today's police are even better equipped to murder citizens.
[2:12:58.960 --> 2:13:00.960]  It's all happening all the time.
[2:13:00.960 --> 2:13:02.960]  I tell you, we're in red-level crisis.
[2:13:02.960 --> 2:13:05.960]  Well, guys, talk to me as this develops, and we really appreciate it.
[2:13:05.960 --> 2:13:09.960]  Give out the Louisville number and then give out the Scumbag Convention Center number.
[2:13:09.960 --> 2:13:16.960]  All right, sir, Louisville Metro Police Department is 502-574-7111.
[2:13:16.960 --> 2:13:18.960]  They're political.
[2:13:18.960 --> 2:13:21.960]  It's Phil Russell, if you ask for him.
[2:13:21.960 --> 2:13:29.960]  The security department for the Kentucky Expo Center is 502-367-5360,
[2:13:29.960 --> 2:13:34.960]  and my full interview with Phil Russell is at WeAreChangeOhio.com.
[2:13:34.960 --> 2:13:36.960]  All right, good job, man. Thanks for coming on.
[2:13:36.960 --> 2:13:38.960]  Thank you, Mr. Jones.
[2:13:38.960 --> 2:13:42.960]  It takes a lot of courage, Aaron, to get the press passes, go in, ask the questions.
[2:13:42.960 --> 2:13:47.960]  We AreChange is being attacked everywhere for asking about the camps and other issues.
[2:13:47.960 --> 2:13:49.960]  We have free speech zones.
[2:13:49.960 --> 2:13:51.960]  They're banning free speech everywhere.
[2:13:51.960 --> 2:13:53.960]  I mean, this country is in a lot of trouble.
[2:13:53.960 --> 2:13:58.960]  You not only are the head of the Jews, the preservation of firearms ownership.
[2:13:58.960 --> 2:14:00.960]  You also have an anti-police state organization.
[2:14:00.960 --> 2:14:02.960]  I mean, I'm tracking it.
[2:14:02.960 --> 2:14:05.960]  Jail time for speeding, 10 years.
[2:14:05.960 --> 2:14:12.960]  They're now saying hardcore jail time, first offense for taller than three-inch grass in major cities.
[2:14:12.960 --> 2:14:14.960]  I have that in the stack today.
[2:14:14.960 --> 2:14:17.960]  Banana peel. They're talking six months in jail.
[2:14:17.960 --> 2:14:19.960]  They're building prisons everywhere.
[2:14:19.960 --> 2:14:22.960]  I mean, Aaron, this is getting bad.
[2:14:22.960 --> 2:14:25.960]  Well, we have a government that's gone bad.
[2:14:25.960 --> 2:14:30.960]  We have a citizenry that the majority of people don't seem to care.
[2:14:30.960 --> 2:14:35.960]  And so, sure, yeah, things are going to get bad, but sometimes Alex versus better,
[2:14:35.960 --> 2:14:39.960]  the more people have their ox gored, the more people have a wolf at the door,
[2:14:39.960 --> 2:14:43.960]  the more people who start to wake up.
[2:14:43.960 --> 2:14:47.960]  We're going to find out, Alex, apparently in a very near future,
[2:14:47.960 --> 2:14:54.960]  if the American people truly understand the significance of the Second Amendment.
[2:14:54.960 --> 2:14:58.960]  There's 80 million gun owners in this country, as I'm led to believe.
[2:14:58.960 --> 2:15:05.960]  And we're going to find out what percentage of them are going to be worthy of being a gun owner.
[2:15:05.960 --> 2:15:12.960]  That's right. That freedom was paid for in rivers of blood.
[2:15:12.960 --> 2:15:15.960]  And people don't appreciate that.
[2:15:15.960 --> 2:15:18.960]  Well, I think that one of the problems we have, as you know, Alex,
[2:15:18.960 --> 2:15:23.960]  is that there's an awful lot of people in America who haven't got a clue about American history.
[2:15:23.960 --> 2:15:26.960]  They don't understand how this country came about.
[2:15:26.960 --> 2:15:32.960]  They don't understand how World War II Americans had to go die in foreign lands
[2:15:32.960 --> 2:15:36.960]  to keep fascism from coming to America.
[2:15:36.960 --> 2:15:43.960]  We have some fascism here now, but it was nothing like what was going to be here during World War II.
[2:15:43.960 --> 2:15:50.960]  So we have a populace that is just simply not knowledgeable about the history of America
[2:15:50.960 --> 2:15:58.960]  and certainly not knowledgeable about what it takes to create freedom and to keep freedom alive.
[2:15:58.960 --> 2:16:01.960]  What's wrong with the average cop?
[2:16:01.960 --> 2:16:05.960]  Because more and more, they look at us like we're the enemy. They act crazy.
[2:16:05.960 --> 2:16:09.960]  I know it's been incremental brainwashing, but man, we're in trouble.
[2:16:09.960 --> 2:16:13.960]  Well, I'm not sure I have a real good answer about the average cop.
[2:16:13.960 --> 2:16:20.960]  I think that what we're seeing is what I call the militarization of the police,
[2:16:20.960 --> 2:16:25.960]  where the federal government is making more and more goodies available in the way of armament
[2:16:25.960 --> 2:16:31.960]  and devices to control the citizens to the police departments.
[2:16:31.960 --> 2:16:36.960]  Police departments, for some reason, seem to think they need all of this equipment.
[2:16:36.960 --> 2:16:44.960]  In fact, I found it amazing in Texas when they had the raid on the, what's it called, the FLDS.
[2:16:44.960 --> 2:16:48.960]  Yeah, they had a Bradley without the turret.
[2:16:48.960 --> 2:16:55.960]  Exactly. It's a sheriff on the side, and I thought, what is going on here? What were they expecting?
[2:16:55.960 --> 2:16:58.960]  So it shows you the mindset.
[2:16:58.960 --> 2:17:04.960]  Well, I guess the bottom line would be Alex, that it's going to be us against them.
[2:17:04.960 --> 2:17:10.960]  That's the mindset that they've already developed, and now the American people have to decide if they want to share the same mindset.
[2:17:10.960 --> 2:17:16.960]  No, that's it. The entire attack profile of the government, they're saying the average people are the enemy.
[2:17:16.960 --> 2:17:22.960]  They are attacking us, and now, if you're even unarmed, they just gun you down.
[2:17:22.960 --> 2:17:26.960]  I see cases every day where right in front of witnesses, they just decide to kill you.
[2:17:26.960 --> 2:17:30.960]  And before cops would go to jail, now they just say, that's the way it is.
[2:17:30.960 --> 2:17:38.960]  Well, that's true. I'm not so sure that's the way it is in Wisconsin at the moment, but it may very well be that way.
[2:17:38.960 --> 2:17:44.960]  But I think that we have a situation where apparently there's something afoot in the country.
[2:17:44.960 --> 2:17:53.960]  It's going to be some type of severe problem, and the government is afraid that the people will react against the government.
[2:17:53.960 --> 2:18:02.960]  So the government is taking a strategic step to, or if I can call it a preemptive strike against the people.
[2:18:02.960 --> 2:18:06.960]  No, no, that's it. Exactly. They are doing martial law drills everywhere and admitting it.
[2:18:06.960 --> 2:18:14.960]  It's in the legislation past. They're just questioning people on the street corners, setting up random checkpoints, saying they're all giving them M16s.
[2:18:14.960 --> 2:18:21.960]  They're going to attack us, and that's the proof they're the terrorists because they're going to stage more terror, Aaron.
[2:18:21.960 --> 2:18:24.960]  Well, that shouldn't shock anybody at this point.
[2:18:24.960 --> 2:18:34.960]  But if I could comment just a moment on something you were saying about the ATF, and if your firearm shoots more than two shots with one pull the trigger.
[2:18:34.960 --> 2:18:35.960]  Yes.
[2:18:35.960 --> 2:18:46.960]  If you have a moment. That decision comes out of a court case dealing with a David Oleson here in Milwaukee, and it was just about, I think, a week or 10 days ago.
[2:18:46.960 --> 2:18:59.960]  The expert witness, Len Savage, who was part of that court case, when he was in the courtroom, the federal prosecutor made it very clear to the judge,
