[00:00:23.784 --> 00:00:25.925]  43 days left.
[01:52:06.912 --> 01:52:09.935]  But they're coming at us because we do know how to beat them.
[01:52:09.935 --> 01:52:11.576]  We do have their number.
[01:52:11.576 --> 01:52:17.300]  So I'm just trying to point out again, we talk about COG and martial law and overthrowing the president.
[01:52:17.300 --> 01:52:18.881]  Remember, you heard all that here first.
[01:52:18.881 --> 01:52:20.302]  It's all over the news now.
[01:52:20.302 --> 01:52:21.943]  That's why we're banned.
[01:52:21.943 --> 01:52:26.046]  They don't want us to tell you the next step and the next step as we watch them.
[01:52:30.336 --> 01:52:37.602]  Why, frankly, InfoWars and our whole crew and our guests and everything we do is a national asset.
[01:52:37.602 --> 01:52:39.744]  And it's a human asset.
[01:52:39.744 --> 01:52:41.305]  We are pro-human.
[01:52:41.305 --> 01:52:44.287]  We believe in humanity.
[01:52:44.287 --> 01:52:52.814]  And they know that if you have the choice of picking humanity and a human future versus a globalist, transhumanist robot future, you'll pick humanity.
[01:52:52.814 --> 01:52:57.758]  So they just want to remove us from the marketplace because they know you want what we're doing.
[01:53:00.250 --> 01:53:12.283]  There's so many losers that want to feel like they're winners, that they will then attack InfoWars or do that because they think finally they're being accepted, finally they're part of the power structure.
[01:53:12.283 --> 01:53:14.565]  No, you're losing your soul.
[01:53:14.565 --> 01:53:19.931]  And I mourn for you, not that you lie about me and attack me, but that you've made the wrong decision.
[01:53:25.111 --> 01:53:26.292]  All right, let's go to your phone calls.
[01:53:26.292 --> 01:53:34.759]  We got Jessica and Miles and Mark and Matthew and Eric and Ann and David and Duncan and Eddie and Kamal and David.
[01:53:34.759 --> 01:53:37.061]  Who's been holding the longest here?
[01:53:37.061 --> 01:53:39.183]  Is it Ann?
[01:53:39.183 --> 01:53:42.106]  Is it Jessica?
[01:53:42.106 --> 01:53:44.288]  We'll go to Jessica and then Ann first.
[01:53:44.288 --> 01:53:45.549]  So we'll go to Jessica in Florida.
[01:53:45.549 --> 01:53:46.510]  Jessica, thanks for calling.
[01:53:46.510 --> 01:53:48.692]  Go ahead.
[01:53:48.692 --> 01:53:49.993]  Hey, thanks for having me.
[01:53:49.993 --> 01:53:50.854]  Thank you for calling.
[01:53:50.854 --> 01:53:51.174]  Welcome.
[01:53:52.728 --> 01:53:53.249]  Thanks.
[01:53:53.249 --> 01:54:01.736]  You know, I was calling because I have encountered a lot of political propaganda in my daughter's school, and she's in a charter school down here.
[01:54:01.736 --> 01:54:10.605]  It's only about 100 kids in K-8, and they are plugging Times for Kids and Scholastic.
[01:54:10.605 --> 01:54:13.387]  And these articles are over the top.
[01:54:13.387 --> 01:54:16.350]  I mean, we're talking gun control with Emma Gonzalez in there.
[01:54:16.350 --> 01:54:16.970]  We're talking
[01:54:18.422 --> 01:54:25.488]  Even the principal's husband I'm friends with on Facebook, and he posts things about support for the DSA.
[01:54:25.488 --> 01:54:27.349]  And it just, it blows me away.
[01:54:27.349 --> 01:54:36.696]  We actually just lost our math teacher for 7th and 8th grade so that we could pay for a security officer because the state of Florida is now requiring that.
[01:54:36.696 --> 01:54:42.581]  And it just blows me away that the propaganda that's in classes, it's really where the censorship starts.
[01:54:42.581 --> 01:54:47.545]  It's to train these kids in the way that they think, so that as they become college students,
[01:54:48.235 --> 01:54:52.582]  Or, you know, further along, that they've already been brainwashed to do so.
[01:54:52.582 --> 01:54:59.674]  Oh, the social engineers, the leftists are making their move, and Austin next year...
[01:55:00.848 --> 01:55:04.551]  is going to tell boys and girls, don't say boys and girls, that's a new dirty word.
[01:55:04.551 --> 01:55:11.276]  Imagine in a science fiction book, in 2018, in Texas, you can't say boy or girls in elementary.
[01:55:11.276 --> 01:55:16.801]  They are literally going to screw over kids, that I'm a girl, I'm a boy, I'm bad.
[01:55:16.801 --> 01:55:27.009]  The child abuse, the sexual abuse, the pervertedness of it, and we just, but we just, oh we're liberal, we're gonna do what you say, and it's all a scientific program
[01:55:28.393 --> 01:55:29.753]  To take over society.
[01:55:29.753 --> 01:55:36.195]  I've been told, don't criticize transhumanism, don't criticize open borders, don't criticize Islam.
[01:55:36.195 --> 01:55:37.715]  Because that's globalism.
[01:55:37.715 --> 01:55:39.276]  And that's their plan.
[01:55:39.276 --> 01:55:41.156]  The sexualization is another thing.
[01:55:41.156 --> 01:55:45.217]  They are now, strongly this year, implementing their dress code.
[01:55:45.217 --> 01:55:50.419]  So I have my 12-year-old coming home telling me, oh, you know, I got in trouble because my shorts are too short.
[01:55:50.419 --> 01:55:51.759]  We're 12!
[01:55:51.759 --> 01:55:53.900]  You know, and who, why are our girls
[01:55:55.512 --> 01:56:01.138]  being picked on for possibly being, uh, what, distractive to little boys?
[01:56:01.138 --> 01:56:01.919]  Give me a break.
[01:56:01.919 --> 01:56:04.302]  Well, see, that's the pervertedness of the school.
[01:56:04.302 --> 01:56:11.289]  They take all of our Christian inclinations and twist them to then make children feel dirty when they're 10 or 11 years old.
[01:56:11.289 --> 01:56:11.690]  Exactly.
[01:56:11.690 --> 01:56:13.612]  And it's all... Let me tell you something.
[01:56:13.832 --> 01:56:20.480]  Public schools have a lot of good people and everything else, but a good portion, a large minority, are perverts.
[01:56:20.480 --> 01:56:24.144]  And the religion of government and the left is pedophilia.
[01:56:24.144 --> 01:56:29.330]  And so that's how they get it going, is they want to tell your kids about what sex they are.
[01:56:29.330 --> 01:56:31.252]  They want to tell your kids they're perverts.
[01:56:31.252 --> 01:56:33.234]  They want to push Prozac and Ritalin on your kids.
[01:56:33.234 --> 01:56:33.715]  They want
[01:56:34.235 --> 01:56:37.398]  To vampirically F your kids over.
[01:56:37.398 --> 01:56:43.563]  That's their, they get power and currency from their force by hurting children.
[01:56:43.563 --> 01:56:43.983]  Is that clear?
[01:56:43.983 --> 01:56:47.226]  I absolutely agree.
[01:56:47.226 --> 01:56:51.750]  And they're the only ones, it's the adults that are planting the spot in these kids.
[01:56:51.750 --> 01:56:53.411]  Oh, oh, oh, oh, oh, oh, ma'am.
[01:56:53.411 --> 01:56:54.933]  They started death education in 2000.
[01:56:54.933 --> 01:56:56.013]  By 2003, even, even ABC
[01:56:59.944 --> 01:57:04.873]  2020 did a special, it was 2020 ABC, that tripled suicides.
[01:57:04.873 --> 01:57:11.105]  You start teaching kids don't take your shoelace and put it around your neck and hang it in the stall and all of a sudden little girls went and did it!
[01:57:12.594 --> 01:57:18.356]  Right, yeah, well it's just like the war on drugs, you know, or bullying, you know, bullying awareness in schools.
[01:57:18.356 --> 01:57:23.297]  Why are we not focusing on the positive opposite, about building friendships, building kindness?
[01:57:23.297 --> 01:57:29.079]  Oh, most public schools don't let you play dodgeball or tag or even shake hands or hug people, exactly, no.
[01:57:29.079 --> 01:57:37.082]  It's psychological warfare, preying on your children and hiring the very, all these women accusing Kavanaugh are psychologists.
[01:57:37.902 --> 01:57:39.104]  God bless you, Jessica.
[01:57:39.104 --> 01:57:41.428]  Listen, your children will rebel against it.
[01:57:41.428 --> 01:57:44.774]  Generation Z is totally waking up, but just let them know the truth.
[01:57:44.774 --> 01:57:46.556]  They trust you, their mother, not them.
[01:57:48.419 --> 01:57:56.942]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself and a gift to the InfoWar to fight the globalist limit of free society.
[01:57:56.942 --> 01:58:00.443]  Several years ago I set out with top formulators in the U.S.
[01:58:00.443 --> 01:58:09.966]  to create the strongest, most concentrated, over-the-top stamina, libido, workout, brain formula that is safe.
[01:58:09.966 --> 01:58:17.149]  I know from using this myself the last few months and from seeing my friends and family use it that this new product is going to end up being the number one
[01:58:17.389 --> 01:58:20.971]  Best selling product at Infowarslife.com because it works so well.
[01:58:20.971 --> 01:58:29.196]  This is a gift you want to give yourself and then rest assured you're fighting the Infowar so it's a total, absolute, sure win, no lose equation.
[01:58:29.196 --> 01:58:33.978]  Try Alpha Power exclusively available at Infowarslife.com for yourself.
[01:58:33.978 --> 01:58:35.899]  Ladies and gentlemen, it's non-GMO.
[01:58:35.899 --> 01:58:36.780]  It's for your brain.
[01:58:36.780 --> 01:58:37.520]  It's for sports.
[01:58:37.520 --> 01:58:39.721]  It's for activities and it's made in the USA.
[01:58:39.721 --> 01:58:43.003]  Get your Alpha Power today at Infowarslife.com.
[01:58:43.003 --> 01:58:46.025]  Everybody needs to try Alpha Power today.
[01:58:48.191 --> 01:58:54.494]  We're bringing back one of the biggest fan-favorite formulas we've ever offered with even better ingredients.
[01:58:54.494 --> 01:58:57.296]  Ultimate Bone Broth.
[01:58:57.296 --> 01:59:03.879]  Info Wars Life is proud to bring you a powerhouse bone broth formula to help push you to your limits.
[01:59:03.879 --> 01:59:12.943]  This incredible formula will help you get the most out of your workout with the power of ultra-high quality bone broth, one of the most popular health trends on the planet.
[01:59:12.943 --> 01:59:16.125]  Built with more than seven different superfoods and crucial compounds,
[01:59:16.705 --> 01:59:25.371]  Ultimate Bone Broth will help support your healthy muscles, digestion, tendons, and ligaments, while also supporting your body's fight against free radicals.
[01:59:25.371 --> 01:59:37.318]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric root, chaga mushroom, goji berry powder, bee pollen, and alfalfa herb powder to support your body.
[01:59:37.318 --> 01:59:41.040]  It's time to experience what Ultimate Bone Broth can do for you.
[01:59:41.040 --> 01:59:44.723]  Get a bottle of the all-new version of a fan-favorite product today.
[01:59:51.287 --> 01:59:53.889]  You're listening to the Alex Jones Show!
[02:00:17.614 --> 02:00:21.225]  Crashing through the lies and disinformation.
[02:00:21.225 --> 02:00:22.569]  It's Alex Jones.
[02:00:33.065 --> 02:00:36.387]  Alright, let's go back to your phone calls now.
[02:00:36.387 --> 02:00:39.668]  Let's go ahead and talk to Ann in California.
[02:00:39.668 --> 02:00:42.149]  Ann, thanks for calling in on this Monday edition.
[02:00:42.149 --> 02:00:42.389]  Thank you.
[02:01:00.731 --> 02:01:02.312]  Yeah, hi Alex, can you hear me?
[02:01:02.312 --> 02:01:04.053]  I can, thanks for calling.
[02:01:04.053 --> 02:01:05.333]  Thanks for taking my call.
[02:01:05.333 --> 02:01:08.675]  I'm not only in California, I'm in San Francisco, California.
[02:01:08.675 --> 02:01:15.338]  Wow, so you're in the big tech censorship, pro-China, pro-communism command base.
[02:01:15.338 --> 02:01:20.841]  That's right, and I own a house cleaning company, a high-end house cleaning company.
[02:01:20.841 --> 02:01:26.504]  And the interesting thing is, is that I've been into every one of these, like, techies
[02:01:27.282 --> 02:01:28.242]  Home.
[02:01:28.242 --> 02:01:31.524]  And I have their keys as well, but that's beside the point.
[02:01:31.524 --> 02:01:32.344]  I just wanted one.
[02:01:32.344 --> 02:01:34.805]  No, no, I'd love to hear that off record.
[02:01:34.805 --> 02:01:36.306]  It's interesting.
[02:01:36.306 --> 02:01:37.346]  It's interesting.
[02:01:37.346 --> 02:01:38.027]  It's interesting.
[02:01:38.027 --> 02:01:38.947]  You got plenty of time.
[02:01:38.947 --> 02:01:43.089]  I mean, you called in about him for his army and band and all the rest of it.
[02:01:43.089 --> 02:01:50.812]  But from what I know about these big tech heads, the little liberal fake front of a wimpy guy is a camouflage for something very predatory.
[02:01:52.774 --> 02:01:53.734]  It is, it is.
[02:01:53.734 --> 02:02:03.896]  I actually have the account to clean, like Facebook has a corporate suite in the Infinity Tower, and I go when they entertain people, I have that cleaning account.
[02:02:03.896 --> 02:02:17.159]  So by me stepping up, and let me just thank you for red-pilling me, because I was a crazy-ass liberal until I heard Alex Jones and your show, and David Knight and Owen Schroer.
[02:02:17.159 --> 02:02:20.360]  But the first and most pertinent thing is that I
[02:02:22.180 --> 02:02:24.803]  I have done nothing, like, publicly.
[02:02:24.803 --> 02:02:27.165]  My Twitter account is shut down.
[02:02:27.165 --> 02:02:29.266]  I want to be part of the Infowars army.
[02:02:29.266 --> 02:02:32.029]  I was one of the first responders.
[02:02:32.029 --> 02:02:39.095]  And Owen Schroyer says, to hook up with other people, go on Twitter and find someone in your area.
[02:02:39.095 --> 02:02:49.304]  I want one other conservative, just one other person, who's willing to take... I'm also an artist, so I've created some political pieces.
[02:02:50.064 --> 02:02:54.746]  To go and go with me, just one person in the Bay Area to go see.
[02:02:54.746 --> 02:02:58.048]  Well that's why they want to use social media control is not let us get together.
[02:02:58.048 --> 02:03:04.751]  Shosho, I don't want to get you in trouble and you kind of mentioned a lot of what the work you're doing so they may come after you, but I don't want you to get into specifics.
[02:03:04.751 --> 02:03:11.814]  It's just how can people, you know, they're trying to block email or how can people, you know, get a hold of you if they want to come do something with you?
[02:03:12.443 --> 02:03:14.264]  Well, OK, I went on.
[02:03:14.264 --> 02:03:17.786]  I just think that this is a very important point.
[02:03:17.786 --> 02:03:22.769]  I'm going to lose my business, but I have a little rental income and that's fine.
[02:03:22.769 --> 02:03:24.930]  You've stepped up to the plate.
[02:03:24.930 --> 02:03:26.171]  But it's not just you.
[02:03:26.171 --> 02:03:36.337]  It's it's patriotism, patriots throughout history who have literally laid their life down in order for us to have these freedoms.
[02:03:36.337 --> 02:03:36.537]  Now,
[02:03:37.848 --> 02:03:46.733]  Some of, I think, the most active individuals are going to be the people like myself, who were very, very liberal, and then get red-pilled.
[02:03:46.733 --> 02:03:48.094]  And I want to be clear.
[02:03:48.094 --> 02:03:51.056]  I think it's because you're still liberal, you're not a leftist.
[02:03:51.056 --> 02:03:51.936]  I keep saying liberal.
[02:03:51.936 --> 02:03:53.317]  There's liberal and there's leftists.
[02:03:53.317 --> 02:03:54.798]  The leftists are not liberals.
[02:03:54.798 --> 02:03:57.039]  So I keep using the term liberal should be leftist.
[02:03:57.039 --> 02:03:58.040]  I'm the one that's at fault.
[02:03:58.040 --> 02:04:01.662]  Have you seen Prager use a breakdown of liberal versus leftist?
[02:04:03.129 --> 02:04:06.893]  I haven't, but I... Well, it's liberals that built this country.
[02:04:06.893 --> 02:04:09.416]  It's not leftists, and that's how they've infused it.
[02:04:09.416 --> 02:04:12.178]  So I'm not correcting you, I'm correcting myself.
[02:04:12.178 --> 02:04:15.242]  Okay, well, I was a leftist, extreme leftist.
[02:04:15.242 --> 02:04:22.049]  My daughter, who's a major Bay Area social justice warrior, said she'd never talk to me again if I voted for Trump.
[02:04:22.731 --> 02:04:25.615]  So, yeah, there's things to lose here.
[02:04:38.951 --> 02:04:45.561]  With Matt Bracken, and I want to get his take on this, but we're already under martial law for the Stay Behind Network.
[02:04:45.561 --> 02:04:51.450]  I don't want martial law, but how does Trump stop a deep state that's already launched a civil emergency?
[02:04:51.450 --> 02:04:52.972]  We'll talk about it all straight ahead.
[02:04:52.972 --> 02:04:54.495]  This is critical.
[02:04:56.445 --> 02:04:58.766]  Fueling your body is hard work.
[02:04:58.766 --> 02:05:04.549]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[02:05:04.549 --> 02:05:12.973]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[02:05:12.973 --> 02:05:15.194]  There's no better way to power your body.
[02:05:15.714 --> 02:05:22.619]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[02:05:22.619 --> 02:05:33.087]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[02:05:33.767 --> 02:05:41.209]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[02:05:41.209 --> 02:05:47.370]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[02:05:47.370 --> 02:05:51.211]  Don't miss out on the chance to fuel your body and support recovery.
[02:05:51.211 --> 02:05:54.352]  Try the InfoWars Life Daily Digestive Pack today!
[02:06:02.955 --> 02:06:09.039]  Live from the Infowars.com studios, it's Alex Jones.
[02:06:09.039 --> 02:06:14.824]  You keep saying you've got something for me.
[02:06:14.824 --> 02:06:18.006]  Something you call love but confess.
[02:06:21.408 --> 02:06:32.473]  Alright, coming up next segment, Mike Adams has said emergency report, Trump planning mass arrest, military tribunals for deep state traders.
[02:06:32.473 --> 02:06:36.695]  It's not that we brought us to that point, that's, they're trying to overthrow the government.
[02:06:36.695 --> 02:06:48.181]  So how do you respond to, these aren't like regular bank robbers or regular child molesters, these are people in the FBI, in the CIA, in the Congress, in the media, that are planning total insurrection.
[02:06:48.181 --> 02:06:49.042]  So how do you counter that?
[02:06:49.864 --> 02:06:53.147]  I'm an expert on martial law.
[02:06:53.147 --> 02:06:54.228]  Clinton was trying to gear it up.
[02:06:54.228 --> 02:06:59.273]  I learned about it from federal employees and people, so that's why I was worried about it.
[02:06:59.273 --> 02:07:02.035]  People go, oh God, Jones used to be against martial law, now he loves it.
[02:07:02.035 --> 02:07:02.996]  No, I don't.
[02:07:02.996 --> 02:07:04.777]  Obama put us under it.
[02:07:04.777 --> 02:07:06.059]  It's coming up next segment.
[02:07:06.059 --> 02:07:12.124]  Anne, in California, you were saying that you work in and around Silicon Valley and see these people.
[02:07:12.124 --> 02:07:13.525]  You're talking about your daughters at SJW.
[02:07:14.960 --> 02:07:20.041]  And that she'd never talk to you again if she knew that you were going to vote for Trump since you recently woke up.
[02:07:20.041 --> 02:07:21.702]  Does she know what's going on?
[02:07:21.702 --> 02:07:24.843]  Because I mean, Trump's a classical liberal, not a leftist.
[02:07:24.843 --> 02:07:27.744]  Trump's all about freedom and openness and largesse.
[02:07:27.744 --> 02:07:32.425]  I mean, does she know that you've taken the red pill?
[02:07:32.425 --> 02:07:32.585]  Nope.
[02:07:35.033 --> 02:07:36.235]  Nobody does.
[02:07:36.235 --> 02:07:37.236]  Nobody does.
[02:07:37.236 --> 02:07:40.000]  But I'm ready to come out of the closet.
[02:07:40.000 --> 02:07:43.004]  I'm ready, like I said, I have some rental income.
[02:07:43.004 --> 02:07:46.969]  I'm ready to forfeit my, it's called Hannah's High End House Cleaning.
[02:07:46.969 --> 02:07:49.393]  Ah, ma'am, I'm not gonna get you in trouble.
[02:07:49.813 --> 02:07:51.314]  We're going to delete that, delay that.
[02:08:21.918 --> 02:08:24.022]  Well, it is as bad as you say.
[02:08:24.022 --> 02:08:27.931]  My daughter, she lives in Oakland, California, and Oakland is a whole lot worse.
[02:08:28.681 --> 02:08:44.296]  San Francisco's recently, the hotels have stomped on the homeless, so they forced the politicians to move the homeless out of the main tourist area.
[02:08:44.296 --> 02:08:53.224]  But Alex, I was in Union Square in San Francisco, which is a major tourist destination, and I was ready to get on our subway BART.
[02:08:54.331 --> 02:09:10.000]  And there was a person just shooting up a hypodermic needle and the police officer, I just witnessed the police officer say, okay, buddy, move it along, move it along, you know, not here, but there was no arrest or whatever.
[02:09:10.000 --> 02:09:13.662]  And, you know, probably they're opening up safe injection sites.
[02:09:16.165 --> 02:09:22.492]  Leftist cities are vampiric centers for pedophilia, heroin addicts, just death.
[02:09:22.492 --> 02:09:28.138]  And they're leftist areas to feed on all this and then use all the social service money.
[02:09:29.093 --> 02:09:30.914]  To make the politicians rich.
[02:09:30.914 --> 02:09:32.496]  And God bless you, I appreciate your call.
[02:09:32.496 --> 02:09:35.738]  Go to Infowarsarmy.com, send your email.
[02:09:35.738 --> 02:09:41.262]  All you gotta do is go put up a sign in public, or do something legal and lawful, and we'd love to try to work with you.
[02:09:41.262 --> 02:09:45.265]  I'm planning some prize money, too, because that made people so excited in 2016.
[02:09:45.265 --> 02:09:46.186]  So we'll see what happens.
[02:09:46.186 --> 02:09:48.147]  And I understand your excitement.
[02:09:48.147 --> 02:09:51.290]  But let's be careful not to dox you.
[02:09:52.649 --> 02:09:52.809]  Alex.
[02:09:52.809 --> 02:09:53.250]  Hey Alex.
[02:10:22.972 --> 02:10:24.813]  Hey, I got a question.
[02:10:24.813 --> 02:10:31.898]  When Rosenstein walked up to the White House like he did earlier, how come they just don't arrest him?
[02:10:31.898 --> 02:10:32.939]  They know he's a traitor.
[02:10:32.939 --> 02:10:35.821]  Well, here's the deal.
[02:10:37.441 --> 02:10:43.766]  They know that there's the illusion that he's this Justice Department person that the media worships.
[02:10:43.766 --> 02:10:48.871]  So they know Rosenstein already tried to quit to trick Trump into firing him.
[02:10:48.871 --> 02:10:52.554]  And so they're playing these super weird games right now.
[02:10:52.554 --> 02:10:55.997]  And so I think Trump did the right thing going, oh no, you're my buddy!
[02:10:55.997 --> 02:11:01.782]  You know, you resigned, the whole corporate media said you were gone, then you spun it that I fired you.
[02:11:01.782 --> 02:11:03.903]  It just shows the disarray of these people.
[02:11:03.903 --> 02:11:05.164]  You know, you ever heard the term
[02:11:06.095 --> 02:11:09.818]  You can't con an honest man, because they don't listen to scams.
[02:11:09.818 --> 02:11:11.519]  And that's how Trump is.
[02:11:11.519 --> 02:11:13.020]  None of it even works on him.
[02:11:13.020 --> 02:11:15.021]  He instantly sees through it.
[02:11:15.021 --> 02:11:18.164]  And so that's why all these lesser men say Trump's this idiot.
[02:11:18.164 --> 02:11:25.249]  No, because these people couldn't wipe their own white asses if it wasn't for being part of the establishment.
[02:11:26.747 --> 02:11:29.790]  Yeah, but the two sets of laws have got to stop.
[02:11:29.790 --> 02:11:38.678]  Somebody, if he doesn't take a stand, I've called the White House and I've told that lady that answers the phone that we got his back.
[02:11:38.678 --> 02:11:39.879]  Listen, Trump knows.
[02:11:39.879 --> 02:11:41.021]  Trump knows.
[02:11:41.021 --> 02:11:41.741]  Trump knows.
[02:11:41.741 --> 02:11:43.323]  That's why he's about to release the documents.
[02:11:43.323 --> 02:11:44.224]  They panicked.
[02:11:44.224 --> 02:11:46.986]  He gave them a week not to release them and now they're already freaking out.
[02:11:46.986 --> 02:11:47.407]  He has
[02:11:48.803 --> 02:11:50.525]  He has them dead to rights.
[02:11:50.525 --> 02:11:56.009]  These criminals are so arrogant, it's their mental illness, that they thought they ruled America.
[02:11:56.009 --> 02:12:08.000]  Even though their witch queen Hillary was gone and Obama was gone, they had stay-behind networks and funding through the Justice Department and CIA and through the Board of Governors of the FCC.
[02:12:08.000 --> 02:12:10.702]  So they believe they've got political power.
[02:12:10.702 --> 02:12:14.946]  Trump's showing they don't have real power to all the stay-behind networks right now.
[02:12:15.606 --> 02:12:17.847]  And don't worry, it's not just Project Veritas.
[02:12:17.847 --> 02:12:24.248]  As I told the New York Times a month ago, there's new video of big tech admitting censorship coming out.
[02:12:24.248 --> 02:12:26.728]  And it's not just Veritas that's doing it now.
[02:12:26.728 --> 02:12:31.089]  Patriots, now that they've pulled this on Trump the last few months, there's been a total release.
[02:12:31.089 --> 02:12:34.170]  And I'll go ahead and let them know because they already know.
[02:12:34.170 --> 02:12:39.711]  Trump has now released the military and the Patriots that are in the intelligence agencies on these people.
[02:12:39.711 --> 02:12:43.232]  So they're all being recorded, they're all being taped, they're all being set up right now.
[02:12:44.136 --> 02:12:48.197]  And like, you get around a conservative or a patriot, we're all about doing nothing wrong.
[02:12:48.197 --> 02:12:52.879]  You get around a leftist, their religion is being dirty and talking crap.
[02:12:52.879 --> 02:12:55.979]  You wonder how they can be so arrogant, like, I'll screw everyone over.
[02:12:55.979 --> 02:12:58.240]  Oh, F America!
[02:12:58.240 --> 02:13:00.101]  You're like, God, what the hell?
[02:13:00.101 --> 02:13:01.801]  That's who these people are.
[02:13:01.801 --> 02:13:04.842]  Imagine the worst people you know giving power.
[02:13:05.888 --> 02:13:07.910]  And so, all you gotta do is go tape them.
[02:13:07.910 --> 02:13:12.594]  We've got enough poison, politically, to destroy their whole system.
[02:13:12.594 --> 02:13:14.336]  Do we want to have to use it?
[02:13:14.336 --> 02:13:18.159]  And, we probably are going to.
[02:13:18.159 --> 02:13:19.761]  So, don't worry.
[02:13:19.761 --> 02:13:25.666]  The lethal injection for the Democrats, the needles are already loaded up, man, politically.
[02:13:25.666 --> 02:13:30.311]  So, you want to see them burn?
[02:13:30.311 --> 02:13:31.592]  We don't want to make this messy.
[02:13:33.627 --> 02:13:35.628]  If they want a mess, they're going to get one.
[02:13:35.628 --> 02:13:37.888]  Obama and all these co-kids.
[02:13:37.888 --> 02:13:42.330]  I mean, you know, Obama having sex with 10 dudes a day and like all the cocaine he uses.
[02:13:42.330 --> 02:13:45.370]  A total addict, a total mental patient.
[02:13:45.370 --> 02:13:49.952]  And he can barely talk now, like Bill Clinton, another child rapist.
[02:13:49.952 --> 02:13:51.312]  I mean, Obama doesn't rape kids, I'm told.
[02:13:51.312 --> 02:13:53.133]  He just likes 10 dudes a day, which is fine.
[02:13:53.133 --> 02:13:57.994]  The point is the cocaine and the drugs Obama takes, he's fried.
[02:13:57.994 --> 02:13:59.695]  And so he's just to the end of his rope.
[02:13:59.695 --> 02:14:00.895]  You know how that works.
[02:14:03.835 --> 02:14:05.316]  Alex, can I tell you one quick story?
[02:14:05.316 --> 02:14:09.318]  Yes, Eddie, go ahead.
[02:14:09.318 --> 02:14:12.139]  I have your pocket Constitution.
[02:14:12.139 --> 02:14:14.360]  I carry it with me.
[02:14:14.360 --> 02:14:19.282]  And I highlighted the emoluments section in it.
[02:14:19.282 --> 02:14:21.543]  And I gave it to my boss at work.
[02:14:21.543 --> 02:14:28.566]  And she literally stood up in a meeting, took the Constitution and threw it up against the wall and said,
[02:14:29.412 --> 02:14:34.081]  Trump shouldn't be allowed to own his own businesses while he's the president.
[02:14:35.160 --> 02:14:37.701]  And I just thought that was crazy and I wanted to tell you.
[02:14:37.701 --> 02:14:44.384]  Did you say, hey, Hillary got billions of dollars trading favors while the head of the State Department with her foundation.
[02:14:44.384 --> 02:14:45.004]  That's OK?
[02:14:45.004 --> 02:14:48.346]  Or stealing billions from the Haitians?
[02:14:48.346 --> 02:14:52.988]  Or Bono keeps 99% of the African aid money?
[02:14:52.988 --> 02:14:59.131]  I mean, if I was running an African aid charity and I took any money for it, I'd feel bad.
[02:14:59.131 --> 02:15:00.351]  Sure, you've got to pay for the charity.
[02:15:00.351 --> 02:15:01.792]  I mean, it might even be half the expenses.
[02:15:04.153 --> 02:15:10.039]  If I was at dinner on an African charity or anything else, and I was paying for dinner off the charity, I'd feel bad.
[02:15:10.039 --> 02:15:12.321]  I mean, what a jerk, man!
[02:15:12.321 --> 02:15:13.962]  But they hold him up like he's God.
[02:15:13.962 --> 02:15:14.543]  What do you say to that?
[02:15:16.019 --> 02:15:19.801]  Oh man, I said the same thing to her.
[02:15:19.801 --> 02:15:23.183]  I said, you let all these criminals steal.
[02:15:23.183 --> 02:15:25.584]  And she's just a big lib.
[02:15:25.584 --> 02:15:26.384]  Do you understand?
[02:15:26.384 --> 02:15:30.787]  They feel their personal power through the media and the system.
[02:15:30.787 --> 02:15:32.708]  Because they have something spiritually missing.
[02:15:32.708 --> 02:15:34.609]  Thank God you get it.
[02:15:34.609 --> 02:15:36.230]  Because seriously, none of us are perfect.
[02:15:36.230 --> 02:15:37.350]  But we get justice.
[02:15:37.350 --> 02:15:38.331]  We get fraud.
[02:15:38.331 --> 02:15:40.632]  We get where we are in the universe.
[02:15:40.632 --> 02:15:42.673]  And we see it.
[02:15:42.673 --> 02:15:44.214]  These people don't get it.
[02:15:44.214 --> 02:15:44.714]  They're lost.
[02:15:45.896 --> 02:15:48.918]  We'll be right back with Mike Adams with the biggest news ever.
[02:15:48.918 --> 02:15:51.719]  43 days out from the election.
[02:15:51.719 --> 02:15:52.760]  This is why they banned us.
[02:15:52.760 --> 02:15:55.161]  You don't want to hear, you don't want to stop this information.
[02:15:55.161 --> 02:15:57.782]  Hunters, anglers, campers, and survivalists.
[02:15:57.782 --> 02:15:58.903]  Get back to nature.
[02:15:58.903 --> 02:16:06.207]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[02:16:06.207 --> 02:16:08.988]  Slingbow products are compact and models start from just $17.98.
[02:16:10.129 --> 02:16:13.193]  They're perfect for your bug out bag or storing in your vehicle.
[02:16:13.193 --> 02:16:17.359]  Give yourself and your loved ones the excitement and tradition of Slingbow.
