[00:00.000 --> 00:04.000]  President Bush is speaking today about the new financial rescue package.
[55:31.000 --> 55:32.000]  Sure.
[55:32.000 --> 55:34.000]  They always have to have scapegoats.
[55:34.000 --> 55:36.000]  They can't send Henry Paul center.
[55:36.000 --> 55:40.000]  They can't send Fed chairman, Ben Bernanke or former Fed chairman who ran all this.
[55:40.000 --> 55:42.000]  Ron Paul, by the way, we can have a go on my show.
[55:42.000 --> 55:44.000]  Call for both of their arrest.
[55:44.000 --> 55:45.000]  That's up on info wars.com.
[55:45.000 --> 55:46.000]  You want to go watch that.
[55:46.000 --> 55:49.000]  But the point is, is they should be arrested instead.
[55:49.000 --> 55:54.000]  They'll take the new, I mean, I've seen O'Reilly on TV and he's definitely an operative saying,
[55:54.000 --> 55:58.000]  it is our job to basically get you and your bad Barney Frank.
[55:58.000 --> 56:06.000]  Now, Barney Frank was running in Maryland and he also got caught with some stuff in Florida running a huge
[56:06.000 --> 56:14.000]  three story townhouse filled with 14, 15, 16 year old underage male prostitutes.
[56:14.000 --> 56:15.000]  Okay.
[56:15.000 --> 56:18.000]  But I mean, why don't they talk about Dennis Hasterton and then, you know, the stuff with him.
[56:18.000 --> 56:23.000]  And they'll see, no, this is to be done selectively.
[56:23.000 --> 56:26.000]  This is to be done selectively.
[56:26.000 --> 56:35.000]  And so he came out, give a press coverage and he said, if I go down, I'm going to name names of who was visiting the brothel.
[56:35.000 --> 56:41.000]  Ladies and gentlemen, have you seen how many Homeland Security deputy directors and how many people have been caught with
[56:41.000 --> 56:48.000]  five year old kids and caught how many congressmen, you know, caught trying to go after underage kids and pages and the rest of it.
[56:48.000 --> 56:55.000]  But in some cases, four or five years old, you don't get in their club unless they have dirt on you and they don't trust you.
[56:55.000 --> 57:00.000]  Now, 30, 40 years ago, it was a small number in Congress, maybe 10%.
[57:00.000 --> 57:05.000]  Now a large portion of them and they can't control themselves.
[57:05.000 --> 57:12.000]  So they're in bathroom stalls, everywhere else, a large portion of them are part of a pedophile ring.
[57:12.000 --> 57:15.000]  I mean, folks, I stuck into Bohemian Grove.
[57:15.000 --> 57:16.000]  Okay.
[57:16.000 --> 57:19.000]  And you can see my film order of death on that.
[57:19.000 --> 57:25.000]  But it's mainstream news that Jets land with this male prostitutes, male porn stars, you name it.
[57:25.000 --> 57:28.000]  Remember Jeff Gannon over 100 visits after midnight at the White House.
[57:28.000 --> 57:30.000]  He was a White House correspondent Bush.
[57:30.000 --> 57:32.000]  Oh my God.
[57:32.000 --> 57:37.000]  Again, you have no idea, ladies and gentlemen, how much trouble we're really in here.
[57:37.000 --> 57:39.000]  All right, we'll be right back.
[57:39.000 --> 57:43.000]  Come back after the news to take more of your calls and break down the real financial situation.
[57:43.000 --> 57:45.000]  Hi, this is Ted Anderson.
[57:45.000 --> 57:50.000]  Over the years, Genesis Communications Network has grown by leaps and bounds reaching millions of listeners.
[57:50.000 --> 57:53.000]  The impact on political and social issues have been enormous.
[57:53.000 --> 57:57.000]  Businesses associated with the network have grown to become valuable enterprises.
[57:57.000 --> 58:03.000]  If you are accredited and have an entrepreneurial spirit, National Radio may be the opportunity you're looking for.
[58:03.000 --> 58:08.000]  Call me today at 877-996-4327, extension 101.
[58:08.000 --> 58:13.000]  For more information, that's 877-996-4327, extension 101.
[58:13.000 --> 58:15.000]  Looking for profit?
[58:15.000 --> 58:17.000]  Looking for safety and security?
[58:17.000 --> 58:20.000]  The $10 Olympic commemorative gold coin offers both.
[58:20.000 --> 58:28.000]  This low-mintage collector coin with a total-series-mintage under $600,000 has sold at four times its current price.
[58:28.000 --> 58:32.000]  Falling dollar values and inflation make this likely to happen again.
[58:32.000 --> 58:34.000]  Secure your position today.
[58:34.000 --> 58:38.000]  Call Mitus Resources at 1-800-686-2237.
[58:38.000 --> 58:43.000]  That's 1-800-686-2237.
[58:43.000 --> 58:44.000]  It's a fact.
[58:44.000 --> 58:47.000]  Since the creation of the Federal Reserve in 1913,
[58:47.000 --> 58:52.000]  all banks in these United States create money out of thin air for every single loan they issue.
[58:52.000 --> 58:56.000]  With never-ending late fees over the limit fees and higher and higher interest rates,
[58:56.000 --> 59:01.000]  it has become mathematically impossible to repay all debt, making all of us slaves to our creditors.
[59:01.000 --> 59:07.000]  The Federal Debt Relief System has created a successful attorney-backed program to legally eliminate credit card debt,
[59:07.000 --> 59:12.000]  personal loans, lines of credit and other unsecured debts which have been fraudulently created by the banks.
[59:12.000 --> 59:18.000]  Determinate your unsecured debt within 18 months with a much lower monthly payment, ending with nothing on your credit report.
[59:18.000 --> 59:23.000]  Join the thousands of Americans who now breathe with a sigh of relief because they have legally eliminated their debt.
[59:23.000 --> 59:28.000]  Instead of living each day in fear and frustration, it's time to take action and turn your life around.
[59:28.000 --> 59:32.000]  Call the Federal Debt Relief System at 877-943-8600.
[59:32.000 --> 59:37.000]  That's 877-943-8600 or visit FDRS.org.
[59:37.000 --> 59:40.000]  Find out how you can break the cycle of debt slavery.
[59:40.000 --> 59:43.000]  FDRS.org today.
[59:43.000 --> 59:46.000]  Tomorrow here in Austin and the Texas Parks and Wildlife.
[59:46.000 --> 59:51.000]  This is the GCN Radio Network, home to hard-hitting talk on the radio.
[59:51.000 --> 59:54.000]  KLBJ, Austin, Texas.
[59:57.000 --> 1:00:00.000]  I am falling behind Barack Obama in the polls.
[1:00:00.000 --> 1:00:04.000]  GOP Vice-Presidential candidate Sarah Palin went on the attack.
[1:00:04.000 --> 1:00:13.000]  Our opponent is someone who sees America as imperfect enough to pal around with terrorists who targeted their own country.
[1:00:13.000 --> 1:00:20.000]  At Saturday rallies, Palin pressed Democrat Barack Obama on his association with 60s radical Bill Ayers.
[1:00:20.000 --> 1:00:27.000]  But there is no evidence that Obama and Ayers were pals or even close when they worked on community boards years ago
[1:00:27.000 --> 1:00:31.000]  when Ayers hosted a political event for Obama early in his career.
[1:00:31.000 --> 1:00:34.000]  As for the rest of the story, here's correspondent Carlotta Bradley.
[1:00:34.000 --> 1:00:39.000]  Obama has said he was eight when the group was active and he has denounced Ayers' radical activities.
[1:00:39.000 --> 1:00:42.000]  Obama was campaigning in Virginia, saying John McCain's health care plan...
[1:00:42.000 --> 1:00:47.000] ...gives you a tax credit with one hand, but he raises your taxes with the other.
[1:00:47.000 --> 1:00:48.000]  I'm Carlotta Bradley.
[1:00:48.000 --> 1:00:51.000]  This is IRN-USA Radio News.
[1:00:51.000 --> 1:00:58.000]  Soriasis, the itching, flaking and irritation is painful, but the emotional suffering can be even more devastating.
[1:00:58.000 --> 1:01:01.000]  My body was so sore, my mind was so worn out, I could not sleep at night.
[1:01:01.000 --> 1:01:04.000]  I felt self-conscious, nobody knows what that flaking is.
[1:01:04.000 --> 1:01:06.000]  And people say, ew, it just made me feel like you're dirty.
[1:01:06.000 --> 1:01:08.000]  A lot of people know when I have this embarrassing.
[1:01:08.000 --> 1:01:11.000]  Of course I felt self-conscious, not very attractive to look at.
[1:01:11.000 --> 1:01:16.000]  The solution is new and improved, Skinsink Advanced, the number one OTC treatment for soriasis.
[1:01:16.000 --> 1:01:18.000]  Skinsink turned out to be the perfect answer.
[1:01:18.000 --> 1:01:23.000]  Skinsink has changed my life the third day I saw that my soriasis was disappearing.
[1:01:23.000 --> 1:01:26.000]  One week I noticed that the rashes on my arms were going away.
[1:01:26.000 --> 1:01:28.000]  In other words, my elbows are completely cleared up.
[1:01:28.000 --> 1:01:29.000]  You have to try it.
[1:01:29.000 --> 1:01:31.000]  Skinsink will make your soriasis go away.
[1:01:31.000 --> 1:01:33.000]  I think we're a Skinsink family for life.
[1:01:33.000 --> 1:01:39.000]  Call right now for your 30-day risk-free trial of Skinsink with hydronize 1-800-626-5203.
[1:01:39.000 --> 1:01:42.000]  That's 1-800-626-5203.
[1:01:42.000 --> 1:01:44.000]  Eliminate soriasis symptoms fast.
[1:01:44.000 --> 1:01:46.000]  Call 1-800-626-5203.
[1:01:46.000 --> 1:01:47.000]  Call now.
[1:01:47.000 --> 1:01:48.000]  Get relief.
[1:01:48.000 --> 1:01:50.000]  1-800-626-5203.
[1:01:50.000 --> 1:01:57.000]  Two sootherees interested in buying struggling Wacovia have decided to duke it out in court.
[1:01:57.000 --> 1:02:02.000]  City Group says it has won a court order, stalling Wells Fargo's buyout of Wacovia.
[1:02:02.000 --> 1:02:07.000]  City Group, reportedly, planned to purchase the struggling bank for more than $2 billion.
[1:02:07.000 --> 1:02:17.000]  But a $15 billion buyout by San Francisco-based Wells Fargo was announced Friday, just days after City Group announced a government-backed preliminary deal with Wacovia.
[1:02:17.000 --> 1:02:20.000]  Two financial institutions will settle a matter in court.
[1:02:20.000 --> 1:02:22.000]  Both are scheduled to appear on Friday in New York.
[1:02:22.000 --> 1:02:24.000]  Even a bribery scandal may not cost.
[1:02:24.000 --> 1:02:26.000]  To William Jefferson, his seat in Congress.
[1:02:26.000 --> 1:02:30.000]  He's the lead boat gutter in a Democratic primary for his New Orleans-based seat.
[1:02:30.000 --> 1:02:33.000]  A run-off against the second-place finisher will be held next month.
[1:02:33.000 --> 1:02:41.000]  A Texas sheriff says the national death toll from Hurricane Ike is up to 70 after two bodies were found near where the two storms came together.
[1:02:41.000 --> 1:02:45.000]  The two were found on an Ikevon-Bouth Coveson's devastated Bolliver Peninsula.
[1:02:45.000 --> 1:02:51.000]  For the latest news and analysis, log on to ironnews.com.
[1:03:15.000 --> 1:03:22.000]  Stay alert, stay focused, live clarity and clear, indoors and out.
[1:03:22.000 --> 1:03:27.000]  A raid on a house in the Iraqi city of Mosul has led to gunfire and an explosion.
[1:03:27.000 --> 1:03:31.000]  It killed 11 people, including five suspected militants and six Canadians.
[1:03:31.000 --> 1:03:37.000]  The United States military says troops were looking for a suspected militant when the man detonated his suicide vest.
[1:03:37.000 --> 1:03:46.000]  Hong Kong authorities say its tests have found that the amount of melamine in Britain's Cadbury chocolates and cookies exceed a safe level for human consumption.
[1:03:46.000 --> 1:03:54.000]  Two contaminated samples were among the list of 11 Chinese-made products being recalled in parts of Asia and the Pacific by the British candy maker.
[1:03:54.000 --> 1:04:01.000]  Europe's four major powers are working to do what they can to prevent Wall Street's turmoil from devastating their banking systems.
[1:04:01.000 --> 1:04:10.000]  The leaders of Germany, France, Britain and Italy met in a Paris summit as the European Union struggled to work out solutions to handle the crisis spreading there.
[1:04:10.000 --> 1:04:20.000]  Here at home, Ron Goldman's dad says he's absolutely thrilled about the prospect of O.J. Simpson spending the rest of his life in prison after his conviction on armed robbery and kidnapping charges.
[1:04:20.000 --> 1:04:26.000]  Fred Goldman told CNN prison is, in his words, where the scumbag belongs.
[1:04:26.000 --> 1:04:35.000]  Thousands of dead carp have seen California residents holding their noses while officials work to determine the cause of the die-off in Clear Lake, California.
[1:04:35.000 --> 1:04:39.000]  Trenches are being dug so residents can bury the fish and remember the smell.
[1:04:39.000 --> 1:04:45.000]  Sports notes, despite having baseball's best record, the Chicago Cubs are out of the National League Division series.
[1:04:45.000 --> 1:04:47.000]  The L.A. Dodgers beat them three to one.
[1:04:47.000 --> 1:04:51.000]  I'm Pete Lavalle, IRNUSA Radio News.
[1:04:51.000 --> 1:04:56.000]  I'm Dr. Bill Deagle, MD. I'm the Neutromatical Report here on Genesis.
[1:04:56.000 --> 1:05:00.000]  Allicin's National Antibiotic from Allamax Neutrocyticals U.S. is a real thing.
[1:05:00.000 --> 1:05:07.000]  This amazing molecule is a stabilized antimicrobial antipathogenic killer for a fresh, never-before-available garlic.
[1:05:07.000 --> 1:05:15.000]  Allicin's molecule is biologically active against all bacterial pathogens, viruses, fungi, parasites, TB, and it kills flesh in the bacteria, MRSA,
[1:05:15.000 --> 1:05:23.000]  beta-bacter infections, and ravage or everyday health. Taken daily, it removes these stealth pathogens, clearing our bodies of disease activators that cause chronic health issues
[1:05:23.000 --> 1:05:26.000]  and means a much higher level of wellness for you and your family.
[1:05:26.000 --> 1:05:33.000]  Order today for fighting disease, turning on your immune system, activating infection, fighting properties against sinus, lung, bowel, skin,
[1:05:33.000 --> 1:05:39.000]  Lyme disease, nail fungus, colds, flu, ringworm, gum disease, diarrhea, athletes' foot, and cholesterol.
[1:05:39.000 --> 1:05:45.000]  Our online ordering is available at Neutromatical.com or call 888-212-8871.
[1:05:45.000 --> 1:06:14.000]  Again, 888-212-8871 for the most powerful natural antimicrobial available.
[1:06:16.000 --> 1:06:33.000]  Continuing with open phones for the next hour, 877-590-5525, gets you up and on the air.
[1:06:33.000 --> 1:06:41.000]  I want to finish up with what I was talking about with Barney Frank and corruption in the Congress through Fannie Mae and Freddie Mac.
[1:06:41.000 --> 1:06:46.000]  Then I'm going to get into the basics of what's happening with the Banker Takeover Bill,
[1:06:46.000 --> 1:06:53.000]  known as the Banker Rescue Package or Banker Bailout, that was finally passed Friday.
[1:06:53.000 --> 1:07:01.000]  There's a lot of different facets to this, and I will go to Brandon, David, Keith, Forest, Dave, and many others that are patiently holding.
[1:07:01.000 --> 1:07:04.000]  What are they saying Barney Frank is in trouble for now?
[1:07:04.000 --> 1:07:09.000]  Not for 20 years ago, having a townhouse full of underage male prostitutes.
[1:07:09.000 --> 1:07:14.000]  Google that, it was mainstream news, Washington Post and national TV at the time,
[1:07:14.000 --> 1:07:19.000]  and he gave a press conference and he said, I'm going to name names for everybody else that's doing this, if this isn't dropped.
[1:07:19.000 --> 1:07:20.000]  And it was dropped.
[1:07:20.000 --> 1:07:22.000]  Didn't even deny it was going on.
[1:07:22.000 --> 1:07:32.000]  But instead, they're getting ready to burn him for reportedly hiring boyfriends and people to be in key positions at Fannie Mae and Freddie Mac.
[1:07:32.000 --> 1:07:40.000]  The government private cash machine, which connects the American taxpayers and have to bail out these mortgage lenders.
[1:07:40.000 --> 1:07:45.000]  There was ever a problem, including foreign banks that did it.
[1:07:45.000 --> 1:07:46.000]  Now, that's a perfect example.
[1:07:46.000 --> 1:07:54.000]  Barney Frank hiring one of his boyfriends to run things, and that's how these people have taken over.
[1:07:54.000 --> 1:08:01.000]  Now, it would be wrong if he hired a girlfriend to do it, but somehow it's bigoted and hateful to say he shouldn't be hiring boyfriends.
[1:08:01.000 --> 1:08:04.000]  Well, the point is that that's illegal.
[1:08:04.000 --> 1:08:14.000]  But what's more illegal is scapegoating him and claiming that as much as I hate him and I hate him, he's a bag of corruption.
[1:08:14.000 --> 1:08:18.000]  I'll say something else, but the point is these guys are all bad.
[1:08:18.000 --> 1:08:26.000]  But to blame him for everything as they're now doing and say, he took over the banking committee two years ago, and so it's all his fault.
[1:08:26.000 --> 1:08:36.000]  When the rules were changed in the early 90s and the completely changed in 1999 when Clinton had a few years left in office, and the Republicans went along with this.
[1:08:36.000 --> 1:08:46.000]  It's bipartisan to allow the private banks to be involved in brokerage and in stocks.
[1:08:46.000 --> 1:08:54.000]  There had always been laws against allowing financial institutions to basically invade other areas of the market.
[1:08:54.000 --> 1:08:57.000]  Because it reads so much corruption.
[1:08:57.000 --> 1:09:04.000]  That was changed in the 90s by partisan McCain was involved.
[1:09:04.000 --> 1:09:06.000]  Joe Biden was involved.
[1:09:06.000 --> 1:09:09.000]  That's why none of these guys can speak.
[1:09:09.000 --> 1:09:16.000]  In the last year, some of them have been shooting their mouths off acting like they were ahead of the problem because they knew that the Ponzi scheme was coming to an end.
[1:09:16.000 --> 1:09:27.000]  But you can't get into the committee chairman level unless you're involved in government narcotics trafficking, unless you're a former CIA or other intelligence operative,
[1:09:27.000 --> 1:09:39.000]  unless you have visited with hundreds of hookers at the Watergate, which to this day has a whole floor of hookers, another floor of gambling.
[1:09:39.000 --> 1:09:46.000]  That's why Porter Gossett to stand down to CIA chief, he was at these meetings that came out.
[1:09:46.000 --> 1:09:49.000]  Imagine free hookers, and I'm talking like $2,000 an hour.
[1:09:49.000 --> 1:09:57.000]  The best ones out there are basically free and they're provided by the defense contractors, by the oil companies, and they're just all these major hotels.
[1:09:57.000 --> 1:10:00.000]  I've been in D.C. quite a few times and I've gone to events.
[1:10:00.000 --> 1:10:09.000]  I mean, we went to just shoot video of the Watergate when I was there a few months ago to cover Bilderberg, and there was just perfect 10 hookers walking around everywhere.
[1:10:09.000 --> 1:10:13.000]  You know, just really gorgeous women.
[1:10:13.000 --> 1:10:21.000]  The Creme Dollar Creme of America all paid for with defense contractor money and others, which again is tax money.
[1:10:21.000 --> 1:10:26.000]  And you also saw all these military type guys going up and in and out.
[1:10:26.000 --> 1:10:33.000]  That's what the congressman liked particularly, so you saw the male prostitutes and you saw the female prostitutes, and they're just everywhere.
[1:10:33.000 --> 1:10:41.000]  And then we went to a restaurant in George County to tell him food and there were hookers coming into the bar and Mercedes pulling up with Secret Service to put them in and drive them off.
[1:10:41.000 --> 1:10:43.000]  I mean, just hookers everywhere.
[1:10:43.000 --> 1:10:45.000]  I mean, this is the type of corruption we're talking about.
[1:10:45.000 --> 1:10:54.000]  I mean, you're literally, when you're in the nice part of towns in New York or in D.C. or in L.A., there are just hookers everywhere.
[1:10:54.000 --> 1:10:57.000]  All the beauty queens, it's all there.
[1:10:57.000 --> 1:10:59.000]  The most beautiful ones aren't even in porn, folks.
[1:10:59.000 --> 1:11:04.000]  They are just $2,000, $3,000 an hour hookers.
[1:11:04.000 --> 1:11:11.000]  Now, I'm getting off into this instead of covering the fact that we have these same bankers totally imploding the economy right now.
[1:11:11.000 --> 1:11:23.000]  The point is Washington is so corrupt that these guys don't trust you until you have gone to these meetings and wallowed in the sex, the drugs, the gambling.
[1:11:23.000 --> 1:11:25.000]  That's another way they pay these congressmen off.
[1:11:25.000 --> 1:11:37.000]  They show up at these hotel rooms and private retreats and resorts in and around D.C. and Chantilly and areas of Maryland and D.C. itself, and they go, oh, congressman, here's $25,000 in chips.
[1:11:37.000 --> 1:11:46.000]  And these guys will go every night and get totally drunk with the lobbyist, with free chips, and then they like to go right upstairs.
[1:11:46.000 --> 1:11:49.000]  They purchase the hookers with the chips.
[1:11:49.000 --> 1:11:53.000]  Now, ladies and gentlemen, that's how this is done.
[1:11:53.000 --> 1:12:02.000]  And that's why you see what's happening now, because the few congressmen that aren't into pedophilia, and that's the leadership, because they've really shown they're corrupt.
[1:12:02.000 --> 1:12:10.000]  Well, the others are into gay prostitutes or heterosexual prostitution, or they're just into good old-fashioned payoffs.
[1:12:10.000 --> 1:12:20.000]  And then when they want to selectively go down to some congressman in Louisiana's house and find $100,000 of marked bills, they can go do it.
[1:12:20.000 --> 1:12:23.000]  Or when they want to destroy a Barney Frank, they can do it.
[1:12:23.000 --> 1:12:35.000]  But I tell you, if they do start burning Barney Frank or having a boyfriend working over Fannie Mae or something, we need to then understand that that's only the tip of the iceberg.
[1:12:35.000 --> 1:12:43.000]  And that that's how this works. That's how they recruit and get all their people into things.
[1:12:43.000 --> 1:12:47.000]  Like, we even got some video of the hookers last time we were in D.C.
[1:12:47.000 --> 1:12:55.000]  We might even, when I make a film about Bohemian Grove and about Scullin' Bones and all of it, how it ties into Bilderberg.
[1:12:55.000 --> 1:12:57.000]  We might just, I don't know, though.
[1:12:57.000 --> 1:13:00.000]  We got some shots of them getting in and out of the cars from the back.
[1:13:00.000 --> 1:13:02.000]  You know what, I'm just not even going to mess with it.
[1:13:02.000 --> 1:13:10.000]  That's kind of stuff gets you killed, but it's just unbelievable. Absolutely unbelievable.
[1:13:10.000 --> 1:13:14.000]  And can you imagine the special forces and the FBI and all these corrupt guys?
[1:13:14.000 --> 1:13:22.000]  It's like they caught, you know, the main sheriff in several sheriffs last year in Maryland running giant hooker rings.
[1:13:22.000 --> 1:13:24.000]  You know, the police are the ones that drive them around.
[1:13:24.000 --> 1:13:32.000]  Can you imagine how that corrupts these cops? Free meal money, whores, everything.
[1:13:32.000 --> 1:13:37.000]  And that's why we're in so much trouble, ladies and gentlemen, because the low level people are getting hundreds of thousands of dollars a year
[1:13:37.000 --> 1:13:43.000]  and all the free hookers they can imagine and free jet trips everywhere.
[1:13:43.000 --> 1:13:49.000]  Now, I've just blown this segment getting into that. I just wanted to finish up with it.
[1:13:49.000 --> 1:13:57.000]  So while you're going bankrupt, while you're losing your job, while your mortgage is plunging in value, remember,
[1:13:57.000 --> 1:14:01.000]  the boys are up there in Washington, D.C., like Rome.
[1:14:01.000 --> 1:14:04.000]  What happened in Rome? Same stuff. What happened with the Aztecs? Same stuff.
[1:14:04.000 --> 1:14:07.000]  What happened with the Nazis? Same stuff.
[1:14:07.000 --> 1:14:11.000]  Just partying, prostitutes, money, power.
[1:14:11.000 --> 1:14:17.000]  Imagine what it's like over in France where the government, the president, runs the five major networks.
[1:14:17.000 --> 1:14:21.000]  Well, they get all the film stars have to grovel to them to get on TV.
[1:14:21.000 --> 1:14:23.000]  That's how it was in East Germany.
[1:14:23.000 --> 1:14:29.000]  You had the Stasi running the film departments, running the plays, running the TV stars.
[1:14:29.000 --> 1:14:32.000]  I mean, that's what corrupt government's all about.
[1:14:32.000 --> 1:14:36.000]  These guys just don't want money and power. They want to be the controllers of the stars.
[1:14:36.000 --> 1:14:41.000]  They want to run the whole thing.
[1:14:41.000 --> 1:14:45.000]  So it's important to understand we're not in Kansas anymore.
[1:14:45.000 --> 1:14:50.000]  All right, now when we get back, I will briefly in one segment detail what's really happening
[1:14:50.000 --> 1:14:56.000]  with the banker, martial law, takeover operation and how this is going to affect you
[1:14:56.000 --> 1:15:00.000]  and what the economy and the market is going to look like in the future.
[1:15:00.000 --> 1:15:07.000]  I'm going to, again, tell you exactly what's going to happen, exactly what is going to happen
[1:15:07.000 --> 1:15:13.000]  unless you take action and we'll tell you how you can take action as well.
[1:15:13.000 --> 1:15:20.000]  But the key here is for many of you yuppies and good old boys and liberals and conservatives
[1:15:20.000 --> 1:15:25.000]  to realize you've been suckers, schmucks, and to realize there is a new world order,
[1:15:25.000 --> 1:15:29.000]  there is a corrupt military industrial complex, it is destroying our freedom,
[1:15:29.000 --> 1:15:32.000]  it is by design trying to destroy our economy, destroy the middle class
[1:15:32.000 --> 1:15:36.000]  so that their corruption can be secure so they can't ever be brought to justice.
[1:15:36.000 --> 1:15:40.000]  That's the goal of total tyranny, then they're safe from all their previous crimes
[1:15:40.000 --> 1:15:43.000]  and then they're safe in the future to commit even more crimes.
[1:15:43.000 --> 1:15:48.000]  See, they've passed the point of a return, they have to bring in total martial law.
[1:15:48.000 --> 1:16:11.000]  Stay with us, ladies and gentlemen, we'll be right back.
[1:16:19.000 --> 1:16:23.000]  Thieves are able to read information stored on these tags to steal your identity.
[1:16:23.000 --> 1:16:27.000]  RFID blocker is available as a wallet or passport case.
[1:16:27.000 --> 1:16:33.000]  Prospy.com also carries a wide variety of night vision cameras and scopes to see in the darkest conditions.
[1:16:33.000 --> 1:16:39.000]  Protect your home and business with our complete line of security cameras made to face any situation.
[1:16:39.000 --> 1:16:44.000]  Don't forget to order your personal security devices and shop for so much more.
[1:16:44.000 --> 1:16:50.000]  Go to prospy.com, prospy.com where your personal security and well-being is our goal.
[1:16:50.000 --> 1:16:52.000]  Honey, have you seen the remote?
[1:16:52.000 --> 1:16:54.000]  Sweetie, have you seen my car keys?
[1:16:54.000 --> 1:16:56.000]  I can't find my wallet.
[1:16:56.000 --> 1:17:00.000]  Sound familiar? Why not save time looking for lost things and lose the stress instead?
[1:17:00.000 --> 1:17:06.000]  Introducing our patented Find One Find All Keyfinders or FOFA XD for short.
[1:17:06.000 --> 1:17:09.000]  Once a FOFA keyfinder is attached to each of those easy to lose things,
[1:17:09.000 --> 1:17:12.000]  it can find and be found by all the rest.
[1:17:12.000 --> 1:17:16.000]  Use your wallet to find your keys, your keys to find the remote control,
[1:17:16.000 --> 1:17:19.000]  or any of them to find an uncharged or muted cell phone.
[1:17:19.000 --> 1:17:21.000]  The possibilities are endless.
[1:17:21.000 --> 1:17:26.000]  FOFA goes through walls, cushions and laundry baskets up to 30 feet and projects a clear 90 plus decibel beep.
[1:17:26.000 --> 1:17:28.000]  Got the remote!
[1:17:28.000 --> 1:17:30.000]  Oh, my keys.
[1:17:30.000 --> 1:17:32.000]  There's my wallet.
[1:17:32.000 --> 1:17:37.000]  Order your FOFA today with batteries included along with a 30-day money bag guarantee
[1:17:37.000 --> 1:17:42.000]  or Find One Find All at 866-245-8670.
[1:17:42.000 --> 1:17:45.000]  That's 866-245-8670.
[1:17:45.000 --> 1:17:48.000]  Or buy online at FindOneFindAll.com.
[1:17:48.000 --> 1:18:08.000]  Good day, Jim Newcomer from Midas Resources. October 3rd, 2008. Goal open this morning at 831-90.
[1:18:08.000 --> 1:18:14.000]  70% of China's one trillion reserves are in dollar, now purchasing 250,000 barrels of oil per day from Iran in Euro.
[1:18:14.000 --> 1:18:18.000]  Japanese refiners buy 550,000 barrels, switching dollar to yen.
[1:18:18.000 --> 1:18:19.000]  Bad news for U.S. currency.
[1:18:19.000 --> 1:18:21.000]  China and Japan hold large positions in dollar.
[1:18:21.000 --> 1:18:23.000]  Trading equals permanent loss.
[1:18:23.000 --> 1:18:25.000]  Dollars fall into 65% of Euro.
[1:18:25.000 --> 1:18:26.000]  Erosion accelerates.
[1:18:26.000 --> 1:18:29.000]  Countries despise imperialistic policy of U.S.
[1:18:29.000 --> 1:18:31.000]  Loss of confidence causing more selling.
[1:18:31.000 --> 1:18:33.000]  GAO is warning about the debt spiraling out of control.
[1:18:33.000 --> 1:18:34.000]  Why attack Iran?
[1:18:34.000 --> 1:18:35.000]  Jerome O'Corsies.
[1:18:35.000 --> 1:18:39.000]  Iran leads attack against the U.S. dollar document spells it out.
[1:18:39.000 --> 1:18:41.000]  Call 800-686-2237.
[1:18:41.000 --> 1:18:45.000]  The value of your hard-earned money is being destroyed in a global game of chess.
[1:18:45.000 --> 1:18:48.000]  Call 800-686-2237 for Corsies Report today.
[1:18:48.000 --> 1:18:51.000]  That's 800-686-2237.
[1:18:51.000 --> 1:18:57.000]  Did you know that pH balance is one of the most important factors in maintaining high energy and vibrant health?
[1:18:57.000 --> 1:19:02.000]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[1:19:02.000 --> 1:19:07.000]  Plasma pH drops combine a unique formula of the most alkaline minerals and elements.
[1:19:07.000 --> 1:19:10.000]  This product is a one-of-a-kind in its strength and effectiveness.
[1:19:10.000 --> 1:19:15.000]  Using plasma pH drops is one of the best ways to make your water alkaline
[1:19:15.000 --> 1:19:19.000]  while helping you get rid of acid and regaining your health and energy.
[1:19:19.000 --> 1:19:25.000]  With just 10 drops, you can raise the pH level of the water you drink up to the pH of 10.
[1:19:25.000 --> 1:19:28.000]  Alkalizing water helps the body rid itself of acidic waste
[1:19:28.000 --> 1:19:31.000]  and increases the oxygen content of your body.
[1:19:31.000 --> 1:19:36.000]  Disease organisms like bacteria and cancer cannot survive in an alkaline environment.
[1:19:36.000 --> 1:19:42.000]  Order your bottle of AlkaVision Plasma pH drops now by going directly to AlkaVision.com.
[1:19:42.000 --> 1:19:50.000]  That's A-L-K-A-Vision.com or call 269-344-3420 today.
[1:19:51.000 --> 1:19:54.000]  Thank you for listening to GCN.
[1:19:54.000 --> 1:20:04.000]  Visit GCNLive.com today.
[1:20:25.000 --> 1:20:28.000]  We will slice you apart.
[1:20:28.000 --> 1:20:32.000]  Yeah, I'm a cool cool blonde.
[1:20:32.000 --> 1:20:35.000]  I move like a cat.
[1:20:35.000 --> 1:20:38.000]  And once I get your name,
[1:20:38.000 --> 1:20:42.000]  well, you might not.
[1:20:47.000 --> 1:20:51.000]  That kill tyranny.
[1:20:51.000 --> 1:20:54.000]  That kill corruption.
[1:20:54.000 --> 1:20:58.000]  Coming on like a hurricane, baby.
[1:20:58.000 --> 1:21:04.000]  This transmission has the attack profile that kills tyranny.
[1:21:06.000 --> 1:21:09.000]  Yeah, she's moving through.
[1:21:09.000 --> 1:21:12.000]  She keeps her motor clean.
[1:21:16.000 --> 1:21:19.000]  She's a number 13.
