[00:00:25.865 --> 00:00:26.705]  The year is 2020.
[00:48:23.608 --> 00:48:24.128]  It's global.
[00:48:24.128 --> 00:48:25.609]  It's here to get rid of the nation.
[00:48:25.609 --> 00:48:29.131]  But here's the clip of Nick Fuentes, then we'll get Owen Troyer's take on this.
[00:48:31.834 --> 00:48:41.317]  In the first Million MAGA March, we promised that if the GOP would not do everything in their power to keep Trump in office, that we would destroy the GOP.
[00:48:41.317 --> 00:48:48.199]  And as we gather here in Washington D.C.
[00:48:48.199 --> 00:48:52.360]  for a second Million MAGA March, we're done making promises.
[00:48:52.360 --> 00:48:54.421]  It has to happen now.
[00:48:54.421 --> 00:48:55.961]  We are going to destroy
[00:49:02.505 --> 00:49:03.946]  Let's go!
[00:49:03.946 --> 00:49:04.606]  Let's go!
[00:49:04.606 --> 00:49:06.207]  Destroy the GOP!
[00:49:06.207 --> 00:49:07.727]  Destroy the GOP!
[00:49:07.727 --> 00:49:09.508]  Destroy the GOP!
[00:49:09.508 --> 00:49:11.229]  Destroy the GOP!
[00:49:11.229 --> 00:49:12.870]  Destroy the GOP!
[00:49:12.870 --> 00:49:14.550]  Destroy the GOP!
[00:49:14.550 --> 00:49:16.231]  Destroy the GOP!
[00:49:16.231 --> 00:49:17.972]  Destroy the GOP!
[00:49:17.972 --> 00:49:19.652]  Destroy the GOP!
[00:49:19.652 --> 00:49:26.615]  The GOP wants us to hold the line and vote for rhinos like David Perdue and Kelly Loeffler in New Jersey!
[00:49:32.472 --> 00:49:34.193]  Nick Fuentes is a smart guy.
[00:49:34.193 --> 00:49:35.094]  I like Nick Fuentes.
[00:49:35.094 --> 00:49:36.595]  I think his heart's in the right place.
[00:49:36.595 --> 00:49:38.617]  And I'm not saying he's wrong.
[00:49:38.617 --> 00:49:46.563]  I think we should destroy the RINO establishment GOP and get more Trumpists, more Nationalists, more Infowarriors elected.
[00:49:46.563 --> 00:49:47.944]  I think that's the answer.
[00:49:47.944 --> 00:49:51.807]  I've seen Twitter and others not blocking videos like this because they kind of want to drive a wedge.
[00:49:51.807 --> 00:49:53.989]  But just because they think it drives a wedge, I don't think it does.
[00:49:53.989 --> 00:49:55.871]  I think we say we take over the GOP.
[00:49:57.025 --> 00:50:03.030]  You know, I think that people just tend to forget that the Republican Party didn't want Trump four years ago.
[00:50:03.030 --> 00:50:13.519]  And so it's kind of this, you know, after they pretended to like Trump or made some deals with Trump, you know, now we're in this place where we realize, oh, wait, they never had our back to begin with.
[00:50:13.519 --> 00:50:15.501]  Trump's nominees in the Supreme Court stabbed us.
[00:50:15.501 --> 00:50:18.243]  The Republican Party is letting the Democrats steal the election.
[00:50:18.243 --> 00:50:21.706]  So I think it's a matter of that reminder that the Republican Party tried to reject Trump.
[00:50:22.393 --> 00:50:22.813]  That's right.
[00:50:44.148 --> 00:50:47.770]  They bid their time and claim they were for Trump because of the support.
[00:50:47.770 --> 00:51:02.577]  So I think we destroy the neocons and the globalist Republican Party, but we make our main focus on the Democrats and on the Senate seats in Georgia and on taking control of the House and Senate and removing rhinos and removing neocons and putting populist patriots in.
[00:51:02.577 --> 00:51:05.119]  And that goes for Democrats too, like Tulsi Gabbards or others.
[00:51:05.119 --> 00:51:09.661]  If people want to be more populist and liberal, they should be supported in districts that are going to go Democrat anyways.
[00:51:09.661 --> 00:51:11.542]  We should have a takeover of populism.
[00:51:12.122 --> 00:51:13.924]  In the Democratic Party and the Republican Party.
[00:51:13.924 --> 00:51:14.445]  Owen?
[00:51:14.445 --> 00:51:17.189]  Yeah, there have been a couple of Democrats that even switched Republican.
[00:51:17.189 --> 00:51:19.391]  Vernon Jones is obviously one of the big ones.
[00:51:19.391 --> 00:51:20.753]  There was another one on the East Coast.
[00:51:20.753 --> 00:51:21.854]  I forget the gentleman's name.
[00:51:21.854 --> 00:51:29.885]  So, I think that populism and just really just logic and common sense is what needs to rue the day for whatever party wants to be successful into the future.
[00:51:30.421 --> 00:51:31.061]  That's right.
[00:51:31.061 --> 00:51:33.462]  I'm going to ask Nick Fuentes right now, as soon as we stop here.
[00:51:33.462 --> 00:51:36.944]  I'm going to call him and say, please come on the Monday show, because I wanted to run into him while I was here.
[00:51:36.944 --> 00:51:38.765]  I miss Roger Stone and him.
[00:51:38.765 --> 00:51:39.765]  But hey, we're not a cult.
[00:51:39.765 --> 00:51:41.246]  We don't all agree with the exact same thing.
[00:51:41.246 --> 00:51:42.706]  We're all going in the same direction.
[00:51:42.706 --> 00:51:44.767]  Freedom, liberty, you know, a pro-human future.
[00:51:44.767 --> 00:51:50.129]  But those that are attacking Fuentes for saying this, hey, the Republican Party establishments the enemy.
[00:51:50.129 --> 00:51:52.370]  And people that want to destroy them are the good guys.
[00:51:52.370 --> 00:51:54.711]  You can differ on what does that destruction mean?
[00:51:54.711 --> 00:51:55.972]  I mean to take it over.
[00:51:56.332 --> 00:51:57.053]  I'm Alex Jones.
[00:51:57.053 --> 00:51:59.435]  This is InfoWars.com and NewsWars.com.
[00:51:59.435 --> 00:52:01.196]  And now Harrison Smith takes over.
[00:52:01.196 --> 00:52:01.617]  Stay with us.
[00:52:03.305 --> 00:52:27.722]  Welcome ladies and gentlemen this is Harrison Smith taking over for Alex Jones who is right now in Washington DC with a who's who a full cast of right-wing dissidents of true American patriots there celebrating the Trump victory which is really what it was and there's still several paths towards victory that Trump is going to take one of these being sort of the final parachute pull of
[00:52:28.462 --> 00:52:28.862]  I think?
[00:52:53.252 --> 00:52:54.032]  We're good to go.
[00:53:21.002 --> 00:53:48.303]  People who were there showing their support for the president, because I don't know if you remember this, I know so much happens that it's sometimes impossible to cast your mind back into the far distant past of just a few weeks ago, when the Million MAGA March, as it was wrapping up, as the sun was going down, suddenly out from the shadows, from the alleys and the underways of Washington DC, crawled Antifa and Black Lives Matter, these mask-clad, black-wearing
[00:53:49.488 --> 00:53:55.010]  Terrorists coming out to attack and bash and yell at and stab.
[00:53:55.010 --> 00:54:04.295]  I mean, just all-out anarchy to absolutely destroy the peaceful protesters that were there protesting to stop the steal for the Million Maga March.
[00:54:04.295 --> 00:54:05.615]  That didn't happen last night.
[00:54:05.615 --> 00:54:18.861]  Last night, those terrorists, those evil scumbags who were around attacking families and elderly people and young couples, who were all there, just absolutely
[00:54:20.595 --> 00:54:27.338]  Terrorizing everybody involved in the Million Maga March several weeks ago, well now they had a defense force.
[00:54:27.338 --> 00:54:28.539]  Now they had backup.
[00:54:28.539 --> 00:54:35.162]  Now the Proud Boys were there to make sure that those innocent protesters were not targeted by Black Lives Matter.
[00:54:35.162 --> 00:54:39.004]  I think all four of these people who have been stabbed are still in critical condition.
[00:54:39.004 --> 00:54:39.785]  Cops made at least 23 arrests.
[00:54:42.056 --> 00:54:44.878]  During the event, it was a massive, massive showing.
[00:54:44.878 --> 00:54:48.239]  You had Michael Flynn, Alex Jones, Enrique Tarrio of the Proud Boys.
[00:54:48.239 --> 00:54:54.303]  I mean, everybody who's anybody on this side, not even just this side of the aisle, this side of this side of the aisle.
[00:54:54.303 --> 00:55:01.246]  If you've got the aisle down the middle, that's the left and the right of the Democrats and the Republicans, there's still a distinct divide between the
[00:55:03.015 --> 00:55:22.427]  Blue blood establishment Republicans, the respectable Republicans who will very respectably go down with the ship, who will very respectably allow the Democrats to cheat them out of a country, versus the pro-America, America first, dissident right.
[00:55:22.427 --> 00:55:26.750]  And that's the Alex Joneses, that's the Nick Fuenteses, the Roger Stones, the Donald J. Trumps.
[00:55:27.853 --> 00:55:28.333]  of the party.
[00:55:53.464 --> 00:55:55.967]  From whichever crowd he's getting in front of.
[00:55:55.967 --> 00:55:59.571]  This is something unprecedented and it's for one simple reason.
[00:55:59.571 --> 00:56:01.533]  It's because Alex Jones tells the truth.
[00:56:01.533 --> 00:56:13.105]  Because we here at InfoWars have done everything we can to reveal the lies and destroy the plans of the globalists to put us under a worldwide system of total control.
[00:56:13.105 --> 00:56:14.186]  And people who are aware
[00:56:15.213 --> 00:56:15.734]  We're good to go.
[00:56:33.257 --> 00:56:35.538]  I had a write-up recently in the Austin Chronicle.
[00:56:35.538 --> 00:56:39.559]  They're quoting the ADL and they're calling me a racist, an anti-Semite.
[00:56:39.559 --> 00:56:44.581]  They say my toxic rage targets blacks and the LGBT.
[00:56:44.581 --> 00:56:45.662]  None of this is true.
[00:56:45.662 --> 00:56:49.043]  And my family sees this and they go, what the hell is going on here?
[00:56:49.043 --> 00:56:50.723]  Why are they calling you all of these things?
[00:56:50.723 --> 00:56:51.604]  This is horrible.
[00:56:51.604 --> 00:56:55.065]  It's like I have to remind them I'm an enemy of the state.
[00:56:55.065 --> 00:56:57.886]  Not the American state, not the United States.
[00:56:57.886 --> 00:56:59.727]  I'm not an enemy of patriots.
[00:56:59.727 --> 00:57:00.447]  I'm not an enemy of
[00:57:01.499 --> 00:57:26.381]  Those that want to do good and want to uphold our constitutional republic, but I am an enemy of the subversive state, of the global state, of the world organization, the World Health Organization, and the UN, and the ADL, and the SPLC, and all of these non-governmental organizations that are telling our government what to do, telling our government who to censor, and controlling our big tech and everybody else that's circumventing our freedoms.
[00:57:27.282 --> 00:57:29.124]  So, it's an interesting position to be in.
[00:57:29.124 --> 00:57:35.791]  Here I am, not a racist, not an anti-Semite, love women, love men, love everybody, and yet I'm an enemy of the state.
[00:57:35.791 --> 00:57:38.655]  And that's just what you have to deal with, I guess, as a patriotic American.
[00:57:38.655 --> 00:57:40.557]  The good news is, that's turning around.
[00:57:40.557 --> 00:57:45.282]  The good news is, we are rapidly approaching that critical mass.
[00:57:45.282 --> 00:57:46.863]  That means victory is assured.
[00:57:46.863 --> 00:57:47.544]  Stay with us, folks.
[00:57:47.544 --> 00:57:48.906]  Second Hour begins in one minute.
[00:57:50.506 --> 00:58:01.132]  During our war for independence, during some of the darkest days, Thomas Jefferson, the man credited with writing our Declaration of Independence and much of our Constitution later, said, look, this is not going to be an easy fight.
[00:58:01.132 --> 00:58:05.354]  We're not going to be transported to liberty on a bed of feathers.
[00:58:05.354 --> 00:58:10.897]  No, ladies and gentlemen, we've actually had incredible successes with Donald Trump and Bolsonaro.
[00:58:11.377 --> 00:58:12.619]  And the liberty movement worldwide.
[00:58:12.619 --> 00:58:16.863]  We're going to have major setbacks, but there is a giant awakening happening.
[00:58:16.863 --> 00:58:26.054]  That's where the globals have gone ahead and launched their great reset, global collapse, worldwide social credit score, tracking app, microchip, forced inoculation, take over now.
[00:58:26.054 --> 00:58:28.357]  Because if they don't force it now, they're never going to get it.
[00:58:28.797 --> 00:58:30.678]  So, InfoWars has never been more critical.
[00:58:30.678 --> 00:58:32.419]  I want to thank you all for your support.
[00:58:32.419 --> 00:58:36.661]  And I want to encourage you to do your Christmas shopping now at InfoWarsStore.com.
[00:58:36.661 --> 00:58:40.463]  If we ship your order out by the 18th, the Puzzle Service says you will get it before Christmas.
[00:58:40.463 --> 00:58:45.906]  So get those orders in at InfoWarsStore.com and know that you're investing in freedom and liberty and justice while getting great products.
[00:58:45.906 --> 00:58:47.107]  Thanks for your support.
[00:58:47.107 --> 00:58:48.568]  Please shop at InfoWarsStore.com.
[00:58:55.257 --> 00:58:58.260]  It's been said that you should strike while the iron is hot.
[00:58:58.260 --> 00:59:00.963]  Well, InfoWars is white hot right now.
[00:59:00.963 --> 00:59:06.468]  World government, globalist forces trying to take over the United States is mainstream news.
[00:59:06.468 --> 00:59:09.170]  And InfoWars credibility has gone through the roof.
[00:59:09.170 --> 00:59:14.435]  That's why now is the time to contact local radio, TV, and cable stations.
[00:59:14.435 --> 00:59:16.037]  If you don't have an affiliate in your area already,
[00:59:16.557 --> 00:59:25.366]  And to send them to InfoWars.com forward slash affiliates and say, pick up Alex Jones, pick up Owen Schroeder, pick up David Knight, pick up our other great programs.
[00:59:25.366 --> 00:59:26.687]  They're free to air.
[00:59:26.687 --> 00:59:30.491]  If you're on TV or you're on cable, you can cover up all the commercials for yourself.
[00:59:30.491 --> 00:59:31.592]  No contracts needed.
[00:59:31.592 --> 00:59:33.574]  This is your authorization stations.
[00:59:33.574 --> 00:59:35.556]  Pick up the InfoWars feed right now.
[00:59:35.556 --> 00:59:40.741]  All the affiliates, the satellites, it's all linked at InfoWars.com forward slash affiliates.
[00:59:41.081 --> 00:59:53.316]  Go to the local stations, call them, email them, and send them the link to InfoWars.com forward slash affiliate and tell them we're free to air, no contracts, just pick us up.
[00:59:53.316 --> 00:59:56.000]  You're listening to the Alex Jones Show.
[00:59:59.588 --> 01:00:00.209]  We've got it.
[01:00:00.209 --> 01:00:06.714]  This transmission is coming to you.
[01:00:06.714 --> 01:00:11.098]  Waging war on corruption.
[01:00:11.098 --> 01:00:16.764]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[01:00:32.236 --> 01:00:46.362]  Patriots marched and spoke at the Stop the Steal rally in Washington, D.C., knowing that the glue that held America together had disintegrated after the betrayal of the Supreme Court decision, which blatantly ignored our constitutional republic.
[01:01:19.535 --> 01:01:21.035]  USA!
[01:01:21.035 --> 01:01:22.436]  USA!
[01:01:22.436 --> 01:01:31.578]  Americans from all walks of life, many who fought in foreign wars for this country, protested against all of the propaganda skewing their message.
[01:01:31.578 --> 01:01:33.639]  So it's amazing to be here in D.C.
[01:01:33.639 --> 01:01:42.721]  today, standing up for the President of the United States, saying we will not bow to the propaganda that the mainstream media keeps pushing down our throat.
[01:01:42.721 --> 01:01:44.041]  We will not bow.
[01:01:44.041 --> 01:01:46.822]  We want the truth.
[01:01:48.160 --> 01:01:49.682]  And stop the steal!
[01:01:49.682 --> 01:01:53.045]  They are trying to steal!
[01:01:53.045 --> 01:01:59.131]  They are trying to steal this country, not just from the President, but from us.
[01:01:59.619 --> 01:02:11.771]  The Smug Left came out in droves on Twitter, some calling for the arrest of Alex Jones for saying something countless Mockingbird Media pundits and celebrities had been saying for the past four years.
[01:02:11.771 --> 01:02:15.454]  When was the last time an actor assassinated a president?
[01:02:15.454 --> 01:02:17.056]  I want to clarify, I'm not an actor.
[01:02:18.849 --> 01:02:20.470]  Let me give you one bottom line.
[01:02:20.470 --> 01:02:23.532]  As a former government official, government's gonna kill this guy.
[01:02:23.532 --> 01:02:31.977]  As expected, the goons of radical socialism brought their brainwashed, useful, idiot monotony to the patriots who had taken the gloves off.
[01:02:31.977 --> 01:02:40.142]  Local police tried repeatedly to separate the patriots and the communists, and as the night wore on, that became increasingly more difficult to do.
[01:02:40.142 --> 01:02:42.343]  Yo, what the f***?
[01:02:48.666 --> 01:02:49.086]  Hey!
[01:02:49.086 --> 01:02:50.067]  Get down!
[01:02:50.067 --> 01:02:50.808]  Get down!
[01:02:50.808 --> 01:02:52.650]  We got your shields!
[01:02:52.650 --> 01:02:52.830]  USA!
[01:02:52.830 --> 01:02:53.190]  USA!
[01:02:53.190 --> 01:02:53.350]  USA!
[01:02:53.350 --> 01:02:53.751]  USA!
[01:02:53.751 --> 01:02:54.171]  USA!
[01:02:54.171 --> 01:02:54.331]  USA!
[01:02:54.331 --> 01:02:54.611]  USA!
[01:02:54.611 --> 01:02:54.691]  USA!
[01:02:54.691 --> 01:02:54.791]  USA!
[01:02:54.791 --> 01:02:54.872]  USA!
[01:02:54.872 --> 01:02:54.972]  USA!
[01:02:54.972 --> 01:02:55.052]  USA!
[01:02:55.052 --> 01:02:55.132]  USA!
[01:02:55.132 --> 01:02:55.232]  USA!
[01:02:55.232 --> 01:02:55.312]  USA!
[01:02:55.312 --> 01:02:55.412]  USA!
[01:02:55.412 --> 01:02:55.492]  USA!
[01:02:55.492 --> 01:02:55.572]  USA!
[01:02:55.572 --> 01:02:55.692]  USA!
[01:02:55.692 --> 01:02:55.792]  USA!
[01:02:55.792 --> 01:02:55.872]  USA!
[01:02:55.872 --> 01:02:55.953]  USA!
[01:02:55.953 --> 01:02:56.033]  USA!
[01:02:56.033 --> 01:02:56.133]  USA!
[01:02:56.133 --> 01:02:56.213]  USA!
[01:02:56.213 --> 01:02:56.293]  USA!
[01:02:56.293 --> 01:02:56.373]  USA!
[01:02:56.373 --> 01:02:56.453]  USA!
[01:02:56.453 --> 01:02:56.533]  USA!
[01:02:56.533 --> 01:02:56.613]  USA!
[01:02:56.613 --> 01:02:56.693]  USA!
[01:02:56.693 --> 01:02:56.773]  USA!
[01:02:56.773 --> 01:02:56.953]  USA!
[01:02:56.953 --> 01:02:57.053]  USA!
[01:02:57.053 --> 01:02:57.134]  USA!
[01:02:57.134 --> 01:02:57.534]  USA!
[01:02:57.534 --> 01:02:57.694]  USA!
[01:02:57.694 --> 01:02:57.834]  USA!
[01:02:57.834 --> 01:02:57.974]  USA!
[01:02:57.974 --> 01:02:58.154]  USA!
[01:02:58.154 --> 01:02:58.315]  USA!
[01:02:58.315 --> 01:02:58.695]  USA!
[01:02:58.695 --> 01:02:58.895]  USA!
[01:02:58.895 --> 01:02:59.135]  USA!
[01:02:59.135 --> 01:02:59.295]  USA!
[01:02:59.295 --> 01:02:59.436]  USA!
[01:02:59.436 --> 01:02:59.536]  USA!
[01:02:59.536 --> 01:02:59.856]  USA!
[01:02:59.856 --> 01:03:00.056]  USA!
[01:03:00.056 --> 01:03:00.356]  USA!
[01:03:00.356 --> 01:03:00.457]  USA!
[01:03:00.457 --> 01:03:00.677]  USA!
[01:03:00.677 --> 01:03:00.797]  USA!
[01:03:00.797 --> 01:03:00.997]  USA!
[01:03:00.997 --> 01:03:01.197]  USA!
[01:03:01.197 --> 01:03:01.377]  USA!
[01:03:01.377 --> 01:03:01.517]  USA!
[01:03:01.517 --> 01:03:01.618]  USA!
[01:03:01.618 --> 01:03:01.838]  USA!
[01:03:01.838 --> 01:03:02.338]  USA!
[01:03:02.338 --> 01:03:02.458]  USA!
[01:03:02.458 --> 01:03:02.598]  USA!
[01:03:02.598 --> 01:03:02.779]  USA!
[01:03:02.779 --> 01:03:02.919]  USA!
[01:03:02.919 --> 01:03:03.119]  USA!
[01:03:03.119 --> 01:03:03.459]  USA!
[01:03:03.459 --> 01:03:03.639]  USA!
[01:03:03.639 --> 01:03:03.779]  USA!
[01:03:03.779 --> 01:03:03.920]  USA!
[01:03:03.920 --> 01:03:04.060]  USA!
[01:03:04.060 --> 01:03:04.140]  USA!
[01:03:04.140 --> 01:03:04.220]  USA!
[01:03:04.220 --> 01:03:04.300]  USA!
[01:03:04.300 --> 01:03:04.440]  USA!
[01:03:04.440 --> 01:03:04.560]  USA!
[01:03:04.560 --> 01:03:04.700]  USA!
[01:03:04.700 --> 01:03:04.780]  USA!
[01:03:04.780 --> 01:03:04.880]  USA!
[01:03:04.880 --> 01:03:05.021]  USA!
[01:03:05.021 --> 01:03:05.181]  USA!
[01:03:05.181 --> 01:03:05.301]  USA!
[01:03:05.301 --> 01:03:05.421]  USA!
[01:03:05.421 --> 01:03:05.521]  USA!
[01:03:05.521 --> 01:03:05.681]  USA!
[01:03:05.681 --> 01:03:05.761]  USA!
[01:03:05.761 --> 01:03:05.881]  USA!
[01:03:05.881 --> 01:03:06.102]  USA!
[01:03:06.102 --> 01:03:06.202]  USA!
[01:03:06.202 --> 01:03:06.362]  USA!
[01:03:06.362 --> 01:03:06.462]  USA!
[01:03:06.462 --> 01:03:06.542]  USA!
[01:03:06.542 --> 01:03:06.642]  USA!
[01:03:06.642 --> 01:03:06.782]  USA!
[01:03:06.782 --> 01:03:06.882]  USA!
[01:03:06.882 --> 01:03:06.962]  USA!
[01:03:06.962 --> 01:03:07.082]  USA!
[01:03:07.082 --> 01:03:07.183]  USA!
[01:03:07.183 --> 01:03:07.363]  USA!
[01:03:07.363 --> 01:03:07.563]  USA!
[01:03:07.563 --> 01:03:07.803]  USA!
[01:03:07.803 --> 01:03:10.986]  USA!
[01:03:10.986 --> 01:03:11.126]  USA!
[01:03:11.126 --> 01:03:11.326]  USA!
[01:03:11.326 --> 01:03:11.506]  USA!
[01:03:11.506 --> 01:03:11.586]  USA!
[01:03:11.586 --> 01:03:11.767]  USA
[01:03:12.625 --> 01:03:13.066]  Yes!
[01:03:13.066 --> 01:03:13.766]  Hey!
[01:03:13.766 --> 01:03:13.826]  No!
[01:03:30.129 --> 01:03:34.590]  The media will spin all of the events in this report as right-wing extremism.
[01:03:34.590 --> 01:03:45.513]  Intimidation and threats to election officials and lawmakers are feeding fears about violence amid calls by President Trump supporters to stop the certification of election results.
[01:03:45.513 --> 01:03:50.414]  But at this point, even they know it's simply Americans fighting for their lives.
[01:04:01.174 --> 01:04:02.695]  John Bowne reporting.
[01:04:38.243 --> 01:04:39.785]  Alright, folks, it's the Alex Jones Show.
[01:04:39.785 --> 01:04:42.188]  Terrence and Smith sitting in for Alex the second hour.
[01:04:42.188 --> 01:04:44.371]  We'll continue in just one minute, folks.
[01:04:44.371 --> 01:04:45.312]  Stay with us.
[01:04:45.312 --> 01:04:49.337]  Remember, this is InfoWars, brought to you by InfoWarsStore.com.
[01:04:49.337 --> 01:04:50.939]  Go there now and do your Christmas shopping.
[01:04:50.939 --> 01:04:54.623]  Keep us alive in this fight to destroy the New World Order.
[01:04:54.623 --> 01:04:55.184]  We'll be right back.
[01:04:59.073 --> 01:05:02.756]  We are witnessing a perfect dichotomy of psychological warfare.
[01:05:02.756 --> 01:05:12.445]  The United Nations, the big corporations, the globalists, big tech and big pharma are all pushing the COVID's most deadly thing in history, even though statistically it's a very weak flu or cold.
[01:05:12.445 --> 01:05:14.066]  But if you are deficient,
[01:05:14.306 --> 01:05:15.707]  Then you can actually die from it.
[01:05:15.707 --> 01:05:18.309]  That's why you see somebody dying inside the nursing homes.
[01:05:18.309 --> 01:05:30.339]  Meanwhile, all these top scientists and researchers and former Pfizer head medical officers have come out and said that the COVID-19 vaccine, especially the mRNA ones, are basically bioweapons and are super deadly.
[01:05:30.339 --> 01:05:34.563]  And now they're having to resuscitate people that die, basically, when they take it.
[01:05:34.563 --> 01:05:39.327]  Just like newborn babies, they get vaccines, they have to resuscitate them all the time, or a lot of times they just let them die.
[01:05:39.807 --> 01:05:40.548]  And that's all.
[01:05:40.548 --> 01:05:41.850]  On the record, it does that.
[01:05:41.850 --> 01:05:45.394]  Guillain-Barre, narcolepsy, cancer, all these other diseases.
[01:05:45.394 --> 01:05:46.676]  But they tell you, safe and effective.
[01:05:46.676 --> 01:05:47.377]  No one's getting hurt.
[01:05:47.377 --> 01:05:48.598]  It's a conspiracy theory.
[01:05:48.598 --> 01:05:52.163]  And then all the fine print says can kill you absolutely deadly.
[01:05:52.163 --> 01:05:55.907]  So they run from something that isn't dangerous towards something that is incredibly dangerous.
[01:05:55.907 --> 01:05:57.710]  Because the media says it's safe, they do it.
[01:06:07.927 --> 01:06:09.729]  Welcome back ladies and gentlemen.
[01:06:09.729 --> 01:06:16.497]  It's the Alex Jones Show here on InfoWars.com brought to you exclusively by InfoWarsStore.com.
[01:06:16.497 --> 01:06:21.603]  Something to remember in these days where small businesses are shutting down left and right.
[01:06:21.603 --> 01:06:23.346]  InfoWars is in fact a small business.
[01:06:23.786 --> 01:06:24.747]  We have a single owner.
[01:06:24.747 --> 01:06:27.010]  We're not part of some massive conglomerate.
[01:06:27.010 --> 01:06:35.140]  We're not owned by Univision, that's in turn owned by Time Warner, that's in turn owned by Goldman Sachs, which is in turn owned by BlackRock.
[01:06:35.140 --> 01:06:35.561]  No, no.
[01:06:35.561 --> 01:06:36.522]  None of that.
[01:06:36.522 --> 01:06:38.024]  No, we're a small independent business.
[01:06:38.024 --> 01:06:40.006]  We aren't even sponsored by those people.
[01:06:40.006 --> 01:06:42.510]  We don't even take their commercials on our programs.
[01:06:42.890 --> 01:06:58.432]  Now everything you see here, all of the political activism that you see in Washington D.C., the two massive, unparalleled expressions of patriotism with the Million MAGA March and the Jericho March and all of the marches yesterday, all of that
[01:06:58.992 --> 01:07:07.898]  All of InfoWars' activities, all of our broadcasts, all of our publications, the website, absolutely every- even the development of Band.Video!
[01:07:07.898 --> 01:07:21.326]  I mean, it's incredible what we've been able to achieve, and when I say we, I mean all of us, not just here at InfoWars, but you out there as well, by sharing the stories, by shopping at InfoWarsStore.com, by supporting us or praying for us, we have all done this together, so...
[01:07:21.866 --> 01:07:25.468]  It's incredible what we've been able to achieve, but folks, we're just getting started.
[01:07:25.468 --> 01:07:37.095]  People are just waking up, as President Trump tweeted out yesterday, quoting the founder of the American Navy, and of course, Alex Jones says it all the time, we have just begun to fight.
[01:07:37.095 --> 01:07:40.657]  Or in another way, if you're looking for a fight, you better believe you got one.
[01:07:40.657 --> 01:07:47.121]  And you know, it's interesting, as I go through all of these stories that we have in front of me today, I'm once again sort of
[01:07:48.655 --> 01:07:53.359]  Having trouble figuring out how to put them into different categories.
[01:07:53.359 --> 01:08:05.971]  You've got China over here, you've got the election over here, you've got them stealing the election, you've got Biden, but then you've got Biden and his engagement with China, and then you've got China influencing YouTube to censor things about Biden.
[01:08:05.971 --> 01:08:11.475]  It's all interconnected, and this is why it can be so complicated to express some of this stuff at times, because
[01:08:12.785 --> 01:08:13.706]  You can't just say one thing.
[01:08:13.706 --> 01:08:14.647]  You can't just point out one thing.
[01:08:14.647 --> 01:08:18.049]  You point out one thing, and hey, that doesn't sound great, but it's probably just one person.
[01:08:18.049 --> 01:08:25.775]  Never attribute to malice what can be explained by a big ol' oopsie, by an accident, yet another glitch.
[01:08:25.775 --> 01:08:31.079]  You know, I'm doing a... I'm working on a year in review, and it's... it's insurmountable.
[01:08:31.079 --> 01:08:38.985]  I mean, just the sheer number of stories that came out, just the sheer number of stuff that happened this year is almost impossible to quantify.
[01:08:38.985 --> 01:08:39.506]  But, uh...
[01:08:41.298 --> 01:08:43.259]  Anyway, it's almost impossible.
[01:08:43.259 --> 01:08:46.580]  So you have to try to draw the lines between everything.
[01:08:46.580 --> 01:08:55.383]  So where we're going to start here is with one overarching theme that you find suffused in all of these stories, and that's hypocrisy.
[01:08:55.383 --> 01:08:58.184]  Overwhelming hypocrisy.
[01:08:58.184 --> 01:09:00.985]  Complete lies told with a straight face.
[01:09:02.165 --> 01:09:03.446]  Shocking, really?
[01:09:03.446 --> 01:09:04.708]  When you see some of these pictures?
[01:09:04.708 --> 01:09:06.329]  Here's a story from newswars.com.
[01:09:06.329 --> 01:09:07.571]  Unity in healing!
[01:09:07.571 --> 01:09:11.775]  Joe Biden posts pictures of dogs tearing up a Trump doll.
[01:09:11.775 --> 01:09:13.296]  From newswars.com.
[01:09:13.296 --> 01:09:20.584]  In another show of hypocrisy from Biden, the Instagram account for his dogs, Major and Champ, posted a picture of the pups playing tug-o-war with a Trump rag doll.
[01:09:21.496 --> 01:09:28.000]  What he's previously said is, quote, when the campaign is over, it's time to put the anger and the harsh rhetoric behind us and come together as a nation.
[01:09:28.000 --> 01:09:31.122]  It's time for America to unite and to heal.
[01:09:31.122 --> 01:09:36.265]  Oh, by the way, here is a picture of my dogs tearing Donald Trump apart.
[01:09:36.265 --> 01:09:38.187]  Yeah, unity and healing.
[01:09:38.187 --> 01:09:39.167]  Wonderful stuff.
[01:09:39.167 --> 01:09:41.389]  Thank you, Mr. President-elect.
[01:09:42.372 --> 01:09:46.577]  It's absurd but it's not just the rhetoric and of course we've seen the rhetoric all over the place.
[01:09:46.577 --> 01:09:47.918]  We've seen it for the last four years.
[01:09:47.918 --> 01:09:50.020]  We saw it before Trump even got into office.
[01:09:50.020 --> 01:09:55.086]  We saw it during the 2016 election campaign.
[01:09:55.086 --> 01:09:55.707]  But this is not
[01:09:57.575 --> 01:09:58.756]  This is not fear-mongering.
[01:09:58.756 --> 01:10:02.018]  This is not to say, oh my gosh, they're coming for us.
[01:10:02.018 --> 01:10:04.220]  Oh, you know, they're gonna, they're gonna come for you at night.
[01:10:04.220 --> 01:10:05.841]  No, no, they are making plans.
[01:10:05.841 --> 01:10:07.803]  They are telling you what they're going to do.
[01:10:07.803 --> 01:10:10.445]  So this is from the independent.co.uk.
