[00:00.000 --> 00:01.000]  I'm great.
[53:13.960 --> 53:16.960]  such as radios, walkie-talkies, and cell phones,
[53:16.960 --> 53:18.960]  as well as power for small applications.
[53:18.960 --> 53:22.960]  Get the one-stop solution for your emergency and everyday needs.
[53:22.960 --> 53:27.960]  The Berkey Security Pack, a retail value of $518 for only $399,
[53:27.960 --> 53:31.960]  by calling new millennium at 888-0344-38,
[53:31.960 --> 53:33.960]  not yet available in Iowa.
[53:34.960 --> 53:36.960]  Hey, ladies, if you love to shop,
[53:36.960 --> 53:40.960]  then visit herbalhealer.com to browse through their online catalog.
[53:40.960 --> 53:43.960]  You'll find thousands of effective, alternative,
[53:43.960 --> 53:46.960]  and natural products for you and the whole family.
[53:46.960 --> 53:48.960]  Besides the amazing products you'll find,
[53:48.960 --> 53:51.960]  this shopping is guilt-free because you're investing in your health,
[53:51.960 --> 53:53.960]  and your health is priceless.
[53:53.960 --> 53:57.960]  While online, sign up to receive the HerbalHealer newsletter,
[53:57.960 --> 54:01.960]  which will keep you informed of the latest and greatest products in education.
[54:01.960 --> 54:04.960]  Did you know that herbalhealer offers not only natural medicine,
[54:04.960 --> 54:08.960]  but also tension-relieving herbal teas, cookbooks, aroma therapy,
[54:08.960 --> 54:11.960]  products for pampering, and more great products
[54:11.960 --> 54:13.960]  to help you soothe and relax after a long day.
[54:13.960 --> 54:16.960]  Want to learn more for yourself and to help others in the future?
[54:16.960 --> 54:19.960]  Join the HerbalHealer correspondent program.
[54:19.960 --> 54:22.960]  You can work at your own pace from the comfort of your own home.
[54:22.960 --> 54:26.960]  This accredited, exciting program can help you gain skills and knowledge.
[54:26.960 --> 54:30.960]  Can you believe you can find all this at onestopherbalhealer.com?
[54:30.960 --> 54:45.960]  Celebrate an 18-year of dedication.
[54:45.960 --> 54:50.960]  If it keeps on raining, love is going to break.
[54:50.960 --> 54:56.960]  When the lead end breaks, I have no place to stay.
[54:56.960 --> 55:08.960]  Going down, going down now, going down, down to Chicago.
[55:08.960 --> 55:12.960]  I tell you what's going to happen.
[55:12.960 --> 55:17.960]  They're going to keep running the New World Order right straight in the ground.
[55:17.960 --> 55:24.960]  Oh man, I just can't wait to bring these people to justice.
[55:24.960 --> 55:28.960]  Somebody emailed me yesterday and they were concerned
[55:28.960 --> 55:30.960]  that I talked about killing a grizzly bear.
[55:30.960 --> 55:33.960]  It was all an analogy or analogous.
[55:33.960 --> 55:36.960]  It was like a stupid parable.
[55:36.960 --> 55:39.960]  I mean, I overdo it a bit.
[55:39.960 --> 55:41.960]  I was saying, I have an instinctive...
[55:41.960 --> 55:46.960]  I see the New World Order threatening me at an instinctive level like a grizzly bear.
[55:46.960 --> 55:50.960]  Grizzly bears coming after me, I would try to evade it or kill it.
[55:50.960 --> 55:54.960]  Just like I want to, quote, kill the New World Order.
[55:54.960 --> 55:58.960]  That's not a call for violence against grizzly bears of the New World Order.
[55:58.960 --> 56:06.960]  I'm saying my instinctive drive is to fight against it.
[56:06.960 --> 56:07.960]  That's all I'm saying.
[56:07.960 --> 56:09.960]  I mean, we have a group.
[56:09.960 --> 56:11.960]  I mean, it's simple.
[56:11.960 --> 56:12.960]  I'm an average person.
[56:12.960 --> 56:14.960]  I'm not that smart.
[56:14.960 --> 56:16.960]  12 years ago...
[56:16.960 --> 56:21.960]  Well, I guess probably 14 years ago I learned of it, but 12 years ago I got involved.
[56:21.960 --> 56:23.960]  I was, well, let's be technical.
[56:23.960 --> 56:26.960]  I was involved before that, but it doesn't matter.
[56:26.960 --> 56:30.960]  That there was a plan to destroy my country.
[56:30.960 --> 56:33.960]  And I didn't hear it from some good old boy.
[56:33.960 --> 56:37.960]  I mean, I got it directly from the Globalist Owned Documents.
[56:37.960 --> 56:39.960]  And I said, gee, I'm not for that.
[56:39.960 --> 56:41.960]  I better fight it.
[56:41.960 --> 56:44.960]  And then I'd talk about it and people would call me a kook.
[56:44.960 --> 56:50.960]  I said, well, I'll just get into the media and I'll present my facts and I'll show them.
[56:50.960 --> 56:51.960]  And you know what?
[56:51.960 --> 56:53.960]  We have shown them.
[56:53.960 --> 56:54.960]  But that isn't what this is all about.
[56:54.960 --> 57:03.960]  It's about showing them so they can then get involved themselves and try to save the country.
[57:03.960 --> 57:08.960]  No, you don't save the country by saving its borders or its sovereigns here, its bill of rights.
[57:08.960 --> 57:13.960]  You save it by invading Iran.
[57:13.960 --> 57:19.960]  So you've got it turned around backwards there, my friend.
[57:19.960 --> 57:23.960]  And you need to figure that out how you've been scammed.
[57:23.960 --> 57:26.960]  A few plugs here at the end of this hour that we've got our guests coming up.
[57:26.960 --> 57:33.960]  Then we'll have open phones from the bottom of this hour coming up through the end of the transmission.
[57:33.960 --> 57:38.960]  I have a free podcast of the show.
[57:38.960 --> 57:41.960]  You just subscribe to it for free at infowars.com.
[57:41.960 --> 57:50.960]  Click subscribe into your real player, into your podcasting system, into your MP3 or iPod.
[57:50.960 --> 57:52.960]  And you can get the three hours every day.
[57:52.960 --> 57:57.960]  Listen to it how you want, when you want, where you want, or we continually stream 24 hours a day.
[57:57.960 --> 58:01.960]  Every hour of the show is re-air as soon as the broadcast ends.
[58:01.960 --> 58:03.960]  Continuable 24-hour day streaming.
[58:03.960 --> 58:06.960]  Tune in whenever you want, when you want.
[58:06.960 --> 58:11.960]  And also, I want to plug 95.7, the new Micro FM.
[58:11.960 --> 58:19.960]  The great folks at Radio Free Austin put up in Dallas covering all of Central Dallas.
[58:19.960 --> 58:22.960]  Yes, 95.7.
[58:22.960 --> 58:28.960]  If you live in Dallas, please tune it in and tell everybody you know about 95.7.
[58:28.960 --> 58:34.960]  Micro FM, such an important part of the fight against the New World Order.
[58:34.960 --> 58:39.960]  Now, in closing for this hour, I have made 15 films.
[58:39.960 --> 58:41.960]  The newest is Terror Storm.
[58:41.960 --> 58:43.960]  The history of government-sponsored terror.
[58:43.960 --> 58:45.960]  It exposes the murderers that carried out 9-11.
[58:45.960 --> 58:51.960]  We need to bring them to justice, and I want you to get the video and make copies of it aggressively.
[58:51.960 --> 58:54.960]  With love for your family and hatred for the globalist.
[58:54.960 --> 58:58.960]  I want you to get it and militarily make copies.
[58:58.960 --> 59:01.960]  Smash them, crush them, never stop.
[59:01.960 --> 59:04.960]  We are never going to stop.
[59:04.960 --> 59:05.960]  They can kill us individually.
[59:05.960 --> 59:08.960]  They cannot kill the idea of liberty and freedom that God gave us.
[59:08.960 --> 59:11.960]  So get my videos at infowars.com.
[59:11.960 --> 59:32.960]  Stay with us.
[59:41.960 --> 01:00:06.960]  Stay with us.
[01:00:06.960 --> 01:00:12.960]  Get this hard-to-find information by ordering Fruit in Places USA now for only $29
[01:00:12.960 --> 01:00:18.960]  plus shipping and handling by calling new millennium at 888-803-4438
[01:00:18.960 --> 01:00:24.960]  or order on the web at burkeawater.com.
[01:00:24.960 --> 01:00:27.960]  Waging war on corruption.
[01:00:27.960 --> 01:00:37.960]  Alex Jones on the GCN Radio Network.
[01:00:37.960 --> 01:00:38.960]  Big Brother.
[01:00:38.960 --> 01:00:40.960]  Mainstream media.
[01:00:40.960 --> 01:00:42.960]  Government cover-ups.
[01:00:42.960 --> 01:00:43.960]  You want answers?
[01:00:43.960 --> 01:00:45.960]  Well, so does he.
[01:00:45.960 --> 01:00:49.960]  He's Alex Jones on the GCN Radio Network.
[01:00:49.960 --> 01:00:55.960]  And now, live from Austin, Texas, Alex Jones.
[01:00:55.960 --> 01:00:57.960]  Waging war on corruption.
[01:00:57.960 --> 01:01:00.960]  Crashing relies on disinformation.
[01:01:00.960 --> 01:01:04.960]  The United States has been seized by a global corporate crime cartel
[01:01:04.960 --> 01:01:06.960]  called the New World Order.
[01:01:06.960 --> 01:01:09.960]  We just played Lou Dobbs last hour telling you that.
[01:01:09.960 --> 01:01:12.960]  We've been reporting them for over a decade here.
[01:01:12.960 --> 01:01:15.960]  They lied us premeditatedly into war against Iraq.
[01:01:15.960 --> 01:01:19.960]  And like Hitler turning east, they now want to go into Iran.
[01:01:19.960 --> 01:01:22.960]  The torture, the murder, the secret police all by design.
[01:01:22.960 --> 01:01:26.960]  They meant Iraq to be a quagmire as a pretext to build permanent bases there.
[01:01:26.960 --> 01:01:29.960]  It's all in official published Pentagon documents.
[01:01:29.960 --> 01:01:30.960]  It's sick.
[01:01:30.960 --> 01:01:33.960]  And they have the nerve to tell our troops you'll be back in time for Christmas.
[01:01:33.960 --> 01:01:37.960]  We're only going to be there six months when they plan to be there at least 30 years.
[01:01:37.960 --> 01:01:39.960]  And now top generals have been saying that.
[01:01:39.960 --> 01:01:41.960]  It's just unbelievable.
[01:01:41.960 --> 01:01:43.960]  Your call is coming up in about 20 minutes.
[01:01:43.960 --> 01:01:46.960]  1-800-259-9231.
[01:01:46.960 --> 01:01:51.960]  Later, I'm going to air this clip of O'Reilly and just illustrate the low grade lies he puts out.
[01:01:51.960 --> 01:01:54.960]  But we are joined by Robert Wattata.
[01:01:54.960 --> 01:01:58.960]  His son is Lieutenant Aaron Wattata.
[01:01:58.960 --> 01:02:00.960]  And he's being court-martialed.
[01:02:00.960 --> 01:02:03.960]  He's on record why.
[01:02:03.960 --> 01:02:05.960]  He's refusing to go back to Iraq.
[01:02:05.960 --> 01:02:07.960]  He's on record why the war is illegal.
[01:02:07.960 --> 01:02:11.960]  How we've all been lied to.
[01:02:11.960 --> 01:02:14.960]  How this is a immoral, improper war.
[01:02:14.960 --> 01:02:16.960]  And his father's very well-spoken.
[01:02:16.960 --> 01:02:20.960]  And I'm told he's someone of an anti-corruption crusader in his own right in Hawaii.
[01:02:20.960 --> 01:02:23.960]  So, Mr. Wattata, thank you for coming on with us.
[01:02:23.960 --> 01:02:26.960]  Thank you very much for inviting me, Alex.
[01:02:26.960 --> 01:02:27.960]  You bet.
[01:02:27.960 --> 01:02:33.960]  Just in a nutshell, tell us about yourself, your son, what's happening, how you got to this point.
[01:02:33.960 --> 01:02:36.960]  Then let's come back because we're about to break in a few minutes.
[01:02:36.960 --> 01:02:38.960]  And then break down what's currently happening.
[01:02:38.960 --> 01:02:47.960]  Okay. Just a little bit about myself, Alex, is that in the Vietnam War, I don't know if we can call it a war.
[01:02:47.960 --> 01:02:54.960]  It was a slaughter that the Americans perpetrated on the Vietnamese, Cambodians, and the oceans.
[01:02:54.960 --> 01:02:57.960]  I was just getting out of college at that time.
[01:02:57.960 --> 01:03:06.960]  And I refused to participate in that war because I just felt it was just completely wrong.
[01:03:06.960 --> 01:03:08.960]  It was completely unjust.
[01:03:08.960 --> 01:03:14.960]  And, of course, I went to the Peace Corps and I later went on to college to maintain a student deferment.
[01:03:14.960 --> 01:03:17.960]  But on to my son.
[01:03:17.960 --> 01:03:28.960]  My son joined the army in early 2003 based upon a call by the president that there were terrorists all across the country
[01:03:28.960 --> 01:03:34.960]  that people had needed to join the military to defend our country.
[01:03:34.960 --> 01:03:37.960]  So your son, in a well-meaning way, bought into the propaganda?
[01:03:37.960 --> 01:03:39.960]  He bought into the propaganda.
[01:03:39.960 --> 01:03:47.960]  It's hard to say, but I try to convince him otherwise. But, you know, young people are young people and he made up his own mind.
[01:03:47.960 --> 01:03:49.960]  That's why they target 18-year-olds.
[01:03:49.960 --> 01:03:51.960]  That's right.
[01:03:51.960 --> 01:03:57.960]  They, you know, they don't think and they don't read a whole lot.
[01:03:57.960 --> 01:04:05.960]  But unfortunately, my son did join. It was for patriotic reasons. It was to defend our country.
[01:04:05.960 --> 01:04:15.960]  And it was sad, of course, that he did go into the army and he, you know, later became an officer and was deployed to Korea for a year.
[01:04:15.960 --> 01:04:24.960]  So he wasn't too familiar with what was going on in Iraq because he was in Korea, which is a war zone, by the way.
[01:04:24.960 --> 01:04:39.960]  And then he was brought back to the United States and he went to Fort Lewis Washington where he was assigned to a Strecker Brigade in the middle of 2005.
[01:04:39.960 --> 01:04:48.960]  It was at this point that he began studying all about what was happening in Iraq, all the wars, you know, the battles and so forth.
[01:04:48.960 --> 01:04:54.960]  And he was also hearing from people who had been in Iraq, you know, soldiers, and coming back.
[01:04:54.960 --> 01:05:02.960]  And sadly, some of those never came back. And, you know, he had to get a deal with the grief of some of the families.
[01:05:02.960 --> 01:05:16.960]  It was at this point that he began realizing that our president wholesale lied to the country, lied to, you know, the military.
[01:05:16.960 --> 01:05:24.960]  Say there, Mr. Wattata, we'll talk about your son, what's happening to him with the court march on the other side of this quick break.
[01:05:24.960 --> 01:05:32.960]  And they're talking about a national draft, folks. They're pushing it big time. When will they come for your sons and daughters?
[01:05:32.960 --> 01:05:48.960]  It's here after a year in production and traveling the distant lands, my new film Terror Storm is complete.
[01:05:48.960 --> 01:05:56.960]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:05:56.960 --> 01:06:08.960]  Terror Storm chronicles the lies that took us to war in Iran, a White House probe to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:06:08.960 --> 01:06:14.960]  Terror Storm is the definitive guide to the history of government sponsored terrorism. It's an anthology of government crimes.
[01:06:14.960 --> 01:06:19.960]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:06:19.960 --> 01:06:31.960]  Get your copy today at infowars.com or prisonplanet.com or by calling toll 3-1-888-2533-139 or watch it right now online at prisonplanet.tv.
[01:06:31.960 --> 01:06:42.960]  Terrorism, terrorism, chemical attacks, dirty bombs, fallout, biological attacks, anthrax, and to top it all off, duct tape and plastic, alarming words for our time.
[01:06:42.960 --> 01:06:45.960]  But how do you protect your family during such a crisis?
[01:06:45.960 --> 01:07:00.960]  Video sheltering in place, surviving acts of terrorism from biological, chemical, and radioactive fallout was developed by Wayne LaBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the US government.
[01:07:00.960 --> 01:07:08.960]  Anyone can follow the simple instructions. It's presented by a housewife as they walk you step by step through the process of preparing your home as a shelter.
[01:07:08.960 --> 01:07:13.960]  If you're not the type who waits till it's too late, then you need the video sheltering in place.
[01:07:13.960 --> 01:07:31.960]  Get the critical information you need now for only $29 plus shipping by calling new millennium at triple-eight 803-4438 and tell them Alex Jones sent you a triple-eight 803-4438 or order on the web at murkywater.com.
[01:07:31.960 --> 01:07:42.960]  Attention, attention everyone, a brand new invention just released. It's called wrist ease, the new patented portable ergonomic wrist support.
[01:07:42.960 --> 01:07:49.960]  Wrist ease comforts your wrists from the sometimes painful tasks of typing, writing, using a mouse or adding machine.
[01:07:49.960 --> 01:08:02.960]  Unlike most conventional wrist pads that are either attached to a mouse pad or lay flat in front of your keyboard, wrist ease is totally portable and ideal for laptop users and technicians who are constantly on the go.
[01:08:02.960 --> 01:08:17.960]  Wrist ease is perfect for children doing homework or playing video games. Wrist ease provides the proper comfort and support for all ages and wrist ease provides comfort for victims of carpal tunnel syndrome and other repetitive injuries.
[01:08:17.960 --> 01:08:32.960]  You can order wrist ease now at wrist ease dot com. That's wrist ease, W-R-I-S-T-E-A-S-E, wrist ease dot com. Once again, wrist ease dot com.
[01:08:32.960 --> 01:08:47.960]  Ease the T-Rex of political talk. Alex Jones on the GCN Radio Network.
[01:08:47.960 --> 01:09:11.960]  This young man joined the military. He was in for a few years. He heard the call in 2003. He was there in the demilitarized zone in South Korea.
[01:09:11.960 --> 01:09:19.960]  Then he was sent back to the U.S. for talking to troops that were coming back about how horrible it was. And I want to add this. I'm right here in Austin, Texas.
[01:09:19.960 --> 01:09:35.960]  There's military bases all around me. I have family in the military. I talk to people in the military. And I'd say about 85% of them hate the war, say it's all lies, know it's a joke, know it's a fraud, know it's all a big haliburton profit operation.
[01:09:35.960 --> 01:09:46.960]  Okay, they know that. They understand that. Now, I do have one person in my family who just has been in the military for 20 years.
[01:09:46.960 --> 01:09:57.960]  And if they said jump off a cliff, he'd do it. And he's a smart guy, but it's willful, you know, cult member behavior. And this is what happens to people.
[01:09:57.960 --> 01:10:08.960]  But this is not the John Wayne military. Okay, this is not Iwo Jima. This is not the sands of Normandy. This is pure wickedness.
[01:10:08.960 --> 01:10:21.960]  And again, when you read the Israeli plan in 83 to break the country up in three parts of endless war, they want civil war, you read the 2002 U.S. military plan, there is no doubt that mission has been accomplished.
[01:10:21.960 --> 01:10:32.960]  That's death, destruction, huge profits, endless war. That's why they disbanded the Iraqi military and security forces. When all the experts said it'll make it break down, they said, of course, we want an excuse to stay there.
[01:10:32.960 --> 01:10:37.960]  You've got to realize how cynical and mechavellian these people are.
[01:10:37.960 --> 01:10:51.960]  All right, going back to Robert Botata. So your son, it's mid 2005. He's back at a U.S. base inside the U.S. And he starts to do research. He starts to learn. I would imagine you said he started to wake up.
[01:10:51.960 --> 01:11:07.960]  Did you see the White House memo where Bush and Blair meet and they talk about how to stage WMD fines and have a lot of the people? Or did he hear about how they faked the Yellow Cake document from Niger? Or did he learn about how they plan to stay there at least 30 years and lie to the troops?
[01:11:07.960 --> 01:11:23.960]  What was the straw that broke the camel's back for your son who can't come on with us because he's under court martial right now, but you're here valiantly defending your son? When you started talking to your son around that time, did he say, Dad, I've got real concerns now?
[01:11:23.960 --> 01:11:47.960]  Yes, that's actually what happened Alex, that of course he's in Fort Lewis Washington. I'm in Hawaii and he's telling me all of these things he's hearing and he's reading about one document you can look at is the State of the Union message that Bush gave in January 2003 where he details these lies.
[01:11:47.960 --> 01:12:05.960]  And anybody that says that they're not lies doesn't understand the English language, but it was when I read that document and then I read other documents such as what Ray McGovern was saying is that all of these things about the weapons of mass destruction were fabricated.
[01:12:05.960 --> 01:12:23.960]  They were made up. There was no truth at all to them. And yet this is what the Bush administration used to go to war. They said there was a connection between 9-11 and Saddam Hussein. None whatsoever, of course, that's been proven to be the truth.
[01:12:23.960 --> 01:12:49.960]  It was none whatsoever. But what really broke my son's back is, this is what I'll tell you, is seeing what's happening to the soldiers coming back. He's not only seeing the soldiers that are not coming back, but he's also reading about the soldiers that are dying over there, the soldiers that are coming back with serious PTSD.
[01:12:49.960 --> 01:13:00.960]  And he's just asking himself, you know, what are we doing to our own people? You know, and for what?
[01:13:00.960 --> 01:13:17.960]  Let's be specific there. In World War II, you only had to fly 22 missions in a B-17, though you had a 50% chance of dying. In Vietnam, one tour, that's it. I mean, even in a draft, you only make somebody serve one year, we got people starting their fourth and fifth tours.
[01:13:17.960 --> 01:13:36.960]  Every psychologist will tell you that guarantees total breakdown. And this is serious, low intensity, asymmetrical warfare, kicking down doors, house to house, the worst type of warfare for the psyche. I mean, these people are ruined.
[01:13:36.960 --> 01:14:00.960]  Oh, yes, yes. In fact, several months ago, Alex, there was a story, and it wasn't circulated very much. It was hushed up very quickly. But a soldier came back from Iraq, and the very next day after he came back, he murdered his wife, took a butcher knife or something and just butchered her up.
[01:14:00.960 --> 01:14:06.960]  These guys, these guys, you know, we've ruined them.
[01:14:06.960 --> 01:14:22.960]  Well, remember, out of one Delta IV squadron? Why do they call them squadrons? I don't know, folks. Four guys came back, three of them killed their wives and children. One of them just flipped out, and the police drove up, and he was flopping around in the dirt, screaming.
[01:14:22.960 --> 01:14:43.960]  I believe that, you know, I met a woman who came up to me in one of the speaking engagements that we had and told me, told my wife and I that her husband had come back from Iraq and he looked perfectly normal, and two weeks later, he had committed suicide.
[01:14:43.960 --> 01:15:00.960]  You know, what do you do? This is what we're doing to our people, and for what? This is what my son kept saying, for what? For what? You know, not for our country. They're not dying, they're not suffering for our country.
[01:15:00.960 --> 01:15:20.960]  They're doing it for Halliburton, they're doing it for Chevron, they're doing it for the Houston Oil Group, and that's the sad tragedy here, is that the American people have to understand that we've invaded Iraq, we're occupying Iraq, we're committing tremendous atrocities.
[01:15:20.960 --> 01:15:41.960]  You mentioned we've killed over 650,000 innocent Iraqis. Many, many more are dying because we're not allowing them to have medical facilities that are in operation. There's no potable water, there's no electricity, people are literally starving to death.
[01:15:41.960 --> 01:15:53.960]  Your dad gets power, they're lucky, about two hours a day. If they're lucky, if they're lucky. And of course, you know, the green zone, the green zone where the...
[01:15:53.960 --> 01:16:13.960]  They have them, sex slaves, they have them. But the green zone has got electricity all the time, it's got two Olympic-sized swimming pools, this is where our embassy staff is staying, and this is where the, you know, the public government is staying.
[01:16:13.960 --> 01:16:28.960]  And the five square miles call the green zone in Baghdad. And if you don't think something is wrong, then you're not an American.
[01:16:28.960 --> 01:16:36.960]  Everybody outside of the United States knows what's going on over there, and it's terribly, terribly wrong.
[01:16:36.960 --> 01:16:52.960]  Well, I mean, it's disgusting. We know Vietnam was about an endless war for profit and control, but at least they only made you serve one tour. I mean, this, this, how they're using DU, I mean, they knew about DU in the 50s, but they didn't use it because it was so deadly.
[01:16:52.960 --> 01:17:05.960]  Now they just tell the troops, DU is good for you, we'll make you serve four or five tours, that's good for you. I mean, it seems like a go for broke just wildness now coming out of this elite.
[01:17:05.960 --> 01:17:21.960]  Oh, you know, just for signing up now, they're giving, they're giving these new recruits $10,000. And so if you go on an extra tour, they're also saying, you know, okay, if you go on an extra tour, you know, here's another extra $20,000.
[01:17:21.960 --> 01:17:39.960]  And so what basically we have is we have these guys that are mercenaries, you know, the mercenaries that we have over there. You know that outside of the U.S. Army or U.S. military, there are over 100,000 so-called security forces in Iraq.
[01:17:39.960 --> 01:17:41.960]  These are mercenaries.
[01:17:41.960 --> 01:17:54.960]  And many of them just randomly shooting cars for fun, splattering whole families. Now your son's up for court-martial, what's going to happen with that? What are they claiming he said that was so evil?
[01:17:54.960 --> 01:18:10.960]  Well, he said that the president was being deceptive. In other words, he said the truth. And they don't like that. They're offended by that. That's what they said. That's what they said in the preacher out here.
[01:18:10.960 --> 01:18:18.960]  Well, the president isn't even our president. He signed on the North American Union. He's a sack of traitorous filth.
[01:18:18.960 --> 01:18:33.960]  I agree with you. I mean, people have to understand that here we have a self-proclaimed dictator who, you know, is just as tyrannical as Hitler.
[01:18:33.960 --> 01:18:49.960]  He believes that, you know, God is on his side and he's right. Might makes right. And Americans have to wake up, have to wake up to understand what we're doing to the Iraqi people.
[01:18:49.960 --> 01:18:51.960]  Where is your son right now?
[01:18:51.960 --> 01:18:55.960]  He's in Fort Lewis, Washington. My son is in Fort Lewis, Washington.
[01:18:55.960 --> 01:18:58.960]  Do they have him in the morning or do they let him walk around?
[01:18:58.960 --> 01:19:07.960]  Well, he's walking around. He lives off base and he goes to base every day. He's been reassigned to ICOR, which is an administrative unit.
[01:19:07.960 --> 01:19:09.960]  When are they going to try him?
[01:19:09.960 --> 01:19:14.960]  This is going to be on February 5. February 5 is going to be a court martial.
[01:19:14.960 --> 01:19:20.960]  And so who did he say, I mean, where did he say these great evil words that the president's deceptive?
[01:19:20.960 --> 01:19:38.960]  Well, he said them in a press conference and then he also repeated some of the words in the Veterans for Peace conference in August, about August 18 of this year.
[01:19:38.960 --> 01:19:50.960]  And so what they've done is they've taken words that he used and, of course, the judge pointed out to them that, you know, these words are very subjective and it could mean a lot of different things.
[01:19:50.960 --> 01:19:56.960]  But the prosecution says, well, nevertheless, they're offensive to them.
[01:19:56.960 --> 01:20:04.960]  And just because they're offensive, that he should be spending a year in jail for every offensive word that he used.
[01:20:04.960 --> 01:20:16.960]  This is before we're going in this country, that even soldiers, if they speak out and use words that somebody finds offensive, you're going to get prosecuted for it.
[01:20:16.960 --> 01:20:26.960]  Well, I mean, they're trying to do that with just the general public that they said the first Newt Gennrich is giving speeches saying ban the First Amendment, arrest people, ban websites.
[01:20:26.960 --> 01:20:29.960]  Well, your son's going to keep his soul. That's what matters.
[01:20:29.960 --> 01:20:36.960]  Do you know where the 78 potentially active volcanoes in U.S. are located?
[01:20:36.960 --> 01:20:40.960]  And do you know the locations of the top 300 prime terrorist targets?
[01:20:40.960 --> 01:20:45.960]  You can find these answers and more in the new interactive CD book, Prudent Places U.S.A.
[01:20:45.960 --> 01:20:50.960]  With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas,
[01:20:50.960 --> 01:20:57.960]  brewing environmental catastrophes, the safest cities, the best places for solar and wind energy, and much, much more.
[01:20:57.960 --> 01:21:07.960]  Complete with three gigabytes of detailed information on each of 3,000 plus counties in the U.S., including 550 high resolution full color maps and full color photographs,
[01:21:07.960 --> 01:21:12.960]  as well as detailed information and analysis to help you zero in on the best places to live.
[01:21:12.960 --> 01:21:17.960]  The ideal location for cabins and vacation homes, as well as safe and unsafe areas.
[01:21:17.960 --> 01:21:28.960]  Prudent Places U.S.A. for only $29 was shipping by calling new millennium at 888-803-4438.
[01:21:28.960 --> 01:21:33.960]  That's 888-803-4438 to order on the Web or at burkeawater.com.
[01:21:33.960 --> 01:21:36.960]  David J. Smith for NewsWatch Magazine.
[01:21:36.960 --> 01:21:43.960]  Did you know that there's a secret group that has been trying to destroy all ordered government, eliminate private property,
[01:21:43.960 --> 01:21:51.960]  eliminate inheritance, rid the nation of patriotism in the family, abolish religion and establish a world government?
[01:21:51.960 --> 01:22:01.960]  We'd like to help you understand why these things are happening and more about Bible prophecy by offering you an absolutely free one-year subscription to NewsWatch Magazine.
[01:22:01.960 --> 01:22:14.960]  Call our toll-free number 1-800-516-8736. That's 1-800-516-8736.
[01:22:14.960 --> 01:22:18.960]  Just call for a one-year free subscription to NewsWatch Magazine.
[01:22:18.960 --> 01:22:33.960]  It's free. Call now while operators are standing by to take your call.
[01:22:33.960 --> 01:22:40.960]  Hi, folks. Jack Browner from Midas Resources. The real money folks.
[01:22:40.960 --> 01:22:43.960]  Let's review a few things from the past year.
[01:22:43.960 --> 01:22:52.960]  From November 2003 to November 2004, the dollars ranged from $9,800 to $10,300, a 5% increase.
[01:22:52.960 --> 01:23:02.960]  The dollar's value has dropped from 96 cents to 70 cents against the euro, a 24% decrease in spending power against the gold-backed euro.
[01:23:02.960 --> 01:23:08.960]  Gold has gone from the 390s to the 440s, a 16% increase in real money.
[01:23:08.960 --> 01:23:19.960]  Precious metals are the safe haven in today's hectic marketplace. To learn how to protect your shrinking dollar, call Midas Resources today at 1-800-686-2237.
[01:23:19.960 --> 01:23:26.960]  Remember, gold is liquid, private, and portable. Call now before your buying power shrinks even more dramatically.
[01:23:26.960 --> 01:23:32.960]  That's Midas Resources at 800-686-2237.
[01:23:32.960 --> 01:23:38.960]  Oh, wait. Why did you turn that down? Well, I get so tired of that girl's squeaky voice.
[01:23:38.960 --> 01:23:41.960]  I'm sure the bed fan works, but that's squeaky voice.
[01:23:41.960 --> 01:23:45.960]  Well, what's the bed fan? It's a fan that helps hot sleepers stay cool at night.
[01:23:45.960 --> 01:23:52.960]  I could do something like that. This menopause thing is really getting to me at night, and you know how I am about doing that hormone therapy thing.
[01:23:52.960 --> 01:23:56.960]  Besides, you're a hot sleeper yourself. You're always throwing the covers off in the middle of the night.
[01:23:56.960 --> 01:24:01.960]  I guess you're right. Why don't we try it? Just think how nice it'll be to sleep through the night.
[01:24:01.960 --> 01:24:06.960]  Yeah, and just think how nice it'll be this summer and all the money we can save on air conditioning.
[01:24:06.960 --> 01:24:08.960]  I know where we can get some more information.
[01:24:08.960 --> 01:24:12.960]  Sleep Disorder Centers across the country recommend that you must stay cool to get a good night's sleep.
[01:24:12.960 --> 01:24:19.960]  The bed fan will keep you cool and give you the restful sleep you deserve. With our 30-day 100% guarantee, you risk nothing.
[01:24:19.960 --> 01:24:27.960]  Are you a hot sleeper? Is your partner a hot sleeper? The bed fan is the answer. Visit us today at www.bedfan.com.
[01:24:27.960 --> 01:24:32.960]  That's bed, F-A-N.
[01:24:32.960 --> 01:24:42.960]  The Genesis Communications Radio Network proudly presents The Alex Jones Show, because there's a war on for your mind.
[01:24:42.960 --> 01:24:53.960]  Look, the Naval War College head gets up on C-span and says our military works for Wall Street and the World Bank's.
[01:24:53.960 --> 01:25:01.960]  Dincor, our military, and Halliburton were openly in major papers running giant kidnapping rings in Iraq.
[01:25:01.960 --> 01:25:06.960]  I mean, they're involved in every form of trafficking and evil you can imagine.
