[00:00.000 --> 00:30.000]  Infowars, the most band network in the world
[01:22:25.200 --> 01:22:31.360]  perspective because it pulls at what everyone pulls at the heartstrings of whatever wants
[01:22:31.360 --> 01:22:32.360]  more most.
[01:22:32.360 --> 01:22:36.360]  And that's to live a healthy, vibrant life.
[01:22:37.360 --> 01:22:40.360]  I was talking with Tom Renz this morning in text message.
[01:22:40.360 --> 01:22:46.060]  It's like modern day health care has become the new religion of where they're promising
[01:22:46.060 --> 01:22:51.360]  people eternity, but there's no eternity to be had.
[01:22:51.360 --> 01:22:56.360]  The thing that you keep on purchasing is more drugs, which could harm you.
[01:22:56.360 --> 01:22:59.360]  And it doesn't have to be that way.
[01:22:59.360 --> 01:23:01.360]  I think we're going to win this fight.
[01:23:01.360 --> 01:23:04.360]  I think the battle is just ramping up.
[01:23:04.360 --> 01:23:06.360]  It's really a fight versus good versus evil.
[01:23:06.360 --> 01:23:10.360]  And I never thought I would feel that way until I had to go through this myself.
[01:23:10.360 --> 01:23:15.360]  And that's the thing about tyranny is it's going to force a lot of people to admit reality.
[01:23:15.360 --> 01:23:20.360]  A lot of them are going to be highly capable, smart folks who are insiders and the corrupt
[01:23:20.360 --> 01:23:22.360]  forces' biggest nightmare.
[01:23:22.360 --> 01:23:26.360]  Well, everybody should get the book today, ladies and gentlemen, and get my book, The
[01:23:26.360 --> 01:23:28.360]  Great Reset in the War of the World.
[01:23:28.360 --> 01:23:32.360]  The book is The Truth About Wuhan, How Uncovered the Biggest Lie in History by Dr. Andrew G.
[01:23:32.360 --> 01:23:38.360]  Huff, former head scientist and, of course, also vice president, EcoHealth Alliance.
[01:23:38.360 --> 01:23:42.360]  God bless you, sir, from my crew and my family and the whole future of humanity.
[01:23:42.360 --> 01:23:44.360]  Godspeed.
[01:23:44.360 --> 01:23:45.360]  Yes, sir, thank you.
[01:23:45.360 --> 01:23:46.360]  Happy holidays.
[01:23:46.360 --> 01:23:47.360]  Merry Christmas.
[01:23:47.360 --> 01:23:48.360]  Thank you.
[01:23:48.360 --> 01:23:50.360]  All right, ladies and gentlemen, there goes our guest.
[01:23:50.360 --> 01:23:53.360]  We're going to go to break here for a moment, come back with our next guest to cover the
[01:23:53.360 --> 01:23:59.360]  waterfront, ladies and gentlemen, and that is Steve Quayle, the global reputation of
[01:23:59.360 --> 01:24:03.360]  the dollar under Operation Sandman, the end of the petrodollar, the ultimate draconian
[01:24:03.360 --> 01:24:07.360]  control of central bank digital currency, the change in Russia's nuclear posture and
[01:24:07.360 --> 01:24:12.360]  why Putin is wanting to use his advanced weaponry in the first strike against the USA, and NATO's
[01:24:12.360 --> 01:24:17.360]  simple answer, he's taking both the U.S. and Western Europe apart piece by piece, first
[01:24:17.360 --> 01:24:20.360]  as repayment for what the West did to Russia during its breakup.
[01:24:20.360 --> 01:24:24.360]  Steve Quayle has got absolutely critical intel straight ahead, but let me talk about this
[01:24:24.360 --> 01:24:26.360]  right now.
[01:24:26.360 --> 01:24:28.360]  I've got an update to make.
[01:24:28.360 --> 01:24:30.360]  It's not really a correction because I wasn't wrong when I said it.
[01:24:30.360 --> 01:24:32.360]  It's just that I've been given new information.
[01:24:32.360 --> 01:24:36.360]  I said we're going to keep the sale going through Christmas of up to 60% off the promo
[01:24:36.360 --> 01:24:42.360]  code 1776, but by simple effect of everything selling out and the fact we're not going to
[01:24:42.360 --> 01:24:46.360]  get these great best-selling products back in for a few months, we've done the math.
[01:24:46.360 --> 01:24:50.360]  We just cannot offer them from 40 to 60% off.
[01:24:50.360 --> 01:24:54.360]  Some will still be 40, some will be 50, but most will only be 30% off or we won't have
[01:24:54.360 --> 01:24:56.360]  funds into next year.
[01:24:56.360 --> 01:24:57.360]  We've done all the math.
[01:24:57.360 --> 01:25:03.360]  So we're ending the sale Monday morning at 8 a.m., the mega blowout sale.
[01:25:03.360 --> 01:25:08.360]  We've already sold out of X2, X3, ultimate turmeric formula bodies, a whole bunch of
[01:25:08.360 --> 01:25:10.360]  other stuff, but we still have DNA force plus.
[01:25:10.360 --> 01:25:12.360]  We still have vitamin mineral fusion.
[01:25:12.360 --> 01:25:17.360]  We still have vitamin D3 gummies with the calcium and the multi-food vitamin, the highest
[01:25:17.360 --> 01:25:23.360]  organic quality, the vitamin C 1100% alien allowance with the zinc, the very best formula
[01:25:23.360 --> 01:25:24.360]  out there.
[01:25:24.360 --> 01:25:28.360]  It's discounted brain force ultra brain force plus super male vitality.
[01:25:28.360 --> 01:25:33.360]  We've still got discounts of the great reset in the war for the world signed and unsigned
[01:25:33.360 --> 01:25:39.360]  with promo code 1776 fizzy magnesium selling out immune support, selling out ultra krill
[01:25:39.360 --> 01:25:41.360]  oil, selling out ultimate fish oil.
[01:25:41.360 --> 01:25:42.360]  They're all selling out.
[01:25:42.360 --> 01:25:47.360]  Where else are you going to have a show that told you?
[01:25:47.360 --> 01:25:48.360]  Let me see.
[01:25:48.360 --> 01:25:50.360]  It'll be two years in two months.
[01:25:50.360 --> 01:25:52.360]  No, no, three years in two months.
[01:25:52.360 --> 01:26:00.360]  So, so in, in February, in early February of 2020, we already told you worldwide lockdowns
[01:26:00.360 --> 01:26:01.360]  are coming.
[01:26:01.360 --> 01:26:04.360]  Uh, the so-called vaccine is going to be a poison.
[01:26:04.360 --> 01:26:06.360]  Uh, they're preparing you for a world ID.
[01:26:06.360 --> 01:26:09.360]  We laid it all out because we've got all the Rockefeller foundation documents.
[01:26:09.360 --> 01:26:12.360]  We've got their damn playbook.
[01:26:12.360 --> 01:26:18.360]  The Illuminati was planning to take over Europe in the 17 seventies and a horseman in Germany
[01:26:19.360 --> 01:26:24.360]  got struck by lightning, a mail carrier, and the police got the satchel.
[01:26:24.360 --> 01:26:26.360]  And in it was the blueprint to overthrow Europe.
[01:26:26.360 --> 01:26:28.360]  They were able to stop the Illuminati over there.
[01:26:28.360 --> 01:26:29.360]  Okay.
[01:26:29.360 --> 01:26:30.360]  Well, I mean, it's the same thing here.
[01:26:30.360 --> 01:26:37.360]  We have their damn blueprints, but only if we can stay on air, can we get the blueprints
[01:26:37.360 --> 01:26:38.360]  out?
[01:26:38.360 --> 01:26:40.360]  And it takes time for the experts to finally realize we're right.
[01:26:40.360 --> 01:26:43.360]  Like you just heard that top experts say, yeah, I thought you were crazy.
[01:26:43.360 --> 01:26:44.360]  Now I know you're dead on.
[01:26:45.360 --> 01:26:48.360]  That's why they cherry pick a few things out of context, make it a big thing.
[01:26:48.360 --> 01:26:49.360]  I did like Sandy hook.
[01:26:49.360 --> 01:26:52.360]  They never even talked about Sandy hook till right before they sued me.
[01:26:52.360 --> 01:26:56.360]  I hadn't covered it in years and years and barely even questioned it, but they make that
[01:26:56.360 --> 01:27:01.360]  up to distract from all the hardcore stuff we're doing from the source documents.
[01:27:01.360 --> 01:27:02.360]  So we need funds.
[01:27:02.360 --> 01:27:06.360]  Plus you need to boost your immune system with all the people that are sick and shedding
[01:27:06.360 --> 01:27:10.360]  viruses and all the crazy crap going on, especially our darling little children.
[01:27:10.360 --> 01:27:11.360]  Everybody should be on the D three gummies.
[01:27:11.360 --> 01:27:13.360]  Everybody should be on the multivitamin.
[01:27:13.360 --> 01:27:16.360]  Everybody should be on the vitamin C 1100% from Rose hips.
[01:27:16.360 --> 01:27:18.360]  The Linus Pauling recommended formula.
[01:27:18.360 --> 01:27:25.360]  You want a Nobel prize info war store.com or triple eight two five three three one three
[01:27:25.360 --> 01:27:26.360]  nine.
[01:27:26.360 --> 01:27:28.360]  We're treading water here, but we're more effective and more influential than ever.
[01:27:28.360 --> 01:27:30.360]  Thanks to your prayers and your support.
[01:27:30.360 --> 01:27:32.360]  And we do have a lot of new products coming in next year.
[01:27:32.360 --> 01:27:37.360]  A lot of exciting stuff too, but we've got to make it through this leg of the battle.
[01:27:37.360 --> 01:27:38.360]  We're starting to turn the tide.
[01:27:38.360 --> 01:27:41.360]  We're starting to win the war and it's life and death.
[01:27:41.360 --> 01:27:42.360]  We're going to stop the gain of function.
[01:27:42.360 --> 01:27:44.360]  We're going to bring the criminals to justice.
[01:27:44.360 --> 01:27:49.360]  We have no choice, our future, our children, everything, but we've got to come together
[01:27:49.360 --> 01:27:54.360]  to expose these Dr. Strange loves that want a doomsday so they can rule the new world
[01:27:54.360 --> 01:27:56.360]  that is the old collapse world.
[01:27:56.360 --> 01:27:58.360]  These people are nihilist to the max.
[01:27:58.360 --> 01:28:02.360]  They want total power and control and they're incredibly dangerous.
[01:28:02.360 --> 01:28:06.360]  Info war store.com or triple eight two five three three one three nine.
[01:28:06.360 --> 01:28:10.360]  We're going to come back with Steve Quayle on the other side.
[01:28:10.360 --> 01:28:11.360]  Please stay with us.
[01:28:12.360 --> 01:28:23.360]  It's hard to believe sometimes that we are still live on air broadcasting free worldwide
[01:28:23.360 --> 01:28:28.360]  and it seems quite real that things can change in an instant.
[01:28:28.360 --> 01:28:35.360]  Things are getting very weird and it's definitely more difficult than ever to even know what's
[01:28:35.360 --> 01:28:36.360]  going on.
[01:28:36.360 --> 01:28:40.360]  But we'll keep doing our best so long as you keep us on the air.
[01:28:40.360 --> 01:28:44.360]  And you can do that now at info war store.com.
[01:28:44.360 --> 01:28:51.360]  Help us clear out our stock of bodies, tumor, vitamin C with zinc and alpha power.
[01:28:51.360 --> 01:28:56.360]  Turn those shady Federal Reserve notes into the highest quality supplements available
[01:28:56.360 --> 01:28:58.360]  while they still last.
[01:28:58.360 --> 01:29:06.360]  Now, with free shipping, we thank you for your support and we wish you a very peaceful,
[01:29:06.360 --> 01:29:08.360]  happy and Merry Christmas.
[01:29:10.360 --> 01:29:12.360]  Info war store.com.
[01:29:19.360 --> 01:29:22.360]  This is Uncle Sam with music and the truth until dawn.
[01:29:22.360 --> 01:29:26.360]  Right now, I've got a few words for some of our brothers and sisters in the occupied zone.
[01:29:26.360 --> 01:29:28.360]  The chair is against the wall.
[01:29:28.360 --> 01:29:30.360]  John has a long mustache.
[01:29:30.360 --> 01:29:33.360]  This is the heart of 1776.
[01:29:33.360 --> 01:29:36.360]  It's 12 o'clock, Americans, another day closer to victory.
[01:29:36.360 --> 01:29:41.360]  And for all of you out there on or behind the lines, this is your song.
[01:29:52.360 --> 01:29:55.360]  There is a deep state global war against humanity.
[01:29:55.360 --> 01:29:57.360]  The foresty population has begun.
[01:29:57.360 --> 01:30:03.360]  Steve Quayle is an expert on the new world order and there's nobody out there who predicted
[01:30:03.360 --> 01:30:10.360]  exactly what would happen decades before like he's done, not even myself or David Icke.
[01:30:10.360 --> 01:30:14.360]  So we're going to be getting into the global repudiation of the U.S. dollar,
[01:30:14.360 --> 01:30:16.360]  Russia's new nuclear policy.
[01:30:16.360 --> 01:30:20.360]  They're saying they're going to be announcing a first strike and so much more.
[01:30:20.360 --> 01:30:24.360]  Also, this huge mega storm coming out of the Pacific, even meteorologists.
[01:30:24.360 --> 01:30:27.360]  I was watching it earlier today, so they're doing anything like it.
[01:30:27.360 --> 01:30:29.360]  Steve is an expert on weather weapons.
[01:30:29.360 --> 01:30:31.360]  He's going to be laying all that out as well.
[01:30:31.360 --> 01:30:42.360]  But we just had Dr. Andrew G. Huff, the big whistleblower, the former chief scientist at World EcoHealth Alliance,
[01:30:42.360 --> 01:30:48.360]  and also the Wuhan lab documenting that they are making these viruses by design.
[01:30:48.360 --> 01:30:49.360]  They are releasing them.
[01:30:49.360 --> 01:30:52.360]  They were behind the COVID virus.
[01:30:52.360 --> 01:30:56.360]  They were behind all the shots for a globalist world government takeover.
[01:30:56.360 --> 01:30:58.360]  And he has a top secret security clearance.
[01:30:58.360 --> 01:31:06.360]  And there he was confirming everything that we've been laying out for almost three years with Steve Quayle and, of course,
[01:31:06.360 --> 01:31:18.360]  Dr. Doyle and just so many others that have been here on air with us laying all of this out.
[01:31:18.360 --> 01:31:21.360]  Dr. Boyle, you name it, the list goes on and on and on.
[01:31:21.360 --> 01:31:24.360]  So many good people coming forward.
[01:31:24.360 --> 01:31:28.360]  So we're going to be going over that first with Steve Quayle and how they're telling us,
[01:31:28.360 --> 01:31:32.360]  oh, the global warming is going to make the deadly viruses come out of the jungle and kill you.
[01:31:32.360 --> 01:31:33.360]  It's your fault.
[01:31:33.360 --> 01:31:34.360]  Oh, the ice caps melted.
[01:31:34.360 --> 01:31:36.360]  So deadly viruses are coming out to kill you.
[01:31:36.360 --> 01:31:40.360]  I'm going to show some of these headlines and then go to Steve Quayle.
[01:31:40.360 --> 01:31:45.360]  Scientists warn long frozen zombie viruses, public health threat amid thaw.
[01:31:45.360 --> 01:31:47.360]  That just came out a month ago.
[01:31:47.360 --> 01:31:51.360]  Zombie viruses are thawing and melting permafrost because of climate change.
[01:31:51.360 --> 01:31:52.360]  Washington Post.
[01:31:52.360 --> 01:31:58.360]  And then meanwhile, why is Boston University scientists experimenting with even deadlier COVID that kills 80 percent of humans?
[01:31:58.360 --> 01:32:01.360]  It comes in contact with and humanize my studies.
[01:32:01.360 --> 01:32:08.360]  Boston University COVID strain explained NBC, Boston gain of function experiments at Boston University created deadly new flu virus.
[01:32:08.360 --> 01:32:10.360]  Who thought this was a good idea?
[01:32:10.360 --> 01:32:12.360]  Forbes gain of function experiments at Boston University.
[01:32:12.360 --> 01:32:15.360]  And it's going on all over the place.
[01:32:15.360 --> 01:32:16.360]  Totally illegal.
[01:32:16.360 --> 01:32:22.360]  And then Foushee gets up before Congress and says, we don't know anything about any of it.
[01:32:22.360 --> 01:32:27.360]  It's all made up when he's all over the documents and we just have this major whistleblower on.
[01:32:27.360 --> 01:32:28.360]  So they're gearing up.
[01:32:28.360 --> 01:32:32.360]  The last viral release was just a dress rehearsal.
[01:32:32.360 --> 01:32:33.360]  Even Bill Gates admits that now.
[01:32:33.360 --> 01:32:34.360]  He says the big ones coming.
[01:32:34.360 --> 01:32:37.360]  He says terrorists are going to release it.
[01:32:37.360 --> 01:32:38.360]  Well, he's the terrorist.
[01:32:38.360 --> 01:32:42.360]  He's the populationist, transhumanist, Satanist.
[01:32:42.360 --> 01:32:49.360]  So Steve Quill of Steve Quill dot com, best selling author, best selling filmmaker on the air 30 plus years.
[01:32:49.360 --> 01:32:51.360]  Trailblazer Maverick.
[01:32:51.360 --> 01:32:53.360]  Thanks for being on with us, Steve Quill.
[01:32:53.360 --> 01:32:58.360]  Well, Alex, it's really important that people understand they are in the target.
[01:32:58.360 --> 01:33:06.360]  You and I have spoken about this for decades, but gain of function just means the effective kill ratio has to be increased.
[01:33:07.360 --> 01:33:15.360]  By all means, death by lethal injection, and there's going to be perpetual vaccines for perpetual bio releases.
[01:33:15.360 --> 01:33:23.360]  And again, very few people when we first started talking about this gain of function would use the G word and that's genocide.
[01:33:23.360 --> 01:33:26.360]  And now I want to just kick people into our reality.
[01:33:26.360 --> 01:33:27.360]  Shake up.
[01:33:27.360 --> 01:33:35.360]  We're talking about the annihilation of the human genome with messenger RNA, with all the different stuff they're putting in the vaccines.
[01:33:35.360 --> 01:33:44.360]  And ladies and gentlemen, they, the globalists, the WEFers, they all look at us as human mice to be experimented on.
[01:33:44.360 --> 01:33:56.360]  And Alex, I want to address all of the what I would call binary viral weapons from Ebola pox to mouse pox to monkey pox and every other pox.
[01:33:56.360 --> 01:34:02.360]  And by the way, Bill Gates, and I say this, Bill Gates literally opened the gates of hell.
[01:34:02.360 --> 01:34:07.360]  And the gates of hell are absolutely now coming at humanity.
[01:34:07.360 --> 01:34:18.360]  Listen, the Georgia Guidestones before they were, let's say this, taken down by whoever's means and reestablished, by the way, in Egypt or re-erected.
[01:34:18.360 --> 01:34:22.360]  But the point is maintaining the earth's population of 500 million.
[01:34:22.360 --> 01:34:26.360]  These people are genocidal maniacs.
[01:34:26.360 --> 01:34:33.360]  And Yuval Noah Harari is the number one mouthpiece, quote, the big thinker.
[01:34:33.360 --> 01:34:38.360]  And, ladies and gentlemen, I don't know how to tell you any clearer than this.
[01:34:38.360 --> 01:34:40.360]  They're going to starve us to death.
[01:34:40.360 --> 01:34:42.360]  They're going to inject us to death.
[01:34:42.360 --> 01:34:44.360]  They're going to freeze us to death.
[01:34:44.360 --> 01:34:48.360]  And the end of the story is everything they're doing, Alex, is resulting in death.
[01:34:48.360 --> 01:34:50.360]  Gain of function is a BS term.
[01:34:50.360 --> 01:34:52.360]  Let's just talk about this.
[01:34:52.360 --> 01:34:58.360]  An enhanced bioweapon with a greater lethal or kill rate than anything before it.
[01:34:58.360 --> 01:35:01.360]  The permafrost thing, that's an old story.
[01:35:01.360 --> 01:35:06.360]  They were taking Spanish flu out of permafrost victims 20 years ago.
[01:35:06.360 --> 01:35:17.360]  But what everybody's missing is that even in the Ukraine, the fact of all the bioweapons labs that the United States was funding in Ukraine are horrific.
[01:35:17.360 --> 01:35:18.360]  They're just horrific.
[01:35:18.360 --> 01:35:22.360]  And, ladies and gentlemen, when it comes to this entire narrative, I want you to understand something.
[01:35:22.360 --> 01:35:30.360]  They will do anything and everything at their disposal to make sure we as human beings go down the disposal.
[01:35:30.360 --> 01:35:40.360]  So it's critical that we tell people, and you've got to resist, you've got to resist because they want the big lockdown.
[01:35:40.360 --> 01:35:46.360]  The big lockdown will be basically followed by the great knocking on the door.
[01:35:46.360 --> 01:35:48.360]  They're going to scare everybody to death.
[01:35:48.360 --> 01:35:53.360]  I believe they're going to use a hemorrhagic fever, i.e. Ebola pox, Ebola and smallpox.
[01:35:53.360 --> 01:35:56.360]  And, listen, all this stuff has been out there for 20 years.
[01:35:56.360 --> 01:36:06.360]  And what they're doing, Alex, is just recycling the, how do I say this, old information to put fear into people because they're telling you they're going to kill you.
[01:36:06.360 --> 01:36:07.360]  That's the problem.
[01:36:07.360 --> 01:36:09.360]  They're telling us they're going to kill us.
[01:36:09.360 --> 01:36:14.360]  The climate narrative is a total fraud.
[01:36:14.360 --> 01:36:23.360]  All of the biggest Luciferians, globalists and satanic scum have made, the carbon footprint is human beings.
[01:36:23.360 --> 01:36:32.360]  And so the point is, is that they are talking about killing everybody because under the guise, oh, look what we did to the environment.
[01:36:32.360 --> 01:36:36.360]  Yeah, go read the Air Force report 2025.
[01:36:36.360 --> 01:36:39.360]  It's called Weather as a Force Multiplier.
[01:36:39.360 --> 01:36:41.360]  We own the weather.
[01:36:41.360 --> 01:36:43.360]  Excuse me.
[01:36:43.360 --> 01:36:47.360]  The amount of information, data, patents and everything.
[01:36:47.360 --> 01:36:51.360]  Dame Wigginton absolutely nails it.
[01:36:51.360 --> 01:36:56.360]  Ladies and gentlemen, they have weaponized everything they can against humans.
[01:36:56.360 --> 01:37:01.360]  And now we're talking about basically chimeric viruses.
[01:37:01.360 --> 01:37:12.360]  Chimeric viruses would be, if you will, animal humans doing everything they can to destroy God's wonderful creation of humanity and the world around us.
[01:37:12.360 --> 01:37:21.360]  So I want people to understand when you're listening to Alex, when you're listening to Mike Adams or you're listening to me, others who are telling you this, you've got to understand we're fighting for your life.
[01:37:21.360 --> 01:37:23.360]  And so you can no longer be a spectator.
[01:37:23.360 --> 01:37:27.360]  You have to be an active participant and standing against it.
[01:37:27.360 --> 01:37:41.360]  And when you hear some bogus bovine swine in a city or county commission talking about this, that or the other thing, especially in phony health departments, you go in there and you raise your constitutional legal authority.
[01:37:41.360 --> 01:37:46.360]  Because, ladies and gentlemen, we watched our elderly murdered over the cold.
[01:37:46.360 --> 01:37:53.360]  But even even our elderly who were not any way dealing with it, they were moved into situations where they would die.
[01:37:53.360 --> 01:37:56.360]  What we saw was eugenics beginning.
[01:37:56.360 --> 01:37:58.360]  Now we're seeing it in babies being injected.
[01:37:58.360 --> 01:38:04.360]  And I got to tell you this, these people are Luciferian bloodthirsty monsters.
[01:38:04.360 --> 01:38:06.360]  And Alex, I think that's too tame.
[01:38:06.360 --> 01:38:07.360]  I agree.
[01:38:07.360 --> 01:38:10.360]  When you talk about you all know Harari, who they admit is their high priest.
[01:38:10.360 --> 01:38:12.360]  He just parrots what is in their white papers.
[01:38:12.360 --> 01:38:14.360]  It makes it look cool.
[01:38:14.360 --> 01:38:16.360]  He says the future is not human.
[01:38:16.360 --> 01:38:19.360]  By 2047, no one will be human but cyborgs.
[01:38:19.360 --> 01:38:22.360]  You won't be able to live unless you let big tech take over your bodies.
[01:38:22.360 --> 01:38:28.360]  So they're saying we're going to release stuff that kills most people and then make it where you have to be artificial to even stay alive.
[01:38:28.360 --> 01:38:33.360]  It is a corporate takeover of the human body, an attempted corporate takeover of the very soul.
[01:38:33.360 --> 01:38:36.360]  And they admit that and they admit they want to depopulate us.
[01:38:36.360 --> 01:38:42.360]  So how would we listen to anything they say on public health with their history of being a bunch of depopulationist?
[01:38:42.360 --> 01:38:44.360]  Well, also, they've never told the truth.
[01:38:45.360 --> 01:38:46.360]  And here's the thing.
[01:38:46.360 --> 01:38:52.360]  You will know Harari said the statement that he said we've killed God and next we're going to kill his body.
[01:38:52.360 --> 01:38:58.360]  The thing is you're talking about outright Luciferians who pledged their allegiance to Lucifer.
[01:38:58.360 --> 01:39:01.360]  They said you're going to own nothing and be happy.
[01:39:01.360 --> 01:39:03.360]  Yeah, that's because you're going to be dead.
[01:39:03.360 --> 01:39:06.360]  And Alex, people must understand.
[01:39:06.360 --> 01:39:08.360]  They must never lose track of this.
[01:39:08.360 --> 01:39:13.360]  And no matter what they do when they begin their day, somebody wants them dead.
[01:39:13.360 --> 01:39:15.360]  That's not for paranoia's sake.
[01:39:15.360 --> 01:39:17.360]  That's for practical application's sake.
[01:39:17.360 --> 01:39:19.360]  It's because they don't want to compete with us.
[01:39:19.360 --> 01:39:26.360]  And technology is so powerful now that if they don't suppress us and get us out of the way, they won't be able to control the future.
[01:39:26.360 --> 01:39:28.360]  This is total selfishness.
[01:39:28.360 --> 01:39:30.360]  Absolutely.
[01:39:30.360 --> 01:39:39.360]  And by the way, the first very unusual creation by British Telecom of an AI chip was called, ready for this, Alex?
[01:39:39.360 --> 01:39:41.360]  The Soul Catcher chip.
[01:39:41.360 --> 01:39:47.360]  That was 20 years ago, I think. 15 at least, 20 years ago, the Soul Catcher chip.
[01:39:47.360 --> 01:39:56.360]  So what is it that when you have the world's leading technocratic elite making war against the human species,
[01:39:56.360 --> 01:40:02.360]  because again, as you know, transhumanism, and you and I spoke years ago about this.
[01:40:02.360 --> 01:40:05.360]  You have me on talking about genetic Armageddon.
[01:40:05.360 --> 01:40:07.360]  I'm the one that coined that term.
[01:40:07.360 --> 01:40:15.360]  And the thing that's important for people to understand is Armageddon is the last battle, and they are after your genetics.
[01:40:15.360 --> 01:40:19.360]  Everything from the graphene oxide, that's the least of what they're putting in.
[01:40:19.360 --> 01:40:30.360]  The sperm counts are plunging, cancer's exploding, and now all these government and university and corporate actuaries confirm
[01:40:30.360 --> 01:40:37.360]  between a 13 and 18 percent increase worldwide in excess death, the biggest since they had record keeping.
[01:40:37.360 --> 01:40:39.360]  I mean, they are slaughtering people with this shot.
[01:40:39.360 --> 01:40:47.360]  Well, and it's slaughter, and I think that's what, and again, slaughter isn't even inclusive enough, Alex.
[01:40:47.360 --> 01:40:55.360]  It's got to be understood, in my opinion, until the, people want to use the weasel words, and you don't, I don't, and we don't.
[01:40:55.360 --> 01:41:01.360]  But there are people that won't use the G-word genocide, and they don't want to talk about the A-word, annihilation,
[01:41:01.360 --> 01:41:10.360]  because what we're watching is even from the Georgia Guidestones, everyone knew those things existed for the past, what, 20 years,
[01:41:10.360 --> 01:41:16.360]  but they never asked the basic question, well, how are they going to get the world population down that far?
[01:41:17.360 --> 01:41:28.360]  We're watching right now, and this is really important, the direct provocation of World War III by the Illuminati, the globalists, and the global chess masters.
[01:41:28.360 --> 01:41:38.360]  Remember, I don't know who said it, but one of the international bankers famous for statements is this, they make more in one day of war than a year of peace.
[01:41:38.360 --> 01:41:45.360]  Now, what's important for people to understand is the entire Russian narrative is wrong, has been wrong.
[01:41:45.360 --> 01:41:55.360]  Sixty-one people who are in intelligence, FBI, all of the judicial branch of government, spies, counter-spies, they all lie.
[01:41:55.360 --> 01:42:06.360]  They all basically swore to the Russian collusion, the Steele dossier. That was total, excuse me, bogus, and it was also proven to be wrong.
[01:42:06.360 --> 01:42:11.360]  Well, since you're going there, and I want to get into the dollar and all the big issues you want to cover, because I agree they're the most important right now,
[01:42:12.360 --> 01:42:19.360]  how big is it, because we know what's going on at Twitter and Facebook and Instagram and YouTube and everywhere else, and Apple,
[01:42:19.360 --> 01:42:27.360]  but what do you make of it coming out that the State Department was directing it with the ADL and the FBI, meddling in elections, suppressing millions of people,
[01:42:27.360 --> 01:42:32.360]  and the fact that that's all coming out, and that it's Elon Musk that's bringing it out, what do you make of that?
[01:42:32.360 --> 01:42:42.360]  First of all, it was all about containing the truth, destroying the truth, not allowing any narrative that was true into the false narrative.
[01:42:42.360 --> 01:42:48.360]  That's why they use the term. By the way, conspiracy theory was invented by the Central Intelligence Agency.
[01:42:48.360 --> 01:42:56.360]  They would vilify, nullify, and destroy anybody who told the truth.
[01:42:56.360 --> 01:43:00.360]  You talked about this. I talked about this. A lot of us talked about this.
[01:43:00.360 --> 01:43:12.360]  But the point is, it's incredulous to me that it's now in retrospect that not enough people cared about the mass destruction.
[01:43:12.360 --> 01:43:19.360]  I want to tell you something. The Bears report is fake. The global death count mortality rate is fake.
[01:43:19.360 --> 01:43:30.360]  If the truth were known, what people sat by by their silence and acquiescence to the entire false narrative and the lockdown and shutdown and destruction of our economy,
[01:43:30.360 --> 01:43:39.360]  we were co-complicit in our own destruction. And now as the shelves go bare, everything they're doing, Alex, is to kill humanity.
[01:43:39.360 --> 01:43:47.360]  And we are dealing with some very evil. Now look, if you look at Elon Musk, he's got the Baphomet on his chest.
[01:43:47.360 --> 01:43:54.360]  If you want to throw back the picture, he's got an upside down cross and a house divided against itself can't stand.
[01:43:54.360 --> 01:44:01.360]  But what's happening is everything's designed to keep people in a state of confusion because is he a good guy?
[01:44:01.360 --> 01:44:10.360]  Is he a good guy? What's going on? And I think it's important that at the end of the day, there's a lovely trio.
[01:44:10.360 --> 01:44:19.360]  At the end of the day, people understand that we are in a spiritual battle with supernatural evil personages.
[01:44:19.360 --> 01:44:25.360]  And we are right at the time where I believe, in my own opinion, that they need a World War three.
[01:44:25.360 --> 01:44:28.360]  We'll get to that in a minute. They need World War three.
[01:44:28.360 --> 01:44:35.360]  By the way, the neural link will lead to the ultimate implantation of the literal mark of the BC Antichrist.
[01:44:35.360 --> 01:44:43.360]  And we're so close to that now that I don't think people, if they could take a deep breath and they count to ten in their exhaling,
[01:44:43.360 --> 01:44:54.360]  I probably don't realize how close it is because, again, what we're watching is one globalist at war seemingly with another globalist,
[01:44:54.360 --> 01:45:01.360]  the richest guy one day, the second richest guy the next. But at the end of the day, you've got to look at the fruit.
[01:45:01.360 --> 01:45:10.360]  People just go, oh, yeah, Twitter is going to come back under good guys control. Twitter's already done its damage.
[01:45:10.360 --> 01:45:16.360]  We are no longer the nation we once were. And Alex, I got to tell you, someone who's fought for this country,
[01:45:16.360 --> 01:45:22.360]  I don't mean in the military, but trying to get people to understand what the lateness of the hour is.
[01:45:22.360 --> 01:45:27.360]  The hour is now upon us and people are still scratching their heads why they go to a grocery store.
[01:45:27.360 --> 01:45:33.360]  Let's talk about that, because we've had hundreds and hundreds of food processing plants blown up here in Europe.
[01:45:33.360 --> 01:45:41.360]  I go to restaurants I've gone to for 20 years and the portion is half the size it was. The prices have doubled, tripled.
[01:45:41.360 --> 01:45:45.360]  Inflation is way worse than they're saying. And they admit it's all part of their plan.
[01:45:45.360 --> 01:45:48.360]  What does this lead into now in the next six months to a year?
[01:45:48.360 --> 01:45:56.360]  Let's get into what they're maneuvering the dollar into. China making this deal with Saudi Arabia and how Russia is right at the center of that.
[01:45:56.360 --> 01:46:00.360]  Let's start getting into your main points that you've joined us today to cover.
