[00:00.000 --> 00:06.000]  Please welcome to the program, the always interesting dynamic, Donald Trump. Donald!
[1:35:14.000 --> 1:35:18.000]  describe what it was like, how that happened when you woke up,
[1:35:18.000 --> 1:35:23.000]  and then the process of actually watching in real time with your own children.
[1:35:23.000 --> 1:35:30.000]  Okay, so what happened is the doctors when my first child was born kept telling me that,
[1:35:30.000 --> 1:35:33.000]  because we did do both.
[1:35:33.000 --> 1:35:38.000]  We breastfed and gave formula, and they told us to use the nursery water
[1:35:38.000 --> 1:35:45.000]  because it would help their bones and their brain growth and all these good things
[1:35:45.000 --> 1:35:49.000]  that I thought would help keep them comfortable.
[1:35:49.000 --> 1:35:56.000]  And when I finally gave it to them, we gave it to them for about a year.
[1:35:56.000 --> 1:36:06.000]  And I mean, the amount of damage that I believe it did was, it almost makes me feel guilty.
[1:36:06.000 --> 1:36:11.000]  No, it's not your fault. You didn't know. Think of the evil, though, that they knew.
[1:36:11.000 --> 1:36:15.000]  Exactly. You know, because this stuff isn't new.
[1:36:15.000 --> 1:36:21.000]  I watched a documentary from 1945 called Concentration Camp.
[1:36:21.000 --> 1:36:27.000]  Nazi Concentration Camp on Netflix by George Stevens.
[1:36:27.000 --> 1:36:37.000]  And it basically mentioned in there that in the Concentration Camp, they were using fluorinated water.
[1:36:37.000 --> 1:36:46.000]  And my kids, the three youngest, their development is above the board.
[1:36:46.000 --> 1:36:57.000]  Think about that. Pulled surprise winning books like Rise and Fall III and famous documentaries from the time say Hitler put fluoride and water to dumb people down.
[1:36:57.000 --> 1:37:02.000]  It's a fact. And then at World War II, our own elites go here. It's for you.
[1:37:02.000 --> 1:37:08.000]  And then all these years later, 70 something years later, we put up with this crap.
[1:37:08.000 --> 1:37:13.000]  Yeah, I mean, I think that they should pull that stuff off the shelves immediately.
[1:37:13.000 --> 1:37:22.000]  No, they have something. You know what? Files suit against them. You know, they're not going to pay attention till that happens because it's all part of a eugenics sick joke.
[1:37:22.000 --> 1:37:29.000]  Look, they used to use fluoride as cockroach poison. You just put it out on the floor.
[1:37:29.000 --> 1:37:35.000]  Roaches don't know what it is. They walk through it when they lick their feet later. Bye-bye.
[1:37:35.000 --> 1:37:42.000]  And so why are they putting roach poison in the water? It doesn't make your teeth clean.
[1:37:42.000 --> 1:37:48.000]  Now, somebody can type fast in there. This is getting scary. They're typing in what I'm saying. They're pulling it up as fast as I'm saying it.
[1:37:48.000 --> 1:37:55.000]  Sweeney's sodium fluoride roach killer kills roaches, crickets, and water bugs, and sulfur spesh.
[1:37:55.000 --> 1:38:00.000]  Don't ingest yourself or bye-bye. And that's sodium fluoride. That's the weak stuff.
[1:38:00.000 --> 1:38:07.000]  God bless you, brother. I appreciate your call. Sorry I put it into your firstborn.
[1:38:07.000 --> 1:38:17.000]  They're jerks, man. Hey, those that support fluorination, I say, what happens if folks say that you support leadination
[1:38:17.000 --> 1:38:23.000]  and people start letting your blood? Because you're hitting us with a chemical weapon.
[1:38:23.000 --> 1:38:27.000]  Well, what happens if we hit you with them? We're like, oh, you didn't know?
[1:38:27.000 --> 1:38:32.000]  Leading of the blood is good as well. Here, I'm giving you vitamins.
[1:38:32.000 --> 1:38:37.000]  Shoot you with a 12-gauge shotgun. I mean, I'm not saying do that. In fact, don't.
[1:38:37.000 --> 1:38:43.000]  I'm just saying, this is how they blast holes in our brains. You wonder how the eugenicists carry this out?
[1:38:43.000 --> 1:38:50.000]  They do it in the name of health, and the average doctor doesn't even know.
[1:38:50.000 --> 1:38:56.000]  My dad's a dentist. Retired now, but he apologized to me like 15 years, 20 years ago, whatever it was.
[1:38:56.000 --> 1:39:02.000]  He's like, son, we need some calcium fluoride. I thought that was what was in the toothpaste.
[1:39:02.000 --> 1:39:08.000]  He goes, they're putting toxic waste. He saw the head Canadian scientist that had been for fluoridation come out against it.
[1:39:08.000 --> 1:39:13.000]  He's like, I didn't know they were putting hydrofluorosalicylic in. I mean, my God, that's insane.
[1:39:13.000 --> 1:39:24.000]  He would never think like that. It's like, really? But this is what's going on.
[1:39:24.000 --> 1:39:28.000]  Angeline in Pennsylvania on the air. Thanks for holding.
[1:39:28.000 --> 1:39:29.000]  Hi, Alex.
[1:39:29.000 --> 1:39:30.000]  Hi.
[1:39:30.000 --> 1:39:45.000]  What I wanted to talk about was Mr. Roger Stone. My understanding is that they are Trump's Justice Department wants to sentence him to prison for seven to nine years.
[1:39:45.000 --> 1:39:50.000]  Yeah, I mean, to say it's Trump's Justice Department is a true statement, but he's not in control of it.
[1:39:50.000 --> 1:39:54.000]  Yeah, I've got the big data dump on that next segment.
[1:39:54.000 --> 1:40:01.000]  Well, you know, I've been looking at Trump a whole new way lately, and I don't like what I'm seeing.
[1:40:01.000 --> 1:40:12.000]  You know, he seems to need to be the other half of an abusive couple with children where the father is physically abusive to his children.
[1:40:12.000 --> 1:40:21.000]  And the mother is this great mother, you know, she cooks nice dinners and packs lunches and helps the kids with their homework and keeps the house nice and neat.
[1:40:21.000 --> 1:40:27.000]  But when the father comes home because he had a bad day at work and he abuses his kids, he doesn't do anything about it.
[1:40:27.000 --> 1:40:35.000]  You know, he just kind of let him beat the kids and be physically abusive. That's how I look at Trump.
[1:40:35.000 --> 1:40:36.000]  You know, he's doing all this.
[1:40:36.000 --> 1:40:44.000]  That's a really good. People ask why Matt Rudge is mad at him. I know why. I mean, I can see what Rudge is saying through what he posts.
[1:40:44.000 --> 1:40:49.000]  He let him screw us on Jover. He's letting the press get persecuted.
[1:40:49.000 --> 1:40:53.000]  And, you know, I'm so glad to have Trump rather than Hillary.
[1:40:53.000 --> 1:40:59.000]  But I'll say this, Trump gets reelected in 265 days.
[1:40:59.000 --> 1:41:05.000]  If he does, if he doesn't take real action, I'm going to make it a full time job to go after Trump politically.
[1:41:05.000 --> 1:41:07.000]  And we can already do that with our listeners and stuff.
[1:41:07.000 --> 1:41:14.000]  In fact, now is the time to have listeners go to those rallies and say, we support you, Mr. President, but you've got to defend free speech.
[1:41:14.000 --> 1:41:16.000]  I mean, that's absolutely true.
[1:41:16.000 --> 1:41:24.000]  You know, also, he has freedom of speech. He can still tweet, but he's not doing anything for everyone else that's getting screwed with it.
[1:41:24.000 --> 1:41:29.000]  You know, I mean, he can tweet. He can go on TV and everything else he does.
[1:41:29.000 --> 1:41:36.000]  He can say whatever he wants, but people are being shadow banned on Twitter and on YouTube and Facebook.
[1:41:36.000 --> 1:41:40.000]  Why do you think, because it's beyond free speech, it's racketeering.
[1:41:40.000 --> 1:41:45.000]  They're doing this in concerted action to violate huge classes of people's rights.
[1:41:45.000 --> 1:41:49.000]  Why has he done nothing? Why did he tell Sange release it?
[1:41:49.000 --> 1:41:53.000]  And then if Sange did, he lets him stay in prison.
[1:41:53.000 --> 1:41:55.000]  Do you really want to know what I think?
[1:41:55.000 --> 1:41:57.000]  Yeah, tell me. You're on air. We're not censoring you.
[1:41:57.000 --> 1:42:05.000]  I really don't think he is the real deal, Mr. Jones.
[1:42:05.000 --> 1:42:11.000]  I don't, I understand that he's done a lot for the country. I understand he's done a lot for the economy.
[1:42:11.000 --> 1:42:15.000]  No, no, no, you don't have to provide so. Tell us what, how do you think Trump's bad?
[1:42:15.000 --> 1:42:25.000]  I think he is a different version of the ones that are, you know, you can see all the ugliness of Nancy Pelosi and Hillary and everything like that.
[1:42:25.000 --> 1:42:31.000]  You can see their ugliness, but he is just a, a ver, he is a globalist.
[1:42:31.000 --> 1:42:38.000]  You know, don't forget his children played with Nancy, with Hillary. They went to each other's weddings.
[1:42:38.000 --> 1:42:45.000]  You know, they've been friends for a long time and, you know, Hillary's still walking in the woods with her rapist husband.
[1:42:45.000 --> 1:42:55.000]  And, you know, Mr. Rossange is suffering greatly. Mr. Stone is suffering. He didn't do anything wrong.
[1:42:55.000 --> 1:42:59.000]  Almost all the other big storable food companies are sold out of food.
[1:42:59.000 --> 1:43:05.000]  But I know for a fact from sources to tell them people, oh, we've got it. Get your order in two weeks for delivery.
[1:43:05.000 --> 1:43:10.000]  We follow this pattern over and over again. I've been on radio for 25 years. I've had storable food for a long time.
[1:43:10.000 --> 1:43:15.000]  And I learned very quickly a lot of these companies, they're fine during normal times, but during a crisis,
[1:43:15.000 --> 1:43:19.000]  they don't keep a bunch of food on hand because of inventory. They'll still take your orders.
[1:43:19.000 --> 1:43:24.000]  That's why about 11 years ago I found my Patriot Supply, now the biggest, most trusted company out there,
[1:43:24.000 --> 1:43:28.000]  and I became a private labeler for them because they actually have it on hand.
[1:43:28.000 --> 1:43:31.000]  They actually give it delivered to you on time. They do what they're going to say they're going to do
[1:43:31.000 --> 1:43:34.000]  because they want you as a customer over and over again and they're good people.
[1:43:34.000 --> 1:43:39.000]  Now they were saying seven to 10 days before shipping because they've got the food, but they've got to package it record level orders.
[1:43:39.000 --> 1:43:44.000]  Now it's 10 to 14 because it's only intensifying with the coronavirus.
[1:43:44.000 --> 1:43:48.000]  So get your orders at infowarstore.com. Get the best deals, get it delivered first.
[1:43:48.000 --> 1:43:51.000]  They're in our system. It goes right to them. Then it funds the info as well.
[1:43:51.000 --> 1:44:16.000]  So get prepared infowarstore.com with Swarble Foods.
[1:44:21.000 --> 1:44:25.000]  And remember we're all part of the fight. Info Wars, brought to you by you.
[1:44:51.000 --> 1:44:56.000]  More energy levels and take advantage of the superior form of B-12 today with Ultra-12.
[1:45:21.000 --> 1:45:28.000]  Trust in SNBC. Drink fluoridated water. Just like the loving kiss of a king cobra.
[1:45:28.000 --> 1:45:34.000]  Pumping deadly, I mean loving, helpful nutrients in your body.
[1:45:34.000 --> 1:45:39.000]  Hug the cobra. Love the cobra. Kiss the cobra.
[1:45:39.000 --> 1:45:52.000]  But never, never go to infowars.com or infowarsstore.com. Do not order those products. Silence Jones.
[1:45:57.000 --> 1:46:06.000]  It is I, the leader of Cobra here for a message to President Trump, the American people and Alex Jones of Info Wars.
[1:46:06.000 --> 1:46:13.000]  Our operations with our partners, the Communist Chinese, have brought control of your media.
[1:46:13.000 --> 1:46:23.000]  But it's true, your people are beginning to awaken. That's why Cobra is launching operations to trigger race war,
[1:46:23.000 --> 1:46:29.000]  mass shootings and bombings which will be blamed on those loyal to America.
[1:46:29.000 --> 1:46:38.000]  Anyone once we stage these attacks that does not blame it on Trump will also be targeted by Cobra in the future.
[1:46:38.000 --> 1:46:48.000]  You see, when you expose our false flags and fake media, I will carry out attacks and then blame you
[1:46:48.000 --> 1:46:54.000]  like we've done with Alex Jones blaming him for mass shootings we committed.
[1:46:54.000 --> 1:47:07.000]  You're listening to the Alex Jones show.
[1:47:07.000 --> 1:47:21.000]  Crashing through the lies and disinformation, it's Alex Jones.
[1:47:21.000 --> 1:47:28.000]  Rex in Florida, you want to comment on coronavirus. Thanks for calling. You're on air. Thank you.
[1:47:28.000 --> 1:47:37.000]  Yes, sir. Hey, Mr. Jones, I would like to blow the whistle on what's actually going on in the healthcare system right now.
[1:47:37.000 --> 1:47:38.000]  Please.
[1:47:38.000 --> 1:47:49.000]  Basically what's happening is that there is a directive that's coming from our healthcare administrators down to the director of nursing, down to the charge nurses.
[1:47:49.000 --> 1:48:01.000]  What is happening is that they are threatening us as everything from CNA, patient care techs, level one through three, EMT, paramedic, up to LPN and RNs,
[1:48:01.000 --> 1:48:07.000]  not to disclose anyone who is currently in quarantine or who is being underneath evaluation.
[1:48:07.000 --> 1:48:19.000]  We can't even tell the people who are in adjoining rooms under threat of violating HIPAA, the Health Insurance Personal Protection Act, for violating privacy.
[1:48:19.000 --> 1:48:27.000]  Even if we don't say exactly who it is, their name or age, which is normally covered underneath the act, they're saying it's a violation of HIPAA.
[1:48:27.000 --> 1:48:31.000]  Sure. That sounds like an abuse of the act to engage in a cover up.
[1:48:31.000 --> 1:48:44.000]  Yes, it is. Now, the other thing is too, what is happening through HPA, for instance, through the HPA healthcare system, through the hospitals, they own what's called rehabilitation centers.
[1:48:44.000 --> 1:48:54.000]  So once they actually get someone admitted and they see that they're not going to get any better within 48 to 72 hours, they then transfer them over to a rehabilitation center.
[1:48:54.000 --> 1:49:02.000]  Rehabilitation center is for people who normally have surgery, but these rehabilitation centers have negative pressure rooms.
[1:49:02.000 --> 1:49:12.000]  They put precautions on the doors, what we consider precautions, which is your gowns, gloves, mask, goggles, feet protectors, etc.
[1:49:12.000 --> 1:49:24.000]  They don't even tell us as healthcare workers exactly how, I guess you want to say how infected or how serious the person is infected.
[1:49:24.000 --> 1:49:27.000]  Let me guess, you've never seen anything like this happen before.
[1:49:27.000 --> 1:49:43.000]  We actually have a few years ago during the pneumonia outbreak, they actually had it, also we had a C-diff outbreak, which is a bowel-based illness, which never goes away, which can actually kill you eventually.
[1:49:43.000 --> 1:49:46.000]  So this has happened before.
[1:49:46.000 --> 1:49:47.000]  Well, that's good news.
[1:49:47.000 --> 1:49:48.000]  People don't know about it.
[1:49:48.000 --> 1:49:50.000]  I mean, not in a good way, you know what I mean?
[1:49:50.000 --> 1:49:58.000]  No, sir. Now, the other thing is, is that after they go into the rehabilitation centers for 12 to 14 days, they then transfer them over to a nursing home.
[1:49:58.000 --> 1:50:08.000]  What people don't realize is that nursing homes have contracts with the hospitals, but they're nursing homes, which is considered long-term care, and then they have what's called short-term care.
[1:50:08.000 --> 1:50:11.000]  Short-term care is your rehabilitation side.
[1:50:11.000 --> 1:50:20.000]  So that's where a lot of these people are going, and then they are at those nursing homes, the CNA, who go in there and do vital check every 30 minutes.
[1:50:20.000 --> 1:50:29.000]  In some cases, all the way up to every three hours to do vital check, temperature, respiration, also checking to see if the person can be cleaned up.
[1:50:29.000 --> 1:50:31.000]  I'm not an expert like you.
[1:50:31.000 --> 1:50:33.000]  What are you thinking is going on?
[1:50:33.000 --> 1:50:42.000]  I'm thinking that this is already going on, and healthcare professionals, like myself, they can't talk.
[1:50:42.000 --> 1:50:47.000]  Not just underneath threat of losing their job, but also going to federal prison for violating GIPA.
[1:50:47.000 --> 1:50:55.000]  Sure. So when I see these federal headlines from the Department of Homeland Security, Department of Defense, the military has mass quarantine camps set up in the U.S.
[1:50:55.000 --> 1:51:00.000]  They're expanding them. You're saying that that is what's going on, and they're telling you, don't talk.
[1:51:00.000 --> 1:51:04.000]  They're telling us, don't talk underneath HIPAA.
[1:51:04.000 --> 1:51:12.000]  So let's say if you're in a room and you got out of heart surgery and you're admitted and you notice that there's precautions hanging on a door on a door hanger with mask.
[1:51:12.000 --> 1:51:20.000]  And you see these guys going in and out like myself, going in and out of a room for someone that supposedly has the flu, full precaution.
[1:51:20.000 --> 1:51:22.000]  Of course, you're adjoining room.
[1:51:22.000 --> 1:51:25.000]  You ask us when we actually come to check on you.
[1:51:25.000 --> 1:51:29.000]  Hey, let's check your vital since you had heart surgery and you asked, hey, sir.
[1:51:29.000 --> 1:51:35.000]  What's going on with the patient next door? Should I be worried? We can't tell you anything.
[1:51:35.000 --> 1:51:40.000]  And it's not just we can't even say remotely. Hey, yeah, they have a flu or anything.
[1:51:40.000 --> 1:51:46.000]  Can't say anything, not even to the patients in adjoining rooms who may have concerns.
[1:51:46.000 --> 1:51:55.000]  And it's to the point where even other CNAs, other nurses, other LPN who may not be working on a particular hall.
[1:51:55.000 --> 1:52:03.000]  They're not being told either. So if they ask a charge nurse or they ask someone else, basically they're told, don't worry about it.
[1:52:03.000 --> 1:52:05.000]  You know, we can't say anything.
[1:52:05.000 --> 1:52:07.000]  Well, I know this.
[1:52:07.000 --> 1:52:12.000]  Normally, GGP arrest people for videotaping stuff in public.
[1:52:12.000 --> 1:52:15.000]  Everybody's doing it in public and they're being encouraged to do so.
[1:52:15.000 --> 1:52:21.000]  Usually they censor everybody and so they're clearly trying to promote the fear of it.
[1:52:21.000 --> 1:52:25.000]  But while telling us, though, everything's okay, kind of a mix of propaganda.
[1:52:25.000 --> 1:52:27.000]  What do you think is going on?
[1:52:27.000 --> 1:52:42.000]  I honestly think it's almost along those lines because if we take any pictures, if we make any phone calls, if I was to disclose right now the exact location of what hospital or nursing home facility or rehabilitation facility, I would go to jail.
[1:52:42.000 --> 1:52:45.000]  I would go to federal prison.
[1:52:45.000 --> 1:52:49.000]  I will have my license revoked. It will be revoked. It will be taken away from me.
[1:52:49.000 --> 1:52:57.000]  Then what will happen is, is that they will actually send what's called a state survey team in to do an investigation.
[1:52:57.000 --> 1:53:10.000]  I will be quieted and what will happen is, is that these healthcare workers will be first fired from the facility to take away their legitimacy and also their, I guess you want to say their,
[1:53:10.000 --> 1:53:19.000]  the weight of their word will be taken away because the way that it actually will work is the person will be fired from the facility, the state survey team will do the investigation.
[1:53:19.000 --> 1:53:25.000]  They'll pull their license and then they'll be charged with violation of HIPAA, which takes away all the credibility.
[1:53:25.000 --> 1:53:26.000]  No, I understand.
[1:53:26.000 --> 1:53:31.000]  What are you, what do you think is really going on then?
[1:53:31.000 --> 1:53:34.000]  I think that everything, I think it's already here.
[1:53:34.000 --> 1:53:36.000]  I think that it's been here.
[1:53:36.000 --> 1:53:50.000]  I think that that's the reason why we're seeing things like, and hearing things like don't take up the mask, don't buy masks, don't buy gloves, don't buy a food because healthcare workers need it.
[1:53:50.000 --> 1:53:53.000]  That's why, because it's already here.
[1:53:53.000 --> 1:54:02.000]  We're just not going to hear about it because I think what the turning point is going to be is when more people like myself who comes out and they, and you could do your own investigation.
[1:54:02.000 --> 1:54:10.000]  You can actually look into it, Mr. Jones, you could look into it and how the HIPAA law actually is clamping down on disclosure of anything and everything.
[1:54:10.000 --> 1:54:13.000]  And it's not just, just particular coronavirus.
[1:54:13.000 --> 1:54:14.000]  It could be the flu, the diff.
[1:54:14.000 --> 1:54:20.000]  It could be a number of different things to understand the whole system is geared towards covering up these outbreaks.
[1:54:20.000 --> 1:54:22.000]  And it sets a very dangerous precedent.
[1:54:22.000 --> 1:54:23.000]  All right, Rex.
[1:54:23.000 --> 1:54:24.000]  God bless you.
[1:54:24.000 --> 1:54:26.000]  Be safe and please call back in.
[1:54:26.000 --> 1:54:27.000]  Powerful call.
[1:54:27.000 --> 1:54:29.000]  Let's go to another caller.
[1:54:29.000 --> 1:54:39.000]  Let's go ahead and he's been holding the longest here.
[1:54:39.000 --> 1:54:44.000]  Let's talk to Scott in Vermont about Bloomberg and the bribing scandal.
[1:54:44.000 --> 1:54:45.000]  Scott, go ahead.
[1:54:45.000 --> 1:54:46.000]  Thanks for calling.
[1:54:46.000 --> 1:54:55.000]  I got a conspiracy theory and a theory because I can't really prove it about Mr. Bloomberg and Franconi, not New Hampshire.
[1:54:55.000 --> 1:55:06.000]  You know how that little tiny little town crevice in the white mountains of New Hampshire of only a handful of people was always the first to vote in the nation until Iowa got the first.
[1:55:06.000 --> 1:55:19.000]  But then with the Iowa fiasco, the media was again looking at, like they used to, the year after year, they were in, I heard it at 1am last night that they may sound like only five or six people voted.
[1:55:19.000 --> 1:55:20.000]  One for Bernie.
[1:55:20.000 --> 1:55:22.000]  But they all voted for Bloomberg.
[1:55:22.000 --> 1:55:27.000]  Three, three writing votes for Bloomberg and one of those three writing votes was a Republican.
[1:55:27.000 --> 1:55:32.000]  Now, the NPR did a program about Franconia notch this weekend.
[1:55:32.000 --> 1:55:33.000]  Interesting.
[1:55:33.000 --> 1:55:50.000]  And a whole hour program and talked about how, you know, the powers that be a deep state want to control the, you know, bring the vote would grease the right palms and to get people to vote, you know, and maybe pay him some money and they can took over a little in in the town there and ran that for years.
[1:55:50.000 --> 1:55:54.000]  So it would be the headquarters for whoever, you know, getting their people in.
[1:55:54.000 --> 1:56:01.000]  But maybe maybe Bloomberg grease the right palms of those three, two or three of those people.
[1:56:01.000 --> 1:56:06.000]  So he could have the propaganda on the media that oh, New Hampshire is going for Bloomberg.
[1:56:06.000 --> 1:56:12.000]  Well, there's no doubt they've been trying to steal it from Sanders, which again, Sanders is a horrible person.
[1:56:12.000 --> 1:56:14.000]  But that's what the Democrats have become.
[1:56:14.000 --> 1:56:15.000]  That's who their basis.
[1:56:15.000 --> 1:56:22.000]  So in the process, they've created a monster like Sanders, their constituents believe that BS.
[1:56:22.000 --> 1:56:27.000]  And now they've got to steal it from him again to just hand it over to other Democrats.
[1:56:27.000 --> 1:56:28.000]  They're just as bad.
[1:56:28.000 --> 1:56:30.000]  It is a disaster.
[1:56:30.000 --> 1:56:34.000]  Obama didn't back Biden, his own VP, but Bloomberg.
[1:56:34.000 --> 1:56:42.000]  By the way, Alex, talk more, do a whole investigation on Jeffrey Epstein was a member of the Council of Foreign Relations and the trial level commission for years.
[1:56:42.000 --> 1:56:44.000]  I can prove that in my own.
[1:56:44.000 --> 1:56:45.000]  That's admitted.
[1:56:45.000 --> 1:56:46.000]  Yeah.
[1:56:46.000 --> 1:56:47.000]  Yeah.
[1:56:47.000 --> 1:56:55.000]  And who was the chairman emeritus of the CFR and he started the trial level commission to David Rockefeller and Rockefeller money and eugenics for years and years.
[1:56:55.000 --> 1:57:06.000]  Yeah, do an investigation into the CFR trial level commission, which Epstein was a member of both and the eugenics connection with the Rockefellers.
[1:57:06.000 --> 1:57:15.000]  Because we know that scientists were blackmail, not just politicians, but scientists were blackmailed by a method agent Epstein and there's not about it.
[1:57:15.000 --> 1:57:16.000]  No, not about it, Scott.
[1:57:16.000 --> 1:57:17.000]  Thank you.
[1:57:17.000 --> 1:57:19.000]  All right, we're going to come back.
[1:57:19.000 --> 1:57:28.000]  We're going to take more phone calls from Keon and Randall and many others like Brian and Tyler.
[1:57:28.000 --> 1:57:37.000]  And we've got Joel Scousen, who's a top expert on emergency relocation. I've got these articles that have come out with folks saying America's done.
[1:57:37.000 --> 1:57:40.000]  It's over evacuate to the hills.
[1:57:40.000 --> 1:58:08.000]  Is that really the case? Stay with us.
[1:58:08.000 --> 1:58:10.000]  Right now, humanity's awakening is explosive.
[1:58:10.000 --> 1:58:11.000]  It's powerful.
[1:58:11.000 --> 1:58:12.000]  It's incredible.
[1:58:12.000 --> 1:58:14.000]  But there's major obstacles coming down the road.
[1:58:14.000 --> 1:58:22.000]  And the only way we can effectively fight the NWO and stay in the game on him for worse, his tip of the spear is your financial support.
[1:58:22.000 --> 1:58:23.000]  We make it really easy.
[1:58:23.000 --> 1:58:24.000]  And then for short.
[1:58:24.000 --> 1:58:33.000]  I'm blowing through our backup money right now with our reporters doing triple the work they ever have because they volunteered to do it.
[1:58:33.000 --> 1:58:37.000]  And Owen and the rest of the crew will fight 18 hours a day, seven days a week.
[1:58:37.000 --> 1:58:42.000]  During this election year, that's so critical, but they need the financing to put them in the field.
[1:58:42.000 --> 1:58:46.000]  Go to infowarstore.com and fight for your own future.
[1:58:46.000 --> 1:58:53.000]  Infowarslife.com. Infowarslife.com. Infowarslife.com.
[1:58:53.000 --> 1:58:54.000]  You go to that URL.
[1:58:54.000 --> 1:59:02.000]  It takes you to the subsection of infowarstore.com where you find the 60 plus products where we've gone out and researched.
[1:59:02.000 --> 1:59:03.000]  What is the best?
[1:59:03.000 --> 1:59:08.000]  It gives people the best results, we either private label it or we develop our own with top developers.
[1:59:08.000 --> 1:59:13.000]  And folks, I'm telling you, you can see the difference in me, my energy, my focus.
[1:59:13.000 --> 1:59:16.000]  I've lost almost 40 pounds in less than four months.
[1:59:16.000 --> 1:59:17.000]  It's incredible.
[1:59:17.000 --> 1:59:18.000]  So do yourself a favor.
[1:59:18.000 --> 1:59:21.000]  Try out the products if you've been on the fence.
[1:59:21.000 --> 1:59:24.000]  You can't lose, except if you don't take action.
[1:59:24.000 --> 1:59:31.000]  Because when you buy the products, you're funding the operation that is always delivering thanks to your support and God's grace and our action.
[1:59:31.000 --> 1:59:33.000]  But you need these products.
[1:59:33.000 --> 1:59:36.000]  That's the real reason you want to get them is because they're amazing.
[1:59:36.000 --> 1:59:40.000]  And then when you get great results, please tell others about it word of mouth.
[1:59:40.000 --> 1:59:44.000]  That's how we expand in the face of the NWO instead of imploding.
[1:59:44.000 --> 1:59:46.000]  We're fighting to win and we are winning.
[1:59:46.000 --> 2:00:02.000]  You're listening to the Alex Jones show.
[2:00:02.000 --> 2:00:27.000]  You're listening to the Alex Jones show.
[2:00:27.000 --> 2:00:37.000]  You're listening to the Alex Jones show.
[2:00:37.000 --> 2:00:49.000]  You're listening to the Alex Jones show.
[2:00:49.000 --> 2:00:59.000]  You're listening to the Alex Jones show.
[2:00:59.000 --> 2:01:09.000]  You're listening to the Alex Jones show.
[2:01:09.000 --> 2:01:19.000]  You're listening to the Alex Jones show.
[2:01:19.000 --> 2:01:29.000]  You're listening to the Alex Jones show.
[2:01:29.000 --> 2:01:39.000]  You're listening to the Alex Jones show.
[2:01:39.000 --> 2:01:49.000]  You're listening to the Alex Jones show.
[2:01:49.000 --> 2:01:59.000]  You're listening to the Alex Jones show.
[2:01:59.000 --> 2:02:09.000]  You're listening to the Alex Jones show.
[2:02:09.000 --> 2:02:19.000]  You're listening to the Alex Jones show.
[2:02:19.000 --> 2:02:29.000]  You're listening to the Alex Jones show.
[2:02:29.000 --> 2:02:49.000]  You're listening to the Alex Jones show.
[2:02:49.000 --> 2:03:09.000]  You're listening to the Alex Jones show.
[2:03:09.000 --> 2:03:37.000]  You're listening to the Alex Jones show.
[2:03:37.000 --> 2:03:57.000]  You're listening to the Alex Jones show.
[2:03:57.000 --> 2:04:25.000]  You're listening to the Alex Jones show.
[2:04:25.000 --> 2:04:53.000]  You're listening to the Alex Jones show.
[2:04:53.000 --> 2:05:21.000]  You're listening to the Alex Jones show.
[2:05:21.000 --> 2:05:49.000]  You're listening to the Alex Jones show.
[2:05:49.000 --> 2:06:17.000]  You're listening to the Alex Jones show.
[2:06:17.000 --> 2:06:45.000]  You're listening to the Alex Jones show.
[2:06:45.000 --> 2:07:13.000]  You're listening to the Alex Jones show.
[2:07:13.000 --> 2:07:41.000]  You're listening to the Alex Jones show.
[2:07:41.000 --> 2:08:09.000]  You're listening to the Alex Jones show.
[2:08:09.000 --> 2:08:37.000]  You're listening to the Alex Jones show.
[2:08:37.000 --> 2:09:05.000]  You're listening to the Alex Jones show.
[2:09:05.000 --> 2:09:33.000]  You're listening to the Alex Jones show.
[2:09:33.000 --> 2:10:01.000]  You're listening to the Alex Jones show.
[2:10:01.000 --> 2:10:29.000]  You're listening to the Alex Jones show.
[2:10:29.000 --> 2:10:57.000]  You're listening to the Alex Jones show.
[2:10:57.000 --> 2:11:25.000]  You're listening to the Alex Jones show.
[2:11:25.000 --> 2:11:53.000]  You're listening to the Alex Jones show.
[2:11:53.000 --> 2:12:21.000]  You're listening to the Alex Jones show.
[2:12:21.000 --> 2:12:49.000]  You're listening to the Alex Jones show.
[2:12:49.000 --> 2:13:17.000]  You're listening to the Alex Jones show.
[2:13:17.000 --> 2:13:45.000]  You're listening to the Alex Jones show.
[2:13:45.000 --> 2:14:13.000]  You're listening to the Alex Jones show.
[2:14:13.000 --> 2:14:41.000]  You're listening to the Alex Jones show.
[2:14:41.000 --> 2:15:09.000]  You're listening to the Alex Jones show.
[2:15:09.000 --> 2:15:37.000]  You're listening to the Alex Jones show.
[2:15:37.000 --> 2:16:03.000]  You're listening to the Alex Jones show.
[2:16:03.000 --> 2:16:31.000]  You're listening to the Alex Jones show.
[2:16:31.000 --> 2:16:53.000]  You're listening to the Alex Jones show.
[2:16:53.000 --> 2:17:21.000]  You're listening to the Alex Jones show.
[2:17:21.000 --> 2:17:49.000]  You're listening to the Alex Jones show.
[2:17:49.000 --> 2:18:17.000]  You're listening to the Alex Jones show.
[2:18:17.000 --> 2:18:45.000]  You're listening to the Alex Jones show.
[2:18:45.000 --> 2:19:13.000]  You're listening to the Alex Jones show.
[2:19:13.000 --> 2:19:39.000]  You're listening to the Alex Jones show.
[2:19:39.000 --> 2:20:05.000]  You're listening to the Alex Jones show.
[2:20:05.000 --> 2:20:33.000]  You're listening to the Alex Jones show.
[2:20:33.000 --> 2:21:01.000]  You're listening to the Alex Jones show.
