[00:03.000 --> 00:10.800]  Crashing through the lies and disinformation it's Alex Jones on the GCN radio network
[1:51:47.500 --> 1:51:52.940]  Give yourself and your loved ones the excitement and tradition of sling bow a new frontier in archery
[1:51:53.100 --> 1:51:58.700]  And truly modern twist on this primitive survival tool feel the thrill only at sling bow.com
[1:51:59.580 --> 1:52:03.660]  Are you looking to become more self-sufficient? Then you need to have your own energy source
[1:52:03.740 --> 1:52:09.020]  The solark emp hardened generator is automatic maintenance free and reduces your monthly electric bill
[1:52:09.020 --> 1:52:16.140]  You can also take it off grid when you go camping contact portable solar llc.com or call for details at 972 575
[1:52:16.300 --> 1:52:22.620]  88 75 today portable solar llc gives you everything you need to start using solar energy in less than one hour
[1:52:22.780 --> 1:52:29.020]  Solark emp hardened solar generator energy insurance for your family or business call portable solar llc today
[1:52:29.580 --> 1:52:35.420]  Maybe not today. Maybe not tomorrow, but soon you'll need a plan and place to survive
[1:52:35.420 --> 1:52:40.300]  Forget bunkers. You're not a live underground gopher. You need survivalist camps
[1:52:40.460 --> 1:52:44.140]  The ultimate fully functional off-the-grid mobile survival bug outhouse
[1:52:44.220 --> 1:52:49.100]  That's well equipped and custom built to outlast any other rv or trailer bold statement
[1:52:49.340 --> 1:52:54.620]  You bet see them now at survivalist camps.com. That's survivalist camps.com
[1:52:54.940 --> 1:52:58.140]  Trust your family survival to survivalist camps.com
[1:52:58.140 --> 1:53:05.180]  Did you know your car can be hacked just like your computer or phone hackers can hijack the signal of your own key fob
[1:53:05.420 --> 1:53:09.660]  To burglarize your vehicle in seconds the black hole faraday key fob bag
[1:53:09.820 --> 1:53:16.060]  Is a signal impenetrable shield that stops these hacks in their tracks protect one of your most valuable assets
[1:53:16.220 --> 1:53:22.780]  Go to hack proof bag.com. That's hack proof bag.com and use promo code radio to get 20% off
[1:53:22.780 --> 1:53:28.220]  Or call 805 222 4584 805 222 4584
[1:53:28.780 --> 1:53:35.260]  Fully cooked ready to eat bacon. I'm talking thick meaty center cut presidential bacon savory and delicious
[1:53:35.420 --> 1:53:38.700]  I buy some I use some I store some awesome
[1:53:38.940 --> 1:53:45.900]  No refrigeration needed with a 10 year shelf life nasa pack technology bacon fully cooked fully hydrated
[1:53:46.220 --> 1:53:51.820]  Ready to eat right from the pack bacon or warm and served life saving ready to eat bacon
[1:53:51.820 --> 1:53:58.380]  10 year shelf life bacon ships free at fully cooked bacon.com fully cooked bacon.com
[1:54:13.340 --> 1:54:17.580]  Welcome out to the alex jones show. I'm david night alex jones is in the building
[1:54:17.580 --> 1:54:22.540]  He will be taking the next hour. He has a very important announcement that he's going to be making
[1:54:23.020 --> 1:54:30.060]  At the bottom of the next hour, but he will be taking the show over in the next uh after the uh top of the hour
[1:54:31.420 --> 1:54:35.980]  This segment I want to finish up on what I was talking about with ukraine because I think what we see here from this
[1:54:35.980 --> 1:54:38.540]  Politico article that came out on the 11th
[1:54:39.340 --> 1:54:44.860]  There's really an attempt for them to get ahead of the story to put a spin on this for the democrats because that's where
[1:54:44.860 --> 1:54:49.260]  Politico has hung out and what they talk about with this is ukrainian efforts to sabotage
[1:54:49.820 --> 1:54:55.580]  Trump have actually backfired and of course they're saying this is going to make it very difficult for ukrainians to get any
[1:54:56.060 --> 1:55:01.180]  influence in the trump administration just as we see reports that these never trumpers are saying hey
[1:55:01.180 --> 1:55:05.100]  We're available if you want us for jobs in washington. It's like uh
[1:55:05.820 --> 1:55:10.700]  No, I don't think so. I don't think so. We're not too not too interested. Well, it looks like they have kind of um
[1:55:10.700 --> 1:55:14.060]  Damaged themselves, but I want you to see
[1:55:14.940 --> 1:55:18.940]  How this developed and they point out a ukrainian american operative
[1:55:19.260 --> 1:55:25.420]  Who was a consultant for the democrat national committee met with top officials in the ukrainian embassy in washington
[1:55:25.820 --> 1:55:30.380]  In an effort to expose ties between trump paul menifert and russia
[1:55:31.020 --> 1:55:33.020]  Now remember at the same time
[1:55:33.340 --> 1:55:38.300]  John pedesta's brother was heavily involved lobbyist firm and of course john pedesta and his brother live together
[1:55:38.300 --> 1:55:44.060]  They're very close and their connections on the pedesta side to russia as well
[1:55:44.140 --> 1:55:49.740]  But those were never talked about by the mainstream media were they so they wanted to try to focus this and create a situation
[1:55:49.820 --> 1:55:51.740]  paul manifert and russia
[1:55:51.740 --> 1:55:54.460]  Against trump. They say ukrainian efforts had an impact in the race
[1:55:54.940 --> 1:56:01.260]  They helped to force manifert's resignation the advance the narrative that trump's campaign was deeply connected to ukrainian
[1:56:01.900 --> 1:56:03.900]  foe to the east russia
[1:56:03.900 --> 1:56:09.420]  And then they go through and they talk about well, you know, we've seen that james clapper and the intelligence community have proven
[1:56:09.820 --> 1:56:12.540]  That there were direct efforts by vladimir putin
[1:56:13.020 --> 1:56:18.460]  Because remember this is politico and then they say but there's little evidence of such a top-down effort by ukraine really
[1:56:18.780 --> 1:56:22.700]  Okay, well, let's go through and see exactly what happened. They say nevertheless
[1:56:23.100 --> 1:56:26.780]  politico's investigation found evidence of ukrainian government involvement in the race
[1:56:27.260 --> 1:56:29.660]  That appears to strain diplomatic protocol
[1:56:29.660 --> 1:56:35.500]  That dictates that governments refrain from engaging in each other's elections. So they admit
[1:56:36.140 --> 1:56:38.460]  that the ukrainian government with this
[1:56:39.180 --> 1:56:41.020]  ukrainian american
[1:56:41.020 --> 1:56:48.060]  Working as a long time consultant for the democrat national committee. She worked there from 2004 to 2016. Her name is
[1:56:48.460 --> 1:56:50.460]  alexandra chalupa
[1:56:50.540 --> 1:56:55.660]  She worked at the white house office of public liaison during the clinton administration then worked to work for the dnc
[1:56:55.660 --> 1:57:01.020]  So she's got clinton credentials. She's got dnc credentials for 12 years and she's a ukrainian
[1:57:01.100 --> 1:57:03.580]  She goes with the the ukrainian embassy
[1:57:04.220 --> 1:57:07.180]  To work on this narrative about trump and the russians
[1:57:07.980 --> 1:57:12.860]  They say that she began researching a manifest role in janakovic's rise in ukraine
[1:57:13.100 --> 1:57:17.420]  She said that when trump's unlikely presidential campaign began surging in 2015
[1:57:17.660 --> 1:57:23.100]  She began focusing more on the research and expanded it to include trump's ties to russia as well
[1:57:23.100 --> 1:57:27.820]  So she and the dnc are really the fountainhead of this report
[1:57:27.820 --> 1:57:29.180]  That's the thing that you need to understand
[1:57:29.180 --> 1:57:35.100]  They say she occasionally shared her findings occasionally occasionally shared her findings with officials from the dnc and clinton campaign
[1:57:35.100 --> 1:57:37.420]  Of course, she did she's worked for the dnc and clinton's for
[1:57:38.460 --> 1:57:42.860]  Years and years chalupa told a senior dnc official that when it came to the trump campaign
[1:57:42.860 --> 1:57:46.940]  She said I felt I felt there was a russian connection
[1:57:46.940 --> 1:57:52.780]  So yeah, it's what we got from the intelligence committee, right? They said well, you know, we just feel like that's something that the russians would do
[1:57:53.020 --> 1:57:58.460]  That was the proof that they gave us we feel like that was something that they would do that they had the capability to do that
[1:57:58.460 --> 1:57:59.980]  Well, of course they did
[1:57:59.980 --> 1:58:04.220]  A lot of people had the capability to do that type of thing the very first gucifer
[1:58:04.220 --> 1:58:09.020]  Remember some of these came with somebody that was you know, we don't know who it was exactly gucifer 2.0
[1:58:09.020 --> 1:58:11.500]  But they did catch gucifer 1.0
[1:58:11.500 --> 1:58:17.900]  And it was a guy living in rumania with no computer science experience or programming experience or any
[1:58:18.220 --> 1:58:19.740]  He just guessed
[1:58:19.740 --> 1:58:24.780]  Passwords and got all these emails on colin powell on george w bush and so forth
[1:58:25.180 --> 1:58:29.580]  You don't have to have state level intelligence to do this, but that's what we see
[1:58:29.660 --> 1:58:33.020]  She says well, I felt it was that way this is where it started folks
[1:58:33.500 --> 1:58:39.340]  And politico goes through this tries to spin it and say well, it's not exactly, but it is we'll be right back
[1:58:39.340 --> 1:58:42.940]  Thank you for listening to gcm
[1:58:44.700 --> 1:58:46.940]  Visit gcm live comm today
[1:58:49.980 --> 1:58:53.660]  Electrify your day with secret 12. It's like lightning in a bottle
[1:58:53.820 --> 1:58:57.420]  We all have days in which we just can't seem to perform at the level we'd like to
[1:58:57.740 --> 1:59:05.500]  Info wars live secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin b12
[1:59:05.500 --> 1:59:10.540]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels
[1:59:10.620 --> 1:59:13.980]  The reality is it's hard to take in the proper amount of vitamins
[1:59:13.980 --> 1:59:21.420]  We need each day with our modern diets secret 12 by info wars life is an easy way to naturally upgrade your vitamin b12
[1:59:21.500 --> 1:59:27.260]  Intake and support your body's natural systems. It pairs two forms of vitamin b12 into one
[1:59:27.900 --> 1:59:34.780]  Explosive formula vitamin b12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes
[1:59:34.780 --> 1:59:37.820]  But it also assists with many other functions of the body
[1:59:37.980 --> 1:59:41.340]  Electrify your mind and body and take your health to the next level
[1:59:41.580 --> 1:59:47.420]  Experience the power of secret 12 at info wars life.com. That's info wars life.com
[1:59:47.420 --> 2:00:01.420]  You're listening to the alex jones show
[2:00:21.900 --> 2:00:29.660]  Waging war on corruption it's alex jones coming to you live from the front lines of the info war
[2:00:40.540 --> 2:00:43.980]  Welcome back to the alex jones show i'm david knight alex jones is in the building
[2:00:43.980 --> 2:00:47.820]  He will be in the studio in the next segment. He's going to be taking the helm and at the bottom of the hour
[2:00:48.300 --> 2:00:57.260]  He'll be breaking down that special intel about very dangerous lethal information that they've discovered about proposed attacks
[2:00:57.340 --> 2:00:58.860]  and of course we talked to
[2:00:58.860 --> 2:01:01.100]  James O'Keefe of project veritas and last hour
[2:01:01.980 --> 2:01:09.580]  talking about not only attempts to create panic which can be lethal but also to release a gas butyric acid which is
[2:01:09.580 --> 2:01:16.460]  Disgusting the smell of vomit and the ventilation system to make people flee, but it is also very dangerous in a concentrated form
[2:01:17.180 --> 2:01:23.020]  He exposed that yesterday and today they have part two that is coming out talking about how they're planning to
[2:01:23.740 --> 2:01:30.380]  Take down the transportation system the train system. I presume that's the public train system there in washington dc
[2:01:31.100 --> 2:01:33.100]  so there's all kinds of
[2:01:33.100 --> 2:01:39.820]  Things in the wind quite literally coming up to the inauguration and alex is going to be breaking down some very serious
[2:01:40.300 --> 2:01:45.420]  Information about serious attacks at the bottom of the hour now this amount of time that we've got left
[2:01:45.580 --> 2:01:49.980]  I touched on this earlier in the day and this is a story that's up on the drudge report
[2:01:50.620 --> 2:01:55.180]  From ap as robots take jobs europeans mull free money for all
[2:01:56.140 --> 2:02:00.220]  And you have to understand where this is coming from and i'm very very disappointed
[2:02:00.220 --> 2:02:06.060]  To see people like charles murray who did groundbreaking work back in the 1980s as a conservative
[2:02:06.860 --> 2:02:09.100]  He wrote a book losing ground
[2:02:09.820 --> 2:02:11.820]  talking about how welfare
[2:02:11.820 --> 2:02:16.700]  Was making people dependent on the government and yet he has now become an advocate
[2:02:17.420 --> 2:02:24.140]  Of universal basic income and we've been talking about this for quite some time is clear that this is where they're heading
[2:02:24.460 --> 2:02:29.180]  We had a referendum last year and we talked about this extensively at that time the swiss held a referendum
[2:02:29.180 --> 2:02:35.980]  They proposed giving a basic universal income of $2,500 per month to every swiss citizen
[2:02:35.980 --> 2:02:37.980]  So they held a vote on that nationwide
[2:02:38.060 --> 2:02:40.060]  And it was overwhelmingly rejected
[2:02:40.540 --> 2:02:45.740]  Because the swiss are still some of the most independent minded people and they understand the danger of this
[2:02:46.780 --> 2:02:50.380]  And this is a course when we talk about a universal basic income. This is guaranteed
[2:02:51.020 --> 2:02:53.900]  Monthly money from the government with no strings attached
[2:02:53.900 --> 2:02:56.540]  So you're free to get a job or free not to get a job
[2:02:56.540 --> 2:03:00.540]  So you can just sit there and play video games all day or you can try to
[2:03:01.260 --> 2:03:07.020]  You can take art classes basket weaving you could start a business if you wanted to but we don't really need you to do that
[2:03:07.020 --> 2:03:10.940]  Because we've got the robots that are going to do that now. See this is the next stage that's coming
[2:03:11.740 --> 2:03:15.740]  so they've had a situation where they've been flooding our
[2:03:16.780 --> 2:03:18.780]  country with foreign workers
[2:03:19.020 --> 2:03:25.660]  Exporting our jobs to other countries and then bringing in foreign workers and then putting them in jobs where the younger people really haven't had
[2:03:25.660 --> 2:03:31.420]  The experience of being able to go in and work a minimum wage job and begin to learn a work ethic
[2:03:32.220 --> 2:03:38.300]  There's massive massive unemployment numbers amongst the millennials because they don't want them to get used to having a job
[2:03:38.300 --> 2:03:42.060]  They don't want them to get used to having a car and moving around because they're going to take the cars away
[2:03:42.060 --> 2:03:44.860]  They're going to have the robots run the cars. They're going to have the robots
[2:03:45.500 --> 2:03:49.980]  Building the equipment and it's all going to be owned by a few people just as we saw with Davos
[2:03:49.980 --> 2:03:55.500]  They had 62 people last year that had the equivalent to half of the world's population that's down to eight
[2:03:55.580 --> 2:04:01.100]  That's the kind of concentration of wealth. They want to turn everybody into passive renters
[2:04:01.900 --> 2:04:06.300]  And as we've talked about many times Alex Jones has talked about it the discussion with the elite were
[2:04:06.780 --> 2:04:13.660]  Are we going to kill everybody or will we just kind of pacify them and let them gradually disappear as we
[2:04:14.380 --> 2:04:17.980]  Make it impossible for them to reproduce or we take over the process of reproduction
[2:04:17.980 --> 2:04:21.260]  Just as we saw in Brave New World that plan is is coming true now
[2:04:21.580 --> 2:04:26.460]  This is something you have to understand go back and look at how it has already been practiced by the elites
[2:04:26.700 --> 2:04:31.180]  Practiced by our own government. Take a look at the american indian reservations
[2:04:31.740 --> 2:04:34.220]  They put them on these reservations said you can't leave
[2:04:34.860 --> 2:04:36.860]  They sent their kids away to be educated
[2:04:36.940 --> 2:04:39.900]  They restrict what they're able to do in terms of making a living
[2:04:39.900 --> 2:04:44.940]  They then extended that to the inner city with blacks with welfare program. Now. It's going to be universal for everybody
[2:04:44.940 --> 2:04:49.180]  They'll call it a universal basic income and they will restrict you to the cities
[2:04:49.260 --> 2:04:56.540]  It's called agenda 21 or the un agenda for sustainable development 2030 stay with us. Alex jones will be right back
[2:04:59.740 --> 2:05:05.740]  Nobody loves barack obama more than barack obama in his speech during the chicago cubs world series visit to the white house
[2:05:05.820 --> 2:05:10.620]  He referred to himself a humble 40 times in his farewell address one of his many farewells
[2:05:10.620 --> 2:05:15.660]  He referred to himself 75 times when campaigning for hillary clinton in philadelphia last year
[2:05:15.660 --> 2:05:22.620]  He referred to himself 137 times after the police shooting in dalis obama delivered an address in which he referred to himself
[2:05:22.700 --> 2:05:28.540]  45 times not once referencing himself as one to blame after a mass shooting in organ in a 12 minute speech
[2:05:28.540 --> 2:05:35.340]  He referenced himself 28 times at the democratic national convention obama referred to himself a whopping 119 times
[2:05:35.420 --> 2:05:39.340]  Some attendees were confused and thought he was running again when speaking in india last year
[2:05:39.340 --> 2:05:41.660]  He referred to himself 118 times
[2:05:41.740 --> 2:05:48.620]  It's an international love fest in a speech on jobs in ohio in 2010 barack referenced himself 132 times
[2:05:48.860 --> 2:05:53.100]  But i want you i want you to understand this is not about me
[2:05:53.420 --> 2:05:58.780]  And every morning he eats a bowl of barrios to start his day. This is oan shroyer for info wars.com
[2:05:59.420 --> 2:06:02.380]  Ladies and gentlemen, Alex jones here with the inauguration special
[2:06:02.460 --> 2:06:05.980]  We've had some of the biggest sales in our history since christmas into the new year
[2:06:05.980 --> 2:06:12.220]  I'm extending them as the inauguration specials right through this weekend, and then it's over
[2:06:12.300 --> 2:06:14.780]  We have some new products coming out next week some other sales
[2:06:14.780 --> 2:06:20.620]  We're going to be doing but many of these sales are going to have to come to an end if you want across the board
[2:06:20.940 --> 2:06:24.060]  massive specials on hundreds and hundreds of items like
[2:06:24.380 --> 2:06:31.340]  Brainforce 30 off and there's 20 more in each bottle supermodiality 30 off survival shield x2 30 off
[2:06:31.340 --> 2:06:37.900]  Here's the bottom line. These are great products that change my life and change so many other people's lives. Also, it funds the operation
[2:06:38.060 --> 2:06:44.940]  This sale ends this weekend after the inauguration of donald j trump as the 45th president info wars store.com
[2:06:45.180 --> 2:06:49.580]  For info wars life.com or call toll free triple eight two five three three one three nine
[2:06:49.740 --> 2:06:56.700]  Get great products help fund the info war and celebrate the election of a populist a champion against the new world order
[2:06:56.780 --> 2:06:58.780]  I'm alex jones and this is the info war
[2:06:58.780 --> 2:07:03.100]  Hey, everyone pharmacist ben fuchs here host of the bright side and as many of you know
[2:07:03.180 --> 2:07:07.740]  I'm on a mission to help americans get and stay healthy. You've all heard the shocking statistics
[2:07:08.140 --> 2:07:13.580]  Despite spending trillions of dollars in health care nearly $10,000 per man woman and child in this country
[2:07:13.900 --> 2:07:18.060]  Obesity diabetes cancer heart disease and autoimmune illnesses are rampant
[2:07:18.380 --> 2:07:21.180]  One out of three or four people is dealing with some kind of health challenge
[2:07:21.260 --> 2:07:24.460]  And everyone knows at least one person with a degenerative disease
[2:07:24.460 --> 2:07:28.780]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity
[2:07:28.940 --> 2:07:34.300]  And you're looking for a convenient easy way to incorporate nutritional raw materials into your day to day lives
[2:07:34.540 --> 2:07:40.380]  To guarantee that your body is getting the fundamental nutrients the 90 essential vitamins minerals fats and amino acids
[2:07:40.460 --> 2:07:45.180]  It needs to do its healing work. You need to check out info wars team.com
[2:07:45.660 --> 2:07:49.740]  Give your body the gift of good nutrition head over to info wars team.com
[2:07:49.740 --> 2:07:57.100]  Your body will be very grateful on the web at info wars team.com. That's info wars team.com
[2:08:07.020 --> 2:08:09.020]  Take announcements coming up for us
[2:08:09.180 --> 2:08:11.260]  We're live and the councils of government
[2:08:11.740 --> 2:08:17.340]  We must guard against the acquisition of unwarranted influence whether sought or unsought
[2:08:17.340 --> 2:08:20.380]  By the military industrial complex
[2:08:29.580 --> 2:08:34.700]  It's a military mission in north st. Louis heavily armored vehicles are rolling into town
[2:08:34.940 --> 2:08:39.500]  And don't be alarmed if you see those over the next seven days rolling through your neighborhood
[2:08:39.660 --> 2:08:44.220]  If you see military helicopters flying low over minneapolis do not be alarmed
[2:08:44.460 --> 2:08:46.620]  Guns will be taken no one will be able to be armed
[2:08:46.620 --> 2:08:47.980]  We will take all weapons
[2:08:48.060 --> 2:08:54.780]  Mr. And Mrs. America turn them all in just really brainwash people into thinking about guns in a vastly different way
[2:08:55.020 --> 2:08:57.020]  Enough enough enough
[2:08:57.660 --> 2:09:02.460]  Enough the department of homeland security is apparently on a huge ammo buying spree
[2:09:02.620 --> 2:09:06.620]  It comes out to like 1.6 billion rounds of ammunition
[2:09:06.860 --> 2:09:13.180]  And as case late news 12th Jeff ferrell discovered that clergy would help the government with potentially their biggest problem
[2:09:13.180 --> 2:09:18.540]  Uh, so part of it is we have to break through our kind of private idea that kids belong to their parents
[2:09:18.780 --> 2:09:22.140]  Or kids belong to their families and recognize that kids belong to whole communities
[2:09:22.220 --> 2:09:24.860]  If you've got a business that you didn't build that
[2:09:25.820 --> 2:09:27.820]  Somebody else made that happen
[2:09:28.300 --> 2:09:34.300]  Mercury containing vaccines may help not harm kids according to two new studies in the journal pediatrics
[2:09:34.540 --> 2:09:39.180]  Black Hawk choppers soaring to the night sky, but this is only a drill
[2:09:39.180 --> 2:09:44.220]  Heavily armed officers in water town search for the suspect house to house
[2:09:51.820 --> 2:09:56.940]  It's a joint military training exercise involving local police also military
[2:09:58.460 --> 2:10:03.020]  I am in my apartment, sir. The record song right now. I am inside. I have two words for you
[2:10:03.820 --> 2:10:05.660]  Predator gloves
[2:10:05.660 --> 2:10:09.660]  You will never see it coming
[2:10:10.700 --> 2:10:15.740]  The dramatic scene played out in front of our cameras parents grabbing their children and running
[2:10:15.980 --> 2:10:22.700]  After spending the night hunkering in their houses and then finding themselves face to face with the muzzle of a SWAT officer's rifle
[2:10:22.860 --> 2:10:23.740]  They let them in the area
[2:10:23.740 --> 2:10:28.060]  They told them they could come in and now they're coming in like their trespassers punching and shoving people
[2:10:28.300 --> 2:10:33.020]  We're not turning our guns in and we're not running and we're not backing down
[2:10:33.020 --> 2:10:35.500]  If you want to come and take him
[2:10:37.100 --> 2:10:46.460]  We are on the march the empire is on the run live from the info wars.com studios. It's alex jones
[2:10:51.900 --> 2:10:54.460]  We're live like an ounce of coming up
[2:10:54.460 --> 2:11:06.380]  The potential for the disastrous rise of misplaced power exists and will persist
[2:11:10.540 --> 2:11:13.580]  More enemy waves coming in we're now three days out from the inauguration
[2:11:13.580 --> 2:11:23.740]  These arrogant globalists thought they defeated humanity the truth is whether it's obama or george soros
[2:11:24.460 --> 2:11:29.020]  Their losers everything they had everything they threw against us failed
[2:11:30.300 --> 2:11:31.420]  Now
[2:11:31.420 --> 2:11:37.740]  Just because we defeated these tyrants for now doesn't mean we've won the war the war has happened within our hearts
[2:11:37.740 --> 2:11:44.060]  Within our souls and on our minds. We have to be good. We have to be pure. We have to be strong
[2:11:44.380 --> 2:11:48.780]  We have to build prosperity and we have to bring every one of every race color and creed together
[2:11:50.060 --> 2:11:55.740]  If we're going to truly defeat these tyrants who believe we were going to fail who believe their divide and conquer would work
[2:11:56.540 --> 2:11:57.740]  yes
[2:11:57.740 --> 2:11:59.740]  We've won the first phase
[2:11:59.740 --> 2:12:01.260]  the battle
[2:12:01.260 --> 2:12:03.260]  for the soul of humanity
[2:12:03.260 --> 2:12:05.260]  has just begun but
[2:12:05.260 --> 2:12:07.660]  Obama and hillary and soros
[2:12:09.100 --> 2:12:11.100]  He were losers from the day you were born
[2:12:24.620 --> 2:12:27.660]  This is the heart of 1776
[2:12:28.300 --> 2:12:33.980]  You white male. It's also what happens when you listen to the radio host alex jones
[2:12:33.980 --> 2:12:35.980]  move this
[2:12:35.980 --> 2:12:37.980]  get out the way
[2:12:38.940 --> 2:12:44.860]  We pledge allegiance to one flag and that flag is the american flag
[2:12:45.100 --> 2:12:48.780]  Info wars helped fuel the rumor that president obama is in ices
[2:12:49.340 --> 2:12:54.220]  It's been a cozy relationship from the beginning. I will not let you down
[2:12:54.460 --> 2:12:56.460]  You'll be very very
[2:12:56.540 --> 2:13:01.260]  Impressed I hope and I think we'll be speaking a lot of Donald Trump and alex jones
[2:13:01.260 --> 2:13:09.020]  This means the Donald Trump will be the 45th president of the united states waging war on corruption
[2:13:09.900 --> 2:13:11.900]  alex jones
[2:13:12.940 --> 2:13:17.500]  And ladies and gentlemen, I am very very happy to be back in austin, texas
[2:13:17.820 --> 2:13:19.980]  Got off the airplane about an hour ago
[2:13:20.700 --> 2:13:26.380]  And i'm right back here in the saddle with the wonderful crew here in austin texas coming to you worldwide
[2:13:26.860 --> 2:13:28.860]  day but night in the last
[2:13:28.860 --> 2:13:37.020]  12th broadcasts also have a sunday show has done a superlative job along with paul joseph watson and the rest of this team
[2:13:37.660 --> 2:13:41.900]  I am just again very very honored and humbled to be associated with this great
[2:13:42.620 --> 2:13:51.660]  crew of human beings that are looking for the truth and promoting real justice and analyzing the globalist scientific plan
[2:13:52.620 --> 2:13:55.500]  To dumb down balkanize and enslave the people
[2:13:55.500 --> 2:14:00.700]  Doesn't mean we're perfect doesn't we get it all right, but we try to get it right and our hearts are in the right places
[2:14:00.700 --> 2:14:06.780]  And you can see that info wars thanks to you that our info wars is changing the world
[2:14:08.460 --> 2:14:10.300]  We're three days out
[2:14:10.300 --> 2:14:11.820]  tuesday
[2:14:11.820 --> 2:14:15.980]  Wednesday thursday, and then it's friday or you can technically say we're three and a half days out
[2:14:16.780 --> 2:14:21.900]  Four days until we know what the aftermath is of the 45th president of the united states donald trump
[2:14:21.900 --> 2:14:25.180]  Uh, actually not just getting elected but getting into office
[2:14:26.700 --> 2:14:28.940]  It's not a hard prediction to make
[2:14:29.660 --> 2:14:31.660]  fact, it's a really easy one to make
[2:14:32.780 --> 2:14:34.780]  100 to zero
[2:14:34.860 --> 2:14:37.500]  That they're going to ratchet up the disinformation
[2:14:37.980 --> 2:14:43.340]  Every day before he gets into office, and it's going to continue after but it's not going to be as big a threat
[2:14:43.340 --> 2:14:45.340]  It's still going to be very serious
[2:14:45.580 --> 2:14:47.580]  But the price of liberty is eternal vigilance
[2:14:47.580 --> 2:14:53.020]  If I ever see anything that's real about trump, I'll come out and say it. He's wrong on torture
[2:14:53.820 --> 2:14:57.180]  And he's wrong on quote give the fbi the iphone code
[2:14:57.820 --> 2:15:00.140]  It's the code to all the phones and they already have the back doors
[2:15:00.300 --> 2:15:01.660]  They can already get into them
[2:15:01.660 --> 2:15:06.700]  And so it's just an excuse just like obama did last week to just end the fourth amendment entirely
[2:15:06.700 --> 2:15:12.540]  I mean he just came out and said oh, I'm just signing a new order and uh, I've ordered the intelligence agencies to just
[2:15:12.540 --> 2:15:18.140]  Keep everything track everything and do whatever you want and nobody has to even be a suspect or for the profile
[2:15:20.540 --> 2:15:21.980]  I don't like that
[2:15:21.980 --> 2:15:23.500]  but that said
[2:15:23.500 --> 2:15:30.700]  Trump's heart's in the right place. He's for real and he's bringing in real policies that unseat the globalists and are going to dump
[2:15:31.980 --> 2:15:33.980]  so much opportunity
[2:15:34.220 --> 2:15:35.660]  And money
[2:15:35.660 --> 2:15:42.940]  On the american people. I mean, it's going to be crazy. Our only problem is we're going to turn into decadent slobs again
[2:15:43.100 --> 2:15:45.100]  That's the problem with the trump plan
[2:15:45.820 --> 2:15:47.820]  Is that prosperity
[2:15:47.820 --> 2:15:49.580]  makes monsters as
[2:15:49.580 --> 2:15:51.580]  vector hugo said
[2:15:51.820 --> 2:15:54.860]  It's true adversity makes man prosperity makes monsters
[2:15:56.780 --> 2:16:02.940]  Liberty always brings incredible wealth and that cycle continues then into the corruption into the degradation into the
[2:16:02.940 --> 2:16:04.940]  Collapse of society
[2:16:05.980 --> 2:16:09.500]  But do we have to keep repeating history over and over again?
[2:16:10.620 --> 2:16:14.460]  But we live in a very complex world and freedom has given us so many choices that
[2:16:15.020 --> 2:16:16.060]  We will still have freedom
[2:16:16.060 --> 2:16:20.380]  It's just not going to be equally distributed because a lot of people didn't have the history of freedom
[2:16:20.780 --> 2:16:22.940]  Or they didn't fight for freedom when they had it
[2:16:26.060 --> 2:16:29.740]  You see I love america and I love this planet and I love all of god's gifts
[2:16:29.740 --> 2:16:34.940]  I'm not somebody who's a loser who's just bitching and complaining because I'm in a victimology
[2:16:36.700 --> 2:16:40.300]  I'm fighting for what's good in the world. That's why I'm so angry
[2:16:41.180 --> 2:16:43.180]  I'm territorial about
[2:16:43.660 --> 2:16:47.900]  And I think about how people get territorial when I was on vacation. I'd be sitting there in a restaurant
[2:16:48.460 --> 2:16:54.140]  Slash bar watching people watch nfl playoffs. They'd be arguing with each other kind of bucking up
[2:16:54.220 --> 2:16:57.660]  It was all symbolic about are you for the cowboys or are you for
[2:16:57.660 --> 2:17:02.220]  This group or are you for the the Steelers or are you for the patriots?
[2:17:03.580 --> 2:17:05.580]  Imagine if people wore jerseys
[2:17:06.300 --> 2:17:10.220]  about their favorite part of the bill of rights or if they wore jerseys
[2:17:11.020 --> 2:17:12.860]  about
[2:17:12.860 --> 2:17:14.860]  their belief in property rights or
[2:17:15.580 --> 2:17:18.220]  God for that matter or or their children
[2:17:18.780 --> 2:17:21.260]  But instead we've been given these facsimiles
[2:17:22.220 --> 2:17:24.780]  of commitment so we can commit to the equivalent
[2:17:24.780 --> 2:17:30.700]  Of a blow-up sex doll and and I use that analogy you must get this break all the time
[2:17:31.660 --> 2:17:32.620]  that
[2:17:32.620 --> 2:17:35.020]  sports teams are admittedly bred in circuses
[2:17:35.740 --> 2:17:40.540]  To control the population and to take our mail energies and our travel energies and direct them off
[2:17:41.020 --> 2:17:43.740]  Into something that doesn't matter to the establishment
[2:17:44.540 --> 2:17:48.940]  We play the games of children while the elite control things we sleep while they live
[2:17:50.140 --> 2:17:52.060]  I'm not criticizing anybody that's into sports
[2:17:52.060 --> 2:17:56.060]  But if you pull back from it and see how sick it is there was a french nobleman
