[00:00:17.611 --> 00:00:21.974]  Hindsight is 2020, and the enemy is very cunning.
[01:48:22.736 --> 01:48:23.517]  You're on the air.
[01:48:23.517 --> 01:48:25.917]  Thank you so much, Roger.
[01:48:25.917 --> 01:48:27.138]  Well, Alex, thanks.
[01:48:27.138 --> 01:48:32.459]  I wanted to bring people up to date because they need to understand the president has a compelling case.
[01:48:32.459 --> 01:48:34.380]  He needs to be allowed to take it to the court.
[01:48:34.380 --> 01:48:40.622]  Those who say there is no evidence are part of a mass hypnosis attempt by the mainstream media.
[01:48:41.102 --> 01:48:46.965]  As one who has seen the evidence and talked to the lawyers and read the law, yes, he has an overwhelming case.
[01:48:46.965 --> 01:48:53.908]  Stop the Steal is posting much of this material and will be posting more so any American can see.
[01:48:53.908 --> 01:49:05.573]  In Arizona, in Pennsylvania, in Michigan, in Wisconsin, in Minnesota, there are enormous levels of documentable, credible ballot theft in every country.
[01:49:05.573 --> 01:49:07.134]  That's right and we're going to cover it next hour.
[01:49:07.134 --> 01:49:08.435]  Roger Stone, thank you so much.
[01:49:09.375 --> 01:49:10.896]  All right, Alex, great to be with you.
[01:49:10.896 --> 01:49:15.299]  God bless America and God bless the President of the United States.
[01:49:15.299 --> 01:49:15.999]  That's right.
[01:49:15.999 --> 01:49:21.802]  You know, I don't just gush over people and Trump made a lot of mistakes, but I've been a man in the arena and I know how hard it is when you're in the actual fight.
[01:49:21.802 --> 01:49:23.023]  He did way better than I could have done.
[01:49:23.023 --> 01:49:25.284]  He turned the country around.
[01:49:25.284 --> 01:49:27.105]  All of us got persecuted for him.
[01:49:27.105 --> 01:49:28.866]  I lost almost everything I own.
[01:49:28.866 --> 01:49:29.767]  I got demonized.
[01:49:29.767 --> 01:49:32.488]  Roger almost went to prison, lost most of what he had.
[01:49:32.488 --> 01:49:34.730]  So I stood with Trump because I knew he was a good guy.
[01:49:35.771 --> 01:49:49.540]  He did so much for the average person, and how he doubled the money to black colleges, and how he put 50-something billion into development zones in black neighborhoods, and just, you know, and the prison reform, because he really cares.
[01:49:49.540 --> 01:49:56.045]  And to watch the system piss all over that, with that Joe Biden calling us racist, makes me sick.
[01:49:56.045 --> 01:49:56.845]  But you know what?
[01:49:56.845 --> 01:49:58.706]  You can lead a horse to water, you can't make him drink.
[01:49:58.706 --> 01:50:04.991]  We're going to start the next hour, Owen Schroeder is going to pop in, Stuart Rhodes, O'Keefers is going to be joining our caravan and helping us out with that.
[01:50:05.930 --> 01:50:08.032]  Always going to be in Tallahassee tonight about 8 o'clock.
[01:50:08.032 --> 01:50:09.033]  That's the real rallying point.
[01:50:09.033 --> 01:50:09.794]  We're counting on folks.
[01:50:09.794 --> 01:50:10.835]  We went through Florida.
[01:50:10.835 --> 01:50:12.597]  We know Florida loves liberty.
[01:50:12.597 --> 01:50:13.558]  Gas up the car.
[01:50:13.558 --> 01:50:15.180]  Drive up the next few days with us.
[01:50:15.180 --> 01:50:15.861]  Stay in D.C.
[01:50:15.861 --> 01:50:17.763]  for this event.
[01:50:17.763 --> 01:50:19.405]  If you don't, you're crazy.
[01:50:19.405 --> 01:50:24.911]  Because this is all about visuals and it's all about going up there and it's all about standing for freedom.
[01:50:24.911 --> 01:50:26.833]  So we'll see you in D.C.
[01:50:26.833 --> 01:50:27.313]  Separately.
[01:50:28.342 --> 01:50:32.205]  We are running the emergency sale, and it is an emergency sale.
[01:50:32.205 --> 01:50:36.268]  I don't know what to call it, so I just wrote this long, wrong, wrong title.
[01:50:36.268 --> 01:50:39.590]  American Crisis Emergency Lockdown 2 is coming.
[01:50:39.590 --> 01:50:45.095]  Support InfoWars, the fight against total economic collapse, and Biden's martial law disguises a lockdown too.
[01:50:45.095 --> 01:50:48.957]  We can change this, but InfoWars has got to stay on air, because
[01:50:49.818 --> 01:50:53.060]  We're one of the few places to tell them the truth, and again, I want to thank you all.
[01:50:53.060 --> 01:50:54.361]  But you need the products we have.
[01:50:54.361 --> 01:51:03.447]  The air filtration, the water filtration, the storable food, the non-GMO heirloom seeds, the shortwave radios, the books, the films, the t-shirts.
[01:51:03.447 --> 01:51:06.409]  It's all high quality, and it funds this operation.
[01:51:06.409 --> 01:51:08.710]  A straight-up donation is going to do a great job.
[01:51:08.710 --> 01:51:09.231]  We have those.
[01:51:09.231 --> 01:51:14.734]  It's called sponsoring us, so look for that in the support links at infowarestore.com.
[01:51:14.734 --> 01:51:15.695]  But DNA Force Plus,
[01:51:17.162 --> 01:51:22.846]  Has the PQQ, the CoQ10 of the highest quality, and other ingredients that go in and clean out your cells to boost your immune system.
[01:51:22.846 --> 01:51:25.889]  It's back in stock, 50% off, free shipping, triple trade-through points.
[01:51:25.889 --> 01:51:28.291]  Alpha Power, sold out for a year, we can finally get it.
[01:51:28.291 --> 01:51:30.412]  All the special ingredients in it, 50% off.
[01:51:30.412 --> 01:51:35.857]  Bodies, biodryselenium, Ultra-12, Vitamin Refusion, Cobb & Shill, Supramel Vitality, and so much more.
[01:51:37.611 --> 01:51:43.055]  The controlled corporate media are mouthpieces for any big corporation or government that'll pay them.
[01:51:43.055 --> 01:51:43.695]  It's that simple.
[01:51:43.695 --> 01:51:47.278]  And they've used our open, free society against us.
[01:51:47.278 --> 01:51:57.325]  The controlled media will talk about a few mistakes I've made over the years and obsess over it and say, see, he's a liar on purpose, even though our success rate, our accuracy rate is way, way better than theirs.
[01:51:57.325 --> 01:51:59.126]  We try to tell the truth.
[01:51:59.126 --> 01:51:59.827]  They try to lie.
[01:51:59.827 --> 01:52:01.428]  They try to deceive.
[01:52:01.428 --> 01:52:05.851]  I'm trying to get people to realize what the globalists operate and how they manipulate, how they
[01:52:07.145 --> 01:52:08.226]  Bamboozle the public.
[01:52:08.226 --> 01:52:13.190]  I'm trying to get the public to ask the questions and to not believe what they're told in the face.
[01:52:13.190 --> 01:52:17.815]  I'm trying to get people to research for themselves.
[01:52:17.815 --> 01:52:24.961]  The globalists and their controlled corporate press say that researching and not trusting media is evil and is a conspiracy theory.
[01:52:24.961 --> 01:52:27.083]  Well, again, on its face, that is a fraud.
[01:52:28.064 --> 01:52:29.005]  Question everything.
[01:52:29.005 --> 01:52:30.426]  Question InfoWars.
[01:52:30.426 --> 01:52:35.512]  Add your own research to it and then decide what you're going to promote to others and what news sources are accurate.
[01:52:35.512 --> 01:52:37.134]  I believe InfoWars is the best source out there.
[01:52:38.988 --> 01:52:39.789]  Warning!
[01:52:39.789 --> 01:52:40.509]  Warning!
[01:52:40.509 --> 01:52:41.370]  Warning!
[01:52:41.370 --> 01:52:56.981]  There is not long to stop the complete martial law takeover, the giant third world collapse, and a new world war that is going to be triggered by the new COVID lockdown announced by globalist systems in Europe, in Asia, and now in the United States.
[01:52:57.922 --> 01:53:12.664]  Joe Biden is set to announce today that he has a new COVID task force that is calling for a national mask mandate to prove your servitude, contact tracing, forced inoculations coming, but most importantly, a new lockdown.
[01:53:13.465 --> 01:53:20.749]  That way he can say that Trump is to blame for COVID and claim that only a new lockdown will stop COVID.
[01:53:20.749 --> 01:53:26.753]  Then of course, when that new lockdown doesn't work, those of us that didn't submit to the lockdown are going to be blamed for it.
[01:53:26.753 --> 01:53:30.915]  And that's when all the mass arrests start sometime towards the end of next year.
[01:53:30.915 --> 01:53:33.497]  This is a permanent martial law plan.
[01:53:33.497 --> 01:53:38.360]  Trump must repudiate it, expose Fauci and Gates and the UN takeover, not play games with it.
[01:53:41.684 --> 01:53:50.008]  You're listening to the Alex Jones Show.
[01:53:50.008 --> 01:53:51.708]  Big Brother.
[01:53:51.708 --> 01:53:54.029]  Mainstream media.
[01:53:54.029 --> 01:53:55.830]  Government cover-ups.
[01:53:55.830 --> 01:53:57.891]  You want to stop tyranny?
[01:53:57.891 --> 01:54:00.052]  Well, so does he.
[01:54:00.052 --> 01:54:04.754]  Live from the InfoWars.com studios, it's Alex Jones.
[01:54:06.109 --> 01:54:11.293]  Well, John Brennan, who is a communist, registered communist, voted communist twice, says he's a communist.
[01:54:11.293 --> 01:54:13.055]  He also joined Al-Qaeda.
[01:54:13.055 --> 01:54:14.196]  He's a Wahhabist.
[01:54:14.196 --> 01:54:15.877]  You can't make this up.
[01:54:15.877 --> 01:54:17.759]  Total globalist agent.
[01:54:17.759 --> 01:54:19.600]  He says Trump's the enemy.
[01:54:19.600 --> 01:54:21.081]  And he says we're all bad.
[01:54:21.081 --> 01:54:27.867]  Ex-CIA chief, that's filed the president illegally, pushes palace coup against President Trump to stop declassifications.
[01:54:27.867 --> 01:54:29.768]  I mean, these are monsters.
[01:54:29.768 --> 01:54:31.270]  They're so close to going to prison.
[01:54:32.594 --> 01:54:35.297]  The fact that they're Chinese communist agents, I mean they sell out everything.
[01:54:35.297 --> 01:54:40.382]  Their whole job is to get rid of America, destroy America, no borders, no walls, no USA at all.
[01:54:40.382 --> 01:54:43.085]  Now they're claiming Trump's the enemy and he's got some book out.
[01:54:43.085 --> 01:54:49.272]  So here he is with the disgusting rats, Cuomo, that killed all those, his brother killed all those old people in New York.
[01:54:49.272 --> 01:54:54.197]  Here he is with that mafia, Don's little brother Fredo, talking about our president being bad.
[01:54:54.197 --> 01:54:54.498]  Here it is.
[01:54:55.748 --> 01:55:02.995]  It's clear that Mark Esper was removed as Secretary of Defense because he rebuffed Donald Trump's efforts to politicize the U.S.
[01:55:02.995 --> 01:55:03.916]  military.
[01:55:03.916 --> 01:55:10.043]  And I think it's quite apparent from the reporting that Mark Esper has stood up to Donald Trump repeatedly.
[01:55:10.043 --> 01:55:12.245]  Who knows what else he has refused to do?
[01:55:12.245 --> 01:55:17.150]  And the Secretary of Defense position is, I think, the most consequential position in the U.S.
[01:55:17.150 --> 01:55:18.952]  government aside from the President of the United States.
[01:55:19.472 --> 01:55:26.234]  Because it is the Secretary of Defense who carries out the orders given by a president for military operations.
[01:55:26.234 --> 01:55:45.220]  And if Mark Esper has been pushed aside because he is not, you know, listening to Donald Trump, you know, carrying out these orders, who knows what his successor, this acting secretary, Chris Miller, is going to do if Donald Trump does give some type of order that really is counter to, I think, what our national security interests need to be.
[01:55:45.720 --> 01:55:47.261]  One more rebuttal to his shoulder shrug.
[01:55:47.261 --> 01:55:48.662]  70 days.
[01:55:48.662 --> 01:55:55.307]  You know, he'll be gone in 70 days anyway, once the Electoral College meets and we have the inauguration.
[01:55:55.307 --> 01:55:57.688]  70 days, you can do a lot of damage in 70 days.
[01:55:57.688 --> 01:56:00.270]  He still is the President of the United States.
[01:56:00.270 --> 01:56:03.773]  And is he going to carry out these vendettas against other individuals?
[01:56:03.773 --> 01:56:06.755]  As you pointed out, Chris Wray or Gina Haspel or others.
[01:56:06.755 --> 01:56:11.018]  It is clear that Donald Trump is trying to exercise the power because he can.
[01:56:11.018 --> 01:56:12.439]  And he is going to settle scores.
[01:56:12.979 --> 01:56:17.584]  But I'm very concerned what he might do in his remaining 70 days in office.
[01:56:17.584 --> 01:56:19.627]  Is he going to take some type of military action?
[01:56:19.627 --> 01:56:24.652]  Is he going to release some type of information that could, in fact, threaten our national security interests?
[01:56:24.652 --> 01:56:28.517]  So I think people need to be looking very carefully at what he's doing.
[01:56:28.517 --> 01:56:31.961]  And unfortunately, Republicans in Congress continue to give Donald Trump a pass.
[01:56:32.621 --> 01:56:34.363]  All right, so this is the key question.
[01:56:34.363 --> 01:56:37.006]  What can be done?
[01:56:37.006 --> 01:56:48.378]  Short of him messing with the electoral college and trying to have Republican or friendlies pick their own electors and, you know, go grand scale with faithless electors, what can be done to stop anything he wants to do in the next 70 days?
[01:56:49.813 --> 01:57:03.773]  Well, if Vice President Pence and the Cabinet had an ounce of fortitude and spine and patriotism, I think they would seriously consider invoking the 25th Amendment and, you know, pushing Donald Trump out because he is just very unpredictable now.
[01:57:03.773 --> 01:57:05.235]  He's like a cornered cat.
[01:57:05.815 --> 01:57:07.276]  This is the best news yet.
[01:57:07.276 --> 01:57:08.497]  Back it up 20 seconds.
[01:57:08.497 --> 01:57:10.439]  I want to play that when we come back.
[01:57:10.439 --> 01:57:11.139]  A cornered tiger.
[01:57:11.139 --> 01:57:14.082]  Now they admit he's this powerful creature.
[01:57:33.337 --> 01:57:38.859]  It represents the American soul, and they are so scared because they are rats.
[01:57:38.859 --> 01:57:44.822]  Notice when Cuomo put out a tweet about it, they said, oh, Trump is like, let's give him the article that comes with that, thanks.
[01:57:44.822 --> 01:57:47.663]  They said he's like a cornered rat.
[01:57:47.663 --> 01:57:51.544]  No, no, you're the cornered rats with the cat.
[01:57:51.544 --> 01:57:53.445]  And so this is a big, big deal.
[01:57:53.445 --> 01:57:58.567]  All right, I got a bunch of news I'm going to hit on this front and where we really are as a society and a country.
[01:57:58.567 --> 01:58:00.248]  Ahead of Owen Schroeder popping in.
[01:58:01.257 --> 01:58:11.301]  And then we're also going to have Oath Keepers, founder and a great patriot, constitutional lawyer, Stuart Rhodes, joining us as well.
[01:58:11.301 --> 01:58:20.004]  Please remember, the only way Bandot video gets out, everybody else is censored now, only way InfoWars gets out is you word of mouth it, you private message it, you email it.
[01:58:20.004 --> 01:58:21.905]  They're censoring everything else now, folks.
[01:58:21.905 --> 01:58:23.165]  But keep fighting.
[01:58:23.165 --> 01:58:24.326]  This is such a critical time.
[01:58:24.326 --> 01:58:25.926]  We're very close to beating them.
[01:58:25.926 --> 01:58:28.667]  We forced them out in the open.
[01:58:28.667 --> 01:58:30.368]  No one even knew about globalism 10 years ago.
[01:58:31.328 --> 01:58:32.450]  The New World Order.
[01:58:32.450 --> 01:58:35.273]  So as negative as things are, we've actually come a long way.
[01:58:35.273 --> 01:58:38.378]  Do we expect them just to back down and not give us our country back and our world back?
[01:58:38.378 --> 01:58:39.239]  No.
[01:58:39.239 --> 01:58:41.061]  This is good versus evil.
[01:58:41.061 --> 01:58:42.243]  This is a big, big deal.
[01:58:42.243 --> 01:58:42.624]  Stay with us.
[01:58:47.113 --> 01:58:51.597]  Two Info Wars best-selling products are now back in stock for being sold out for months.
[01:58:51.597 --> 01:58:57.763]  Bio-True Selenium from the mustard seed, essential in all electrochemical activity of the cells in the body.
[01:58:57.763 --> 01:58:59.564]  That's every human activity.
[01:58:59.564 --> 01:59:03.668]  And on top of it, Body's Ultimate Turmeric Formula with 95% Cucuminoid.
[01:59:05.169 --> 01:59:05.749]  We're good to go.
[01:59:26.058 --> 01:59:26.418]  Thank you.
[02:00:04.171 --> 02:00:09.660]  If you are receiving this transmission, you are the resistance.
[02:00:09.660 --> 02:00:14.367]  Live from the InfoWars.com studios, it's Alex Jones.
[02:00:25.635 --> 02:00:28.523]  You know, Greg Reese is totally and absolutely knocked out of the park.
[02:00:28.523 --> 02:00:33.576]  We're going to play a special report, and we're going to go to Owen Schroer on the road right now.
[02:00:33.576 --> 02:00:34.318]  Here is that report.
[02:00:36.516 --> 02:00:40.880]  Hindsight is 2020, and the enemy is very cunning.
[02:00:40.880 --> 02:00:47.627]  But now that they have launched their coup against President Donald J. Trump, we can see their battle plans.
[02:00:47.627 --> 02:00:52.492]  He got four years in the White House, and they weren't going to give him a second term.
[02:00:52.492 --> 02:00:56.196]  Plans for 2020 began immediately following the 2016 election.
[02:00:58.738 --> 02:01:07.387]  Nine days before Trump's inauguration, Fauci says there is no doubt that President Trump will be confronted with a surprise infectious disease.
[02:01:08.533 --> 02:01:15.736]  Two days after the president's inauguration, Bill Gates spoke at Davos and warned of a coming deadly pandemic.
[02:01:15.736 --> 02:01:34.484]  An illegal surveillance operation was already launched before the election, and the president was then subjected to four years of nonstop baseless attacks and defamation, keeping Trump on the constant defense and the American people distracted while the deep state establishment prepared for the 2020 election.
[02:01:35.865 --> 02:01:43.429]  The COVID hoax was in the works years before the election of Donald Trump, but they started fast-tracking it.
[02:01:43.429 --> 02:01:51.793]  In 2017, Dr. Fauci began the controversial program of manipulating a virus to become more infectious to humans.
[02:01:51.793 --> 02:01:54.215]  This is known as gain-of-function research.
[02:01:55.936 --> 02:02:04.943]  In 2018, several CIA agents are elected into public office, claiming their new mission is to foil Trump.
[02:02:04.943 --> 02:02:14.851]  In 2019, Fauci committed $3.7 million to the Wuhan lab in China for gain-of-function work on bat coronaviruses.
[02:02:14.851 --> 02:02:22.797]  In 2019, Dominion voting machines, funded by the Clinton Foundation, expanded their 1,600 jurisdictions into the state of Georgia.
[02:02:23.557 --> 02:02:39.075]  In October of 2019, the Gates Foundation, the World Economic Forum, and Johns Hopkins sponsored Event 201, a tabletop exercise that simulated millions dying from a strain of coronavirus.
[02:02:39.075 --> 02:02:43.300]  Two months later, China reports an outbreak of pneumonia in Wuhan.
[02:02:44.281 --> 02:02:46.762]  March 13th, 2020, the U.S.
[02:02:46.762 --> 02:02:48.643]  shuts down for COVID.
[02:02:48.643 --> 02:02:52.145]  Thousands of people lose their jobs overnight.
[02:02:52.145 --> 02:02:58.648]  We are told that masks don't work, and yet we are told that we must wear them.
[02:02:58.648 --> 02:03:10.594]  On March 16th, the Brennan Center for Justice releases how to protect the 2020 vote from the coronavirus, and suggest mail-in ballots, among other changes to the election.
[02:03:11.574 --> 02:03:14.315]  The media tries to blame Trump.
[02:03:14.315 --> 02:03:21.919]  Fear is injected into the brainwashed masses over an alleged virus less deadly than the common cold.
[02:03:21.919 --> 02:03:27.482]  On May 25th, Soros-funded violent protests erupt throughout the country.
[02:03:27.482 --> 02:03:33.585]  For the rest of the summer, cities burn, businesses are looted, and people are murdered in the streets.
[02:03:34.745 --> 02:03:42.369]  The entire platform of the Democrat Party becomes, if you want the chaos to end, vote for Joe Biden.
[02:03:42.369 --> 02:03:48.793]  In September of 2020... Alright, this video is titled, the four-year plan to overthrow an elected president.
[02:03:48.793 --> 02:03:49.693]  It's an amazing video.
[02:03:49.693 --> 02:03:51.374]  I think it only has like 300,000 views.
[02:03:51.374 --> 02:03:54.096]  It needs 30 million views if we want to save the country.
[02:03:54.096 --> 02:03:59.519]  But I had to go to that break because they were giving me such intel as I was about to go to Owen Schroyer.
[02:04:01.735 --> 02:04:08.502]  Let's move Stuart Rhodes at 33 after.
[02:04:08.502 --> 02:04:11.745]  Because I want to talk to Owen about this right now, then we'll talk about the Carolinas.
[02:04:11.745 --> 02:04:16.449]  Because this actually got my heart pitter-pattering.
[02:04:16.449 --> 02:04:18.551]  Pitter-pattering.
[02:04:18.551 --> 02:04:23.596]  I just played Brennan scared, going, I'm worried what he can do in the next 70 days.
[02:04:23.596 --> 02:04:25.618]  We need to remove Trump right now.
[02:04:26.621 --> 02:04:43.792]  He's putting in a Secretary of Defense that's an enemy of America, and then Mike Pampeo, the Secretary of State, we're talking 20 minutes ago, and our crew caught this because it was only on subfeed, that the State Department said, quote, there will be a smooth transition to the second Trump administration.
[02:04:44.995 --> 02:04:45.936]  Here's the deal.
[02:04:45.936 --> 02:04:50.859]  If Joe Biden won fair and square, I would still oppose him because he's a Chinese communist agent.
[02:04:50.859 --> 02:04:51.740]  But it's worse than that.
[02:04:51.740 --> 02:04:54.481]  They're stealing it publicly, which means they'll keep doing it.
[02:04:54.481 --> 02:04:57.684]  Believe me, I don't want to be launching caravans to the East Coast.
[02:04:57.684 --> 02:05:01.506]  I don't want to be going into Mordor myself about to get on an airplane tomorrow.
[02:05:01.506 --> 02:05:06.750]  But I'm going to be there because it's my children and my very American DNA demands it.
[02:05:06.750 --> 02:05:12.774]  And if they steal this and they start trying to come get people under this COVID lockdown, then my genetics demand something else.
[02:05:12.774 --> 02:05:14.335]  And I want to stop this now.
[02:05:15.055 --> 02:05:25.066]  But to have the Attorney General launch a criminal investigation, confirming it's all going on, to have it all pouring out, to have Pompeo saying this, and to see Brennan, for the first time, he's an arrogant SOB.
[02:05:25.066 --> 02:05:28.669]  He looked scared on Cuomo today.
[02:05:28.669 --> 02:05:30.812]  Cuomo's like, hey, it's ours.
[02:05:30.812 --> 02:05:32.153]  And Brennan's like, we're in danger.
[02:05:32.153 --> 02:05:33.835]  We've got to remove Trump now.
[02:05:33.835 --> 02:05:35.517]  Very scared, aren't you?
[02:05:35.517 --> 02:05:37.479]  He said he's like a cornered tiger.
[02:05:39.909 --> 02:05:46.354]  And I'm telling you, man, this is a PSYOP, but they failed at all the other PSYOPs, and we just got to get the word out now.
[02:05:46.354 --> 02:05:47.714]  Everybody's got to hit the streets.
[02:05:47.714 --> 02:05:56.621]  I had this idea this morning, I woke up at 5 a.m., for everyone to put like a red square on their business or on their car, and you'll get attacked, so what?
[02:05:56.621 --> 02:06:01.904]  Just saying, you know, I'm a Republican, I'm an American, not Republican, it's a symbol.
[02:06:01.904 --> 02:06:03.866]  Red blood, you know, I'm pro-human.
[02:06:03.866 --> 02:06:09.130]  And do that, because we'll show we got all the votes, which we know.
[02:06:09.943 --> 02:06:14.426]  But I mean, that's why they want to intimidate us and scare us to be quiet, because they know we're the majority.
[02:06:14.426 --> 02:06:19.310]  And they know 50-something percent of black men voted for Trump, 30-something percent of black women.
[02:06:19.310 --> 02:06:21.972]  The word is it's way higher than the 30-something percent they said.
[02:06:21.972 --> 02:06:27.056]  They're losing control of the people they had control of, and us, and everybody.
[02:06:27.056 --> 02:06:27.716]  It's beautiful.
[02:06:27.716 --> 02:06:31.679]  I mean, I gotta tell you, every black person I know supports Trump.
[02:06:31.679 --> 02:06:33.180]  Every white person I know supports him.
[02:06:33.180 --> 02:06:35.422]  I got a bunch of family, we're Democrats, they support Trump.
[02:06:36.240 --> 02:06:40.426]  Wow, I'm going to play this clip next segment, but this is just bombshell.
[02:06:40.426 --> 02:06:42.909]  Owen Schroeder, where are you right now rolling along?
[02:06:42.909 --> 02:06:45.392]  Pretty epic footage in that armored vehicle.
[02:06:45.392 --> 02:06:49.378]  I guess you're in the RV behind it that we had to get just because anti-fud attacks our vehicles.
[02:06:49.378 --> 02:06:50.920]  People laughed at it, now it's been proven correct.
[02:06:50.920 --> 02:06:52.923]  Did you just hear this epic information I just laid out?
[02:06:54.935 --> 02:07:03.246]  Yeah, Alex, I was actually excited to come on here and potentially break that with you because I know, you know, the crew is busy in there, but of course they caught it as the crew always does.
[02:07:03.246 --> 02:07:06.010]  So, you know, Alex, it's exactly what we knew was going to happen.
[02:07:06.010 --> 02:07:08.033]  It's exactly what we suspected.
[02:07:08.033 --> 02:07:09.655]  You know, when
[02:07:09.995 --> 02:07:11.975]  The announcement is going to be made.
[02:07:11.975 --> 02:07:15.056]  They've already taken Pennsylvania from Biden.
[02:07:15.056 --> 02:07:17.437]  When is the announcement going to be made that Trump won it?
[02:07:17.437 --> 02:07:19.497]  How long is this legal process going to take?
[02:07:19.497 --> 02:07:25.659]  How long is this process of getting the legal votes counted and the illegal votes removed going to take?
[02:07:25.659 --> 02:07:32.420]  If this is something that gets fast tracked and we have something by Saturday, can you imagine the energy that's going to be in D.C.?
[02:07:32.420 --> 02:07:36.401]  It's going to be a total upheaval of the establishment and America
[02:07:36.761 --> 02:07:39.422]  We the people roaring louder than ever before.
[02:07:39.422 --> 02:07:41.883]  So what's the left going to do?
[02:07:41.883 --> 02:07:44.043]  Just as loud as we're roaring.
[02:07:44.043 --> 02:07:45.064]  You saw Brennan.
[02:07:45.064 --> 02:07:45.684]  He's afraid.
[02:07:45.684 --> 02:07:48.105]  I think Obama's been afraid for a long time.
[02:07:48.105 --> 02:07:49.545]  He know he got caught.
[02:07:49.545 --> 02:07:55.287]  So what are they going to gaslight their minions into doing as we embark now on this
[02:07:56.187 --> 02:08:00.531]  Battle to get the country to understand, no, Joe Biden did not win.
[02:08:00.531 --> 02:08:01.772]  He never won.
[02:08:01.772 --> 02:08:03.753]  Trump won in a landslide.
[02:08:03.753 --> 02:08:05.395]  And you're going to have to face that fact.
[02:08:05.395 --> 02:08:17.464]  But how, how diabolical, how demonic of the Democrat Party to fake the election results with the mainstream news and then have the celebration of Joe Biden with the fireworks and everything.
[02:08:17.464 --> 02:08:20.467]  And then have punters come out with the baby and all this.
[02:08:20.467 --> 02:08:23.369]  And to make fun of, we know they're all a bunch of pedos.
[02:08:23.369 --> 02:08:24.570]  How reckless is it?
[02:08:24.570 --> 02:08:25.611]  How reckless is it?
[02:08:28.632 --> 02:08:30.593]  Well, they know they're going to get what they want, Alex.
[02:08:30.593 --> 02:08:34.534]  They wanted to get their base that hit of dopamine.
[02:08:34.534 --> 02:08:42.476]  And it's going to be like a meth head or a crack addict who's been on a bender for just weeks and weeks and weeks because they think Biden won.
[02:08:42.476 --> 02:08:44.096]  So they're sitting here on this high.
[02:08:44.096 --> 02:08:45.636]  Oh, we beat Trump.
[02:08:45.636 --> 02:08:46.917]  Oh, we beat America.
[02:08:46.917 --> 02:08:47.897]  Oh, we had our victory.
[02:08:48.217 --> 02:08:49.458]  And it's going to be totally removed.
[02:08:49.458 --> 02:08:54.160]  It's going to be like a drug addict, you know, after a week-long fender having to get sober.
[02:08:54.160 --> 02:08:55.061]  And it's not going to be pretty.
[02:08:55.061 --> 02:08:55.321]  That's right.
[02:08:55.321 --> 02:08:58.522]  Brennan's scared because they put a patriot in as the new Secretary of Defense.
[02:08:58.522 --> 02:08:59.863]  They put a real patriot in.
[02:08:59.863 --> 02:09:01.344]  They're crapping bricks right now.
[02:09:03.655 --> 02:09:07.757]  So, you've had Donald Trump, the President of the United States, declare he's won.
[02:09:07.757 --> 02:09:14.759]  You've now had, essentially, for all intensive purposes, Mike Pompeo, the Secretary of Defense, claim he's won.
[02:09:14.759 --> 02:09:19.601]  And you have about 70 million Americans, I think millions of which could be in D.C.
[02:09:19.601 --> 02:09:22.682]  this weekend, claiming Trump won.
[02:09:22.682 --> 02:09:25.723]  So, you know, this whole fake news thing... Stay there!
[02:09:25.723 --> 02:09:25.983]  Stay there!
[02:09:25.983 --> 02:09:27.824]  We're going to play the Pompeo clip and go back to you, Owen.
[02:09:27.824 --> 02:09:29.465]  But I'm going to tell listeners now.
[02:09:29.465 --> 02:09:29.745]  Listen!
[02:09:30.953 --> 02:09:35.074]  If you're in Florida, you get your ass up to Tallahassee at 8 tonight and join our caravan.
[02:09:35.074 --> 02:09:36.695]  If you're in Atlanta, be there tomorrow.
[02:09:36.695 --> 02:09:37.895]  Be there and go to D.C.
[02:09:37.895 --> 02:09:38.995]  I don't care what you're doing.
[02:09:38.995 --> 02:09:40.316]  There's no future if you don't.
[02:09:40.316 --> 02:09:41.556]  We need thousands of vehicles.
[02:09:41.556 --> 02:09:44.657]  Do it now!
[02:09:44.657 --> 02:09:50.058]  For those drinking the globalist Kool-Aid, what I call the invincibly ignorant, there is no hope.
[02:09:50.058 --> 02:09:54.319]  But for those of you that care and are informed, we have more than hope.
[02:09:54.319 --> 02:09:58.661]  We have history on our side if we take action and if we spread the truth.
[02:09:58.661 --> 02:09:59.961]  I have been warning everyone.
[02:10:00.561 --> 02:10:03.643]  Of exactly what was going to come in the exact order.
[02:10:03.643 --> 02:10:04.603]  How did I do that?
[02:10:04.603 --> 02:10:10.146]  Because the globalists war game it all in public and prepare the public with brainwashing on MSM.
[02:10:10.146 --> 02:10:15.870]  When they put out the 80 million ballots, we knew it was so they could stuff it after the polls closed.
[02:10:15.870 --> 02:10:20.552]  That's why they got federal courts to rule to keep it open for weeks if need be.
[02:10:20.552 --> 02:10:21.513]  Again, it was so simple.
[02:10:22.173 --> 02:10:26.135]  And of course, you see the media heat up saying Trump did a bad job on COVID.
[02:10:26.135 --> 02:10:34.380]  And that once Biden was, quote, President-elect, he would order Trump to admit that he did a bad job and admit that he needs a second lockdown.
[02:10:34.380 --> 02:10:40.624]  And if he doesn't go under Biden's immediate control and put that lockdown in place, he'll try to remove the President with the 25th Amendment.
[02:10:40.624 --> 02:10:43.966]  And all of that is to trick Trump to take the blame for COVID that's Chinese.
[02:10:44.326 --> 02:10:51.130]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made, Alpha Power.
[02:10:51.130 --> 02:10:54.572]  As you age, your body can lose testosterone over time.
