[00:00:08.604 --> 00:00:10.165]  It's all a PSYOP.
[01:36:36.521 --> 01:36:38.022]  That is incredible, Dr. Wallach.
[01:36:39.685 --> 01:36:47.751]  Well, you're exactly right, Alex, and this used to be the way it was in the days of King George, and no taxation without representation.
[01:36:47.751 --> 01:36:57.159]  And so my view is, if we're to survive what's going on between the doctors and the patients and the government and the citizens, we have to take over.
[01:36:57.159 --> 01:37:03.484]  I'm not talking about a shooting war, but what we have to do, at least initially, is to take over our health care.
[01:37:04.304 --> 01:37:06.185]  And do our own laboratory tests.
[01:37:06.185 --> 01:37:07.786]  We actually have a book called Leslie, Doctor.
[01:37:07.786 --> 01:37:12.528]  It teaches people in the chapter on laboratory, home laboratory.
[01:37:12.528 --> 01:37:15.710]  You can go to a pharmacy, Alex, without a prescription.
[01:37:15.710 --> 01:37:18.711]  You get all the same test strips your doctor will use in a physical in his office.
[01:37:18.711 --> 01:37:21.533]  He'll charge you $2,000 for that physical.
[01:37:21.533 --> 01:37:24.814]  You get the same test strips, $1.50 apiece.
[01:37:24.814 --> 01:37:26.475]  And you're looking at $4.50 for a complete physical.
[01:37:28.436 --> 01:37:28.916]  Instead of $2,000.
[01:37:28.916 --> 01:37:29.797]  You can do it yourself.
[01:37:29.797 --> 01:37:32.239]  And by the way, we should add how old you are.
[01:37:32.239 --> 01:37:35.301]  You look like, in person, like you're about 55.
[01:37:35.301 --> 01:37:36.282]  Your skin's glowing.
[01:37:36.282 --> 01:37:38.083]  How old are you, Dr. Wallach?
[01:37:38.083 --> 01:37:42.066]  In two months, I'll be 76.
[01:37:42.066 --> 01:37:43.246]  Incredible.
[01:37:43.246 --> 01:37:45.448]  I didn't mean to interrupt, but please... That's alright.
[01:37:45.448 --> 01:37:48.270]  How can you say someone shouldn't have vitamin K?
[01:37:48.270 --> 01:37:49.250]  You'll die without it.
[01:37:49.250 --> 01:37:49.671]  Sorry, go ahead.
[01:37:50.751 --> 01:37:57.954]  No, yeah, vitamin K is absolutely necessary for life, for everything from proper blood clotting to bone health.
[01:37:57.954 --> 01:38:03.876]  And, you know, doctors are very, well, silly is a kind way to say it.
[01:38:03.876 --> 01:38:09.619]  That's why the title of my CD and my book, Dead Doctors Don't Lie, is the only time the doctors won't lie is when they're dead.
[01:38:12.076 --> 01:38:16.480]  What I need to do is make sure that everybody knows they can do their own lab work.
[01:38:16.480 --> 01:38:20.023]  For $4.50, that includes the equivalent of a colonoscopic exam.
[01:38:20.023 --> 01:38:23.346]  The book, Let's Play Doctor, teaches you how to do all these things.
[01:38:23.346 --> 01:38:28.770]  You go to a pharmacy without a prescription, get all the same test strips your doctors use, do your own blood pressure, do your own weight.
[01:38:28.770 --> 01:38:31.873]  And we don't need the doctors anymore, except if you get run over by a truck.
[01:38:34.540 --> 01:38:38.041]  By the way, Dr. Wallach, we were able to drag Ted Anderson in.
[01:38:38.041 --> 01:38:40.801]  He probably ran across the building and probably breathing heavy.
[01:38:40.801 --> 01:38:48.723]  Ted Anderson, owner of the GCN Radio Network, syndicated over 1,400 affiliates with all of his stations, third largest radio network in the U.S.
[01:38:48.723 --> 01:38:51.203]  And Ted, I always feel disrespectful telling the story about your dad.
[01:38:51.203 --> 01:38:53.224]  I haven't checked in on him in about a year.
[01:38:53.224 --> 01:38:54.104]  I haven't been up there.
[01:38:54.104 --> 01:38:55.604]  I should have.
[01:38:55.604 --> 01:38:56.624]  I just told the story.
[01:38:56.624 --> 01:38:57.605]  I don't know if you heard that.
[01:38:59.665 --> 01:39:06.810]  Give people your brief testimony about what Beyond Tangy Tangerine, the longevity products, did for your dad and then what the medical doctor said.
[01:39:06.810 --> 01:39:09.531]  Well, I mean, here's what we're dealing with here.
[01:39:09.531 --> 01:39:17.717]  A poor guy was being rushed to the Veterans Hospital once every four to six days because he had run low on electrolytes.
[01:39:17.717 --> 01:39:20.278]  And we got him on the Beyond Tangy Tangerine.
[01:39:20.278 --> 01:39:23.540]  I mean, this went on about five or six times.
[01:39:23.540 --> 01:39:26.542]  And we got him on the Beyond Tangy Tangerine and it stopped.
[01:39:26.542 --> 01:39:28.844]  He hadn't had to be brought back to the hospital since.
[01:39:29.824 --> 01:39:35.168]  He is suffering with dementia, but if he does not get his electrolytes, it's like the man is gone.
[01:39:35.168 --> 01:39:41.612]  You give him his electrolytes, and he remembers who you are, and he's smiling, he's happy, he has energy.
[01:39:41.612 --> 01:39:46.355]  You know, that's just the, you know, the man is aging in the process.
[01:39:46.355 --> 01:39:53.560]  I can't get him off the statin drugs because the doctors insist that he has to have them, and it's not my choice.
[01:39:53.560 --> 01:39:58.464]  But I can tell you right now, Alex, he is so much better because he's on the Longevity products.
[01:39:59.144 --> 01:40:02.267]  Okay, because a couple years ago, the doctor had ordered him off.
[01:40:02.267 --> 01:40:07.651]  I guess he got a different doctor, or correct me, and the symptoms really came back big time.
[01:40:07.651 --> 01:40:09.352]  Was I telling that story accurately, Ted?
[01:40:09.352 --> 01:40:10.533]  Oh, you definitely were.
[01:40:10.533 --> 01:40:15.738]  As a matter of fact, it's because they had him on Coumadin, and when he went into the doctor, his levels went off.
[01:40:16.318 --> 01:40:21.903]  And they took him off the Beyond Tangy Tangerine because they wanted to keep him on the Coumadin for blood thinning.
[01:40:21.903 --> 01:40:32.772]  Finally, we got him off the Coumadin and that was back a few years ago and that's when he was being rushed into the hospital and he had this problem where his electrolytes would drop.
[01:40:33.112 --> 01:40:33.392]  Thank you!
[01:40:48.470 --> 01:40:59.437]  When you put them on the healthy start pack along with the glucosamine, it helps the discs between the vertebrae puff up and it helps the heartbeat properly.
[01:40:59.437 --> 01:41:04.461]  You get them the Beyond Tangy Tangerine and all of a sudden the AFib is not a problem anymore.
[01:41:04.461 --> 01:41:06.782]  At least that was the experience with my father.
[01:41:06.782 --> 01:41:07.363]  Absolutely.
[01:41:07.363 --> 01:41:08.403]  Thank you Ted Anderson.
[01:41:08.403 --> 01:41:10.264]  And you were speaking of hearts before the break.
[01:41:10.264 --> 01:41:12.206]  I want you to get back into that Dr. Wallach.
[01:41:12.206 --> 01:41:14.167]  But this is what we're dealing with here.
[01:41:15.956 --> 01:41:20.700]  Where these doctors literally don't want people on vitamins and nutrients and things.
[01:41:20.700 --> 01:41:26.785]  It is just so incredibly obvious that we've absolutely have to have these.
[01:41:26.785 --> 01:41:30.468]  Dr. Wallach, you were getting into the heart before we went to break.
[01:41:31.574 --> 01:41:34.798]  Literally and figuratively, this is the heart of the problem.
[01:41:34.798 --> 01:41:36.099]  Very good example.
[01:41:36.099 --> 01:41:45.569]  A congestive heart failure, the most common cause of heart death in adults in the United States, is actually the terminal event for beriberi, which is a deficiency of a single vitamin.
[01:41:45.569 --> 01:41:48.893]  You give all 90 essential nutrients with an extra amount of that single vitamin.
[01:41:48.893 --> 01:41:50.515]  I get people off the heart transplant list.
[01:41:50.515 --> 01:41:52.897]  I've been on there for three years on 27 prescription drugs.
[01:41:53.778 --> 01:41:56.720]  And we do this dozens and dozens of times a year.
[01:41:56.720 --> 01:42:05.745]  It should be thousands, but so many people are frightened and they stay with their doctor, and they're prepared to die and suffer to make sure their doctor gets paid, instead of trying something else.
[01:42:05.745 --> 01:42:12.729]  They'll try five bids on a roof of a house or a sprinkler system, but they stick with the same doctor, whatever the doctor says they do.
[01:42:12.729 --> 01:42:15.250]  And this is a matter of marketing on the doctor's behalf.
[01:42:15.250 --> 01:42:22.014]  Well, you know what Dr. Blaylock, top brain surgeon, introduced the terms excitotoxin and scores of other literature.
[01:42:22.694 --> 01:42:28.661]  That is now seen as prestigious because he did it 30 years ago, 20 years ago, 10 years ago, and it's now accepted.
[01:42:28.661 --> 01:42:37.552]  He explains that you have chronically inflamed brains from vaccines, GMOs, the mercury, the sugar.
[01:42:38.032 --> 01:42:38.693]  Thank you.
[01:42:55.373 --> 01:42:56.634]  Now again, my dad's a chemist.
[01:42:56.634 --> 01:42:57.955]  My dad would say this 20 years ago.
[01:42:57.955 --> 01:42:59.896]  He'd get mad when he saw statin ads.
[01:42:59.896 --> 01:43:03.759]  But he's not an MD like Blaylock and a brain expert.
[01:43:03.759 --> 01:43:11.986]  Blaylock said that your brain is made up, as you know, Dr. Wallach, of cholesterol and that statin drugs literally eat your brain.
[01:43:12.566 --> 01:43:15.508]  And so we wonder why there's an epidemic of Alzheimer's.
[01:43:15.508 --> 01:43:20.271]  Well, it's the mercury and it's the aluminum, but it's also the statin drugs.
[01:43:20.271 --> 01:43:22.712]  And we've got studies on that, but they push them.
[01:43:22.712 --> 01:43:25.754]  Now they want to put statins, quote, in the water supply.
[01:43:25.754 --> 01:43:26.615]  Folks won't believe that.
[01:43:26.615 --> 01:43:27.916]  Put it into Google.
[01:43:27.916 --> 01:43:31.198]  Dr. Wallach, speak about statins.
[01:43:31.198 --> 01:43:34.900]  Okay, well, statin drugs, of course, are the cause of Alzheimer's disease.
[01:43:34.900 --> 01:43:37.962]  Alzheimer's disease did not exist even by another name, Alex, 45 years ago.
[01:43:39.717 --> 01:43:52.930]  Today's number four killer of adults over the age of 64, and it's caused by going away the myelin, the white matter of the brain, resulting in the naked nerve fibers tangling up nerve tangles, which are the classic feature of Alzheimer's disease.
[01:43:52.930 --> 01:43:55.253]  They short-circuit and you get Alzheimer's disease.
[01:43:55.253 --> 01:44:00.758]  You get a little bit of violent behavior, your cognition, your ability to solve problems goes away, your memory goes away.
[01:44:01.759 --> 01:44:05.983]  And it's all because when you get on standard drugs, it lowers your blood cholesterol.
[01:44:05.983 --> 01:44:10.728]  Of course, that's the use of it for cardiovascular disease.
[01:44:10.728 --> 01:44:16.834]  And it turns out that 75% of your brain weight is made up of this myelin, this white matter of the brain, which is 100% cholesterol.
[01:44:18.530 --> 01:44:35.384]  And then they put you on cholesterol-restricted diets, and they've created Alzheimer's disease, low T, erectile dysfunction, menopausal symptoms, and basically, people need to eat anywhere from 12, 15, 20, 25 eggs a day, and they'll prevent and get rid of Alzheimer's disease.
[01:44:36.124 --> 01:44:37.205]  Okay, they can't be fried.
[01:44:37.205 --> 01:44:41.611]  They have to be poached with a soft yolk or soft scrambling butter, not in oils.
[01:44:41.611 --> 01:44:43.012]  Take the 90 cents of nutrients.
[01:44:43.012 --> 01:44:43.973]  Eat your 8, 10, 12.
[01:44:43.973 --> 01:44:47.558]  I just had four poached eggs for breakfast this morning.
[01:44:47.558 --> 01:44:49.740]  After my meeting tonight, I'll have four poached eggs again.
[01:44:49.740 --> 01:44:53.485]  I'll have eight poached eggs today, along with a nice big steak and
[01:44:55.977 --> 01:45:04.043]  Since I started doing what you said three years ago, because at first with Longevity I knew it was good products, but I just never took vitamins, couldn't make myself do any of it.
[01:45:04.043 --> 01:45:12.029]  Since I started doing everything at Infowarshealth.com that you recommend with the videos there to train people, I've lost more than 50 pounds.
[01:45:12.029 --> 01:45:12.449]  I got up to 279.
[01:45:14.750 --> 01:45:20.112]  And I have so much more energy, my skin looks better, my stamina, just everything.
[01:45:20.112 --> 01:45:25.193]  And that's what I had this morning was four poached eggs and spinach.
[01:45:25.193 --> 01:45:32.515]  And that's basically what I eat is fish, red meat and eggs and then raw salad and other vegetables.
[01:45:32.515 --> 01:45:34.136]  And I just feel like I'm 20 years old.
[01:45:34.136 --> 01:45:37.317]  I mean, I feel like I'm ready to tear people's arms off.
[01:45:37.317 --> 01:45:37.957]  It's just amazing.
[01:45:39.005 --> 01:45:40.125]  I'm glad you're a member of the club.
[01:45:40.125 --> 01:45:43.726]  Yeah, absolutely.
[01:45:43.726 --> 01:45:54.869]  And of course, we have documented in the book Epigenetics, as you point out, all the double-blind research projects that were done to prevent and reverse Alzheimer's disease.
[01:45:54.869 --> 01:45:56.170]  We know how to prevent Alzheimer's disease.
[01:45:56.170 --> 01:45:57.650]  We know how to reverse it.
[01:45:57.650 --> 01:46:04.252]  I've diagnosed Alzheimer's disease by four neurological clinics at the University of North Carolina.
[01:46:05.212 --> 01:46:10.075]  And in five days time, this guy gets up, gets dressed, walks out of the nursing home.
[01:46:10.075 --> 01:46:13.337]  He was in a coma, ready to die.
[01:46:13.337 --> 01:46:16.038]  Five days later, he gets up, gets dressed, goes back to work.
[01:46:16.038 --> 01:46:16.939]  That was five years ago.
[01:46:16.939 --> 01:46:21.721]  He's still going and no Alzheimer's disease anymore.
[01:46:21.721 --> 01:46:28.325]  Talk a little bit about the Rockefellers and how they took over the different branches of medicine in the last hundred years.
[01:46:29.443 --> 01:46:32.206]  Okay, well that all started about 1912.
[01:46:32.206 --> 01:46:36.590]  Rockefeller Institute and the Carnegie Institute, you know, the steel guys.
[01:46:36.590 --> 01:46:39.673]  The usual suspects, they're the ones financing riots against the police right now.
[01:46:40.393 --> 01:46:42.395]  Yep, exactly the same bunch.
[01:46:42.395 --> 01:46:47.799]  They actually hired a retired university president, a guy by the name of Flexner.
[01:46:47.799 --> 01:46:59.069]  And Flexner was to do a report and look at the top 130 medical schools in America and find out which one of them are thems, I suppose if you're from the South.
[01:47:02.111 --> 01:47:12.155]  They would, and I'm from the South so I can say that, but at any rate, they were looking for the medical schools who would train medical students on pharmaceuticals instead of herbs and homeopathy and nutrition.
[01:47:12.155 --> 01:47:20.079]  They found 30 of them out of the top 130, and they began to give them money to hire the best professors, the best equipment.
[01:47:20.079 --> 01:47:22.340]  They gave grants to medical students to go there.
[01:47:22.340 --> 01:47:27.962]  So all the other medical schools sort of died on the vine, not because they attacked them directly, they just died on the vine for lack of funding.
[01:47:28.542 --> 01:47:29.363]  Well, it turns out...
[01:47:42.156 --> 01:47:58.288]  That at the same time, through giving money under the table to the elected officials at the national, the state, the county, and the city levels, they were able to make the medical profession a protected monopoly, self-policing with no oversight by any other agency.
[01:47:58.288 --> 01:47:59.930]  Then along came insurance.
[01:47:59.930 --> 01:48:03.672]  That was the death knell of Americans, was the insurance thing.
[01:48:03.672 --> 01:48:07.735]  Because people would say, well, I don't care if you can help me for three bucks a day,
[01:48:08.576 --> 01:48:12.306]  Because I can get my leg cut off for nothing through insurance.
[01:48:13.038 --> 01:48:17.400]  And so they always take the more drastic treatment because insurance would pay for it, rather than the one that would save their lives.
[01:48:17.400 --> 01:48:23.942]  Well sure, and if you go back until about a hundred years ago, only elitists could go to medical doctors in most cases, so it was seen as a status thing.
[01:48:23.942 --> 01:48:26.983]  So you have this sycophantic worship of MDs.
[01:48:26.983 --> 01:48:30.584]  And an MD's great if I got a hernia, or a broken leg, or a gunshot wound.
[01:48:30.584 --> 01:48:32.945]  A lot of them are great people and know this information.
[01:48:32.945 --> 01:48:39.547]  But under Obamacare, they're now centralizing everything, where the MDs will now be total slaves of the computers.
[01:48:39.547 --> 01:48:41.708]  It's come out that the veterans are on don't treat list.
[01:48:42.288 --> 01:48:54.292]  And I think that's why alternative medicine and stuff is exploding right now, is the pressure of the medical system collapsing into total corruption, and any good parts of it basically dying, is forcing people to alternatives.
[01:48:54.292 --> 01:48:57.473]  Briefly, Dr. Wallach, speak about the Alex Pack
[01:48:57.993 --> 01:48:58.193]  Thank you.
[01:49:13.626 --> 01:49:18.930]  789-9277 to any orders or to ask any questions 888-789-9277 InfoWarsTeam.com or you can also go to InfoWarsHealth.com you get 30% off on all
[01:49:30.438 --> 01:49:30.798]  I'm good.
[01:49:51.219 --> 01:49:52.100]  So there it is.
[01:49:52.100 --> 01:49:56.343]  You can also send questions to Catherine at InfoWars.com.
[01:49:56.343 --> 01:50:00.146]  And you've got the InfoWars team there.
[01:50:00.146 --> 01:50:02.447]  And that ends up going to the great folks at Yongevity.
[01:50:02.447 --> 01:50:07.791]  And then you've got the actual in-house InfoWars folks at InfoWarsHealth.com that can also answer your questions.
[01:50:07.791 --> 01:50:15.197]  So that's the reason we have two different sites, two different divisions to make sure we've always got service 24 hours a day, the informational videos and more.
[01:50:15.197 --> 01:50:16.938]  InfoWarsHealth.com.
[01:50:16.938 --> 01:50:19.239]  We're going to go to break and come back with that question for Dr.
[01:50:20.301 --> 01:50:26.881]  Wallach to specifically speak about the products, but in 30 seconds, what are the main products from Longevity folks need to get, Dr. Wallach?
[01:50:28.083 --> 01:50:34.048]  Well, I like the Alex Pack, and thank you for loaning us your credibility, because this is a great thing.
[01:50:34.048 --> 01:50:36.970]  It's going to bring more and more Americans to health.
[01:50:36.970 --> 01:50:39.432]  The Alex Pack is made up of three products.
[01:50:39.432 --> 01:50:51.922]  The Beyond Tangerine 2.0, the Osteo FX Plus, which is a mixture of our minerals and calcium and vitamin D3, and the EFA Pluses, which are the omega-3s, 6s, and 9s in proper ratio.
[01:50:51.922 --> 01:50:55.445]  This gives you everything you need to do to prevent as many as 900 different diseases.
[01:50:55.845 --> 01:50:57.386]  If you have any diseases, you take these.
[01:50:57.386 --> 01:50:58.106]  Well, we'll stay there.
[01:50:58.106 --> 01:50:59.927]  We're gonna break it down the other side, Dr. Joel Wallach.
[01:51:15.154 --> 01:51:17.337]  Hi, Ted Anderson with Midas Resources.
[01:51:17.337 --> 01:51:22.044]  Is it time to convert paper 401ks and IRAs to solid gold and silver yet?
[01:51:22.044 --> 01:51:23.807]  Get our 10 Reasons book free.
[01:51:23.807 --> 01:51:24.128]  Call 800-686-2237.
[01:51:24.128 --> 01:51:24.308]  That's 800-686-2237.
[01:51:29.721 --> 01:51:36.904]  There are hundreds of silver products on the market today, but there's nothing like the astonishing health benefits of the multi-patented One Silver Solution.
[01:51:36.904 --> 01:51:42.227]  Boost your immune system at a great price with our silver solution liquid in regular and extra strength.
[01:51:42.227 --> 01:51:47.449]  Our silver soap, made with all-natural organic ingredients, leaves your skin clean and refreshed.
[01:51:47.449 --> 01:51:50.491]  Call 844-USE-SILVER for your free catalog.
[01:51:50.491 --> 01:51:50.971]  844-USE-SILVER.
[01:51:50.971 --> 01:51:53.072]  Or go to onesilversolution.com.
[01:51:53.072 --> 01:51:54.053]  onesilversolution.com.
[01:51:54.053 --> 01:51:55.753]  There is only One Silver Solution.
[01:51:59.415 --> 01:52:08.917]  InfoWarsLife and InfoWarsLife.com is extremely excited to announce our latest release, Winter Sun, a revolutionary type of vitamin D3.
[01:52:08.917 --> 01:52:13.598]  Winter Sun is a premium quality vitamin D3 nutritional supplement.
[01:52:13.598 --> 01:52:18.379]  It is produced by extracting oil from healthy nutrient-dense plants known as lichens.
[01:52:18.379 --> 01:52:21.440]  Every batch is analyzed for purity and D3 content.
[01:52:21.440 --> 01:52:23.860]  It's completely free of toxins and allergens.
[01:52:23.860 --> 01:52:27.241]  Simply put, if you want the best at an extremely low price, this is it.
[01:52:27.401 --> 01:52:31.304]  Winner's Sun is the result of our pursuit of the best source of vitamin D3.
[01:52:31.304 --> 01:52:40.352]  The research and development took over two years, but the result, as verified by independent laboratories, is the best vegan vitamin D3 product in the world.
[01:52:40.352 --> 01:52:45.376]  Read the facts at InfoWarsLife.com about Winner's Sun vitamin D3.
[01:52:45.376 --> 01:52:50.961]  Not only does vitamin D3 promote a healthy mood, but vitamin D supports our memory and brain function.
[01:52:51.301 --> 01:52:53.442]  Something the globalists are targeting.
[01:52:53.442 --> 01:52:59.906]  Visit InfoWars.com today or call 888-253-3139.
[01:52:59.906 --> 01:53:09.512]  As the new world order continues to tighten its grip on every facet of our lives, we're all asking ourselves, how can we maintain our independence?
[01:53:09.512 --> 01:53:11.073]  The answer is clear.
[01:53:11.073 --> 01:53:13.655]  Get prepared and you get prepared now.
[01:53:13.655 --> 01:53:16.217]  Now the only question left is where do we begin?
[01:53:17.117 --> 01:53:19.359]  My Patriot Supply is here to help.
[01:53:19.359 --> 01:53:26.245]  Call 800-247-3070 to get started with your 72-hour emergency food supply for only $10.
[01:53:26.245 --> 01:53:29.708]  We're even covering the cost of shipping.
[01:53:29.708 --> 01:53:33.932]  Are you willing to rely on the government and FEMA in the event of an emergency?
[01:53:34.873 --> 01:53:42.840]  Call 800-274-3070 to get started with your 72-hour emergency food supply for only $10.
[01:53:42.840 --> 01:53:48.484]  You won't be able to find this deal online, and there is a strict limit of 4 per caller, so don't wait!
[01:53:48.484 --> 01:53:49.165]  Call now!
[01:53:49.165 --> 01:53:49.225]  800-274-3070.
[01:53:49.225 --> 01:53:49.605]  That's 800-274-3070.
[01:53:49.605 --> 01:53:50.006]  Call right now!
[01:54:04.981 --> 01:54:14.865]  You take a mortal man, you put him in control.
[01:54:14.865 --> 01:54:21.788]  Watch him become a god, as Obama is, in the eyes of his minions.
[01:54:21.788 --> 01:54:27.230]  Watch people's heads a roll.
[01:54:27.230 --> 01:54:30.672]  Dave Mustaine of Megadeth bringing us in.
[01:54:33.238 --> 01:54:38.701]  We're seeing millions of dead every year from Big Pharma across this planet.
[01:54:38.701 --> 01:54:40.783]  Yes, just like the Pied Piper.
[01:54:40.783 --> 01:54:44.986]  Let ISIS loose.
[01:54:44.986 --> 01:54:46.286]  Oh, I forgot to mention this.
[01:54:46.286 --> 01:54:48.308]  It's on InfoWars.com.
[01:54:48.308 --> 01:54:54.492]  Folic acid, this is from Philly.com, fortification to prevent birth defects hits FDA roadblock.
[01:54:54.492 --> 01:54:56.393]  They're trying to block it.
[01:54:56.393 --> 01:54:57.134]  That's right.
[01:54:57.134 --> 01:54:58.975]  Take the iodine out of the salt and put
[01:55:00.498 --> 01:55:01.619]  Fluoride in the water.
[01:55:01.619 --> 01:55:04.520]  I mean, you know, keep folic acid out.
[01:55:04.520 --> 01:55:06.041]  This is just out of control.
[01:55:06.041 --> 01:55:10.903]  We're going to keep our guest, Dr. Walsh, a little bit with us in the next hour.
[01:55:10.903 --> 01:55:12.464]  And then Gerald Salente is joining us.
[01:55:12.464 --> 01:55:15.665]  I wanted to get him on today about the war on cash.
[01:55:15.665 --> 01:55:23.248]  Now, these other announcements, but speaking of Infowars.com, I saw this last week and even said on air, I bet it's a PSYOP.
[01:55:23.248 --> 01:55:24.629]  I bet it's a false flag.
[01:55:24.629 --> 01:55:25.610]  Wasn't a hard prediction.
[01:55:27.205 --> 01:55:48.742]  Guestimation 99% of the time a cross is burned in somebody's yard now or a swastika is put on a Jewish synagogue or a dorm or it's done by people to get attention and raise funds and now a liberal globalist attorney has gone on KXAN locally and admitted they put up a sticker saying white only on businesses for Black Lives Matter.
[01:55:48.742 --> 01:55:52.906]  Adam Raposa, activist lawyer, says he's behind whites only stickers in Austin.
[01:55:54.693 --> 01:55:58.915]  I mean, stirring people up, false flagging, George Soros crud.
[01:55:58.915 --> 01:55:59.735]  That's all.
[01:55:59.735 --> 01:56:02.416]  Meanwhile, we're all going under deficiencies.
[01:56:02.416 --> 01:56:09.279]  If you're black in the studies, look it up, fluoride hits you twice as hard in your heart, your pancreas, your thyroid.
[01:56:09.279 --> 01:56:12.280]  I mean, black people, it's a death sentence.
[01:56:12.280 --> 01:56:15.401]  Nobody's going to tell them from their community because they're all bought and paid for.
[01:56:15.401 --> 01:56:19.583]  I mean, you know, so they're going to have some lawyer stirring up trouble.
[01:56:20.779 --> 01:56:21.539]  And it was all over the news.
[01:56:21.539 --> 01:56:23.320]  How dare these whites put that on their things?
[01:56:23.320 --> 01:56:25.922]  This is all made up.
[01:56:25.922 --> 01:56:28.083]  There's such little racism by whites.
[01:56:28.083 --> 01:56:33.606]  Most whites are these politically correct, knee-knocking, totally... There's not racism.
[01:56:33.606 --> 01:56:36.308]  This political correctness makes white people feel guilty and scared.
[01:56:36.308 --> 01:56:42.351]  I mean, I'll be able to politically correct people out eating dinner sometimes and black people sitting down next to us.
[01:56:42.351 --> 01:56:43.072]  That's so annoying.
[01:56:43.072 --> 01:56:45.733]  I got some family friends that I love, dearly love.
[01:56:45.733 --> 01:56:46.734]  We were out to lunch.
[01:56:48.004 --> 01:56:48.544]  I don't know.
[01:57:12.056 --> 01:57:13.678]  They're the real racists in my view.
[01:57:13.678 --> 01:57:15.920]  Infowars.com has the story.
[01:57:15.920 --> 01:57:18.644]  Dr. Joel Wallach, we're going to hold you a little bit over if you can do it.
[01:57:18.644 --> 01:57:28.815]  If you've got to jump, I understand you're a busy man, but what do you make of Angelina Jolie having her ovaries removed, again saying because she's genetically bad, what's really going on there?
[01:57:28.815 --> 01:57:30.097]  Having her breasts cut off as well.
[01:57:30.097 --> 01:57:31.739]  A lot of women going and having this done now.
[01:57:33.052 --> 01:57:36.433]  Well, I appreciated when you introduced that at the beginning of your show today.
[01:57:36.433 --> 01:57:40.614]  You said, well, next thing is she'll have her brain taken out to avoid brain cancer.
[01:57:40.614 --> 01:57:42.675]  Yes.
[01:57:42.675 --> 01:57:44.516]  I've been saying the same thing for years.
[01:57:44.516 --> 01:57:46.396]  I know, that's where I heard it.
[01:57:46.396 --> 01:57:48.297]  I listen to your show.
[01:57:48.297 --> 01:57:48.997]  Okay.
[01:57:48.997 --> 01:57:55.479]  Well, basically, this is a thing where the medical doctors are using people's fears to just get work.
[01:57:56.480 --> 01:57:59.403]  And it's a tragic thing.
[01:57:59.403 --> 01:58:09.134]  And actually, if you look at the title, the subtitle of the book, Epigenetics, The Death of the Genetic Theory of Disease Transmission, there are no genetically transmitted diseases.
[01:58:09.134 --> 01:58:18.064]  Your genes, let's say you have the potential to live to be 200 cancer free, but you're living on soft drinks and hot dogs and cake and popcorn.
[01:58:18.704 --> 01:58:25.007]  And you're going to, as you pointed out very well, very well done, that you're going to dive something at 36.
[01:58:25.007 --> 01:58:27.068]  Your grandparents have the same genes.
[01:58:27.068 --> 01:58:30.729]  They lived to be 102, but they didn't do all the bad things you did.
[01:58:30.729 --> 01:58:33.551]  Break down the difference when we come back.
[01:58:33.551 --> 01:58:34.411]  70 seconds.
[01:58:34.411 --> 01:58:34.751]  Absolutely.
[01:58:34.751 --> 01:58:36.312]  Infowarshealth.com, folks.
[01:58:36.312 --> 01:58:37.212]  Get the Alex back.
[01:58:37.212 --> 01:58:37.873]  We'll be right back.
[01:58:37.873 --> 01:58:40.674]  Stay with us.
[01:58:40.674 --> 01:58:42.655]  Thank you for listening to GCN.
[01:58:42.655 --> 01:58:43.175]  70 seconds, folks.
[01:58:43.175 --> 01:58:43.955]  Stay with us.
[01:58:43.955 --> 01:58:45.916]  Visit GCNlive.com today.
[01:58:45.916 --> 01:58:47.777]  I think she already had her brain removed.
[01:58:50.140 --> 01:58:51.401]  Another major health threat.
[01:58:51.401 --> 01:58:56.363]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[01:58:56.363 --> 01:58:59.044]  Ohio's governor declaring a state of emergency.
[01:58:59.044 --> 01:59:06.087]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[01:59:06.087 --> 01:59:09.068]  If there's a water emergency, will you be prepared?
[01:59:09.068 --> 01:59:12.109]  Panicked residents forming long lines throughout the day.
[01:59:12.109 --> 01:59:14.050]  We're here at a supermarket in Toledo.
[01:59:14.050 --> 01:59:16.891]  You can see the shelves empty where water once was.
[01:59:16.971 --> 01:59:22.694]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[01:59:22.694 --> 01:59:26.215]  Water which will not be available at your local grocery store.
[01:59:26.215 --> 01:59:29.297]  There's a mad dash on right now to stock up on supplies.
[01:59:29.297 --> 01:59:36.620]  The ProPure Pro1 G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[01:59:36.620 --> 01:59:39.842]  Protect your family's safety during an emergency.
[01:59:39.842 --> 01:59:46.105]  Go to InfoWarsStore.com today to purchase your ProPure Pro1 G2.0 Water Filtration System.
[01:59:46.305 --> 01:59:46.726]  Your call 1-888-253-3139.
[01:59:46.726 --> 01:59:47.949]  You're listening to the Alex Jones Show!
[02:00:05.990 --> 02:00:07.291]  Big Brother.
[02:00:07.291 --> 02:00:09.052]  Mainstream media.
[02:00:09.052 --> 02:00:10.814]  Government cover-ups.
[02:00:10.814 --> 02:00:12.395]  You want answers?
[02:00:12.395 --> 02:00:13.956]  Well, so does he.
