[00:00:00.169 --> 00:00:06.674]  Communications Radio Network.
[01:19:38.384 --> 01:19:47.252]  Potassium iodate is better than the iodide form because it is not as likely to cause upset stomachs in children, the elderly, the sick, and pets.
[01:19:47.532 --> 01:19:50.814]  Order the official potassium iodate for only $24 and save $5.
[01:19:53.076 --> 01:20:10.181]  Hi, this is Ted Anderson, here for the 2007 Red Book.
[01:20:11.321 --> 01:20:16.143]  The commodity markets like gold, silver, copper, aluminum, and oil have exploded over the last year.
[01:20:16.363 --> 01:20:19.084]  This is a glaring testimony of how quickly the U.S.
[01:20:19.124 --> 01:20:20.224]  dollar can be devalued.
[01:20:21.579 --> 01:20:26.182]  Many have turned to precious metals to provide a safe haven while increasing the potential profits.
[01:20:27.102 --> 01:20:34.366]  Though accumulating precious metals has been a proven method for the storage of wealth, it is important that you understand the market you are getting into.
[01:20:35.367 --> 01:20:38.429]  Midas Resources is offering the Red Book and Silver Dollar for only $27.95.
[01:20:38.669 --> 01:20:44.052]  The Red Book is the number one best-selling guide to gold and silver coins.
[01:20:45.033 --> 01:20:46.313]  Call for your copy today.
[01:20:46.353 --> 01:20:46.533]  It's 800-686-2237.
[01:20:49.796 --> 01:20:55.638]  If you've already accumulated or plan to get into the precious metals market, you simply must have the Red Book in your library.
[01:20:56.258 --> 01:20:56.399]  Call 800-686-2237.
[01:20:56.419 --> 01:20:56.719]  That's 1-800-686-2237.
[01:21:04.386 --> 01:21:07.991]  Are you looking for a one-stop shop to find all your favorite books and videos?
[01:21:08.252 --> 01:21:09.113]  Look no further!
[01:21:09.413 --> 01:21:11.997]  Northern Voice Bookstore has everything you need.
[01:21:12.418 --> 01:21:20.850]  Hundreds of titles, from self-defense, survival, and financial freedom, to history, politics, conspiracy, and everything you need to know about the New World Order.
[01:21:20.930 --> 01:21:21.250]  I think so.
[01:21:38.575 --> 01:21:38.935]  I don't know.
[01:22:04.625 --> 01:22:05.045]  Attention!
[01:22:05.146 --> 01:22:07.968]  This is an extremely urgent GCN Health News Bulletin.
[01:22:08.248 --> 01:22:12.571]  If you're interested in suppressed natural cures, this will be the most important message you will ever hear.
[01:22:12.872 --> 01:22:13.572]  Listen closely.
[01:22:14.213 --> 01:22:18.476]  77 GCN listeners are needed immediately to test an amazing blacklisted herbal product.
[01:22:18.536 --> 01:22:19.497]  Consider to be the single most
[01:22:19.537 --> 01:22:19.877]  I think so.
[01:22:37.219 --> 01:22:46.304]  It is still legal to own this compound, and right now a very small amount is being made available to GCN listeners in what's being called the most amazing and unusual offer ever made on radio.
[01:22:46.505 --> 01:22:52.128]  To claim your supply, set aside for GCN listeners, simply go to www.blacklistedherb.com.
[01:22:52.328 --> 01:22:55.890]  Shipments will be filled on a first-come, first-served basis, so it's important that you move quickly.
[01:22:56.130 --> 01:22:59.472]  That's www.blacklistedherb.com or call 877-327-0365.
[01:23:13.110 --> 01:23:14.752]  Michael Rivero is our guest.
[01:23:14.772 --> 01:23:16.954]  We'll take a few of your calls before this hour ends at 1-800-259-9231.
[01:23:16.994 --> 01:23:19.696]  Is this the first time I've done that today?
[01:23:19.716 --> 01:23:19.877]  1-800-259-9231.
[01:23:19.917 --> 01:23:22.099]  Michael, I saw this story here in the stack out of Australia.
[01:23:33.991 --> 01:24:03.475]  Where it you know the headline is the father's given so much his little baby went in to get her last round of shots and she was totally healthy but by that night went into a coma and he had to give her part of his liver and now he's gonna give her his kidney because she's dying still but he's such a good father but it just mentions oh by the way this all just out of the blue happened when she got the shot I mean everybody I know who's got children have autism I mean all of my go let me guess 18 months third round of shots yes in the car today's the seizure starter at home that night no in the car
[01:24:04.392 --> 01:24:08.834]  And of course you bring it back to the hospital or the clinic and they go, oh no, it's not the shots.
[01:24:09.294 --> 01:24:10.355]  It's not the mercury.
[01:24:10.415 --> 01:24:12.976]  It's not all the, you know, this little body.
[01:24:12.996 --> 01:24:14.477]  I mean, you've seen how much is in those shots?
[01:24:14.517 --> 01:24:15.697]  Just a virus material?
[01:24:15.717 --> 01:24:24.121]  I mean, and I saw you comment under, I always love to go read your comments that you do on the site under the blogs you post, the stories you post, where you said, oh yes, it's a coincidence.
[01:24:24.581 --> 01:24:25.582]  Absolute coincidence.
[01:24:27.174 --> 01:24:32.778]  Well, it's an unfortunate aspect of our time that we have all become very, very cynical.
[01:24:32.918 --> 01:24:38.702]  Actually, maybe it's a good thing because it also means we're very skeptical and we're not as trusting of some of the things that have been given to us.
[01:24:39.262 --> 01:24:46.827]  But the current medical industry is definitely suffering a credibility crisis regarding vaccinations.
[01:24:47.268 --> 01:24:56.874]  And they did bring it on themselves by using the mercury-based preservatives and then getting caught misrepresenting the safety and efficacy of these compounds.
[01:24:57.344 --> 01:25:18.972]  So now people are very very suspicious when they are told that for the health of their child and themselves they need to take a shot and then almost immediately afterwards some other medical situation develops and I know a lot of people and I'm one of them we don't get our flu shots every year and it's been about 10 years since I got a flu shot and it's about
[01:25:19.548 --> 01:25:21.369]  It's been about 10 years since I've gotten the flu.
[01:25:21.429 --> 01:25:23.931]  My mother used to run triathlons like 10 years ago.
[01:25:23.971 --> 01:25:26.173]  She still is a master swimmer for UT.
[01:25:26.953 --> 01:25:29.395]  And she thought, well, I've got this triathlon coming up in a month.
[01:25:29.415 --> 01:25:30.075]  It's winter.
[01:25:30.095 --> 01:25:30.776]  I don't want to get the flu.
[01:25:30.796 --> 01:25:31.376]  I'll go take it.
[01:25:31.836 --> 01:25:32.637]  My mother's never sick.
[01:25:32.657 --> 01:25:35.219]  She almost died from that flu shot.
[01:25:35.779 --> 01:25:37.300]  And listen to this.
[01:25:37.320 --> 01:25:38.301]  This is from the article.
[01:25:39.224 --> 01:25:41.185]  This is out of the Daily Mail.
[01:25:41.805 --> 01:25:42.986]  I guess this is actually England.
[01:25:43.046 --> 01:25:48.448]  It said, I tried to think clearly and ask questions about why her kidneys failed, said Gashin.
[01:25:48.888 --> 01:25:54.050]  She had had her first immunization shots earlier that day and I wondered if they were responsible.
[01:25:54.350 --> 01:25:55.911]  But the consultant ruled that out.
[01:25:56.231 --> 01:25:58.151]  He said her kidneys had been failing for a while.
[01:25:58.191 --> 01:26:01.853]  It was just a coincidence that she'd become so ill the day of her vaccinations.
[01:26:03.001 --> 01:26:09.768]  Well, again, the medical industry is always going to protect itself, and that's not unique to either Great Britain or the United States.
[01:26:09.789 --> 01:26:14.414]  But Mike Rivero, it's so weird that that man died after that Mack truck ran over him.
[01:26:14.914 --> 01:26:18.438]  But they say the Mack truck had nothing to do with his intestines being all over the street.
[01:26:19.309 --> 01:26:22.311]  Yeah, his intestines were weak already and therefore it wasn't.
[01:26:22.511 --> 01:26:38.120]  But the problem is that in Great Britain the vaccine makers can still be sued and so obviously the medical institutions are not going to admit any existing links between the vaccinations and medical science.
[01:26:38.480 --> 01:26:44.644]  Here in the United States, believe it or not, the bill that created the Homeland Security Agency
[01:26:45.123 --> 01:26:55.746]  Had a rider attached to it, which protects American vaccine makers from any kind of lawsuits resulting from illness or death connected to the use of their vaccine.
[01:26:55.766 --> 01:26:56.226]  That's right.
[01:26:56.246 --> 01:26:58.826]  And that included the thimerosal preservatives.
[01:26:59.167 --> 01:27:01.467]  That's right, which they haven't taken out by the way, ladies and gentlemen.
[01:27:01.487 --> 01:27:07.168]  They have made, by regulatory, not even a law, available small lots of thimerosal free.
[01:27:07.569 --> 01:27:09.049]  They play a lot of word games, don't they?
[01:27:10.160 --> 01:27:26.686]  Yeah, they absolutely do, and unfortunately we are in a situation where the government very clearly is aligned with corporate interests against... well, the interests of the common people are definitely subordinate, and that really is the classic definition of fascism.
[01:27:26.786 --> 01:27:34.869]  Even Mussolini, who we will all acknowledge is an expert on being a fascist, said that it really was corporatism, where the government and corporations work together,
[01:27:35.345 --> 01:27:36.706]  We're good to go.
[01:27:55.163 --> 01:28:06.808]  Certainly when we watch the TV commercials for a lot of the medications that are being sold to us now, and we hear that very rapid voice talking about the possible consequences, these are some very toxic materials that are being sold to us.
[01:28:07.189 --> 01:28:18.674]  But they're being sold for conditions that are being redefined as diseases, and in many cases these very unsafe compounds are being sold because it's a new patent
[01:28:19.289 --> 01:28:27.031]  Where they can sell for much higher profit than an older medication which has now gone generic that would treat the same thing.
[01:28:27.051 --> 01:28:38.693]  So it's all about maximizing profits and very often the safety of the American people is very much a secondary issue until something really bad happens that they get caught doing.
[01:28:39.253 --> 01:28:44.254]  So certainly the vaccination industry has been caught
[01:28:44.955 --> 01:28:47.617]  Concealing issues linked to their vaccine.
[01:28:47.737 --> 01:28:49.079]  Mike Rivera, we've got a break.
[01:28:49.139 --> 01:28:49.519]  Stay there.
[01:28:49.539 --> 01:28:50.960]  I want to talk more about that when we get back.
[01:28:51.000 --> 01:28:52.942]  And also the big picture going forward.
[01:28:54.924 --> 01:28:55.845]  We're on the march.
[01:28:56.326 --> 01:28:57.907]  The empire's on the run.
[01:28:57.927 --> 01:29:01.551]  Alex Jones and the GCN Radio Network.
[01:29:05.057 --> 01:29:06.058]  How are you feeling today?
[01:29:06.259 --> 01:29:06.759]  Why ask?
[01:29:06.799 --> 01:29:12.986]  Because if you have health challenges, then reading our free e-booklet about the most amazing discovery of our time is crucial.
[01:29:13.227 --> 01:29:17.712]  The booklet is about an amazing fruit from Southeast Asia they call Mangosteen.
[01:29:17.992 --> 01:29:23.679]  It's a centuries-old medicinal fruit whose time has come, and it has amassed 40 years of published research.
[01:29:23.959 --> 01:29:29.043]  We have information and testimonials from all over the world about the health potential of this amazing fruit.
[01:29:29.283 --> 01:29:35.788]  The powerful botanical has contributed to the well-being of millions of people the world over with health concerns just like yours.
[01:29:36.128 --> 01:29:39.310]  You can have this 22-page e-booklet absolutely free.
[01:29:39.490 --> 01:29:43.673]  We'll also offer you a website with links to actual testimonials and product information.
[01:29:43.893 --> 01:29:46.035]  Could this fruit help you in your quest for total health?
[01:29:46.335 --> 01:29:54.117]  Find out why Mango's Gene is known as the queen of all fruit and why it's fast becoming the best-selling wellness product ever brought to the market.
[01:29:54.477 --> 01:29:55.938]  Your health is in your hands.
[01:29:56.238 --> 01:29:57.438]  Do something about it today.
[01:29:57.738 --> 01:29:57.978]  Call 800-658-0597.
[01:29:57.998 --> 01:29:58.378]  Again, that's 800-658-0597.
[01:30:06.727 --> 01:30:10.489]  Do you need more than just the constant news of impending tyranny?
[01:30:10.869 --> 01:30:18.193]  Yes, this is Elizabeth Porter, back with The Divided Kingdom, the hour that analyzes spiritual and cultural issues, too.
[01:30:18.654 --> 01:30:29.600]  Lou Blanchard and I are delighted, thanks in large part to past listeners' lobbying efforts, now to be on the great Genesis Communications Network Monday through Friday at 6 p.m.
[01:30:29.680 --> 01:30:30.040]  Central.
[01:30:30.460 --> 01:30:36.082]  Formidable Alex Jones says, this is the network often imitated but never duplicated.
[01:30:36.403 --> 01:30:42.305]  Lou and I made the conscious decision to move to GCN because of its classy lineup and leadership.
[01:30:42.785 --> 01:30:47.527]  We invite you to hear our program, one we pray will strengthen and bless you.
[01:30:47.927 --> 01:30:52.709]  Indeed, trouble is part of the story, but the fellowship of faith surpasses it.
[01:30:53.149 --> 01:30:54.450]  Tune in at 6 p.m.
[01:30:54.530 --> 01:30:54.890]  Central.
[01:30:55.511 --> 01:31:02.950]  Also, be sure to visit our Tuesday guest host, Dr. Carl Sanders' website, trumpetsmen.org.
[01:31:05.444 --> 01:31:10.387]  The disciples asked Jesus in Matthew 24, What shall be the signs of thy coming, and the end of the world?
[01:31:10.707 --> 01:31:12.589]  You shall hear of wars, and rumors of wars.
[01:31:12.789 --> 01:31:15.831]  For nation shall rise against nation, and kingdom against kingdom.
[01:31:16.011 --> 01:31:19.153]  And there shall be famines, disease, and earthquakes in many places.
[01:31:19.453 --> 01:31:21.334]  We are living in this time of earth's history.
[01:31:21.595 --> 01:31:25.277]  Many people are trying to understand the climactic world events in light of human wisdom.
[01:31:25.577 --> 01:31:28.239]  But without the wisdom of God, this is impossible.
[01:31:28.859 --> 01:31:31.501]  2 Peter says, We have a more sure word of prophecy.
[01:31:31.561 --> 01:31:31.941]  I think so.
[01:31:50.154 --> 01:31:50.654]  Day after day
[01:32:14.824 --> 01:32:20.786]  The man with the foolish grin is keeping perfectly still.
[01:32:20.886 --> 01:32:24.087]  But nobody wants to know him.
[01:32:24.507 --> 01:32:28.188]  They can see that he's just a fool.
[01:32:28.348 --> 01:32:30.709]  And he never gives an answer.
[01:32:31.029 --> 01:32:33.630]  What's the fool number here?
[01:32:44.803 --> 01:32:49.225]  Welcome back.
[01:32:49.305 --> 01:32:51.886]  We've got William Rodriguez popping in.
[01:32:52.606 --> 01:32:56.208]  He went out to speak at a university over the weekend.
[01:32:57.347 --> 01:32:57.868]  I don't know.
[01:33:12.210 --> 01:33:16.352]  The bombs going off, even before the tower started collapsing, were big explosions.
[01:33:16.412 --> 01:33:20.114]  People came running up out of the basement with their skin burned off, like a zombie movie.
[01:33:20.354 --> 01:33:22.555]  He described it as just skin hanging off their arms.
[01:33:25.137 --> 01:33:27.918]  I mean, it's because they had lots of charges going off.
[01:33:27.938 --> 01:33:30.899]  Then they said, well, that's because an elevator fell down the 110 stories.
[01:33:32.320 --> 01:33:33.081]  There's a problem.
[01:33:33.241 --> 01:33:44.547]  The elevators, I don't know the technical term for this, but like they go down, I don't have the plans in front of me, but say they go down like 45 stories and then there's another group of elevators next to them staggered.
[01:33:44.567 --> 01:33:46.668]  There aren't continual shafts going down.
[01:33:47.068 --> 01:33:48.849]  Okay, that's complete and total bull.
[01:33:50.430 --> 01:33:59.375]  We'll bring that up with him, but the reason he's coming on is he talked to some of the family members of one of the stewardesses, one of the flight attendants, I'll be politically correct, excuse me, who
[01:34:00.453 --> 01:34:08.535]  We're on flight 77, and they now believe it's an inside job, and came to his talk, and we've got some audio of him talking to them coming up.
[01:34:08.815 --> 01:34:13.697]  Going back to Michael Rivero, and I know we've got calls, we'll get to those.
[01:34:14.897 --> 01:34:20.519]  Mike, I had Ron Paul on, presidential candidate, obviously, in the last hour, and
[01:34:21.576 --> 01:34:25.480]  He openly said, yeah, they'll probably try a dictatorship if the economy implodes.
[01:34:25.840 --> 01:34:28.143]  He agreed that they're trying to shore it up right now.
[01:34:28.203 --> 01:34:43.118]  They meant to implode it later, but once they had their cashless grid in by 2011, as the head of Visa and others have said, to totally bankrupt it and bring in their false solution of a new total fiat cashless system where they can really manipulate and rob us through inflation.
[01:34:44.481 --> 01:34:51.248]  He's confronted the Fed Chairman on these issues, but he said that clearly they will try to set up a dictatorship very soon.
[01:34:51.688 --> 01:34:56.093]  All the signs are there, but like you said, make a dictatorship act like a dictatorship.
[01:34:56.153 --> 01:35:03.100]  He was saying he doesn't think the people are going to buy it, and literally that everybody we wake up now is a race against the devil.
[01:35:03.120 --> 01:35:04.122]  I mean, you could say that,
[01:35:04.862 --> 01:35:05.382]  Yeah, I think so.
[01:35:27.412 --> 01:35:28.973]  More details every month.
[01:35:29.413 --> 01:35:30.854]  Where do you see this going in the future?
[01:35:30.914 --> 01:35:32.396]  What do you see happening with Iran?
[01:35:33.176 --> 01:35:37.039]  What do you see domestically happening with the subprime mortgages?
[01:35:38.600 --> 01:35:39.561]  Here's a big indicator.
[01:35:40.301 --> 01:35:42.223]  Then I'll shut up and let you comment because I really want to hear it.
[01:35:43.820 --> 01:35:57.874]  In the past, in the 80s and the 70s, whenever they've done these controlled corrections, these financial snacks on investors and homeowners and the middle and working classes, they will allow implosions and consolidate.
[01:35:57.894 --> 01:35:58.414]  They love it.
[01:35:58.474 --> 01:36:03.259]  It's their feeding time on the little minnows that they've gotten in a big school.
[01:36:04.475 --> 01:36:05.976]  Well, I want to step back a little bit.
[01:36:06.036 --> 01:36:10.059]  What you were talking about, you know, these repeating cycles of inflation, recession, inflation, recession.
[01:36:34.600 --> 01:36:36.841]  Everyone says, oh, how can we control inflation?
[01:36:37.161 --> 01:36:47.764]  Well, when you have a fiat money system where the Federal Reserve is simply printing up the money or tallying it up in a computer account out of thin air, it is very obvious that the Federal Reserve controls all inflation.
[01:36:48.105 --> 01:36:55.147]  They can halt inflation immediately simply by shutting down the printing presses and by saying, okay, we're not adding any more numbers to these computer accounts.
[01:36:56.529 --> 01:37:11.481]  I'm very concerned that this repeating cycle of inflation recession is designed to basically pump, like a giant heartbeat, the real wealth out of the general population and into the corporations.
[01:37:11.541 --> 01:37:16.665]  And I think the real estate market is a really good example of the kind of manipulation that we're seeing.
[01:37:17.105 --> 01:37:22.650]  We know that the Federal Reserve, in order to try and keep the economy going a little bit longer,
[01:37:23.650 --> 01:37:24.091]  I think so.
[01:37:44.702 --> 01:37:50.606]  Okay, the government would get all this extra money from the Federal Reserve and they'd spend it to support their war and their programs.
[01:37:50.646 --> 01:38:03.455]  It would trickle through the society and then people would take that money and give it to the banks on their mortgage payments on all these new homes that they had bought, you know, with the refinancing and the larger properties and everything.
[01:38:04.135 --> 01:38:09.499]  And the homeowners were thinking they were getting richer because the home that
[01:38:10.323 --> 01:38:15.006]  15 years ago cost only $40,000, was now going for a quarter of a million dollars.
[01:38:15.407 --> 01:38:18.669]  And they were thinking, my God, I'm just getting so rich under this system.
[01:38:19.009 --> 01:38:24.432]  But in reality, it's the same home, it's the same number of bedrooms, it's the same garage, it's the same front door.
[01:38:25.013 --> 01:38:29.115]  It is just on paper that the numbers were getting more and more impressive.
[01:38:29.375 --> 01:38:37.821]  But the reality is that the Federal Reserve was effectively counterfeiting money to give to the government, the government was spending it, and then the real estate
[01:38:38.779 --> 01:38:48.107]  Financing institutions were sweeping it all back up so that we didn't have all this extra money chasing too few goods and services, which is what pushes prices up.
[01:38:48.367 --> 01:38:50.269]  Well, now the cash sink has closed.
[01:38:50.349 --> 01:38:52.711]  The real estate market has stumbled.
[01:38:53.071 --> 01:38:55.614]  We're seeing a lot of people getting caught by negative equity.
[01:38:55.654 --> 01:38:57.095]  We're seeing a lot of foreclosures.
[01:38:57.515 --> 01:39:02.940]  So that extra money that the government is spending doesn't have a hole to go into anymore.
[01:39:03.600 --> 01:39:06.703]  And we are now starting to see upward pressure on prices because
[01:39:07.123 --> 01:39:09.705]  There's too much money chasing too few goods and services.
[01:39:10.165 --> 01:39:23.974]  So that's a big part of why the collapse of the real estate market is a major, major monkey wrench into the Federal Reserve's attempts to keep the US government solvent as it goes into these wars.
[01:39:24.654 --> 01:39:32.419]  Now, with regard to Iran, as I said earlier in the show, I think attacking those nuclear sites is going to be a horrendous environmental mistake.
[01:39:34.346 --> 01:39:36.367]  I don't see how the U.S.
[01:39:36.547 --> 01:39:41.548]  thinks it can sustain an actual ground invasion of Iran.
[01:39:42.648 --> 01:39:47.949]  I assume that what is really wanted is just the southern part of Iran where all the oil fields are located.
[01:39:48.609 --> 01:39:56.991]  But I have to wonder to what extent George Bush and his neocons are really being insulated from some of the realities of what's going on.
[01:39:57.511 --> 01:40:03.693]  Because all this talk about going into Iran is very much reminding me of the last days of World War II.
[01:40:04.335 --> 01:40:12.521]  When Hitler was ordering armies into battle that did not actually exist, and nobody would dare tell him that they didn't exist for fear of being shot.
[01:40:13.161 --> 01:40:22.408]  So, I have to wonder if the plans to attack Iran... And by the way, we know that even his favorites are fired if they even question.
[01:40:23.328 --> 01:40:23.589]  Yes.
[01:40:24.349 --> 01:40:24.990]  Absolutely.
[01:40:25.030 --> 01:40:26.231]  Which is totally delusional.
[01:40:27.091 --> 01:40:28.232]  Yeah, very much so.
[01:40:28.452 --> 01:40:33.135]  And, you know, we already know we're barely hanging on in Afghanistan and Iraq.
[01:40:34.804 --> 01:40:36.625]  Right now, as we speak, U.S.
[01:40:36.665 --> 01:40:40.427]  forces are in a major firefight right in the streets of Baghdad itself.
[01:40:41.868 --> 01:40:45.290]  So, it's not going well there at all.
[01:40:45.370 --> 01:40:47.011]  We don't have enough troops to support that.
[01:40:47.051 --> 01:40:51.853]  They're continuing to cannibalize the state national guards to send troops to Iraq.
[01:40:52.293 --> 01:40:55.075]  With what is Bush planning to attack Iran?
[01:40:55.855 --> 01:41:00.878]  Yes, he can certainly go in there with the carriers and he can blow up those nuclear installations.
[01:41:01.486 --> 01:41:04.526]  And unleash a tremendous radioactive cloud all over the region.
[01:41:05.208 --> 01:41:08.550]  But we don't have the military forces to actually go in on the ground.
[01:41:08.611 --> 01:41:14.735]  But hey, neocons that listen to talk radio think it's manly to kill people in countries they can't find on maps.
[01:41:15.415 --> 01:41:17.917]  I mean, I think they really don't care if their kids die of leukemia.
[01:41:18.318 --> 01:41:20.179]  I mean, these people are sick.
[01:41:20.479 --> 01:41:22.461]  And that's the bottom line.
[01:41:22.501 --> 01:41:27.284]  They were taught as children that it's manly to attack countries you can't name or find on a map or you can't spell.
[01:41:28.085 --> 01:41:33.829]  And they know they've got 25% of the country that would drink cyanide Kool-Aid if ordered to do so.
[01:41:34.850 --> 01:41:36.311]  And that's in both political parties.
[01:41:37.052 --> 01:41:40.735]  And I think the plan is that they may escalate Iran.
[01:41:41.619 --> 01:41:44.180]  To get us, you know, well you know how Ponzi schemes work.
[01:41:44.620 --> 01:41:47.521]  That, you know, when a guy's up against the wall, he takes a hostage.
[01:41:47.781 --> 01:41:50.703]  They've got to go ahead and just puff it up to the next level.
[01:41:51.163 --> 01:41:54.944]  And even if the economy tanks and we're in a depression, at least we'll be in a new war.
[01:41:55.604 --> 01:41:58.145]  And then Iran would have the right to strike back.
[01:41:58.205 --> 01:41:59.546]  That'll be called terrorism.
[01:41:59.806 --> 01:42:03.607]  People will run around the streets screaming, my God, we nuked them and they fought back.
[01:42:03.868 --> 01:42:05.308]  We've never seen such evil.
[01:42:05.688 --> 01:42:07.209]  Satan himself must be there.
[01:42:07.549 --> 01:42:09.950]  I mean, because there's not reality with these neocon
[01:42:15.291 --> 01:42:36.396]  Well, I think the problem is that they're still trying to play the game by the rules and methods that worked back during the Cold War, and I suspect the thinking is that if they can crank up a war in Iran, that it will re-ignite the patriotic furor of the American people, and they will again back their president and his cause in Iran, and we'll all start signing up
[01:42:37.035 --> 01:42:39.417]  With the military recruiters to fight this new crusade.
[01:42:39.778 --> 01:42:53.189]  Unfortunately, for the government and fortunately for the people, because of radio shows like ours and because of the blogs and because of the internet and communication, the American people already know that they were lied into the last couple of wars.
[01:42:53.230 --> 01:42:54.811]  They know they're being lied into this one.
[01:42:56.340 --> 01:43:03.307]  Every time Bush has attacked somebody, that little poll bump that he expects at the end of it has been getting less and less.
[01:43:03.667 --> 01:43:13.617]  So I think when Bush attacks Iran, he is not going to see any kind of surge of American popular support for himself and his policies, and we will find ourselves in a war that ultimately we cannot win.
[01:43:15.655 --> 01:43:20.240]  Well, they don't have aircraft carriers over there to play Parcheesi or a game of badminton.
[01:43:20.460 --> 01:43:29.088]  And just like with 2002, they played a psychological game of saying in the Washington Post and everywhere else, we know it's going to be mid-March 2002.
[01:43:29.148 --> 01:43:34.794]  They said that three months before, you know, right with the New Year in January, they were saying it or two months before.
[01:43:35.274 --> 01:43:42.301]  And it turned out the Washington Post had been at the Bilderberg Group meeting and that the decision that later came out had been made to not attack until March of 2003.
[01:43:42.621 --> 01:43:50.068]  And then it kind of becomes a foregone conclusion where even those of us against the war, you know, who are violently opposed to it, are just expecting it.
[01:43:50.168 --> 01:43:51.550]  And then, boom, the attack comes.
[01:43:51.850 --> 01:43:57.075]  A lot of you heard Ron Paul last hour when I said, well, you know, we could have a staged terror attack.
[01:43:57.495 --> 01:43:58.096]  I don't think so.
[01:44:17.043 --> 01:44:18.684]  To the races, you've got to hit the streets.
[01:44:18.824 --> 01:44:23.526]  I mean, don't wait for some spontaneous, don't wait to get an order to go to a demonstration.
[01:44:23.546 --> 01:44:30.448]  You've got to spontaneously do it, spontaneously call into talk radio, spontaneously come out against this.
[01:44:31.229 --> 01:44:37.191]  But, I mean, to specifically answer my question, Michael Rivera of whatreallyhappened.com, I mean, specifically give me your take on
[01:44:38.431 --> 01:44:46.455]  Do you think that their orchestra, because we know that they wanted to do this later, that's their program and we know that, and there's all the evidence we can't go into because of time.
[01:44:46.955 --> 01:44:49.597]  We know they wanted to implode the economy sometime around 2010-2011.
[01:44:49.637 --> 01:44:52.178]  The congressmen agree with me on that.
[01:44:52.878 --> 01:44:54.659]  George Humphreys, an economist, agrees with me on that.
[01:44:54.679 --> 01:45:02.282]  I mean, it's pretty obvious that's when their game plan will be fully in place, that right now they're still trying to shore things up, but I don't think they can shore things up now.
[01:45:02.342 --> 01:45:05.744]  So what I'm saying is, A, do you think they're trying to shore things up?
[01:45:06.345 --> 01:45:09.432]  Or B, do you think they want to go ahead and let it slowly decline?
[01:45:09.793 --> 01:45:13.382]  And then C, will it just be an accelerated implosion?
[01:45:13.603 --> 01:45:14.465]  What do you think is going to happen?
[01:45:16.302 --> 01:45:35.553]  I think the economy is not as much under their control as they would like to pretend, and I think certain individual private interests are already in the let's loot some for ourselves stage, because we know it's going to go down sometime, and the longer we can prop it along, the more we can take out of it for our own personal greed.
[01:45:35.593 --> 01:45:45.478]  I mean, we heard just this last week, the CEO of Ford, who was only on the job for a few months, and he just walked away with this incredibly huge compensation package,
[01:45:46.499 --> 01:45:48.780]  We're seeing corporate leaders loot their own companies.
[01:45:48.820 --> 01:45:50.980]  We're seeing government leaders loot the nation.
[01:45:51.500 --> 01:45:58.981]  That, to me, basically says that whether intentional or not, it is thought that the collapse is not very far off indeed.
[01:45:59.001 --> 01:46:02.122]  No, I mean, please continue, but I want to concur with you.
[01:46:02.162 --> 01:46:04.102]  That's why I'm actually losing sleep now.
[01:46:04.142 --> 01:46:04.782]  I've actually been awake.
[01:46:04.842 --> 01:46:06.023]  I mean, folks, I don't lose sleep.
[01:46:06.443 --> 01:46:12.264]  I've actually been really, I mean, like never before, I'm feeling anxious because of all the indices.
[01:46:13.784 --> 01:46:33.230]  Yeah, you can see them kind of creeping to the door, and now more and more getting up and creeping towards the door, and now they're starting to shove, and they're starting to be a stampede, and then I see the general public still buying designer clothes, giggling, laughing, loving the war, and in a sick way, I kind of can't wait until these yuppies are out on the street, because they deserve it, Mike!
[01:46:34.762 --> 01:46:39.266]  Well, I'm not sure how much they deserve it, but yes, there have been a lot of very short-sighted people.
[01:46:39.507 --> 01:46:43.230]  But ultimately, that was the goal of the brainwashing that we saw through the mainstream media.
[01:46:43.710 --> 01:46:48.315]  And to an extent, that propaganda was successful.
[01:46:48.655 --> 01:46:53.760]  Had it not been for shows like yours and websites like mine, they would have been much more successful.
[01:46:53.880 --> 01:46:57.243]  So I think we have to look at the fact that
[01:46:58.025 --> 01:47:09.814]  That they're not able to easily achieve their original agenda, because it's clearly not going the way they originally planned it to, and that definitely is the result of a new awareness among the American people.
[01:47:10.255 --> 01:47:27.548]  The Internet and non-corporate radio have definitely changed the formula by which information flows between the general population and society's leaders, and has really changed the rules, I think, as dramatically
[01:47:28.081 --> 01:47:29.862]  As when movable type printing came along.
[01:47:29.922 --> 01:47:34.605]  Well I want you to elaborate on that and also elaborate on the Ministry of Defense report the British just put out.
[01:47:35.546 --> 01:47:43.550]  And this is where they're saying what they believe probable is going to happen and they say the big problem is the alternative media now has killed government's monopoly of information.
[01:47:43.570 --> 01:47:44.831]  But I want to go back and be clear.
[01:47:45.231 --> 01:47:46.852]  I'm not glad this is going to implode.
[01:47:46.952 --> 01:47:48.934]  I'm not glad that this is happening.
[01:47:48.954 --> 01:47:52.776]  I'm freaked out and upset and a lot of us will get crushed in the process and I'm not in a good position.
[01:47:53.376 --> 01:47:53.917]  None of us are.
[01:47:54.984 --> 01:48:03.869]  I'm just saying for the war-mongering scum who love this system and don't know these corporatists aren't their friends, that, you know, I'm not going to cry for them is my point.
[01:48:04.909 --> 01:48:11.733]  Well, I think, unfortunately, the people who are pro-war have already got their golden parachutes and they will be the ones least to be hurt by it all.
