[00:00:00.349 --> 00:00:01.370]  I'm great.
[01:30:58.968 --> 01:31:03.211]  There are no chemicals, aluminum, preservatives, or petroleum-based ingredients in NoVO.
[01:31:03.491 --> 01:31:09.716]  Just natural ingredients like grapeseed oil, arrowroot powder, silica, vitamin E, tea tree oil, and geranium.
[01:31:09.896 --> 01:31:14.060]  No-BO's job is to destroy the bacteria that causes the odor while soothing your skin.
[01:31:14.220 --> 01:31:18.583]  You can use No-BO under your arms, on tough foot odors, or for athlete's foot.
[01:31:18.743 --> 01:31:22.727]  No-BO is guaranteed 100% or receive a full refund.
[01:31:23.067 --> 01:31:25.609]  Visit No-BO.com to order.
[01:31:25.729 --> 01:31:28.551]  That's No-BO.com or call 850-723-8599.
[01:31:33.271 --> 01:31:33.852]  It's a fact.
[01:31:34.032 --> 01:31:38.476]  You can legally eliminate credit card debt, which has been fraudulently created by the banks.
[01:31:38.937 --> 01:31:44.122]  Since its creation in 1913, the Federal Reserve has not been held responsible for its own debt.
[01:31:44.422 --> 01:31:47.625]  So why should you, the hard-working American, be harassed for yours?
[01:31:47.886 --> 01:31:54.993]  There's a double standard when it comes to being responsible for debt, and unlike the Federal Reserve, the people of this country can't print more money when needed.
[01:31:55.333 --> 01:32:02.535]  Day of Jubilee has created a successful program designed for people that want to stop harassing calls and threatening letters from bill collectors.
[01:32:02.955 --> 01:32:04.796]  We also do credit restoration.
[01:32:05.256 --> 01:32:11.578]  Join the thousands of Americans who now breathe a sigh of relief because they have legally eliminated their credit card debt.
[01:32:11.798 --> 01:32:15.559]  Instead of living each day in fear, it's time to turn your life around.
[01:32:15.939 --> 01:32:18.501]  Call Day of Jubilee open 9 a.m.
[01:32:18.541 --> 01:32:19.382]  to 5 p.m.
[01:32:19.442 --> 01:32:20.643]  Central Standard Time at 920-293-8024.
[01:32:20.663 --> 01:32:20.843]  That's 920-293-8024.
[01:32:20.923 --> 01:32:22.064]  And ask for Robert.
[01:32:22.124 --> 01:32:25.447]  Don't wait any longer to get your life back in order.
[01:32:35.276 --> 01:32:39.400]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[01:32:39.640 --> 01:32:41.402]  Well, the glass has a natural resonance.
[01:32:41.662 --> 01:32:47.948]  If the resonant frequency force making the glass vibrate is big enough, the size of the vibration will become so large that the glass shatters.
[01:32:48.228 --> 01:32:54.354]  Using this similar principle, Royal Raymond Wright discovered that diseased organisms can be destroyed using different resonant frequencies.
[01:32:54.614 --> 01:32:56.456]  The Biosolutions Frequency Instrument.
[01:32:56.716 --> 01:32:57.076]  I think so.
[01:33:19.125 --> 01:33:20.626]  I really should have built a wall.
[01:33:50.941 --> 01:33:52.722]  Welcome back!
[01:33:52.842 --> 01:34:09.730]  We've got Debbie Morrow coming up for a few minutes.
[01:34:17.060 --> 01:34:17.880]  Always great to have her.
[01:34:17.940 --> 01:34:21.981]  I want to play this clip of O'Reilly.
[01:34:22.061 --> 01:34:24.002]  And again, I'm not giving him attention.
[01:34:24.062 --> 01:34:25.902]  I'm not focusing in on the mainstream media.
[01:34:25.942 --> 01:34:27.122]  I really think that's a diversion.
[01:34:27.682 --> 01:34:38.845]  But it's important to play this just to illustrate for people out there that support him and support the war and support all this, the type of mindlessness and the tactics that are being used against you.
[01:34:40.365 --> 01:34:44.066]  I mean, you need to be aware that you're being targeted with propaganda.
[01:34:46.650 --> 01:34:52.653]  Going back to our guest, Bob Wattata, father of Aaron Wattata, Lt.
[01:34:52.673 --> 01:34:56.095]  Aaron Wattata, who's up for court marshalling on February 5th.
[01:34:56.476 --> 01:34:57.616]  We'll be following that here.
[01:34:57.676 --> 01:35:02.819]  Darja Maul's being called as a prosecution witness because he was at one of the events where he spoke.
[01:35:03.619 --> 01:35:05.280]  A frequent contributor to this broadcast.
[01:35:05.300 --> 01:35:07.662]  We'll be getting him on to talk about it as well.
[01:35:08.022 --> 01:35:11.904]  Just unbelievably disgusting that they're trying all of this.
[01:35:12.324 --> 01:35:14.225]  We're simply pointing out the President was deceptive.
[01:35:14.746 --> 01:35:15.246]  We know!
[01:35:16.064 --> 01:35:16.865]  That he's deceptive.
[01:35:16.905 --> 01:35:18.066]  We know he's a criminal.
[01:35:18.546 --> 01:35:21.108]  We know they premeditatedly lied about WMDs.
[01:35:21.128 --> 01:35:22.189]  They've lied about everything!
[01:35:23.429 --> 01:35:24.510]  They're always lying!
[01:35:26.051 --> 01:35:30.034]  And, you know, a lot of us are outraged at the traitorous activities of this government.
[01:35:30.915 --> 01:35:34.117]  Mr. Watada, in closing, any websites you want to plug?
[01:35:34.197 --> 01:35:37.500]  Any organizations that are moving forward trying to end this war?
[01:35:38.400 --> 01:35:39.802]  Any way we can help your son?
[01:35:40.882 --> 01:35:43.284]  Well, certainly we have a website.
[01:35:43.804 --> 01:35:44.305]  Thank you.
[01:35:45.051 --> 01:35:46.312]  Thank you, lt.org.
[01:35:46.792 --> 01:35:48.914]  Thank you, lt.org.
[01:35:49.775 --> 01:36:00.183]  That's the website that we have up there for Aaron to try to let everybody know what is happening and what we would like to see them do to help Aaron.
[01:36:03.345 --> 01:36:04.926]  Give that website out again one more time.
[01:36:05.127 --> 01:36:05.427]  Okay.
[01:36:05.747 --> 01:36:06.488]  Thank you, lt.org.
[01:36:06.528 --> 01:36:07.048]  T-H-A-N-K-Y-O-U-L-T.
[01:36:14.013 --> 01:36:14.473]  Not or.
[01:36:44.493 --> 01:36:45.994]  And so I salute your son.
[01:36:46.734 --> 01:36:47.595]  Well, thank you very much.
[01:36:47.655 --> 01:36:52.237]  We are also very proud of him for taking the stand he has.
[01:36:52.317 --> 01:37:03.003]  We know that he's going to possibly be put into jail for it, but, you know, there's people like Martin Luther King was jailed.
[01:37:04.343 --> 01:37:05.624]  Rosa Parks was jailed.
[01:37:05.664 --> 01:37:08.926]  These people stood up and said, hey, this is wrong.
[01:37:09.226 --> 01:37:10.566]  Jesus Christ was jailed.
[01:37:10.967 --> 01:37:12.127]  Jesus Christ was jailed.
[01:37:12.247 --> 01:37:13.668]  Founding fathers were jailed.
[01:37:14.594 --> 01:37:18.636]  That's correct.
[01:37:18.816 --> 01:37:21.598]  Even George Washington was called a traitor by his own people.
[01:37:21.618 --> 01:37:25.921]  He was called a traitor because he went against the king.
[01:37:27.462 --> 01:37:28.102]  Absolutely.
[01:37:28.142 --> 01:37:31.904]  Well, we appreciate you coming on, sir, and we'll check in with you as this develops.
[01:37:31.964 --> 01:37:36.127]  I know you'll be very busy around the trial, but I'd like to get you on during that, and I appreciate you.
[01:37:37.087 --> 01:37:40.889]  Well, thank you very much, Alex, and just call me.
[01:37:41.129 --> 01:37:43.631]  You have my number, and I would be glad to join you on your show.
[01:37:44.329 --> 01:37:45.070]  Thank you, Robert.
[01:37:45.090 --> 01:37:45.510]  Take care.
[01:37:45.530 --> 01:37:46.330]  Thank you.
[01:37:47.451 --> 01:37:48.032]  Alright.
[01:37:48.992 --> 01:37:50.113]  Just disgusting.
[01:37:51.834 --> 01:37:58.359]  And I understand you can have everybody running around in the military generally shooting their mouth off about the President, but I mean, these are criminals.
[01:37:59.399 --> 01:38:05.764]  And it's in the military code that if you've got a criminal government, you are to resist it, you are to speak out against it.
[01:38:06.844 --> 01:38:08.345]  It's in the Declaration of Independence.
[01:38:08.446 --> 01:38:10.927]  This government is criminal.
[01:38:11.267 --> 01:38:11.868]  Period.
[01:38:13.985 --> 01:38:15.867]  And you can't put perfume on a pig.
[01:38:16.747 --> 01:38:17.868]  It cannot be done!
[01:38:18.569 --> 01:38:20.671]  This war is a shame to America!
[01:38:21.351 --> 01:38:30.099]  And the very people orchestrating this war are the very people implementing the destruction of our borders and the North American Union.
[01:38:30.479 --> 01:38:32.861]  They're the very ones butchering the Bill of Rights!
[01:38:33.121 --> 01:38:34.542]  That's MY Bill of Rights!
[01:38:34.843 --> 01:38:37.165]  Not yours, you sniveling neocons!
[01:38:39.166 --> 01:38:41.088]  That's the heart and soul of the U.S.!
[01:38:41.508 --> 01:38:42.049]  Not you!
[01:38:44.188 --> 01:38:44.928]  Not you!
[01:38:45.449 --> 01:38:50.891]  You don't own, and you don't run this country, and you don't own, and you don't run me!
[01:38:50.911 --> 01:38:58.295]  So stop running around on your moral high horses, Republican listeners out there.
[01:38:59.135 --> 01:39:01.256]  People who aren't conservative, you're Republican.
[01:39:01.816 --> 01:39:05.518]  You like your pervert, homosexual, Republican leaders.
[01:39:08.699 --> 01:39:12.141]  That's what you like, that's what you love, that's what you're into.
[01:39:13.436 --> 01:39:15.336]  And I bring that up because it throws them for a loop.
[01:39:15.777 --> 01:39:18.717]  George Bush is about as conservative as a three dollar bill.
[01:39:21.478 --> 01:39:22.838]  And it's just a joke!
[01:39:23.178 --> 01:39:24.179]  You are a joke!
[01:39:26.119 --> 01:39:27.879]  And you know who you are out there listening.
[01:39:28.940 --> 01:39:30.580]  You make me sick.
[01:39:31.920 --> 01:39:33.961]  This country has been completely hijacked.
[01:39:35.201 --> 01:39:38.722]  And I just bring up the whole gay thing because it's just so ridiculous that
[01:39:39.324 --> 01:39:43.267]  Going back to the late 80s, right through to today, there's constantly gay prostitutes in there.
[01:39:43.748 --> 01:39:46.610]  That's what these guys are into at Bohemian Grove, Skull and Bones.
[01:39:47.170 --> 01:39:48.551]  And I just, it's just such a joke.
[01:39:48.571 --> 01:39:53.816]  And then I'm tired of liberals blaming Christians, going, oh, look at your Christian leaders!
[01:39:54.756 --> 01:39:57.619]  You know, look at Bush, he believes God told him to do it.
[01:39:57.939 --> 01:40:00.881]  He believes, he just does that to manipulate Christians.
[01:40:01.241 --> 01:40:03.003]  That guy is as Christian as Satan.
[01:40:04.637 --> 01:40:05.137]  I'm going to shut up.
[01:40:05.157 --> 01:40:05.897]  Let's go Debbie Morrow.
[01:40:05.957 --> 01:40:07.038]  I'm going to go to this O'Reilly thing.
[01:40:07.098 --> 01:40:08.338]  I'm going to cover some of the news.
[01:40:08.378 --> 01:40:11.479]  Then the third hour, solid, blitzkrieg of calls.
[01:40:12.919 --> 01:40:14.500]  I will take unending calls.
[01:40:14.580 --> 01:40:15.140]  Lots of them.
[01:40:17.300 --> 01:40:19.481]  Debbie Morrow, hadn't had you on in two or three weeks.
[01:40:19.521 --> 01:40:20.441]  Good to have you here with us.
[01:40:21.241 --> 01:40:22.602]  Thank you for having me back.
[01:40:22.642 --> 01:40:31.084]  You know, we were closed for the holidays and we could get all of our bookkeeping done for the new year and now we are ready to go.
[01:40:32.062 --> 01:40:35.987]  Take your orders and get back to selling Berkies!
[01:40:52.126 --> 01:40:54.589]  You also have the national distributors for the British Burkies.
[01:40:55.129 --> 01:40:57.832]  She gets a big discount on those as well.
[01:40:58.232 --> 01:40:59.513]  Call her for prices.
[01:40:59.994 --> 01:41:02.516]  This is the big national manufacturer and distributor.
[01:41:02.776 --> 01:41:05.359]  But they've got Debbie just to handle radio interviews.
[01:41:05.399 --> 01:41:08.302]  Just to give you that personal customer service.
[01:41:08.362 --> 01:41:09.583]  And she's a wonderful lady.
[01:41:09.883 --> 01:41:11.084]  They've got a free brochure.
[01:41:11.104 --> 01:41:14.287]  They've got sports bottles that just make the water safe to drink.
[01:41:14.307 --> 01:41:17.050]  They've got purifiers that totally clean it out.
[01:41:17.731 --> 01:41:19.212]  The water is full of poison.
[01:41:19.232 --> 01:41:22.234]  What do you mean full of poison?
[01:41:22.555 --> 01:41:23.976]  Just go read what the EPA allows.
[01:41:24.016 --> 01:41:24.556]  Herbicide.
[01:41:24.596 --> 01:41:25.237]  Pesticide.
[01:41:25.577 --> 01:41:26.478]  Heavy metals.
[01:41:28.039 --> 01:41:28.799]  Chlorine.
[01:41:29.260 --> 01:41:30.701]  It goes on and on.
[01:41:31.321 --> 01:41:33.763]  And people need to give Debbie Morrow a call.
[01:41:35.004 --> 01:41:37.646]  This is one area of your life you can take control right now.
[01:41:37.926 --> 01:41:41.169]  And that's to stop drinking all of the poison that's in the water.
[01:41:41.189 --> 01:41:41.469]  Debbie?
[01:41:42.129 --> 01:41:42.790]  That's correct.
[01:41:43.310 --> 01:41:44.511]  You said it all, Alex.
[01:41:45.292 --> 01:41:46.753]  We're here to take your calls.
[01:41:47.406 --> 01:41:56.328]  You know, the Berkey water systems are affordable, and if you're buying bottled water now, you know, it's going to pay for itself in no time.
[01:41:56.348 --> 01:41:59.769]  It's a great, easy-to-use system.
[01:42:00.169 --> 01:42:02.610]  You don't have to call a plumber to get it plumbed in.
[01:42:02.710 --> 01:42:04.690]  It's all standalone product.
[01:42:05.830 --> 01:42:15.133]  Made in America, and it actually purifies the pathogenic bacteria, cysts, and sediment, and the VOCs to a non-detectable level.
[01:42:15.173 --> 01:42:16.433]  It's set a new standard.
[01:42:17.108 --> 01:42:18.729]  In the water filter industry.
[01:42:19.350 --> 01:42:21.751]  And we'd like to get those out to all of your listeners.
[01:42:22.932 --> 01:42:24.593]  Well, you've got a bunch of different units.
[01:42:24.633 --> 01:42:26.574]  Describe what a $198, $195 unit does.
[01:42:26.594 --> 01:42:27.695]  Okay.
[01:42:29.616 --> 01:42:39.863]  Well, we have a Travel Berkey, which is a stainless steel one and a half gallon system that you can use in an apartment, house.
[01:42:39.923 --> 01:42:41.944]  It's good for one or two or three people.
[01:42:41.964 --> 01:42:44.666]  It's great if you want to have it for on the go.
[01:42:45.456 --> 01:42:52.059]  A lot of our customers, a lot of your listeners, save their Berkeys for, God forbid, something really bad happens.
[01:42:52.539 --> 01:42:54.880]  And I always try to encourage you, don't do that.
[01:42:55.140 --> 01:42:55.920]  Use it every day.
[01:42:55.940 --> 01:43:01.443]  It's something that you want to do every day because bad things are happening every day to your water.
[01:43:02.063 --> 01:43:05.084]  It's, you know, there's bad stuff in the water all the time now.
[01:43:05.544 --> 01:43:09.306]  We don't want to wait until there's nuclear fallout because you want to get out the VOCs
[01:43:10.427 --> 01:43:13.708]  The chemicals and you know things like MTBE.
[01:43:13.808 --> 01:43:18.430]  Well every major city they found Ritalin and Prozac and then everything else in it.
[01:43:18.510 --> 01:43:24.972]  The fish can't even reproduce in most major city lakes now because of all the female hormones just from birth control pills alone.
[01:43:25.292 --> 01:43:34.295]  That's right and we want to filter our water the best we can so that we know that we're getting out all of these bad contaminants that are in the water.
[01:43:34.375 --> 01:43:35.375]  No they're nutritious.
[01:43:37.136 --> 01:43:38.176]  Well you know I have a
[01:43:38.971 --> 01:43:39.291]  I think so.
[01:43:56.104 --> 01:43:57.124]  Think about America!
[01:43:57.144 --> 01:44:04.427]  They got 15 million kids on this, and now they passed the Federal New Freedom Initiative to federally fund forcing more kids on it.
[01:44:05.107 --> 01:44:11.829]  This stuff makes their heart expand, their brains shrink, retards growth causes all sorts of heart attacks.
[01:44:12.209 --> 01:44:13.989]  That's mainstream news, man!
[01:44:14.009 --> 01:44:20.991]  Then they'll knock your door down looking for illegal drugs, which the government shipped in to begin with.
[01:44:21.311 --> 01:44:23.392]  I mean, I just cannot deal with it anymore!
[01:44:24.793 --> 01:44:25.593]  Absolutely, Alex.
[01:44:25.633 --> 01:44:27.234]  That's a drug pushing trash!
[01:44:27.674 --> 01:44:28.234]  That's it.
[01:44:28.514 --> 01:44:29.395]  That's it, Alex.
[01:44:29.495 --> 01:44:35.297]  And so, we want to get these Berkeys out to as many people as possible, so please give me a call.
[01:44:35.317 --> 01:44:37.358]  Yeah, give them a call.
[01:44:38.661 --> 01:44:47.909]  Give her a call right now, 1-888-803-4438, 808-803-4438, or Berkeywater.com online.
[01:44:47.929 --> 01:44:58.357]  You can order via the Safe, Secure shopping cart, and right there in the comments section, tell them what free gift you want with one of the big Berkeys, potassium iodide, a sports bottle, sheltering-in-place DVD, 888-803-4438, or Berkeywater.com.
[01:44:58.397 --> 01:45:00.019]  Debbie, how was your holiday?
[01:45:04.783 --> 01:45:08.484]  Actually, we had a really, really wonderful holiday.
[01:45:09.404 --> 01:45:10.284]  It was kind of quiet.
[01:45:10.325 --> 01:45:11.865]  Thanksgiving's our big holiday.
[01:45:11.925 --> 01:45:16.066]  Christmas, we stay home and be kind of quiet and got real rested.
[01:45:16.346 --> 01:45:16.826]  That's good.
[01:45:16.846 --> 01:45:18.427]  That's why I wish I could have done that.
[01:45:19.187 --> 01:45:20.007]  Yeah, it was great.
[01:45:20.587 --> 01:45:22.007]  Hey, Debbie, thank you for coming on.
[01:45:22.027 --> 01:45:23.708]  Say hi to your husband and family for me.
[01:45:23.868 --> 01:45:24.248]  I will.
[01:45:24.328 --> 01:45:27.509]  Thank you for having me, and I look forward to hearing from your listeners.
[01:45:27.909 --> 01:45:31.870]  Leave your number twice, so in case I don't hear it correctly the first time, okay?
[01:45:32.432 --> 01:45:33.092]  Debbie, thank you.
[01:45:33.112 --> 01:45:33.853]  Thank you.
[01:45:34.693 --> 01:45:35.074]  God bless.
[01:45:35.114 --> 01:45:36.875]  God bless you.
[01:45:36.895 --> 01:45:40.717]  888-803-4438, or Berkeywater.com, or order via Infowars.com.
[01:45:41.177 --> 01:45:43.639]  Okay, there's so many lies.
[01:45:44.159 --> 01:45:52.464]  I'm going to play it, and we're going to stop the tape, and I'm going to comment as we go through it, or I would never be able to later comment on all of it.
[01:45:52.724 --> 01:46:01.589]  This is O'Reilly with the leader of the group that protested when the Democrats were trying to shill with their pro-war position.
[01:46:02.199 --> 01:46:03.059]  After flip-flopping.
[01:46:03.940 --> 01:46:13.724]  Okay, and then notice how he tries to say they have no members, they're a little group, they're nobody, they're disrupting, they're bad, they're crazy.
[01:46:13.784 --> 01:46:15.405]  It's all buzzwords.
[01:46:15.625 --> 01:46:16.945]  Here it is.
[01:46:17.005 --> 01:46:20.967]  Even though the Democrats took control of Congress today, some on the far left are not happy.
[01:46:21.327 --> 01:46:25.569]  When Democratic Congressman Rahm Emanuel tried to give a speech yesterday, here's what happened.
[01:46:26.915 --> 01:46:31.579]  At every step of the... At every... We're going to keep going here.
[01:46:31.699 --> 01:46:34.321]  We're going to have a... Thank you.
[01:46:53.655 --> 01:46:55.456]  No, Emanuel could not get his remarks out.
[01:46:55.556 --> 01:47:01.380]  Joining us from Washington, Sunsara Taylor, prominent member of the far-left group, The World Can't Wait.
[01:47:01.800 --> 01:47:06.083]  Some members of your group were in that mob, that screaming mob.
[01:47:06.563 --> 01:47:08.825]  Why do you do that, and what's the worthiness of that?
[01:47:09.679 --> 01:47:12.841]  Well, Bill, right now what we see is the U.S.
[01:47:12.901 --> 01:47:15.062]  is involved in a criminal war in Iraq.
[01:47:15.542 --> 01:47:16.782]  It was launched illegally.
[01:47:16.823 --> 01:47:18.723]  It's cost hundreds of thousands of Iraqi lives.
[01:47:18.783 --> 01:47:19.984]  It's cost thousands of U.S.
[01:47:20.044 --> 01:47:20.684]  soldiers lives.
[01:47:21.045 --> 01:47:26.967]  There's been a whole doctrine of preemptive war that's been codified into place and an institutionalization of torture.
[01:47:27.408 --> 01:47:38.253]  These are war crimes and crimes against humanity and Congress is not speaking about them, so people have an obligation to step up and speak the truth and to demand a stop to these crimes.
[01:47:38.513 --> 01:47:48.376]  Okay, so you're saying that the new Democrat Congress in here now, you're not even going to give them a chance to address the things that you just... Okay, let's stop right there.
[01:47:48.936 --> 01:47:49.817]  Let's stop right there.
[01:47:51.297 --> 01:47:57.799]  They, these Democrat groups, attack people like me when I said you watch the Democrats are going to come in and say increase the troops.
[01:47:58.539 --> 01:48:06.102]  They're going to do whatever that Henry Kissinger, George Shultz slash James Baker group says.
[01:48:07.463 --> 01:48:14.590]  And then now those groups, and I have to commend them, did, after they saw the Democrats were gonna basically go for expansion of the war, they got mad!
[01:48:14.991 --> 01:48:20.316]  And they went in there and tried to shut down press conferences to get media attention that the American people demand!
[01:48:22.098 --> 01:48:25.422]  So, here he is claiming that they're not even giving the Democrats a chance.
[01:48:26.900 --> 01:48:27.961]  That's lie number one.
[01:48:28.221 --> 01:48:38.009]  Then he starts trying to talk about how they're a minority view, and that people don't agree with them, and that it's her view that the war was a lie, and that it's her opinion.
[01:48:38.289 --> 01:48:39.830]  No, those are facts, buddy!
[01:48:40.311 --> 01:48:41.071]  Like gravity!
[01:48:41.332 --> 01:48:42.913]  Let's go back to Bill O'Reilly.
[01:48:43.613 --> 01:48:46.896]  ...down, so they can't even address it even if they wanted to.
[01:48:47.016 --> 01:48:47.937]  Is that what you're telling me?
[01:48:48.875 --> 01:48:49.916]  No, that's not what I'm saying.
[01:48:49.936 --> 01:48:55.461]  I'm saying the Democrats have made very abundantly clear that they are not calling for an immediate withdrawal from Iraq.
[01:48:55.541 --> 01:48:57.723]  This is the only just solution right now.
[01:48:57.743 --> 01:49:08.413]  Okay, so unless the Democrats or the Republicans or whatever official, whoever official, whoever is elected, immediately withdraw from Iraq, you will not let them speak.
[01:49:08.453 --> 01:49:10.415]  Your group will shout them down.
[01:49:10.475 --> 01:49:12.196]  This is your version of democracy.
[01:49:12.256 --> 01:49:14.939]  You think this is what the country should be.
[01:49:15.442 --> 01:49:16.503]  They speak all the time.
[01:49:16.563 --> 01:49:29.131]  The voices that are not heard are the voices like Cindy Sheehan's, like the protesters who are out today demanding... She gets plenty of publicity and she gets plenty of opportunities... The voices talking about the war crimes that are being committed in our names right now, the fact that because of the U.S.
[01:49:29.191 --> 01:49:39.378]  occupation of Iraq, hundreds of thousands of Iraqi people's lives have been destroyed, people have been killed, torture has been committed and legalized... Okay, but look... These things are not being discussed the way they should.
[01:49:39.418 --> 01:49:39.479]  Ms.
[01:49:39.499 --> 01:49:41.500]  Taylor, that's your opinion, okay?
[01:49:41.560 --> 01:49:42.601]  Stop right there!
[01:49:43.601 --> 01:49:44.462]  That's your opinion!
[01:49:45.194 --> 01:49:54.163]  White House memos say they can torture people till they die, official, torture children with pliers, it's all there, they've used it, they've done it.
[01:49:54.724 --> 01:49:55.945]  No, no, that's her opinion.
[01:49:57.306 --> 01:50:00.690]  Now again, he's playing to this mindless audience that's got Alzheimer's.
[01:50:01.605 --> 01:50:07.832]  Out there, who literally can't even... They just lack O'Reilly.
[01:50:08.072 --> 01:50:11.656]  They just want to be lied to by this butcher of America.
[01:50:11.696 --> 01:50:12.897]  Here it is.
[01:50:12.937 --> 01:50:13.938]  But those are facts.
[01:50:14.339 --> 01:50:15.360]  No, they're not facts.
[01:50:15.400 --> 01:50:17.482]  You are a lunatic.
[01:50:17.982 --> 01:50:19.824]  And if you weren't a lunatic... Hit pause again.
[01:50:20.765 --> 01:50:22.027]  She goes, those are facts.
[01:50:22.067 --> 01:50:23.148]  He says that's her opinion.
[01:50:24.506 --> 01:50:29.669]  Okay, about it being an unjust war, a staged war, they lied us into war, torture, being legitimized.
[01:50:30.129 --> 01:50:32.210]  No, no, those aren't facts.
[01:50:33.851 --> 01:50:34.712]  That's your opinion.
[01:50:34.732 --> 01:50:36.052]  She says, no, they are facts.
[01:50:36.392 --> 01:50:38.454]  And he goes, you're a loon.
[01:50:38.774 --> 01:50:40.455]  You're a loon.
[01:50:41.955 --> 01:50:42.836]  She's a loon.
[01:50:44.097 --> 01:50:46.078]  That's all he ever does with people he disagrees with.
[01:50:46.098 --> 01:50:47.739]  He calls them a loon.
[01:50:48.799 --> 01:50:50.120]  Well, you're a pervert, buddy.
[01:50:51.300 --> 01:50:52.041]  You're a perv.
[01:50:52.822 --> 01:50:56.705]  Who sexually harasses, admittedly, women, hardcore, that work for you.
[01:50:58.626 --> 01:50:59.527]  I mean, how do you like that?
[01:50:59.567 --> 01:51:04.511]  I mean, if anybody is a loon at you, Bill O'Reilly, who would get up there and lie about the death of America?
[01:51:04.711 --> 01:51:06.232]  Who would push the North American Union?
[01:51:06.252 --> 01:51:09.755]  Have you ever heard him say, ban SUVs, ban the militia?
[01:51:10.035 --> 01:51:11.156]  You're a piece of trash!
[01:51:11.676 --> 01:51:12.837]  You're not a real conservative.
[01:51:13.137 --> 01:51:14.078]  You're a piece of filth!
[01:51:15.319 --> 01:51:16.440]  You've got to be ashamed of yourself.
[01:51:16.580 --> 01:51:17.500]  You're a big bully!
[01:51:18.061 --> 01:51:18.721]  You're a punk!
[01:51:19.702 --> 01:51:22.044]  Well, come back and play the rest of what this punk has to say.
[01:51:23.647 --> 01:51:24.928]  Stay with us, I'm Alex Jones.
[01:51:30.870 --> 01:51:41.374]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:51:41.734 --> 01:51:49.357]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:51:50.074 --> 01:51:57.118]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:51:57.518 --> 01:52:08.945]  Terror Storm chronicles the lies that took us to war in Iran, the White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:52:09.265 --> 01:52:12.787]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:52:13.227 --> 01:52:15.168]  It's an anthology of government crimes.
[01:52:15.489 --> 01:52:19.251]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:52:19.911 --> 01:52:26.918]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:52:33.487 --> 01:52:34.467]  Good morning, honey.
[01:52:34.828 --> 01:52:40.810]  Wow, the weather is beautiful, the cabin is terrific, and it's the first day of our vacation.
[01:52:41.090 --> 01:52:41.710]  Yeah.
[01:52:42.070 --> 01:52:43.491]  Honey, is there something wrong?
[01:52:43.851 --> 01:52:47.273]  Yeah, I just realized we forgot to pack the travel Berkey system.
[01:52:47.733 --> 01:52:49.233]  I can't drink this cabin water.
[01:52:49.673 --> 01:52:51.354]  And what am I going to do when I'm out on the lake?
[01:52:51.754 --> 01:52:53.515]  Now the whole vacation is ruined.
[01:52:53.715 --> 01:52:54.655]  Honey, cheer up!
[01:52:55.015 --> 01:52:57.276]  I brought our Sport Berkey Purifiers!
[01:52:57.516 --> 01:52:57.856]  What?
[01:52:58.277 --> 01:53:08.760]  Yeah, I know you're picky about not having pathogenic bacteria, organic chemicals, heavy metals or foul tastes and odors in the water, so I packed our Sport Berkey Purifiers!
[01:53:09.040 --> 01:53:13.882]  You know, this is a terrific cabin, and wow, have you noticed the beautiful weather?
[01:53:14.202 --> 01:53:15.384]  Don't ruin your vacation.
[01:53:15.484 --> 01:53:17.306]  Get a Travel Berkey today for only $209.
[01:53:17.366 --> 01:53:18.067]  Or get a Sport Berkey for only $39.
[01:53:18.107 --> 01:53:18.328]  Call 888-803-4438.
[01:53:18.348 --> 01:53:18.528]  That's 888-803-4438.
[01:53:18.568 --> 01:53:19.730]  Or order on the web at berkeywater.com.
[01:53:19.770 --> 01:53:21.071]  Travel Berkey not available in Iowa.
[01:53:32.461 --> 01:53:40.404]  For years you've been hearing about Herbal Healer Academy and how it's remained a leader in effective alternative and natural medicine and education.
[01:53:40.865 --> 01:53:43.986]  But how can they continue to hold that title for years on end?
[01:53:44.406 --> 01:53:47.447]  The answer is high quality and huge selection.
[01:53:47.848 --> 01:53:52.650]  Just visit HerbalHealer.com and shop online or request a free catalog.
[01:53:53.090 --> 01:53:55.431]  You're bound to find the alternative you're looking for.
[01:53:56.171 --> 01:54:00.873]  Did you know that Herbal Healer carries the latest, safest and effective weight loss products?
[01:54:01.353 --> 01:54:07.235]  You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children.
[01:54:07.555 --> 01:54:08.715]  And don't forget your pets.
[01:54:09.156 --> 01:54:14.858]  Herbal Healer even has natural mineral supplements for all your animals, including horses, cows and birds.
[01:54:15.298 --> 01:54:21.620]  Take a peek at their online calendar and you're sure to find everything you need and maybe something you didn't realize you need.
[01:54:22.180 --> 01:54:27.024]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter.
