[00:00:00.750 --> 00:00:04.333]  WCAX-TV.
[01:17:14.512 --> 01:17:15.853]  So you were getting that from intel?
[01:17:15.853 --> 01:17:19.515]  That's what they want to do, because we're winning, brother, we're winning.
[01:17:19.515 --> 01:17:30.681]  And my dear brother there with you, Pastor, you know we're winning, and if they can push us now, right now, into starting the war,
[01:17:31.718 --> 01:17:36.541]  We lose and they win.
[01:17:36.541 --> 01:17:44.725]  If they can't push us into starting a violent revolution at this moment, they lose because we continue to go awaken people.
[01:17:44.725 --> 01:17:50.728]  If they kill that family, then they lose big time if we still have the First Amendment.
[01:17:50.728 --> 01:17:52.789]  If we go to war with them right now,
[01:17:53.433 --> 01:17:58.558]  Then they win because we can't reach any more people and that's exactly what they want to do.
[01:17:58.558 --> 01:18:02.962]  Well, whatever happens, let me just say this and then Butch can jump in.
[01:18:02.962 --> 01:18:07.467]  Whatever happens, it's the Globalist's fault and they caused this and they're a bunch of murdering scum.
[01:18:07.467 --> 01:18:08.047]  Go ahead.
[01:18:08.047 --> 01:18:10.750]  Okay, now my question is this, and I'm not trying to...
[01:18:10.930 --> 01:18:13.692]  I don't want to be a provocateur here by any means.
[01:18:13.692 --> 01:18:20.278]  If we don't do it, if we don't take a stand and say go to war, the feds will do it for us and blame it on us, and that's going to happen.
[01:18:20.278 --> 01:18:21.399]  It's happened before.
[01:18:21.399 --> 01:18:23.100]  It happened in Oklahoma City.
[01:18:23.100 --> 01:18:24.261]  Obviously that happened.
[01:18:24.261 --> 01:18:36.791]  But here's a question, Jack and Alex, I mean this sincerely, this is a sincere question, not a way to cause an argument, but how many innocent lambs do we allow to be slaughtered as a way to further our cause?
[01:18:36.791 --> 01:18:39.033]  I mean, can we justify that before our holy God?
[01:18:40.154 --> 01:18:41.715]  I think we can brother, I think we can.
[01:19:11.715 --> 01:19:19.458]  Well, we win.
[01:19:19.458 --> 01:19:32.283]  If they kill that family, now I'm telling you right now, I'm here at my home, and if I were in that position, I know that if they came in and killed me, that we would win in the freedom movement.
[01:19:32.283 --> 01:19:36.765]  We would win because they wouldn't have pushed us into going to this
[01:19:37.310 --> 01:19:45.393]  Violent confrontation that they want to put us under martial law and end our growth of awakening people.
[01:19:45.393 --> 01:19:47.394]  That is tremendous right now.
[01:19:47.394 --> 01:19:48.415]  It is tremendous.
[01:19:48.415 --> 01:19:50.155]  They're scared to death of it.
[01:19:50.155 --> 01:20:03.401]  They want to shut us down and this could very well be the way they're trying to do it is to get us to respond with our weapons all across the country into that area and we'll be under martial law and there won't be any more people
[01:20:03.911 --> 01:20:12.719]  Brought to the knowledge that the bad guys are actually... And let's be clear, in phase two starts that the police and military haven't been told, even as high as one-star generals.
[01:20:12.719 --> 01:20:15.121]  You are all to be chewed up in the fight with us.
[01:20:15.121 --> 01:20:17.403]  You're going to be completely defeated.
[01:20:17.403 --> 01:20:18.384]  I want them to know this.
[01:20:18.384 --> 01:20:20.666]  There's no doubt we will destroy you.
[01:20:20.666 --> 01:20:22.127]  We will smash you.
[01:20:22.127 --> 01:20:24.929]  We can totally, totally defeat you.
[01:20:24.929 --> 01:20:25.750]  Just obliterate you.
[01:20:27.031 --> 01:20:28.212]  Now, here's the point.
[01:20:28.212 --> 01:20:29.832]  Then they're going to bring in the foreign troops.
[01:20:29.832 --> 01:20:30.793]  And then it's on.
[01:20:30.793 --> 01:20:31.733]  Starvation.
[01:20:31.733 --> 01:20:33.774]  It's going to look like New Orleans nationwide.
[01:20:33.774 --> 01:20:37.276]  And don't you think for a minute the globalists aren't planning it.
[01:20:37.276 --> 01:20:41.258]  Everything they've done is for the moment we have now reached.
[01:20:41.258 --> 01:20:44.740]  We are in the... This is un... I ask God to give us guidance.
[01:20:44.740 --> 01:20:45.821]  This is unbelievable.
[01:20:45.821 --> 01:20:49.122]  I ask this question again, and I totally agree with Jack.
[01:20:49.122 --> 01:20:50.583]  I'm willing to be a sacrificial lamb.
[01:20:50.583 --> 01:20:52.884]  I would be honored to die for the cause.
[01:20:52.884 --> 01:20:53.745]  Right now, if you come at me...
[01:20:54.854 --> 01:20:57.004]  If they would kill me, and it would help...
[01:20:57.639 --> 01:20:58.919]  I think, brother, you know I pray every night
[01:21:27.321 --> 01:21:54.462]  that God stops George Bush and company from doing another false flag operation because if he does that they will convince the American people that it was Iran and we gotta go into Iran and so the same way here I pray and I've already prayed this morning that the people will not go there in mass because that is what this is all about I feel it in my heart they're trying they they know that everybody's been praying for and thinking and
[01:21:54.972 --> 01:22:03.222]  And knowing about Ed Brown this family, and this is the way they hope to push us into the violent revolution.
[01:22:03.954 --> 01:22:07.855]  And end our growth of awakening God's people.
[01:22:07.855 --> 01:22:13.636]  Do you think we can, and again I'm asking a question that's been on my heart for a long time.
[01:22:13.636 --> 01:22:17.757]  I'm 58 years old and I've been preaching for 30 years, so I've been part of this a long time.
[01:22:17.757 --> 01:22:22.259]  Do you think that we're going to win a tyranny by voting or by talking?
[01:22:22.259 --> 01:22:25.199]  The tyrants will not back down, but there won't be a petition in office.
[01:22:25.199 --> 01:22:27.880]  The point is that no one can doubt
[01:22:28.520 --> 01:22:32.623]  That our force is growing and growing and growing and it's important we're having this discussion.
[01:22:32.623 --> 01:22:34.184]  We need to get more information.
[01:22:34.184 --> 01:22:35.925]  We're going to skip this break.
[01:22:35.925 --> 01:22:40.767]  Do we still have the other gentlemen on, Mr. Smart and others?
[01:22:40.767 --> 01:22:46.031]  Gentlemen, I want to let you go, but I'd like you to pop back in here on Genesis as the day unfolds.
[01:22:46.031 --> 01:22:49.192]  I know you've got your own program you've got to do here in a few minutes.
[01:22:49.192 --> 01:22:50.653]  I've got three things to say.
[01:22:50.653 --> 01:22:52.614]  Okay, who is this?
[01:22:52.614 --> 01:22:53.015]  Oh, hi.
[01:22:53.015 --> 01:22:53.935]  This is Tim.
[01:22:53.935 --> 01:22:54.556]  Okay, go ahead, Tim.
[01:22:56.253 --> 01:22:58.434]  I got three things to say, basically, Alex.
[01:22:58.434 --> 01:23:05.517]  One is, uh, nemo me impunis et, which is Latin for, no man injures me with impunity.
[01:23:05.517 --> 01:23:11.720]  When the law no longer works, we go back to the higher law, the older law, and that is the law of revenge.
[01:23:11.720 --> 01:23:12.600]  Law of the jungle!
[01:23:12.600 --> 01:23:15.802]  Michael Collins, Michael Collins gambit.
[01:23:15.802 --> 01:23:19.043]  What we're facing here is something we gotta be smart about.
[01:23:19.043 --> 01:23:23.705]  If, as Jack McSlam said, if they have killed this family and these people,
[01:23:24.113 --> 01:23:30.876]  We cannot do a frontal assault like Amon D. Valera wanted to do back in the early 1920s.
[01:23:30.876 --> 01:23:34.158]  Michael Collins is the one who says, no, you go for the head.
[01:23:34.158 --> 01:23:43.742]  That's when he put the unit together and simply said, you take out the British leaders and you take out the Irish collaborators.
[01:23:43.742 --> 01:23:46.964]  The third thing is leaderless resistance.
[01:23:46.964 --> 01:23:48.845]  Everybody can look it up.
[01:23:48.845 --> 01:23:50.605]  This is something that can't be coordinated.
[01:23:50.605 --> 01:23:51.726]  It has to come out of your heart.
[01:23:52.501 --> 01:23:55.183]  The point is, you cannot have a frontal assault.
[01:23:55.183 --> 01:23:56.364]  It's called total resistance.
[01:23:56.364 --> 01:23:57.285]  Yes.
[01:23:57.285 --> 01:23:59.607]  We cannot have a frontal assault.
[01:23:59.607 --> 01:24:01.468]  It'd be suicide.
[01:24:01.468 --> 01:24:04.671]  No, actually, a frontal assault would win as well, sir.
[01:24:04.671 --> 01:24:06.372]  It's a tidal wave.
[01:24:06.372 --> 01:24:07.493]  They're a bunch of cowards.
[01:24:07.493 --> 01:24:08.233]  I've seen these guys.
[01:24:08.233 --> 01:24:11.516]  I mean, look at them in Virginia, hiding behind trees.
[01:24:11.516 --> 01:24:14.158]  Listen, I appreciate you.
[01:24:14.158 --> 01:24:15.719]  Let's now go to Mr. Smart.
[01:24:15.719 --> 01:24:18.181]  Mr. Smart, comments?
[01:24:18.181 --> 01:24:18.661]  Yeah, Alex.
[01:24:20.507 --> 01:24:28.534]  Alex, I'm a big fan of just the power of prayer and action in a positive light.
[01:24:28.534 --> 01:24:44.909]  If you get people activated and motivated to get out and walk and run and pray, I don't care if you're praying the rosary, but you're getting outside, a peaceful grouping of tens of thousands, if not millions of people, in and around Plainfield, in and around Lebanon,
[01:24:45.703 --> 01:24:48.105]  Uh, is needed right now.
[01:25:04.074 --> 01:25:06.076]  Don't be cowards.
[01:25:06.076 --> 01:25:08.818]  Drive up to the checkpoint and at least get video of that.
[01:25:08.818 --> 01:25:09.339]  Absolutely.
[01:25:09.339 --> 01:25:11.761]  Show these murderers.
[01:25:11.761 --> 01:25:12.582]  Sacrificial lamb.
[01:25:12.582 --> 01:25:13.122]  Okay.
[01:25:13.122 --> 01:25:16.105]  We'll say this could be another sacrificial lamb to further the cause.
[01:25:16.105 --> 01:25:16.885]  I'm not going to debate that.
[01:25:16.885 --> 01:25:18.147]  That could be what it could be.
[01:25:18.147 --> 01:25:25.253]  But, again, I don't know that I have a right to choose who gets to be the sacrificial lamb and who doesn't.
[01:25:25.253 --> 01:25:26.153]  Well, let's just wait and see.
[01:25:26.153 --> 01:25:27.755]  Let me get a comment from Jack McClam real quick.
[01:25:28.706 --> 01:25:40.775]  Well, I'm a warrior for the Vietnam War, and I worked the war zone in South Phoenix for years, lost seven of my fellow officers down there in South Phoenix.
[01:25:40.775 --> 01:25:42.896]  I would like to go kick butt.
[01:25:42.896 --> 01:25:56.166]  I mean, I would like to go clean house, but I know their plan, and I don't want to be a part of initiating their shutdown of this wonderful awakening going on in America today, and I think that's what this is all about.
[01:25:56.166 --> 01:25:57.607]  So we have to be wise.
[01:25:58.539 --> 01:26:03.061]  We have to think about what their plans are and why they're doing this.
[01:26:03.061 --> 01:26:09.523]  And if our dear brother goes to heaven to be with the Lord and his family, we'll see him again one day.
[01:26:09.523 --> 01:26:17.966]  But I know how I feel that if I could help the Freedom Movement awaken more people with my death, I would do it tomorrow.
[01:26:17.966 --> 01:26:20.267]  I would have them come in and do me tomorrow.
[01:26:20.267 --> 01:26:22.028]  So we have to be wise.
[01:26:22.028 --> 01:26:22.868]  I don't like it.
[01:26:22.868 --> 01:26:25.909]  I would love to go in and just kick butt and take our country back.
[01:26:26.590 --> 01:26:30.451]  But we will have more people next week with us.
[01:26:30.451 --> 01:26:35.873]  If they kill this family in the weeks after, then they won't even imagine.
[01:26:35.873 --> 01:26:41.015]  They're hoping they can get us to do something violent as a group of people around the nation.
[01:26:41.015 --> 01:26:43.436]  So I say that we must pray.
[01:26:43.436 --> 01:26:46.097]  We should go there and pray and hold fast.
[01:26:46.097 --> 01:26:50.258]  And we should all fast and pray to the Lord that the family be protected.
[01:26:50.258 --> 01:26:53.039]  But let God's will be done.
[01:26:53.039 --> 01:26:54.720]  We have to awaken more people.
[01:26:54.720 --> 01:26:55.400]  Our main goal
[01:26:56.477 --> 01:27:03.439]  Is to keep on the First Amendment, allowing us to waken more and more people because it's scaring the tar out of the enemy of God.
[01:27:03.439 --> 01:27:05.219]  I'll say this, I don't just say this for effect.
[01:27:05.219 --> 01:27:05.679]  It's true.
[01:27:05.679 --> 01:27:06.920]  They are imploding.
[01:27:06.920 --> 01:27:07.960]  Everyone's waking up.
[01:27:07.960 --> 01:27:09.781]  They're losing all credibility.
[01:27:09.781 --> 01:27:11.881]  They are in info war retreat.
[01:27:11.881 --> 01:27:12.781]  We are surging.
[01:27:12.781 --> 01:27:15.802]  And I guarantee you, they're probably going to nuke Chicago in the next month.
[01:27:15.802 --> 01:27:19.143]  There's no telling what the glove, I can just tell you right now, everybody feels it.
[01:27:19.543 --> 01:27:24.604]  Everybody knows that it's all coming to a head right now, and I'm talking about the next year.
[01:27:24.604 --> 01:27:27.645]  It's all accelerating, and whatever happens, happens.
[01:27:27.645 --> 01:27:33.806]  But I guarantee you, those dumb cops and those dumb military people have no idea that they're being used right now.
[01:27:33.806 --> 01:27:36.627]  You know, what she has said is very true.
[01:27:36.627 --> 01:27:40.127]  They're going to do something to escape martial law, no matter what it is.
[01:27:40.127 --> 01:27:42.488]  Whether we do it or they do it, they're going to do it.
[01:27:43.308 --> 01:27:45.189]  I don't know when, I don't know how.
[01:27:45.189 --> 01:27:48.851]  And I'm not saying for anybody to go out there and do anything, we'll say violent.
[01:27:48.851 --> 01:27:49.951]  Honestly, I'm not Jack.
[01:27:49.951 --> 01:27:51.812]  I'm saying, but what do we do?
[01:27:51.812 --> 01:27:52.693]  When do we draw the line?
[01:27:52.693 --> 01:27:53.793]  When do we say no more?
[01:27:53.793 --> 01:27:55.614]  It's enough.
[01:27:55.614 --> 01:27:56.114]  Where?
[01:27:56.114 --> 01:28:00.076]  We murder 50 million innocent children in the womb, and don't want to stop that yet.
[01:28:00.076 --> 01:28:04.198]  We let sodomites and lesbians take over the country, and run offices, and control us.
[01:28:04.198 --> 01:28:05.978]  When do we say no more as a people?
[01:28:05.978 --> 01:28:10.601]  How long will it take before we say, we die by the means, or we die one at a time?
[01:28:10.601 --> 01:28:11.461]  What difference does it make?
[01:28:12.199 --> 01:28:22.105]  Well, I've never seen so many police officers and soldiers waking up in my 27 years of doing this work, and I want to see that continue.
[01:28:22.105 --> 01:28:25.007]  More and more police and soldiers wake up.
[01:28:25.007 --> 01:28:40.196]  I just talked to a guy this morning over there on the East Coast that has his sheriff awake now and communicating with us, and brother, if a couple more of our people have to die right now so we can continue this great awakening,
[01:28:41.047 --> 01:28:41.607]  So be it.
[01:28:41.607 --> 01:28:42.587]  That's the way it's got to be.
[01:28:42.587 --> 01:28:44.768]  And that's not the war you're in me speaking.
[01:28:44.768 --> 01:28:48.109]  I want to go kick butt and take these people out.
[01:28:48.109 --> 01:28:50.049]  But you've got to realize, we will kick the butts.
[01:28:50.049 --> 01:28:51.630]  I want to make this point.
[01:28:51.630 --> 01:28:58.251]  We will kick the butt of worthless scum minions in black uniforms that the New World Order wants to die.
[01:28:58.251 --> 01:28:58.911]  Remember that.
[01:28:58.911 --> 01:29:07.293]  What the fellow said earlier, if they start the martial law, the mass roundups, it is the resistance model used against the Germans in Europe.
[01:29:07.293 --> 01:29:09.474]  It is the resistance model used over and over again.
[01:29:09.474 --> 01:29:10.474]  That is the model.
[01:29:11.392 --> 01:29:13.073]  And everybody needs to understand that.
[01:29:13.073 --> 01:29:19.175]  And if you don't know what lone wolf resistance is, you better learn real fast, ladies and gentlemen.
[01:29:19.175 --> 01:29:22.216]  Well, I do know that something's going to give in the very near future.
[01:29:22.216 --> 01:29:23.237]  In my spirit, I sense this.
[01:29:23.237 --> 01:29:24.077]  I know you do, Jack.
[01:29:24.077 --> 01:29:25.157]  I know you do, Alex.
[01:29:25.157 --> 01:29:27.418]  Something is going to break soon.
[01:29:27.418 --> 01:29:28.119]  I don't know when.
[01:29:28.119 --> 01:29:29.239]  I'm not a prophet.
[01:29:29.239 --> 01:29:30.640]  But I'm also not unlearned.
[01:29:30.640 --> 01:29:32.500]  But I do feel it in the spirit.
[01:29:32.500 --> 01:29:33.241]  Everybody feels it.
[01:29:33.241 --> 01:29:34.101]  I can't even sleep now.
[01:29:34.341 --> 01:29:35.482]  No, it's imminent.
[01:29:35.482 --> 01:29:36.442]  It's going to be imminent.
[01:29:36.442 --> 01:29:42.384]  It's just like when I was going to be shelled, when I was in Cameron Bay and Food Cat and other places, when I knew this shelling was imminent.
[01:29:42.384 --> 01:29:45.686]  It's a gut feeling that you know is coming.
[01:29:45.686 --> 01:29:46.286]  Get ready.
[01:29:46.286 --> 01:29:49.788]  Now this may be the key, and this is what I fear.
[01:29:49.788 --> 01:29:50.948]  I mean this sincerely.
[01:29:50.948 --> 01:29:54.750]  If we don't intercede, now I'm not telling Stewart, I'm just making a comment here.
[01:29:54.750 --> 01:29:58.011]  If we don't do it, will the Feds do it and blame it on us anyway?
[01:29:58.712 --> 01:30:00.033]  They're going to have their way.
[01:30:00.033 --> 01:30:01.054]  That's a key point.
[01:30:01.054 --> 01:30:05.818]  I mean, in my life, I have had a feeling right before a car came out of nowhere and hit me in the car.
[01:30:05.818 --> 01:30:08.240]  I've had feelings right before somebody tried to mug me.
[01:30:08.240 --> 01:30:13.925]  And you're saying, and I've talked to a lot of people, that right before you get shelled at random times, you'd know when they were coming before it even started.
[01:30:14.706 --> 01:30:15.947]  And I want to just tell you how bad it's getting.
[01:30:15.947 --> 01:30:18.669]  I put out a monthly news magazine called the Minute Man News.
[01:30:18.669 --> 01:30:26.316]  And I've had two people now, one from Ohio, one from Pennsylvania, call me that were pulled over by cops, saw the magazine on the front seat of the car.
[01:30:26.316 --> 01:30:28.518]  This is the guy's truth I'm telling right now.
[01:30:28.518 --> 01:30:29.699]  I just got one call today.
[01:30:29.699 --> 01:30:30.119]  I understand.
[01:30:30.239 --> 01:30:36.663]  The gentleman in Ohio, they called an FBI, the terrorist task force, to come and arrest him.
[01:30:36.663 --> 01:30:37.903]  That's the truth.
[01:30:37.903 --> 01:30:40.045]  They took me for five hours and interrogated him.
[01:30:40.045 --> 01:30:44.547]  He called a copy of my magazine on the front seat, along with a constitution and a road map.
[01:30:44.547 --> 01:30:45.788]  And they called in Pennsylvania this morning.
[01:30:45.788 --> 01:30:50.190]  The cops said, that magazine is subversive material.
[01:30:50.190 --> 01:30:54.633]  This time next year, he said, this time next year, you'll be arrested for having that magazine in your possession.
[01:30:54.773 --> 01:31:05.939]  Yeah, they're already telling the cops martial law is coming, and it was in AP last week that Christians, it even said gay rights groups, environmental groups, everybody gets arrested.
[01:31:05.939 --> 01:31:06.660]  Good God.
[01:31:06.660 --> 01:31:07.900]  Stay there, Jack McLean.
[01:31:07.900 --> 01:31:08.681]  Stay there, Butch Paul.
[01:31:08.681 --> 01:31:10.082]  I want to hear more about this.
[01:31:10.082 --> 01:31:14.744]  You called the police and they told you, next year this time we're coming to arrest you.
[01:31:14.744 --> 01:31:16.365]  My God.
[01:31:16.365 --> 01:31:18.546]  Everybody, you know it's coming.
[01:31:18.546 --> 01:31:19.567]  This is so horrible.
[01:31:22.930 --> 01:31:27.197]  Order a copy of this show for your friends and family at GCNLive.com or call 877-300-7645.
[01:31:34.716 --> 01:31:39.558]  Through the years of providing water filters to America, you've come to us and we've listened.
[01:31:39.558 --> 01:31:43.940]  You asked us to make the water level visible to eliminate the guesswork when refilling the water.
[01:31:43.940 --> 01:31:44.800]  We listened.
[01:31:44.800 --> 01:31:50.062]  You asked for an elevated base so the system could be used in places beside on the edge of a counter.
[01:31:50.062 --> 01:31:50.923]  We listened.
[01:31:50.923 --> 01:31:54.384]  You asked us to develop a filter that was made in the USA.
[01:31:54.384 --> 01:31:55.405]  We listened.
[01:31:55.405 --> 01:31:58.686]  You asked us to include an emergency light for camping and during power
[01:31:58.766 --> 01:31:59.066]  I think so.
[01:32:13.843 --> 01:32:15.824]  And made in America.
[01:32:15.824 --> 01:32:18.644]  Get the Berkey Light, the American water purifier.
[01:32:18.644 --> 01:32:20.365]  Only $279.
[01:32:20.365 --> 01:32:23.425]  Call New Millennium, 888-803-4438.
[01:32:23.425 --> 01:32:26.206]  That's 888-803-4438.
[01:32:26.206 --> 01:32:29.607]  Or order on the web at berkeywater.com.
[01:32:29.607 --> 01:32:35.309]  Not yet available in Iowa.
[01:32:35.309 --> 01:32:37.689]  Waging war on corruption.
[01:32:37.689 --> 01:32:40.470]  Alex Jones on the GCN Radio Network.
[01:32:47.176 --> 01:32:48.477]  Big Brother.
[01:32:48.477 --> 01:32:50.239]  Mainstream media.
[01:32:50.239 --> 01:32:52.000]  Government cover-ups.
[01:32:52.000 --> 01:32:53.582]  You want answers?
[01:32:53.582 --> 01:32:55.143]  Well, so does he.
[01:32:55.143 --> 01:32:59.327]  He's Alex Jones on the GCN Radio Network.
[01:32:59.327 --> 01:33:03.931]  And now, live from Austin, Texas, Alex Jones.
[01:33:03.931 --> 01:33:06.994]  Now, we don't know if this is more government disinfo.
[01:33:06.994 --> 01:33:07.694]  It's from Fox 25.
[01:33:07.694 --> 01:33:14.100]  We also have a source in WNET out of Scranton about National Guard.
[01:33:14.944 --> 01:33:19.568]  ...being mobilized in those areas.
[01:33:19.568 --> 01:33:20.989]  This is Fox 25.
[01:33:20.989 --> 01:33:21.289]  U.S.
[01:33:21.289 --> 01:33:25.232]  Marshals served search warrant to seize Brown's dental office.
[01:33:25.232 --> 01:33:25.473]  U.S.
[01:33:25.473 --> 01:33:35.261]  Marshals Service says a supporter of the fugitives was detained near the Browns' home this morning and that they served a federal warrant to seize Elaine Brown's dental office.
[01:33:35.261 --> 01:33:40.485]  Now, if they were on the property or near it and grabbed this guy while he was walking the dog,
[01:33:41.748 --> 01:33:44.990]  That could be a cover for him or he probably means he's a good guy, a hero.
[01:33:46.396 --> 01:33:51.098]  But that means that they've done an abortive coup, and I said this in the first hour.
[01:33:51.098 --> 01:33:57.079]  I said, just because they've surrounded, just because they're evacuating nearby houses, doesn't mean they'll move in.
[01:33:57.079 --> 01:34:01.461]  They'll come in, and they'll, like a pit bull grabbing a little puppy.
[01:34:01.461 --> 01:34:05.382]  It'll grab it, and bite it, and then let go, and then grab it again.
[01:34:05.382 --> 01:34:07.082]  We saw this in Indianapolis Baptist Temple.
[01:34:07.082 --> 01:34:08.103]  I've seen this MO.
[01:34:08.103 --> 01:34:14.885]  Before they invaded Panama, they did drills for months, where they'd act like they were going to invade, until the Panamanians finally stood down when the real attack came.
[01:34:15.926 --> 01:34:17.207]  Now they do this.
[01:34:17.207 --> 01:34:19.348]  They cry wolf.
[01:34:19.348 --> 01:34:21.951]  So we'll put out the report and be seen as crying wolf.
[01:34:21.951 --> 01:34:22.411]  You understand?
[01:34:22.411 --> 01:34:26.555]  They'll send a wolf out, we'll report it, and then people say, well, where's the wolf?
[01:34:26.555 --> 01:34:29.857]  By the time the media's done, they'll say there was never police, nobody was ever out there.
[01:34:29.857 --> 01:34:32.420]  But I got AP, I got local news, they are there.
[01:34:32.420 --> 01:34:33.881]  And this could be another shill.
[01:34:35.467 --> 01:34:44.489]  Because if they've already engaged and grabbed people off near the property or on the property, and they've already shut down roads and evacuating houses, they're probably still moving in.
[01:34:44.489 --> 01:34:48.749]  That's what my gut tells me, but it may be wrong, because they may not know what they're going to do.
[01:34:48.749 --> 01:34:59.231]  Jack McClam, with your military and police experience, and with you also, Pastor Butch Paul, with your experience, what do you think with this new intel?
[01:34:59.231 --> 01:35:02.512]  What's your gut level on that?
[01:35:02.512 --> 01:35:03.652]  You asking me or Jack, Alex?
[01:35:03.652 --> 01:35:04.092]  Both of you.
[01:35:05.712 --> 01:35:07.432]  Jack?
[01:35:07.432 --> 01:35:09.693]  Jack, I don't hear Jack.
[01:35:09.693 --> 01:35:13.194]  But I don't know exactly what's happening.
[01:35:13.194 --> 01:35:20.916]  Obviously I'm not there, but I think this is another practice maneuver with the feds, with the military.
[01:35:20.916 --> 01:35:22.376]  This is getting people used to the idea.
[01:35:22.376 --> 01:35:22.896]  It's a laboratory.
[01:35:22.896 --> 01:35:23.377]  It's a laboratory.
[01:35:23.377 --> 01:35:23.697]  Absolutely.
[01:35:23.697 --> 01:35:25.277]  This is another practice.
[01:35:25.277 --> 01:35:26.277]  They're getting better at it.
[01:35:26.277 --> 01:35:28.098]  You have to give them credit where credit's due.
[01:35:28.098 --> 01:35:28.898]  They're getting good at this.
[01:35:29.338 --> 01:35:30.998]  They do it almost undercover.
[01:35:30.998 --> 01:35:32.199]  They take the press out.
[01:35:32.199 --> 01:35:33.299]  They go in and do it.
[01:35:33.299 --> 01:35:35.299]  And then the news cleans it up for them.
[01:35:35.299 --> 01:35:36.279]  These people are radicals.
[01:35:36.279 --> 01:35:37.099]  They had a compound.
[01:35:37.099 --> 01:35:38.320]  They probably had bombs in the house.
[01:35:38.320 --> 01:35:39.100]  They had weapons in the house.
[01:35:39.100 --> 01:35:40.220]  Probably machine guns.
[01:35:40.220 --> 01:35:41.900]  They just left it at Ruby Ridge and Waco.
[01:35:41.900 --> 01:35:42.580]  That's what they did.
[01:35:42.580 --> 01:35:43.141]  No, no, no.
[01:35:43.141 --> 01:35:45.221]  They're painting them as demons.
[01:35:45.221 --> 01:35:45.501]  Yes.
[01:35:45.501 --> 01:35:48.001]  And this is all... They got a compound.
[01:35:48.001 --> 01:35:49.142]  There's a bomb truck.
[01:35:49.142 --> 01:35:50.022]  They got bombs.
[01:35:50.022 --> 01:35:51.202]  They're not human.
[01:35:51.202 --> 01:35:53.843]  Jack McClam?
[01:35:53.843 --> 01:35:55.383]  Did we lose Jack?
[01:35:55.383 --> 01:35:56.203]  Apparently we lost Jack.
[01:35:57.793 --> 01:35:59.994]  You know what, I think he walked away from his mic.
[01:35:59.994 --> 01:36:01.815]  He's probably got some new intel coming in.
[01:36:01.815 --> 01:36:03.156]  Just put him on hold.
[01:36:03.156 --> 01:36:04.697]  Keep him live for when he comes back.
[01:36:04.697 --> 01:36:08.959]  I can hear background stuff in his compound, his home.
[01:36:08.959 --> 01:36:12.642]  But Jack, this is unbelievable.
[01:36:12.642 --> 01:36:13.122]  He's there now.
[01:36:13.846 --> 01:36:15.027]  Jack, this is just in.
[01:36:15.027 --> 01:36:16.728]  It sounds like disinfo.
[01:36:16.728 --> 01:36:26.035]  Either way, I said first hour, they could move in, evacuate everybody, grab this guy off the property, and then say they're not raiding his house right now.
[01:36:26.035 --> 01:36:34.961]  Clearly, they have surrounded it now for a siege, it looks like, and to keep the press and media and citizens back, they're saying it's all over, but saying that they're staying in place.
[01:36:34.961 --> 01:36:36.462]  This from Fox 25.
[01:36:36.462 --> 01:36:37.903]  We've seen this before, haven't we, Jack?
[01:36:38.638 --> 01:36:39.639]  You better believe it.
[01:36:39.639 --> 01:36:44.482]  I was there at Ruby Ridge and saw the 500 militarized troops there.
[01:36:44.482 --> 01:36:56.389]  But what we have here is could very well be a PSYOPs operation where they're trying to get us headed that way to where they can cause a
[01:36:57.453 --> 01:37:00.475]  uh... martial law scenario so they're putting out this information.
[01:37:00.475 --> 01:37:26.672]  Yeah I smell a big fat gigantic stinking rat which which which I felt earlier at the start of the show who knows who we can trust in all of this that's right we can only trust our lord and ourselves uh... but anyway I'm saying that uh... it is not over okay until we fire our gun because then the first amendment is gone
[01:37:27.427 --> 01:37:29.129]  And they love that.
[01:37:29.129 --> 01:37:31.612]  That's exactly what they want.
[01:37:31.612 --> 01:37:38.441]  And they want us to shut down the system that's awakening hundreds of thousands of people a day across the country.
[01:37:38.441 --> 01:37:39.042]  We'll be right back.
[01:37:39.042 --> 01:37:41.445]  Stay with us, Jack McClellan and Butch Paw.
[01:37:41.445 --> 01:37:42.226]  I'm Alex Jones.
[01:37:45.939 --> 01:37:51.769]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:37:51.769 --> 01:37:59.422]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:38:00.089 --> 01:38:07.531]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:38:07.531 --> 01:38:19.274]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:38:19.274 --> 01:38:23.254]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:38:23.254 --> 01:38:25.495]  It's an anthology of government crimes.
[01:38:25.495 --> 01:38:29.356]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:38:29.956 --> 01:38:36.940]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:38:43.047 --> 01:38:51.574]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
