[00:00:00.109 --> 00:00:04.853]  Kidding, talk radio.
[01:32:39.104 --> 01:32:43.987]  But their days of treason are up.
[01:32:44.448 --> 01:32:48.310]  Real conservatives, real libertarians, real Americans know the Federal Reserve is private.
[01:32:48.900 --> 01:32:51.401]  They know they're destroying the dollar and they will be exposed.
[01:32:51.761 --> 01:32:53.701]  And we don't need to go arrest all these people.
[01:32:54.061 --> 01:32:55.982]  We're going to expose them as the criminals they are.
[01:32:58.823 --> 01:33:02.704]  You've got a lot of weak-minded people that don't know that Bush tripled the size of the VATF.
[01:33:03.684 --> 01:33:08.365]  They don't know that Bob Barr, NRA board member on this show, said that it's more anti-gun now than under Clinton.
[01:33:08.865 --> 01:33:11.686]  They don't know how gun shops everywhere are getting hit and getting hit hard.
[01:33:12.771 --> 01:33:18.836]  They don't understand how Bush radically increased funding for the CPS to grab children, or blocked taking mercury out of the vaccines.
[01:33:19.577 --> 01:33:20.718]  They don't even understand that.
[01:33:21.819 --> 01:33:30.386]  Or that Bush is using Al-Qaeda to attack Iran, while at the same time claiming that Iran is Al-Qaeda, when they're Shiite, while Saudi Arabia buys up the whole country.
[01:33:31.391 --> 01:33:42.095]  It's incredible the treason we're seeing, and instead, because I sit here and put my life on the line, somebody like Gordon Bloyer goes out there and makes dangerous statements about how I should be arrested.
[01:33:42.355 --> 01:33:46.116]  I found other clips of other neocons online saying I should be arrested.
[01:33:46.837 --> 01:33:53.019]  And the danger is, is some goon will listen to that, some mentally unstable person, and come after me physically.
[01:33:53.639 --> 01:33:56.040]  Now, Bloyer, I think you're a fool.
[01:33:57.104 --> 01:33:58.366]  I think you're a well-meaning fool.
[01:33:58.386 --> 01:33:59.767]  That's what's so pathetic about you.
[01:34:00.168 --> 01:34:11.379]  But, you know, you should really back off your un-American statement that I should be arrested and tried in this system for saying 9-11 is an inside job.
[01:34:11.439 --> 01:34:14.081]  It's unbelievably incredible.
[01:34:14.382 --> 01:34:15.263]  But not just me.
[01:34:15.343 --> 01:34:18.506]  I say a lot more radical things than Keith Oberman.
[01:34:18.526 --> 01:34:19.547]  Why should he be arrested?
[01:34:20.498 --> 01:34:21.099]  Thank you.
[01:34:21.119 --> 01:34:26.806]  Keith Overman just lies on a daily basis, but you know where I really found out the truth about you was in your Death of America Part 1.
[01:34:27.667 --> 01:34:29.369]  You can go on YouTube and you can see that.
[01:34:30.050 --> 01:34:32.033]  Well, it's just here, you can hear it anyway.
[01:34:32.593 --> 01:34:39.282]  And when you were in this was the, I guess you recorded this the day that the Patriot Act passed again.
[01:34:40.095 --> 01:34:45.124]  And you came on with your Jimmy Swaggart story about, oh, people, I couldn't sleep last night.
[01:34:45.285 --> 01:34:48.250]  I was, four or five times I woke up during the night.
[01:34:48.270 --> 01:34:48.731]  That's true.
[01:34:48.831 --> 01:34:50.955]  And I looked at it, I don't believe that for a minute.
[01:34:50.975 --> 01:34:53.219]  And then you started crying, your Jimmy Swaggart act.
[01:34:53.635 --> 01:35:00.442]  You know, you're worse than Jim Baker and his wife ever were.
[01:35:01.163 --> 01:35:04.086]  Those guys all support what's happening.
[01:35:04.687 --> 01:35:06.869]  You do this for money.
[01:35:06.889 --> 01:35:09.011]  Those preachers all support your neocon stuff.
[01:35:09.191 --> 01:35:09.832]  Let me just stop you.
[01:35:10.172 --> 01:35:12.155]  I don't get $289 million contract plus merchandise.
[01:35:14.797 --> 01:35:15.618]  Like Limbaugh.
[01:35:16.039 --> 01:35:19.562]  I don't make one ten-thousandth of what Limbaugh makes.
[01:35:19.862 --> 01:35:20.924]  And I do have employees.
[01:35:20.964 --> 01:35:23.366]  And frankly, at the end of the day, I do need to make money.
[01:35:24.087 --> 01:35:25.128]  I thought you were free market.
[01:35:25.148 --> 01:35:26.189]  I thought you were a conservative.
[01:35:26.229 --> 01:35:29.252]  Oh, I just have to point out you're a huckster.
[01:35:29.432 --> 01:35:30.954]  I'm for those guys making money, too.
[01:35:31.522 --> 01:35:36.543]  I mean, all those TV preachers making money, but they shouldn't be lying about it and stealing the money.
[01:35:37.383 --> 01:35:37.584]  Oh!
[01:35:38.124 --> 01:35:44.605]  Now, you know, Ward Churchill was one of your supporters, and he was an Indian until he found out he was lying.
[01:35:44.885 --> 01:35:52.047]  Well, Ward Churchill, my friend, is not one of my supporters, and I don't think the people in the Towers were Nazis.
[01:35:52.087 --> 01:35:55.508]  He believes what you believe, that Al-Qaeda attacked us.
[01:35:55.828 --> 01:35:57.588]  Listen, Boyer, I appreciate your call.
[01:35:58.189 --> 01:35:58.749]  I really do.
[01:36:01.238 --> 01:36:02.318]  I mean, there you go, folks.
[01:36:02.639 --> 01:36:06.840]  And he said on his website he was going to attack me and say I was a huckster and all that money stuff.
[01:36:07.400 --> 01:36:09.421]  You know, I put my films out for free.
[01:36:09.541 --> 01:36:11.962]  You can watch all 16 of my films on Google Video.
[01:36:13.203 --> 01:36:15.624]  I can snap my fingers and have none of those up there.
[01:36:16.604 --> 01:36:19.285]  I haven't even made the money back from Terror Storm.
[01:36:20.686 --> 01:36:23.827]  And I think I spent 30 seconds in the last hour plugging my videos.
[01:36:25.720 --> 01:36:29.322]  And don't worry, Walter Beran, I'll hold you over in the next hour if need be.
[01:36:29.482 --> 01:36:31.323]  Or we'll get you up later next week for a full hour.
[01:36:32.103 --> 01:36:33.004]  Walter Beran's holding me.
[01:36:33.024 --> 01:36:36.346]  We've got all this serious financial news out there, but I need to have the enemy on.
[01:36:36.866 --> 01:36:41.589]  I need to give them a place you can hear from them and hear what they have to say and hear the denial that they're in.
[01:36:43.530 --> 01:36:49.713]  But, yeah, I mean, at the end of the day, I like driving a decent car and I like living in a comfortable house, but that's not what I worship.
[01:36:51.254 --> 01:36:54.115]  If I worshipped that, I would have been a Neocon talk show host.
[01:36:54.135 --> 01:36:55.116]  I mean, I got offers for
[01:36:55.831 --> 01:36:58.053]  Literally 10, 12 times what I make a year.
[01:36:59.294 --> 01:37:00.795]  I guess it'd be about 12 times, yeah.
[01:37:01.395 --> 01:37:03.257]  And back then it'd probably be 20 times what I make.
[01:37:03.977 --> 01:37:04.938]  Back when I got these offers.
[01:37:04.958 --> 01:37:05.959]  Yeah, it'd be about 20 times.
[01:37:07.200 --> 01:37:09.942]  Back then I was probably making about $40,000 a year.
[01:37:10.983 --> 01:37:14.145]  So that offer would be about, I don't know, what's 1.2 million a year?
[01:37:15.126 --> 01:37:16.167]  How many times 40,000 is that?
[01:37:21.580 --> 01:37:23.180]  But I opened myself up to this attack.
[01:37:23.220 --> 01:37:24.801]  I mean, I wanted him to come on and say this.
[01:37:24.841 --> 01:37:26.261]  I wanted him to come on and do this.
[01:37:26.341 --> 01:37:28.982]  I wanted him to have a chance to come on the show.
[01:37:29.022 --> 01:37:33.523]  See, Peter Jennings put out the establishment line and made $10 million a year.
[01:37:35.243 --> 01:37:37.763]  And Dan Rather put it out and made $8 million a year.
[01:37:38.104 --> 01:37:40.644]  And Limbaugh does it and makes $20-30 million a year.
[01:37:42.044 --> 01:37:43.125]  This is over $30 million a year.
[01:37:45.626 --> 01:38:13.995]  Tommy Franks gets to get four hundred and fifty something thousand dollars illegally to go lie and say I'm just saying this individually I'm not part of the Republican Party but I think martial law unfortunately is what we need next and they can run around and do all of that and Halliburton can have no-bid contracts and move over to Dubai and make hundreds of billions of dollars a year and then I'm not supposed to make films and then lose money and put them out
[01:38:14.565 --> 01:38:18.127]  I mean, you can watch them in high quality at PrisonPlanet.tv, a lot better than Google Video.
[01:38:18.147 --> 01:38:18.747]  We wish you would.
[01:38:19.548 --> 01:38:21.469]  It'd be nice to make the money back on Terror Storm.
[01:38:22.270 --> 01:38:24.111]  In game, I'll probably never make the money back on it.
[01:38:24.131 --> 01:38:25.992]  It was so expensive to make, but it's a love affair.
[01:38:26.732 --> 01:38:27.673]  It's like a work of art.
[01:38:27.693 --> 01:38:29.674]  It's something I have a passion for.
[01:38:30.154 --> 01:38:37.878]  Something I put, literally, 10 hours a day into, on top of all my other duties, total of about 16, 17 hours a day for 15 months.
[01:38:38.279 --> 01:38:40.380]  I didn't see my family sometimes for days on end.
[01:38:41.486 --> 01:38:45.168]  I went home with black circles around my eyes, totally exhausted.
[01:38:47.269 --> 01:38:50.191]  My wife is freaked out and for years has been saying we should get out of the country.
[01:38:50.591 --> 01:38:51.612]  We've looked at New Zealand.
[01:38:56.395 --> 01:39:04.199]  A couple nights ago, I literally woke up with acid reflux, which I never had before, totally freaked out about the economy and what they're doing with the dollar.
[01:39:07.121 --> 01:39:07.801]  And what does he say?
[01:39:07.861 --> 01:39:09.482]  He says, I am Jimmy Swagger.
[01:39:10.629 --> 01:39:15.451]  Because I'm freaked out by the Houston Chronicle reporting they've built FEMA camps for the American people.
[01:39:16.552 --> 01:39:19.213]  There's talk show hosts all over the country saying I should be arrested.
[01:39:19.633 --> 01:39:24.155]  I mean, if that isn't enough, they built camps and people are on national radio saying I should be arrested.
[01:39:31.498 --> 01:39:32.239]  It's unbelievable.
[01:39:33.839 --> 01:39:35.560]  It's absolutely incredible.
[01:39:39.682 --> 01:39:41.503]  That we've gone this far.
[01:39:41.543 --> 01:39:44.463]  I mean, they're overrunning our borders from Texas to Oregon.
[01:39:44.523 --> 01:39:46.404]  The official language is going to be Spanish.
[01:39:46.484 --> 01:39:48.544]  I mean, Spanish only is to be taught.
[01:39:48.604 --> 01:39:49.445]  This is on the news.
[01:39:51.285 --> 01:39:55.586]  In science, English, and math.
[01:39:56.727 --> 01:39:57.967]  I mean, they're not just having bilingual now.
[01:39:57.987 --> 01:40:01.068]  They're just saying we're going to go all Spanish in schools with 10% illegals.
[01:40:02.168 --> 01:40:04.329]  I mean, you talk about trying to dumb people down and break the country up.
[01:40:05.527 --> 01:40:07.228]  Mexican trucks are driving all over the place.
[01:40:07.588 --> 01:40:08.788]  The economy is unraveling.
[01:40:09.028 --> 01:40:10.029]  The dollar is plunging.
[01:40:10.949 --> 01:40:14.251]  The Fed chiefs are running around bad-mouthing the currency, trying to drive it down further.
[01:40:15.951 --> 01:40:17.932]  We're on the edge of worldwide depression.
[01:40:17.952 --> 01:40:19.633]  The mainstream media is even saying that.
[01:40:19.653 --> 01:40:20.613]  They're putting their spin on it.
[01:40:22.474 --> 01:40:23.874]  And you've got this guy.
[01:40:24.235 --> 01:40:26.596]  I want you to hear him because he's got that giggling.
[01:40:26.656 --> 01:40:27.496]  It's funny.
[01:40:28.476 --> 01:40:30.837]  He's got the same little twinkle-eyed stare.
[01:40:31.177 --> 01:40:32.438]  The same little piggy face.
[01:40:32.478 --> 01:40:33.198]  They all have it.
[01:40:33.238 --> 01:40:35.199]  It's like a spirit or something.
[01:40:37.145 --> 01:40:38.346]  And it's just, oh, there's it now!
[01:40:39.627 --> 01:40:41.128]  No, the North American Union isn't real.
[01:40:41.188 --> 01:40:41.949]  It's not happening.
[01:40:41.989 --> 01:40:42.949]  It's not going to take over.
[01:40:43.430 --> 01:40:45.491]  My gosh, almost everything is foreign owned.
[01:40:46.212 --> 01:40:48.313]  Foreign courts control what we do and trade.
[01:40:48.333 --> 01:40:49.995]  The U.N.
[01:40:50.095 --> 01:40:52.236]  is going to decide if the Russians get the North Pole.
[01:40:55.659 --> 01:40:58.040]  Hundreds of national parks and other areas are under U.N.
[01:40:58.081 --> 01:40:58.501]  control.
[01:41:00.082 --> 01:41:02.644]  I politely asked park rangers about it and they threatened to arrest me.
[01:41:05.212 --> 01:41:07.714]  20% of the countries on Prozac and Ritalin type drugs.
[01:41:07.734 --> 01:41:12.938]  1 in 75 now have autism from 1 in 25,000.
[01:41:14.299 --> 01:41:15.380]  The sperm counts down by 85%.
[01:41:15.440 --> 01:41:17.641]  Diabetes is up by over 3,000%.
[01:41:17.681 --> 01:41:24.846]  The UN's openly talking about sterilizing everybody and one child policies in the West.
[01:41:28.649 --> 01:41:29.790]  Everything's falling apart.
[01:41:31.711 --> 01:41:32.732]  I'm totally freaked out.
[01:41:33.385 --> 01:41:35.647]  And this guy's just making jokes about how I should be arrested.
[01:41:36.547 --> 01:41:37.448]  And that's who they are!
[01:41:38.048 --> 01:41:40.530]  And we'll wait until Hillary or one of the Democrats gets in.
[01:41:41.230 --> 01:41:48.795]  I mean, it's gonna... all these Democrats that didn't like the police state are gonna be real happy.
[01:41:50.957 --> 01:41:58.141]  All these Democrats that can see the corruption now, they're not gonna care.
[01:41:58.582 --> 01:42:00.203]  I mean, we're in for hard times.
[01:42:03.485 --> 01:42:14.829]  And people like Gordon Boyer are making jokes about it, and talking about how Fred Thompson, I was talking to him during the break, is going to save us from Hillary.
[01:42:15.129 --> 01:42:16.029]  The guy's an actor.
[01:42:16.089 --> 01:42:17.170]  It's totally staged.
[01:42:18.670 --> 01:42:24.912]  But they need the Democrats to blame the tripling of the BATF, and the amnesty, and all of it.
[01:42:25.132 --> 01:42:26.413]  And Thompson was for amnesty?
[01:42:27.535 --> 01:42:29.516]  Thompson's for war with Iran, just like Hillary?
[01:42:29.817 --> 01:42:33.579]  Just go ahead and admit that side-by-side they're the same on all the issues!
[01:42:35.180 --> 01:42:40.744]  Except maybe one or two football issues that they never intend to decide on, like abortion.
[01:42:42.045 --> 01:42:42.805]  Or gay marriage.
[01:42:43.746 --> 01:42:46.248]  Alright, I'm going to take my time here plugging this sponsor.
[01:42:46.308 --> 01:42:46.928]  And you know what?
[01:42:47.509 --> 01:42:53.953]  Since I'm going to get criticized for, quote, making money, I got twelve employees, folks, and if we don't get a lot of money in here, we don't operate.
[01:42:55.586 --> 01:43:01.512]  And the great thing is we just bought a super powerful, leased a super powerful content distribution system.
[01:43:03.013 --> 01:43:08.859]  PrisonPlanet.tv is smoking right now.
[01:43:09.019 --> 01:43:10.081]  Super fast downloads.
[01:43:10.121 --> 01:43:13.124]  I mean some areas we're getting four times T1 downloads.
[01:43:13.164 --> 01:43:15.506]  If it isn't downloading fast for you, it's your connection.
[01:43:16.269 --> 01:43:18.871]  We've added this now for PrisonPlanet.TV members.
[01:43:18.891 --> 01:43:20.012]  15 cents a day.
[01:43:20.032 --> 01:43:25.416]  You get three months free if you get a yearly membership or go get a trial monthly membership at PrisonPlanet.TV.
[01:43:25.476 --> 01:43:30.619]  Hundreds of special reports I've done, TV shows I've done, all 16 of my films.
[01:43:30.640 --> 01:43:33.802]  Endgame will be up there a full two weeks at least.
[01:43:33.922 --> 01:43:35.343]  Two weeks before it's out.
[01:43:37.504 --> 01:43:39.246]  October 24th is now the launch date.
[01:43:39.286 --> 01:43:43.449]  That's when it'll go out and then it'll come out the first week of November on DVD.
[01:43:48.556 --> 01:43:54.001]  So PrisonPlanet.tv for all the members out there, and it's a factory of resistance.
[01:43:54.061 --> 01:43:56.203]  Remember, enemies like Bloyer are out there.
[01:43:56.643 --> 01:43:58.505]  They desperately want full control.
[01:43:58.946 --> 01:44:02.088]  They desperately want to overthrow the country and bring in their one world government.
[01:44:03.570 --> 01:44:07.994]  I don't know if Bloyer wants that, but his master certainly does, and he certainly wants to arrest people that are fighting it.
[01:44:09.674 --> 01:44:15.739]  So go get a PrisonPlanet.tv membership and download all my films in high quality and just start burning copies of them aggressively.
[01:44:15.780 --> 01:44:16.901]  Burn a copy when you go to work.
[01:44:16.941 --> 01:44:17.921]  Burn a copy in the evening.
[01:44:18.142 --> 01:44:20.103]  Takes a few minutes depending on your computer speed.
[01:44:20.464 --> 01:44:21.865]  Make copies of all my films.
[01:44:22.145 --> 01:44:27.450]  Make copies of comprehensive annual financial reports exposed with Walter Berrien.
[01:44:27.570 --> 01:44:28.611]  I made a documentary with him.
[01:44:30.080 --> 01:44:32.481]  Go, burn hundreds of copies of it, get it out to people.
[01:44:32.521 --> 01:44:43.024]  I mean, you tell somebody like Bloyer, hey, the government's got a second set of books, 75 plus percent of the stock market's government owned, it's all a big scam, here's their documents, he'll just giggle and snicker and laugh and say it doesn't exist.
[01:44:43.445 --> 01:44:46.426]  Well, a lot of people will listen, and will check into it.
[01:44:47.206 --> 01:44:51.187]  Gordon will laugh and say the Federal Reserve isn't private, we'll expose it and prove it is.
[01:44:53.528 --> 01:44:56.589]  So go to PrisonPlanet.tv and get a membership, and folks,
[01:44:57.455 --> 01:45:00.118]  Take action and realize they want to arrest me and others.
[01:45:00.939 --> 01:45:02.560]  And they want to arrest Keith Olbermann.
[01:45:02.580 --> 01:45:05.023]  They want to shut down free speech in this country.
[01:45:05.063 --> 01:45:06.784]  They desperately can't win the fight.
[01:45:07.125 --> 01:45:09.467]  They're being exposed for being big government pimps.
[01:45:09.827 --> 01:45:11.709]  They're being exposed for being New World Order.
[01:45:11.970 --> 01:45:13.931]  They're being exposed for selling out this country.
[01:45:14.372 --> 01:45:16.554]  They're being exposed for moving our companies offshore.
[01:45:16.954 --> 01:45:18.836]  And so they can't win the fight intellectually.
[01:45:19.177 --> 01:45:20.278]  They want to arrest us.
[01:45:21.198 --> 01:45:27.745]  So I want you to go to PrisonPlanet.tv and get a membership, and I want you to make hundreds of copies of Terror Storm Final Cut.
[01:45:28.285 --> 01:45:28.746]  Hundreds.
[01:45:29.727 --> 01:45:33.951]  I want you to buy the super high quality DVD off the secure shopping cart on InfoWars.com.
[01:45:34.351 --> 01:45:36.473]  I want you to make hundreds of copies of it.
[01:45:37.655 --> 01:45:38.255]  I mean hundreds.
[01:45:38.896 --> 01:45:41.799]  You can burn copies on a DVD burner at five minutes apiece.
[01:45:42.378 --> 01:45:48.079]  And while you're surfing the computer doing stuff or paying bills, you can make four or five copies and give them to people.
[01:45:48.499 --> 01:45:50.060]  If you've already made copies, do it again.
[01:45:50.120 --> 01:45:52.740]  I want to thank all the PrisonPlanet.TV members.
[01:45:53.341 --> 01:45:55.061]  You make so much of what we do possible.
[01:45:58.122 --> 01:46:00.522]  And I also want to thank sponsors like Brave New Books.
[01:46:01.703 --> 01:46:09.024]  You can go to Infowars.com and PrisonPlanet.com.
[01:46:09.044 --> 01:46:11.825]  We have banners over to the Brave New Books bookstore.
[01:46:13.420 --> 01:46:15.302]  And they're just fabulous folks.
[01:46:15.382 --> 01:46:17.304]  It's bravenewbookstore.com.
[01:46:17.784 --> 01:46:18.685]  Thousands of titles.
[01:46:18.885 --> 01:46:19.786]  You want it, they've got it.
[01:46:19.806 --> 01:46:28.134]  9-11, Truth, Alternative Medicine, The World's Banking Powers, Suppressed Science, Globalization, North American Union, Secret Societies, The Occult, Constitutional Studies and Law, and many more.
[01:46:28.154 --> 01:46:30.076]  Give them a call at 866-516-6623.
[01:46:30.096 --> 01:46:31.738]  If you've heard of the title, they've got it.
[01:46:31.758 --> 01:46:31.798]  866-516-6623.
[01:46:37.950 --> 01:46:54.982]  or bravenewbookstore.com and they got a special right now normally $19.95, $16.95, Mania's Panics and Crashes, the History of Financial Crises, 5th Edition, Charles P. Kindleberger and Robert Alber, a timeless classics, you need this book.
[01:46:55.743 --> 01:47:00.326]  Again, bravenewbookstore.com or 866-516-6623.
[01:47:02.028 --> 01:47:05.230]  And it's really up to us ladies and gentlemen
[01:47:08.405 --> 01:47:15.070]  I mean, David Rockefeller and all these people say they're abolishing the U.S., setting up world government, they're getting rid of our country.
[01:47:15.510 --> 01:47:21.875]  Quite shiny, saying that he's CFR and that he wanted to keep that secret from his constituents, people like Bloyer.
[01:47:21.895 --> 01:47:22.355]  Go ahead.
[01:47:22.935 --> 01:47:25.517]  It's good to be back at the Council on Foreign Relations.
[01:47:25.637 --> 01:47:31.602]  As Pete mentioned, I've been a member for a long time and was actually a director for some period of time.
[01:47:32.342 --> 01:47:35.885]  I never mentioned that when I was campaigning for re-election back home in Wyoming.
[01:47:39.068 --> 01:47:48.094]  See, it's a big joke, and Bloyer types went on the YouTube site when we posted that, and said it wasn't real.
[01:47:50.616 --> 01:47:57.001]  They email me and say that I make up the passage where Rockefeller says that he's guilty as charged that he wants to set up world government.
[01:48:00.863 --> 01:48:02.344]  And you guys are going to fail.
[01:48:02.765 --> 01:48:05.587]  I mean, people like Bloyer, they don't look the stuff up.
[01:48:05.627 --> 01:48:07.548]  People like Savage and Limbaugh, they know.
[01:48:09.770 --> 01:48:11.150]  They know full well what they're doing.
[01:48:11.170 --> 01:48:12.771]  They're there to pacify conservatives.
[01:48:12.791 --> 01:48:14.311]  They're there to neutralize conservatives.
[01:48:15.192 --> 01:48:19.293]  I mean, I heard Neal Bortz two weeks ago say, this Federal Reserve isn't private and he's not going to talk about it.
[01:48:21.154 --> 01:48:23.074]  I mean, its charter is admittedly private.
[01:48:23.114 --> 01:48:23.895]  It is private.
[01:48:24.015 --> 01:48:25.735]  They are the ones that have devalued the currency.
[01:48:25.775 --> 01:48:27.236]  They are the ones selling out our sovereignty.
[01:48:27.256 --> 01:48:37.419]  They are the ones that have set up the economic atmosphere and written about it to make it very conducive to offshore and to cause the country to be bought up by foreign interest.
[01:48:39.306 --> 01:48:41.087]  They are the ones plunging the dollar right now.
[01:48:43.649 --> 01:48:47.211]  And people like Boyer cannot admit that Limbaugh is a traitor.
[01:48:48.012 --> 01:48:51.054]  They cannot admit that George Bush Sr.
[01:48:51.074 --> 01:48:51.934]  is not a conservative.
[01:48:51.974 --> 01:48:55.336]  They cannot admit that George Porgy is a globalist.
[01:48:55.917 --> 01:49:05.263]  They cannot admit that Saudi Arabia is tied in with Israel and tied in with England and is openly running ops against Iran.
[01:49:06.337 --> 01:49:09.098]  I mean, neocons get up every day and say Iran's funding Al-Qaeda.
[01:49:09.198 --> 01:49:10.678]  Iran is the opposite of Al-Qaeda.
[01:49:10.898 --> 01:49:12.039]  That's just a fact.
[01:49:13.519 --> 01:49:16.980]  They're corrupt mullahs, they're a corrupt government like every other government.
[01:49:18.100 --> 01:49:19.161]  But they're a banana republic.
[01:49:21.161 --> 01:49:26.002]  But I mean, you just can't get on air and say that Shiites are Wahhabists.
[01:49:26.883 --> 01:49:27.903]  You can't do that.
[01:49:28.968 --> 01:49:37.255]  And then have Bush as a White House announcement that they're using five terror groups to attack Iran, and the number one group is run by the number three in Al-Qaeda.
[01:49:38.196 --> 01:49:40.759]  I mean, that's how dumb they think these people are, and I guess they are!
[01:49:40.779 --> 01:49:43.301]  I mean, it's just in your face!
[01:49:44.182 --> 01:49:45.303]  Walter Berrion, straight ahead.
[01:49:57.083 --> 01:50:00.245]  It's here, after a year in production and traveling to distant lands.
[01:50:00.585 --> 01:50:02.546]  My new film, Terror Storm, is complete.
[01:50:02.907 --> 01:50:10.571]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:50:11.251 --> 01:50:18.296]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:50:18.696 --> 01:50:25.560]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying,
[01:50:26.064 --> 01:50:30.085]  Secret police torture, the latest 9-11 information, and much, much more.
[01:50:30.405 --> 01:50:33.945]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:50:34.386 --> 01:50:36.326]  It's an anthology of government crimes.
[01:50:36.646 --> 01:50:40.567]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:50:41.087 --> 01:50:47.948]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll-free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[01:50:53.641 --> 01:50:58.723]  Black Berkey purification elements are more powerful than any gravity filter element on the market.
[01:50:58.803 --> 01:51:06.105]  These awesome elements are used in Berkey purification systems and they can also be used to upgrade most other gravity filtration systems.
[01:51:06.245 --> 01:51:16.908]  They can purify raw, untreated water by removing pathogenic bacteria, cysts, parasites, trihalomethanes, and chemicals such as chlorine, atrazine, styrene, and MTBE.
[01:51:17.089 --> 01:51:21.630]  These elements also reduce unwanted heavy metals such as lead, mercury, and aluminum.
[01:51:21.910 --> 01:51:26.895]  Unbelievably, they even remove small micro-particulate from water like food coloring particles.
[01:51:27.116 --> 01:51:30.059]  Yet, they leave in the nutritional minerals that your body needs.
[01:51:30.279 --> 01:51:40.009]  Moreover, because they are recleanable, black Berkey elements are more economical than the standard disposable elements, providing fresh, pure water for less than two cents per gallon.
[01:51:40.169 --> 01:51:45.013]  Get a 2-pack for only $99 or a 4-pack for only $188 by calling New Millennium at 888-803-4438.
[01:51:45.053 --> 01:51:45.253]  That's 888-803-4438.
[01:51:45.273 --> 01:51:46.814]  Or order on the web at berkeywater.com.
[01:51:53.573 --> 01:51:56.516]  Have you ever thought about what's in your shampoo, soap, or detergent?
[01:51:56.676 --> 01:52:01.901]  How about fluorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[01:52:02.201 --> 01:52:07.506]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[01:52:07.926 --> 01:52:09.027]  Hi, this is Alex Jones.
[01:52:09.388 --> 01:52:18.416]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[01:52:18.696 --> 01:52:20.318]  Now compare a Calben Pure Soap.
[01:52:20.538 --> 01:52:24.723]  All natural, earth friendly, no harsh chemicals, no animal testing.
[01:52:24.763 --> 01:52:29.388]  They're safe and you save 85% of the money you're spending on cleaning products now.
[01:52:29.769 --> 01:52:31.871]  Start saving over $1,000 a year for your family of four.
[01:52:33.613 --> 01:52:34.373]  Keep it natural.
[01:52:34.673 --> 01:52:42.815]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[01:52:43.076 --> 01:52:47.217]  Try Calvin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[01:52:47.237 --> 01:52:48.197]  Call 1-800-340-7091 for all your cleaning needs.
[01:53:03.258 --> 01:53:04.238]  Alright, here's the deal.
[01:53:04.278 --> 01:53:12.661]  I got the city councilman that got punched, pushed, knocked over, the cop jumps on him, beats him up, and the media says the councilman's evil and been arrested for being beaten up.
[01:53:13.982 --> 01:53:19.283]  He'll just be joining us for like 5-10 minutes because I want to just go ahead and keep Walter Burien right through to the end of the show.
[01:53:19.524 --> 01:53:21.304]  But I'm going to be interspersing news in between that.
[01:53:21.884 --> 01:53:25.886]  Then I'm just going to have Walter up for a full hour sometime next week because so much is happening.
[01:53:25.906 --> 01:53:28.927]  Walter Burien, he can tell you about his bio, who he is.
[01:53:29.307 --> 01:53:32.528]  I made a video with him, comprehensive annual financial reports exposed.
[01:53:33.549 --> 01:53:38.097]  And the film is now available on DVD, by the way, on InfoWards.com.
[01:53:38.117 --> 01:53:39.900]  You can watch it at PrisonPlanet.tv.
[01:53:40.281 --> 01:53:44.669]  He's made some other documentaries, and we'll tell you about his website as well today.
[01:53:45.589 --> 01:53:58.512]  And there's so much to talk about, but Walter, in a couple minutes we've got before we start the next hour, and then I'm going to get the councilman on for a few minutes, and then we'll go back to you, and I appreciate you doing that, because we've just got so many guests today, but we just can't do this in 20 minutes.
[01:53:58.532 --> 01:54:01.413]  We need to have you longer, so I'm going to keep you longer, and I appreciate you doing that.
[01:54:01.813 --> 01:54:07.454]  In a nutshell, tell us in 60 seconds who you are, what you did, what you discovered, and then we're going to get into it more in the next hour.
[01:54:07.495 --> 01:54:13.176]  And then, what's happening right now in the economy, in the basics, then we'll walk through more detail in the next hour.
[01:54:15.553 --> 01:54:17.034]  Well, Alex, just a quick note.
[01:54:17.054 --> 01:54:22.277]  I was listening to you with that other person who was doing the doublespeak, and you were doing an excellent job.
[01:54:22.337 --> 01:54:23.418]  I was sitting there applauding him.
[01:54:25.759 --> 01:54:32.343]  The game he was playing was just simply a distraction and diffusion, trying to misdirect.
[01:54:33.644 --> 01:54:37.647]  Alex, you're spearheading right in the heart of the problem, which is
[01:54:40.214 --> 01:54:43.256]  The corruption, the money, and the takeover by government.
[01:54:43.536 --> 01:54:44.657]  The growth by government.
