[00:00:04.182 --> 00:00:07.665]  Prepare yourself for a talk radio interview.
[00:45:35.897 --> 00:45:40.299]  Let's go ahead and go back to some of your calls here.
[00:45:40.420 --> 00:45:41.100]  Let's talk
[00:45:42.203 --> 00:45:44.326]  Uh, to Mark in New York.
[00:45:44.446 --> 00:45:45.608]  Mark, you're on the air.
[00:45:45.688 --> 00:45:46.048]  Welcome.
[00:45:47.149 --> 00:45:47.410]  Hello?
[00:45:47.650 --> 00:45:48.271]  Hi, go ahead.
[00:45:49.132 --> 00:45:50.033]  Oh, hey, can you hear me?
[00:45:50.454 --> 00:45:51.275]  Yes, I can.
[00:45:51.295 --> 00:45:51.555]  Go ahead.
[00:45:51.575 --> 00:45:52.376]  Oh, okay.
[00:45:52.396 --> 00:45:52.997]  It sounds different.
[00:45:53.097 --> 00:45:53.658]  Uh, sorry about that.
[00:45:53.818 --> 00:45:55.500]  Um, yeah, I had two questions for you.
[00:45:56.320 --> 00:46:02.467]  One, I was reading online about the RFID chips and about how they're probably going to be used for gun control.
[00:46:02.487 --> 00:46:03.708]  I was wondering if you could explain that.
[00:46:03.728 --> 00:46:04.069]  Yes.
[00:46:04.609 --> 00:46:16.023]  Again, federal documents 12 years ago we received that they want to put a tagament tracker identification chip and then by seven years ago they were calling it radio frequency identification devices.
[00:46:16.503 --> 00:46:26.771]  In all the bullets, and in all the guns, and then that also has to have its own regulation over it, and then crimes will be committed if you somehow disable the chip.
[00:46:27.171 --> 00:46:29.413]  But they also want to put it in your inspection stickers nationwide.
[00:46:29.453 --> 00:46:30.213]  The feds are pushing.
[00:46:30.414 --> 00:46:31.955]  It's back in the Texas legislature.
[00:46:32.715 --> 00:46:36.058]  If you disable the chip or it accidentally breaks, it's a felony.
[00:46:36.758 --> 00:46:38.079]  Again, everything's a crime.
[00:46:38.700 --> 00:46:40.261]  Walmart and the Defense Department
[00:46:41.107 --> 00:46:47.455]  In 2000, by the way, the Walmart Defense Department in 86 forced the adoption of the Universal Product Code or Bar Code.
[00:46:47.736 --> 00:46:51.040]  They said, we're going to force adoption of the RFID by 2004.
[00:46:51.681 --> 00:46:54.705]  They are now three years behind because customers are refusing.
[00:46:54.745 --> 00:46:57.008]  So they're trying in mass to have all the products take it.
[00:46:57.328 --> 00:47:00.371]  All the manufacturers take it so you can't boycott just one or two.
[00:47:01.171 --> 00:47:14.342]  So, just like Google or a search engine can track everything in cyberspace, and then you can actually go anywhere in cyberspace, with these chips and everything, they'll be able to track with their wireless readers, the cell towers and the rest of it, everything in reality.
[00:47:14.995 --> 00:47:18.577]  Okay, that's why this is total surveillance being adopted.
[00:47:18.617 --> 00:47:22.679]  I appreciate your call, and you're absolutely right about what you brought up, sir.
[00:47:23.279 --> 00:47:28.401]  Now let's go ahead and speak to Andrew in New Jersey.
[00:47:28.441 --> 00:47:29.522]  You're on the air, Andrew.
[00:47:29.562 --> 00:47:29.942]  Go ahead.
[00:47:30.822 --> 00:47:32.463]  Alex, the show is on fire this week.
[00:47:32.483 --> 00:47:34.224]  9-11 Truth is hotter than it's ever been.
[00:47:34.244 --> 00:47:35.284]  It's getting bigger every day.
[00:47:35.745 --> 00:47:40.827]  And you talked about something this week earlier that I really wanted to get back to, Austrian economics and the Mises Institute in Auburn, Alabama.
[00:47:41.161 --> 00:47:50.607]  I want all of your listeners to go to Mises.org, M-I-S-E-S.org, go to the media section, listen to some podcasts there, talk about exposing the false left-right paradigm, this is where it's got to go.
[00:47:50.627 --> 00:47:53.029]  You talk about 9-11 truth, people ask, what's next?
[00:47:53.469 --> 00:47:54.890]  Once we expose that, what happens?
[00:47:55.971 --> 00:47:56.831]  This is how it's got to be.
[00:47:57.271 --> 00:48:01.054]  We've got to get out there.
[00:48:02.255 --> 00:48:07.218]  You know, we can't solve problems using the same thinking that we created them with, and government is the problem, and there are alternative paradigms.
[00:48:07.238 --> 00:48:10.060]  The stateless society is coming, and that's a fact.
[00:48:11.454 --> 00:48:14.156]  Well, good to hear from you and I appreciate your call, my friend.
[00:48:14.856 --> 00:48:18.518]  Now, let's go ahead and talk to Roger in Indiana.
[00:48:18.918 --> 00:48:20.139]  Roger, you're on the air.
[00:48:20.199 --> 00:48:20.559]  Welcome.
[00:48:20.960 --> 00:48:23.141]  I hope I'm not too off topic, Alex.
[00:48:23.911 --> 00:48:29.636]  I'm a PrisonPlanet.tv member, and I've viewed your Occult Symbolism in the Western Hemisphere Part 1 and 2.
[00:48:29.996 --> 00:48:30.196]  Yes.
[00:48:30.216 --> 00:48:33.879]  It kind of inspired me to do my own research within Indianapolis.
[00:48:33.919 --> 00:48:36.181]  We have a famous monument called Monument Circle.
[00:48:36.321 --> 00:48:38.503]  The official name is the State Soldiers and Sailors Monument.
[00:48:38.523 --> 00:48:41.886]  So you saw my piece with the big black pentagram behind the Texas Capitol?
[00:48:41.986 --> 00:48:42.927]  Oh yeah, that was freaky.
[00:48:43.027 --> 00:48:47.551]  And I've got the Russian media with me going, this is a temple to a goddess they worship.
[00:48:47.871 --> 00:48:51.075]  And then I didn't know they put up a display admitting it was a goddess and they worship her.
[00:48:51.256 --> 00:48:54.740]  And we walk into the Capitol and there's a goddess display and the Russians were going, what?
[00:48:55.101 --> 00:48:57.924]  Yeah, I was going to say, her face was like, her jaw dropped.
[00:48:58.645 --> 00:49:03.552]  But anyway, the guy who made this monument, Bruno Schmitz, he was a German architect.
[00:49:04.213 --> 00:49:06.934]  He was the Kaiser's favorite film sculptor.
[00:49:07.254 --> 00:49:09.876]  There are fascist symbols all over this thing, the little lightning bolt.
[00:49:10.316 --> 00:49:17.639]  After we beat the Germans, they brought into the Congress House the fascist Nazi symbols, the bundle of sticks and the hatchets.
[00:49:17.659 --> 00:49:18.799]  Those weren't there until then.
[00:49:19.200 --> 00:49:21.281]  They came in and remodeled it all Nazi.
[00:49:21.521 --> 00:49:22.721]  Again, it's all a big joke to them.
[00:49:22.781 --> 00:49:23.982]  Occult temples everywhere.
[00:49:24.362 --> 00:49:26.123]  Nazi regalia everywhere.
[00:49:26.463 --> 00:49:27.643]  Everything festooned with it.
[00:49:27.903 --> 00:49:31.145]  The general public just bumbling along, totally mindless.
[00:49:32.307 --> 00:49:37.190]  It is confirmed that it is the goddess Columbia, because the hotel across the street is the Columbia Hotel.
[00:49:37.770 --> 00:49:40.331]  Behind it, there are three glass pyramids.
[00:49:40.351 --> 00:49:41.072]  This would be great.
[00:49:41.112 --> 00:49:41.792]  I have to send this to you.
[00:49:41.812 --> 00:49:43.953]  You know, see our big owl building?
[00:49:43.973 --> 00:49:45.374]  You walk in, there's giant pyramids.
[00:49:45.654 --> 00:49:46.394]  Oh, they're awesome.
[00:49:46.515 --> 00:49:47.175]  It's all glass.
[00:49:47.953 --> 00:49:50.394]  And, uh, to the left of it is the Scottish Rite Temple.
[00:49:50.474 --> 00:49:52.835]  And it overlooks, uh, like a memorial to the dead.
[00:49:52.895 --> 00:49:54.256]  The statue... Always does.
[00:49:54.536 --> 00:49:54.796]  Always.
[00:49:54.816 --> 00:49:57.157]  The goddess always has a sacrifice of dead soldiers.
[00:49:57.397 --> 00:49:58.437]  They always place it before her.
[00:49:58.777 --> 00:49:59.698]  Alex, one more question.
[00:49:59.858 --> 00:50:04.040]  When Endgame comes out, will you allow PrisonPlanet.tv members for a look at it?
[00:50:05.260 --> 00:50:08.061]  Well, of course Endgame's gonna be there for PrisonPlanet.tv members.
[00:50:08.481 --> 00:50:09.402]  Alright, man.
[00:50:09.462 --> 00:50:09.922]  You bet, man.
[00:50:09.942 --> 00:50:10.462]  Good to hear from you.
[00:50:10.482 --> 00:50:12.783]  It's gonna be there for you guys before it's out on DVD.
[00:50:14.104 --> 00:50:16.365]  Uh, it'll be out at least two weeks before it hits DVD.
[00:50:17.025 --> 00:50:17.505]  In October.
[00:50:18.152 --> 00:50:19.213]  They will be available to you.
[00:50:19.273 --> 00:50:20.994]  Now, that's if I'm able to get it out on schedule.
[00:50:21.915 --> 00:50:23.516]  But let's continue with your phone calls.
[00:50:23.536 --> 00:50:28.320]  I'm going to come in with a huge news blitz in the next hour, and then down to the protest.
[00:50:28.720 --> 00:50:30.522]  Who has been holding the longest now?
[00:50:31.202 --> 00:50:33.984]  Let us go ahead and talk to George in Austin.
[00:50:34.364 --> 00:50:35.305]  You are on the air.
[00:50:35.365 --> 00:50:35.786]  Go ahead.
[00:50:35.806 --> 00:50:36.366]  Oh, hi.
[00:50:36.466 --> 00:50:38.988]  Are you familiar with Pravda?
[00:50:39.048 --> 00:50:42.591]  Yes, the Russian newspaper known for ridiculous propaganda.
[00:50:43.151 --> 00:50:46.474]  Well, a couple days ago, they said that Imus was getting
[00:50:47.455 --> 00:50:49.978]  They were going after Imus because he was going to come out about 9-11.
[00:50:57.780 --> 00:50:59.801]  And, uh, that sounds like Pravda to me.
[00:50:59.861 --> 00:51:02.403]  I mean, I, I have seen no inkling from Imus.
[00:51:02.523 --> 00:51:03.804]  Now, that shows how they eat their own.
[00:51:03.864 --> 00:51:07.046]  He was, he was bomb all the Arabs, turn them into a parking lot.
[00:51:07.546 --> 00:51:15.031]  I mean, I'll type in Pravda, Imus 9-11, and, uh, I'll see you in a minute during the break when we end the shower, uh, if that is indeed the case.
[00:51:15.451 --> 00:51:17.853]  Uh, let's now go ahead and take another call.
[00:51:18.373 --> 00:51:21.015]  Let us speak with Eric.
[00:51:21.615 --> 00:51:22.616]  Eric, well, you know what?
[00:51:23.522 --> 00:51:24.143]  We've got to get a break.
[00:51:24.283 --> 00:51:26.105]  We'll come back to Eric and others when we get to your calls.
[00:51:26.125 --> 00:51:27.647]  All right, I'm going to get into the Iraq War.
[00:51:27.667 --> 00:51:31.431]  I'm going to get into how the government's criminalizing everything to get you into the system.
[00:51:31.451 --> 00:51:34.735]  They couldn't get you on welfare, and they couldn't destroy you with the economy.
[00:51:35.215 --> 00:51:37.418]  They're going to get you into the criminal justice system.
[00:51:37.738 --> 00:51:39.380]  This is, they just want to control you.
[00:51:39.400 --> 00:51:42.003]  It's modern slavery, new 9-11 developments.
[00:51:43.344 --> 00:51:44.664]  New Iraq war developments.
[00:51:45.084 --> 00:51:45.805]  It's all coming up.
[00:51:46.165 --> 00:51:49.705]  Don't forget my new film, Terror Storms, in stores and nationwide right now.
[00:51:49.945 --> 00:51:50.805]  Terror Storm!
[00:51:51.045 --> 00:51:52.106]  Hi, this is Ted Anderson.
[00:51:52.206 --> 00:51:57.027]  Over the years, Genesis Communications Network has grown by leaps and bounds, reaching millions of listeners.
[00:51:57.127 --> 00:52:00.007]  The impact on political and social issues have been enormous.
[00:52:00.147 --> 00:52:04.168]  Businesses associated with the network have grown to become valuable enterprises.
[00:52:04.468 --> 00:52:10.429]  If you are accredited and have an entrepreneurial spirit, national radio may be the opportunity you're looking for.
[00:52:10.669 --> 00:52:15.213]  Call me today at 877-996-4327, extension 101.
[00:52:15.393 --> 00:52:19.796]  For more information, that's 877-996-4327, extension 101.
[00:52:22.058 --> 00:52:23.079]  Looking for profits?
[00:52:23.139 --> 00:52:24.500]  Looking for safety and security?
[00:52:24.520 --> 00:52:28.063]  The $10 Olympic commemorative gold coin offers both.
[00:52:28.103 --> 00:52:31.886]  This low mintage collector coin, with a total series mintage under $600,000,
[00:52:33.127 --> 00:52:35.670]  ...has sold at four times its current price.
[00:52:35.730 --> 00:52:39.454]  Falling dollar values and inflation make this likely to happen again.
[00:52:39.494 --> 00:52:41.015]  Secure your position today.
[00:52:41.295 --> 00:52:42.497]  Call Midas Resources at 1-800-686-2237.
[00:52:42.517 --> 00:52:42.837]  That's 1-800-686-2237.
[00:52:55.507 --> 00:53:00.849]  Prepare yourself for a talk radio interview soon like no other.
[00:53:02.069 --> 00:53:03.830]  Scrap your souls in and hold on.
[00:53:04.850 --> 00:53:06.230]  He stands for truth.
[00:53:07.611 --> 00:53:09.451]  He stands for justice.
[00:53:10.832 --> 00:53:13.193]  He stands for what's right.
[00:53:13.273 --> 00:53:15.593]  This is the Alex Jones Show.
[00:53:16.574 --> 00:53:19.415]  Call Alex now, toll free at 877-590-5525.
[00:53:24.981 --> 00:53:29.662]  Now live from Austin, Texas, here's Alex Jones.
[00:53:32.983 --> 00:53:53.728]  Three weeks ago on this radio show, when it had broken into national news that the Attorney General had blocked and covered up the huge Texas Youth Commission child raping scandal, the pedophile scandal, that what they would do was prosecute a few of the thousands of the weakest cases and then
[00:53:54.660 --> 00:53:59.581]  Basically try to claim that the whole thing was like some witch hunt hysteria.
[00:54:00.161 --> 00:54:00.601]  Okay.
[00:54:01.841 --> 00:54:13.503]  How come there were over a thousand convicted criminals and over 300 convicted hardcore felons, some of them child rapists, working?
[00:54:13.763 --> 00:54:14.203]  Right there!
[00:54:14.643 --> 00:54:15.764]  I want the heads of it.
[00:54:15.904 --> 00:54:18.424]  I want the officials arrested for hiring felons.
[00:54:18.464 --> 00:54:24.305]  I'm sure they were sweet felons for arson and robbery and abuse and child rape.
[00:54:25.141 --> 00:54:25.922]  You know, that's there.
[00:54:26.463 --> 00:54:28.546]  We've been down to the hearings.
[00:54:28.586 --> 00:54:29.567]  We've gone and covered it.
[00:54:29.747 --> 00:54:30.849]  We've done reports on it.
[00:54:30.889 --> 00:54:31.790]  We've been at the state.
[00:54:32.351 --> 00:54:34.914]  I've read the reports of the Texas Rangers.
[00:54:35.583 --> 00:54:37.765]  That's ten times worse than what you'll read in the papers.
[00:54:37.965 --> 00:54:38.766]  Let me tell you something.
[00:54:38.886 --> 00:54:43.089]  There's a cover up here, and the governor's blocked the legislature from a real investigation.
[00:54:43.449 --> 00:54:45.451]  And then I, what got me going off on this?
[00:54:45.511 --> 00:54:46.872]  I heard a local news report.
[00:54:47.392 --> 00:54:49.334]  Not a local news report, it's an important issue.
[00:54:49.354 --> 00:54:54.678]  They were just covering what the officials, the authorities were saying, and it was pure bull.
[00:54:55.739 --> 00:54:57.680]  And I predicted exactly what they do.
[00:54:57.740 --> 00:54:58.361]  It's not hard.
[00:54:59.041 --> 00:54:59.622]  It's not hard.
[00:55:00.422 --> 00:55:01.503]  They do that all the time.
[00:55:03.645 --> 00:55:04.686]  All the time they will
[00:55:05.580 --> 00:55:06.220]  Here's an example.
[00:55:06.240 --> 00:55:09.582]  They had torture at Abu Ghraib and 30 plus camps in Iraq.
[00:55:10.142 --> 00:55:14.785]  So they went after General Janice Karpensky, who I interviewed first, when I started going public.
[00:55:15.185 --> 00:55:20.968]  And the reason I'm bragging about that is it's a major newsmaker and she went public about a lot of it, but we also have the documents, not just her claims.
[00:55:21.288 --> 00:55:23.649]  She wasn't allowed into those wings of those prisons.
[00:55:24.430 --> 00:55:27.171]  And then the government said, well, she should have demanded it.
[00:55:27.691 --> 00:55:30.853]  They admitted that the CIA was telling them, don't go in those areas.
[00:55:31.491 --> 00:55:37.411]  And as she said, the minute she would have gone in there, she would have been removed from command!
[00:55:39.494 --> 00:55:41.775]  And it's the same thing at Camp X-Ray at Guantanamo Bay.
[00:55:41.995 --> 00:55:43.376]  They have a base within a base.
[00:55:43.436 --> 00:55:43.856]  Oh yeah!
[00:55:44.256 --> 00:55:51.419]  You know, they've let observers and congressmen go there, and the congressmen get showed the big meals, they get fed, and they go, look how good their meals are!
[00:55:51.679 --> 00:55:58.402]  But inside of it is a facility within a facility, who no one can see, and that's where the torture's going on, and it's now been admitted.
[00:55:58.422 --> 00:55:58.802]  So what'd they do?
[00:55:58.842 --> 00:56:01.363]  They went up for Janice Karpinski, General Janice Karpinski.
[00:56:02.443 --> 00:56:09.086]  They tried, and they said, oh, she's behind it, it's her fault, and the government knew that when she finally got investigated, it'd be found she was innocent.
[00:56:09.870 --> 00:56:16.459]  So I have no doubt, I bet this jail guard that they're holding up as the biggest demon on earth, he, he, there's a good chance he didn't do anything.
[00:56:17.079 --> 00:56:22.106]  And they knew that, so they'll go after him, and then everybody's mind, oh, see, there wasn't a problem.
[00:56:22.306 --> 00:56:23.508]  They hired a bunch of felons!
[00:56:23.648 --> 00:56:24.930]  They hired a bunch of pedophiles!
[00:56:25.090 --> 00:56:26.612]  There's your problem, right there!
[00:56:27.947 --> 00:56:31.910]  And the Texas Rangers wanted to start indicting people, and the state blocked it.
[00:56:32.330 --> 00:56:36.032]  And that's one of the better law enforcement agencies we've got in this state, and one of the better ones in the country.
[00:56:36.413 --> 00:56:42.617]  So I'll take the Texas Rangers' word over the baloney of the Texas Youth Commission, run by a bunch of criminals!
[00:56:43.898 --> 00:56:45.258]  Alright, I said I'd get to the news.
[00:56:45.278 --> 00:56:46.739]  I said I'd get to your calls.
[00:56:46.819 --> 00:56:48.020]  I'm just sick of it!
[00:56:48.541 --> 00:56:49.942]  I'm sick of the tricks they play!
[00:56:50.102 --> 00:56:51.663]  I'm sick of knowing the tricks they play!
[00:56:51.863 --> 00:56:53.524]  I'm sick of always being right!
[00:56:54.144 --> 00:56:55.105]  I want to be wrong!
[00:56:57.089 --> 00:56:58.570]  I want to be wrong about this stuff.
[00:56:59.650 --> 00:57:00.291]  I'm tired of it.
[00:57:00.311 --> 00:57:00.891]  I've had enough.
[00:57:01.651 --> 00:57:02.011]  Alright.
[00:57:05.133 --> 00:57:05.453]  You know what?
[00:57:05.473 --> 00:57:06.353]  I said I'd go to your calls.
[00:57:06.373 --> 00:57:11.176]  We're going to have a live report from a 9-11 protest down at the UT Tower going on right now.
[00:57:11.196 --> 00:57:12.356]  It's going to be going past 6.
[00:57:12.536 --> 00:57:17.919]  If you're out there, I want you to pull up, park, park off campus, march in there to the UT Tower, park on the drag.
[00:57:18.556 --> 00:57:18.956]  Whatever.
[00:57:19.016 --> 00:57:19.957]  Park in the parking garage.
[00:57:19.977 --> 00:57:22.838]  Just get out there for 9-11 Truth, ladies and gentlemen.
[00:57:23.278 --> 00:57:25.420]  Because that's going on in Austin, Texas right now.
[00:57:25.440 --> 00:57:27.781]  We're going to have some of them on with us in about 20 minutes.
[00:57:29.301 --> 00:57:39.767]  But in the meantime, I said that I would get into some of the military news.
[00:57:41.548 --> 00:57:47.951]  But I think it's important to get into what Karl Rove is up to and what the neocons and his government are up to first.
[00:57:49.068 --> 00:57:52.689]  And to set the table for this, here is Reuters.
[00:57:53.149 --> 00:57:56.710]  Russian police arrest 170 anti-criminal protesters.
[00:57:56.730 --> 00:57:57.710]  I don't watch a lot of TV.
[00:57:57.971 --> 00:58:01.551]  I can go read the articles, see the photos, but I had to see this last night, so I turned it on.
[00:58:01.912 --> 00:58:04.692]  Had to find a foreign, you know, CNN to tune into it.
[00:58:05.173 --> 00:58:07.993]  And it was just 170 people.
[00:58:08.453 --> 00:58:09.894]  Really, the intelligentsia of Russia.
[00:58:09.914 --> 00:58:10.914]  It's called Other Russia.
[00:58:11.734 --> 00:58:13.255]  People that don't want a total police state.
[00:58:13.655 --> 00:58:17.656]  And the police just came up and beat their heads in and put them in armored vehicles and drove off with them.
[00:58:18.795 --> 00:58:21.997]  But you notice, our media doesn't say Russia's turning into tyranny.
[00:58:22.278 --> 00:58:23.698]  Our media says Putin's a good guy.
[00:58:23.959 --> 00:58:25.160]  Our media says China's good.
[00:58:25.420 --> 00:58:29.883]  China's executing more people than it ever has publicly at sports stadiums.
[00:58:30.563 --> 00:58:38.629]  China is now coming and taking second and third born children and selling the babies for medical experiments before they drown them in a bucket in front of the parents.
[00:58:38.649 --> 00:58:40.130]  This is mainstream news over in Europe.
[00:58:40.891 --> 00:58:43.712]  But now they just take them and they disappear.
[00:58:44.133 --> 00:58:47.175]  Well, they've got live specimens until they're ready for the harvesting.
[00:58:48.067 --> 00:58:49.408]  I'm not kidding about that, by the way.
[00:58:50.168 --> 00:58:51.008]  That's the horrors.
[00:58:51.149 --> 00:58:53.550]  Our government says nothing, does nothing.
[00:58:54.590 --> 00:59:01.793]  State Department came out last year and basically defended China, but didn't know they'd already left other State Department reports from 5-10 years ago up, decrying it all.
[00:59:02.934 --> 00:59:13.799]  Point is, it's getting scary, folks, when our government says torture's good, and they say Russia's good, and we've got free speech zones, and any type of protest against Putin is banned, and they beat your head in with clubs.
[00:59:15.846 --> 00:59:18.888]  I mean, that's tyranny, and notice it's happening all over the world!
[00:59:19.228 --> 00:59:24.391]  A new darkness, a new age of wickedness is settling upon the globe, and is it any...
[00:59:25.598 --> 00:59:33.965]  I'm surprised that the beacon of liberty and freedom America has turned dim and turned black and turned very wicked, ladies and gentlemen, with a red glow.
[00:59:33.985 --> 00:59:39.310]  I mean, the world sees this and is not worried about losing IMF or World Bank funding.
[00:59:39.510 --> 00:59:40.971]  It's not worried about being criticized.
[00:59:41.392 --> 00:59:47.357]  It's a green light, ladies and gentlemen, a green light to engage in any barbarism you wish.
[00:59:47.837 --> 00:59:48.638]  And it's scary!
[00:59:50.920 --> 00:59:53.082]  I wanted to read to you from the Washington Post
[00:59:53.880 --> 00:59:56.902]  And this came out in October 18, 2004.
[00:59:58.103 --> 01:00:02.846]  And the headline is, What's Karl Rove Up To?
[01:00:04.647 --> 01:00:12.813]  And you read deeply into the article, and this is Karl Rove at a cocktail dinner, bragging to the press corps, predominantly the White House press corps.
[01:00:15.355 --> 01:00:21.959]  And Karl Rove is, and I talked about this in my speech last night at UT, to a big student group,
[01:00:25.695 --> 01:00:28.838]  This is literally the mindset.
[01:00:28.878 --> 01:00:29.899]  This is in the open.
[01:00:30.419 --> 01:00:31.921]  And you've got to read the whole exchange.
[01:00:32.441 --> 01:00:36.825]  It's a group of high-powered reporters, you know, A-tier newspaper reporters.
[01:00:37.669 --> 01:00:44.571]  And they're going, well, sure, there's an elite that runs things, but aren't we having big government and an elite to help the people?
[01:00:44.591 --> 01:00:48.332]  And shouldn't the people have some input on that?
[01:00:49.513 --> 01:00:52.754]  So it's really kind of a groveling, shimpering elitism to begin with.
[01:00:53.314 --> 01:00:54.474]  It's already bad news.
[01:00:54.494 --> 01:00:56.175]  I mean, the reporters are bad enough!
[01:00:57.475 --> 01:01:00.196]  And then, Karl Rove says this to reporters.
[01:01:01.417 --> 01:01:02.437]  We're an empire now.
[01:01:03.462 --> 01:01:07.165]  We're an empire now, and when we act, we create our own reality.
[01:01:07.425 --> 01:01:19.613]  And while you're studying that reality, judiciously, as you will, very condescending, we'll act again, creating other new realities, which you can study too, and that's how things will sort out.
[01:01:20.054 --> 01:01:27.559]  We're history's actors, and you, pointing at the room of reporters, all of you will be left to just study what we do.
[01:01:29.972 --> 01:01:30.533]  And that's it.
[01:01:30.593 --> 01:01:33.996]  I mean, that's an admission of dictatorship, of dictatorship of ideas.
[01:01:34.376 --> 01:01:41.203]  It's just, you're spectators, you're in the bleachers, you don't count, you're not on the field, you're literally nobody.
[01:01:43.232 --> 01:01:46.795]  And the government, the White House, they told Congress they have no authority.
[01:01:47.056 --> 01:01:48.377]  They told the courts they have no authority.
[01:01:48.417 --> 01:01:50.919]  They're saying, we, we make the decisions.
[01:01:50.979 --> 01:02:04.172]  And that's why high-powered law professors and professors of jurisprudence, you know, at the biggest universities, who are even conservative in some cases, like the Princeton chair, are going, my God, this isn't America, you can't do that.
[01:02:04.192 --> 01:02:06.694]  And Bush goes, the hell I can't, you're on the no-fly list!
[01:02:09.210 --> 01:02:11.072]  I mean, is that what America's all about?
[01:02:11.632 --> 01:02:12.893]  Is that what we've turned into?
[01:02:12.953 --> 01:02:13.774]  Is that what we are?
[01:02:13.794 --> 01:02:21.440]  Where six-year-olds and four-year-olds throw a tantrum, don't hit anybody, and the cops come and arrest them and put them in handcuffs?
[01:02:22.100 --> 01:02:28.065]  But the illegal aliens are above the law because the government wants to destroy the sovereignty and flood our country with third-world populations?
[01:02:29.338 --> 01:02:30.179]  That's what it's become.
[01:02:30.720 --> 01:02:37.748]  We'll come back, go straight to your calls, get to war news, and then give you a report for about 10 minutes on what's happening downtown with the 9-11 Truth March.
[01:02:38.148 --> 01:02:39.029]  I'm Alex Jones.
[01:02:39.430 --> 01:02:39.890]  Stay with us.
[01:02:39.910 --> 01:02:40.511]  We'll be right back.
[01:02:55.809 --> 01:03:01.299]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:03:01.659 --> 01:03:09.292]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:03:09.989 --> 01:03:17.032]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:03:17.432 --> 01:03:28.837]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:03:29.177 --> 01:03:33.099]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:03:33.139 --> 01:03:35.060]  It's an anthology of government crimes.
[01:03:35.400 --> 01:03:39.242]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:03:39.842 --> 01:03:46.713]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:03:52.793 --> 01:03:54.675]  Hi, Ted Anderson from Midas Resources.
[01:03:54.755 --> 01:03:58.958]  On April 13, 2007, Gold Spot 68141 ounce gold coins can be purchased for 704.21, 353.94 for half ounce, and 170.707 for quarter ounce coins.
[01:03:59.018 --> 01:03:59.418]  That's 704.21, 353.94, and 170.707.
[01:04:11.747 --> 01:04:15.348]  We've been hearing the USA has been spending money faster than tax collections.
[01:04:15.408 --> 01:04:18.389]  Now the government has published the document that sounds the alarm.
[01:04:18.489 --> 01:04:27.571]  That's right, the United States Government Accountability Office, the GAO, has published the Long-Term Fiscal Outlook document, clearly stating that the federal debt burden is virally out of control.
[01:04:27.891 --> 01:04:33.173]  This will directly affect programs like Social Security to FDIC's ability to insure bank deposits.
[01:04:33.653 --> 01:04:35.934]  Taxation and inflationary printing of the U.S.
[01:04:35.974 --> 01:04:38.434]  dollar are inevitable pressures facing the economy.
[01:04:38.835 --> 01:04:42.075]  Get this document free by calling 800-686-2237.
[01:04:42.155 --> 01:04:45.856]  The USGAO has spelled it out in black and white.
[01:04:45.916 --> 01:04:46.177]  Call 800-686-2237.
[01:04:46.197 --> 01:04:46.377]  That's 800-686-2237.
[01:04:53.175 --> 01:04:57.438]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[01:04:57.678 --> 01:05:02.582]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[01:05:02.802 --> 01:05:04.163]  Hi folks, Alex Jones here.
[01:05:04.303 --> 01:05:07.766]  Why not go back to basics and be safe with Cal Bend Pure Soaps?
[01:05:07.906 --> 01:05:13.090]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[01:05:13.330 --> 01:05:19.075]  Marty Schachter founded Cal Bend Soap Company in 1947 and provided products for health institutions.
[01:05:19.415 --> 01:05:21.898]  Now, Calvin Soaps are available to you and me.
[01:05:21.938 --> 01:05:24.260]  Triple concentrated for all your cleaning needs.
[01:05:24.460 --> 01:05:26.602]  From bathing and laundry to dishes, hair and more.
[01:05:26.882 --> 01:05:27.863]  No harsh chemicals.
[01:05:28.083 --> 01:05:29.004]  No animal testing.
[01:05:29.284 --> 01:05:30.345]  I use them and love them.
[01:05:30.626 --> 01:05:32.227]  Knowing they're all natural and safe.
[01:05:32.507 --> 01:05:33.648]  And I say big time.
[01:05:33.909 --> 01:05:35.510]  Call Calvin Pure Soap at 1-800-340-7091.
[01:05:35.530 --> 01:05:36.111]  That's 1-800-340-7091.
[01:05:36.151 --> 01:05:38.993]  Or log on to iStarsSoap.com now for a free catalog.
[01:05:45.359 --> 01:05:48.064]  Again, that number, 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[01:05:54.315 --> 01:05:56.076]  Hi, Steve Shank, Fearless Task Force.
[01:05:56.396 --> 01:05:59.218]  The J. Michael Stevens Group is shipping a lot of storable food.
