[00:00:02.891 --> 00:00:07.133]  It is Friday, the 21st day of December, 2007.
[00:51:29.304 --> 00:51:32.886]  Or watch it online right now at PrisonPlanet.tv.
[00:51:32.886 --> 00:51:35.608]  Endgame, blueprint for global enslaving.
[00:51:36.048 --> 00:51:38.309]  You have been warned.
[00:51:38.309 --> 00:51:43.570]  Now you can bring Berkey purification power anywhere with the Sport Berkey filtration bottle.
[00:51:43.570 --> 00:51:45.871]  Ideal for sporting games, camping, or boating.
[00:51:45.871 --> 00:51:49.052]  Our Sport Berkey is small enough to store in your glove box.
[00:51:49.052 --> 00:51:53.673]  So it's ideal backup for unexpected emergencies like blackouts, floods, or earthquakes.
[00:51:53.673 --> 00:51:57.014]  It's simply the best personal water filtration system available.
[00:51:57.014 --> 00:52:00.435]  So effective you can drink raw, untreated water from lakes, rivers, and streams.
[00:52:00.775 --> 00:52:10.377]  Unlike other sport bottles, the Sport Berkey's patented filter formulation is so powerful it removes cysts, parasites, harmful bacteria, and chemicals like herbicides and pesticides.
[00:52:10.377 --> 00:52:14.117]  It even reduces radon-222, lead, and other heavy metals.
[00:52:14.117 --> 00:52:21.479]  This lightweight, rugged 22-ounce filter is small enough to go everywhere, so take one to work and keep another in your glove box for emergencies.
[00:52:21.479 --> 00:52:22.899]  Get the Berkey Sport for only $39.
[00:52:22.899 --> 00:52:24.559]  Get two for $70 by calling New Millennium at 888-803-4438.
[00:52:29.640 --> 00:52:31.241]  Order your Berkey Sport today.
[00:52:31.241 --> 00:52:37.523]  That's toll-free, 888-803-4438, or order on the web at berkeywater.com.
[00:52:37.523 --> 00:52:41.204]  Attention, this is Jack Blood with an urgent GCN News Bulletin.
[00:52:41.204 --> 00:52:43.465]  Do you desperately need to get out of debt fast?
[00:52:43.465 --> 00:52:46.186]  Would you like to make some of your debts disappear completely?
[00:52:46.186 --> 00:52:50.587]  If so, and you're a GCN listener, there is a very real chance you will now be able to do it.
[00:52:50.587 --> 00:52:51.668]  Here's why.
[00:52:51.668 --> 00:52:57.570]  A new manual has just been published that reveals how you can get out of debt in 90 minutes without any loans or bankruptcy whatsoever.
[00:52:57.830 --> 00:53:04.075]  The insider secrets revealed allow you to get out of debt so fast and so completely that it makes some people feel like they're cheating.
[00:53:04.075 --> 00:53:05.236]  But they're not cheating.
[00:53:05.236 --> 00:53:09.419]  The secrets taught in the manual are 100% legal and 100% ethical.
[00:53:09.419 --> 00:53:13.863]  It's just that bankers, debt collectors, and credit card companies don't want you to know about these loopholes.
[00:53:13.863 --> 00:53:19.047]  Learn how to finally teach financial vultures some humility by beating them at their own game and above all,
[00:53:19.087 --> 00:53:21.488]  I hear the train a-comin' It's rollin' around my bed
[00:53:49.368 --> 00:54:01.096]  I'll be back live this Sunday, 4 to 6 p.m.
[00:54:01.096 --> 00:54:04.879]  I'm going to be live on New Year's Eve, too.
[00:54:04.879 --> 00:54:07.020]  I'm taking off most of next week.
[00:54:07.020 --> 00:54:10.843]  I've got some really good best-ups lined up for you.
[00:54:10.843 --> 00:54:14.705]  Chris in Florida, you're on the air with best-selling author Daniel Espelin.
[00:54:14.705 --> 00:54:15.086]  Go ahead.
[00:54:17.077 --> 00:54:37.866]  Daniel, could you please comment on the divisions, the fractures that are taking place in Bilderberg and other globalist groups, and how we might take advantage of that by, say, calling into talk shows and exposing that, and also based on the understanding that these evil leaders are here to kill
[00:54:38.399 --> 00:54:41.840]  Well, I think, first of all, good afternoon or good day.
[00:55:04.699 --> 00:55:06.120]  These people are more united than ever.
[00:55:06.120 --> 00:55:07.921]  I think it's just wishful thinking on our part.
[00:55:07.921 --> 00:55:14.785]  There was one time when there was actually a crack, a window of opportunity, that was in 2002, as a result of the Iraqi war.
[00:55:14.785 --> 00:55:16.886]  The European Bilderbergers wanted no part of it.
[00:55:16.886 --> 00:55:20.068]  The Americans wanted immediacy of war.
[00:55:20.068 --> 00:55:21.189]  I think they're more united than ever.
[00:55:21.189 --> 00:55:25.792]  Daniel, I think he means a split between the neocons and them saying, don't go into Iran.
[00:55:25.792 --> 00:55:30.435]  Well, I think in this particular case, I think the neocons don't really have a lot of power within the Bilderberg group.
[00:55:30.435 --> 00:55:34.337]  Again, Bilderberg today, 500 years ago, was the Venetian Black nobility.
[00:55:34.744 --> 00:55:39.407]  So the neocons were always secondary and tertiary characters and players within the group itself.
[00:55:39.407 --> 00:55:54.576]  It's the European monarchy such individuals as the Queen Beatrix and Etienne d'Avignon, the president of the group, and of course David Rockefeller, who have a lot more power than any neocon who has ever participated in one of the Bilderberg conferences.
[00:55:54.576 --> 00:55:56.077]  Again, it's a long-term plan.
[00:55:56.077 --> 00:55:57.178]  This long-term is now
[00:55:57.777 --> 00:56:07.143]  Unfortunately, at the end, we're at the end of the end game and unless we do something very, very quickly, which means the awakening, people must realize what's taking place.
[00:56:07.143 --> 00:56:11.145]  Because, again, it's the business of taming the captive herd.
[00:56:11.145 --> 00:56:16.228]  The forceful restraint, you know, is the obligation of these people that are doing it to us.
[00:56:16.228 --> 00:56:18.489]  And they're very well organized and we are not.
[00:56:18.489 --> 00:56:21.291]  And we had better organize ourselves quickly.
[00:56:21.291 --> 00:56:25.053]  And we better stop paying attention to mass media entertainment because, again,
[00:56:25.486 --> 00:56:27.527]  I suppose this question goes out to the both of you.
[00:56:27.527 --> 00:56:29.188]  It's on the topic of depopulation again.
[00:56:29.188 --> 00:56:32.449]  I've watched Endgame and everything and I've done what I can to study the topic.
[00:56:32.449 --> 00:56:38.152]  I just want to know a little bit more about how this story first broke.
[00:56:55.775 --> 00:57:12.792]  When this happened, I've watched Endgame, like I said, and I just want to know how it came out, and also, um, I was wondering about, um, Alex, you keep coming back to all these publications that the Elite keeps writing about how we're cattle and how we need to die and everything, and, uh, I just wanted to know if you have some suggestions on, uh,
[00:57:15.950 --> 00:57:19.615]  Well, I mean, we know about it because they wrote books and bragged about it.
[00:57:19.615 --> 00:57:24.961]  United Nations Biological Diversity Assessments, three separate ones, called for 80% reductions.
[00:57:24.961 --> 00:57:27.844]  Older UN documents called for half.
[00:57:27.844 --> 00:57:31.107]  Presidential Decision Directives, State Department Memorandum 200 calls for 50% reduction.
[00:57:33.353 --> 00:57:35.155]  Uh, Daniel, any ideas?
[00:57:35.155 --> 00:57:35.695]  Well, that's it.
[00:57:35.695 --> 00:57:36.256]  You just said it.
[00:57:36.256 --> 00:57:47.410]  The National Security Council Memorandum in April 1974, they're talking about reducing between 74 and the year 2000 the world's population by 500 million people and towards the year 2050 by 3 billion people.
[00:57:49.634 --> 00:57:51.015]  You talk about this in the endgame.
[00:57:51.015 --> 00:57:59.459]  Again, if you people out there want to understand what is being done to us, please get Alex's endgame and please get my book, The True Story of the Bilderberg Group.
[00:57:59.459 --> 00:58:05.262]  With these two sources in hand, you will really understand how and what these people are doing to us and how to fight them.
[00:58:05.262 --> 00:58:06.563]  Daniel, thank you for coming on.
[00:58:06.563 --> 00:58:07.843]  Lucas, thanks for the call.
[00:58:07.843 --> 00:58:11.125]  Get Daniel Esselin's incredible new book at InfoWars.com.
[00:58:11.125 --> 00:58:14.687]  Link through to his website at InfoWars.com and get Endgame.
[00:58:14.687 --> 00:58:15.927]  God bless you all.
[00:58:15.927 --> 00:58:16.688]  Have a great Christmas.
