[00:00:01.751 --> 00:00:02.471]  Free.
[01:36:33.049 --> 01:36:39.232]  When you support us, we are able to move forward and expand what we're doing and maintain what we're doing, plus you get powerful films.
[01:36:39.232 --> 01:36:41.013]  Back to Mike Rivera of WhatReallyHappened.com.
[01:36:41.013 --> 01:36:43.934]  Mike, before I forget, you're starting a show here on Genesis.
[01:36:43.934 --> 01:36:45.715]  We're really honored to have you come on board.
[01:36:45.715 --> 01:36:47.276]  Thank you very much.
[01:36:47.276 --> 01:36:51.478]  It's an honor for me to be on board, and again, thank you very much for all your help getting us to this place.
[01:36:52.186 --> 01:36:58.329]  The show is going to be the What Really Happened Show, and we debut this coming Saturday, January 6th at 11 a.m.
[01:36:58.329 --> 01:37:05.153]  Central Standard Time, and we're going to be doing the show every Saturday, just sort of ramp up to speed and see where it goes from there.
[01:37:05.153 --> 01:37:07.755]  So I'm hoping everybody will have a chance to tune in.
[01:37:07.755 --> 01:37:14.138]  That is 11 o'clock Central Standard Time every Saturday on the GCN Radio Network.
[01:37:14.733 --> 01:37:15.934]  That's absolutely right.
[01:37:15.934 --> 01:37:18.796]  And it's going to be a hard-hitting program, and not just your knowledge and analysis.
[01:37:18.796 --> 01:37:21.458]  You're going to have guests on, you're going to cover the news.
[01:37:21.458 --> 01:37:23.340]  It's going to be a hard-hitting hour.
[01:37:23.340 --> 01:37:29.865]  Yes, it absolutely is, and people can log into my website, WhatReallyHappened.com, to get the topic and guests for the upcoming shows.
[01:37:29.865 --> 01:37:33.107]  We're just locking down a really good guest for the first show.
[01:37:33.107 --> 01:37:35.809]  We haven't got it confirmed yet, so I don't want to say who it is.
[01:37:35.809 --> 01:37:42.874]  But we're going to be covering the topics that we've been covering at the website, and it's going to be very straightforward.
[01:37:44.555 --> 01:37:51.161]  You know, mutually supportive, of course, with what you're doing and the effort that you're making to get the truth out to the American people.
[01:37:51.161 --> 01:37:55.285]  Well, we're glad to be officially teamed up with you, Mike Rivera.
[01:37:55.285 --> 01:37:59.609]  I want to get into the geopolitical system, and obviously the SPEMA camp reports got us
[01:38:00.249 --> 01:38:05.851]  Well, it's not off track, because it's central to what our country is turning into, making dictators act like dictators.
[01:38:05.851 --> 01:38:11.133]  I'm sure you've already seen the BBC report that Bush is now abandoning the fraud.
[01:38:11.133 --> 01:38:12.833]  They were ever going to train Iraqi units.
[01:38:12.833 --> 01:38:14.153]  There were one unit.
[01:38:14.153 --> 01:38:15.714]  One brigade was never ready.
[01:38:15.714 --> 01:38:17.615]  Now they're just saying, no, it's all going to be U.S.
[01:38:17.615 --> 01:38:20.716]  troops fighting, and they want to beef between 20,000 and 40,000 more troops.
[01:38:22.176 --> 01:38:22.416]  Absolutely.
[01:38:22.416 --> 01:38:29.504]  This is already, I mean, the new Congress doesn't even meet for the first time until tomorrow, and already there's a tremendous sense of disillusionment and betrayal among the voters.
[01:38:43.499 --> 01:38:52.607]  Who worked very hard to change the Congress this last election, only to discover that no matter who you vote in, their allegiance is really not to the American people.
[01:38:52.607 --> 01:38:59.193]  And very clearly, first of all, you have to wonder, where is Bush planning on getting all these extra thousands and thousands of soldiers?
[01:38:59.193 --> 01:39:07.721]  They've gutted the National Guard, they've brought up all the reservists, they're luring the immigrants in with promises of green cards when they serve.
[01:39:08.494 --> 01:39:17.346]  Uh, obviously, you know, as we see the draft boards ramp up and go through their testing, it is very obvious that at some point we are going to have a draft imposed on us.
[01:39:17.346 --> 01:39:20.189]  And all these big public officials saying a draft's good?
[01:39:20.189 --> 01:39:22.292]  I mean, they got a full court press PR going.
[01:39:23.013 --> 01:39:44.530]  Absolutely, and they're saying a draft is going to be good because it'll force the rich people to send their kids along with the poor people, which we know from Vietnam will not be the case because we kept hearing promise after promise that the draft was going to be equal and everybody was going to have to serve, and yet we saw predominantly people from the poor sections of society were on the front lines in Vietnam.
[01:39:45.138 --> 01:39:50.501]  And even those children of the more privileged classes were kept in rear echelon positions.
[01:39:50.501 --> 01:39:55.964]  They were given clerical jobs or computer jobs or basically just away from the actual fighting.
[01:39:55.964 --> 01:39:58.286]  So we're going to see this ramp up here.
[01:39:58.286 --> 01:40:03.749]  And very obviously, Bush is still trying to figure out a way that he can justify going into Iran.
[01:40:03.749 --> 01:40:06.571]  Now we're seeing news coming out this morning that the U.S.
[01:40:06.571 --> 01:40:12.534]  is covertly funding Syrian opposition groups in an attempt to destabilize Syria as well.
[01:40:13.122 --> 01:40:16.656]  And what is very clearly going on, and I pointed this out a couple of years ago,
[01:40:17.262 --> 01:40:19.064]  Uh, is that we're seeing the U.S.
[01:40:19.064 --> 01:40:25.128]  start to garrison the entire Middle East in order to control what remains of the world's easily reachable oil.
[01:40:25.128 --> 01:40:26.769]  And that was always the strategy.
[01:40:26.769 --> 01:40:34.255]  It's not like it was a secret, was to have sectarian war, break Iraq in three pieces, break Syria in three pieces, break Iran in four pieces.
[01:40:34.255 --> 01:40:36.056]  They want sectarian violence.
[01:40:36.056 --> 01:40:39.198]  They want the Muslims mad, overthrowing the Saudis.
[01:40:39.198 --> 01:40:40.419]  They want hysteria.
[01:40:40.419 --> 01:40:43.922]  They want to create a quagmire that forces total commitment.
[01:40:44.745 --> 01:40:46.567]  Well, what is going on is the U.S.
[01:40:46.567 --> 01:40:52.332]  realized it could never directly confront the Iraqis, the Iranians, the Syrians, and win militarily.
[01:40:52.332 --> 01:40:55.295]  We just saw how Israel couldn't even really deal with Lebanon.
[01:40:55.295 --> 01:41:00.360]  So they lied about WMDs and wantonly went in and destabilized the whole region.
[01:41:00.360 --> 01:41:01.041]  Exactly.
[01:41:01.041 --> 01:41:06.786]  And if you remember back at the beginning of the Iraq War, they were catching all these British SAS and American operatives.
[01:41:07.106 --> 01:41:10.589]  Dressed as Arabs, driving around in cars loaded with explosives.
[01:41:10.589 --> 01:41:15.993]  So much of this so-called sectarian violence is actually being done by our own assets.
[01:41:15.993 --> 01:41:22.137]  And by the way, Bill Christensen, CIA Section Chief, and of course, Ray McGovern, George Bush Sr.'
[01:41:22.117 --> 01:41:26.200]  's Chief CIA Analyst, have said clearly our government's staging attacks over there.
[01:41:26.807 --> 01:41:30.749]  Yeah, in order to trick the Iraqis into killing each other off.
[01:41:30.749 --> 01:41:32.209]  Now let's talk about Saddam.
[01:41:32.209 --> 01:41:35.590]  Killing him on Eden, the day of forgiveness.
[01:41:35.590 --> 01:41:37.071]  Killing him on the start of it.
[01:41:37.071 --> 01:41:41.413]  Letting them see the Shiites taunt him before they hang him.
[01:41:41.413 --> 01:41:45.974]  All of this designed patently to make everybody get mad.
[01:41:45.974 --> 01:41:46.995]  Absolutely agree.
[01:41:46.995 --> 01:41:50.036]  That one cell phone video that has been leaked out onto the net
[01:41:50.456 --> 01:42:04.180]  If you watch that video carefully, it is obvious that whoever is making it is not trying to conceal the camera he's using, he's just holding it up there and getting a clear shot, so whoever this was had permission to have that camera there to leak the video out.
[01:42:04.180 --> 01:42:16.364]  Exactly, the state cuts off right before they start taunting him, but so the state can't be openly implicated in stirring up sectarian violence, like they've done blowing up the Golden Mosque and the rest of it, then it cuts in right with a cell phone on perfect time.
[01:42:16.989 --> 01:42:18.570]  Yeah, absolutely it does.
[01:42:18.570 --> 01:42:23.672]  And it's a way to get the video out there while making it look like it wasn't an official release.
[01:42:23.672 --> 01:42:28.333]  But it does reek of an official psyops operation.
[01:42:28.333 --> 01:42:29.314]  I'll tell you one thing, though.
[01:42:29.314 --> 01:42:37.737]  Looking at the international condemnation, and certainly from my reader letters, as a public relations move, I think this has blown up in Bush's face.
[01:42:37.737 --> 01:42:39.858]  It's actually unifying the Arabs.
[01:42:39.858 --> 01:42:41.239]  They're seeing right through it.
[01:42:41.239 --> 01:42:42.299]  Yeah, absolutely.
[01:42:42.299 --> 01:42:44.980]  And now, of course, we're seeing the White House trying to distance themselves
[01:42:45.493 --> 01:42:49.956]  Uh, from the execution saying they tried to convince the Iraqi government to delay the execution.
[01:42:49.956 --> 01:42:54.278]  They ran the whole fake trial and delivered him into the Shiite's hands.
[01:42:54.278 --> 01:42:54.839]  Absolutely.
[01:42:54.839 --> 01:42:57.020]  The gallows was built inside a U.S.
[01:42:57.020 --> 01:42:57.380]  base.
[01:42:57.380 --> 01:42:59.902]  I mean, all I had to do was say, we don't want the gallows here.
[01:42:59.902 --> 01:43:01.203]  We're not going to turn them over.
[01:43:01.203 --> 01:43:03.644]  And they could have delayed the execution.
[01:43:03.644 --> 01:43:04.925]  So this is just very pat.
[01:43:05.589 --> 01:43:08.651]  Attempt to distance from what has turned into a public relations disaster.
[01:43:08.651 --> 01:43:22.299]  By the way, I found on Rents.com an incredible compilation of UPI articles from the 80s and others where they admitted what we already knew, Saddam in the 50s hired, running assassinations for the CIA.
[01:43:22.299 --> 01:43:28.843]  So I'm not defending him, but clearly it's like a mafia capo going to the electric chair when the don sits as the judge.
[01:43:28.843 --> 01:43:32.485]  You know, the mob boss is the guy condemning the person they ordered.
[01:43:32.905 --> 01:43:35.506]  But the way he had so much courage when they killed him.
[01:43:35.506 --> 01:43:36.686]  Very stoic.
[01:43:36.686 --> 01:43:37.926]  Very cinematic.
[01:43:37.926 --> 01:43:41.927]  And our media had the nerve to try to lie and claim he was cowering and crying.
[01:43:41.927 --> 01:43:47.048]  Trying to feed the psyche of so many cowardly people out there that would get off on that.
[01:43:47.048 --> 01:43:48.628]  I mean, the guy died with courage.
[01:43:48.628 --> 01:43:49.929]  They might as well just admit it.
[01:43:49.929 --> 01:43:52.089]  That guy died with amazing courage.
[01:43:52.089 --> 01:43:56.050]  Yeah, he did have a lot of dignity and courage going up to the gallows.
[01:43:56.050 --> 01:43:58.711]  And one can only imagine... You know, they just hate that.
[01:43:58.711 --> 01:44:00.531]  They were trying to get him to blow up, calling him names.
[01:44:01.255 --> 01:44:02.276]  Yeah, they were.
[01:44:02.276 --> 01:44:10.459]  They wanted him to make a spectacle, and Saddam was just not going to let them get to him, and that was, if anything, his final victory.
[01:44:10.459 --> 01:44:11.860]  Let's just admit it.
[01:44:11.860 --> 01:44:18.703]  I mean, you know, they hate real men, and the guy was a tyrant, but he worked for our government, and he was a real man, and they can't stand that.
[01:44:18.703 --> 01:44:22.445]  They absolutely cannot, and Bush has made his own worst nightmare.
[01:44:22.445 --> 01:44:28.028]  They took this manufactured monster that they had, and they've succeeded in turning him into a martyr and a victim.
[01:44:28.490 --> 01:44:29.250]  And a symbol.
[01:44:29.250 --> 01:44:35.053]  And Saddam is going to be more dangerous now at a symbol than he ever was as a living person.
[01:44:35.053 --> 01:44:36.674]  I'll tell you, that is powerful footage.
[01:44:36.674 --> 01:44:38.835]  And those guys like wolves and those black masks.
[01:44:38.835 --> 01:44:42.717]  I mean, you know... I mean, it's just... It's sick!
[01:44:42.717 --> 01:44:48.120]  And of course, parallel that to the guy sawing the head off of Nick Berg.
[01:44:48.120 --> 01:44:50.461]  I mean, it's the same type scene.
[01:44:50.461 --> 01:44:51.522]  Yeah, it absolutely is.
[01:44:51.522 --> 01:44:54.823]  It almost feels like they've got the same director.
[01:44:54.823 --> 01:44:55.604]  Yeah.
[01:44:55.604 --> 01:44:55.704]  Yeah.
[01:44:57.541 --> 01:45:00.003]  I tell you, but you know, I mean, take Lynch.
[01:45:00.003 --> 01:45:01.785]  They clearly killed a bunch of people in her unit.
[01:45:01.785 --> 01:45:03.786]  Remember, they were shooting their mouths off, saying it was all fake.
[01:45:03.786 --> 01:45:05.388]  They all started getting shot and dying.
[01:45:05.388 --> 01:45:07.369]  And then she came out and said it was a fable.
[01:45:07.369 --> 01:45:12.954]  It's come out that the, I've talked to, by the way, to Kevin Tillman.
[01:45:12.954 --> 01:45:14.675]  He's close to coming on the show.
[01:45:14.675 --> 01:45:16.317]  There's a lot more you haven't heard about that.
[01:45:16.317 --> 01:45:19.439]  It seems like everything they do blows up in their face.
[01:45:19.439 --> 01:45:23.523]  Well, they do, and it's because of radio shows like ours and websites like ours.
[01:45:23.894 --> 01:45:28.875]  Because the monopoly on information flow from the government to the people has been broken.
[01:45:28.875 --> 01:45:31.176]  And I'm afraid that the people in charge of the U.S.
[01:45:31.176 --> 01:45:42.698]  government have never really come to understand how that dynamic, that basic equation of information flow through the society, has dramatically changed because of the Internet, because of independent radio.
[01:45:42.698 --> 01:45:47.439]  They tried to buy it all up by creating companies like Clear Channel.
[01:45:47.439 --> 01:45:51.700]  They tried to sort of monopolize it and reassert that control again, but they have failed to do it.
[01:45:52.322 --> 01:46:03.491]  And unfortunately for them, and fortunately for us, they're never going to get that kind of total control over information that they had back in the 50s and 60s and even into the 70s.
[01:46:03.491 --> 01:46:04.912]  It is gone forever.
[01:46:04.912 --> 01:46:11.677]  But they still are a bunch of arrogant old men because I see them on Meet the Press and other shows going, so what would the blog say?
[01:46:11.677 --> 01:46:14.519]  So people are writing their own diaries on the web.
[01:46:14.519 --> 01:46:15.760]  Ha ha, who cares?
[01:46:15.760 --> 01:46:16.981]  Hey, we care, folks.
[01:46:16.981 --> 01:46:19.163]  We all want to communicate with each other.
[01:46:19.163 --> 01:46:21.485]  And they still, I think they still don't get it.
[01:46:21.485 --> 01:46:21.845]  You're right.
[01:46:22.265 --> 01:46:23.866]  Yeah, I don't think they get it at all.
[01:46:23.866 --> 01:46:29.910]  They're still trying to play the game by the rules that worked at the height of the Cold War, and they don't understand the environment has changed.
[01:46:29.910 --> 01:46:37.354]  And, you know, biologists who study evolution, they say that extinction is what happens when a life form fails to adapt to a changing environment.
[01:46:37.354 --> 01:46:41.917]  And that, I'm seeing a lot of that happening within portions of our government right now.
[01:46:41.917 --> 01:46:46.760]  They're not adapting to the new reality of information flow in the society.
[01:46:46.760 --> 01:46:51.203]  And they're trying to play the game by the rules that used to work, and they don't recognize it's not working anymore.
[01:46:51.866 --> 01:47:04.735]  I'm going to go to some calls here, Mike Rivera, but I first want to get your take on what you think the top stories in 2006 were, what you think the big stories, and I don't mean what the media says are big, but what you think is most important in 2007.
[01:47:04.735 --> 01:47:18.844]  Well, I think obviously going back to 2006, although it's an earlier story, continues to be the lies that led to war, that tricked us into war, and certainly going into 2007, the Bush White House is just going to play the same game again.
[01:47:18.844 --> 01:47:20.605]  They're going to make up a bunch of lies about Iran,
[01:47:21.101 --> 01:47:35.550]  As a justification descending in military force, I am hopeful that the American people in 2007 are going to see the wisdom of the fool me once, shame on you, fool me twice, shame on me statement, which Bush himself seems to mangle so badly.
[01:47:35.550 --> 01:47:39.693]  But are the American people going to sit still for the same hoax all over again?
[01:47:39.693 --> 01:47:40.433]  I don't think so.
[01:47:40.433 --> 01:47:41.814]  I'm sensing a lot of anger out there.
[01:47:43.291 --> 01:47:51.714]  But the wild card is government-sponsored terror, with 84% believing the official story is a lie, 36% believing total inside job on 9-11.
[01:47:51.714 --> 01:47:59.037]  Can the globalists stage more terror, make it convincing enough to rally the people around their faltering policy?
[01:47:59.037 --> 01:48:00.398]  I don't think they could pull it off.
[01:48:00.398 --> 01:48:03.279]  I'm hoping that they recognize that they can't pull it off.
[01:48:03.279 --> 01:48:08.401]  But unfortunately, in times like this, events are under the control of the person who's the least mentally stable.
[01:48:09.003 --> 01:48:15.848]  And there are certainly individuals within both our government and that of Israel who might say, let's give it a try anyway.
[01:48:15.848 --> 01:48:18.849]  We can always bluff our way out of it if it doesn't work.
[01:48:18.849 --> 01:48:22.612]  And it could really blow up in their faces.
[01:48:22.612 --> 01:48:25.174]  So the bravado and the chutzpah factor.
[01:48:25.174 --> 01:48:28.095]  Yeah, and the hubris.
[01:48:28.095 --> 01:48:36.981]  And definitely if you go back and you look through history, some of the worst political disasters of all time have been triggered when a government attempted to pull off one deception too many.
[01:48:36.981 --> 01:48:38.162]  Hitler turning east.
[01:48:39.052 --> 01:48:43.274]  Exactly, and just saying, okay, we don't buy this anymore.
[01:48:43.274 --> 01:48:46.816]  If they go into Iran, that's clearly turning east.
[01:48:46.816 --> 01:48:48.457]  Absolutely, I agree with you.
[01:48:48.457 --> 01:48:58.943]  I cannot understand why Bush and his people think that they have a chance to pull this off without arousing not only the anger of Americans, but response by the rest of the world.
[01:48:58.943 --> 01:49:02.945]  But I'm getting a very strong sense that Bush and his people have isolated themselves.
[01:49:02.945 --> 01:49:06.447]  They've got a bunch of yes-men, layers of yes-men and yes-women around them.
[01:49:06.969 --> 01:49:14.011]  Where Bush may not realize how ugly the mood of the American voters... But obviously Bush was put in there to run with the ball.
[01:49:14.011 --> 01:49:15.652]  He gets the blame if he drops it.
[01:49:15.652 --> 01:49:21.454]  But I mean obviously the big oil companies, the big banks, the Rothschild types, you know, they're going along with all this too.
[01:49:21.454 --> 01:49:27.755]  They may see themselves as not having any more choice because if you get back to the economic roots of all of this... The bubble's about to burst.
[01:49:27.755 --> 01:49:29.156]  They gotta pump it up somehow.
[01:49:29.156 --> 01:49:30.516]  The bubble is about to burst.
[01:49:30.516 --> 01:49:34.357]  The only way they can reverse it is if oil becomes an exported U.S.
[01:49:34.357 --> 01:49:35.878]  product rather than an imported one.
[01:49:36.428 --> 01:49:52.881]  So, what they're doing, going back to an analogy for a card game called hearts, there's a card game called hearts, and there's a tactic in there called shooting the moon, where you deliberately go in the wrong direction, but if you can succeed in going all the way, you can reverse the score of the game and win.
[01:49:52.881 --> 01:49:58.805]  But of course, if you fail to get all the way that opposite direction, you've buried yourself so deeply you can never win again.
[01:49:58.805 --> 01:50:02.048]  And I'm seeing that kind of mechanism at work, where the U.S.
[01:50:02.048 --> 01:50:05.090]  is just trying to find any way that they can grab control of the oil,
[01:50:05.498 --> 01:50:13.465]  Which means not only revenues reversing across the trade deficit, but the means to coerce other governments to back off on U.S.
[01:50:13.465 --> 01:50:21.011]  debt, to keep supporting the trade deficit by stockpiling dollars, to keep using the dollars, the oil currency of choice.
[01:50:21.011 --> 01:50:22.753]  All of these things depend on U.S.
[01:50:22.753 --> 01:50:24.414]  control of the world.
[01:50:24.414 --> 01:50:25.635]  But it's not happening quick enough.
[01:50:25.635 --> 01:50:27.336]  The dollar's continuing its slide.
[01:50:27.336 --> 01:50:29.298]  No, it isn't happening quick enough.
[01:50:29.298 --> 01:50:30.139]  It's not succeeding.
[01:50:30.695 --> 01:50:38.519]  Unfortunately, that is going to make the people who are dependent upon this success that much more desperate, and desperate people do desperately stupid things.
[01:50:38.519 --> 01:50:39.719]  Mike Rivero, I totally agree.
[01:50:39.719 --> 01:50:42.681]  We're going to come back and go to Jenna, KC, and others.
[01:50:42.681 --> 01:50:50.224]  We'll also get an update from Kevin as we start the next hour in about 10 minutes from the FEMA camp up in Taylor.
[01:50:51.070 --> 01:50:52.430]  Texas, just north of Austin.
[01:50:52.430 --> 01:50:57.531]  Kevin Smith, my radio producer, and Aaron Dykes, webmaster and cameraman.
[01:50:57.531 --> 01:50:59.312]  We all wear many hats here.
[01:50:59.312 --> 01:51:01.812]  Up there, Counterpunch reported there'd be a protest there today.
[01:51:01.812 --> 01:51:03.933]  There's been two others that have been in the paper.
[01:51:03.933 --> 01:51:04.913]  Counterpunch was wrong.
[01:51:04.913 --> 01:51:06.173]  No one was there.
[01:51:06.173 --> 01:51:07.414]  We are there.
[01:51:07.414 --> 01:51:14.015]  We're asking you to go up there just as, basically, as observers to observe what's happening.
[01:51:14.636 --> 01:51:19.382]  And to witness what's happening up there at the railway leading to the admitted FEMA camp.
[01:51:19.382 --> 01:51:24.710]  It is a processing relocation center by its actual name.
[01:51:24.710 --> 01:51:28.074]  Infowars.com, prisonplanted.com are my websites.
[01:51:28.074 --> 01:51:30.017]  WhatReallyHappened.com is our guest site.
[01:51:37.006 --> 01:51:42.815]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:51:42.815 --> 01:51:50.466]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:51:51.147 --> 01:51:58.610]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:51:58.610 --> 01:52:10.335]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:52:10.335 --> 01:52:14.297]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:52:14.297 --> 01:52:16.558]  It's an anthology of government crimes.
[01:52:16.558 --> 01:52:20.400]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:52:20.999 --> 01:52:28.449]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:52:34.105 --> 01:52:42.631]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[01:52:42.631 --> 01:52:52.679]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[01:52:53.159 --> 01:52:59.222]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[01:52:59.222 --> 01:53:03.884]  Find out everything from where to get water in an emergency to geographic income levels.
[01:53:03.884 --> 01:53:10.127]  Housing prices, complete with over 3 gigabytes of detailed information on the 3,000 plus counties in the U.S.
[01:53:10.127 --> 01:53:16.870]  Full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[01:53:16.870 --> 01:53:22.013]  Order Prudent Places USA now for only $29, plus shipping by calling New Millennium
[01:53:22.233 --> 01:53:25.218]  Call us at 888-803-4438 and tell them Alex Jones sent you.
[01:53:25.218 --> 01:53:27.782]  That's 888-803-4438 or order online at Berkeywater.com.
[01:53:33.659 --> 01:53:42.044]  For years you've been hearing about Herbal Healer Academy and how it's remained the leader in effective alternative and natural medicine and education.
[01:53:42.044 --> 01:53:45.587]  But how can they continue to hold that title for years on end?
[01:53:45.587 --> 01:53:49.029]  The answer is high quality and huge selection.
[01:53:49.029 --> 01:53:54.272]  Just visit HerbalHealer.com and shop online or request a free catalog.
[01:53:54.272 --> 01:53:56.614]  You're bound to find the alternative you're looking for.
[01:53:57.354 --> 01:54:02.539]  Did you know that Herbal Healer carries the latest, safest and effective weight loss products?
[01:54:02.539 --> 01:54:08.744]  You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children.
[01:54:08.744 --> 01:54:10.346]  And don't forget your pets.
[01:54:10.346 --> 01:54:16.491]  Herbal Healer even has natural mineral supplements for all your animals, including horses, cows and birds.
[01:54:16.491 --> 01:54:22.877]  Take a peek at their online calendar and you're sure to find everything you need and maybe something you didn't realize you needed.
[01:54:23.357 --> 01:54:28.761]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter.
[01:54:28.761 --> 01:54:32.124]  HerbalHealer.com, working with the power of nature.
[01:54:37.520 --> 01:54:39.343]  Attention, attention, attention.
[01:54:39.343 --> 01:54:41.686]  American forces are here to help.
[01:54:41.686 --> 01:54:43.148]  Remain calm.
[01:54:43.148 --> 01:54:47.454]  We will not tolerate civil disobedience.
[01:54:47.454 --> 01:54:50.017]  Attention, attention, attention.
[01:54:50.017 --> 01:54:52.281]  American forces are here to help.
[01:54:52.281 --> 01:54:53.122]  Please remain calm.
[01:54:57.585 --> 01:55:18.999]  I've made two documentary films about the police state and been to dozens of these military training operations where they hire hundreds of role players to beg and scream, we're Americans, please don't put us in camps, don't take our guns.
[01:55:18.999 --> 01:55:19.599]  Welcome back.
[01:55:21.688 --> 01:55:23.491]  I have, uh, that's from Police State 2000.
[01:55:23.491 --> 01:55:25.435]  We just grabbed that off the web.
[01:55:25.435 --> 01:55:30.283]  Do you want to do a search on YouTube, uh, for...
[01:55:33.030 --> 01:55:39.332]  FEMA hearings or something like it'll pop my head a keyword to search for it.
[01:55:39.332 --> 01:55:41.113]  Folks, you need to get my Police State Trilogy.
[01:55:41.113 --> 01:55:41.953]  It has it all.
[01:55:41.953 --> 01:55:42.914]  Kevin Smith is up there.
[01:55:42.914 --> 01:55:43.934]  I just talked to him during the break.
[01:55:43.934 --> 01:55:44.974]  They're going back to the front.
[01:55:44.974 --> 01:55:47.455]  Looks like some folks may have showed up in support.
[01:55:47.455 --> 01:55:49.576]  Other people need to go out there to the FEMA camp.
[01:55:49.576 --> 01:55:51.117]  Get past your fear.
[01:55:51.117 --> 01:55:53.137]  Go out there just as observers.
[01:55:53.137 --> 01:55:53.838]  They're in Taylor.
[01:55:53.838 --> 01:55:57.479]  If you just get to downtown Taylor, you can ask where's the camp and they'll direct you to it.
[01:55:58.517 --> 01:56:00.479]  They're going to be there until the end of the next hour.
[01:56:00.479 --> 01:56:01.740]  We'll give you a report.
[01:56:01.740 --> 01:56:07.084]  Mike Rivera, I'd ask her to stay five minutes with me until the next hour so we have time to take calls.
[01:56:07.084 --> 01:56:11.567]  Let's go ahead and talk to Jenna in Ontario, Canada.
[01:56:11.567 --> 01:56:12.348]  You're on the air.
[01:56:12.348 --> 01:56:12.868]  Go ahead.
[01:56:12.868 --> 01:56:14.229]  Hi Alex.
[01:56:14.229 --> 01:56:20.814]  I called in a couple weeks ago and we were talking about the police state in Canada and how brutal it was.
[01:56:20.814 --> 01:56:23.136]  I think the very next day it could have been.
[01:56:23.136 --> 01:56:27.559]  I heard that they're starting to do, I'm not sure if they started or if they're trying
[01:56:27.915 --> 01:56:31.336]  But they're trying to do these random search warrants.
[01:56:31.336 --> 01:56:34.257]  Like, you go on a list, I believe.
[01:56:34.257 --> 01:56:39.538]  Like, say I had a friend who bought some pot off somebody and he was on that list.
[01:56:39.538 --> 01:56:41.518]  Both of us are on that list now.
[01:56:41.518 --> 01:56:45.099]  And they can basically come to my door with a warrant and search my home.
[01:56:45.099 --> 01:56:45.619]  Yeah, that's right.
[01:56:45.619 --> 01:56:46.740]  They're trying that in the U.S.
[01:56:46.740 --> 01:56:47.160]  too.
[01:56:47.160 --> 01:56:54.321]  It's a list of suspicion because you, it shows, have a social network with someone else who got in trouble.
[01:56:54.321 --> 01:56:55.702]  Now they're going to come after you.
[01:56:55.702 --> 01:56:56.242]  Mike Rivera?
[01:56:57.535 --> 01:57:13.882]  Well, unfortunately, it's guilt by association, and part of it is to simply convince people to stay isolated, because isolated people are easier to lie to, because they're not talking to anybody, and it's not really... Yeah, that's why they're announcing the NSA spying on everything.
[01:57:13.882 --> 01:57:16.403]  It's an attempt at chilling.
[01:57:16.403 --> 01:57:17.103]  Exactly right.
[01:57:17.103 --> 01:57:18.984]  And the idea has got nothing to do with pot-selling.
[01:57:18.984 --> 01:57:24.126]  What it is is they want people to not talk to people like, frankly, Alex and myself,
[01:57:24.545 --> 01:57:27.706]  Because we're saying things the government does not want to get out.
[01:57:27.706 --> 01:57:29.487]  They can't stop it on the internet.
[01:57:29.487 --> 01:57:32.528]  They're trying to at least stop it among the population.
[01:57:32.528 --> 01:57:34.709]  But all they're doing is validating us!
[01:57:34.709 --> 01:57:40.471]  All they're doing is... Americans aren't as cowardly, Canadians aren't as cowardly as they thought!
[01:57:40.471 --> 01:57:50.255]  Yeah, it is an act of desperation, and it goes back to that saying that we have that the fastest way to end a dictatorship is to make it act like one where everybody can see it, and that's exactly what they're doing now.
[01:57:52.017 --> 01:57:53.178]  Anything else, Jenna?
[01:57:53.178 --> 01:57:53.799]  No, that's it.
[01:57:53.799 --> 01:57:56.901]  I just thought that was really brutal and worth telling you about.
[01:57:56.901 --> 01:57:58.503]  I did see that.
[01:57:58.503 --> 01:58:07.211]  They also have the Texas State Police in Canada in two provinces teaching your mounted police how to run a checkpoint without warrants.
[01:58:07.211 --> 01:58:08.492]  I mean, how embarrassing.
[01:58:09.184 --> 01:58:11.747]  Yeah, that was in the Associated Press and Washington Post.
[01:58:11.747 --> 01:58:13.588]  Did you see that, Mike, where they're doing that?
[01:58:13.588 --> 01:58:16.431]  Yes, I did, and it is amazing.
[01:58:16.431 --> 01:58:19.514]  It's big business to teach how to get around the civil liberties problem.
