[00:00:00.069 --> 00:00:00.429]  Five.
[00:47:49.657 --> 00:47:51.078]  There's so much evidence, it's insane.
[00:47:51.378 --> 00:47:52.118]  Like everything else.
[00:47:52.658 --> 00:47:58.381]  With this one, you had a shooting there last year with weird special forces connections out of Afghanistan.
[00:47:58.701 --> 00:48:00.962]  Then they had drills there the week before.
[00:48:01.022 --> 00:48:02.703]  Put in loudspeakers for mass shootings.
[00:48:02.763 --> 00:48:04.684]  It's an activist anti-gun school.
[00:48:05.565 --> 00:48:10.187]  Then, for almost two hours after there's been a shooting, they order everybody to be quiet.
[00:48:10.447 --> 00:48:11.868]  They don't warn anybody till...
[00:48:12.814 --> 00:48:18.856]  Almost 10 o'clock, while the shooting continues, and the feds ordered the local police to stand down as usual.
[00:48:19.176 --> 00:48:25.878]  I mean, that right there is the government not letting the people protect themselves, can't have a gun on campus, and then the cops waiting for hours.
[00:48:26.178 --> 00:48:28.399]  Back in 63, that didn't happen at UT.
[00:48:28.619 --> 00:48:31.119]  We had real police then, we had real citizens.
[00:48:31.139 --> 00:48:32.820]  I mean, can you imagine if
[00:48:33.360 --> 00:48:36.201]  Citizens would have started pulling up with guns and shooting back at him.
[00:48:36.461 --> 00:48:38.042]  The cops would have gunned us down in a minute.
[00:48:38.262 --> 00:48:39.522]  But not back in the 60s.
[00:48:39.582 --> 00:48:40.723]  It was, get up here and help us!
[00:48:40.943 --> 00:48:43.964]  And the citizens pinned him down so he couldn't kill more people.
[00:48:44.144 --> 00:48:47.305]  So the police, with his citizen, could get up there and kill that guy.
[00:48:47.345 --> 00:48:50.386]  I've interviewed, by the way, Ray Martinez, one of the shooters that took him out.
[00:48:50.406 --> 00:48:50.827]  Go ahead.
[00:48:51.427 --> 00:48:54.408]  Yeah, I mean, in this country they're actually trying to outlaw heroes.
[00:48:54.807 --> 00:48:56.550]  It's all vigilantes, how dare you take one?
[00:48:56.570 --> 00:48:58.794]  You've got to be trained to call a ninny.
[00:48:59.114 --> 00:49:01.278]  Your wife's being raped, you sit there like a coward.
[00:49:02.200 --> 00:49:03.862]  Like, who's the beetle who just died?
[00:49:03.903 --> 00:49:04.443]  He did that.
[00:49:04.784 --> 00:49:07.208]  You're supposed to sit there and cower, and then call the cops.
[00:49:07.228 --> 00:49:08.831]  You take an average of 18 minutes to arrive.
[00:49:09.577 --> 00:49:10.218]  Well, that's it.
[00:49:10.258 --> 00:49:11.179]  You know, they've trained us.
[00:49:11.379 --> 00:49:14.922]  They have literally tried their best to train us into trusting the system.
[00:49:14.982 --> 00:49:16.504]  And they've turned the cops into cowards.
[00:49:16.564 --> 00:49:19.126]  Cops 20 years ago wouldn't have followed orders to stand down.
[00:49:19.527 --> 00:49:21.609]  You couldn't have held them back from running into that building.
[00:49:21.769 --> 00:49:22.109]  Well, that's it.
[00:49:22.149 --> 00:49:23.531]  And you know what's funny about it, Alex?
[00:49:23.651 --> 00:49:31.438]  Is that any cop, like the few in this situation, that decided against their will to follow these orders now know the difference.
[00:49:31.579 --> 00:49:34.021]  And it seems like that's the only way a cop figures it out.
[00:49:35.091 --> 00:49:36.552]  Or if they have a good friend or a partner.
[00:49:36.572 --> 00:49:36.892]  I agree.
[00:49:36.952 --> 00:49:44.035]  Matt Kazee, a Virginia Tech student, lives right there on the campus, literally a block away from where the shootings took place.
[00:49:45.235 --> 00:49:49.957]  Any other facets of why you and many others at the school believe it's some type of inside job?
[00:49:50.237 --> 00:49:54.339]  Well, you know, I did an interview with Larry Pratt the other day, and I wanted to thank you for that.
[00:49:54.719 --> 00:50:01.942]  And we were talking about things, and I said, you know, we're really not going to know until the Freedom of Information Act requests go through and we find out all the details.
[00:50:02.304 --> 00:50:03.025]  And then they sealed it.
[00:50:03.045 --> 00:50:04.087]  They just sealed all the Columbine info.
[00:50:04.107 --> 00:50:05.188]  Good to hear from you my friend.
[00:50:05.289 --> 00:50:05.549]  Anything else?
[00:50:16.485 --> 00:50:17.726]  That they're trying to save these guys.
[00:50:17.766 --> 00:50:20.687]  And you read the comments and they're all like, oh, Steger's a hero!
[00:50:21.067 --> 00:50:21.607]  And all this stuff.
[00:50:21.627 --> 00:50:22.028]  Now they've got $40,000.
[00:50:22.108 --> 00:50:23.889]  Pretty soon it'll be like Giuliani.
[00:50:23.929 --> 00:50:28.951]  I mean, even if you don't think 9-11's an inside job, the government did a horrible job letting it happen standing down.
[00:50:28.991 --> 00:50:31.392]  Instead, Giuliani's a hero!
[00:50:31.712 --> 00:50:34.814]  And now the Virginia Tech guy, he's a hero too!
[00:50:35.094 --> 00:50:37.235]  Is there any way that we can get a petition started
[00:50:37.575 --> 00:50:40.616]  To find out who made that decision and to get them fired.
[00:50:40.636 --> 00:50:43.097]  I mean, do you have any advice for me as far as looking into that?
[00:50:43.157 --> 00:50:46.438]  Look, just, you know, they've got the online petitions and the sites and the systems.
[00:50:46.458 --> 00:50:47.118]  That's what they're telling me.
[00:50:47.258 --> 00:50:48.258]  Yeah, you start it up.
[00:50:48.298 --> 00:50:49.199]  I'll have you on as a guest.
[00:50:49.239 --> 00:50:50.299]  We'll launch it and promote it.
[00:50:50.579 --> 00:50:50.819]  All right.
[00:50:50.839 --> 00:50:52.080]  Thanks again, Alex, for everything.
[00:50:52.140 --> 00:50:52.500]  You bet.
[00:50:52.560 --> 00:50:54.820]  Oh, now, by the time they're done, this guy will end up being the U.S.
[00:50:54.860 --> 00:51:00.082]  President for his heroic actions at Virginia Tech, ordering a stand down for over three hours.
[00:51:00.626 --> 00:51:04.248]  He will now be replacing Jesus at the head of the church.
[00:51:04.808 --> 00:51:10.571]  All worship the Dean of Virginia Tech, the school president, and the police chief.
[00:51:10.891 --> 00:51:11.892]  Brave men.
[00:51:12.272 --> 00:51:24.799]  I watched a video of these huge, and I'm not knocking fat people, I mean I got a little bit of a belly on me, but I mean these big fat waddling cops jiggling and running and hiding and for like hours playing with their gear and they got scared looks on their faces.
[00:51:25.639 --> 00:51:27.340]  I mean I'm not even saying I'm a tough guy but
[00:51:28.593 --> 00:51:30.414]  Frankly, I've taken guns away from a few people.
[00:51:30.434 --> 00:51:32.116]  I grew up rough in Dallas.
[00:51:32.136 --> 00:51:32.676]  I don't know why.
[00:51:32.696 --> 00:51:34.117]  I had a pretty good family.
[00:51:34.958 --> 00:51:36.058]  I just don't understand this.
[00:51:37.099 --> 00:51:39.821]  You couldn't keep police 20, 30 years ago from charging in there.
[00:51:40.341 --> 00:51:44.144]  But, to be a cop nowadays, I guess the ones that aren't castrated get kicked out.
[00:51:44.744 --> 00:51:46.446]  We'll be right back, ladies and gentlemen.
[00:51:46.646 --> 00:51:48.287]  Stay with us, second hour straight ahead.
[00:51:51.127 --> 00:51:52.348]  Hi, this is Ted Anderson.
[00:51:52.448 --> 00:51:57.271]  Over the years, Genesis Communications Network has grown by leaps and bounds, reaching millions of listeners.
[00:51:57.371 --> 00:52:00.253]  The impact on political and social issues have been enormous.
[00:52:00.393 --> 00:52:04.415]  Businesses associated with the network have grown to become valuable enterprises.
[00:52:04.735 --> 00:52:10.739]  If you are accredited and have an entrepreneurial spirit, national radio may be the opportunity you're looking for.
[00:52:10.919 --> 00:52:12.500]  Call me today at 877-996-4327, extension 101.
[00:52:12.560 --> 00:52:14.901]  For more information, that's 877-996-4327, extension 101.
[00:52:22.406 --> 00:52:23.427]  Looking for profit?
[00:52:23.487 --> 00:52:24.888]  Looking for safety and security?
[00:52:25.208 --> 00:52:28.430]  The $10 Olympic Commemorative Gold Coin offers both.
[00:52:28.470 --> 00:52:36.054]  This low-mintage collector coin, with a total series mintage under $600,000, has sold at four times its current price.
[00:52:36.094 --> 00:52:39.817]  Falling dollar values and inflation make this likely to happen again.
[00:52:39.857 --> 00:52:41.378]  Secure your position today.
[00:52:41.678 --> 00:52:42.919]  Call Midas Resources at 1-800-686-2237.
[00:52:42.939 --> 00:52:43.199]  That's 1-800-686-2237.
[00:52:51.334 --> 00:52:51.974]  Summarize it!
[00:52:56.677 --> 00:53:04.482]  Prepare yourself for a talk radio that compares your experience like no other.
[00:53:04.782 --> 00:53:08.084]  He stands for truth.
[00:53:09.525 --> 00:53:11.346]  He stands for justice.
[00:53:12.727 --> 00:53:15.109]  He stands for what's right.
[00:53:15.189 --> 00:53:17.490]  This is the Alex Jones Show.
[00:53:18.471 --> 00:53:20.292]  Call Alex now, toll free.
[00:53:21.147 --> 00:53:21.247]  At 877-590-5525.
[00:53:21.267 --> 00:53:23.067]  Now live from Austin, Texas, here's Alex Jones.
[00:53:23.087 --> 00:53:25.008]  Alright, in the 220-something years of U.S.
[00:53:25.028 --> 00:53:35.610]  history, up until about 5-6 years ago, the country's 234 years old, so really in about the last 227 years.
[00:53:50.666 --> 00:53:51.907]  No one needed a permit.
[00:53:51.967 --> 00:53:54.588]  No one needed to get permission to protest or demonstrate.
[00:53:55.229 --> 00:53:56.550]  But then they snuck it in.
[00:53:57.430 --> 00:54:03.994]  They said, oh, if you're going to block the street, you need a permit for a march or a parade.
[00:54:04.014 --> 00:54:05.575]  Well, that's totally reasonable.
[00:54:06.515 --> 00:54:07.716]  But then they said, oh, guess what?
[00:54:07.756 --> 00:54:08.977]  You need it to be anywhere.
[00:54:09.417 --> 00:54:12.079]  So it isn't even really a law, but the police don't know that.
[00:54:12.099 --> 00:54:13.259]  They just march out and arrest you.
[00:54:13.279 --> 00:54:14.720]  Remember in 2000,
[00:54:16.849 --> 00:54:22.934]  What was it, like 14 lawsuits were lost by the state of Texas by the Capitol Police.
[00:54:24.115 --> 00:54:35.104]  If you protest anywhere around the Capitol, even off Capitol grounds, or anywhere around the Governor's mansion, the big lawsuit they lost was there was a handicapped rights group in their wheelchairs out there.
[00:54:35.124 --> 00:54:37.266]  They just said, no, you can't be on the sidewalk.
[00:54:38.149 --> 00:54:41.510]  And they arrested a bunch of them and the state lost a hundred grand apiece on that.
[00:54:41.790 --> 00:54:43.031]  Because it is still America.
[00:54:43.071 --> 00:54:56.115]  I mean, I know the government and the corporations that have bought out this country and devalued the dollar and the rest of it want us to be their slaves and want to get it in position so that when the public finds out about how we've been economically brought down by design, folks are going to riot.
[00:54:56.175 --> 00:55:02.997]  I know you've geared up for it and issued all your little riot gear and your training to all your goons, but it isn't going to work, okay?
[00:55:04.870 --> 00:55:07.797]  And all over the nation, especially New York City, it's the worst.
[00:55:07.817 --> 00:55:12.026]  They've even had like the CIA spying on bicycling rights groups.
[00:55:12.066 --> 00:55:12.948]  That's come out in the news.
[00:55:14.429 --> 00:55:21.051]  And I've been up in New York quite a bit, covering 9-11 in the last five years, and I've been there and have cops walk right up and say, we're going to arrest you.
[00:55:21.071 --> 00:55:24.252]  You're not allowed to interview anybody on the streets of New York without a permit.
[00:55:24.752 --> 00:55:30.754]  And I say, go ahead and arrest me, and I will sue you, and you can tell by the way I'm talking to you, and I'm going to sue you.
[00:55:31.174 --> 00:55:34.035]  And you may even beat that suit, but I know how to sue you personally.
[00:55:34.555 --> 00:55:35.635]  This is all on tape, by the way.
[00:55:35.675 --> 00:55:36.335]  Many people have seen it.
[00:55:36.375 --> 00:55:36.975]  I put it out there.
[00:55:37.596 --> 00:55:38.836]  I'm going to end up owning you.
[00:55:39.565 --> 00:55:41.548]  Stop trying to vi... and what's your problem?
[00:55:41.748 --> 00:55:46.454]  Why are you showing dis... You're disrespecting me in my face in America.
[00:55:46.695 --> 00:55:50.560]  When my grandfathers fought for this country and when their fathers fought for this country.
[00:55:50.780 --> 00:55:52.623]  This is my country scumbag!
[00:55:53.003 --> 00:55:54.145]  Now get out of my face!
[00:55:55.474 --> 00:55:58.115]  Oh, what you doing talking bad to me?
[00:55:58.355 --> 00:56:00.857]  Why does nobody appreciate us?
[00:56:01.257 --> 00:56:12.642]  I mean, that's the attitude across this nation, that we're here to serve the government, we're here to suck your boots, lick your boots, clean your house, you know, pay your salaries, and listen, I have nothing against police.
[00:56:13.142 --> 00:56:20.185]  They watch the TV shows showing they're supposed to torture people and frame people, and that's what good guys do, and they're weak-minded like everybody else, they just go along with it.
[00:56:21.278 --> 00:56:28.604]  It's the private corporations that have bought up the government, and literally expand the size of government every day just to get more corporate welfare.
[00:56:28.985 --> 00:56:30.006]  That's the problem.
[00:56:30.506 --> 00:56:34.450]  And I want police to know that I'm their friend, but I'm tired of Austin police.
[00:56:34.470 --> 00:56:40.034]  When I'm a hundred feet away videotaping a checkpoint, marching up and saying, turn the camera off, until I go, no.
[00:56:40.555 --> 00:56:41.255]  I'm going to arrest you.
[00:56:41.275 --> 00:56:41.736]  Go ahead.
[00:56:42.416 --> 00:56:42.997]  First Amendment.
[00:56:43.962 --> 00:56:46.163]  I mean, I don't like having to stand up to you.
[00:56:46.503 --> 00:56:48.503]  And I've seen people who let the bullying work.
[00:56:49.224 --> 00:56:50.684]  It's all like dog psychology.
[00:56:50.704 --> 00:56:54.365]  If you kind of cower and get on your back and show your belly, they might even squirt on you.
[00:56:54.385 --> 00:56:54.785]  You know what I mean?
[00:56:54.805 --> 00:56:55.485]  Like a dog does.
[00:56:55.505 --> 00:56:57.066]  Just kind of raise a leg and psst.
[00:56:57.126 --> 00:56:57.626]  Oh, there you go.
[00:56:57.866 --> 00:56:58.566]  There you go.
[00:56:58.586 --> 00:57:00.547]  That's where you need to be.
[00:57:00.967 --> 00:57:01.607]  Down there.
[00:57:01.667 --> 00:57:03.408]  Take it.
[00:57:03.828 --> 00:57:07.309]  Let me tell you, the public's here so my ego feels good.
[00:57:07.869 --> 00:57:11.910]  I was a bully in school, and now I'm a bully in the uniform.
[00:57:12.341 --> 00:57:14.963]  And everybody's gonna get used to it, alright?
[00:57:15.464 --> 00:57:16.745]  Alright, I gotta quit doing that voice.
[00:57:17.205 --> 00:57:18.226]  I'm just tired of it.
[00:57:18.286 --> 00:57:19.026]  Leave me alone!
[00:57:19.967 --> 00:57:20.768]  Leave me alone!
[00:57:20.908 --> 00:57:21.448]  Stop it!
[00:57:23.050 --> 00:57:37.501]  God Almighty, if the cops knew they're giving their kids Aspartame, Diet Coke, they're taking thimerosal mercury-filled shots, they're drinking the same poison, they're having their dollar debased, they're being screwed just the same way, I'm your friend.
[00:57:37.801 --> 00:57:40.143]  But I'm not gonna sit here and feed you a line of bull.
[00:57:40.223 --> 00:57:40.844]  I don't do that.
[00:57:42.600 --> 00:57:43.541]  Now, I've seen a lot.
[00:57:44.081 --> 00:58:03.916]  In my film Road to Tyranny, and by the way, in the story we wrote, New York Police Report Bomb to Frame Activists as Terrorists, that Aaron Dykes and I put together, we have some past things, like Abby Newman, naval veteran, no criminal record, farm wife, going into town to get canning supplies, and she's driving back in, we're going to play this audio coming up, we're going to play the new stuff,
[00:58:04.634 --> 00:58:06.796]  And she comes to a big checkpoint in the middle of nowhere.
[00:58:06.856 --> 00:58:07.416]  State Police.
[00:58:07.756 --> 00:58:08.357]  They walk over.
[00:58:08.377 --> 00:58:09.317]  They want to search her car.
[00:58:09.357 --> 00:58:10.098]  They want her info.
[00:58:10.118 --> 00:58:11.359]  And she says, You know what?
[00:58:11.379 --> 00:58:11.959]  This is America.
[00:58:11.999 --> 00:58:13.160]  You don't have any probable cause.
[00:58:13.300 --> 00:58:13.540]  No.
[00:58:14.160 --> 00:58:15.301]  So they jerk her out of the car.
[00:58:15.341 --> 00:58:15.982]  She doesn't resist.
[00:58:16.022 --> 00:58:17.242]  It's all in her squad car video.
[00:58:17.723 --> 00:58:20.204]  They charge her with resisting, you know, because we're not human beings.
[00:58:20.244 --> 00:58:23.186]  Like psychopaths don't know a child they kidnap is a human being.
[00:58:23.206 --> 00:58:25.448]  You have to talk to them like, Hey, that's a child.
[00:58:25.748 --> 00:58:27.609]  Her name's Becky Johnson.
[00:58:28.830 --> 00:58:29.570]  Jane Doe.
[00:58:29.911 --> 00:58:30.691]  She's real.
[00:58:30.791 --> 00:58:31.732]  She has a life.
[00:58:32.572 --> 00:58:33.532]  Don't do this.
[00:58:33.632 --> 00:58:34.293]  It's wrong.
[00:58:34.773 --> 00:58:36.333]  Well, I'm doing that to the cops now, the government.
[00:58:36.913 --> 00:58:39.194]  Listen, we're not all Al-Qaeda, okay?
[00:58:39.874 --> 00:58:42.815]  You're being controlled by corrupt corporations that have bought off the country.
[00:58:44.275 --> 00:58:54.878]  And they pull out a pocket Constitution in her trunk, they find a Patriot Games video with Harrison Ford, I guess he's a terrorist now, they find my film, Police State 2000, and they start going, Oh, let me see.
[00:58:54.898 --> 00:58:56.679]  Is this illegal?
[00:58:56.759 --> 00:58:59.219]  And one of them's going, It may be illegal.
[00:58:59.459 --> 00:59:01.780]  And the other state police officer in rock mount
[00:59:03.514 --> 00:59:07.296]  Virginia goes, no, she may be allowed to have that.
[00:59:08.216 --> 00:59:09.677]  That's a pocket constitution.
[00:59:09.957 --> 00:59:13.098]  You see them, they're in front of the squad car, and they think it's all normal.
[00:59:13.118 --> 00:59:14.059]  They're doing this on video.
[00:59:14.519 --> 00:59:16.500]  I wonder if this here is illegal.
[00:59:18.160 --> 00:59:19.441]  Ah, gee, I don't know.
[00:59:19.481 --> 00:59:23.203]  And then they go, man, she's into all this weird freedom stuff.
[00:59:23.243 --> 00:59:24.283]  You've got to hear the video.
[00:59:24.323 --> 00:59:26.464]  Well, see, right before that, I have FEMA.
[00:59:27.407 --> 00:59:36.715]  In Kansas City, in front of firefighters and police and sheriff deputies, a firefighter shot this in horror because I've been on the air in Kansas City now for nine years.
[00:59:36.795 --> 00:59:37.735]  Great affiliate up there, KCXL.
[00:59:39.392 --> 00:59:40.633]  And a great affiliate.
[00:59:40.673 --> 00:59:42.714]  But the point is, he's got a camera.
[00:59:42.734 --> 00:59:43.594]  He's videotaping it.
[00:59:43.995 --> 00:59:48.817]  And there's this special forces op guy for FEMA going, all Christians are terrorists.
[00:59:49.297 --> 00:59:50.298]  Folks, you've got to see the video.
[00:59:50.498 --> 00:59:51.999]  The founding fathers are terrorists.
[00:59:52.219 --> 00:59:53.200]  Then we show the manual.
[00:59:53.260 --> 00:59:55.061]  It says gun owners, constitutionalists.
[00:59:55.521 --> 00:59:57.322]  By the way, you think this just started under Clinton?
[00:59:57.362 --> 00:59:58.943]  It's gotten worse since Bush got in.
[00:59:59.523 --> 01:00:01.344]  Okay, I've got all this stuff on my website.
[01:00:02.325 --> 01:00:03.285]  And so all this happens.
[01:00:03.305 --> 01:00:04.886]  I mean, I've got hundreds of examples of this.
[01:00:05.684 --> 01:00:14.939]  uh... the city attorney in upstate new york is wearing a peace on earth shirt and the security guard thinks it's an anti-war shirt so they have him arrested that was a big mistake
[01:00:18.024 --> 01:00:30.855]  I'm sure you've heard the stories of 500 Bush supporters standing on a street corner in Kentucky and one guy's got a no blood for oil sign so they arrest him and he gets two years in federal prison because they said no you're not allowed to it's a free speech zone.
[01:00:30.895 --> 01:00:33.257]  We say who and how and it's all selective.
[01:00:33.577 --> 01:00:37.380]  I interviewed another guy out of Nashville, Tennessee who by the way was a Bush supporter.
[01:00:38.021 --> 01:00:39.923]  Vietnam veteran, big conservative guy.
[01:00:39.943 --> 01:00:41.044]  It was about two years ago.
[01:00:41.464 --> 01:00:42.525]  Bush was coming to town
[01:00:44.063 --> 01:00:45.645]  No, it was more than that.
[01:00:45.725 --> 01:00:46.165]  It was 2004.
[01:00:46.546 --> 01:00:47.126]  Time has just flown.
[01:00:47.186 --> 01:00:59.457]  So three years ago, during the campaign, it made big news, and the FBI came into his office and said, we're just letting everybody know, no anti-Bush signs in the windows.
[01:01:00.078 --> 01:01:01.259]  And he said, well, what do you mean?
[01:01:01.279 --> 01:01:03.141]  It was a big coffee shop right by the federal building.
[01:01:03.161 --> 01:01:05.343]  And he goes, well, number one, I'm a Bush supporter.
[01:01:06.115 --> 01:01:07.235]  Do you see my car out there?
[01:01:07.275 --> 01:01:09.756]  It's got George Bush, you know, 04 on it.
[01:01:10.097 --> 01:01:10.737]  Bush-Shaney.
[01:01:10.797 --> 01:01:12.217]  But this is America.
[01:01:12.297 --> 01:01:13.998]  I fought in Vietnam for free speech.
[01:01:14.078 --> 01:01:15.399]  I'll put whatever I want in the window.
[01:01:15.779 --> 01:01:17.580]  And they said, no you won't or you'll be arrested.
[01:01:17.880 --> 01:01:21.061]  So he went from store to store and found out they told everybody.
[01:01:21.301 --> 01:01:22.541]  And this came out in the newspaper.
[01:01:23.902 --> 01:01:24.762]  And that was it.
[01:01:24.822 --> 01:01:27.203]  He put a big sign up against Bush in the window.
[01:01:29.728 --> 01:01:34.230]  I mean, this is not America, ladies and gentlemen, and it's only going to get worse once Hillary's in.
[01:01:34.270 --> 01:01:36.291]  This is their enchilada.
[01:01:36.311 --> 01:01:37.731]  They're all into free speech attacks.
[01:01:37.751 --> 01:01:40.593]  It doesn't matter who's in office, it's the New World Order agenda.
[01:01:40.953 --> 01:01:42.794]  So when we get back, I'm going to play this audio.
[01:01:43.614 --> 01:01:45.195]  Now, the video's ten times more powerful.
[01:01:45.555 --> 01:01:46.975]  Again, it's up on PrisonPlanet.com.
[01:01:46.995 --> 01:01:53.418]  The easiest place to find it is JonesReport.com, because it's still on the main page from Friday.
[01:01:53.518 --> 01:01:58.020]  Prison Planet, it's updated three times a day, but on Jones Report, it's right up on the main page.
[01:01:58.661 --> 01:02:02.722]  Headline, New York Police Report Bomb to Frame Activist as Terrorist.
[01:02:03.182 --> 01:02:10.065]  And why this is important is, Luke Radowsky is a reporter, he's been a reporter for at least two months, I've known him for two years.
[01:02:11.485 --> 01:02:14.346]  One of the head guys in 9-11 Truth in New York, he's 21 years old.
[01:02:15.046 --> 01:02:18.147]  Luke Radowsky, you know what, I'll tell you the story when we get back.
[01:02:18.467 --> 01:02:23.489]  We'll go to your calls, then we'll go to Ross, TJ, Phil, many others on the other side.
[01:02:24.500 --> 01:02:40.128]  And I just hope that you will go look at this, because when the police on video start saying, we're going to frame you, and I know you're innocent, but we're going to frame you if you don't leave, then you know America is in deep trouble.
[01:02:40.409 --> 01:02:43.650]  I mean, that's like, it's just unspeakable.
[01:02:43.810 --> 01:02:44.431]  We'll be right back.
[01:02:44.451 --> 01:02:44.851]  Stay with us.
[01:02:55.629 --> 01:03:01.095]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:03:01.456 --> 01:03:09.104]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:03:09.784 --> 01:03:16.826]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:03:17.227 --> 01:03:28.650]  Terror Storm chronicles the lies that took us to war in Iraq, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:03:28.970 --> 01:03:32.472]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:03:32.932 --> 01:03:34.872]  It's an anthology of government crimes.
[01:03:35.193 --> 01:03:39.034]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:03:39.634 --> 01:03:46.628]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:03:52.788 --> 01:03:54.728]  Hi, John Heumann from Midas Resources.
[01:03:54.989 --> 01:03:57.629]  Are you tired of watching your hard-earned assets dwindle away?
[01:03:57.929 --> 01:04:06.231]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[01:04:06.531 --> 01:04:09.352]  Is this market a setup for a crash greater than 1987?
[01:04:10.192 --> 01:04:13.412]  Too many of today's policies resemble those that led to the collapse of 1929.
[01:04:14.733 --> 01:04:16.313]  How much are you willing to lose?
[01:04:16.713 --> 01:04:17.634]  Take action now!
[01:04:17.774 --> 01:04:21.915]  Call me at 1-800-686-2237, extension 129.
[01:04:22.596 --> 01:04:26.357]  I believe that we are facing a financial catastrophe of biblical proportion.
[01:04:26.558 --> 01:04:29.779]  Over recent decades, numerous economic systems have failed.
[01:04:29.899 --> 01:04:36.322]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[01:04:36.622 --> 01:04:38.665]  Secure your assets today by calling 1-800-686-2237 extension 129.
[01:04:38.705 --> 01:04:39.787]  Do this while paper can still buy gold.
[01:04:39.807 --> 01:04:41.609]  Call me, John Huebner, at 1-800-686-2237 extension 129.
[01:04:52.461 --> 01:04:52.681]  Some.
[01:04:54.423 --> 01:04:56.225]  Hi, Steve Shank, Fearless Task Force.
[01:04:56.525 --> 01:04:59.368]  The J. Michael Stevens Group is shipping a lot of storable food.
[01:04:59.869 --> 01:05:02.071]  It's smart that you're getting going at your food supplies.
[01:05:02.692 --> 01:05:11.000]  One week after the report came out that the world had eaten more food than it produced last year, the country turned into a deep freeze, wiping out a huge part of the new crop.
[01:05:11.481 --> 01:05:12.041]  An example?
[01:05:12.562 --> 01:05:15.365]  In 24 hours, clementine oranges doubled in price.
[01:05:16.264 --> 01:05:19.026]  If you intend to starve or finish your supply, call immediately.
[01:05:19.406 --> 01:05:22.728]  When you call, tell them how many adults and how many years of food you need.
[01:05:23.448 --> 01:05:28.651]  When there are shortages, missing items will be substituted, maintaining the quantity of food necessary.
[01:05:29.271 --> 01:05:30.772]  Money is not the problem.
[01:05:30.972 --> 01:05:31.973]  Availability is.
[01:05:32.493 --> 01:05:32.953]  Be careful.
[01:05:32.993 --> 01:05:38.236]  When food supplies get short, with no future, many retailers ship real trash to supply you.
[01:05:38.886 --> 01:05:42.108]  For safe food you can trust, call 800-409-5633 on the web eFoodsDirect.com 800-409-5633
[01:05:52.378 --> 01:06:00.900]  According to a recent report by the National Institute of Health, high blood pressure is a major risk factor for heart disease and the chief risk factor for stroke and heart failure.
[01:06:01.100 --> 01:06:02.921]  It affects about 50 million Americans.
[01:06:03.121 --> 01:06:04.321]  That's one in four adults.
[01:06:04.661 --> 01:06:10.743]  Because many people have high blood pressure for years without knowing it, the American Heart Association calls it the silent killer.
[01:06:11.023 --> 01:06:14.664]  At ResearchedHerbs.com, we recognize your concern for your well-being.
[01:06:14.984 --> 01:06:21.947]  As your online partner in health, we are committed to empowering you with the resources you need to make informed health decisions about high blood pressure.
[01:06:22.167 --> 01:06:31.811]  Visit us online at ResearchedHerbs.com to learn more about HeartCare, the widely researched natural herbal supplement for regulating blood pressure and maintaining optimum heart health.
[01:06:32.131 --> 01:06:38.192]  Did you know that the safety and effectiveness of heart care is backed by over a hundred clinical trials and experimental studies?
[01:06:38.592 --> 01:06:39.032]  Act now!
[01:06:39.152 --> 01:06:48.394]  Visit us online at researchedherbs.com or call us at 1-800-845-3841 to start protecting yourself from the silent killer.
[01:06:48.674 --> 01:06:49.495]  That's 1-800-845-3841.
[01:06:49.595 --> 01:06:57.856]  News, politics, sports, cars, home improvement, health, and everything in between.
[01:06:57.916 --> 01:06:58.876]  We've got you covered.
[01:06:58.896 --> 01:07:00.537]  You're listening to the GCN Radio Network.
[01:07:03.225 --> 01:07:15.499]  Broadcasting the truth coast to coast and worldwide, this is the Alex Jones Show!
[01:07:15.800 --> 01:07:18.263]  Alright, I'm acting stupid for the studio audience.
[01:07:19.084 --> 01:07:19.905]  Let me get serious.
[01:07:22.532 --> 01:07:37.182]  No, when you go to third world countries like Roatan and Honduras and you watch the people bowing to police and everyone looking with fear and kind of scurrying up against the wall and they see cops and the cops look like something right out of a horror movie, you know you're in third world cess.
[01:07:39.024 --> 01:07:43.007]  And it's just sad to see my beloved America turn into a third world country in every way.
[01:07:43.047 --> 01:07:45.528]  Our currency being debased like a third world nation.
[01:07:45.548 --> 01:07:47.269]  The public doesn't even know what that means on average.
[01:07:47.770 --> 01:07:49.251]  The police more and more corrupt.
[01:07:50.249 --> 01:07:57.135]  The government bloated and bankrupt, but then it has the added propaganda of a high-tech police state.
