[00:00:00.229 --> 00:00:00.670]  Oh, what?
[00:49:28.968 --> 00:49:31.329]  We could be attacked by crazies on the streets.
[00:49:31.370 --> 00:49:35.692]  I mean, on Fox they say we ought to start beating people to stand up and ask politicians questions.
[00:49:35.912 --> 00:49:36.753]  We ought to taser them.
[00:49:36.773 --> 00:49:37.634]  This is a threat.
[00:49:37.874 --> 00:49:40.595]  They're afraid of us taking America back peacefully.
[00:49:41.036 --> 00:49:42.156]  Absolutely, absolutely.
[00:49:42.237 --> 00:49:46.039]  Again, it was a pleasure meeting you, Mr. Jones, and keep doing what you're doing, my friend.
[00:49:46.099 --> 00:49:47.280]  God bless you, too, my friend.
[00:49:47.320 --> 00:49:48.521]  Let's go ahead now and talk.
[00:49:49.401 --> 00:49:51.722]  To Jedi in Bastrop, Texas.
[00:49:52.222 --> 00:49:53.423]  And Jedi, you're on the air.
[00:49:53.483 --> 00:49:53.803]  Welcome.
[00:49:54.303 --> 00:49:55.704]  Alex, great to talk to you again, man.
[00:49:55.964 --> 00:49:56.284]  Yes, sir.
[00:49:56.504 --> 00:49:56.864]  You're on the air.
[00:49:56.884 --> 00:49:57.164]  Go ahead.
[00:49:57.384 --> 00:50:01.766]  I wanted to talk about the drones and the remotely piloted vehicles.
[00:50:01.786 --> 00:50:02.126]  That's right.
[00:50:02.166 --> 00:50:05.487]  The feds are federalizing every major city and they've had drones out for years.
[00:50:05.567 --> 00:50:10.169]  And now Houston tried to keep it secret and set up roadblocks and told the media they weren't supposed to report on it.
[00:50:10.429 --> 00:50:11.910]  The fact that they have drones flying around.
[00:50:12.651 --> 00:50:15.893]  I've been involved with the multi-piloted vehicles for the last three years.
[00:50:16.714 --> 00:50:21.959]  The vehicles that we use are very small, four foot wingspan.
[00:50:21.999 --> 00:50:23.160]  I wish they'd put them on the border.
[00:50:23.640 --> 00:50:28.525]  Well, so do I. But no, we've got to watch those terrorist Americans.
[00:50:29.184 --> 00:50:29.644]  That's right.
[00:50:30.164 --> 00:50:38.406]  But the ones we use are very small, very low end, extremely effective for firefighting, for search and rescue, search and recovery.
[00:50:38.526 --> 00:50:40.747]  But no, the government's got to keep them secret.
[00:50:41.147 --> 00:50:42.467]  No, they have to keep them out of the air.
[00:50:43.067 --> 00:50:50.329]  What we do is, the FAA says that, I'm sorry, the FAA controls the air from one foot off the ground up.
[00:50:51.696 --> 00:51:00.402]  I fly model airplanes, and they're not, the FAA says that's okay, but if I put a camera in... Oh, is that why you're saying that they're keeping it secret in Houston and LA?
[00:51:00.983 --> 00:51:08.228]  I'll get to that in a second, but if you put a camera in an airplane, in a model airplane, then it becomes a commercial airplane and they control it, and they won't let you fly.
[00:51:08.688 --> 00:51:11.190]  You have to get what's called a certificate of authorization.
[00:51:11.210 --> 00:51:12.431]  So what's your main line point?
[00:51:12.651 --> 00:51:22.115]  Well, the main point is what the Houston Police Department did is lie about establishing a temporary flight restriction to keep the news helicopters away from the drone area.
[00:51:22.675 --> 00:51:27.617]  And they used the name of the federal government to keep them away when they had no authority to do so.
[00:51:28.197 --> 00:51:28.958]  That's a good point.
[00:51:28.998 --> 00:51:30.678]  In fact, I know a little bit about that.
[00:51:30.698 --> 00:51:31.619]  Do you want to add more, sir?
[00:51:31.639 --> 00:51:33.880]  Do you want to add more?
[00:51:33.900 --> 00:51:35.880]  Okay, he's gone.
[00:51:35.900 --> 00:51:36.941]  We'll put him on hold.
[00:51:36.981 --> 00:51:38.541]  If he's still there when we come back in the next hour, we will.
[00:51:38.802 --> 00:51:39.382]  Tons of news.
[00:51:39.402 --> 00:51:40.382]  The Ron Paul interview.
[00:51:40.622 --> 00:51:41.222]  It's all coming up.
[00:51:41.243 --> 00:51:41.763]  Stay with us.
[00:51:41.783 --> 00:51:42.123]  Next hour.
[00:51:46.835 --> 00:51:48.315]  This is Jack Blood with you.
[00:51:48.375 --> 00:51:50.196]  Heart disease is on the rise.
[00:51:50.356 --> 00:51:55.537]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[00:51:55.697 --> 00:51:57.037]  But the symptoms are there.
[00:51:57.318 --> 00:52:05.480]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:52:05.700 --> 00:52:11.421]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:52:11.741 --> 00:52:12.102]  I think so.
[00:52:30.319 --> 00:52:38.242]  Order your two-month supply today by calling 866-295-5305 at 866-295-5305.
[00:52:38.402 --> 00:52:41.243]  Or order online at HBextract.com.
[00:52:41.443 --> 00:52:45.424]  Heart and Body Extract, 866-295-5305.
[00:52:45.584 --> 00:52:47.425]  Or HBextract.com.
[00:52:48.265 --> 00:52:48.505]  Help!
[00:52:48.845 --> 00:52:52.286]  Prepare yourself for a talk radio.
[00:52:52.326 --> 00:52:54.007]  Take a deep breath.
[00:52:54.047 --> 00:52:56.147]  Let yourself emancipate.
[00:52:56.227 --> 00:52:57.248]  Grab the soul gem.
[00:52:57.288 --> 00:52:57.828]  Hold on.
[00:52:58.923 --> 00:53:01.045]  He stands for truth.
[00:53:01.685 --> 00:53:03.967]  He stands for justice.
[00:53:04.887 --> 00:53:07.289]  He stands for what's right.
[00:53:07.349 --> 00:53:09.691]  This is the Alex Jones Show.
[00:53:10.251 --> 00:53:13.634]  Call Alex now, toll free at 877-590-5525.
[00:53:13.774 --> 00:53:21.279]  Now live from Austin, Texas, here's Alex Jones.
[00:53:26.275 --> 00:53:30.316]  Defending the Republic from enemies, foreign and domestic.
[00:53:30.336 --> 00:53:40.658]  Getting past the spin, the political fronts, and the things the politicians say, and actually getting into what they do and who pays for their campaigns, who runs this nation.
[00:53:41.739 --> 00:53:44.839]  The Fortune 100, ladies and gentlemen, are bigger than the governments.
[00:53:45.740 --> 00:53:47.240]  They dwarf any one government.
[00:53:47.440 --> 00:53:51.381]  They are setting up world government to extract your wealth through the governments they control.
[00:53:52.347 --> 00:53:55.371]  They're setting up a global empire, a financial empire.
[00:53:55.932 --> 00:53:57.735]  And Liberty has no say in it.
[00:53:58.236 --> 00:54:06.227]  Congressman Ron Paul has really helped ignite, with the help of the grassroots, a global awakening and global resistance.
[00:54:06.908 --> 00:54:08.190]  It is happening everywhere.
[00:54:09.324 --> 00:54:12.285]  Now, I know we have loaded phone lines here, and we're going to be going to your calls.
[00:54:12.705 --> 00:54:16.765]  TJ, Rob, Tom, Jim, Patriot, many others that are patiently holding up.
[00:54:16.865 --> 00:54:17.385]  One just hung up.
[00:54:17.425 --> 00:54:18.906]  Here's the line, 877-590-5525.
[00:54:19.166 --> 00:54:22.346]  Your calls are coming up.
[00:54:22.486 --> 00:54:30.488]  Also, Estalin, award-winning investigative journalist who's been very accurate in the past, says that elitists are considering assassinating Congressman Ron Paul.
[00:54:31.328 --> 00:54:36.509]  I set him up Friday for the show, best-selling author, national talk show host in Spain.
[00:54:37.369 --> 00:54:41.232]  He's been nothing but accurate in the past and now he has come out with this info.
[00:54:41.272 --> 00:54:42.033]  We couldn't ignore it.
[00:54:42.413 --> 00:54:46.917]  It's up on PrisonPlanet.com and InfoWars.com is the easiest place to find it.
[00:54:46.937 --> 00:54:49.999]  It's right up at the top of the page on InfoWars.com.
[00:54:50.019 --> 00:54:50.800]  That is coming up.
[00:54:51.360 --> 00:54:54.663]  A listener wanted me to, I guess, initiate on air
[00:54:56.124 --> 00:55:03.969]  A cluster of giving during the push to raise at least $6 million in one day and break all previous records for Congressman Ron Paul.
[00:55:04.289 --> 00:55:09.393]  He's raised about $4,300,000 since midnight last night.
[00:55:09.693 --> 00:55:17.578]  Easily online, people give to break that record, but people wanted me to basically lead in with this, so I will.
[00:55:18.019 --> 00:55:21.441]  Pilot to Bombardier, we are approaching the target.
[00:55:22.194 --> 00:55:23.436]  Target sighted.
[00:55:24.297 --> 00:55:25.598]  Target one mile away.
[00:55:25.898 --> 00:55:28.121]  Target one half mile away.
[00:55:28.201 --> 00:55:29.983]  Target one quarter mile away.
[00:55:30.704 --> 00:55:31.585]  Bombardier to power.
[00:55:31.605 --> 00:55:35.389]  Permission to discharge munitions.
[00:55:35.749 --> 00:55:36.630]  Permission granted.
[00:55:37.471 --> 00:55:39.493]  And the bombardier drops the bombs.
[00:55:39.553 --> 00:55:40.534]  The info bombs.
[00:55:40.634 --> 00:55:41.856]  In the info war.
[00:55:42.649 --> 00:55:43.690]  And there you go.
[00:55:44.391 --> 00:55:47.594]  I'm sure hundreds of thousands of people right now are giving.
[00:55:47.934 --> 00:55:55.540]  In a few minutes I'll hit refresh up on PrisonPlanet.com where we have a big link to a live graph that's in real time, and we will see how much is being given.
[00:55:55.560 --> 00:55:56.581]  Now by the way, this is all internet.
[00:55:56.822 --> 00:56:02.386]  It's not counting the tens of thousands calling by phone and giving, and then they do that in bunches and then put that in.
[00:56:02.406 --> 00:56:04.108]  That's why you see it surge at times.
[00:56:04.148 --> 00:56:04.969]  It's always moving up.
[00:56:04.989 --> 00:56:07.211]  A couple thousand dollars every minute or so.
[00:56:08.111 --> 00:56:09.112]  But, or sometimes more.
[00:56:09.152 --> 00:56:12.093]  I click it and after 30 seconds and it goes up 10 grand sometimes.
[00:56:12.414 --> 00:56:20.698]  When you click it and it goes up 50 grand, that's when they come in with all the phone calls and the phone number of people that have called and enter all their data for them and then it surges even further.
[00:56:23.760 --> 00:56:24.420]  Target hit!
[00:56:24.520 --> 00:56:25.320]  I'll guarantee it.
[00:56:25.701 --> 00:56:26.601]  So a little bit of fun.
[00:56:26.641 --> 00:56:33.505]  Okay, that aside, let me be very very serious about this because frankly when I'm off air I'm much more
[00:56:35.072 --> 00:56:43.114]  Thoughtful, my brain works even in more sharp contrast to what's happening, and I get really reflective at night.
[00:56:43.934 --> 00:56:48.956]  My wife and family and children had gone to sleep last night, and I was done one radio interview.
[00:56:48.996 --> 00:57:02.259]  I was waiting up to go on KCLA, the biggest talk station out in Los Angeles, and I was hungry, so I went to the store to get junk food.
[00:57:03.303 --> 00:57:17.609]  I'm driving to five minutes to the local gas station, and I tune into KLBJ, 590, the station we transmit out of, our flagship affiliate here in Austin, and I listen to Neil Bortz.
[00:57:18.510 --> 00:57:18.890]  He's on.
[00:57:20.115 --> 00:57:22.956]  And, uh, this is turned about as fair play.
[00:57:23.136 --> 00:57:33.701]  My show, I mean, I get attacked by Michael Medved, I get attacked by Michael Reagan, I get attacked by Michael Savage, I get even, five or six times we've gotten it on tape, we've heard about it other times, by Rush Limbaugh.
[00:57:34.501 --> 00:57:38.443]  I've been attacked by people in the federal government.
[00:57:38.983 --> 00:57:46.606]  I have been, I mean, hundreds of hosts have done this, and they have called for my arrest, Michael Medved has done that, my investigation,
[00:57:48.041 --> 00:57:50.763]  They have done all of this.
[00:57:52.103 --> 00:57:56.806]  But I don't... I listen to talk radio and I'm stuck in traffic and I don't listen to a lot of it.
[00:57:56.826 --> 00:57:59.247]  I mean, every day I get calls about Neil Bortz attacking me.
[00:57:59.268 --> 00:58:00.028]  I mean, every day.
[00:58:00.528 --> 00:58:03.830]  And people send me audio clips every few weeks and half the time I don't even click on it and listen to it.
[00:58:04.130 --> 00:58:04.711]  I don't care.
[00:58:05.751 --> 00:58:10.514]  And they tell me, man, this guy's saying you're a traitor, this guy's saying you're evil, this guy's saying you're dangerous, this guy's saying you're a liar.
[00:58:11.434 --> 00:58:12.614]  And this is just one example.
[00:58:13.094 --> 00:58:15.595]  And I'm driving in the car, and first he attacks Ron Paul.
[00:58:15.615 --> 00:58:17.235]  This is the best stuff they run across the country.
[00:58:17.756 --> 00:58:19.156]  This is the things they decide to put back on.
[00:58:19.176 --> 00:58:24.837]  And then next he talks about me, and he says, Alex Jones, he compared me to Timothy McVeigh.
[00:58:25.558 --> 00:58:27.078]  He then, and that's a government op, by the way.
[00:58:27.118 --> 00:58:31.379]  That was done by the government there, and that's been now documented and come out in mainstream news, that they were involved in it.
[00:58:32.219 --> 00:58:34.240]  And he then compared me to Charles Manson.
[00:58:36.020 --> 00:58:39.381]  And he said that I'm a manipulative moonbat, but
[00:58:41.770 --> 00:58:44.411]  He said something that I've heard probably ten other times.
[00:58:44.431 --> 00:58:46.152]  And again, I'm only listening to a fraction of these people.
[00:58:46.172 --> 00:58:47.672]  YouTube them and send me clips.
[00:58:47.712 --> 00:58:49.233]  And John Gibson said similar things.
[00:58:50.813 --> 00:58:56.555]  Then there was another clip where a caller calls in and plugs me and he says, you know, you shouldn't talk about Alex Jones.
[00:58:58.016 --> 00:58:59.596]  If I was your employer, I'd fire you.
[00:58:59.636 --> 00:59:00.416]  You ought to shut up.
[00:59:00.456 --> 00:59:01.337]  You shouldn't speak out.
[00:59:02.497 --> 00:59:03.557]  And see, the U.S.
[00:59:03.577 --> 00:59:08.279]  government got from the Nazis, this has now been declassified, a ten-step plan for fascism.
[00:59:10.018 --> 00:59:12.260]  And one of the final steps is to intimidate speech.
[00:59:12.320 --> 00:59:22.669]  The Nazis would fire you from your job, make sure you got fired, board up your business, call for your arrest, have thugs beat you up, call for people to beat you up, call for your investigation.
[00:59:23.150 --> 00:59:28.034]  You know, from 1933 to about 38, 39, then Hitler got really serious, started killing people.
[00:59:30.309 --> 00:59:45.721]  And I know that Medved and all those other guys, who's been in the New York Times, went to the White House, openly get talking points, openly have signed up politically to the fake conservative team to suppress the conservative population, the only group that would fight their North American Union, open borders, and gun control.
[00:59:46.202 --> 00:59:47.183]  They're there to neutralize you.
[00:59:49.024 --> 00:59:56.530]  And I realized that the last year, they have been all... I heard Medved say that.
[00:59:57.210 --> 00:59:59.071]  And I've heard Reagan say that.
[00:59:59.131 --> 01:00:01.331]  And I've heard a bunch of these guys say the same thing.
[01:00:01.351 --> 01:00:03.072]  They've been saying it for a year.
[01:00:03.352 --> 01:00:04.372]  Oh, you're going to get fired.
[01:00:04.412 --> 01:00:05.193]  You ought to get arrested.
[01:00:05.213 --> 01:00:06.373]  You shouldn't be allowed to talk like that.
[01:00:06.833 --> 01:00:08.254]  That's to scare the sheeple.
[01:00:08.294 --> 01:00:10.894]  That's for listeners to go, ooh, I think like that.
[01:00:10.914 --> 01:00:12.755]  See, they're in a desperate mode right now to suppress.
[01:00:12.975 --> 01:00:13.995]  Ooh, you ought to get fired.
[01:00:14.796 --> 01:00:15.816]  Ooh, you might get arrested.
[01:00:16.116 --> 01:00:17.257]  Ooh, you might get investigated.
[01:00:17.537 --> 01:00:18.537]  Medved says that every week.
[01:00:19.728 --> 01:00:23.430]  Uh, and I also hear about it from guests who come on the show, congressmen and Amy Wolfe and others.
[01:00:23.650 --> 01:00:25.572]  They say when they go on, he says this to them about me.
[01:00:26.032 --> 01:00:32.956]  I mean, imagine having national talk show hosts and newspapers and magazines call for your arrest.
[01:00:33.136 --> 01:00:35.677]  Imagine them say you're Timothy McVeigh.
[01:00:36.058 --> 01:00:37.378]  Do you know what that's like?
[01:00:38.439 --> 01:00:39.640]  But I'll say what Churchill said.
[01:00:40.300 --> 01:00:43.642]  We shall go on to the end, whatever the costs may be.
[01:00:45.192 --> 01:00:46.234]  And I'm committed.
[01:00:46.494 --> 01:00:47.295]  I'm not going to turn back.
[01:00:47.315 --> 01:00:53.263]  And understand, they can't demonize, they can't get everybody, they can't investigate everybody, they can't arrest everybody, they can't go after everybody.
[01:00:53.543 --> 01:00:55.125]  They're doing that to intimidate you.
[01:00:55.145 --> 01:00:56.266]  People like me have got to worry.
[01:00:56.627 --> 01:00:58.970]  People like Ron Paul have got to worry.
[01:01:00.471 --> 01:01:03.473]  Because they've said Ron Paul's supporters are terrorists.
[01:01:03.513 --> 01:01:04.114]  Glenn Beck has said it.
[01:01:04.134 --> 01:01:05.475]  We played it, what, two weeks ago here.
[01:01:05.895 --> 01:01:06.515]  He's just out of the blue.
[01:01:06.555 --> 01:01:08.957]  He said the military should be used against domestic enemies.
[01:01:09.297 --> 01:01:12.680]  These Ron Paul supporters are trying to undermine and destroy America.
[01:01:13.300 --> 01:01:18.043]  And then his guest went on to say that we are, quote, in bed with Islamic fascists.
[01:01:19.885 --> 01:01:21.786]  We're the people trying to fight for the borders.
[01:01:21.826 --> 01:01:23.487]  We're the people trying to fight for the Second Amendment.
[01:01:23.507 --> 01:01:27.530]  We're the people fighting the carbon tax, the North American Union, the funding mechanism for this.
[01:01:28.360 --> 01:01:31.863]  I wish every day that what I was telling you wasn't true.
[01:01:33.104 --> 01:01:35.746]  There's over 200 examples of where our government has staged terror attacks.
[01:01:35.806 --> 01:01:36.767]  Declassified.
[01:01:37.527 --> 01:01:38.288]  They admit it.
[01:01:38.788 --> 01:01:44.192]  Kermit Roosevelt, who ran terror attacks in foreign nations to blame it on groups they wanted to go after, went on NPR and admitted it.
[01:01:44.452 --> 01:01:45.693]  Former CIA Section Chief.
[01:01:46.814 --> 01:01:49.036]  The Italian President just went public and admitted the U.S.
[01:01:49.056 --> 01:01:51.297]  government staged terror attacks there, in the 80s.
[01:01:51.337 --> 01:01:54.220]  He was the head of intelligence at the time, to blame it on their political enemies.
[01:01:54.380 --> 01:01:55.961]  And 9-11 was an inside job.
[01:01:57.225 --> 01:02:02.050]  The former head of the German Parliament and former head of intelligence, Andres von Bulow, just went public a few years ago.
[01:02:03.251 --> 01:02:08.396]  Robert Baer, former CIA field commander, has gone public saying all the evidence points towards inside job.
[01:02:08.636 --> 01:02:12.780]  Bill Christensen, former CIA section chief of Europe, has said all evidence shows it's an inside job.
[01:02:13.001 --> 01:02:17.425]  Bill Doyle, the head of the biggest 9-11 victim family group, who lost his son Joey, says it's an inside job.
[01:02:18.124 --> 01:02:20.025]  All I'm doing is telling the truth.
[01:02:20.845 --> 01:02:24.187]  All I'm doing is standing firm and putting my life on the line.
[01:02:24.887 --> 01:02:29.329]  And I am a target of these people, and I get death threats almost every single day.
[01:02:29.550 --> 01:02:32.511]  Ladies and gentlemen, I'm doing this for you and your children.
[01:02:32.731 --> 01:02:33.772]  This isn't entertainment.
[01:02:33.952 --> 01:02:34.852]  This isn't a game.
[01:02:35.532 --> 01:02:37.553]  I'm not a sellout whore to the New World Order.
[01:02:38.014 --> 01:02:39.815]  I will defend until the end.
[01:02:40.235 --> 01:02:41.195]  The die is cast.
[01:02:41.455 --> 01:02:42.616]  I'll tell you more when we get back.
[01:02:42.876 --> 01:02:43.716]  Then we'll get into your calls.
[01:02:43.776 --> 01:02:44.797]  And Ron Paul, stay with us.
[01:02:48.843 --> 01:02:50.244]  It is a big idea.
[01:02:50.264 --> 01:02:52.365]  A new world order.
[01:02:53.085 --> 01:02:57.367]  In the near future, Earth is dominated by a powerful new government.
[01:02:57.987 --> 01:03:00.768]  It's known as the Bilderberg Group.
[01:03:00.788 --> 01:03:03.050]  Could their objective be world domination?
[01:03:03.590 --> 01:03:05.971]  For thousands of years, their dark order grew.
[01:03:06.764 --> 01:03:14.149]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:03:17.111 --> 01:03:22.055]  For the first time in history, the elite's plan for world government is blown wide open.
[01:03:22.575 --> 01:03:26.036]  You will learn the secret that drives the entire New World Order agenda.
[01:03:26.416 --> 01:03:28.957]  Bill of Rights makes great progress in the New World Order.
[01:03:28.997 --> 01:03:30.117]  Most people have no idea.
[01:03:30.158 --> 01:03:30.918]  They're not after money.
[01:03:30.938 --> 01:03:32.018]  They have all the money they need.
[01:03:32.218 --> 01:03:32.958]  They're after power.
[01:03:33.198 --> 01:03:34.319]  That's what they're after.
[01:03:34.339 --> 01:03:38.900]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[01:03:39.100 --> 01:03:42.541]  Or watch it online right now at PrisonPlanet.tv.
[01:03:42.661 --> 01:03:45.522]  Endgame, blueprint for global enslavement.
[01:03:45.863 --> 01:03:47.003]  You have been warned.
[01:03:47.583 --> 01:03:48.103]  We're good to go.
[01:03:48.123 --> 01:03:48.544]  We're good to go.
[01:03:48.564 --> 01:03:49.064]  We're good to go.
[01:04:01.368 --> 01:04:04.671]  For years, Ron Paul has taken the position to uphold constitutional rights.
[01:04:04.991 --> 01:04:09.175]  He's been branded by special interest groups as doctrinal, refusing to bend his values.
[01:04:09.555 --> 01:04:13.519]  I can only imagine the pressure applied by Congress as he stands alone for these principles.
[01:04:13.919 --> 01:04:15.741]  He has given up a medical career for this.
[01:04:16.241 --> 01:04:17.923]  Ron Paul is running for president.
[01:04:18.203 --> 01:04:24.185]  The ideas of strong currency ending the war, defending the Constitution, and protecting civil liberties are catching on.
[01:04:24.465 --> 01:04:31.248]  As a thank you, GCNlive.com, Midas Resources, and I would like to send you a free copy of the Ron Paul Family Cookbook.
[01:04:31.588 --> 01:04:32.469]  Call 800-686-2237 for your free copy.
[01:04:32.529 --> 01:04:33.309]  Again, that's 800-686-2237.
[01:04:33.329 --> 01:04:36.590]  I hope his values are touching your heart as deep as they are mine.
[01:04:36.610 --> 01:04:36.910]  That's 800-686-2237.
[01:04:36.930 --> 01:04:37.931]  Thanks again for supporting Ron Paul.
[01:04:48.957 --> 01:04:49.437]  Hi, neighbor.
[01:04:50.018 --> 01:04:51.679]  The world famine is in its third year.
[01:04:52.099 --> 01:04:54.221]  Our harvest is too small to get through the year.
[01:04:54.821 --> 01:05:01.706]  Genetically poisoned food, dangerous food imports, and constantly recalled disease-contaminated foods are mixed in with our safe food.
[01:05:02.506 --> 01:05:05.308]  Farm food production is turned into ethanol fuel.
[01:05:05.949 --> 01:05:06.629]  What should I do?
[01:05:07.130 --> 01:05:09.831]  How long can I afford food or till there's no food?
[01:05:10.432 --> 01:05:11.853]  How long before it's all poisoned?
[01:05:12.466 --> 01:05:14.707]  Will three years worth of food supply be enough?
[01:05:15.187 --> 01:05:18.629]  Or will it only postpone my trip to the population control breadline?
[01:05:19.089 --> 01:05:21.190]  Will it be okay to wait till after the holidays?
[01:05:21.630 --> 01:05:25.612]  I'll use what I didn't spend on Christmas for a something-is-better-than-nothing supply.
[01:05:26.092 --> 01:05:26.972]  I'll get the rest later.
[01:05:26.992 --> 01:05:28.273]  How long do I dare wait?
[01:05:29.116 --> 01:05:32.319]  I know I'll regret not starting sooner and not getting enough food.
[01:05:32.940 --> 01:05:35.082]  I have to decide while I still have a choice.
[01:05:35.562 --> 01:05:36.483]  Tell me what to do.
[01:05:37.144 --> 01:05:39.726]  Now take your own advice and call 800-409-5633 or on the web eFoodsDirect.com.
[01:05:39.766 --> 01:05:40.047]  Call 800-409-5633.
[01:05:48.684 --> 01:05:49.324]  It's a fact.
[01:05:49.545 --> 01:05:57.029]  Since the creation of the Federal Reserve in 1913, all banks in these United States create money out of thin air for every single loan they issue.
[01:05:57.149 --> 01:06:06.014]  With never-ending late fees, over-the-limit fees, and higher and higher interest rates, it has become mathematically impossible to repay all debt, making all of us slaves to our creditors.
[01:06:06.294 --> 01:06:16.820]  The Federal Debt Relief System has created a successful, attorney-backed program to legally eliminate credit card debt, personal loans, lines of credit, and other unsecured debts which have been fraudulently created by the banks.
[01:06:17.080 --> 01:06:23.144]  We can terminate your unsecured debt within 18 months with a much lower monthly payment, ending with nothing on your credit report.
[01:06:23.364 --> 01:06:28.387]  Join the thousands of Americans who now breathe with a sigh of relief because they have legally eliminated their debt.
[01:06:28.568 --> 01:06:33.070]  Instead of living each day in fear and frustration, it's time to take action and turn your life around.
[01:06:33.211 --> 01:06:35.012]  Call the Federal Debt Relief System at 877-943-8600.
[01:06:35.072 --> 01:06:35.332]  That's 877-943-8600.
[01:06:35.352 --> 01:06:35.772]  Or visit FDRS.org.
[01:06:35.872 --> 01:06:37.693]  Find out how you can break the cycle of debt slavery.
[01:06:44.738 --> 01:06:46.099]  Every Sunday, 5 to 7 p.m.
[01:06:46.159 --> 01:06:51.242]  Eastern, 4 to 6 Central, 3 to 5 Mountain, 2 to 4 Pacific, we're here
[01:07:13.883 --> 01:07:15.084]  Live, ladies and gentlemen.
[01:07:16.385 --> 01:07:17.605]  Five days a week isn't enough.
[01:07:20.067 --> 01:07:22.688]  You know, I was a big Republican in college.
[01:07:23.209 --> 01:07:24.509]  I'm a conservative gun owner.
[01:07:24.749 --> 01:07:25.630]  I'm a constitutionalist.
[01:07:26.450 --> 01:07:31.853]  And I discovered, more than a decade ago, the Republican Party was bought and paid for by the same people that own the Democratic Party.
[01:07:31.893 --> 01:07:33.514]  And most Americans now know that.
[01:07:34.335 --> 01:07:34.995]  And understand that.
[01:07:36.216 --> 01:07:43.040]  And to hear these mainline talk show hosts sit up there and say there's no North American Union, say the Federal Reserve isn't private,
[01:07:43.982 --> 01:07:45.082]  And they never give any facts.
[01:07:45.483 --> 01:07:46.303]  We give you facts.
[01:07:46.363 --> 01:07:48.464]  We post the documentation.
[01:07:48.924 --> 01:07:50.484]  We have the facts.
[01:07:50.564 --> 01:07:51.745]  We have the information.
[01:07:52.625 --> 01:07:54.406]  By the way, I just hit refresh after 10 minutes.
[01:07:54.466 --> 01:07:56.266]  Over $150,000 went in.
[01:07:56.406 --> 01:07:57.887]  I guess our listeners just donated $150,000.
[01:07:57.947 --> 01:08:00.528]  It wasn't going up that fast.
[01:08:01.068 --> 01:08:04.649]  And then the caller had the idea to have that focused attack with our listeners.
[01:08:05.269 --> 01:08:06.129]  And who knows?
[01:08:06.470 --> 01:08:07.930]  Maybe it's the Easter Bunny that gave the money.
[01:08:08.230 --> 01:08:09.070]  But over $150,000 just surged in there.
[01:08:11.272 --> 01:08:16.616]  Since the last time I hit refresh at RonPaul2008.com, big link to it, at PrisonPlanet.com.
[01:08:16.676 --> 01:08:18.738]  So, put yourself in my shoes.
[01:08:21.000 --> 01:08:27.184]  Imagine having all these heavyweights that literally, publicly, go to the White House and are given marching orders.
[01:08:27.925 --> 01:08:33.289]  And they admit they have White House memos, and these have now been in the news, where they say, we need another 9-11, it really helped us.
[01:08:33.649 --> 01:08:38.293]  Before 9-11, Dick Cheney wrote in PENAC that a big, huge terror attack would help get their agenda through.
[01:08:39.389 --> 01:08:44.010]  Just like Hitler firebombed his own Reichstag in 1933, a few months after being elected, instead of a police state.
[01:08:45.190 --> 01:08:46.591]  And now they're behind Hillary Clinton.
[01:08:46.651 --> 01:08:48.751]  And now, just a few months ago, people couldn't believe me.
[01:08:48.791 --> 01:08:50.092]  Now that's mainstream talk.
[01:08:51.032 --> 01:08:53.732]  About how, why are the Republicans giving more money to Hillary?
[01:08:53.772 --> 01:08:54.553]  Why are they behind her?
[01:08:54.873 --> 01:08:56.513]  It's establishment power.
[01:08:56.553 --> 01:08:57.713]  They're passing the baton.
[01:08:58.074 --> 01:08:59.794]  Only Ron Paul is a real candidate.
[01:09:01.454 --> 01:09:02.635]  You know, I've never wavered.
[01:09:02.655 --> 01:09:03.975]  I have never, um...
[01:09:06.204 --> 01:09:08.905]  I've always told callers, don't call in and thank me, I'm just doing my job.
[01:09:09.685 --> 01:09:12.226]  I don't cover one one-hundredth of the attacks I'm under.
[01:09:12.707 --> 01:09:14.467]  It isn't about the cult of personality.
[01:09:15.908 --> 01:09:17.929]  And Ron Paul has said that as well with himself.
[01:09:18.029 --> 01:09:28.733]  But I have to tell you that I do need people to rally behind me and to support me and to get my information out even more and to counter these national talk show hosts with tens of millions of listeners apiece because
[01:09:29.793 --> 01:09:33.096]  I'm under attack, and I've had things happen to me I don't talk about on air.
[01:09:33.156 --> 01:09:35.138]  The threats, the death threats.
[01:09:35.598 --> 01:09:36.619]  Trey, you're my producer.
[01:09:36.659 --> 01:09:37.580]  You see just the emails.
[01:09:37.600 --> 01:09:38.801]  What about the phone calls?
[01:09:38.821 --> 01:09:39.962]  I mean, turn your mic on.
[01:09:40.182 --> 01:09:41.864]  I didn't talk to you about this during break.
[01:09:41.884 --> 01:09:43.465]  He's having to swing his mic around.
[01:09:43.986 --> 01:09:45.607]  But the people calling up threatening to kill us.
