[00:00:00.741 --> 00:00:02.162]  News on the hour.
[00:46:44.285 --> 00:46:46.887]  But for the awake people, it's to intimidate us.
[00:46:46.927 --> 00:46:47.567]  And I'll say this.
[00:46:49.717 --> 00:46:52.598]  I hope the government is listening to me.
[00:46:52.998 --> 00:46:54.619]  I hope operatives are listening to me.
[00:46:54.919 --> 00:46:57.220]  Because I know I'm going to sell them on the truth.
[00:46:57.540 --> 00:47:03.842]  They're going to go find out that the majority of narcotics brought into this nation are brought in by government sources.
[00:47:04.642 --> 00:47:06.123]  With allied crime corporations.
[00:47:06.583 --> 00:47:09.084]  They're going to learn that the Federal Reserve really is private.
[00:47:09.424 --> 00:47:12.245]  They're going to learn that our government really did create Al-Qaeda.
[00:47:12.525 --> 00:47:14.026]  They're going to learn all of this.
[00:47:16.295 --> 00:47:20.217]  And when they find that out, a lot of them are going to decide to join me.
[00:47:20.297 --> 00:47:21.958]  Now, that's those that aren't cowards.
[00:47:22.658 --> 00:47:27.241]  Others have done the research and found out we're telling the truth, so they are afraid.
[00:47:27.301 --> 00:47:32.103]  I have people all the time, you know, go, man, I know you're telling the truth, but my God, aren't you afraid they're going to get you?
[00:47:32.483 --> 00:47:36.865]  Folks, if we give in to fear, then we are tyrannized.
[00:47:37.026 --> 00:47:41.748]  And the moment you give in to this, and the moment you admit this is real, but then
[00:47:42.708 --> 00:47:43.609]  Say, okay, it's real.
[00:47:43.649 --> 00:47:44.489]  I better shut up.
[00:47:44.829 --> 00:47:45.469]  They've won.
[00:47:45.810 --> 00:47:46.670]  I'm an American.
[00:47:46.710 --> 00:47:47.570]  You're an Australian.
[00:47:47.610 --> 00:47:52.153]  We're free people who come from a shared history of the Magna Carta and common law.
[00:47:52.593 --> 00:47:55.154]  And people worldwide have freedom beating in their breast.
[00:47:55.774 --> 00:47:57.995]  And, you know, I'm not going to go along with this.
[00:47:58.015 --> 00:48:01.357]  But, you know, there's a different type of person from those that know the truth and are scared.
[00:48:01.677 --> 00:48:04.999]  There's also those who will say, none of this exists.
[00:48:05.039 --> 00:48:07.000]  But, boy, I tell you, the government's going to get you
[00:48:07.856 --> 00:48:13.619]  They're so brainwashed that they think the government getting people like me is what the government should do!
[00:48:14.139 --> 00:48:21.022]  There's all these good old boys who think, yeah, go ahead and kill Iraqi kids, yeah, go ahead and nuke, kill them all!
[00:48:21.342 --> 00:48:26.765]  Do they think a government and an elite that will do that will take care of us and care about us?
[00:48:27.085 --> 00:48:34.008]  If you think global corporate leaders care any more about your child than they care about some Iraqi child, I got a bridge I want to sell you.
[00:48:34.268 --> 00:48:35.889]  These are ruthless people!
[00:48:36.349 --> 00:48:46.517]  Okay, I just got an interview with Aaron Russo, top Hollywood producer, on record fingering Nick Rockefeller, telling him about how 9-11 was going to happen 11 months before it happened.
[00:48:46.537 --> 00:48:50.660]  I just went to Houston yesterday, where Aaron's getting treatment down there.
[00:48:50.680 --> 00:48:54.323]  People, when they start getting pretty, you know, sick, they tend to start talking.
[00:48:54.903 --> 00:48:59.267]  And I went down there and got this, you know, this admission, and a lot more.
[00:48:59.567 --> 00:49:05.812]  But I mean, hell, David Rockefeller wrote in his memoir that they're destroying America, and that's their plan, and so what?
[00:49:06.312 --> 00:49:12.557]  Because they know only a few thousand people go read 600 page memoirs by David Rockefeller.
[00:49:12.838 --> 00:49:16.781]  They know the general public's sucking their thumb, loving slavery.
[00:49:17.001 --> 00:49:19.163]  And so I tell everybody out there, don't believe me.
[00:49:19.543 --> 00:49:28.330]  You know, you think depleted uranium is really good for your son or daughter, go get them to enlist, go have them breathe the stuff, and when they're dying in your arms later, just remember I told you.
[00:49:28.891 --> 00:49:32.073]  Okay, I really do support the troops by trying to warn them.
[00:49:32.333 --> 00:49:34.135]  I'm sorry, anything else you want to add from Australia?
[00:49:35.346 --> 00:49:39.450]  Just quickly, you know Rupert from the wilderness, yes?
[00:49:40.290 --> 00:49:40.510]  Yes.
[00:49:40.671 --> 00:49:47.136]  Have you heard that he's pulling out of public speaking and public representations and pulling down his oil operations?
[00:49:47.156 --> 00:49:47.836]  Did you hear about that?
[00:49:48.116 --> 00:49:49.297]  Yes, I did hear about that.
[00:49:49.798 --> 00:49:50.138]  I did.
[00:49:50.438 --> 00:49:52.060]  Listen, I appreciate your support.
[00:49:52.100 --> 00:49:52.700]  We're going to break.
[00:49:52.720 --> 00:49:53.281]  We're out of time.
[00:49:54.041 --> 00:49:55.723]  I got a bunch of news I want to cover here.
[00:49:55.743 --> 00:49:58.545]  We're talking about nuclear attacks on Iran.
[00:50:00.040 --> 00:50:01.944]  Peanuts kill more Americans than terrorists.
[00:50:02.044 --> 00:50:05.129]  There was a big terror attack last week in Spain, but nobody heard about it.
[00:50:05.149 --> 00:50:05.891]  We'll tell you why.
[00:50:06.812 --> 00:50:08.996]  We'll talk to people all over the country and the world.
[00:50:09.597 --> 00:50:12.302]  PrisonPlanet.com, InfoWars.com are my websites.
[00:50:12.602 --> 00:50:13.364]  Be sure to check them out.
[00:50:23.232 --> 00:50:27.835]  Crushing through the lies and disinformation.
[00:50:27.975 --> 00:50:29.315]  It's Alex Jones.
[00:50:29.435 --> 00:50:30.916]  Waging war on corruption.
[00:50:43.294 --> 00:50:44.614]  Alright, I'm going to try this one more time.
[00:50:44.634 --> 00:50:45.675]  I'm going to hurry through your calls.
[00:50:45.695 --> 00:50:47.075]  I'm going to try Rudy one more time.
[00:50:47.295 --> 00:50:49.095]  I didn't want to cut him off earlier.
[00:50:49.115 --> 00:50:51.996]  We had a break and I wanted him to be able to finish what he was saying.
[00:50:53.516 --> 00:50:54.877]  Rudy, you're on the air.
[00:50:54.917 --> 00:50:55.277]  Go ahead.
[00:50:55.297 --> 00:50:59.457]  Okay, that guy, we're not going to go back to him.
[00:50:59.497 --> 00:51:00.818]  That's the last time, okay?
[00:51:01.638 --> 00:51:05.099]  Let's go ahead now and take a call from Cary.
[00:51:05.959 --> 00:51:07.779]  And he's calling us from New Mexico.
[00:51:07.839 --> 00:51:08.679]  Cary, you're on the air.
[00:51:08.719 --> 00:51:09.120]  Go ahead.
[00:51:09.720 --> 00:51:10.700]  Hey Alex, how are you doing today?
[00:51:10.720 --> 00:51:11.020]  Good, sir.
[00:51:11.767 --> 00:51:20.267]  Hey, I'd like to take the time to tell you how much we appreciate your efforts, you know, getting out here on a Sunday and taking time to keep us informed away from your family.
[00:51:20.856 --> 00:51:49.364]  Well, I appreciate... Listen, I'm just trying to save my country and I'm so frustrated that David Rockefeller, who runs the Trilateral Commission and the CFR, and our entire government, can write a book saying his goal is to destroy America, and I can read the quote, you can go buy the book, you can go read it online, and then I've still got a deal with a national talk show host saying I should be locked up because I talk about stuff like that, because those national hosts are bought and paid for, and they know the average person isn't going to go read that book.
[00:51:49.967 --> 00:51:50.428]  Exactly.
[00:51:50.829 --> 00:51:57.483]  But another thing Alex I want to tell you is I'm part of the American Freedom to Fascism of New Mexico volunteers.
[00:51:57.784 --> 00:51:58.084]  Good!
[00:51:58.224 --> 00:52:01.271]  And we got an email last week
[00:52:01.829 --> 00:52:09.150]  Where it shows that they offered legislation in the Senate and Congress in New Mexico to repeal the Real ID Act.
[00:52:09.210 --> 00:52:10.811]  And New Mexico will not participate.
[00:52:11.091 --> 00:52:12.191]  Yes, that is true.
[00:52:12.511 --> 00:52:23.473]  And for those that don't know, Real ID Act is the national ID card passed in 2005 by law standardizing all the drivers license to go under federal control.
[00:52:23.853 --> 00:52:25.273]  Which makes it a national ID card.
[00:52:25.873 --> 00:52:26.253]  Exactly.
[00:52:26.653 --> 00:52:31.094]  So, you know, I encourage everybody to get a hold of their state legislators and try to get something done.
[00:52:31.519 --> 00:52:35.081]  You know, in a local area, because I don't think we can affect what they're doing in Washington.
[00:52:35.201 --> 00:52:35.681]  I agree.
[00:52:36.142 --> 00:52:40.704]  Vermont, New Hampshire, and New Mexico and other states are moving to block it.
[00:52:41.124 --> 00:52:47.068]  And, oh yeah, all week, all they've talked about on TV and radio and the paper is, oh, should it be Barack Obama?
[00:52:47.308 --> 00:52:48.268]  Should it be Hillary?
[00:52:48.489 --> 00:52:49.309]  Should it be Gingrich?
[00:52:49.649 --> 00:52:53.012]  They're all anti-free speech, pro-Patriot Act, pro-war.
[00:52:53.312 --> 00:52:55.354]  They're all New World Order!
[00:52:55.634 --> 00:53:04.601]  Anybody the media gives attention, anybody that they put out there in front of you from the two controlled parties bought and paid for by the same global crime syndicate is a joke!
[00:53:04.841 --> 00:53:09.845]  Why do we get 60% turnout for some presidential election and we get 8% for local elections?
[00:53:10.066 --> 00:53:12.347]  It's locally that we still have a chance to take over!
[00:53:12.568 --> 00:53:13.969]  So I salute what you just said!
[00:53:14.589 --> 00:53:22.913]  Yeah, I encourage everybody to go to Austin, go to Santa Fe, wherever, and get ahold of their, you know, their congressmen, senators, and we can stop them on the local level in the state.
[00:53:22.993 --> 00:53:28.275]  What do you think about the announcement that, okay, we're reading your mail without warrants, it's freedom, it's good.
[00:53:29.574 --> 00:53:32.477]  One of these days they're going to have to pay the piper on all that stuff.
[00:53:32.577 --> 00:53:34.358]  I'm just hoping I'm here to see it.
[00:53:34.418 --> 00:53:36.440]  But Jack Bauer does it on TV.
[00:53:36.460 --> 00:53:38.742]  I mean, that's what America's about.
[00:53:38.762 --> 00:53:40.123]  It's having your mail read, man.
[00:53:40.624 --> 00:53:44.487]  America's about pesos being used in restaurants in Dallas and Austin.
[00:53:44.947 --> 00:53:46.749]  America's about having a worthless dollar.
[00:53:47.169 --> 00:53:50.172]  America's about being owned by foreign corporations and being a joke.
[00:53:50.192 --> 00:53:50.892]  You didn't know that?
[00:53:51.533 --> 00:53:52.654]  You must be with Al Qaeda.
[00:53:53.515 --> 00:53:55.817]  Let's go ahead and talk to
[00:53:57.296 --> 00:53:57.857]  Hmm.
[00:53:58.117 --> 00:54:02.120]  Patrick in Owenbro, Kentucky.
[00:54:02.140 --> 00:54:04.122]  You're on the air.
[00:54:04.603 --> 00:54:05.003]  Welcome.
[00:54:06.104 --> 00:54:07.245]  That's Owenbro.
[00:54:09.127 --> 00:54:11.429]  God bless you, Alex, and you're doing an excellent job.
[00:54:11.449 --> 00:54:12.650]  It says Owenbro on my screen.
[00:54:12.690 --> 00:54:13.090]  Well, thank you.
[00:54:13.110 --> 00:54:13.410]  Go ahead.
[00:54:15.012 --> 00:54:17.114]  In fact, I'm George Bush with a signing statement.
[00:54:17.354 --> 00:54:18.355]  You are hence Owenbro.
[00:54:19.364 --> 00:54:19.844]  Okay.
[00:54:20.385 --> 00:54:21.225]  I am the emperor!
[00:54:21.365 --> 00:54:22.206]  Do as I say!
[00:54:22.226 --> 00:54:23.206]  It's freedom!
[00:54:23.286 --> 00:54:25.928]  And commenda!
[00:54:26.588 --> 00:54:47.101]  Anyway, I was watching something last week on CBS News or ABC or something and they had this, they said it in a way, they were talking about China and saying, oh, along the lines that China's having a tough time trying to become an empire.
[00:54:47.984 --> 00:54:48.764]  Along that line.
[00:54:49.085 --> 00:54:50.105]  Do you know what I'm talking about?
[00:54:50.185 --> 00:54:53.407]  Oh yeah, China is totally bought and paid for by the globalists.
[00:54:53.487 --> 00:54:55.108]  China has a 10% growth rate.
[00:54:55.368 --> 00:55:00.310]  They're used as an economic weapon to destroy any middle class populations in Europe or the U.S.
[00:55:00.670 --> 00:55:03.532]  And it's all in a deal signed with the trilaterals back in the 70s.
[00:55:04.612 --> 00:55:07.954]  And absolutely... By the way, the CIA, it's now been declassified.
[00:55:07.974 --> 00:55:09.475]  It's even on History Channel.
[00:55:09.795 --> 00:55:12.136]  Actually put Mao into power and he killed 60 million people.
[00:55:12.476 --> 00:55:13.477]  Our government wanted that.
[00:55:14.037 --> 00:55:14.237]  Right.
[00:55:15.257 --> 00:55:17.160]  I don't know.
[00:55:25.150 --> 00:55:26.611]  That's global mercantilism.
[00:55:26.651 --> 00:55:27.652]  That's economic warfare.
[00:55:27.692 --> 00:55:33.515]  The globalists made a deal with China to license their goods through them to de-industrialize the industrialized world.
[00:55:33.896 --> 00:55:34.116]  Right.
[00:55:34.696 --> 00:55:43.141]  And, you know, the great thing about the Internet, for as long as we'll have it, you know, they've already got Internet 2 in China and they're going to try to do the same thing.
[00:55:43.161 --> 00:55:43.501]  That's right.
[00:55:43.541 --> 00:55:46.203]  They shut down two months ago the free web in China.
[00:55:46.483 --> 00:55:47.464]  Total control Internet 2.
[00:55:48.264 --> 00:55:48.504]  Right.
[00:55:49.104 --> 00:56:04.327]  And, you know, the great thing about the internet that we have, you know, you can go to Google, you can type in American-made products, but you can't window shop, you can't look at them, you can't touch them, you can't see if they fit you or not.
[00:56:05.107 --> 00:56:08.328]  And, I mean, what do you think here, Alex?
[00:56:08.388 --> 00:56:14.269]  Because everywhere we go... No, you cannot find anything made in America.
[00:56:14.349 --> 00:56:16.589]  If you do, it's like finding a four-leaf clover.
[00:56:17.296 --> 00:56:19.198]  I mean, literally, it just doesn't exist.
[00:56:19.218 --> 00:56:20.058]  But that's globalism!
[00:56:20.259 --> 00:56:21.340]  Oh, that's good!
[00:56:21.600 --> 00:56:25.743]  That's, you know, more Americans having to work, the husband and wife having to work two jobs.
[00:56:26.224 --> 00:56:30.347]  We have a higher debt ratio than we had in the depths of the depression in late 1933.
[00:56:31.208 --> 00:56:34.771]  Oh, globalism's been so good because the news said so.
[00:56:35.251 --> 00:56:37.132]  Oh, is the economy good for you out there, folks?
[00:56:37.352 --> 00:56:38.813]  Well, the television said it was.
[00:56:39.213 --> 00:56:39.934]  It must be.
[00:56:40.214 --> 00:56:44.997]  So just go get a third mortgage and just act like you're rich in front of your neighbors, and everything will be okay.
[00:56:45.217 --> 00:56:48.639]  Don't listen to this evil talk show where we talk about the globalists.
[00:56:48.999 --> 00:56:57.264]  Because the TV that you can trust told you, and national talk show hosts told you, that anybody that talks about globalism is bad and backwards and isn't good.
[00:56:58.525 --> 00:57:01.967]  Let's go ahead and talk to Mike in California.
[00:57:03.610 --> 00:57:04.610]  You're on the air.
[00:57:04.671 --> 00:57:05.011]  Welcome.
[00:57:07.452 --> 00:57:08.152]  Go ahead, Mike.
[00:57:08.852 --> 00:57:10.333]  Speak now and forever hold your peace.
[00:57:11.253 --> 00:57:11.473]  Me?
[00:57:11.774 --> 00:57:12.014]  Yes.
[00:57:12.834 --> 00:57:14.335]  Oh, my name is actually David.
[00:57:14.655 --> 00:57:16.396]  Okay, well, I'm just going off the call list here.
[00:57:16.416 --> 00:57:17.336]  We'll just call you Mike.
[00:57:17.356 --> 00:57:18.016]  Go ahead, Mike.
[00:57:18.036 --> 00:57:18.657]  Okay, okay.
[00:57:19.217 --> 00:57:31.362]  Um, well, it seems that on the forums and on the internet, the intimidation tactics where they say, well, uh, you're crazy, you're not, blah, blah, blah, 9-11 is not, uh,
[00:57:33.763 --> 00:57:41.189]  Well, what you do is, you go over and you get the Associated Press reporting that Sitcom and the Pentagon are spending billions a year with U.S.
[00:57:41.229 --> 00:57:47.854]  troops illegally being paid in bases to go around attacking anybody who tells the truth on the Internet.
[00:57:49.692 --> 00:57:52.455]  That's bad, but I'm saying like... So, no, no, no, no, no, no.
[00:57:52.815 --> 00:58:05.986]  You go track those people and then you go show how they've done thousands of posts apiece under different names with the exact same text and you show how they're cutting and pasting and now all that's coming out and then you go back to the forum and you show everybody how it's a dirty Fed.
[00:58:06.387 --> 00:58:08.309]  You didn't know about all the fake news they bought?
[00:58:08.329 --> 00:58:10.651]  1.8 billion just in 2005 alone of illegal fake news?
[00:58:14.036 --> 00:58:14.296]  No.
[00:58:14.757 --> 00:58:16.198]  Yeah, oh, you didn't know about that?
[00:58:16.478 --> 00:58:19.300]  Type, White House buys $1.8 billion.
[00:58:19.801 --> 00:58:21.402]  I kept saying $1.6 billion.
[00:58:21.522 --> 00:58:22.643]  It's $1.8 billion in fake news.
[00:58:22.983 --> 00:58:24.445]  Go do that and you'll find out the truth.
[00:58:24.925 --> 00:58:26.446]  All right, we're going to break here in a moment.
[00:58:28.048 --> 00:58:29.889]  Let's just jam one more call in here.
[00:58:29.969 --> 00:58:34.473]  Maybe this is Mike, if I can get myself straight.
[00:58:34.493 --> 00:58:35.053]  Go ahead, Mike.
[00:58:35.634 --> 00:58:36.174]  Hi, Alex.
[00:58:36.294 --> 00:58:36.915]  Yes, go ahead.
[00:58:37.235 --> 00:58:39.097]  I am Mike from California.
[00:58:40.515 --> 00:58:40.975]  Thank you.
[00:58:40.995 --> 00:58:41.675]  How are you doing?
[00:58:41.735 --> 00:58:42.115]  I'm good.
[00:58:42.175 --> 00:58:42.435]  I'm fine.
[00:58:42.455 --> 00:58:43.136]  I'm doing a radio show.
[00:58:43.156 --> 00:58:43.476]  Go ahead.
[00:58:43.636 --> 00:58:44.056]  Hit me.
[00:58:44.096 --> 00:58:44.416]  Hit me.
[00:58:44.456 --> 00:58:44.616]  Hit me.
[00:58:44.636 --> 00:58:51.478]  I basically wanted to find out about what happened about that footage that you all were going to take up there in Taylor, Texas.
[00:58:51.738 --> 00:58:53.678]  Yes, it's on JonesReport.com.
[00:58:53.758 --> 00:58:54.418]  Absolutely free.
[00:58:54.458 --> 00:58:56.239]  The FEMA camp in Taylor, Texas.
[00:58:56.299 --> 00:58:58.019]  Absolutely free for you at JonesReport.com.
[00:58:58.579 --> 00:59:04.641]  I have no understanding, and holy hell, why it isn't up on InfoWars.com and PrisonPlanet.com.
[00:59:04.801 --> 00:59:05.501]  Yeah, I don't know.
[00:59:06.621 --> 00:59:08.902]  I tell my people stuff, but they do what the hell they want.
[00:59:10.029 --> 00:59:11.470]  But it's on jonesreport.com.
[00:59:11.650 --> 00:59:12.110]  How's that?
[00:59:12.130 --> 00:59:13.431]  You got it?
[00:59:13.451 --> 00:59:14.531]  Alright, I'll put you on hold.
[00:59:14.551 --> 00:59:16.232]  We'll come back and let you finish up on the other side.
[00:59:16.512 --> 00:59:17.712]  Final 30 minutes straight ahead.
[00:59:17.732 --> 00:59:18.313]  Don't believe me?
[00:59:18.333 --> 00:59:19.153]  The government loves you.
[00:59:19.313 --> 00:59:20.093]  They never lie to you.
[00:59:20.113 --> 00:59:20.674]  Everything's fine.
[00:59:20.694 --> 00:59:21.354]  Go back to sleep.
[00:59:21.974 --> 00:59:23.395]  Beyond the Beltway is next at 6.
[00:59:23.435 --> 00:59:24.315]  News Radio 590 KLVJ.
[00:59:35.777 --> 00:59:44.793]  Coming to you from the capital of Texas, broadcasting the truth coast to coast and worldwide, this is the Alex Jones Show.
[00:59:50.552 --> 00:59:52.334]  I'm just going to start coming on air and doing that.
[00:59:52.394 --> 00:59:53.234]  I'm sick of it!
[00:59:53.274 --> 00:59:55.076]  Hell, look how corrupt this government is!
[00:59:55.496 --> 00:59:57.758]  Four trillion almost missing from the Pentagon.
[00:59:57.938 --> 00:59:59.319]  They won't say who stole it.
[00:59:59.780 --> 01:00:02.162]  Corrupt police running around every crime land of the country.
[01:00:02.182 --> 01:00:03.903]  He's been caught framing people.
[01:00:03.923 --> 01:00:06.245]  Illegal aliens running all over us.
[01:00:06.705 --> 01:00:07.926]  Politicians lying.
[01:00:08.147 --> 01:00:10.228]  Of course the Democrats are going to continue the war.
[01:00:10.469 --> 01:00:11.930]  They're owned by the very same people!
[01:00:12.590 --> 01:00:17.193]  I just don't want fake neocon twits out there listening to have their power trips.
[01:00:17.293 --> 01:00:18.594]  I will ruin it for you!
[01:00:19.355 --> 01:00:21.976]  If every one of us was against the war, it would continue.
[01:00:22.057 --> 01:00:27.300]  So stop thinking just because you're for it that, you know, you're making everybody else be involved in the war.
[01:00:27.740 --> 01:00:28.721]  You don't run anything.
[01:00:28.741 --> 01:00:30.002]  You're an absolute slave.
[01:00:30.462 --> 01:00:30.822]  You know what?
[01:00:30.862 --> 01:00:35.345]  If we're gonna be slaves, I'm gonna be here to make sure you have to admit to yourselves you are.
[01:00:36.206 --> 01:00:37.667]  I'm really mad right now, folks.
[01:00:39.568 --> 01:00:41.449]  And yes, we've got incredible video.
[01:00:41.509 --> 01:00:50.835]  We sent two guys out to Taylor earlier this week to the FEMA camp where they're holding other than Mexican illegal aliens.
[01:00:51.596 --> 01:00:53.096]  The problem is they're not getting due process.
[01:00:53.116 --> 01:00:55.098]  They should, or they should be deported out.
[01:00:55.438 --> 01:00:59.721]  But in the executive documents in the Houston Chronicle, they said they're going to use these family facilities.
[01:01:00.001 --> 01:01:02.422]  We got video of kids out there on the swing set, folks.
[01:01:03.263 --> 01:01:04.063]  Whole families.
[01:01:04.103 --> 01:01:05.244]  And they break the families up.
[01:01:05.264 --> 01:01:06.885]  They give the small kids to CPS.
[01:01:07.145 --> 01:01:08.466]  Won't even tell parents where they're at.
[01:01:09.226 --> 01:01:11.332]  And I mean that's just horrible.
[01:01:11.673 --> 01:01:15.063]  CPS five times more likely to abuse your children than any other group.
[01:01:18.222 --> 01:01:22.303]  I mean, this is the type of stuff we're dealing with.
[01:01:22.884 --> 01:01:26.505]  So, we did go to a report out there, and it's on JonesReport.com.
[01:01:26.925 --> 01:01:33.188]  And for the life of me, I may have missed it, but I kept sending it to my other webmasters at InfoWars and Prison Planet, and I never saw it pop up there.
[01:01:33.568 --> 01:01:34.868]  They should do an article about it, too.
[01:01:34.908 --> 01:01:38.970]  We'll see about that in the next few days, but it's up on JonesReport.com for free!
[01:01:39.390 --> 01:01:41.172]  I sent two guys out there with cameras all day.
[01:01:41.212 --> 01:01:42.233]  They threatened to arrest them.
[01:01:42.513 --> 01:01:44.976]  Told them to turn their cameras off for being across the street.
[01:01:45.016 --> 01:01:46.177]  Again, we're in such a free country.
[01:01:46.197 --> 01:01:53.364]  Of course, we told them, the federal jail guards, that it's a free country and that we don't appreciate their color of law, so they had to back off.
[01:01:54.085 --> 01:01:55.807]  Then they were talking about taking our cameras.
[01:01:56.267 --> 01:01:56.928]  You know what?
[01:01:57.388 --> 01:01:59.571]  Just go ahead, you scum.
[01:02:00.268 --> 01:02:01.929]  I mean, that just shows what this country is.
[01:02:01.949 --> 01:02:07.074]  They take people across the street, filming their FEMA camp, but they can come over and tell us to turn our cameras off.
[01:02:07.354 --> 01:02:08.715]  You pieces of trash!
[01:02:09.115 --> 01:02:10.276]  GO TO RUSSIA!
[01:02:12.878 --> 01:02:16.401]  So anyways, I paid people to be up there and shoot the video, because I was on the radio.
[01:02:17.102 --> 01:02:18.383]  I couldn't go during that period of time.
[01:02:18.403 --> 01:02:22.626]  So I could be on the radio live, covering it while they were out there with live call-ins.
[01:02:25.131 --> 01:02:26.972]  Had my guy put it together for about a day.
[01:02:26.992 --> 01:02:34.396]  Edited it with all the documents and Senate hearings admitting they want to put people in camps and how they were going to claim those free legals that really put citizens in it.
[01:02:34.676 --> 01:02:37.557]  There's a nice little video report up there about 20 minutes long for you.
[01:02:37.737 --> 01:02:42.580]  You can also watch my film, cost me $100,000 to make, and that's Terror Storm for free.
[01:02:42.920 --> 01:02:43.980]  One word, Terror Storm.
[01:02:44.220 --> 01:02:46.121]  Just type it into Google, you can watch the film for free.
[01:02:46.402 --> 01:02:48.543]  I just make films that cost $100,000 and put them out for free.
[01:02:48.683 --> 01:02:49.323]  That's how I operate.
[01:02:49.855 --> 01:02:52.696]  You can total prove it isn't this yelling and screaming Alex Jones.
[01:02:52.977 --> 01:02:56.218]  Frankly folks, I don't want to say I'm burnt out, but I'm just really mad and I'm sick of it.
[01:02:57.119 --> 01:02:57.699]  Okay?
[01:02:57.739 --> 01:03:01.181]  I mean, I'm at the point where these smiley face people with American flags all over them.
[01:03:01.621 --> 01:03:04.882]  I want to like pull those American flags off their cars and shove them down their throats.
[01:03:05.803 --> 01:03:06.103]  Okay?
[01:03:06.543 --> 01:03:10.025]  Because they have desecrated America and they don't know what that flag symbolizes.
[01:03:10.245 --> 01:03:16.048]  And they're wearing desecrated flags MADE BY CHINESE SLAVES!
[01:03:17.307 --> 01:03:18.408]  Alright, that's it.
[01:03:18.528 --> 01:03:19.909]  I'm really starting to get mad right now.
[01:03:24.472 --> 01:03:26.353]  I'm very angry about my country being killed.
[01:03:26.653 --> 01:03:27.954]  We have calls here from Germany.
[01:03:27.974 --> 01:03:29.735]  A caller from Germany just hung up.
[01:03:30.836 --> 01:03:31.956]  I got calls from all over.
[01:03:31.976 --> 01:03:36.760]  I don't even know what to say anymore.
[01:03:36.800 --> 01:03:46.686]  I mean, if you're not mad about the fact that our mainline military, the ground forces, will be half illegal alien by 2010, that's mainstream news, then you've got a problem.
[01:03:47.395 --> 01:03:52.501]  And if you don't like the fact that Patron's Pizza from Dallas to Austin is using pesos now, you've got a problem.
[01:03:52.942 --> 01:03:55.826]  And if you don't like the fact that our country's dying, you've got a problem!
[01:03:57.087 --> 01:04:04.917]  And I can't believe fake neocon talk show hosts have got the nerve to get on talk radio, coast to coast, and lie and say none of this is happening!
[01:04:07.518 --> 01:04:11.601]  Mike in Southern California, you got any comments about the Taylor Concentration Camp?
[01:04:11.641 --> 01:04:14.563]  Or were you just asking if we got the video out?
[01:04:14.963 --> 01:04:18.326]  Alex, I got comments and I'm there with you man.
[01:04:18.366 --> 01:04:21.568]  You don't understand how angry I am about what's going on.
[01:04:22.549 --> 01:04:25.951]  I'm angry about how our country is going downhill right now.
[01:04:26.512 --> 01:04:29.694]  I'm angry about everybody I talk to are sheeple.
[01:04:30.613 --> 01:04:31.193]  You know what I mean?
[01:04:31.213 --> 01:04:32.234]  They're just scum!
[01:04:32.434 --> 01:04:36.315]  Weak chicken necks!
[01:04:36.375 --> 01:04:45.398]  I'm usually a calm guy, so excuse me if I vent a little bit on the air right now, but I'm glad you got this forum going on.
[01:04:45.459 --> 01:04:48.580]  I'm really upset that... It's now the Maddest Hell Show!
[01:04:48.600 --> 01:04:50.240]  Let's just all start screaming together on air!
[01:04:53.928 --> 01:05:05.011]  I'm upset that we've got troops watching our border in Arizona, and then we've got Mexican, whoever, coming in with firearms, firing upon our troops.
[01:05:05.111 --> 01:05:05.992]  Well that's right, that's right.
[01:05:06.012 --> 01:05:08.672]  The National Guard's supposed to be watching our borders, right?
[01:05:08.692 --> 01:05:10.213]  That's so bad, I didn't even mention it.
[01:05:10.233 --> 01:05:10.993]  Let me comment on that.
[01:05:12.393 --> 01:05:14.254]  Friday morning,
[01:05:16.065 --> 01:05:16.465]  U.S.
[01:05:16.525 --> 01:05:16.946]  troops.
[01:05:17.486 --> 01:05:18.927]  They put a few hundred down there.
[01:05:18.947 --> 01:05:19.747]  It was all for show.
[01:05:19.767 --> 01:05:20.928]  They're not allowed to have bullets.
[01:05:21.568 --> 01:05:22.789]  And so that's America.
[01:05:22.869 --> 01:05:24.070]  The troops are hightailing it.
[01:05:24.410 --> 01:05:25.171]  Mexican troops.
[01:05:25.191 --> 01:05:25.631]  Same group.
[01:05:25.671 --> 01:05:27.132]  Kills federal officers.
[01:05:27.172 --> 01:05:28.213]  Kills cops all the time.
[01:05:28.233 --> 01:05:29.393]  Media keeps it real quiet.
[01:05:30.054 --> 01:05:31.394]  I mean, a citizen kills a cop.
[01:05:31.414 --> 01:05:32.975]  You'd think Jesus had died.
[01:05:33.356 --> 01:05:34.837]  But, boy, let me tell you.
[01:05:34.857 --> 01:05:38.239]  If Mexican troops kill our people, it's kept real quiet.
[01:05:38.699 --> 01:05:40.140]  Because that might upset people.
[01:05:40.160 --> 01:05:41.621]  Let's not talk about it.
[01:05:41.781 --> 01:05:42.621]  But, yeah.
[01:05:42.681 --> 01:05:43.122]  No, no, no.
[01:05:44.723 --> 01:05:45.103]  They had a
[01:05:45.783 --> 01:05:52.688]  Group at a viewing post down there who'd already seized drug shipments that made the Mexican drug dealers who were guarded by the Mexican troops.
[01:05:52.929 --> 01:05:53.849]  Hell, the U.S.
