[00:00:00.529 --> 00:00:06.872]  Listening to GCN.
[01:24:32.578 --> 01:24:34.980]  I mean, folks, I've read scholarly history books.
[01:24:35.440 --> 01:24:36.761]  I've read Nazi documents.
[01:24:36.841 --> 01:24:44.006]  I mean, all of their uniforms, the death's head, all of black magic, the Thule Society, and other groups.
[01:24:45.430 --> 01:24:48.291]  But again, in this they just cover D.C.
[01:24:48.452 --> 01:24:53.154]  and it's so important, amazing architecture, and our guest is Christian J. Pinto.
[01:24:53.474 --> 01:25:03.179]  You can get Riddles in Stone, The Secret Architecture of Washington, D.C., Secret Mysteries of America's Beginnings, Volume 2, at InfoWars.com, and we've got some combo deals where you can get it for a discount.
[01:25:03.962 --> 01:25:04.362]  We're good to go.
[01:25:25.068 --> 01:25:28.870]  Well, what I really wanted to do, I mean, what you just said is absolutely right.
[01:25:28.910 --> 01:25:29.890]  That's what's going on.
[01:25:29.930 --> 01:25:37.993]  But when you say that to a modern audience, a lot of times, as you said earlier, people tend to think that it's just conspiracy information.
[01:25:38.453 --> 01:25:52.058]  So what I tried to do in developing the script was to show that the principles, the occult principles that were involved in designing and building Washington, D.C., are principles that go back to the ancient world.
[01:25:52.658 --> 01:25:57.384]  And the philosophy of Hermeticism, which is very common in the occult.
[01:25:57.724 --> 01:26:05.954]  Hermeticism comes from the god Hermes, or Hermes Trismegistus, and it has to do with the concept of as above, so below.
[01:26:06.374 --> 01:26:08.116]  That's the Hermetic maxim.
[01:26:08.517 --> 01:26:12.201]  And it's a reference to the idea that as things are in the heavens,
[01:26:12.621 --> 01:26:16.206]  So are they to be reflected, or so are they reflected on the earth below.
[01:26:16.726 --> 01:26:27.900]  And that was the principle used by all the ancient societies, the Greeks, the Romans, the Babylonians, the Egyptians, all of the ancient monuments, the pyramids, Easter Island, Stonehenge,
[01:26:28.360 --> 01:26:52.814]  All of these things were to some extent designed and built according to that principle to reflect what was going on in the heavens and actually to be in some kind of alignment with the cellular constellations so that they could draw upon the spiritual powers in the heavenlies to empower that city or that monument or whatever to be successful and to be energized for those
[01:26:53.328 --> 01:26:58.341]  You know, those members who believe in these things, and to give it a particular focus and direction.
[01:26:58.903 --> 01:27:24.760]  And so, doing that, what I wanted to do is to show people that it's really not a far-fetched reality that the designers of Washington, D.C., who were Freemasons and who were involved in these esoteric concepts, that they would have inherited these concepts that were also used to build and design the cities of Europe for centuries and centuries, and that this was just the natural progression.
[01:27:25.420 --> 01:27:29.321]  uh... that led to the design and building of uh... of america's capital city.
[01:27:29.401 --> 01:27:54.586]  Now again, masons are just one front group of these people and ninety-five plus percent of masons have no idea what they're even part of and are what they call porch masons and that's how the globalists steer and keep their friends close, their enemies closer is by they tell them it's goodwill, rebellion against tyranny, oh we're a great society, be with us, but it was only to be a rebellion in a period when the Illuminati was trying to overthrow some of the monarchies
[01:27:55.186 --> 01:28:00.768]  But those monarchies pretty much came from previous Illuminati groups, so they already had the same mindset.
[01:28:01.128 --> 01:28:02.969]  So it was really like musical chairs.
[01:28:03.009 --> 01:28:05.050]  They were just changing places.
[01:28:05.350 --> 01:28:12.112]  How could anyone in the New World Order, because we know the Luciferians believe Lucifer is wonderful and sweet and good, and yes, people must die.
[01:28:12.192 --> 01:28:16.154]  It's the yin and yang, and that they've got to have balance to the force.
[01:28:16.234 --> 01:28:19.535]  You know, we see this occult stuff in society in movies.
[01:28:20.055 --> 01:28:22.196]  But they've got to look at the fruits of what they do.
[01:28:22.276 --> 01:28:26.118]  It's highly destructive and evil, and this elite is truly evil.
[01:28:26.138 --> 01:28:32.801]  Then you have the Satanists, which are kind of like their lower minions, who are just into personal power and death and pain and power.
[01:28:33.061 --> 01:28:34.882]  That seems to be the Luciferian servants.
[01:28:36.175 --> 01:28:37.196]  Yeah, exactly.
[01:28:37.256 --> 01:28:39.938]  And Luciferianism, you know, we touch on it.
[01:28:39.978 --> 01:28:54.968]  We didn't want to go too far, because we're trying to hit a more mainstream audience, and to sort of introduce them to a lot of these ideas, and to convince them that these are not just conspiracy theories, but that, you know, it's based in heavy documentation.
[01:28:54.988 --> 01:28:59.572]  But the headmasons from Pike to the fellow you mentioned earlier say they worship Lucifer.
[01:28:59.632 --> 01:29:01.133]  I mean, how many did they admit it?
[01:29:01.633 --> 01:29:02.194]  Exactly.
[01:29:02.414 --> 01:29:03.995]  And that's, you know, that's something we
[01:29:04.881 --> 01:29:07.742]  We show in the documentary, we give their quotes and whatnot.
[01:29:08.382 --> 01:29:18.406]  We even have, toward the beginning, in the first 15 to 20 minutes, there's a discussion on the Masonic concept of God, which is based on the name Jebulon.
[01:29:19.287 --> 01:29:30.491]  And we have, you know, a Christian researcher, Joe Schimel, who's talking about this, and based upon his Masonic research, and right alongside him is a grand historian,
[01:29:30.971 --> 01:29:34.132]  From the Grand Lodge of British Columbia, Freemason.
[01:29:34.872 --> 01:29:46.374]  Master Mason, who's describing the same thing, and admitting that the name Bale, which is... And of course, Jebulon is a loving black dragon that comes out of the death pit to lovingly kiss us.
[01:29:46.754 --> 01:29:47.655]  We'll be right back.
[01:29:51.796 --> 01:29:52.716]  We're on the march.
[01:29:52.736 --> 01:29:54.796]  The Empire's on the run.
[01:29:55.696 --> 01:29:58.377]  Alex Jones and the GCN Radio Network.
[01:30:01.548 --> 01:30:04.129]  Right now, 65% of Americans are overweight.
[01:30:04.289 --> 01:30:09.890]  Experts say by the year 2010, that number will increase to 75% and 35% will be obese.
[01:30:10.570 --> 01:30:19.713]  Because of these deadly statistics, Dr. Joel Wallach, host of Dead Doctors Don't Lie, has done extensive research and has found what he believes is the biggest breakthrough in weight loss in 50 years.
[01:30:19.933 --> 01:30:21.153]  It's called SlenderFX.
[01:30:21.413 --> 01:30:24.474]  SlenderFX opens the door for a healthy metabolism, permanent
[01:30:24.514 --> 01:30:24.834]  I think so.
[01:30:39.531 --> 01:30:40.651]  It's just in time for summer.
[01:30:40.812 --> 01:30:45.333]  If it's not everything we say and more, simply return the empty bottles and get your money back, guaranteed.
[01:30:45.634 --> 01:30:48.315]  Visit NoFatNow.com or call 800-972-8211.
[01:30:48.375 --> 01:30:48.555]  That's 800-972-8211.
[01:30:48.575 --> 01:30:53.037]  And for a limited time only, find out how you can get a free bottle of Slender FX by going to NoFatNow.com.
[01:31:01.520 --> 01:31:02.120]  It's a fact.
[01:31:02.300 --> 01:31:06.741]  You can legally eliminate credit card debt, which has been fraudulently created by the banks.
[01:31:07.081 --> 01:31:12.262]  Since its creation in 1913, the Federal Reserve has not been held responsible for its own debt.
[01:31:12.562 --> 01:31:15.762]  So why should you, the hard-working American, be harassed for yours?
[01:31:16.002 --> 01:31:23.144]  There's a double standard when it comes to being responsible for debt, and unlike the Federal Reserve, the people of this country can't print more money when needed.
[01:31:23.484 --> 01:31:30.645]  Day of Jubilee has created a successful program designed for people that want to stop harassing calls and threatening letters from bill collectors.
[01:31:30.905 --> 01:31:33.006]  This is not a debt consolidation company.
[01:31:33.427 --> 01:31:39.751]  Join the thousands of Americans who now breathe a sigh of relief because they have legally eliminated their credit card debt.
[01:31:39.991 --> 01:31:43.794]  Instead of living each day in fear, it's time to turn your life around.
[01:31:44.114 --> 01:31:46.696]  Call Day of Jubilee open 9 a.m.
[01:31:46.736 --> 01:31:47.556]  to 5 p.m.
[01:31:47.616 --> 01:31:48.837]  Central Standard Time at 920-293-8024.
[01:31:48.857 --> 01:31:49.037]  That's 920-293-8024.
[01:31:49.117 --> 01:31:49.938]  And ask for Robert.
[01:31:49.958 --> 01:31:51.419]  Don't wait any longer to get your life back in order.
[01:32:01.673 --> 01:32:02.554]  It's no secret.
[01:32:02.814 --> 01:32:08.298]  Aluminum itself adversely affects the blood-brain barrier and is capable of causing DNA damage.
[01:32:08.478 --> 01:32:13.262]  Research has even shown that aluminum salts used in antiperspirants have detrimental effects.
[01:32:13.562 --> 01:32:15.884]  So why are you still using traditional deodorant?
[01:32:16.064 --> 01:32:18.666]  Well, there is an alternative and it's called No-BO.
[01:32:18.906 --> 01:32:27.073]  No-BO eliminates the bacterial growth which causes odor and does not interfere with perspiration, which is important for allowing your body to expel toxins.
[01:32:27.253 --> 01:32:31.436]  There are no chemicals, aluminum, preservatives, or petroleum-based ingredients in No-BO.
[01:32:31.776 --> 01:32:37.981]  Just natural ingredients like grapeseed oil, arrowroot powder, silica, vitamin E, tea tree oil, and geranium.
[01:32:38.161 --> 01:32:42.324]  No-BO's job is to destroy the bacteria that causes the odor while soothing your skin.
[01:32:42.484 --> 01:32:46.847]  You can use No-BO under your arms, on tough foot odors, or for athlete's foot.
[01:32:47.027 --> 01:32:50.990]  No-BO is guaranteed 100% or receive a full refund.
[01:32:51.351 --> 01:32:53.872]  Visit No-BO.com to order.
[01:32:54.013 --> 01:32:56.835]  That's No-BO.com or call 850-723-8599.
[01:33:38.251 --> 01:33:38.871]  Welcome back!
[01:33:42.194 --> 01:33:47.177]  I really am impressed with Volume 1, which was just excellent.
[01:33:47.577 --> 01:33:48.858]  America's Secret Beginnings.
[01:33:51.721 --> 01:34:06.333]  Volume 1, this is Volume 2, Riddles in Stone, The Secret Architecture of Washington, D.C., available at InfoWars.com and PrisonPlanet.com via the Safe, Secure Online Video and Bookstore Shopping Cart, or you can also call toll-free.
[01:34:08.936 --> 01:34:09.636]  That number is 888-253-3139.
[01:34:09.736 --> 01:34:11.338]  That number again, have you missed it?
[01:34:11.358 --> 01:34:11.398]  888-253-3139.
[01:34:23.303 --> 01:34:24.585]  You can also write to me.
[01:34:24.645 --> 01:34:29.792]  I'm Alex Jones at 3001 South Lamar, Suite 100, Austin, TX 78704.
[01:34:32.055 --> 01:34:37.462]  You can get a big discount when you get the new film Part 2 with Part 1 if you didn't already have it.
[01:34:40.282 --> 01:34:45.407]  You can also get an even bigger discount when you get the Order of Death with Riddles in Stone.
[01:34:45.707 --> 01:34:48.570]  And when you get Order of Death, you don't just get the discount on Riddles in Stone.
[01:34:49.191 --> 01:34:56.237]  On the same DVD is Dark Secrets Inside Bohemian Grove, the film I made in 2000 when I snuck into the Grove and shot that video.
[01:34:56.998 --> 01:35:05.306]  Only thing that changed is we added new material and updated it and just made the film even more powerful because I
[01:35:06.167 --> 01:35:17.452]  I made Dark Secrets Inside Bohemian Grove in about two and a half weeks after I got back with like 20 hours of video from Northern California because I was getting death threats and everything else.
[01:35:18.512 --> 01:35:22.614]  Back in 2000, web video wasn't that good, but we'd put it up and crash our website.
[01:35:22.894 --> 01:35:26.476]  Within days, we had it up there because I had to get the story out.
[01:35:27.956 --> 01:35:32.298]  The British media I made dubs for, they tried to mail it in FedEx.
[01:35:32.318 --> 01:35:33.719]  It got ripped open and stolen.
[01:35:34.537 --> 01:35:36.439]  Then they tried to mail it in their bags.
[01:35:36.979 --> 01:35:38.840]  The tapes got erased in their bags.
[01:35:39.161 --> 01:35:41.462]  I mean, they were really trying to stop this from getting out.
[01:35:42.503 --> 01:35:44.645]  And the British were scared after I gave them the footage.
[01:35:44.665 --> 01:35:45.665]  They were supposed to stay another day.
[01:35:45.725 --> 01:35:47.407]  They tore out in fear, folks.
[01:35:48.788 --> 01:35:53.611]  And it was funny, when John Ronson wrote his best-selling book about it, he acted like I was scared.
[01:35:54.652 --> 01:35:56.834]  Which, I mean, I'm not like, I'm not scared.
[01:35:56.894 --> 01:35:58.355]  My daddy can beat up your daddy.
[01:35:58.395 --> 01:36:00.136]  I mean, I'm not talking about I'm tough.
[01:36:00.176 --> 01:36:02.658]  It just was interesting that, you know, this was serious.
[01:36:04.016 --> 01:36:11.061]  So I hope you get Riddles in Stone, available at Infowars.com with the Order of Death, Dark Secrets Inside Bohemian Grove DVD Combo.
[01:36:11.081 --> 01:36:17.226]  Again, that film's free when you get Order of Death, all on the same DVD.
[01:36:17.686 --> 01:36:18.907]  So please make the call.
[01:36:19.047 --> 01:36:20.028]  Get Riddles in Stone.
[01:36:20.048 --> 01:36:20.929]  Give it to your pastor.
[01:36:21.664 --> 01:36:23.264]  Give it to your neighbor.
[01:36:24.045 --> 01:36:27.445]  Give it to these new agers who think that they're part of some new religion.
[01:36:28.125 --> 01:36:30.266]  Believe me, it's the old time religion.
[01:36:30.286 --> 01:36:32.726]  It predates Christianity quite a bit.
[01:36:32.766 --> 01:36:39.288]  Again, even if you're an atheist and don't believe in God, the fool has said in his heart, there is no God.
[01:36:39.848 --> 01:36:44.129]  Even if you believe that, even if you buy into that,
[01:36:45.535 --> 01:36:57.444]  You need to understand that if you were just a criminologist trying to look at, say, serial killers, almost all serial killers believe in Satan, believe demons are directing them, to them it's real.
[01:36:57.524 --> 01:36:59.066]  Why is that part of the pathology?
[01:36:59.506 --> 01:37:03.229]  Their psychological MO, modus operandi.
[01:37:03.869 --> 01:37:05.691]  Why do so many elites act like this?
[01:37:05.811 --> 01:37:06.732]  Why do they believe it?
[01:37:06.772 --> 01:37:08.213]  Why do they think they're getting power from it?
[01:37:08.713 --> 01:37:10.054]  You know, that's an important question.
[01:37:10.094 --> 01:37:11.936]  Obviously, you're a Christian, as I am.
[01:37:13.037 --> 01:37:17.339]  Christian J. Pinto, and have now made Part 2 that is just as good or even better than Part 1.
[01:37:17.579 --> 01:37:27.283]  I mean, can you comment on the statement I just made about how... I mean, give us your take on that, about how an atheist should look at this?
[01:37:28.164 --> 01:37:29.825]  And maybe this would wake an atheist up.
[01:37:29.885 --> 01:37:33.166]  I mean, why are the elite so obsessed with the occult?
[01:37:34.267 --> 01:37:36.888]  Oh yeah, I think that's a great point.
[01:37:37.588 --> 01:37:42.010]  Because when you look at just the mass of evidence
[01:37:42.819 --> 01:38:06.513]  And the repeated amount of evidence that's used by elitists, that's used by all of these people who are pursuing power, and they're all a member of these ancient societies that go back for centuries and have been through all sorts of evolutions and so on, and yet they all have these pseudo-religious occult ceremonies, practices, and beliefs that go back to the ancient world.
[01:38:06.774 --> 01:38:07.414]  All of the great
[01:38:08.301 --> 01:38:11.664]  Empires of the ancient world were all theocratic.
[01:38:11.704 --> 01:38:17.348]  They were based upon man's view of whatever they thought God was, or the gods, and so on.
[01:38:17.969 --> 01:38:21.071]  That's true of, you know, Egypt, Babylon, Greece, and Rome.
[01:38:22.212 --> 01:38:24.394]  All of the great societies operated that way.
[01:38:24.754 --> 01:38:32.280]  And even when you begin to study organized atheism in the modern world through the communist movement and so on,
[01:38:32.901 --> 01:38:48.020]  There's a great book called Marx and Satan by the late Pastor Richard Wurmbrandt, who had suffered 14 years in a communist prison and so on, and he proves that Marx and his comrades, they were not atheists as many atheists think.
[01:38:48.440 --> 01:38:51.304]  They were people who recognized that there was a God.
[01:38:51.704 --> 01:38:55.006]  But they hated God, and they were at war against Him.
[01:38:55.046 --> 01:39:00.028]  Well, in fact, it came out that Marx even tried to look like the caricature of the devil with the goatee.
[01:39:00.828 --> 01:39:03.410]  Marx used the gold star on the red background.
[01:39:03.590 --> 01:39:06.651]  Really high-powered, satanic-type imagery.
[01:39:06.931 --> 01:39:09.453]  And they believe in the resonance of those symbols and colors.
[01:39:10.093 --> 01:39:11.694]  We know that... I've got some of the quotes.
[01:39:11.714 --> 01:39:16.436]  I ought to dig them out, where he's like, the essence of the Red Terror is total fear and blood.
[01:39:16.736 --> 01:39:17.737]  More blood!
[01:39:17.757 --> 01:39:19.618]  I mean, these guys are...
[01:39:20.618 --> 01:39:22.238]  I mean, if they're not devils, what are they?
[01:39:22.899 --> 01:39:27.560]  Yeah, they had all kinds of, you know, Mikhail Bakunin and all the guys that Marx hung out with.
[01:39:27.600 --> 01:39:33.982]  They all wrote poetry and literature glorifying Satan and Lucifer as the original rebel.
[01:39:34.182 --> 01:39:37.563]  And they were living their lives in rebellion against God.
[01:39:38.063 --> 01:39:42.744]  And atheism was the instrument that they used to fight against God.
[01:39:42.764 --> 01:39:46.685]  And they killed five million Ukrainians in one year alone.
[01:39:46.745 --> 01:39:49.066]  I mean, they certainly had a delicious harvest.
[01:39:50.373 --> 01:40:10.469]  Yeah, I often say whenever I confront atheists, you know, because they'll often talk about the evils of religion and government and they'll argue that, you know, religion has led to so many wars and bloodshed, but the atheist government of communism through the 20th century has been by far the deadliest and most bloodthirsty form of government I think mankind has ever seen.
[01:40:11.309 --> 01:40:20.016]  According to the Black Book of Communism published in 1990, I think it was, the communists racked up somewhere around a hundred million
[01:40:20.863 --> 01:40:27.465]  People that they had mass-murdered, you know, between Russia, China, North Korea, all the different countries.
[01:40:27.505 --> 01:40:29.405]  Yeah, it's more than that.
[01:40:29.425 --> 01:40:31.086]  Try 140 million, but that's a conservative number.
[01:40:31.106 --> 01:40:33.746]  And then now, have you seen History Channel and read the books about it?
[01:40:33.786 --> 01:40:38.448]  I mean, we already knew it, but now it's admitted that our government actually, in 49, put Mao in.
[01:40:38.668 --> 01:40:43.909]  And then, of course, when Mao died in 76, Rockefeller wrote an editorial about how wonderful communism was.
[01:40:44.816 --> 01:40:49.442]  Well, you know, I didn't know about Mao, but it makes sense.
[01:40:49.482 --> 01:41:00.275]  I'm sure you're familiar with the book Wall Street and the Bolshevik Revolution, and how Wall Street bankers and powers at work here in America were helping to build up the Soviet Union.
[01:41:01.055 --> 01:41:08.457]  And put them in power to create an antithesis to the Western Empire.
[01:41:10.298 --> 01:41:13.419]  In other words, to manufacture an enemy that could oppose us.
[01:41:13.599 --> 01:41:15.639]  Or at least that's the argument that's given.
[01:41:15.899 --> 01:41:18.020]  But there's a lot of evidence that supports that.
[01:41:19.224 --> 01:41:40.010]  Well, we also see, with the more extreme forms of Islam, very, very occultic, and we see the Illuminati going back thousands of years being involved with them, and we see the CIA and others fostering and overthrowing mild and moderate regimes and actually putting in what people like to call the Islamofascist.
[01:41:41.474 --> 01:41:46.918]  Yeah, the stuff, I'm still trying to figure out a lot of what's happening in the Middle East.
[01:41:47.878 --> 01:41:53.102]  And it's, you know, this news story that you were talking about earlier with the British.
[01:41:53.502 --> 01:42:03.709]  The thing that they're even admitting on the news now, when these hostages were taken, that the British government would not allow their own people to stop the hostages from being taken.
[01:42:03.729 --> 01:42:04.810]  Are you familiar with that story?
[01:42:05.691 --> 01:42:06.191]  Yes, I am.
[01:42:07.101 --> 01:42:14.557]  Uh, and that is, uh, you know, uh, you may have been talking about that all day, Alex, I'm sorry, but, uh, but, but that's still...
[01:42:15.547 --> 01:42:19.889]  It's just further confirmation that there's something going on that just reminded me of Pearl Harbor.
[01:42:20.009 --> 01:42:26.491]  You know, the continual warnings, they're coming, you know, they're going to hit, and yet nobody's allowed to do anything about it.
[01:42:26.531 --> 01:42:33.833]  Five submarines attacked, were about to attack that morning, and were sunk, one entering the harbor, and everybody was still told to stand down.
[01:42:33.893 --> 01:42:41.636]  Imagine, submarines are attacking, and they're told stand down because the subs attacked about an hour earlier, they got there earlier than the aircraft.
[01:42:42.316 --> 01:42:49.778]  So they wanted that old fleet sunk as part of a profit, so they have the new ships out on maneuvers, and that is confirmed.
[01:42:50.279 --> 01:42:51.199]  That is admitted.
[01:42:53.120 --> 01:43:03.443]  Well, one of the things that we try to show in Riddles in Stone, we try to really bring it up to modern times, and we have several quotes from President Bush.
[01:43:03.979 --> 01:43:10.545]  That I think even somebody who's very skeptical and who thinks a lot of this stuff is conspiratorial would have to consider.
[01:43:11.446 --> 01:43:17.691]  We talk about the book Fire in the Minds of Men by James H. Billington, who's the current Librarian of Congress.
[01:43:18.151 --> 01:43:29.081]  And he writes, he writes this whole big long book talking about these revolutionary movements that began in the 18th century, went through the 19th and up through the 20th centuries.
[01:43:29.682 --> 01:43:31.103]  And he talks about how
[01:43:31.690 --> 01:43:42.635]  The revolutionary faith, he says, did not begin with the French Enlightenment, as many people believe, but rather with the occultism and proromanticism from Germany.
[01:43:43.186 --> 01:43:50.073]  And he goes on to explain that he's talking directly about the Bavarian Illuminati that was established by Adam Weishaupt.
[01:43:50.253 --> 01:44:06.989]  And Weishaupt learned a lot from Machiavelli a few hundred years before that in the 1500s because they perfected these intermural warfare and fake revolutions because in the more Byzantine Italy it was city-states
[01:44:07.549 --> 01:44:14.715]  And they were always constantly fighting with each other, and so there was continual warfare and subterfuge that brought it to a very high science.
[01:44:17.697 --> 01:44:17.997]  Yes.
[01:44:18.798 --> 01:44:36.211]  And Weiss, one of the things that we talk about, just to get back on Weiss up for a second, his final treatise that he wrote describing the Illuminati plan right before the French Revolution broke out, his final treatise was called Pythagoras.
[01:44:36.963 --> 01:44:48.659]  And it's a reference obviously to the ancient Greek philosopher Pythagoras, but we find Pythagorean symbols and principles and philosophies embedded in the architecture of Washington, D.C.
[01:44:49.159 --> 01:44:54.186]  And Billington's got a whole section in his book where he describes the Pythagorean passion.
[01:44:54.907 --> 01:45:09.551]  And how all of these revolutionary movements were influenced by Pythagoras and his occult philosophies around numbers and geometric shapes, which forms the heart of much of Masonic lodges.
[01:45:09.611 --> 01:45:15.272]  And as we come to 9-11, I know this isn't in your film, but look at all the Masonic numerology there.
[01:45:15.292 --> 01:45:17.013]  I mean, it's just cornucopia.
[01:45:18.634 --> 01:45:31.722]  Well, that would certainly fit in with, you know, because Pythagoras, it's said, was the first to assign esoteric or occult meanings to numbers, that every number had a special hidden meaning to it.
[01:45:32.322 --> 01:45:39.066]  And Pythagoras, if you follow the history of Pythagoras, you find Pythagorean lodges.
[01:45:39.166 --> 01:45:43.008]  In fact, Pythagoras called the pentagram the pent-alpha.
[01:45:43.508 --> 01:45:53.573]  And when I was doing the research, there were a number of pent-alpha masonic lodges throughout the United States, all based upon this concept of the pentagram.
[01:45:53.973 --> 01:46:07.760]  And you've got many masons who will argue that the pentagram is not masonic, per se, but once you understand it from the Pythagorean perspective, it makes all the sense in the world that it would be embedded in the street design of Washington, D.C.
[01:46:08.340 --> 01:46:09.120]  Well, exactly.
[01:46:09.440 --> 01:46:11.241]  And everything comes in fives.
[01:46:11.281 --> 01:46:12.141]  They worship that.
[01:46:12.562 --> 01:46:17.043]  And it's got the human being, the head, the two arms, the legs, five, five, five, leaves.
[01:46:17.403 --> 01:46:18.564]  Things keep coming in fives.
[01:46:18.984 --> 01:46:19.884]  They're into fives.
[01:46:19.924 --> 01:46:21.905]  And in the Bible, God's into threes.
[01:46:22.105 --> 01:46:24.686]  Things keep happening in threes in God's system.
[01:46:24.706 --> 01:46:25.967]  And in their system, it's fives.
[01:46:26.567 --> 01:46:27.687]  And they're totally obsessed.
[01:46:27.707 --> 01:46:30.368]  They believe they get power out of this.
[01:46:30.408 --> 01:46:32.269]  I mean, you go to small towns here in Texas.
[01:46:33.055 --> 01:46:43.501]  They'll have shingles hanging out on a pole, little metal flags hanging down off of the entrance, and there'll be a skull and crossbones with a number under it.
[01:46:43.842 --> 01:46:46.463]  Right next to it will be an upside-down star, a pentagram.
[01:46:46.963 --> 01:46:49.325]  And then you talk to the masons, you go, you know, that's a pentagram.
[01:46:49.865 --> 01:46:51.226]  Oh no, that's just a symbol.
[01:46:52.247 --> 01:46:53.828]  I mean, it's so obvious.
[01:46:53.888 --> 01:46:55.949]  It's right there in front of everyone.
[01:46:59.603 --> 01:47:09.029]  I've interviewed a number of esoterics and we'll probably talk about this throughout the series later on, but one of the first people that I interviewed
[01:47:09.708 --> 01:47:12.809]  was a woman, a teacher of esotericism.
[01:47:12.829 --> 01:47:15.010]  She's taught at Masonic lodges and this kind of thing.
[01:47:15.590 --> 01:47:17.691]  And her father used to work for NATO.
[01:47:18.371 --> 01:47:26.394]  And when I was interviewing her, she confirmed right up front the principle of hiding things in plain sight.
[01:47:26.574 --> 01:47:28.195]  And that this is what the occultists do.
[01:47:28.535 --> 01:47:32.057]  They put signs, they put their symbols, they put them in plain sight.
[01:47:32.397 --> 01:47:35.758]  And then as we show in Riddles in Stone and we have quotes from Freemasons,
[01:47:36.158 --> 01:47:42.881]  Who explain how they develop an exoteric layer or definition for their signs and their symbols.
[01:47:43.202 --> 01:47:48.924]  And it's a false explanation that's given to the public to throw them off the trail of what the symbol really means.
[01:47:51.071 --> 01:47:55.135]  Exactly, the profane, those who have not yet been initiated into their order.
[01:47:55.375 --> 01:48:02.282]  But in truth, you're profane with your child kidnapping rings, and your death cults, and all the evil and sorrow you bring to the world.
[01:48:02.362 --> 01:48:03.903]  You are cancer.
[01:48:04.343 --> 01:48:08.067]  You're a crew of nutcase scum who are going to be brought down.
[01:48:08.447 --> 01:48:10.269]  Sooner or later, God's going to cut you down.
[01:48:11.612 --> 01:48:18.195]  Well, you know, I definitely believe God will one day judge the world and that His wrath is upon the wicked who refuse to repent.
[01:48:18.335 --> 01:48:23.078]  Well, bottom line, these people do bad, they create bad, they are bad, and they're bad.
[01:48:23.198 --> 01:48:27.039]  I mean, so many of these Luciferians, as you know, think they're the good guys.
[01:48:28.280 --> 01:48:32.482]  Well, a lot of them, and you made a point earlier about, you know, your average Freemason.
[01:48:33.158 --> 01:48:44.363]  A lot of these guys, I think, really do believe that they're pursuing what Masonry says outwardly about itself, that it's designed to make good men better.
[01:48:45.003 --> 01:48:49.025]  And I've met a number of these guys, and if you meet them in person, they're not bad people.
[01:48:49.825 --> 01:48:52.326]  They believe in philosophies that we would disagree with.
[01:48:52.873 --> 01:48:59.897]  But I wouldn't say that they're all necessarily knowingly a part of this, you know, really demonic conspiracy and so on.
[01:49:00.177 --> 01:49:00.877]  Some of them are.
[01:49:00.897 --> 01:49:01.858]  I mean, clearly.
[01:49:02.158 --> 01:49:09.922]  You read the writings of somebody like... Look, you can go to a football game and just look at people, and you'll see somebody, because they'll be crazed.
[01:49:10.462 --> 01:49:16.385]  You know, the kind of mid-level, you know, Luciferians get so into the power that they just can't control themselves.
[01:49:16.705 --> 01:49:17.506]  You can just see them.
[01:49:18.146 --> 01:49:21.828]  Now, the really high-level ones will know how to cloak it and hide it all, but these people are sick.
[01:49:23.060 --> 01:49:27.405]  Well, you look at even, we show a number of pictures of guys like Albert Pike.
[01:49:27.906 --> 01:49:34.554]  There are pictures of Pike where you just look at his eyes and the guy, to me anyway, looks completely demonically possessed.
[01:49:35.596 --> 01:49:39.621]  And yet, when they show these same pictures on the History Channel, they'll have masons
[01:49:40.366 --> 01:49:52.532]  On the History Channel, talking about Pike as, well, this sort of grandfatherly, you know, old wizard-looking type character, or they'll write these glowing reviews about him as though he's the classic Renaissance man and so on.
[01:49:53.153 --> 01:49:55.934]  But he really looks kind of frightening.
[01:49:56.874 --> 01:49:58.375]  Manly Hall is another one.
[01:49:58.415 --> 01:50:01.237]  You look at his pictures, his eyes are kind of swelled up.
[01:50:01.577 --> 01:50:07.520]  It's almost like he's trying to make himself look very sinister and almost demonic.
[01:50:08.040 --> 01:50:09.561]  They're trying to act crazed.
[01:50:10.672 --> 01:50:12.514]  Yeah, it seems that way.
[01:50:12.755 --> 01:50:18.241]  And then of course you read their writings and they're talking about the seething energies of Lucifer and so on.
[01:50:20.204 --> 01:50:26.091]  And then when the Masons try to defend these things, they're really trying to defend things that are indefensible.
[01:50:26.711 --> 01:50:42.610]  And so this is why, you know, I'm sure you noticed in the film, we interview some of the leading Masonic apologists that are writing books and getting on the History Channel and Discovery Channel and defending Masonry against a lot of the criticisms that come against it.
[01:50:43.090 --> 01:50:48.072]  Hey, let's come back and talk to Denise in California and a couple other callers for you in the final segment.
[01:50:48.453 --> 01:50:49.833]  This riveting information.
[01:50:50.534 --> 01:50:53.235]  Riddles in Stone, The Secret Architecture of Washington, D.C.
[01:50:53.615 --> 01:50:57.157]  Available right now at Infowars.com or by calling toll free 888-253-3139.
[01:51:04.637 --> 01:51:10.105]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:51:10.506 --> 01:51:18.097]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:51:18.826 --> 01:51:25.890]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
