[00:00:00.049 --> 00:00:00.449]  The 8.
[01:26:47.752 --> 01:26:53.619]  You think that you can't bank, get a driver's license, or rent an apartment, or get insurance without a social security number?
[01:27:13.232 --> 01:27:28.820]  When the FBI agents wrote a memo saying that the hijackers were planning to fly planes into the World Trade Centers, specifically, Bush signed W199I telling them they'd be arrested if they stopped Al-Qaeda.
[01:27:29.860 --> 01:27:34.402]  That is, if they stopped the CIA agents walking around going, I'm Al-Qaeda, I'm Al-Qaeda!
[01:27:34.623 --> 01:27:35.903]  Can I leave a Koran here?
[01:27:36.163 --> 01:27:37.144]  Can I threaten you?
[01:27:37.384 --> 01:27:38.464]  Remember my face!
[01:27:38.865 --> 01:27:39.705]  I'm Al-Qaeda!
[01:27:40.045 --> 01:27:41.546]  I'm gonna fly planes into buildings!
[01:27:42.293 --> 01:27:44.416]  Then the guys, you know, turn out to still be alive.
[01:27:45.217 --> 01:27:46.660]  Just all of this is total theater.
[01:27:46.680 --> 01:27:47.501]  I'm going to get back into that.
[01:27:47.541 --> 01:27:49.283]  I do want to take more of your calls a little bit quicker.
[01:27:49.744 --> 01:27:50.765]  Quicker clip here.
[01:27:50.786 --> 01:27:55.292]  The total free number to join us on air on this live September 11th broadcast is 1-800-259-9231.
[01:28:00.487 --> 01:28:01.608]  That's 1-800-259-9231.
[01:28:02.548 --> 01:28:13.174]  One of the most blaring examples of government propaganda in the news, using 9-1-1 as a police state and quote, a pretext for a new world order, as Gary Hart said at the CFR meeting.
[01:28:14.214 --> 01:28:15.815]  And what's the biggest red flag?
[01:28:16.835 --> 01:28:24.599]  Or smoking gun of the hundreds of thousands really that are out there of the sloppy job the globalists did on September 11th.
[01:28:24.699 --> 01:28:31.743]  And you get the big picture of how Europe controls us and is now letting all this come out to demonize America worldwide.
[01:28:32.104 --> 01:28:36.706]  When really it's Europe using us as the attack bulldog to take over.
[01:28:37.146 --> 01:28:39.168]  It's like they used the Soviets in the last century.
[01:28:40.488 --> 01:28:43.230]  It's something else when you figure out their operational system.
[01:28:44.935 --> 01:28:51.120]  I mean, I just read a PNAC document where they said they want to develop race-specific viruses, bacteria, to kill certain races.
[01:28:51.721 --> 01:28:53.242]  That's the Vice President, people!
[01:28:53.262 --> 01:28:56.745]  And you better believe it's for you.
[01:28:57.145 --> 01:28:58.226]  You better believe it.
[01:28:59.707 --> 01:29:12.298]  Before I go back to the calls, I'm gonna, when I get off the air here in an hour and, uh, twenty-five minutes, I'm gonna get in my vehicle, and I'm gonna drive down to South Texas, to Houston, to West Houston.
[01:29:13.542 --> 01:29:23.949]  When I get to Western Houston, I am going to go into the Western Oak Shopping Center, and I'm going to give a 30-minute speech there at the Alamo Draft House Cinema.
[01:29:24.409 --> 01:29:31.954]  Then I'm going to show the Road to Tyranny, and then I'm going to play the film THX 1138, the George Lucas classic.
[01:29:32.475 --> 01:29:36.397]  It'll be a thing that'll go on from 7 to 1130 at night.
[01:29:37.018 --> 01:29:38.759]  Seven bucks gets you into both features.
[01:29:39.787 --> 01:29:47.810]  Okay, so I look forward to seeing everybody down there and meeting and talking to you and it's going to be fantastic in Houston today!
[01:29:49.270 --> 01:29:52.471]  And I still didn't call my uncle and tell him I was going to be there.
[01:29:54.772 --> 01:29:58.193]  And I still didn't, my great-uncle, I need to do that.
[01:29:58.213 --> 01:29:59.834]  I need to call my dad and tell him to do that for me.
[01:30:02.035 --> 01:30:05.496]  I've been so busy I've got to get a few people on the guest list too, some media people and
[01:30:07.031 --> 01:30:08.972]  Well, I don't know about a red flag or a smoking gun.
[01:30:08.992 --> 01:30:09.972]  To me, it's all in plain view.
[01:30:09.992 --> 01:30:10.532]  But I do know that
[01:30:37.059 --> 01:30:42.922]  There's a species of snake out there called the Anacondia luciferia as a cobra clutch on the media.
[01:30:43.482 --> 01:30:52.828]  That's the only reason why the public, the mass public now, doesn't know what happened on 9-11, at least the true factual account of what happened.
[01:30:53.968 --> 01:31:00.912]  If it wasn't for that, I mean, people would be greeming to have Bush's head on a platter, literally.
[01:31:02.324 --> 01:31:12.168]  Well, Bush is a puppet, and I don't wish any harm upon the Chief Executive, or Bill Clinton, or any other snot-nosed brat of the New World Order.
[01:31:12.648 --> 01:31:15.109]  Any other fake crying... I mean, that's so sick.
[01:31:15.349 --> 01:31:17.570]  Watching that on 60 Minutes 2, Bush... Did he really cry?
[01:31:17.810 --> 01:31:20.091]  He couldn't even get a tear out, so he touched his eye.
[01:31:20.391 --> 01:31:21.432]  He really cried on TV?
[01:31:21.592 --> 01:31:22.232]  Well, he tried.
[01:31:22.252 --> 01:31:23.953]  He kept trying to, you know, he rehearsed it.
[01:31:24.673 --> 01:31:28.935]  And he just kept trying and trying, and he went, look, look, he touched it.
[01:31:30.206 --> 01:31:31.407]  It was sickening.
[01:31:31.627 --> 01:31:33.668]  It was like watching Ted Bundy in his trial.
[01:31:34.369 --> 01:31:34.609]  It is.
[01:31:34.649 --> 01:31:35.710]  It's akin to the same thing.
[01:31:36.030 --> 01:31:37.050]  Oh, it's incredible.
[01:31:37.130 --> 01:31:38.591]  But, I mean, he's a minion.
[01:31:38.611 --> 01:31:39.692]  He is.
[01:31:39.732 --> 01:31:40.332]  He's a puppet.
[01:31:40.432 --> 01:31:41.573]  He's a puppet.
[01:31:41.593 --> 01:31:42.534]  Total puppet.
[01:31:43.554 --> 01:31:45.656]  But I like to talk about the Schiavo thing.
[01:31:47.017 --> 01:31:48.457]  What's going on with that poor lady.
[01:31:48.898 --> 01:31:49.218]  Sure.
[01:31:49.458 --> 01:31:53.160]  I think, symbolically, it's almost analogous to what's going on in this society.
[01:31:53.601 --> 01:31:54.681]  And we know what they're doing with her.
[01:31:54.701 --> 01:31:55.882]  We know.
[01:31:55.902 --> 01:31:58.003]  We don't directly say it, but I know what you meant yesterday.
[01:32:00.262 --> 01:32:04.626]  It's like a weed choking a helpless flower.
[01:32:04.646 --> 01:32:05.947]  That's what's going on in this society.
[01:32:06.448 --> 01:32:08.990]  I think it's almost symbolic of what's going on over here in this country.
[01:32:09.771 --> 01:32:10.772]  Nobody wants to wake up.
[01:32:11.933 --> 01:32:14.175]  Well, their feeding tube is also being taken away.
[01:32:14.495 --> 01:32:15.416]  They don't have much time.
[01:32:15.576 --> 01:32:19.180]  If they don't wake up, they're going to go down also.
[01:32:19.745 --> 01:32:26.470]  I mean, did you... PNAC document says they want to use race-specific bioweapons on us, and a quote... It doesn't surprise me.
[01:32:26.490 --> 01:32:27.090]  It doesn't surprise me.
[01:32:27.130 --> 01:32:33.435]  How many years... I don't know how long you've been listening, but I said, they're gonna create a global control grid, lock us down, and then bioweapon us.
[01:32:33.855 --> 01:32:34.976]  And we got them saying it.
[01:32:35.256 --> 01:32:36.998]  And so far, they've been carrying it out.
[01:32:37.338 --> 01:32:38.419]  They're just more sophisticated.
[01:32:38.439 --> 01:32:43.522]  You see, in the past, they would hang black men on a tree, but they know that brute force can be turned against you.
[01:32:43.722 --> 01:32:44.743]  They're more sophisticated.
[01:32:44.783 --> 01:32:48.586]  They've developed more subtle ways, and better,
[01:32:49.258 --> 01:32:51.819]  As far as for them to progress, they've developed better ways.
[01:32:51.899 --> 01:32:52.879]  We passed the Romans.
[01:32:53.499 --> 01:32:59.661]  Many say this is the continuation of the Roman Empire, due to the symbolism and all the degradation and immorality.
[01:32:59.701 --> 01:33:02.942]  But I think in this perpetuation, there's been a progress for them.
[01:33:03.142 --> 01:33:04.602]  It's worse than the Roman Empire.
[01:33:05.263 --> 01:33:05.803]  Ten times.
[01:33:06.683 --> 01:33:15.266]  I mean, they don't put it in the news that they're going to kill poor women on TV and kill them and take their lives away when they're pleading to be fed.
[01:33:16.146 --> 01:33:16.706]  I mean, come on.
[01:33:18.018 --> 01:33:20.139]  All over they're euthanizing people who are begging for food.
[01:33:20.159 --> 01:33:20.880]  Have a good one, Alex.
[01:33:21.280 --> 01:33:22.000]  Thanks for the call.
[01:33:22.081 --> 01:33:22.681]  Yeah, that's it.
[01:33:22.701 --> 01:33:24.322]  That's it.
[01:33:24.342 --> 01:33:26.923]  I mean, just 50 million abortions, folks.
[01:33:27.024 --> 01:33:28.564]  You know, I just rounded it down.
[01:33:28.584 --> 01:33:30.626]  It's 54 million and a half.
[01:33:31.766 --> 01:33:32.647]  Yeah, you know, so many.
[01:33:32.667 --> 01:33:34.408]  We didn't even talk about the other four and a half mil.
[01:33:34.428 --> 01:33:35.248]  50 million.
[01:33:35.268 --> 01:33:37.690]  You know, just, ah, mil here, mil there.
[01:33:37.710 --> 01:33:38.911]  Yeah, the globalist guild.
[01:33:39.451 --> 01:33:40.432]  200 million last century.
[01:33:41.132 --> 01:33:43.573]  And now they're setting it up to do it here in these yuppies.
[01:33:43.633 --> 01:33:44.294]  These yuppies.
[01:33:45.299 --> 01:33:46.260]  Trying to keep what they got.
[01:33:46.280 --> 01:33:48.002]  They'll do anything the government says.
[01:33:48.022 --> 01:33:49.564]  They'll jump how high when they say it.
[01:33:50.004 --> 01:33:56.651]  I always did good in the past, they say, by kissing up to everybody and following orders and being a slug.
[01:33:57.272 --> 01:33:59.955]  Well, you're going to get stomped on now by your own master.
[01:33:59.975 --> 01:34:03.078]  I can hear you little slugs begging, please don't step on me!
[01:34:03.118 --> 01:34:03.358]  No!
[01:34:03.639 --> 01:34:04.580]  I sold everybody out!
[01:34:04.940 --> 01:34:05.040]  Ah!
[01:34:05.080 --> 01:34:05.440]  No!
[01:34:05.561 --> 01:34:05.761]  Eek!
[01:34:06.775 --> 01:34:09.960]  Let's go ahead and talk to Ken in Texas.
[01:34:09.980 --> 01:34:10.641]  Go ahead, Ken.
[01:34:11.002 --> 01:34:11.502]  Hi Alex.
[01:34:12.163 --> 01:34:18.233]  Basically, I'm just going to say that I think one of the biggest points that I think about when I think back about the attacks that took place was the fact that
[01:34:19.099 --> 01:34:24.103]  No fighter aircraft intercepted those commercial airplanes enroute to the towers.
[01:34:24.303 --> 01:34:25.143]  Over an hour?
[01:34:25.644 --> 01:34:32.609]  And then like an hour and thirty-something minutes from the time that the third one goes, I mean it goes on and on and on.
[01:34:32.929 --> 01:34:33.209]  Right.
[01:34:33.489 --> 01:34:45.258]  And there was just no, there were no intercepts at whatsoever, but of course I do remember back in October of 1999 when Payne Stewart's private jet basically went off course and there were fighter planes on his wings probably within 15 to 20 minutes from the time he went off course.
[01:34:45.820 --> 01:34:51.422]  Yeah, they were launched within about 9 minutes, and within 18 minutes there were 5 F-16s around him.
[01:34:51.922 --> 01:35:04.826]  So, that raises major flags, basically because these are big commercial airliners, and they hold a lot more people than a private jet would hold, so it raises all kinds of questions as to why they weren't intercepted, quite frankly.
[01:35:05.466 --> 01:35:08.287]  And it's a very tragic day as I look back for America.
[01:35:09.198 --> 01:35:10.078]  Let's see what happened.
[01:35:10.398 --> 01:35:20.081]  It was also a very pivotal time as far as what we've talked about and what you've talked about and others have talked about for a long time now as far as changing the focus of America now to a war against terrorism.
[01:35:20.761 --> 01:35:25.062]  And as you said, it gave them the pretense to go ahead and fight the war against terrorism that we're conducting now.
[01:35:25.162 --> 01:35:32.204]  But, you know, it's really interesting the things you point out about how the Europeans are basically going to sit back and watch us as we basically engage in all these activities.
[01:35:32.224 --> 01:35:36.865]  Then they'll be out of it and they'll be considered to be the good guys when the UN comes in and other forces come in.
[01:35:37.762 --> 01:35:40.363]  Well, I mean, there is no separation.
[01:35:40.443 --> 01:35:43.984]  The Europeans, according to Forbes, own the majority of our Federal Reserve.
[01:35:44.265 --> 01:35:46.525]  They're the ones pulling the strings, doing all this.
[01:35:46.966 --> 01:35:51.727]  America, the mantle of America, is just the envelope that their agenda's in.
[01:35:52.488 --> 01:35:55.449]  And so that's why they'll come out and admit that our government did it.
[01:35:56.467 --> 01:36:03.749]  Because they know the world will see that only in a two-dimensional layering and go, oh, that's the USA, those cowboys.
[01:36:04.370 --> 01:36:08.231]  And see Bush is from Texas, they say, oh, that wild cowboy.
[01:36:08.291 --> 01:36:17.353]  Again, it's that image of what America really is being bad, when in truth, it's a little, stunted, blue-blood, skull-and-bones member playing a part for his masters.
[01:36:17.634 --> 01:36:25.656]  You know, Alex, if you get a chance sometime, and I know you're a very busy person, but if you get a chance sometime, if you look back at the old James Bond movies, and I like them all, I have every one of them as a matter of fact,
[01:36:26.246 --> 01:36:31.689]  But I was going to say that back in the early 60s, like 63, to Russia, I'm sorry, from Russia with love, etc.
[01:36:32.129 --> 01:36:37.372]  You'll notice in movies like that that there was an example given by the so-called spectra, which is what they call a spectra.
[01:36:37.412 --> 01:36:41.974]  I believe they called him the evil power back then that was fighting Bond and his group.
[01:36:42.014 --> 01:36:49.178]  But what I'm saying is there's some examples given about how, for example, how they'll use two little fishes, they'll fight each other in the boat, and the third fish sits back and waits.
[01:36:49.738 --> 01:36:54.581]  And when the two fishes have exhausted themselves by fighting each other out or whatever, having their combat in the water,
[01:36:54.949 --> 01:36:55.409]  We're good to go.
[01:37:17.228 --> 01:37:25.374]  Anyway, I appreciate what you do, Alex, and your courage every day as you get up there and so many others like you that are in your ranks that are just letting the word get out consistently and persistently.
[01:37:25.954 --> 01:37:35.281]  I appreciate what you're doing because I know you're putting a few bumps in the road for the Glovist along the way so their ride is not quite as smooth as they thought it would be and I appreciate what you do.
[01:37:35.801 --> 01:37:36.302]  Well, thank you.
[01:37:36.342 --> 01:37:37.202]  I appreciate the call.
[01:37:38.891 --> 01:37:40.912]  It's mind-boggling, all the things that have happened.
[01:37:40.932 --> 01:37:47.895]  I mean, when you really go through the timelines, and you really go through all the things the Globalists have done, I mean, it's... You would have to be insane.
[01:37:47.975 --> 01:37:52.497]  It's impossible for some hijackers to do what they claim happened.
[01:37:54.117 --> 01:37:57.879]  And then you look at just all the places where the Globalists have been caught.
[01:37:58.779 --> 01:38:00.620]  The thing is, it doesn't matter when they get caught.
[01:38:00.640 --> 01:38:02.220]  They just keep moving along.
[01:38:03.301 --> 01:38:04.181]  Omar in Michigan.
[01:38:04.221 --> 01:38:05.002]  Go ahead, Omar.
[01:38:05.562 --> 01:38:08.583]  Yeah, I think it's time to turn up the fire on them.
[01:38:09.428 --> 01:38:16.911]  We need to demand that all involved in the 9-1-1 attacks, from the globalists to the Bush administration, be brought to justice.
[01:38:16.971 --> 01:38:20.793]  We need to demand that the United Nations leave America.
[01:38:20.813 --> 01:38:25.975]  Then we need to stop buying these foreign goods because that's what's putting us out of work.
[01:38:26.996 --> 01:38:31.898]  And we demand that Congress also repeal all unconstitutional laws.
[01:38:33.198 --> 01:38:36.820]  Now, if a person wants to get an idea of what's coming,
[01:38:37.648 --> 01:38:39.909]  I think they should watch that movie, The Pianist.
[01:38:39.990 --> 01:38:40.950]  Have you seen it, Alex?
[01:38:41.170 --> 01:38:41.831]  No, I haven't.
[01:38:42.211 --> 01:38:51.557]  Oh, man, that was something else, the way they described what happened to the Jewish people in that movie, in Poland.
[01:38:51.777 --> 01:39:01.643]  I think if people watch that, they'll see that they don't want no new world order, especially some of these neocons that don't know what they're involved in.
[01:39:04.173 --> 01:39:07.636]  Absolutely, and you know, they're going to hang the neocons out to dry.
[01:39:07.656 --> 01:39:10.459]  They're going to be used in all of this.
[01:39:11.920 --> 01:39:22.710]  And out of this, think of how conservatism and lower taxes and the Second Amendment is being discredited right now, falsely, because the left is seeing
[01:39:23.627 --> 01:39:27.290]  Republicanism and conservatism is Bush and Cheney and PNAC.
[01:39:27.690 --> 01:39:29.572]  When in reality, that's their own system.
[01:39:29.932 --> 01:39:33.935]  And it's energizing the universities and the communists and the left wing.
[01:39:34.496 --> 01:39:36.898]  I mean, this is a beautiful globalist plan.
[01:39:37.278 --> 01:39:46.245]  We're going to get a powerful UN, a powerful Secretary General, and they're going to take all that energy and they're just going to, oh, it's going to be horrible.
[01:39:47.266 --> 01:39:48.086]  I agree.
[01:39:48.567 --> 01:39:52.049]  But one of the things that I want to say is that
[01:39:53.191 --> 01:39:57.432]  You cannot let them do anything with taking God out of America.
[01:39:58.353 --> 01:40:02.554]  Because without God, there is no America.
[01:40:02.734 --> 01:40:03.414]  That's all I got.
[01:40:03.554 --> 01:40:04.615]  Thanks for the call.
[01:40:04.895 --> 01:40:09.476]  I agree with you, and that takes the hedge of protection away from us.
[01:40:09.556 --> 01:40:10.777]  Let's go to the next caller.
[01:40:10.797 --> 01:40:11.957]  Which one's up next, guys?
[01:40:13.278 --> 01:40:14.898]  Charles in California, go ahead.
[01:40:15.779 --> 01:40:16.239]  Hey, Alex.
[01:40:17.674 --> 01:40:21.215]  I have an opinion for you in the state of Oxfam here.
[01:40:22.036 --> 01:40:23.556]  You're not my minion, please.
[01:40:23.736 --> 01:40:25.217]  Well, I listen to you all the time.
[01:40:25.237 --> 01:40:27.718]  I bought all your videos except for two of them.
[01:40:28.678 --> 01:40:29.979]  And I ordered those other books.
[01:40:30.599 --> 01:40:35.441]  Anyways, did you hear that lady that was speaking on Jerry Brownfield's show before your show?
[01:40:35.461 --> 01:40:36.401]  No, I didn't.
[01:40:37.161 --> 01:40:47.385]  Her name was Joan, and she was basically down at the World Trade Organization meeting down in Cancun, and she was basically saying everything that you say.
[01:40:48.427 --> 01:40:56.509]  Things such as they're going to put on that tax, 20-25% kind of a value-added tax coming in the future.
[01:40:56.529 --> 01:41:13.293]  She also was saying that there was basically an income tax, not an income tax, but when you get a depreciation on your house every year for paying the interest, that was going to be eliminated within 5-10 years.
[01:41:14.694 --> 01:41:16.015]  Yeah, that's Joan Vion.
[01:41:16.315 --> 01:41:16.996]  Yeah.
[01:41:17.616 --> 01:41:19.877]  She goes to all the meetings and records what they have to say.
[01:41:19.917 --> 01:41:21.578]  I mean, it's been on the record for 20 years.
[01:41:21.598 --> 01:41:23.219]  They're going to take all our private property.
[01:41:24.420 --> 01:41:28.282]  They're going to create a sales tax on top of an income tax.
[01:41:28.363 --> 01:41:29.403]  See, that's how the scam works.
[01:41:29.423 --> 01:41:30.964]  People think, oh, a sales tax.
[01:41:31.064 --> 01:41:31.785]  I'm conservative.
[01:41:31.845 --> 01:41:33.065]  I'm out pushing for it.
[01:41:33.125 --> 01:41:34.086]  No, no, no.
[01:41:34.146 --> 01:41:35.067]  That's a plan, folks.
[01:41:35.087 --> 01:41:36.568]  They're going to have both taxes.
[01:41:37.428 --> 01:41:39.089]  There's going to be a tax on driving your car.
[01:41:39.129 --> 01:41:42.491]  Percentage will go to the locals, the state, the feds, and the UN.
[01:41:42.531 --> 01:41:43.572]  That's been announced.
[01:41:44.684 --> 01:41:48.187]  Dozens of new taxes.
[01:41:48.207 --> 01:41:50.428]  The government's going to decide what your kid's going to be.
[01:41:50.448 --> 01:41:52.129]  How could you escape all that?
[01:41:52.249 --> 01:41:55.351]  Move to Montana and live in the middle of nowhere or something?
[01:41:55.531 --> 01:42:00.735]  The problem is in Montana and in Utah and places, there's more provocateur feds.
[01:42:00.775 --> 01:42:07.599]  The feds even pay for a, quote, militia officer or anti-extremist officer on the smallest departments.
[01:42:08.199 --> 01:42:11.722]  And these guys go around framing people, bearing pipe bombs on land,
[01:42:12.482 --> 01:42:16.647]  Uh, they're commissariats, and their job is to frame people so they can pick them up.
[01:42:16.887 --> 01:42:19.029]  The gulag system's already going nationwide.
[01:42:19.390 --> 01:42:26.077]  Well, how can you, uh, you know, basically, I'm living here in California, I'm worried about the Mexicans taking over.
[01:42:26.736 --> 01:42:28.037]  If you own a house?
[01:42:28.117 --> 01:42:29.318]  Well, let me make that clear.
[01:42:29.658 --> 01:42:37.803]  The white bankers have funded a revolution of racism by the race group known as La Raza, which means the race.
[01:42:38.084 --> 01:42:38.344]  Right.
[01:42:38.504 --> 01:42:42.266]  And by the Aslan group, which says they want to kill all whites in their official documents.
[01:42:43.147 --> 01:42:45.689]  And so, you are upset about that.
[01:42:46.409 --> 01:42:50.632]  And, yeah, California, I would evacuate that state.
[01:42:50.692 --> 01:42:53.614]  That is a beta testing area that will be the first to fall.
[01:42:54.693 --> 01:42:56.253]  What about Texas, that too?
[01:42:56.934 --> 01:43:09.677]  Yeah, it's going to go Texas, Nevada, Arizona, New Mexico, Texas, like dominoes, and they're going to bypass Louisiana, Mississippi, Florida will then fall.
[01:43:10.497 --> 01:43:17.959]  And by fall, I mean, you know, they're engineering all sorts of balkanization and infighting and garbage.
[01:43:18.879 --> 01:43:23.500]  So there's basically no hope, I guess, for anybody living in this area.
[01:43:24.927 --> 01:43:26.588]  Well, you heard Ron Paul.
[01:43:26.608 --> 01:43:28.208]  He said, we're going to have a depression last hour.
[01:43:28.248 --> 01:43:28.748]  Did you hear that?
[01:43:28.888 --> 01:43:29.128]  Yeah.
[01:43:29.528 --> 01:43:53.736]  But he said, our hope is to tell people the globalists did it, to tell them their plan, so when they pull the trigger, and America's flopping around bleeding to death, we can basically evacuate, and by evacuate, psychologically, with enough people who know the truth, to then try to reform the government somehow, without the globalists using it to catapult us into a whole other level of tyranny.
[01:43:54.181 --> 01:44:02.728]  Well, I read that book Circle of Intrigue by Tex Mars, which really woke me up to a lot of the reasons why all this is happening.
[01:44:03.328 --> 01:44:07.812]  And, unfortunately, I try to tell people and they just go,
[01:44:08.457 --> 01:44:10.379]  Oh no, it would never happen here.
[01:44:10.539 --> 01:44:17.324]  Oh no, and it's like... And they said that in Russia, China, Germany, France, they said it in Argentina, they said it everywhere.
[01:44:17.725 --> 01:44:26.632]  And I make tapes and hand them to people and they say, I haven't gotten around to looking at it, or no, I, you know, I'd rather watch the game or something.
[01:44:27.132 --> 01:44:37.641]  And they're going to believe the government when they're living in government housing, when they learn how to put their head down in front of a cop, and yet third, we're all going to learn how to be slugs now.
[01:44:38.985 --> 01:44:40.886]  Dirty little pathetic slugs.
[01:44:41.286 --> 01:44:42.046]  Thanks for the call.
[01:44:43.487 --> 01:44:45.028]  But the good news is you're in Ron Paul.
[01:44:45.068 --> 01:44:46.668]  There's an awakening like we've never seen.
[01:44:47.869 --> 01:44:58.714]  This awakening's different because the feds can't bomb Oklahoma City or another World Trade Center and then blame it on us because this movement is about realizing that they are the terrorists!
[01:44:58.774 --> 01:44:59.294]  We'll be back!
[01:45:03.382 --> 01:45:07.984]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[01:45:08.204 --> 01:45:12.767]  It provides you with purified water, light, power, and communications ability.
[01:45:13.127 --> 01:45:27.614]  The Security Pack includes a Berkey Light Water Purifier, an LED Base, two Berkey Sport Filtration Bottles, the Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a backup set of two Black Berkey Purification Elements.
[01:45:27.874 --> 01:45:32.136]  The Berkey Security Pack is important every day and a must during emergencies.
[01:45:32.336 --> 01:45:47.248]  Because it provides purified water, long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices such as radios, walkie-talkies, and cell phones, as well as power for small applications.
[01:45:47.448 --> 01:45:51.111]  Get the one-stop solution for your emergency and everyday needs.
[01:45:51.251 --> 01:45:52.492]  The Berkey Security Pack.
[01:45:52.712 --> 01:45:53.973]  A retail value of $518 for only $399.
[01:45:56.835 --> 01:46:01.098]  By calling New Millennium at 888-803-4438.
[01:46:01.218 --> 01:46:02.618]  Not yet available in Iowa.
[01:46:03.199 --> 01:46:05.220]  Welcome to RealityZone.com.
[01:46:05.820 --> 01:46:07.181]  My name is G. Edward Griffin.
[01:46:08.122 --> 01:46:16.567]  When I wrote The Creature from Jekyll Island, I said, we must create an entirely new money supply which is 100% backed by precious metals.
[01:46:17.107 --> 01:46:19.628]  And we must do this within a reasonably short period of time.
[01:46:20.849 --> 01:46:25.392]  I'm now pleased to inform you that the Liberty Dollar Organization has done precisely that.
[01:46:26.218 --> 01:46:30.920]  The Liberty Dollar is 100% backed and redeemable in gold and silver.
[01:46:31.460 --> 01:46:50.309]  So, if you want to make money and protect your purchasing power, I encourage you to visit the Liberty Dollar at www.libertydollar.org or call 888-421-6181 to find out about getting a free copy of The Creature from Jekyll Island.
[01:46:50.929 --> 01:46:53.551]  That's www.libertydollar.org
[01:46:55.009 --> 01:46:59.432]  Or call toll-free 888-421-6181.
[01:46:59.452 --> 01:47:07.698]  Alex Jones here, announcing the release of my new film, Police State 3 Total Enslavement.
[01:47:07.858 --> 01:47:12.281]  Police State 3 details the architecture, goals, and operations of the New World Order.
[01:47:12.442 --> 01:47:16.825]  There is a chance to use this disaster for the New World Order.
[01:47:16.865 --> 01:47:18.186]  The New World Order.
[01:47:19.114 --> 01:47:20.756]  You will lose your liberty.
[01:47:33.968 --> 01:47:34.388]  We're good to go.
[01:48:08.075 --> 01:48:14.581]  If you believe in what we're doing and our fight here, folks, you'll get our videos, you'll get my book, you'll get the book written by Paul Watson.
[01:48:16.964 --> 01:48:19.466]  You'll get them out to people and expose the serial killers.
[01:48:19.606 --> 01:48:24.511]  Because the serial killers are so arrogant, they wrote down everything they were going to do to you before they did it.
[01:48:25.752 --> 01:48:27.114]  Because they've got a part to play.
[01:48:27.654 --> 01:48:30.457]  And they carried out September 11th, they are the PNAC crowd.
[01:48:32.512 --> 01:48:35.474]  And if we don't expose them, it's going to get real bad real quick.
[01:48:35.514 --> 01:48:39.557]  Now they talk about a global control grid, a global control system.
[01:48:41.138 --> 01:48:48.143]  And how once they have you in the global control system, they will begin race-specific exterminations with biological weapons.
[01:48:48.223 --> 01:48:53.227]  That's why they've been killing off all the top bioweapons experts that helped develop all this.
[01:48:53.267 --> 01:48:54.968]  They've been dying by the scores globally.
[01:48:55.868 --> 01:49:00.732]  They're being shot, stabbed, killed, drowned, run over in cars, found burn up in cars.
[01:49:02.077 --> 01:49:03.738]  Found floating face down in the lakes.
[01:49:04.999 --> 01:49:07.621]  Yes, we're entering very, very scary times right now.
[01:49:09.723 --> 01:49:15.768]  I mean, I'm just reading the PNAC document here, and oh, they want to use race-specific bioweapons on you after the global control grid is in place.
[01:49:15.788 --> 01:49:18.510]  I mean, come on, folks.
[01:49:18.610 --> 01:49:18.970]  Come on.
[01:49:19.010 --> 01:49:20.851]  You can see pure evil when you see it, can't you?
[01:49:21.672 --> 01:49:23.493]  Worldwide command and control system.
[01:49:23.574 --> 01:49:23.774]  Ha!
[01:49:24.794 --> 01:49:25.275]  What's that?
[01:49:25.315 --> 01:49:27.036]  A worldwide command and control system?
[01:49:27.937 --> 01:49:30.499]  In the same paragraph, race-specific bioweapons.
[01:49:31.602 --> 01:49:35.333]  As I said, they're going to get you herded into the cities, and they're going to start knocking you out.
[01:49:35.774 --> 01:49:39.384]  Because they're going to enjoy all the life extension, all the great technologies.
[01:49:40.091 --> 01:49:50.833]  This War on Terror is about more and more terror, worse and worse, herding us into more and more compact, controlled cities, exterminating, exterminating, and always, you didn't give us enough control, exterminate, exterminate.
[01:49:51.153 --> 01:49:56.695]  The boogeyman keeps getting ya, gotta get rid of more of ya, gotta arrest more people, you're all behind it.
[01:49:57.315 --> 01:50:06.757]  Neighbors informing on neighbors, and the more you tattle, the more liberty you give up, the more bio-attacks, the more chemical attacks, the more radiological events you're gonna see.
[01:50:07.577 --> 01:50:10.460]  They're going to do it all from the safety of their armored compounds.
[01:50:12.342 --> 01:50:17.768]  And we're really in trouble in a few years when everything goes mechanized and remote control, which they're almost at that point right now.
[01:50:19.530 --> 01:50:22.393]  Oh man, we're entering a very interesting time.
[01:50:24.035 --> 01:50:29.501]  And once they get their control grid in place, where you've got to thumb scan the behind shell, and they admit the face scanners are everywhere,
[01:50:30.436 --> 01:50:32.637]  RFIDs are in all goods and tracking and tracing us.
[01:50:33.257 --> 01:50:39.078]  And after the secret arrest and people are rounded up and killed, then they'll just start massacring you in an orderly fashion.
[01:50:40.479 --> 01:50:40.879]  And I don't know.
[01:50:40.979 --> 01:50:42.079]  I don't want to let them do that.
[01:50:42.239 --> 01:50:43.279]  So I'm here telling the truth.
[01:50:43.299 --> 01:50:44.700]  And hey, a lot of you won't listen now.
