[00:00:00.089 --> 00:00:01.070]  Again, I'm Alex Jones.
[00:48:29.025 --> 00:48:33.429]  DynCorp flies the jets out with the little kidnapped kids by the tens of thousands.
[00:48:33.669 --> 00:48:38.634]  They get caught, and they get rewarded with contracts defending the oil fields in Afghanistan.
[00:48:39.407 --> 00:48:40.368]  Well, this is really interesting.
[00:48:40.388 --> 00:48:41.569]  You mentioned that corporation.
[00:48:41.589 --> 00:48:49.375]  The gentleman who works there, evidently at a pretty high level, has been writing me recently and begging me to get together with him, saying he had information.
[00:48:49.395 --> 00:48:51.397]  Maybe I need to go back and get that.
[00:48:51.417 --> 00:48:55.360]  I get so many pleas like that, but he claimed he had some information about
[00:48:56.228 --> 00:48:59.811]  Uh, a child kidnapping and sex rings at the highest levels of that corporation.
[00:49:00.152 --> 00:49:01.353]  And I didn't know what to make of it.
[00:49:01.413 --> 00:49:02.474]  Text, text, text!
[00:49:02.514 --> 00:49:05.176]  This is on InfoWars.com.
[00:49:05.236 --> 00:49:08.659]  The Sunday Herald, BBC, broke about a month ago.
[00:49:08.679 --> 00:49:10.440]  Wow, so we need to get into that.
[00:49:10.500 --> 00:49:14.184]  I need to find out more because I am really upset about this.
[00:49:14.204 --> 00:49:14.644]  Diane?
[00:49:15.004 --> 00:49:15.345]  Yes, sir?
[00:49:15.845 --> 00:49:17.206]  I'm so glad you called on this.
[00:49:17.687 --> 00:49:20.229]  There is a connection with these things.
[00:49:20.249 --> 00:49:21.470]  You know what?
[00:49:21.570 --> 00:49:23.852]  So, you know, Satan never works against himself.
[00:49:24.537 --> 00:49:36.622]  There's a British author out right now that's got a book out, and it's talking about this is the biggest secret, and how all this is going to come out, but how all the governments are into this reptilian thing, and he does not believe in Satan.
[00:49:36.662 --> 00:49:38.283]  He believes in extraterrestrials.
[00:49:38.623 --> 00:49:42.644]  Yeah, that's just the problem with his book, and that's why I don't recommend that gentleman.
[00:49:43.144 --> 00:49:43.625]  That's right.
[00:49:43.685 --> 00:49:45.245]  He is bad news.
[00:49:45.385 --> 00:49:51.848]  Well, he's a New Ager, and some of the things he says are true, but I think eventually you're going to be deterred
[00:49:52.817 --> 00:49:57.381]  And to a total subterranean level of lies there, by going without a doubt.
[00:49:57.461 --> 00:49:58.682]  All right, thanks for the call, Dianne.
[00:49:59.383 --> 00:50:01.685]  Yeah, what happens here is we have all these things we can prove.
[00:50:01.705 --> 00:50:08.491]  I mean, I get on the air and say DynCorp ran a child kidnapping ring of 200,000 women and children, a third of them small children.
[00:50:09.051 --> 00:50:10.152]  I get up here and name names.
[00:50:10.272 --> 00:50:13.095]  I would get sued in five minutes if that wasn't true.
[00:50:13.395 --> 00:50:16.457]  It has been in dozens of major European papers.
[00:50:16.758 --> 00:50:17.879]  They lost in court.
[00:50:18.119 --> 00:50:19.180]  It is a fact.
[00:50:19.700 --> 00:50:24.985]  But they yell and scream about one child to divert and distract us while they're running the kidnapping rings.
[00:50:25.665 --> 00:50:28.368]  Let's talk to Daniel in Tennessee.
[00:50:28.388 --> 00:50:29.529]  Gotta move quick now, folks.
[00:50:29.569 --> 00:50:30.670]  Texans can't stay with us all day.
[00:50:30.690 --> 00:50:31.410]  Go ahead, Daniel.
[00:50:32.111 --> 00:50:32.931]  Okay, Alex.
[00:50:32.992 --> 00:50:33.472]  Thank you.
[00:50:34.873 --> 00:50:37.115]  Yeah, time constraint seems to be a problem all the time.
[00:50:37.215 --> 00:50:40.898]  Mr. Morris, I want to congratulate you for being a fine American.
[00:50:41.199 --> 00:50:42.700]  And I want to ask both of you a question.
[00:50:42.720 --> 00:50:44.982]  Do any of you know anything about P-2-O-G?
[00:50:46.141 --> 00:50:55.509]  Well sure, that's the Rumsfeld's admitted public memo where they're going to go out and kill people's families to make them become terrorists and make them strike the U.S.
[00:50:55.609 --> 00:50:56.930]  as a pretext for war.
[00:50:57.190 --> 00:51:01.233]  That's word for word from the P2OG memo that came out four months ago.
[00:51:01.293 --> 00:51:02.094]  Tex, any comments?
[00:51:02.694 --> 00:51:03.875]  No, I think you said it.
[00:51:05.277 --> 00:51:09.360]  Here again, we're using the most heinous and satanic method.
[00:51:10.655 --> 00:51:14.378]  Oh, I agree 100%, and it seems to be getting worse every day.
[00:51:14.819 --> 00:51:19.342]  You notice they're getting bolder and bolder and bolder, so I say we need to get a little bit bolder.
[00:51:19.362 --> 00:51:23.386]  Well, they're trying to inoculate us for some mass horror in the near future.
[00:51:23.866 --> 00:51:25.067]  Oh, of course, of course.
[00:51:25.127 --> 00:51:31.933]  I mean, Gary Hart's been standing up there screaming now ever since 9-11, we're going to get hit, we're going to get hit, and we're going to die in thousands.
[00:51:32.113 --> 00:51:33.674]  And you're going to have to give your rights up.
[00:51:33.754 --> 00:51:34.555]  Anything else, Daniel?
[00:51:34.938 --> 00:51:35.118]  Right.
[00:51:35.178 --> 00:51:37.699]  Also, I wanted to make a clarification.
[00:51:37.759 --> 00:51:39.199]  You had time for the strength the other day.
[00:51:39.619 --> 00:51:44.580]  I told you I went to the state capitol in Tennessee and two troopers escorted me out saying this is a federal building.
[00:51:45.080 --> 00:51:48.741]  Well, the whole point that everybody missed was, is this is a state building.
[00:51:49.261 --> 00:51:52.362]  And I went to the library yesterday and spent all day in the Tennessee room.
[00:51:52.822 --> 00:51:57.142]  We have never succeeded or never ceded our state capitol over to the federal government.
[00:51:57.202 --> 00:51:58.383]  What are you talking about, Tex?
[00:51:58.403 --> 00:52:04.524]  Are you aware that I brought to the county commissioners that are going to vote on it in two weeks a resolution to get us out from under the Patriot Act?
[00:52:05.362 --> 00:52:09.727]  And my listeners are getting it passed or trying to get it passed in many different areas.
[00:52:10.248 --> 00:52:21.321]  And last week, our listener here from Tennessee, Daniel, went into the state capitol, they threw him out, he gave it to them calmly, and said, this is a federal building.
[00:52:23.246 --> 00:52:26.228]  Well, that tells you something right away, doesn't it?
[00:52:26.549 --> 00:52:29.011]  Well, it tells me exactly what's going on.
[00:52:29.111 --> 00:52:32.133]  I'm surprised I didn't tell you it was an international biosphere.
[00:52:33.474 --> 00:52:36.257]  That'll be next, I suppose, you know?
[00:52:36.277 --> 00:52:38.779]  I do not doubt that.
[00:52:38.799 --> 00:52:45.244]  Although, Alex, I have, and what I'm doing, I'm trying to help out as much as I can.
[00:52:45.926 --> 00:52:47.988]  I went ahead and I have a blank resolution.
[00:52:48.208 --> 00:52:49.990]  Also, I have all supporting materials.
[00:52:50.010 --> 00:52:51.191]  It's nine files.
[00:52:51.231 --> 00:52:53.874]  If you want me to send it to you, I can send it FedEx paper.
[00:52:54.414 --> 00:52:55.175]  Whichever you want.
[00:52:55.555 --> 00:53:01.160]  Email it to Alex at InfoWars.com and if it's good stuff, I'll post it.
[00:53:01.421 --> 00:53:02.261]  Gotta jump, Daniel.
[00:53:02.301 --> 00:53:04.663]  Thank you for what you're doing for the Republic.
[00:53:05.044 --> 00:53:07.706]  Ronnie in Michigan, you're on the air with Tex Mars, our guest.
[00:53:07.726 --> 00:53:08.347]  Go ahead, Ronnie.
[00:53:09.375 --> 00:53:09.595]  Hello?
[00:53:10.075 --> 00:53:10.715]  Yes, Ronnie.
[00:53:10.975 --> 00:53:13.556]  Hey, I'm up here in Petoskey, Michigan.
[00:53:13.636 --> 00:53:18.437]  Could someone tell me what would we need to do to try to protect ourselves?
[00:53:18.597 --> 00:53:22.558]  Our town ain't as big as like Detroit or other places like that, you know?
[00:53:23.378 --> 00:53:24.879]  What could we do up here in northern Michigan?
[00:53:24.899 --> 00:53:26.139]  We're up by Mackinac Bridge.
[00:53:26.739 --> 00:53:29.640]  What are examples of things we can do to wake folks up, Tex?
[00:53:30.920 --> 00:53:34.021]  You know, it's so simple in a way, I think.
[00:53:34.041 --> 00:53:35.241]  Tell your friends.
[00:53:36.382 --> 00:53:37.202]  Tell your neighbors.
[00:53:38.601 --> 00:53:43.802]  Get them a copy of Alex Jones' new book on 9-11 that tells the truth.
[00:53:44.242 --> 00:53:45.803]  Absolutely shocking thing.
[00:53:46.603 --> 00:53:49.184]  You know, a man wrote to me recently, let me just say this very quickly.
[00:53:49.504 --> 00:53:58.466]  He wrote to me and he says, Tex, he said, please get on your radio program and ask people to contribute so that you can send a copy of Alex Jones' outstanding book
[00:53:59.182 --> 00:53:59.322]  Uh, 9-11.
[00:53:59.382 --> 00:54:01.003]  You know, you have the video.
[00:54:01.023 --> 00:54:03.165]  This is the book that is unbelievably good.
[00:54:03.625 --> 00:54:12.110]  And this gentleman said, please tell everybody to send you money so that you can buy a copy to send to every congressman and senator in Washington, D.C.
[00:54:12.371 --> 00:54:17.774]  Well, I don't have to tell people, send me money so I can... You can order the book and send it to your own congressman.
[00:54:18.114 --> 00:54:19.575]  It'll be much more effective.
[00:54:20.316 --> 00:54:25.619]  Uh, and your senator... And, you know, sometimes these people are just ignorant themselves.
[00:54:25.639 --> 00:54:26.640]  There are at least a few
[00:54:27.344 --> 00:54:27.944]  In Congress.
[00:54:28.264 --> 00:54:31.565]  You remember old Jack Brooks from Beaumont, Texas?
[00:54:31.865 --> 00:54:34.145]  Yeah, I've got that video clip in the takeover.
[00:54:34.185 --> 00:54:35.706]  He brings up the concentration camps.
[00:54:35.826 --> 00:54:46.008]  Yeah, so here's a congressman, obviously somebody brought to his attention these gulag concentration camps being built, and he brought it up before a congressional committee.
[00:54:46.028 --> 00:54:49.649]  Well, they tried to shut him up, but he was one of the most powerful congressmen.
[00:54:50.289 --> 00:54:52.309]  Amazingly, he said, hey, wait just a minute.
[00:54:52.369 --> 00:54:56.070]  I think this should get out to the public about this Rex 84 plan.
[00:54:56.090 --> 00:54:56.470]  So you see,
[00:54:57.074 --> 00:54:58.494]  We have a chance here.
[00:54:58.534 --> 00:55:02.616]  We have a window of opportunity before they close us down.
[00:55:02.656 --> 00:55:06.337]  And if we don't take it, hey, maybe they won't be able to shut us down.
[00:55:07.017 --> 00:55:07.597]  Absolutely.
[00:55:07.617 --> 00:55:08.877]  We got a short circuit.
[00:55:08.917 --> 00:55:09.838]  Anything else, Ronnie?
[00:55:09.998 --> 00:55:15.139]  Well, I just wanted to say I try to talk to as many people that will listen up, your family and otherwise.
[00:55:15.683 --> 00:55:18.765]  And it's kind of like, you know, well, this guy, he's off the wall.
[00:55:18.785 --> 00:55:21.367]  See, I've found that if you just talk to somebody, they won't listen.
[00:55:21.407 --> 00:55:30.333]  But if you give them a text message, a newsletter, or you tell them to tune into the show, or you give them a copy of one of my videos, that will wake them up, because it's all right there in their face.
[00:55:30.373 --> 00:55:30.893]  Thanks, Ronnie.
[00:55:30.954 --> 00:55:31.954]  Yeah, thank you guys, too.
[00:55:31.994 --> 00:55:34.296]  And God bless everybody out there for what they're doing.
[00:55:34.336 --> 00:55:36.377]  I can't wait to get in heaven with you God and people.
[00:55:36.938 --> 00:55:37.738]  God bless you, Ronnie.
[00:55:38.278 --> 00:55:38.839]  God bless you.
[00:55:39.219 --> 00:55:40.179]  You bet.
[00:55:40.459 --> 00:55:44.720]  Two more calls and then that's it for Tex Mars and I appreciate him joining us and spending so much time today.
[00:55:45.481 --> 00:55:47.421]  The next one is Charmaine.
[00:55:47.801 --> 00:55:48.261]  Charlene.
[00:55:48.461 --> 00:55:49.522]  Charlene, excuse me.
[00:55:49.542 --> 00:55:52.182]  In Colorado, you're on the air with Professor Tex Mars.
[00:55:52.222 --> 00:55:52.642]  Go ahead.
[00:55:53.463 --> 00:55:54.923]  Yes, I have a question for you.
[00:55:55.363 --> 00:56:02.085]  Have you ever heard of Robert Conquest, an author, and John Manship White?
[00:56:02.305 --> 00:56:03.125]  They wrote a book
[00:56:04.162 --> 00:56:09.006]  And it was published in 1984, What To Do When The Russians Come, A Survivor's Guide.
[00:56:09.026 --> 00:56:14.310]  I sort of vaguely remember the book, but I must say, I know nothing about the... Oh, okay.
[00:56:14.570 --> 00:56:17.772]  Okay, well... The Russians aren't coming, the New World Order is coming.
[00:56:17.792 --> 00:56:18.233]  Right, right.
[00:56:18.253 --> 00:56:20.214]  Well, that's part of it.
[00:56:20.254 --> 00:56:28.861]  I think they're part of it, that the whole Soviet, you know, the planks of the, you know, of the Marxism... Yeah, look at America today.
[00:56:28.901 --> 00:56:30.602]  We've implemented almost the whole ten planks.
[00:56:30.842 --> 00:56:33.304]  Anyhow, one of the chapters in this book is, like,
[00:56:33.832 --> 00:56:45.600]  It's a survivor's guide and it tells like immediate dangers, prison and labor camp and it tells you know I kind of like a survivor's guide what you know how to what will happen exactly in that.
[00:56:46.421 --> 00:56:47.761]  Okay well we appreciate that.
[00:56:48.042 --> 00:56:55.827]  So I don't know if you know if maybe you can get the book and you can check it out you know that those chapters might be interesting to your research in that.
[00:56:56.417 --> 00:56:57.138]  We'll try to do this.
[00:56:57.158 --> 00:56:58.339]  It's a little bit dated now.
[00:56:58.760 --> 00:57:00.241]  I think there's so much more, you know.
[00:57:00.321 --> 00:57:00.742]  Yeah, right.
[00:57:00.782 --> 00:57:02.344]  Yeah, I'm sure it's dated.
[00:57:02.364 --> 00:57:04.946]  But I do appreciate it.
[00:57:05.207 --> 00:57:05.827]  We'll look at it.
[00:57:05.847 --> 00:57:11.714]  I tried to scout about everything I could find that was current to put in my video, Google Ad USA, and I want to recommend Masters of...
[00:57:12.213 --> 00:57:13.913]  I'm like this guy from Michigan.
[00:57:13.973 --> 00:57:15.454]  I just received your video.
[00:57:40.290 --> 00:57:43.453]  First time, you know, even listening to Shortwave in the last month here.
[00:57:44.153 --> 00:57:49.617]  And I knew this stuff was going to happen, but I didn't know to what degree.
[00:57:49.718 --> 00:57:51.359]  My wife and I watched your video last night.
[00:57:51.399 --> 00:57:54.341]  We are just absolutely horrified by what's going on.
[00:57:55.362 --> 00:57:57.003]  And like I said, I'm like this guy from Michigan.
[00:57:57.544 --> 00:57:59.025]  Who do I get these videos out to?
[00:57:59.185 --> 00:58:00.146]  What can I do?
[00:58:00.366 --> 00:58:07.412]  Local talk show host, local ministers, the county and city government, and to your police chief.
[00:58:07.432 --> 00:58:08.673]  Taxi, do you have any suggestions?
[00:58:09.726 --> 00:58:10.066]  I think.
[00:58:10.106 --> 00:58:10.686]  Tell friends.
[00:58:10.886 --> 00:58:11.847]  Tell every friend you can.
[00:58:12.127 --> 00:58:16.968]  Now, the interesting thing is, of course, many people are in denial and it scares them.
[00:58:17.068 --> 00:58:19.548]  It leaves them outside their comfort zone.
[00:58:19.949 --> 00:58:23.389]  And remember always, at first they'll say, oh no, this can't be true.
[00:58:23.429 --> 00:58:26.490]  We would, certainly we would have known about these things.
[00:58:26.530 --> 00:58:28.050]  The major media would have told us.
[00:58:28.651 --> 00:58:29.931]  And we realize that.
[00:58:30.011 --> 00:58:38.873]  So many people, Alex, you can tell the folks out there, but how many people have come up to you and said, you know, when I first heard you, I thought this is the craziest thing I've ever heard.
[00:58:39.443 --> 00:58:46.475]  But as I began to read and study and listen more, you see, like the Bible talks about the good Bereans...
[00:58:47.068 --> 00:58:47.468]  We're good to go.
[00:59:10.657 --> 00:59:13.738]  Yeah, the world's 180 degrees from what I thought it was.
[00:59:14.058 --> 00:59:14.698]  You're right.
[00:59:15.139 --> 00:59:16.559]  Just plant the seeds.
[00:59:16.679 --> 00:59:20.961]  Just nudge them to start thinking about the systems of power that surround us.
[00:59:22.421 --> 00:59:25.002]  And I did read, Mr. Myers, your book
[00:59:25.532 --> 00:59:28.614]  Your book on Project Lucid, which was very interesting.
[00:59:28.634 --> 00:59:31.035]  Yeah, I wrote that about six, seven years ago.
[00:59:31.055 --> 00:59:31.135]  Yeah.
[00:59:31.175 --> 00:59:35.998]  Bump scan into my own cell, biometrics, implantable chips, now turn on the nightly news.
[00:59:36.058 --> 00:59:36.598]  What do you see?
[00:59:36.998 --> 00:59:53.327]  And another thing, which was really interesting, because like I said, I've just been listening to Shortwave probably about a month now, and it was interesting that my wife were talking about some of this stuff, and right away, on TV one night, they decided to play the movie The Rock, which if you remember was about biological weapons
[00:59:54.011 --> 01:00:08.332]  Being pointed at San Francisco and it's just it's so it's weird but it's neat at the same time because I believe the Lord Jesus Christ is coming soon but to see this stuff all unfold right before our eyes and I just I thank God for you Alex and thank God for you
[01:00:09.142 --> 01:00:11.343]  Text Mars for putting this information out.
[01:00:11.363 --> 01:00:12.143]  Well, I appreciate you.
[01:00:12.183 --> 01:00:13.483]  Let me give you another suggestion.
[01:00:13.824 --> 01:00:19.225]  If you're listening to us on internet, satellite, or shortwave, call your local AM and FM stations.
[01:00:19.245 --> 01:00:20.446]  Don't call the big conglomerates.
[01:00:20.486 --> 01:00:21.546]  Call the local mom and pop.
[01:00:21.906 --> 01:00:22.946]  I'm on Star Guide.
[01:00:22.986 --> 01:00:30.549]  I'm on the Clear Channel feed, on the best feeds out there, and a lot of stations are turning us on right now because this is mainstream, folks.
[01:00:30.609 --> 01:00:36.571]  It may not be mainstream for the nightly news, but this is the real news, what's really happening, and give us a local affiliate.
[01:00:36.591 --> 01:00:37.291]  Appreciate the call.
[01:00:37.631 --> 01:00:38.011]  Appreciate it.
[01:00:38.091 --> 01:00:38.451]  Thank you.
[01:00:38.632 --> 01:00:39.232]  God bless you.
[01:00:39.312 --> 01:00:41.213]  Tex Mars, real quick before we end this segment.
[01:00:41.493 --> 01:00:43.654]  How do folks call and get New Log America?
[01:00:43.674 --> 01:00:44.475]  The toll-free number.
[01:00:45.415 --> 01:00:52.138]  They can get the video, or they can just ask for our newest newsletter, which will tell them quite a bit about the concentration camps in America.
[01:00:52.159 --> 01:00:52.859]  It's pretty revealing.
[01:00:53.139 --> 01:00:58.142]  Simply call us toll-free, 1-800-234-9673, and we'll be glad to give them a free newsletter.
[01:00:58.162 --> 01:01:00.283]  800-234-9673, or... Or they can go to conspiracyworld.com,
[01:01:07.086 --> 01:01:08.347]  Power of Prophecy dot com.
[01:01:08.527 --> 01:01:09.467]  Hey, they can also write us.
[01:01:09.567 --> 01:01:14.310]  Power of Prophecy, 1708 Patterson Road, Austin, Texas, 78733.
[01:01:14.950 --> 01:01:17.532]  Tex Mars, thanks for joining us.
[01:01:17.592 --> 01:01:18.492]  And say hi to Wanda.
[01:01:18.512 --> 01:01:19.833]  God bless you and your ministry.
[01:01:19.873 --> 01:01:21.114]  We'll be back with the final segment.
[01:01:21.134 --> 01:01:21.654]  Take care, Tex.
