[00:00:12.412 --> 00:00:18.074]  He aligns himself with the truth, and it's time for you to choose a side.
[01:47:53.712 --> 01:47:54.912]  So what did we do?
[01:47:54.912 --> 01:48:02.294]  We put Donald Trump in office who was against the Iraqi war, who called out potential false narratives from the 9-11 Commission.
[01:48:03.234 --> 01:48:07.655]  He doesn't want a destabilization economy.
[01:48:07.655 --> 01:48:17.497]  He wants an economy based on real, you know, winners and losers, non-zero-sum game, transcending all that and not doing immoral, evil, bad things.
[01:48:17.497 --> 01:48:22.278]  He's a straight shooter, common sense, and it's the return of common sense that has him so upset.
[01:48:22.278 --> 01:48:25.779]  Now, I want to move on to the further balkanization.
[01:48:25.779 --> 01:48:32.220]  Let's play this Anheuser-Busch ad that we'll break down after we air it, where again, the founder of Anheuser-Busch was an immigrant.
[01:48:33.510 --> 01:48:37.653]  And so now we would never have had this, you know, wonderful watered-down beer or whatever.
[01:48:37.653 --> 01:48:39.854]  Sorry, I don't like it that much.
[01:48:39.854 --> 01:48:43.577]  They kind of pitch it as the everyman's beer, you know, don't drink a craft beer, whatever.
[01:48:43.577 --> 01:48:45.498]  The point is Budweiser was good 30 years ago.
[01:48:45.498 --> 01:48:47.840]  I don't really like it today, but let's just move on from that.
[01:48:47.840 --> 01:48:50.802]  Budweiser funds anti-gun groups, open borders.
[01:48:50.802 --> 01:48:51.562]  They're globalist.
[01:48:51.562 --> 01:48:53.023]  Kurz is the opposite.
[01:48:53.023 --> 01:48:54.504]  I guess Kurz is okay.
[01:48:54.504 --> 01:48:55.625]  Rocky Mountain Kool-Aid.
[01:48:55.625 --> 01:48:57.366]  I'm not really a big drinker these days.
[01:48:57.366 --> 01:48:58.147]  The point is,
[01:48:59.281 --> 01:49:01.002]  You don't look like you're from around here.
[01:49:29.417 --> 01:49:32.159]  He fell down in a ship.
[01:49:32.159 --> 01:49:33.140]  Why leave Germany?
[01:49:33.140 --> 01:49:35.321]  I want to brew a beer.
[01:49:35.321 --> 01:49:39.885]  I want to brew a beer.
[01:49:39.885 --> 01:49:41.106]  Yeah, go back home.
[01:49:41.106 --> 01:49:42.667]  There was no travel ban from Germany.
[01:49:42.667 --> 01:49:43.908]  Oh, crap.
[01:49:43.908 --> 01:49:46.570]  I don't remember a travel ban from Germany.
[01:49:46.570 --> 01:49:53.375]  It's all just made up.
[01:49:54.545 --> 01:49:58.427]  Germans were like the second biggest group after Scots and the Irish.
[01:49:58.427 --> 01:50:04.351]  My family came from Germany in the 1730s, Alex.
[01:50:04.351 --> 01:50:05.411]  All the poor little Germans.
[01:50:05.411 --> 01:50:06.432]  Thank you.
[01:50:06.432 --> 01:50:09.694]  The Germans were instantly accepted in this country.
[01:50:09.694 --> 01:50:12.095]  And they illustrate the difficult journey he took.
[01:50:12.095 --> 01:50:13.816]  Yeah, that's the difficult journey.
[01:50:13.816 --> 01:50:16.238]  We don't want to just fly people over here from the dregs of the world.
[01:50:17.708 --> 01:50:20.850]  Yeah, this is somebody that had a dream, because he was in a caste system in Germany.
[01:50:20.850 --> 01:50:23.292]  They had served him until the 1880s, basically slavery.
[01:50:23.292 --> 01:50:27.535]  He couldn't do something he wanted over there in Germany, so he came here.
[01:50:27.535 --> 01:50:30.797]  But the whole point is, they tested people at Ellis Island for TB by the 1850s.
[01:50:30.797 --> 01:50:31.958]  Yeah, he had to stay there for weeks.
[01:50:31.958 --> 01:50:34.800]  He had to go through some type of vetting process.
[01:50:34.800 --> 01:50:37.983]  But again, of course, if you go to some place like New York City,
[01:50:38.783 --> 01:50:44.707]  Or there's giant gangs that are based on being English, being Italian, being Catholic, being Protestant.
[01:50:44.707 --> 01:50:48.549]  People have always just killed each other over what street you live on or where you're from.
[01:50:48.549 --> 01:50:51.551]  Go to Hispanic areas, they'll have three or four gangs that kill each other.
[01:50:51.551 --> 01:50:53.332]  Or black areas, the Crips and Bloods.
[01:50:53.332 --> 01:50:58.435]  And then they take this and just, again, sell it like we're the immigrants, we're the good people.
[01:50:58.435 --> 01:51:04.519]  Again, nothing against immigrants, they're just piling on to make it look like there's this big anti-immigrant sentiment.
[01:51:04.519 --> 01:51:08.381]  When Trump's gonna make it easier, if you're not a criminal and you have skills,
[01:51:08.621 --> 01:51:10.222]  Or you're young to come here.
[01:51:10.222 --> 01:51:19.287]  But we're not going to take 45,000 people that wear 6X underwear, or people with syphilis, or people with TB, or people with leprosy.
[01:51:19.287 --> 01:51:23.450]  Or, if we take you with leprosy, we're going to test for it and then put you in the hospital after.
[01:51:23.450 --> 01:51:27.592]  Because it's illegal to turn loose somebody with leprosy, or somebody with TB.
[01:51:27.592 --> 01:51:33.316]  But, oh, they do it all the time, and then put them in schools with kids spreading it, and then Obama covered it up.
[01:51:33.316 --> 01:51:37.098]  How do you make up something of this magnitude, Mr. Shroyer?
[01:51:37.318 --> 01:51:38.818]  Well think about this, Alex.
[01:51:38.818 --> 01:51:44.540]  Look at you as the progeny of ancestors that were German immigrants.
[01:51:44.540 --> 01:51:51.122]  Did your family tell you down the years how bad you were treated and how horrible it was and just how terrible it was and how they were mean to the Germans?
[01:51:51.122 --> 01:52:00.024]  Is that why half the German Hessian soldiers in the Revolutionary War deserted when they never deserted in Europe in huge continental wars because the Americans were so nice?
[01:52:01.155 --> 01:52:04.939]  Well, actually, I grew up, and my family told me how privileged I was every day.
[01:52:04.939 --> 01:52:06.941]  They made sure I didn't take it for granted, and then I worked hard.
[01:52:06.941 --> 01:52:17.814]  Look, look, look, I've got a bunch of German background, you know, in my family, who came here from Austasia, and places like that, and from Bavaria, and no one ever talked about stuff like that.
[01:52:17.814 --> 01:52:19.676]  No one ever said America treated them bad.
[01:52:19.676 --> 01:52:21.117]  The only stuff was World War I.
[01:52:22.529 --> 01:52:26.691]  Well, here's what's amazing to me is that you've got the liberals, the Democrats, who, you know,
[01:52:41.957 --> 01:52:45.581]  And we all love planet Earth, but they view Earth as a fragile ecosystem.
[01:52:45.581 --> 01:52:47.382]  They want to make all of these regulations.
[01:52:47.382 --> 01:52:54.669]  They want to, you know, you can't have a fire, you can't have a cow fart, whatever it is, you can't have a car, because we need to protect this fragile Earth.
[01:52:54.669 --> 01:52:56.211]  Okay, well, we all agree Earth is fragile.
[01:52:56.211 --> 01:53:02.117]  We disagree on some of the science that you want to push forth and some of the, you know, anthropogenic climate change.
[01:53:02.117 --> 01:53:03.898]  But, here's the funny thing, Alex.
[01:53:04.719 --> 01:53:09.763]  They don't have that same thought process, they don't have that same vision towards America.
[01:53:09.763 --> 01:53:13.146]  You know, America is also very fragile, okay?
[01:53:13.146 --> 01:53:16.929]  Why don't the liberals and democrats want to take the same steps to conserving America?
[01:53:16.929 --> 01:53:19.692]  That's right, America's only 6% of the world population that had half the wealth.
[01:53:19.692 --> 01:53:29.380]  If you want to go live under North Korea or Venezuela, there's all these other places that want to live like you do in your communist utopias where people are in slave pits and women have their genitals cut off.
[01:53:29.540 --> 01:53:35.466]  So I just found that terribly ironic to think, like, they'll do anything, they'll point fingers at anybody for anything that might hurt one tree.
[01:53:45.015 --> 01:53:50.716]  But they don't seem to have that same sort of protective nature over the country that gave them everything.
[01:53:50.716 --> 01:53:50.916]  No, no, no.
[01:53:50.916 --> 01:53:56.178]  They're now coming out saying the UN is going to represent robots and vote and say that they have a consciousness and rights.
[01:53:56.178 --> 01:54:01.559]  But then there'll be big computer companies that have the robots they produce that now have rights that will out-vote us.
[01:54:01.559 --> 01:54:03.519]  Just like animal rights isn't about animal rights.
[01:54:03.519 --> 01:54:04.880]  There's good people that are for animal rights.
[01:54:04.880 --> 01:54:07.920]  I'm for treating animals better and humanely.
[01:54:07.920 --> 01:54:10.881]  The whole point is I don't think you should be killing whales or whatever.
[01:54:11.201 --> 01:54:13.465]  The point is, is that it has nothing to do with that.
[01:54:13.465 --> 01:54:21.156]  It's about them controlling everything, using our guilt and using our concern as a way to get us to acquiesce to their control.
[01:54:21.156 --> 01:54:23.279]  I want to go out to break with this Mark Dice piece.
[01:54:23.279 --> 01:54:24.982]  I didn't get to the Oprah Winfrey review.
[01:54:24.982 --> 01:54:25.943]  I'm going to air that coming up.
[01:54:26.687 --> 01:54:29.951]  But the next bottom of the hour, Owen, Leanne's coming in to co-host with you.
[01:54:29.951 --> 01:54:33.134]  We'll hear what she has to say about all this and more.
[01:54:33.134 --> 01:54:43.326]  But here is Mark Dice breaking down the situation with Anheuser-Busch, who, look, look, they felt like they're the everyman drink and then also they're, you know, for open borders and all the rest of it.
[01:54:43.326 --> 01:54:47.230]  No true American should drink Anheuser-Busch urine beer.
[01:54:47.751 --> 01:54:52.332]  It's globalist urine, pissed in your face, literally, peeing in your face.
[01:54:52.332 --> 01:54:52.932]  I'm sorry.
[01:54:52.932 --> 01:54:54.392]  This is a real pee-pee gate.
[01:54:54.392 --> 01:54:58.873]  Anheuser-Busch is the real golden shower, folks.
[01:54:58.873 --> 01:55:01.254]  And I'm not censoring them criticizing them.
[01:55:01.254 --> 01:55:03.174]  They have their free speech.
[01:55:03.174 --> 01:55:04.775]  I would never drink their pissed beer to begin with.
[01:55:04.775 --> 01:55:05.355]  I apologize.
[01:55:05.355 --> 01:55:06.055]  I'm a show.
[01:55:06.055 --> 01:55:07.715]  But, but, but, but, you know.
[01:55:07.715 --> 01:55:08.275]  It's all right.
[01:55:08.275 --> 01:55:09.576]  They sold out to Belgium now.
[01:55:09.576 --> 01:55:10.316]  It's all right, Alex.
[01:55:10.316 --> 01:55:11.296]  They sold out to Belgium now.
[01:55:12.276 --> 01:55:14.738]  Oh, of course, they did sell it to Belgium a long time ago.
[01:55:14.738 --> 01:55:16.680]  And here's the deal.
[01:55:16.680 --> 01:55:18.801]  Who wants colonization by Muslims again?
[01:55:18.801 --> 01:55:21.584]  Thanks to the Democratic leadership in St.
[01:55:21.584 --> 01:55:22.484]  Louis, by the way.
[01:55:22.484 --> 01:55:24.967]  Thanks to the terrible Democratic leadership in St.
[01:55:24.967 --> 01:55:25.207]  Louis.
[01:55:25.207 --> 01:55:26.988]  Sorry, Alex, go ahead.
[01:55:26.988 --> 01:55:29.871]  That's right, the unions ran it off.
[01:55:29.871 --> 01:55:38.978]  Okay, let's go ahead now and talk about the anti-American company that literally, literally thinks that they can just mark their territory in our face.
[01:55:38.978 --> 01:55:39.819]  Here is Anheuser-Busch.
[01:55:41.311 --> 01:55:46.952]  I'm sorry to tell you Budweiser drinkers, but your beloved beer commercial this Super Bowl Sunday is liberal propaganda.
[01:55:46.952 --> 01:55:56.534]  The 60-second spot chronicles the journey of Anheuser-Busch co-founder Adolphus Busch as he's immigrating to America in 1857 from Germany.
[01:55:56.534 --> 01:56:01.015]  And there's a scene as soon as he arrives on shore where someone says, you're not welcome here.
[01:56:01.015 --> 01:56:03.315]  Welcome to America!
[01:56:03.315 --> 01:56:04.836]  You're not welcome here!
[01:56:04.836 --> 01:56:05.756]  Go back home!
[01:56:07.695 --> 01:56:16.343]  It also cleverly teases the anti-immigrant theme with the opening scene of the commercial, with someone turning to him and saying, you don't look like you're from around here.
[01:56:16.343 --> 01:56:29.757]  At the end of the commercial, you realize that that was actually Eberhard Anheuser, and the scene depicts Adolphus Bush meeting Eberhard for the first time, to then start the Anheuser-Busch Brewing Company, which obviously brews Budweiser beer.
[01:56:29.957 --> 01:56:33.439]  Now I'm all for a touchy immigrant success story, and there are many.
[01:56:33.439 --> 01:56:39.382]  And in fact, the last I checked, Asian Americans have the highest income in the United States of America.
[01:56:39.382 --> 01:56:50.107]  But at this point, you can't help but see this as another anti-Trump propaganda piece, which I wouldn't be surprised if it was paid for by George Soros, the puppet master who was behind most of these protests.
[01:56:50.287 --> 01:56:57.193]  And since we're on the topic of immigration, we should probably clear up some of the fake news that's surrounding the supposed immigration ban.
[01:56:57.193 --> 01:56:59.675]  Because it's not an immigration ban.
[01:56:59.675 --> 01:57:11.204]  President Trump's executive order puts a temporary freeze, a 90-day, three-month freeze, on immigration from seven countries that the mainstream media says are predominantly Muslim.
[01:57:11.204 --> 01:57:12.125]  But guess what?
[01:57:12.125 --> 01:57:17.730]  There are 40 other predominantly Muslim countries, overwhelmingly Muslim countries,
[01:57:17.990 --> 01:57:20.512]  Which are allowed to have immigrants come here.
[01:57:20.512 --> 01:57:26.657]  The seven countries that President Trump has put a temporary immigration freeze on are the... Full report's up on Infowars.com.
[01:57:26.657 --> 01:57:36.084]  And by the way, there are 14 Islamic countries that do not allow anybody from Israel or who is Jewish to come in, and there's three of them that don't let Americans in, and the list goes on and on.
[01:57:36.084 --> 01:57:37.845]  A bunch of them don't let Buddhists in.
[01:57:37.845 --> 01:57:40.207]  Again, these aren't free societies.
[01:57:40.207 --> 01:57:40.888]  These are people
[01:57:41.508 --> 01:57:43.429]  That on average believe they can run our lives.
[01:57:43.429 --> 01:57:46.850]  Now a lot of Muslims that came here ran away from that, okay?
[01:57:46.850 --> 01:57:48.591]  And they want to be westernized.
[01:57:48.591 --> 01:57:51.952]  80% of Iranians in major polls are over, don't like the mullahs.
[01:57:51.952 --> 01:57:52.392]  I get it.
[01:57:52.392 --> 01:57:55.073]  I don't want to hurt people that happen to have an Islamic background.
[01:57:56.158 --> 01:58:00.860]  I know Islam's had some times and periods where it was a stabilizing force, and actually produced a lot of science.
[01:58:00.860 --> 01:58:05.401]  But in its inception it was war-like, and it certainly is war-like right now.
[01:58:05.401 --> 01:58:09.582]  And everything, as you know, inside Islamic countries is called the House of Islam.
[01:58:09.582 --> 01:58:11.463]  Everything outside of it is called the House of War.
[01:58:11.923 --> 01:58:14.505]  We're going to be back with Leanne McAdoo and Owen Schroer.
[01:58:14.505 --> 01:58:18.569]  Got a lot of clips I'm going to get to as well in a special report, I promise, on Oprah Winfrey.
[01:58:18.569 --> 01:58:21.471]  And then I will tell you who's coming up hosting the fourth hour as well today.
[01:58:21.471 --> 01:58:25.594]  I think that's Roger Stone officially launching his book today.
[01:58:25.594 --> 01:58:33.801]  Don't forget, 25% off on the water filtration systems and air purifiers and a lot more at InfoWarsTore.com right now.
[01:58:33.801 --> 01:58:37.464]  Please get products you need for your family and support the broadcast at True Win Win.
[01:58:37.464 --> 01:58:38.184]  We'll be right back.
[01:58:38.184 --> 01:58:38.645]  Thank you all.
[01:58:41.415 --> 01:58:44.848]  Thank you for listening to GCN.
[01:58:44.848 --> 01:58:47.037]  Visit GCNlive.com today.
[01:58:49.807 --> 01:59:00.694]  National Defense Labs and Citizen Armor has given InfoWars the exclusive on distributing to the American people the true next generation in body armor.
[01:59:00.694 --> 01:59:08.478]  Basically what we're bringing to the InfoWars team is a new line of dynamic, lightweight body armor.
[01:59:08.478 --> 01:59:14.402]  It is lighter, more flexible, easier to wear, more comfortable, and stronger than anything else on the market.
[01:59:14.482 --> 01:59:19.505]  You show and you talk to people that have been using this actually testing it for years, people that currently have tested it for us.
[01:59:19.505 --> 01:59:20.406]  They didn't just say outstanding.
[01:59:20.406 --> 01:59:21.627]  I mean, what did they really say about them?
[01:59:21.627 --> 01:59:23.448]  They want to know how do they get it?
[01:59:23.448 --> 01:59:24.469]  Where do they find it?
[01:59:24.469 --> 01:59:28.191]  A lot of my law enforcement official buddies want to know the same thing.
[01:59:28.191 --> 01:59:31.133]  The backpack body armor is only $200.
[01:59:31.133 --> 01:59:32.994]  I mean, it's unbelievable.
[01:59:32.994 --> 01:59:34.015]  It's a quarter inch thick.
[01:59:34.015 --> 01:59:35.156]  It's got a 20-year warranty.
[01:59:35.156 --> 01:59:35.816]  It's waterproof.
[01:59:35.816 --> 01:59:36.297]  You can wear it.
[01:59:36.297 --> 01:59:36.977]  It's comfortable.
[01:59:36.977 --> 01:59:39.138]  And we shot everything you can imagine on it.
[01:59:39.138 --> 01:59:43.581]  Again, fund the info or get the game-changing Nanotech Tubes.
[01:59:43.581 --> 01:59:44.242]  It's a win-win.
[01:59:45.323 --> 01:59:45.383]  $200!
[01:59:45.383 --> 01:59:48.606]  Go check out all their different products at InfoWarsTore.com.
[01:59:48.606 --> 01:59:52.330]  It's amazing!
[01:59:52.330 --> 01:59:54.913]  You're listening to the Alex Jones Show!
[02:00:11.616 --> 02:00:18.219]  Live from the Infowars.com studios, it's Alex Jones.
[02:00:18.219 --> 02:00:20.720]  All right, we are back.
[02:00:20.720 --> 02:00:22.300]  Have we gotten Leanne in the studio yet?
[02:00:22.300 --> 02:00:24.701]  I think she's coming up.
[02:00:24.701 --> 02:00:32.445]  Oh, and I am just chomping at the bit here to hear Leanne's view as a woman on the bizarre spectacle in Austin, but especially in D.C.
[02:00:32.445 --> 02:00:40.128]  and Germany, of women screaming Allah Akbar and wanting to convert to Islam, and people coming out like Madeleine Albright.
[02:00:41.188 --> 02:00:45.450]  Uh, who I guess converted to Nazism, her dad did to help round up fellow Jews.
[02:00:45.450 --> 02:00:49.512]  It's always the same, and now she wants to convert to Islam.
[02:00:49.512 --> 02:00:52.353]  It really is comical how disconnected they are.
[02:00:52.353 --> 02:01:00.737]  They still believe, because they're in these little globalist hives in LA and New York, that they're taking over the world, that they've brainwashed everyone.
[02:01:02.110 --> 02:01:09.000]  Because they look at the broken back, servile, brainwashed zombies that attend their colleges that are putting out worthless degrees.
[02:01:09.000 --> 02:01:12.485]  I mean, I don't think they realize, undoubtedly, the worm has turned.
[02:01:12.485 --> 02:01:13.686]  A major tipping point is here.
[02:01:14.653 --> 02:01:31.459]  Well Alex, and just to go back real quick to the Budweiser ad you were talking about, I'm expecting to see a lot of that propaganda during the Super Bowl, especially considering Lady Gaga will be doing the halftime show, who let's recall, put on a Nazi SS uniform and campaigned for Hillary Clinton.
[02:01:31.459 --> 02:01:34.721]  She'll be hosting the Super Bowl halftime show, and of course we'll see more ads.
[02:01:34.721 --> 02:01:35.981]  But you know Alex, I'm from St.
[02:01:35.981 --> 02:01:43.044]  Louis, I can tell you, just from some of the experiences I had with some of the Bushes, some of the lineage of the original Adolphus Bush,
[02:01:43.604 --> 02:01:45.585]  They were patriots, Alex.
[02:01:45.585 --> 02:01:46.705]  Most likely Trump voters.
[02:01:46.705 --> 02:01:53.007]  I'm talking about country people shooting guns, going hunting, cigars, like true American patriots.
[02:01:53.007 --> 02:01:56.828]  And look, they've had their history, they've got controversy in their history.
[02:01:56.828 --> 02:01:59.329]  Sure, let's not be mean to the family.
[02:01:59.329 --> 02:02:05.251]  A foreign globalist EU group has bought Anheuser-Busch and is using it to run their name down.
[02:02:05.251 --> 02:02:08.332]  And again, let's just face it, I don't like the beer.
[02:02:08.712 --> 02:02:16.461]  And that's perfectly fine, and I think a lot of that has to do with some of the controversy in the past, and I think they were sick of dealing with the liberal establishment.
[02:02:16.461 --> 02:02:22.088]  If you go back, Budweiser and Anheuser-Busch used to actually run some of the most patriotic ads.
[02:02:22.088 --> 02:02:26.153]  And after 9-11, they had this one ad campaign, it was called Real American Heroes.
[02:02:26.673 --> 02:02:31.976]  After 9-11, they changed that and they made a statement saying, our Real American Heroes was a joke.
[02:02:31.976 --> 02:02:38.379]  We no longer want to have this ad campaign because the Real American Heroes were the firefighters, the policemen, and the military people in America.
[02:02:38.379 --> 02:02:39.979]  So they changed the whole ad campaign.
[02:02:39.979 --> 02:02:41.100]  But that's a whole side issue.
[02:02:41.100 --> 02:02:44.362]  We'll be looking for that propaganda during the Super Bowl halftime show.
[02:02:44.362 --> 02:02:47.123]  And I'm sure Budweiser, back in the day, beer's gotten better.
[02:02:47.603 --> 02:02:50.967]  And, you know, back when I was, you know, 16, drinking a beer, Budweiser tasted pretty good.
[02:02:50.967 --> 02:02:51.768]  What do we have?
[02:02:51.768 --> 02:02:56.953]  Tecate and maybe, you know, Dos Equis, which, compared to Budweiser, I think is a better beer.
[02:02:56.953 --> 02:02:58.475]  There's some great American beers.
[02:02:58.475 --> 02:03:00.837]  The point is, Budweiser's not an American beer anymore.
[02:03:00.837 --> 02:03:03.100]  It's just like everything else has been hijacked.
[02:03:03.100 --> 02:03:07.985]  And notice, as it became not an American beer, I mean, it's just undrinkable, in my view.
[02:03:08.732 --> 02:03:12.635]  Well Alex, you mentioned the UN earlier, and I wanted to bring this up.
[02:03:12.635 --> 02:03:16.178]  This is something that I've been following for a while, but I've never noticed this before.
[02:03:16.178 --> 02:03:18.600]  Petitions.whitehouse.gov.
[02:03:18.600 --> 02:03:21.303]  This is where you can go to find the petitions that go to the White House.
[02:03:21.303 --> 02:03:23.204]  This is the official government site.
[02:03:23.204 --> 02:03:25.046]  Now, like I said, I've been following this for years.
[02:03:25.046 --> 02:03:26.947]  I've been signing these petitions for years.
[02:03:26.947 --> 02:03:30.811]  Normally they get some traction, but a lot of them don't meet their goals.
[02:03:30.811 --> 02:03:31.831]  This is one that was up
[02:03:32.802 --> 02:03:37.804]  January 24th, defund the United Nations, get the U.S.
[02:03:37.804 --> 02:03:40.065]  out of the U.N., support H.R.
[02:03:40.065 --> 02:03:41.626]  193.
[02:03:41.626 --> 02:03:44.927]  And you go through the text in all of this, Alex, it talks about U.N.
[02:03:44.927 --> 02:03:48.108]  Agenda 21, it talks about UNESCO, it talks about the U.N.
[02:03:48.108 --> 02:03:49.409]  expenses that the U.S.
[02:03:49.409 --> 02:03:58.193]  has to endure, and magically, this is the first time I've ever seen this, and I know it's fake news, has one signature, Alex!
[02:03:59.378 --> 02:04:04.102]  White House petitions are saying that this only has one signature.
[02:04:04.102 --> 02:04:09.527]  I know that's a lie because it had one signature and I've signed it since.
[02:04:09.527 --> 02:04:11.129]  This has more than one signature.
[02:04:11.129 --> 02:04:17.034]  So I'm curious, now that Trump is in the White House, now that we have a White House administration that will actually listen to the people.
[02:04:17.034 --> 02:04:23.420]  Trump has done such a good job having to dig out all the computerized sleeper cells and sabotage and minions and operatives.
[02:04:23.420 --> 02:04:25.041]  We're a country in civil war.
[02:04:25.822 --> 02:04:31.086]  With globalist, you know, operatives in everything that have to be dug out and dealt with.
[02:04:31.086 --> 02:04:42.496]  We're all in a modern thriller science fiction movie with a weird progressivist cult that wants to destroy the country, whose maxim is, F you white males, even though they're white males.
[02:04:44.790 --> 02:04:49.995]  I think we need to flood petitions.whitehouse.gov and get our message to the president.
[02:04:49.995 --> 02:04:52.137]  They cannot stymie these numbers anymore.
[02:04:52.137 --> 02:04:53.378]  This is ridiculous.
[02:04:53.378 --> 02:04:53.738]  Absolutely.
[02:04:53.738 --> 02:04:57.302]  We've got to ferret out what company's being used, who's over all this.
[02:04:57.302 --> 02:04:59.243]  Believe me, Trump is ferreting it all out.
[02:04:59.243 --> 02:05:00.044]  We've got operatives inside.
[02:05:00.044 --> 02:05:04.108]  I tell you what, the Democrats have proven themselves to be the ultimate crybabies.
[02:05:04.528 --> 02:05:11.855]  From Chuckie Schumer fake crying over the temporary travel ban, to Democrats refusing to attend to vote on nominees for Trump's cabinet.
[02:05:11.855 --> 02:05:14.518]  That's right, they aren't even attending the hearings anymore.
[02:05:14.518 --> 02:05:24.307]  Even before Donald Trump had appointed his first Supreme Court Justice, Neil Gorsh, to replace Antonin Scalia, Senators like Jeff Merkley were already speaking out saying, hey, we're gonna block it, we don't care who it is.
[02:05:24.307 --> 02:05:27.070]  But should we expect anything less from the Democrats?
[02:05:27.250 --> 02:05:36.956]  When you go to their many protests and try to engage these people in thoughtful conversation, all you get are mainstream media talking points, or you get cursed at, or you get threatened with violence.
[02:05:36.956 --> 02:05:40.037]  Oh, and let's look who have proved Neil Gorsh to be a federal judge back in 2006.
[02:05:40.037 --> 02:05:50.003]  Barack Obama, Joe Biden, John Kerry, Hillary Clinton, Patrick Leahy, Dianne Feinstein, Chuckie Schumer, Dick Durbin, Jack Reed, Bill Nelson, and many others.
[02:05:50.003 --> 02:05:55.326]  Once again, the crybaby Democrats have proven they don't have an argument or a leg to stand on, so they're not even showing up to work.
[02:05:55.706 --> 02:05:59.730]  Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[02:05:59.730 --> 02:06:05.196]  After being sold out for months, our best-selling super blue fluoride toothpaste is now back in stock at InfoWarsStore.com.
[02:06:05.196 --> 02:06:07.278]  Research across the board is clear.
[02:06:07.278 --> 02:06:12.584]  When bacteria infects your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[02:06:12.584 --> 02:06:16.348]  That's why the last Surgeon General's report on oral health warns that
[02:06:16.428 --> 02:06:19.870]  Your oral health can have a serious impact on your entire body.
[02:06:19.870 --> 02:06:23.051]  Super Blue Fluoride Free Toothpaste is a groundbreaking new formula.
[02:06:23.051 --> 02:06:26.933]  It's loaded with good halogen iodine instead of the bad halogen fluoride.
[02:06:26.933 --> 02:06:34.096]  Super Blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[02:06:34.096 --> 02:06:39.479]  Just some of the ingredients in Super Blue chosen by our dental experts include xylitol, peppermint oil,
[02:06:39.739 --> 02:06:41.801]  Iodine, nano, silver, and more.
[02:06:41.801 --> 02:06:50.090]  Due to requests from listeners who found that Spearmint was a little bit too strong for some of their children, we have created the new Bubble Gum flavored Super Blue that is Spearmint free.
[02:06:50.090 --> 02:06:58.400]  Learn more about the new Bubble Gum flavored Super Blue toothpaste and more at InfoWarsLife.com and support the Info War while you support healthy gums and teeth.
[02:06:59.443 --> 02:07:04.505]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[02:07:04.505 --> 02:07:13.349]  Youngevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[02:07:13.349 --> 02:07:17.290]  Youngevity also offers you an ingenious way to augment your income.
[02:07:17.290 --> 02:07:18.091]  And the best part?
[02:07:18.091 --> 02:07:20.972]  You'll be helping your friends and family along the way.
[02:07:20.972 --> 02:07:23.573]  Visit InfoWarsTeam.com today.
[02:07:23.573 --> 02:07:24.353]  Become a member.
[02:07:24.353 --> 02:07:28.415]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[02:07:28.635 --> 02:07:35.378]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[02:07:35.378 --> 02:07:36.318]  Another win-win.
[02:07:36.318 --> 02:07:40.059]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[02:07:40.059 --> 02:07:41.300]  And you can be too.
[02:07:41.300 --> 02:07:41.860]  It's simple.
[02:07:41.860 --> 02:07:44.781]  Just go to Infowarsteam.com today.
[02:07:44.781 --> 02:07:46.902]  Complete a short sign-up and you're part of the team.
[02:07:46.902 --> 02:07:50.143]  That's Infowarsteam.com or Infowarshealth.com.
[02:07:50.143 --> 02:07:56.465]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[02:07:56.465 --> 02:07:57.766]  Check it out for yourself today.
[02:08:04.924 --> 02:08:06.046]  The Alex Jones Show.
[02:08:06.046 --> 02:08:07.848]  Because there's a war on.
[02:08:07.848 --> 02:08:08.890]  Or you're mine.
[02:08:08.890 --> 02:08:13.236]  I remember when, I remember, I remember when I lost my mind.
[02:08:13.236 --> 02:08:15.238]  There was something so pleasant about that day.
[02:08:20.791 --> 02:08:27.115]  Here we are, February 1st, 2017, already well into this new year.
[02:08:27.115 --> 02:08:29.696]  President Trump's been in for, what, 11, 12 days?
[02:08:29.696 --> 02:08:45.646]  And we've got a new Supreme Court nominee who they've confirmed unanimously 10 years ago, and who looks like he'll be able to be seated just victory after victory, who is as conservative and strict constructionist, pro-gun, pro-sovereignty as Antonin Scalia.
[02:08:46.326 --> 02:08:47.850]  So very, very exciting.
[02:08:47.850 --> 02:08:50.655]  A protege, a friend of Scalia.
[02:08:50.655 --> 02:08:52.199]  Pull up photos of the two hunting together.
[02:08:52.199 --> 02:08:53.963]  This is a big victory.
[02:08:53.963 --> 02:08:55.666]  This is a big, big deal.
