[00:00:09.483 --> 00:00:15.665]  It is July 30th, 2017 on this Sunday, live global transmission.
[00:52:52.254 --> 00:52:56.379]  Which I guess is the original name of Glenn Leary, Glenn Ross, or whatever the play.
[00:52:56.379 --> 00:53:00.004]  And it goes into how he's a con, he's a fraud, he never did anything in his life.
[00:53:00.004 --> 00:53:00.905]  Oh no!
[00:53:00.905 --> 00:53:04.890]  Outside the system, he built his own hotels, golf courses, and casinos.
[00:53:04.890 --> 00:53:05.872]  Nobody's done that.
[00:53:06.852 --> 00:53:13.357]  Outside of the system, he was successful battling the system from the grassroots of New York on his own.
[00:53:13.357 --> 00:53:14.498]  He's a fighter.
[00:53:14.498 --> 00:53:20.623]  And then he gets elected, an uphill fight for president, and he's delivered like no one I've ever seen in modern history in six months.
[00:53:20.623 --> 00:53:23.946]  It's dizzying how good it is compared to what we would have with Hillary.
[00:53:24.679 --> 00:53:34.244]  And then they turn around in an echo chamber with Fox News, National Review, and CNN, MSNBC, and say, oh, a devastating defeat for the ultimate salesman, the guy that never fails.
[00:53:34.244 --> 00:53:35.724]  Trump never said he never fails.
[00:53:35.724 --> 00:53:38.085]  He's failed many times, but always gets back up.
[00:53:38.085 --> 00:53:41.187]  But out of hundreds of companies, he's only declared bankruptcy on four.
[00:53:41.187 --> 00:53:46.009]  That's what you do when you launch a new company, a new system, a new program.
[00:53:46.009 --> 00:53:49.931]  You create new corporations that it operates in, new people, new employees.
[00:53:49.931 --> 00:53:52.052]  And then if that succeeds, it's its own thing.
[00:53:52.052 --> 00:53:53.653]  But if it implodes, you cut it off.
[00:53:55.190 --> 00:53:57.092]  70 plus percent of new businesses go under.
[00:53:57.092 --> 00:54:01.716]  Trump's had hundreds and hundreds and hundreds and four have failed.
[00:54:01.716 --> 00:54:06.460]  And they make fun of the fact he sold ties and clothes and steaks.
[00:54:06.460 --> 00:54:08.802]  Just like they make fun of me for selling supplements and t-shirts.
[00:54:08.802 --> 00:54:11.964]  See, everybody else can sell things, just not us.
[00:54:11.964 --> 00:54:13.786]  See, when we do, it's dirty.
[00:54:13.786 --> 00:54:14.927]  When we do, it's bad.
[00:54:16.897 --> 00:54:28.870]  So these are the mind games they're playing and the losers are National Review that created Never Trumpism and put everything they could into destroying Trump and sabotaging and trying to take his nomination away and then trying to take the electors away.
[00:54:28.870 --> 00:54:34.015]  But they failed so they call him a loser because they're calling you a loser.
[00:54:34.015 --> 00:54:36.378]  And they cite all the fake polls that he's done in polls.
[00:54:37.622 --> 00:54:40.346]  Yeah, just like he was 15 points behind in all those states he won.
[00:54:40.346 --> 00:54:42.209]  It's a load of baloney.
[00:54:42.209 --> 00:54:43.390]  And they think you're stupid.
[00:54:43.390 --> 00:54:46.094]  But what's being tested here is, are we smart?
[00:54:46.094 --> 00:54:47.456]  Or are we hoaxable anymore?
[00:54:47.456 --> 00:54:48.217]  Are we smart?
[00:54:48.217 --> 00:54:50.080]  Or are we stupid?
[00:54:50.080 --> 00:54:52.103]  The evidence shows we're getting smarter.
[00:54:52.103 --> 00:54:53.285]  We're learning their tricks.
[00:54:53.285 --> 00:54:54.186]  We're understanding.
[00:54:55.930 --> 00:54:58.091]  We're not invested in Trump because of the person.
[00:54:58.091 --> 00:55:04.012]  We're invested in the fact that he's a focal point to restore the republic and it's working.
[00:55:04.012 --> 00:55:05.033]  But it's a serious fight.
[00:55:05.033 --> 00:55:10.134]  And it's a fight we may lose if you don't take action, if you don't speak out, if you don't get involved.
[00:55:16.676 --> 00:55:17.576]  877-789-2539.
[00:55:17.576 --> 00:55:26.440]  Infowars.com is the news website demonized, attacked by enemies of freedom and enemies of free market everywhere.
[00:55:26.440 --> 00:55:34.244]  And spreading that link is an act of absolute savage resistance, loving to your family, hateful towards the New World Order.
[00:55:34.244 --> 00:55:45.609]  Our resistance will never falter or waver as long as you breathe breath and take action and put God first and take action against these scumbags that use hype and use fear and use peer pressure to control.
[00:55:46.690 --> 00:55:49.992]  Now, let me play a clip, and I've got more of these clips coming up.
[00:55:49.992 --> 00:55:58.297]  We've got a clip of Schumer praising John McCain for shooting down the repeal of Obamacare.
[00:55:58.297 --> 00:55:59.878]  Not pointing out he pledged to repeal it.
[00:55:59.878 --> 00:56:03.320]  Here it is.
[00:56:03.320 --> 00:56:05.121]  John McCain at the top of the list.
[00:56:05.121 --> 00:56:08.463]  He and I have been friends for a very long time.
[00:56:09.991 --> 00:56:14.535]  Ever since the Gang of Eight, which we put together.
[00:56:14.535 --> 00:56:24.562]  And I have not seen a senator who speaks truth to power as strongly, as well, and as frequently as John McCain.
[00:56:24.562 --> 00:56:35.670]  The very same courage he showed as a naval aviator in Vietnam, he showed last night, and has shown time and time again.
[00:56:35.670 --> 00:56:37.431]  He's just a wonderful man.
[00:56:38.920 --> 00:56:43.404]  I treasure his friendship and just the fact of knowing him.
[00:56:43.404 --> 00:56:46.807]  I've known a few great men in the Senate.
[00:56:46.807 --> 00:56:54.394]  I'd put Ted Kennedy in that category and Danny Inouye, and I'd put John McCain in that category too.
[00:56:54.394 --> 00:57:02.802]  And certainly not to be forgotten of equal praise are Susan Collins and Lisa Murkowski.
[00:57:02.802 --> 00:57:03.483]  They were amazing.
[00:57:05.050 --> 00:57:08.251]  And women are, in so many instances, stronger than men.
[00:57:08.251 --> 00:57:11.632]  Ladies and gentlemen, again, they call him their chairman, the Democrats do.
[00:57:11.632 --> 00:57:13.473]  He's literally the leader of the Democratic Party.
[00:57:13.473 --> 00:57:14.673]  John McCanis!
[00:57:14.673 --> 00:57:17.934]  I think it's archetypal that he's got a brain tumor, or had it removed.
[00:57:17.934 --> 00:57:22.816]  And I think it's archetypal that you got David Rockefeller dying, and Zbigniew Brzezinski dying this year.
[00:57:22.816 --> 00:57:29.338]  I just hope everybody realizes these people are literal demons out to get you.
[00:57:30.829 --> 00:57:35.575]  Now we've got McCain when we come back, pledging that he would repeal Obamacare, period.
[00:57:35.575 --> 00:57:36.136]  One way or another.
[00:57:36.136 --> 00:57:40.161]  And of course he betrayed you as a Judas Iscariot always does.
[00:57:40.161 --> 00:57:48.432]  He's a lying, stinking, Islamist piece of garbage just like that creature Brennan that says they need to overthrow Trump violently.
[00:57:50.640 --> 00:57:52.521]  You developed Living Defense for us.
[00:57:52.521 --> 00:57:53.841]  It took you over a year to do it.
[00:57:53.841 --> 00:57:55.061]  Why is this so good?
[00:57:55.061 --> 00:58:00.343]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:58:00.343 --> 00:58:13.887]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:58:13.887 --> 00:58:15.248]  Right now with all the refugees,
[00:58:16.028 --> 00:58:17.669]  Uh, spreading disease around.
[00:58:17.669 --> 00:58:20.251]  We have biological warfare going on everywhere.
[00:58:20.251 --> 00:58:21.552]  These are all parasites.
[00:58:21.552 --> 00:58:22.652]  Tell us about all the stuff that's in it.
[00:58:22.652 --> 00:58:23.993]  There's so many things that are in it.
[00:58:23.993 --> 00:58:28.496]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[00:58:28.496 --> 00:58:31.658]  I recommend doing the parasite cleanse at least twice a year.
[00:58:31.658 --> 00:58:34.840]  Alright, well, I'm glad we've got some back in because I'm going back on it today.
[00:58:34.840 --> 00:58:35.901]  It just came back in yesterday.
[00:58:35.901 --> 00:58:37.802]  LivingDefense, InfoWarsLife.com.
[00:58:37.802 --> 00:58:38.843]  And folks, you can't lose.
[00:58:38.843 --> 00:58:40.864]  It's full of stuff that's great for your body, period.
[00:58:42.425 --> 00:58:43.447]  You support the broadcast.
[00:58:43.447 --> 00:58:44.789]  Infowarslives.com.
[00:58:44.789 --> 00:58:47.032]  Thank you Dr. Groot from the Global Healing Center.
[00:58:47.032 --> 00:58:48.995]  Thank you so much for all your work sir on this great product.
[00:58:52.222 --> 00:58:56.164]  Enjoy all natural bath and beauty products with Emmerich's Essentials.
[00:58:56.164 --> 00:59:15.651]  We are proud to bring you a collection of organic-based household products at Infowarestore.com, including non-nano SPF 30 zinc oxide sunscreen, DEET-free herbal bug spray, concentrated peppermint mouthwash, unscented body wash, tea tree shampoo, and long-lasting natural deodorant.
[00:59:15.771 --> 00:59:19.953]  Emmerich's Essentials is free of chemicals and toxins that may harm your body.
[00:59:19.953 --> 00:59:26.537]  We carefully select pure and simple ingredients to create formulas that are certified USDA made with organic.
[00:59:26.537 --> 00:59:31.340]  Our mission is to offer you everyday organic household products to enhance your life.
[00:59:31.340 --> 00:59:36.482]  Truly feel the difference by going organic natural without compromising on quality.
[00:59:36.482 --> 00:59:38.604]  Feel good about using Emmerich's Essentials.
[00:59:38.604 --> 00:59:42.986]  Start saving money and stop exposing yourself and your family to toxic ingredients.
[00:59:43.286 --> 00:59:43.586]  Watch me!
[00:59:43.586 --> 00:59:43.906]  Watch me!
[00:59:43.906 --> 00:59:44.266]  I got it!
[01:00:12.699 --> 01:00:14.440]  Watch me!
[01:00:14.440 --> 01:00:16.001]  I got it!
[01:00:16.001 --> 01:00:17.562]  Hey!
[01:00:17.562 --> 01:00:21.104]  I got something that makes me wanna shout!
[01:00:21.104 --> 01:00:26.167]  I got something that tells me what it's all about!
[01:00:26.167 --> 01:00:27.108]  I got soul!
[01:00:27.108 --> 01:00:28.969]  And I'm super bad!
[01:00:28.969 --> 01:00:30.570]  I got soul!
[01:00:30.570 --> 01:00:33.692]  You know the message is?
[01:00:33.692 --> 01:00:35.273]  This healthcare bill?
[01:00:35.273 --> 01:00:36.834]  Repeal and replace!
[01:00:36.834 --> 01:00:38.335]  Repeal and replace!
[01:00:38.335 --> 01:00:40.456]  Repeal and replace!
[01:00:40.456 --> 01:00:41.617]  Repeal and replace!
[01:00:43.337 --> 01:00:47.700]  Repeal and replace.
[01:00:47.700 --> 01:00:53.824]  And if you don't, and then if you don't, we're going to repeal them.
[01:00:53.824 --> 01:00:59.927]  So that's John McCain last year saying repeal and replace, taking Trump's words away from him.
[01:00:59.927 --> 01:01:06.832]  And then as soon as he had a chance to shoot down the bill that was the best one we've seen yet, according to Senator Rand Paul.
[01:01:07.915 --> 01:01:10.297]  To save the economy, to save our healthcare system.
[01:01:10.297 --> 01:01:13.981]  Elizabeth Warren admitted, you can just type this into a search engine, last week.
[01:01:13.981 --> 01:01:21.348]  She said last week, and then she said it two weeks ago, is designed to destroy healthcare as we know it and bring in a single payer, but with corporations that you have to pay.
[01:01:21.348 --> 01:01:23.290]  So it's even worse than socialism.
[01:01:23.290 --> 01:01:27.073]  It's like fascism, but under a socialist model.
[01:01:27.073 --> 01:01:31.978]  So, he pledged, of course, to do that, and then he screwed you over.
[01:01:33.328 --> 01:01:41.972]  And the media is just creamy-eyed right now in a celebration of the quote, defeat of Trump.
[01:01:41.972 --> 01:01:44.753]  They're the monsters that created this legislation.
[01:01:44.753 --> 01:01:47.415]  They're the ones that are cowards and won't get rid of it.
[01:01:47.415 --> 01:01:49.756]  They're the ones that will be held responsible by the voters.
[01:01:49.756 --> 01:01:52.277]  The voters may be distracted and some of them may be dumb.
[01:01:53.373 --> 01:02:04.597]  But even mainline Democrats seeing their health care go up and working families across this country know they've been lied to and they know Trump didn't create Obamacare and they know Trump's trying to get the economy going.
[01:02:04.597 --> 01:02:08.918]  So there's a lot of basic self-preservation going on out there.
[01:02:08.918 --> 01:02:14.700]  The main problem that MSM has and will continue to have over the years
[01:02:17.113 --> 01:02:23.397]  Is that when they put out these fake polls, even when they don't show the methodology, when they do, you always see them adding 9, 15, 20 points or more.
[01:02:23.397 --> 01:02:27.859]  You can only lower polls so long.
[01:02:27.859 --> 01:02:29.700]  You can't just keep, keep, keep lowering.
[01:02:29.700 --> 01:02:33.602]  Nobody believes that Trump's got a 35% approval rate.
[01:02:33.602 --> 01:02:37.645]  And they know that there's elections coming up that'll prove their polls wrong.
[01:02:37.645 --> 01:02:45.249]  So now that it's still three years out, until Trump's facing full re-election, it will be an election season in two years, but
[01:02:47.381 --> 01:02:50.804]  They're creeping back with the fake polls again, and it's just what they do.
[01:02:50.804 --> 01:03:11.000]  And we know from industry bots, and the same numbers that any major company that subscribes to all these numbers can do, that the likability numbers of Trump are as high as they've been the last three years, except for the week after the inauguration.
[01:03:11.000 --> 01:03:12.001]  Very, very high then.
[01:03:13.456 --> 01:03:24.225]  It was another time it was very, very high, almost as high, and that was back during the Republican National Convention when he got the nomination.
[01:03:24.225 --> 01:03:25.666]  It was very, very high there.
[01:03:25.666 --> 01:03:31.211]  Some internal polls were showing him 20 points ahead of Hillary then.
[01:03:31.211 --> 01:03:36.776]  That's why I kept saying he's going to win, because of course he was 20 points ahead.
[01:03:36.776 --> 01:03:40.179]  Why do you think CNN was having to add 15 points on to Hillary?
[01:03:41.954 --> 01:03:43.895]  Because he was 15, 20 points ahead.
[01:03:43.895 --> 01:03:47.638]  They wanted to show her ahead of him.
[01:03:47.638 --> 01:03:51.160]  So it's, again, who they call, who they poll, who they reach out to.
[01:03:51.160 --> 01:03:57.705]  Most of CNN polls are phone polls where you call CNN and then they decide to mark down who called in.
[01:03:57.705 --> 01:04:02.608]  And again, in some polls, they oversampled 34% more Democrat callers.
[01:04:07.288 --> 01:04:10.631]  I mean, but they put it in the methodology.
[01:04:10.631 --> 01:04:22.840]  Well, I could have a methodology saying for headache, like trephiny, where I take a hatchet and hack myself in the head like, you know, the ancients drilled holes in their heads and let the evil spirits out.
[01:04:22.840 --> 01:04:24.681]  I mean, that's a methodology for brain surgery.
[01:04:24.681 --> 01:04:25.502]  It doesn't mean it's real.
[01:04:26.966 --> 01:04:33.452]  I could sit there and throw a cat in boiling water and boil it and drink it and think I had superpowers, because I was taking hemlock.
[01:04:33.452 --> 01:04:35.974]  Because I was hallucinating.
[01:04:35.974 --> 01:04:42.720]  I mean, just because CNN throws feces up against the wall and then has to read what it says and says Trump's going to lose, that means it's true.
[01:04:42.720 --> 01:04:49.767]  Let me tell you, the Romans would cut the guts out of like oxen and things and read their entrails for chickens.
[01:04:49.767 --> 01:04:52.089]  And I'm telling you, that's more accurate than CNN's polls.
[01:04:53.376 --> 01:04:59.156]  Wolf Blitzer can sit there and throw his own feces up against the wall and that would give us more information than their polls.
[01:05:00.888 --> 01:05:06.593]  Rediscover your fire with the EcoZoom Coal Rocket Camping Stove.
[01:05:06.593 --> 01:05:14.600]  It's easy to light and you can cook with wood, charcoal, or any biomass fuel in a rugged and durable design.
[01:05:14.600 --> 01:05:17.742]  And that means big power in a portable package.
[01:05:17.742 --> 01:05:23.787]  The Versa cooks fast, it produces less smoke, and it's fuel efficient.
[01:05:23.787 --> 01:05:27.951]  No wonder the Versa is the most popular model in America.
[01:05:28.371 --> 01:05:34.417]  It's the ultimate stove for camping, outdoor cooking, or emergency preparedness.
[01:05:34.417 --> 01:05:41.003]  All it takes is a handful of sticks or charcoal and you got yourself an entire meal.
[01:05:41.003 --> 01:05:42.725]  Now that looks good.
[01:05:42.725 --> 01:05:49.432]  Go to Infowarsstore.com for more details and see how you can become the master outdoor chef.
[01:05:50.072 --> 01:05:55.555]  And enjoy cooking freedom with the EcoZoom Versa Outdoor Stove.
[01:05:55.555 --> 01:06:06.420]  Available right now at, you guessed it, Infowarestore.com.
[01:06:06.420 --> 01:06:10.682]  You're listening to the Antidote for Fake News.
[01:06:10.682 --> 01:06:12.643]  It's Alex Jones.
[01:06:14.176 --> 01:06:30.676]  Sometimes I feel I've got to run away, I've got to get away from the pain you drive into the heart of me, the love we share seems to go
[01:06:35.258 --> 01:06:44.486]  All right, ladies and gentlemen, we are back live a little bit late getting
[01:06:56.476 --> 01:06:56.897]  Thank you so much.
[01:07:06.974 --> 01:07:11.615]  has kicked out 755 US diplomats.
[01:07:11.615 --> 01:07:25.538]  This is being done a little less than a year after the United States kicked out that many and actually took several diplomatic Russian compounds on the East Coast in DC and New York, took those away from the Russians.
[01:07:25.538 --> 01:07:31.619]  So there's not been a thawing of some of the worst relations since the Cuban Missile Crisis with Russia.
[01:07:32.807 --> 01:07:36.910]  Despite the fact that there's no evidence Russia actually meddled in our elections or hacked anything.
[01:07:36.910 --> 01:07:38.651]  We caught the DNC doing it.
[01:07:38.651 --> 01:07:42.013]  In five states they stole, six other states they tried to rob.
[01:07:42.013 --> 01:07:44.654]  I'm not here defending Russia.
[01:07:44.654 --> 01:07:54.180]  It's just Russia hasn't done anything to us other than work with the Pentagon to take out Al Qaeda and ISIS in the last five years back when Obama and others were actually backing it.
[01:07:54.180 --> 01:07:56.021]  So, absolutely amazing.
[01:07:56.021 --> 01:07:56.822]  More than 750 American diplomats
[01:07:59.380 --> 01:08:03.461]  We'll have to leave Russia as a result of Washington's own policies.
[01:08:03.461 --> 01:08:13.564]  Russian President Vladimir Putin had said in an exclusive interview with the, I don't want to pronounce it wrong, R-O-S-S-I-Y-A-1 TV channel.
[01:08:13.564 --> 01:08:20.686]  The American side has made a move, which is important to note, and it just continues on from there.
[01:08:20.686 --> 01:08:21.526]  Get them on the road.
[01:08:23.080 --> 01:08:27.823]  Important to note, hasn't been provoked by anything to worsen Russian-U.S.
[01:08:27.823 --> 01:08:28.323]  relations.
[01:08:28.323 --> 01:08:39.531]  It includes unlawful restrictions, attempts to influence other states in the world, including our allies, who are interested in developing and keeping relations with Russia, Putin told the channel's host.
[01:08:40.325 --> 01:08:40.965]  And it goes on.
[01:08:40.965 --> 01:08:45.086]  We've been waiting for quite a long time that maybe something would change for the better.
[01:08:45.086 --> 01:08:49.988]  We had hopes that the situation would change, but it looks like it's not going to change in the near future.
[01:08:49.988 --> 01:08:54.689]  I've decided that it's the time for us to show that we will not leave anything unanswered.
[01:08:54.689 --> 01:08:58.590]  The Russian President added earlier this week, following the U.S.
[01:08:58.590 --> 01:09:08.413]  Congress approval of new sanctions against Russia, Iran, North Korea, the Russian Foreign Ministry announced that Moscow told Washington to reduce the number of diplomatic staff in Russia to 455 people.
[01:09:09.713 --> 01:09:10.274]  The number of U.S.
[01:09:10.274 --> 01:09:16.820]  diplomatic service staff in Russia was ordered to be reduced in order to equal the number of Russian diplomats in the U.S.
[01:09:16.820 --> 01:09:18.742]  by September 1st.
[01:09:18.742 --> 01:09:23.847]  They went on to say, as of now, I greatly exceeds the number of Russian embassy staff and the U.S.
[01:09:23.847 --> 01:09:29.332]  ministry said the American diplomatic mission includes more than 1,200 personnel.
[01:09:29.332 --> 01:09:32.595]  And again, China, the EU,
[01:09:34.369 --> 01:09:48.040]  The Vatican, some of the Gulf states, allied with other socialist states like Venezuela, Cuba, and others, are all allied against the United States and Russia.
[01:09:48.040 --> 01:09:59.449]  And that's because the United States and Russia are big, land-rich, mineral-rich countries that the globalists have had previous total control over, but
[01:10:00.327 --> 01:10:07.637]  We are now breaking away from this multinational combine that's tax-exempt and has diplomatic immunity.
[01:10:07.637 --> 01:10:13.525]  And people are aware now of how outrageous this is and that they've actually gotten away with all of this.
[01:10:15.285 --> 01:10:42.943]  But again, once you expose globalism, once people know it's unelected, once people know what its plans are, once they know that it wants to use austerity and poverty to control everybody, keep the third world poor, use third world populations to drive down wages in the first world, use those populations through race baiting and tribalism in a divide and conquer, Balkanization's great game strategy, so the elites can basically build armored
[01:10:44.687 --> 01:10:56.998]  Compounds and far away high-tech breakaway civilizations from Tasmania to Hawaii, hoping that they're going to escape the plan that they've set up.
[01:10:56.998 --> 01:11:00.081]  And really what it is is they're losers.
[01:11:00.081 --> 01:11:03.765]  It's much easier to control demolition.
[01:11:05.535 --> 01:11:17.708]  It's much easier to just come in and take things over and blow them up and implode them and then say it's some master plan you've got and that you were really doing it by design when you're really just a selfish person and are part of a selfish combine.
[01:11:18.649 --> 01:11:32.195]  The truth is the globalists don't want to have to manage things, don't want to have to create more resources, don't want to have to compete with new technologies that are coming out, and they fear the incredible cutting-edge renaissance that they've already been suppressing for 50 years.
[01:11:32.195 --> 01:11:41.799]  It is a fact that the technology and information we have is billions and billions of times greater conservatively than what it was 5,000 years ago.
[01:11:43.203 --> 01:11:53.733]  We already have incredible technology, incredible understanding, but that technology has been used as a control system and we've been lazy so that we're becoming very, very
[01:11:55.410 --> 01:12:04.814]  Decadent, like the fictional characters that weigh 600 pounds in the movie WALL-E, that are just up there in this AI cruise ship outside the Earth they've destroyed.
[01:12:04.814 --> 01:12:07.595]  They're on an Elysium, and the computers aren't evil.
[01:12:07.595 --> 01:12:09.856]  The AI wasn't bad overall.
[01:12:09.856 --> 01:12:17.018]  It just basically followed its order to keep everybody basically under its full control and completely nanny-state servile.
[01:12:17.018 --> 01:12:19.979]  And that's where all this is going, except it's not an accident.
[01:12:19.979 --> 01:12:23.661]  The Globeless admit it's a plan for full and total control.
[01:12:24.741 --> 01:12:27.343]  So when we come back, we will go to calls.
[01:12:27.343 --> 01:12:30.345]  I hadn't thought to punch up the phone system until right now, so that's my fault.
[01:12:30.345 --> 01:12:32.227]  But I'm glad we've got those punched up now.
[01:12:32.227 --> 01:12:35.369]  So when we come back from break, I'll be able to go to J.K.
[01:12:35.369 --> 01:12:39.792]  and David and Frank and Jim and Alex and Sean and others.
[01:12:39.792 --> 01:12:41.173]  Speaking of J.K., J.K.
[01:12:41.173 --> 01:12:46.538]  Rowling has come out and routinely attacks Paul Joseph Watson, calling him a racist with no evidence.
[01:12:46.538 --> 01:12:48.519]  She's the one that has giant palaces.
[01:12:48.519 --> 01:12:50.420]  I'm talking like six or seven of them just in England.
[01:12:51.261 --> 01:12:52.882]  And in Tasmania, speaking of the devil.
[01:12:52.882 --> 01:12:54.963]  Oh, and in Hawaii, too, I was reading.
[01:12:54.963 --> 01:12:56.343]  And she was taken in one refugee.
[01:12:56.343 --> 01:12:58.724]  She's worth like five million dollars.
[01:12:58.724 --> 01:13:01.245]  She was taken in one refugee.
[01:13:01.245 --> 01:13:09.628]  But she came out and criticized Paul when he pointed out the BBC's teaching kids in cartoons that Romans in England and in Rome were black.
[01:13:09.628 --> 01:13:11.829]  They were black.
[01:13:11.829 --> 01:13:13.070]  And pretty soon it'll be like the pyramids.
[01:13:13.070 --> 01:13:16.111]  People will just believe that Rome was built by black folks.
[01:13:16.111 --> 01:13:17.191]  Nothing against black people.
[01:13:17.191 --> 01:13:18.892]  I mean, my ancestors didn't build Rome.
[01:13:20.078 --> 01:13:22.119]  Yeah, that's the Italians.
[01:13:22.119 --> 01:13:24.600]  But I mean, that's what they're teaching now.
[01:13:24.600 --> 01:13:27.862]  And pretty soon it's like, yeah, whites had nothing to do with Egypt either.
[01:13:27.862 --> 01:13:32.384]  They've done all the DNA testing and it was founded by Southern and Central Europeans.
[01:13:32.384 --> 01:13:34.185]  I mean, that's just a fact.
[01:13:34.185 --> 01:13:36.586]  But again, this is how this works.
[01:13:36.586 --> 01:13:39.447]  So pretty soon it'll be, oh, that's a conspiracy theory.
[01:13:39.447 --> 01:13:42.288]  Yeah, you didn't know Britons were all black.
[01:13:42.288 --> 01:13:42.909]  And then J.K.
[01:13:42.909 --> 01:13:47.471]  Rowling comes out and attacks him when he points that out and says, isn't this horrible?
[01:13:49.181 --> 01:13:53.063]  Again, 30 years ago people said it's crazy, I'm not paying for your sex change.
[01:13:53.063 --> 01:13:54.744]  You're like, you're hateful, pay for my sex change.
[01:13:54.744 --> 01:13:57.926]  Whether you believe in the sex change or not, I shouldn't have to pay for it.
[01:13:57.926 --> 01:14:00.028]  That's the same thing with like bringing in all these radical Muslims.
[01:14:00.028 --> 01:14:01.929]  None of these people want to take them in themselves.
[01:14:01.929 --> 01:14:11.395]  They want to rain them down on the rest of civilization as a destabilizing event because the globalists manage the crisis management systems and use the crises they create
[01:14:12.759 --> 01:14:18.531]  And they exacerbate, just like Rahm Emanuel said, we don't let a good crisis go to waste, to bring in more control.
[01:14:18.531 --> 01:14:19.894]  And this is their methodology.
[01:14:20.603 --> 01:14:24.906]  And Trump and Nigel Farage and others do not want that.
[01:14:24.906 --> 01:14:27.127]  We want the old prosperity-based system.
[01:14:27.127 --> 01:14:31.570]  We want the forbidden disruptive technologies, as they call them, released.
[01:14:31.570 --> 01:14:35.632]  We want them deployed to basically open free market bidding.
[01:14:35.632 --> 01:14:41.636]  We want a lot of the public lands, 80 plus percent in many areas out west, as high as 90 percent, are under federal control.
[01:14:41.636 --> 01:14:44.457]  They're very imperious, very arrogant.
[01:14:44.457 --> 01:14:48.000]  We want that transferred back to the people.
[01:14:49.173 --> 01:14:51.194]  And it just needs to happen.
[01:14:51.194 --> 01:14:52.254]  And it needs to happen now.
[01:14:52.254 --> 01:14:54.535]  That's what's going to innovate and get us off the planet.
[01:14:54.535 --> 01:14:57.796]  We've gotten to this point with some dirty technologies.
[01:14:57.796 --> 01:15:04.899]  But the globalists claim they're bringing in all these new clean technologies and things like windmills and things when that's just boondoggles to their friends.
[01:15:04.899 --> 01:15:06.480]  They're suppressing real technologies.
[01:15:06.480 --> 01:15:11.482]  They're diverting us with fake environmental crises like carbon dioxide that is one of the four
[01:15:12.242 --> 01:15:13.423]  We're good to go.
[01:15:33.934 --> 01:15:35.935]  So again, this is the reality.
[01:15:35.935 --> 01:15:39.717]  Your phone call's coming up on the other side of this quick break.
[01:15:39.717 --> 01:15:40.458]  877-789-2539.
[01:15:40.458 --> 01:15:56.967]  I've got a bunch of other clips I haven't gotten to as well that deal with the incredible criminal activity of foreign IT operations being given direct control of the DNC and congressional servers.
[01:15:56.967 --> 01:15:59.589]  Part of the overall globalist plan to sabotage this country.
[01:16:01.172 --> 01:16:04.935]  Thousands of years ago, there was a basic form of chivalry.
[01:16:04.935 --> 01:16:12.680]  Our ancestors would hear the drums of war, giving the warriors of the tribe a chance to organize and prepare a defense.
[01:16:12.680 --> 01:16:21.286]  Sixty years ago, when foreign air forces were approaching filled with bombs, they had drums of their own, air raid sirens.
[01:16:21.286 --> 01:16:31.012]  But in the 21st century, there are silent weapons for quiet war, pathogens added to the food and water, and to the lining of plastics that destroy our vitality.
[01:16:31.292 --> 01:16:32.412]  We're good to go.
[01:16:59.989 --> 01:17:08.257]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the info war.
[01:17:08.257 --> 01:17:09.458]  A 360 win.
[01:17:09.458 --> 01:17:16.024]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order at InfoWareStore.com.
[01:17:16.024 --> 01:17:23.551]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip because we hold back a surplus for AutoShip customers.
[01:17:23.951 --> 01:17:28.614]  Number three, we're giving you free shipping on all orders above $50.
[01:17:28.614 --> 01:17:35.118]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[01:17:35.118 --> 01:17:42.922]  Just go to InfoWarsTore.com, select your favorite product or products, click on auto ship, and choose how often you want us to send you another order.
[01:17:42.922 --> 01:17:50.126]  As you know, I coined the term 360 win, and with the new auto ship feature at InfoWarsLife.com, this is a sure win.
[01:17:50.126 --> 01:17:50.927]  10% off on auto ship.
[01:17:51.087 --> 01:17:53.530]  Win-win-win at InfoWarsLife.com.
[01:17:53.530 --> 01:17:55.512]  Free shipping on orders above $50.
[01:17:55.512 --> 01:17:59.356]  And all out-of-stock items are never out of stock when you sign up for AutoShip.
[01:18:01.551 --> 01:18:07.196]  Today, I'm excited to announce the new limited shipment of DNA Force has finally arrived at the M4's warehouse in Austin, Texas.
[01:18:07.196 --> 01:18:15.863]  We have thousands of listeners on the waiting list who've signed up for AutoShip to receive out-of-stock products at DNA Force, and we are now once again expected to sell out very, very soon.
[01:18:15.863 --> 01:18:23.769]  And when it comes to a formula that is such a game-changer like DNA Force, we never know when we will be able to secure an additional supply of the key ingredients.
[01:18:23.769 --> 01:18:29.914]  The secret behind DNA Force is its powerful lineup of patented ingredients like CoQ10, systematic enzymes,
[01:18:30.254 --> 01:18:33.295]  NAR, lipoic acid, BioPQQ, and many others.
