[00:00:05.188 --> 00:00:07.212]  Important instructions will follow.
[02:19:06.096 --> 02:19:17.185]  One of the things Bill Nye has actually called out and said, we have to wait for the climate skeptics to die off because he's so confident that he's been able to brainwash younger generations and polling data bears it out.
[02:19:17.225 --> 02:19:19.968]  Young people are big believers in the climate scare.
[02:19:19.988 --> 02:19:30.336]  The Weather Channel did an atrocious video of elementary school kids warning of the climate crisis, wanting to save polar bears, telling their parents they had to be more green in order to save the climate.
[02:19:30.777 --> 02:19:33.319]  Bill Nye wants the climate skeptics to die off.
[02:19:33.519 --> 02:19:44.227]  He's the one that also had his old show edited where they talk about mommies and daddies and the chromosomes and what makes boys and girls because that doesn't exist because Bill Nye said so.
[02:19:44.648 --> 02:19:49.451]  Oh yes, a total war on science by a group of people that have our children.
[02:19:49.812 --> 02:19:52.333]  So we're laughing about it, but it's not funny.
[02:19:52.794 --> 02:19:54.695]  We've got to take control of the education system.
[02:19:54.976 --> 02:20:02.121]  I want to get Mark Moreno's take on Trump and the current battle there because if they can take down our leader, they're going to get their carbon tax through.
[02:20:02.161 --> 02:20:02.641]  Stay with us.
[02:20:03.622 --> 02:20:24.935]  Recently, a creation of the corporate combine that owns HBO, recently a talking head that reads off a teleprompter that is filled by the lies of more than 20 writers, named John Oliver, viciously attacked InfoWars.
[02:20:25.275 --> 02:20:28.057]  It took them three weeks to produce
[02:20:28.917 --> 02:20:30.177]  The hit piece that they put out.
[02:20:30.818 --> 02:20:45.121]  You could teach a college course on the lies and deceptions put out through corporate mega-giant Time Warner, through their puppet organization HBO, and through their meat puppet, the boy man-child, John Oliver.
[02:20:45.621 --> 02:20:50.823]  But in the interest of time, let's just tackle one of the ginormous frauds that was involved.
[02:20:51.403 --> 02:20:56.247]  They imply it's evil that we sell products to fund our news organization.
[02:20:56.628 --> 02:21:10.320]  This when Time Warner made $28 million last year off of scamming people through overpriced cable and other activities, and why they've been voted one of the most mistrusted, hated corporations in America.
[02:21:10.660 --> 02:21:15.084]  So much so, they've changed their name twice in the last two years.
[02:21:16.075 --> 02:21:32.204]  That said, they then went on to claim that one of our flagship products, Caveman, made of bone broth, high quality bee pollen, turmeric, and so much more, is a scam, and that it tastes horrible.
[02:21:33.065 --> 02:21:34.406]  So let me just explain something here.
[02:21:35.444 --> 02:21:44.290]  This product since it came out has been sold out every time because people love it so much and because they get such good results and it tastes so good.
[02:21:44.731 --> 02:21:47.893]  Which was our plan all along.
[02:21:48.033 --> 02:21:51.716]  See, we go out to the biggest manufacturers in the country
[02:21:52.216 --> 02:22:01.945]  of organic high-quality supplements and we say we want to take it to the next level because we noticed that bone broth formulas have been one of the biggest sellers the last four or five years.
[02:22:02.465 --> 02:22:11.653]  So we set out for several years to try to find one that didn't taste bad like many formulas that are out there and we finally did it with Caveman.
[02:22:11.973 --> 02:22:16.397]  That's why I want you to experience Caveman for yourself 30% off in the month of August.
[02:22:16.778 --> 02:22:18.839]  It's the John Oliver special
[02:22:19.700 --> 02:22:26.044]  And again, you're welcome to come right in at Infowars.com or other third-party sites and tell the world whether it tastes good or not.
[02:22:26.464 --> 02:22:28.606]  But again, tastes okay with water.
[02:22:29.486 --> 02:22:31.007]  A lot better than other bone broth formulas.
[02:22:31.428 --> 02:22:37.071]  I think it tastes amazing with frosty cold milk and a few ice cubes in a blender.
[02:22:37.351 --> 02:22:39.373]  But let's put it to the test right now.
[02:22:46.017 --> 02:22:46.537]  Chocolatey.
[02:22:48.218 --> 02:22:48.739]  Fulfilling.
[02:22:50.660 --> 02:22:55.823]  It's almost like chocolate cake meets grandma's chicken noodle soup.
[02:22:56.904 --> 02:22:58.465]  There's no flavor like it out there.
[02:22:58.585 --> 02:22:59.706]  I find it delicious.
[02:23:00.787 --> 02:23:02.928]  Again, the more milk you add, the more creamy it is.
[02:23:03.528 --> 02:23:05.169]  Some people add a little bit extra stevia.
[02:23:05.630 --> 02:23:06.410]  It's really up to you.
[02:23:06.450 --> 02:23:13.475]  Some people are telling me that they're basically freezing it, eating it like frozen yogurt, or that they are even baking into cakes.
[02:23:14.015 --> 02:23:16.317]  We're even thinking about coming out with a cookbook.
[02:23:17.237 --> 02:23:19.079]  Some people also mix it with whey.
[02:23:19.619 --> 02:23:21.221]  So again, it's 30% off.
[02:23:21.781 --> 02:23:25.104]  You make the decision for yourself how the bone broth tastes.
[02:23:25.544 --> 02:23:26.926]  I personally really like it with milk.
[02:23:27.526 --> 02:23:29.308]  It's passable if it's with water.
[02:23:30.228 --> 02:23:38.055]  But regardless, no one can debate the benefits of bone broth, of chaga mushroom, of turmeric, of bee pollen.
[02:23:38.495 --> 02:23:41.958]  And there's other superfoods I didn't mention that are in Caveman,
[02:23:43.175 --> 02:23:50.197]  Super high-powered bone broth formula available at Infowarslife.com or by calling 888-253-3139.
[02:23:51.618 --> 02:24:03.122]  And when you purchase the product, again, you're funding the InfoWar and rubbing it in the nose of people like John Oliver and his writers that hope we go bankrupt.
[02:24:05.903 --> 02:24:10.124]  It's mind control, mind control.
[02:24:12.054 --> 02:24:18.418]  Martin Moreno is with us for another six minutes and I'm coming back hitting all the North Korea news, all the latest breaking news, huge McMaster news.
[02:24:18.478 --> 02:24:29.466]  Caught red-handed, he is a Soros operative communicating how he's taken control of the Trump White House to George Soros directly and is being directed by George Soros.
[02:24:30.046 --> 02:24:36.991]  That is exclusive to InfoWars.com, but more is breaking from other news sources backing up even more of that.
[02:24:37.752 --> 02:24:41.034]  So devastating information at InfoWars.com.
[02:24:42.301 --> 02:24:48.722]  Now, going back to Mark Moreno, your film, The Climate Hustle, they tried to even stop being shown in Paris last year.
[02:24:48.742 --> 02:24:51.643]  It's available on DVD at InfoWarsTore.com.
[02:24:52.943 --> 02:24:54.683]  They can buy it at obviously Climate Depot.
[02:24:54.763 --> 02:24:56.023]  I don't care where you get it, folks.
[02:24:56.443 --> 02:24:57.084]  Just get it.
[02:24:58.244 --> 02:25:01.604]  It's got five stars with the reviews at InfoWarsTore.com.
[02:25:02.144 --> 02:25:04.185]  Donate it to the library after you're done watching it.
[02:25:04.985 --> 02:25:06.485]  Show it to your VFW hall.
[02:25:07.305 --> 02:25:09.666]  Mark, I mean, how are you for folks airing it on AXS TV?
[02:25:09.686 --> 02:25:11.386]  I mean, you want people to see this, right?
[02:25:12.715 --> 02:25:13.095]  We do.
[02:25:13.115 --> 02:25:17.078]  Yeah, I think, I don't know about AXS TV, but we encourage all the small groups.
[02:25:17.138 --> 02:25:23.342]  I think eventually we're going to get a TV distribution deal on it to get on, you know, some kind of national cable network.
[02:25:24.043 --> 02:25:29.706]  I understand you want it to be seen, but if you officially say, yeah, it's okay to put it on AXS, they can say the exclusivity's gone.
[02:25:29.726 --> 02:25:35.170]  I understand, I've been through that myself, because I've done that and people say, oh, now we can't distribute it because you tell people they can do whatever they want.
[02:25:35.390 --> 02:25:36.891]  The point is, people need to see this.
[02:25:37.211 --> 02:25:39.673]  Don't just think that we're in our own bubble and we know all this.
[02:25:40.073 --> 02:25:42.655]  We've got to counteract their brainwashing of the children.
[02:25:44.336 --> 02:25:47.498]  Yes, in fact, you were asking me, you know, how Donald Trump's doing.
[02:25:47.518 --> 02:26:01.427]  The number one thing Donald Trump can do to counteract propaganda toward children and the public is a point to the correct sciences are to replace the disaster of John Holdren, who was under Obama, the president's science are.
[02:26:02.087 --> 02:26:12.496]  And it looks like Princeton professor Will Happer is a leading contender, one of two people to contend, and he is one of the most powerful climate skeptics.
[02:26:12.756 --> 02:26:18.781]  He's done over 200 peer-reviewed scientific studies, and he says that the Earth is currently in a CO2 famine.
[02:26:19.141 --> 02:26:28.409]  He is not afraid to speak his mind, and if he were chosen by Donald Trump to be the science czar, I think we would have—heads in Washington would explode.
[02:26:29.009 --> 02:26:31.991]  And keep in mind, you were asking me for an update on Trump, and here's the bottom line.
[02:26:32.752 --> 02:26:37.335]  Ronald Reagan, when he was elected, scared the political class he established in Washington.
[02:26:37.395 --> 02:26:42.078]  But after his first term, the first couple years, Reagan really was quite a revolutionary.
[02:26:42.098 --> 02:26:43.239]  But then he settled in.
[02:26:43.559 --> 02:26:53.446]  By his second term, he became part of the establishment, and many conservatives got very upset with Ronald Reagan, with his deals with the Soviet Union, and he just sort of drifted away and accepted the status quo.
[02:26:53.986 --> 02:26:54.887]  George H.W.
[02:26:54.927 --> 02:26:57.349]  Bush was the Washington Establishment.
[02:26:57.849 --> 02:27:01.072]  Bob Dole, when he ran in 1996, was the Washington Establishment.
[02:27:01.392 --> 02:27:04.034]  George W. Bush was the Washington Establishment.
[02:27:04.194 --> 02:27:07.477]  John McCain was the Washington Establishment in 2008.
[02:27:07.897 --> 02:27:10.459]  2012 Mitt Romney, he was the Washington Establishment.
[02:27:10.580 --> 02:27:15.423]  In fact, he's actually recommended to Trump that we stay in the Paris Agreement right before Trump pulled out.
[02:27:15.924 --> 02:27:17.045]  And McCain would have stayed in.
[02:27:17.145 --> 02:27:18.186]  Kasich would have stayed in.
[02:27:18.446 --> 02:27:19.607]  Jeb Bush would have stayed in.
[02:27:20.008 --> 02:27:23.681]  But is Trump not the total maverick, the maverick he said he would be?
[02:27:23.721 --> 02:27:24.443]  That's why they hate him?
[02:27:25.700 --> 02:27:33.727]  Yes, what I'm trying to get to is Donald Trump is the greatest threat to the existing political class's world order for a couple simple reasons.
[02:27:33.767 --> 02:27:36.610]  The man can't be owned and bought by anyone.
[02:27:36.750 --> 02:27:38.451]  He can't be blackmailed.
[02:27:38.832 --> 02:27:40.013]  He can't be intimidated.
[02:27:40.553 --> 02:27:49.061]  What Pat Buchanan actually said in the 1980s is, we need a president in Washington who will treasure their negative notices in the Washington Post and New York Times.
[02:27:49.381 --> 02:27:51.823]  We actually, for the first time in our
[02:27:51.923 --> 02:27:52.444]  We're good to go.
[02:28:08.784 --> 02:28:15.993]  And just talking to other Republicans, there's a lot of timidity among Republicans of, oh, Trump has got to tone it down.
[02:28:16.313 --> 02:28:18.876]  No, I think Donald Trump is doing it exactly right.
[02:28:19.336 --> 02:28:25.603]  We need an alien political force to upset, to offend, to waive political incorrectness,
[02:28:26.544 --> 02:28:30.428]  And because of that, he is the greatest threat to the Washington political establishment.
[02:28:30.449 --> 02:28:33.912]  The things he does, the way he's doing them, is profound.
[02:28:34.232 --> 02:28:35.334]  He has room for improvement.
[02:28:35.374 --> 02:28:39.278]  I wish he could get the Republicans, I wish he could coax the Republicans to pass him.
[02:28:39.298 --> 02:28:40.879]  But that's their fault!
[02:28:40.899 --> 02:28:41.340]  That's their fault!
[02:28:41.420 --> 02:28:43.662]  I'm perfectly happy with gridlock for the next four years.
[02:28:43.742 --> 02:28:47.166]  In my mind, Trump's presidency is already wildly successful.
[02:28:47.506 --> 02:28:48.587]  Oh, I totally agree.
[02:28:48.787 --> 02:28:50.768]  And I've seen Fox make a turn against him.
[02:28:51.308 --> 02:28:52.669]  Because the establishment is scared.
[02:28:52.689 --> 02:28:53.850]  He's really delivering.
[02:28:54.170 --> 02:28:55.291]  And the economy shows it.
[02:28:55.391 --> 02:28:56.472]  And it's just incredible.
[02:28:56.492 --> 02:28:58.273]  And we should all be very, very thankful.
[02:28:58.313 --> 02:29:03.036]  But a lot of, like you said, establishment people really think what CNN says about you means something.
[02:29:03.116 --> 02:29:04.817]  It's good to be called things by them.
[02:29:05.217 --> 02:29:15.941]  It's wonderful, but you've still got a bunch of followers put in power by the establishment who got there not because they're leaders, but because they're followers and they still think MSNBC and CNN matter.
[02:29:16.001 --> 02:29:19.522]  They still think having NBC or ABC come after you is bad.
[02:29:19.922 --> 02:29:29.706]  They don't understand that this is absolutely critical and that Trump is delivering wildly and we should all just be giddy and they're putting out more fake polls saying he's in trouble.
[02:29:29.986 --> 02:29:31.428]  Mark Moreno, thank you so much.
[02:29:31.488 --> 02:29:34.232]  Climate Hustle, available at InfoWorksStore.com.
[02:29:34.332 --> 02:29:35.454]  Everybody should get it today.
[02:29:35.854 --> 02:29:38.077]  Thank you for the great work you're doing, and thank you for the update.
[02:29:38.097 --> 02:29:39.599]  Thank you, Alex.
[02:29:39.740 --> 02:29:40.180]  Appreciate it.
[02:29:40.781 --> 02:29:42.363]  Mark Moreno is so on target.
[02:29:43.263 --> 02:29:45.324]  He's so absolutely on target.
[02:29:45.945 --> 02:29:53.770]  I mean, Trump hadn't gotten his tax cut or Obamacare through because the enemies in Congress, both parties, get more Freedom Caucus people elected.
[02:29:53.950 --> 02:29:55.951]  He's got everything else done.
[02:29:55.971 --> 02:29:58.313]  He's doing exactly what he said he'd do.
[02:29:58.793 --> 02:29:59.754]  It's unprecedented!
[02:30:00.314 --> 02:30:02.936]  It's winning, winning, winning, winning, winning!
[02:30:03.672 --> 02:30:07.195]  It's Paul Joseph Watson and the t-shirt has finally arrived.
[02:30:07.656 --> 02:30:13.701]  Nothing triggers safe space snowflakes more than this slogan and my face.
[02:30:14.121 --> 02:30:16.904]  It is the new t-shirt from InfoWarsStore.com.
[02:30:17.284 --> 02:30:20.307]  Conservatism is the new counterculture.
[02:30:20.487 --> 02:30:23.950]  You've seen how much this triggers the safe space snowflakes.
[02:30:24.270 --> 02:30:24.731]  The left
[02:30:25.071 --> 02:30:26.011]  ...controls culture.
[02:30:26.051 --> 02:30:27.032]  They control arts.
[02:30:27.092 --> 02:30:28.332]  They control entertainment.
[02:30:28.612 --> 02:30:35.695]  They have the complete monopoly on culture, which is why conservatism is the new counterculture.
[02:30:35.755 --> 02:30:38.156]  We are striking back in the culture war.
[02:30:38.636 --> 02:30:42.498]  This triggers snowflakes like nothing you've ever seen in your life.
[02:30:42.558 --> 02:30:44.619]  You've seen how much they absolutely hate
[02:30:45.259 --> 02:30:50.624]  The image of my face and that particular slogan, conservatism, is the new counterculture.
[02:30:50.884 --> 02:30:57.150]  This t-shirt is not only a conversation starter, it will trigger the holy hell out of leftists.
[02:30:57.210 --> 02:30:58.911]  It will make me incredibly happy.
[02:30:59.072 --> 02:31:00.253]  It's available right now.
[02:31:00.553 --> 02:31:03.115]  Get yours at infowarsstore.com.
[02:31:04.016 --> 02:31:05.457]  After four years of research,
[02:31:06.693 --> 02:31:09.815]  The next big game changer has arrived.
[02:31:10.596 --> 02:31:14.018]  Z-Shield, toxic metal and chemical defense support.
[02:31:14.638 --> 02:31:15.959]  It's made in the USA.
[02:31:16.480 --> 02:31:24.845]  It's filled with known compounds from nature that are absolutely associated with detoxifying the body and it supports the Infowar.
[02:31:25.226 --> 02:31:27.147]  It is a classical 360 wind.
[02:31:27.427 --> 02:31:28.408]  We're changing the world.
[02:31:28.868 --> 02:31:31.070]  Now it's time to change our bodies with Z-Shield.
[02:31:31.530 --> 02:31:32.551]  Infowarslife.com
[02:31:33.444 --> 02:31:37.848]  We have the new product at Infowarsandlife.com, BioTrue Selenium.
[02:31:37.928 --> 02:31:48.879]  We've had so many requests over the years for selenium and just recently we were able to source a certified organic bioavailable selenium from mustard seed extract.
[02:31:49.039 --> 02:31:53.961]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[02:31:54.081 --> 02:31:56.582]  It helps balance the thyroid gland.
[02:31:56.662 --> 02:31:58.142]  It helps detoxify.
[02:31:58.362 --> 02:32:01.203]  Selenium is another one of those absolute must-haves.
[02:32:01.243 --> 02:32:06.005]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[02:32:06.025 --> 02:32:12.247]  As a matter of fact, there's 25 genes in the body that are directly dependent upon selenium.
[02:32:12.287 --> 02:32:17.589]  So it really is an all-around nutrient that everybody really needs.
[02:32:17.609 --> 02:32:18.369]  I'm taking it now.
[02:32:18.729 --> 02:32:19.550]  We're good to go.
[02:32:34.266 --> 02:32:39.130]  DNA Force is finally back in stock at Infowarsstore.com.
[02:32:39.850 --> 02:32:44.594]  DNA Force protects your body from the toxic environment that surrounds us all.
[02:32:44.734 --> 02:32:49.217]  The powerful ingredients include Bio-PQQ and Coenzyme Q10.
[02:32:49.417 --> 02:32:51.899]  Protect yourself against dangerous free radicals.
[02:32:52.099 --> 02:32:53.981]  Optimize cellular energy.
[02:32:54.281 --> 02:32:55.602]  It's DNA Force.
[02:32:55.642 --> 02:32:57.503]  It's available for a limited time only.
[02:32:58.264 --> 02:33:01.446]  Get yours today, right now, at Infowarsstore.com.
[02:33:11.480 --> 02:33:17.742]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:33:17.763 --> 02:33:18.263]  So,
[02:33:40.745 --> 02:33:41.825]  Here is the big news.
[02:33:45.327 --> 02:33:48.948]  The economy is roaring back in many areas.
[02:33:49.929 --> 02:34:05.195]  The regulations, the controls the globalists have put on us, publicly, to shut down the United States and transfer our industry to China, mainly, so that our economic destiny could be dictated to us.
[02:34:05.235 --> 02:34:06.955]  That's how you make people surrender.
[02:34:06.995 --> 02:34:08.016]  You put them under siege.
[02:34:09.730 --> 02:34:17.115]  And now Trump is breaking the siege against America and small business numbers are the biggest basically ever recorded in modern history.
[02:34:17.475 --> 02:34:18.515]  That's in the news today.
[02:34:20.877 --> 02:34:31.903]  They are responding by throwing hissy fits in the controlled corporate fake news factories that are CNN and others saying, Oh, we have new polls.
[02:34:31.943 --> 02:34:33.564]  He's never been less popular.
[02:34:33.604 --> 02:34:34.225]  Everyone hates him.
[02:34:34.605 --> 02:34:35.546]  Oh, no one trusts him.
[02:34:35.666 --> 02:34:36.746]  Oh, the economy's terrible.
[02:34:37.167 --> 02:34:38.287]  Oh, everyone agrees.
[02:34:38.327 --> 02:34:39.008]  Stop tweeting.
[02:34:40.370 --> 02:34:48.357]  And they just become hysterical every day, like cult members, you know, believing if they go stand on a mountaintop, flying saucers are gonna finally land and take them away.
[02:34:48.397 --> 02:34:55.263]  And finally the cult leader says, just drink vodka and take barbiturates and wear Nike tennis shoes and your spirit will go up there.
[02:34:55.283 --> 02:34:56.143]  Yeah!
[02:34:56.284 --> 02:34:57.264]  Let's kill ourselves!
[02:34:58.806 --> 02:35:00.107]  Black Nike tennis shoes are key.
[02:35:01.618 --> 02:35:06.321]  It's like a ghost dance, like the Native Americans did when they thought they were defeated, which they were.
[02:35:06.762 --> 02:35:07.482]  Very sad story.
[02:35:07.722 --> 02:35:17.850]  They would dance around, you know, out west, and for sometimes weeks on end, having hallucinations on drugs, just believing that their ancestors would come back, things would get better, they could reverse it.
[02:35:18.530 --> 02:35:30.199]  Well, you've got the globalist ghost dance, the pedophile ghost dance going on, the devil worshipper ghost dance, I don't really feel sorry for them, and they're dancing around, dancing around, staring at the sun, taking as much
[02:35:31.175 --> 02:35:32.697]  Political peyote is possible.
[02:35:32.717 --> 02:35:38.083]  This is an allegory, a parallel, an example, a comparison, a parable.
[02:35:38.103 --> 02:35:40.125]  I'm not saying for real this is happening.
[02:35:41.207 --> 02:35:50.698]  And they don't know what to do now because their god, Hillary, their queen, their king, Soros, just can't deliver.
[02:35:52.455 --> 02:36:19.865]  He's been able to topple third world countries and bankrupt and steal the pension funds and rape and rob and turn the Muslims loose and slaughter but here in the big fat juicy America, the flyover country, they just, they got rid of our jobs and they're teaching our kids how to be trannies and how to, you know, perform oral sex at age five and how to hate mommy and daddy and how to play video games all day but they just can't get all the rest of it done quite quick enough.
[02:36:22.236 --> 02:36:26.339]  And so they just keep churning out, just stop responding to us!
[02:36:26.739 --> 02:36:43.130]  Don't point out when we say you're very unpopular that we put out all those fake polls before, and don't put out other algorithm documents showing that you're as popular as you've ever been, except for the week of the nomination.
[02:36:43.170 --> 02:36:43.871]  He was higher then.
[02:36:45.111 --> 02:36:45.992]  Just stop!
[02:36:46.572 --> 02:36:48.554]  Listen, it's best for you if you just shut up.
[02:36:49.394 --> 02:36:51.316]  Let us put handcuffs on you and get in the car.
[02:36:52.213 --> 02:36:52.914]  It's like Ted Bundy.
[02:36:53.074 --> 02:36:56.156]  Pull up, non-threatening yellow Volkswagen, little non-threatening suit.
[02:36:56.196 --> 02:36:59.919]  You go, hey, wanna go get some soda pop with me and maybe see a rock show?
[02:37:00.700 --> 02:37:07.003]  He'd get the 16-year-old girl in his car and he'd put a gun to her head and he said, listen, I'm not going to hurt you as long as you put these handcuffs on.
[02:37:07.023 --> 02:37:10.704]  And so he puts the handcuffs on and he goes, good, good, it's going to be all right now.
[02:37:10.744 --> 02:37:12.285]  I'm going to take you out to this farmhouse.
[02:37:12.825 --> 02:37:21.029]  And he takes her down in the basement and he tortures her for a few days and bites big chunks out of her, laughing at her, saying, ah, if you just would have run, you'd be alive, bitch.
[02:37:21.249 --> 02:37:23.410]  But you're not now, and I'm going to kill you!
[02:37:24.548 --> 02:37:26.730]  And they get off on the crying and begging.
[02:37:27.030 --> 02:37:27.991]  Oh, no one can hear you.
[02:37:28.051 --> 02:37:29.152]  I'm going to kill you now.
[02:37:29.732 --> 02:37:31.013]  I'm going to torture you to death.
[02:37:31.333 --> 02:37:32.294]  And that's how CNN is.
[02:37:32.334 --> 02:37:39.139]  Listen, Trump, just stop using that Twitter and just put these handcuffs on and get down in this basement.
[02:37:39.660 --> 02:37:44.203]  Never mind those pliers on the wall and the smell of dead flesh, that skull you see over there.
[02:37:44.483 --> 02:37:45.604]  Just get in there with us.
[02:37:45.845 --> 02:37:48.807]  We only fund the Arab Spring and mass murder every Christian we can.
[02:37:49.107 --> 02:37:50.628]  We only want to sexualize the children.
[02:37:50.668 --> 02:37:51.809]  We're a bunch of pedophiles at CNN.
[02:37:52.970 --> 02:37:54.352]  Yeah, that's what we want right now!
[02:37:54.873 --> 02:37:56.135]  Stop communicating!
[02:37:56.936 --> 02:37:59.680]  But they go, if we totally shut him off of it, the people will get mad!
[02:37:59.921 --> 02:38:05.509]  Then block all the positive mentions and block the likes and just shut him down and destroy all his supporters!
[02:38:07.051 --> 02:38:09.092]  Trump to vote.
[02:38:09.312 --> 02:38:10.032]  Voters to Trump.
[02:38:10.112 --> 02:38:10.913]  Never tweet.
[02:38:10.933 --> 02:38:11.733]  Just stop it!
[02:38:12.454 --> 02:38:17.136]  Just get in the Volkswagen, put on the handcuffs, and we're going to take good care of you, Trump.
[02:38:18.096 --> 02:38:21.498]  America, flyover country, just let us have your children.
[02:38:22.498 --> 02:38:23.899]  Just put the handcuffs on.
[02:38:24.299 --> 02:38:26.080]  Let us put the electrical tape on you.
[02:38:26.500 --> 02:38:28.401]  Let's just go into the basement.
[02:38:28.861 --> 02:38:30.422]  Just go into the basement!
[02:38:33.112 --> 02:38:37.615]  Ice cream truck music, ah la la, white van pulls up, creepy PCP head.
[02:38:38.615 --> 02:38:42.137]  Hey kids, I got free candy and popsicles.
[02:38:42.157 --> 02:38:43.118]  The kids are going, eh.
[02:38:43.858 --> 02:38:46.320]  Oh look, I got a puppy right here.
[02:38:46.680 --> 02:38:49.161]  Hey look, I got another little kid we call Renfield.
[02:38:49.581 --> 02:38:51.923]  We use him to lure other kids back.
[02:38:52.563 --> 02:38:57.525]  Yeah, it's my cousin's kid, so, you know, I just torture him some.
[02:38:57.785 --> 02:39:03.247]  But he's gonna come out with the puppy, and he's gonna trick you into this van, kid, and I'm gonna sell you.
[02:39:03.627 --> 02:39:06.348]  We're gonna Shanghai you and put you on a boat and ship you out of here.
[02:39:07.068 --> 02:39:09.129]  Listen, folks want to produce some snuff films.
[02:39:10.929 --> 02:39:12.770]  But it's okay, because they're liberal!
[02:39:14.110 --> 02:39:16.491]  It's okay, because it's trendy, you know.
[02:39:17.231 --> 02:39:18.492]  Spirit cooking!
[02:39:18.832 --> 02:39:19.772]  Podesta!
[02:39:20.053 --> 02:39:21.633]  Good people!
[02:39:22.153 --> 02:39:23.334]  Good people!
[02:39:23.654 --> 02:39:25.075]  Gotta take care of ya!
[02:39:27.115 --> 02:39:27.676]  Big deal!
[02:39:27.716 --> 02:39:30.277]  We want to kidnap and rape your kids in devil worship!
[02:39:30.397 --> 02:39:31.177]  We're liberal!
[02:39:31.197 --> 02:39:32.638]  It's okay, huh?
[02:39:34.218 --> 02:39:37.199]  Now, don't say mother or father on the entrance forms.
[02:39:37.619 --> 02:39:39.680]  Being a mother or father is a bad thing.
[02:39:39.700 --> 02:39:41.361]  Okay, alright.
[02:39:42.452 --> 02:39:44.093]  That's a crazy Alex Jones.
[02:39:45.014 --> 02:39:48.215]  You know, reads our documents on air and... So what?
[02:39:48.436 --> 02:39:49.536]  What are they gonna do to us?
[02:39:51.618 --> 02:39:52.258]  There you go.
[02:39:53.198 --> 02:39:53.839]  So, CNN.
[02:39:54.319 --> 02:39:55.140]  Brian Stelter.
[02:39:55.300 --> 02:39:56.701]  Hi, I'm Brian Stelter.
[02:39:57.421 --> 02:39:59.422]  Central casting of a Creepazoid.
[02:40:00.803 --> 02:40:02.024]  Hi, I'm Brian Stelter.
[02:40:02.044 --> 02:40:02.084]  Hi.
[02:40:04.898 --> 02:40:06.620]  Let me tell you about the real world.
[02:40:06.761 --> 02:40:08.863]  Oh, when Trump says something, it's not true.
[02:40:09.244 --> 02:40:10.285]  When we tell you it is.
[02:40:10.886 --> 02:40:14.211]  The thing he said the other day about Trump and Trump's new news service, Real News.
[02:40:16.683 --> 02:40:21.966]  It's almost as funny as Cuomo going, now these WikiLeaks, we're allowed to look at them because we're the media.
[02:40:22.046 --> 02:40:22.506]  You're not.
[02:40:22.886 --> 02:40:24.627]  You'll be arrested.
[02:40:24.647 --> 02:40:27.729]  I look at them and I tell you what you're allowed to hear, okay?
[02:40:28.149 --> 02:40:29.750]  Let me talk to you like you're three years old.
[02:40:30.370 --> 02:40:34.373]  You have to use that potty in there, okay?
[02:40:35.073 --> 02:40:36.694]  And then you're only allowed one cookie.
[02:40:37.114 --> 02:40:38.395]  Now let me talk to you like you're three.
[02:40:38.675 --> 02:40:40.456]  You don't see the WikiLeaks, okay?
[02:40:41.758 --> 02:40:42.618]  We tell you what to think.
[02:40:42.939 --> 02:40:43.459]  Brian Stelter.
[02:40:43.599 --> 02:40:44.959]  Hi, I'm Brian Stelter.
[02:40:45.280 --> 02:40:45.700]  Hi.
[02:40:46.280 --> 02:40:48.861]  The beta male who wants to act like John Wayne.
[02:40:49.321 --> 02:40:56.644]  Oh, now you notice that Trump there, he has that graphic there, one of our former reporters, and it's supposed to look like they're the news, but they're not.
[02:40:56.925 --> 02:40:57.805]  It's propaganda.
[02:40:58.125 --> 02:40:58.365]  What?
[02:40:58.765 --> 02:40:59.646]  Jobs numbers?
[02:41:03.167 --> 02:41:04.068]  Stock market numbers?
[02:41:05.548 --> 02:41:07.129]  Numbers of the border being shut down?
[02:41:10.316 --> 02:41:14.577]  And they don't know what to do, they're just like, oh my gosh, it just goes on and on.
[02:41:16.058 --> 02:41:17.198]  Meanwhile, Brian Stelter.
[02:41:19.179 --> 02:41:22.940]  You know what, I want to play this, and then we're going to come back and get to the North Korea news.
[02:41:23.700 --> 02:41:31.402]  We've gotten, I don't want to exaggerate, Dew was telling me yesterday, 200 good ones.
[02:41:33.083 --> 02:41:37.424]  And he estimates hundreds of horrible ones, but by the way, the horrible ones are the best ones.
[02:41:39.690 --> 02:41:43.253]  The problem is, the contest is so successful, it shut down half the building.
[02:41:43.413 --> 02:41:46.136]  So we were already going to announce the winner this Friday.
[02:41:46.376 --> 02:41:48.858]  I've got to put the contest in a limbo a few weeks.
[02:41:48.899 --> 02:41:49.499]  I've done this before.
[02:41:49.519 --> 02:41:50.760]  I always pay out on our contest.
[02:41:53.042 --> 02:41:53.443]  Because...
[02:41:55.561 --> 02:42:00.264]  I've spent hours and hours this week alone, and this weekend, watching them.
[02:42:00.384 --> 02:42:13.113]  And there's Gregorian monk chant ones, and there's rock and roll ones, and hip-hop ones, and beautiful, and auto-tune, and then the train wreck ones, and hillbilly ones, and country music.
[02:42:13.393 --> 02:42:23.160]  I'm talking about the, we love our Somalis, we love our Muslims too, oh they so good, oh they so sweet, gonna stab your daughter at the mall, woo!
