[00:00:07.976 --> 00:00:08.336]  It's May Day.
[01:57:46.028 --> 01:57:56.792]  And for me, it was when they take away my choice of whether to vaccinate my children or my grandchildren, because I'm 60.
[01:57:57.912 --> 01:57:59.013]  That would be the time.
[01:57:59.593 --> 01:58:01.734]  And I voiced my opinion.
[01:58:03.842 --> 01:58:10.903]  RFK's son was here, you know, advocating, you know, to not mandate vaccines, but it didn't work.
[01:58:10.923 --> 01:58:13.524]  Isn't it great that Trump put him on that, to head up that commission?
[01:58:15.044 --> 01:58:26.786]  I hope so, because I believe that the healthcare will never, ever be fixed, because we are, you know, dysfunctionally, we are not healthy.
[01:58:27.006 --> 01:58:29.947]  That's why we spend the most time... Ron, you're a really articulate caller.
[01:58:29.987 --> 01:58:30.407]  Stay there.
[01:58:30.447 --> 01:58:32.007]  I'm going to these callers later.
[01:58:32.247 --> 01:58:33.288]  We're in this together.
[01:58:33.328 --> 01:58:33.588]  Thank you.
[01:58:33.608 --> 01:58:34.008]  Thank you.
[01:58:34.028 --> 01:58:34.449]  Don't thank me.
[01:58:53.983 --> 01:59:06.546]  Although conservative commentator Ann Coulter backed out of showing up to her already cancelled speech at Berkeley, that didn't stop freedom-loving Americans from conducting a large First Amendment rally in its place.
[01:59:06.786 --> 01:59:12.328]  Prominent social media icons such as Gavin McInnes, Lauren Southern, Based Stickman,
[01:59:12.648 --> 01:59:19.073]  Baked Alaska, Brittany Pettibone and Faith Goldie showed up to support free speech and gave speeches.
[01:59:19.334 --> 01:59:28.201]  Reports that the Berkeley police did their job in protecting the peace have come in, and apparently a total of six Antifa protesters were arrested.
[01:59:28.441 --> 01:59:33.946]  Two for resisting arrest, one for a drug violation, and another for possessing a weapon.
[01:59:34.286 --> 01:59:42.670]  Two more arrests were made earlier in the day for possession of a knife and obstructing an officer and wearing a mask to evade police.
[01:59:42.911 --> 01:59:48.754]  Despite these arrests, the protests remained peaceful and dialogue between both sides was present.
[01:59:48.974 --> 01:59:52.255]  This is Millie Weaver reporting to you for InfoWars.com.
[01:59:54.937 --> 02:00:00.840]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:00:14.713 --> 02:00:19.735]  Before America can be great again, she must be free again.
[02:00:20.276 --> 02:00:22.997]  You're listening to the Alex Jones Show.
[02:00:23.017 --> 02:00:31.641]  Let's go ahead and talk to Ron in Vermont, making some great points about his line in the sand.
[02:00:31.701 --> 02:00:33.902]  I've said that medical tyranny is my line in the sand.
[02:00:33.922 --> 02:00:34.862]  I'm not a violent person.
[02:00:34.882 --> 02:00:36.443]  I'm not looking for trouble.
[02:00:37.540 --> 02:00:39.903]  But I know they're putting steroids in vaccines.
[02:00:39.963 --> 02:00:43.347]  I know they've been giving vaccine liability protection starting in the 80s.
[02:00:44.408 --> 02:00:48.793]  I know we've gone from 1 in 30-something thousand with autism 30 years ago, 35 years ago, to 1 in 56 now.
[02:00:53.098 --> 02:00:55.319]  The only place that gives more vaccines than us is South Korea.
[02:00:55.339 --> 02:00:56.599]  They're like 1 in 24.
[02:00:57.339 --> 02:00:58.620]  The brain damage is everywhere.
[02:00:58.680 --> 02:00:59.820]  The autoimmune results.
[02:01:00.020 --> 02:01:00.640]  They know.
[02:01:01.160 --> 02:01:04.701]  When they give preemies vaccines, they get them ready to put them on ventilation.
[02:01:04.721 --> 02:01:06.862]  When they die, they have to bring them back to life.
[02:01:06.902 --> 02:01:07.782]  I've had nurses on.
[02:01:08.142 --> 02:01:08.743]  They know.
[02:01:09.183 --> 02:01:13.044]  And California's passed laws to start forced inoculations and stuff.
[02:01:13.484 --> 02:01:15.304]  I mean, they're getting rid of the exemptions.
[02:01:15.365 --> 02:01:16.765]  It's very, very frightening.
[02:01:17.145 --> 02:01:18.245]  We've got to work harder.
[02:01:18.565 --> 02:01:19.966]  And by the way, I don't want to hear it from people
[02:01:20.566 --> 02:01:25.427]  Like Dr. Dina Dell used to say on radio, arrest somebody if they haven't taken a vaccine, because you're endangering others.
[02:01:26.727 --> 02:01:38.190]  Brother, if you've taken your vaccine for anthrax or whatever, that doesn't protect you by the way, and all these other crap vaccines that are dangerous, and their own inserts say can kill you, then you're supposedly protected!
[02:01:38.490 --> 02:01:39.751]  Don't give me that bull!
[02:01:40.311 --> 02:01:42.711]  That, that, that, that, that, I don't have my own body!
[02:01:43.211 --> 02:01:44.092]  I'm sorry, I'm ranting.
[02:01:44.152 --> 02:01:44.732]  Ron, go ahead.
[02:01:46.672 --> 02:01:49.453]  Alex, you know, it's, uh, it's just like, um,
[02:01:49.966 --> 02:01:57.849]  When you're in an airplane, you know, you can't help the person next to you until you put the mask on yourself.
[02:01:58.429 --> 02:02:02.751]  So I need to be healthy before, you know, I can help others.
[02:02:03.011 --> 02:02:09.054]  And the globalists know that, you know, better than killing people is to maim people.
[02:02:09.554 --> 02:02:12.175]  Because when you maim one person,
[02:02:12.748 --> 02:02:15.231]  You're really taking down the whole family.
[02:02:15.251 --> 02:02:18.795]  And it's really disgusting and I hate it.
[02:02:19.155 --> 02:02:22.519]  And that's why I love your nutraceuticals.
[02:02:23.163 --> 02:02:27.664]  Because this is at the crux of how we can win.
[02:02:28.125 --> 02:02:36.847]  If we get healthier, our minds will be clear and we will be able to attack the problems.
[02:02:38.228 --> 02:02:43.830]  I went to a doctor who was the head pathologist at Columbia Presbyterian.
[02:02:44.350 --> 02:02:48.011]  He left Western Medicine because he just
[02:02:48.610 --> 02:02:58.353]  You know, what he was finding was, you know, the diseases were not caused by what Western medicine was trying to feed us.
[02:02:58.453 --> 02:03:02.715]  Well, they admit most of it is deficiencies, and I've had medical doctors on about that.
[02:03:03.015 --> 02:03:04.295]  If you don't have vitamin C, you die.
[02:03:04.315 --> 02:03:06.136]  If you don't have good iodine, you die.
[02:03:06.156 --> 02:03:07.257]  If you don't have oxygen, you die.
[02:03:07.277 --> 02:03:08.377]  If you don't have water, you die.
[02:03:08.797 --> 02:03:10.198]  If you don't have iron, you die.
[02:03:10.598 --> 02:03:23.827]  These are facts, and it's admitted that scurvy is rampant across the Western world because of malabsorption in the gut, because of people's bad diets, and they just don't know that something like leafy vegetables would make their lives so much better.
[02:03:25.354 --> 02:03:39.839]  Before I get dropped here, the most important thing is that the healthcare people, this new bill coming up, I want to see nutraceuticals paid for by insurance companies.
[02:03:40.339 --> 02:03:42.420]  It is absolutely huge.
[02:03:42.580 --> 02:03:48.343]  It is the biggest thing that we could do because that will drive down the cost.
[02:03:48.383 --> 02:03:50.044]  We don't need these drugs.
[02:03:51.105 --> 02:03:56.928]  My doctor, you know, he has 50 recliner chairs.
[02:03:57.128 --> 02:03:58.969]  He feeds ozone
[02:03:59.651 --> 02:04:00.432]  We're good to go.
[02:04:15.248 --> 02:04:17.329]  We need to go back to the apothecary.
[02:04:17.369 --> 02:04:23.152]  That was just ground herbs and oils and essential cofactors that the ancients had developed.
[02:04:23.252 --> 02:04:33.557]  Every culture had them, whether it was the apothecaries of the Middle East, or whether it was the apothecaries of the Armenians, or whether it was the apothecaries of Western Europe, or the apothecaries of China.
[02:04:33.878 --> 02:04:38.520]  You go look at the ancient formulas, they're similar because they found out what really worked.
[02:04:39.660 --> 02:04:43.462]  And you can always find some stuff that was superstitious or whatever, but most of it was based in reality.
[02:04:43.742 --> 02:04:50.926]  That's a whole other area of medicine that's just been walled off and lost, and it should be covered by your insurance.
[02:04:50.946 --> 02:04:52.827]  A show should be having a nutritionist.
[02:04:53.728 --> 02:04:55.749]  So the caller is absolutely right.
[02:04:56.229 --> 02:04:57.070]  We'll be right back.
[02:04:57.110 --> 02:04:57.570]  Stay with us.
[02:05:03.408 --> 02:05:08.652]  If you look at Bill Clinton, far worse, minor words, and his was action.
[02:05:09.252 --> 02:05:10.773]  His was what he's done to women.
[02:05:10.813 --> 02:05:16.497]  There's never been anybody in the history of politics in this nation that's been so abusive to women.
[02:05:16.717 --> 02:05:19.019]  Bill Clinton was abusive to women.
[02:05:19.379 --> 02:05:25.564]  Hillary Clinton attacked those same women and attacked them viciously, four of them here tonight.
[02:05:25.704 --> 02:05:31.008]  So much of what he's just said is not right, but he gets to run his campaign any way he chooses.
[02:05:41.840 --> 02:05:44.582]  There is an information warfare happening right now.
[02:05:45.423 --> 02:05:46.884]  It's a fight for our minds.
[02:05:47.544 --> 02:05:49.486]  And InfoWars.com is on the front lines.
[02:05:49.806 --> 02:05:54.009]  Download our free multimedia app at InfoWars.com forward slash app.
[02:05:54.149 --> 02:05:57.512]  It's free, it's on Droid, it's on Apple, you name it.
[02:05:57.592 --> 02:05:59.113]  InfoWars.com forward slash app.
[02:06:03.880 --> 02:06:05.281]  You developed Living Defense for us.
[02:06:05.321 --> 02:06:06.402]  It took you over a year to do it.
[02:06:06.642 --> 02:06:07.583]  Why is this so good?
[02:06:07.863 --> 02:06:13.108]  Because people are actually waking up to the problem that pretty much scares me the most.
[02:06:13.188 --> 02:06:26.741]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[02:06:26.801 --> 02:06:28.182]  Right now with all the refugees,
[02:06:28.943 --> 02:06:30.544]  Uh, spreading disease around.
[02:06:30.604 --> 02:06:33.086]  We have biological warfare going on everywhere.
[02:06:33.186 --> 02:06:34.447]  These are all parasites.
[02:06:34.487 --> 02:06:35.587]  Tell us about all the stuff that's in it.
[02:06:35.607 --> 02:06:36.648]  There's so many things that are in it.
[02:06:36.948 --> 02:06:41.271]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[02:06:41.491 --> 02:06:44.653]  I recommend doing a parasite cleanse at least twice a year.
[02:06:44.773 --> 02:06:47.815]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[02:06:47.835 --> 02:06:48.855]  It just came back in yesterday.
[02:06:48.895 --> 02:06:50.776]  Living Defense, Infowarslife.com.
[02:06:50.836 --> 02:06:51.857]  And folks, you can't lose.
[02:06:51.877 --> 02:06:53.958]  It's full of stuff that's great for your body, period.
[02:06:54.579 --> 02:06:57.620]  And you support the broadcast, Infowarslife.com.
[02:06:57.880 --> 02:06:59.762]  Thank you, Dr. Group from the Global Healing Center.
[02:07:00.142 --> 02:07:02.103]  Thank you so much for all your work, sir, on this great product.
[02:07:03.539 --> 02:07:16.103]  Although conservative commentator Ann Coulter backed out of showing up to her already-canceled speech at Berkeley, that didn't stop freedom-loving Americans from conducting a large First Amendment rally in its place.
[02:07:16.343 --> 02:07:24.465]  Prominent social media icons such as Gavin McInnes, Lauren Southern, Based Stickman, Baked Alaska, Brittany Pennybone, and Faith
[02:07:24.625 --> 02:07:28.629]  Goldie showed up to support free speech and gave speeches.
[02:07:28.869 --> 02:07:37.737]  Reports that the Berkeley police did their job in protecting the peace have come in, and apparently a total of six Antifa protesters were arrested.
[02:07:37.998 --> 02:07:43.483]  Two for resisting arrest, one for a drug violation, and another for possessing a weapon.
[02:07:43.823 --> 02:07:52.212]  Two more arrests were made earlier in the day for possession of a knife and obstructing an officer and wearing a mask to evade police.
[02:07:52.472 --> 02:07:58.298]  Despite these arrests, the protests remained peaceful and dialogue between both sides was present.
[02:07:58.538 --> 02:08:01.662]  This is Millie Weaver reporting to you for InfoWars.com.
[02:08:06.397 --> 02:08:08.560]  Waging war on corruption.
[02:08:09.080 --> 02:08:14.206]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[02:08:29.241 --> 02:08:31.442]  It's up on InfoWars.com right now.
[02:08:31.462 --> 02:08:33.482]  We can just punch it up and put it on screen for TV viewers.
[02:08:34.963 --> 02:08:37.524]  It's at these different May Day parades here in the United States.
[02:08:37.544 --> 02:08:47.227]  The communists are setting fires, attacking people, beating people up, and wearing shirts that show ISIS cutting Donald Trump's head off.
[02:08:48.168 --> 02:08:52.789]  Violent commie agitators set fire to police over in Europe.
[02:08:53.389 --> 02:08:57.711]  They're having more and more fires, more parts of the cities burned down, mainly Muslims doing it.
[02:08:58.598 --> 02:09:00.558]  The Islamification is going nicely.
[02:09:01.899 --> 02:09:12.860]  And Paul Watson's written another article for InfoWars.com where you can see the t-shirt, we'll put it up on screen for you, where it shows ISIS cutting Trump's head off and it's not a Muslim.
[02:09:13.221 --> 02:09:14.101]  Doesn't look like a Muslim.
[02:09:14.361 --> 02:09:16.641]  It's like we have women wearing hijabs.
[02:09:17.701 --> 02:09:27.023]  We have women wearing hijabs and saying it's part of working with Islam and demystifying it.
[02:09:28.010 --> 02:09:31.914]  So again, those stories are up on Infowars.com.
[02:09:32.054 --> 02:09:36.538]  Leftist t-shirt, a May Day rally shows ISIS beheading Donald Trump.
[02:09:36.558 --> 02:09:43.865]  And I told you that I went out to rallies in the last two years and saw people with ISIS flags, ISIS signs.
[02:09:43.905 --> 02:09:45.126]  It's like avant-garde.
[02:09:45.166 --> 02:09:45.887]  It's cutting edge.
[02:09:45.927 --> 02:09:46.407]  It's trendy.
[02:09:46.427 --> 02:09:46.768]  It's cool.
[02:09:48.052 --> 02:09:56.054]  Just like we've seen North Korea kill millions of its own people through starvation, Venezuela totally collapsing, Cuba a nightmare, Communist China a nightmare for the people.
[02:09:56.914 --> 02:10:09.557]  But at the universities there's the Mao groups and the Red Guard and it's really fashionable in Colorado and in New York and places they have restaurants about Mao and about linen and the kids get tattoos of it.
[02:10:09.577 --> 02:10:15.639]  It's really sexy to talk about the Red Terror and all the death and all the destruction and all the evil.
[02:10:16.559 --> 02:10:24.688]  But they want to live here, driving their nice cars that mommy and daddy got them, and using their expensive smartphones that capitalism gave them.
[02:10:24.968 --> 02:10:28.372]  So May Day is the Communist Workers' Day.
[02:10:28.392 --> 02:10:32.837]  It's also an ancient occult day, the left-hand path of the Jacobins.
[02:10:33.317 --> 02:10:39.002]  So we have May Day because of the French revolution, not a revolution, but a violent, hateful revolution.
[02:10:39.283 --> 02:10:49.172]  They wanted to overthrow God, country, not just royalty, and create a nine-day work week with no holidays and a ruling class of absolute god-kings over the people.
[02:10:49.833 --> 02:10:51.995]  And communism came out of the Jacobins.
[02:10:52.035 --> 02:10:52.855]  That's admitted history.
[02:10:53.556 --> 02:10:55.178]  But the average person doesn't know.
[02:10:56.445 --> 02:11:01.107]  They want disorder, they want death, they want destruction, but only to bring them to absolute power.
[02:11:01.627 --> 02:11:06.408]  They want regime change for destabilization and total control.
[02:11:07.129 --> 02:11:09.850]  They want a red terror, a season of the abyss.
[02:11:10.830 --> 02:11:11.590]  And that's what they get.
[02:11:12.070 --> 02:11:17.972]  Paris chaos as rioters erupt on streets against election candidate Marie Le Pen, who's now in the lead in many polls.
[02:11:18.373 --> 02:11:21.053]  The latest 100 arrests after a clash with police in Germany.
[02:11:21.334 --> 02:11:25.235]  Protesters decrying Texas sanctuary city's bill staged sit-in.
[02:11:26.605 --> 02:11:27.337]  Isn't that cute?
[02:11:28.848 --> 02:11:32.629]  But you notice, oh, Cuba's having its first mayday with the new Castro.
[02:11:32.969 --> 02:11:34.889]  Oh, it's hereditary power like North Korea.
[02:11:35.409 --> 02:11:40.591]  Joining us, and then I promise I'm going to go to your calls before I go to Roger Stone with Breaking News.
[02:11:40.651 --> 02:11:43.351]  I will get to Skits and Beto and Jessica.
[02:11:43.711 --> 02:11:44.591]  Just stay there.
[02:11:44.611 --> 02:11:46.232]  I'm going to get to all of you and Dean and Isaac.
[02:11:46.532 --> 02:11:49.192]  I want to hear what Jessica has to say on cops supporting Trump.
[02:11:49.832 --> 02:11:52.013]  I want to hear what Beto has to say on Trump's first 100 days.
[02:11:52.073 --> 02:11:53.153]  Skits wants to talk about Trump.
[02:11:53.733 --> 02:11:55.714]  Isaac wants to talk about Trump and Jared and Ivanka.
[02:11:56.014 --> 02:11:56.614]  Speaking of that,
[02:11:58.194 --> 02:12:00.395]  Months ago he wrote about it at StevePchenik.com.
[02:12:00.795 --> 02:12:03.475]  Three weeks ago or so he came out and said, watch, it's going to come out.
[02:12:03.775 --> 02:12:05.476]  He's been compromised by Communist China.
[02:12:06.016 --> 02:12:11.737]  And sure enough, it was in the New York Times last Friday that Jared Kushner's tied into that.
[02:12:11.777 --> 02:12:13.818]  Now he's got some breaking factoids.
[02:12:14.218 --> 02:12:19.499]  Former State Department head of psychological operations, worked with other agencies, was involved in regime change, you name it.
[02:12:20.439 --> 02:12:23.480]  The Camp David Accord successfully has a great pedigree.
[02:12:23.500 --> 02:12:25.380]  He co-wrote books with, of course, Tom Clancy.
[02:12:25.640 --> 02:12:28.801]  He's also a medical doctor, psychiatrist, and military veteran.
[02:12:29.482 --> 02:12:30.662]  And that's Dr. Steve Pchenik.
[02:12:31.262 --> 02:12:32.882]  I just invited him on the show to see what's going on.
[02:12:32.902 --> 02:12:41.825]  I don't know the topics he's got, but I tell you, watching a bunch of spoiled brats celebrate collectivism and communism all over the world today
[02:12:42.305 --> 02:12:50.792]  As they're trying to run from North Korea into China, because it's quasi-free market, they're trying to run from Cuba here, they're running from Venezuela to get out of there.
[02:12:51.132 --> 02:12:54.435]  I mean, where is this utopia on May Day, Dr. Pachinik?
[02:12:54.475 --> 02:13:01.720]  I know your family, your dad was in the French Army, World War II, got driven out, some died in the Holocaust, then you went to Cuba, then you came here.
[02:13:02.040 --> 02:13:08.846]  You're uniquely, I think, vetted with the pedigree to speak about the wonders of communism on May Day.
[02:13:09.878 --> 02:13:13.142]  Well, as you know, there are no wonders of communism.
[02:13:13.983 --> 02:13:19.729]  My former assignment under Nixon and then under Reagan and Bush was to
[02:13:20.692 --> 02:13:23.933]  Create the architecture for the takedown of the Soviet Union.
[02:13:24.133 --> 02:13:30.296]  I did that at the Rand Corporation, came back into the Reagan administration under Baker and then under Bush.
[02:13:30.996 --> 02:13:34.238]  And we were successful in taking it down without any soldiers.
[02:13:34.758 --> 02:13:36.058]  The reason is very simple.
[02:13:36.139 --> 02:13:40.160]  It's not that I'm all that great or we were great in regime change.
[02:13:40.200 --> 02:13:43.722]  It was that Soviet Union and communism just didn't work.
[02:13:44.842 --> 02:13:46.825]  And it was rotten from the inside.
[02:13:47.025 --> 02:13:51.530]  I had men who were walking in the streets at literally 7 in the morning, totally drunk.
[02:13:52.190 --> 02:13:52.931]  No jobs.
[02:13:53.051 --> 02:13:56.455]  They had factories which were making things that were not useful.
[02:13:56.915 --> 02:13:58.838]  The army was not very effective.
[02:13:58.878 --> 02:14:01.160]  The intelligence service could be bought off.
[02:14:01.621 --> 02:14:02.882]  So forth and so on.
[02:14:03.002 --> 02:14:05.385]  So communism, the notion of the left
[02:14:06.005 --> 02:14:11.106]  And the ideology of the left is all fine and good, but in reality, it has no credibility.
[02:14:11.586 --> 02:14:13.006]  It has no viability.
[02:14:13.146 --> 02:14:14.927]  It has no legs to stand on.
[02:14:15.487 --> 02:14:18.907]  So, when you're young, you want to protest and rebel.
[02:14:19.408 --> 02:14:25.869]  The Jacobean Revolution was under Reims-Pierre, did effectively bring in Napoleon.
[02:14:27.469 --> 02:14:31.610]  The Russian Revolution effectively brought in Stalin.
[02:14:32.370 --> 02:14:39.993]  Now, what I'm about to say is going to be a little disconcerting to you and your listeners, but it's very important for me to say this right now.
[02:14:41.174 --> 02:14:52.658]  The revolution you had started, Alex, nothing to do with communism, had to do with the voice of America and shifting us to the alternative right, or whatever narrative we want to use.
[02:14:53.059 --> 02:14:53.499]  New right.
[02:14:54.474 --> 02:14:55.015]  New right.
[02:14:55.475 --> 02:15:00.019]  The point I'm trying to make, and I wrote this several weeks ago, was the following.
[02:15:00.720 --> 02:15:07.506]  When Alex Jones gets compromised, for whatever reason, I'm sorry he had to go to court.
[02:15:08.227 --> 02:15:09.348]  I saw that issue.
[02:15:09.548 --> 02:15:14.173]  Then I saw that Fox News was in trouble and Riley was compromised.
[02:15:14.233 --> 02:15:16.515]  Then I saw that Bannon was compromised.
[02:15:16.595 --> 02:15:18.577]  Now I see that Gork is compromised.
[02:15:19.137 --> 02:15:27.161]  So basically what we have now, Alex, is a counter-revolution or basically what's happening in any revolution.
[02:15:27.781 --> 02:15:34.664]  It's what Hitler did in the Night of the Long Knives when he took care of his SA people and he exterminated them.
[02:15:35.325 --> 02:15:35.745]  That's right.
[02:15:35.825 --> 02:15:39.166]  First they politically shut down your voice before they physically shut you down.
[02:15:39.186 --> 02:15:44.429]  And when you use the word compromised, I'm not backing down or giving up under this organized assault.
[02:15:45.253 --> 02:15:49.816]  That's why I state this to the audience and I say it to you.
[02:15:49.836 --> 02:15:53.198]  I wrote that and I still mean that you are the American icon.
[02:15:53.319 --> 02:15:53.839]  However...
[02:15:54.485 --> 02:16:05.009]  The orders came out, there's no question in my mind now, it came out of the White House because the Clintons could never do this, the left doesn't have that kind of intelligence, they don't have that kind of capability.
[02:16:05.589 --> 02:16:19.494]  But within the structure of McMaster, the National Security Council, and the fact that we're mobilizing both into North Korea, into Afghanistan, Iraq, and Syria, it became obvious to me that whatever order
[02:16:19.534 --> 02:16:20.354]  No, I've got it.
[02:16:20.394 --> 02:16:28.497]  Trump doesn't want, or his people don't want the weapons lying around that brought him to power, just like that normally happens in a revolution.
[02:16:28.997 --> 02:16:31.918]  Whoever helps you get in, you end up destroying.
[02:16:32.118 --> 02:16:33.639]  I don't think Trump's doing that himself.
[02:16:44.602 --> 02:16:53.888]  But it's very, very clear that this is being directed because, look, Trump didn't get rid of that office that Obama set up that was designed to go after the new right.
[02:16:54.369 --> 02:16:56.350]  And so basically it's just been taken on.
[02:16:57.010 --> 02:17:00.653]  And now we see this gutting taking place or this attempt to gutting.
[02:17:00.673 --> 02:17:02.794]  What I'm getting at is it's exactly right.
[02:17:02.894 --> 02:17:03.875]  Alex, you know this.
[02:17:04.155 --> 02:17:08.338]  I know this is the history of all revolutions, whether it's the left or the right.
[02:17:08.878 --> 02:17:14.182]  Immediately, those we bring to power, whether they're generals or civilians in the senior ranks,
[02:17:14.662 --> 02:17:17.984]  They have never been in the forefront of any revolution.
[02:17:18.264 --> 02:17:23.968]  Our generals, who are three, four stars or whatever, they sit back, they use the system.
[02:17:24.448 --> 02:17:30.672]  Then when they get in the position of power, they try to eliminate any of the voices of agitation propaganda.
[02:17:31.033 --> 02:17:38.277]  That comes out from you, that would have come out from Bannon, that would have come out from Gorka, that would have come out from any other people.
[02:17:38.738 --> 02:17:43.901]  From my point of view, this was part of the system and I was waiting for it to happen.
[02:17:44.181 --> 02:17:45.623]  That's right, and let's be clear historically.
[02:17:46.084 --> 02:17:51.191]  It's because they don't want people who effectively led peaceful revolution still around.
[02:17:52.233 --> 02:17:55.157]  In case they go sideways, they know we can remove them.
[02:17:55.517 --> 02:17:57.039]  So what do you think I should do about this?
[02:17:58.120 --> 02:18:02.701]  Well, number one, the reason I'm coming on the show, one, is to show my support to you.
[02:18:02.801 --> 02:18:05.882]  As I said, you're both a friend and you're an American icon.
[02:18:05.962 --> 02:18:18.486]  Number two, I think you should consistently maintain the dialogue that we, we, not, not Bannon, not Breitbart, not the Mercers, no one else, no other generals.
[02:18:18.526 --> 02:18:22.367]  There isn't one general who has the guts to come forth in a revolution.
[02:18:22.387 --> 02:18:23.528]  They're just not that way.
[02:18:23.548 --> 02:18:24.488]  They're socialized.
[02:18:24.912 --> 02:18:30.174]  To be within their own system, almost a socialization system, or socialism.
[02:18:30.254 --> 02:18:33.535]  They're specialized in their own little paradigm to control them.
[02:18:33.555 --> 02:18:33.855]  Correct.
[02:18:34.115 --> 02:18:47.459]  And the paradigm is a dangerous one because it demands a lot of money from us, the taxpayers, and at the same time it's the expansion of, once again, Halliburton, KBR, they're all over Djibouti, they're all over Africa.
[02:18:47.819 --> 02:18:55.406]  So basically, they're in their own ivory tower, forbidden city, delusional, and they are scared of the power that brought them to power.
[02:18:55.426 --> 02:18:55.706]  Correct.
[02:18:56.127 --> 02:19:01.471]  I know for a fact that Trump wanted to continue to work with us, but the elites told him, no, you can't do that.
[02:19:01.531 --> 02:19:03.473]  Well, when's it going to end?
[02:19:03.513 --> 02:19:07.417]  They're always going to demand more, more, more from him, but they never compromise.
[02:19:08.077 --> 02:19:09.899]  Well, that's correct, Alex.
[02:19:10.099 --> 02:19:13.282]  It has to now depend on the character of Trump.
[02:19:14.039 --> 02:19:42.950]  If in fact he's a man of his word, a man of his conviction, not mercurial, not suddenly waving around and bringing in the people he does not know, or bringing in Jared Kushner with the Steinmetz family and the Israelis and the Goldman Sachs boys, none of whom have been tutored in anything to do with national security, foreign policy, but we're structured now to be in a position of several wars at the same time.
[02:19:43.710 --> 02:20:00.996]  North Korea has been in a position where for the past 20 to 30 years our military has developed what's called the 5027 plan or 5029 plan where the Army, Navy, Marines, Special Forces can preempt an attack on North Korea.
[02:20:01.477 --> 02:20:04.898]  In Afghanistan, we have Marines going back in
[02:20:05.698 --> 02:20:10.181]  After our Marines were killed in exactly the same place, we have a 15-year war.
[02:20:10.701 --> 02:20:18.745]  We have Marines that were stationed Special Forces in Syria with artillery and with howitzers and soldiers.
[02:20:19.426 --> 02:20:26.550]  In effect, what we have is a military out of control once again, which has never performed effectively.
[02:20:26.830 --> 02:20:27.150]  Never!
[02:20:27.710 --> 02:20:31.632]  Not since the Korean War, not since the Vietnam... Sir, but let me just stop you there.
[02:20:31.652 --> 02:20:32.613]  Let's look at the waterfront.
[02:20:32.733 --> 02:20:33.854]  I even told my lawyer
[02:20:34.434 --> 02:20:47.206]  Three weeks ago, I said, I've looked at this attack and I said, I guarantee you, the people in the Trump administration that are forming this deep state coup to capture the president, which they've almost completed at many levels, they see us as a threat.
[02:20:47.246 --> 02:20:50.869]  And I said, this is being directed by people inside the White House.
[02:20:51.250 --> 02:20:54.212]  I said, these attacks are too concerted, too coordinated.
[02:20:55.182 --> 02:21:04.145]  But I said, I know it's not Trump doing it, because he's the very same people sabotaging him, backbiting him, like Genrich did, saying he's not going to drain the swamp.
[02:21:04.425 --> 02:21:18.649]  Trump's bringing jobs back, he's exposing globalism, he's doing a lot of good things like killing TPP, but clearly he's got people culling the patriots out, organizing to go after the Freedom Caucus, but here's the good news.
[02:21:19.961 --> 02:21:31.002]  Their attacks on us, the Democrats, the Soros groups, Soros' very law firm that he founded in New York's the one suing me with the yogurt maker and the Islamicist, if you expand on that...
[02:21:32.168 --> 02:21:34.230]  And you look at all the groups that are coming after us.
[02:21:34.691 --> 02:21:37.274]  It's all completely and absolutely coordinated.
[02:21:37.294 --> 02:21:38.255]  But here's the good news.
[02:21:38.935 --> 02:21:39.916]  Our listeners see it.
[02:21:40.017 --> 02:21:42.099]  They're only intensifying our support.
[02:21:42.359 --> 02:21:43.881]  We're only getting more affiliates.
[02:21:44.201 --> 02:21:46.924]  We're only, in the face of this, becoming more successful.
[02:21:47.244 --> 02:21:50.208]  It's backfired, just like media attacks only help Trump.
[02:21:50.268 --> 02:21:51.289]  So then I'm not stupid.
[02:21:51.709 --> 02:21:52.831]  I realize, oh my God.
[02:21:53.311 --> 02:22:02.182]  They're only assassinating my character because they probably, I think, are beginning to move into the zone where they might trump something up, pun intended, or actually kill me.
[02:22:02.222 --> 02:22:02.723]  What do you think?
[02:22:03.533 --> 02:22:04.474]  They're not going to kill you.
[02:22:04.514 --> 02:22:05.955]  There's no reason to kill you.
[02:22:06.015 --> 02:22:08.756]  They tried a verbal assassination.
[02:22:08.877 --> 02:22:09.477]  It didn't work.
[02:22:09.737 --> 02:22:18.283]  I mean, with all these nonsensical comedians, whether Colbert or Samantha Bee or whatever it was, no one listens to that anymore.
[02:22:18.523 --> 02:22:19.444]  It's antiquated.
[02:22:19.524 --> 02:22:21.625]  They're basically on their own sinking ship.
[02:22:21.725 --> 02:22:25.728]  Most people don't, but some weak-minded people that have been around actually do.
[02:22:27.250 --> 02:22:30.091]  Well, the point is this, it's not about a few.
[02:22:30.471 --> 02:22:44.293]  The mainstream that we've created and that you've created and that part of our intelligence and military was part of and then suddenly they turned around to try to desiccate or try to eviscerate us, that's not going to work.
