[00:00:03.792 --> 00:00:16.241]  He never gives up.
[00:49:49.537 --> 00:49:50.857]  That's the bomb that went off Friday.
[00:49:51.417 --> 00:50:00.280]  As neighbors claim, first man arrested is a refugee who came to the UK at age 15 and was praised by the Queen for bringing in Muslims.
[00:50:01.906 --> 00:50:05.828]  That's right, he was brought in at 15, he's now 19, and is the main suspect.
[00:50:06.568 --> 00:50:13.452]  Blowing up 22 people, burning their skin off, bombing little kids, begging for mommy as they were blinded by the explosion.
[00:50:13.472 --> 00:50:17.294]  And that's just their fault for cultural enrichment.
[00:50:19.375 --> 00:50:22.276]  So there you go, I'm surprised it was an islamicist.
[00:50:23.017 --> 00:50:24.798]  I mean, imagine my shock.
[00:50:26.299 --> 00:50:30.721]  Imagine my shock that another communist country has staged elections
[00:50:32.228 --> 00:50:42.092]  Imagine my shock that they don't have power most of the day, don't have running water, once the second richest country in the Americas.
[00:50:42.873 --> 00:50:52.617]  There was a time, a hundred years ago, when year to year, it was, depending on GDP and average income, median middle class income,
[00:50:53.683 --> 00:50:56.724]  Trump has the highest middle-class income ever recorded in the U.S.
[00:50:57.245 --> 00:50:58.065]  in the last 10 years.
[00:50:58.125 --> 00:51:00.726]  The first time it's been up, that came out last week, but he's the bad guy.
[00:51:01.006 --> 00:51:04.688]  Free market doesn't work, so everybody wants to get to America, get to Europe.
[00:51:04.728 --> 00:51:07.509]  Not that we're perfect, but a small semblance of free market.
[00:51:08.730 --> 00:51:16.393]  Venezuela, Argentina, and the United States used to be in competition every year to the 50s.
[00:51:17.885 --> 00:51:21.887]  On who had the biggest middle class and where was the best boomtown.
[00:51:22.128 --> 00:51:23.669]  But they let socialism in.
[00:51:23.989 --> 00:51:25.149]  They let communism in.
[00:51:25.450 --> 00:51:26.750]  They left collectivism.
[00:51:26.770 --> 00:51:31.153]  They told the middle class, hey, you're rich, you know, higher taxes, more regulations.
[00:51:33.714 --> 00:51:34.375]  And guess what?
[00:51:34.495 --> 00:51:35.395]  Their countries are gone.
[00:51:37.216 --> 00:51:39.478]  Venezuela has officially abandoned the dollar.
[00:51:40.925 --> 00:51:41.505]  After the U.S.
[00:51:41.545 --> 00:51:44.867]  calls Venezuela a vote, a sham says will not accept result.
[00:51:45.087 --> 00:51:46.228]  They've had martial law.
[00:51:46.268 --> 00:51:49.249]  They've had people being arrested that try to even run for office.
[00:51:49.289 --> 00:51:50.510]  I mean, it's totally staged.
[00:51:52.191 --> 00:51:55.512]  Three, four years ago, they'd already eaten all their family pets, the zoo animals.
[00:51:55.913 --> 00:51:58.314]  They are beyond Argentinian now.
[00:51:59.734 --> 00:52:01.315]  The old saying, rich as an Argentine.
[00:52:01.635 --> 00:52:02.536]  You don't say that anymore.
[00:52:03.016 --> 00:52:03.596]  That's Reuters.
[00:52:04.197 --> 00:52:05.457]  De-dollarization strikes.
[00:52:05.497 --> 00:52:08.559]  Venezuela stops accepting dollar for oil payments.
[00:52:11.289 --> 00:52:13.635]  Oil-rich Venezuela stops accepting dollars.
[00:52:13.695 --> 00:52:15.940]  That's, again, out of Bloomberg.
[00:52:16.361 --> 00:52:17.964]  And then CNN asked the question.
[00:52:19.844 --> 00:52:21.885]  The tragic impact of a country's collapse.
[00:52:22.346 --> 00:52:23.847]  Venezuela's dreams are dying.
[00:52:24.627 --> 00:52:26.088]  Why did Venezuela collapse?
[00:52:26.188 --> 00:52:28.830]  Never did they say communism, socialism.
[00:52:28.890 --> 00:52:29.410]  No, no.
[00:52:29.850 --> 00:52:30.811]  It was wonderful.
[00:52:30.851 --> 00:52:32.672]  It was all so good.
[00:52:32.732 --> 00:52:44.380]  They worshipped the government and they took the middle class's businesses and reassigned people to run them and suddenly everybody was just running around in uniforms telling you how powerful they were and everybody was a secret agent.
[00:52:45.350 --> 00:52:46.010]  Of the state.
[00:52:46.530 --> 00:52:50.511]  Everyone was so sexy, like in our country now, and it collapsed.
[00:52:51.691 --> 00:52:53.731]  Venezuela, how a rich country collapsed.
[00:52:54.112 --> 00:52:55.552]  How a rich country!
[00:52:57.372 --> 00:53:04.433]  Well, it was rich, resource, culture-wise, and then they got socialism, which they were all wearing red and hammers and sickles.
[00:53:04.753 --> 00:53:06.854]  They said 20 years ago, oh, we're not really communists.
[00:53:07.074 --> 00:53:07.894]  Of course they were!
[00:53:07.914 --> 00:53:13.235]  And now, CNN said, how did they collapse?
[00:53:14.633 --> 00:53:16.754]  Venezuela holds the world's largest supply of crude oil.
[00:53:17.294 --> 00:53:21.636]  What once seemed like an endless gush of cash, now the government's running out of money.
[00:53:22.056 --> 00:53:25.217]  Prices are soaring and nobody knows how much worse it'll get.
[00:53:25.257 --> 00:53:27.798]  Well, it'll get as bad as communism ever does!
[00:53:28.278 --> 00:53:29.539]  Ha ha ha!
[00:53:30.779 --> 00:53:32.420]  Venezuelan election illegitimate.
[00:53:32.500 --> 00:53:35.521]  A step towards dictatorship, says the U.S.
[00:53:35.581 --> 00:53:41.163]  How dare Trump criticize another heaven like North Korea?
[00:53:42.844 --> 00:53:43.944]  Let's just thank God that
[00:53:45.984 --> 00:53:48.045]  Venezuela doesn't have nuclear weapons, right?
[00:53:48.065 --> 00:53:52.267]  Of course they couldn't produce those because they're communists.
[00:53:52.287 --> 00:53:54.048]  They'd have to be given them.
[00:53:54.068 --> 00:53:57.790]  Because communism is always about little politicos meeting and...
[00:53:58.911 --> 00:54:03.915]  Having twos against each other and having putches and purges and overthrows.
[00:54:03.935 --> 00:54:06.997]  It's all about who's in charge, just like Muslim countries.
[00:54:07.577 --> 00:54:21.947]  Not about who produces the best mousetrap, the best watch, the best computer, the best power lines, the best systems, the best food, the best culture, the best architecture, the best everything that openness gives you.
[00:54:22.528 --> 00:54:28.352]  But see, openness is scary because some people do so well it makes others feel bad and then the elite
[00:54:29.741 --> 00:54:30.342]  Parasites.
[00:54:30.642 --> 00:54:32.864]  It's never poor people that push for communism.
[00:54:34.225 --> 00:54:36.627]  It's always the big offshore mega banks that are tax exempt.
[00:54:36.647 --> 00:54:41.450]  They go, hey, big multinational corporations that aren't globalists or big companies that are free market.
[00:54:41.911 --> 00:54:43.072]  The public's mad at you.
[00:54:43.112 --> 00:54:47.856]  They see what you have and they see you're white and they see you're racist or they see you're Christian and you're whatever.
[00:54:48.276 --> 00:54:50.458]  You need to give to them and share power.
[00:54:50.498 --> 00:54:58.784]  But we'll run it and let us divide up all the money and then we'll share it with the public and we'll build them up under globalism to enter
[00:54:59.745 --> 00:55:00.506]  The hierarchy.
[00:55:00.526 --> 00:55:02.549]  And you're like, but free market always does that.
[00:55:02.609 --> 00:55:05.853]  That's the, well, they just let us do this and we won't kill you.
[00:55:06.233 --> 00:55:07.255]  We won't have a race riot.
[00:55:08.516 --> 00:55:12.521]  And so the average rich Westerner says, yeah, okay, I'll, I'll fund you.
[00:55:12.581 --> 00:55:13.242]  Just, okay.
[00:55:13.643 --> 00:55:14.564]  I'm going to social signal.
[00:55:15.771 --> 00:55:18.112]  Even if you don't, they'll get to your rich wife.
[00:55:18.892 --> 00:55:20.573]  I'm not bashing women, but that's just how it works.
[00:55:21.133 --> 00:55:29.877]  You're a big company owner, they're going to get to your rich wife at all these tea parties and all these cocktail parties and everything about how your husband's not giving to the children.
[00:55:31.138 --> 00:55:33.179]  You're a powerful woman, you're going to show him, aren't you?
[00:55:33.199 --> 00:55:36.880]  You're going to give to charity, right?
[00:55:39.222 --> 00:55:40.582]  And that's how civilization fell.
[00:55:41.823 --> 00:55:42.263]  On average.
[00:55:43.660 --> 00:55:51.702]  Because, man, I talk to these big billionaires, I talk to them all, and they're like, listen, my wife's going to divorce me if I go against this program with the UN.
[00:55:51.722 --> 00:55:54.603]  And I go, yeah, but the program sterilizes people.
[00:55:54.963 --> 00:55:57.043]  I know, but it's just the whole social circle's in it.
[00:55:57.343 --> 00:55:58.704]  They know how to use peer pressure.
[00:55:58.924 --> 00:56:08.826]  Just like they say, you're a racist if you aren't for open borders, or you're a racist if you aren't for high taxes, or you're a racist if you don't bring unvetted military-age men from the Middle East.
[00:56:09.946 --> 00:56:25.255]  It's because they'll beat you over the head, and the average person that started some factory, or invented some computer program, or whatever, be he a man or woman, they just want to be loved, and so they're like, I'll do whatever you say, I'll get on board with all this, just leave me alone.
[00:56:27.557 --> 00:56:33.921]  And so we're now completely overrun and about to collapse, and the globalists don't even know what to do with what they've done, it's just, it's a disaster.
[00:56:35.089 --> 00:56:36.550]  And we're dynamiting the West.
[00:56:36.790 --> 00:56:37.790]  It's a horrible situation.
[00:56:38.050 --> 00:56:38.790]  We're going to go to break.
[00:56:38.830 --> 00:56:39.711]  Come back with your calls.
[00:56:39.751 --> 00:56:40.751]  Come back with Hillary Clinton.
[00:56:41.091 --> 00:56:41.871]  Exclusive footage.
[00:56:43.252 --> 00:56:50.114]  Loomer shot some live footage, but she gave us the HD footage that's coming up of Hillary doing a book signing in a toilet paper aisle.
[00:56:51.495 --> 00:56:52.715]  The visuals are amazing.
[00:56:52.815 --> 00:56:55.877]  And then the Secret Service tried to ban her from being there, but she got through.
[00:56:55.937 --> 00:56:57.357]  And people protesting outside.
[00:56:57.377 --> 00:56:57.937]  It's powerful.
[00:56:58.377 --> 00:57:00.458]  It's all coming up in the CIA whistleblower.
[00:57:01.319 --> 00:57:02.079]  Will there be a
[00:57:03.407 --> 00:57:04.448]  Pardon for Assange.
[00:57:05.328 --> 00:57:06.909]  Bernie is contradicting himself.
[00:57:07.089 --> 00:57:07.729]  It's all coming up.
[00:57:07.749 --> 00:57:11.971]  But first, briefly, we've got some big specials that will end in the next few days.
[00:57:12.011 --> 00:57:13.732]  They've got to end.
[00:57:13.752 --> 00:57:15.533]  50% off on super high-quality, swirlable food.
[00:57:15.893 --> 00:57:18.214]  Amazon doubled prices during the hurricane.
[00:57:18.334 --> 00:57:19.235]  I cut it.
[00:57:19.575 --> 00:57:19.235]  50%.
[00:57:19.615 --> 00:57:21.296]  That's got to end on high-quality, swirlable food.
[00:57:21.636 --> 00:57:22.556]  Always great to have that.
[00:57:23.157 --> 00:57:29.300]  50% off all the fluoride-free, coil-silver iodine-empowered toothpaste, mouthwashes, and more.
[00:57:29.640 --> 00:57:31.901]  All super blue products at m4wrestore.com.
[00:57:33.522 --> 00:57:36.286]  50% off Emrix Essentials, 25% off.
[00:57:36.326 --> 00:57:42.795]  Sign up for Autoship Additional, 25% off on all the high-quality toiletries, shampoo, bug spray, you name it.
[00:57:43.216 --> 00:57:45.539]  It's all available at InfoWarsTore.com and so much more.
[00:57:45.839 --> 00:57:47.942]  And those specials are all ending in 24 hours.
[00:57:48.383 --> 00:57:49.825]  InfoWarsTore.com.
[00:57:49.845 --> 00:57:50.306]  We'll be back.
[00:57:51.474 --> 00:58:00.497]  Alex Jones here to tell you about how you can help spread liberty worldwide, while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:58:00.557 --> 00:58:08.680]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:58:08.960 --> 00:58:13.661]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:58:13.841 --> 00:58:20.563]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at InfoWarsLife.com.
[00:58:20.643 --> 00:58:27.705]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:58:27.805 --> 00:58:29.525]  Hands down, this is my favorite coffee.
[00:58:29.705 --> 00:58:34.690]  And it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:58:34.831 --> 00:58:39.195]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:58:39.315 --> 00:58:42.579]  Available in original or with our immune support infusion blend.
[00:58:42.719 --> 00:58:48.845]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:58:49.025 --> 00:58:50.968]  Available at Infowarslife.com.
[00:58:52.341 --> 00:58:57.244]  New from Emmerich's Essentials, fragrance-free natural deodorant for your body care needs.
[00:58:58.045 --> 00:59:00.967]  Playing basketball in the dry summer heat really makes me sweat.
[00:59:01.627 --> 00:59:04.429]  To maintain my game, I need all the confidence I can get.
[00:59:05.070 --> 00:59:09.953]  That's why I use Emmerich's Essentials natural deodorant, made with organic ingredients.
[00:59:10.293 --> 00:59:16.597]  This deodorant combines mineral crystals with natural botanicals to ionize odor, keeping me fresh throughout the day.
[00:59:16.957 --> 00:59:22.121]  While shooting hoops, the last thing I want is sweaty armpits making my hands slippery and the ball wet.
[00:59:22.801 --> 00:59:26.202]  That's why I recommend Emmerich's Essentials Fragrance-Free Deodorant.
[00:59:26.802 --> 00:59:34.604]  Even though it's unscented, it's effective at combating strong body odor and I don't have to worry about any unwanted allergic reactions to my sensitive skin.
[00:59:35.184 --> 00:59:39.525]  Whether you're a guy or gal, the last thing you want to be worried about is your deodorant.
[00:59:39.865 --> 00:59:43.806]  No petroleum-based ingredients, 100% natural and cruelty-free.
[00:59:44.106 --> 00:59:47.907]  Stay in the game with Emmerich's Essentials Fragrance-Free Natural Deodorant.
[00:59:48.147 --> 00:59:49.808]  Available at InfoWarsStore.com.
[00:59:54.778 --> 00:59:58.901]  Leading a frontal assault on the lies of the New World Order.
[00:59:59.382 --> 01:00:00.763]  It's Alex Jones.
[01:00:07.889 --> 01:00:12.412]  If you're receiving this transmission, you're awake, you're involved, you're engaged.
[01:00:12.432 --> 01:00:14.094]  You are the Resistance.
[01:00:18.547 --> 01:00:22.450]  If you are receiving this transmission, you are the resistance.
[01:00:23.531 --> 01:00:28.235]  Live from the InfoWars.com studios, it's Alex Jones.
[01:00:28.835 --> 01:00:29.896]  Your calls are coming up.
[01:00:29.976 --> 01:00:31.117]  Laura Loomer and more.
[01:00:31.137 --> 01:00:36.121]  I haven't even gotten into Trump fulfilling his promise on killing carbon taxes, killing DACA.
[01:00:36.141 --> 01:00:37.182]  He says that's all a hoax.
[01:00:37.262 --> 01:00:38.903]  As I told you, it's all made up.
[01:00:39.404 --> 01:00:40.965]  But first, powerful report.
[01:00:41.125 --> 01:00:45.789]  Idiots react to London underground terror attack by Paul Joseph Watson.
[01:00:46.556 --> 01:00:50.138]  Another month, another Islamic terror attack in a major European city.
[01:00:50.218 --> 01:00:51.899]  And who's to blame this time?
[01:00:52.099 --> 01:00:52.999]  Oh, it's me!
[01:00:53.039 --> 01:00:53.399]  J.K.
[01:00:53.439 --> 01:00:59.702]  Rowling retweeted this satirical fake news story about a young man in front of a map ranting about Islamic terrorism.
[01:00:59.742 --> 01:01:02.263]  Who could that possibly be?
[01:01:02.363 --> 01:01:05.685]  She's so easy to trigger, I didn't even try and trigger her today.
[01:01:06.105 --> 01:01:07.006]  And she still got triggered.
[01:01:07.026 --> 01:01:11.828]  He was shouted at by his off-screen mother for not putting his Rice Krispies bowl in the dishwasher.
[01:01:17.110 --> 01:01:18.430]  It's actually crunchy nut cornflakes.
[01:01:18.470 --> 01:01:19.331]  London is lost!
[01:01:19.551 --> 01:01:22.331]  Yeah, if I thought that, why would I live here?
[01:01:22.411 --> 01:01:23.752]  Where do you live, JK?
[01:01:23.792 --> 01:01:28.573]  Oh yeah, that's right, in a gated mansion in the middle of nowhere, far away from all the brown people.
[01:01:28.793 --> 01:01:29.473]  Racist.
[01:01:29.593 --> 01:01:33.374]  Now, about those 18 spare bedrooms, yeah, I still don't see any refugees.
[01:01:33.474 --> 01:01:39.176]  So aside from me, what else was the left outraged about even as the terrorists were still on the loose?
[01:01:39.256 --> 01:01:40.156]  Donald Trump's tweets.
[01:01:40.196 --> 01:01:43.517]  The Prime Minister, while the terrorists still hadn't been caught
[01:01:43.677 --> 01:01:45.938]  He was lecturing Trump about his tweets!
[01:01:46.098 --> 01:01:47.759]  I mean, get over it already!
[01:01:47.859 --> 01:01:54.103]  It was clear before that Donald Trump relies on his lamethelbia to gain support for his policies, but this morning's London tweets confirm that!
[01:01:54.283 --> 01:01:56.945]  22 injured, total panic, terrorists still on the run.
[01:01:56.965 --> 01:01:59.286]  Yeah, but that Trump tweet was really offensive!
[01:01:59.346 --> 01:02:03.889]  My apologies to the people of London for our embarrassment in the Oval Office hijacking this tragedy for his hateful agenda!
[01:02:04.189 --> 01:02:09.131]  He's the leader of the free world responding to a terror attack in the country of a major ally.
[01:02:09.191 --> 01:02:12.972]  The only one hijacking it to push their agenda is you!
[01:02:13.092 --> 01:02:21.015]  Hijacking terror to advance political agendas is bad, says man hijacking terror to advance his own hysterical anti-Trump.
[01:02:21.195 --> 01:02:22.156]  Political agenda.
[01:02:22.216 --> 01:02:26.861]  Surely they wouldn't be triggered by Trump calling the terrorist a loser, right?
[01:02:27.041 --> 01:02:27.502]  Wrong.
[01:02:27.722 --> 01:02:30.044]  Nobody likes you or your Islamophobia.
[01:02:30.064 --> 01:02:33.528]  Wait, Trump didn't mention anything about Islam in that tweet.
[01:02:33.568 --> 01:02:36.391]  Why are you implying that it's got anything to do with Islam?
[01:02:36.411 --> 01:02:37.592]  You're the Islamophobe.
[01:02:37.672 --> 01:02:42.337]  Listen, if you're more outraged about Trump's tweets than the actual terror attack,
[01:02:42.737 --> 01:02:43.879]  You're part of the problem.
[01:02:43.919 --> 01:02:55.135]  But aside from addressing the real outrage, Donald Trump's tweets, the left didn't forget to remind people about the real concern in the immediate aftermath of a terror attack, while the terrorist is still on the loose.
[01:02:55.195 --> 01:02:55.495]  Which is?
[01:02:56.224 --> 01:02:57.765]  Muslims hurt feelings.
[01:02:57.785 --> 01:02:59.006]  For those in London, stay safe.
[01:02:59.246 --> 01:03:01.027]  Equally as important, don't let hatred win.
[01:03:01.267 --> 01:03:03.028]  I know how easily Islamophobia can spread.
[01:03:03.068 --> 01:03:09.852]  Yeah, equally as important as terrorists maiming people on trains at rush hour is mean words on Twitter.
[01:03:10.352 --> 01:03:11.193]  Don't forget that.
[01:03:11.253 --> 01:03:15.435]  That's the type of comment that gives birth to Islamophobia, racism and hate crimes.
[01:03:15.475 --> 01:03:17.516]  Jeez, must have been pretty bad.
[01:03:17.616 --> 01:03:18.537]  What was the comment?
[01:03:18.597 --> 01:03:20.098]  Jihad on the London Underground.
[01:03:20.158 --> 01:03:23.900]  Right, so asking if it was an Islamic terror attack, which it was,
[01:03:24.770 --> 01:03:25.791]  Is now a hate crime.
[01:03:26.032 --> 01:03:26.953]  That's where we're at.
[01:03:27.593 --> 01:03:27.974]  Okay.
[01:03:28.054 --> 01:03:32.899]  And don't you dare say mean things about Siddiq Khan, that's really disgusting.
[01:03:33.079 --> 01:03:42.730]  Oh look, it's Mr. Part and parcel GQ man of the year back to spout the same meaningless platitudes as last time, and the time before that, and the time before that.
[01:03:42.770 --> 01:03:46.154]  And the left floats the same narrative every single time.
[01:03:46.314 --> 01:03:52.917]  Oh, if you want to stop terrorists blowing people up, if you want anything to change, you're a right-wing snowflake.
[01:03:52.997 --> 01:03:54.957]  Why are you so scared, pussy?
[01:03:55.037 --> 01:04:00.600]  Then the slightest whiff of a right-wing hate crime, and they all piss their pants thinking Hitler's gonna return.
[01:04:00.640 --> 01:04:06.942]  Yeah, it's easy to say you're not afraid when you're not the pregnant woman being trampled in the rush to escape the bomb, isn't it?
[01:04:06.962 --> 01:04:08.603]  Keep calm and carry on.
[01:04:09.503 --> 01:04:21.746]  Unless someone says a mean word on public transport, in which case... As Brendan O'Neill points out, we are invited to panic about hatred that is unproven while keeping quiet about a hatred that is real and deadly.
[01:04:21.826 --> 01:04:29.748]  People chase after fantasy hate crimes while saying next to nothing about Islamist hate crimes that have killed 34 people in six months.
[01:04:29.868 --> 01:04:34.709]  Terror has become so normalised in London that much of the population reacts to it.
[01:04:34.889 --> 01:04:36.730]  With a collective shrug of the shoulders.
[01:04:36.790 --> 01:04:43.632]  Does the left and the political class really think it's all gonna go away if they just keep blaming us?
[01:04:43.792 --> 01:04:46.313]  The people trying to point out the frigging problem.
[01:04:46.353 --> 01:04:47.753]  This is really appropriate, isn't it?
[01:04:47.853 --> 01:04:49.734]  A bomb in a bag for life.
[01:04:49.914 --> 01:04:51.335]  A lifetime of excuses.
[01:04:51.355 --> 01:04:53.135]  A lifetime of cowardice.
[01:04:53.535 --> 01:04:55.436]  A lifetime of submission.
[01:04:57.617 --> 01:04:59.578]  But it's anti-christian so they love it.
[01:04:59.758 --> 01:05:00.718]  They hate their father.
[01:05:05.694 --> 01:05:08.795]  You probably got more media than I did in the last cycle, Michael.
[01:05:08.815 --> 01:05:20.040]  I don't think so, but I know I got a lot of negative media because, you know, they're on the absolute attack because they're what you call slave beating.
[01:05:20.940 --> 01:05:28.023]  That's to keep all the other slaves in line.
[01:05:28.846 --> 01:05:34.048]  And they want black people and white people to remain as slaves so that we can't compete with them.
[01:05:34.369 --> 01:05:36.189]  So, you know, they charge us high taxes.
[01:05:36.550 --> 01:05:38.110]  Most of them are not paying taxes.
[01:05:38.450 --> 01:05:39.651]  And they just get over.
[01:05:39.811 --> 01:05:43.533]  So that's why I'm standing behind President Donald J. Trump.
[01:05:50.936 --> 01:05:54.238]  The silent majority is no longer silent.
[01:05:59.012 --> 01:06:09.938]  From the front lines of the Information War, it's Alex Jones.
[01:06:11.919 --> 01:06:17.042]  Alright, we've got loaded phone lines, like 15 people on the line.
[01:06:17.062 --> 01:06:21.745]  We're going to go to everybody right at the start of the bottom of the hour.
[01:06:21.825 --> 01:06:25.647]  So about 25 minutes away, we're going to write to you on a host of issues.
[01:06:27.383 --> 01:06:29.225]  We've also got flashback.
[01:06:29.265 --> 01:06:32.369]  Bernie Sanders said Medicaid for all would bankrupt the U.S.
[01:06:32.909 --> 01:06:34.011]  Now he supports it.
[01:06:34.371 --> 01:06:37.535]  GOP congressman proposes pardon deal for Julian Assange.
[01:06:37.935 --> 01:06:39.597]  That's Dana Rohrabacher, who's a great guy.
[01:06:40.298 --> 01:06:42.601]  Anthony Weiner blames the girl he sexted for
[01:06:44.158 --> 01:06:48.940]  Wanting to affect the election, that's like Hillary blaming everybody but herself for losing the election.
[01:06:49.840 --> 01:06:59.764]  Trump says he will pull out of the Paris climate deal, and that it's a lie that he's not going to, and that he will not sign on to the DREAM Act as it's been pushed, so that that's a hoax as well.
[01:07:00.144 --> 01:07:04.165]  We've got a clip from Gorka, who's talked to Trump recently, to say that as well.
[01:07:04.225 --> 01:07:05.086]  That's all coming up.
[01:07:05.506 --> 01:07:13.469]  But, we have Laura Loomer, a great independent investigative journalist, she also works for the Rebel Media, who's just been going out as a journalist talking to Hillary.
[01:07:14.813 --> 01:07:18.896]  And going and buying her book and trying to ask her a question, which media ought to do.
[01:07:19.257 --> 01:07:29.185]  But in an upside-down world, the media waits outside, praises her, calls the regular crowds going into Costco, her crowd, and just basically worships her, because they're not real media.
[01:07:29.565 --> 01:07:33.189]  That's why they don't have viewers and listeners, because they're not doing what Laura's done.
[01:07:33.629 --> 01:07:38.253]  Her videos last week had more than 5 million views, I saw, just without even looking.
[01:07:38.713 --> 01:07:41.415]  Her current ones she shot, this just happened
[01:07:42.310 --> 01:07:45.152]  Yesterday, this has over a million views so far.
[01:07:45.512 --> 01:07:47.414]  So see, Laura's a real journalist.
[01:07:47.434 --> 01:07:50.396]  She's wearing her Hillary for Prison shirt from Infowars.com.
[01:07:50.756 --> 01:07:52.918]  She ran into big crowds of folks out there protesting.
[01:07:53.198 --> 01:07:55.319]  But first, here's the boil-down report.
[01:07:55.880 --> 01:07:56.940]  Some of this never before seen.
[01:07:56.980 --> 01:07:57.781]  She streamed it live.
[01:07:57.821 --> 01:08:03.925]  This is the HD she gave us of Hillary literally in the toilet paper aisle and the Secret Service trying to stop her free speech.
[01:08:04.165 --> 01:08:04.526]  Here it is.
[01:08:06.236 --> 01:08:07.317]  Hey guys!
[01:08:07.357 --> 01:08:08.918]  How old are you?
[01:08:09.438 --> 01:08:09.859]  Fourteen.
[01:08:09.879 --> 01:08:10.159]  Fourteen.
[01:08:10.179 --> 01:08:10.699]  Fourteen.
[01:08:10.739 --> 01:08:11.560]  Fourteen.
[01:08:11.880 --> 01:08:13.601]  Fourteen year old.
[01:08:13.801 --> 01:08:15.142]  You guys don't like Hillary Clinton?
[01:08:15.363 --> 01:08:15.643]  No!
[01:08:15.723 --> 01:08:17.384]  Hillary's a liar!
[01:08:17.564 --> 01:08:18.425]  She's a liar!
[01:08:27.432 --> 01:08:31.156]  You really gotta ask yourself, who's thinking about the optics for Hillary Clinton?
[01:08:31.656 --> 01:08:43.608]  We've got footage and photos, we're about to show you, that the intrepid reporter Laura Loomer shot yesterday in Connecticut, where Hillary Clinton did her book signing and meet and greet in a toilet paper aisle.
[01:08:44.129 --> 01:08:45.350]  Yeah, I didn't get this here, did you?
[01:08:45.630 --> 01:08:45.730]  No.
[01:08:47.031 --> 01:08:48.351]  What's the deal with all this toilet paper?
[01:08:48.371 --> 01:08:50.932]  I mean, she's right behind the toilet paper curtain.
[01:08:50.972 --> 01:08:51.592]  Kind of weird, right?
[01:08:51.652 --> 01:08:51.912]  Yeah.
[01:08:51.992 --> 01:08:52.752]  Are you a Hillary supporter?
[01:08:53.293 --> 01:08:53.493]  Huh?
[01:08:53.573 --> 01:08:54.473]  Are you a Hillary supporter?
[01:08:54.773 --> 01:08:55.333]  Oh, I'm not.
[01:08:55.733 --> 01:08:56.253]  I'm not either.
[01:08:56.754 --> 01:08:57.454]  You guys, look!
[01:08:58.074 --> 01:09:00.354]  They placed Hillary Clinton right next to the toilet paper.
[01:09:00.574 --> 01:09:01.755]  Oh, that's awesome.
[01:09:01.875 --> 01:09:04.095]  It's almost like they're trying to tell us something about her new book.
[01:09:04.676 --> 01:09:05.836]  So, I just think it's really funny, like...
[01:09:06.956 --> 01:09:10.459]  She's next to toilet paper and white supremacist milk.
[01:09:10.479 --> 01:09:10.940]  White milk.
[01:09:13.602 --> 01:09:14.102]  White milk.
[01:09:14.643 --> 01:09:15.283]  That's terrible.
[01:09:15.484 --> 01:09:24.531]  So Loomer shows up hours before to get in line and documents the fact that there were crowds of patriots out there saying, lock her up and Hillary for prison.
[01:09:24.551 --> 01:09:25.292]  We'll get to that later.
[01:09:25.932 --> 01:09:33.338]  Then she tries to get in and the police and Secret Service tell her, sorry, you're on a list that Hillary gave us of people not allowed to get in.
[01:09:34.099 --> 01:09:35.239]  Well, Loomer says, I'm peaceful.
[01:09:35.659 --> 01:09:36.259]  I'm a reporter.
[01:09:36.319 --> 01:09:37.360]  I'm a member of Costco.
[01:09:37.680 --> 01:09:38.800]  Why are you trying to stop me?
[01:09:39.140 --> 01:09:40.780]  Last week, I asked Hillary questions.
[01:09:41.060 --> 01:09:41.701]  I bought her book.
[01:09:42.101 --> 01:09:43.341]  Other people can ask her questions.
[01:09:44.161 --> 01:09:47.902]  It's not illegal to go to a public event and ask somebody tough questions.
[01:09:48.222 --> 01:09:54.483]  So after making her wait about 30 minutes, they had to admit that she was right and indeed was allowed in to the event.
[01:09:54.863 --> 01:09:58.844]  So a victory for free speech, but why are we having to even fight for free speech?
[01:09:59.384 --> 01:10:00.005]  The book signing?
[01:10:00.525 --> 01:10:01.585]  Great.
[01:10:01.745 --> 01:10:02.346]  So where do I go?
[01:10:02.386 --> 01:10:03.186]  I'm a Costco member.
[01:10:03.266 --> 01:10:03.446]  What?
[01:10:03.486 --> 01:10:05.147]  Why does it matter?
[01:10:09.542 --> 01:10:09.942]  What's your name?
[01:10:10.042 --> 01:10:10.303]  Laura.
[01:10:10.543 --> 01:10:10.763]  Laura?
[01:10:10.783 --> 01:10:11.864]  Okay, you're not allowed to be here.
[01:10:11.904 --> 01:10:12.764]  I'm not allowed to be here?
[01:10:12.784 --> 01:10:13.145]  No, you're not.
[01:10:13.185 --> 01:10:14.726]  You were told I'm not allowed to be here?
[01:10:14.746 --> 01:10:15.406]  Yes.
