[00:00:03.707 --> 00:00:04.533]  That's Allen Railway, Chevy.
[01:56:48.070 --> 01:56:51.132]  Trump is absolutely right to be sending aircraft carriers.
[01:56:51.132 --> 01:56:54.994]  We need weapon systems on them, and we need to kick them out of here.
[01:56:54.994 --> 01:56:56.775]  And no more Chinese anchor babies.
[01:56:56.775 --> 01:56:57.875]  I'm sick of it!
[01:56:57.875 --> 01:57:00.356]  I can't go to China and have a baby for free!
[01:57:00.356 --> 01:57:05.239]  If I practice yoga at a park, they'd kill me!
[01:57:05.239 --> 01:57:06.500]  That's it.
[01:57:06.500 --> 01:57:08.701]  I'm gonna smash this microphone just to make my point.
[01:57:08.701 --> 01:57:12.703]  It's not normal to just christen one in with the money changers and overturn the tables.
[01:57:14.295 --> 01:57:24.797]  I think I'm gonna buy like some brand new super awesome car and take a take a take a sledgehammer to it to sacrifice like a hundred thousand dollars in front of everybody because all these people don't care about money.
[01:57:24.797 --> 01:57:25.637]  They'll go, don't do it.
[01:57:25.637 --> 01:57:31.799]  I don't have a clock, you know, winding down to the death of the car.
[01:57:31.799 --> 01:57:37.620]  As your freedom dies, as everything else dies, as your whole culture dies, people only care about some stupid car.
[01:57:38.677 --> 01:57:43.479]  But of course, for $100,000, I'll get $10 million in publicity and actually warn people and save people.
[01:57:43.479 --> 01:57:45.320]  See, that's just a form of advertising.
[01:57:45.320 --> 01:57:48.641]  Because they're taking a wrecking ball to this country and have been doing it.
[01:57:48.641 --> 01:57:50.882]  And to you, you should take it personal.
[01:57:50.882 --> 01:57:52.403]  Everyone's been trained to be so self-centered.
[01:57:52.403 --> 01:57:55.384]  And I'm going to Zach's call.
[01:57:55.384 --> 01:57:57.785]  They say, again, I don't care if they shut down coal power plants.
[01:57:57.785 --> 01:57:58.606]  I don't have any coal stock.
[01:57:59.560 --> 01:58:02.222]  That's the whole price of energy going up, moron.
[01:58:02.222 --> 01:58:03.723]  Or I don't care if the stock market goes down.
[01:58:03.723 --> 01:58:04.844]  I'm not in the stock market.
[01:58:04.844 --> 01:58:08.466]  Almost every company that you depend on or your business works with is.
[01:58:08.466 --> 01:58:11.088]  So if it goes down, we're going to be in a freaking depression.
[01:58:11.088 --> 01:58:15.331]  With half the public not working and brainwashed, everything's going to burn down.
[01:58:15.331 --> 01:58:20.895]  How does that sound to you?
[01:58:20.895 --> 01:58:23.376]  It's ridiculous.
[01:58:23.376 --> 01:58:26.839]  I'm ready to go to war with whoever wants to go to war right now.
[01:58:26.839 --> 01:58:28.480]  The Islamists, the Chai Koms.
[01:58:30.715 --> 01:58:33.498]  I pray to God you be brought love.
[01:58:33.498 --> 01:58:39.845]  I beg Christ and the Father that you murdering scum be destroyed!
[01:58:39.845 --> 01:58:42.688]  I'll be right back with your phone calls, you maggot murderers!
[01:58:42.688 --> 01:58:45.070]  We'll get you no matter what!
[01:58:45.070 --> 01:58:46.512]  You murderers!
[01:58:46.512 --> 01:58:48.434]  You scumbag vampires!
[01:58:48.434 --> 01:58:49.054]  I see you!
[01:58:49.855 --> 01:59:00.719]  National Defense Labs and Citizen Armor has given InfoWars the exclusive on distributing to the American people the true next generation in body armor.
[01:59:00.719 --> 01:59:08.503]  Basically what we're bringing to the InfoWars team is a new line of dynamic, lightweight body armor.
[01:59:08.503 --> 01:59:14.425]  It is lighter, more flexible, easier to wear, more comfortable, and stronger than anything else on the market.
[01:59:14.525 --> 01:59:20.710]  You said when you talked to people that have been using this actually testing it for years, people that currently have tested it for us, they didn't just say outstanding.
[01:59:20.710 --> 01:59:21.671]  What did they really say about it?
[01:59:21.671 --> 01:59:24.513]  They want to know how do they get it, where do they find it.
[01:59:24.513 --> 01:59:28.236]  A lot of my law enforcement official buddies want to know the same thing.
[01:59:28.236 --> 01:59:31.158]  The backpack body armor is only $200.
[01:59:31.158 --> 01:59:33.019]  I mean, it's unbelievable.
[01:59:33.019 --> 01:59:34.280]  It's a quarter inch thick.
[01:59:34.280 --> 01:59:35.181]  It's got a 20-year warranty.
[01:59:35.181 --> 01:59:35.861]  It's waterproof.
[01:59:35.861 --> 01:59:36.322]  You can wear it.
[01:59:36.322 --> 01:59:37.022]  It's comfortable.
[01:59:37.022 --> 01:59:39.144]  And we shot everything you can imagine at it.
[01:59:39.144 --> 01:59:40.905]  Again, fund the Info Ward.
[01:59:40.905 --> 01:59:43.627]  Get the game-changing Nanotech Tubes.
[01:59:43.627 --> 01:59:44.268]  It's a win-win.
[01:59:44.488 --> 01:59:45.729]  Two hundred dollars.
[01:59:45.729 --> 01:59:48.652]  Go check out all their different products at infowarshore.com.
[01:59:48.652 --> 01:59:52.416]  It's amazing.
[01:59:52.416 --> 02:00:06.710]  You're listening to the Alex Jones Show.
[02:00:06.710 --> 02:00:08.252]  I can feel the spirit rising.
[02:00:22.043 --> 02:00:24.684]  Waging war on corruption.
[02:00:24.684 --> 02:00:29.607]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[02:00:29.607 --> 02:00:39.111]  I've got to settle down a little bit.
[02:00:39.111 --> 02:00:47.655]  The communist Chinese openly lecturing that they're our bosses and openly buying up the globalist brainwashing system is just too much.
[02:00:49.625 --> 02:00:54.467]  I mean, this is incredible, because I can tell you, most of Hollywood doesn't like what the Globals are doing.
[02:00:54.467 --> 02:00:58.668]  When there's a major rebellion, just talk to Chris Carter.
[02:00:58.668 --> 02:01:02.109]  And so they're bringing in the Chi-Com money to try to keep control.
[02:01:02.109 --> 02:01:02.850]  See?
[02:01:02.850 --> 02:01:05.771]  This is a desperation move, but it's going to blow up in their face big time.
[02:01:05.771 --> 02:01:08.892]  Because we're not going to just sit here idly by and watch the Communist Chinese take over.
[02:01:08.892 --> 02:01:14.734]  Let's go to Zach in Kentucky, then we're going to go to Cindy and Kevin and James and John.
[02:01:14.734 --> 02:01:15.454]  Go ahead, you're on the air.
[02:01:17.558 --> 02:01:22.040]  Alex, I just want to thank you so much, obviously, for what you do.
[02:01:22.040 --> 02:01:23.821]  You talk about the Chinese here.
[02:01:23.821 --> 02:01:27.063]  Yeah, they're going to hold no dominion over us.
[02:01:27.063 --> 02:01:32.086]  I can say that for at least me and my brothers here in Louisville, Kentucky.
[02:01:32.086 --> 02:01:36.608]  Even my lady, my girlfriend, I just want to say, Amber, I'm so lucky to have her.
[02:01:36.608 --> 02:01:38.329]  She's a truther.
[02:01:38.329 --> 02:01:41.591]  You know, we wouldn't be the same people without you, man.
[02:01:41.591 --> 02:01:44.112]  Anyway, past all that, Trump,
[02:01:45.413 --> 02:01:48.974]  You've got the Chinese, you know, shaking in their boots, obviously.
[02:01:48.974 --> 02:01:50.615]  We see it through movies, through Hollywood.
[02:01:50.615 --> 02:01:52.575]  They try to control Hollywood now, that's why.
[02:01:52.575 --> 02:01:59.597]  I mean, look, it's illegal to have state-sponsored media and funding, because everything in China is state-controlled, taking over our media.
[02:01:59.597 --> 02:02:05.379]  This is a huge national security issue, one trillion times bigger than what the Russians supposedly did.
[02:02:05.379 --> 02:02:10.281]  The Russians were laughing that they were claiming they were influencing our election.
[02:02:10.281 --> 02:02:12.141]  They're fighting the same people!
[02:02:12.141 --> 02:02:13.442]  It has nothing to do with Russia!
[02:02:14.434 --> 02:02:18.576]  I mean, again, they say that Russia told Trump to say Crooked Hillary.
[02:02:18.576 --> 02:02:22.839]  This would be funny if it wasn't so dangerous.
[02:02:22.839 --> 02:02:24.300]  It is dangerous, you know.
[02:02:24.300 --> 02:02:29.002]  And, you know, Marines, we laugh in the face of danger a lot.
[02:02:29.002 --> 02:02:31.163]  But, you know, we take this very seriously.
[02:02:31.163 --> 02:02:32.964]  This is our freedom.
[02:02:32.964 --> 02:02:34.485]  Obviously, you take it for you.
[02:02:34.485 --> 02:02:36.006]  I mean, you take it seriously.
[02:02:36.006 --> 02:02:38.347]  You are the commandant of truth, in my opinion.
[02:02:40.368 --> 02:02:43.670]  If we, the listeners, are the vanguard, you're the commandant.
[02:02:43.670 --> 02:02:45.010]  You're the general.
[02:02:45.010 --> 02:02:53.974]  Let me tell you, the Marines and former Marines are the shock troops, the bravest, the guys they send in to death's doorstep and through and beyond.
[02:02:53.974 --> 02:02:59.517]  And I admire the Army and all the special operations and the Navy SEALs and the incredibly dangerous stuff they do that takes unbelievable courage.
[02:02:59.517 --> 02:03:05.099]  But the Marines, I've noticed out there, out of any group, because you're a smaller group, are the most awake to the New World Order.
[02:03:05.099 --> 02:03:06.440]  The Army has more awake people
[02:03:07.561 --> 02:03:12.045]  On average, because they've got more people, but the Marines really are being faithful to this country.
[02:03:12.045 --> 02:03:16.470]  I mean, I'm not just yelling and screaming as some act here.
[02:03:16.470 --> 02:03:22.556]  I'm literally reading these articles where the Communist Chinese brag they're taking us over, and it's just outrageous.
[02:03:22.556 --> 02:03:28.482]  I mean, it makes me mad that my fellow countrymen have sold out to this, and that, quite frankly, Trump's not doing enough.
[02:03:29.397 --> 02:03:33.018]  I understand he's got to get in, get in place first, and he's doing it.
[02:03:33.018 --> 02:03:34.399]  He's doing an incredible job.
[02:03:34.399 --> 02:03:43.082]  I just want to see him drop-kick the Communist Chinese who have been openly involved in the election and just destroy this lie that Russia was involved.
[02:03:43.082 --> 02:03:49.505]  Not to defend that old story that was proven a fraud, PPGate and all the rest of it, but because it's a clear and present danger.
[02:03:49.505 --> 02:03:51.926]  Trump must address the Chai Koms.
[02:03:51.926 --> 02:03:54.367]  They're a bigger threat than the Muslims.
[02:03:54.367 --> 02:03:54.647]  Go ahead.
[02:03:55.603 --> 02:04:03.833]  I mean, the public just now, you know, do a total 180 from, you know, the early 2000s, I'd say 90s, you know, on up.
[02:04:04.766 --> 02:04:06.007]  We're so against sweatshops.
[02:04:06.007 --> 02:04:07.628]  We're so against slave labor.
[02:04:07.628 --> 02:04:10.550]  You've got those, you know, Foxconn factories.
[02:04:10.550 --> 02:04:11.871]  Hopefully, you know, what is it?
[02:04:11.871 --> 02:04:14.993]  Foxconn's going to move back, but they've got the suicide net.
[02:04:14.993 --> 02:04:19.156]  That's just... Well, I mean, they'd be forced under Trump's regulations to be like heaven.
[02:04:19.156 --> 02:04:19.876]  He'll cut them by 75%.
[02:04:19.876 --> 02:04:21.397]  It'll still be like heaven to them.
[02:04:21.397 --> 02:04:24.059]  You mean we get lunch breaks from only working eight hours?
[02:04:24.059 --> 02:04:25.920]  We can work overtime if we want and get double?
[02:04:25.920 --> 02:04:28.942]  Oh, we're going to get $20 an hour instead of 18 hours a day for like $2 a day?
[02:04:31.673 --> 02:04:32.854]  Something else, Alex.
[02:04:32.854 --> 02:04:33.374]  You know what?
[02:04:33.374 --> 02:04:34.634]  You guys do such a great job.
[02:04:34.634 --> 02:04:36.375]  I don't want to take any more of your time.
[02:04:36.375 --> 02:04:41.918]  Just continue on in that, and you know, I just want to give a shout out to anybody here in the Louisville, Kentucky area.
[02:04:41.918 --> 02:04:43.518]  Anything goes down, I got your six, okay?
[02:04:43.518 --> 02:04:45.079]  All right, God bless you, brother.
[02:04:45.079 --> 02:04:45.739]  We're going to come back.
[02:04:45.739 --> 02:04:46.580]  You can do a few more calls.
[02:04:46.580 --> 02:04:47.980]  I've got a guest come on about the economy.
[02:04:47.980 --> 02:04:57.584]  We've got some new clips of Don Lemon, an endless source of BS and lies and distortion and arrogance and almost no viewers, but still we have to expose these enemies.
[02:04:57.584 --> 02:04:58.445]  They are enemies, folks.
[02:04:59.884 --> 02:05:05.426]  Sanctuary cities across the nation are pushing back against President Trump's immigration policies.
[02:05:05.426 --> 02:05:07.587]  They're vowing to take it all the way to the courts.
[02:05:07.587 --> 02:05:18.411]  Bill de Blasio of New York is promising immediate action against Sanctuary City's order, as President Trump's executive order is said to block federal funding to sanctuary cities just like New York.
[02:05:18.411 --> 02:05:28.014]  De Blasio is saying that it's very susceptible to legal challenge, and he's promising to take it to the court immediately for an injunction to stop the order if an attempt to pull funds from the city is made.
[02:05:28.314 --> 02:05:34.635]  He goes on to say, if they make an attempt to pull that money, it would be from the NYPD, from security funding to fighting terrorism.
[02:05:34.635 --> 02:05:36.576]  Of course we know that simply isn't true.
[02:05:36.576 --> 02:05:44.217]  The president is trying to enforce the law of the land and say that these rogue cities have no right to give benefits to people that are here illegally.
[02:05:44.217 --> 02:05:54.699]  Now on Wednesday, Trump signed an order to stop federal funds from going to these cities, from New York to San Francisco, that have policies limiting cooperation with federal immigration enforcement agencies.
[02:05:54.699 --> 02:05:57.080]  I'm Margaret Hall reporting for InfoWars.com.
[02:05:59.745 --> 02:06:03.966]  Ladies and gentlemen, Alex Jones here on the road with a very important announcement.
[02:06:03.966 --> 02:06:07.247]  Roger Stone's new book is coming out in a couple weeks.
[02:06:07.247 --> 02:06:11.588]  It's exclusively available at pre-order at InfoWarsStore.com.
[02:06:11.588 --> 02:06:22.591]  It's the making of a president, and it breaks down how Trump really got elected, the inside baseball, the current battles, and a blueprint for the future and what Trump and others are really planning to do to restore the Republic of prosperity.
[02:06:22.591 --> 02:06:26.412]  But bottom line, this is the book that got Roger Stone poisoned with polonium.
[02:06:26.412 --> 02:06:27.972]  It breaks down what really happened with the Russians.
[02:06:28.172 --> 02:06:29.212]  And so much more.
[02:06:29.212 --> 02:06:32.733]  And it supports him and it supports Infowars and our whole operation.
[02:06:32.733 --> 02:06:37.554]  So it's essential that this book go to the top of the charts in the political area, if not the very top of the charts.
[02:06:37.554 --> 02:06:40.495]  Joe Biden has come out and said world government is collapsing.
[02:06:40.495 --> 02:06:41.995]  They're in full crisis mode.
[02:06:41.995 --> 02:06:43.536]  Nationalist movements are exploding.
[02:06:43.536 --> 02:06:45.636]  Everybody needs to go pre-order.
[02:06:45.636 --> 02:06:47.957]  So you get it first at Infowarsstore.com.
[02:06:47.957 --> 02:06:50.037]  The Making of a President by Roger Stone.
[02:06:50.037 --> 02:06:52.858]  I'm Alex Jones jumping on an airplane to go to the inaugural event.
[02:06:59.445 --> 02:07:01.327]  It's not just our water we need to filter.
[02:07:01.327 --> 02:07:03.350]  It's not just our food that needs to be cleaned.
[02:07:03.350 --> 02:07:04.751]  It's the air we're breathing.
[02:07:04.751 --> 02:07:06.153]  Especially for our children.
[02:07:06.153 --> 02:07:08.155]  The artificial particulates.
[02:07:08.155 --> 02:07:08.836]  The chemicals.
[02:07:09.156 --> 02:07:12.317]  is absolutely weighing down our immune systems.
[02:07:12.317 --> 02:07:21.499]  The same team based right here in America that brought you the Alexa Pure Groundbreaking Water Filtration Systems have now developed Alexa Pure Breeze.
[02:07:21.499 --> 02:07:29.040]  Whether it's your home or office, you owe it to yourself, your co-workers, your family, your children to do the best job you can to purify your air.
[02:07:29.040 --> 02:07:37.062]  The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid most of the toxic effects for themselves.
[02:07:37.062 --> 02:07:38.022]  The general public doesn't.
[02:07:39.245 --> 02:07:42.607]  The Alexa Pure Breeze will be a steal at $300, $400, $500.
[02:07:42.607 --> 02:07:46.749]  One of these systems can keep 800 square feet incredibly clean.
[02:07:46.749 --> 02:07:53.473]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[02:07:53.473 --> 02:07:57.555]  Find out why this system is so revolutionary today at InfoWarsTore.com.
[02:08:10.709 --> 02:08:16.376]  He aligns himself with the truth, and it's time for you to choose a side.
[02:08:16.376 --> 02:08:18.699]  You're listening to Alex Jones.
[02:08:20.595 --> 02:08:24.277]  Coming up after I take a few of these phone calls, Harry Dent is going to be with us for the balance of the hour.
[02:08:24.277 --> 02:08:32.122]  He's made a lot of accurate predictions, formerly a big turnaround guy and acquisitions guy, of course, with Bain Capital.
[02:08:32.122 --> 02:08:37.646]  He's got his charts that are historically accurate, and he's saying things will continue to downturn in many areas, but the U.S.
[02:08:37.646 --> 02:08:39.927]  will be better than China and other sectors.
[02:08:40.908 --> 02:08:50.655]  I had Ron Paul on yesterday, and he's been a really good barometer on the economy, and he thinks Trump's doing a lot of good things to try to jumpstart the economy, like cutting regulations.
[02:08:50.655 --> 02:08:56.339]  But he thinks it's a day late and a dollar short, and it's going to be very hard to stop these trends.
[02:08:56.339 --> 02:08:58.121]  He tends to agree with Dent.
[02:08:58.121 --> 02:09:00.122]  That's coming up here in just a few minutes.
[02:09:00.122 --> 02:09:00.923]  That said, though...
[02:09:03.001 --> 02:09:15.394]  Could major new technological developments that we know a lot of which have been suppressed as what they call disruptive technologies be rolled out quicker, things approved faster, drugs, you name it.
[02:09:15.394 --> 02:09:19.919]  Could that cause a new boom that we weren't expecting like so many other innovations have done?
[02:09:20.459 --> 02:09:22.341]  I'm an eternal optimist.
[02:09:22.341 --> 02:09:25.084]  But of course I've been being negative under Obama.
[02:09:25.084 --> 02:09:28.748]  All the socialism and big government saying things are negative.
[02:09:28.748 --> 02:09:30.170]  But I want to be an optimist.
[02:09:30.170 --> 02:09:32.713]  I mean, I want to be a cheerleader and I think things are very positive.
[02:09:32.713 --> 02:09:34.194]  Two trillion out of the stock market.
[02:09:35.106 --> 02:09:38.269]  So is that going to put a wrinkle in Mr. Dent's predictions?
[02:09:38.269 --> 02:09:49.878]  We're talking to him here in just a few minutes, but first off, before I hit a few of these calls very fast, Don Lemon on CNN is running around with the New York Times saying that there's no illegals voting, there's no dead people voting.
[02:09:49.878 --> 02:09:54.242]  Well, they've got Pew Research showing tens of millions, not three to five million like Trump says.
[02:09:54.242 --> 02:09:55.883]  So as usual, it's worse than Trump's saying.
[02:09:56.744 --> 02:09:58.506]  And let's put Bloomberg on screen.
[02:09:58.506 --> 02:10:05.353]  Also have Politico from last year saying, illegal aliens are Hillary's secret weapon voting.
[02:10:05.353 --> 02:10:06.815]  Let's put that on screen.
[02:10:06.815 --> 02:10:08.557]  We just had it pulled up during the break.
[02:10:08.557 --> 02:10:09.998]  Because it's so important.
[02:10:09.998 --> 02:10:11.600]  Nico found it, guys.
[02:10:11.600 --> 02:10:16.525]  Because there's all these articles where they say illegals are the secret weapon.
[02:10:16.525 --> 02:10:17.847]  You don't have to print them for me.
[02:10:17.847 --> 02:10:18.487]  Just punch them up.
[02:10:19.306 --> 02:10:20.386]  So, yeah, there it is.
[02:10:20.386 --> 02:10:23.327]  Illegal immigrants could elect Hillary Clinton.
[02:10:23.327 --> 02:10:24.148]  Politico.
[02:10:24.148 --> 02:10:28.889]  How non-citizens decrease Republican chances of winning the White House next year.
[02:10:28.889 --> 02:10:32.210]  So, that's October 3rd.
[02:10:32.210 --> 02:10:34.011]  Okay, so that's what they do.
[02:10:34.011 --> 02:10:36.832]  They admit all of this is going on.
[02:10:36.832 --> 02:10:40.033]  The Democrats are trying to pass laws so illegals can vote.
[02:10:40.033 --> 02:10:47.896]  They catch them, they catch them, but two to one, they catch just Democrats that are citizens with a list the Democrats give them of people.
[02:10:48.914 --> 02:10:53.178]  That are dead, but are on the voting rolls and they go vote!
[02:10:53.178 --> 02:10:56.040]  I mean, the Mexican government said go vote in America!
[02:10:56.040 --> 02:11:01.485]  Everybody admits it's going on, but oh, Don Lemon and another arrogant New York Times guy.
[02:11:01.485 --> 02:11:03.427]  Oh, tell us about WMDs in Iraq.
[02:11:03.427 --> 02:11:04.728]  Tell us about Yellow Cake.
[02:11:04.728 --> 02:11:08.872]  Tell us about how Trump was never against the war when we've got six clips of him against the war.
[02:11:09.232 --> 02:11:13.354]  You're a pack of liars owned by a Mexican kingpin, New York Times.
[02:11:13.354 --> 02:11:15.175]  CNN, you're about to be sold off.
[02:11:15.175 --> 02:11:17.377]  You have a couple hundred thousand viewers an hour.
[02:11:17.377 --> 02:11:20.899]  We have hundreds of thousands of viewers every 15 minutes.
[02:11:20.899 --> 02:11:23.400]  You know what the show has every 15 minutes now, just on Fresh Radio?
[02:11:23.400 --> 02:11:25.361]  Half a million.
[02:11:25.361 --> 02:11:26.062]  Half a million.
[02:11:26.062 --> 02:11:27.582]  That's on rated stations.
[02:11:27.582 --> 02:11:29.784]  Not all our stations even subscribe to it.
[02:11:29.784 --> 02:11:31.325]  We have half a million every 15 minutes.
[02:11:33.697 --> 02:11:40.479]  The average time is 23 minutes, you add it all up together, we have like 4 million listeners a day on terrestrial radio!
[02:11:40.479 --> 02:11:41.840]  You're a joke!
[02:11:41.840 --> 02:11:43.100]  You're a fraud!
[02:11:43.100 --> 02:11:44.100]  You're a scam!
[02:11:44.100 --> 02:11:45.661]  You're fake!
[02:11:45.661 --> 02:11:47.722]  Don't call us fake!
[02:11:47.722 --> 02:11:51.383]  You hope the communist Chinese bail out Hollywood and the MSM!
[02:11:51.383 --> 02:11:58.025]  And then they're so arrogant the Chinese order it to be the Chinese save America from Trump, with Michael Bay directing it?
[02:11:58.025 --> 02:11:59.346]  Is that a joke?
[02:11:59.346 --> 02:12:01.906]  Please, go ahead and put that in theaters!
[02:12:01.906 --> 02:12:03.147]  You're a laughing stock!
[02:12:04.935 --> 02:12:05.916]  I appreciate Dan Holding.
[02:12:05.916 --> 02:12:06.656]  I got behind here.
[02:12:06.656 --> 02:12:07.517]  He's just gotten on the line.
[02:12:07.517 --> 02:12:11.740]  I'm going to hurry these calls because you've been holding for over an hour, and then we're going to go to our guest.
[02:12:11.740 --> 02:12:16.183]  But here's the clip of Don Lemon that I just mentioned, who thinks you're the biggest idiot in the galaxy.
[02:12:16.183 --> 02:12:18.265]  No, there's no illegals voting.
[02:12:18.265 --> 02:12:18.966]  Oh, no.
[02:12:18.966 --> 02:12:21.467]  Hillary didn't steal five states according to top experts.
[02:12:21.467 --> 02:12:24.149]  They didn't break into six states computers and get caught.
[02:12:24.149 --> 02:12:25.290]  You got caught.
[02:12:25.290 --> 02:12:26.011]  You got caught.
[02:12:27.153 --> 02:12:30.055]  There's a global realignment against world government.
[02:12:30.055 --> 02:12:33.437]  Nationalism is exploding, something Dent predicted years ago.
[02:12:33.437 --> 02:12:33.838]  Here it is.
[02:12:33.838 --> 02:12:39.662]  I think that in journalism, our role is not to be stenographers.
[02:12:39.662 --> 02:12:41.243]  Our role is to be watchdogs.
[02:12:41.243 --> 02:12:43.865]  And we have to provide that kind of accountability.
[02:12:43.865 --> 02:12:54.232]  And I think when a president or anybody else says something that is verifiably, empirically false, then one has to call him out on it.
[02:12:54.232 --> 02:12:54.852]  There's another clip.
[02:12:54.852 --> 02:12:55.373]  Here's another clip.
[02:12:56.755 --> 02:13:01.296]  It's tough to call the President of the United States a liar, because you want to respect the office.
[02:13:01.296 --> 02:13:08.698]  But, um, I think it does a disservice to the American people, and even to the President, and even to, you know, journalists.
[02:13:08.698 --> 02:13:10.498]  Not to call.
[02:13:10.498 --> 02:13:12.919]  Call it what it is, and it is a lie.
[02:13:12.919 --> 02:13:13.439]  Uh, no.
[02:13:13.439 --> 02:13:20.541]  CNN and MSNBC and PBS and BBC showing the crowd, uh, gates being opened.
[02:13:21.638 --> 02:13:32.380]  Showing a pool for five minutes, then cutting when they left and saying that it never filled up when we have megapixels so good, or gigapixels, whatever those are called, that you can catch me in the crowd.
[02:13:32.380 --> 02:13:34.121]  People found that, and everybody else.
[02:13:34.121 --> 02:13:36.081]  It was the biggest crowd ever.
[02:13:36.081 --> 02:13:39.462]  But no, he also threw Martin Luther King's bust out the window.
[02:13:39.462 --> 02:13:41.542]  You're the liar, Don Lennon.
[02:13:41.542 --> 02:13:44.583]  You're the fraud, bro.
[02:13:44.583 --> 02:13:46.183]  You're the fraud.
[02:13:46.183 --> 02:13:48.144]  Yeah, let's back it up and let's go back over a mile.
[02:13:49.465 --> 02:13:52.927]  And again, they had to fence it off because people were trying to get in and attack people.
[02:13:52.927 --> 02:13:54.407]  It goes on for miles and miles.
[02:13:54.407 --> 02:13:58.890]  And then we have photos behind the monument of the huge massive crowds.
[02:13:58.890 --> 02:13:59.890]  What should I show you again?
[02:13:59.890 --> 02:14:00.290]  CNN?
[02:14:00.290 --> 02:14:01.131]  BBC?
[02:14:01.131 --> 02:14:05.153]  Showing it with no one there?
[02:14:05.153 --> 02:14:05.713]  Showing it at 8.22?
[02:14:05.713 --> 02:14:08.054]  I keep saying 8.30.
[02:14:08.054 --> 02:14:10.195]  8.22 in the morning, they opened the gates at 8.20.
[02:14:10.195 --> 02:14:12.036]  Two minutes in, people pour in.
[02:14:12.036 --> 02:14:13.837]  They go, oh, that's how it ended.
[02:14:13.837 --> 02:14:16.238]  That was the crowd for Trump.
[02:14:16.238 --> 02:14:17.379]  Good Lord!
[02:14:18.902 --> 02:14:20.523]  That's taken from the Washington Monument.
[02:14:20.523 --> 02:14:23.624]  We have the photos of it back to the monument and past it!
[02:14:23.624 --> 02:14:25.305]  But still, they went on air!
[02:14:25.305 --> 02:14:32.708]  I saw CNN Tuesday night and said Trump was caught in another lie and that there was not a crowd and he should quit bitching!
[02:14:32.708 --> 02:14:36.690]  I'm gonna ask Mr. Dent what he thinks is going on here because this is insane.
[02:14:36.690 --> 02:14:40.732]  It's almost like there's a plan of self-immolation for these people.
[02:14:40.732 --> 02:14:42.753]  Okay, let's go to these calls and I'll go to my guest.
[02:14:42.753 --> 02:14:43.333]  Let's talk to...
[02:14:45.549 --> 02:14:47.469]  Somebody hung up at the top in there for an hour.
[02:14:47.469 --> 02:14:50.750]  Let's see who's up next here.
[02:14:50.750 --> 02:14:53.391]  Let's talk to Cindy in Pennsylvania.
[02:14:53.391 --> 02:14:56.191]  You're on the air, go ahead.
[02:14:56.191 --> 02:14:57.311]  Yeah, hi Alex.
[02:14:57.311 --> 02:15:07.494]  I want to thank you for encouraging us to get out there on each and every one of us and do our own thing to fight this war against NGSOC.
[02:15:07.494 --> 02:15:14.615]  I write now on a site called allpoetry.com under the pen name Casparitis.
[02:15:15.313 --> 02:15:16.094]  Doing very well.
[02:15:16.094 --> 02:15:21.078]  I'm a patriotic poet, and a lot of it comes from your shows.
[02:15:21.078 --> 02:15:26.822]  I've written about Trump, Hillary, and the hardest one I'm having trouble writing about is you.
[02:15:26.822 --> 02:15:32.187]  You're very hard to write about, but I'd like you to check that out at allpoetry.com.
[02:15:32.187 --> 02:15:32.547]  Beautiful.
[02:15:32.547 --> 02:15:37.131]  Everybody, the way to count them is put out art, put out love, put out true renaissance.
[02:15:37.131 --> 02:15:39.853]  That will defeat these people.
[02:15:39.853 --> 02:15:44.777]  And I would love to see President Trump get these Islamberg
[02:15:45.640 --> 02:15:46.380]  Thank you, Alex.
[02:15:46.380 --> 02:15:47.080]  Just a quick point.
[02:15:47.080 --> 02:15:48.841]  Number one, I loved your Transformers voice.
[02:15:48.841 --> 02:15:49.861]  It was amazing earlier.
[02:15:49.861 --> 02:15:53.062]  But I do think, unfortunately, there is going to be some sort of civil unrest.
[02:16:14.092 --> 02:16:15.453]  Uh, because of what's going on.
[02:16:15.453 --> 02:16:21.917]  Uh, there's too many idiot, brainwashed, uh, mental patient, uh, liberals out there.
[02:16:21.917 --> 02:16:23.958]  Openly calling for the death of Trump.
[02:16:23.958 --> 02:16:26.860]  They'll hit you and spit on you and say, love Trump's hate.
[02:16:26.860 --> 02:16:32.564]  I'm like, hey, you just slapped me in the face.
[02:16:32.564 --> 02:16:33.804]  It's not about peace anymore.
[02:16:33.804 --> 02:16:42.069]  They're taking the marching orders from their hypocritical Hollywood heroes like Madonna and Ashley Judd and Mr., uh,
[02:16:43.604 --> 02:16:54.689]  Climate control and global warming, hypocrite Leonardo DiCaprio, and you got Matt Damon talking about people shouldn't have guns, but his house is a fortress with armed security guards.
[02:16:54.689 --> 02:16:56.169]  They're total elitists.
[02:16:56.169 --> 02:17:03.092]  Look, they're told, let me tell you something, with Clooney, with him and all, it's all a big joke, except Sean Penn really believes it.
[02:17:03.092 --> 02:17:09.475]  With them, I know this for a fact, behind the scenes, Brad Pitt, who isn't as bad as, Brad Pitt's actually told some truthful stuff,
[02:17:11.463 --> 02:17:12.923]  They all know it's a total fraud.
[02:17:12.923 --> 02:17:14.964]  They all listen to the show.
