[00:00:01.877 --> 00:00:07.322]  You're listening to The Alex Jones Show.
[02:06:04.677 --> 02:06:06.519]  BrantfordWars.com, I'm David Knight.
[02:06:07.335 --> 02:06:17.942]  We've taken thousands of years of known research and put it together with our own four years of seeking and testing to find the very best systems that God gave us through Mother Nature to detoxify the body.
[02:06:17.942 --> 02:06:20.003]  That's why I'm introducing Z-SHIELD.
[02:06:20.003 --> 02:06:22.865]  Toxic Metal and Chemical Defense Support.
[02:06:22.865 --> 02:06:24.346]  It's made in the USA.
[02:06:24.346 --> 02:06:31.190]  It's filled with known compounds from nature that are absolutely associated with detoxifying the body and it supports the info war.
[02:06:31.190 --> 02:06:32.410]  It is a classical 360 wind.
[02:06:33.251 --> 02:06:42.954]  This is the formula that I personally have been taking for over a year, and now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get.
[02:06:42.954 --> 02:06:59.779]  You owe it to yourself, you owe it to your family, and you owe it to the future of this country and the world that patriots stay as healthy and as clean and as focused as you can be, because we need you, the remnant of America, to reignite those rush fires to the next level and to be healthy and as focused as you can be.
[02:06:59.779 --> 02:07:02.920]  Thanks to your support and your prayers, together, we're changing the world.
[02:07:03.100 --> 02:07:07.244]  Now it's time to change our bodies with Z Field at InfoWarsLive.com.
[02:07:07.244 --> 02:07:15.511]  Please listen carefully, because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the info war.
[02:07:15.511 --> 02:07:16.732]  A 360 win.
[02:07:16.732 --> 02:07:23.297]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order at InfoWarsStore.com.
[02:07:23.297 --> 02:07:30.824]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip, because we hold back a surplus for AutoShip customers.
[02:07:31.204 --> 02:07:35.885]  Number three, we're giving you free shipping on all orders above $50.
[02:07:35.885 --> 02:07:42.386]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[02:07:42.386 --> 02:07:50.188]  Just go to InfoWarsStore.com, select your favorite product or products, click on AutoShip, and choose how often you want us to send you another order.
[02:07:50.188 --> 02:07:57.390]  As you know, I coined the term 360 win, and with the new AutoShip feature in InfoWarsLife.com, this is a sure win.
[02:07:57.390 --> 02:07:58.190]  10% off on AutoShip.
[02:07:58.490 --> 02:08:00.790]  Win-win-win at Infowarslife.com.
[02:08:00.790 --> 02:08:02.771]  Free shipping on orders above $50.
[02:08:02.771 --> 02:08:10.712]  And all out-of-stock items are never out-of-stock when you sign up for AutoShip.
[02:08:10.712 --> 02:08:12.973]  Broadcasting live from the U.N.
[02:08:12.973 --> 02:08:19.314]  stronghold, Austin, Texas, you're listening to the Alex Jones Show.
[02:08:19.314 --> 02:08:23.015]  And now, your host, Paul Joseph Watson.
[02:08:30.163 --> 02:08:32.746]  We're back live on the Alex Jones Show.
[02:08:32.746 --> 02:08:36.950]  Going to go to a cliff in a second about the illegal alien.
[02:08:36.950 --> 02:08:39.173]  Raped and robbed a woman in Portland.
[02:08:39.173 --> 02:08:42.016]  Had 20 deportations to his name.
[02:08:42.016 --> 02:08:46.441]  They tried to deport him 20 times and then this happened.
[02:08:46.441 --> 02:08:47.362]  Well, what a surprise.
[02:08:47.992 --> 02:08:49.453]  We're going to go to that clip in a second.
[02:08:49.453 --> 02:08:51.714]  We have this report out of Fox News.
[02:08:51.714 --> 02:08:56.097]  House votes for 1.6 billion down payment on border wall.
[02:08:56.097 --> 02:09:05.363]  The GOP-controlled House has given tentative approval to a 1.6 billion down payment for President Trump's long-promised wall along the US-Mexico border.
[02:09:05.363 --> 02:09:12.887]  The controversial wall money is being given a ride on legislation to give the Pentagon a massive spending boost and increase funding for veterans medical care.
[02:09:12.887 --> 02:09:14.108]  So we've seen the plans.
[02:09:14.108 --> 02:09:15.929]  We've seen the preparations.
[02:09:15.929 --> 02:09:16.009]  DHS
[02:09:17.410 --> 02:09:18.472]  We're good to go.
[02:09:30.180 --> 02:09:31.941]  And boy is it needed more than ever.
[02:09:31.941 --> 02:09:35.303]  We have this article from a couple of days ago out of the Gateway Pundit.
[02:09:35.303 --> 02:09:47.431]  Illegal alien rapes and robs woman in Portland had 20 deportations removals despite being deported several times over the years and found guilty of a plethora of previous crimes.
[02:09:47.431 --> 02:09:52.735]  Sergio Jose Martinez walked freely in Portland, Oregon and went on to get another crime spree.
[02:09:52.735 --> 02:09:54.476]  He broke into the homes of two women
[02:09:55.808 --> 02:10:00.012]  Two women where he raped them, robbed them of cash and other items and stole one of their cars.
[02:10:00.012 --> 02:10:06.519]  He'd previously been deported 20 times and we have a video clip on this right now.
[02:10:06.519 --> 02:10:07.220]  Let's roll the clip.
[02:10:08.831 --> 02:10:20.275]  The word sanctuary calls to mind someplace safe, but too often for families and victims affected by illegal immigrant crime, sanctuary cities are anything but safe.
[02:10:20.275 --> 02:10:27.957]  Instead, these cities are places that allow some criminals go free, undermine federal law enforcement, and make our communities less safe.
[02:10:32.890 --> 02:10:37.052]  Portland's next mayor is ready to defy our next president.
[02:10:37.052 --> 02:10:42.774]  Ted Wheeler says Portland will continue to be a sanctuary city for undocumented people.
[02:10:42.774 --> 02:10:48.977]  There's no place in this community for sexism or racism, religious intolerance or xenophobia.
[02:10:48.977 --> 02:10:58.121]  We want to make sure that women and people of color and people who've come to this country from other place feel safe and welcome in this community.
[02:10:58.121 --> 02:11:00.522]  Two violent attacks in one day.
[02:11:01.142 --> 02:11:08.587]  Both of these incidents appear to be stranger incidents, no connection to the victim, and incredibly violent.
[02:11:08.587 --> 02:11:17.793]  Sergio Martinez broke into a Northeast Portland home on Monday and raped a 65-year-old woman and after that assaulted another woman in a parking garage.
[02:11:17.793 --> 02:11:26.199]  We found out that 31-year-old Sergio Martinez has a long history of being deported to Mexico and then illegally re-entering the U.S.
[02:11:26.199 --> 02:11:28.961]  He's been deported 20 times to be exact.
[02:11:29.261 --> 02:11:35.404]  Martinez is being held on 13 charges, from kidnapping, to sex abuse, to assault in these attacks.
[02:11:35.404 --> 02:11:41.847]  Now, court documents indicate his first victim says she was tied up by him before he sexually abused her.
[02:11:41.847 --> 02:11:46.709]  COIN6 has found he's got a long arrest record, starting 15 years ago in California.
[02:11:46.709 --> 02:11:50.750]  He was convicted of burglary, battery, theft, and illegally entering the U.S.
[02:11:50.750 --> 02:11:53.712]  from Mexico at least 20 times after being deported.
[02:11:54.332 --> 02:11:59.136]  Court records show he's been living in Multnomah County for several months and says he's a transient.
[02:11:59.136 --> 02:12:04.000]  County records show he has nine failure-to-appear warrants going back several years.
[02:12:04.000 --> 02:12:11.266]  A question is whether these attacks could have been prevented if federal immigration agents were notified that Martinez was under arrest in the past.
[02:12:11.266 --> 02:12:20.653]  The Multnomah County Sheriff's Office tells me state law forbids them from using state resources for immigration enforcement and that's why they would not notify ICE, the U.S.
[02:12:20.653 --> 02:12:22.715]  Immigration and Customs Enforcement Agency.
[02:12:27.998 --> 02:12:32.203]  Absolutely incredible report.
[02:12:32.203 --> 02:12:34.205]  Absolutely incredible report.
[02:12:34.205 --> 02:12:37.889]  As I said, that is available on the Alex Jones Channel.
[02:12:37.889 --> 02:12:39.291]  That wall is getting built.
[02:12:39.291 --> 02:12:40.112]  It has to be built.
[02:12:40.112 --> 02:12:44.296]  At least the attempted illegal crossings are way down under Trump.
[02:12:44.296 --> 02:12:49.242]  That's another achievement that he doesn't get the praise he rightfully deserves for.
[02:12:50.353 --> 02:12:52.814]  So we'll be sure to continue to track that story.
[02:12:52.814 --> 02:12:54.975]  They tried to deport this guy 20 times.
[02:12:54.975 --> 02:12:57.135]  He came back to rape two women.
[02:12:57.135 --> 02:12:58.796]  God knows what else.
[02:12:58.796 --> 02:13:02.177]  Breaking news though about the North Korea situation which we talked about earlier.
[02:13:02.177 --> 02:13:06.419]  This is up on drudgereport.com out of the Washington Post.
[02:13:06.419 --> 02:13:11.340]  North Korea fires another missile, its latest step towards putting the US within reach.
[02:13:11.340 --> 02:13:18.443]  North Korea has taken another bold step towards achieving its stated goal of being able to send a nuclear weapon to the US mainland
[02:13:19.403 --> 02:13:22.785]  Can you imagine the panic if that becomes a reality?
[02:13:22.785 --> 02:13:29.190]  Firing another intercontinental ballistic missile late Friday and highlighting the regime's rapid technological progress.
[02:13:29.190 --> 02:13:37.355]  The missile flew almost straight for 45 minutes and reached a height of about 2,300 miles before crashing into the sea off Japan.
[02:13:37.355 --> 02:13:44.660]  But if it had been launched on a normal trajectory, the missile could theoretically have reached Denver
[02:13:45.385 --> 02:13:59.892]  And perhaps even Chicago experts said the latest provocation compounds a problem facing the Trump administration and North Korea's neighbors how to stop the regime of Kim Jong-un from making progress with its nuclear weapons program.
[02:13:59.892 --> 02:14:07.035]  Now given the fact that Donald Trump's approval rating as of today is at its lowest ever, 41%
[02:14:09.907 --> 02:14:11.388]  I mean, could he go wag the dog?
[02:14:11.388 --> 02:14:13.069]  That's the big question here.
[02:14:13.069 --> 02:14:30.940]  Although the polls that I've conducted, and most of my Twitter followers are obviously big Trump supporters, say that any potential attack on North Korea, or attempt to overthrow the dictatorship of North Korea, would be way more popular amongst Trump's base
[02:14:31.644 --> 02:14:41.007]  Than, for example, the attack on Syria, which wasn't popular amongst probably the slight majority of Trump's base, according to the polls.
[02:14:41.007 --> 02:14:59.114]  That North Korea attack, if it comes, will be more popular, it will be supported by more people, because again, you don't have the risk, although there's obviously a huge risk to South Korea, to other countries in the region, you wouldn't have the wider risk of extremists taking control of a country, taking control of nuclear weapons,
[02:14:59.932 --> 02:15:05.514]  Because you could have a conflagration with China, which could lead to World War 3.
[02:15:05.514 --> 02:15:21.738]  This is the situation we're dealing with, a potentially apocalyptic scenario, but still one that has more support amongst Trump's base, simply because of the horror stories that come out of North Korea and which have generally been proven true by the defectors who come over.
[02:15:21.738 --> 02:15:22.419]  200,000 people
[02:15:24.764 --> 02:15:38.752]  Political dissidents, not even criminals, political dissidents who have expressed thought crimes literally in gulags, literally in camps where the women give birth to babies and the guards immediately stamp them to death.
[02:15:38.752 --> 02:15:50.119]  This is a country where everybody by law has to have a radio in their apartment broadcasting government propaganda non-stop which can't be turned off.
[02:15:50.119 --> 02:15:53.521]  Can you imagine how Orwellian that is?
[02:15:53.521 --> 02:15:53.841]  This is
[02:15:55.161 --> 02:15:59.242]  Easily the most authoritarian country in the world.
[02:15:59.242 --> 02:16:03.203]  Its population is enslaved to a cult of dictatorship.
[02:16:03.203 --> 02:16:11.804]  That's why there is widespread support for actual regime change in this country, despite the potential consequences.
[02:16:11.804 --> 02:16:18.906]  Could we be moving closer towards that, given what has happened today with yet another North Korea missile launch, which they claim
[02:16:20.149 --> 02:16:25.534]  If it was on the right trajectory, it could have reached Denver or Chicago.
[02:16:25.534 --> 02:16:31.138]  Absolutely insane story breaking on this Friday afternoon.
[02:16:31.138 --> 02:16:36.803]  Moving on, though, we'll get back into the migrant crisis, as I said earlier, in a little while.
[02:16:36.803 --> 02:16:40.646]  But this is a big story which I mentioned earlier with Roger Stone.
[02:16:40.646 --> 02:16:46.731]  Report, top FBI lawyer James A. Baker under investigation for leaking classified info to media.
[02:16:47.464 --> 02:16:57.452]  FBI General Counsel James Baker, a Comey confidant, is allegedly under criminal investigation by the Department of Justice for leaking classified info to the media.
[02:16:57.452 --> 02:17:12.144]  Three sources with knowledge of the investigation told Circa that Baker is the top suspect in an ongoing leak investigation, but Circa has not been able to confirm the details of what national security information or material was allegedly leaked.
[02:17:13.078 --> 02:17:17.779]  So they finally zeroed in on one of these individuals responsible for the leaks.
[02:17:17.779 --> 02:17:21.160]  Of course, that's what Scaramucci was put there to do.
[02:17:21.160 --> 02:17:23.100]  He's promised to crack down on that.
[02:17:23.100 --> 02:17:26.501]  What will it take for these leaks to stop?
[02:17:26.501 --> 02:17:28.162]  Now they're even leaking on Scaramucci.
[02:17:28.162 --> 02:17:30.522]  He asked them for a period of grace.
[02:17:30.522 --> 02:17:33.483]  These traitors within the White House, he asked them for a honeymoon.
[02:17:33.483 --> 02:17:36.103]  That lasted all of, what, four days?
[02:17:36.103 --> 02:17:39.824]  Now they're leaking information on his financial history.
[02:17:39.824 --> 02:17:42.365]  But finally they've zeroed in on this one individual.
[02:17:43.027 --> 02:17:49.996]  Basically someone needs to be put in prison for a very long time and then you'll see the leaks dry up overnight.
[02:17:49.996 --> 02:17:52.539]  That's what Scaramucci's put there to do.
[02:17:52.539 --> 02:17:54.081]  But I mean is it too little too late?
[02:17:54.081 --> 02:18:00.008]  We have Pat Buchanan writing today, is Trump entering a kill box?
[02:18:00.008 --> 02:18:02.491]  This article is posted on InfoWars.com.
[02:18:03.280 --> 02:18:29.726]  Where he's talking about Jeff Sessions, where he's talking about the fact, as Roger Stone said earlier, the Mueller investigation now is basically very little to do with Russian collusion and everything to do with dredging up anything about Donald Trump, even from way before he even ran as a candidate, on his business, financial transactions, on who he rented apartments to, to find any speck of dirt.
[02:18:30.246 --> 02:18:40.235]  Which they can blow out of all proportions to start the ball rolling to not only delegitimize but eventually unseat and impeach President Trump.
[02:18:40.235 --> 02:18:41.776]  That's what this is about.
[02:18:41.776 --> 02:18:43.257]  It's a pure witch hunt.
[02:18:43.257 --> 02:18:46.039]  They've got no evidence whatsoever of Russian collusion.
[02:18:46.039 --> 02:18:47.301]  Meanwhile over at the DNC,
[02:18:48.570 --> 02:19:04.517]  You literally have people working within the IT systems, colluding with foreign governments, colluding with the Muslim Brotherhood, wiring $300,000 to Pakistan, smashing up hard drives, and Debbie Wasserman Schultz still employs them.
[02:19:04.517 --> 02:19:08.258]  Not only employs them, as Roger Stone said earlier, promotes them.
[02:19:08.258 --> 02:19:09.979]  Months after that becomes known.
[02:19:10.880 --> 02:19:16.487]  Absolutely mammoth, monumental scandal from within the DNC.
[02:19:16.487 --> 02:19:20.932]  Actual proof of collusion with a foreign government, with a foreign terrorist organisation.
[02:19:21.627 --> 02:19:22.648]  CNN?
[02:19:22.648 --> 02:19:24.409]  Nothing whatsoever to say about it.
[02:19:24.409 --> 02:19:39.237]  This is how they control reality by just ignoring, blacklisting the biggest scandal, one of the biggest scandals, if not the biggest scandal politically this year, being completely blacklisted.
[02:19:39.237 --> 02:19:41.318]  But we're going to continue talking about it.
[02:19:41.318 --> 02:19:50.343]  But again, that investigation into Trump, any single speck of dirt they can find, nothing to do with Russian collusion, they will use it.
[02:19:51.443 --> 02:19:53.687]  To impeach, to indict President Trump.
[02:19:53.687 --> 02:19:54.608]  That's where it's going.
[02:19:54.608 --> 02:19:57.593]  That was the agenda from the very beginning.
[02:19:57.593 --> 02:20:02.180]  We'll be back on the Alex Jones Show live to talk about the latest with the migrant crisis.
[02:20:02.180 --> 02:20:03.803]  BreakingNewsInfoWars.com.
[02:20:03.803 --> 02:20:04.965]  Don't go away.
[02:20:06.508 --> 02:20:11.629]  A great president once said, the nine most feared words in the English language.
[02:20:11.629 --> 02:20:14.329]  I am from the government and I am here to help.
[02:20:14.329 --> 02:20:17.550]  Adequacy of loss, absorbing capacity.
[02:20:17.550 --> 02:20:18.830]  You call that help?
[02:20:18.830 --> 02:20:21.031]  That's the mandate approved by the G20.
[02:20:21.031 --> 02:20:23.131]  The banks can steal your money!
[02:20:23.131 --> 02:20:25.291]  Well, they can't steal your gold and silver.
[02:20:25.291 --> 02:20:34.293]  That you fully control, you can have it delivered into an IRA at a depository under lock and key, where you can hide it, where no one can find it, not even your wife.
[02:20:34.293 --> 02:20:34.653]  What?
[02:20:35.013 --> 02:20:36.054]  Sorry, honey.
[02:20:36.054 --> 02:20:40.657]  Your CDs, money market accounts, and savings accounts are all at risk!
[02:20:40.657 --> 02:20:45.381]  Call GSI Exchange at 800-474-9159.
[02:20:45.381 --> 02:20:48.863]  We have 75 years of market experience.
[02:20:48.863 --> 02:20:51.625]  A-plus rated with the Better Business Bureau.
[02:20:51.625 --> 02:20:52.006]  800-474-9159.
[02:20:52.006 --> 02:20:54.428]  Call now and get a free Bank Failure Survival Guide.
[02:21:00.452 --> 02:21:00.492]  800-474-9159
[02:21:05.734 --> 02:21:11.355]  Today, I'm excited to announce that a new limited shipment of DNA Force has finally arrived at the M4's warehouse in Austin, Texas.
[02:21:11.355 --> 02:21:19.897]  We have thousands of listeners on the waiting list who've signed up for AutoShip to receive out-of-stock products like DNA Force, and we are now once again expected to sell out very, very soon.
[02:21:19.897 --> 02:21:27.839]  And when it comes to a formula that is such a game-changer like DNA Force, we never know when we will be able to secure an additional supply of the key ingredients.
[02:21:27.839 --> 02:21:33.921]  The secret behind DNA Force is its powerful lineup of patented ingredients like CoQ10, systematic enzymes,
[02:21:34.281 --> 02:21:37.322]  NAR, lipoic acid, BioPQQ, and many others.
[02:21:37.322 --> 02:21:42.002]  BioPQQ alone is backed by an unprecedented 175 clinical studies.
[02:21:42.002 --> 02:21:45.743]  And just one batch of this stuff costs us more than $30,000.
[02:21:45.743 --> 02:21:48.443]  Visit InfoWarsLife.com and read the reviews for yourself.
[02:21:48.443 --> 02:21:56.545]  Over 700 reviews have given DNA Force an unheard of 4.8 out of 5 stars through our third-party certified review agency, Power Review.
[02:21:56.545 --> 02:22:02.086]  Take advantage of this new limited shipment and get DNA Force today at InfoWarsLife.com before it sells out again.
[02:22:02.086 --> 02:22:03.486]  That's InfoWarsLife.com.
[02:22:05.120 --> 02:22:14.668]  You want to save money in a place that gives you growth, control, and certainty without stock market risk or tax risk, and you want guarantees, and you want it all tax-free.
[02:22:14.668 --> 02:22:15.869]  That's a tall order.
[02:22:15.869 --> 02:22:20.613]  But you can get all of that with properly designed participating whole life insurance.
[02:22:20.613 --> 02:22:23.475]  Most people think life insurance pays after you're dead.
[02:22:23.475 --> 02:22:24.296]  That's true.
[02:22:24.296 --> 02:22:28.819]  But you can have tax-free access to use your life insurance while you're alive.
[02:22:28.819 --> 02:22:30.921]  Get the free book to find out how.
[02:22:30.921 --> 02:22:31.061]  Call 702-660-7000.
[02:22:34.904 --> 02:22:41.329]  KD Armor has been on a mission to manufacture the most comfortable body armor on the market, and we've succeeded.
[02:22:41.329 --> 02:22:48.394]  With the release of our CQB technology, we now offer the most comfortable, concealable, rifle-threat body armor available.
[02:22:48.394 --> 02:22:52.277]  Things may look good now, but what if you need added protection?
[02:22:52.277 --> 02:22:57.520]  Get your very own concealable rifle-threat armor today at kdarmor.com.
[02:22:57.520 --> 02:23:03.084]  And for a limited time, get all plates at wholesale pricing only at katiarmor.com.
[02:23:04.938 --> 02:23:06.900]  Heart disease is on the rise.
[02:23:06.900 --> 02:23:12.204]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[02:23:12.204 --> 02:23:13.786]  But the symptoms are there.
[02:23:13.786 --> 02:23:22.153]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[02:23:22.153 --> 02:23:27.838]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[02:23:27.998 --> 02:23:29.820]  My blood pressure has normalized.
[02:23:29.820 --> 02:23:31.962]  My diabetes has totally improved.
[02:23:31.962 --> 02:23:36.506]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[02:23:36.506 --> 02:23:38.688]  I recommend Heart and Body Extract to everyone.
[02:23:38.688 --> 02:23:46.495]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[02:23:47.096 --> 02:23:47.396]  We're good.
[02:24:20.322 --> 02:24:22.544]  We are back live on the Alex Jones Show.
[02:24:22.544 --> 02:24:29.591]  Before we get back into the news, I want to tell you about an exciting new product at infowarslife.com.
[02:24:29.591 --> 02:24:35.237]  It is the new True Whey Protein and it's available right now for 25% off retail.
[02:24:35.237 --> 02:24:37.659]  That's just £29.95.
[02:24:37.659 --> 02:24:40.021]  Introductory pricing at infowarslife.com.
[02:24:40.021 --> 02:24:42.584]  This is the ultimate protein pack.
[02:24:43.448 --> 02:24:46.589]  25% off of Caveman and True Whey Protein.
[02:24:46.589 --> 02:24:48.650]  This is a grass-fed whey protein.
[02:24:48.650 --> 02:24:52.451]  It's available now in 4WarsLife.com in a very limited first run.
[02:24:52.451 --> 02:25:00.313]  In 4WarsLife, True Whey Protein contains all nine essential amino acids your body needs, but cannot produce itself.
[02:25:00.313 --> 02:25:04.754]  It's considered a complete protein and is also low in lactose content.
[02:25:04.754 --> 02:25:11.436]  Whey protein, a byproduct of milk and cheese, was promoted for its health benefits as early as 420 BC.
[02:25:11.436 --> 02:25:11.956]  At that time,
[02:25:12.918 --> 02:25:25.191]  They recommend whey to patients and besides providing all of the essential amino acids your body needs, the high-quality grass-fed whey protein also contains three ingredients of particular importance for health.
[02:25:25.191 --> 02:25:27.513]  And it's available at InfoWarsLife.com.
[02:25:27.513 --> 02:25:32.479]  Of course, if you're into weightlifting, bodybuilding or just, you know, staying in shape,
[02:25:33.283 --> 02:25:39.828]  You need protein as part of your diet, an additional source of protein, and we have it.
[02:25:39.828 --> 02:25:41.309]  It is True Whey Protein.
[02:25:41.309 --> 02:25:48.554]  It's available right now in 4WarsLife.com for that special low introductory price of £29.95.
[02:25:48.554 --> 02:25:52.216]  That's a 25% discount.
[02:25:52.216 --> 02:25:54.157]  Available right now in 4WarsLife.com.
[02:25:54.157 --> 02:25:56.259]  We also have the free shipping store-wide.
[02:25:57.116 --> 02:25:59.297]  Free shipping on absolutely everything.
[02:25:59.297 --> 02:26:03.438]  That's not going to be in place for much longer, so be sure to stock up.
[02:26:03.438 --> 02:26:05.079]  Save a ton of money on that.
[02:26:05.079 --> 02:26:08.000]  We also have the last week of July specials.
[02:26:08.000 --> 02:26:13.902]  Huge discounts on a ton of products, including the Conservatism is the new counterculture.
[02:26:13.902 --> 02:26:15.502]  Mugs, the coffee mugs.
[02:26:15.502 --> 02:26:23.605]  Chunky, high-quality coffee mugs that really are conversation starters and liberal triggers.
[02:26:24.458 --> 02:26:29.223]  Absolutely essential product and that's available at 33% off for either one.
[02:26:29.223 --> 02:26:29.923]  Both are great.
[02:26:29.923 --> 02:26:31.505]  Two different designs.
[02:26:31.505 --> 02:26:33.447]  Conservatism is a new counterculture.
[02:26:33.447 --> 02:26:36.570]  CoffeeMug at InfoWarsStore.com.
[02:26:36.570 --> 02:26:38.672]  Please support us today.
[02:26:38.672 --> 02:26:40.053]  We really appreciate it.
[02:26:40.053 --> 02:26:44.297]  You've really come through for us, especially over the past six, seven months when the attacks
[02:26:44.924 --> 02:26:57.770]  In the aftermath of the election, were more intense than ever before, and you've had our back at every single point by getting the products at infowarsstore.com.
[02:26:57.770 --> 02:27:00.311]  Let's dip back into some news right now.
[02:27:00.311 --> 02:27:10.696]  Of course, there was the big New Yorker article last night, where Scaramucci came out and basically threw some shade at Bannon, used some swear words, God forbid, said the F word,
[02:27:11.388 --> 02:27:13.089]  Well now he's regretting that today.
[02:27:13.089 --> 02:27:17.232]  The Daily Caller reports, never should have trusted a reporter.
[02:27:17.232 --> 02:27:20.315]  Scaramucci responds to the New Yorker piece.
[02:27:20.315 --> 02:27:27.920]  White House Communications Director Antony Scaramucci responded to a Thursday New Yorker piece by saying he should never have trusted a reporter.
[02:27:27.920 --> 02:27:38.728]  Scaramucci's tweet implied that he would not make that mistake again after a New Yorker piece on Scaramucci featured numerous quotes from him about White House leaks after he unloaded on a reporter during a phone call.
[02:27:39.682 --> 02:27:42.545]  Quote, I made a mistake entrusting a reporter, it won't happen again.
[02:27:42.545 --> 02:28:00.303]  So Scaramucci basically called up this reporter as part of his mission to try and identify leakers because this reporter had got something from someone within the administration about a private dinner that Trump had had with First Lady Melania Trump, Sean Hannity of Fox News and Bill Shine.
[02:28:01.235 --> 02:28:05.118]  This was leaked to the New Yorker reporter Ryan Lizza.
[02:28:05.118 --> 02:28:06.819]  So Scaramucci called him.
[02:28:06.819 --> 02:28:07.640]  He was incensed.
[02:28:07.640 --> 02:28:11.222]  He wanted to know the identity of the leaker.
[02:28:11.222 --> 02:28:12.103]  Different claims.
[02:28:12.103 --> 02:28:14.604]  Scaramucci thinks the conversation was off record.
[02:28:14.604 --> 02:28:17.787]  The New Yorker reporter obviously thinks it was on record.
[02:28:17.787 --> 02:28:21.169]  That's what started this scandal which broke last night.
[02:28:21.169 --> 02:28:22.430]  Not really a scandal.
[02:28:22.430 --> 02:28:25.272]  Another nothing burger.
[02:28:25.272 --> 02:28:26.053]  Trump Jr.
[02:28:26.053 --> 02:28:26.953]  Donald Trump Jr.
[02:28:26.953 --> 02:28:27.854]  tweeted this today.
[02:28:28.889 --> 02:28:34.080]  Shocked the media is going after at Scaramucci for working to cut off their sources and leaks.
[02:28:34.080 --> 02:28:37.467]  All I know is that he isn't, wasn't the lead.
[02:28:37.467 --> 02:28:37.968]  So that...
[02:28:39.005 --> 02:28:40.346]  Really encapsulates it.
[02:28:40.346 --> 02:29:04.467]  That's why they hate Scaramucci, because if he is successful in cracking down on these leakers, in putting some of them in prison, at least firing them for the time being, that's it for the New York Times, that's it for the Washington Post, that's it for the New Yorker in terms of leaks from these traitors, from these turncoats, from these never-Trumpers, from these Obama holdovers within the administration.
[02:29:05.023 --> 02:29:32.900]  And at that point, Trump can then get on the offensive and push forward with the narrative of his agenda, the successes that he's had, which is obviously the economy, the illegal border crossings being down, moving towards building the wall, etc., etc., not obsessing about hysterical, nothing-burger Russian conspiracy theories and all this backbiting between individuals within the administration that don't have Trump's back.
[02:29:33.780 --> 02:29:35.721]  That's why they hate Scaramucci.
[02:29:35.721 --> 02:29:39.824]  That's why they're now trying to bring him down as well.
[02:29:39.824 --> 02:29:41.525]  Absolutely incredible.
[02:29:41.525 --> 02:29:43.947]  We'll be back in the next segment of the Alex Jones Show.
[02:29:43.947 --> 02:29:46.088]  I'm going to get into the migrant crisis.
[02:29:46.088 --> 02:29:47.549]  Huge news with that.
[02:29:47.549 --> 02:29:48.410]  Don't go anywhere.
[02:29:48.410 --> 02:29:50.411]  Breaking news at Infowars.com.
[02:29:50.411 --> 02:29:55.254]  We'll be back.
[02:29:55.254 --> 02:29:56.655]  We're on the march.
[02:29:56.655 --> 02:29:59.177]  The empire's on the run.
[02:29:59.177 --> 02:30:01.859]  Alex Jones and the GCN Radio Network.
[02:30:07.222 --> 02:30:08.803]  Duty, honor, country.
[02:30:08.803 --> 02:30:15.005]  Those three hallowed words reverently dictate what you ought to be, what you can be, what you will be.
[02:30:15.005 --> 02:30:17.266]  They are your rallying points.
[02:30:17.266 --> 02:30:19.727]  To build courage when courage seems to fail.
[02:30:19.727 --> 02:30:23.248]  To regain faith when there seems to be little cause for faith.
[02:30:23.248 --> 02:30:26.069]  To create hope when hope becomes forlorn.
[02:30:26.269 --> 02:30:35.215]  Unhappily, I possess neither that eloquence of dictation, that poetry of imagination, nor that brilliance of metaphor to tell you all that they mean.
[02:30:35.215 --> 02:30:39.958]  The unbelievers will say they are but words, but a slogan, but a flamboyant phrase.
[02:30:39.958 --> 02:30:42.500]  Every demagogue, every cynic, every hypocrite,
[02:30:42.500 --> 02:30:43.300]  We're good to go.
[02:31:07.009 --> 02:31:16.115]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[02:31:16.115 --> 02:31:24.500]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[02:31:24.500 --> 02:31:29.403]  We have now managed to secure these sought-after beans in a highly customized blend.
[02:31:29.403 --> 02:31:35.787]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[02:31:36.167 --> 02:31:43.334]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[02:31:43.334 --> 02:31:50.380]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[02:31:50.380 --> 02:31:54.864]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
