[00:00:13.151 --> 00:00:16.192]  Welcome to this live edition of the InfoWars Nightly News.
[00:47:18.549 --> 00:47:30.895]  And since I got into iodine four years ago, we've helped change the entire paradigm by developing and bringing to the public deep earth crystals from 7,000 to 12,000 feet of the purest iodine available.
[00:47:31.095 --> 00:47:36.216]  Other iodine comes from the ocean or from other byproducts of chemical facilities, and it's tainted.
[00:47:36.336 --> 00:47:37.676]  It's bound.
[00:47:37.957 --> 00:47:38.957]  It's not absorbable.
[00:47:39.357 --> 00:47:43.938]  I tried it, and I had incredible effects, even with dirty iodine, because the body needs it.
[00:47:44.158 --> 00:47:49.059]  When you don't have iodine, it absorbs the chlorine, the fluoride, and all these other bad halogens.
[00:47:49.539 --> 00:47:54.440]  Do yourself and your family a favor and check out the importance of iodine for yourself.
[00:47:54.520 --> 00:47:55.680]  I think you're going to be blown away.
[00:47:55.840 --> 00:47:58.421]  And whatever you do, support the broadcast and get a bottle.
[00:47:58.581 --> 00:47:58.901]  Of course!
[00:48:21.425 --> 00:48:24.065]  You've got to have vitamin C. You've got to have iodine to live.
[00:48:24.085 --> 00:48:25.106]  You've got to have water to live.
[00:48:25.426 --> 00:48:26.146]  Iodine is key.
[00:48:26.186 --> 00:48:26.786]  You must have it.
[00:48:27.146 --> 00:48:34.687]  But consult your physician first before you get powerful survival shield nascent iodine X2 at Infowarslife.com or call toll free.
[00:48:34.707 --> 00:48:35.587]  We can answer your questions.
[00:48:35.607 --> 00:48:37.028]  888-253-3139.
[00:48:37.628 --> 00:48:41.748]  Welcome back to this live edition of the Infowars Nightly News.
[00:48:41.828 --> 00:48:50.510]  I'm David Knight and of course we're doing a 13-hour broadcast because Google's surrogate, Adroll, has informed us that they will no longer allow our ads to go out.
[00:48:51.055 --> 00:48:54.719]  And as I reported earlier in the broadcast, they're taking down our videos with millions of views.
[00:48:54.739 --> 00:48:56.041]  They're putting some of them as restricted.
[00:48:56.101 --> 00:48:56.581]  Why is it?
[00:48:56.982 --> 00:48:58.663]  It's because we are at a crossroads.
[00:48:58.683 --> 00:48:59.464]  We're at a turning point.
[00:48:59.504 --> 00:49:03.308]  This is something that the globalists have been working towards for a long time.
[00:49:03.369 --> 00:49:05.631]  The 2020 to 2030 timeframe.
[00:49:05.651 --> 00:49:08.995]  They've had so many disruptive things that they want to do in this timeframe.
[00:49:09.727 --> 00:49:10.568]  Many of us see it.
[00:49:10.849 --> 00:49:11.830]  We're trying to wake you up.
[00:49:11.850 --> 00:49:13.352]  We're not trying to control your minds.
[00:49:13.372 --> 00:49:15.054]  We're trying to awaken your minds.
[00:49:15.074 --> 00:49:16.176]  We're trying to inform you.
[00:49:16.716 --> 00:49:18.258]  That's why they're shutting us down.
[00:49:18.659 --> 00:49:24.146]  And I want to talk about this civil war that is developing, not only in terms of people talking about secession,
[00:49:24.947 --> 00:49:29.128]  Not only in North Carolina, but in California and other places, we're seeing this increasing talk.
[00:49:29.148 --> 00:49:32.269]  We're seeing a civil war that is developing in the streets.
[00:49:32.329 --> 00:49:34.549]  We're also seeing a civil war in Congress.
[00:49:34.589 --> 00:49:37.950]  We see the GOP fighting so much they won't get anything done.
[00:49:37.990 --> 00:49:47.232]  And even within the Trump administration, even on something as innocuous as stopping this insane transgender bathroom lunacy, we have a fight.
[00:49:47.952 --> 00:49:49.854]  With the people that Donald Trump himself just picked.
[00:49:49.914 --> 00:49:55.919]  Of course, he's got Attorney General Sessions and then the Department of Education Supervisor Betsy DeVos.
[00:49:55.939 --> 00:49:56.880]  First of all, what has happened?
[00:49:56.900 --> 00:50:02.365]  Daily Caller reports that Trump readies reversal of the transgender bathroom lunacy in the public schools.
[00:50:02.385 --> 00:50:13.534]  They say Trump's administration appears poised to overturn this vague Obama administration order that allows transgender students in America's taxpayer-funded schools to use bathrooms and locker rooms of their choice.
[00:50:14.355 --> 00:50:21.400]  White House Press Secretary Sean Spicer suggested yesterday that Trump will abandon Obama's transgender bathroom mandate.
[00:50:21.420 --> 00:50:23.821]  He said this is a state's rights issue.
[00:50:24.262 --> 00:50:25.603]  It is not one for the federal government.
[00:50:25.703 --> 00:50:26.603]  He's absolutely right.
[00:50:27.023 --> 00:50:33.408]  Regardless of what you think about the bathroom issue, this is not the authority of the federal government.
[00:50:34.073 --> 00:50:39.896]  First of all, it's a very bad idea to have this kind of micromanagement from the federal government about anything.
[00:50:39.936 --> 00:50:41.337]  Why would you ever want to have that?
[00:50:41.917 --> 00:50:47.680]  And as we pointed out earlier, do you really want to have one dictator and then four years later we get a different dictator who changes all the rules?
[00:50:47.720 --> 00:50:49.061]  We don't want to have that.
[00:50:49.121 --> 00:50:52.162]  We want to be able to have some continuity and some sanity in our lives.
[00:50:52.642 --> 00:50:57.823]  We want to be able to control our lives at a local level, not send everything to Washington.
[00:50:57.843 --> 00:51:03.604]  But of course, under the Constitution that gives them authority, they have no authority to do this.
[00:51:03.904 --> 00:51:11.006]  They have no authority to dictate what the bathroom rules are, any more than they have any authority to throw people in jail for selling and using drugs.
[00:51:12.096 --> 00:51:14.737]  We had to have an amendment to the Constitution to prohibit alcohol.
[00:51:15.037 --> 00:51:17.298]  Where is the amendment to prohibit any of this stuff?
[00:51:17.738 --> 00:51:23.101]  Where did they overthrow the idea that we have to actually have due process before they can take our property?
[00:51:23.701 --> 00:51:27.583]  But of course, conservatives have fallen in line behind civil asset forfeiture.
[00:51:28.433 --> 00:51:33.335]  And they have said, that's fine, you don't have any property rights if we say it's in the best interest of the drug war.
[00:51:33.375 --> 00:51:34.175]  Let me tell you something.
[00:51:34.915 --> 00:51:37.736]  If you don't own property, you are the property.
[00:51:38.116 --> 00:51:39.136]  You are the property.
[00:51:39.196 --> 00:51:41.557]  You are a slave if you're not allowed to own property.
[00:51:41.797 --> 00:51:50.860]  If you revoke our rights to due process, if you say you can take my property without ever even charging me with a crime, charging the property with a crime, we are slaves.
[00:51:51.540 --> 00:51:53.121]  But let's go back to this transgender issue.
[00:51:53.201 --> 00:51:53.701]  It is not
[00:51:54.381 --> 00:51:55.161]  A federal issue.
[00:51:55.181 --> 00:51:57.422]  There is no authority for the federal government to do this.
[00:51:57.442 --> 00:52:02.525]  And I don't care if you want to go back to the Commerce Clause or you want to talk about the General Welfare Clause.
[00:52:03.365 --> 00:52:05.986]  That was something that was in the Constitution from the very beginning.
[00:52:06.326 --> 00:52:11.328]  James Madison and the others who put in the Bill of Rights said we are concerned that there might be some wiggle room in here.
[00:52:11.368 --> 00:52:16.531]  We want to make it abundantly clear that they do not have the authority under the 9th and 10th Amendment.
[00:52:16.551 --> 00:52:20.732]  They said you do not have the authority unless it is expressly given to you to do something.
[00:52:20.792 --> 00:52:21.393]  That's why
[00:52:22.153 --> 00:52:24.774]  They created an amendment to prohibit alcohol.
[00:52:25.135 --> 00:52:26.655]  But we don't have that kind of government anymore.
[00:52:26.735 --> 00:52:34.920]  We have a government that uses the Constitution merely as window dressing and then when they become, when they get elected to office, they wipe their rear end with it.
[00:52:35.600 --> 00:52:40.863]  So now they're telling us how we can and where we can wipe our rear ends in terms of transgender bathrooms.
[00:52:41.383 --> 00:52:45.349]  They say Trump's policy is worlds apart from the Obama administration guidelines.
[00:52:45.389 --> 00:52:49.215]  Of course it is, because now we're in a situation where we're just running by executive order.
[00:52:49.235 --> 00:52:54.624]  Except that the Trump people and Attorney General Sessions is doing the right thing on this.
[00:52:55.560 --> 00:53:03.644]  They say a school's failure to treat students consistent with their gender identity may create or contribute to a hostile environment in violation of Title IX.
[00:53:03.724 --> 00:53:05.765]  That was what the Obama administration said.
[00:53:05.785 --> 00:53:07.886]  Now Title IX is a law that goes back to 1972.
[00:53:08.226 --> 00:53:15.410]  So for 45 years, 45 years, we didn't have a hostile environment in our bathrooms until Barack Obama noticed that.
[00:53:16.363 --> 00:53:22.184]  Then we had a hostile environment, and they said, we're going to withdraw some of the money that we have addicted you to.
[00:53:22.304 --> 00:53:23.885]  See, that's another kind of addiction, isn't it?
[00:53:24.605 --> 00:53:30.246]  That the states have become addicted to this money from the federal government that's printed by the Federal Reserve, and they don't have to have anything backing it up.
[00:53:30.886 --> 00:53:37.327]  And now we've had the response from the Executive Director of the National Center for Transgender Equality saying, this is about kids who want to go to school, who just want to be themselves.
[00:53:37.347 --> 00:53:37.847]  Well, you know what?
[00:53:37.927 --> 00:53:40.988]  It's also about children who don't want to be subjected to
[00:53:42.082 --> 00:53:50.928]  Voyeurs or exhibitionists, it's about people who don't want to put themselves in a situation where they're at a greater risk of being molested sexually.
[00:53:51.248 --> 00:53:52.629]  That's why we have the restrooms like that.
[00:53:52.649 --> 00:53:53.950]  That's why it's always been done that way.
[00:53:54.390 --> 00:53:56.652]  But it is not a federal issue.
[00:53:57.172 --> 00:54:01.995]  And this was done one day, one day after Jeff Sessions became Attorney General.
[00:54:02.075 --> 00:54:03.096]  He put this information out.
[00:54:03.596 --> 00:54:08.019]  One day after he was sworn in, the Justice Department sought permission to delay a hearing on a motion.
[00:54:08.039 --> 00:54:13.262]  Now this was going to be, the federal government was trying to fight this, and he says, no, we don't want to fight this.
[00:54:13.443 --> 00:54:19.767]  Nevertheless, as they went through the process, the New York Times reports that a fight has erupted within the Trump administration.
[00:54:20.507 --> 00:54:22.169]  Over transgender student rights.
[00:54:22.309 --> 00:54:28.994]  So they say, even though Attorney General Sessions was against it, Betsy DeVos wanted to retain the rule.
[00:54:29.755 --> 00:54:29.975]  Ms.
[00:54:29.995 --> 00:54:40.444]  DeVos initially resisted signing off on overturning this and told President Trump she was uncomfortable overturning it, according to three Republicans with direct knowledge of the internal discussions.
[00:54:41.044 --> 00:54:46.612]  Mr. Sessions reports the New York Times, who strongly opposes expanding these rights, as they put it.
[00:54:46.953 --> 00:54:49.497]  They say these are gay, lesbian, and transgender rights.
[00:54:49.517 --> 00:54:50.738]  This is the New York Times talking.
[00:54:50.758 --> 00:54:51.520]  I understand that.
[00:54:52.389 --> 00:54:53.709]  Mr. Sessions fought Ms.
[00:54:53.729 --> 00:54:58.310]  DeVos on the issue and pressed her to relent because he could not go forward without her consent.
[00:54:58.470 --> 00:54:59.971]  He's trying to follow the law.
[00:55:01.011 --> 00:55:03.951]  The order must come from the Justice and the Education Departments.
[00:55:04.431 --> 00:55:07.832]  Eventually, Mr. Trump sided with his attorney general, these Republicans said, telling Ms.
[00:55:07.852 --> 00:55:13.673]  DeVos in a meeting in the Oval Office on Tuesday that he wanted her to drop her objections and Ms.
[00:55:13.693 --> 00:55:18.834]  DeVos, faced with a choice of resigning or defying the President, has agreed to go along.
[00:55:18.894 --> 00:55:21.195]  The Justice Department declined to comment on Wednesday.
[00:55:22.213 --> 00:55:25.954]  And I hate to say I told you so, but I told you so about Betsy DeVos.
[00:55:25.994 --> 00:55:28.275]  This is a woman who is a part of the educational establishment.
[00:55:28.495 --> 00:55:30.516]  She is a part of the GOP establishment.
[00:55:31.176 --> 00:55:36.939]  She hung out with Jeb Bush and the organizations that she funded and ran, pushed Common Core.
[00:55:36.999 --> 00:55:37.959]  We saw this happening.
[00:55:37.999 --> 00:55:38.819]  She is a statist.
[00:55:39.039 --> 00:55:40.320]  She is part of the establishment.
[00:55:40.700 --> 00:55:51.104]  And we cannot expect this woman, who thinks that the Education Department, which should not even exist, that this Department of Education should tell us how and where we can go to the bathroom.
[00:55:51.923 --> 00:55:53.745]  There shouldn't even be a Department of Education.
[00:55:53.765 --> 00:55:56.989]  There's no authority in the Constitution for a Department of Education.
[00:55:57.009 --> 00:55:59.151]  Of course, she's not going to shut that down.
[00:55:59.171 --> 00:56:03.096]  She wants to hang on to every last shred of power that she has.
[00:56:03.476 --> 00:56:06.339]  But on the positive side, I want to take a look at what's going on in the EPA.
[00:56:07.000 --> 00:56:08.181]  Now, we think that this is positive.
[00:56:08.201 --> 00:56:10.722]  Of course, the liberals are having a fit about this.
[00:56:12.282 --> 00:56:17.945]  Forbes says online that Scott Pruitt laid out a vision for the EPA that contradicts its very mission.
[00:56:18.485 --> 00:56:19.185]  No, he didn't.
[00:56:19.925 --> 00:56:20.446]  No, he didn't.
[00:56:21.086 --> 00:56:26.648]  The EPA contradicts the Constitution and tries to destroy entire industries.
[00:56:26.708 --> 00:56:27.949]  That is not its job.
[00:56:28.729 --> 00:56:41.655]  Okay, new Environmental Protection Agency Administrator Scott Pruitt addressed the EPA staff and the media yesterday, and in a speech lasting less than 15 minutes, says Forbes, he spoke mostly about protecting jobs, industry, and the marketplace.
[00:56:41.875 --> 00:56:44.797]  Oh yeah, they said, and the environment too, sarcastically.
[00:56:45.337 --> 00:56:47.198]  He spent a fair amount of time, says Forbes,
[00:56:48.178 --> 00:56:50.260]  Suing the very federal agency that he now heads.
[00:56:50.420 --> 00:56:50.820]  Why?
[00:56:50.900 --> 00:56:52.402]  Because they exceeded their authority.
[00:56:53.062 --> 00:56:58.006]  Because we have bureaucracies that the Congress has abdicated its authority to.
[00:56:58.046 --> 00:57:00.568]  These bureaucracies create law.
[00:57:01.169 --> 00:57:02.129]  They are not elected.
[00:57:02.330 --> 00:57:05.052]  We have legislation without representation.
[00:57:05.592 --> 00:57:06.553]  They create fines.
[00:57:06.593 --> 00:57:08.415]  We have taxation without representation.
[00:57:08.455 --> 00:57:11.557]  They don't care if the fines are excessive because they say these are rules.
[00:57:11.577 --> 00:57:12.138]  They're civil.
[00:57:12.558 --> 00:57:14.620]  So you don't get Sixth Amendment protection.
[00:57:15.220 --> 00:57:22.671]  And of course they act as their own police force, their own trial agencies where you don't have the presumption of innocence.
[00:57:23.312 --> 00:57:28.018]  Now they point out that in the speech he didn't talk about the word climate.
[00:57:28.279 --> 00:57:29.681]  Never mentioned it in 15 minutes.
[00:57:29.801 --> 00:57:30.041]  Why?
[00:57:30.822 --> 00:57:32.062]  Well, I think that's very good news.
[00:57:32.523 --> 00:57:33.583]  I think that is very good news.
[00:57:33.603 --> 00:57:36.164]  Look, you have to understand these climate models have failed.
[00:57:36.744 --> 00:57:39.344]  In the few areas that we can test them, they have failed.
[00:57:40.205 --> 00:57:44.046]  And in most of these areas, they can't be validated because they've got such a long timetable.
[00:57:44.806 --> 00:57:46.046]  The measurements have been rigged.
[00:57:46.707 --> 00:57:56.149]  They don't understand what tolerances are when they say that we can, the planet is going to burst into flames if we have a one degree increase, all the icebergs are going to melt and so forth.
[00:57:56.509 --> 00:57:57.930]  They don't have that kind of accuracy.
[00:57:58.530 --> 00:58:02.012]  And of course they're playing games in terms of rigging the temperatures.
[00:58:02.272 --> 00:58:09.477]  So it's a great thing that we have a head of the EPA who is now going to reverse this.
[00:58:09.657 --> 00:58:11.418]  Again, you want to live by executive order?
[00:58:11.438 --> 00:58:13.999]  You want to live by bureaucracy that just sets the rules?
[00:58:14.039 --> 00:58:15.420]  Well now those rules are going to be reset.
[00:58:15.440 --> 00:58:17.782]  But of course, they're going to come after him very hard.
[00:58:17.802 --> 00:58:22.825]  They're already coming after him saying that he has ties to the industry, that he's supposed to regulate.
[00:58:23.425 --> 00:58:25.127]  What about the Obama administration?
[00:58:25.147 --> 00:58:30.813]  Did you ever hear anything about them and their ties to the solar industry or their subsidy of Elon Musk?
[00:58:30.833 --> 00:58:32.995]  They picked the winners and the losers.
[00:58:33.355 --> 00:58:34.997]  They overstepped their authority.
[00:58:35.177 --> 00:58:36.558]  He sued them to stop that.
[00:58:37.426 --> 00:58:45.674]  It is the duty of a regulator to ask people what the effects are and what the alternatives are, and that's what we find in these emails that they're so excited about.
[00:58:46.075 --> 00:58:47.096]  Stay with us when we come back.
[00:58:47.196 --> 00:58:49.098]  Alex Jones is going to be taking your calls.
[00:58:49.398 --> 00:58:57.547]  He's going to have a, actually, he's not going to be taking calls, it's going to be an AMA, and he's going to be responding to you asking him anything.
[00:58:57.587 --> 00:58:58.347]  We'll be right back.
[00:58:58.367 --> 00:58:58.748]  Stay with us.
[00:59:07.642 --> 00:59:13.446]  In the past decade, we have witnessed unparalleled scientific discoveries in the area of health.
[00:59:13.907 --> 00:59:23.614]  But no one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:59:23.934 --> 00:59:27.695]  DNA Force is one of the most expensive formulas to produce.
[00:59:28.235 --> 00:59:32.917]  Some of the ingredients in DNA Force are $12,000 a kilogram.
[00:59:33.297 --> 00:59:39.519]  We are using the coveted, patented, only American source of PQQ, CoQ10, and more.
[00:59:39.839 --> 00:59:42.119]  You want the best that's out there at the lowest price anywhere?
[00:59:42.779 --> 00:59:45.220]  Well, we're bringing you a total win-win.
[00:59:45.620 --> 00:59:51.102]  The ultimate value, cutting-edge, trailblazing game-changer that also supports the Infowar.
[00:59:51.562 --> 00:59:58.228]  We have produced a limited run of DNA Force and it will take up to 12 weeks to produce more once we sell out.
[00:59:58.568 --> 01:00:03.352]  Secure your DNA Force today at InfoWarsLife.com or call toll free 888-253-3139.
