[00:00:10.057 --> 00:00:12.118]  The Matrix is everywhere.
[02:00:22.991 --> 02:00:25.513]  And just a touch of sadness in her fingers.
[02:00:25.753 --> 02:00:28.996]  Just a touch of sadness in her fingers.
[02:00:29.676 --> 02:00:31.858]  Women's will.
[02:00:32.118 --> 02:00:35.581]  Thunder and lightning in her thighs.
[02:00:36.281 --> 02:00:38.223]  Waging war on corruption.
[02:00:38.543 --> 02:00:39.624]  It's Alex Jones.
[02:00:40.084 --> 02:00:41.425]  And we're gonna rise.
[02:00:45.535 --> 02:00:49.476]  Ride like the one-eyed Jack of Diamonds.
[02:00:50.196 --> 02:00:53.417]  With the devil close behind.
[02:00:53.777 --> 02:00:56.918]  I love the start of that song.
[02:00:57.538 --> 02:01:00.759]  The great, late great Johnny Cash shows.
[02:01:01.519 --> 02:01:04.680]  A new hit off our album Silver Stallion, 1990.
[02:01:05.940 --> 02:01:07.520]  Living on a zen moment.
[02:01:08.161 --> 02:01:09.441]  With a woman.
[02:01:15.592 --> 02:01:16.592]  And the stallion.
[02:01:17.052 --> 02:01:17.753]  And the wind.
[02:01:18.353 --> 02:01:19.053]  And the sun.
[02:01:20.493 --> 02:01:25.415]  And the sun is... Our souls are way older than that sun.
[02:01:26.455 --> 02:01:32.096]  You don't... Before we ever pass this way again... You don't need to give in to the globalists.
[02:01:32.516 --> 02:01:33.397]  We've already arrived.
[02:01:34.237 --> 02:01:35.517]  And we're gonna ride.
[02:01:35.537 --> 02:01:36.917]  And we're gonna ride.
[02:01:37.518 --> 02:01:38.958]  We're gonna ride.
[02:01:43.254 --> 02:01:48.157]  Ride like the one-eyed jack of diamonds with the devil close behind.
[02:01:48.317 --> 02:01:49.578]  We're gonna ride.
[02:01:53.560 --> 02:01:54.460]  Alright, I'm gonna stop.
[02:01:55.621 --> 02:01:56.942]  This is what happens when I'm sleep deprived.
[02:01:58.302 --> 02:02:01.864]  Obama administration knew about North Korea's militarized nukes.
[02:02:01.904 --> 02:02:04.006]  God, I could sit here and read a hundred articles right now.
[02:02:05.026 --> 02:02:07.187]  Just, just look at world government.
[02:02:08.188 --> 02:02:09.869]  Just, did I ever give the phone number out?
[02:02:12.383 --> 02:02:13.944]  And we got a bunch of guests coming up, too.
[02:02:14.925 --> 02:02:15.385]  What do we got?
[02:02:15.425 --> 02:02:19.068]  We got Michael Malice, the expert on North Korea, coming up.
[02:02:19.809 --> 02:02:26.914]  I mean, you know, in the NFL, the guys are six foot seven or, you know, seven feet tall in the NBA.
[02:02:26.934 --> 02:02:29.536]  I mean, they're proving themselves out there.
[02:02:29.556 --> 02:02:30.997]  It's why sports is so honest.
[02:02:31.437 --> 02:02:34.279]  Even though it's a bread and circus diversion, it's still real.
[02:02:34.559 --> 02:02:35.340]  That's why we love it.
[02:02:35.400 --> 02:02:36.581]  It's a contest.
[02:02:37.862 --> 02:02:39.043]  It's the animating contest.
[02:02:41.567 --> 02:03:03.544]  Then we see Kim Jong-un, a hereditary dictator, hardly able to walk, with cartoonic sycophants surrounding him, worshipping him and writing on pads of paper as he toddles around like a demonic undead baby.
[02:03:06.186 --> 02:03:07.848]  And everyone else is super skinny but him.
[02:03:09.360 --> 02:03:10.680]  But see, that's his ego.
[02:03:11.441 --> 02:03:12.901]  That's his satanic dream.
[02:03:12.961 --> 02:03:15.122]  Everyone's starving but me.
[02:03:15.182 --> 02:03:16.582]  And they all worship me.
[02:03:17.163 --> 02:03:18.743]  And there's like videos of him.
[02:03:19.063 --> 02:03:21.144]  He'll go sit at a table and just eat all this food.
[02:03:21.464 --> 02:03:24.125]  Everyone watches him eat with like spit dripping.
[02:03:24.145 --> 02:03:26.446]  And it's like, what the hell, man?
[02:03:27.486 --> 02:03:31.808]  But see, that's the power of communism.
[02:03:37.569 --> 02:03:38.570]  Look at our fat.
[02:03:39.755 --> 02:03:41.376]  I'm not bashing fat people in the political arena.
[02:03:41.576 --> 02:03:47.621]  No, the fat North Korean dictator was starving people around him that run death camps.
[02:03:49.123 --> 02:03:55.268]  And their whole world is built in this weird hermit kingdom around this man.
[02:03:55.288 --> 02:03:58.830]  And then he thinks Dennis Rodman's cool.
[02:03:59.251 --> 02:04:01.072]  Dennis Rodman wasn't cool 20 years ago.
[02:04:06.488 --> 02:04:11.171]  I mean, Carmen Electra might look good on TV 20 years ago, she don't look good in person.
[02:04:17.475 --> 02:04:32.505]  And you sit there, and you look at it, and you stare death in the face, walking around in front of everybody, and you just think, God, every moment you're not Kim Jong-un.
[02:04:33.866 --> 02:04:35.807]  And you think, God, you're not Dennis Rodman.
[02:04:37.054 --> 02:04:38.815]  And you think, God, you're dead.
[02:04:38.915 --> 02:04:43.817]  I wasn't riding Lucifer's ding-dong.
[02:04:45.117 --> 02:04:46.838]  Because that's what this comes down to.
[02:04:48.078 --> 02:04:52.760]  Subservience to suborning your will, giving into death.
[02:04:53.020 --> 02:04:55.181]  The devil tells you, you're empowered by giving to me.
[02:04:55.241 --> 02:04:55.721]  No, you don't.
[02:04:56.101 --> 02:05:00.143]  You suborn your will, your free will, to serve death.
[02:05:14.278 --> 02:05:15.961]  What are they gearing Antifa up?
[02:05:16.281 --> 02:05:21.047]  Why has Soros doubled the amount of money since Trump was elected in January, since he did previously?
[02:05:21.528 --> 02:05:22.669]  What are they gearing up for?
[02:05:22.709 --> 02:05:23.730]  They're calling for violence.
[02:05:23.751 --> 02:05:24.812]  They're calling for Trump's death.
[02:05:25.192 --> 02:05:26.714]  They're calling for it in mainstream news.
[02:05:27.728 --> 02:05:34.554]  They're calling, whether it's Al Gore or whether it's Clapper and Brennan, they're saying something big's about to happen.
[02:05:34.834 --> 02:05:35.715]  It's not impeachment.
[02:05:35.755 --> 02:05:36.736]  We're going to remove him.
[02:05:37.056 --> 02:05:40.379]  We've got to bipartisanly come together for his removal.
[02:05:40.479 --> 02:05:42.261]  Don't do anything when we remove him.
[02:05:42.801 --> 02:05:44.863]  Suddenly Republican leadership is turning against Trump.
[02:05:45.484 --> 02:05:52.269]  As they raise more money than ever raised, as the Democratic Party is being made extinct, they prepare for the killer blow.
[02:05:53.010 --> 02:05:56.972]  And James Leslie Rawls, our expert to break this down, survivalblog.com.
[02:05:57.012 --> 02:06:05.275]  James, this ties into your big lengthy investigative reports, Antifa Part 1 and 2, the Antifa threat spiral.
[02:06:05.576 --> 02:06:06.576]  Break it down for us.
[02:06:06.876 --> 02:06:08.437]  What are the globalists getting ready to do?
[02:06:10.058 --> 02:06:19.942]  Well, Alex, I think it's pretty clear that the Antifa movement is being used as kind of a shock troops for
[02:06:20.934 --> 02:06:24.037]  They're their goal of destabilizing the government.
[02:06:24.438 --> 02:06:33.887]  They want to have a wave of protests and a followed by a wave of domestic terrorism in this country.
[02:06:34.587 --> 02:06:35.909]  They want to destabilize.
[02:06:36.489 --> 02:06:41.014]  They want to try to create a counter
[02:06:41.774 --> 02:06:59.762]  Action by the Trump administration, they're hoping for a Kent State type event, where it would demoralize the American populace, turn the populace against the Trump administration, and part of their overall campaign to get Trump out of office.
[02:07:01.883 --> 02:07:07.266]  And I think that if you look at Antifa, how they were set up,
[02:07:08.492 --> 02:07:12.733]  How they interact between their cells.
[02:07:13.413 --> 02:07:21.776]  It's very similar to what we saw in the late 1960s and early 1970s with the radicalization of the anti-war movement.
[02:07:22.856 --> 02:07:28.757]  And that spun off a number of incredibly radical terrorist groups.
[02:07:29.638 --> 02:07:30.758]  A lot of them were cellular.
[02:07:32.172 --> 02:07:45.721]  There was some interaction between cells and in fact there was some interaction internationally with groups like the PLO and the Red Army Faction in Germany, the Italian Red Brigades and so forth.
[02:07:46.441 --> 02:07:51.505]  I think we're going to see a very similar era here in the United States in the very near future.
[02:08:12.053 --> 02:08:14.295]  Fortune favors the bold.
[02:08:15.475 --> 02:08:17.197]  It's Alex Jones.
[02:08:17.577 --> 02:08:24.362]  When I was young, I was the nicest guy I knew.
[02:08:24.422 --> 02:08:27.244]  I thought I was the chosen one.
[02:08:40.594 --> 02:08:44.076]  Michael Malice is our guest.
[02:08:44.917 --> 02:08:46.778]  He has traveled to North Korea repeatedly.
[02:08:46.818 --> 02:08:59.405]  He's written a best-selling book on the subject and I look at Kim Jong-un and the incredible
[02:09:00.732 --> 02:09:15.625]  Example it is that worshipping government, worshipping communism, worshipping the state is turning your will over to the very worst people in civilization.
[02:09:16.306 --> 02:09:22.391]  And always takes people from successful societies to hellish societies.
[02:09:27.714 --> 02:09:32.975]  And I just can't believe that... I've got an article on Infowars.com by Clifford Cunningham.
[02:09:33.395 --> 02:09:34.896]  California governor, U.S.
[02:09:35.076 --> 02:09:36.776]  should emulate communist China.
[02:09:36.796 --> 02:09:38.557]  I mean, Jerry Brown said that.
[02:09:38.877 --> 02:09:41.337]  They've got mobile execution vans in every city.
[02:09:42.077 --> 02:09:44.518]  They have had tens of millions of forced abortions.
[02:09:44.578 --> 02:09:45.498]  They kill little girls.
[02:09:46.138 --> 02:09:47.459]  They sell their body parts.
[02:09:47.479 --> 02:09:48.539]  They kill Buddhists.
[02:09:48.559 --> 02:09:49.459]  They kill Christians.
[02:09:51.240 --> 02:09:53.080]  But it's okay, because Jerry Brown's liberal.
[02:09:56.124 --> 02:10:07.172]  And I just ask myself, how could South Korea, a quasi-free country compared to the North, be one of the highest gross domestic products in the world?
[02:10:07.192 --> 02:10:09.853]  I mean, my sister is adopted from Korea, an amazing person.
[02:10:12.695 --> 02:10:16.198]  And then you look at the North, and it is an abject hell with this...
[02:10:17.802 --> 02:10:29.047]  Fiction couldn't make up a it-the-clown creature like Kim Jong-un strutting around like a hobbled tyrannosaurus feeding on humanity.
[02:10:31.428 --> 02:10:34.329]  And now he threatens to nuke this country and threatens to nuke that country.
[02:10:34.530 --> 02:10:35.990]  And I've got articles here from CNN.
[02:10:36.330 --> 02:10:39.472]  Could Congress stop Trump from bombing North Korea?
[02:10:40.816 --> 02:10:47.903]  Like Trump gave the missiles, and Trump gave the weapons, and it's not even defending Trump, it's just like, if it rains, it's Trump's fault.
[02:10:48.304 --> 02:10:50.406]  If I slip on a banana peel, it's Trump's fault.
[02:10:54.192 --> 02:10:59.256]  And I see our media like cheerleading nuclear war, because it might make Trump look bad.
[02:10:59.336 --> 02:11:00.477]  It's mental illness.
[02:11:01.437 --> 02:11:05.200]  So we couldn't have a better guest on than Michael Malice, best-selling author.
[02:11:05.220 --> 02:11:06.601]  He's written so many books, I can't get into it all.
[02:11:07.041 --> 02:11:09.103]  Michael Malice on Twitter, MichaelMalice.com.
[02:11:09.943 --> 02:11:12.946]  I always ask, you've been on a couple times, but I've always asked the questions.
[02:11:12.966 --> 02:11:13.526]  You're the expert.
[02:11:13.986 --> 02:11:15.467]  What do you want to tackle first?
[02:11:15.527 --> 02:11:20.711]  Just watching the spectacle, because I've got four children, and I'm just, it's like,
[02:11:21.952 --> 02:11:25.395]  You watch our media, you think Trump ran North Korea.
[02:11:25.636 --> 02:11:31.081]  What do you, as a North Korean expert, take away from this?
[02:11:32.093 --> 02:11:33.955]  You hit the nail on the head, Alex.
[02:11:34.435 --> 02:11:47.387]  Watching the people in the press talk about how, well, Trump said there's a red line and they're basically daring him not to have nuclear war with North Korea is absolutely mind-boggling and terrifying.
[02:11:47.648 --> 02:11:55.415]  Chuck Schumer made a comment, he goes, this kind of wreck, you know, when Trump's responded to Kim Jong-un in similar language,
[02:11:55.854 --> 02:11:59.137]  He said, this reckless rhetoric isn't going to help matters.
[02:11:59.157 --> 02:12:02.940]  It's like, well, non-reckless rhetoric is what got us to this place to begin with.
[02:12:03.261 --> 02:12:05.122]  Chuck Schumer doesn't know what to do about North Korea.
[02:12:05.403 --> 02:12:05.983]  I don't blame him.
[02:12:06.263 --> 02:12:07.765]  We've been appeasing since 1953.
[02:12:07.905 --> 02:12:10.847]  I mean, how long does this go on?
[02:12:11.608 --> 02:12:15.729]  If you don't know what to do, his immediate reaction is to attack the president.
[02:12:16.169 --> 02:12:17.869]  This is not a partisan issue.
[02:12:18.289 --> 02:12:25.531]  If you have a hell on earth, as you correctly said, and they're acquiring nukes and threatening us, what's that have to do with Democrat versus Republican?
[02:12:26.011 --> 02:12:32.612]  I mean, the safety of the citizenry and actually caring about the North Korean people themselves, that shouldn't have anything to do with political parties.
[02:12:32.632 --> 02:12:34.172]  In fact, I can't even believe it.
[02:12:34.212 --> 02:12:35.412]  Where's the instincts?
[02:12:35.492 --> 02:12:38.193]  I mean, I don't even believe this is happening.
[02:12:39.417 --> 02:12:41.078]  Yeah, it's terrifying.
[02:12:42.358 --> 02:12:46.760]  See, they like to say Kim Jong-un is crazy, and he's a very, very equal man.
[02:12:47.220 --> 02:12:57.904]  But what's crazier is how people are tripping over their own feet, desperate to get on TV, to make this as escalated as quickly as possible.
[02:12:57.984 --> 02:12:58.624]  Exactly!
[02:12:58.644 --> 02:13:01.885]  That's why I've tried to de-escalate and point out.
[02:13:02.225 --> 02:13:04.446]  Because it's like, Trump's gonna fail!
[02:13:05.087 --> 02:13:06.127]  He called his bluff!
[02:13:06.487 --> 02:13:07.567]  Oh, there's gonna be nuclear war!
[02:13:07.587 --> 02:13:08.708]  I mean, it's like...
[02:13:11.167 --> 02:13:12.289]  I don't know.
[02:13:12.329 --> 02:13:13.391]  At this point, I have nothing to say.
[02:13:14.312 --> 02:13:19.680]  Finally, in 22 years on air, I have reached, Michael Malin, a point where I don't know what to say anymore.
[02:13:20.502 --> 02:13:22.605]  You gotta get that fidget spinner out, Alex.
[02:13:23.831 --> 02:13:24.631]  It's a viral video.
[02:13:25.532 --> 02:13:29.413]  In all seriousness, North Korea, let's take a deep breath.
[02:13:29.773 --> 02:13:37.115]  During the Cold War, we had hundreds if not thousands of nuclear missiles pointing directly at us and our allies in Europe, right?
[02:13:37.536 --> 02:13:39.916]  And we worked through that and we lived through that.
[02:13:40.357 --> 02:13:44.578]  The fact that... And whether you were Republican or Democrat, you were an American.
[02:13:45.407 --> 02:13:50.208]  Yes, and now that they have nukes, and they've been threatening us for decades.
[02:13:50.428 --> 02:13:56.610]  Two years ago, they released a photo of Kim Jong Un in front of his computer, and behind him on the whiteboard, he was nuking Austin.
[02:13:56.650 --> 02:13:58.611]  My friend called me, they go, are they going to nuke Austin?
[02:13:58.631 --> 02:13:58.831]  I go, what?
[02:13:58.851 --> 02:14:00.051]  I remember that two years ago.
[02:14:00.071 --> 02:14:00.871]  I live here, yeah.
[02:14:01.391 --> 02:14:04.572]  Yeah, and I'm like, relax, you can still go to South By, it's going to be fine.
[02:14:04.832 --> 02:14:09.534]  So now that they've gone from Austin to Guam, you know, people are like, well, we got to nuke them already.
[02:14:09.594 --> 02:14:11.154]  And you know what's even really scary?
[02:14:11.863 --> 02:14:20.288]  Watching a lot of these neoconservatives saying, well, if Kim Jong-un insulted us, we should just go in and bomb that country to stone age.
[02:14:20.728 --> 02:14:28.013]  You're going to call yourself a moral authority and advocate killing 25 million slaves and hostages to show what a tough guy you are?
[02:14:28.133 --> 02:14:29.453]  I was about to ask that last question.
[02:14:29.493 --> 02:14:30.034]  You've been there.
[02:14:30.054 --> 02:14:31.214]  You've written a best-selling book on it.
[02:14:32.035 --> 02:14:36.197]  I hate Kim Jong-un, but the poor people, it's like, what do we do?
[02:14:36.718 --> 02:14:37.298]  You've been there.
[02:14:37.398 --> 02:14:39.699]  I mean, these people are literally on another planet.
[02:14:39.779 --> 02:14:40.300]  What do we do?
[02:14:41.546 --> 02:14:43.787]  I mean, there is no easy answer.
[02:14:44.047 --> 02:14:49.369]  The only thing we can do is put pressure on China, and China has started to buckle, which is a very good sign.
[02:14:49.649 --> 02:14:53.050]  It's easy for North Korea when it's us versus them, when it's the U.S.
[02:14:53.070 --> 02:14:55.031]  imperialists, as they call us, versus them.
[02:14:55.411 --> 02:15:01.173]  But now when you have the international community uniting, including their big brother China, that's a very different dynamic.
[02:15:01.473 --> 02:15:05.074]  And it's a better dynamic, because why is this our problem entirely?
[02:15:05.094 --> 02:15:05.954]  And you're an expert on this.
[02:15:05.994 --> 02:15:08.195]  Let's talk about the North Korean-China relationship.
[02:15:08.235 --> 02:15:10.336]  Why has China been going along with this for 50 years?
[02:15:11.144 --> 02:15:12.925]  China doesn't want a U.S.
[02:15:13.025 --> 02:15:13.946]  ally on their border.
[02:15:14.487 --> 02:15:20.451]  China doesn't want 25 million North Korean refugees crossing the river and living in China when they have nothing to offer.
[02:15:21.112 --> 02:15:27.877]  And China basically doesn't... No one wants a collapsed state on their border that they have to basically deal with the problem.
[02:15:28.197 --> 02:15:31.319]  So, I mean, they have to give them some amount of cover.
[02:15:31.579 --> 02:15:40.066]  But at the same time, China, who's trying to carry themselves as a gentleman on the whole stage, they don't want to defend... Some college kid goes there as a tourist and comes back in a coma.
[02:15:41.326 --> 02:15:44.287]  Yeah, China's the ones with Foxconn suicide nets.
[02:15:45.668 --> 02:15:49.389]  I mean, but China has put pressure on North Korea successfully in the past.
[02:15:49.730 --> 02:15:56.812]  North Korea for decades fought having North and South in the UN because they said this is going to make de-unification.
[02:15:56.832 --> 02:15:57.753]  So let me ask you this.
[02:15:58.615 --> 02:16:00.416]  I mean, are we closer to midnight than ever?
[02:16:00.436 --> 02:16:06.599]  Because most experts I talk to say if there's a nuclear war, it's going to start in North Korea, not the Middle East, not in Ukraine, not on the border of Russia.
[02:16:06.939 --> 02:16:09.660]  I mean, what do you think of the experts you talk to?
[02:16:10.080 --> 02:16:12.321]  Because, I mean, you're all over the place talking to top experts.
[02:16:12.761 --> 02:16:14.202]  I mean, how serious is this?
[02:16:14.282 --> 02:16:14.962]  I got four children.
[02:16:14.982 --> 02:16:15.382]  I want to know.
[02:16:16.463 --> 02:16:18.304]  I think it's your kids are fine.
[02:16:18.644 --> 02:16:19.424]  Your kids are safe.
[02:16:20.224 --> 02:16:25.867]  North Korea, in their literature, constantly talk about the fact we know we can't win.
[02:16:26.522 --> 02:16:28.342]  They say this explicitly.
[02:16:28.783 --> 02:16:33.124]  So they're not... Listen, everyone talks about how he's crazy and suicidal.
[02:16:33.344 --> 02:16:34.524]  He's satanic, like you said.
[02:16:34.844 --> 02:16:37.485]  If he's suicidal, they've been around for 70 years.
[02:16:37.705 --> 02:16:39.545]  That's taken a long time to kill yourself, huh?
[02:16:44.126 --> 02:16:45.547]  I'm gonna play a clip from Fox News.
[02:16:45.587 --> 02:16:48.727]  They talk about the relationship between China and North Korea.
[02:16:48.747 --> 02:16:49.528]  Let's play that clip.
[02:16:51.828 --> 02:16:54.769]  Ladies and gentlemen, the arrogance of the establishment is hiding.
[02:16:55.956 --> 02:16:57.037]  We're having a computer hiccup.
[02:16:57.057 --> 02:16:58.397]  That's the fun part of the train wreck.
[02:16:59.178 --> 02:17:08.362]  Let's play that clip from Fox News with an analyst breaking down the relationship between China and North Korea because we want to ignore all this.
[02:17:08.442 --> 02:17:10.363]  I do too, but this is really happening.
[02:17:10.403 --> 02:17:10.683]  Here we go.
[02:17:10.703 --> 02:17:12.284]  We don't just get TVs from Korea, folks.
[02:17:12.324 --> 02:17:13.524]  We get nuclear missiles.
[02:17:13.544 --> 02:17:14.665]  So can we play the clip now?
[02:17:14.685 --> 02:17:14.905]  Go ahead.
[02:17:16.840 --> 02:17:19.301]  Well, there's very good news, and that's that the U.N.
[02:17:19.321 --> 02:17:23.622]  Security Council voted 15-0 to impose tougher sanctions on North Korea.
[02:17:24.282 --> 02:17:26.442]  The bad news is that they won't make any difference whatsoever.
[02:17:27.182 --> 02:17:37.845]  Because China has mastered the art of giving us just, you know, showing just enough leg to keep us from imposing any kind of economic sanctions on them.
[02:17:37.865 --> 02:17:42.326]  You know, China literally gets away with trade murder because they keep dangling this
[02:17:43.146 --> 02:17:44.867]  Possibility that they'll help us with North Korea.
[02:17:45.487 --> 02:17:51.691]  Now, China, on this 15-0 vote, yeah, that sounds great, but we didn't get the sanctions we wanted.
[02:17:52.171 --> 02:17:56.273]  We wanted tougher sanctions, but for China to come on board, they watered them down.
[02:17:56.833 --> 02:17:58.074]  And there are two reasons for it.
[02:17:58.214 --> 02:17:59.255]  One's the macro reason.
[02:17:59.815 --> 02:18:05.058]  China regards North Korea as a critically valuable ally in peace and war.
[02:18:05.778 --> 02:18:08.099]  The second micro reason, or economic reason,
[02:18:10.080 --> 02:18:13.983]  China's steel industry is a great international weapon.
[02:18:14.103 --> 02:18:17.625]  Whether you consider the prices dumping or not, it's a big plus for China.
[02:18:18.066 --> 02:18:20.407]  Well, China doesn't have the right coal.
[02:18:20.467 --> 02:18:21.268]  It has soft coal.
[02:18:21.688 --> 02:18:29.493]  North Korea, one of the few things it has is high-quality anthracite coal that goes into coking furnaces for Chinese steel.
[02:18:30.013 --> 02:18:33.075]  So, there are all these backstories here that we're not paying attention to.
[02:18:33.115 --> 02:18:35.657]  So, Michael Malice, you've been to North Korea, you've written a book on it.
[02:18:35.757 --> 02:18:37.218]  Is that accurate or what do you say to that?
[02:18:37.358 --> 02:18:38.218]  It's inaccurate.
[02:18:38.258 --> 02:18:39.799]  We could just do the math right now.
[02:18:39.859 --> 02:18:41.279]  China has, what, a billion people?
[02:18:41.619 --> 02:18:43.100]  North Korea has 25 million.
[02:18:43.440 --> 02:18:48.001]  So if China went to some military conflict to call them a critically important ally is simply false.
[02:18:48.061 --> 02:18:50.862]  North Korea is not going to be able to help them one way or another.
[02:18:50.902 --> 02:18:53.042]  I mean, North Korea can't produce automobiles.
[02:18:53.723 --> 02:18:54.323]  Yeah, exactly.
[02:18:54.543 --> 02:18:55.263]  They can't do anything.
[02:18:55.723 --> 02:18:58.764]  They have like a toddling mental patient as their leader.
[02:18:59.494 --> 02:18:59.694]  Right.
[02:18:59.754 --> 02:19:02.716]  And the other point is, I mean, sanctions aren't going to work.
[02:19:02.856 --> 02:19:04.557]  He said we wanted stronger sanctions.
[02:19:04.878 --> 02:19:08.600]  Sanctions aren't going to work because the leadership is just going to pass the buck to the citizenry.
[02:19:08.860 --> 02:19:10.381]  The citizenry are going to suffer.
[02:19:10.621 --> 02:19:16.865]  The only way that sanctions work, in a sense, is creating this air of unanimity in the international community against North Korea.
[02:19:17.086 --> 02:19:20.368]  But in terms of functionally, I mean, it's an economic hellhole.
[02:19:20.748 --> 02:19:21.248]  You know what I mean?
[02:19:21.288 --> 02:19:22.649]  So let me ask you this, Michael Malice.
[02:19:22.669 --> 02:19:27.673]  We're going to go to break, come back and answer this question because, again, you're a bestselling author, leading researcher on this.
[02:19:28.740 --> 02:19:29.760]  What do we do then?
[02:19:29.841 --> 02:19:34.603]  Because I've got children, people have got children, this just goes on in the future.
[02:19:34.943 --> 02:19:40.465]  There's this cartoon land that the left makes a joke out of, but it's real people in slave camps.
[02:19:40.985 --> 02:19:42.026]  Where does this go?
[02:19:42.106 --> 02:19:47.548]  With missiles and atomic weapons and the Clintons gave them the weapons and then they're blaming Trump.
[02:19:47.588 --> 02:19:48.909]  That's not even defending Trump!
[02:19:49.449 --> 02:19:50.431]  I'm defending reality.
[02:19:50.511 --> 02:19:53.677]  Why do you blame Trump for what the globalists did?
[02:19:53.817 --> 02:19:55.801]  And it's just like, where does this go?
[02:19:55.941 --> 02:19:58.366]  Why doesn't the guy do a business deal?
[02:19:58.406 --> 02:19:59.508]  Why doesn't he back off?
[02:19:59.548 --> 02:20:01.472]  Why does he want to be a communist dirtbag?
[02:20:12.638 --> 02:20:13.178]  Absolutely.
[02:20:13.258 --> 02:20:16.279]  People really need to order the book at infowarestore.com.
[02:20:17.039 --> 02:20:21.220]  Dangerous.com is the website, and I gotta say, that is the best URL ever.
[02:20:21.260 --> 02:20:22.481]  I bet you paid handsomely for it.
[02:20:22.501 --> 02:20:23.441]  I am jealous.
[02:20:23.561 --> 02:20:27.742]  I won't tell you how much I paid for it, but I'm very happy to have acquired Dangerous.com.
[02:20:27.802 --> 02:20:34.324]  I'm gonna keep, I'm gonna, once the book is kind of, the book tour is over, I'm gonna hand it over to the imprint that we set up, Dangerous Books.
[02:20:35.164 --> 02:20:38.025]  That is, that is like the best in this whole media climate.
[02:20:38.145 --> 02:20:39.245]  I couldn't think of a better
[02:20:39.525 --> 02:20:40.465]  Well, I'll give you an email address.
[02:20:40.485 --> 02:20:41.346]  You know, alexatdangerous.com.
[02:20:41.366 --> 02:20:43.347]  Well, since you're gay, the blaze would be pretty good.
[02:20:43.367 --> 02:20:45.507]  I'm sorry!
[02:20:45.527 --> 02:20:47.908]  I'm sorry!
[02:20:47.928 --> 02:20:49.769]  Oh, Glenn Beck's far more of a fag than I am.
[02:20:49.929 --> 02:20:50.850]  Oh, there's no doubt.
[02:20:51.750 --> 02:20:52.550]  Anyway, sorry.
[02:20:54.831 --> 02:20:56.392]  No, I'll leave that to the other big gay.
[02:20:56.492 --> 02:20:57.612]  That'll be in the news.
[02:20:57.733 --> 02:21:00.174]  I'll leave that to the other big gay lord in conservative media.
[02:21:03.586 --> 02:21:05.347]  He called me a threat to the Republic.
[02:21:05.367 --> 02:21:06.667]  He called me Goebbels.
[02:21:07.247 --> 02:21:12.228]  Well, you know, he's the new guy who goes around as the Judas Goat and goes, conservatives are all faking frauds.
[02:21:12.349 --> 02:21:12.709]  I'm one.
[02:21:12.769 --> 02:21:13.309]  I'm sorry.
[02:21:13.329 --> 02:21:19.410]  He crawls around on failed establishment publications, always trying to sabotage everything.
[02:21:19.430 --> 02:21:20.991]  You just see his name in the New York Times.
[02:21:21.031 --> 02:21:22.031]  You're like, what are you doing?
[02:21:22.351 --> 02:21:23.992]  And he thinks it's some kind of victory.
[02:21:24.012 --> 02:21:26.372]  It's like, I am parking my tanks on their lawn.
[02:21:26.392 --> 02:21:29.653]  I'm making this insurgency into the enemy territory.
[02:21:29.673 --> 02:21:31.434]  No, they're laughing at you.
[02:21:32.534 --> 02:21:34.717]  They have neutered you.
[02:21:34.797 --> 02:21:37.440]  He's like, what's the one in Game of Thrones?
[02:21:39.002 --> 02:21:39.562]  He's a gelder.
[02:21:39.602 --> 02:21:40.804]  He's a eunuch.
[02:21:41.024 --> 02:21:41.705]  He's a eunuch.
[02:21:41.885 --> 02:21:42.726]  They've cut it off.
[02:21:43.086 --> 02:21:44.068]  They've chopped it off.
[02:21:44.128 --> 02:21:49.814]  Well the word is actually, and I'm not against this, Glenn Beck actually was a woman that transitioned into a man.
[02:21:50.558 --> 02:21:51.138]  Do you think so?
[02:21:51.619 --> 02:21:52.819]  Actually, I heard he's pregnant.
[02:21:53.299 --> 02:21:53.740]  Really, really?
[02:21:53.840 --> 02:21:55.180]  No, no, I'm serious.
[02:21:55.200 --> 02:21:56.101]  This is breaking.
[02:21:56.181 --> 02:22:03.424]  Every day, the Daily Mail seems to find some new pregnant man, and I just know, give it a couple of days, the next one's going to be Glenn, 56, from Texas.
[02:22:04.645 --> 02:22:06.586]  Let me bring you, let me give you the next news.
[02:22:06.786 --> 02:22:07.386]  It's my baby.
[02:22:08.947 --> 02:22:10.908]  Well, that really would be something.
[02:22:11.248 --> 02:22:13.689]  I'm going to be honest, I've had a relationship with one back for a long time.
[02:22:13.709 --> 02:22:15.050]  What would your celebrity name be?
[02:22:15.610 --> 02:22:17.251]  Alec, Gle, Glelec, Glelec.
[02:22:20.010 --> 02:22:20.590]  Glalex.
[02:22:21.090 --> 02:22:23.371]  Your celebrity couple name is Glalex.
[02:22:23.811 --> 02:22:26.652]  The Glalex Empire attacked Earth from its Mars base.
[02:22:26.692 --> 02:22:29.593]  The little Glenn Beck Alex Jones clone babies.
[02:22:29.673 --> 02:22:31.354]  That would be an ugly baby.
[02:22:31.374 --> 02:22:35.015]  To the extent that it was Glenn's, yeah.
[02:22:35.875 --> 02:22:36.655]  No, no, you're being nice.
[02:22:36.795 --> 02:22:38.856]  I mean, Glenn is a good-looking woman.
[02:22:43.357 --> 02:22:45.238]  What's up with the creepy sweaters, too?
