[00:00:13.939 --> 00:00:16.163]  Welcome to the InfoWars Nily News.
[00:49:16.086 --> 00:49:21.369]  In other words, it was a phishing attack that was directly targeted at an organization to try to get into the election system.
[00:49:21.409 --> 00:49:22.670]  Now this is something that's very different.
[00:49:22.970 --> 00:49:32.515]  The Democrats have denied all along, as well as the surveillance state, that there was any attempt to change vote totals or to mess with the election itself.
[00:49:32.555 --> 00:49:41.360]  Now what they said was they hacked the election by releasing information that was true about Hillary Clinton that cost her the election.
[00:49:41.420 --> 00:49:42.441]  Now they're starting to change this.
[00:49:42.461 --> 00:49:49.784]  And we've got a couple of high-ranking Democrats, top-ranking Democrat on the Senate Homeland Security Committee, saying this is proof of Russian hacking.
[00:49:50.005 --> 00:49:50.205]  Is it?
[00:49:51.112 --> 00:49:53.253]  I think there's something altogether different with this.
[00:49:53.293 --> 00:50:06.620]  I'm going to go over a timeline here for you because I think this is a Department of Homeland Security surveillance state false flag, quite frankly, to justify the federal takeover of state elections or to hide their crimes.
[00:50:06.640 --> 00:50:08.201]  Do you remember December 8, 2016?
[00:50:08.601 --> 00:50:16.785]  We had the Wall Street Journal and many others reporting that Homeland Security had attempted to hack into the Georgia voter registration database.
[00:50:17.742 --> 00:50:21.685]  This was a third-party security firm that was working for the state of Georgia.
[00:50:21.725 --> 00:50:29.230]  They detected it, they stopped it, and then they backtracked the IP address to the Department of Homeland Security.
[00:50:29.770 --> 00:50:30.871]  That got a lot of people interested.
[00:50:30.911 --> 00:50:32.452]  That again was December the 8th.
[00:50:33.112 --> 00:50:40.898]  By January 12th, we had a couple of congressmen, Congressman Chaffetz as well as Heiss, write a letter to Homeland Security.
[00:50:41.538 --> 00:50:42.099]  They were not
[00:50:43.792 --> 00:50:48.554]  They were not happy with the responses that they had gotten from Secretary Jeh Johnson.
[00:50:48.594 --> 00:51:01.618]  And they said, we request that you investigate Secretary Kemp, he's the Secretary of State in Georgia, that you investigate Secretary Kemp's allegations that the Department of Homeland Security conducted unauthorized scans of his office's computer network.
[00:51:01.698 --> 00:51:09.181]  We also question the Department of Homeland Security's ability to remain neutral in investigating its own potential misconduct.
[00:51:09.461 --> 00:51:13.943]  And we think an investigation of these, an independent investigation of these incidents, is warranted.
[00:51:14.284 --> 00:51:17.205]  They also demanded to know these issues.
[00:51:17.245 --> 00:51:23.307]  They want to know whether or not Homeland Security had conducted the unauthorized scan of Georgia's Secretary of State's computer networks.
[00:51:23.528 --> 00:51:24.788]  Who authorized the scans?
[00:51:25.048 --> 00:51:30.050]  Has the Department of Homeland Security conducted an unauthorized scan of any other state's systems?
[00:51:30.271 --> 00:51:31.111]  If so, which states?
[00:51:31.491 --> 00:51:33.972]  Did DHS scan without authorization?
[00:51:34.792 --> 00:51:39.353]  On December 12, 2016, they said Secretary Jay Johnson responded to them.
[00:51:39.874 --> 00:51:48.756]  They said his response was unequivocal, that there was no scanning or security assessment of the Secretary of State's network by DHS cybersecurity experts.
[00:51:49.377 --> 00:51:58.239]  They said that he traced the activity back to a contractor that was at a law enforcement training center in Georgia who was engaged in verifying individuals' professional licenses.
[00:51:58.259 --> 00:52:00.260]  In other words, something completely different.
[00:52:00.720 --> 00:52:02.661]  Then looking at the State Board of Elections.
[00:52:03.241 --> 00:52:17.327]  But then they replied and said, Secretary Johnson's one-page response and his staff's telephone conversations, where we tried to get follow-up information, did not provide adequate information to verify or validate any of those statements.
[00:52:18.407 --> 00:52:21.508]  And they also said that this was an interim response subject to change.
[00:52:21.949 --> 00:52:24.450]  So, in December 8th, we have
[00:52:25.370 --> 00:52:25.771]  We're good to go.
[00:52:31.890 --> 00:52:37.672]  Congressmen, by January the 12th, are not happy with the responses that they've gotten from Homeland Security.
[00:52:37.692 --> 00:52:39.952]  They're calling for an independent investigation.
[00:52:40.032 --> 00:52:41.593]  So that was January the 13th.
[00:52:41.673 --> 00:52:49.415]  One month later, Reality Winner was hired in Georgia to work for a federal intelligence contractor, Pluribus International.
[00:52:50.075 --> 00:52:57.517]  On February the 21st, The Daily Caller reports that Obama feds had tried to hack Indiana's election system.
[00:52:58.317 --> 00:52:59.778]  Well, Pence was governor.
[00:53:00.038 --> 00:53:01.978]  This was the Daily Caller, February 21st.
[00:53:02.479 --> 00:53:13.143]  Department of Homeland Security officials tried to hack Indiana's state electoral system with at least 14,800 scans or hits between November 1st and December 16th of 2016.
[00:53:13.183 --> 00:53:22.747]  The attacks are the second confirmed IT scanning assault by DHS officials against states that resisted then-President Obama's attempt to increase federal involvement.
[00:53:22.767 --> 00:53:23.227]  This is key.
[00:53:23.747 --> 00:53:31.850]  Obama's attempt to increase federal involvement in state and local election systems by designating them as critical infrastructure for national security.
[00:53:32.711 --> 00:53:41.234]  Members of the National Association of Secretaries of State voted, just the weekend before this report, in their winter meeting to oppose the designation.
[00:53:41.294 --> 00:53:48.957]  They asked President Donald Trump to overturn this intrusion into state electoral systems by the Obama federal
[00:53:50.470 --> 00:53:56.414]  They say the state's IT team traced the intruder to DHS's computer IP address.
[00:53:56.454 --> 00:54:02.037]  They tried 10 times with Georgia, but they tried nearly 15,000 times in Indiana.
[00:54:02.577 --> 00:54:05.359]  And then the Daily Caller points this out, and this is very key, folks.
[00:54:05.419 --> 00:54:13.963]  Federal officials are barred under DHS rules from trying to penetrate a state system without the express approval of the state.
[00:54:14.063 --> 00:54:16.905]  Neither Georgia nor Indiana gave such approval.
[00:54:17.045 --> 00:54:18.286]  They were not asked either.
[00:54:18.806 --> 00:54:20.787]  The federal government just did it illegally.
[00:54:21.327 --> 00:54:30.512]  They say governmental deployment of IT technology could be an evolving new tool against political opponents or to impose censorship.
[00:54:30.992 --> 00:54:47.281]  Let me say to you right now that what we have here is an effort by the government, the federal government, to cover up their attempts to get the surveillance state involved as political Watergate burglars, but using all the high-tech tools of the surveillance state.
[00:54:48.121 --> 00:54:54.455]  And I think what we're seeing here with Reality Winner might very well be an effort for them to go backwards and to backtrack.
[00:54:54.475 --> 00:54:55.838]  Let's go back to the timeline here.
[00:54:56.479 --> 00:54:56.680]  Again.
[00:54:57.625 --> 00:55:04.870]  February the 13th, she comes in there a month after the congressmen are saying, we're not happy with the verbal answers and responses that we've got from you, we want an independent counselor.
[00:55:05.110 --> 00:55:10.613]  One month later, this young girl is hired to work for a Georgia contractor, the same state, where we saw the first intrusions.
[00:55:11.274 --> 00:55:21.300]  Then, a week later, we see the Daily Caller say, hey, they tried to get after Indiana as well, and all the secretaries of state say, we don't want you involved in our state boards of elections.
[00:55:22.421 --> 00:55:23.101]  Now, May 5th.
[00:55:24.059 --> 00:55:33.585]  We have, according to the document that came out, the charging document, they say that the NSA claims that they found cyber espionage against a U.S.
[00:55:33.625 --> 00:55:35.286]  company in August of last year.
[00:55:35.886 --> 00:55:38.568]  They did not discover that, they say, until April.
[00:55:39.548 --> 00:55:49.414]  So it went from August to April before they suddenly realized, after telling everybody there was never an attempt to electronically or cyber attack any of these election systems, and they said, oh, well, you know, it looks like that happened now.
[00:55:49.895 --> 00:55:51.796]  We just found out it happened in August somehow.
[00:55:52.898 --> 00:55:54.078]  And they report that in April.
[00:55:54.098 --> 00:55:56.039]  They prepare the document on May the 5th.
[00:55:56.119 --> 00:55:59.080]  May the 9th, winner prints this somehow.
[00:55:59.280 --> 00:56:07.162]  This appears on the desk of this young girl, who is all over social media as being a Trump opponent.
[00:56:07.242 --> 00:56:11.664]  Somebody who would immediately run to the press with something that says, Russian cyber hacking.
[00:56:12.492 --> 00:56:14.573]  And immediately, somehow, she gets this document.
[00:56:15.454 --> 00:56:16.234]  Isn't that interesting?
[00:56:16.875 --> 00:56:21.317]  So, on May the 9th, she prints it, and she removes the classified intel.
[00:56:21.337 --> 00:56:30.023]  May 30th, The Intercept, that's the Glenn Greenwald's organization that ran this report, contacted the government to authorize the document and provide them with a copy.
[00:56:30.043 --> 00:56:32.824]  And, of course, Julian Assange is very angry about how they handled that.
[00:56:33.105 --> 00:56:40.009]  He's offered a $10,000 reward to anyone who will identify and get fired the journalist who exposed this whistleblower.
[00:56:40.529 --> 00:56:44.292]  But there's a big difference between Reality Winner and Ed Snowden.
[00:56:44.312 --> 00:56:45.433]  Snowden broke the law.
[00:56:45.994 --> 00:56:51.958]  But he broke the law to tell us how the government, the deep surveillance state, was breaking the law.
[00:56:52.711 --> 00:56:53.311]  In a big way.
[00:56:53.932 --> 00:56:54.272]  Bigly.
[00:56:54.912 --> 00:56:58.074]  Reality Winner broke the law as part of a political attack.
[00:56:58.654 --> 00:57:10.380]  And I think what we have here is not so much a smoking gun as it is an effort by the Department of Homeland Security to justify the taking over of the state boards of elections.
[00:57:10.960 --> 00:57:12.381]  That's one aspect of this.
[00:57:12.901 --> 00:57:17.944]  Because of course the Obama administration had tried, as I just reported, they said we wanted to declare it as critical infrastructure
[00:57:18.524 --> 00:57:24.110]  And we need to be able to do this, but they don't have any justification for that, and they've had a lot of pushback from the state boards of elections.
[00:57:24.890 --> 00:57:25.411]  So what do they do?
[00:57:25.471 --> 00:57:33.159]  Well, after the fact, they realize, oh, you know, we never realized it, but now we've just discovered that the Russians tried to get in and get voter IDs.
[00:57:33.279 --> 00:57:34.580]  Why would the Russians want it?
[00:57:35.040 --> 00:57:35.541]  I don't know.
[00:57:36.021 --> 00:57:37.303]  Why would the Democrats want it?
[00:57:37.563 --> 00:57:39.545]  Oh, that's a lot more likely, isn't it?
[00:57:39.665 --> 00:57:42.147]  They have a lot more motivation to get that than the Russians do.
[00:57:43.103 --> 00:57:43.624]  Quite frankly.
[00:57:44.124 --> 00:57:46.027]  But I think they also have something else going on here.
[00:57:46.788 --> 00:57:51.054]  They want to hide their involvement in committing federal crimes.
[00:57:51.094 --> 00:57:56.822]  And as I've reported before, and as we've seen in the documents that's been reported by Circa, Drudge Report reported on it as well.
[00:57:57.697 --> 00:58:11.754]  It is the Foreign Intelligence Surveillance Court, the FISA Court, that came out with a court decision saying that the Obama administration violated the law, violated the Constitution, and spied on political opponents.
[00:58:12.395 --> 00:58:15.920]  Rand Paul said, this is the biggest story, and it is the biggest story.
[00:58:16.360 --> 00:58:17.141]  This is the biggest story.
[00:58:17.181 --> 00:58:23.408]  The fact that we now have all these 17 intelligence agencies that are spying on us 24-7, 365.
[00:58:23.728 --> 00:58:27.032]  They have now turned into a political organization.
[00:58:27.312 --> 00:58:28.553]  That should be very clear for you.
[00:58:29.214 --> 00:58:29.955]  Well, that's it for today.
[00:58:29.975 --> 00:58:32.678]  We don't have any more time for this, but we will have more reports on this.
[00:58:32.698 --> 00:58:35.020]  Thank you for joining us on the Infowars Nightly News.
[00:58:35.040 --> 00:58:36.962]  Join us again tomorrow at 7 Central, 8 p.m.
[00:58:37.002 --> 00:58:37.303]  Eastern.
[00:58:37.623 --> 00:58:38.164]  I'm David Knight.
[00:58:55.760 --> 00:59:02.864]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[00:59:03.225 --> 00:59:16.453]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[00:59:17.373 --> 00:59:28.626]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[00:59:29.287 --> 00:59:35.233]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[00:59:35.994 --> 00:59:44.380]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[00:59:45.001 --> 00:59:53.207]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
