[00:00:00.109 --> 00:00:00.669]  Network.
[01:58:32.387 --> 01:58:37.130]  Infowars.com, PrisonPlanet.tv, buy the products at InfowarsStore.com.
[01:58:37.531 --> 01:58:38.872]  Shop with the good guys.
[01:58:39.132 --> 01:58:40.933]  We'll be back in 70 seconds.
[01:58:41.253 --> 01:58:43.254]  The third hour is coming up.
[01:58:43.615 --> 01:58:44.715]  Short second with your calls.
[01:58:45.136 --> 01:58:46.797]  Kathryn Albrecht in studio.
[01:58:46.817 --> 01:58:47.417]  I'm Alex Jones.
[01:58:52.711 --> 01:58:54.492]  Hi, I'm Dr. Edward Group.
[01:58:55.013 --> 01:59:01.977]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[01:59:02.438 --> 01:59:12.824]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[01:59:13.265 --> 01:59:22.511]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[01:59:23.231 --> 01:59:26.653]  It's the strongest nascent iodine on the market today.
[01:59:27.294 --> 01:59:30.736]  It delivers 650 micrograms per drop.
[01:59:31.056 --> 01:59:32.657]  Experience the new formula.
[01:59:33.117 --> 01:59:35.098]  Experience the ancient purity.
[01:59:35.679 --> 01:59:36.699]  Shield your family.
[01:59:37.020 --> 01:59:38.420]  Survival Shield X2.
[01:59:38.841 --> 01:59:41.442]  Available now at Infowarslife.com.
[01:59:42.002 --> 01:59:45.965]  X2 from Infowarslife.com or call toll free 888-253-3139.
[01:59:54.952 --> 01:59:56.878]  Waging war on corruption.
[01:59:57.339 --> 02:00:00.128]  Alex Jones on the GCM Radio Network.
[02:00:07.970 --> 02:00:12.155]  Big Brother, Mainstream Media, Government Cover-Ups.
[02:00:12.796 --> 02:00:13.617]  You want answers?
[02:00:14.378 --> 02:00:15.339]  Well, so does he.
[02:00:15.940 --> 02:00:19.524]  He's Alex Jones on the GCN Radio Network.
[02:00:20.125 --> 02:00:24.190]  And now, live from Austin, Texas, Alex Jones.
[02:00:29.192 --> 02:00:31.553]  Separatists most likely fired missiles, CNN is saying.
[02:00:32.133 --> 02:00:42.937]  Analysts at CNN, same folks that told you about Saddam's missiles that were coming in, and his secret death ray weapons, they're saying most likely Russian made.
[02:00:43.037 --> 02:00:44.717]  CNN says so, and they don't lie.
[02:00:44.737 --> 02:00:52.260]  I mean, you saw Anderson Cooper, who's admittedly CIA, his nose disappear from the studios at Sandy Hook in a blue screen.
[02:00:53.297 --> 02:00:55.558]  So, I mean, I don't know what the truth is from Known Liars.
[02:00:56.338 --> 02:00:58.098]  I just know Russia doesn't stand a gain from this.
[02:00:58.599 --> 02:00:59.999]  Let's talk to Tim in Ohio.
[02:01:00.019 --> 02:01:00.599]  Go ahead, Tim.
[02:01:00.619 --> 02:01:01.279]  Thanks for calling.
[02:01:02.180 --> 02:01:02.740]  Hey, Alex.
[02:01:02.820 --> 02:01:03.980]  Thanks for taking my call.
[02:01:04.640 --> 02:01:07.941]  Hey, I'm the guy that found the Obama phone lady for you up here in Ohio.
[02:01:08.282 --> 02:01:08.842]  Oh, good job.
[02:01:09.642 --> 02:01:13.883]  Hey, um, since we're in an information war, you wanted to have that Jeopardy show.
[02:01:14.704 --> 02:01:16.144]  Um, I think you should call it Yupperty.
[02:01:18.325 --> 02:01:19.285]  Okay, tell me about it.
[02:01:22.762 --> 02:01:38.266]  And you can have really stupid questions about what color is Jennifer Aniston's hair, and horrible bosses, but then ask them about things that matter, like the first three of the Bill of Rights, stuff like that?
[02:01:38.987 --> 02:01:39.267]  Sure.
[02:01:39.327 --> 02:01:49.930]  Well, isn't it sad how back when our founding fathers had the revolution, they were upset over a 3% tax sending it overseas to a king, but yet Washington, D.C.
[02:01:49.990 --> 02:01:50.890]  is not one of the 50 states
[02:01:52.501 --> 02:01:54.222]  And we send all of our money there.
[02:01:55.162 --> 02:01:55.602]  No different.
[02:01:56.222 --> 02:01:56.942]  That's right, brother.
[02:01:57.122 --> 02:01:57.903]  You're absolutely right.
[02:01:57.943 --> 02:01:58.403]  Good points.
[02:01:58.443 --> 02:01:59.123]  Thanks for the call.
[02:01:59.863 --> 02:02:02.984]  And by the way, Nico, you should have an update on the Obama phone lady.
[02:02:03.004 --> 02:02:04.684]  Are we able to get her to town?
[02:02:08.505 --> 02:02:09.246]  It's close.
[02:02:09.366 --> 02:02:09.926]  Okay, good.
[02:02:09.946 --> 02:02:12.366]  I want to get her take on Obama now.
[02:02:13.487 --> 02:02:16.187]  Let's talk to Nathan from Texas.
[02:02:16.207 --> 02:02:17.308]  You're on the air, Extremist.
[02:02:17.348 --> 02:02:17.688]  Go ahead.
[02:02:20.249 --> 02:02:21.489]  Are you looking for Nathan or Jason?
[02:02:22.615 --> 02:02:23.916]  Uh, Nathan, bro?
[02:02:25.437 --> 02:02:26.677]  I said my name was Jason.
[02:02:26.917 --> 02:02:27.698]  Oh, okay.
[02:02:27.718 --> 02:02:28.618]  We just got the name wrong.
[02:02:28.658 --> 02:02:29.299]  Just, I'm sorry.
[02:02:29.639 --> 02:02:29.899]  Go ahead.
[02:02:29.919 --> 02:02:30.559]  You're on the air.
[02:02:30.579 --> 02:02:30.759]  Okay.
[02:02:30.779 --> 02:02:32.300]  That's okay.
[02:02:32.360 --> 02:02:35.282]  I just wanted to talk about the, uh, the border.
[02:02:36.042 --> 02:02:40.625]  I've just spent the last week in El Paso and I crossed over into Juarez twice.
[02:02:41.505 --> 02:02:48.969]  And each time coming back, I was wearing blades on my sides and nothing was said from the customs or the border patrol.
[02:02:49.719 --> 02:02:52.920]  And all I went across with was my birth certificate and my driver's license.
[02:02:54.061 --> 02:02:55.342]  And, uh, I'm a U.S.
[02:02:55.402 --> 02:02:56.062]  Army veteran.
[02:02:56.902 --> 02:03:02.885]  And the week we spent in El Paso, we had constant flybys over the hotel we were in.
[02:03:02.905 --> 02:03:06.066]  And they were low enough I could almost see the pilot's face.
[02:03:06.847 --> 02:03:09.588]  And they were running about every 50 to 75 minutes.
[02:03:10.528 --> 02:03:12.029]  I don't know what they were looking for.
[02:03:12.049 --> 02:03:13.810]  I don't know if you knew about that or not.
[02:03:14.550 --> 02:03:16.011]  But then when we were coming home,
[02:03:16.818 --> 02:03:20.441]  We hit the Border Patrol checkpoint about a hundred miles east of El Paso.
[02:03:21.442 --> 02:03:24.886]  And the only thing they did was said, is everybody on board a U.S.
[02:03:24.906 --> 02:03:25.366]  citizen?
[02:03:25.586 --> 02:03:26.327]  I said, yes.
[02:03:26.787 --> 02:03:27.788]  They said, all right, go ahead.
[02:03:28.809 --> 02:03:31.372]  And you know, what cartel member is going to tell the truth?
[02:03:31.612 --> 02:03:32.533]  No, I'm not a U.S.
[02:03:32.573 --> 02:03:32.993]  citizen.
[02:03:33.013 --> 02:03:34.575]  I got a truckload of coke back here.
[02:03:35.495 --> 02:03:37.737]  You know, that's how low that they've gotten.
[02:03:38.078 --> 02:03:38.638]  Absolutely.
[02:03:38.838 --> 02:03:41.161]  Our government has opened our borders by design.
[02:03:43.058 --> 02:03:46.260]  And I'm having to convince callers why we don't want war with Russia.
[02:03:46.720 --> 02:03:48.721]  I mean, the traitors run the country.
[02:03:49.061 --> 02:03:54.304]  But see, people at a primitive level, even if they're smart, get behind the country when there's a foreign enemy.
[02:03:54.424 --> 02:03:55.625]  But we're not a country.
[02:03:55.925 --> 02:03:57.306]  We're under FEMA regions.
[02:03:58.246 --> 02:04:01.188]  We'll only get the country back admitting that.
[02:04:02.049 --> 02:04:03.489]  So, absolutely, sir.
[02:04:03.529 --> 02:04:04.170]  Any other points?
[02:04:05.766 --> 02:04:07.608]  Well, the Malaysian airliner.
[02:04:08.229 --> 02:04:14.496]  I told my family last night, I said, I guarantee you, tomorrow Putin's going to be blamed with that airliner coming down.
[02:04:15.938 --> 02:04:20.343]  So we've got too many interests in Ukraine that they're not going to just let go of easy.
[02:04:21.465 --> 02:04:23.247]  And by interests, we mean globalist interests.
[02:04:24.244 --> 02:04:24.605]  Yes, sir.
[02:04:25.226 --> 02:04:25.626]  Yes, sir.
[02:04:25.706 --> 02:04:29.232]  The oil, the gas, the whole nine yards.
[02:04:29.252 --> 02:04:29.973]  Listen, there's U.S.
[02:04:30.014 --> 02:04:35.663]  studies out, as long as Russian studies, that the sanctions are hurting Europeans and Americans worse than Russians.
[02:04:36.785 --> 02:04:38.507]  In power prices, you name it.
[02:04:39.448 --> 02:04:41.208]  I mean, but the globalists don't care if it hurts us.
[02:04:41.248 --> 02:04:41.749]  They love that.
[02:04:42.449 --> 02:04:44.749]  Everything they do is to bankrupt us and to control us.
[02:04:45.369 --> 02:04:49.330]  Kathryn Albright's going to be in studio with us, coming up here.
[02:04:49.891 --> 02:04:51.251]  And then we'll continue with some calls.
[02:04:51.291 --> 02:04:55.752]  We'll cover the latest NSA, the police state, their take on the Russia situation.
[02:04:56.132 --> 02:04:57.832]  We'll cover the waterfront.
[02:04:57.852 --> 02:04:59.793]  Straight ahead, I'm Alex Jones.
[02:05:02.561 --> 02:05:03.743]  I didn't, like, taste dirt in it.
[02:05:03.823 --> 02:05:04.884]  God knows what's in there.
[02:05:05.144 --> 02:05:09.249]  These people just sampled City of Austin tap water straight from the faucet.
[02:05:09.429 --> 02:05:15.316]  Next, we had them try a sample of tap water filtered with a ProPure G2.0 filtration system.
[02:05:15.456 --> 02:05:16.437]  That one is better.
[02:05:16.537 --> 02:05:17.498]  Tastes like nothing.
[02:05:17.779 --> 02:05:19.220]  Yep, I know what good water tastes like.
[02:05:19.240 --> 02:05:19.761]  It's good water.
[02:05:19.861 --> 02:05:25.662]  Most tap water contains added substances, like fluoride, chlorine, glyphosate, and many others.
[02:05:25.903 --> 02:05:33.024]  Studies prove that these substances are linked to an assortment of major health issues, including tooth decay, lowered IQ, and even cancer.
[02:05:33.244 --> 02:05:35.785]  It tastes like you're drinking out of the lake when you're drinking tap water.
[02:05:35.965 --> 02:05:43.987]  The ProPure® G2.0 filtration system removes these deadly substances, leaving only fresh-tasting, deliciously clean water.
[02:05:44.027 --> 02:05:45.167]  Okay, this is very tasty.
[02:05:45.187 --> 02:05:46.208]  It's good water.
[02:05:46.388 --> 02:05:46.848]  Refreshing.
[02:05:46.868 --> 02:05:47.328]  It's good!
[02:05:47.628 --> 02:05:55.454]  Go to InfoWarsStore.com today and get your free wire stand with the purchase of a Pro-Pure Big Water Filtration System.
[02:05:55.754 --> 02:05:56.174]  Or call 1-888-253-3139.
[02:05:56.335 --> 02:05:58.596]  Alex Jones here for InfoWars.com.
[02:05:58.616 --> 02:06:02.839]  In the month of July, we have got giant specials on everything at MadeIn1776.com.
[02:06:02.859 --> 02:06:04.761]  The already discounted Made in 1776 t-shirts are only $17.76.
[02:06:17.090 --> 02:06:21.532]  We have the new belt buckles that in only two weeks of sale are very close to selling out.
[02:06:21.572 --> 02:06:23.313]  There's only 500 of each.
[02:06:23.553 --> 02:06:27.675]  We're talking about made in America belt buckles in nickel brass.
[02:06:27.755 --> 02:06:29.836]  This is more than a summer blowout special.
[02:06:30.016 --> 02:06:32.937]  This is a new declaration of independence.
[02:06:33.157 --> 02:06:44.604]  But to expand the info orb, we're offering the equivalent of more than five months free right now when you get a membership at PrisonPlanet.tv for a limited time, only $39.95 a year.
[02:06:44.904 --> 02:06:48.426]  That's more than five months free off the regular price.
[02:06:48.787 --> 02:06:55.030]  Not just this July 4th weekend, but the entire month of July at MadeIn1776.com.
[02:06:55.391 --> 02:07:00.474]  Molon Labe, you can take my gun from my cold, dead hands.
[02:07:02.993 --> 02:07:04.034]  In the near future.
[02:07:04.314 --> 02:07:07.976]  When you realize how fake it all is, the football, the basketball.
[02:07:07.996 --> 02:07:08.476]  Security alert.
[02:07:08.836 --> 02:07:09.837]  Security alert.
[02:07:10.057 --> 02:07:11.798]  This is Homeland Security.
[02:07:12.058 --> 02:07:12.678]  Analysis.
[02:07:12.919 --> 02:07:13.579]  InfoWars.
[02:07:13.659 --> 02:07:15.620]  Building independent media operations.
[02:07:15.640 --> 02:07:20.623]  You let the worst people get controlled and tell us that we are the ones responsible.
[02:07:20.643 --> 02:07:21.543]  Prime Directive.
[02:07:21.683 --> 02:07:23.104]  Discredit Alex Jones.
[02:07:23.224 --> 02:07:26.006]  Jones is the wildly popular conspiracy theorist.
[02:07:26.066 --> 02:07:29.148]  A popular conspiracy theory talk show called InfoWars.
[02:07:29.328 --> 02:07:31.489]  Alex Jones is now in an Austin jail.
[02:07:31.809 --> 02:07:33.109]  These people are assaulting us.
[02:07:33.129 --> 02:07:35.410]  Targeting of patriots engaged.
[02:07:35.950 --> 02:07:37.630]  They are never going to stop.
[02:07:37.910 --> 02:07:41.811]  They're never going to deviate from their program until we stop them.
[02:07:41.971 --> 02:07:45.152]  Block free iPhone ads at InfoWars.com.
[02:07:45.552 --> 02:07:48.193]  Block free podcasts and video feeds.
[02:07:48.913 --> 02:07:49.653]  Imperative.
[02:07:49.913 --> 02:07:51.913]  Destroy Prison Minute TV.
[02:07:51.953 --> 02:07:56.314]  You gotta set your eye on the enemy, not worry about what propaganda they put out.
[02:07:56.454 --> 02:07:57.955]  Intellectually, it's begun.
[02:07:57.995 --> 02:07:58.735]  You can feel it.
[02:08:03.328 --> 02:08:08.352]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[02:08:08.732 --> 02:08:10.994]  Because there's a war on for your mind.
[02:08:41.471 --> 02:08:50.015]  Ladies and gentlemen, we are back and I am here, as the music runs out, just trying to get the documents and articles straight.
[02:08:50.295 --> 02:08:57.878]  You can go to the London Guardian from 2006 and you can see the headline that Bush Blair in 2003 had a plan to get a U.S.
[02:08:57.958 --> 02:08:58.118]  aircraft
[02:09:02.120 --> 02:09:03.962]  Shot down, painted up like a U.N.
[02:09:04.002 --> 02:09:07.184]  plane to then blame it on Saddam Hussein.
[02:09:07.684 --> 02:09:11.847]  But they figured out other ways to stage that war then.
[02:09:12.508 --> 02:09:17.131]  There's the headline, Blair Bush deal before Iraq war revealed in secret memo.
[02:09:18.172 --> 02:09:20.814]  PM promised to be solidly behind U.S.
[02:09:20.854 --> 02:09:22.695]  invasion with or without U.N.
[02:09:22.735 --> 02:09:23.116]  backing.
[02:09:24.580 --> 02:09:26.121]  And here's the headlines today.
[02:09:26.541 --> 02:09:32.144]  Out of the Daily Mail, Putin blames Ukraine for loss of the flight, saying it was a war zone.
[02:09:32.204 --> 02:09:34.586]  Why were aircraft being routed through there?
[02:09:35.606 --> 02:09:39.088]  But John McCain responds and says, they'll be hell to pay.
[02:09:39.489 --> 02:09:46.693]  Putin responds by saying, let's have a ceasefire after the plane attack, where they've had a bunch of Ukrainian aircraft bombing people.
[02:09:47.313 --> 02:09:51.456]  And the response out of that was by
[02:09:52.456 --> 02:10:09.573]  The neocons and Bolton to come out in the news, John Bolton, and he said let's go toe-to-toe with the Rooskies right out of the 1964 Dr. Strangelove movie where Slim Pickens rides down the hydrogen bomb starting the end of the world.
[02:10:09.934 --> 02:10:12.456]  Maybe a new Cuban Missile Crisis will play out this time.
[02:10:13.237 --> 02:10:18.220]  Maybe this is how they'll get their total power, ladies and gentlemen.
[02:10:18.260 --> 02:10:23.323]  So, Putin says, let's have peace, and the answer is no, how dare you?
[02:10:23.363 --> 02:10:25.424]  They're calling it Putin's missile.
[02:10:25.784 --> 02:10:34.609]  But when the Ukrainians shot down a Russian passenger liner in 2001, the Russians didn't talk about any military action, because they're the bad guys.
[02:10:35.690 --> 02:10:39.192]  And we're the good guys, because we fund Al-Qaeda, killing Christians all over the Middle East.
[02:10:40.103 --> 02:10:41.563]  And give ISIS heat-seeking missiles.
[02:10:42.264 --> 02:10:44.064]  Again, I'm not for Russia here.
[02:10:44.484 --> 02:10:48.125]  This is the globalists above our countries playing us off against each other.
[02:10:48.165 --> 02:10:56.267]  But George Soros a month ago told the New York Times that he was the main person behind the overthrow of the elected Ukrainian government.
[02:10:56.547 --> 02:11:05.169]  The West started this and then somebody routed that aircraft through that airspace where for months no one's been allowed to fly.
[02:11:07.213 --> 02:11:14.260]  And that's in the news, but it's in CBS News and a few others, but kind of like, yeah, okay, and that's important, but not that big of a deal.
[02:11:14.481 --> 02:11:15.562]  No, it's a big deal.
[02:11:16.889 --> 02:11:20.610]  You don't avenge 300 people killed accidentally, even if the Russians did it.
[02:11:21.210 --> 02:11:23.271]  That's questionable, by starting a larger war.
[02:11:23.731 --> 02:11:24.791]  Well, you know what?
[02:11:25.151 --> 02:11:36.634]  Dr. Catherine Albrecht is right here, in studio with us, and Spyships.com, CatherineAlbrecht.com, A-L-B-R-E-C-H-T.com.
[02:11:36.714 --> 02:11:41.535]  We had Kevin Sorbo on earlier talking about a libertarian film that he stars in.
[02:11:41.555 --> 02:11:44.056]  There's a lot of great people out there promoting freedom.
[02:11:44.396 --> 02:11:45.616]  That's how we're taking the world back.
[02:11:45.996 --> 02:11:50.046]  Sorbo's new film has already made, in just a few months, 69 million dollars.
[02:11:52.512 --> 02:11:54.072]  And he's got another one coming out now.
[02:11:54.432 --> 02:11:55.913]  I have no financial connection to it.
[02:11:55.953 --> 02:11:58.814]  I'm just promoting it because this is how we bring them down.
[02:11:59.314 --> 02:12:01.494]  Our films, our culture, it's superior.
[02:12:01.874 --> 02:12:03.135]  And we set it up against them.
[02:12:03.215 --> 02:12:03.975]  People support it.
[02:12:04.195 --> 02:12:05.715]  People support InfoWars.com.
[02:12:05.995 --> 02:12:06.836]  You promote the show.
[02:12:06.876 --> 02:12:07.836]  You buy our products.
[02:12:08.416 --> 02:12:09.836]  You give them to other people.
[02:12:09.996 --> 02:12:12.057]  That will build a culture of freedom.
[02:12:12.437 --> 02:12:13.497]  Voting with your dollars.
[02:12:13.877 --> 02:12:15.478]  That's why they want to end the free market.
[02:12:16.238 --> 02:12:18.458]  Catherine is the host of Syndicated Program.
[02:12:18.678 --> 02:12:20.279]  She'll be hosting it today out of my studios.
[02:12:21.209 --> 02:12:22.710]  The Dr. Kathryn Albright Show.
[02:12:22.730 --> 02:12:32.556]  And again, she's right here with us, campaigning as usual to expose the whole Technotronic NSA spy chips grid.
[02:12:33.296 --> 02:12:37.359]  And she's here with us in studio and traveling with her lovely friend,
[02:12:37.959 --> 02:12:42.841]  Who's running for, I guess, State Senate, so we'll talk about that some with you as well.
[02:12:42.921 --> 02:12:50.305]  Okay, you can tell I'm wound up, so I'm going to have to sit back here and just get your take on things and catch my breath, but thanks for coming to Texas.
[02:12:50.645 --> 02:13:03.591]  Tell us why you came to Texas and what's coming up, and then let's get into the big picture with you of, wow, everything you talked about, everything I talked about, from light bulbs that are spying on you that people didn't believe to
[02:13:05.011 --> 02:13:08.272]  Smart meters outside your house with microphones listening to you.
[02:13:08.752 --> 02:13:10.613]  I mean, it's all just coming out.
[02:13:10.693 --> 02:13:11.993]  It's a coming out.
[02:13:12.013 --> 02:13:14.474]  They're like, of course we listen to everything you do.
[02:13:14.854 --> 02:13:21.396]  Let's play that Fox News clip with the Wall Street Journal editor saying, we record everything so we'll know who shot down the plane.
[02:13:21.676 --> 02:13:22.976]  This is wonderful!
[02:13:23.857 --> 02:13:25.417]  But except who runs the system.
[02:13:25.437 --> 02:13:27.778]  So we're going to talk about all that and more.
[02:13:27.818 --> 02:13:28.378]  Thanks for coming in.
[02:13:28.638 --> 02:13:42.278]  Hey, thanks Alex and you know one of the things you and I of course knew these things were coming years and years ago and it's only been I think really in the last year or so that people, regular people, people who don't listen to the Alex Jones Show, don't listen to my show have figured it out.
[02:13:42.338 --> 02:13:44.982]  I think a lot of it because of Ed Snowden revealing what's going on.
[02:13:45.382 --> 02:13:47.904]  In a way that even people who want to deny it can't deny it.
[02:13:47.924 --> 02:13:50.185]  They have to say, wow, this really is happening.
[02:13:50.245 --> 02:13:50.565]  Yeah, yeah.
[02:13:50.585 --> 02:13:52.206]  First, they weren't spying on anything.
[02:13:52.266 --> 02:13:56.449]  It was all conspiracies, even though we already had all the other whistleblowers of a decade ago.
[02:13:56.929 --> 02:13:58.910]  William Benny, super high level.
[02:13:59.690 --> 02:14:00.431]  Wayne Madsen.
[02:14:00.451 --> 02:14:02.052]  But just, no, it doesn't exist.
[02:14:02.645 --> 02:14:12.595]  Yeah, and I think what we're undergoing now is sort of a psychological shift to get people into a mindset of accepting and even embracing the very change that they want to put into our lives.
[02:14:13.536 --> 02:14:17.379]  The best example I think right now people can understand is the use of cell phones, right?
[02:14:17.459 --> 02:14:23.245]  Everybody's carrying around a 24-7 tracking device that even 15 years ago... Calling it a phone is a misnomer.
[02:14:23.265 --> 02:14:24.947]  That's one function.
[02:14:25.327 --> 02:14:27.768]  Of a globalist design, total takeover.
[02:14:27.788 --> 02:14:32.149]  I mean, Bill Gates admitted about four or five years ago, he goes, I want Kinect to be like cell phones.
[02:14:32.429 --> 02:14:33.729]  I want to take your life over.
[02:14:34.009 --> 02:14:34.189]  Yeah.
[02:14:34.349 --> 02:14:35.429]  No, it's not a phone.
[02:14:35.629 --> 02:14:41.251]  And I think what we're going to start seeing more and more is these things trying to tentacle into other parts of our lives.
[02:14:41.611 --> 02:14:49.292]  The one that has me probably the most concern right now is our homes, because we've kind of gotten used to, I think we shouldn't have, but we've gotten used to being surveilled in the public sphere.
[02:14:49.313 --> 02:14:51.253]  You walk down the street, there's surveillance cameras, there's
[02:14:52.273 --> 02:14:54.555]  Heat recognition tracking and thermal tracking.
[02:14:54.575 --> 02:14:55.575]  There's all sorts of things going on.
[02:14:55.595 --> 02:14:56.496]  We're tracked from the sky.
[02:14:56.516 --> 02:15:00.178]  They have photographs of the front of our homes, but they don't know what's going on inside of our homes.
[02:15:00.618 --> 02:15:04.120]  And I think that's a big part of what we need to stand up in resistance against.
[02:15:04.420 --> 02:15:07.141]  Well, they don't admit they do, but Google's on record.
[02:15:07.181 --> 02:15:09.142]  The cameras, the microphones, it's all in Lifetime.
[02:15:11.243 --> 02:15:14.364]  But they're trying to sell it to us as something that we will pay for.
[02:15:14.384 --> 02:15:23.826]  This is really the difference between 20th century tyranny and 21st century tyranny, is in the 20th century you use guns and tanks to get your way.
[02:15:23.946 --> 02:15:31.327]  They're still doing a bit of that, but I think they've figured out through all of the psychology that the 20th century contributed and understanding of how people think.
[02:15:31.347 --> 02:15:33.848]  And that's what your doctorate says, you can speak to that.
[02:15:33.908 --> 02:15:34.388]  It is, yes.
[02:15:34.408 --> 02:15:37.871]  I actually have a doctorate in human development and psychology from Harvard University.
[02:15:38.772 --> 02:15:42.195]  Harvard's where they actually teach a lot of the technocrats how to do this.
[02:15:42.595 --> 02:15:43.376]  That's probably true.
[02:15:43.396 --> 02:15:57.667]  At their higher level PhDs, I just had one of those PhDs on Francis Boyle, and he's breaking down, and I've also had other political scientists on who also went there, and at the higher level, they don't even mince words about this.
[02:15:58.035 --> 02:16:00.276]  Well, it's really about understanding what makes people tick.
[02:16:00.416 --> 02:16:04.817]  And I guess like anything else, you can use it for good, you can use it for bad, but it seems like it's being used for bad.
[02:16:04.957 --> 02:16:17.421]  And you look at the recent Facebook scandal, where university professors, people doing psychological research, were able to figure out that if they fed people that negative news, that they would become negative, that these emotions were contagious.
[02:16:17.641 --> 02:16:25.324]  Figuring out how to manipulate people, and then of course what emerges is that... Yeah, Facebook's a lifetime study, just like Disney World admits, on how to control you.
[02:16:25.424 --> 02:16:25.844]  That's right.
[02:16:25.964 --> 02:16:39.915]  So the very professor who was involved in that study, of course, as you know, was also involved with the Defense Department doing research on how to quell dissent, how to make sure that when governments do certain things that people don't rise up or become ruffled or upset.
[02:16:40.235 --> 02:16:45.639]  So the very same professor who's doing that research with the Defense Department is doing this research with Facebook.
[02:16:46.099 --> 02:16:51.280]  And then, right on the heels of that, we find out from Ed Snowden that the intelligence agencies of the U.S.
[02:16:51.320 --> 02:16:53.781]  and Great Britain have been manipulating public opinion.
[02:16:54.401 --> 02:17:00.542]  And the key thing, I think, to understand is that, as individuals, we look to other people to know what to do.
[02:17:00.962 --> 02:17:07.684]  And probably the best example, if you and I were sitting in a theater and we smelled smoke, we might look around and say, is there a fire?
[02:17:07.804 --> 02:17:08.184]  I don't know.
[02:17:08.224 --> 02:17:09.704]  And if everybody else just kind of went,
[02:17:09.944 --> 02:17:12.566]  Whatever, and kept eating their popcorn, we might do the same thing.
[02:17:13.027 --> 02:17:16.910]  But if we smelled smoke and looked around and everybody was running for the exits, we'd get up and run for the exits.
[02:17:17.030 --> 02:17:21.734]  And it's not because we're stupid, it's because we look to other people to figure out what to do.
[02:17:21.754 --> 02:17:25.357]  Now your listeners, my listeners, are a slightly different ilk.
[02:17:25.417 --> 02:17:27.219]  They're programming herd mentality.
[02:17:28.079 --> 02:17:34.723]  Well, they're taking advantage of something that's already in us, which is that we look to other people to see if something is dangerous or not.
[02:17:35.183 --> 02:17:39.346]  That's how they get us eating all of this horrible food, because everybody else is eating it, so it can't be that bad.
[02:17:39.706 --> 02:17:42.868]  But that's also, I think, how they get us to embrace these things.
[02:17:42.908 --> 02:17:43.368]  The cell phone?
[02:17:43.388 --> 02:17:44.128]  Well, everybody's got one.
[02:17:44.168 --> 02:17:46.029]  It can't be bad to be tracked 24-7.
[02:17:46.049 --> 02:17:46.790]  The GPS tracking?
[02:17:46.810 --> 02:17:47.410]  Everybody's got it.
[02:17:49.031 --> 02:17:54.212]  Things on the side of your home that are using RFID to track your electricity usage.
[02:17:54.252 --> 02:17:55.153]  Everybody else is doing it.
[02:17:55.633 --> 02:18:00.954]  So I think that's really where this is going, is figuring out how to make the internet look like nobody cares.
[02:18:01.754 --> 02:18:03.435]  Like NSA revelations.
[02:18:03.855 --> 02:18:04.835]  You do polls on this.
[02:18:04.875 --> 02:18:08.376]  Well, it came out this week, what we already knew, because we're under attack by it, exactly.
[02:18:08.636 --> 02:18:13.437]  They have all these fake bots to drive trends and make it look like freedom isn't popular.
[02:18:13.997 --> 02:18:16.679]  To make it look like it's not popular, and it's just like the smelling smoke.
[02:18:16.779 --> 02:18:20.401]  People think, are we becoming less free, or is there tyranny afoot?
[02:18:20.441 --> 02:18:21.961]  Well let's look around, let me look on the internet.
[02:18:22.342 --> 02:18:25.003]  Oh no, it looks like everything's fine, so I'll just go back to sleep.
[02:18:25.023 --> 02:18:34.168]  Well that's like weird Al Yankovic came out and attacked us this week, and it's got millions of views, and he mixes in kooky stuff with real stuff that's going on.
[02:18:35.809 --> 02:18:39.691]  If you believe the government's done anything wrong, you're a nut with a tinfoil hat.
[02:18:40.819 --> 02:18:49.466]  I mean literally a guy I never even disliked guaranteed got recruited to promote that and put that out for social control.
[02:18:50.629 --> 02:18:55.373]  And the documents keep coming out, but I can just look at it and tell how the script was written.
[02:18:55.853 --> 02:19:03.499]  Because it's a standard deal, and it's so painful to see how they get so many people to join the takedown of our civilization.
[02:19:03.799 --> 02:19:06.301]  Because if you look at what the globalists are planning, that's what's so scary.
[02:19:06.861 --> 02:19:10.624]  They're not bringing in this total social grid to bring peace and tranquility.
[02:19:11.145 --> 02:19:15.548]  It is consciously to bring in a hellish world government that's anti-human.
[02:19:15.865 --> 02:19:27.056]  Well, I think the real goal is that the people at the top, and I call them pond scum, they like to think they're the cream at the top of the milk, but they're really the scum that's risen to the top of the pond to choke out all the oxygen for the rest of us.
[02:19:27.497 --> 02:19:31.981]  And I live in New Hampshire where we have to scrape that stuff off periodically to get some life back into the pond.
[02:19:32.442 --> 02:19:39.689]  And those people at the top, they want us around to clean the streets and take out the garbage, but they really don't want us making major change.
[02:19:40.049 --> 02:19:44.470]  And now they've got the robots coming along, and on record they say, look, just go have fun and play and party.
[02:19:44.830 --> 02:19:45.991]  Humans won't work anymore.
[02:19:46.551 --> 02:19:50.752]  But when you read the more internal documents, they openly say, we just need to get rid of everybody.
