[00:00:00.349 --> 00:00:05.552]  Coast-to-coast, direct from Austin.
[01:27:40.050 --> 01:27:43.372]  We already have the largest prison population in the world.
[01:27:44.192 --> 01:27:45.633]  Bigger than China.
[01:27:47.281 --> 01:27:51.384]  Bigger than China, Russia, and India combined, ladies and gentlemen.
[01:27:53.746 --> 01:27:58.890]  That's well over 2.5 billion people.
[01:27:59.831 --> 01:28:10.600]  There's 7.5 billion people in the world, and the United States has more people with 315 million in prison.
[01:28:12.001 --> 01:28:13.622]  Our nation's 315 million people.
[01:28:13.902 --> 01:28:16.505]  We have more people in prison than China,
[01:28:17.492 --> 01:28:20.633]  Russia, India, and a whole bunch of other countries combined.
[01:28:21.654 --> 01:28:23.555]  I've seen magazines break down the numbers.
[01:28:23.955 --> 01:28:27.076]  We have the largest prison population.
[01:28:27.356 --> 01:28:32.558]  We have the equivalent prison population of what you'd expect of a country that had two and a half billion people in it.
[01:28:34.079 --> 01:28:36.860]  The United States is the world's leading jailer.
[01:28:38.901 --> 01:28:39.701]  Prisoners per 100,000.
[01:28:42.090 --> 01:28:42.811]  We're showing some numbers from 2008.
[01:28:42.911 --> 01:28:48.395]  It's actually much higher than that because a bunch of programs they don't categorize as prison.
[01:28:51.496 --> 01:28:53.457]  And all these work release programs and the rest of it.
[01:28:53.537 --> 01:29:06.964]  This is how they get your rights, is they criminalize everything while letting the big banks launder the money, while letting the big corporations commit any crimes they want, while letting Congress be exempt and insider trade, while they commit every crime you can imagine.
[01:29:06.984 --> 01:29:11.026]  And now the government's gearing up for physical war with the American people.
[01:29:11.426 --> 01:29:13.427]  In fact, I saw a mainstream news article today.
[01:29:14.107 --> 01:29:15.128]  It's here in one of my stacks.
[01:29:15.748 --> 01:29:16.929]  I don't see it in front of me right now.
[01:29:18.112 --> 01:29:25.594]  About how the United States is involved in the biggest arms race domestically ever with every state and federal agency that can.
[01:29:26.334 --> 01:29:32.575]  Arming to the teeth with armored vehicles, automatic weapons, training, and they're training to fight real Americans.
[01:29:33.015 --> 01:29:40.377]  If you know what America is supposed to be about, watchdog.org, under attack, depth of federal arms race should surprise shock citizenry.
[01:29:40.417 --> 01:29:40.997]  There's the headline.
[01:29:42.247 --> 01:29:43.568]  Good job, guys, pulling up so quick.
[01:29:43.588 --> 01:29:45.688]  We're going to come back and go right to your calls.
[01:29:45.828 --> 01:29:48.950]  Mike, Louis, Jessica, Patrick, Adam, and many others.
[01:29:49.490 --> 01:29:55.092]  I'm Alex Jones, your host, InfoWars.com, PrisonPlanet.tv, PrisonPlanet.com.
[01:29:55.432 --> 01:29:57.833]  Follow us on Twitter at RealAlexJones.
[01:29:58.394 --> 01:29:58.914]  Stay with us.
[01:30:00.014 --> 01:30:00.915]  We're on the march.
[01:30:01.395 --> 01:30:03.015]  The Empire's on the run.
[01:30:03.936 --> 01:30:06.617]  Alex Jones and the GCN Radio Network.
[01:30:10.754 --> 01:30:13.656]  This is Alex Jones for InfoWarsLife.com.
[01:30:13.796 --> 01:30:15.758]  The latest in preparedness is now here.
[01:30:15.958 --> 01:30:21.943]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[01:30:22.143 --> 01:30:27.147]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[01:30:27.227 --> 01:30:31.951]  The new InfoWars Life silver bullet colloidal silver is the answer for you and your family.
[01:30:32.091 --> 01:30:36.636]  And it's entirely free of toxic artificial additives that are loaded into many products.
[01:30:36.916 --> 01:30:45.305]  The InfoWars Life Silver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and is not recommended for extended continual use.
[01:30:45.525 --> 01:30:47.467]  This is not a low-grade formula.
[01:30:47.667 --> 01:30:54.815]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver.
[01:30:54.995 --> 01:30:58.758]  Using electrical processes within a base of deionized water.
[01:30:58.819 --> 01:31:00.400]  For your preparedness storage.
[01:31:00.560 --> 01:31:01.541]  For your home kitchen.
[01:31:01.661 --> 01:31:06.305]  Purchase your bottle of InfoWarsLife.com Silver Bullet Colloidal Silver today.
[01:31:06.505 --> 01:31:09.828]  And find other amazing supplements at InfoWarsLife.com
[01:31:10.839 --> 01:31:14.820]  A chemical spill contaminating the water supply in nine West Virginia counties.
[01:31:14.900 --> 01:31:18.982]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[01:31:19.102 --> 01:31:22.543]  What are the health effects of having these drugs in our drinking water?
[01:31:22.803 --> 01:31:25.664]  It's forced medical treatment without the consent of residents.
[01:31:25.824 --> 01:31:33.086]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[01:31:33.326 --> 01:31:36.949]  On average, the county says it sprays with the glyphosate at least once a week.
[01:31:37.209 --> 01:31:40.111]  Fluoride is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[01:32:03.306 --> 01:32:04.328]  Call toll free at 888-253-3139.
[01:32:11.089 --> 01:32:18.276]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[01:32:18.376 --> 01:32:20.538]  But it's not just the air outside that's toxic.
[01:32:20.738 --> 01:32:25.923]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[01:32:26.083 --> 01:32:31.208]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[01:32:31.328 --> 01:32:34.431]  There are more than 42 million smokers in the United States.
[01:32:34.691 --> 01:32:38.614]  Well over a thousand types of mold and mildew linked to numerous conditions.
[01:32:38.834 --> 01:32:43.157]  And don't forget the fact that six million Americans live with pets they're allergic to as well.
[01:32:43.217 --> 01:32:53.364]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[01:32:53.584 --> 01:33:04.531]  Made with organic and wild cultivated herbs and manufactured in the USA, the new InfoWars Life Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[01:33:04.651 --> 01:33:08.639]  Now available exclusively at InfoWarsLife.com or by calling toll free 888-253-3139.
[01:33:22.725 --> 01:33:32.870]  It is only fitting that a free screen should sound the alarm against those who would destroy freedom.
[01:33:33.470 --> 01:33:41.194]  For in its power to deceive and inflame, or enlighten and inspire, the motion picture has no equal.
[01:33:46.678 --> 01:33:48.019]  Alex Jones here, back live.
[01:33:48.180 --> 01:33:51.483]  It is the globalists that have seized control for decades.
[01:33:52.624 --> 01:33:54.846]  Mainstream television, print media, and Hollywood.
[01:33:54.986 --> 01:33:57.769]  We, the people, are seizing control back.
[01:33:58.209 --> 01:34:03.674]  Just producing our own media, with our own perspective, with serious bias towards truth and liberty.
[01:34:04.534 --> 01:34:05.334]  And we have built it.
[01:34:05.394 --> 01:34:05.994]  They have come.
[01:34:06.835 --> 01:34:10.515]  And I would suggest to all of you out there, don't think you're going to be perfect out of the gates.
[01:34:10.615 --> 01:34:11.656]  I certainly am still not.
[01:34:12.096 --> 01:34:12.636]  Far from it.
[01:34:13.376 --> 01:34:14.776]  But start your own YouTube channel.
[01:34:14.816 --> 01:34:15.917]  Start your own access show.
[01:34:16.277 --> 01:34:17.677]  Start your own local radio show.
[01:34:17.717 --> 01:34:18.937]  Start your own web blog.
[01:34:19.778 --> 01:34:20.738]  Go to city council.
[01:34:20.778 --> 01:34:21.398]  Pick an issue.
[01:34:21.478 --> 01:34:22.058]  Speak about it.
[01:34:22.418 --> 01:34:23.318]  Get involved.
[01:34:23.418 --> 01:34:24.559]  Get in the process.
[01:34:25.379 --> 01:34:28.380]  Together we will defeat the tyranny.
[01:34:29.060 --> 01:34:33.981]  Thomas Jefferson said that all that evil men and tyrants need to flourish is that good men and women do nothing.
[01:34:35.828 --> 01:34:36.948]  Well, let's stop doing nothing.
[01:34:36.968 --> 01:34:37.689]  Let's take action.
[01:34:38.229 --> 01:34:45.511]  I want to go to your phone calls now, ahead of some other important audio clips and video clips and news I want to break down here today.
[01:34:45.531 --> 01:35:00.057]  We're going to get into some very important information on the economic front, also with what's happening in the Middle East, as well as Ukraine, and some new information on good old Al Sharpton.
[01:35:00.797 --> 01:35:03.578]  The Smoking Gun is saying that he was really a
[01:35:06.385 --> 01:35:10.989]  Informant against the mafia and against other groups for the FBI.
[01:35:11.009 --> 01:35:19.956]  I mean, Al Sharpton has always been a bloated, disgusting, pig-like, just wannabe tough guy.
[01:35:20.637 --> 01:35:20.977]  Thug!
[01:35:20.997 --> 01:35:22.338]  I mean, the guy is a complete joke.
[01:35:22.899 --> 01:35:27.543]  He is a race pimp and just a complete fraud.
[01:35:28.884 --> 01:35:32.427]  And again, I'm not demonizing somebody for being an informant against the mob.
[01:35:32.947 --> 01:35:34.829]  It's just so perfect.
[01:35:36.403 --> 01:35:41.086]  That they're reporting this about him because I'll guarantee you he was reporting on black people.
[01:35:41.927 --> 01:35:53.134]  I will guarantee you he wasn't allowed to pull the shenanigans he pulled and create the political diversions where he was acting like he was fighting the political establishment in New York without some serious backing.
[01:35:55.055 --> 01:35:57.857]  Because if I said the kind of things he said, I'd be in jail.
[01:35:59.366 --> 01:36:02.807]  I learned this a long time ago when I said Hal Turner is an FBI informant.
[01:36:03.248 --> 01:36:03.788]  Bare minimum.
[01:36:04.048 --> 01:36:05.008]  Came out in federal court.
[01:36:05.429 --> 01:36:10.971]  National security level clearance in an unnamed agency for the FBI.
[01:36:12.292 --> 01:36:15.833]  Did that stop them from putting him in jail for threatening federal judges and state judges?
[01:36:16.733 --> 01:36:18.654]  When they were ready to destroy him, they destroyed him.
[01:36:19.875 --> 01:36:26.958]  Because hackers got into his email and showed that he was an FBI informant trying to stir up
[01:36:28.314 --> 01:36:31.715]  Riots in the country so they could demonize libertarians and people.
[01:36:33.256 --> 01:36:33.896]  Let me tell you something.
[01:36:34.216 --> 01:36:46.880]  If somebody attacks me every week on the radio and says I'm a Fed and says I need to be dealt with and stuff and then also calls for violence against other people, you can guarantee they're a Fed, ladies and gentlemen.
[01:36:46.900 --> 01:36:50.461]  100% Cass Sunstein-style garbage.
[01:36:51.321 --> 01:36:53.722]  Mike, in Pennsylvania, you're on the air.
[01:36:53.802 --> 01:36:54.162]  Welcome.
[01:36:55.754 --> 01:36:56.854]  Alex Jones, how are you?
[01:36:56.874 --> 01:36:57.914]  I'm all right, brother.
[01:36:57.954 --> 01:36:58.875]  How may I serve you?
[01:36:59.755 --> 01:37:02.135]  Well, I have a comment and I have a question for you.
[01:37:02.315 --> 01:37:02.615]  Okay.
[01:37:02.655 --> 01:37:07.056]  I guess the first comment, Obamacare, all open eyes.
[01:37:07.296 --> 01:37:14.417]  I mean, and this is for the people that are dumbed down, don't understand anything, don't want to take the time to look into anything.
[01:37:15.537 --> 01:37:24.399]  People are lied to openly and they still, they still just don't think, well, wait, you know, maybe there's something more to this.
[01:37:25.362 --> 01:37:32.264]  I try to talk to people, you know, to get them to look a little bit deeper, but nobody wants to take the time.
[01:37:32.924 --> 01:37:39.826]  And I've got to be honest with you, these things that they're putting in our food and our water are working.
[01:37:40.807 --> 01:37:49.049]  And, wow, you know, how do you... It's very difficult to try to avoid these things nowadays, you know?
[01:37:53.855 --> 01:38:01.299]  We try to do so much, but in reality, I think it's the smaller percentage in the world that's going to be the savior.
[01:38:01.780 --> 01:38:02.480]  Oh, I agree with you.
[01:38:02.740 --> 01:38:06.602]  And look, it's never been a majority that changes things for the side of good or evil.
[01:38:07.343 --> 01:38:13.486]  So we know that we've got to be a vocal, animated minority that leads the rest of the sheep out of bondage.
[01:38:14.267 --> 01:38:15.347]  That's what's going to have to happen.
[01:38:15.587 --> 01:38:16.708]  I mean, look at Al Sharpton.
[01:38:17.929 --> 01:38:18.369]  Report.
[01:38:19.540 --> 01:38:29.548]  Reverend was wired, paid to snitch, account of Sharpton's secret life as CI-17, based on hundreds of pages of confidential FBI affidavits and documents.
[01:38:30.368 --> 01:38:35.873]  Of course, most of these black leaders, including Jesse Jackson that came out, were federal informants.
[01:38:36.453 --> 01:38:42.078]  And of course, Jesse Jackson was there to lead Martin Luther King out on the balcony and then to put out the official story.
[01:38:42.098 --> 01:38:45.600]  I've got a question for you, if I could.
[01:38:45.900 --> 01:38:46.181]  Go ahead.
[01:38:47.328 --> 01:38:49.270]  Uh, do you plan on doing this calendar?
[01:38:49.711 --> 01:38:51.212]  I think it's a great idea.
[01:38:51.332 --> 01:38:54.736]  Oh, you'd like to see, you'd like to see, uh, McAdoo in a bikini, huh?
[01:38:55.757 --> 01:38:57.919]  I'd like to see my wife in a bikini on the calendar.
[01:38:58.920 --> 01:39:05.206]  Well, listen, a lot of talk shows have put out calendars with women with guns, and I'm all for it.
[01:39:06.772 --> 01:39:08.415]  I'm not for putting one out with men on it.
[01:39:08.555 --> 01:39:09.356]  I'm just going to be honest.
[01:39:09.637 --> 01:39:10.979]  Again, I'm discriminating here.
[01:39:10.999 --> 01:39:11.700]  I'm being sarcastic.
[01:39:12.041 --> 01:39:15.126]  The point is that it is a good idea.
[01:39:15.607 --> 01:39:17.770]  People have had the idea, but I'd like to do it with real women.
[01:39:18.780 --> 01:39:20.681]  And then really shake up the feminists.
[01:39:20.721 --> 01:39:34.864]  Maybe not have them in bikinis or something, but maybe dressed up in dresses, you know, in the kitchen with the cherry pattern on the wallpaper, with maybe a little black Scotty Dog looking up at them lovingly, holding, say, Barrett 50 gals.
[01:39:35.385 --> 01:39:41.726]  I think something tasteful within a little bit of Second Amendment lore and quotes about the Second Amendment on one side of it.
[01:39:41.766 --> 01:39:42.326]  How does that sound?
[01:39:42.646 --> 01:39:44.407]  Would everybody like to hang that calendar up?
[01:39:46.481 --> 01:39:48.103]  Only if my face isn't on it.
[01:39:48.623 --> 01:39:50.585]  We can put my face on McAdoo's body.
[01:39:50.985 --> 01:39:52.266]  How does that sound?
[01:39:52.466 --> 01:39:58.431]  You don't need a bikini to make the woman sexy with guns, that's for sure.
[01:39:58.691 --> 01:39:59.172]  That's right.
[01:39:59.712 --> 01:40:00.172]  That's right.
[01:40:00.433 --> 01:40:02.534]  Alright, you have a good day, sir.
[01:40:02.614 --> 01:40:03.275]  Alright, alright.
[01:40:03.335 --> 01:40:05.316]  No, it's a great idea to promote the Second Amendment.
[01:40:05.837 --> 01:40:08.199]  I just, I got bigger fish to fry than chasing around.
[01:40:09.858 --> 01:40:14.404]  You know, the leads, putting the ads out, finding, you know, the women to do it.
[01:40:14.905 --> 01:40:19.111]  But, I mean, I've been to gun rallies and seen a lot of beautiful women, so I was dead serious the other day.
[01:40:19.131 --> 01:40:21.674]  They were having a Skype feed, and I said, those are some lovely ladies.
[01:40:21.715 --> 01:40:22.996]  That one right there could be in the calendar.
[01:40:23.016 --> 01:40:25.279]  You know, we have to actually get 12 women for this calendar.
[01:40:26.383 --> 01:40:35.606]  You know, and then I have to sit there and do the shoot, and mess with it, and it would raise some money for the operation, and would help promote the Second Amendment, so I don't know.
[01:40:36.206 --> 01:40:41.308]  We gotta get cracking on it if we are, and I've got a film to finish that's behind, I've got the TV system to launch.
[01:40:41.448 --> 01:40:43.308]  I don't know if we're gonna have a calendar this year.
[01:40:44.849 --> 01:40:46.309]  You know, maybe next year.
[01:40:48.750 --> 01:40:49.850]  Patrick in Oregon.
[01:40:50.230 --> 01:40:51.571]  Patrick, you're on the air, go ahead.
[01:40:53.351 --> 01:40:54.112]  Alex, can you hear me?
[01:40:54.492 --> 01:40:55.112]  Yes sir, go ahead.
[01:40:56.665 --> 01:40:58.106]  Oh, hey Alex.
[01:40:58.206 --> 01:41:00.586]  I just wanted to share my story real quick.
[01:41:01.707 --> 01:41:11.430]  I had a sports injury and I was faced with the decision to either walk or have a surgery again, as it was off-season of my seasonal job.
[01:41:12.310 --> 01:41:14.250]  I decided to go ahead with the surgery.
[01:41:14.450 --> 01:41:20.292]  I had saved up a bunch of money, so I paid for all my CAT scans, x-rays, doctor visits, and cash.
[01:41:24.532 --> 01:41:28.874]  And anyway, so the day before the surgery, I go and I try to sign up.
[01:41:29.194 --> 01:41:32.176]  I don't actually try to sign up for a bond care, they push it on me.
[01:41:32.196 --> 01:41:41.040]  And they're like, we'll pay for your surgery, we'll pay for your pre-existing, everything that you paid for, and everything in the future.
[01:41:41.060 --> 01:41:43.201]  And who was they, the hospital?
[01:41:44.361 --> 01:41:47.323]  The hospital that I went to, yeah, yeah.
[01:41:47.363 --> 01:41:50.544]  So up until the day of my surgery, I had paid for everything in cash.
[01:41:50.604 --> 01:41:51.945]  I understand, so tell us what happened.
[01:41:53.148 --> 01:42:07.385]  So anyway, I go through with the surgery and in order to get the benefits of Obamacare, I had to give them all of my personal information, my social security number, they wanted to know
[01:42:08.395 --> 01:42:14.780]  What job I was going to have, when I was going to start, how much money I made, how much money I had in the bank.
[01:42:15.060 --> 01:42:19.003]  I was about to say, because they're going to come after your wages later.
[01:42:19.504 --> 01:42:21.105]  It's actually in the legislation.
[01:42:21.465 --> 01:42:23.547]  They're going to claw the money back, just like in England.
[01:42:24.067 --> 01:42:28.290]  But now the government gets it instead of the corporations, and then they pass the money through to them.
[01:42:28.891 --> 01:42:31.232]  So I believe you were given a line of bull.
[01:42:31.613 --> 01:42:32.934]  Did you go to a city hospital?
[01:42:35.716 --> 01:42:37.237]  I went to a private hospital.
[01:42:38.066 --> 01:42:39.127]  All right, so how did this end?
[01:42:40.709 --> 01:42:43.994]  So, I went through with the surgery, that came out fine.
[01:42:45.255 --> 01:42:55.628]  I'm going to be capable of walking, which is wonderful, but that didn't really have anything to do with the Obamacare, though, because in order to get the benefits that I needed to
[01:43:00.334 --> 01:43:00.854]  No, I get it.
[01:43:00.874 --> 01:43:04.738]  Now they make you go through the federal government to get the charity care that was already there.
[01:43:04.758 --> 01:43:05.559]  I appreciate your call.
[01:43:05.579 --> 01:43:06.660]  Yeah, that's a big facet of it.
[01:43:06.980 --> 01:43:10.964]  Folks, most hospitals, even if they're private or charities, they're tax-exempt.
[01:43:12.166 --> 01:43:16.270]  And they're supposed to give about a third or half, depending on their charter, of their care for free.
[01:43:17.529 --> 01:43:21.070]  And then corporations donate money and things to pay for prosthesis or stuff like that.
[01:43:21.690 --> 01:43:25.390]  Then if you are sick, then you can go get charity care.
[01:43:25.470 --> 01:43:27.171]  Obamacare begins to phase that out.
[01:43:27.831 --> 01:43:29.751]  But that's after they bankrupt the healthcare system.
[01:43:30.911 --> 01:43:36.232]  Then people think who are poor, they're getting free healthcare because of Obamacare, when they would have already gotten it.
[01:43:39.133 --> 01:43:43.054]  And then one characteristic of it is it begins to phase out the actual free care you would have gotten.
[01:43:43.694 --> 01:43:45.334]  No more knee surgery, just here's a cane.
[01:43:46.713 --> 01:43:47.434]  Adam in Iowa.
[01:43:47.454 --> 01:43:47.994]  You're on the air.
[01:43:48.014 --> 01:43:48.534]  Go ahead, Adam.
[01:43:49.735 --> 01:43:50.095]  Yes, sir.
[01:43:51.456 --> 01:43:52.237]  Can you hear me all right?
[01:43:52.517 --> 01:43:53.197]  Absolutely.
[01:43:54.418 --> 01:43:54.638]  All right.
[01:43:55.219 --> 01:43:59.461]  My wife currently got on the affordable care joke.
[01:44:02.023 --> 01:44:02.563]  It works.
[01:44:02.984 --> 01:44:03.784]  I can tell you that.
[01:44:03.864 --> 01:44:05.325]  They actually do pay for things.
[01:44:08.247 --> 01:44:09.508]  It did raise her premium.
[01:44:10.108 --> 01:44:10.909]  It doubled it.
[01:44:11.755 --> 01:44:13.036]  But see, you're paying for it.
[01:44:13.076 --> 01:44:13.917]  That's what I'm saying.
[01:44:14.397 --> 01:44:19.141]  All it does is send you to select inside corporations who then jack up the price.
[01:44:19.481 --> 01:44:21.823]  It's kicked 10 million people off their health care.
[01:44:21.843 --> 01:44:23.324]  I mean, it's a total fraud.
[01:44:24.145 --> 01:44:29.148]  Yeah, they canceled our old plan and we had to get on a new one through our employment plan.
[01:44:29.409 --> 01:44:30.269]  And it's gone up.
[01:44:30.670 --> 01:44:33.332]  So, would you have done this before if you had a choice?
[01:44:36.281 --> 01:44:37.082]  But isn't it a great deal?
[01:44:37.142 --> 01:44:40.885]  I mean, Ellen DeGeneres says everyone quote loves it.
[01:44:41.545 --> 01:44:42.566]  It's a great success.
[01:44:42.686 --> 01:44:43.827]  We should all thank Obama.
[01:44:44.067 --> 01:44:45.489]  Would you like to thank Obama right now?
[01:44:46.589 --> 01:44:47.510]  No, thank you.
[01:44:48.991 --> 01:44:52.914]  So, what are your other points on the subject?
[01:44:54.175 --> 01:44:55.697]  Well, it raises your premium.
[01:44:55.737 --> 01:45:00.681]  She's got a $2,500 deductible that has to be met before the insurance is any good at all.
[01:45:03.815 --> 01:45:07.316]  So, if you go to the doctor, I mean, you get the bill from the doctor.
[01:45:08.196 --> 01:45:12.317]  And then I actually have a question for you, also, after we're done with Obamacare here.
[01:45:12.557 --> 01:45:12.897]  Okay.
[01:45:13.137 --> 01:45:21.019]  Because I keep up with world events, I keep up with the stock market, I owned a gun shop, and that's not good.
[01:45:22.699 --> 01:45:32.641]  Hey, when I turned in my FFL, my federal firearms license, they took my 4473s, which I'm supposed to keep for 20 years, as you know,
[01:45:33.934 --> 01:45:37.756]  So, if you think you haven't registered your gun, you haven't.
[01:45:38.556 --> 01:45:38.856]  That's right.
[01:45:38.876 --> 01:45:44.999]  For those that don't know, the yellow forms, supposedly by law, are supposed to be kept on site, but not given to the government.
[01:45:45.279 --> 01:45:46.760]  They've caught them over and over again.
[01:45:47.180 --> 01:45:48.921]  Most gun shops now have them digitally.
[01:45:48.941 --> 01:45:50.942]  It ends up going to the ATF.
[01:45:52.363 --> 01:45:57.165]  Describe what happened when you went in to get rid of your FFL, I guess it's shut down your gun shop.
[01:45:57.465 --> 01:45:58.266]  Describe what happened.
[01:45:59.166 --> 01:46:00.567]  Well, actually, they came to my house.
[01:46:01.240 --> 01:46:04.864]  So they came to your house, and what, the ATF took the forms?
[01:46:05.865 --> 01:46:12.332]  They took the forms, my acquisitions, dispositions book, my FFL.
[01:46:13.673 --> 01:46:17.858]  They took pretty much everything, all the information on all the customers, everything.
[01:46:19.076 --> 01:46:19.936]  I want you to start over.
[01:46:19.996 --> 01:46:33.381]  Tell us the general area you live in, what type of gun dealer you were, and explain the FFL, and explain how big a deal this is, because what the ATF is doing is illegal, but they've been caught doing it over and over again.
[01:46:33.561 --> 01:46:36.441]  I mean, did you ask them at the time, hey, you're not supposed to do this?
[01:46:37.722 --> 01:46:38.102]  Well, yeah.
[01:46:38.682 --> 01:46:39.502]  Okay, well tell the story.
[01:46:40.583 --> 01:46:43.564]  Well, I was a pawn shop here in Iowa.
[01:46:44.244 --> 01:46:45.964]  I'm in the central part of Iowa.
[01:46:46.064 --> 01:46:47.485]  Well, pal, I'm in Belle Point, Iowa.
[01:46:48.587 --> 01:46:53.388]  I mean, they're listening to my conversation anyway, so, you know, they know where I'm at.
[01:46:54.528 --> 01:46:57.669]  It was a little pawn shop down here that I accepted guns.
[01:46:59.189 --> 01:47:00.590]  And then, you know, resold them.
[01:47:01.190 --> 01:47:04.250]  And then you write it down in the Acquisitions and Dispositions book.
[01:47:04.270 --> 01:47:11.192]  When you acquire the gun, you write it down in the Acquisitions part, where you put it, where you acquired it from.
[01:47:11.212 --> 01:47:14.292]  In the Dispositions, you write down where the gun went.
[01:47:15.433 --> 01:47:15.733]  Okay?
[01:47:15.753 --> 01:47:16.813]  To the person it went to.
[01:47:17.956 --> 01:47:22.457]  Not only, now they took the acquisitions book and dispositions book and they took the form 4473.
[01:47:22.977 --> 01:47:27.598]  Okay, which I am supposed to keep for 20 years.
[01:47:30.159 --> 01:47:30.619]  On site.
[01:47:31.099 --> 01:47:33.299]  For 20 years I'm supposed to hold on to this form.
[01:47:33.319 --> 01:47:35.380]  Okay, and that didn't happen.
[01:47:35.420 --> 01:47:40.321]  They came to the house here when I called them and told them I was closing down, turning in my federal firearms license.
[01:47:41.241 --> 01:47:44.621]  That I was, you know, closing because of this crazy insurance shit.
[01:47:45.222 --> 01:47:46.962]  They, excuse my language,
[01:47:47.924 --> 01:47:56.227]  They came and got the 4473s, acquisitions and dispositions books, so they have all the records of everybody that I ever sold a gun to.
[01:47:56.247 --> 01:47:57.908]  And that is illegal.
[01:47:57.928 --> 01:47:58.888]  They're not supposed to do that.
[01:47:59.088 --> 01:47:59.408]  That's right.
[01:47:59.448 --> 01:48:01.869]  The law says that they're never to save it or keep it.
[01:48:02.249 --> 01:48:05.831]  They're allowed to go in for specific investigations with warrants.
[01:48:06.801 --> 01:48:10.746]  And check on the specific form, by the alphabet, in your files.
[01:48:11.647 --> 01:48:15.492]  And there have been major lawsuits, they've been caught doing it, there's been congressional investigations.
[01:48:15.992 --> 01:48:20.218]  And I've been told by other gun dealers, this has been in the news as well, they come in and threaten them.
[01:48:21.283 --> 01:48:31.207]  And say we're going to find some reason in a white glove inspection to basically indict you unless you just give us everybody's names and unless you violate the law.
[01:48:31.548 --> 01:48:40.111]  And so that's a giant organized criminal conspiracy against the law just like the NSA is and against the people by this criminal government.
[01:48:41.152 --> 01:48:42.653]  And your testimony is very important.
[01:48:42.673 --> 01:48:45.194]  What we're going to do is we're going to take this clip.
[01:48:46.004 --> 01:48:48.646]  I told them that I was supposed to hang on to it for 20 years.
[01:49:16.383 --> 01:49:23.829]  For the tracking purposes of guns, where, you know, they contact me if the gun has gone missing or something like this or used in a crime.
[01:49:23.849 --> 01:49:27.112]  And he said we will handle the tracking from now on.
[01:49:28.473 --> 01:49:30.214]  And that was pretty much the end of the conversation.
[01:49:30.234 --> 01:49:30.955]  He took the box.
[01:49:33.557 --> 01:49:34.478]  That was it, right there.
[01:49:35.158 --> 01:49:37.620]  I told him that I was supposed to keep them for 20 years.
[01:49:37.680 --> 01:49:39.021]  Apparently, he disagreed with me.
[01:49:39.742 --> 01:49:40.362]  Oh, you never know.
[01:49:40.402 --> 01:49:42.864]  They may come and indict you later, claiming you didn't keep the records.
[01:49:42.884 --> 01:49:44.546]  I mean, that's how criminal the ATF is.
[01:49:45.339 --> 01:49:54.462]  They will take somebody who bought an M4 at a store that's semi-auto, and then they will take the gun and mess with it and say they were able to fire it full-auto and put you in jail.
[01:49:55.383 --> 01:49:59.664]  Doctors, lawyers, veterans, the better a person you are, the more they hate you.
[01:49:59.904 --> 01:50:02.105]  They have a total criminal instinct.
[01:50:02.585 --> 01:50:04.546]  I mean, they bombed Oklahoma City for heaven's sakes.
[01:50:04.566 --> 01:50:07.887]  I mean, we know the ATF people that were involved.
[01:50:07.927 --> 01:50:08.588]  It's unbelievable.
[01:50:09.668 --> 01:50:12.189]  And now they're doing everything digitally.
[01:50:13.297 --> 01:50:18.560]  So I had to convert over to digital to where the form 4473 is now done online.
[01:50:19.840 --> 01:50:28.725]  So, and your acquisitions and dispositions is also done online, so when they do this, it's just automatically sent to them.
[01:50:29.383 --> 01:50:31.804]  Yeah, the answer is get your guns in private sales, folks.
[01:50:33.105 --> 01:50:34.326]  People say, well, I don't have them to hide.
[01:50:34.426 --> 01:50:35.147]  They're coming for them.
[01:50:35.167 --> 01:50:38.809]  I mean, this is a larcenous group that conquered the country through crime.
[01:50:39.169 --> 01:50:44.332]  They've built organized crime armies of paramilitary who are training for all-out war with us.
[01:50:44.372 --> 01:50:44.832]  It's treason.
[01:50:45.433 --> 01:50:46.113]  God bless you, sir.
[01:50:46.133 --> 01:50:47.094]  Appreciate your testimony.
[01:50:47.174 --> 01:50:47.814]  Adam in Iowa.
[01:50:48.695 --> 01:50:49.735]  We'll get that video up.
[01:50:51.156 --> 01:50:56.439]  ATF criminally takes gun records.
[01:50:58.321 --> 01:50:58.921]  That's what they're doing.
[01:51:00.437 --> 01:51:02.239]  ATF is keeping illegal database of gun owners.
[01:51:02.759 --> 01:51:03.960]  Because it's on record they're doing that.
