[00:00:00.287 --> 00:00:01.129]  Let's do this!
[01:51:38.539 --> 01:51:41.020]  Get your Blocket Pocket at BlocketPocket.com.
[01:51:43.857 --> 01:51:46.198]  Hi, Ted Anderson with Midas Resources.
[01:51:46.198 --> 01:51:50.899]  Is it time to convert paper 401ks and IRAs to solid gold and silver yet?
[01:51:50.899 --> 01:51:52.660]  Get our 10 Reasons book free.
[01:51:52.660 --> 01:51:54.601]  Call 800-686-2237.
[01:51:54.601 --> 01:51:55.781]  That's 800-686-2237.
[01:51:55.781 --> 01:52:01.843]  This is Alex Jones for InfoWarsLife.com.
[01:52:01.843 --> 01:52:03.964]  The latest in preparedness is now here.
[01:52:03.964 --> 01:52:09.866]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[01:52:10.106 --> 01:52:19.994]  Concentrated to 30 parts per million in what has been dubbed the Survival Silver Solution, the new InfoWars Life Silver Bullet Colloidal Silver is the answer for you and your family.
[01:52:19.994 --> 01:52:24.778]  And it's entirely free of toxic artificial additives that are loaded into many products.
[01:52:24.778 --> 01:52:33.325]  The InfoWars Life Silver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and is not recommended for extended continual use.
[01:52:33.325 --> 01:52:35.247]  This is not a low-grade formula.
[01:52:35.447 --> 01:52:46.530]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver using electrical processes within a base of deionized water.
[01:52:46.530 --> 01:52:57.453]  For your preparedness storage or your home kitchen, purchase your bottle of InfoWarsLife.com Silver Bullet Colloidal Silver today and find other amazing supplements at InfoWarsLife.com.
[01:52:58.613 --> 01:53:01.215]  If you owe the IRS back taxes, listen carefully.
[01:53:01.215 --> 01:53:06.257]  Sweeping changes to IRS policies will help more people than ever eliminate their tax debts once and for all.
[01:53:06.257 --> 01:53:11.480]  And now, I can help you reduce or eliminate your tax debts and end your tax nightmare.
[01:53:11.480 --> 01:53:12.661]  Hi, I'm Dan Pilla.
[01:53:12.661 --> 01:53:15.943]  I've helped thousands of people reduce and eliminate tax debts they couldn't pay.
[01:53:15.943 --> 01:53:21.486]  And after more than 30 years of experience dealing with the IRS, I can tell you there's no such thing as a hopeless tax case.
[01:53:21.906 --> 01:53:27.169]  And with the IRS's new policies, it's easier than ever to put your tax debt behind you once and for all.
[01:53:27.169 --> 01:53:31.831]  Call now at 800-346-6829 to learn how I can help you.
[01:53:31.831 --> 01:53:36.253]  You know your IRS debt will not go away by itself, but you don't have to live in fear anymore.
[01:53:36.253 --> 01:53:39.234]  Call 800-346-6829.
[01:53:39.234 --> 01:53:46.958]  Learn how I can help you eliminate wage and bank levies, release tax liens, and negotiate a settlement with the IRS that will put your tax nightmare behind you forever.
[01:53:47.498 --> 01:53:52.759]  Call 800-34-NO-TAX or go to TaxHelpOnline.com.
[01:53:52.759 --> 01:53:59.761]  That's TaxHelpOnline.com.
[01:53:59.761 --> 01:54:15.926]  People say, hey, let us have a big centralized government that runs everything and cares about us.
[01:54:17.040 --> 01:54:25.146]  No, it is a predatory globalist system and that's why we're in so much trouble.
[01:54:25.146 --> 01:54:31.811]  And I have been to a lot of churches, folks, and very few of them have the courage to tell the truth.
[01:54:31.811 --> 01:54:39.796]  I've found there's actually a lot of 501c3 churches now that are criticizing the criminal government and are telling the truth.
[01:54:39.796 --> 01:54:41.838]  So I think you either do one of two things or both.
[01:54:42.560 --> 01:54:52.826]  You go and you set up your own 501c3 outside of it and find people that want to support so you can reach out in the community with the truth?
[01:54:52.826 --> 01:55:01.471]  Or you do what a lot of churches have done and pledge to break the blockade where they claim that churches don't have a right to the First Amendment.
[01:55:01.471 --> 01:55:07.155]  Now I get they claim, well you're no longer a church, you're a 501c3, but they still act like you're a church.
[01:55:07.155 --> 01:55:09.096]  So you can hold the First Amendment up there.
[01:55:09.096 --> 01:55:11.097]  I think it trumps that whole charity law.
[01:55:12.759 --> 01:55:14.781]  Because it's all fraud based.
[01:55:14.781 --> 01:55:21.607]  It's kind of like people 20 years ago didn't know the Federal Reserve was private and would laugh at you if you said it and the ADL said it was racist.
[01:55:21.607 --> 01:55:24.790]  Now almost everyone in national polls knows it's private.
[01:55:24.790 --> 01:55:27.132]  They want it audited or abolished.
[01:55:27.132 --> 01:55:31.135]  We've passed it twice in the House to audit it and the Senate's killed it.
[01:55:31.135 --> 01:55:33.598]  So we've gone from nowhere to somewhere.
[01:55:34.361 --> 01:55:42.927]  And Chuck, again Pastor Chuck Baldwin's our guest right now, I think that's really the good news here is people don't know what they've had until it's gone.
[01:55:42.927 --> 01:55:47.371]  And there is an awakening happening.
[01:55:47.371 --> 01:55:49.512]  But it's more of a division.
[01:55:49.512 --> 01:55:54.076]  People are either waking up and they're getting more awake or they're falling deeper into delusion.
[01:55:54.963 --> 01:56:00.166]  But the people that are in delusion, I found, aren't even really conscious.
[01:56:00.166 --> 01:56:01.606]  And so they're not even really in the game.
[01:56:01.606 --> 01:56:05.508]  So there's a lot of positive things happening right now.
[01:56:05.508 --> 01:56:08.890]  And if our listeners will go out and show this to their pastors, challenge them,
[01:56:11.010 --> 01:56:12.391]  And then hold their feet to the fire.
[01:56:12.391 --> 01:56:15.973]  I think a lot of them will make the decision to do the right thing.
[01:56:15.973 --> 01:56:17.994]  But separately, what about the movement?
[01:56:17.994 --> 01:56:25.599]  Because I know you're aware of all the different developments out there that I've seen of even big churches to say, no, we're going to say no to the system.
[01:56:25.599 --> 01:56:34.764]  We're not going to be bullied, especially when Democratic affiliated so-called churches can do whatever they want politically.
[01:56:34.764 --> 01:56:39.827]  So I'm saying even within the 501c3 system, it's not equally enforced.
[01:56:39.827 --> 01:56:40.588]  So it's a fraud.
[01:56:41.755 --> 01:56:44.296]  Well, yeah, it's not equally enforcing.
[01:56:44.296 --> 01:56:48.118]  In fact, it's more intimidation than anything else.
[01:56:48.118 --> 01:57:07.109]  Look, I used to pastor a 501c3 church, Alex, as you know, and I remember I would get, about twice a year, I would get a letter in the mail from usually a law firm representing the IRS, and it would say, okay, as a pastor, here's the things you can do, point, point, point.
[01:57:07.109 --> 01:57:09.610]  Here's the things you can't do, point, point, point.
[01:57:09.610 --> 01:57:11.091]  As a church, here's what you can do.
[01:57:11.861 --> 01:57:13.102]  Here's what you can't do.
[01:57:13.102 --> 01:57:14.503]  I would get that about twice a year.
[01:57:14.503 --> 01:57:16.825]  Now I would just throw it in the garbage can.
[01:57:16.825 --> 01:57:18.786]  It didn't faze me a bit.
[01:57:18.786 --> 01:57:21.508]  And by the way, you had a big church.
[01:57:21.508 --> 01:57:23.169]  It was fairly big, yeah.
[01:57:23.169 --> 01:57:28.253]  And you know, we were still preaching and we were putting out the message, etc.
[01:57:28.253 --> 01:57:29.473]  And we were 501c3.
[01:57:29.473 --> 01:57:31.595]  But I'm telling you, the problem is,
[01:57:32.772 --> 01:57:40.897]  When 95% or more of the pastors receive those letters in the mail, and they are frequent.
[01:57:40.897 --> 01:57:44.219]  They're at least a couple, three times a year they're going to get these.
[01:57:44.219 --> 01:57:47.801]  And they go over these things, point by point.
[01:57:47.801 --> 01:57:49.803]  95% of them are going to submit.
[01:57:49.803 --> 01:57:55.246]  95% of them are going to be... Can you imagine if the Pharisees would have told Christ what he could preach?
[01:57:55.717 --> 01:57:58.139]  Well, I mean, I just preached yesterday from John 7.
[01:57:58.139 --> 01:58:00.841]  I mean, the Pharisees hated Jesus from the beginning.
[01:58:00.841 --> 01:58:03.643]  They did everything they could to silence him and then to kill him.
[01:58:03.643 --> 01:58:06.785]  And, you know, he was constantly at war with the Pharisees.
[01:58:06.785 --> 01:58:11.268]  And it was nothing more than what we see today, the modern-day elitism today.
[01:58:11.268 --> 01:58:14.190]  The Pharisees of old are the modern-day elitist today.
[01:58:14.190 --> 01:58:17.432]  The globalists are the same group of people.
[01:58:17.432 --> 01:58:20.194]  They're the ones that are trying to silence the truth.
[01:58:20.194 --> 01:58:22.996]  And that 501c3 fact-exempt status was a
[01:58:24.324 --> 01:58:29.226]  An ingenious invention by Lyndon Johnson to accomplish the exact... Hey, it's LBJ!
[01:58:29.226 --> 01:58:33.048]  He created the welfare and ruined the... I mean, he just ruined everything.
[01:58:33.048 --> 01:58:34.129]  They know what they're doing.
[01:58:34.129 --> 01:58:37.731]  We'll do five more minutes with Chuck Baldwin, then we'll go to Weldon and others that are holding.
[01:58:37.731 --> 01:58:42.193]  Stay with us.
[01:58:42.193 --> 01:58:43.533]  Third hour's coming up, folks.
[01:58:43.533 --> 01:58:46.355]  I got a lot of important news I haven't gotten to yet.
[01:58:46.355 --> 01:58:48.776]  Political correctness, and I've got this other story.
[01:58:49.861 --> 01:58:53.522]  The government's Department of Homeland Security is buying up loads of ammo.
[01:58:53.522 --> 01:58:57.784]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[01:58:57.784 --> 01:58:59.564]  Can you put two and two together?
[01:58:59.564 --> 01:59:07.427]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[01:59:07.427 --> 01:59:08.567]  But for how long?
[01:59:08.567 --> 01:59:15.209]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[01:59:15.209 --> 01:59:18.030]  Infidel Body Armor just won't quit.
[01:59:20.030 --> 01:59:27.313]  I'm David Hall, founder of Diamond Gusset, where we are proud of our 100% grown and sewn American-made jeans.
[01:59:27.313 --> 01:59:35.196]  Whether you're out for dinner, working on the farm, or on the road, Diamond Gusset Jeans offers a full spectrum of style and sizes for any occasion.
[01:59:35.196 --> 01:59:40.738]  Our loyal customers enable us to continue sponsoring Liberty Media outlets.
[01:59:40.738 --> 01:59:46.120]  Use promo code FREEDOM to receive a 15% discount at gusset.com.
[01:59:46.120 --> 01:59:49.021]  In Liberty, David Hall, Diamond Gusset Jeans Company.
[01:59:52.614 --> 01:59:55.021]  Waging war on corruption.
[01:59:55.021 --> 01:59:57.790]  Alex Jones on the GCM Radio Network.
[02:00:05.612 --> 02:00:10.455]  Big Brother, Mainstream Media, Government Cover-Ups.
[02:00:10.455 --> 02:00:12.036]  You want answers?
[02:00:12.036 --> 02:00:13.577]  Well, so does he.
[02:00:13.577 --> 02:00:17.779]  He's Alex Jones on the GCN Radio Network.
[02:00:17.779 --> 02:00:30.206]  And now, live from Austin, Texas, Alex Jones.
[02:00:30.206 --> 02:00:30.587]  Weldon?
[02:00:32.122 --> 02:00:41.144]  Jay, Dale, Michael, I'm going to your calls and I'm getting into the AI technology news and political correctness.
[02:00:41.144 --> 02:00:45.325]  Finishing up with Chuck Baldwin, Pastor Chuck Baldwin with his initiative.
[02:00:45.325 --> 02:00:49.226]  People want to do something, this is it.
[02:00:49.226 --> 02:00:58.288]  Go to your mega churches, talk to your pastor, try to get them to talk about the big picture and how the state's trying to fully take over churches.
[02:00:58.288 --> 02:01:00.669]  And if they're scared to talk about that, well, they're not a church.
[02:01:02.625 --> 02:01:06.228]  We all grew up hearing about the Soviet Union and it allowed state-run churches.
[02:01:06.228 --> 02:01:08.730]  China allows state-run churches.
[02:01:08.730 --> 02:01:10.371]  They're just state-run.
[02:01:10.371 --> 02:01:13.073]  The churches that get shut down are the ones that aren't.
[02:01:13.073 --> 02:01:14.994]  And we're only a few steps away from that.
[02:01:14.994 --> 02:01:21.339]  Thank God there's enough Americans out there and enough pastors who've been basically ignoring this.
[02:01:21.339 --> 02:01:28.084]  But if you want to see where we're going, again, if you look at what so-called leftist churches are doing, really authoritarian churches,
[02:01:29.724 --> 02:01:41.494]  From Austin to San Francisco, from Dallas to Chicago, they are nothing but Democratic Party, New World Order, Cloward and Piven centers.
[02:01:41.494 --> 02:01:46.618]  And they're calling for totally open borders right now, that they know will collapse the country.
[02:01:46.618 --> 02:01:50.261]  I mean, these are really sinister organizations.
[02:01:50.261 --> 02:01:53.884]  Chuck, any closing points on that?
[02:01:53.884 --> 02:01:55.645]  Yeah, Alex, just I want to thank you very much.
[02:01:55.645 --> 02:01:58.708]  I want to encourage people to go to the website chuckballmanlive.com
[02:01:59.489 --> 02:02:02.552]  And from that point, they can access the Liberty Church Project.
[02:02:02.552 --> 02:02:12.020]  I just want to appeal to people again, because Alex, you've got a lot of listeners out there right now that they know the truth, and they're Christian people.
[02:02:12.020 --> 02:02:16.244]  They want a non-501c3 church where they can fellowship.
[02:02:16.244 --> 02:02:19.467]  They're tired of the cowardice of their pastors.
[02:02:19.467 --> 02:02:25.492]  They're tired of the way the people in congregations look at them like they're from Mars because they stand for the truth.
[02:02:25.891 --> 02:02:34.234]  They want to join together with like-minded fellow patriots in a Christian church and worship the Lord as they know they should.
[02:02:34.234 --> 02:02:37.475]  And they can't find those pastors and churches.
[02:02:37.475 --> 02:02:44.318]  We are helping people all over the country to start brand new non-501c3 fellowships.
[02:02:44.318 --> 02:02:49.820]  We are bringing ministers together with people who want to have a patriot pulpit.
[02:02:49.820 --> 02:02:55.602]  There's a lot of ministers out there that are not able to minister freely in the denomination and the churches where they are.
[02:02:56.075 --> 02:03:01.437]  And they're looking for churches that are willing to have a Patriot pastor join them.
[02:03:01.437 --> 02:03:04.719]  And there are people out there that are wanting a Patriot pastor.
[02:03:04.719 --> 02:03:20.745]  And so what we're doing is, all they've got to do is go to the website libertychurchproject.com, fill out the application, someone from our office will be in touch with them, we'll start the process, we will at some point, if everything, all our ducks in a row and they're really serious about it,
[02:03:21.334 --> 02:03:22.835]  We will go visit them.
[02:03:22.835 --> 02:03:25.618]  I have a team of people that are going to be with me.
[02:03:25.618 --> 02:03:27.480]  This is a big project.
[02:03:27.480 --> 02:03:32.304]  We come in and we help these people start non-501c3 churches.
[02:03:32.304 --> 02:03:33.105]  And you've done this.
[02:03:33.105 --> 02:03:34.286]  You've started them all over the country.
[02:03:34.286 --> 02:03:35.707]  You've started your own successfully.
[02:03:35.707 --> 02:03:36.368]  Right.
[02:03:36.368 --> 02:03:41.332]  And helped other churches there in the mountain area you are, Wyoming, Montana area.
[02:03:41.332 --> 02:03:41.893]  That's right.
[02:03:41.893 --> 02:03:44.335]  And it's very exciting.
[02:03:44.335 --> 02:03:47.458]  And so big things have small beginnings.
[02:03:48.178 --> 02:04:00.003]  And you've already had a huge effect, Chuck, with tens of millions of people, with syndicated radio, and the big church you built in Florida, and then leaving that big church, and going and setting up a non-501c3.
[02:04:00.003 --> 02:04:04.565]  So you've walked the walk, you've talked the talk, and then walked the walk.
[02:04:04.565 --> 02:04:05.925]  You've gone out there, you've done it.
[02:04:05.925 --> 02:04:08.726]  We salute you, Pastor Chuck Baldwin.
[02:04:08.726 --> 02:04:12.188]  But, I mean, regardless, even if people aren't Christians and are secular,
[02:04:12.768 --> 02:04:19.752]  They should realize having free independent churches that promote liberty is a good thing, not having state-run media.
[02:04:19.752 --> 02:04:24.555]  Everyone recognizes state-run media, state-run churches is the hallmark of a tyranny.
[02:04:25.504 --> 02:04:26.124]  Absolutely.
[02:04:26.124 --> 02:04:36.850]  In fact, here at our Church at Liberty Fellowship in Kalispell, Montana, we have unbelievers, non-Christians that attend our service every Sunday because they love the message of truth.
[02:04:36.850 --> 02:04:40.672]  This is a, you know, liberty is for everybody, not just for somebody.
[02:04:40.672 --> 02:04:41.932]  It's for everybody.
[02:04:41.932 --> 02:04:42.673]  Yeah, that's what I found.
[02:04:42.673 --> 02:04:45.895]  We don't Bible thump here and we get more people to come to Christ.
[02:04:45.895 --> 02:04:47.215]  It's the same thing you do.
[02:04:47.215 --> 02:04:52.178]  Yeah, of course, a lot of those folks you've told me that are coming that are non-believers, they end up finding Christ, don't they?
[02:04:52.178 --> 02:04:53.098]  That's right.
[02:04:53.098 --> 02:04:54.219]  Most of them do, Alex.
[02:04:54.759 --> 02:04:55.660]  Very exciting.
[02:04:55.660 --> 02:04:56.500]  God bless you, sir.
[02:04:56.500 --> 02:04:57.221]  Thank you, Alex.
[02:04:57.221 --> 02:04:59.822]  A real pastor right there.
[02:04:59.822 --> 02:05:02.064]  I've always believed in nutrition and herbs.
[02:05:02.064 --> 02:05:10.129]  Super Male Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[02:05:10.129 --> 02:05:17.274]  Sourced from powerful organic herbs harvested around the planet and then concentrated for maximum potency.
[02:05:17.634 --> 02:05:22.238]  I just received my male vitality about three days ago, and I must say, that's good stuff.
[02:05:22.238 --> 02:05:32.887]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO, organic, super male vitality formula.
[02:05:32.887 --> 02:05:39.372]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[02:05:39.372 --> 02:05:41.714]  I jump out of bed ready to fight these criminals every day.
[02:05:41.714 --> 02:05:45.577]  I look forward to waking up and taking my super male vitality and getting the day started.
[02:05:45.737 --> 02:05:47.678]  It's not just the super male vitality.
[02:05:47.678 --> 02:05:51.859]  All the products in InfoWarsLife.com are simply amazing.
[02:05:51.859 --> 02:05:59.902]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWarsLife.
[02:05:59.902 --> 02:06:06.064]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[02:06:06.064 --> 02:06:10.625]  Most people know that iodine deficiency has been a crisis around the world.
[02:06:10.625 --> 02:06:15.207]  Iodine is key to so many of the body's functions, especially the thyroid.
[02:06:15.607 --> 02:06:18.530]  I discovered a product being developed by Dr. Group.
[02:06:18.530 --> 02:06:23.975]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[02:06:23.975 --> 02:06:31.361]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[02:06:31.361 --> 02:06:35.505]  And the results that I personally have had have been life-changing.
[02:06:35.505 --> 02:06:40.289]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[02:06:40.589 --> 02:06:49.055]  This is innovating, and the best part is it helps fund InfoWars.com, the radio show, the TV show, the whole media operation promoting true libertarian ideas.
[02:06:49.055 --> 02:06:53.498]  For a limited time, experience the ancient power of Survival Shield X2.
[02:06:53.498 --> 02:06:58.701]  Take advantage of this unprecedented 30% off Super Detox Special at InfoWarsLive.com.
[02:06:59.622 --> 02:07:02.683]  This is Alex Jones for InfoWarsLife.com.
[02:07:02.683 --> 02:07:04.824]  The latest in preparedness is now here.
[02:07:04.824 --> 02:07:10.987]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[02:07:10.987 --> 02:07:16.090]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[02:07:16.090 --> 02:07:20.972]  The new InfoWars Life silver bullet colloidal silver is the answer for you and your family.
[02:07:20.972 --> 02:07:25.474]  And it's entirely free of toxic artificial additives that are loaded into many products.
[02:07:25.774 --> 02:07:34.378]  The InfoWars Life Silver Bullet Silver is so powerful that it is concentrated into a 2-ounce bottle and is not recommended for extended continual use.
[02:07:34.378 --> 02:07:36.519]  This is not a low-grade formula.
[02:07:36.519 --> 02:07:47.704]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver using electrical processes within a base of deionized water.
[02:07:47.704 --> 02:07:55.127]  For your preparedness storage or your home kitchen, purchase your bottle of InfoWarsLife.com Silver Bullet Colloidal Silver today.
[02:07:55.367 --> 02:07:58.548]  And find other amazing supplements at Infowarslife.com.
[02:07:58.548 --> 02:08:04.190]  We are on the march.
[02:08:04.190 --> 02:08:05.671]  The Empire is on the run.
[02:08:05.671 --> 02:08:07.992]  Alex Jones and the GCN Radio Network.
[02:08:18.871 --> 02:08:21.953]  Alright, I want to get into the latest on what's happening in Ferguson, Missouri.
[02:08:21.953 --> 02:08:25.595]  I want to look at a new report by Pew Research.
[02:08:25.595 --> 02:08:28.097]  Robots will take over more jobs than they create.
[02:08:28.097 --> 02:08:30.698]  I want to look at the big picture on that.
[02:08:30.698 --> 02:08:35.221]  Also, IBM coming out with chips that mimic the human brain.
[02:08:35.221 --> 02:08:40.324]  Incredible political correctness with the so-called First Lady.
[02:08:40.324 --> 02:08:41.164]  And more.
[02:08:41.164 --> 02:08:45.747]  But look, sometimes we start taking calls one hour, a guest comes on, people patiently hold.
[02:08:45.747 --> 02:08:46.468]  I want to go to Weldon.
[02:08:47.632 --> 02:08:52.033]  And I want to go to Dale and others that have been patiently holding.
[02:08:52.033 --> 02:08:53.174]  So let's go quickly to your calls.
[02:08:53.174 --> 02:08:56.135]  Weldon, thank you so much for holding from Ohio.
[02:08:56.135 --> 02:08:56.755]  You're on the air.
[02:08:56.755 --> 02:08:58.335]  Go ahead.
[02:08:58.335 --> 02:08:59.396]  OK, Alex.
[02:08:59.396 --> 02:09:00.636]  Good to talk to you.
[02:09:00.636 --> 02:09:03.277]  Good to talk to you.
[02:09:03.277 --> 02:09:06.438]  Last weekend, we had a hoax here in Toledo.
[02:09:06.438 --> 02:09:12.940]  They said we had too high levels of microcystin in the water and they banned us from drinking.
[02:09:12.940 --> 02:09:14.540]  And that lasted like two days.
[02:09:14.540 --> 02:09:16.261]  And on Monday, it was all OK.
[02:09:17.324 --> 02:09:25.501]  But in the end, it all boiled down to we need to spend a half a billion dollars on our water system to upgrade it now.
[02:09:26.007 --> 02:09:48.654]  Yeah, I saw that, and for those that don't know, about 15 years ago they passed federal regulations which made it too expensive for the old water treatment facilities, mainly in small towns and medium-sized cities or old cities that aren't growing, to force them to upgrade to just incredibly expensive systems that they couldn't pay for, but then mainly foreign companies then come in and offer
[02:09:49.894 --> 02:09:50.975]  We must have racist thinking, huh?
[02:10:19.158 --> 02:10:19.878]  Well, yeah.
[02:10:19.878 --> 02:10:23.081]  I mean, if you question anything, it's racist.
[02:10:23.081 --> 02:10:26.543]  And it's politically incorrect, and you should just do what you're told.
[02:10:26.543 --> 02:10:27.584]  God bless you, Alex.
[02:10:27.584 --> 02:10:28.564]  Keep up the good work.
[02:10:28.564 --> 02:10:30.065]  God bless you for putting up with me.
[02:10:30.065 --> 02:10:32.187]  Thank you so much, sir.
[02:10:32.187 --> 02:10:33.368]  Thank you, Weldon.
[02:10:33.368 --> 02:10:36.249]  We got a Weldon working here in the office.
[02:10:36.249 --> 02:10:43.294]  Let's go ahead and talk to Dale in Illinois on immigration.
[02:10:43.294 --> 02:10:44.255]  You're on the air, Dale.
[02:10:44.255 --> 02:10:46.977]  Thanks a lot for having me on, Alex.
[02:10:46.977 --> 02:10:47.237]  Thank you.
[02:10:49.071 --> 02:10:57.373]  Um, I live in the southern portion of Illinois about five hours away from Chicago, and I live near Amtrak station.
[02:10:57.373 --> 02:11:05.795]  And used to we would, you know, very rarely see big buses coming in, like Greyhound buses and commercial buses like that.
[02:11:05.795 --> 02:11:11.196]  But now it's like every day, we see buses coming in and going to the Amtrak station.
[02:11:11.196 --> 02:11:14.237]  And even the Amtrak station itself wants to put more cars on its rails.
[02:11:14.918 --> 02:11:29.322]  To go to Chicago to transport these illegal immigrants, and it's very obvious, because if you go to these Amtrak stations, it's full of people, you know, they're stagged, very few of them speak English, and it's just insane.
[02:11:29.322 --> 02:11:33.683]  Oh yeah, last year I took the family up in Esquire Magazine.
[02:11:34.625 --> 02:11:38.948]  Met me there, did a profile, so it's actually chronicled.
[02:11:38.948 --> 02:11:44.893]  Strangely enough, because I'd forgotten Esquire was coming to Austin, so I told the Esquire rider, we'll just come to the family vacation in Hot Springs.
[02:11:44.893 --> 02:11:48.336]  I want to just go hiking with the kids and stuff.
[02:11:48.336 --> 02:11:53.039]  And on the way up, we stopped at gas stations on I-35.
[02:11:53.039 --> 02:12:00.565]  And on the way back, and all I would see at gas stations would be like six, seven, eight, nine buses, and it was illegals on them.
[02:12:02.114 --> 02:12:04.715]  Because you could tell, but I talked to some of the folks.
[02:12:04.715 --> 02:12:10.197]  Nothing against them individually, but it's not 60 or 70,000 kids have come in the last few months.
[02:12:10.197 --> 02:12:12.277]  Remember, they're only 17% of the numbers.
[02:12:12.277 --> 02:12:15.178]  The Border Patrol says it's millions.
[02:12:15.178 --> 02:12:31.364]  They have opened up Central and South America, and again, I went down to the hike and bike trail about three weeks ago and was down on Barton Creek, and there were illegals, because I went and talked to them, from Guatemala.
[02:12:32.605 --> 02:12:47.832]  And they were so pitiful and poor and fishing, trying to eat, that I shot a little bit of video on my phone, but never even put it out, because it's just like, it was like this old lady and a man and a woman and like five kids, but I'm like, what is the government doing?
[02:12:47.832 --> 02:12:51.574]  I mean, this is crazy!
[02:12:51.574 --> 02:12:54.155]  I mean, South and Central America are collapsing.
[02:12:54.155 --> 02:12:56.436]  Mexico is collapsing.
[02:12:56.436 --> 02:12:58.557]  And the government is going to collapse us with it.
[02:13:02.227 --> 02:13:03.508]  I can't believe it.
[02:13:03.508 --> 02:13:07.111]  It's gotta be like three million a month or something.
[02:13:07.111 --> 02:13:09.152]  I mean, it's just like everywhere.
[02:13:09.152 --> 02:13:15.457]  I drive by Home Depot and there used to be five or six day workers out there at any one time wanting jobs.
[02:13:15.457 --> 02:13:16.478]  I mean, it's like a hundred.
[02:13:16.478 --> 02:13:18.859]  Be able to send the camera crew over there.
[02:13:18.859 --> 02:13:27.786]  I drive by there like at 10 o'clock in the morning and it is just wall to wall just on the side of the road off their property.
[02:13:32.125 --> 02:13:34.185]  It's just insane.
[02:13:34.185 --> 02:13:35.466]  And it's checkmate is what it is.
[02:13:35.466 --> 02:13:46.868]  You know, the Koch brothers are now going to give money to give the illegals medical care, clinic care, and English classes.
[02:13:46.868 --> 02:13:49.989]  And I'm not a big fan of the Koch brothers funding Clinton and other things.
[02:13:49.989 --> 02:13:54.070]  I'm always accused of being funded by them because I'm not a communist, but I wish I'd get some of that money.
[02:13:54.070 --> 02:13:54.990]  I'd tell you if I was.
[02:13:54.990 --> 02:13:58.431]  Boy, it would be great, and I'd have to sit there and plug products all day to fund the operation.
[02:14:01.118 --> 02:14:02.059]  There's a new initiative out.
[02:14:02.059 --> 02:14:03.340]  In fact, it's in the printer.
[02:14:03.340 --> 02:14:03.920]  Somebody give me that.
[02:14:03.920 --> 02:14:05.681]  I printed it about 30 minutes ago.
[02:14:05.681 --> 02:14:07.103]  Thanks.
[02:14:07.103 --> 02:14:12.587]  Where they're going to get a little card to the illegals so they can get some stuff from the free market.
[02:14:12.587 --> 02:14:19.032]  That's not going to ever stand up to the Democrats with all the free school and the free have the babies and the free welfare.
[02:14:19.032 --> 02:14:21.093]  They'll just give them even more goodies.
[02:14:21.093 --> 02:14:24.436]  And then it's like an arms race or something.
[02:14:24.436 --> 02:14:25.096]  Now here it is.
[02:14:25.096 --> 02:14:27.138]  Koch brothers reach out to Hispanics
[02:14:29.338 --> 02:14:37.342]  And then the article goes through, and Greg Abbott's involved and a bunch of other people in Texas, that this will supposedly fix it.
[02:14:37.342 --> 02:14:39.743]  It's from the Associated Press.
[02:14:39.743 --> 02:14:47.907]  How is giving the illegals more freebies than to make them then like the Republicans and like the Koch brothers?
[02:14:47.907 --> 02:14:52.970]  That'll just create an arms race of goodies, and the entire world will just come here.
[02:14:52.970 --> 02:14:58.813]  I mean, it's like there's no way to get around this, is there?
[02:15:02.199 --> 02:15:06.102]  And they will vote to take the guns and to do whatever the Democrats say.
[02:15:06.102 --> 02:15:20.593]  It's not that these Central and South Americans and Mexicans even have the same values as the technocrat, overlord, science fiction nightmare globalists that run the Democrats and Republicans.
[02:15:20.593 --> 02:15:26.297]  I mean, it's a breakaway civilization of technocrats using supercomputers to war game everything.
[02:15:26.297 --> 02:15:27.538]  They're using tribalism.
[02:15:29.090 --> 02:15:33.333]  With big welfare classes that'll riot at the drop of a hat.
[02:15:33.333 --> 02:15:39.578]  Then they create a big police force to control them, which is really aimed at the producers, the middle class that's left.
[02:15:39.578 --> 02:15:41.439]  The robots are going to cut us out of everything.
[02:15:41.439 --> 02:15:45.503]  I mean, it's checkmate, folks, if we don't get involved now.
