[00:00:00.029 --> 00:00:04.954]  The Department of Homeland Security is apparently on a huge ammo buying spree.
[00:53:22.601 --> 00:53:36.905]  That's why you've got all the big billionaires, almost all of them, but a few, giving money for socialism, giving money for big government, not to make you free and empower you, but to just give you enough to just shut up and get out the way.
[00:53:36.985 --> 00:53:37.545]  Get out of the way.
[00:53:37.865 --> 00:53:38.105]  Right.
[00:53:38.485 --> 00:53:39.706]  That's exactly what they did.
[00:53:39.726 --> 00:53:41.046]  And see, I don't want that, Michelle.
[00:53:41.286 --> 00:53:41.747]  Me neither.
[00:53:41.807 --> 00:53:47.492]  I don't want to live in a country where 51% are bought off by the government and elite groups to enslave the other 49.
[00:53:47.953 --> 00:53:50.215]  We're in a limited democracy, a republic.
[00:53:51.445 --> 00:54:02.467]  Well sure, the majority votes for who we want in office, but they can't spy on us illegally, they can't take our guns, they can't take our kids without due process, they can't enslave us, they can't get rid of our sovereignty.
[00:54:03.228 --> 00:54:04.608]  So that's what a republic is.
[00:54:05.348 --> 00:54:09.349]  A republic is a limited democracy where everybody's right is protected.
[00:54:09.589 --> 00:54:12.450]  And we never truly fulfilled the ideas of the republic.
[00:54:13.270 --> 00:54:17.531]  Because you'd have 95% voting to enslave the 5% that were black.
[00:54:17.891 --> 00:54:18.171]  Right.
[00:54:18.191 --> 00:54:18.651]  Was that right?
[00:54:19.758 --> 00:54:19.998]  No.
[00:54:20.339 --> 00:54:25.103]  Was it right to have 95% voting to enslave the other group?
[00:54:25.883 --> 00:54:26.904]  No, that was not right.
[00:54:26.944 --> 00:54:32.889]  Well, then today we have a more modern form of it, where 51% vote to take the money of somebody else.
[00:54:33.310 --> 00:54:35.271]  But see, the big guys are never going to get caught like that.
[00:54:35.572 --> 00:54:37.693]  They're offshore tax-exempt, U.N.
[00:54:38.074 --> 00:54:39.155]  diplomatic immunity.
[00:54:39.415 --> 00:54:41.557]  They're not paying zero in most cases.
[00:54:42.057 --> 00:54:42.618]  Max 3%.
[00:54:43.458 --> 00:54:44.319]  Guess how much I pay?
[00:54:45.220 --> 00:54:45.840]  Probably high tax.
[00:54:45.860 --> 00:54:46.041]  40% federal.
[00:54:48.407 --> 00:54:54.392]  Not counting all the dozens of other tax, I paid close to 70%, 68% my accountant says in taxes.
[00:54:55.092 --> 00:54:56.473]  Imagine if I had more of that money.
[00:54:56.793 --> 00:55:00.916]  I wouldn't just have a bigger house, nicer things, more crew and fund the economy.
[00:55:01.016 --> 00:55:02.337]  I would have more people working here.
[00:55:02.737 --> 00:55:03.898]  I would have more reporters.
[00:55:04.038 --> 00:55:04.839]  I would have more money.
[00:55:06.320 --> 00:55:09.822]  But it's got to go to the government and then they decide where to spend it.
[00:55:11.297 --> 00:55:12.158]  Not the viewers.
[00:55:12.658 --> 00:55:21.946]  See, in a free, open society, people vote with their dollars of what the food they want, of the clothes they want, of the media they like or think is informative.
[00:55:22.206 --> 00:55:23.927]  And so you get real diversity in ideas.
[00:55:24.387 --> 00:55:25.368]  That's a true renaissance.
[00:55:25.929 --> 00:55:37.238]  But when government controls it, it only goes to select groups, like Carlos Slim for the Obama phones, or to the big insurance companies that wrote Obamacare to raise payroll taxes on poor people.
[00:55:37.478 --> 00:55:38.359]  I mean, what is your view?
[00:55:38.399 --> 00:55:39.820]  How do you see Obama going down?
[00:55:40.180 --> 00:55:40.540]  In history.
[00:55:40.560 --> 00:55:45.724]  Because for me, it's not just about bashing Obama because it's fun to do.
[00:55:46.324 --> 00:55:49.026]  I called for Bush's impeachment for the Iraq War and a lot more.
[00:55:49.706 --> 00:55:57.131]  It's about realizing he's the corporate front man, he's the pitch man for a fraud to con a bunch of people.
[00:55:57.511 --> 00:56:04.676]  Could John McCain or Mitt Romney have gotten this many cons through against minority groups as Obama got?
[00:56:04.996 --> 00:56:05.136]  No.
[00:56:06.744 --> 00:56:07.464]  I don't think so.
[00:56:07.825 --> 00:56:09.866]  I don't think a Romney would have got that many.
[00:56:10.246 --> 00:56:10.846]  I agree with you.
[00:56:11.166 --> 00:56:12.767]  He was out for the rich.
[00:56:13.408 --> 00:56:15.329]  So do you see the genius of Obama?
[00:56:15.949 --> 00:56:16.169]  No.
[00:56:16.489 --> 00:56:18.550]  I don't see no genius of Obama.
[00:56:19.111 --> 00:56:21.292]  That's why Wall Street gave him more money than Romney.
[00:56:22.017 --> 00:56:23.218]  Right, because he won, right?
[00:56:23.718 --> 00:56:29.461]  Well, because they knew he could game people more than he could get their agenda through.
[00:56:29.981 --> 00:56:30.201]  Right.
[00:56:30.261 --> 00:56:33.263]  You think the elite really care one way or the other what color the president is?
[00:56:33.283 --> 00:56:34.283]  No.
[00:56:34.443 --> 00:56:35.924]  These people are bringing down countries.
[00:56:36.424 --> 00:56:38.285]  These people are shipping the narcotics in.
[00:56:38.605 --> 00:56:40.026]  These people are laundering the money.
[00:56:40.346 --> 00:56:43.127]  These people rule the planet because they're scam artists.
[00:56:43.408 --> 00:56:46.889]  And the minute we wake up to that larger scam, Michelle, it's game over.
[00:56:47.209 --> 00:56:47.710]  It's over.
[00:56:48.610 --> 00:56:50.571]  So now it's over for Obama, right?
[00:56:51.011 --> 00:56:54.433]  Well, he'll leave, they'll bring in another puppet, and then they'll rehabilitate him.
[00:56:54.833 --> 00:56:55.573]  Oh, that's what it'll do.
[00:56:55.593 --> 00:56:57.054]  It'll go on and on and on.
[00:56:57.074 --> 00:56:58.454]  But when are they gonna stop that?
[00:56:58.615 --> 00:57:00.615]  I'm sure you went to a magic show when you were a kid.
[00:57:00.856 --> 00:57:01.136]  Yeah.
[00:57:02.056 --> 00:57:04.997]  And if you were five, six years old, you really thought he was pulling a rabbit out, didn't you?
[00:57:05.057 --> 00:57:05.578]  Right, right.
[00:57:05.638 --> 00:57:05.938]  I did.
[00:57:06.198 --> 00:57:06.518]  I did.
[00:57:06.798 --> 00:57:11.000]  But what about later when somebody tells you, no, there's really a trap door in the hat.
[00:57:11.280 --> 00:57:12.241]  And it go up under.
[00:57:13.641 --> 00:57:15.782]  Wow, that was the same way you told me to.
[00:57:15.922 --> 00:57:24.924]  Once we stop debating whether the rabbit's racist or whether the magician's racist or whether the magician's having sex with his assistant, that's all the big fake smoke and mirrors.
[00:57:25.445 --> 00:57:28.626]  Once we realize it's all a fraud, now we understand the trick.
[00:57:29.146 --> 00:57:29.406]  Alright.
[00:57:29.946 --> 00:57:33.147]  And my job is to get you and others to see the trick.
[00:57:34.286 --> 00:57:34.766]  I see it.
[00:57:35.207 --> 00:57:39.089]  It's fun to laugh at ourselves, get up, dust off, and keep it moving.
[00:57:39.109 --> 00:57:40.170]  At least you know to write.
[00:57:40.370 --> 00:57:42.011]  Fool me once, shame on you.
[00:57:42.591 --> 00:57:44.012]  Fool me twice, shame on me.
[00:57:44.672 --> 00:57:45.773]  And that's what it comes down to.
[00:57:45.993 --> 00:57:46.954]  And none of us have got it all.
[00:57:46.974 --> 00:57:48.455]  We're all learning more and more as it goes.
[00:57:48.555 --> 00:57:48.915]  It's true.
[00:57:49.075 --> 00:57:50.396]  But I would like nothing more.
[00:57:51.513 --> 00:57:57.755]  Then to see all the people out there in America come together and realize the corporate welfare is what's really going on.
[00:57:58.395 --> 00:58:01.676]  And that's why the corporate welfare people want the general public on welfare.
[00:58:01.956 --> 00:58:04.677]  Because then if you're getting a crumb, they can get the whole buffet.
[00:58:04.997 --> 00:58:05.237]  Right.
[00:58:05.377 --> 00:58:10.079]  See, they're getting the whole buffet, and we're saying, hey, middle class is saying, you don't need that buffet.
[00:58:11.199 --> 00:58:11.959]  We should have to pay for it.
[00:58:11.979 --> 00:58:14.460]  And they go, yeah, we're going to give some scraps to these people.
[00:58:14.600 --> 00:58:16.661]  You're going to vote for us to get the buffet, right?
[00:58:16.681 --> 00:58:18.681]  That's how it goes.
[00:58:18.701 --> 00:58:20.242]  So you guys get a crumb.
[00:58:21.397 --> 00:58:25.658]  Veterans get a crumb, but meanwhile, the big banks run the whole show.
[00:58:25.899 --> 00:58:26.479]  Run it all.
[00:58:26.859 --> 00:58:28.539]  We didn't get nothing.
[00:58:29.040 --> 00:58:31.901]  Even with the medical care, that's what I wanted to know.
[00:58:31.981 --> 00:58:34.121]  Some people got it and some people didn't.
[00:58:34.842 --> 00:58:39.103]  You know, like he said, all the people without medical, he's gonna make sure they got medical.
[00:58:39.603 --> 00:58:41.664]  I know some people today, they still don't have it.
[00:58:42.369 --> 00:58:42.709]  You know?
[00:58:43.430 --> 00:58:52.960]  But I bet them big shots and all them people around, like you say, the big nursing homes, the stores, the big Macy's and all, I bet they all got what they got for their workers.
[00:58:53.020 --> 00:58:53.820]  Well, here's how it works.
[00:58:53.860 --> 00:58:58.385]  Just like you've never been able to really get a bank account, we were finally able to help you do that by showing you how to jump through a few hoops.
[00:58:58.625 --> 00:58:58.966]  Yes.
[00:58:59.086 --> 00:59:00.787]  And then they used to make you run around town to all these...
[00:59:01.528 --> 00:59:03.710]  They told me I was going to check pace.
[00:59:04.230 --> 00:59:05.611]  But the lady said, check pace?
[00:59:05.631 --> 00:59:07.913]  We're going to cross that out.
[00:59:08.453 --> 00:59:09.154]  She told me.
[00:59:09.454 --> 00:59:11.736]  So see, those are the real forms of economic discrimination.
[00:59:11.896 --> 00:59:13.978]  You went all the way around to give me a bank account.
[00:59:14.258 --> 00:59:15.219]  To open a bank account.
[00:59:15.239 --> 00:59:16.159]  And so we jumped to the hoops.
[00:59:16.179 --> 00:59:17.140]  We got you the bank account now.
[00:59:17.180 --> 00:59:18.421]  That's the beginning of building your credit.
[00:59:18.801 --> 00:59:21.063]  The beginning of getting off the economic plantation.
[00:59:21.664 --> 00:59:22.544]  Economic plantation.
[00:59:22.584 --> 00:59:26.067]  And that's really what it's all about, is gaming black, white, Hispanic.
[00:59:26.467 --> 00:59:27.088]  They don't care.
[00:59:27.708 --> 00:59:29.490]  And it's the same way with the corporate welfare.
[00:59:30.799 --> 00:59:41.667]  You can give, on average, a couple thousand dollars to a House or Senate member, and you can get hundreds of thousands back in government contracts, loans, loan guarantees, bailouts.
[00:59:42.267 --> 00:59:44.689]  You give a million bucks, you might get a billion dollars back.
[00:59:44.969 --> 00:59:45.209]  Right.
[00:59:45.409 --> 00:59:47.291]  The more you put in, the more you get back.
[00:59:47.491 --> 00:59:50.453]  That's the issue, and so we've become a mafia-based economy.
[00:59:51.994 --> 00:59:52.594]  That's bad.
[00:59:53.395 --> 00:59:54.696]  That's bad business, man.
[00:59:55.387 --> 00:59:57.268]  They gotta do something about that.
[00:59:57.348 --> 01:00:03.012]  They frame you to get you somewhere, you know, and then just let you lay out there like that.
[01:00:03.452 --> 01:00:06.595]  Did you know Obama's supporters are some of the biggest slumlords in America?
[01:00:06.835 --> 01:00:07.375]  I believe you.
[01:00:07.735 --> 01:00:14.180]  Just like I go to church, some of the people at church, they're on property, and people tell me they're the biggest slumlords.
[01:00:14.220 --> 01:00:14.820]  There he is.
[01:00:14.920 --> 01:00:15.861]  I really believe that.
[01:00:16.181 --> 01:00:22.766]  Because I believe the people that got everything, what they care about us down here that's suffering or don't have anything.
[01:00:23.267 --> 01:00:25.589]  You know, back in the day, you help me, I help you.
[01:00:26.289 --> 01:00:29.712]  Now, if you stick a fork in it, I'll stick one right after you, you know?
[01:00:29.792 --> 01:00:31.373]  Whatever it is, you know?
[01:00:32.414 --> 01:00:32.734]  That's right.
[01:00:32.754 --> 01:00:34.856]  We're becoming a very barbarous society.
[01:00:35.457 --> 01:00:44.324]  And elites that stop caring about the general public and who go to a purely corrupt system always have planted the seeds of their own destruction.
[01:00:45.126 --> 01:00:46.788]  And we're not going to have to wait for these seeds to grow.
[01:00:46.828 --> 01:00:47.669]  They've already grown.
[01:00:48.530 --> 01:00:49.271]  And they out of hand.
[01:00:49.291 --> 01:00:50.672]  Into a thicket of corruption.
[01:00:50.772 --> 01:00:51.193]  Right.
[01:00:51.373 --> 01:00:53.075]  And judgment day is coming.
[01:00:53.215 --> 01:00:54.096]  You know what it is.
[01:00:54.136 --> 01:00:55.438]  You know what you got facing.
[01:00:55.558 --> 01:00:56.719]  You know what you didn't do.
[01:00:56.779 --> 01:00:57.980]  What you said you was going to do.
[01:00:58.001 --> 01:00:58.881]  Now you're there.
[01:00:59.082 --> 01:01:00.063]  What can you do?
[01:01:00.403 --> 01:01:03.787]  Well, what they're doing is bringing in a whole other group of people they can con one more time.
[01:01:03.827 --> 01:01:04.047]  Right.
[01:01:04.227 --> 01:01:05.189]  All the poor illegals.
[01:01:06.110 --> 01:01:07.511]  They ain't gonna give me no more.
[01:01:29.125 --> 01:01:30.246]  Not just the Democrats.
[01:01:30.706 --> 01:01:30.926]  Right.
[01:01:31.046 --> 01:01:35.308]  Especially when not just the Democrats did it, the Republicans did too, right?
[01:01:35.589 --> 01:01:37.450]  They're all at the top working together.
[01:01:37.670 --> 01:01:38.730]  All in it together.
[01:01:39.110 --> 01:01:39.471]  You're right.
[01:01:39.491 --> 01:01:41.372]  Michelle, anything else you want to add to Nominally News?
[01:01:42.232 --> 01:01:42.952]  I really lose.
[01:01:43.173 --> 01:01:46.134]  I really enjoy being on Infowars.com.
[01:01:46.274 --> 01:01:54.999]  It really gave me a good idea of life on life terms, you know, and taking it not depending on government
[01:01:56.195 --> 01:01:58.577]  No more Obama phone, no more Obama phone, I have a GXX.
[01:02:14.270 --> 01:02:16.313]  Here I am again, Obama phone lady.
[01:02:16.353 --> 01:02:20.658]  What we need is people to teach us how to fish and not to give us fish.
[01:02:20.939 --> 01:02:22.420]  Teach us how to fish!
[01:02:22.601 --> 01:02:27.247]  And you're going to do more because you're going to be independent on your own self, not the president.
[01:02:27.547 --> 01:02:31.432]  Plus, catching your own fish and running your own life is very fun.
[01:02:32.648 --> 01:02:34.989]  Now I'll see you soon, Obama Phone Lady!
[01:02:35.549 --> 01:02:38.890]  Well that's what it's all about here at InfoWars.com, the nightly news.
[01:02:38.910 --> 01:02:48.072]  I want to say great job to the crew and Darren McBreen that hosted most of the news tonight, and to Obama Phone Lady, and everybody else out there that's trying to be more free and independent.
[01:02:48.392 --> 01:02:51.133]  Alex Jones signing off for InfoWars.com.
[01:02:52.153 --> 01:02:54.593]  Obama Phone Lady, goodbye everybody!
[01:02:55.554 --> 01:02:56.574]  Alright, bye bye.
[01:03:01.638 --> 01:03:05.939]  You've experienced and heard about the benefits of Super Male Vitality.
[01:03:06.459 --> 01:03:08.940]  Now, the new formula has arrived.
[01:03:09.300 --> 01:03:13.181]  Introducing the new Super Female Vitality.
[01:03:13.481 --> 01:03:21.023]  I have specifically designed this formula to help the body naturally regulate itself without the use of artificial hormones.
[01:03:21.483 --> 01:03:24.803]  Key ingredients chosen from the highest quality sources.
[01:03:25.144 --> 01:03:31.185]  Secure your Super Female Vitality today from our limited stock at InfoWarsLife.com.
[01:03:32.785 --> 01:03:36.710]  You are watching the InfoWars Nightly News, which airs 7 p.m.
[01:03:36.751 --> 01:03:39.234]  Central at InfoWarsNews.com.
[01:03:39.454 --> 01:03:46.324]  Members can share their passcodes with up to 11 other people, and your support is helping us defend liberty worldwide.
