[00:00:02.455 --> 00:00:03.395]  According to the U.S.
[00:46:42.782 --> 00:46:50.973]  And of course, to those of you out there fighting, I want to commend all of you because you heard the message that if you're listening or watching this transmission, you are the resistance.
[00:46:52.935 --> 00:46:59.199]  You know that's true, and you've taken action, and you are shaking the foundations of the New World Order, because you are the resistance.
[00:46:59.619 --> 00:47:00.819]  Resistance is victory.
[00:47:01.400 --> 00:47:04.902]  Standing up against this evil and saying, I won't submit, will bring it down.
[00:47:05.382 --> 00:47:07.383]  That's why it always tells you that you have no power.
[00:47:08.124 --> 00:47:10.425]  And that is what I have to say on this July 4th, 2014.
[00:47:11.966 --> 00:47:20.931]  Until Sunday, with a live radio show, 4 to 6 p.m., I'm Alex Jones, signing off from the InfoWars.com command center in occupied North America.
[00:47:30.265 --> 00:47:32.847]  Alex Jones here for InfoWars.com.
[00:47:33.287 --> 00:47:41.214]  We're going to be intensifying our efforts to awaken free humanity to the scourge of the globalists in the month of July.
[00:47:41.574 --> 00:47:56.486]  And starting this July 4th, we are going to slash prices in a celebration of True Americana, the Bill of Rights, the Constitution, and the Declaration of Independence on all of the Made in America products
[00:47:56.846 --> 00:48:02.750]  That you will find at MadeIn1776.com or InfowarsStore.com.
[00:48:03.030 --> 00:48:11.716]  We're talking about Made in America belt buckles in brass and nickel brass that state it loud and proud, Molon Labe.
[00:48:12.036 --> 00:48:19.941]  That's why we have the best-selling Made in America men's and women's Molon Labe Infowars.com shirts.
[00:48:20.201 --> 00:48:22.083]  Ladies and gentlemen, this is a win-win.
[00:48:22.623 --> 00:48:24.004]  You vote with your dollars.
[00:48:24.044 --> 00:48:32.828]  You support the most hardcore organization out there for promoting true ideas of libertarianism, constitutionalism, basic human empowerment.
[00:48:33.328 --> 00:48:38.430]  But more importantly, you get t-shirts and belt buckles so you can meet like-minded people.
[00:48:38.710 --> 00:48:42.252]  So you have a conversation starter with friends and family and co-workers.
[00:48:42.532 --> 00:48:43.873]  We are reaching out to each other.
[00:48:44.413 --> 00:48:53.600]  And you also throw it in the face of the anti-gunners and the rest of the parasites out there that you're a free man and woman and that you're not going to be a slave.
[00:48:54.140 --> 00:48:59.324]  That you're not going to be intimidated to shut up by their tyranny that they call political correctness.
[00:48:59.724 --> 00:49:05.188]  That's why, in the month of July, we have got giant specials on everything at MadeIn1776.com.
[00:49:05.208 --> 00:49:05.969]  But to expand the info orb,
[00:49:10.672 --> 00:49:20.000]  We're offering the biggest special in the history, what is it, 13 years of PrisonPlanet.tv, our multimedia platform.
[00:49:20.341 --> 00:49:33.653]  We're offering the equivalent of more than 5 months free right now when you get a membership at PrisonPlanet.tv and you get 11 memberships that can be used with the same username and passcode so you can share it with friends and family.
[00:49:34.053 --> 00:49:36.675]  Now is the time to fund the war bonds.
[00:49:37.015 --> 00:49:39.137]  Now is the time to fund the info war.
[00:49:39.437 --> 00:49:41.218]  Now is the time to get aggressive.
[00:49:41.499 --> 00:49:43.340]  Now is the time to double down.
[00:49:43.660 --> 00:49:51.326]  Now is the time to realize you are the people that made the info war so successful and one of the leading lights worldwide against tyranny.
[00:49:51.846 --> 00:49:54.307]  You don't stand behind us, you stand right beside us.
[00:49:54.528 --> 00:50:01.051]  And I salute all of you on this July 4th, 2014 and going forward in the month of July and onward.
[00:50:01.272 --> 00:50:08.856]  This is about freedom worldwide and that desire for human dignity and self-determination that beats in the human breast.
[00:50:09.156 --> 00:50:14.399]  We are brothers and sisters together, in the true spirit of liberty, in the animating contest of liberty.
[00:50:14.639 --> 00:50:23.024]  And so I quote in closing, the great Thomas Jefferson, that I have sworn on the altar of God, resistance against every form of tyranny.
[00:50:23.364 --> 00:50:29.088]  And never forget, if you are watching or listening to this transmission, you are the resistance!
