[00:00:00.350 --> 00:00:01.654]  Direct from Austin.
[01:41:31.313 --> 01:41:33.174]  You can't act like that and represent us.
[01:41:33.915 --> 01:41:36.137]  And I don't know what the President of the United States is going to do.
[01:41:36.238 --> 01:41:37.379]  It's hard to tell.
[01:41:38.870 --> 01:41:47.555]  The state of Nevada, Utah, Arizona, Wyoming, California, all these western states, I think they're going to say this is enough.
[01:41:48.175 --> 01:41:52.458]  Let me tell you who supports me more than anybody else, even my local community.
[01:41:53.018 --> 01:41:57.561]  When we have a get-together here like we had last Friday, you know who's here?
[01:41:57.581 --> 01:42:05.345]  The people from Pennsylvania, New York, the Eastern Coast are representing more than even my neighboring town.
[01:42:06.653 --> 01:42:11.318]  Those people are bringing their wives and they're shaking my hand and I'm hugging their women.
[01:42:11.898 --> 01:42:15.202]  They're not people from the West, they're people from the East.
[01:42:15.842 --> 01:42:18.465]  And the emails are coming from all over the world.
[01:42:18.525 --> 01:42:19.706]  The world is watching us.
[01:42:20.227 --> 01:42:24.991]  They want to find out if we really do have liberty and freedom here in the United States.
[01:42:25.031 --> 01:42:27.414]  They want to know if we really have a constitution.
[01:42:28.672 --> 01:42:31.433]  That's been inspired by our God.
[01:42:31.934 --> 01:42:38.756]  They want to know these things, and it's our job, and your job as a broadcaster to let the world know.
[01:42:39.156 --> 01:42:44.398]  And that's how come you're so important in my life and in the life of the Americans.
[01:42:44.418 --> 01:42:52.942]  Well, Cliven, you're important in what your sons and daughters standing up for those great Americans is what's important, but really it's the audience we have to thank.
[01:42:54.724 --> 01:42:55.225]  Yeah, it is.
[01:42:55.245 --> 01:42:56.126]  It's we the people.
[01:42:56.386 --> 01:42:57.047]  That's for sure.
[01:42:57.067 --> 01:42:57.848]  It's we the people.
[01:43:10.051 --> 01:43:38.277]  will continue to grow and here's the good news they just had a meeting this weekend over 50 state legislators moving to create a larger movement to take back the state land from the feds and that's a very popular idea so this can really backfire on the establishment on so many fronts and here's my final point the globalists better understand this is not Russia this is not other countries where they've gotten away with this if they start a civil war
[01:43:39.827 --> 01:43:46.213]  We're going to take the country back and we're going to prosecute the bosses that gave the orders.
[01:43:46.573 --> 01:43:54.321]  Our enemy is not even the feds or the police that will follow illegal orders, though they will be dealt with obviously, unfortunately.
[01:43:54.881 --> 01:43:55.421]  Well, you know,
[01:44:18.414 --> 01:44:20.596]  I have no way to predict what's going to happen.
[01:44:20.676 --> 01:44:22.337]  All I know of this is the world.
[01:44:23.017 --> 01:44:24.118]  The world is concerned.
[01:44:24.138 --> 01:44:25.299]  The world is watching us.
[01:44:25.899 --> 01:44:28.801]  And I think the world is ready to defend us.
[01:44:29.502 --> 01:44:34.705]  And one thing I have learned, that each individual in this world is very important.
[01:44:34.985 --> 01:44:36.066]  And they're individuals.
[01:44:36.146 --> 01:44:39.448]  And they do need to be able to exercise their conscience.
[01:44:40.149 --> 01:44:42.010]  And have some freedom and liberty.
[01:44:42.170 --> 01:44:46.333]  And our Constitution is a Constitution that is framed
[01:44:47.848 --> 01:44:50.029]  By our Heavenly Father for that purpose.
[01:44:50.309 --> 01:44:52.670]  To give each individual freedom.
[01:44:53.270 --> 01:44:54.390]  And that will happen.
[01:44:55.731 --> 01:44:56.311]  Very well said.
[01:44:56.331 --> 01:44:57.351]  Well it comes down to this.
[01:44:58.411 --> 01:44:59.372]  It's civil disobedience.
[01:44:59.432 --> 01:45:03.213]  Even if you didn't have the grazing rights going back a hundred and something years like you do on record.
[01:45:03.993 --> 01:45:05.053]  The people have voted.
[01:45:05.073 --> 01:45:08.894]  The people don't like the feds having 90% of the land in Nevada.
[01:45:09.174 --> 01:45:11.875]  They don't like them kicking a producer off who's producing beef.
[01:45:12.395 --> 01:45:14.216]  They're sick of the country going bankrupt.
[01:45:14.736 --> 01:45:19.477]  And they're tired of the free speech zones, the police dogs, the snipers, the tasering.
[01:45:19.797 --> 01:45:20.817]  The people have voted.
[01:45:21.337 --> 01:45:28.179]  We're ready to walk up against your guns, and if you want to go ahead and shoot us, you guys playing soldier, go ahead.
[01:45:28.279 --> 01:45:34.100]  You shoot the first shot, but to quote one fellow that spoke at the county commissioners there, we'll fire all the others.
[01:45:34.660 --> 01:45:40.441]  We don't want a war, but if you think we're going to live on our knees as slaves, you got another thing coming.
[01:45:40.481 --> 01:45:42.662]  Mr. Bundy, thank you so much for the time.
[01:45:43.042 --> 01:45:44.082]  Anything else you'd like to add?
[01:45:45.350 --> 01:45:47.611]  Well, you know, I'm just so fond of stress.
[01:45:48.511 --> 01:46:01.382]  You follow our Constitution and you've figured out what it has to do with land and sovereignty and policing power and United States authority and jurisdiction, which is limited, very, very small.
[01:46:02.383 --> 01:46:03.824]  You understand that.
[01:46:03.964 --> 01:46:08.448]  And our founding fathers fought this battle for us and they give us a blueprint.
[01:46:08.968 --> 01:46:15.634]  And things like them wanting our, states wanting to get their land back, they can't get something they already have.
[01:46:16.628 --> 01:46:24.414]  They can't ask Congress, they can't ask the President, they can't ask the judicial system to give their land back when it's already theirs.
[01:46:24.514 --> 01:46:25.115]  Exactly.
[01:46:25.135 --> 01:46:27.277]  And the state could give that to them.
[01:46:27.970 --> 01:46:33.574]  And the hoax that the feds are God when the feds on top of it are far and run now is over.
[01:46:33.954 --> 01:46:35.195]  Mr. Bundy, thank you so much.
[01:46:35.475 --> 01:46:36.056]  Thank you so much.
[01:46:36.096 --> 01:46:36.856]  We're praying for you.
[01:46:37.337 --> 01:46:38.638]  And you've got our phone number.
[01:46:39.298 --> 01:46:42.661]  I'm ready to send reporters out there as soon as you think this thing is heating up.
[01:46:43.181 --> 01:46:45.363]  I'm ready to jump on a plane and come out there as well.
[01:46:45.983 --> 01:46:47.284]  In fact, I may just come out there.
[01:46:48.265 --> 01:46:51.287]  So I look forward to shaking your hand soon, Mr. Bundy.
[01:46:52.222 --> 01:46:58.871]  I appreciate that, and thank you, and thank your audience, and thank you, the world, and thank you, America, the beautiful.
[01:46:59.372 --> 01:47:00.253]  Have a beautiful day.
[01:47:00.393 --> 01:47:00.734]  You too.
[01:47:00.754 --> 01:47:01.835]  There goes Cliven Bundy.
[01:47:02.015 --> 01:47:09.585]  Just a truly good Christian man, and everybody sees that, and, you know, he's ready, and he doesn't have any fear.
[01:47:10.486 --> 01:47:14.729]  We're going to go to John, and then Daniel, and then Mike, and then Alvin, and Darren.
[01:47:14.749 --> 01:47:15.729]  We're going to get to all of you.
[01:47:16.390 --> 01:47:17.650]  Open phones in the next hour.
[01:47:17.670 --> 01:47:22.893]  I'm going to go to your calls here in a moment, but open phones all next hour, interspersed with other important news.
[01:47:22.954 --> 01:47:26.556]  But, again, people say, oh, some guy and cows, who cares?
[01:47:27.136 --> 01:47:28.437]  This is about land rights.
[01:47:28.497 --> 01:47:29.958]  It's about not being pushed anymore.
[01:47:31.699 --> 01:47:35.181]  And, you know, Obama just legalized most of the illegals by Fiat.
[01:47:37.748 --> 01:47:38.649]  Outside of Congress.
[01:47:39.389 --> 01:47:42.992]  And Obama is, you know, forgiving all these foreign debts of other groups and everything.
[01:47:43.812 --> 01:47:44.533]  Dictatorially.
[01:47:45.193 --> 01:47:52.198]  But then meanwhile, you've got all the ranchers run out with a federal judge ruling that they did it on purpose.
[01:47:53.559 --> 01:47:59.683]  I mean, a bunch of guys show up with guns to run everyone out over the last 20 years, and one guy will not be run out.
[01:48:00.904 --> 01:48:05.707]  And CNN and the rest of them are hoping that you're ignorant and don't know about the whole story.
[01:48:07.947 --> 01:48:13.650]  The problem is, people like Matt Drudge aren't going along with it, and I will cover this at the bottom of the next hour.
[01:48:14.290 --> 01:48:27.678]  The documents have now been released, the Clinton papers have now been released, from twenty-something years ago, dreading and fearing the internet and Matt Drudge, while telling you you don't have any power.
[01:48:28.318 --> 01:48:33.741]  Well, look, they can't just take out Matt Drudge now because there's Alex Jones, and there's a hundred other big sites.
[01:48:33.761 --> 01:48:35.002]  They're not going to shut us up.
[01:48:35.062 --> 01:48:35.462]  It's over.
[01:48:36.581 --> 01:48:40.443]  The only question is, Globalist, how bad is it going to get?
[01:48:42.285 --> 01:48:45.647]  How bad is it going to get before we just fix things?
[01:48:47.087 --> 01:48:48.568]  Everybody knows we're going the wrong direction.
[01:48:49.209 --> 01:48:50.910]  Everybody knows this corruption's growing.
[01:48:51.590 --> 01:48:54.652]  Everybody knows that foreign interests are running roughshod over the country.
[01:48:54.692 --> 01:49:01.957]  I mean, the guy that got the Formula One built outside Austin with something like, I forget, it was like $300 million in taxpayer money.
[01:49:02.677 --> 01:49:04.117]  And then there was a hundred million extra.
[01:49:04.197 --> 01:49:16.600]  I mean, it just, the guy gave his daughters as a gift the same year, $3 billion and bought them the largest houses, respectively, two houses, the two largest in the U.S.
[01:49:16.640 --> 01:49:19.440]  on the West Coast, on top of the $3 billion gift.
[01:49:20.881 --> 01:49:29.102]  And it turned out, Ecclestein's his name, he had the racetracks built all over the world by government.
[01:49:30.023 --> 01:49:31.743]  And then he makes huge profits on top of it.
[01:49:34.378 --> 01:49:45.041]  He just was basically given the land, given the money, given everything, and then they'll take an old lady's house if she doesn't pay her property taxes.
[01:49:45.061 --> 01:49:45.401]  There it is.
[01:49:45.721 --> 01:49:49.122]  Bernie Ecclestone's daughters buy a most expensive house in the U.S.
[01:49:49.962 --> 01:49:52.363]  And then they bought another house that was the second largest.
[01:49:53.963 --> 01:50:03.126]  And hey, good for you, ladies, but the issue is every time I turn around, Jerry Jones has a stadium for a billion and a half smackers paid for by me!
[01:50:06.840 --> 01:50:12.407]  I got a family in Dallas that have been upper middle class and I hear about all the trouble they got paying their property taxes.
[01:50:18.094 --> 01:50:21.177]  I mean, I've got my family has to pay Jerry Jones money?
[01:50:21.197 --> 01:50:23.801]  That guy's worth like six billion dollars?
[01:50:27.230 --> 01:50:29.393]  And then we're going to call Cliven Bundy a deadbeat?
[01:50:29.633 --> 01:50:32.656]  The illegals get everything free, the rich people get everything for free.
[01:50:33.137 --> 01:50:36.080]  The only people that don't get something for free are people that bust their butts.
[01:50:36.761 --> 01:50:38.083]  And I'm not even demonizing the illegals.
[01:50:38.703 --> 01:50:40.525]  Hell, they're angels compared to the globalists.
[01:50:41.126 --> 01:50:43.369]  They're only being brought up here so they can drive down wages.
[01:50:44.410 --> 01:50:46.853]  Once the US is imploded, they're not going to get anything.
[01:50:49.127 --> 01:50:53.708]  Of course, a lot of the illegals are so proud they work super hard and do pay taxes and don't get benefits.
[01:50:53.949 --> 01:50:56.949]  But there's another group of the illegals that don't work folks and get welfare.
[01:50:57.270 --> 01:50:58.610]  And that's the illustration I'm making.
[01:50:58.930 --> 01:51:01.291]  Cliven Bundy's on a deadbeat not paying grazing fees.
[01:51:01.671 --> 01:51:04.572]  Those grazing fees are on property he already has the rights to.
[01:51:06.980 --> 01:51:08.101]  Attention gun owners.
[01:51:08.361 --> 01:51:13.023]  It's reasonable to assume that at some point you may need to defend your family from an armed attack.
[01:51:13.143 --> 01:51:16.605]  But is it reasonable to mount a defense without a strong offense?
[01:51:16.845 --> 01:51:19.007]  Infidel Body Armor goes on in seconds.
[01:51:19.227 --> 01:51:21.388]  Is civilian legal in all 50 states?
[01:51:21.648 --> 01:51:23.949]  Is 100% made in the USA?
[01:51:24.069 --> 01:51:27.671]  Is veteran owned and ships next business day for free?
[01:51:27.831 --> 01:51:30.052]  Go to InfidelBodyArmor.com.
[01:51:30.473 --> 01:51:33.314]  I-N-F-I-D-E-L BodyArmor.com.
[01:51:33.454 --> 01:51:34.595]  Infidel Body Armor.
[01:51:35.135 --> 01:51:36.356]  Just won't quit.
[01:51:36.776 --> 01:51:39.578]  You've heard about the lowest price promise at Emergency Essentials.
[01:51:39.718 --> 01:51:40.318]  But did you know?
[01:51:40.579 --> 01:51:44.441]  Right now, you can save $100 on a Canadine Pocket Micro Water Filter.
[01:51:44.561 --> 01:51:52.567]  While supplies last, get 40% off a Personal Emergency Kit, 43% off Red Feather Butter, and 46% off the Victoria Hand Grain Mill.
[01:51:52.707 --> 01:51:56.829]  And don't forget, you can save over $250 on the year's supply of basics.
[01:51:57.030 --> 01:52:02.293]  Call Emergency Essentials at 800-999-1863 or visit BePrepared.com.
[01:52:02.573 --> 01:52:03.494]  The choice is clear.
[01:52:03.734 --> 01:52:06.116]  Be unprepared or BePrepared.com.
[01:52:07.036 --> 01:52:12.380]  Listeners of GCN know governments and identity thieves around the world are illegally spying on our digital data.
[01:52:12.540 --> 01:52:17.823]  This puts you at risk of financial loss or potential targeting because of your political affiliation or spiritual beliefs.
[01:52:18.104 --> 01:52:21.266]  But now there's a new, free and easy way to protect yourself.
[01:52:21.426 --> 01:52:24.228]  Regain your privacy and security now with Unseen.
[01:52:24.488 --> 01:52:30.272]  Unseen is a free digital communication service that offers email, chat, audio and video calling, plus cloud storage.
[01:52:30.452 --> 01:52:36.536]  All secured with unparalleled encryption and is hosted in Iceland, where your data is protected by some of the strongest privacy laws in the world.
[01:52:36.596 --> 01:52:37.437]  We're good to go.
[01:53:06.807 --> 01:53:13.632]  If you're worried about your health and you're tired of the nasty side effects of harsh drugs or antibiotics, then look no further.
[01:53:14.093 --> 01:53:16.194]  Supernatural Silver is the answer.
[01:53:16.915 --> 01:53:26.022]  Supernatural Silver is a powerful immune system enhancer that can be used every day to help keep you healthy and well with none of those nasty side effects.
[01:53:26.602 --> 01:53:35.268]  It's extremely safe for use internally as well as topically and Supernatural Silver is hundreds of times more effective than colloidal or ionic silver.
[01:53:35.668 --> 01:53:40.291]  It is perfect for use in the sinuses, eyes, ears and on any wound or skin issue.
[01:53:40.671 --> 01:53:50.277]  Supernatural Silver is also extremely effective when taken orally and can help fight off bacteria, viruses and mold that may be overwhelming your immune system.
[01:53:50.678 --> 01:53:52.359]  Go to SupernaturalSilver.com
[01:53:52.859 --> 01:54:05.308]  SupernaturalSilver.com and use the promo code SILVER2014 for 20% off of your entire order and give yourself and your loved ones a fighting chance with Supernatural Silver.
[01:54:14.997 --> 01:54:22.720]  Alright, we're going to go to John, Daniel, Mike, Alvin, and Darren, starting here in just a moment and right through into the next hour.
[01:54:23.040 --> 01:54:24.321]  What is your line of the sand?
[01:54:25.361 --> 01:54:30.963]  Is the Declaration of Independence illegal or terrorist, like major news outlets are saying?
[01:54:31.003 --> 01:54:32.784]  I showed you those articles earlier in the hour.
[01:54:34.084 --> 01:54:36.685]  Of course, standing up against tyranny is not illegal.
[01:54:37.666 --> 01:54:42.048]  And if you have a nation of sheep, they'll be ruled by wolves, to quote Thomas Jefferson.
[01:54:42.088 --> 01:54:42.828]  Now briefly,
[01:54:44.161 --> 01:54:47.145]  We have some of the best supplements that we've developed with Dr. Group.
[01:54:47.505 --> 01:54:52.691]  The incredible nascent iodine that's done so much for my skin, my stamina, my glands, everything.
[01:54:53.352 --> 01:54:57.016]  The Lung Shield that's done so much for my lungs.
[01:54:57.197 --> 01:54:58.638]  We've got the Supramel Vitality.
[01:54:58.658 --> 01:54:59.459]  You've heard the incredible...
[01:55:00.180 --> 01:55:02.201]  A rave reviews of that, still 15% off.
[01:55:03.162 --> 01:55:12.127]  And we've got a bunch of other great products at InfoWarsLife.com and it's your purchases at InfoWarsLife.com that make the broadcast possible.
[01:55:12.667 --> 01:55:24.454]  We have my favorite type of coffee from Southern Mexico and the organic mountains there, the volcanic soil, the Wake of America coffee, all of it at InfoWarsStore.com or InfoWarsLife.com.
[01:55:24.794 --> 01:55:27.876]  We'll take you right to the sub-page with the supplements and other products.
[01:55:27.916 --> 01:55:28.877]  We have the Made in America
[01:55:29.658 --> 01:55:35.793]  Apparel, the Molon Lambe shirts, all of it at InfoWarsStore.com or MadeIn1776.com.
[01:55:39.139 --> 01:55:46.945]  And lastly, this broadcast is also brought to you by MyPatriotSupply.com forward slash Alex.
[01:55:47.486 --> 01:55:53.270]  To find all their specials or give them a call at 866-229-0927.
[01:55:53.651 --> 01:55:57.134]  Great organic, high quality, great customer service.
[01:55:57.674 --> 01:56:00.977]  The place I get my storable foods, MyPatriotSupply.com forward slash Alex.
[01:56:01.337 --> 01:56:02.738]  Okay, you've been holding long enough.
[01:56:03.459 --> 01:56:06.841]  Let's go to John in Wisconsin.
[01:56:07.682 --> 01:56:10.784]  And then I had a caller in Texas who was going to finish the story, but I guess he hung up.
[01:56:11.525 --> 01:56:13.767]  John in Wisconsin, go ahead and give us your point.
[01:56:14.707 --> 01:56:16.328]  It's a good thing I wasn't holding my breath.
[01:56:18.470 --> 01:56:26.596]  Actually, Alex, the line was crossed way back when Lincoln was assassinated, I think, and there were several lines drawn after that, and they've all been crossed.
[01:56:28.137 --> 01:56:32.080]  And this latest one is probably a straw that broke the camel's back.
[01:56:32.100 --> 01:56:36.123]  People don't wake up now with the fact that we're being manipulated.
[01:56:36.974 --> 01:56:42.778]  For no good, then, you know, the ones that are awake will have to take the burden.
[01:56:43.919 --> 01:57:03.193]  But I think we should get in the government's face, stay in the government's face, get time limits on the Senate and the House, and we could use poster childs, uh, Harry and, uh, and, um, Pelosi and, uh, you know, the other ones that have been there way too long to begin with.
[01:57:04.972 --> 01:57:06.052]  I hear you, and I appreciate your call.
[01:57:06.112 --> 01:57:07.132]  Thanks for holding to say that.
[01:57:09.533 --> 01:57:10.573]  I mean, that's really the issue.
[01:57:10.613 --> 01:57:22.896]  The people running the government are open criminals who get away with all sorts of crime, and they're squeezing we the people, and they want paramilitary police everywhere with the precedent set to go on our houses without warrants.
[01:57:23.536 --> 01:57:25.356]  That's what the Boston bombing and other things have done.
[01:57:26.116 --> 01:57:28.037]  And they want to secure what they've stolen.
[01:57:28.477 --> 01:57:29.257]  It's really that simple.
[01:57:29.597 --> 01:57:31.697]  Mike in Wyoming, then we'll go to Daniel in Tennessee.
[01:57:32.117 --> 01:57:32.858]  Mike, you're on the air.
[01:57:33.638 --> 01:57:34.218]  Yes, hi Alex.
[01:57:36.816 --> 01:57:37.897]  When will the line be crossed?
[01:57:38.438 --> 01:57:41.241]  I don't think it's going to be subtle when the day happens.
[01:57:41.441 --> 01:57:47.107]  I think they need a major smokescreen to cover the financial collapse.
[01:57:48.249 --> 01:57:50.471]  That, I think, is an important component to their plan.
[01:57:53.114 --> 01:57:54.956]  As far as Mr. Bundy is concerned, I just
[01:57:56.506 --> 01:58:17.842]  For him and for other ranchers out there who might find themselves in the same situation, I just wonder if... I mean, he should never have been in federal court in the first place, and there are good outfits like Paragon Foundation and others that protect property rights, guys who've been through the mill before and know how to keep people out of trouble, and I think they need to start subscribing to these.
[01:58:17.862 --> 01:58:18.683]  That's a great point.
[01:58:18.723 --> 01:58:20.625]  Let's get the head of the Paragon Foundation on.
[01:58:20.665 --> 01:58:21.565]  He's been on years ago.
[01:58:22.688 --> 01:58:24.528]  I just listen to him on Derry Brownfield all the time.
[01:58:24.568 --> 01:58:25.269]  That's a great point.
[01:58:25.489 --> 01:58:27.089]  Let's get the head of the Paragon Foundation on.
[01:58:27.369 --> 01:58:28.889]  Anything else there, Mike?
[01:58:29.409 --> 01:58:31.050]  Yeah.
[01:58:31.190 --> 01:58:39.812]  Mr. Bundy should prefer charges against these guys who assaulted him at gunpoint and start a Bivens action against him civilly.
[01:58:40.492 --> 01:58:43.332]  These guys should face some charges.
[01:58:43.572 --> 01:58:44.213]  Tell you what, stay there.
[01:58:44.233 --> 01:58:45.213]  I'm going to come right back to you.
[01:58:45.533 --> 01:58:46.233]  Then we'll get everybody else.
[01:58:48.755 --> 01:58:50.038]  Third hour, open phones, folks.
[01:58:50.058 --> 01:58:50.479]  Stay with us.
[01:58:50.780 --> 01:58:53.327]  The Genesis Communications Radio Network.
[01:58:56.698 --> 01:59:00.699]  A chemical spill contaminating the water supply in nine West Virginia counties.
[01:59:00.739 --> 01:59:04.860]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[01:59:05.100 --> 01:59:08.501]  What are the health effects of having these drugs in our drinking water?
[01:59:08.761 --> 01:59:11.642]  It's forced medical treatment without the consent of residents.
[01:59:11.802 --> 01:59:19.124]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[01:59:19.384 --> 01:59:23.045]  On average, the county says it sprays with glyphosate at least once a week.
[01:59:23.286 --> 01:59:27.547]  Few filters cut out the glyphosate that is found in water supplies worldwide.
[01:59:27.707 --> 01:59:33.630]  Remove pesticides, herbicides, chloramines, hydrofluorosilicic acid, sodium hexafluorosilicate.
[01:59:33.670 --> 01:59:37.451]  Fluoride is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[01:59:37.591 --> 01:59:40.152]  It is our responsibility to protect our families.
[01:59:40.352 --> 01:59:41.693]  The establishment's not going to do it.
[01:59:41.853 --> 01:59:43.073]  It's time to take action.
[01:59:43.213 --> 01:59:44.874]  It's time to filter our water.
[01:59:45.034 --> 01:59:52.196]  Visit Infowarsstore.com and use promo code WATER to get 10% off their entire family of incredible products.
[01:59:52.417 --> 01:59:56.298]  Or call toll free 888-253-3139.
[01:59:59.719 --> 02:00:01.620]  Waging war on corruption.
[02:00:02.100 --> 02:00:04.901]  Alex Jones on the GCN Radio Network.
[02:00:11.621 --> 02:00:15.765]  Big Brother, Mainstream Media, Government Cover-Ups.
[02:00:16.445 --> 02:00:17.246]  You want answers?
[02:00:18.027 --> 02:00:18.947]  Well, so does he.
[02:00:19.568 --> 02:00:23.211]  He's Alex Jones on the GCN Radio Network.
[02:00:23.752 --> 02:00:27.855]  And now, live from Austin, Texas, Alex Jones.
[02:00:29.036 --> 02:00:32.840]  You know, we knew this was going on with Benghazi, but Curt Nemo's written an article about it.
[02:00:37.421 --> 02:00:39.443]  Al Qaeda in Syria gets man pads.
[02:00:39.463 --> 02:00:43.906]  For those who don't know, that's the latest generation of service-to-air anti-aircraft missile stingers.
[02:00:44.867 --> 02:00:45.788]  And we have the video.
[02:00:47.489 --> 02:00:55.115]  Obama administration floated the PR campaign for weapons that were sent to them years ago, and the word is that they leaked to them as well.
[02:00:56.894 --> 02:00:59.975]  These are the newer ones at Benghazi, and we're going to tie Benghazi into this.
[02:01:00.416 --> 02:01:02.016]  That is a big deal that's coming up.
[02:01:02.316 --> 02:01:04.337]  But let's go to the calls that have been holding a while.
[02:01:04.978 --> 02:01:07.719]  Opening the phones up, I'd like to hear from you out there.
[02:01:08.139 --> 02:01:09.300]  What is your line in the sand?
[02:01:10.160 --> 02:01:12.021]  What does your gut tell you is going to happen with the Bundys?
[02:01:12.801 --> 02:01:13.401]  Do you agree with me?
[02:01:13.441 --> 02:01:19.004]  This is a really watershed event, and it's important which way it goes, obviously.
[02:01:19.024 --> 02:01:19.384]  800-259-9231.
[02:01:19.404 --> 02:01:19.804]  First-time callers.
[02:01:19.824 --> 02:01:21.965]  Mike in Wyoming, you were finishing up your points.
[02:01:27.342 --> 02:01:27.562]  Yes.
[02:01:28.103 --> 02:01:28.683]  Still there, Alex?
[02:01:28.843 --> 02:01:29.223]  Yes, I am.
[02:01:29.263 --> 02:01:29.543]  Go ahead.
[02:01:29.964 --> 02:01:30.544]  Okay.
[02:01:31.665 --> 02:01:39.089]  I was suggesting that the Bundys, since obviously Reid and that gang are not going to let this drop.
[02:01:39.590 --> 02:01:45.974]  In fact, it's now become imperative for them to make a symbol out of Bundy.
[02:01:49.349 --> 02:01:51.671]  You know, Bundy should take the offensive here.
[02:01:52.572 --> 02:01:58.336]  File charges, swear out charges against these thugs for assault with weapons.
[02:01:58.496 --> 02:02:04.401]  I mean, there was no reason for them to have their weapons drawn and pointed at the demonstrators there.
[02:02:05.782 --> 02:02:09.926]  Number two, these people ran around, some of them, with police on their jackets.
[02:02:10.146 --> 02:02:11.467]  That's impersonating police.
[02:02:11.767 --> 02:02:17.252]  These feds, no matter how much authority they claim to have, they are not police.
[02:02:18.158 --> 02:02:21.381]  The federal government does not have municipal police powers, period.
[02:02:22.382 --> 02:02:24.804]  And that, again, is something that the sheriff should address.
[02:02:25.044 --> 02:02:30.989]  If he doesn't, if I were Bundy, I would try to get in front of a grand jury and make my points there.
[02:02:31.910 --> 02:02:43.080]  And if nothing else, you can pursue a civil action with a Bivens action against these federal agents for the damages that they did, for the terrorism that they committed.
[02:02:43.875 --> 02:02:49.177]  So Bundy should launch an offensive here and not wait for them to make the next move.
[02:02:51.218 --> 02:02:52.238]  Well, I agree with that.
[02:02:52.318 --> 02:02:56.280]  He should start some different court cases at the state level as well.
[02:02:57.978 --> 02:03:05.722]  Just to point out morally that the feds are out of control, people say, well, the federal courts supersede the state, only because they say so.
[02:03:06.202 --> 02:03:08.023]  Only because they've created this idea.
[02:03:08.583 --> 02:03:22.910]  But look at the movement already now, giving moral support to the state legislators to take the ill-gotten federal land and to move forward with a states' rights movement in the West, which is outrageously popular with we the people.
[02:03:23.550 --> 02:03:32.218]  Now is the time to start putting our foot down on every front and get on the offense so they start backing off.
[02:03:33.659 --> 02:03:37.003]  Federal courts, Alex, are courts of limited jurisdiction.
[02:03:37.915 --> 02:03:44.921]  They are Article 4 courts created by Congress and they have jurisdiction over federal enclaves.
[02:03:45.261 --> 02:03:53.087]  They only have it over federal enclaves, the military, and the borders, and interstate commerce, and they won't even operate over the things they're supposed to.
[02:03:53.147 --> 02:03:53.488]  It's funny.
[02:03:53.948 --> 02:03:57.209]  The Federal Reserve controls the currency when the Congress is supposed to.
[02:03:58.210 --> 02:04:00.351]  They don't control the border even though they're supposed to.
[02:04:00.811 --> 02:04:03.732]  They're putting all that into UN rulings now.
[02:04:04.032 --> 02:04:07.893]  They're transferring the federal power to UNESCO and the UN.
[02:04:08.234 --> 02:04:15.436]  They are engaged in the criminal takeover of this country and the transference to groups that are outside of this country.
[02:04:15.456 --> 02:04:18.217]  You also have authority if you give it to them.
[02:04:18.357 --> 02:04:19.518]  If you show up in their courts
[02:04:20.347 --> 02:04:27.493]  Go past the bar, you've given them jurisdiction, or if you petition them with your own action, you've given them authority.
[02:04:27.693 --> 02:04:30.595]  Otherwise, all these things should be dealt with in state courts.
[02:04:32.597 --> 02:04:34.238]  Well, it's a complex issue.
[02:04:34.278 --> 02:04:41.064]  You know, I've seen federal courts, it just took a long time, rule in favor of Nevada ranchers saying the BLM's criminal.
[02:04:42.605 --> 02:04:48.090]  That's not to say they're not, you know, they can be fair, but just as soon as they out of it, they can.
[02:04:50.060 --> 02:04:52.223]  Well, it's a very complex issue, but overall I agree with you.
[02:04:52.263 --> 02:04:53.404]  Thank you so much, Mike.
[02:04:54.345 --> 02:04:58.390]  We're gonna come back, and we're gonna go to everybody that's patiently holding.
[02:04:58.470 --> 02:05:03.275]  Daniel, and Darren, and Alvin, Mill, many others.
[02:05:03.295 --> 02:05:03.756]  Stay with us.
[02:05:06.843 --> 02:05:14.010]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[02:05:14.110 --> 02:05:16.272]  But it's not just the air outside that's toxic.
[02:05:16.472 --> 02:05:21.657]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[02:05:21.817 --> 02:05:26.942]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[02:05:27.062 --> 02:05:30.165]  There are more than 42 million smokers in the United States.
[02:05:30.445 --> 02:05:34.348]  Well over a thousand types of mold and mildew linked to numerous conditions.
[02:05:34.568 --> 02:05:38.871]  And don't forget the fact that six million Americans live with pets they're allergic to as well.
[02:05:38.971 --> 02:05:49.138]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[02:05:49.318 --> 02:06:00.245]  Made with organic and wild cultivated herbs and manufactured in the USA, the new InfoWars Live Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[02:06:00.385 --> 02:06:06.092]  Now available exclusively at Infowarslife.com or by calling toll free 888-253-3139.
